"rownum","Monster","SkillType","rid","[rid]","[i32]","rid","Animation","Stats","StatsValues","i32","rid","GrantedEffects","i32","rid","Script1","Script2","Mods","i32","i32","i32","[rid]","i32","i32","[i32]","[rid]","[rid]","[rid]","[rid]","bool"
747,3661,1,3935,[],[],8453,"","[173,175]","[4,-30]",0,"",[],0,"","","",[],41892,0,0,[],0,0,[],[],[],[],[],""
748,3661,3,3935,[],[],8455,"","[4743,174,434]","[500,5,-50]",0,4396,[],0,"","","",[],41976,0,0,[],200,0,[],[],[],[],[],""
749,3663,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
750,3663,1,3139,[],[],8516,"","[214,1927]","[2,100]",0,"",[],0,"","","",[],4226,0,0,[],-50,0,[],[],[],[],[],""
751,3664,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
752,3664,2,156,[],[],8517,"","[434,1927,482]","[200,-50,50]",0,"",[],0,"","on_event_metafx_for_BrutusGroundSlam = \""PlayEffect( FlameSurge3 );\""","",[],34302,0,0,[],100,0,[],[],[],[],[2396],""
753,3664,4,156,[],[],8519,"",[],[],0,"",[6925],0,"","","on_event_contact_for_BrutusGroundSlam = \""TriggerSkill( KaruiElderCorpseEruption, ContactLocation );\""",[],42468,0,0,[],0,0,[],[],[],[],[],""
754,3665,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
755,3665,1,2764,[],[],8496,"","[173,1215]","[2,-20]",0,"",[],0,"","","",[],42544,0,57,[],-30,0,[],[],[],[],[],""
756,3665,3,1156,[],[],8492,"","[1826,612,357]","[20,550,2000]",0,"",[],0,"","","",[],42636,0,55,[],30,0,[],[],[],[],[],""
757,3665,4,1156,[],[],8521,"","[1826,612,357]","[20,50,4000]",0,"",[],0,"","","",[],42734,0,71,[],0,0,[],[],[],[],[],""
758,3680,1,4192,[],[],8453,"",[173],[2],0,"",[],0,"","","",[],42784,0,0,[],50,0,[],[],[],[],[],""
759,3680,2,4192,[],[],8454,"","[1783,2128,2129,2130,175,2481,1215,1795]","[1,15,1000,180,100,-90,-75,50]",0,"",[],0,"","","",[],42966,0,0,[],-30,0,[],[],[],[],[],""
760,3702,0,3152,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
761,3702,1,4170,[],[],8453,"",[1927],[-20],0,"",[],0,"","","",[],43006,0,0,[],0,0,[],[],[],[],[],""
762,3702,2,101,[],[],101,"",[],[],0,"",[],0,"","","",[],43032,0,0,[],0,0,[],[],[],[],[],""
763,3702,4,4267,[],[],8500,"",[],[],0,4268,[],0,"","","",[],43060,0,98,[],0,0,[],[],[],[],[],""
764,3868,1,4200,[],[],8453,"",[173],[2],0,"",[],0,"","","",[],41668,0,0,[],0,0,[],[],[],[],[],""
765,3868,2,4200,[],[],8536,"","[1215,10911]","[-60,-33]",0,"",[],0,"","","",[],41726,0,136,[],0,0,[],[],[],[],[],""
766,3868,3,1986,[],[],8455,"","[173,1215,214]","[2,50,1]",0,"",[],0,"","","",[],41824,0,0,[],0,0,[],[],[],[],[],""
767,3868,4,4200,[],[],8532,"",[],[],0,"",[],0,"","","",[],41668,0,78,[],0,0,[],[],[],[],[],""
768,1084,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
769,1086,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
770,3709,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
771,3709,1,270,[],[],8516,"","[1927,2370,6066]","[-10,1,80]",0,"",[],0,"","on_event_metafx_for_DualStrike = \""PlayEffect( MetamorphosisSkillSurgeFast );\""","",[],43404,0,0,[],0,0,[],[],[],[],[3519],""
772,3709,2,338,[],[],8462,1,[],[],0,5751,[],0,"","","",[],25978,0,0,[],0,0,[],[],[],[],[],""
773,3711,0,338,[],[],8515,"",[1927],[-20],0,"",[],0,"","","",[],12,0,0,[],30,0,[],[],[],[],[],""
774,3711,1,270,[],[],8516,"","[1927,2370,6066]","[-10,1,80]",0,"",[],0,"","on_event_metafx_for_DualStrike = \""PlayEffect( MetamorphosisSkillSurgeFast );\""","",[],43404,0,0,[],0,0,[],[],[],[],[3519],""
775,3711,3,3606,[],[],8509,"",[1927],[-20],0,"",[],0,"","","",[],43542,0,0,[],0,0,[],[],[],[],[],""
776,3719,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
777,3719,1,1193,[],[],8516,"","[214,1927]","[2,100]",0,"",[],0,"","","",[],16076,0,0,[],-50,0,[],[],[],[],[],""
778,3720,0,338,[],[],8452,"",[1927],[-20],0,"",[],0,"","","",[],3000,0,0,[],0,0,[],[],[],[],[],""
779,3720,2,338,[],[],8454,"","[173,7122,1927]","[2,40,-40]",0,8566,[4048],0,"","on_event_metafx_for_MonsterProjectileWeapon = \""PlayEffect( LightningSurge1 );\""","",[],5096,0,0,[],0,0,[-50],[434],[],[],[2410],""
780,3720,4,338,[],[],8465,1,"[865,867,859,166,1927,957,1728,1982]","[5000,60,1,100,50,2,3,200]",0,557,[],0,"","","",[],44034,0,0,[],-70,0,[],[],[],[],[],""
781,3722,0,338,[],[],8452,"",[],[],0,"",[],0,"","","",[],3000,0,0,[],0,0,[],[],[],[],[],""
782,3722,1,557,[],[],8453,"",[173],[2],0,"",[],0,"","","",[],44088,0,0,[],0,0,[],[],[],[],[],""
783,3722,3,1895,[],[],8455,"","[865,867,859,166,1927,957,1728]","[5000,60,1,100,50,2,3]",0,"",[],0,"","","",[],44258,0,0,[],0,0,[],[],[],[],[],""
784,3722,4,1895,[],[],8465,"","[173,865,867,1783,166,215,1927]","[4,1000,80,1,300,-65,200]",0,"",[],0,"","","",[],44434,0,0,[],0,0,[],[],[],[],[],""
785,3731,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
786,3731,3,2162,[],[],8468,"",[],[],0,"",[],0,"","","",[],44468,0,0,[],0,0,[],[],[],[],[],""
787,3731,2,2849,[],[],8458,"",[],[],0,"",[],0,"","","",[],40180,0,0,[],0,0,[],[],[],[],[],""
788,3742,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
789,3742,1,3957,[],[],8453,"",[173],[2],0,"",[],0,"","","",[],44502,0,0,[],40,0,[],[],[],[],[],""
790,3742,2,3957,[],[],8454,"","[10783,6860,175,1795,1927]","[7,45,-33,40,-50]",0,"",[],0,"","","",[],44502,0,0,[],70,0,[],[],[],[],[],""
791,3746,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
792,3747,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
793,3747,2,3607,[],[],8508,"",[],[],0,"",[],0,"","","",[],43542,0,0,[],80,0,[],[],[],[],[],""
794,3747,4,3607,[],[],8510,"",[],[],0,"",[8544],0,"","on_start_VollCharge = \""PlayEffect( MetamorphosisSkillSurgeSlow );\""","on_event_metatrigger_for_VollCharge = \""TriggerSkill( MetamorphosisSummonMetaVolatiles );\""",[],39558,0,0,[],0,0,"[5,3,-60]","[887,2163,4793]",[],[],[3740],""
795,3760,0,338,[],[],8515,"",[1927],[-20],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
796,3760,1,4211,[],[],8507,"",[],[],0,"",[],0,"","","",[],44734,0,0,[],0,0,[],[],[],[],[],""
797,3760,2,3916,[],[],8517,"",[],[],0,"",[],0,"","","",[],44762,0,0,[],0,0,[],[],[],[],[],""
798,3760,3,4205,[],[],8455,"",[],[],0,"",[],0,"","","",[],44792,0,0,[],0,0,[],[],[],[],[],""
799,3760,4,3799,[],[],8460,"",[],[],0,"",[],0,"","","",[],44820,0,0,[],0,0,[],[],[],[],[],""
800,3832,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
801,3832,2,4164,[],[],8454,"","[214,1215]","[2,50]",0,"",[],0,"","","",[],44892,0,0,[],0,0,[],[],[],[],[],""
802,3832,1,4164,[],[],8453,"",[1215],[-30],0,"",[],0,"","","",[],44892,0,0,[],30,0,[],[],[],[],[],""
803,3832,4,4164,[],[],8575,"",[],[],0,2640,[],0,"","","",[],44938,0,122,[],40,0,[],[],[],[],[],""
804,4080,0,338,[],[],8452,"",[1927],[-30],0,"",[],0,"","","",[],3000,0,0,[],50,0,[],[],[],[],[],""
805,4080,1,2699,[],[],8453,"","[173,1927]","[5,-50]",0,"",[],0,"","","",[],45024,0,0,[],20,0,[],[],[],[],[],""
806,4080,2,1618,[],[],8454,40,"[1781,953,2298]","[2,3,30]",0,"",[],0,"","","",[],45102,0,0,[],0,0,[],[],[],[],[],""
807,4080,4,560,[],[],8465,"","[1781,953,2298,1183,1982]","[9,10,60,2,100]",0,"",[],0,"","","",[],45232,0,0,[],-50,0,[],[],[],[],[],""
808,4082,0,338,[],[],8515,"","[482,1927]","[50,-20]",0,"",[],0,"","","",[],12,0,0,[],50,0,[],[],[],[],[],""
809,4082,1,43,[],[],8453,"",[195],[1],0,"",[],0,"","","",[],3738,0,0,[],100,0,[],[],[],[],[],""
810,4082,2,2726,[],[],8481,20,"[214,1215]","[3,200]",0,"",[],0,"","","",[],45356,0,56,[],0,0,[],[],[],[],[],""
811,4082,3,1061,[],[],8456,"",[357],[-12000],0,"",[],0,"","","",[],45406,0,0,[],0,0,[],[],[],[],[],""
812,4082,4,2663,[],[],8460,"",[],[],0,2667,[],0,"","","",[],45452,0,0,[],0,0,[],[],[],[],[],""
813,4084,0,338,[],[],8515,"",[1927],[-20],0,"",[],0,"","","",[],12,0,0,[],50,0,[],[],[],[],[],""
814,4084,1,824,[],[],8515,"",[1927],[-20],0,"",[],0,"","","",[],4750,0,0,[],50,0,[],[],[],[],[],""
815,4084,2,670,[],[],8508,"","[1927,483]","[-20,50]",0,"",[8570],0,"","","on_event_hit_ground_for_LeapSlam = \""TriggerSkill( MetamorphosisCreateChilledGround );\""",[],3198,0,0,[],0,0,[],[],[],[],[],""
816,4084,3,3970,[],[],8518,"","[1927,3903]","[-20,100]",0,"",[],0,"","","",[],29248,0,0,[],100,0,[],[],[],[],[],""
817,4084,4,2139,[],[],8469,"","[214,1927,1235]","[4,50,50]",0,"",[],0,"","","",[],44468,0,0,[],-40,0,[],[],[],[],[],""
818,524,0,339,[],[],8452,"",[],[],0,"",[],0,"","","",[],3000,0,0,[],0,0,[],[],[],[],[],""
819,525,0,339,[],[],8452,"",[],[],0,"",[],0,"","","",[],3000,0,0,[],0,0,[],[],[],[],[],""
820,636,0,339,[],[],8515,"",[1927],[-20],0,"",[],0,"","","",[],12,0,0,[],50,0,[],[],[],[],[],""
821,638,0,339,[],[],8515,"",[1927],[-20],0,"",[],0,"","","",[],12,0,0,[],50,0,[],[],[],[],[],""
822,3770,0,338,[],[],8452,"",[],[],0,"",[],0,"","","",[],45872,0,0,[],0,0,[],[],[],[],[],""
823,3770,1,4345,[],[],8453,"","[173,175,196]","[2,-20,1]",0,"",[],0,"","on_start_BallLightning = \""PlayEffect( LightningSurge1 );\""","",[],46070,0,0,[],0,0,[],[],[],[],[2410],""
824,3770,2,4345,[],[],8454,"","[6184,10783,6860,175,1795]","[1,9,45,-33,40]",0,"",[],0,"","on_start_BallLightning = \""PlayEffect( LightningSurge1 );\""","",[],46070,0,0,[],-50,0,[],[],[],[],[2410],""
825,3781,3,4263,[],[],8455,"","[214,1215]","[4,300]",0,"",[],0,"","","",[],46274,0,0,[],0,0,[],[],[],[],[],""
826,3781,4,4263,[],[],8540,22,[434],[50],0,2613,[],0,"","on_start_GeometryTrigger = \""PlayEffect( MetamorphosisSplatSurge );\""","",[],46474,0,88,[],50,0,[],[],[],[],[3615],""
827,3787,0,338,[],[],8515,"",[1927],[-20],0,"",[],0,"","","",[],12,0,0,[],20,0,[],[],[],[],[],""
828,3787,1,1619,[],[],8516,"","[6088,1927,5371]","[5,-60,50]",0,"",[],0,"","on_start_Puncture = \""PlayEffect( MetamorphosisSplatSurge );\""","",[],29212,0,0,[],0,0,[],[],[],[],[3615],""
829,3792,0,338,[],[],8452,"",[1927],[-20],0,"",[],0,"","","",[],3000,0,0,[],20,0,[],[],[],[],[],""
830,3792,2,3978,[],[],8454,"",[173],[2],0,"",[],0,"","","",[],46762,0,0,[],0,0,[],[],[],[],[],""
831,3792,3,3978,[],[],8483,20,[1215],[60],0,"",[],0,"","","",[],46762,0,52,[],30,0,[],[],[],[],[],""
832,3795,0,338,[],[],8515,"",[1927],[20],0,"",[],0,"","","",[],12,0,0,[],-50,0,[],[],[],[],[],""
833,3795,1,4327,[],[],8453,"",[434],[100],0,"",[],0,"","","",[],46836,0,0,[],0,0,[],[],[],[],[],""
834,3795,4,4327,[],[],8477,"",[357],[3000],0,"",[],0,"","","",[],46836,0,51,[],0,0,[],[],[],[],[],""
835,4071,0,338,[],[],8515,"",[1927],[-30],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
836,4071,1,4304,[],[],8453,"",[173],[2],0,"",[],0,"","","",[],46908,0,0,[],0,0,[],[],[],[],[],""
837,4071,2,4304,[],[],8454,"","[1783,2128,2129,2130,2481,1215,1795]","[1,9,500,90,-45,-30,50]",0,"",[],0,"","","",[],47060,0,0,[],0,0,[],[],[],[],[],""
838,4071,3,4304,[],[],8455,"","[10783,6860,175,1795,1215]","[9,45,-33,40,-70]",0,"",[],0,"","on_start_MonsterProjectileSpell = \""PlayEffect( MetamorphosisSplatSurge );\""","",[],47340,0,0,[],0,0,[],[],[],[],[3615],""
839,4073,0,338,[],[],8515,"",[1927],[-40],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
840,4073,2,4308,[],[],8454,"","[173,1215]","[4,-30]",0,"",[],0,"","","",[],46908,0,0,[],0,0,[],[],[],[],[],""
841,4073,3,3431,[],[],8455,"","[214,1215]","[3,200]",0,"",[],0,"","","",[],47468,0,0,[],0,0,[],[],[],[],[],""
842,1192,0,338,[],[],8515,"",[1927],[-20],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
843,1192,2,4413,[],[],8517,"","[434,1927]","[150,-20]",0,"",[],0,"","","",[],47560,0,0,[],0,0,[],[],[],[],[],""
844,1192,3,4143,[],[],8455,"",[],[],0,"",[],0,"","","",[],47594,0,0,[],0,0,[],[],[],[],[],""
845,1192,4,4140,[],[],8465,"","[173,357]","[2,4000]",0,"",[],0,"","","",[],47668,0,0,[],20,0,[],[],[],[],[],""
846,1639,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
847,1639,2,338,[],[],8517,"","[2114,215,1927]","[3,100,-30]",0,5703,[],0,"","","",[],47780,0,0,[],100,0,[],[],[],[],[],""
848,1653,0,339,[],[],8515,"",[1927],[-20],0,"",[],0,"","","",[],12,0,0,[],30,0,[],[],[],[],[],""
849,1653,2,339,[],[],8454,"",[],[],0,4328,[],0,"","","",[],47820,0,0,[],0,0,[],[],[],[],[],""
850,3799,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[8619],12,0,0,[],0,0,[],[],[],[],[],""
851,3799,2,1880,[],[],8454,"",[214],[2],0,"",[],0,"","","",[8619],47900,0,0,[],0,0,[],[],[],[],[],""
852,3799,4,1776,[],[],8465,"",[],[],0,"",[],0,"","","",[8619],47950,0,0,[],0,0,[],[],[],[],[],""
853,3806,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
854,3806,1,4133,[],[],8453,"",[],[],0,4134,[],0,"","","",[],47982,0,0,[],0,0,[],[],[],[],[],""
855,3806,3,4134,[],[],8491,"",[],[],0,"",[],0,"","","",[],48006,0,54,[],0,0,[],[],[],[],[],""
856,3814,1,3198,[],[],8453,"",[173],[2],0,"",[],0,"","","",[],48060,0,0,[],0,0,[],[],[],[],[],""
857,3814,2,3513,[],[],8517,"","[214,1215]","[1,-30]",0,"",[],0,"","","",[],48128,0,0,[],0,0,[],[],[],[],[],""
858,3814,3,4195,[],[],8493,"",[],[],0,2644,[],0,"","","",[],44938,0,84,[],0,0,[],[],[],[],[],""
859,3814,4,4195,[],[],8532,"",[357],[2000],0,2644,[],0,"","","",[],44938,0,78,[],0,0,[],[],[],[],[],""
860,3821,0,4373,[],[],8515,"",[1927],[-20],0,374,[],0,3820,"","",[],12,0,0,[],20,0,[],[],[],[],[],""
861,3821,1,4156,[],[],8453,"",[],[],0,4271,[],0,3820,"","",[],48204,0,0,[],0,0,[],[],[],[],[],""
862,3821,2,1774,[],[],8517,"",[],[],0,4288,[],0,3820,"","",[],48240,0,0,[],0,0,[],[],[],[],[],""
863,3821,3,4153,[],[],8455,"",[],[],0,"",[],0,"","","",[],48274,0,0,[],0,0,[],[],[],[],[],""
864,3925,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
865,3926,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
866,218,0,339,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],50,0,[],[],[],[],[],""
867,218,2,661,[],[],8508,"",[1927],[-30],0,"",[8570],0,"","","on_event_hit_ground_for_LeapSlam = \""TriggerSkill(MetamorphosisCreateChilledGround, TargetLocation );\""",[],3198,0,0,[],100,0,[],[],[],[],[],""
868,257,1,1353,[],[],8461,"",[],[],0,5749,[],0,"","","",[],31328,0,0,[],0,0,[],[],[],[],[],""
869,257,2,1353,[],[],8454,"","[1783,2128,2129,2130,175,2481,1215,1795]","[1,15,500,120,100,-60,-50,50]",0,"",[],0,"","","",[],42966,0,0,[],0,0,[],[],[],[],[],""
870,257,3,1353,[],[],8455,"","[173,10783,6860,175,1795,1783]","[4,10,35,-33,40,-1]",0,"",[],0,"","on_event_metafx_for_IceSpear = \""PlayEffect( ColdSurge1 );\""","",[],48944,0,0,[],100,0,[],[],[],[],[2409],""
871,309,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
872,309,4,338,[],[],8521,22,[434],[100],0,537,[],0,"","on_event_metafx_for_GeometryTrigger = \""PlayEffect( ColdSurge1 );\""","",[],9382,0,71,[],100,0,[],[],[],[],[2409],""
873,309,3,338,[],[],8537,22,"[1927,10911]","[-50,-15]",0,8618,[],0,"","","",[],49056,0,82,[],100,0,[],[],[],[],[],""
874,311,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
875,311,4,338,[],[],8521,22,[434],[100],0,537,[],0,"","on_event_metafx_for_GeometryTrigger = \""PlayEffect( ColdSurge1 );\""","",[],9382,0,71,[],100,0,[],[],[],[],[2409],""
876,311,3,338,[],[],8537,22,"[1927,10911]","[-50,-15]",0,8618,[],0,"","","",[],49056,0,82,[],100,0,[],[],[],[],[],""
877,4862,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
878,4862,2,1303,[],[],8446,"","[214,70,634]","[2,100,-50]",0,"",[],0,"","","",[],9790,0,0,[],-20,0,[],[],[],[],[],""
879,4864,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
880,4864,2,1303,[],[],8446,"","[214,70,634]","[2,100,-50]",0,"",[],0,"","","",[],9790,0,0,[],-20,0,[],[],[],[],[],""
881,4864,3,2862,[],[],8455,"","[214,6463]","[2,4]",0,"",[],0,"","","",[],49302,0,0,[],-10,0,[],[],[],[],[],""
882,4864,4,4435,[],[],8464,"","[357,434]","[2000,100]",0,"",[],0,"","","",[],49370,0,0,[],0,0,[],[],[],[],[],""
883,4865,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
884,4866,0,367,[],[],8452,"",[],[],0,"",[],0,"","","",[],49398,0,0,[],0,0,[],[],[],[],[],""
885,4866,1,555,[],[],8453,"",[173],[4],0,"",[],0,"","","",[],44088,0,0,[],0,0,[],[],[],[],[],""
886,4866,4,555,[],[],8488,1,[215],[100],0,"",[],0,"","","",[],44088,0,93,[],0,0,[],[],[],[],[],""
887,4867,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
888,4620,0,469,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
889,4620,2,5774,[],[],8517,"",[],[],0,"",[],0,"","","",[],49460,0,0,[],0,0,[],[],[],[],[],""
890,4620,3,5708,[],[],8455,"",[173],[8],0,"",[],0,"","","",[],49498,0,0,[],0,0,[],[],[],[],[],""
891,4915,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
892,4917,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
893,4917,1,5508,[],[],8453,"","[173,215,2370]","[2,100,1]",0,"",[],0,"","","",[],49584,0,0,[],50,0,[],[],[],[],[],""
894,4917,4,5508,[],[],8465,"","[2128,2130,2129,2482,175,1795]","[40,1800,6000,1,-50,50]",0,"",[],0,"","","",[],49728,0,0,[],-40,0,[],[],[],[],[],""
895,4949,0,338,[],[],8515,"",[],[],0,"",[],9,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
896,4949,2,4707,[],[],8454,"",[214],[2],0,"",[],9,"","","",[],49768,0,0,[],0,0,[],[],[],[],[],""
897,4950,0,338,[],[],8515,"",[],[],0,"",[],9,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
898,4618,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
899,4618,1,2754,[],[],8445,"","[214,1215]","[2,250]",0,"",[],0,"","","",[],49824,0,0,[],-30,0,[],[],[],[],[],""
900,4630,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],40,0,[],[],[],[],[],""
901,4630,1,5228,[],[],8453,"",[175],[-20],0,"",[],0,"","","",[],26114,0,0,[],90,0,[],[],[],[],[],""
902,4630,2,4939,[],[],8517,"","[214,1927]","[4,150]",0,"",[],0,"","","",[],49912,0,0,[],-65,0,[],[],[],[],[],""
903,4630,3,5205,[],[],8506,"",[],[],0,"",[],0,"","","",[],49944,0,67,[],0,0,[],[],[],[],[],""
904,4640,0,644,[],[],8452,"",[],[],0,"",[],0,"","","",[],49398,0,0,[],-50,0,[],[],[],[],[],""
905,4640,2,644,[1215],[100],8479,20,"[4601,1215]","[1,-120]",0,"",[],0,"","","",[],50038,0,56,[],-50,0,[],[],[],[],[],""
906,4640,1,644,[],[],8490,20,"[175,318,4570,4601,2370]","[200,200,1,1,1]",0,"",[],0,"","","",[],50168,0,53,[],50,0,[],[],[],[],[],""
907,4640,3,644,[],[],8483,20,"[4601,1927,216]","[1,200,100]",0,"",[],0,"","","",[],50264,0,52,[],-25,0,[],[],[],[],[],""
908,4640,4,4336,[],[],8477,20,"[173,2513,357,6184]","[0,5,4000,1]",0,"",[],0,"","","",[],50374,0,51,[],0,0,[],[],[],[],[],""
909,4588,1,279,[],[],8507,"",[],[],0,"",[],0,"","","",[],50404,0,0,[],0,0,[],[],[],[],[],""
910,4635,1,5617,[],[],8453,"",[],[],0,"",[],7,"","","",[],50436,0,0,[],0,0,[],[],[],[],[],""
911,4635,4,1867,[],[],8456,40,"[2128,2130,2129,2482,872,5882,1795]","[100,1800,8000,1,-7000,1,50]",0,"",[],7,"","","",[],50608,0,0,[],-50,0,[],[],[],[],[],""
912,4636,1,643,[],[],8453,40,"[173,4570,1847]","[2,1,1]",0,"",[],7,"","","",[],50694,0,0,[],0,0,[],[],[],[],[],""
913,4636,2,643,[],[],8523,40,[1795],[40],0,"",[],7,"","","",[],50746,0,83,[],0,0,[],[],[],[],[],""
914,4636,3,643,[],[],8483,40,"[4601,1215]","[1,300]",0,"",[],7,"","","",[],50810,0,52,[],40,0,[],[],[],[],[],""
915,4713,1,4244,[],[],8453,"",[173],[4],0,"",[],0,"","","",[8206],50884,0,0,[],0,0,[],[],[],[],[],""
916,4713,2,4244,[],[],8454,"","[1783,173]","[1,9]",0,"",[],0,"","","",[8206],50964,0,0,[],0,0,[],[],[],[],[],""
917,4713,3,4244,[],[],8455,28,[173],[1],0,4322,[],0,"","","",[8206],51020,0,0,[],0,0,[],[],[],[],[],""
918,4714,1,5584,[],[],8453,"",[173],[2],0,"",[],0,"","","",[],50884,0,0,[],0,0,[],[],[],[],[],""
919,4714,2,5584,[],[],8454,"","[1783,173]","[1,9]",0,"",[],0,"","","",[],50964,0,0,[],0,0,[],[],[],[],[],""
920,4714,4,5584,[],[],8455,"","[1783,173,172,175]","[1,9,10,-50]",0,"",[],0,"","","",[],51176,0,0,[],0,0,[],[],[],[],[],""
921,4727,0,338,[],[],8515,"",[],[],0,"",[],10,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
922,4727,1,2483,[],[],8453,"",[173],[4],0,"",[],10,"","","",[],51224,0,0,[],0,0,[],[],[],[],[],""
923,4727,2,216,[],[],8508,"",[347],[6],0,"",[4774],10,"","","on_event_triggerground_for_NewShieldCharge = \""TriggerSkill(MetamorphosisCastBurningGround);\""",[],1762,0,0,[],0,0,[],[],[],[],[],""
924,4727,3,2483,[],[],8455,"","[173,1783]","[4,1]",0,2484,[],10,"","","",[],51524,0,0,[],0,0,[],[],[],[],[],""
925,4728,0,338,[],[],8515,"",[],[],0,"",[],10,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
926,4728,1,2483,[],[],8453,"",[173],[4],0,"",[],10,"","","",[],51224,0,0,[],0,0,[],[],[],[],[],""
927,4728,3,2483,[],[],8455,"","[173,1783]","[4,1]",0,2484,[],10,"","","",[],51524,0,0,[],0,0,[],[],[],[],[],""
928,4728,4,2396,[],[],2396,22,"[5782,357]","[200,6000]",0,"",[],10,"","","",[],51652,0,0,[],0,0,[],[],[],[],[],""
929,1216,1,52,[],[],8453,"",[195],[1],0,"",[],0,"","","",[],51706,0,0,[],30,0,[],[],[],[],[],""
930,1216,3,52,[],[],8455,"",[1215],[-40],0,53,[],0,"","on_start_Fireball = \""PlayEffect( MetamorphosisSplatSurge );\""","",[],51886,0,0,[],30,0,[],[],[],[],[3615],""
931,4641,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
932,4641,2,6983,[],[],8454,"",[173],[2],0,"",[5790],0,"","","",[],51984,0,0,[],0,0,[],[],[],[],[],""
933,4641,4,4336,[],[],8477,20,"[173,2513,357,6184]","[0,5,4000,1]",0,"",[],0,"","","",[],50374,0,51,[],0,0,[],[],[],[],[],""
934,4642,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
935,4642,4,4336,[],[],8477,20,"[173,2513,357,6184]","[0,5,4000,1]",0,"",[],0,"","","",[],50374,0,51,[],0,0,[],[],[],[],[],""
936,4718,0,338,[],[],8515,"",[],[],0,"",[],0,"","","",[],12,0,0,[],0,0,[],[],[],[],[],""
937,4718,2,5589,[],[],8535,28,"[173,2513]","[4,25]",0,"",[],0,"","","",[],52184,0,81,[],0,0,[],[],[],[],[],""
