"rownum","Id","Text","XBoxText","i32","string"
1682,"LadderColumnLevel","Level","",1580198188,""
1683,"LadderColumnPoints","Points","",1668161960,""
1684,"LadderColumnRating","Rating","",672957974,""
1685,"LadderColumnResistance","Resistance","",-1549293986,""
1686,"LadderColumnRounds","Rounds","",-899022365,""
1687,"LadderColumnGamesPlayed","Rounds","",1924358275,""
1688,"LadderColumnDeaths","Deaths","",2137788997,""
1689,"LadderColumnKills","Kills","",-543053915,""
1690,"LadderLink","See Full Ladder","",936583424,""
1691,"LadderLinkHover","Click to open the full ladder in a web browser.","",1901789880,""
1692,"MissionTrackFishTalk","Mission complete. Talk to Krillson.","",-1593524262,""
1693,"MissionTrackFishComplete","Mission complete. Krillson is impressed.","",1820089947,""
1694,"MissionTrackPVPTalk","Mission complete. Talk to Leo.","",1021584044,""
1695,"CharacterClassPrefixThe","the {0}","",-1042870877,""
1696,"CharacterClassListSeparator","{0}, {1}","",-1801149461,""
1697,"CharacterClassList2","{0} or {1}","",-1857519837,""
1698,"CharacterClassListNOr","{0}, or {1}","",-2107140739,""
1699,"LeoPVPOnlyCharTitle","PvP-Only Characters","",1836400739,""
1700,"LeoPVPOnlyCharDescription","You can now create PvP-only characters in this League. These characters can only be used in PvP.\r\n\r\nTo create one of these characters, go to the character selection screen, click \""Create\"", then tick \""PvP-Only\"" after you have specified a name and class.","",38390475,""
1701,"ErrorCannotPVPOnly","You cannot do this as a PvP-only character.","",2012777263,""
1702,"ShopLoadError","Shop not available.","",-1119704781,""
1703,"PVPMatchDualLeagues","{0} and {1} League","",841924223,""
1704,"ItemDescriptionPassiveJewel","Place into an allocated Jewel Socket on the Passive Skill Tree. Right click to remove from the Socket.","Place into an allocated Jewel Socket on the Passive Skill Tree. <<xbox_button_a>> to remove from the Socket.",-373520069,""
1705,"ItemDescriptionAbyssJewel","Place into an Abyssal Socket on an Item or into an allocated Jewel Socket on the Passive Skill Tree. Right click to remove from the Socket.","Place into an Abyssal Socket on an Item or into an allocated Jewel Socket on the Passive Skill Tree. <<xbox_button_a>> to remove from the Socket.",913108453,""
1706,"ItemDescriptionAfflictionJewelSmall","Place into an allocated Small, Medium or Large Jewel Socket on the Passive Skill Tree. Added passives do not interact with jewel radiuses. Right click to remove from the Socket.","Place into an allocated Small, Medium or Large Jewel Socket on the Passive Skill Tree. Added passives do not interact with jewel radiuses. <<xbox_button_a>> to remove from the Socket.",-534988233,""
1707,"ItemDescriptionAfflictionJewelMedium","Place into an allocated Medium or Large Jewel Socket on the Passive Skill Tree. Added passives do not interact with jewel radiuses. Right click to remove from the Socket.","Place into an allocated Small or Medium Jewel Socket on the Passive Skill Tree. Added passives do not interact with jewel radiuses. <<xbox_button_a>> to remove from the Socket.",648102413,""
1708,"ItemDescriptionAfflictionJewelLarge","Place into an allocated Large Jewel Socket on the Passive Skill Tree. Added passives do not interact with jewel radiuses. Right click to remove from the Socket.","Place into an allocated Large Jewel Socket on the Passive Skill Tree. Added passives do not interact with jewel radiuses. <<xbox_button_a>> to remove from the Socket.",-1598479968,""
1709,"ItemDescriptionHeistItem","Can only be equipped to Heist members.","",1798313282,""
1710,"ErrorCannotChatInDNDMode","You cannot chat while DND mode is active.","",1161969873,""
1711,"WhisperEchoDNDSuffix","{0} (replies suppressed in DND mode)","",891093432,""
1712,"DefaultDNDMessage","This player has DND mode enabled.","",1582149616,""
1713,"DefaultAFKMessage","This player is AFK.","",546942617,""
1714,"AutoReplyPrefix","Autoreply: {0}","",2081216942,""
1715,"ChatSenderSuffix",": ","",-807668308,""
1716,"ChatSenderStaff","{0} (Staff)","",1414655362,""
1717,"ChatSenderDev","{0} (Dev)","",-879167335,""
1718,"ChatSenderMod","{0} (Mod)","",-407888056,""
1719,"ItemFilterLoadOutOfDate","Your Item Filter is out of date: {0}","",-865184848,""
1720,"ItemFilterLoadFailure","Failed to load Item Filter: {0}","",585137013,""
1721,"ItemFilterLoadSuccess","Item Filter loaded successfully.","",249481758,""
1722,"KaomArenaName","Caldera of The King","",1592318837,""
1723,"DaressoArenaName","The Ring of Blades","",1542485685,""
1724,"KaomDaressoReturn","Return to Rapture Device","",795432977,""
1725,"DoedreArenaName","Doedre's Arena","",982745477,""
1726,"ShavronneArenaName","Shavronne's Arena","",-189776107,""
1727,"MaligaroArenaName","Maligaro's Arena","",-1362261987,""
1728,"PietyBellyArenaName","The Bowels of the Beast","",106690335,""
1729,"MalachaiArenaName1","The Black Core","",1058717380,""
1730,"MalachaiArenaName2","The Black Heart","",1545956460,""
1731,"JewelRadiusLabel","Radius","",-1830969222,""
1732,"JewelRadiusLarge","Large","",-1820383572,""
1733,"JewelRadiusMedium","Medium","",1209047659,""
1734,"JewelRadiusSmall","Small","",1420563976,""
1735,"RareNameFormat2Words","{0}{1}","",861756502,""
1736,"RareNameFormat3Words","{0}{1}{2}","",549265452,""
1737,"ObjectDisplayTextDeshretSpirit","Deshret's Spirit","",-2121561041,""
1738,"SkillPopupNotEnoughEnergyShieldAndMana","[Not enough energy shield or mana]","",-814361978,""
1739,"JewelItemLimit","Limited to","",-1336313664,""
1740,"HistoricJewelLimit","1 Historic","",-699567141,""
1741,"JackTheAxeName","Jack the Axe","",-2059970483,""
1742,"GoddessUnleashedName","The Goddess","",1007100318,""
1743,"DaughterOfSinName","Daughter of Sin","",1341359716,""
1744,"DivinationWindowTitle","Card Trade","",2038244466,""
1745,"DivinationWindowTradeButton","Trade","",-1840757987,""
1746,"GrandArenaExterior","Arena","",-1518978644,""
1747,"GrandArenaInterior","Passageway","",-1260088717,""
1748,"SteamPointsPointLabel","Points","",-309084752,""
1749,"SteamPointsNewCostLabel","now","",-68970639,""
1750,"SteamPointsVideo1","Preview Video","",-1457397322,""
1751,"SteamPointsVideo2","Portal Video","",-1744033623,""
1752,"SteamPointsVideo3","Mask Video","",-271882870,""
1753,"SteamPointsVideo4","Armour Set Video","",-102202493,""
1754,"SteamPointsVideo5","Portal Video","",1242776946,""
1755,"SteamPointsPackageDescription","Select a Pack to purchase through Steam","",-508504616,""
1756,"SteamPointsPointPackLabel","Point Packs","",1470924256,""
1757,"SteamPointsCostExceedsSteamWallet","The cost of this pack exceeds the Steam Wallet limit. To purchase it with a set of smaller transactions, please contact support@grindinggear.com","",2026613417,""
1758,"SteamPointsSteamPurchaseFailed","Steam purchase failed.","",-1920845361,""
1759,"SteamPointsPurchaseSuccess","Steam purchase successful.","",1033811940,""
1760,"SteamPointsWaitingForSteamInfo","Please wait...","",283474345,""
1761,"SteamPointsWaitingSteamInfoError","Error retrieving steam user info: {0}","",1044183041,""
1762,"SteamPointsWaitingSteamInfoErrorRetryButton","Retry","",-1061507065,""
1763,"AchievementItemProgress","{0} ({1}/{2})","",-204645178,""
1764,"ItemDisplayMapRarityIncrease","Item Rarity","",1250383386,""
1765,"ItemDisplayMapPackSizeIncrease","Monster Pack Size","",775993695,""
1766,"CharacterNameExpiredPopup","This character's name has expired. The next time you attempt to log in with this character, you will be asked to provide a new name. Names expire if an account is idle for a year or if other special circumstances apply.","",822460855,""
1767,"CharacterRenameSuccess","Character successfully renamed.","",-1177828446,""
1768,"CharacterRenameWindowDetails","The character name \""{0}\"" has expired. Enter a new name for your character and then click Rename.","The character name \""{0}\"" has expired. Enter a new name for your character and then select Rename.",1391171932,""
1769,"CharacterRenameWindowCancelButton","Cancel","",1192518008,""
1770,"CharacterRenameWindowRenameButton","Rename","",5229527,""
1771,"CharacterRenameWindowTextboxEmptyText","Enter new character name...","",-764870859,""
1772,"ObjectDisplayTextLabyrinthTrialDoor","Trial of Ascendancy","",124290671,""
1773,"DarkShrineWindowTitle","Darkshrine","",1550361543,""
1774,"UseDarkShrineButton","Sacrifice","",-1830373736,""
1775,"DarkShrineHover","Sacrifice a rare item at the Darkshrine","",-838621222,""
1776,"LabyrinthMapWindowTitle","Labyrinth Map","",-1067379966,""
1777,"LabyrinthMapWindowYouAreHere","You Are Here","",-145067537,""
1778,"ObjectDisplayTextLabyrinthGoldenChest","Golden Chest","",-1536952460,""
1779,"ObjectDisplayTextLabyrinthSilverChest","Silver Chest","",529413683,""
1780,"ObjectDisplayTextLabyrinthBronzeChest","Bronze Chest","",-1653420838,""
1781,"ObjectDisplayTextGoldenDoor","Golden Door","",-975202805,""
1782,"ObjectDisplayTextSilverDoor","Silver Door","",744596331,""
1783,"ObjectDisplayTextBronzeDoor","Bronze Door","",-2122732795,""
1784,"AscendencyChamberDoor","Ascendancy Chamber","",-1614519564,""
1785,"ObjectDisplayTextStoneCircleDevice","Stone Altar","",981613690,""
1786,"ObjectDisplayTextLever","Lever","",551488254,""
1787,"ObjectDisplayTextSwitch","Switch","",-1100640552,""
1788,"ObjectDisplayTextCrank","Timed Crank","",-162896690,""
1789,"ItemDisplaySkillGemManaCostOverride","Mana Cost Override","",-797091873,""
1790,"ItemDisplaySkillGemManaReservationOverride","Reservation Override","",87015938,""
1791,"RandomItem20Quality","Perfection","",114482450,""
1792,"RandomItem0Quality","Punishment for your sins","",921444728,""
1793,"AlchemyInventoryItem","Lead turns to gold","",1826781623,""
1794,"ScourInventoryItemsGiveCurrency","All rewards have their cost","",-1163800797,""
1795,"IdentifyAll","The light of reason still shines","",-2025366519,""
1796,"RandomMonsterDropsUnique","An unlikely guard for such valuable treasure","",-1417138644,""
1797,"WeaponsDropWtih20Quality","An armoury of exquisite craftsmanship","",-1477711843,""
1798,"RandomChestDrops20QualityGem","Leave no stone unturned","",-26453400,""
1799,"AddMapToMapDevice","Journeys await you","",-154244644,""
1800,"AddJewelToJewelInventory","Power can be found in unexpected places","",1116783434,""
1801,"DropRegalAfterTime","Good things come to those who wait","",-2011575160,""
1802,"RaresDropUniquesForShortTime","Rewards are seized only by those quick enough to find them","",-980479590,""
1803,"AddItemToCharacterStats","You become one with your offering","",2075863863,""
1804,"AllMonstersGainVaalFragmentChance","Seek the Apex","",847461408,""
1805,"FillFlasks","Drink deeply","",-1015952760,""
1806,"EmptyFlasks","Your sustenance is depleted","",770869173,""
1807,"Beyond","Two worlds collide","",-1021656353,""
1808,"Rampage","Your anger rises","",-517569746,""
1809,"AddNemesisToAll","Your nemeses hunt you","",-386595015,""
1810,"HalfOfMonstersChangeToPlayerTeam","Mutiny in the ranks","",1918211252,""
1811,"SetCorruptedEnvironment","Greust would not approve","",-1248997321,""
1812,"MonstersSetZeroActionSpeed","Fear will root even the mighty in place","",-1258033362,""
1813,"MonstersSet1Life","Deliver the killing blow","",36144888,""
1814,"SpawnStrExile","Axe and Maul","",1056116627,""
1815,"SpawnStrDexExile","Sword and Board","",-1513497247,""
1816,"SpawnDexExile","Bow and Arrow","",-787671482,""
1817,"SpawnStrDexIntExile","Any and Everything","",271685936,""
1818,"SpawnDexIntExile","Dagger and Claw","",-762577503,""
1819,"SpawnStrIntExile","Sceptre and Staff","",792475645,""
1820,"SpawnIntExile","Wand and Focus","",966648056,""
1821,"SpawnInvasionBossInLevel","A strange foe from a strange land","",-413013713,""
1822,"SpawnFireWarband","The Redblade rises","",657796855,""
1823,"SpawnColdWarband","The Mutewind rises","",-439438768,""
1824,"SpawnLightningWarband","The Brinerot rises","",-811268163,""
1825,"SpawnChaosWarband","The Renegades rise","",1547868284,""
1826,"SpawnFireColdLightningWarband","Heart of the conflict","",350309309,""
1827,"SpawnRareMonsterAtShrine","Always watch your back","",-1851765635,""
1828,"SpawnMagicMonstersAtShrine","Surprise is a problem only for the unprepared","",25415696,""
1829,"SpawnPackAtShrine","Beware those who lie in ambush","",1227478755,""
1830,"SpawnKaomTotems","Ancestral magic","",1997790062,""
1831,"SpawnAbaxoth","You sense a great evil","",-2083541933,""
1832,"CloneAllMagicMonsters","Brothers in arms","",962347644,""
1833,"CloneAllRareMonsters","Prepared for trouble? How about double?","",-1699344629,""
1834,"AllMonstersTouched","The touch of the damned","",-1512931573,""
1835,"RandomDarkshrineEffect","This space intentionally left blank","",-1359701222,""
1836,"RaiseWeaponsOnGround","Never discard a weapon. It could be the blade that strikes you in the back","",404798803,""
1837,"ItemsOnGroundExchangedForSellPrice","The riches you sought were all around you","",-734094611,""
1838,"GrantMasterFavour","The forsaken favour you","",347975816,""
1839,"ResetMasterDailyTimestamps","The reward for a job well done is often another job","",303156285,""
1840,"OpenTownPortal","There's no place like home","",-969207065,""
1841,"ConsumeItem","Try again","",-624028137,""
1842,"DoNothing","Perhaps next time","",775466774,""
1843,"FillVaalSouls","Atziri's power fills you","",1530629855,""
1844,"EmptyAllShops","Not for sale","",546590877,""
1845,"FishingMessageInGlobal","Men and fish are alike. They both get into trouble when they open their mouths","",-322410852,""
1846,"FishingMessageInSocialText","Give a man a fish...","",-2004303720,""
1847,"FishingPublicParty","The gods do not deduct from man's allotted span the hours spent in fishing ","",-531020234,""
1848,"FishingFirstEnterWindingPier","Are fishermen all liars? Or do only liars fish?","",933906916,""
1849,"FishingKrilsonAsFriend","Nothing makes a fish bigger than almost being caught","",1204961929,""
1850,"FishingMutesPlayer","The fishing was good; it was the catching that was bad","",2013771218,""
1851,"FishingMapsAddedToGuildNameSlot","May the holes in your net be no larger than the fish in it","",624738893,""
1852,"GivesHeadhunterMod","The hunted becomes the hunter","",-1808400418,""
1853,"SpawnQualityCurrencyFountain","Better yourself","",1487295090,""
1854,"SpawnCloneToHelp","If you want a job done well, there is nobody better than yourself","",-831277524,""
1855,"SpawnDevourers","The ground beneath you tremors","",-2061821255,""
1856,"FillInventoryWithWisdomScraps","Even the wisest are given menial chores","",1618447621,""
1857,"SpawnGrandmasterInLevel","A worthy adversary","",-149806729,""
1858,"SpawnGrandmasterAlly","A worthy ally","",-1553641453,""
1859,"PlayerAccellerationShrine","Death doesn't wait","",1827447961,""
1860,"PlayerBrutalShrine","Hit hard. Hit once","",1276963617,""
1861,"PlayerCriticalShrine","Deliver pain exquisite","",-246537326,""
1862,"PlayerDivineShrine","Become the nightmare","",-1618116574,""
1863,"PlayerEchoingShrine","Let your rage flow freely","",-171993345,""
1864,"PlayerReplenishingShrine","Restore that which was lost","",-1109567346,""
1865,"PlayerImpenetrableShrine","None shall stop you","",1050188251,""
1866,"PlayerShroudedShrine","Shroud your path in the fog of war","",-1579490188,""
1867,"PlayerMassiveShrine","Courage stands tall","",-214698704,""
1868,"MapModEnfeeble","You feel weak","",1915529801,""
1869,"MapModElementalWeakness","Fear the elements","",-1011990101,""
1870,"MapModVulnerability","Pain from the slightest touch","",-848519986,""
1871,"MapModAOE","Size often matters","",260943731,""
1872,"MapModCannotBeStunned","Unflinching","",1143633806,""
1873,"MapModChaining","Some challenges are best faced alone","",-1123898365,""
1874,"MapModColdResist","Auromancer's bane","",-2145123785,""
1875,"MapModCriticalStrikes","Your enemies have all the luck","",-1806729424,""
1876,"MapModFireResist","Pyromancer's bane","",507965464,""
1877,"MapModFrenzyCharges","Whipped into a frenzy","",679400808,""
1878,"MapModLightningResist","Brontomancer's bane","",1017838096,""
1879,"MapModPhysicalResist","Geomancer's bane","",-1521101995,""
1880,"MapModPlayerExperience","You always were a fast learner","",402305841,""
1881,"MapModMonsterLife","Tough as nails","",716367179,""
1882,"MapModMonsterDamage","Careful now","",-507266383,""
1883,"MapModFastMonsters","A situation is only dangerous if you can't run away from it","",-1825941833,""
1884,"MapModColdDamage","No adversary in nature is more deadly than the cold","",-2003400133,""
1885,"MapModLightningDamage","No fury in nature is greater than that of lightning","",1582142770,""
1886,"MapModFireDamage","No force of nature holds more fear than fire","",2113987659,""
1887,"MapModPoisoning","Feel the corruption in your veins","",-580359503,""
1888,"MapModFracturing","Kill one head and more will rise to take its place","",-456412332,""
1889,"MapModMinusMaxResist","Your protections fail you","",-1653487411,""
1890,"MapModMultipleProjectiles","Nothing is more intimidating on the battlefield than a wall of arrows","",-1219543426,""
1891,"MapModReducedRegeneration","Your natural vitality deserts you","",-1137975215,""
1892,"MapModTempestEchoingStorm","You hear a voice on the wind","",1316598114,""
1893,"MapModTempestCorruptedDrops","You catch a faint smell of corruption on the wind","",1539363670,""
1894,"MapModTempestCurses","You catch a foul smell on the wind","",-609010600,""
1895,"MapModTempestFireSkills","A wind brings a whiff of ash","",-692628145,""
1896,"MapModTempestLightningSkills","The air feels charged somehow","",715509394,""
1897,"MapModTempestColdSkills","You feel a sudden cold breeze","",-1313327571,""
1898,"MapModTempestPhysicalSkills","You feel buffeted by a strong gust","",901893792,""
1899,"MapModTempestColdDamage","An icy wind whips up around you","",-181432319,""
1900,"MapModTempestFireDamage","A wind brings a scent of smoke","",76804220,""
1901,"MapModTempestLightningDamage","A storm approaches","",-888774281,""
1902,"DropDivinationCard","More than the paper it is printed on","",1950291905,""
1903,"DropChanceOrbs","Roll the dice","",-1363294605,""
1904,"DropVaalOrbs","Those who will not tempt fate lack the courage of manhood","",1421581376,""
1905,"DropAlchemyOrbs","The best tools are the ones you make yourself","",-934276188,""
1906,"DropArmourShards","Fortify yourself","",719363252,""
1907,"DropChisels","An accurate map makes for a rewarding journey","",-420661570,""
1908,"DropChaosOrbs","An endless sea of possibilities","",-1201564162,""
1909,"DropWhetstones","Sharpen your blade","",-80708651,""
1910,"DropDivineOrb","A gift from the divine","",-994474194,""
1911,"DropAlterations","Magic isn't constant. It can be mutated into many forms","",1220860341,""
1912,"DropTransmutes","Success lies in having the right tools","",437828577,""
1913,"RandomMonsterDrops10Currency","Keeper of wealth","",-1647214178,""
1914,"RandomMonsterDrops10Rares","Keeper of the hoard","",1604791252,""
1915,"RandomMonsterDrops100Scrolls","Keeper of wisdom","",-1425271523,""
1916,"RandomMonsterDrops5RareAmulets","Keeper of the trinkets","",799321275,""
1917,"RandomMonsterDrops5RareBelts","Keeper of the buckle","",-1122048477,""
1918,"RandomMonsterDrops5RareBows","Keeper of the bow","",-323485931,""
1919,"RandomMonsterDrops5RareClaws","Keeper of the claw","",1651791225,""
1920,"RandomMonsterDrops5RareDaggers","Keeper of the knives","",2043996014,""
1921,"RandomMonsterDrops5RareOneHandMaces","Keeper of the hammer","",209573191,""
1922,"RandomMonsterDrops5RareOneHandSwords","Keeper of the swords","",-638718585,""
1923,"RandomMonsterDrops5RareRings","Keeper of the ring","",-2132018083,""
1924,"RandomMonsterDrops5RareScepters","Keeper of the scepter","",652642294,""
1925,"RandomMonsterDrops5RareShields","Keeper of the shield","",-1405085151,""
1926,"RandomMonsterDrops5RareStaves","Keeper of the stave","",-75780791,""
1927,"RandomMonsterDrops5RareTwoHandAxes","Keeper of the axe","",-224654600,""
1928,"RandomMonsterDrops5RareTwoHandMaces","Keeper of the maul","",-1992907562,""
1929,"RandomMonsterDrops5RareTwoHandSwords","Keeper of the blades","",-1100892025,""
1930,"RandomMonsterDrops5RareWands","Keeper of the wand","",2129619619,""
1931,"RandomMonsterDrops5RareJewels","Keeper of the jewels","",1595668450,""
1932,"SpawnADarkshrine","I am twinned","",-1324631692,""
1933,"SpawnBarrelOfSpiders","Sensible objects await you","",1262866823,""
1934,"SpawnEmpyreanApparatus","Locations far and wide await you","",1761572771,""
1935,"SpawnKaomsCache","The secrets of the ancestors await you","",-811288989,""
1936,"SpawnPerandusBank","The treasures of the wealthy await you","",-1268210036,""
1937,"SpawnArcanistStrongbox","A trove of magic awaits you","",-478874532,""
1938,"SpawnArmoryStrongbox","The garb of the warrior awaits you","",604594645,""
1939,"SpawnArsenalStrongbox","The secrets of the forge await you","",-553203933,""
1940,"SpawnArtisanStrongbox","True craftsmanship awaits you","",-674110563,""
1941,"SpawnCartographersStrongbox","A map of all the world awaits you","",-11235293,""
1942,"SpawnChemistStrongbox","The secrets of chemistry await you","",506685957,""
1943,"SpawnGemcutterStrongbox","Power awaits you","",1156971234,""
1944,"SpawnJewellerStrongbox","Trinkets await you","",792856802,""
1945,"SpawnLargeStrongbox","A hoard awaits you","",322195349,""
1946,"SpawnOrnateStrongbox","A valued prize awaits you","",470111233,""
1947,"SpawnStrongbox","A miser's trove awaits you","",-1253127818,""
1948,"SpawnTormentedArsonist","He loved to play with fire","",300326962,""
1949,"SpawnTormentedCorrupter","He found power in sacrifice","",-574431115,""
1950,"SpawnTormentedCounterfeiter","He was a stickler for the details","",-645897389,""
1951,"SpawnTormentedEmbezzler","He stole that which he was entrusted with","",1756005586,""
1952,"SpawnTormentedLibrarian","He spoke the truths as he saw them","",471233326,""
1953,"SpawnTormentedNecromancer","He loved the dead. Too much","",526244582,""
1954,"SpawnTormentedPoisoner","He loved the thrill of killing his enemies. From far away","",-489646370,""
1955,"SpawnTormentedExperimenter","He craved understanding, no matter the cost","",-142004136,""
1956,"SpawnTormentedFreezer","He was never bothered by the cold","",1467094971,""
1957,"SpawnTormentedThug","His strength made him arrogant","",921021672,""
1958,"DropNormalJewels","No power but what you can make of them","",-1068364132,""
1959,"ChanceAllGroundItems","The ultimate gamble, but only for those who are prepared","",335380768,""
1960,"MaxAnImplicit","The little things add up","",-334662696,""
1961,"OpenCorruptedAreaPortals","The influence of the Vaal continues long after their civilisation has crumbled","",-1465125585,""
1962,"AddRareSkinTransferToInventoryItem","Wait, what was that sound?","",1963023231,""
1963,"MaxAndMinAnExplicitMod","You win some and you lose some","",-1120118111,""
1964,"SpawnUniqueSellingVendor","Not every deal is worth the making","",1151660664,""
1965,"OpenVaultsOfAtziri","The riches of a Queen","",1819192747,""
1966,"OpenCowardsTrial","A true test of nerves","",942441789,""
1967,"OpenObasTrial","Don't tarry","",1392448745,""
1968,"OpenOlmecsSanctum","Vaal guardians survive long after their empire has fallen","",-1753702618,""
1969,"OpenDeathAndTaxes","Head towards the sunset","",-1729684225,""
1970,"OpenWhakawairuaTuahu","A sacred place in the shadows","",1305956659,""
1971,"OpenUntaintedParadise","Where no man has tread","",-177641786,""
1972,"OpenPoorjoysAsylum","It's all in your head","",1945036451,""
1973,"OpenMaelstromOfChaos","Travel back in time","",1932745989,""
1974,"OpenActonsNightmare","A soft melody plays","",1540015256,""
1975,"OpenMaoKun","Shiver me timbers","",1149050488,""
1976,"ElreonsTrial","Elreon's Trial begins in 30 seconds. It ends if you run away. Be prepared to die","",-422625613,""
1977,"TorasTrial","Tora's Trial begins in 30 seconds. It ends if you run away. Be prepared to die","",-1618827366,""
1978,"HakusTrial","Haku's Trial begins in 30 seconds. It ends if you run away. Be prepared to die","",617456953,""
1979,"CatarinasTrial","Catarina's Trial begins in 30 seconds. It ends if you run away. Be prepared to die","",-1722753519,""
1980,"LeosTrial","Leo's Trial begins in 30 seconds. It ends if you run away. Be prepared to die","",1329136429,""
1981,"VagansTrial","Vagan's Trial begins in 30 seconds. It ends if you run away. Be prepared to die","",-85615043,""
1982,"ColdWarbandTrial","The Mutewind Trial begins in 30 seconds. It ends if you run away. Be prepared to die","",-1231856409,""
1983,"FireWarbandTrial","The Redblade Trial begins in 30 seconds. It ends if you run away. Be prepared to die","",1703370359,""
1984,"LightningWarbandTrial","The Brinerot Trial begins in 30 seconds. It ends if you run away. Be prepared to die","",2126327740,""
1985,"SkillsCostNoMana","Power without limit","",582910019,""
1986,"ImmunityToAilments","Conquer your fear of the elements","",-569233852,""
1987,"CannotBeStunned","Unwavering","",-1740928997,""
1988,"SecretPassage","Secret Passage","",-991569028,""
1989,"TalismanErrorNotEnoughTalismans","You need five talismans to operate this device.","",689707561,""
1990,"TalismanErrorMustBeDifferentTypes","All talismans placed in the device must have different base types.","",1739006814,""
1991,"TalismanErrorNotATalisman","All of the items placed in this device must be talismans.","",1287974460,""
1992,"TalismanErrorMustBeSameTier","All of the talismans placed in the device must be of the same tier.","",-1177308065,""
1993,"ErrorPortalsDisabled","Portals are disabled here.","",225029736,""
1994,"ShaperPortalsDisabled","The Shaper's power prevents the use of portals.","",-383805265,""
1995,"ElderPortalsDisabled","The Elder's power prevents the use of portals.","",1236881839,""
1996,"MavenPortalsDisabled","The Maven's power prevents the use of portals.","",966005961,""
1997,"OptionsLanguageChangeNoRestart","You must restart Path of Exile in order for your chosen language to take effect.","",-1770876392,""
1998,"ChallengesInformation","You will earn an Expedition microtransaction for every 12 challenges you complete.","",1156891019,""
1999,"ReminderTextAddedPassivesNoOtherJewels","(Added Passive Skills are never considered to be in Radius by other Jewels)","",-1622299573,""
2000,"ReminderTextAddedPassivesSmallDefault","(All Added Passive Skills are Small unless otherwise specified)","",1909485105,""
2001,"ReminderTextShortestPathToClassStart","(Always counts the shortest possible path)","",1795591224,""
2002,"ReminderTextFeedingFrenzy","(Feeding Frenzy grants 10% more Minion Damage, 10% increased Minion Movement Speed and 10% increased Minion Attack and Cast Speed)","",1310635009,""
2003,"ReminderTextOverpowered","(Overpowered can be applied any number of times)","",2114106037,""
2004,"ReminderTextImpale","(When an Impaled enemy is hit, the Impale reflects 10% of the physical damage of the Impaling hit to that enemy. Impale lasts for 5 hits or 8 seconds)","",1682158453,""
2005,"ReminderTextConsecutive","(These are consecutive)","",1875186259,""
2006,"ReminderTextCounterAttack","(Attacks that Trigger when you are Hit are Counterattacks)","",-799579639,""
2007,"ReminderTextUnaffectedBy","(Debuffs you are Unaffected by can still be placed on you, but will not actually apply their effect)","",99933486,""
2008,"ReminderTextElementalConflux","(While you have Elemental Conflux, all Damage from Hits will cause Chill, Shock, and Ignite)","",1247694312,""
2009,"ReminderTextSavageHit","(A Hit that removes at least 15% of Maximum Life is a Savage Hit)","",-990344772,""
2010,"ReminderTextOnslaught","(Onslaught grants 20% increased Attack, Cast, and Movement Speed)","",-1619555232,""
2011,"ReminderTextPoison","(Poison deals Chaos Damage over time, based on the base Physical and Chaos Damage of the Skill. Multiple instances of Poison stack)","",1998988015,""
2012,"ReminderTextBleeding","(Bleeding deals Physical Damage over time, based on the base Physical Damage of the Skill. Damage is higher while moving)","",313989286,""
2013,"ReminderTextCullingStrike","(Culling Strike means enemies that are on 10% or lower life after your Hit are Killed)","",2049133556,""
2014,"ReminderTextPhasing","(While you have Phasing, your movement is not blocked by Enemies)","",877448168,""
2015,"ReminderTextBlind","(Blinded enemies have their Chance to Hit halved)","",-790296575,""
2016,"ReminderTextMaim","(Maimed enemies have 30% reduced Movement Speed)","",-1725539375,""
2017,"ReminderTextFortify","(Fortify grants 20% less Damage Taken from Hits, for 4 seconds)","",2029689858,""
2018,"ReminderTextFortifyNoDuration","(Fortify grants 20% less Damage Taken from Hits)","",599871168,""
2019,"ReminderTextSmokeCloud","(Enemies standing in Smoke Clouds are Blinded)","",1661534327,""
2020,"ReminderTextConsecratedGround","(Allies on your Consecrated Ground Regenerate a percentage of their Maximum Life per second)","",1144098662,""
2021,"ReminderTextDefences","(Armour, Evasion Rating and Energy Shield are the standard Defences)","",606764512,""
2022,"ReminderTextDebilitatingPresence","(Nearby Enemies will be afflicted with Malignant Madness, reducing their Damage and Action Speed by 10%)","",591869876,""
2023,"ReminderTextIntimidate","(Intimidated enemies take 10% increased Attack Damage)","",-1485329041,""
2024,"ReminderTextTailwind","(Tailwind increases Action Speed by 8%)","",623969398,""
2025,"ReminderTextLastBreath","(Last Breath recovers an amount of life per second based on mana cost. It lasts for 4 seconds, but is removed if you are hit)","",-1724052041,""
2026,"ReminderTextGroundTar","(Tar reduces Enemy Movement Speed by 50%)","",-1679849591,""
2027,"ReminderTextShapersPresence","(Shaper's Presence causes effects on you and nearby allies to expire 20% slower)","",-449582166,""
2028,"SteamOverlayNotAvailable","The steam overlay must be enabled in your steam settings before you can purchase a pack in-game.","",-1642026423,""
2029,"ItemNoteEditorOptionNote","Note","",-1751963373,""
2030,"ItemNoteEditorOptionNewNote","New Note","",601194077,""
2031,"ItemNoteEditorOptionPrice","Negotiable Price","",-646756763,""
2032,"ItemNoteEditorOptionFixed","Exact Price","",1771674004,""
2033,"ItemNoteEditorOptionQuantity","Quantity","",1738015934,""
2034,"ItemNoteEditorOptionCurrency","Currency","",-1262226559,""
2035,"ItemNoteEditorOptionOffer","Offer","",-1966667627,""
