"rownum","Id","PanelImage","HeaderImage","Screenshots","Description","League","bool","ItemImages","HoverImages","TrailerVideoLink","BackgroundImage","bool","bool"
36,"Legion4","Art/2DArt/UIImages/Login/LeagueInfo/Legion/Panel3","Art/2DArt/UIImages/Login/LeagueInfo/Legion/Heading3","[""Art/2DArt/UIImages/Login/LeagueInfo/Legion/Panel3/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Legion/Panel3/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Legion/Panel3/Screenshot3""]","Enemies from each of the five Legions drop Splinters which combine together to form an Emblem of that Legion. Place two or more Emblems from different Legions in a Map Device to gain access to the Domain of Timeless Conflict, where the eternal battle between those Legions rages. Unlock the upgraded Map Device in order to fight in the ultimate conflict between all five Legions.","Legion","","[""Art/2DArt/UIImages/Login/LeagueInfo/Legion/items/TimelessMarakethSplinter"",""Art/2DArt/UIImages/Login/LeagueInfo/Legion/items/TimelessTemplarSplinter"",""Art/2DArt/UIImages/Login/LeagueInfo/Legion/items/TimelessTemplarEmblem"",""Art/2DArt/UIImages/Login/LeagueInfo/Legion/items/TimelessKaruiEmblem""]","[""Art/2DArt/UIImages/Login/LeagueInfo/Legion/items/TimelessMarakethSplinterHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Legion/items/TimelessTemplarSplinterHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Legion/items/TimelessTemplarEmblemHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Legion/items/TimelessKaruiEmblemHover""]","","","",""
37,"Legion5","Art/2DArt/UIImages/Login/LeagueInfo/Legion/Panel4","Art/2DArt/UIImages/Login/LeagueInfo/Legion/Heading4",[],"Some Legion monsters display symbols indicating the specific items they drop. Skilled players will focus on freeing the monsters that maximise the type of rewards they are seeking. Certain monsters can drop Incubation Items, which modify a piece of equipment to guarantee a certain reward after you have killed a specific number of monsters.","Legion",1,"[""Art/2DArt/UIImages/Login/LeagueInfo/Legion/items/OrnateIncubator"",""Art/2DArt/UIImages/Login/LeagueInfo/Legion/items/DivinersIncubator"",""Art/2DArt/UIImages/Login/LeagueInfo/Legion/items/HarbingersIncubator"",""Art/2DArt/UIImages/Login/LeagueInfo/Legion/items/NgamahusFlame"",""Art/2DArt/UIImages/Login/LeagueInfo/Legion/items/LoathMedallion""]","[""Art/2DArt/UIImages/Login/LeagueInfo/Legion/items/OrnateIncubatorHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Legion/items/DivinersIncubatorHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Legion/items/HarbingersIncubatorHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Legion/items/NgamahusFlameHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Legion/items/LoathMedallionHover""]","","","",""
38,"Legion6","Art/2DArt/UIImages/Login/LeagueInfo/Legion/Panel5","Art/2DArt/UIImages/Login/LeagueInfo/Legion/Heading5",[],"From each of the five Legions, it's possible to earn a special unique Jewel that can be socketed into your Passive Skill Tree. Each of the five jewels modifies nearby passive skills in different ways, providing completely new character customisation options if you are skilled enough to acquire one.","Legion","","[""Art/2DArt/UIImages/Login/LeagueInfo/Legion/items/VaalCivilization"",""Art/2DArt/UIImages/Login/LeagueInfo/Legion/items/EternalEmpireCivilization"",""Art/2DArt/UIImages/Login/LeagueInfo/Legion/items/KaruiCivilization"",""Art/2DArt/UIImages/Login/LeagueInfo/Legion/items/MarakethCivilization"",""Art/2DArt/UIImages/Login/LeagueInfo/Legion/items/TemplarCivilization""]","[""Art/2DArt/UIImages/Login/LeagueInfo/Legion/items/VaalCivilizationHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Legion/items/UnannouncedJewel"",""Art/2DArt/UIImages/Login/LeagueInfo/Legion/items/UnannouncedJewel"",""Art/2DArt/UIImages/Login/LeagueInfo/Legion/items/UnannouncedJewel"",""Art/2DArt/UIImages/Login/LeagueInfo/Legion/items/UnannouncedJewel""]","","","",""
39,"Legion7","Art/2DArt/UIImages/Login/LeagueInfo/Legion/Panel6","Art/2DArt/UIImages/Login/LeagueInfo/Legion/Heading6",[],"We've addressed most of the core issues with melee combat in Path of Exile. You can now cancel attack animations after they deal their damage. Movement skills are now all instant, and new low-level movement skills have been added for many classes. All melee attacks can now hit multiple adjacent enemies. The animation system has been overhauled, the monster targeting rules improved, and accuracy is no longer capped at 95%. There are more changes to melee combat than are possible to list here, but these changes plus a rebalance of most melee skills create an entirely new combat experience.","Legion",1,[],[],"","","",""
40,"Legion8","Art/2DArt/UIImages/Login/LeagueInfo/Legion/Panel7","Art/2DArt/UIImages/Login/LeagueInfo/Legion/Heading7","[""Art/2DArt/UIImages/Login/LeagueInfo/Legion/Panel7/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Legion/Panel7/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Legion/Panel7/Screenshot3""]","The new Blood and Sand Gladiator archetype can switch between Blood Stance and Sand Stance, dynamically modifying the function of new and existing skills. The new Rage Berserker archetype revamps the Rage system and introduces new skills that generate or consume Rage. These powerful archetypes and their new skills offer additional options for many other Path of Exile builds.","Legion","",[],[],"","","",""
41,"Legion9","Art/2DArt/UIImages/Login/LeagueInfo/Legion/Panel8","Art/2DArt/UIImages/Login/LeagueInfo/Legion/Heading8",[],"With all the melee combat improvements, players can now dodge out of the way of attacks easily. We have taken advantage of this by rebalancing monster attacks that used to have poor signalling to now have a wind-up. This rebalance extends to improving monster AI and boss fights throughout the early campaign.","Legion",1,[],[],"","","",""
42,"Legion10","Art/2DArt/UIImages/Login/LeagueInfo/Legion/Panel9","Art/2DArt/UIImages/Login/LeagueInfo/Legion/Heading9",[],"Alongside 14 new Divination Cards, Path of Exile: Legion contains 12 new unique items for you to discover. In addition, we have chosen 15 existing unique items that are themed around Legion's five armies and have rebalanced them so that they have become powerful rewards to find in the new league.","Legion","","[""Art/2DArt/UIImages/Login/LeagueInfo/Legion/items/DarkDreams"",""Art/2DArt/UIImages/Login/LeagueInfo/Legion/items/AlluringBounty"",""Art/2DArt/UIImages/Login/LeagueInfo/Legion/items/AukunasWill"",""Art/2DArt/UIImages/Login/LeagueInfo/Legion/items/MawofConquest"",""Art/2DArt/UIImages/Login/LeagueInfo/Legion/items/VollsProtector"",""Art/2DArt/UIImages/Login/LeagueInfo/Legion/items/LaviangasWisdom"",""Art/2DArt/UIImages/Login/LeagueInfo/Legion/items/RathpithGlobe""]","[""Art/2DArt/UIImages/Login/LeagueInfo/Legion/items/DarkDreamsHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Legion/items/AlluringBountyHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Legion/items/AukunasWillHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Legion/items/MawofConquestHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Legion/items/VollsProtectorHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Legion/items/LaviangasWisdomHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Legion/items/RathpithGlobeHover""]","","","",""
43,"Legion11","Art/2DArt/UIImages/Login/LeagueInfo/Legion/Panel10","Art/2DArt/UIImages/Login/LeagueInfo/Legion/Heading10",[],"We're also launching two sets of Supporter Packs alongside Legion - the Cult of Darkness and Blood Knight Packs. There are two price points available for each and they feature masses of points alongside new Armour Sets and other exclusive cosmetic microtransactions!\n\nPath of Exile: Legion will launch on June 7th (PDT) on PC, and June 10 on Xbox One and PlayStation 4.","Legion",1,[],[],"","",1,""
44,"Blight1","Art/2DArt/UIImages/Login/LeagueInfo/Blight/TrailerThumbnail","",[],"","Blight","",[],[],"http://web.poecdn.com/public/videos/BlightTrailer_En.bk2","","",""
45,"Blight2","Art/2DArt/UIImages/Login/LeagueInfo/Blight/Panel1","Art/2DArt/UIImages/Login/LeagueInfo/Blight/Heading1",[],"In Path of Exile: Blight, you must stop the spread of the deadly Blight by building towers to defend against monsters held in its thrall.\n\nOur September expansion contains the Blight challenge league, three revamped balance archetypes with new skills and support gems, plenty of new items, two old leagues being integrated into the core game, and a focus on giving you more freedom to choose which aspects of Path of Exile's content you play and when.","Blight","",[],[],"","","",""
46,"Blight3","Art/2DArt/UIImages/Login/LeagueInfo/Blight/Panel2","Art/2DArt/UIImages/Login/LeagueInfo/Blight/Heading2","[""Art/2DArt/UIImages/Login/LeagueInfo/Blight/Panel2/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Blight/Panel2/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Blight/Panel2/Screenshot3""]","Sister Cassia is trying to stop the spread of the mind-controlling Blight by destroying Fungal Growths. When attacked, the Blight commands infected monsters to defend it. The monsters mindlessly follow the Blight's tendrils, only attacking foes directly in their path. The infected are unusually tough, so you'll need to build defensive towers to exploit each monster's specific weaknesses. For each tendril lane you defend, a chest will appear with your rewards.","Blight",1,[],[],"","","",""
47,"Blight4","Art/2DArt/UIImages/Login/LeagueInfo/Blight/Panel3","Art/2DArt/UIImages/Login/LeagueInfo/Blight/Heading3",[],"Sister Cassia's arsenal contains towers that Chill, Shock, Stun, Burn, Summon, Empower, Petrify and Debilitate. Choose, place and upgrade these towers carefully to take advantage of both the terrain and the weaknesses of the infected monsters. These fast, bite-sized Tower Defense encounters combine Path of Exile's intense action combat with the tactical fun of this popular genre.","Blight","","[""Art/2DArt/UIImages/Login/LeagueInfo/Blight/items/MoonstoneRing"",""Art/2DArt/UIImages/Login/LeagueInfo/Blight/items/HealthyPrismaticRingoftheFlatworm"",""Art/2DArt/UIImages/Login/LeagueInfo/Blight/items/MorbidHold""]","[""Art/2DArt/UIImages/Login/LeagueInfo/Blight/items/MoonstoneRingHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Blight/items/HealthyPrismaticRingoftheFlatwormHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Blight/items/MorbidHoldHover""]","","","",""
48,"Blight5","Art/2DArt/UIImages/Login/LeagueInfo/Blight/Panel4","Art/2DArt/UIImages/Login/LeagueInfo/Blight/Heading4",[],"Path of Exile's end-game is not safe from the effects of the Blight either. Find Blighted Maps which contain gigantic Blight encounters with dozens of lanes and some of the league's most valuable rewards.","Blight",1,"[""Art/2DArt/UIImages/Login/LeagueInfo/Blight/items/BlightedRampartsMap"",""Art/2DArt/UIImages/Login/LeagueInfo/Blight/items/CeremonialBlightedToxicSewerMapofGiants"",""Art/2DArt/UIImages/Login/LeagueInfo/Blight/items/DirePoint""]","[""Art/2DArt/UIImages/Login/LeagueInfo/Blight/items/BlightedRampartsMapHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Blight/items/CeremonialBlightedToxicSewerMapofGiantsHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Blight/items/DirePointHover""]","","","",""
49,"Blight6","Art/2DArt/UIImages/Login/LeagueInfo/Blight/Panel5","Art/2DArt/UIImages/Login/LeagueInfo/Blight/Heading5",[],"Among other treasures, the Blight yields Oils which Sister Cassia can use to anoint your jewellery. Combine two Oils to enchant a Ring with a potent tower modifier. Combine three Oils to enchant your Amulet with any Notable Passive Skill from the Skill Tree. The twelve Oils vary considerably in rarity, with each combination of them granting a different result.","Blight","","[""Art/2DArt/UIImages/Login/LeagueInfo/Blight/items/VioletOil"",""Art/2DArt/UIImages/Login/LeagueInfo/Blight/items/AmberOil"",""Art/2DArt/UIImages/Login/LeagueInfo/Blight/items/SilverOil"",""Art/2DArt/UIImages/Login/LeagueInfo/Blight/items/OpalescentOil"",""Art/2DArt/UIImages/Login/LeagueInfo/Blight/items/BlackOil"",""Art/2DArt/UIImages/Login/LeagueInfo/Blight/items/BlastingCitrineAmuletofRaiding"",""Art/2DArt/UIImages/Login/LeagueInfo/Blight/items/WoeChoker"",""Art/2DArt/UIImages/Login/LeagueInfo/Blight/items/ZerphisHeart""]","[""Art/2DArt/UIImages/Login/LeagueInfo/Blight/items/VioletOilHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Blight/items/AmberOilHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Blight/items/SilverOilHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Blight/items/OpalescentOilHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Blight/items/BlackOilHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Blight/items/BlastingCitrineAmuletofRaidingHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Blight/items/WoeChokerHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Blight/items/ZerphisHeartHover""]","","","",""
50,"Blight7","Art/2DArt/UIImages/Login/LeagueInfo/Blight/Panel6","Art/2DArt/UIImages/Login/LeagueInfo/Blight/Heading6",[],"Four of the Unique Items exclusive to the Blight league form an armour set that can also be anointed with Notable Passives. Combined with an anointed Amulet, the wearer of this set can have up to five bonus Notable Passives active at once, unlocking countless new build possibilities.","Blight",1,"[""Art/2DArt/UIImages/Login/LeagueInfo/Blight/items/TheStampede""]","[""Art/2DArt/UIImages/Login/LeagueInfo/Blight/items/TheStampedeHover""]","","","",""
51,"Blight8","Art/2DArt/UIImages/Login/LeagueInfo/Blight/Panel7","Art/2DArt/UIImages/Login/LeagueInfo/Blight/Heading7","[""Art/2DArt/UIImages/Login/LeagueInfo/Blight/Panel7/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Blight/Panel7/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Blight/Panel7/Screenshot3""]","You're no longer forced to run every Master Mission as soon as you encounter it, or required to run arbitrary maps to complete your dailies. Significantly more of your Missions are now earned through map completion and they can be run later by talking to the Master in your hideout. Missions accumulate indefinitely, and you can run them whenever you have time, on whatever maps you choose.\n\nWe have also improved Betrayal's rewards, made deeper depths easier to access in Delve, and integrated Legion and the boss fights from Synthesis into the core game.","Blight","",[],[],"","","",""
52,"Blight9","Art/2DArt/UIImages/Login/LeagueInfo/Blight/Panel8","Art/2DArt/UIImages/Login/LeagueInfo/Blight/Heading8","[""Art/2DArt/UIImages/Login/LeagueInfo/Blight/Panel8/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Blight/Panel8/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Blight/Panel8/Screenshot3""]","Summoners are one of the most popular playstyles in Action RPGs. In Path of Exile: Blight we have significantly revamped many Summoner mechanics and the Witch's Necromancer Ascendancy Class. We have buffed the per-gem-level progression of many minion types, added new support gems that allow you to fine-tune minion behaviour, revamped the Necromancer Ascendancy, introduced the Carrion Golem, added a high-level wand base type that can roll powerful minion mods and have made many other changes.\n\nTo support all the new skills that are available, we have added an additional bar of skill bindings.","Blight",1,[],[],"","","",""
53,"Blight10","Art/2DArt/UIImages/Login/LeagueInfo/Blight/Panel9","Art/2DArt/UIImages/Login/LeagueInfo/Blight/Heading9","[""Art/2DArt/UIImages/Login/LeagueInfo/Blight/Panel9/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Blight/Panel9/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Blight/Panel9/Screenshot3""]","The Poison Assassin, once the most dominant play style in Path of Exile, is returning (almost) to its glory days! Blight adds a new poison themed Support Gem and a suite of five potent new poison-themed Skill Gems, including Cobra Lash, which chains a poisoned projectile between your foes. The new Elusive mechanic, supported by a new Ascendancy notable, provides powerful defensive opportunities and a means of escape, while changes to the Perfect Agony Keystone Passive and multipliers for ailments from Critical Hits ensure the Poison Assassin gets his mark.","Blight","",[],[],"","","",""
54,"Blight11","Art/2DArt/UIImages/Login/LeagueInfo/Blight/Panel10","Art/2DArt/UIImages/Login/LeagueInfo/Blight/Heading10","[""Art/2DArt/UIImages/Login/LeagueInfo/Blight/Panel10/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Blight/Panel10/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Blight/Panel10/Screenshot3""]","We often received feedback that Mines, though strong, felt clunky to use. In Blight, we have completely reworked Mine mechanics from the ground up. Thrown to a location rather than placed at your feet, Mines now deploy more quickly and detonate in sequence. Mine skills now also reward you for detonating long sequences. New and reworked Mine Support Gems, as well as the mobile Skitterbots, provide new avenues for explosive power. All these additions are further enhanced by changes to the Passive Skill Tree and the Saboteur Ascendancy Class.","Blight",1,[],[],"","","",""
55,"Blight12","Art/2DArt/UIImages/Login/LeagueInfo/Blight/Panel11","Art/2DArt/UIImages/Login/LeagueInfo/Blight/Heading11",[],"Alongside the Oils, Blighted Maps and new Jewellery Enchantments, Path of Exile: Blight contains 18 new Divination Cards, 16 new Skill and Support Gems, and 16 new Unique Items for you to discover. In addition, we have rebalanced 24 existing Unique Items, of which six have received substantial overhauls.","Blight","","[""Art/2DArt/UIImages/Login/LeagueInfo/Blight/items/PolishedLegionScarab"",""Art/2DArt/UIImages/Login/LeagueInfo/Blight/items/ColdIronPoint"",""Art/2DArt/UIImages/Login/LeagueInfo/Blight/items/TriadGrip"",""Art/2DArt/UIImages/Login/LeagueInfo/Blight/items/BadgeoftheBrotherhood"",""Art/2DArt/UIImages/Login/LeagueInfo/Blight/items/AkilsProphecy"",""Art/2DArt/UIImages/Login/LeagueInfo/Blight/items/NooksCrown""]","[""Art/2DArt/UIImages/Login/LeagueInfo/Blight/items/PolishedLegionScarabHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Blight/items/ColdIronPointHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Blight/items/TriadGripHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Blight/items/BadgeoftheBrotherhoodHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Blight/items/AkilsProphecyHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Blight/items/NooksCrownHover""]","","","",""
56,"Blight13","Art/2DArt/UIImages/Login/LeagueInfo/Blight/Panel12","Art/2DArt/UIImages/Login/LeagueInfo/Blight/Heading12",[],"We're also launching two sets of Supporter Packs alongside Blight - the Lich and Sentinel Packs. There are two price points available for each and they feature masses of points alongside new Armour Sets and other exclusive cosmetic microtransactions!\n\nPath of Exile: Blight will launch on September 6th (PDT) on PC, and September 9 on Xbox One and PlayStation 4.","Blight",1,[],[],"","",1,""
57,"Metamorph1","Art/2DArt/UIImages/Login/LeagueInfo/Metamorph/TrailerThumbnail","",[],"","Metamorph","",[],[],"http://web.poecdn.com/public/videos/MetamorphTrailer_En.bk2","","",""
58,"Metamorph2","Art/2DArt/UIImages/Login/LeagueInfo/Metamorph/Panel1","Art/2DArt/UIImages/Login/LeagueInfo/Metamorph/Heading1",[],"In the Metamorph league, you'll meet a new NPC, Tane Octavius, a master alchemist who studied in Oriath. Exiled to Wraeclast for killing his teacher, Tane searches for what makes the self, by using his learned alchemical knowledge to assemble monster essences. He hopes to find a cure, or perhaps just the source, for what he calls the intrinsic darkness that led to his unforgivable violence.","Metamorph","",[],[],"","","",""
59,"Metamorph3","Art/2DArt/UIImages/Login/LeagueInfo/Metamorph/Panel2","Art/2DArt/UIImages/Login/LeagueInfo/Metamorph/Heading2","[""Art/2DArt/UIImages/Login/LeagueInfo/Metamorph/Panel2/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Metamorph/Panel2/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Metamorph/Panel2/Screenshot3""]","In each area you play in the Metamorph League, Tane will collect samples from selected monsters you have killed. Summon Tane to combine your choice of samples to create a formidable Metamorphic foe to defeat. Each sample contributes abilities to this boss, who wildly morphs from form to form during the encounter. With careful selection of samples, you control which abilities the boss has and what rewards it yields.","Metamorph",1,[],[],"","","",""
60,"Metamorph4","Art/2DArt/UIImages/Login/LeagueInfo/Metamorph/Panel3","Art/2DArt/UIImages/Login/LeagueInfo/Metamorph/Heading3",[],"Metamorph encounters can also drop Catalysts, a new type of currency item that adds quality to jewellery. There are many types of jewellery quality, each related to a set of mods. The quality value on a piece of jewellery scales up the magnitude of related mods on the item and can be consumed through crafting to increase the chances of rolling related mods.","Metamorph","","[""Art/2DArt/UIImages/Login/LeagueInfo/Metamorph/items/ImbuedCatalyst"",""Art/2DArt/UIImages/Login/LeagueInfo/Metamorph/items/FertileCatalyst"",""Art/2DArt/UIImages/Login/LeagueInfo/Metamorph/items/PrismaticCatalyst""]","[""Art/2DArt/UIImages/Login/LeagueInfo/Metamorph/items/ImbuedCatalystHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Metamorph/items/FertileCatalystHover"",""Art/2DArt/UIImages/Login/LeagueInfo/Metamorph/items/PrismaticCatalystHover""]","","","",""
61,"Metamorph5","Art/2DArt/UIImages/Login/LeagueInfo/Metamorph/Panel4","Art/2DArt/UIImages/Login/LeagueInfo/Metamorph/Heading4","[""Art/2DArt/UIImages/Login/LeagueInfo/Metamorph/Panel4/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Metamorph/Panel4/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Metamorph/Panel4/Screenshot3""]","In the endgame of the Metamorph league, you can collect samples from Maps Bosses to create deadly Metamorphs that combine the powers, challenge and rewards of multiple bosses into very dangerous encounters.","Metamorph",1,[],[],"","","",""
62,"Metamorph6","Art/2DArt/UIImages/Login/LeagueInfo/Metamorph/Panel5","Art/2DArt/UIImages/Login/LeagueInfo/Metamorph/Heading5",[],"The Metamorph league is part of the larger Conquerors of the Atlas expansion, coming out on December 13 (PST) on PC, and the following week on Xbox One and PlayStation 4.","Metamorph","",[],[],"","",1,""
63,"Delirium1","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/ThumbnailTrailer","",[],"","Delirium","",[],[],"http://web.poecdn.com/public/videos/DeliriumTrailer_En.bk2","","",""
64,"Delirium2","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Panel1","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Heading1",[],"A mysterious affliction has infiltrated your mind. As you touch the Mirror of Delirium, reality turns to mist and your worst nightmares emerge before your eyes.\r\n\r\nOur March expansion contains the Delirium challenge league, the new Cluster Jewel system, new skills and support gems, powerful new items and further improvements to the Atlas endgame.","Delirium","",[],[],"","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/textbackground","",""
65,"Delirium3","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Panel2","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Heading2","[""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Panel2/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Panel2/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Panel2/Screenshot3""]","As the mists of Delirium consume you, new enemies emerge and existing foes gain savage talents. Delirium introduces dozens of lethal monster modifiers, many new bosses, and horrifying demons lurking within rare and unique monsters.","Delirium",1,[],[],"","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/textbackground","",""
66,"Delirium4","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Panel3","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Heading3","[""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Panel3/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Panel3/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Panel3/Screenshot3""]","As you travel deeper into the Delirium, you'll experience more numerous and challenging enemies with greater rewards. Will you let greed and hubris draw you into the madness?","Delirium","",[],[],"","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/textbackground","",""
67,"Delirium5","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Panel4","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Heading4","[""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Panel4/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Panel4/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Panel4/Screenshot3""]","Nowhere is safe. Encounters you once mastered can now be played under the effects of Delirium, substantially ramping up their difficulty and rewards. If you're daring, you can exploit Delirium to amplify past conflicts.","Delirium",1,[],[],"","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/textbackground","",""
68,"Delirium6","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Panel5","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Heading5",[],"Orbs of Delirium can be applied to endgame maps to control how intense your Delirium is. Under the influence of an Orb, you are immediately plunged into Delirium for the entire duration of that map. A single Orb creates a challenging encounter, but up to five can be applied to a map for ultimate difficulty and rewards.","Delirium","","[""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/items/DeliriumOrbofCurrency"",""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/items/DeliriumOrbofUniques"",""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/items/DeliriumOrbofEssences"",""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/items/DeliriumOrbofMaps"",""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/items/DeliriumOrbofFossils"",""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/items/FungalHollowMap""]","[""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/items/DeliriumOrbofCurrency_hover"",""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/items/DeliriumOrbofUniques_hover"",""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/items/DeliriumOrbofEssences_hover"",""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/items/DeliriumOrbofMaps_hover"",""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/items/DeliriumOrbofFossils_hover"",""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/items/FungalHollowMap_hover""]","","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/textbackground","",""
69,"Delirium7","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Panel6","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Heading6",[],"Search the deepest reaches of your Delirium for Splinters and combine them to create The Simulacrum. Enter its portal and try to survive the ultimate endgame Delirium challenge.","Delirium",1,"[""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/items/SimulacrumSplinter"",""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/items/Simulacrum""]","[""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/items/SimulacrumSplinter_hover"",""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/items/Simulacrum_hover""]","","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/textbackground","",""
