"rownum","QuestKey","i32","QuestStates","[i32]","Text","bool","Message","MapPinsKeys1","i32","MapPinsTexts","MapPinsKeys2","[rid]","bool","[i32]","QuestStateCalcuationKey","i32","i32","i32","i32","rid"
289,28,11,"[488,490]",[],"Siosa wants you to recover the two remaining Golden Pages in the Archives.","","Find the two remaining Golden Pages",[48],0,"[""Find the two remaining Golden Pages""]",[48],[],"",[],0,0,78982,0,8,""
290,28,12,"[489,490]",[],"Siosa wants you to recover the two remaining Golden Pages in the Archives.","","Find the two remaining Golden Pages",[48],0,"[""Find the two remaining Golden Pages""]",[48],[],"",[],0,0,79104,0,8,""
291,28,13,[487],[],"Siosa wants you to recover the three remaining Golden Pages in the Archives.","","Find the three remaining Golden Pages",[48],0,"[""Find the three remaining Golden Pages""]",[48],[],"",[],0,0,79460,0,8,""
292,28,14,[488],[],"Siosa wants you to recover the three remaining Golden Pages in the Archives.","","Find the three remaining Golden Pages",[48],0,"[""Find the three remaining Golden Pages""]",[48],[],"",[],0,0,79582,0,8,""
293,28,15,[489],[],"Siosa wants you to recover the three remaining Golden Pages in the Archives.","","Find the three remaining Golden Pages",[48],0,"[""Find the three remaining Golden Pages""]",[48],[],"",[],0,0,79704,0,8,""
294,28,16,[490],[],"Siosa wants you to recover the three remaining Golden Pages in the Archives.","","Find the three remaining Golden Pages",[48],0,"[""Find the three remaining Golden Pages""]",[48],[],"",[],0,0,79826,0,8,""
295,28,17,[486],[],"Siosa wants you to bring him the four Golden Pages scattered about the Archives.","","Find the four Golden Pages",[48],0,"[""Find the four Golden Pages""]",[48],[],"",[],0,0,80146,0,8,""
296,29,0,[198],[],"Quest Complete - You have delivered the Decanter Spiritus and Chitus' Plum to Captain Fairgraves and received a reward. Fairgraves' fate, however, remains a mystery.",1,"Quest Complete",[],0,[],[],[],"",[],0,0,80484,0,8,""
297,29,1,"[533,199]",[],"Deliver the Decanter Spiritus to Captain Fairgraves in the Docks, to help him find eternal rest.","","",[43],0,"[""Talk to Fairgraves""]",[43],[],"",[],0,0,80768,0,8,""
298,29,2,"[533,200]",[],"Deliver Chitus' Plum to Captain Fairgraves in the Docks, to help him find eternal rest.","","",[43],0,"[""Talk to Fairgraves""]",[43],[],"",[],0,0,81034,0,8,""
299,29,3,[533],[],"Quest Complete - You have delivered the Decanter Spiritus and Chitus' Plum to Captain Fairgraves. Talk to him for a reward, so that he will be free to finally find eternal rest.","","",[43],0,"[""Talk to Fairgraves""]",[43],[],"",[],0,0,81476,0,8,""
300,29,4,"[497,199]",[],"Deliver the Decanter Spiritus to Captain Fairgraves in the Docks, to help him find eternal rest.","","Bring the Decanter Spiritus to Fairgraves",[43],0,"[""Talk to Fairgraves""]",[43],[],"",[],0,0,81650,0,8,""
301,29,5,"[498,200]",[],"Deliver Chitus' Plum to Captain Fairgraves in the Docks, to help him find eternal rest.","","Bring Chitus' Plum to Fairgraves",[43],0,"[""Talk to Fairgraves""]",[43],[],"",[],0,0,81806,0,8,""
302,29,6,"[197,199,200]",[],"Deliver the Decanter Spiritus and Chitus' Plum to Captain Fairgraves in the Docks, to help him find eternal rest.","","Bring the items to Fairgraves",[43],0,"[""Talk to Fairgraves""]",[43],[],"",[],0,0,82190,0,8,""
303,29,7,"[197,498]",[200],"Thanks to the Allflame, Captain Fairgraves survived your initial encounter, but now he wants to die once and for all. To achieve this, he needs you to find Chitus' Plum on a tree in the Imperial Gardens.","","Find Chitus' Plum",[47],0,"[""Find Chitus' Plum""]",[47],[],"",[],0,0,82728,0,8,""
304,29,8,"[197,199]",[200],"Thanks to the Allflame, Captain Fairgraves survived your initial encounter, but now he wants to die once and for all. To achieve this, he needs you to find Chitus' Plum on a tree in the Imperial Gardens.","","Find Chitus' Plum",[47],0,"[""Find Chitus' Plum""]",[47],[],"",[],0,0,82818,0,8,""
305,29,9,"[197,497]",[199],"Thanks to the Allflame, Captain Fairgraves survived your initial encounter, but now he wants to die once and for all. To achieve this, he needs you to find the Decanter Spiritus in the Marketplace.","","Find the Decanter Spiritus",[38],0,"[""Find the Decanter Spiritus""]",[38],[],"",[],0,0,83380,0,8,""
306,29,10,"[197,200]",[199],"Thanks to the Allflame, Captain Fairgraves survived your initial encounter, but now he wants to die once and for all. To achieve this, he needs you to find the Decanter Spiritus in the Marketplace.","","Find the Decanter Spiritus",[38],0,"[""Find the Decanter Spiritus""]",[38],[],"",[],0,0,83488,0,8,""
307,29,11,[197],[],"Thanks to the Allflame, Captain Fairgraves survived your initial encounter, but now he wants to die once and for all. To achieve this, he needs you to find Chitus' Plum on a tree in the Imperial Gardens, and the Decanter Spiritus in the Marketplace.","","Find the Decanter Spiritus and Chitus' Plum","[38,47]",0,"[""Find the Decanter Spiritus"",""Find Chitus' Plum""]","[38,47]",[],"",[],0,0,84258,0,8,""
308,29,12,"[199,200]",[48],"Return to the Ship Graveyard in Act One and complete the Marooned Mariner quest.","","Return to The Ship Graveyard",[],0,"[""Return to The Ship Graveyard in Act One""]",[],[],"",[],0,0,84584,0,8,""
309,29,13,[199],[48],"Return to the Ship Graveyard in Act One and complete the Marooned Mariner quest.","","Return to The Ship Graveyard",[],0,"[""Return to The Ship Graveyard in Act One""]",[],[],"",[],0,0,84682,0,8,""
310,29,14,[200],[48],"Return to the Ship Graveyard in Act One and complete the Marooned Mariner quest.","","Return to The Ship Graveyard",[],0,"[""Return to The Ship Graveyard in Act One""]",[],[],"",[],0,0,84780,0,8,""
311,29,15,"[199,200]",[],"Search the Docks for a use for the Decanter Spiritus and Chitus' Plum.","","You have found the Decanter Spiritus and Chitus' Plum",[43],0,"[""Search the Docks""]",[43],[],"",[],0,0,85118,0,8,""
312,29,16,[199],[],"Search the Docks for a use for the Decanter Spiritus.","","You have found the Decanter Spiritus",[43],0,"[""Search the Docks""]",[43],[],"",[],0,0,85384,0,8,""
313,29,17,[200],[],"Search the Docks for a use for the Chitus' Plum.","","You have found Chitus' Plum",[43],0,"[""Search the Docks""]",[43],[],"",[],0,0,85622,0,8,""
314,34,0,[793],[917],"Quest Complete - You have entered the Black Core and killed Malachai.",1,"",[],0,[],[],[],"",[],0,0,85772,0,8,""
315,34,1,"[793,56]",[],"Quest Complete - You have entered the Black Core and killed Malachai.",1,"",[],0,[],[],[69],"",[],0,0,85796,0,8,""
316,34,2,[665],[917],"Quest Complete - You have entered the Black Core and killed Malachai. Now talk to Tasuni in Highgate.","","Talk to Tasuni",[50],0,"[""Talk to Tasuni""]",[50],[],"",[],0,0,86114,0,8,""
317,34,3,"[665,56]",[],"Quest Complete - You have entered the Black Core and killed Malachai. Now talk to Tasuni in Highgate.","","Talk to Tasuni",[50],0,"[""Talk to Tasuni""]",[50],[69],"",[],0,0,86210,0,8,""
318,34,4,"[706,382,383,384]",[],"Piety has helped you gain access to Malachai's inner sanctum, the Black Core. Kill him to destroy the Beast.","","Kill Malachai",[60],0,"[""Kill Malachai""]",[],[],"",[],0,0,86530,0,8,""
319,34,5,[917],"[382,383,384]","Kill Malachai's three guardians, Maligaro, Doedre, and Shavronne, to access the Black Core.","","Kill Malachai's three guardians",[60],0,"[""Kill Doedre\nKill Maligaro\nKill Shavronne""]",[60],[],"",[],0,0,86922,0,8,""
320,34,6,[917],"[382,383]","Kill Malachai's remaining guardians, Doedre and Shavronne, to access the Black Core.","","Kill Malachai's remaining guardians",[60],0,"[""Kill Doedre\nKill Shavronne""]",[60],[],"",[],0,0,87276,0,8,""
321,34,7,[917],"[382,384]","Kill Malachai's remaining guardians, Doedre and Maligaro, to access the Black Core.","","Kill Malachai's remaining guardians",[60],0,"[""Kill Doedre\nKill Maligaro""]",[60],[],"",[],0,0,87552,0,8,""
322,34,8,[917],"[383,384]","Kill Malachai's remaining guardians, Maligaro and Shavronne, to access the Black Core.","","Kill Malachai's remaining guardians",[60],0,"[""Kill Maligaro\nKill Shavronne""]",[60],[],"",[],0,0,87840,0,8,""
323,34,9,[917],[382],"Kill Malachai's remaining guardian, Doedre, to access the Black Core.","","Kill Malachai's remaining guardian",[60],0,"[""Kill Doedre to access the Black Core""]",[60],[],"",[],0,0,88178,0,8,""
324,34,10,[917],[383],"Kill Malachai's remaining guardian, Shavronne, to access the Black Core.","","Kill Malachai's remaining guardian",[60],0,"[""Kill Shavronne to access the Black Core""]",[60],[],"",[],0,0,88456,0,8,""
325,34,11,[917],[384],"Kill Malachai's remaining guardian, Maligaro, to access the Black Core.","","Kill Malachai's remaining guardian",[60],0,"[""Kill Maligaro to access the Black Core""]",[60],[],"",[],0,0,88730,0,8,""
326,34,12,[917],[],"You have killed all three of Malachai's guardians. Enter the Black Core and kill Malachai.","","Enter the Black Core",[60],0,"[""Enter the Black Core""]",[60],[],"",[],0,0,89046,0,8,""
327,34,13,[699],[],"Piety has used Malachai's organs to gain access to the Black Core and offered to help fight him. Go inside and kill Malachai.","","Enter the Black Core",[60],0,"[""Enter the Black Core""]",[60],[],"",[],0,0,89388,0,8,""
328,34,14,[705],[],"Piety has revealed that Malachai is in control of the Beast, and is residing in the Black Core. Find your way inside and kill him.","","",[60],0,"[""Find a way into the Black Core""]",[60],[],"",[],0,0,89760,0,8,""
329,34,15,[704],[],"Piety seems to have reverted to her human form and wants to parley. Talk to her in the Belly of the Beast.","","Talk to Piety",[59],0,"[""Talk to Piety""]",[59],[],"",[],0,0,90080,0,8,""
330,34,16,[703],[],"A nightmarish Piety blocks your way through the Belly of the Beast. Kill her and continue on your way to kill the Beast from within.","","Kill Piety",[59],0,"[""Kill Piety""]",[59],[],"",[],0,0,90416,0,8,""
331,34,17,[684],[],"The Rapture Device has drained Dialla of much of her life force and failed to kill the Beast. However, it has opened a gaping wound in its exterior. Travel inside the Beast and kill it from within.","","",[59],0,"[""Destroy the Beast within""]",[59],[],"",[],0,0,90910,0,8,""
332,34,18,[721],[],"The Rapture Device has drained Dialla of much of her life force and failed to kill the Beast. However, it has opened a gaping wound in its exterior. Travel inside the Beast and kill it from within.","","Enter the Belly of the Beast",[59],0,"[""Enter the Belly of the Beast""]",[],[],"",[],0,0,91058,0,8,""
333,34,19,[698],[],"The Rapture Device has drained Dialla of much of her life force and failed to kill the Beast. However, it has opened a gaping wound in its exterior. Travel inside the Beast and kill it from within.","","",[59],0,"[""Destroy the Beast within""]",[],[],"",[],0,0,91138,0,8,""
334,34,20,[693],[],"Dialla requires two special power sources to activate the Rapture Device and kill the Beast. Find the Eye of Fury and the Eye of Desire and give them to her.","","Find the Eyes of Fury and Desire",[54],0,"[""Power the Rapture Device with the gems from Kaom and Daresso""]",[],[],"",[],0,0,91676,0,8,""
335,34,21,[797],[],"You have found the Rapture Device deep within the Crystal Veins. Talk to Dialla there.","","Talk to Dialla",[54],0,"[""Talk to Dialla""]",[54],[],"",[],0,0,91928,0,8,""
336,34,22,[688],[],"Dialla has asked you find the Rapture Device and use it to kill the Beast. Find it deep within the Mines.","","Find the Rapture Device",[54],0,"[""Find the Rapture Device""]",[],[],"",[],0,0,92270,0,8,""
337,34,23,[707],[],"You have used Deshret's Banner to break her Seal, which was blocking all access to the Mines. Talk to Dialla for more information about her quest.","","",[50],0,"[""Talk to Dialla""]",[50],[],"",[],0,0,92642,0,8,""
338,34,24,[672],[],"Dialla wants you to destroy the Beast slumbering within the Mines. However, the entrance has been long sealed by Sekhema Deshret. Find a way to break her Seal and gain access to the Mines.","","",[53],0,"[""Find a way into the mountain""]",[],[],"",[],0,0,93110,0,8,""
339,34,25,[664],[],"Dialla wants you to destroy the darkness in the mountain. Talk to Oyun for advice.","","Talk to Oyun",[50],0,"[""Talk to Oyun""]",[],[],"",[],0,0,93362,0,8,""
340,34,26,[673],[],"You have reached Highgate, an encampment occupied by the Maraketh. Dialla is here waiting for you. Talk to her and see what she wants.","","Talk to Dialla",[50],0,"[""Talk to Dialla""]",[50],[],"",[],0,0,93710,0,8,""
341,34,27,"[674,663]",[],"Dialla has asked you to go to Highgate, north of the Aqueduct. Travel there to learn more.","","Go to Highgate",[50],0,"[""Go to Highgate""]",[50],[],"",[],0,0,94006,0,8,""
342,34,28,[674],[],"Dialla is waiting for you on the Aqueduct. Talk to her and see what she wants.","","Talk to Dialla",[51],0,"[""Talk to Dialla""]",[51],[],"",[],0,0,94242,0,8,""
343,35,0,"[668,666]",[],"Quest Complete - You have slain Voll and used Deshret's Banner to break her Seal and reopen the Mines. Oyun has rewarded you.",1,"Quest Complete",[],0,[],[],[],"",[],0,0,94504,0,8,""
344,35,1,"[668,707]",[],"Quest Complete - You have slain Voll and used Deshret's Banner to break her Seal and reopen the Mines. Talk to Oyun in town for a reward.","","",[50],0,"[""Talk to Oyun for your reward""]",[50],[],"",[],0,0,94890,0,8,""
345,35,2,[668],[],"You have used Deshret's Banner to break her Seal and gain access to the Mines. Talk to Oyun in town for a reward.","","Talk to Oyun for a reward",[50],0,"[""Talk to Oyun""]",[50],[],"",[],0,0,95246,0,8,""
346,35,3,[707],[],"Use Deshret's Banner in town to break her Seal and gain access to the Mines.","","Use the Banner to break Deshret's Seal",[50],0,"[""Use Deshret's Banner on the Seal to open the Mines""]",[50],[],"",[],0,0,95630,0,8,""
347,35,4,[670],[],"Use Deshret's Banner in town to break her Seal and gain access to the Mines.","","Use the Banner to break Deshret's Seal",[50],0,"[""Use Deshret's Banner on the Seal to open the Mines""]",[50],[],"",[],0,0,95778,0,8,""
348,35,5,[687],[],"Take Deshret's Banner from the Dried Lake. It can be used in town to break Deshret's Seal and gain access to the Mines.","","Take Deshret's Banner",[52],0,"[""Take Deshret's Banner""]",[52],[],"",[],0,0,96156,0,8,""
349,35,6,[671],[],"Slay Voll and take Deshret's Banner. It can be used in town to break Deshret's Seal and gain access to the Mines.","","Kill Voll",[52],0,"[""Kill Voll and take Deshret's Banner""]",[52],[],"",[],0,0,96526,0,8,""
350,35,7,[672],[],"Find Deshret's Banner in the Dried Lake, then use it in town to break Deshret's Seal and gain access to the Mines.","","Find Deshret's Banner",[52],0,"[""Find Deshret's Banner in the Dried Lake""]",[],[],"",[],0,0,96914,0,8,""
351,36,0,[689],[],"Quest Complete - You have killed Kaom and delivered the Eye of Fury to Dialla. She has rewarded you.",1,"Quest Complete",[],0,[],[],[],"",[],0,0,97122,0,8,""
352,36,1,"[709,708]",[],"Quest Complete - You have killed Kaom and delivered the Eye of Fury to Dialla. Talk to her in town for a reward.","","",[50],0,"[""Talk to Dialla in town for a reward""]",[],[],"",[],0,0,97456,0,8,""
353,36,2,[708],[],"Quest Complete - You have killed Kaom and delivered the Eye of Fury to Dialla. Once you have delivered both Eyes, she will reward you.","","",[],0,[],[],[],"",[],0,0,97732,0,8,""
354,36,3,[691],[],"Dialla requires the Eye of Fury to activate the Rapture Device. Deliver it to her in the Mines.","","Deliver the Eye of Fury to Dialla",[54],0,"[""Deliver the Eye of Fury to Dialla""]",[54],[],"",[],0,0,98110,0,8,""
355,36,4,[694],[],"Dialla requires the Eye of Fury to activate the Rapture Device. Take it and deliver it to Dialla in the Mines.","","Take the Eye of Fury",[56],0,"[""Take the Eye of Fury""]",[56],[],"",[],0,0,98466,0,8,""
356,36,5,[692],[],"Dialla requires the Eye of Fury to activate the Rapture Device, but it is guarded by King Kaom. Kill him and deliver the Eye to Dialla.","","Kill Kaom",[56],0,"[""Kill Kaom""]",[56],[],"",[],0,0,98828,0,8,""
357,36,6,[693],[],"Dialla requires the Eye of Fury to activate the Rapture Device, but it is guarded by King Kaom. Take it from him and deliver it to Dialla.","","",[56],0,"[""Find Kaom and the Eye of Fury""]",[],[],"",[],0,0,99198,0,8,""
358,37,0,[689],[],"Quest Complete - You have killed Daresso and delivered the Eye of Desire to Dialla. She has rewarded you.",1,"Quest Complete",[],0,[],[],[],"",[],0,0,99416,0,8,""
359,37,1,"[709,708]",[],"Quest Complete - You have killed Daresso and delivered the Eye of Desire to Dialla. Talk to her in town for a reward.","","",[50],0,"[""Talk to Dialla in town for a reward""]",[],[],"",[],0,0,99760,0,8,""
360,37,2,[709],[],"Quest Complete - You have killed Daresso and delivered the Eye of Desire to Dialla. Once you have delivered both Eyes, she will reward you.","","",[],0,[],[],[],"",[],0,0,100046,0,8,""
361,37,3,[696],[],"Dialla requires the Eye of Desire to activate the Rapture Device. Deliver it to her in the Mines.","","Deliver the Eye of Desire to Dialla",[54],0,"[""Deliver the Eye of Desire to Dialla""]",[54],[],"",[],0,0,100436,0,8,""
362,37,4,[810],[],"Dialla requires the Eye of Desire to activate the Rapture Device. Take it and deliver it to Dialla in the Mines.","","Take the Eye of Desire",[58],0,"[""Take the Eye of Desire""]",[58],[],"",[],0,0,100804,0,8,""
363,37,5,[697],[],"Dialla requires the Eye of Desire to activate the Rapture Device, but it is guarded by Daresso, King of Swords. Kill him and deliver the Eye to Dialla.","","Kill Daresso",[58],0,"[""Kill Daresso""]",[58],[],"",[],0,0,101210,0,8,""
364,37,6,[693],[],"Dialla requires the Eye of Desire to activate the Rapture Device, but it is guarded by Daresso, King of Swords. Take it from him and deliver it to Dialla.","","",[58],0,"[""Find Daresso and the Eye of Desire""]",[],[],"",[],0,0,101622,0,8,""
365,38,0,[699],[],"Quest Complete - You have found Malachai's three organs and delivered them to Piety.",1,"",[],0,[],[],[],"",[],0,0,101798,0,8,""
366,38,1,"[702,701,700]",[],"Piety requires three of Malachai's organs to gain access to the Black Core. Deliver the remaining organs to her.","","Deliver the organs to Piety",[60],0,"[""Deliver the organs to Piety""]",[60],[],"",[],0,0,102194,0,8,""
367,38,2,"[701,700,802]",[],"Piety requires three of Malachai's organs to gain access to the Black Core. Deliver the remaining organs to her.","","Deliver the organs to Piety",[60],0,"[""Deliver the organs to Piety""]",[60],[],"",[],0,0,102304,0,8,""
368,38,3,"[701,700]",[],"Piety requires three of Malachai's organs to gain access to the Black Core. Find the remaining organ and deliver it to her.","","Find the remaining organ",[60],0,"[""Find the remaining organ""]",[60],[],"",[],0,0,102706,0,8,""
369,38,4,"[702,700,803]",[],"Piety requires three of Malachai's organs to gain access to the Black Core. Deliver the remaining organs to her.","","Deliver the organs to Piety",[60],0,"[""Deliver the organs to Piety""]",[60],[],"",[],0,0,102816,0,8,""
370,38,5,"[702,700]",[],"Piety requires three of Malachai's organs to gain access to the Black Core. Find the remaining organ and deliver it to her.","","Find the remaining organ",[60],0,"[""Find the remaining organ""]",[60],[],"",[],0,0,102916,0,8,""
371,38,6,"[702,701,804]",[],"Piety requires three of Malachai's organs to gain access to the Black Core. Deliver the remaining organs to her.","","Deliver the organs to Piety",[60],0,"[""Deliver the organs to Piety""]",[60],[],"",[],0,0,103026,0,8,""
372,38,7,"[702,701]",[],"Piety requires three of Malachai's organs to gain access to the Black Core. Find the remaining organ and deliver it to her.","","Find the remaining organ",[60],0,"[""Find the remaining organ""]",[60],[],"",[],0,0,103126,0,8,""
373,38,8,"[700,803,802]",[],"Piety requires three of Malachai's organs to gain access to the Black Core. Deliver the remaining organ to her.","","Deliver the organ to Piety",[60],0,"[""Deliver the organ to Piety""]",[60],[],"",[],0,0,103516,0,8,""
374,38,9,"[700,803]",[],"Piety requires three of Malachai's organs to gain access to the Black Core. Find the remaining organ and deliver it to her.","","Find the remaining organ",[60],0,"[""Find the remaining organ""]",[60],[],"",[],0,0,103616,0,8,""
375,38,10,"[700,802]",[],"Piety requires three of Malachai's organs to gain access to the Black Core. Find the remaining organ and deliver it to her.","","Find the remaining organ",[60],0,"[""Find the remaining organ""]",[60],[],"",[],0,0,103716,0,8,""
376,38,11,"[701,802,804]",[],"Piety requires three of Malachai's organs to gain access to the Black Core. Deliver the remaining organ to her.","","Deliver the organ to Piety",[60],0,"[""Deliver the organ to Piety""]",[60],[],"",[],0,0,103824,0,8,""
377,38,12,"[701,804]",[],"Piety requires three of Malachai's organs to gain access to the Black Core. Find the remaining organ and deliver it to her.","","Find the remaining organ",[60],0,"[""Find the remaining organ""]",[60],[],"",[],0,0,103924,0,8,""
378,38,13,"[701,802]",[],"Piety requires three of Malachai's organs to gain access to the Black Core. Find the remaining organ and deliver it to her.","","Find the remaining organ",[60],0,"[""Find the remaining organ""]",[60],[],"",[],0,0,104024,0,8,""
379,38,14,"[702,803,804]",[],"Piety requires three of Malachai's organs to gain access to the Black Core. Deliver the remaining organ to her.","","Deliver the organ to Piety",[60],0,"[""Deliver the organ to Piety""]",[60],[],"",[],0,0,104132,0,8,""
380,38,15,"[702,804]",[],"Piety requires three of Malachai's organs to gain access to the Black Core. Find the remaining organ and deliver it to her.","","Find the remaining organ",[60],0,"[""Find the remaining organ""]",[60],[],"",[],0,0,104232,0,8,""
381,38,16,"[702,803]",[],"Piety requires three of Malachai's organs to gain access to the Black Core. Find the remaining organ and deliver it to her.","","Find the remaining organ",[60],0,"[""Find the remaining organ""]",[60],[],"",[],0,0,104332,0,8,""
382,38,17,[702],[],"Piety requires three of Malachai's organs to gain access to the Black Core. Find the two remaining organs and deliver them to her.","","Find the remaining organs",[60],0,"[""Find the remaining organs""]",[60],[],"",[],0,0,104748,0,8,""
383,38,18,[701],[],"Piety requires three of Malachai's organs to gain access to the Black Core. Find the two remaining organs and deliver them to her.","","Find the remaining organs",[60],0,"[""Find the remaining organs""]",[60],[],"",[],0,0,104846,0,8,""
384,38,19,[700],[],"Piety requires three of Malachai's organs to gain access to the Black Core. Find the two remaining organs and deliver them to her.","","Find the remaining organs",[60],0,"[""Find the remaining organs""]",[60],[],"",[],0,0,104944,0,8,""
385,38,20,"[802,804]",[],"Piety requires three of Malachai's organs to gain access to the Black Core. Find the remaining organ and deliver it to her.","","Find the remaining organ",[60],0,"[""Find the remaining organ""]",[60],[],"",[],0,0,105044,0,8,""
386,38,21,"[803,804]",[],"Piety requires three of Malachai's organs to gain access to the Black Core. Find the remaining organ and deliver it to her.","","Find the remaining organ",[60],0,"[""Find the remaining organ""]",[60],[],"",[],0,0,105144,0,8,""
387,38,22,"[802,803]",[],"Piety requires three of Malachai's organs to gain access to the Black Core. Find the remaining organ and deliver it to her.","","Find the remaining organ",[60],0,"[""Find the remaining organ""]",[60],[],"",[],0,0,105244,0,8,""
388,38,23,[802],[],"Piety requires three of Malachai's organs to gain access to the Black Core. Find the two remaining organs and deliver them to her.","","Find the remaining organs",[60],0,"[""Find the remaining organs""]",[60],[],"",[],0,0,105342,0,8,""
389,38,24,[803],[],"Piety requires three of Malachai's organs to gain access to the Black Core. Find the two remaining organs and deliver them to her.","","Find the remaining organs",[60],0,"[""Find the remaining organs""]",[60],[],"",[],0,0,105440,0,8,""
390,38,25,[804],[],"Piety requires three of Malachai's organs to gain access to the Black Core. Find the two remaining organs and deliver them to her.","","Find the remaining organs",[60],0,"[""Find the remaining organs""]",[60],[],"",[],0,0,105538,0,8,""
391,38,26,[705],[],"Piety requires three of Malachai's organs to gain access to the Black Core. Find them and deliver them to her.","","Find Malachai's organs",[60],0,"[""Find Malachai's organs""]",[],[],"",[],0,0,105886,0,8,""
392,39,0,[794],[],"Quest Complete - You have freed the ancient spirit of Sekhema Deshret and received {0} from Tasuni.",1,"Quest Complete",[],0,[],[],[],"",[],0,0,106092,0,0,""
393,39,1,[826],[],"Quest Complete - You have freed the ancient spirit of Sekhema Deshret and received a Skill Book from Tasuni. Use it to gain {0}.","","",[],0,[],[],[],"",[],0,0,106356,0,0,""
394,39,2,[753],[],"Quest Complete - You have freed the ancient spirit of Sekhema Deshret. Talk to Tasuni in town for a reward.","","Talk to Tasuni",[50],0,"[""Talk to Tasuni in town for your reward""]",[],[],"",[],0,0,106682,0,8,""
395,39,3,[800],[],"You have found Deshret's spirit trapped in the Mines under Highgate. Free it and Tasuni will reward you.","","Free Deshret's spirit",[53],0,"[""Free Deshret's spirit""]",[53],[],"",[],0,0,107030,0,8,""
396,39,4,[751],[],"Tasuni can hear the spirit of Deshret calling to him, and wants you to help her. Find her spirit in the Mines and free it.","","Find Deshret's spirit",[53],0,"[""Find Deshret's spirit""]",[],[],"",[],0,0,107398,0,8,""
397,40,0,[716],[974],"","","Mission Failed",[],0,[],[],[],1,[],0,0,107438,0,8,186
398,40,1,[711],[974],"",1,"Mission Complete",[],0,[],[],[],"",[],0,0,107482,0,8,185
399,40,2,[710],"[974,712]","","","Complete Zana's Mission",[],0,[],[],[],"",[],0,0,107544,0,8,""
400,40,3,"[2023,2021]","[974,712]","","","Choose a Map",[],0,[],[],[],"",[],0,0,107588,0,8,""
401,40,4,[2020],"[974,712]","","","Find Zana and complete her Mission",[],0,[],[],[],"",[],0,0,107672,0,8,""
402,41,0,[1943],[1944],"","","Mission Failed",[],0,[],[],[],1,[],0,0,107680,0,8,186
403,41,1,[1942],[1944],"",1,"Mission Complete",[],0,[],[],[],"",[],0,0,107688,0,8,185
404,41,2,[1941],[1944],"","","Find Voltaxic Sulphite for Niko",[],0,[],[],[],"",[],0,0,107762,0,8,""
405,42,0,[1947],[1948],"","","Mission Failed",[],0,[],[],[],1,[],0,0,107770,0,8,186
406,42,1,[1946],[1948],"",1,"Mission Complete",[],0,[],[],[],"",[],0,0,107778,0,8,185
407,42,2,[1949],[1948],"","","Complete the Incursion",[],0,[],[],[],"",[],0,0,107834,0,8,""
408,42,3,[1945],[1948],"","","Complete Alva's Incursions",[],0,[],[],[],"",[],0,0,107898,0,8,""
409,43,0,[1952],[1953],"","","Mission Failed",[],0,[],[],[],1,[],0,0,107906,0,8,186
410,43,1,[1951],[1953],"",1,"Mission Complete",[],0,[],[],[],"",[],0,0,107914,0,8,185
411,43,2,[1950],[1953],"","","Capture the Beasts for Einhar",[],0,[],[],[],"",[],0,0,107984,0,8,""
412,44,0,"[527,1917]",[573],"","","Mission Failed",[],0,[],[],[],1,[],0,0,107996,0,8,186
413,44,1,"[527,575]",[573],"",1,"Mission Complete",[],0,[],[],[],"",[],0,0,108008,0,8,185
414,44,2,"[527,580]",[573],"",1,"Complete the remaining Syndicate encounters",[],0,[],[],[],"",[],0,0,108110,0,8,""
415,44,3,"[527,1918]",[573],"","","Question the defeated Syndicate members",[],0,[],[],[],"",[],0,0,108204,0,8,""
416,44,4,"[527,1978]",[573],"",1,"Complete the remaining Syndicate encounters",[],0,[],[],[],"",[],0,0,108216,0,8,""
417,44,5,"[527,584]",[573],"","","Complete the remaining Syndicate encounters",[],0,[],[],[],1,[],0,0,108228,0,8,""
418,44,6,"[527,576]",[573],"","","Defeat the Fortification guards",[],0,[],[],[],"",[],0,0,108306,0,8,""
419,44,7,"[527,572]",[573],"","","Complete the Immortal Syndicate encounters",[],0,[],[],[],"",[],0,0,108406,0,8,""
420,45,0,"[527,1917]",[573],"","","Mission Failed",[],0,[],[],[],1,[],0,0,108418,0,8,186
421,45,1,"[527,575]",[573],"",1,"Mission Complete",[],0,[],[],[],"",[],0,0,108430,0,8,185
422,45,2,"[527,582]",[573],"",1,"Complete the remaining Syndicate encounters",[],0,[],[],[],"",[],0,0,108442,0,8,""
423,45,3,"[527,1920]",[573],"","","Question the defeated Syndicate members",[],0,[],[],[],"",[],0,0,108454,0,8,""
424,45,4,"[527,1979]",[573],"",1,"Complete the remaining Syndicate encounters",[],0,[],[],[],"",[],0,0,108466,0,8,""
425,45,5,"[527,1914]",[573],"","","Complete the remaining Syndicate encounters",[],0,[],[],[],1,[],0,0,108478,0,8,""
426,45,6,"[527,586]",[573],"","","Complete the remaining Syndicate encounters",[],0,[],[],[],1,[],0,0,108490,0,8,""
427,45,7,"[527,578]",[573],"","","",[],0,[],[],[],"",[],0,0,108502,0,8,""
428,45,8,"[527,572]",[573],"","","Complete the Immortal Syndicate encounters",[],0,[],[],[],"",[],0,0,108514,0,8,""
429,46,0,"[527,1917]",[573],"","","Mission Failed",[],0,[],[],[],1,[],0,0,108526,0,8,186
430,46,1,"[527,575]",[573],"",1,"Mission Complete",[],0,[],[],[],"",[],0,0,108538,0,8,185
