"rownum","Id","BuffDefinitionsKey","[i32]","AuraRadius","[i32]","[i32]","BuffVisualsKey","f32","bool","StatsKey"
287,"MonsterAfflictionHasDestroyCorpseProjectileCascadeDaemon",376,[],0,[],[],1274,0,1,[]
288,"MonsterAfflictionHasDestroyCorpseDegenZoneDaemon",376,[],0,[],[],1274,0,1,[]
289,"MonsterAfflictionHasTeleportAndExplodeOnDeathDaemon",376,[],0,[],[],1266,0,1,[]
290,"MonsterAfflictionFlameblastOnDeath",376,[],0,[],[],1265,0,1,[]
291,"MonsterAfflictionVolatileOnDeath",376,[],0,[],[],1268,0,1,[]
292,"MonsterAfflictionAnomalyOnDeath",376,[],0,[],[],1264,0,1,[]
293,"MonsterAfflictionSpawnDemonPackOnDeath__",376,[],0,[],[],1269,0,1,[]
294,"MonsterAfflictionSpawnDemonPackOnDeathMagic",376,[],0,[],[],1269,0,1,[]
295,"MonsterAfflictionFirestormOnDeath",376,[],0,[],[],1268,0,1,[]
296,"ShockedGroundWhileMovingUnique__1_",1532,[],0,[],[],"",0,1,[]
297,"GrantsUnholyMightUnique__1",286,[0],0,[],[],"",0,1,[5663]
298,"NearbyEnemiesAreChilledUnique__1",1496,[],30,[3],[1],"",0,1,[]
299,"GainAreaOfEffectPluspercentOnManaSpentUnique__1",1597,[],0,[],[],"",0,1,[]
300,"UniqueSecretBladeGrantHiddenBlade",1606,[],0,[],"[500,1]","",0,1,[]
301,"ManaRegenerationAuraUnique__1",1630,[0],75,"[1,2,10]",[],"",0,1,[130]
302,"FortifyEffectCrushed1",1573,[0],0,[],[],"",0,1,[1038]
303,"FortifyEffectCrushed2_",1573,[0],0,[],[],"",0,1,[1038]
304,"FortifyEffectCrushed3_",1573,[0],0,[],[],"",0,1,[1038]
305,"NearbyEnemiesAreBlindedInfluenceMaven",1496,[],35,[3],[9],"",0,1,[]
306,"EnemyPhysicalDamageTakenAuraUberMaven",1167,[0],60,[3],[],"",0,1,[545]
307,"EnemyElementalDamageTakenAuraUberMaven_",1505,[0],60,[3],[],"",0,1,[3504]
308,"EnemyLightningResistanceAuraInfluenceMaven",1165,[0],60,[3],[],"",0,1,[148]
309,"EnemyFireResistanceAuraInfluenceMaven",1163,[0],60,[3],[],"",0,1,[144]
310,"EnemyColdResistanceAuraInfluenceMaven",1164,[0],60,[3],[],"",0,1,[146]
311,"EnemyChaosResistanceAuraInfluenceMaven",1166,[0],60,[3],[],"",0,1,[150]
312,"ScorchedGroundWhileMovingUnique__1",1532,[],0,[],[1],"",0,1,[]
313,"LocalDisplayYouAndNearbyAlliesHaveIncreasedItemRarityUnique__1",1728,[0],60,"[10,2,1]",[],"",0,1,[153]
314,"MonsterSirusInfluenced",1750,"[0,0,0,0,0]",0,[],[],"",0,1,"[718,177,1910,7156,24]"
315,"UltimatumAcceleratingMonsters",1783,"[0,0,0]",0,[],"[-100,5,0]","",0,1,"[70,216,177]"
316,"UltimatumDaemonGraveyard_",1810,[],28,"[2,11]",[],"",0,1,[]
317,"UltimatumDaemonGraveyardRuin",1812,[],28,"[2,11]",[],"",0,1,[]
318,"NemesisAlliesTakeNoDamagePulse_",376,[],0,[],[],1544,0,1,[]
319,"HearbyEnemiesAreHinderedUltimatum_",1498,[0],28,[3],[],477,0,1,[11553]
320,"MonsterChilledAura",1496,[],30,[3],"[15,25]",1585,0,1,[]
321,"ExpeditionDamageTakenLerp",903,"[-98,0,7000]",0,[],[],"",7,"",[]
322,"ExpeditionOlrothRighteousFire",13,[975000],16,"[3,5]",[],1599,0,1,[]
323,"ExpeditionOlrothBlind",175,[1],16,"[3,5]",[],"",0,1,[]
324,"MonsterTotemAuraSlow1",133,[0],50,[3],[],"",0,1,[177]
325,"MonsterTotemAuraLifeRegen1",88,[0],60,"[1,2]",[],"",0,1,[451]
326,"MonsterTotemAuraDamage1",86,[0],60,"[1,2]",[],"",0,1,[26]
327,"MonsterTotemAuraSpeed1",87,"[0,0,0]",60,"[1,2]",[],"",0,1,"[70,216,177]"
328,"MonsterTotemAuraResists1",89,[0],60,"[1,2]",[],"",0,1,[141]
329,"MonsterTotemAuraEnemyLifeDegen1",93,[0],60,[3],[],"",0,1,[452]
330,"MonsterTotemAuraEvasion1",177,[0],60,"[1,2]",[],"",0,1,[119]
331,"MonsterTotemAuraAddedFireDamage1",171,[0],60,"[1,2]",[],"",0,1,[447]
332,"MonsterTotemAuraAddedColdDamage1",170,[0],60,"[1,2]",[],"",0,1,[448]
333,"MonsterTotemAuraAddedLightningDamage1",172,[0],60,"[1,2]",[],"",0,1,[449]
334,"CorpseSinkEffect",1878,[],0,[],"[10,1500,1500]","",2.5,"",[]
