"rownum","Id","Description","Invisible","Removable","Name","StatsKeys","bool","i32","bool","Maximum_StatsKey","Current_StatsKey","bool","i32","BuffVisualsKey","bool","bool","i32","bool","bool","bool","bool","BuffLimit","bool","Id2","IsRecovery","bool","bool","rid","bool","i32","bool","bool","i32","[i32]","bool","bool","rid","bool","[rid]","[rid]","[rid]","[rid]","i32","bool"
525,"avoid_stun","",1,"","Ascendancy Effect",[6108],1,3,"","","",1,18,0,1,"",15,"",1,1,"",0,1,"","","","","","",4,"","",0,[],"","","","",[],[],[6108],[],0,""
526,"spinning_blade_damage","",1,"","Spinning Blades","[2576,3071]",1,1,"","","","",18,491,"","",11,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[2576,3071]",[],0,""
527,"stacking_movement_speed_buff","",1,"","",[4956],1,3,"","","",1,18,0,1,"",15,"",1,1,"",0,1,"ActionRecentlyCounterBuff","","","","","",4,"","",0,[],"","","","",[],[],[4956],[],0,""
528,"nightwane_effects","",1,"","",[],1,2,"","","","",18,492,1,"",15,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[],[],0,""
529,"increased_elemental_damage_taken","",1,"","","[2047,3639,3640]",1,2,"","","","",18,0,1,"",15,"",1,1,"",0,1,"","","","","","",4,"","",0,[],"","","","",[],[],"[2047,3639,3640]",[],0,""
530,"mana_and_es_regeneration","",1,"","","[129,1413]",1,3,"","","","",18,0,1,"",15,"",1,1,"",0,1,"","","","","","",4,"","",0,[],"","","","",[],[],"[129,1413]",[],0,""
531,"vinktar_boss_buff","","","","",[],"",3,"","","","",18,483,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[],[],0,""
532,"grant_es_to_nearby_allies","You are being granted Energy Shield by a Guardian","","","Radiant Faith",[133],"",3,"","","","",18,498,"","",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[133],[],0,""
533,"grant_armour_to_nearby_allies","You are being granted Armour by a Guardian","","","Radiant Faith",[116],"",3,"","","","",18,498,"","",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[116],[],0,""
534,"singularity_aura","You're in the grip of a Singularity","","","Singularity","[177,3680]","",3,"","","","",18,495,1,"",2,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[177,3680]",[],0,""
535,"power_symbol_aura","",1,"","",[3683],"",3,"","","","",18,0,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[3683],[],0,""
536,"gargoyle_statue_buff","",1,"","","[982,702,3204]","",3,"","","","",18,0,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[982,702,3204]",[],0,""
537,"izaro_fire_buff_phase1","Additional Fire damage",1,"","","[447,2047]",1,3,"","","","",18,519,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[447,2047]",[],0,""
538,"izaro_fire_buff","Additional Fire damage",1,"","","[447,2047,10,11]",1,3,"","","","",18,519,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[447,2047,10,11]",[],0,""
539,"izaro_cold_buff_phase1","Additional Cold damage",1,"","","[448,3639]",1,3,"","","","",18,520,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[448,3639]",[],0,""
540,"izaro_cold_buff","Additional Cold damage",1,"","","[448,3639,10,11]",1,3,"","","","",18,520,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[448,3639,10,11]",[],0,""
541,"izaro_lightning_buff_phase1","Additional Lightning damage",1,"","","[449,3640]",1,3,"","","","",18,521,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[449,3640]",[],0,""
542,"izaro_lightning_buff","Additional Lightning damage",1,"","","[449,3640,10,11]",1,3,"","","","",18,521,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[449,3640,10,11]",[],0,""
543,"izaro_physical_buff_phase1","Increased Physical damage",1,"","","[26,545]",1,3,"","","","",18,528,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[26,545]",[],0,""
544,"izaro_physical_buff","Increased Physical damage",1,"","","[26,545,10,11]",1,3,"","","","",18,528,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[26,545,10,11]",[],0,""
545,"izaro_ignite_buff_phase1","Additional Fire damage and increased chance to Ignite",1,"","","[611,2047,447]",1,3,"","","","",18,519,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[611,2047,447]",[],0,""
546,"izaro_ignite_buff","Additional Fire damage and increased chance to Ignite",1,"","","[611,2047,447,10,11]",1,3,"","","","",18,519,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[611,2047,447,10,11]",[],0,""
547,"izaro_freeze_buff_phase1","Additional Cold damage and increased chance to Freeze",1,"","","[455,3639,448]",1,3,"","","","",18,520,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[455,3639,448]",[],0,""
548,"izaro_freeze_buff","Additional Cold damage and increased chance to Freeze",1,"","","[455,3639,448,10,11]",1,3,"","","","",18,520,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[455,3639,448,10,11]",[],0,""
549,"izaro_shock_buff_phase1","Additional Lightning damage and increased chance to Shock",1,"","","[659,3640,449]",1,3,"","","","",18,521,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[659,3640,449]",[],0,""
550,"izaro_shock_buff","Additional Lightning damage and increased chance to Shock",1,"","","[659,3640,449,10,11]",1,3,"","","","",18,521,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[659,3640,449,10,11]",[],0,""
551,"izaro_bleed_buff_phase1","Extra Damage and Bleeding",1,"","","[3645,545]",1,3,"","","","",18,528,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[3645,545]",[],0,""
552,"izaro_bleed_buff","Extra Damage and Bleeding",1,"","","[3645,545]",1,3,"","","","",18,528,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[3645,545]",[],0,""
553,"vinktar_lightning_bond","You are bonded",1,"","VinktarLightningBond","[3693,3694]",1,1,"","","",1,18,0,1,"",15,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[3693,3694]",[],0,""
554,"killed_rare_monsters_drop_uniques","",1,"","","[3698,5729]",1,2,"","","","",18,0,1,"",15,"","","","",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[3698,5729]",[],0,""
555,"savage_hit_life_leech","Additional Life Leech, Damage, and Attack Speed",1,"","",[105],1,3,"","","",1,18,0,1,"",15,"",1,1,"",0,1,"","","","","","",4,"","",0,[],"","","","",[],[],[105],[],0,""
556,"savage_hit_damage","",1,"","",[24],1,3,"","","",1,18,0,1,"",15,"",1,1,"",0,1,"","","","","","",4,"","",0,[],"","","","",[],[],[24],[],0,""
557,"savage_hit_attack_cast_speed","",1,"","",[1910],1,3,"","","",1,18,0,1,"",15,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[1910],[],0,""
558,"savage_hit_attack_speed","",1,"","",[70],1,3,"","","",1,18,0,1,"",15,"",1,1,"",0,1,"","","","","","",4,"","",0,[],"","","","",[],[],[70],[],0,""
559,"melee_physical_damage","Additional Melee Physical Damage from a Guardian's strength",1,"","Tenacious Vigor",[490],1,3,"","","",1,18,501,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[490],[],0,""
560,"grasping_ornaments_slow_aura","Your attack speed, cast speed and movement speed are reduced from standing in Grasping Ornaments.","","","Grasping Ornaments","[70,216,177]",1,3,"","","",1,18,496,1,"",2,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[70,216,177]",[],0,""
561,"grasping_tentacles_slow_aura","Your attack speed, cast speed and movement speed are reduced from standing in Grasping Tentacles.","","","Grasping Tentacles","[70,216,177]",1,3,"","","",1,18,497,1,"",2,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[70,216,177]",[],0,""
562,"grasping_pincers_slow_aura","Your attack speed, cast speed and movement speed are reduced from standing in Grasping Pincers.","","","Grasping Pincers","[70,216,177]",1,3,"","","",1,18,497,1,"",2,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[70,216,177]",[],0,""
563,"labyrinth_boss_grace","",1,"","","[140,398,1307,864]","",3,"","","","",18,0,1,"",15,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[140,398,1307,864]",[],0,""
564,"izaro_summon_lieutenant_delay","",1,"","",[],"",3,"","","","",18,0,1,"",15,"","","","",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[],[],0,""
565,"shield_defence_aura","You are being granted the defences of an allied Guardian's shield",1,"","Shield Mastery","[119,116,133]","",3,"","","","",18,501,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[119,116,133]",[],0,""
566,"labyrinth_trap_bleed","",1,"","LabyrinthTrapDebuff","[2576,3071]",1,1,"","","","",18,486,"","",11,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[2576,3071]",[],0,""
567,"mine_detonation","",1,"","","[24,1844]",1,3,"","","",1,18,0,1,"",15,"",1,1,"",0,1,"","","","","","",4,"","",0,[],"","","","",[],[],"[24,1844]",[],0,""
568,"augry_of_penitence","You take increased Elemental Damage and deal less Elemental Damage.","","","Augury of Penitence","[3504,3838]",1,3,"","","",1,18,500,1,"",2,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[3504,3838]",[],0,""
569,"scion_augry_of_penitence","You take increased Elemental Damage","","","Augury of Penitence",[3504],1,3,"","","",1,18,500,1,"",2,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[3504],[],0,""
570,"labyrinth_power_symbol_shield","",1,"","WIP",[477],"",3,"","","","",18,0,1,"",15,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[477],[],0,""
571,"awaken_gargoyle","",1,"","WIP",[477],1,3,"","","","",18,553,1,"",2,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[477],[],0,""
572,"spell_damage_increase","",1,"","",[25],1,3,"","","",1,18,0,1,"",15,"",1,1,"",0,1,"","","","","","",4,"","",0,[],"","","","",[],[],[25],[],0,""
573,"attack_damage_increase","",1,"","",[2617],1,3,"","","",1,18,0,1,"",15,"",1,1,"",0,1,"","","","","","",4,"","",0,[],"","","","",[],[],[2617],[],0,""
574,"attack_speed_increase","",1,"","",[70],1,3,"","","",1,18,0,1,"",15,"",1,1,"",0,1,"","","","","","",4,"","",0,[],"","","","",[],[],[70],[],0,""
575,"cast_speed_increase","",1,"","",[216],1,3,"","","",1,18,0,1,"",15,"",1,1,"",0,1,"","","","","","",4,"","",0,[],"","","","",[],[],[216],[],0,""
576,"life_es_and_mana_recovery","",1,"","","[2817,2818,2819]",1,3,"","","",1,18,0,1,"",15,"",1,1,"",0,1,"","","","","","",4,"","",0,[],"","","","",[],[],"[2817,2818,2819]",[],0,""
577,"rock_golem_buff","Your Stone Golem is granting you additional Life Regeneration","","","Stone Golem",[125],1,3,"","","",1,18,541,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[125],[],0,""
578,"talisman_totem_effects","",1,"","",[],1,2,"","","","",18,508,1,"",15,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[],[],0,""
579,"spike_trap_immunity","",1,"","",[3751],1,2,"","","",1,18,0,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[3751],[],0,""
580,"labyrinth_arrow_slow","",1,"","",[3849],1,2,"","","","",18,545,1,"",2,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[3849],[],0,""
581,"shrink","You have been shrunk! You're more vulnerable to damage, and deal less damage.","","","Shrink","[24,477,1933,177]",1,1,1,"","",1,18,543,1,1,2,"",1,1,"",0,"","","","","","","",2,"","",0,[],"","","","",[],[],"[24,477,1933,177]",[],0,""
582,"lightning_eye_effects","",1,"","",[],1,2,"","","","",18,511,1,"",15,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[],[],0,""
583,"talisman_degen","You are taking Physical Damage over time from the Bone Roil","","","Bone Roil",[3860],1,4,1,3858,3859,1,18,512,1,"",2,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[3860],[],0,""
584,"blade_vortex_counter","You have blades in a Blade Vortex around you","","","Blade Vortex",[],"",4,1,"","","",18,513,1,1,6,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[],[],0,""
585,"soul_eater_from_stat_parent","mechanical buff for handling soul eater shile using flask",1,"","",[],1,1,"","","","",18,0,1,"",15,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[],[],0,""
586,"LocustSwarmStackingDegenAuraFire","You are taking Fire Damage from a Fire Swarm","","","Fire Swarm",[2543],1,1,1,"","","",18,514,1,1,2,"",1,1,"",0,"","","","","","","",2,"","",0,[],"","","","",[],[],[2543],[],0,""
587,"LocustSwarmStackingDegenAuraCold","You are taking Cold Damage from a Cold Swarm","","","Cold Swarm",[3884],1,1,1,"","","",18,515,1,1,2,"",1,1,"",0,"","","","","","","",2,"","",0,[],"","","","",[],[],[3884],[],0,""
588,"LocustSwarmStackingDegenAuraLightning","You are taking Lightning Damage from a Lightning Swarm","","","Lightning Swarm",[3885],1,1,1,"","","",18,516,1,1,2,"",1,1,"",0,"","","","","","","",2,"","",0,[],"","","","",[],[],[3885],[],0,""
589,"rigwald_channeling","",1,"","Rigwald Wolf Barrage",[477],1,3,"","","",1,18,0,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[477],[],0,""
590,"blade_vortex","",1,"","",[3912],"",3,"","","","",18,0,1,"",6,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[3912],[],0,""
591,"elemental_overload","You are dealing more Elemental Damage","","","Elemental Overload",[3923],"",3,"","","",1,18,554,1,"",15,"",1,1,"",0,1,"","","","","","",4,"","",0,[],"","","","",[],[],[3923],[],0,""
592,"frost_nova_counter","You are dealing increased Cold Damage","","","Frost Nova",[3940],1,4,1,3937,3938,1,18,457,1,1,6,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[3940],[],0,""
593,"izaro_pylon_temporal_chains_on_hit","Temporal Chains on Hit",1,"","","[10,11,1951,1950,1943,1944]",1,3,"","","","",18,0,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[10,11,1951,1950,1943,1944]",[],0,""
594,"izaro_pylon_elemental_weakness_on_hit","Elemental Weakness on Hit",1,"","","[10,11,1951,1950,1943,1944]",1,3,"","","","",18,0,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[10,11,1951,1950,1943,1944]",[],0,""
595,"izaro_pylon_vulnerability_on_hit","Vulnerability on Hit",1,"","","[10,11,1951,1950,1943,1944]",1,3,"","","","",18,0,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[10,11,1951,1950,1943,1944]",[],0,""
596,"heirophant_attack_and_spell_damage","You have Increased Damage","","","Pursuit of Faith",[24],1,1,1,"","",1,18,559,1,1,15,"",1,1,"",0,1,"","","","","","",2,"","",0,[],"","","","",[],[],[24],[],0,""
597,"heirophant_additional_totems","",1,"","",[957],1,3,"","","",1,18,0,1,"",15,"",1,1,"",0,1,"","","","","","",4,"","",0,[],"","","","",[],[],[957],[],0,""
598,"petrified","You are Petrified","","","Petrified","[3942,4956]",1,3,"","","",1,18,517,1,"",2,"",1,1,"",0,"","Petrify","","","","","",4,"","",0,[],"","","","",[],[],"[3942,4956]",[],0,""
599,"flask_petrification","You are Petrified and taking reduced Physical Damage","","","Replica Rumi's Concoction","[3942,1038]",1,3,"","","",1,18,517,1,"",4,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[3942,1038]",[],0,""
600,"blight","You are taking Chaos Damage Over Time","","","Blight",[453],1,1,"","","",1,18,524,1,"",2,"",1,1,"",0,"","","","","","","",2,"","",0,[],"","","","",[],[],[453],[],0,""
601,"poison_immunity","All Poison has been removed from you, and you cannot be Poisoned.","","","Poison Immunity",[],1,3,"","","",1,18,275,1,"",15,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[3968],[],[],0,""
602,"flask_bonus_physical_damage_reduction_percent","","","","WIP",[1038],1,3,"","","",1,18,472,1,"",4,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[1038],[],0,""
603,"life_regen_from_spread_poison","","","","Life Regeneration",[125],1,3,"","","",1,18,267,1,"",15,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[125],[],0,""
604,"elementalist_increased_fire_damage","",1,"","Ascendancy Effect (Invisible)",[42],1,3,"","","",1,18,0,1,"",15,"",1,1,"",0,1,"","","","","","",4,"","",0,[],"","","","",[],[],[42],[],0,""
605,"elementalist_increased_lightning_damage","",1,"","Ascendancy Effect (Invisible)",[56],1,3,"","","",1,18,0,1,"",15,"",1,1,"",0,1,"","","","","","",4,"","",0,[],"","","","",[],[],[56],[],0,""
606,"elementalist_increased_cold_damage","",1,"","Ascendancy Effect (Invisible)",[49],1,3,"","","",1,18,0,1,"",15,"",1,1,"",0,1,"","","","","","",4,"","",0,[],"","","","",[],[],[49],[],0,""
607,"elementalist_increased_elemental_damage","",1,"","Ascendancy Effect (Invisible)",[486],1,3,"","","",1,18,522,1,"",15,"",1,1,"",0,1,"","","","","","",4,"","",0,[],"","","","",[],[],[486],[],0,""
608,"elementalist_cold_penetration","",1,"","Ascendancy Effect (Invisible)",[594],1,3,"","","",1,18,0,1,"",15,"",1,1,"",0,1,"","","","","","",4,"","",0,[],"","","","",[],[],[594],[],0,""
609,"elementalist_fire_penetration","",1,"","Ascendancy Effect (Invisible)",[593],1,3,"","","",1,18,0,1,"",15,"",1,1,"",0,1,"","","","","","",4,"","",0,[],"","","","",[],[],[593],[],0,""
610,"elementalist_lightning_penetration","",1,"","Ascendancy Effect (Invisible)",[595],1,3,"","","",1,18,0,1,"",15,"",1,1,"",0,1,"","","","","","",4,"","",0,[],"","","","",[],[],[595],[],0,""
611,"elemental_conflux","All of your damage Shocks, Chills, and Ignites.","","","Elemental Conflux","[3982,659,611]",1,3,"","","",1,18,561,1,"",1,"",1,1,"",0,1,"","","","","","",4,"","",0,[],"","","","",[],[],"[3982,659,611]",[],0,""
612,"elementalist_increased_fire_damage_taken","",1,"","Ascendancy Effect (Invisible)",[2047],1,3,"","","",1,18,0,1,"",15,"",1,1,"",0,1,"","","","","","",4,"","",0,[],"","","","",[],[],[2047],[],0,""
613,"elementalist_increased_lightning_damage_taken","",1,"","Ascendancy Effect (Invisible)",[3640],1,3,"","","",1,18,0,1,"",15,"",1,1,"",0,1,"","","","","","",4,"","",0,[],"","","","",[],[],[3640],[],0,""
614,"elementalist_increased_cold_damage_taken","",1,"","Ascendancy Effect (Invisible)",[3639],1,3,"","","",1,18,0,1,"",15,"",1,1,"",0,1,"","","","","","",4,"","",0,[],"","","","",[],[],[3639],[],0,""
615,"elementalist_increased_elemental_damage_cooldown","",1,"","Ascendancy Effect (Invisible)",[],1,3,"","","",1,18,0,1,"",15,"",1,1,"",0,"","ElementalistIncreasedDamage","","","","","",4,"","",0,[],"","","","",[],[],[],[],0,""
616,"occultist_non_chaos_to_chaos_damage","",1,"","","[1507,450,1505,1510]",1,3,"","","",1,18,0,1,"",15,"",1,1,"",0,1,"","","","","","",4,"","",0,[],"","","","",[],[],"[1507,450,1505,1510]",[],0,""
617,"occultist_nearby_enemies_chaos_cold_resist_life_regen","You have no Life Regeneration and reduced Cold and Chaos Resistance while near an Occultist","","","Void Beacon","[150,2410,146]",1,3,"","","",1,18,523,1,"",2,"",1,1,"",0,1,"","","","","","",4,"","",0,[],"","","","",[],[],"[150,2410,146]",[],0,""
618,"occultist_no_energy_shield_recharge_delay","",1,"","",[2294],1,3,"","","",1,18,0,1,"",15,"",1,1,"",0,1,"","","","","","",4,"","",0,[],"","","","",[],[],[2294],[],0,""
619,"izaro_elemental_fire_buff_phase1","Allies deal additional fire damage","","","",[447],1,3,"","","","",18,519,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[447],[],0,""
620,"izaro_elemental_fire_buff","Allies deal additional fire damage","","","Fire Damage Aura","[447,10,11]",1,3,"","","","",18,519,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[447,10,11]",[],0,""
621,"izaro_elemental_cold_buff_phase1","Allies deal additional cold damage","","","",[448],1,3,"","","","",18,520,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[448],[],0,""
622,"izaro_elemental_cold_buff","Allies deal additional cold damage","","","Cold Damage Aura","[448,10,11]",1,3,"","","","",18,520,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[448,10,11]",[],0,""
623,"izaro_elemental_lightning_buff_phase1","Allies deal additional lightning damage","","","",[449],1,3,"","","","",18,521,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[449],[],0,""
624,"izaro_elemental_lightning_buff","Allies deal additional lightning damage","","","Lightning Damage Aura","[449,10,11]",1,3,"","","","",18,521,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[449,10,11]",[],0,""
625,"charged_attack","Your Blade Flurry has more damage","","","Blade Flurry",[],1,4,1,3992,3993,1,18,583,1,"",6,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[],[],0,""
626,"petrify_enrage","","","","WIP","[24,1910,177]",1,3,"","","",1,18,521,1,"",15,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[24,1910,177]",[],0,""
627,"occultist_stacking_es_recovery_per_minute_percent","You are regenerating Energy Shield","","","Vile Bastion",[4956],1,3,1,"","",1,18,558,1,1,15,"",1,1,"",0,1,"ActionRecentlyCounterBuff","","","","","",4,"","",0,[],"","","","",[],[],[4956],[],0,""
628,"izaro_chronos_statue_damage_phase1","Additional Block Chance",1,"","",[24],1,3,"","","","",18,525,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[24],[],0,""
629,"izaro_chronos_statue_damage","Additional Block Chance",1,"","","[24,10,11,1951,1950,1943,1944]",1,3,"","","","",18,525,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[24,10,11,1951,1950,1943,1944]",[],0,""
630,"izaro_chronos_statue_speed_phase1","Additional Spell Block Chance",1,"","","[1910,177]",1,3,"","","","",18,526,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[1910,177]",[],0,""
631,"izaro_chronos_statue_speed","Additional Spell Block Chance",1,"","","[1910,177,10,11,1951,1950,1943,1944]",1,3,"","","","",18,526,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[1910,177,10,11,1951,1950,1943,1944]",[],0,""
632,"izaro_chronos_statue_damage_taken_phase1","Additional Chance to dodge Spells and Attacks",1,"","",[477],1,3,"","","","",18,527,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[477],[],0,""
633,"izaro_chronos_statue_damage_taken","Additional Chance to dodge Spells and Attacks",1,"","","[477,1939,10,11,1951,1950,1943,1944]",1,3,"","","","",18,527,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[477,1939,10,11,1951,1950,1943,1944]",[],0,""
634,"izaro_gargoyles_damage_buff_phase1","Izaro deals increased Damage",1,"","Izaro Damage",[24],1,3,"","","","",18,528,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[24],[],0,""
635,"izaro_gargoyles_damage_buff","Izaro deals increased Damage",1,"","Izaro Damage","[24,10,11]",1,3,"","","","",18,528,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[24,10,11]",[],0,""
636,"izaro_gargoyles_speed_buff_phase1","Izaro attacks, casts, and moves faster",1,"","Izaro Speed","[1910,177]",1,3,"","","","",18,530,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[1910,177]",[],0,""
637,"izaro_gargoyles_speed_buff","Izaro attacks, casts, and moves faster",1,"","Izaro Speed","[1910,177,10,11]",1,3,"","","","",18,530,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[1910,177,10,11]",[],0,""
638,"izaro_gargoyles_damage_taken_buff_phase1","Izaro takes reduced Damage",1,"","Izaro Damage Taken",[477],1,3,"","","","",18,532,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[477],[],0,""
639,"izaro_gargoyles_damage_taken_buff","Izaro takes reduced Damage",1,"","Izaro Damage Taken","[477,10,11]",1,3,"","","","",18,532,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[477,10,11]",[],0,""
640,"izaro_pedestals_physical_damage_reduction_buff_phase 1","Increased Physical Damage Reduction",1,"","",[1038],1,3,"","","","",18,326,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[1038],[],0,""
641,"izaro_pedestals_physical_damage_reduction_buff","Increased Physical Damage Reduction",1,"","","[1038,10,11,1951,1950,1943,1944]",1,3,"","","","",18,0,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[1038,10,11,1951,1950,1943,1944]",[],0,""
642,"izaro_pedestals_physical_damage_buff_phase 1","Increased Physical Damage",1,"","",[26],1,3,"","","","",18,327,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[26],[],0,""
643,"izaro_pedestals_physical_damage_buff","Increased Physical Damage",1,"","","[26,10,11,1951,1950,1943,1944]",1,3,"","","","",18,0,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[26,10,11,1951,1950,1943,1944]",[],0,""
644,"izaro_pedestals_additional_energy_shield_phase 1","Additional Energy Shield",1,"","",[563],1,3,"","","","",18,328,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[563],[],0,""
645,"izaro_pedestals_additional_energy_shield","Additional Energy Shield",1,"","","[563,10,11,1951,1950,1943,1944]",1,3,"","","","",18,0,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[563,10,11,1951,1950,1943,1944]",[],0,""
646,"izaro_charge","","","","","[70,216,11858,1038,141,554]",1,4,1,4162,4114,"",18,537,1,"",3,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","",1,[],[],"[70,216,11858,1038,141,554]",[],0,""
647,"izaro_super_charge","","","","Super Frenzy Charges",[],1,4,1,4162,4114,"",18,537,1,"",3,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],[],[],0,""
648,"offering_spirit","You have bonus Chaos Resistance, Elemental Resistances and deal extra Chaos Damage.","","","Spirit Offering","[150,450,141]",1,3,"","","",1,18,282,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","","","",[],[],"[150,450,141]",[],0,""
