"rownum","Id","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","VideoURL1","SkillGemsKey","VideoURL2","CharactersKeys"
109,"DoubleStrike&ChanceToBleed","Increases the chance of inflicting the bleed ailment on enemies with Double Strike. Bleeding deals physical damage over time, with more damage dealt to moving targets. This support also adds a small amount of flat physical damage to Double Strike.","Augmente vos chances d'infliger l'Altération Saignement sur les ennemis touchés par votre Double frappe. Le Saignement inflige des Dégâts physiques sur la durée. Ces dégâts sont encore plus importants quand l'ennemi se déplace. Cette Gemme de soutien apporte également un petit bonus de Dégâts physiques bruts à Double frappe.","Erhöht die Chance, mit 'Doppelschlag' bei Gegnern Bluten zu verursachen. Bluten verursacht physischen Schaden über Zeit, der bei Zielen, die sich bewegen, höher ausfällt. Diese Unterstützungsgemme fügt 'Doppelschlag' außerdem eine kleine Menge an physischem Schaden hinzu.","ダブルストライクによる出血状態異常付与の確率が増加する。出血は継続的に物理ダメージを与え、動いている敵により大きなダメージを与える。また、ダブルストライクに少量の物理フラットダメージも付与する。","이중 타격이 적에게 출혈 상태 이상을 일으킬 확률이 증가합니다. 출혈 상태가 되면 대상은 지속 물리 피해를 받고 이동 중인 경우 받는 피해가 증폭합니다. 또한 이 보조 젬과 이중 타격을 결합하면 소량의 균일 물리 피해를 추가로 줄 수 있습니다.","Aumenta a chance de infligir a afecção Sangramento nos inimigos com Golpe Duplo. Sangramentos causam dano físico degenerativo, com mais dano causado aos alvos que se movem. Este suporte também adiciona uma pequena quantidade de dano físico puro ao Golpe Duplo.","Повышает шанс наложить на врагов кровотечение от Двойного удара. Кровотечение наносит постепенный физический урон, при этом передвигающиеся цели получат больше урона. Этот камень поддержки также добавляет Двойному удару небольшое количество плоского физического урона.","Aumenta la probabilidad de aplicar el estado alterado de sangrado a los enemigos con Golpe doble. Sangrado inflige daño físico degenerativo e inflige más daño a los objetivos que están en movimiento. Esta asistencia también agrega una pequeña cantidad de daño físico base a Golpe doble.","เพิ่มโอกาสสร้างสถานะ เลือดไหล ต่อศัตรูด้วย ฟาดสองที (Double Strike) โดยสถานะ เลือดไหล จะสร้างความเสียหาย กายภาพ ต่อเนื่อง และจะสร้างความเสียหาย เพิ่มขึ้น อีก ต่อเป้าหมายที่เคลื่อนที่ หินเสริมนี้ยังเสริมความเสียหาย กายภาพ ตายตัวเล็กน้อยให้กับ ฟาดสองที อีกด้วย","增加雙重打擊對敵人造成流血異常狀態的機率。流血造成物理持續傷害，對移動中的目標造成更多傷害。此輔助同時小幅增加劈砍的物理傷害。","http://web.poecdn.com/public/videos/DoubleStrike/DoubleStrike+ChancetoBleed.bk2",325,"http://down.qq.com/poe/videos/skills/DoubleStrike/Doublestrike+ChancetoBleed.bk2","[4,6,2,0,3]"
110,"DoubleStrike&MeleePhysical","Grants more melee physical damage for Double Strike. This support also increases the amount of damage inflicted bleeds and poisons do.","Octroie Davantage de Dégâts physiques en mêlée à Double frappe. Cette Gemme de soutien augmente également la quantité de dégâts infligés par vos Saignements et vos Poisons.","Gewährt 'Doppelschlag' mehr physischen Nahkampfschaden und erhöht gleichzeitig den Schaden, der durch angewendetes Bluten und Gift verursacht wird.","ダブルストライクの近接物理ダメージが上昇する。出血と毒付与によるダメージ量も上昇する。","이중 타격의 근접 물리 피해가 증폭됩니다. 이 보조 젬과 결합하면 출혈과 중독의 피해 또한 증가합니다.","Concede mais dano físico corpo a corpo ao Golpe Duplo. Esse suporte também aumenta a quantidade de dano causado por sangramentos e envenenamentos.","Дает Двойному удару больше физического урона в ближнем бою. Этот камень поддержки также повышает урон от яда и кровотечения.","Otorga más daño físico cuerpo a cuerpo a Golpe Doble. Esta asistencia también aumenta la cantidad de daño infligido por los sangrados y los venenos.","เพิ่มความเสียหาย กายภาพ ประชิด อีก ให้กับ ฟาดสองที (Double Strike) หินเสริมนี้ยังเพิ่มความเสียหายที่สร้างจากสถานะ เลือดไหลและพิษ อีกด้วย","雙重打擊獲得更多近戰物理傷害。此輔助也會增加流血和中毒造成的總傷害。","http://web.poecdn.com/public/videos/DoubleStrike/DoubleStrike+MeleePhysicalDamage.bk2",83,"http://down.qq.com/poe/videos/skills/DoubleStrike/DoubleStrike+MeleePhysicalDamage.bk2",[]
111,"DoubleStrike&Fortify","Applies a buff that reduces incoming damage from all hits, whilst also providing an increase to melee physical damage with Double Strike.","Vous octroie un effet bénéfique qui réduit tous les Dégâts qui vous touchent, tout en offrant une Augmentation des Dégâts physiques de mêlée de Double frappe.","Wendet eine Stärkung an, die den eingehenden Schaden von allen Treffern verringert und gleichzeitig den physischen Nahkampfschaden von 'Doppelschlag' erhöht.","全てのヒットから受けるダメージを軽減するバフを付与する。また、ダブルストライクの近接物理ダメージが増加する。","명중으로 받는 피해를 감소시키는 버프를 적용합니다. 이중 타격의 근접 물리 피해가 증가합니다.","Aplica dum buff que reduz o dano causado por todos os acertos, enquanto concede uma umento ao dano físico corpo a corpo com Golpe Duplo.","Накладывает положительный эффект, который снижает входящий урон от всех ударов, одновременно увеличивая физический урон в ближнем бою от Двойного удара.","Aplica una bonificación que reduce el daño recibido de todos los golpes, además de otorgar un aumento al daño físico cuerpo a cuerpo con Golpe Doble.","สร้างบัฟที่ลดความเสียหายที่ได้รับจากการปะทะทั้งหมด ขณะเดียวกันก็เพิ่มความเสียหาย กายภาพ ประชิด ของ ฟาดสองที (Double Strike) อีกด้วย","獲得一個減少來自所有擊中傷害的增益效果，同時增加雙重打擊的近戰物理傷害。","http://web.poecdn.com/public/videos/DoubleStrike/Doublestrike+Fortify.bk2",277,"http://down.qq.com/poe/videos/skills/DoubleStrike/Doublestrike+Fortify.bk2",[]
112,"DoubleStrike&MeleeSplash","Allows your Double Strike hits to deal splash damage to nearby targets. Pairing this support with the Ancestral Call support will result in large areas of overlapping damage.","Permet à Double frappe d'infliger des dégâts collatéraux aux ennemis à proximité. En y ajoutant Soutien : Appel ancestral, vos attaques pourront se recouper tout en couvrant encore plus de terrain. ","Bewirkt, dass Treffer mit 'Doppelschlag' an Zielen im Umkreis Streuschaden verursachen. Gepaart mit 'Unterstützung: Ruf der Ahnen' werden große Schadensbereiche erzeugt, die sich überlappen.","ダブルストライクが近くの敵にスプラッシュダメージを与えるようになる。アンセストラルコールと組み合わせることで、広い範囲に重複ダメージを与えることができる。","이중 타격 명중 시, 주변 적에게 범위 피해를 줍니다. 이 보조 젬을 선대의 부름 보조 젬과 결합하면 광역 중복 피해를 줄 수 있습니다.","Permite que os acertos do Golpe Duplo causem dano propagado aos alvos próximos. Combine este suporte com o suporte Chamado Ancestral para obter grandes áreas de dano sobreposto.","Позволяет вашему Двойному удару наносить урон в области по ближайшим целям. Добавление Зова предков в пару к этому камню поддержки приведет к нанесению урона внахлёст по областям большого размера.","Permite que los golpes de tu Golpe Doble inflijan daño colateral a los enemigos cercanos. La combinación de esta asistencia con Llamado Ancestral dará lugar a grandes áreas donde el daño se superpondrá.","ทำให้ ฟาดสองที (Double Strike) ของคุณสร้างความเสียหายกระจายต่อเป้าหมายที่อยู่ใกล้ การใช้หินเสริมนี้ควบคู่ไปกับ หินเสริม Ancestral Call จะทำให้มีพื้นที่สร้างความเสียหายซ้อนกันขนาดใหญ่","使你的雙重打擊可以對目標附近造成擴散傷害。與先祖怒嚎搭配可以使大範圍籠罩在傷害下。","http://web.poecdn.com/public/videos/DoubleStrike/Doublestrike+MeleeSplash.bk2",190,"http://down.qq.com/poe/videos/skills/DoubleStrike/Doublestrike+MeleeSplash.bk2","[6,2,4,0,1,5,3]"
113,"DoubleStrike&Multistrike","Causes Double Strike to repeat an additional two times, as well as providing a large bonus to attack speed.","Permet à Double frappe de se répéter deux fois supplémentaires, tout en lui donnant un important bonus de Vitesse d'attaque.","Bewirkt, dass sich 'Doppelschlag' zwei zusätzliche Male wiederholt und gewährt einen großen Bonus auf die Angriffsgeschwindigkeit.","ダブルストライクを追加で2回繰り返し、アタックスピードも大きく増加させる。","이중 타격이 2회 추가 공격하고 공격 속도 또한 크게 상승합니다.","Faz com que o Golpe Duplo se repita duas vezes adicionais, assim como concede um grande bônus de velocidade de ataque.","Позволяет Двойному удару повторяться ещё два раза, а также существенно повышает скорость атаки.","Causa que Golpe Doble se repita dos veces adicionales, además de otorgar una gran bonificación a la velocidad de ataque.","ทำให้ ฟาดสองที (Double Strike) เกิดซ้ำเพิ่มเติม 2 ครั้ง รวมถึงเพิ่มความเร็วในการโจมตีเป็นอย่างมาก","使雙重打擊重複額外兩次，同時也大幅增加攻擊速度。","http://web.poecdn.com/public/videos/DoubleStrike/Doublestrike+Multistrike.bk2",188,"http://down.qq.com/poe/videos/skills/DoubleStrike/Doublestrike+Multistrike.bk2",[]
114,"MoltenStrike&AncestralCall","Allows Molten Strike to target two additional nearby enemies. With at least three enemies nearby this can result in triple the amount of molten projectiles. ","Appel ancestral permet à Frappe volcanique de cibler deux ennemis supplémentaires à proximité, générant ainsi encore plus de projectiles qui explosent en infligeant des dégâts de zone.","Sorgt dafür, dass 'Lavaschlag' zwei weitere Gegner im Umkreis ins Ziel nimmt. Wenn sich mindestens drei Gegner im Umkreis befinden, kann dies zu einer Verdreifachung der Lavaschlag-Projektile führen.","モルテンストライクが、近くの敵2体を追加でターゲットできるようになる。つまり、近くに最低でも敵が3体いれば、モルテンストライクの投射物が3倍に増える。","용암 타격이 주변 적 2명을 추가로 공격합니다. 주변 적이 3명 이상이면 용암 타격의 투사체량이 3배 증가합니다.","Permite que o Golpe Vulcânico foque em dois inimigos próximos. Combinar este suporte com o Suporte: Propagar Dano resultará em grandes áreas de dano sobreposto.","Позволяет Магмовому удару выбрать целью двух дополнительных врагов поблизости. Если рядом находятся хотя бы три врага, количество магмовых снарядов может быть увеличено втрое.","Permite que Golpe Fundido pueda tomar como objetivos a dos enemigos cercanos adicionales. Con al menos tres enemigos cercanos, puede triplicar la cantidad de proyectiles fundidos.","ทำให้ ฟาดหลอมละลาย (Molten Strike) เล็งเป้าหมายไปยังศัตรูที่อยู่ใกล้เพิ่มเติม 2 ตัว การใช้หินเสริมนี้ควบคู่ไปกับ Melee Splash จะทำให้มีพื้นที่สร้างความเสียหายซ้อนกันขนาดใหญ่","使熔岩之擊額外瞄準兩個目標。若範圍內至少有三名敵人，熔岩投射物的數量也會是三倍。","http://web.poecdn.com/public/videos/MoltenStrike/MoltenStrike+AncestralCall.bk2",347,"http://down.qq.com/poe/videos/skills/MoltenStrike/MoltenStrike+AncestralCall.bk2","[6,2,4,0,3]"
115,"MoltenStrike&ConcerntratedEffect","Reduces the spread of Molten Strike's projectiles while greatly increasing the area damage they deal. This makes it ideal for formidable individual monsters. ","Réduit la dispersion des projectiles de Frappe volcanique, et augmente les Dégâts de zones qu'ils infligent — idéal contre les ennemis uniques les plus robustes.","Verringert zwar den Wirkungsbereich, erhöht dafür aber beträchtlich den Schaden, den 'Lavaschlag' verursacht, weshalb sich die Unterstützungsgemme besonders gegen schwierige Einzelgegner eignet.","モルテンストライクの投射物の広がりが減少するが、与える範囲ダメージが大きく増加する。手ごわい個々の敵と戦う場合に有効である。","용암 타격 투사체의 사거리는 감소하지만 범위 피해가 크게 증가합니다. 까다로운 단일 몬스터를 상대할 때 특히 유용합니다.","Reduz a propagação dos projéteis do Golpe Vulcânico enquanto aumenta significativamente o dano que causam, tornando esse suporte uma ótima escolha para lidar com monstros individuais mais difíceis.","Уменьшает область действия снарядов Магмового удара, но значительно повышает их урон по области, что делает этот камень прекрасным выбором в битвах со сложными одиночными монстрами.","Reduce la propagación de los proyectiles de Golpe Fundido a la vez que aumenta en gran medida el daño en área que infligen. Esto lo convierte en una opción excelente para monstruos individuales formidables.","ลดระยะการกระจายของกระสุนของ ฟาดหลอมละลาย (Molten Strike) ขณะเดียวกันก็เพิ่มความเสียหาย พื้นที่ ที่สร้างจาก ฟาดหลอมละลาย เป็นอย่างยิ่ง ทำให้หินเสริมนี้เหมาะกับมอนสเตอร์ที่เก่งกาจ","減少熔岩之擊投射物的擴散範圍，同時大幅增加它們造成的範圍傷害。用來對付個別強大得怪物是不錯的選擇。","http://web.poecdn.com/public/videos/MoltenStrike/MoltenStrike+ConcentratedEffect.bk2",106,"http://down.qq.com/poe/videos/skills/MoltenStrike/MoltenStrike+ConcentratedEffect.bk2",[]
116,"MoltenStrike&ElementalDamageWithAttacks","Multiplies the elemental damage done by Molten Strike. Converting all physical damage from Molten Strike to elemental damage maximizes the benefit this support provides.","Multiplie les Dégâts élémentaires infligés par Frappe volcanique. Si vous parvenez à convertir tous les Dégâts physiques de Frappe volcanique en Dégâts élémentaires, vous pourrez tirer pleinement parti de cette Gemme de soutien.","Multipliziert den Elementarschaden, der mit 'Lavaschlag' verursacht wird. Der Nutzen dieser Unterstützungsgemme wird maximiert, indem man sämtlichen physischen Schaden von 'Lavaschlag' in Elementarschaden umwandelt.","モルテンストライクの元素ダメージが数倍になる。モルテンストライクの物理ダメージを全て元素ダメージに変換することで、このサポートのメリットが最大化する。","용암 타격의 원소 피해를 증폭합니다. 용암 타격이 주는 모든 물리 피해를 원소 피해로 전환하여, 이 보조가 제공하는 이점을 극대화합니다.","Multiplica o dano elemental causado pelo Golpe Vulcânico. Converter todo o dano físico das Golpe Vulcânico para dano elemental maximiza os benefícios que este suporte concede.","Умножает урон от стихий, который наносит Магмовый удар. Перевод всего физического урона от Магмового удара в урон от стихий максимизирует преимущества этого камня поддержки.","Multiplica el daño elemental infligido por Golpe Fundido. La conversión de todo el daño físico de Golpe Fundido a daño elemental maximiza el beneficio que otorga esta asistencia.","เพิ่มความเสียหาย ธาตุ ให้กับ ฟาดหลอมละลาย (Molten Strike) นอกจากนี้การแปลงความเสียหาย กายภาพ ทั้งหมดของ ฟาดหลอมละลาย ไปเป็นความเสียหาย ธาตุ จะทำให้ได้รับประโยชน์จากหินเสริมนี้สูงสุด","加成熔岩之擊的元素傷害。轉化熔岩之擊所有物理傷害至元素傷害，可以最大化此輔助提供的效用。","http://web.poecdn.com/public/videos/MoltenStrike/MoltenStrike+ElementalDamagewithAttacks.bk2",113,"http://down.qq.com/poe/videos/skills/MoltenStrike/MoltenStrike+WeaponElementalDamage.bk2",[]
117,"MoltenStrike&MeleePhysical","Grants more melee physical damage for Molten Strike. Because 60% of physical damage is converted to fire damage, this support will also increase the fire damage done by Molten Strike. ","Octroie Davantage de Dégâts physiques à Frappe volcanique. Étant donné que Frappe volcanique convertit 60% de ses Dégâts physiques en Dégâts de feu, cette Gemme de soutien vous permet indirectement de booster les Dégâts de feu de Frappe volcanique.","Gewährt 'Lavaschlag' mehr physischen Nahkampfschaden und erhöht gleichzeitig den Feuerschaden, da 60 % des physischen Schadens in Feuerschaden umgewandelt werden.","モルテンストライクの物理ダメージが上昇する。物理ダメージの60%が火ダメージに変換されるため、モルテンストライクによる火ダメージも増加する。","용암 타격의 근접 물리 피해를 증폭합니다. 물리 피해의 60%를 화염 피해로 전환하므로, 이 보조 젬과 결합하면 용암 타격이 주는 화염 피해 또한 증가합니다.","Concede mais dano físico corpo a corpo para o Golpe Vulcânico. Por causa da conversão de 60% do dano físico para dano de fogo, esse suporte também vai aumentar o dano de fogo causado pelo Golpe Vulcânico.","Дает Магмовому удару больше физического урона в ближнем бою. Поскольку 60% физического урона становится уроном от огня, этот камень поддержки также увеличивает урон от огня, который наносит Магмовый удар.","Otorga más daño físico cuerpo a cuerpo a Golpe Fundido. Como el 60% del daño físico ya está convertido a daño de fuego, esta asistencia también aumentará el daño de fuego infligido por Golpe Fundido.","เพิ่มความเสียหาย กายภาพ ประชิด อีก ให้กับ ฟาดหลอมละลาย (Molten Strike) เนื่องจากมีการแปลงความเสียหาย กายภาพ 60% เป็น ไฟ หินเสริมนี้จึงเพิ่มความเสียหาย ไฟ จาก ฟาดหลอมละลาย อีกด้วย","熔岩之擊獲得更多近戰物理傷害。因為 60% 的物理傷害轉化至火焰傷害，此輔助同時也會增加熔岩之擊造成的火焰傷害。","http://web.poecdn.com/public/videos/MoltenStrike/MoltenStrike+MeleePhysicalDamage.bk2",83,"http://down.qq.com/poe/videos/skills/MoltenStrike/MoltenStrike+MeleePhysicalDamage.bk2",[]
118,"MoltenStrike&Multistrike","Causes Molten Strike to repeat an additional two times, as well as providing a large bonus to attack speed.","Permet à Frappe volcanique de se répéter deux fois supplémentaires, tout en lui donnant un important bonus de Vitesse d'attaque.","Bewirkt, dass sich 'Lavaschlag' zwei zusätzliche Male wiederholt und gewährt einen großen Bonus auf die Angriffsgeschwindigkeit.","モルテンストライクを追加で2回繰り返し、アタックスピードも大きく増加させる。","용암 타격이 2회 추가 공격하고 공격 속도 또한 크게 상승합니다.","Faz com que o Golpe Vulcânico se repita duas vezes adicionais, assim como concede um grande bônus de velocidade de ataque.","Позволяет Магмовому удару повторяться ещё два раза, а также существенно повышает скорость атаки.","Causa que Golpe Fundido se repita dos veces adicionales, además de otorgar una gran bonificación a la velocidad de ataque.","ทำให้ ฟาดหลอมละลาย (Molten Strike) เกิดซ้ำเพิ่มเติม 2 ครั้ง รวมถึงเพิ่มความเร็วในการโจมตีเป็นอย่างมาก","使熔岩之擊重複額外兩次，同時也大幅增加攻擊速度。","http://web.poecdn.com/public/videos/MoltenStrike/MoltenStrike+Multistrike.bk2",188,"http://down.qq.com/poe/videos/skills/MoltenStrike/MoltenStrike+Multistrike.bk2",[]
119,"MoltenStrike&ElementalFocus","Removes the ability for Molten Strike to inflict elemental ailments, such as ignite, on enemies. However, it significantly boosts the amount of elemental damage Molten Strike does. Converting all physical damage from Molten Strike to elemental damage maximizes the benefit this support provides.","Empêche Frappe volcanique d'appliquer des Altérations élémentaires, telles que l'Embrasement. En contrepartie, cette Gemme de soutien améliore les Dégâts élémentaires infligés par Frappe volcanique — surtout si vous parvenez à convertir tous ses Dégâts physiques en Dégâts élémentaires.","Nimmt zwar die Fähigkeit, durch 'Lavaschlag' bei Gegnern Beeinträchtigungen zu verursachen (wie zum Beispiel Entzünden), führt jedoch zu einer beträchtlichen Steigerung des Elementarschadens. Der Nutzen dieser Unterstützungsgemme wird maximiert, indem man sämtlichen physischen Schaden von 'Lavaschlag' in Elementarschaden umwandelt.","モルテンストライクによって発火などの元素状態異常を起こすことができなくなるが、元素ダメージが大きく増加する。モルテンストライクの物理ダメージを全て元素ダメージに変換することで、このサポートのメリットが最大化する。","용암 타격이 적에게 점화와 같은 원소 상태 이상을 유발할 수 없으나 막대한 원소 피해를 줄 수 있습니다. 용암 타격의 모든 물리 피해를 원소 피해로 전환하여 이 보조 젬이 제공하는 이점을 극대화합니다.","Remove a possibilidade de infligir afecções elementais do Golpe Vulcânico, tais como incêndio, nos inimigos, mas aumenta significativamente a quantidade de dano elemental que ela causa. Converter todo o dano físico do Golpe Vulcânico para dano elemental maximiza o benefício desse suporte.","Ваш Магмовый удар не сможет накладывать на врагов стихийные состояния, такие как поджог. Однако, урон от стихий Магмового удара будет существенно увеличен. Перевод всего физического урона от Магмового удара в урон от стихий максимизирует преимущества этого камня поддержки.","Elimina la capacidad de que Golpe fundido pueda aplicar estados alterados elementales a los enemigos, como por ejemplo quemadura. Sin embargo, aumenta significativamente la cantidad de daño elemental que inflige Golpe fundido. La conversión de todo el daño físico de Golpe fundido a daño elemental maximiza el beneficio que otorga esta asistencia.","ทำให้ ฟาดหลอมละลาย (Molten Strike) ไม่สามารถสร้างสถานะ เจ็บป่วยธาตุ อย่างเช่น ลุกไหม้ ต่อศัตรูได้อีกต่อไป แต่ทว่า มันจะเพิ่มความเสียหาย ธาตุ ให้กับ ฟาดหลอมละลาย เป็นอย่างมาก นอกจากนี้การแปลงความเสียหาย กายภาพ ทั้งหมดของ ฟาดหลอมละลาย ไปเป็นความเสียหาย ธาตุ จะทำให้ได้รับประโยชน์จากหินเสริมนี้สูงสุด","使熔岩之擊無法對敵人造成元素異常狀態，像是點燃。但它會大量增加熔岩之擊的元素傷害。轉化熔岩之擊所有物理傷害至元素傷害，可以最大化此輔助提供的效用。","http://web.poecdn.com/public/videos/MoltenStrike/MoltenStrike+ElementalFocus.bk2",315,"http://down.qq.com/poe/videos/skills/MoltenStrike/MoltenStrike+ElementalFocus.bk2",[]
120,"Blight&VoidManipulation","Grants more chaos damage but lowers the elemental damage of Blight. Blight only deals chaos damage so Void Manipulation gives more damage at no drawback.","Octroie Davantage de Dégâts de chaos à Fléau, mais réduit ses Dégâts élémentaires. Étant donné que de toute façon, Fléau n'inflige que des Dégâts de chaos, cette Gemme de soutien booste les dégâts de cette aptitude sans aucun inconvénient.","Gewährt 'Pesthauch' mehr Chaosschaden, verringert allerdings den Elementarschaden. Da 'Pesthauch' jedoch ausschließlich Chaosschaden verursacht, gewährt 'Unterstützung: Manipulation der Leere' mehr Schaden ohne Nachteile.","混沌ダメージが上昇するが、ブライトの元素ダメージが低下する。ブライトはそもそも混沌ダメージしか与えることができないため、虚空制御をデメリット無しで使用することができる。","황폐의 카오스 피해가 증폭되지만 원소 피해가 감소합니다. 황폐는 카오스 피해만 주는 스킬 젬이므로 공허 조작 보조 젬과 사용하면 온전히 증폭된 피해를 줄 수 있습니다.","Concede mais dano de caos, mas reduz o dano elemental do Mangra. Mangra só causa dano de caos, então a Manipulação do Vazio concede mais dano sem nenhum efeito negativo.","Дает больше урона хаосом, но уменьшает урон от стихий от Мора. Мор наносит только урон хаосом, так что Манипуляция пустотой даст больше урона без каких-либо недостатков.","Otorga más daño de caos, pero reduce el daño elemental de Plaga. Plaga inflige exclusivamente daño de caos, así que Manipulación del Vacío otorga más daño sin desventajas.","เพิ่มความเสียหาย เคออส อีก แต่ลดความเสียหาย ธาตุ ของ แพร่โรคร้าย (Blight) ในเมื่อ แพร่โรคร้าย สร้างความเสียหาย เคออส เพียงอย่างเดียว จึงทำให้ Void Manipulation เพิ่มความเสียหายโดยไม่มีข้อเสีย","萎滅獲得更多混沌傷害，但會減少元素傷害。但萎滅只會造成混沌傷害，所以虛空操縱給予更多傷害且沒有副作用。","http://web.poecdn.com/public/videos/Blight/Blight+VoidManipulation.bk2",305,"http://down.qq.com/poe/videos/skills/Blight/Blight+VoidManipulation.bk2","[6,2,1,5,3]"
121,"LightningTendrils&ConcentratedEffect","Reduces the area of effect of Lightning Tendrils but significantly increases the area damage Lightning Tendrils does. This makes it an excellent choice for difficult individual monsters.","Réduit la Zone d'effet de Filaments de foudre, mais augmente considérablement les Dégâts de zone de l'aptitude. Cette Gemme de soutien est idéale si vous souhaitez concentrer vos dégâts sur une petite quantité de monstres.","Verringert zwar den Wirkungsbereich, erhöht dafür aber beträchtlich den Schaden, den 'Blitzranken' verursacht, weshalb sich die Unterstützungsgemme besonders gegen schwierige Einzelgegner eignet.","ライトニングテンドリルの効果範囲が減少するかわりに、範囲ダメージ量が大きく増加する。倒すのが手ごわい個々の敵と戦う場合に有効である。","덩굴 번개의 효과 범위가 감소하지만 범위 피해가 크게 증가합니다. 까다로운 단일 몬스터를 상대할 때 특히 유용합니다.","Reduz a área de efeito enquanto aumenta significativamente o dano em área causado pelos Tentáculos Relampejantes, tornando esse suporte uma ótima escolha para lidar com monstros individuais mais difíceis.","Уменьшает область действия Побегов молнии, но значительно повышает их урон по области, что делает этот камень прекрасным выбором в битвах со сложными одиночными монстрами.","Reduce el área de efecto de Centellas, pero aumenta en gran medida el daño en área que inflige. Esto lo convierte en una opción excelente para monstruos individuales difíciles.","ลดพื้นที่ส่งผล แต่เพิ่มความเสียหาย พื้นที่ ของ สายฟ้าแลบ (Lightning Tendrils) เป็นนัยสำคัญ หินเสริมนี้เหมาะสำหรับใช้ต่อสู้กับศัตรูตัวเดียวที่แข็งแกร่ง","減少電能釋放範圍效果，同時大幅增加電能釋放範圍傷害。用來對付個別強大得怪物是不錯的選擇。","http://web.poecdn.com/public/videos/LightningTendrils/LightingTendrils+ConcentratedEffect.bk2",106,"http://down.qq.com/poe/videos/skills/LightningTendrils/LightningTendrils+ConcentratedEffect.bk2",[]
122,"LightningTendrils&IncreasedAreaOfEffect","Increases the area of effect of Lightning Tendrils allowing it to hit a greater number of targets at once.","Augmente la Zone d'effet de Filaments de foudre, leur permettant ainsi de toucher un plus grand nombre d'ennemis à la fois.","Vergrößert den Wirkungsbereich von 'Blitzranken', wodurch gleichzeitig mehr Gegner getroffen werden können.","ライトニングテンドリルの効果範囲が増加し、一度により多数の敵をターゲットできるようになる。","덩굴 번개의 효과 범위가 증가해 한 번에 더 많은 대상을 명중할 수 있습니다.","Aumenta a área de efeito dos Tentáculos Relampejantes, permitindo que ele afete uma maior quantidade de alvos por vez.","Увеличивает область действия Побегов молнии, что позволяет им единовременно поразить большее количество целей.","Aumenta el área de efecto de Centellas, lo que permite que golpee a más objetivos a la vez.","เพิ่มพื้นที่ส่งผลให้กับ สายฟ้าแลบ (Lightning Tendrils) และทำให้มันสามารถปะทะเป้าหมายจำนวนมากขึ้นในคราวเดียว","增加電能釋放的範圍效果，可以使它一次影響大量的目標。","http://web.poecdn.com/public/videos/LightningTendrils/LightingTendrils+IncreasedAOE.bk2",40,"http://down.qq.com/poe/videos/skills/LightningTendrils/LightningTendrils+IncreasedAOE.bk2",[]
123,"CausticArrow&Pierce","Allows projectiles from Caustic Arrow to travel through more enemies, creating multiple patches of caustic ground, dealing damage to more enemies simultaneously. ","Permet aux projectiles de Flèche caustique de traverser plus d'ennemis, créant ainsi plus de flaques de Sol caustique, et donc de blesser un plus grand nombre de monstres à la fois.","Bewirkt, dass die Projektile von 'Ätzender Pfeil' weitere Gegner überwinden, erzeugt mehrere Flächen ätzenden Bodens und verursacht so gleichzeitig bei mehr Gegnern Schaden.","コースティックアローの投射物が、複数の腐食領域を作りながら多数の敵を通り抜けることで、より多くの敵に同時にダメージを与える。","부식성 화살의 투사체가 더 많은 적을 관통하게 하여 다수의 부식성 지대를 만들어 한 번에 더 많은 적에게 피해를 줍니다.","Permite que os projéteis da Flecha Cáustica viajem através de uma quantidade extra de inimigos, assegurando que mais inimigos em um grupo serão acertados pelos projéteis.","Позволяет снарядам Едкой стрелы пролетать через дополнительных монстров, создавая несколько участков едкой земли, которые единовременно нанесут урон большему количеству врагов.","Permite que los proyectiles de Flecha Cáustica viajen a través de más enemigos, creando múltiples zonas de suelo cáustico e infligiendo daño a más enemigos simultáneamente.","ทำให้กระสุนของ ศรกัดกร่อน (Caustic Arrow) สามารถพุ่งผ่านศัตรูเพิ่มขึ้น สร้าง พื้นกัดกร่อน หลายจุด สร้างความเสียหายต่อศัตรูหลายตัวได้พร้อมกัน","使腐蝕箭矢的投射物可以穿越更多敵人，製造多道腐蝕地面，同時對更多敵人造成傷害。","http://web.poecdn.com/public/videos/CausticArrow/CausticArrow+Pierce.bk2",70,"http://down.qq.com/poe/videos/skills/CausticArrow/CausticArrow+Pierce.bk2","[3,2,4,5]"
