"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","SoundFile","ParrotSoundFile","i32_32","i32_36"
1454,"Int4b_A3_08","She knows how to part fools from their coin... Clever.","Elle sait soutirer son dû aux plus crédules… Malin.","Sie weiß, wie man Narren um ihr Geld bringt ... Clever. ","彼女は愚か者からコインを取り上げる方法を知ってるようね......賢いわ。","어리석은 자의 돈을 빼앗는 법을 아는군... 영리해.","Ela sabe como separar os tolos de suas moedas... Inteligente.","Она умеет вытягивать деньги из глупцов... Умно.","Sabe cómo separar a los tontos de su oro... Inteligente.","เธอรู้วิธีทำให้คนโง่เสียเหรียญไปได้... ฉลาดนัก","她知道該如何把蠢蛋手上的硬幣騙走……真聰明。","Audio/Dialogue/4.0/Characters/Int/Sorceress/Sorceress_Gameplay/Sorceress_Gameplay_A3_08.ogg","",10000,0
1455,"Int4b_A3_09","The mighty Vaal empire... Now just an overgrown jungle.","Le puissant Empire vaal… envahi par la jungle.","Das mächtige Imperium der Vaal … Jetzt nur noch ein wuchernder Dschungel.","強大なヴァール帝国......それが今ではただの生い茂ったジャングルになってしまった。","강대한 바알 제국이라... 이젠 그냥 풀이 무성한 밀림일 뿐이야.","O poderoso império Vaal... Agora é apenas uma selva coberta de vegetação.","Могущественное царство ваал... Теперь здесь лишь джунгли.","El poderoso imperio vaal... ahora solo es una jungla espesa.","จักรวรรดิวาล์ที่ยิ่งใหญ่... เหลือเพียงป่าดงดิบหนาทึบ","曾經強大的瓦爾帝國……現在只剩一片荒煙蔓草。","Audio/Dialogue/4.0/Characters/Int/Sorceress/Sorceress_Gameplay/Sorceress_Gameplay_A3_09.ogg","",10000,0
1456,"Int4b_A3_10","They come from above!","Ils sont dans les arbres !","Sie kommen von oben! ","上から来るわ！","위에서 온다!","Eles vêm de cima!","Они лезут сверху!","¡Vienen desde arriba!","พวกมันมาจากข้างบน!","他們從上面來了！","Audio/Dialogue/4.0/Characters/Int/Sorceress/Sorceress_Gameplay/Sorceress_Gameplay_A3_10.ogg","",10000,0
1457,"Int4b_A3_12","How does it lift that thing?","Comment arrive-t-il à soulever ça ?!","Wie kann er das Ding überhaupt stemmen?","どうやってあれを持ち上げるのかしら？","저걸 어떻게 드는 거지?","Como ele levanta essa coisa?","Как он поднимает эту штуку?!","¿Cómo puede levantar esa cosa?","มันยกเสานั่นขึ้นมาได้ยังไง?!","它怎麼舉起那個東西的？","Audio/Dialogue/4.0/Characters/Int/Sorceress/Sorceress_Gameplay/Sorceress_Gameplay_A3_12.ogg","",10000,0
1458,"Int4b_A3_13","Ouch. You should've been more careful.","Aïe. Vous devriez faire plus attention, l'ami.","Autsch. Du hättest vorsichtiger sein sollen.","痛っ。もっと気を付けて。","아야. 조심했어야지.","Ai. Você deveria ter tido mais cuidado.","Ой. Как же ты так неосторожно.","Ay. Deberías haber tenido más cuidado.","โอ๊ย เจ้าน่าจะระวังตัวกว่านี้นะ","哎。你應該小心一點的。","Audio/Dialogue/4.0/Characters/Int/Sorceress/Sorceress_Gameplay/Sorceress_Gameplay_A3_13.ogg","",10000,0
1459,"Int4b_A3_14","What is worse? Snakes... or scorpions?","Je ne saurais dire ce que j'aime le moins… Les serpents… ou les scorpions ?","Was ist schlimmer? Schlangen ... oder Skorpione?","どっちが厄介かしら？蛇か......サソリか？","뭐가 더 나쁘지? 뱀...? 전갈?","O que é pior? Cobras... ou escorpiões?","Что хуже: змеи или скорпионы?","¿Qué es peor? ¿Serpientes... o escorpiones?","อะไรแย่กว่ากันล่ะ? งู... รึแมงป่อง?","哪一個比較糟糕？毒蛇……還是毒蠍？","Audio/Dialogue/4.0/Characters/Int/Sorceress/Sorceress_Gameplay/Sorceress_Gameplay_A3_14.ogg","",10000,0
1460,"Int4b_A3_15","Busy little things, aren't they?","Tant d'agitation pour de si petites créatures.","Emsige kleine Dinger, oder?","忙しい子たちでしょ？","정말 부지런한 녀석들이네?","Coisinhas ocupadas, hein?","Деловые они, не правда ли?","Qué cositas más ocupadas, ¿verdad?","พวกตัวเล็กๆ นี่ยุ่งกันไม่เบาเลยนะ","這些小東西還真忙，對吧？","Audio/Dialogue/4.0/Characters/Int/Sorceress/Sorceress_Gameplay/Sorceress_Gameplay_A3_15.ogg","",10000,0
1461,"Int4b_A3_16","This looks promising. I should ask Alva about this.","Voilà qui semble prometteur. Peut-être qu'Alva saura de quoi il s'agit.","Das sieht vielversprechend aus. Ich sollte Alva dazu befragen.","期待できそうね。アルヴァならこれが何なのか知っているかも。","가망이 있어 보이는데. 알바에게 물어봐야겠군.","Isso parece promissor. Vou perguntar a Alva sobre isso.","Выглядит многообещающе. Надо спросить Альву.","Esto parece prometedor. Debería preguntarle a Alva sobre esto.","มันดูมีประโยชน์นะ น่าจะลองถามอัลวาดู","這個看起來不錯。我應該去問問艾瓦。","Audio/Dialogue/4.0/Characters/Int/Sorceress/Sorceress_Gameplay/Sorceress_Gameplay_A3_16.ogg","",10000,0
1462,"Int4b_A3_17","I've never seen such beauty... The Oases at home lacked such splendid colour.","Je n'ai jamais vu une telle splendeur… Les oasis de ma terre natale n'étaient pas aussi colorées.","Ich habe noch nie solch eine Schönheit gesehen ... Den Oasen daheim fehlten diese prächtigen Farben.","こんな美しいものは見た事がない。故郷のオアシスにはこんな色鮮やかな色がなかった。","이렇게 아름다운 건 처음 보는군... 고향의 오아시스는 이렇게 화려한 색이 아니었지.","Nunca vi tanta beleza... Os oásis da minha terra não tinham cores tão esplêndidas.","Впервые вижу такую красоту... Эти оттенки превосходят великолепием наши родные оазисы.","Nunca había visto tanta belleza... Los oasis de mi hogar no tenían este color tan espléndido","ข้าไม่เคยเห็นความงามเช่นนี้มาก่อน... โอเอซิสที่บ้านเกิดไม่มีสีสันตระการตาเช่นนี้","我從沒見過這樣的美景……家鄉的綠洲缺乏如此美妙的色彩。","Audio/Dialogue/4.0/Characters/Int/Sorceress/Sorceress_Gameplay/Sorceress_Gameplay_A3_17.ogg","",10000,0
1463,"Int4b_A3_18","Ah! Toxins!","Ah ! Des toxines !","Ah! Gifte!","あぁ！毒が！","아! 독!","Ah! Toxinas!","А! Токсины!","¡Ah! ¡Toxinas!","อ๊า! พิษ!","啊！劇毒！","Audio/Dialogue/4.0/Characters/Int/Sorceress/Sorceress_Gameplay/Sorceress_Gameplay_A3_18.ogg","",10000,0
1464,"Int4b_A3_19","The vaunted technology of the Vaal... and look where it got them. Dead and buried.","La technologie vaal était admirée de tous… Voilà où elle les a menés. Ils sont tous morts et enterrés.","Die vielgerühmte Technologie der Vaal ... und was hat es ihnen genutzt? Sie sind tot und begraben.","ヴァールの誇らしい技術......それがどうなったか見てみなさい。滅びて消えてしまった。","바알이 과시하던 수많은 기술들이 어떻게 됐는지 봐라... 전부 죽어서 땅에 묻혔다.","A alardeada tecnologia dos Vaal... e veja onde ela os levou. Mortos e enterrados.","И к чему привели ваал их хвалёные технологии? К гибели и забвению.","La aclamada tecnología de los vaal... y mira a dónde los llevó. Muertos y enterrados.","เทคโนโลยีที่พวกวาล์โอ้อวด... แล้วดูสิว่าพวกมันได้อะไรขึ้นมา ได้แต่ตายแล้วจมอยู่แบบนั้น","瓦爾所自豪的技術……但看看他們的下場是什麼。墳頭都長滿了青草。","Audio/Dialogue/4.0/Characters/Int/Sorceress/Sorceress_Gameplay/Sorceress_Gameplay_A3_19.ogg","",10000,0
1465,"Int4b_A3_20","Ah... they live!","Ah… Ils sont vivants !","Ach ... Sie sind am Leben!","ああ......生きていたのね！","아... 살아 있군!","Ah... eles vivem!","О... Они живы!","Ah... ¡Aún viven!","อา... พวกมันมีชีวิต!","啊……他們還活著！","Audio/Dialogue/4.0/Characters/Int/Sorceress/Sorceress_Gameplay/Sorceress_Gameplay_A3_20.ogg","",10000,0
1466,"Int4b_A3_21","I wonder if Alva knows this place?","Je me demande si Alva connaît cet endroit ?","Ich frage mich, ob Alva diesen Ort kennt?","アルヴァはこの場所を知っていたのかしら？","알바가 이곳을 알까?","Será que a Alva conhece este lugar?","Интересно, Альва знает это место?","Me pregunto si Alva conoce este lugar.","สงสัยนักว่าอัลวารู้จักที่นี่ไหม?","不知道艾瓦認不認識這個地方？","Audio/Dialogue/4.0/Characters/Int/Sorceress/Sorceress_Gameplay/Sorceress_Gameplay_A3_21.ogg","",10000,0
1467,"Int4b_A3_22","Ah yes, a Soul Core.","Ah, un cœur d'âme.","Ah ja, ein Seelenkern.","ああ、いいわ。ソウルコアね。","아, 좋아. 영혼 핵이군.","Ah sim, um Núcleo d'Alma.","Ага! Ядро душ.","Ah sí, un núcleo de alma.","อา ใช่ แกนวิญญาณนี่นา","啊，很好，是靈魂核心。","Audio/Dialogue/4.0/Characters/Int/Sorceress/Sorceress_Gameplay/Sorceress_Gameplay_A3_22.ogg","",10000,0
1468,"Int4b_A3_23","Well... it works.","Eh bien… Ça fonctionne.","Nun ja ... es funktioniert.","よし......作動したわ。","오... 성공이야.","Bem... funciona.","Что ж... Сработало.","Bueno... funciona.","อืม... มันใช้การได้","嗯……有用了。","Audio/Dialogue/4.0/Characters/Int/Sorceress/Sorceress_Gameplay/Sorceress_Gameplay_A3_23.ogg","",10000,0
1469,"Int4b_A3_24","Another Soul Core. Now, where to use it?","Un autre cœur d'âme. Comment pourrais-je m'en servir ?","Ein weiterer Seelenkern. Wo kann ich ihn wohl einsetzen?","別のソウルコアね。これはどこで使えばいいのかしら？","또 영혼 핵이다. 이건 어디에 쓰지?","Outro Núcleo d'Alma. Mas onde eu uso isso?","Ещё одно ядро душ. Где его можно использовать?","Otro núcleo de alma. ¿Dónde se usará?","แกนวิญญาณอีกชิ้น จะเอาไปใช้ที่ไหนได้นะ?","又一顆靈魂核心。現在該把它用在哪呢？","Audio/Dialogue/4.0/Characters/Int/Sorceress/Sorceress_Gameplay/Sorceress_Gameplay_A3_24.ogg","",10000,0
1470,"Int4b_A3_25","They... are warm to the touch.","Elles… sont encore tièdes au toucher.","Sie ... fühlen sich warm an.","これは......触れると温かいわ。","이건... 따뜻한데.","Eles... são quentes.","На ощупь... тёплые.","Están... calientes al tacto.","จับไปแล้ว... อุ่นนัก","它們……摸起來溫溫的。","Audio/Dialogue/4.0/Characters/Int/Sorceress/Sorceress_Gameplay/Sorceress_Gameplay_A3_25.ogg","",10000,0
1471,"Int4b_A3_26","Another Soul Core is required.","Il me faut un autre cœur d'âme.","Ich brauche einen weiteren Seelenkern.","別のソウルコアが必要ね。","영혼 핵이 하나 더 필요하다.","Preciso de outro Núcleo d'Alma.","Нужно ещё одно ядро душ.","Hace falta otro núcleo de alma.","ต้องใช้แกนวิญญาณอีกชิ้น","需要另一顆靈魂核心。","Audio/Dialogue/4.0/Characters/Int/Sorceress/Sorceress_Gameplay/Sorceress_Gameplay_A3_26.ogg","",10000,0
1472,"Int4b_A3_27","Stone-one, your duty has ended.","Être de pierre, votre devoir a pris fin.","Steinerner, du bist von deinen Pflichten befreit.","石人間よ、あなたの務めはお終いよ。","돌로 된 자여, 네 의무는 끝이 났다.","Coisa de pedra, você está dispensado.","Твоя миссия выполнена, каменный страж.","Hombre de piedra, tu deber ha terminado.","มนุษย์ศิลา หน้าที่เจ้าจบลงแล้ว","石頭人，你的使命結束了。","Audio/Dialogue/4.0/Characters/Int/Sorceress/Sorceress_Gameplay/Sorceress_Gameplay_A3_27.ogg","",10000,0
1473,"Int4b_A3_28","Ahhh... I should call Alva.","Ahhh… Je devrais aller chercher Alva.","Ahhh ... ich sollte Alva rufen.","あぁ......アルヴァを呼ぶべきね。","아... 알바를 불러야겠군.","Ahhh... Preciso chamar a Alva.","О... Стоит позвать Альву.","Ahhh... Debería llamar a Alva.","อา... ข้าควรเรียกอัลวานะ","啊……我最好去通知艾瓦。","Audio/Dialogue/4.0/Characters/Int/Sorceress/Sorceress_Gameplay/Sorceress_Gameplay_A3_28.ogg","",10000,0
1474,"Int4b_A3_29","I'll need a larger Soul Core for this.","Je vais devoir trouver un plus gros cœur d'âme.","Dafür brauche ich einen größeren Seelenkern.","これにはもっと大きなソウルコアが必要ね。","더 큰 영혼 핵이 필요하겠어.","Vou precisar de um Núcleo d'Alma maior para isso.","Для этого понадобится ядро душ побольше.","Necesito un núcleo de alma más grande para esto.","เจ้านี่ต้องการแกนพลังงานที่ใหญ่กว่านี้","我需要一顆更大的靈魂核心。","Audio/Dialogue/4.0/Characters/Int/Sorceress/Sorceress_Gameplay/Sorceress_Gameplay_A3_29.ogg","",10000,0
1475,"Int4b_A3_30","This is what I need. Back to the generator.","C'est exactement ce qu'il me faut. Retour au générateur.","Das ist genau, was ich brauche. Zurück zum Generator.","必要なものが手に入ったな。ジェネレーターへ戻ろう。","내게 딱 필요한 거군. 발전기로 돌아가자.","É disso que preciso. De volta ao gerador.","То что нужно. Пора возвращаться к генератору.","Esto es lo que necesito. De vuelta al generador.","นี่แหละที่ข้าต้องการ กลับไปที่เครื่องกำเนิดพลังงานดีกว่า","這就是我需要的。回到發電機那裡吧。","Audio/Dialogue/4.0/Characters/Int/Sorceress/Sorceress_Gameplay/Sorceress_Gameplay_A3_30.ogg","",10000,0
1476,"Int4b_A3_31","A larger Soul Core... Now where to place it?","Un plus gros cœur d'âme… Où devrais-je le placer ?","Ein größerer Seelenkern ... Aber wo kann ich ihn platzieren?","大きなソウルコアね......どこに入れればいいのかしら？","더 큰 영혼 핵이군... 이건 어디 놓지?","Um Núcleo d'Alma maior... Onde que eu coloco isso?","Большое ядро душ... Куда же его поместить?","Un núcleo de alma más grande... ¿Y ahora dónde lo coloco?","แกนวิญญาณขนาดใหญ่... ข้าจะเอาไว้ใส่ที่ไหนได้ล่ะ?","更大的靈魂核心……現在該把它放在哪呢？","Audio/Dialogue/4.0/Characters/Int/Sorceress/Sorceress_Gameplay/Sorceress_Gameplay_A3_31.ogg","",10000,0
1477,"Int4b_A3_32","I must admit... it is impressive this all still functions.","Je dois bien l'admettre… Je suis impressionnée que tout fonctionne encore.","Ich muss zugeben ... es ist beeindruckend, dass all das noch funktioniert.","認めざるを得ないわね.....この全てがまだ機能しているのは驚くべきことだわ。","이게 다 아직도 작동하다니... 솔직히 대단하군.","Devo admitir... é impressionante que tudo isso ainda funcione.","Честно говоря... Даже изумляет, что всё до сих пор работает.","Debo admitir... que es impresionante que todo esto aún funcione.","ข้ายอมรับ... มันน่าทึ่งที่ของพวกนี้ยังใช้การได้อยู่","我得承認……這些依然能運作還真令人驚訝。","Audio/Dialogue/4.0/Characters/Int/Sorceress/Sorceress_Gameplay/Sorceress_Gameplay_A3_32.ogg","",10000,0
1478,"Int4b_A3_33","It appears... the place now teems with energy. I should be quick.","Cet endroit… fourmille désormais d'énergie. Je devrais faire vite.","Es scheint ... dieser Ort summt nun vor Energie. Ich sollte mich beeilen.","どうやら......この場所はエネルギーにあふれているようね。急がなければ。","이곳에... 이제 에너지가 넘치는 듯하군. 빨리 움직여야겠다.","Parece... que o lugar agora está cheio de energia. Preciso ir rápido.","Что ж, похоже, всё здесь теперь наполнено энергией. Лучше поторопиться.","Parece que... este lugar ahora está lleno de energía. Debería apresurarme.","เหมือนว่า... ที่นี่จะมีพลังงานมากมาย ข้าควรรีบเข้า","看來……這個地方現在充滿了能量。我得動作快了。","Audio/Dialogue/4.0/Characters/Int/Sorceress/Sorceress_Gameplay/Sorceress_Gameplay_A3_33.ogg","",10000,0
1479,"Int4b_A3_34","This may not end well...","Ça risque de mal se terminer…","Das nimmt vielleicht kein gutes Ende ...","これは良い終わり方をしないかもしれない......","끝이 좋지 않을지도...","Isso pode acabar muito mal...","Не факт, что всё хорошо закончится...","Puede que esto no acabe bien...","มันอาจจบไม่สวยก็เป็นได้...","這可能不會有好結局……","Audio/Dialogue/4.0/Characters/Int/Sorceress/Sorceress_Gameplay/Sorceress_Gameplay_A3_34.ogg","",10000,0
1480,"Int4b_A3_35","Alva, I should plunge you into a pit of scorpions for that!","Alva, je devrais vous jeter dans une fosse à scorpions pour la peine !","Alva, dafür sollte ich dich in eine Grube voller Skorpione stoßen!","アルヴァ、サソリの巣穴に突き落としてやろうか！","알바, 널 전갈 구덩이에 내던져 주마!","Alva, eu deveria te jogar em um poço de escorpiões por isso!","Альва, бросить бы тебя в яму к скорпионам за это!","¡Alva, debería tirarte a un nido de escorpiones por eso!","อัลวา ข้าจะจับเจ้าโยนลงหลุมแมงป่องเสีย!","艾瓦，我真該把你扔到黑蠍子坑裡去！","Audio/Dialogue/4.0/Characters/Int/Sorceress/Sorceress_Gameplay/Sorceress_Gameplay_A3_35.ogg","",10000,0
1481,"Int4b_A3_36","Now... let me access these waterways.","À présent… Laissez-moi accéder à l'aqueduc.","Ich muss mir jetzt ... Zugang zu diesen Wasserwegen verschaffen.","さて......この水路への道を開こう。","자... 이제 이 수로로 들어가 볼까.","Agora... preciso acessar essas hidrovias.","Так... Теперь мне нужно добраться до водотоков.","Ahora... deja que acceda a esos canales.","เอาละ... ขอให้ข้าเข้าไปในทางน้ำพวกนี้เถอะ","現在……讓我進到這些水道裡吧。","Audio/Dialogue/4.0/Characters/Int/Sorceress/Sorceress_Gameplay/Sorceress_Gameplay_A3_36.ogg","",10000,0
1482,"Int4b_A3_37","So these are the Azak that Servi despises? I can understand why.","Ce sont les Azaks que Servi méprise ? Je peux comprendre pourquoi.","Das sind also die Azak, die Servi so verabscheut? Ich verstehe, warum.","こいつらがセルヴィが嫌っているアザクか？理解できるな。","이것들이 세르비가 그토록 싫어하는 아자크인가? 이유를 알겠군.","Então esses são os Azak que a Servi despreza? Acho que entendi por que.","Это и есть племя, которое так ненавидит Серви? Могу её понять.","¿Así que estos son los azak que tanto odia Servi? Puedo entender por qué.","นี่คือพวกอาซัคที่เซอร์วีชิงชังรึ? ข้าพอเข้าใจเหตุอยู่","所以這些就是瑟維厭惡的阿札克族嗎？我能理解為什麼了。","Audio/Dialogue/4.0/Characters/Int/Sorceress/Sorceress_Gameplay/Sorceress_Gameplay_A3_37.ogg","",10000,0
1483,"Int4b_A3_38","If the Vaal were so intelligent... why would they build something that could flood their main city?","Si les Vaals étaient si intelligents que ça… Pourquoi ont-ils construit quelque chose capable d'inonder leur ville ?","Wenn die Vaal so intelligent waren ... warum bauten sie etwas, dass ihre ganze Hauptstadt überfluten konnte?","もしヴァールがそんなに賢いなら......何故自分たちの都市を水没させるようなものを作ったのだ？","바알이 그처럼 똑똑했다면... 왜 도시를 수몰시킬 수도 있는 것을 만들었지?","Se os Vaal eram tão inteligentes... por que eles construiriam algo que pudesse inundar sua cidade principal?","Раз ваал были так мудры... зачем же они возвели сооружение, грозящее затопить их столицу?","Si los vaal eran tan inteligentes... ¿por qué construirían algo que podía inundar su capital?","ถ้าพวกวาล์ฉลาดนัก... ทำไมถึงสร้างอะไรที่ทำให้นครหลักท่วมขึ้นมาได้เล่า?","如果瓦爾人真的那麼聰明……那他們為什麼要打造能夠將主城淹沒的設施？","Audio/Dialogue/4.0/Characters/Int/Sorceress/Sorceress_Gameplay/Sorceress_Gameplay_A3_38.ogg","",10000,0
1484,"Int4b_A3_39","That should do it.","Ça devrait faire l'affaire.","Das sollte genügen.","これでうまくいくわ。","이제 됐겠지.","Acho que isso vai resolver.","Должно сработать.","Con esto debería bastar.","เรียบร้อยแล้วกระมัง","這樣應該就可以了。","Audio/Dialogue/4.0/Characters/Int/Sorceress/Sorceress_Gameplay/Sorceress_Gameplay_A3_39.ogg","",10000,0
1485,"Int4b_A3_40","Servi was right. The Azak must be dealt with.","Servi avait raison. Il faut s'occuper des Azaks.","Servi hatte recht. Jemand muss sich um die Azak kümmern. ","セルヴィは正しかった。アザクは倒されなければならないわ。","세르비 말이 맞았다. 아자크는 처단해야 해.","Servi tinha razão. Preciso dar um jeito nesses Azak,","Серви была права. С азаками надо разделаться.","Servi tenía razón. Hay que acabar con los azak.","เซอร์วีพูดถึง พวกอาซัคต้องถูกจัดการเสีย","瑟維是對的。必須處理掉阿札克族。","Audio/Dialogue/4.0/Characters/Int/Sorceress/Sorceress_Gameplay/Sorceress_Gameplay_A3_40.ogg","",10000,0
1486,"Int4b_A3_41_01","She flies... Of course.","Elle fuit… Évidemment.","Sie flieht ... Natürlich. ","彼女が飛ぶのか......やっぱりな。","달아나는군... 그럼 그렇지.","Ela voa... Claro.","Она и летать умеет... Ну конечно.","Vuela... Por supuesto.","มันบินได้... แหงล่ะ","她會飛……當然了。","Audio/Dialogue/4.0/Characters/Int/Sorceress/Sorceress_Gameplay/Sorceress_Gameplay_A3_41.ogg","",10000,0
1487,"Int4b_A3_42","May your spirit shriek for eternity, vile one.","Que votre esprit hurle pour l'éternité, abomination.","Möge dein Geist auf ewig kreischen, Miststück.","お前の魂が永遠に悲鳴を上げますように、邪悪なものよ。","끔찍한 자여, 네 영혼이 영원토록 비명을 지르기를.","Que seu espírito grite pela eternidade, coisa vil.","Да возопит твой дух во веки веков, злобная тварь.","Que tu espíritu grite por toda la eternidad, vil criatura.","ขอให้วิญญาณแกกรีดร้องไปชั่วกัลป์ ไอ้ชาติชั่ว","願你的靈魂永遠發出悲鳴，邪惡之人。","Audio/Dialogue/4.0/Characters/Int/Sorceress/Sorceress_Gameplay/Sorceress_Gameplay_A3_42.ogg","",10000,0
1488,"Int4b_A3_43","Hmm... I feel a murmur of power within them.","Hmm… Je ressens un souffle de pouvoir à l'intérieur.","Hmm ... Ich spüre darin ein Flüstern von Macht.","ふぅーむ......彼らの中に力のうねりを感じる。","흐음... 안에서 웅웅거리는 힘이 느껴진다.","Hmm... Sinto um murmúrio de poder dentro deles.","Хм... Изнутри ощущается сила.","Hmm... Siento un murmullo de poder en su interior.","หืม... ข้าสัมผัสได้ว่ามีพลังอยู่ภายใน","嗯……我感覺到它們在發出力量的低語。","Audio/Dialogue/4.0/Characters/Int/Sorceress/Sorceress_Gameplay/Sorceress_Gameplay_A3_43.ogg","",10000,0
1489,"DexInt4b_Intro_SalesPitch_01","My life has been naught but discipline and focus, preparing me for this. I fight for the Benevolent Dreamer. Free my hands, and those who seek chaos will fall before me!","Ma vie n'a été que discipline et concentration, dans le seul but de me préparer à cette épreuve. Je combats au nom du Rêveur bienveillant. Libérez mes mains et celles-ci abattront tous les instigateurs du chaos !","Mein Leben war nichts anderes als Disziplin und Fokus, um mich darauf vorzubereiten. Ich kämpfe für den Barmherzigen Träumer. Befreit meine Hände, und diejenigen, die das Chaos suchen, werden vor mir fallen!","我が生涯はこの時のため、規律と専心に捧げてきた。私は善なる夢見人のために戦う。我が手を解放すれば、混沌を求める者は私の前に倒れるだろう！","내 삶은 오직 규율과 집중력뿐이었고, 그렇게 나는 지금 이 순간을 준비해 왔다. 나는 자애로운 몽상가를 위해 싸운다. 내 손을 풀어주면, 혼돈을 쫓는 이들이 내 앞에 모두 쓰러질 것이다!","Disciplina e foco são os meus alicerces, estou pronto para isso. Eu luto pelo Sonhador Benevolente. Liberte minhas mãos, e aqueles que buscam o caos cairão diante de mim!","Вся моя жизнь – сплошная дисциплина и подготовка к этому самому моменту. Я сражаюсь во имя Милостивого Спящего. Освободи мои руки, и те, кто сеет хаос, падут передо мной!","Mi vida no ha sido más que disciplina y concentración, para prepararme para esto. Lucho por el Soñador benevolente. Libera mis manos, ¡y aquellos que buscan el caos caerán ante mí!","ข้าฝึกวินัยและสมาธิเพื่อการนี้มาชั่วชีวิต ข้าต่อสู้เพื่อท่านนักฝันผู้ทรงเมตตา ปล่อยมือข้า แล้วผู้ที่แสวงหาความวุ่นวายจะล้มตายตรงหน้าข้า!","我這一生恪守紀律，所有的準備都是為了此刻。我為了仁慈的幻夢者而戰。解放我的雙手，那些追尋混沌之人將在我面前倒下！","Audio/Dialogue/4.0/Characters/DexInt/Monk/Monk_Gameplay/Monk_IntroLine_SalesPitch_01.ogg","",10000,100000
1490,"DexInt4b_A1_01","By the Dreamer's will, I have another chance.","Par la volonté du Rêveur, une autre chance s'offre à moi.","Durch den Willen des Träumers erhalte ich eine weitere Gelegenheit. ","夢見人の意志により、私は今一度チャンスを得た。","몽상가의 뜻에 따라, 기회를 다시 얻었다.","Pela graça do Sonhador, tenho outra chance.","Волей Спящего мне дан ещё один шанс.","Por la voluntad del Soñador, tengo otra oportunidad.","ด้วยเจตจำนงของท่านนักฝัน ข้าจึงมีโอกาสอีกครั้ง","憑藉幻夢者的意志，我還有一次機會。","Audio/Dialogue/4.0/Characters/DexInt/Monk/Monk_Gameplay/Monk_Gameplay_A1_01.ogg","",10000,0
1491,"DexInt4b_A1_02","Power. But at what cost?","Du pouvoir. Mais à quel prix ?","Macht. Aber zu welchem Preis?","力だ。だが、その代償は？","이 힘의 대가는 뭐지?","Poder. Mas a que custo?","Сила. Но какой ценой?","Poder. ¿Pero a qué precio?","พลัง แต่แลกกับอะไรมาเล่า?","力量啊。但代價又是什麼？","Audio/Dialogue/4.0/Characters/DexInt/Monk/Monk_Gameplay/Monk_Gameplay_A1_02.ogg","",10000,0
1492,"DexInt4b_A1_03","Effective.","Efficace.","Effektiv.","効果的だな。","효과적이군.","Eficaz.","Эффективно.","Eficaz.","มีประสิทธิภาพนัก","真有效。","Audio/Dialogue/4.0/Characters/DexInt/Monk/Monk_Gameplay/Monk_Gameplay_A1_03.ogg","",10000,0
1493,"DexInt4b_A1_04","Skill always beats raw strength.","La maîtrise l'emporte toujours sur la force brute.","Können schlägt immer rohe Kraft.","技は常にただの力に勝つ。","기술은 언제나 힘을 제압한다.","Habilidade sempre vence a força bruta.","Умение всегда побеждает грубую силу.","La habilidad siempre gana a la fuerza bruta.","ทักษะย่อมเหนือกว่าพละกำลังเสมอ","技巧永遠勝過純粹的力量。","Audio/Dialogue/4.0/Characters/DexInt/Monk/Monk_Gameplay/Monk_Gameplay_A1_04.ogg","",10000,0
1494,"DexInt4b_A1_05","How have the Ezomytes fallen this far?","Comment les Ézomytes ont-ils pu tomber aussi bas ?","Wie konnten die Ezomyten nur so tief fallen?","エゾミアの民はなぜここまで堕ちてしまったのだろう。","에조미어인들이 어쩌다 이렇게까지 몰락한 걸까?","Como que os Ezomitas caíram tanto?","Как смогли эзомиты пасть так низко?","¿Cómo han podido caer tan bajo los ezomitas?","ทำไมชาวเอโซไมต์ถึงตกต่ำเพียงนี้?","艾茲麥人為何會淪落至此？","Audio/Dialogue/4.0/Characters/DexInt/Monk/Monk_Gameplay/Monk_Gameplay_A1_05.ogg","",10000,0
1495,"DexInt4b_A1_06","A foul lair, for a foul creature.","Un repaire infect, à l'image de la créature qui y vit.","Ein finsteres Versteck für eine finstere Kreatur.","邪悪な巣には、邪悪な者がいる。","더러운 생물에게 어울리는 더러운 소굴이군.","Um covil imundo para uma criatura imunda.","Мерзкое логово для мерзкого создания.","Una madriguera desagradable para una criatura desagradable.","รังโสโครกสำหรับสิ่งมีชีวิตโสโครก","給骯髒生物住的骯髒巢穴。","Audio/Dialogue/4.0/Characters/DexInt/Monk/Monk_Gameplay/Monk_Gameplay_A1_06.ogg","",10000,0
1496,"DexInt4b_A1_07","Is that all?","C'est tout ?","Ist das alles?","それだけか？","그게 다냐?","É só isso?","Это всё?","¿Eso es todo?","แค่นี้เองรึ?","就這樣？","Audio/Dialogue/4.0/Characters/DexInt/Monk/Monk_Gameplay/Monk_Gameplay_A1_07.ogg","",10000,0
1497,"DexInt4b_A1_08_01","The tail!","La queue !","Der Schwanz!","最後だ！","꼬리!","A cauda!","Хвост!","¡La cola!","หางนั่น!","尾巴！","Audio/Dialogue/4.0/Characters/DexInt/Monk/Monk_Gameplay/Monk_Gameplay_A1_08_01.ogg","",10000,0
