"rownum","Id","PositionX","PositionY","i32","i32","[rid]","string","string","[rid]","i32","[rid]","[rid]","rid","string","i32","i32","string","rid","rid","string","bool","i32","i32","bool"
95,"G2_town_marker_quarry",86,0,0,0,[],"Mawdun Quarry","","[2917,2918,3461]",2,[72],[],"","",109,0,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinTownMarkerQuarry","","","","",4205,4205,""
96,"G2_town_marker_lockedgates",86,0,0,0,[],"The Halani Gates","","[4531,3461]",2,[72],[1524],"","",109,0,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinTownMarkerGates","","","","",4205,4205,""
97,"G2_town_marker_gates",86,0,0,0,[],"The Halani Gates","",[1524],2,[72],[],"","",109,0,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinTownMarkerGates","","","","",4205,4205,""
98,"G2_town_marker_oasis",86,0,0,0,[],"The Dreadnought's Wake","",[],2,[72],[],72,"",109,0,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinTownMarkerOasis","","","","",4205,4205,""
99,"G2_town_marker_keth",86,0,0,0,[],"Keth","",[1527],2,[72],[],"","",109,0,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinTownMarkerKeth","","","","",4205,4205,""
100,"G2_town_marker_badlands",86,0,0,0,[],"Mastodon Badlands","",[1527],2,[72],[],"","",109,0,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinTownMarkerBadlands","","","","",4205,4205,""
101,"G2_town_marker_titans",86,0,0,0,[],"Valley of the Titans","",[1527],2,[72],[],"","",109,0,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinTownMarkerTitans","","","","",4205,4205,""
102,"G2_town_marker_spires",86,0,0,0,[],"Deshar","",[4565],2,[72],[],"","",109,0,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinTownMarkerSpires","","","","",4205,4205,""
103,"G2_town_marker_dreadnought",86,0,0,0,[],"The Dreadnought","",[4582],2,[72],[],"","",109,0,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinTownMarkerDreadnought","","","","",4205,4205,""
104,"G2_town_marker_ascendancy",86,0,0,0,[],"Trial of the Sekhemas","",[4539],2,[72],[],"","",109,0,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinTownMarkerAscendancy","","","","",4205,4205,""
105,"G2_town_marker_toact3",86,0,0,0,[],"Sandswept Marsh","",[72],2,[72],[],"","",109,0,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinTownMarkerToAct3","","","","",4205,4205,""
106,"G2_1",87,0,0,0,[87],"Vastiri Outskirts","Corruption has come to the desert, but these sands have always been red.",[2906],2,[2906],[],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinOutpost","","","","",4205,4205,""
107,"G2_1_Rathbreaker",87,0,0,0,[],"Rathbreaker","...howls echo across the barrens...",[2906],2,[72],[4322],"","WorldMapContentBoss",106,0,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinRathbreaker",0,"","","",4205,4205,""
108,"G2_1_RathbreakerSlain",87,0,0,0,[],"Rathbreaker","Only silence lurks now.",[4322],2,[72],[],"","WorldMapContentBossDone",106,0,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinRathbreaker",0,"","","",4205,4205,1
109,"G2_town",86,0,0,0,[86],"The Ardura Caravan","Brutal restraint makes life in the desert possible.",[2906],2,[2907],[],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinTown","",3725,"War taught the Maraketh the difference between pragmatism and cruelty. Peace demands they remember that lesson.","",4205,4205,""
110,"G2_2",88,0,0,0,[88],"Traitor's Passage","The fatal weakness of a great bastion is usually one of its supposed defenders.","[2908,1524]",2,[2908],[],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinTraitorsPassage","","","",1,4205,4205,""
111,"G2_2_Underground",88,0,0,0,[],"Traitor's Passage","The fatal weakness of a great bastion is usually one of its supposed defenders.","[2908,1524]",2,[72],[],"","",110,0,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinTraitorsPassageUnderground","","","","",4205,4205,""
112,"G2_2_Balbala",88,0,0,0,[],"Balbala, the Traitor","...the tale-women claim the traitor was bound here...",[2908],2,[72],[4792],"","WorldMapContentBossSanctum",110,0,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinBalbala",0,"","","",4205,4205,""
113,"G2_2_BalbalaSlain",88,0,0,0,[],"Balbala, the Traitor","...the traitor, once bound, has now been released...",[4792],2,[72],[],"","WorldMapContentBossSanctumDone",110,0,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinBalbala",0,"","","",4205,4205,1
114,"G2_2_BellChest",88,0,0,0,[],"Bell Chest","The ancient bell chest chimes, whispering echoes of forgotten times.",[2908],2,[72],[119],"","WorldMapContentBag",110,0,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinBellChest",0,"","","",4205,4205,""
115,"G2_2_BellChestOpened",88,0,0,0,[],"Bell Chest","The bell chest lay silent, its chimes unheard for ages.",[119],2,[72],[],"","WorldMapContentBagDone",110,0,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinBellChest",0,"","","",4205,4205,1
116,"G2_3",89,0,0,0,[89],"The Halani Gates","Maws of stone threaten to snap shut on the unwary.",[2908],2,[2909],[],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinGates","","","","",4205,4205,""
117,"G2_3_Lim",89,0,0,0,[],"Forward Command Tents","...the bodies of the Gates' dekharas have been raised on spikes...",[2909],2,[72],[4902],"","WorldMapContentRareMonster",116,0,"Metadata/Terrain/WorldMaps/Act2/Objects/SideContent/MapPinAncientGatesLim",0,"","","",4205,4205,""
118,"G2_3_LimDone",89,0,0,0,[],"Forward Command Tents","...the Impaler will rot on a spike of her own.",[4902],2,[72],[],"","WorldMapContentRareMonsterDone",116,0,"Metadata/Terrain/WorldMaps/Act2/Objects/SideContent/MapPinAncientGatesLim",0,"","","",4205,4205,1
119,"G2_3_PerennialKing",89,0,0,0,[],"Jamanra, the Risen King","...claims that the Faridun hero himself led the assault...",[2909],2,[72],[3174],"","WorldMapContentBoss",116,0,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinPerennialKingGates",0,"","","",4205,4205,""
120,"G2_3_PerennialKingSlain",89,0,0,0,[],"Jamanra, the Risen King","...the coward fled rather than face another death...",[3174],2,[72],[],"","WorldMapContentBossDone",116,0,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinPerennialKingGates",0,"","","",4205,4205,1
121,"G2_3a",-16843010,-16843010,-16843010,-16843010,[90],"The Halani Gates","The flow of trade is gone, but the gates remain.","[4531,3461]",2,[4531],[1524],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinLockedGates","",3199,"The eyes of the banished glare down with spiteful satisfaction.","",4205,4205,""
122,"G2_4_1",92,0,0,0,[92],"Keth","These rivers now carry only tides of sand.","[3212,1527]",2,[3212],[],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinKeth","","","","",4205,4205,""
123,"G2_4_1_Kabala",92,0,0,0,[],"Kabala, Constrictor Queen","...whispers that Kabala has returned to Keth...",[3212],2,[72],[4347],"","WorldMapContentBossUpgrade",122,0,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinKabala",0,"","","",4205,4205,""
124,"G2_4_1_KabalaSlain",92,0,0,0,[],"Kabala, Constrictor Queen","...she knew the consequences...\r\n\r\n<white>{Grants Two Weapon Set Passive Skill Points}",[4347],2,[72],[],"","WorldMapContentBossUpgradeDone",122,0,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinKabala",0,"","","",4205,4205,1
125,"G2_4_1_Tomb",92,0,0,0,[],"Abandoned Shrine","...untouched by mortals for centuries at the least...",[3212],2,[72],[4900],"","WorldMapContentChest",122,0,"Metadata/Terrain/WorldMaps/Act2/Objects/SideContent/MapPinKethUndergroundTomb",0,"","","",4205,4205,""
126,"G2_4_1_TombDone",92,0,0,0,[],"Abandoned Shrine","...untouched by mortals for centuries at the least...",[4900],2,[72],[],"","WorldMapContentChestDone",122,0,"Metadata/Terrain/WorldMaps/Act2/Objects/SideContent/MapPinKethUndergroundTomb",0,"","","",4205,4205,1
127,"G2_4_2",93,0,0,0,[93],"The Lost City","A place of worship forgotten by the ages.",[3212],2,[3213],[],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinKethDungeon","","","",1,4205,4205,""
128,"G2_4_2_Underground",93,0,0,0,[],"The Lost City","A place of worship forgotten by the ages.",[3212],2,[72],[],"","",127,0,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinKethDungeonUnderground","","","","",4205,4205,""
129,"G2_4_2_Beetle",93,0,0,0,[],"The Galleria","...where one could once see wonders...",[3213],2,[72],[4798],"","WorldMapContentRareMonster",127,0,"Metadata/Terrain/WorldMaps/Act2/Objects/SideContent/MapPinKethBeetle",0,"","","",4205,4205,""
130,"G2_4_2_BeetleDone",93,0,0,0,[],"The Galleria","...now nothing but an empty shell...",[4798],2,[72],[],"","WorldMapContentRareMonsterDone",127,0,"Metadata/Terrain/WorldMaps/Act2/Objects/SideContent/MapPinKethBeetle",0,"","","",4205,4205,1
131,"G2_4_2_Ambush",93,0,0,0,[],"Golden Tomb","...if you're fool enough to try...",[3213],2,[72],[4797],"","WorldMapContentChest",127,0,"Metadata/Terrain/WorldMaps/Act2/Objects/SideContent/MapPinKethTempleAmbush",0,"","","",4205,4205,""
132,"G2_4_2_AmbushDone",93,0,0,0,[],"Golden Tomb","...treasure for the lucky, it seems...",[4797],2,[72],[],"","WorldMapContentChestDone",127,0,"Metadata/Terrain/WorldMaps/Act2/Objects/SideContent/MapPinKethTempleAmbush",0,"","","",4205,4205,1
133,"G2_4_3",94,0,0,0,[94],"Buried Shrines","The Seven Rivers once met below these dry stones.",[3213],2,[3586],[],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinKethSanctum","",3651,"In her divine slumber, Halani dreamt a thousand happy lifetimes with her son. Her nightmare only began once she awoke.",1,4205,4205,""
134,"G2_4_3_Underground",94,0,0,0,[],"Buried Shrines","The Seven Rivers once met below these dry stones.",[3213],2,[72],[],"","",133,0,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinKethSanctumUnderground","",3651,"In her divine slumber, Halani dreamt a thousand happy lifetimes with her son. Her nightmare only began once she awoke.","",4205,4205,""
135,"G2_4_3_ForsakenSon",94,0,0,0,[],"Azarian, the Forsaken Son","...Jamanra was not the only one brought back by Corruption...",[3586],2,[72],[4337],"","WorldMapContentBoss",133,0,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinForsakenSon",0,"","","",4205,4205,""
136,"G2_4_3_ForsakenSonSlain",94,0,0,0,[],"Azarian, the Forsaken Son","...a tragic reflection of our history...",[4337],2,[72],[],"","WorldMapContentBossDone",133,0,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinForsakenSon",0,"","","",4205,4205,1
137,"G2_4_3_Ambush",94,0,0,0,[],"Guarded Sarcophagus","...tombs were rarely left unprotected...",[3586],2,[72],[4781],"","WorldMapContentRareMonster",133,0,"Metadata/Terrain/WorldMaps/Act2/Objects/SideContent/MapPinKethSanctumAmbush",0,"","","",4205,4205,""
138,"G2_4_3_AmbushDone",94,0,0,0,[],"Guarded Sarcophagus","...of course it was a trap!...",[4781],2,[72],[],"","WorldMapContentRareMonsterDone",133,0,"Metadata/Terrain/WorldMaps/Act2/Objects/SideContent/MapPinKethSanctumAmbush",0,"","","",4205,4205,1
139,"G2_4_3_Offering",94,0,0,0,[],"Elemental Offering","...the gods are kind to those who choose...",[3586],2,[72],[4795],"","WorldMapContentChest",133,0,"Metadata/Terrain/WorldMaps/Act2/Objects/SideContent/MapPinKethChoice",0,"","","",4205,4205,""
140,"G2_4_3_OfferingDone",94,0,0,0,[],"Elemental Offering","...go with their blessing...",[4795],2,[72],[],"","WorldMapContentChestDone",133,0,"Metadata/Terrain/WorldMaps/Act2/Objects/SideContent/MapPinKethChoice",0,"","","",4205,4205,1
141,"G2_5_1",95,0,0,0,[95],"Mastodon Badlands","Certain places of power predate people. Certain places of death do not.","[2911,1527]",2,[2911],[],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinBadlands","","","","",4205,4205,""
142,"G2_5_1_BoneChest",95,0,0,0,[],"Shrine of Bones","...the lost-men collect many things...","[2911,1527]",2,[72],[4793],"","WorldMapContentChest",141,0,"Metadata/Terrain/WorldMaps/Act2/Objects/SideContent/MapPinBadlandsChest",0,"","","",4205,4205,""
143,"G2_5_1_BoneChestDone",95,0,0,0,[],"Shrine of Bones","...the lost-men will not soon forget this lesson in blood...",[4793],2,[72],[],"","WorldMapContentChestDone",141,0,"Metadata/Terrain/WorldMaps/Act2/Objects/SideContent/MapPinBadlandsChest",0,"","","",4205,4205,1
144,"G2_5_2",96,0,0,0,[96],"The Bone Pits","Dark energies lurk among ancient bones.",[2911],2,[2912],[],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinBonePits","","","","",4205,4205,""
145,"G2_5_2_Ekbab",96,0,0,0,[],"Ekbab, Ancient Steed","...truly the same Mastodon of legend?...",[2912],2,[72],[3188],"","WorldMapContentBoss",144,0,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinEkbab",0,"","","",4205,4205,""
146,"G2_5_2_EkbabSlain",96,0,0,0,[],"Ekbab, Ancient Steed","...the rest he earned...",[3188],2,[72],[],"","WorldMapContentBossDone",144,0,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinEkbab",0,"","","",4205,4205,1
147,"G2_6",97,0,0,0,[97],"Valley of the Titans","Forbidden lands hold wonders and terrors beyond explanation.","[2913,1527]",2,[2913],[],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinTitanValley","","","","",4205,4205,""
148,"G2_6_FragmentAltar",97,0,0,0,[],"Medallion","...where the Third Pact was forged...",[2913],2,[72],"[4339,4341,4637,4638]","","Act2/WorldMapContentFragmentAltar",147,0,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinMedallion",0,"","","",4205,4205,""
149,"G2_6_FragmentAltarBoth",97,0,0,0,[],"Medallion","...where the Third Pact was forged...","[4339,4341]",2,[72],"[4638,4637]","","Act2/WorldMapContentFragmentAltar",147,0,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinMedallion",0,"","","",4205,4205,""
150,"G2_6_FragmentAltarLeft",-16843010,-16843010,-16843010,-16843010,[],"Medallion","...where the Third Pact was forged...",[4339],2,[72],"[4638,4637,4341]","","Act2/WorldMapContentFragmentAltarLeft",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinMedallion",2,"","","",4205,4205,""
151,"G2_6_FragmentAltarRight",-16843010,-16843010,-16843010,-16843010,[],"Medallion","...where the Third Pact was forged...",[4341],2,[72],"[4638,4637,4339]","","Act2/WorldMapContentFragmentAltarRight",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinMedallion",2,"","","",4205,4205,""
152,"G2_6_FragmentAltarLeftActive",-16843010,-16843010,-16843010,-16843010,[],"Medallion","...where the Third Pact was forged...",[4637],2,[72],[4638],"","Act2/WorldMapContentFragmentAltarLeftActive",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinMedallion",2,"","","",4205,4205,1
153,"G2_6_FragmentAltarRightActive",-16843010,-16843010,-16843010,-16843010,[],"Medallion","...where the Third Pact was forged...",[4638],2,[72],[4637],"","Act2/WorldMapContentFragmentAltarRightActive",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinMedallion",2,"","","",4205,4205,1
154,"G2_7",98,0,0,0,[98],"The Titan Grotto","Eons of silence can wear away even the strongest alliances.",[2913],2,[2914],[],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinTitanGrotto","","","",1,4205,4205,""
155,"G2_7_Underground",98,0,0,0,[],"The Titan Grotto","Eons of silence can wear away even the strongest alliances.",[2913],2,[72],[],"","",154,0,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinTitanGrottoUnderground","","","","",4205,4205,""
156,"G2_7_TitanAugment",98,0,0,0,[],"Titans' Treasure","...ancient relics forged in primordial fire...",[72],2,[72],[2762],"","WorldMapContentBag",154,0,"Metadata/Terrain/WorldMaps/Act2/Objects/SideContent/MapPinTitanGrottoAugment",0,"","","",4205,4205,""
157,"G2_7_TitanAugmentDone",98,0,0,0,[],"Titans' Treasure","...ancient relics forged in primordial fire...",[72],2,[72],[],"","WorldMapContentBagDone",154,0,"Metadata/Terrain/WorldMaps/Act2/Objects/SideContent/MapPinTitanGrottoAugment",0,"","","",4205,4205,1
158,"G2_7_TitansSword",98,0,0,0,[],"The Titan's Fall","Only the echo remains, carved in stone and silence.",[2914],2,[72],[142],"","WorldMapContentChest",154,0,"Metadata/Terrain/WorldMaps/Act2/Objects/SideContent/MapPinTitanGrottoTitansSword",0,"","","",4205,4205,""
159,"G2_7_TitansSwordDone",98,0,0,0,[],"The Titan's Fall","What once shook the sky now lies quiet beneath it.",[142],2,[72],[],"","WorldMapContentChestDone",154,0,"Metadata/Terrain/WorldMaps/Act2/Objects/SideContent/MapPinTitanGrottoTitansSword",0,"","","",4205,4205,1
160,"G2_7_TheColossus",98,0,0,0,[],"Zalmarath, the Colossus","...a champion, sent for the Rite of Flame...",[2914],2,[72],[4335],"","WorldMapContentBoss",154,0,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinTheColossus",0,"","","",4205,4205,""
161,"G2_7_TheColossusSlain",98,0,0,0,[],"Zalmarath, the Colossus","...proven yourself worthy...",[4335],2,[72],[],"","WorldMapContentBossDone",154,0,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinTheColossus",0,"","","",4205,4205,1
162,"G2_8",99,0,0,0,[99],"Deshar","To remember the dead, they built monuments the sand could never steal.","[2915,4565]",2,[2915],[],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinTowers","","","","",4205,4205,""
163,"G2_8_FinalLetter",99,0,0,0,[],"Final Letter","...a dekhara departed for Deshar in the dead of night...",[2915],2,[72],[4333],"","Act2/WorldMapContentLetter",162,0,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinFinalLetter",0,"","","",4205,4205,""
164,"G2_8_FinalLetterDone",99,0,0,0,[],"Final Letter","...she will be remembered.\r\n\r\n<white>{Grants Two Weapon Set Passive Skill Points}",[4333],2,[72],[],"","Act2/WorldMapContentLetterDone",162,0,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinFinalLetter",0,"","","",4205,4205,1
165,"G2_8_TwinBosses",99,0,0,0,[],"Watchful Twins","...they grow fat on the flesh of the dead...",[2915],2,[72],[4977],"","WorldMapContentRareMonsterSanctum",162,0,"Metadata/Terrain/WorldMaps/Act2/Objects/SideContent/MapPinSpiresTwinBosses",0,"","","",4205,4205,""
166,"G2_8_TwinBossesDone",99,0,0,0,[],"Watchful Twins","...good riddance to those carrion feeders...",[4977],2,[72],[],"","WorldMapContentRareMonsterSanctumDone",162,0,"Metadata/Terrain/WorldMaps/Act2/Objects/SideContent/MapPinSpiresTwinBosses",0,"","","",4205,4205,1
167,"G2_8_Skeleton",99,0,0,0,[],"The Forgotten Hollow","None came seeking him, and none remember his name.",[2915],2,[72],[135],"","WorldMapContentChest",162,0,"Metadata/Terrain/WorldMaps/Act2/Objects/SideContent/MapPinSpiresDeadSkeleton",0,"","","",4205,4205,""
168,"G2_8_SkeletonDone",99,0,0,0,[],"The Forgotten Hollow","His silence remains. But someone, at last, bore witness.",[135],2,[72],[],"","WorldMapContentChestDone",162,0,"Metadata/Terrain/WorldMaps/Act2/Objects/SideContent/MapPinSpiresDeadSkeleton",0,"","","",4205,4205,1
169,"G2_9_1",101,0,0,0,[101],"Path of Mourning","Countless feet have tread upon these stones... not all of them living.",[2915],2,[2916],[],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinSpires","","","","",4205,4205,""
170,"G2_9_1_VaseRoom",101,0,0,0,[],"Shifting Vases","...what effect Corruption might have on the dead?...",[2916],2,[72],[4783],"","WorldMapContentChest",169,0,"Metadata/Terrain/WorldMaps/Act2/Objects/SideContent/MapPinSpiresVaseRoom",0,"","","",4205,4205,""
171,"G2_9_1_VaseRoomDone",101,0,0,0,[],"Shifting Vases","...nothing dead can be trusted now...",[4783],2,[72],[],"","WorldMapContentChestDone",169,0,"Metadata/Terrain/WorldMaps/Act2/Objects/SideContent/MapPinSpiresVaseRoom",0,"","","",4205,4205,1
172,"G2_9_2",102,0,0,0,[102],"The Spires of Deshar","The dead slowly become one with the wind.",[2916],2,[2922],[],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinUpperSpires","","","","",4205,4205,""
173,"G2_9_2_LightningShrine",102,0,0,0,[],"Sisters of Garukhan","...they watch, and judge...",[2922],2,[72],[4898],"","Act2/WorldMapContentLightningShrine",172,0,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinLightningShrine",0,"","","",4205,4205,""
174,"G2_9_2_LightningShrineDone",102,0,0,0,[],"Sisters of Garukhan","...make a legend of yourself...\r\n\r\n<white>{+10% to Lightning Resistance}",[4898],2,[72],[],"","Act2/WorldMapContentLightningShrineDone",172,0,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinLightningShrine",0,"","","",4205,4205,1
175,"G2_9_2_TorGul",102,0,0,0,[],"Tor Gul, the Defiler","...what trap might Jamanra have in store?...",[2922],2,[72],[4776],"","WorldMapContentBoss",172,0,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinTorGul",0,"","","",4205,4205,""
176,"G2_9_2_TorGulSlain",102,0,0,0,[],"Tor Gul, the Defiler","...vile dog, violating our Honoured Dead!...",[4776],2,[72],[],"","WorldMapContentBossDone",172,0,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinTorGul",0,"","","",4205,4205,1
177,"G2_10_1",103,0,0,0,[103],"Mawdun Quarry","The Faridun toiled away for reasons unknown.","[2917,3461]",2,[2917],[],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinQuarry","","","","",4205,4205,""
178,"G2_10_1_QualityCurrency",103,0,0,0,[],"Tinker's Tools","...a region known for craftsmen of all trades...",[72],2,[72],[2760],"","WorldMapContentBag",177,0,"Metadata/Terrain/WorldMaps/Act2/Objects/SideContent/MapPinQuarryQualityJewelry",0,"","","",4205,4205,""
179,"G2_10_1_QualityCurrencyDone",103,0,0,0,[],"Tinker's Tools","...forgotten tools, now in better hands...",[72],2,[72],[],"","WorldMapContentBagDone",177,0,"Metadata/Terrain/WorldMaps/Act2/Objects/SideContent/MapPinQuarryQualityJewelry",0,"","","",4205,4205,1
180,"G2_10_1_FaridunTrunk",103,0,0,0,[],"Faridun War Cache","War does not die. It waits, patient in the dark",[2917],2,[72],[134],"","WorldMapContentChest",177,0,"Metadata/Terrain/WorldMaps/Act2/Objects/SideContent/MapPinQuarryFaridunTrunk",0,"","","",4205,4205,""
181,"G2_10_1_FaridunTrunkDone",103,0,0,0,[],"Faridun War Cache","Patience is past. Only vengeance remains.",[134],2,[72],[],"","WorldMapContentChestDone",177,0,"Metadata/Terrain/WorldMaps/Act2/Objects/SideContent/MapPinQuarryFaridunTrunk",0,"","","",4205,4205,1
182,"G2_10_2",104,0,0,0,[104],"Mawdun Mine","To keep their plans secret, defectors were sealed away to die.",[2917],2,[2918],[],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinFoundry","","","",1,4205,4205,""
183,"G2_10_2_Underground",104,0,0,0,[],"Mawdun Mine","To keep their plans secret, defectors were sealed away to die.",[2917],2,[72],[],"","",182,0,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinFoundryUnderground","","","","",4205,4205,""
184,"G2_10_2_Rudja",104,0,0,0,[],"Rudja, Dread Engineer","...driven totally insane, and fell in love with fire...",[2919],2,[72],[4782],"","WorldMapContentBoss",182,0,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinRudja",0,"","","",4205,4205,""
185,"G2_10_2_RudjaSlain",104,0,0,0,[],"Rudja, Dread Engineer","...one less terror in the world...",[4782],2,[72],[],"","WorldMapContentBossDone",182,0,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinRudja",0,"","","",4205,4205,1
186,"G2_12_1",106,0,0,0,[106],"The Dreadnought","War comes to Maraketh sands.","[2922,4582]",2,[2920],[],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinDreadnought","","","","",4205,4205,""
187,"G2_12_2",107,0,0,0,[107],"Dreadnought Vanguard","History is written in the blood of tyrants.",[2920],2,[2923],[],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinDreadnoughtVanguard","",3725,"The Faridun exist no more. All are now Maraketh.","",4205,4205,""
188,"G2_12_2_PerennialKing",107,0,0,0,[],"Jamanra, the Abomination","...he swore vengeance on the Maraketh...",[2923],2,[72],[3725],"","WorldMapContentActBoss",187,0,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinPerennialKingDreadnought",0,"","","",4205,4205,""
189,"G2_12_2_PerennialKingSlain",107,0,0,0,[],"Jamanra, the Abomination","...all they wanted was acceptance...",[3725],2,[72],[],"","WorldMapContentActBossDone",187,0,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinPerennialKingDreadnought",0,"","","",4205,4205,1
190,"G2_13",108,0,0,0,[108],"Trial of the Sekhemas","Those who would be Sekhema had to prove themselves exceptional.","[2921,4543,4882]",2,[2921],[],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinAscendancy","",4938,"Wisdom and redemption go hand in hand.",1,4205,4205,""
191,"G2_13_Underground",108,0,0,0,[],"Trial of the Sekhemas","Those who would be Sekhema had to prove themselves exceptional.","[2921,4543,4882]",2,[72],[],"","",190,0,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinAscendancyUnderground","",4938,"Wisdom and redemption go hand in hand.","",4205,4205,""
192,"G2_13_AscendancyTrial",108,0,0,0,[],"Trial of Ascendancy","...choose your path...","[2921,4543,4882]",2,[72],[4938],"","WorldMapContentBoss",190,0,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinAscendancyTrial",0,"","","",4205,4205,""
193,"G2_13_AscendancyTrialDone",108,0,0,0,[],"Trial of Ascendancy","...walk with surety...",[4938],2,[72],[],4938,"WorldMapContentBossDone",190,0,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinAscendancyTrial",0,"","","",4205,4205,1
194,"G2_sandstorm",-16843010,-16843010,-16843010,-16843010,[91],"The Sandstorm Barrier","",[1527],2,[72],[4565],"","",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinSandstorm","","","","",4205,4205,""
195,"G2_ToAct3",126,0,0,0,[],"Sandswept Marsh","",[72],2,[72],[],"","",204,0,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinAct3","","","","",4205,4205,""
196,"G3_compassrose_visual",-16843010,-16843010,-16843010,-16843010,[],"","","[3640,3641]",3,[72],[],"","Act3/act3compassrose",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinCompass",11,"","","",4205,4205,""
197,"G3_compasstextbox_visual",-16843010,-16843010,-16843010,-16843010,[],"","","[3640,3641]",3,[72],[],"","Act3/MapBorderJungle",-16843010,-16843010,"Metadata/Terrain/WorldMaps/Act3/Objects/MapPinLabel",12,"","","",4205,4205,""
