"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","StatsKeys1","CharacterPanelDescriptionModesKey","StatsKeys2","StatsKeys3","CharacterPanelTabsKey","bool_96","[i32]_97","i32_113","[rid]_117","bool_133","[rid]_134","bool_150","[rid]_151"
111,"PhysicalTakenAsChaos","[Physical] damage from [HitDamage|Hits] taken as [Chaos]","Dégâts [Physical|Physiques] subis au [HitDamage|Toucher] sous forme de Dégâts de [Chaos|Chaos]","[Physical|Physischer] Schaden von [HitDamage|Treffern] erlitten als [Chaos|Chaos]schaden","[HitDamage|ヒット]による[Physical|物理]ダメージを[Chaos|混沌]ダメージとして受ける割合","[HitDamage|명중]당했을 때 [Chaos|카오스] 피해로 받는 [Physical|물리] 피해","Dano [Physical|Físico] dos [HitDamage|Acertos] sofrido como [Chaos|Caos] ","Получаемый [Physical|физический] урон от [HitDamage|ударов] в виде урона [Chaos|хаосом]","Daño [Physical|físico] de los [HitDamage|impactos] recibido como [Chaos|caos]","ความเสียหาย [HitDamage|ปะทะ] [Physical|กายภาพ] ที่ได้รับที่เปลี่ยนเป็น [Chaos|เคออส]","承受的[HitDamage|擊中][Physical|物理]傷害視為[Chaos|混沌]傷害",[1056],1,[],[],37,1,[],0,[],"",[],"",[]
112,"PhysicalTakenAsRandomElement","[Physical] damage from [HitDamage|Hits] taken as damage of a Random Element","Dégâts [Physical|Physiques] subis au [HitDamage|Toucher] sous forme de Dégâts d'un Élément aléatoire","[Physical|Physischer] Schaden von [HitDamage|Treffern] erlitten als Schaden eines zufälligen Elements","[HitDamage|ヒット]による[Physical|物理]ダメージをランダムな元素ダメージとして受ける割合","[HitDamage|명중]당했을 때 무작위 원소 피해로 받는 [Physical|물리] 피해","Dano [Physical|Físico] dos [HitDamage|Acertos] sofrido como [Random Element|Elemento Aleatório] ","Получаемый [Physical|физический] урон от [HitDamage|ударов] в виде урона от случайной стихии","<size:22>{Daño [Physical|físico] de los [HitDamage|impactos] recibido como daño de un elemento aleatorio}","ความเสียหาย [HitDamage|ปะทะ] [Physical|กายภาพ] ที่ได้รับที่เปลี่ยนเป็น ธาตุแบบสุ่ม","承受的[HitDamage|擊中][Physical|物理]傷害視為 1 種隨機元素傷害",[8011],1,[],[],37,1,[],0,[],"",[],"",[]
113,"FireTakenAsPhysical","[Fire] damage from [HitDamage|Hits] taken as [Physical]","Dégâts de [Fire|Feu] subis au [HitDamage|Toucher] sous forme de Dégâts [Physical|Physiques]","[Fire|Feuer]schaden von [HitDamage|Treffern] erlitten als [Physical|physischen] Schaden","[HitDamage|ヒット]による[Fire|火]ダメージを[Physical|物理]ダメージとして受ける割合","[HitDamage|명중]당했을 때 [Physical|물리] 피해로 받는 [Fire|화염] 피해","Dano de [Fire|Fogo] dos [HitDamage|Acertos] sofrido como [Physical|Físico] ","Получаемый урон от [Fire|огня] от [HitDamage|ударов] в виде [Physical|физического] урона","Daño de [Fire|fuego] de los [HitDamage|impactos] recibido como [Physical|físico]","ความเสียหาย [HitDamage|ปะทะ] [Fire|ไฟ] ที่ได้รับที่เปลี่ยนเป็น [Physical|กายภาพ]","承受的[HitDamage|擊中][Fire|火焰]傷害視為[Physical|物理]傷害",[9440],1,[],[],37,1,[],0,[],"",[],"",[]
114,"FireTakenAsCold","[Fire] damage from [HitDamage|Hits] taken as [Cold]","Dégâts de [Fire|Feu] subis au [HitDamage|Toucher] sous forme de Dégâts de [Cold|Froid]","[Fire|Feuer]schaden von [HitDamage|Treffern] erlitten als [Cold|Kälte]schaden","[HitDamage|ヒット]による[Fire|火]ダメージを[Cold|冷気]ダメージとして受ける割合","[HitDamage|명중]당했을 때 [Cold|냉기] 피해로 받는 [Fire|화염] 피해","Dano de [Fire|Fogo] dos [HitDamage|Acertos] sofrido como [Cold|Gelo] ","Получаемый урон от [Fire|огня] от [HitDamage|ударов] в виде урона от [Cold|холода]","Daño de [Fire|fuego] de los [HitDamage|impactos] recibido como [Cold|hielo]","ความเสียหาย [HitDamage|ปะทะ] [Fire|ไฟ] ที่ได้รับที่เปลี่ยนเป็น [Cold|น้ำแข็ง]","承受的[HitDamage|擊中][Fire|火焰]傷害視為[Cold|冰冷]傷害",[3233],1,[],[],37,1,[],0,[],"",[],"",[]
115,"FireTakenAsLightning","[Fire] damage from [HitDamage|Hits] taken as [Lightning]","Dégâts de [Fire|Feu] subis au [HitDamage|Toucher] sous forme de Dégâts de [Lightning|Foudre]","[Fire|Feuer]schaden von [HitDamage|Treffern] erlitten als [Lightning|Blitz]schaden","[HitDamage|ヒット]による[Fire|火]ダメージを[Lightning|雷]ダメージとして受ける割合","[HitDamage|명중]당했을 때 [Lightning|번개] 피해로 받는 [Fire|화염] 피해","Dano de [Fire|Fogo] dos [HitDamage|Acertos] sofrido como [Lightning|Raio] ","Получаемый урон от [Fire|огня] от [HitDamage|ударов] в виде урона от [Lightning|молнии]","Daño de [Fire|fuego] de los [HitDamage|impactos] recibido como [Lightning|rayo]","ความเสียหาย [HitDamage|ปะทะ] [Fire|ไฟ] ที่ได้รับที่เปลี่ยนเป็น [Lightning|สายฟ้า]","承受的[HitDamage|擊中][Fire|火焰]傷害視為[Lightning|閃電]傷害",[3232],1,[],[],37,1,[],0,[],"",[],"",[]
116,"FireTakenAsChaos","[Fire] damage from [HitDamage|Hits] taken as [Chaos]","Dégâts de [Fire|Feu] subis au [HitDamage|Toucher] sous forme de Dégâts de [Chaos|Chaos]","[Fire|Feuer]schaden von [HitDamage|Treffern] erlitten als [Chaos|Chaos]schaden","[HitDamage|ヒット]による[Fire|火]ダメージを[Chaos|混沌]ダメージとして受ける割合","[HitDamage|명중]당했을 때 [Chaos|카오스] 피해로 받는 [Fire|화염] 피해","Dano de [Fire|Fogo] dos [HitDamage|Acertos] sofrido como [Chaos|Caos] ","Получаемый урон от [Fire|огня] от [HitDamage|ударов] в виде урона [Chaos|хаосом]","Daño de [Fire|fuego] de los [HitDamage|impactos] recibido como [Chaos|caos]","ความเสียหาย [HitDamage|ปะทะ] [Fire|ไฟ] ที่ได้รับที่เปลี่ยนเป็น [Chaos|เคออส]","承受的[HitDamage|擊中][Fire|火焰]傷害視為[Chaos|混沌]傷害",[2230],1,[],[],37,1,[],0,[],"",[],"",[]
117,"ColdTakenAsFire","[Cold] damage from [HitDamage|Hits] taken as [Fire]","Dégâts de [Cold|Froid] subis au [HitDamage|Toucher] sous forme de Dégâts de [Fire|Feu]","[Cold|Kälte]schaden von [HitDamage|Treffern] erlitten als [Fire|Feuer]schaden","[HitDamage|ヒット]による[Cold|冷気]ダメージを[Fire|火]ダメージとして受ける割合","[HitDamage|명중]당했을 때 [Fire|화염] 피해로 받는 [Cold|냉기] 피해","Dano de [Cold|Gelo] dos [HitDamage|Acertos] sofrido como [Fire|Fogo] ","Получаемый урон от [Cold|холода] от [HitDamage|ударов] в виде урона от [Fire|огня]","Daño de [Cold|hielo] de los [HitDamage|impactos] recibido como [Fire|fuego]","ความเสียหาย [HitDamage|ปะทะ] [Cold|น้ำแข็ง] ที่ได้รับที่เปลี่ยนเป็น [Fire|ไฟ]","承受的[HitDamage|擊中][Cold|冰冷]傷害視為[Fire|火焰]傷害",[8999],1,[],[],37,1,[],0,[],"",[],"",[]
118,"ColdTakenAsLightning","[Cold] damage from [HitDamage|Hits] taken as [Lightning]","Dégâts de [Cold|Froid] subis au [HitDamage|Toucher] sous forme de Dégâts de [Lightning|Foudre]","[Cold|Kälte]schaden von [HitDamage|Treffern] erlitten als [Lightning|Blitz]schaden","[HitDamage|ヒット]による[Cold|冷気]ダメージを[Lightning|雷]ダメージとして受ける割合","[HitDamage|명중]당했을 때 [Lightning|번개] 피해로 받는 [Cold|냉기] 피해","Dano de [Cold|Gelo] dos [HitDamage|Acertos] sofrido como [Lightning|Raio] ","Получаемый урон от [Cold|холода] от [HitDamage|ударов] в виде урона от [Lightning|молнии]","Daño de [Cold|hielo] de los [HitDamage|impactos] recibido como [Lightning|rayo]","ความเสียหาย [HitDamage|ปะทะ] [Cold|น้ำแข็ง] ที่ได้รับที่เปลี่ยนเป็น [Lightning|สายฟ้า]","承受的[HitDamage|擊中][Cold|冰冷]傷害視為[Lightning|閃電]傷害",[3236],1,[],[],37,1,[],0,[],"",[],"",[]
119,"ColdTakenAsChaos","[Cold] damage from [HitDamage|Hits] taken as [Chaos]","Dégâts de [Cold|Froid] subis au [HitDamage|Toucher] sous forme de Dégâts de [Chaos|Chaos]","[Cold|Kälte]schaden von [HitDamage|Treffern] erlitten als [Chaos|Chaos]schaden","[HitDamage|ヒット]による[Cold|冷気]ダメージを[Chaos|混沌]ダメージとして受ける割合","[HitDamage|명중]당했을 때 [Chaos|카오스] 피해로 받는 [Cold|냉기] 피해","Dano de [Cold|Gelo] dos [HitDamage|Acertos] sofrido como [Chaos|Caos] ","Получаемый урон от [Cold|холода] от [HitDamage|ударов] в виде урона [Chaos|хаосом]","Daño de [Cold|hielo] de los [HitDamage|impactos] recibido como [Chaos|caos]","ความเสียหาย [HitDamage|ปะทะ] [Cold|น้ำแข็ง] ที่ได้รับที่เปลี่ยนเป็น [Chaos|เคออส]","承受的[HitDamage|擊中][Cold|冰冷]傷害視為[Chaos|混沌]傷害",[2231],1,[],[],37,1,[],0,[],"",[],"",[]
120,"LightningTakenAsFire","[Lightning] damage from [HitDamage|Hits] taken as [Fire]","Dégâts de [Lightning|Foudre] subis au [HitDamage|Toucher] sous forme de Dégâts de [Fire|Feu]","[Lightning|Blitz]schaden von [HitDamage|Treffern] erlitten als [Fire|Feuer]schaden","[HitDamage|ヒット]による[Lightning|雷]ダメージを[Fire|火]ダメージとして受ける割合","[HitDamage|명중]당했을 때 [Fire|화염] 피해로 받는 [Lightning|번개] 피해","Dano de [Lightning|Raio] dos [HitDamage|Acertos] sofrido como [Fire|Fogo] ","Получаемый урон от [Lightning|молнии] от [HitDamage|ударов] в виде урона от [Fire|огня]","Daño de [Lightning|rayo] de los [HitDamage|impactos] recibido como [Fire|fuego] ","ความเสียหาย [HitDamage|ปะทะ] [Lightning|สายฟ้า] ที่ได้รับที่เปลี่ยนเป็น [Fire|ไฟ]","承受的[HitDamage|擊中][Lightning|閃電]傷害視為[Fire|火焰]傷害",[8998],1,[],[],37,1,[],0,[],"",[],"",[]
121,"LightningTakenAsCold","[Lightning] damage from [HitDamage|Hits] taken as [Cold]","Dégâts de [Lightning|Foudre] subis au [HitDamage|Toucher] sous forme de Dégâts de [Cold|Froid]","[Lightning|Blitz]schaden von [HitDamage|Treffern] erlitten als [Cold|Kälte]schaden","[HitDamage|ヒット]による[Lightning|雷]ダメージを[Cold|冷気]ダメージとして受ける割合","[HitDamage|명중]당했을 때 [Cold|냉기] 피해로 받는 [Lightning|번개] 피해","Dano de [Lightning|Raio] dos [HitDamage|Acertos] sofrido como [Cold|Gelo] ","Получаемый урон от [Lightning|молнии] от [HitDamage|ударов] в виде урона от [Cold|холода]","Daño de [Lightning|rayo] de los [HitDamage|impactos] recibido como [Cold|hielo]","ความเสียหาย [HitDamage|ปะทะ] [Lightning|สายฟ้า] ที่ได้รับที่เปลี่ยนเป็น [Cold|น้ำแข็ง]","承受的[HitDamage|擊中][Lightning|閃電]傷害視為[Cold|冰冷]傷害",[3234],1,[],[],37,1,[],0,[],"",[],"",[]
122,"LightningTakenAsChaos","[Lightning] damage from [HitDamage|Hits] taken as [Chaos]","Dégâts de [Lightning|Foudre] subis au [HitDamage|Toucher] sous forme de Dégâts de [Chaos|Chaos]","[Lightning|Blitz]schaden von [HitDamage|Treffern] erlitten als [Chaos|Chaos]schaden","[HitDamage|ヒット]による[Lightning|雷]ダメージを[Chaos|混沌]ダメージとして受ける割合","[HitDamage|명중]당했을 때 [Chaos|카오스] 피해로 받는 [Lightning|번개] 피해","Dano de [Lightning|Raio] dos [HitDamage|Acertos] sofrido como [Chaos|Caos] ","Получаемый урон от [Lightning|молнии] от [HitDamage|ударов] в виде урона [Chaos|хаосом]","Daño de [Lightning|rayo] de los [HitDamage|impactos] recibido como [Chaos|caos]","ความเสียหาย [HitDamage|ปะทะ] [Lightning|สายฟ้า] ที่ได้รับที่เปลี่ยนเป็น [Chaos|เคออส]","承受的[HitDamage|擊中][Lightning|閃電]傷害視為[Chaos|混沌]傷害",[2232],1,[],[],37,1,[],0,[],"",[],"",[]
123,"DamageTaken","Damage taken modifier","Modificateur de Dégâts subis","Modifikator für erlittenen Schaden","被ダメージモッド","받는 피해 속성","Modificador de Dano sofrido","Модификатор получаемого урона","Modificador del daño recibido","ม็อดความเสียหายที่ได้รับ","承受傷害修正",[2249],7,"[10067,10065]",[],37,1,[],0,[],"",[],"",[]
124,"DamageTakenFinal","Damage taken modifier","Modificateur de Dégâts subis","Modifikator für erlittenen Schaden","被ダメージモッド","받는 피해 속성","Modificador de Dano sofrido","Модификатор получаемого урона","Modificador del daño recibido","ม็อดความเสียหายที่ได้รับ","承受傷害修正",[6126],8,"[10070,10068]",[],37,1,[],0,[],"",[],"",[]
125,"DamageTakenWhenHit","Damage taken when [HitDamage|Hit] modifier","Modificateur de Dégâts subis lorsque vous êtes [HitDamage|Touché]","Modifikator für erlittenen Schaden bei [HitDamage|Treffer]","[HitDamage|ヒット]時の被ダメージモッド","[HitDamage|명중]당했을 때 받는 피해 속성","Modificador de dano sofrido quando [HitDamage|Acertado] ","Модификатор получаемого урона от [HitDamage|ударов]","Modificador del daño recibido cuando recibes un [HitDamage|impacto]","ม็อดความเสียหายที่ได้รับเมื่อถูก[HitDamage|ปะทะ]","承受[HitDamage|擊中]傷害修正",[10060],7,[10065],[10067],37,1,[],0,[],"",[],"",[]
126,"DamageTakenWhenHitFinal","Damage taken when [HitDamage|Hit] modifier","Modificateur de Dégâts subis lorsque vous êtes [HitDamage|Touché]","Modifikator für erlittenen Schaden bei [HitDamage|Treffer]","[HitDamage|ヒット]時の被ダメージモッド","[HitDamage|명중]당했을 때 받는 피해 속성","Modificador de dano sofrido quando [HitDamage|Acertado] ","Модификатор получаемого урона от [HitDamage|ударов]","Modificador del daño recibido cuando recibes un [HitDamage|impacto]","ม็อดความเสียหายที่ได้รับเมื่อถูก[HitDamage|ปะทะ]","承受[HitDamage|擊中]傷害修正",[9945],8,[10068],[10070],37,1,[],0,[],"",[],"",[]
127,"DamageTakenOverTime","Damage taken over time modifier","Modificateur de Dégâts subis sur la durée","Modifikator für erlittenen Schaden über Zeit","被継続ダメージモッド","지속 피해 속성","Modificador de dano degenerativo sofrido ","Модификатор получаемого постепенного урона","Modificador del daño degenerativo recibido","ม็อดความเสียหายต่อเนื่องที่ได้รับ","承受持續傷害修正",[9957],7,[10066],[10067],37,1,[],0,[],"",[],"",[]
128,"DamageTakenOverTimeFinal","Damage taken over time modifier","Modificateur de Dégâts subis sur la durée","Modifikator für erlittenen Schaden über Zeit","被継続ダメージモッド","지속 피해 속성","Modificador de dano degenerativo sofrido ","Модификатор получаемого постепенного урона","Modificador del daño degenerativo recibido","ม็อดความเสียหายต่อเนื่องที่ได้รับ","承受持續傷害修正",[9944],8,[10069],[10070],37,1,[],0,[],"",[],"",[]
129,"PhysicalDamageTaken","[Physical] damage taken modifier","Modificateur de Dégâts [Physical|Physiques] subis","Modifikator für erlittenen [Physical|physischen] Schaden","被[Physical|物理]ダメージモッド","받는 [Physical|물리] 피해 속성","Modificador de dano [Physical|Físico] sofrido ","Модификатор получаемого [Physical|физического] урона","Modificador del daño [Physical|físico] recibido","ม็อดความเสียหาย [Physical|กายภาพ] ที่ได้รับ","承受[Physical|物理]傷害修正",[3459],7,[10067],[10065],37,1,[],0,[],"",[],"",[]
130,"PhysicalDamageTakenFinal","[Physical] damage taken modifier","Modificateur de Dégâts [Physical|Physiques] subis","Modifikator für erlittenen [Physical|physischen] Schaden","被[Physical|物理]ダメージモッド","받는 [Physical|물리] 피해 속성","Modificador de dano [Physical|Físico] sofrido ","Модификатор получаемого [Physical|физического] урона","Modificador del daño [Physical|físico] recibido","ม็อดความเสียหาย [Physical|กายภาพ] ที่ได้รับ","承受[Physical|物理]傷害修正",[9944],8,[10070],[10068],37,1,[],0,[],"",[],"",[]
131,"PhysicalDamageTakenWhenHit","[Physical] damage taken when [HitDamage|Hit] modifier","Modificateur de Dégâts [Physical|Physiques] subis lorsque vous êtes [HitDamage|Touché]","Modifikator für erlittenen [Physical|physischen] Schaden bei [HitDamage|Treffer]","[HitDamage|ヒット]時の被[Physical|物理]ダメージモッド","[HitDamage|명중]당했을 때 받는 [Physical|물리] 피해 속성","Modificador de dano [Physical|Físico] sofrido quando [HitDamage|Acertado] ","Модификатор получаемого [Physical|физического] урона от [HitDamage|ударов]","Modificador del daño [Physical|físico] recibido cuando recibes un [HitDamage|impacto]","ม็อดความเสียหาย [HitDamage|ปะทะ] [Physical|กายภาพ] ที่ได้รับ","承受[HitDamage|擊中][Physical|物理]傷害修正",[10060],7,[],"[10065,10067]",37,1,[],0,[],"",[],"",[]
132,"PhysicalDamageTakenWhenHitFinal","[Physical] damage taken when [HitDamage|Hit] modifier","Modificateur de Dégâts [Physical|Physiques] subis lorsque vous êtes [HitDamage|Touché]","Modifikator für erlittenen [Physical|physischen] Schaden bei [HitDamage|Treffer]","[HitDamage|ヒット]時の被[Physical|物理]ダメージモッド","[HitDamage|명중]당했을 때 받는 [Physical|물리] 피해 속성","Modificador de dano [Physical|Físico] sofrido quando [HitDamage|Acertado] ","Модификатор получаемого [Physical|физического] урона от [HitDamage|ударов]","Modificador del daño [Physical|físico] recibido cuando recibes un [HitDamage|impacto]","ม็อดความเสียหาย [HitDamage|ปะทะ] [Physical|กายภาพ] ที่ได้รับ","承受[HitDamage|擊中][Physical|物理]傷害修正",[9945],8,[],"[10068,10070]",37,1,[],0,[],"",[],"",[]
133,"PhysicalDamageTakenOverTime","[Physical] damage taken over time modifier","Modificateur de Dégâts [Physical|Physiques] subis sur la durée","Modifikator für erlittenen [Physical|physischen] Schaden über Zeit","被[Physical|物理]継続ダメージモッド","[Physical|물리] 지속 피해 속성","Modificador de dano [Physical|Físico] degenerativo sofrido ","Модификатор получаемого постепенного [Physical|физического] урона","Modificador del daño [Physical|físico] degenerativo recibido","ม็อดความเสียหาย [Physical|กายภาพ] ต่อเนื่อง ที่ได้รับ","承受[Physical|物理]持續傷害修正",[9957],7,[],"[10066,10067]",37,1,[],0,[],"",[],"",[]
134,"PhysicalDamageTakenOverTimeFinal","[Physical] damage taken over time modifier","Modificateur de Dégâts [Physical|Physiques] subis sur la durée","Modifikator für erlittenen [Physical|physischen] Schaden über Zeit","被[Physical|物理]継続ダメージモッド","[Physical|물리] 지속 피해 속성","Modificador de dano [Physical|Físico] degenerativo sofrido ","Модификатор получаемого постепенного [Physical|физического] урона","Modificador del daño [Physical|físico] degenerativo recibido","ม็อดความเสียหาย [Physical|กายภาพ] ต่อเนื่อง ที่ได้รับ","承受[Physical|物理]持續傷害修正",[9944],8,[],"[10069,10070]",37,1,[],0,[],"",[],"",[]
135,"FireDamageTaken","[Fire] damage taken modifier","Modificateur de Dégâts de [Fire|Feu]subis","Modifikator für erlittenen [Fire|Feuer]schaden","被[Fire|火]ダメージモッド","받는 [Fire|화염] 피해 속성","Modificador de dano de [Fire|Fogo] sofrido ","Модификатор получаемого урона от [Fire|огня]","Modificador del daño de [Fire|fuego] recibido","ม็อดความเสียหาย [Fire|ไฟ] ที่ได้รับ","承受[Fire|火焰]傷害修正",[5294],7,[10067],[10065],37,1,[],0,[],"",[],"",[]
136,"FireDamageTakenFinal","[Fire] damage taken modifier","Modificateur de Dégâts de [Fire|Feu] subis","Modifikator für erlittenen [Fire|Feuer]schaden","被[Fire|火]ダメージモッド","받는 [Fire|화염] 피해 속성","Modificador de dano de [Fire|Fogo] sofrido ","Модификатор получаемого урона от [Fire|огня]","Modificador del daño de [Fire|fuego] recibido","ม็อดความเสียหาย [Fire|ไฟ] ที่ได้รับ","承受[Fire|火焰]傷害修正",[9950],8,[10070],[10068],37,1,[],0,[],"",[],"",[]
137,"FireDamageTakenWhenHit","[Fire] damage taken when [HitDamage|Hit] modifier","Modificateur de Dégâts de [Fire|Feu] subis lorsque vous êtes [HitDamage|Touché]","Modifikator für erlittenen [Fire|Feuer]schaden bei [HitDamage|Treffer]","[HitDamage|ヒット]時の被[Fire|火]ダメージモッド","[HitDamage|명중]당했을 때 받는 [Fire|화염] 피해 속성","Modificador de dano de [Fire|Fogo] sofrido quando [HitDamage|Acertado] ","Модификатор получаемого урона от [Fire|огня] от [HitDamage|ударов]","Modificador del daño de [Fire|fuego] recibido cuando recibes un [HitDamage|impacto]","ม็อดความเสียหาย [HitDamage|ปะทะ] [Fire|ไฟ] ที่ได้รับ","承受[HitDamage|擊中][Fire|火焰]傷害修正",[10063],7,[],"[10065,10067]",37,1,[],0,[],"",[],"",[]
138,"FireDamageTakenWhenHitFinal","[Fire] damage taken when [HitDamage|Hit] modifier","Modificateur de Dégâts de [Fire|Feu] subis lorsque vous êtes [HitDamage|Touché]","Modifikator für erlittenen [Fire|Feuer]schaden bei [HitDamage|Treffer]","[HitDamage|ヒット]時の被[Fire|火]ダメージモッド","[HitDamage|명중]당했을 때 받는 [Fire|화염] 피해 속성","Modificador de dano de [Fire|Fogo] sofrido quando [HitDamage|Acertado] ","Модификатор получаемого урона от [Fire|огня] от [HitDamage|ударов]","Modificador del daño de [Fire|fuego] recibido cuando recibes un [HitDamage|impacto]","ม็อดความเสียหาย [HitDamage|ปะทะ] [Fire|ไฟ] ที่ได้รับ","承受[HitDamage|擊中][Fire|火焰]傷害修正",[9951],8,[],"[10068,10070]",37,1,[],0,[],"",[],"",[]
139,"FireDamageTakenOverTime","[Fire] damage taken over time modifier","Modificateur de Dégâts de [Fire|Feu] subis sur la durée","Modifikator für erlittenen [Fire|Feuer]schaden über Zeit","被[Fire|火]継続ダメージモッド","지속 [Fire|화염] 피해 속성","Modificador de dano degenerativo de [Fire|Fogo] sofrido ","Модификатор получаемого постепенного урона от [Fire|огня]","Modificador del daño de [Fire|fuego] degenerativo recibido","ม็อดความเสียหาย [Fire|ไฟ] ต่อเนื่อง ที่ได้รับ","承受[Fire|火焰]持續傷害修正",[9960],7,[],"[10066,10067]",37,1,[],0,[],"",[],"",[]
140,"FireDamageTakenOverTimeFinal","[Fire] damage taken over time modifier","Modificateur de Dégâts de [Fire|Feu] subis sur la durée","Modifikator für erlittenen [Fire|Feuer]schaden über Zeit","被[Fire|火]継続ダメージモッド","지속 [Fire|화염] 피해 속성","Modificador de dano degenerativo de [Fire|Fogo] sofrido ","Модификатор получаемого постепенного урона от [Fire|огня]","Modificador del daño de [Fire|fuego] degenerativo recibido","ม็อดความเสียหาย [Fire|ไฟ] ต่อเนื่อง ที่ได้รับ","承受[Fire|火焰]持續傷害修正",[9950],8,[],"[10069,10070]",37,1,[],0,[],"",[],"",[]
141,"ColdDamageTaken","[Cold] damage taken modifier","Modificateur de Dégâts de [Cold|Froid] subis","Modifikator für erlittenen [Cold|Kälte]schaden","被[Cold|冷気]ダメージモッド","받는 [Cold|냉기] 피해 속성","Modificador de dano de [Cold|Gelo] sofrido ","Модификатор получаемого урона от [Cold|холода]","Modificador del daño de [Cold|hielo] recibido","ม็อดความเสียหาย [Cold|น้ำแข็ง] ที่ได้รับ","承受[Cold|冰冷]傷害修正",[5297],7,[10067],[10065],37,1,[],0,[],"",[],"",[]
142,"ColdDamageTakenFinal","[Cold] damage taken modifier","Modificateur de Dégâts de [Cold|Froid] subis","Modifikator für erlittenen [Cold|Kälte]schaden","被[Cold|冷気]ダメージモッド","받는 [Cold|냉기] 피해 속성","Modificador de dano de [Cold|Gelo] sofrido ","Модификатор получаемого урона от [Cold|холода]","Modificador del daño de [Cold|hielo] recibido","ม็อดความเสียหาย [Cold|น้ำแข็ง] ที่ได้รับ","承受[Cold|冰冷]傷害修正",[9946],8,[10070],[10068],37,1,[],0,[],"",[],"",[]
143,"ColdDamageTakenWhenHit","[Cold] damage taken when [HitDamage|Hit] modifier","Modificateur de Dégâts de [Cold|Froid] subis lorsque vous êtes [HitDamage|Touché]","Modifikator für erlittenen [Cold|Kälte]schaden bei [HitDamage|Treffer]","[HitDamage|ヒット]時の被[Cold|冷気]ダメージモッド","[HitDamage|명중]당했을 때 받는 [Cold|냉기] 피해 속성","Modificador de dano de [Cold|Gelo] sofrido quando [HitDamage|Acertado] ","Модификатор получаемого урона от [Cold|холода] от [HitDamage|ударов]","Modificador del daño de [Cold|hielo] recibido cuando recibes un [HitDamage|impacto]","ม็อดความเสียหาย [HitDamage|ปะทะ] [Cold|น้ำแข็ง] ที่ได้รับ","承受[HitDamage|擊中][Cold|冰冷]傷害修正",[10061],7,[],"[10065,10067]",37,1,[],0,[],"",[],"",[]
144,"ColdDamageTakenWhenHitFinal","[Cold] damage taken when [HitDamage|Hit] modifier","Modificateur de Dégâts de [Cold|Froid] subis lorsque vous êtes [HitDamage|Touché]","Modifikator für erlittenen [Cold|Kälte]schaden bei [HitDamage|Treffer]","[HitDamage|ヒット]時の被[Cold|冷気]ダメージモッド","[HitDamage|명중]당했을 때 받는 [Cold|냉기] 피해 속성","Modificador de dano de [Cold|Gelo] sofrido quando [HitDamage|Acertado] ","Модификатор получаемого урона от [Cold|холода] от [HitDamage|ударов]","Modificador del daño de [Cold|hielo] recibido cuando recibes un [HitDamage|impacto]","ม็อดความเสียหาย [HitDamage|ปะทะ] [Cold|น้ำแข็ง] ที่ได้รับ","承受[HitDamage|擊中][Cold|冰冷]傷害修正",[9947],8,[],"[10068,10070]",37,1,[],0,[],"",[],"",[]
145,"ColdDamageTakenOverTime","[Cold] damage taken over time modifier","Modificateur de Dégâts de [Cold|Froid] subis sur la durée","Modifikator für erlittenen [Cold|Kälte]schaden über Zeit","被[Cold|冷気]継続ダメージモッド","지속 [Cold|냉기] 피해 속성","Modificador de dano degenerativo de [Cold|Gelo] sofrido ","Модификатор получаемого постепенного урона от [Cold|холода]","Modificador del daño de [Cold|hielo] degenerativo recibido","ม็อดความเสียหาย [Cold|น้ำแข็ง] ต่อเนื่อง ที่ได้รับ","承受[Cold|冰冷]持續傷害修正",[9958],7,[],"[10066,10067]",37,1,[],0,[],"",[],"",[]
146,"ColdDamageTakenOverTimeFinal","[Cold] damage taken over time modifier","Modificateur de Dégâts de [Cold|Froid] subis sur la durée","Modifikator für erlittenen [Cold|Kälte]schaden über Zeit","被[Cold|冷気]継続ダメージモッド","지속 [Cold|냉기] 피해 속성","Modificador de dano degenerativo de [Cold|Gelo] sofrido ","Модификатор получаемого постепенного урона от [Cold|холода]","Modificador del daño de [Cold|hielo] degenerativo recibido","ม็อดความเสียหาย [Cold|น้ำแข็ง] ต่อเนื่อง ที่ได้รับ","承受[Cold|冰冷]持續傷害修正",[9946],8,[],"[10069,10070]",37,1,[],0,[],"",[],"",[]
147,"LightningDamageTaken","[Lightning] damage taken modifier","Modificateur de Dégâts de [Lightning|Foudre] subis","Modifikator für erlittenen [Lightning|Blitz]schaden","被[Lightning|雷]ダメージモッド","받는 [Lightning|번개] 피해 속성","Modificador de dano de [Lightning|Raio] sofrido ","Модификатор получаемого урона от [Lightning|молнии]","Modificador del daño de [Lightning|rayo] recibido","ม็อดความเสียหาย [Lightning|สายฟ้า] ที่ได้รับ","承受[Lightning|閃電]傷害修正",[5296],7,[10067],[10065],37,1,[],0,[],"",[],"",[]
