"rownum","HideoutNPC","Order","AddMod","Cost_BaseItemTypes","Cost_Values","RequiredLevel","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","CraftingBenchCustomAction","ItemClasses","Links","SocketColours","Sockets","ItemQuantity","[i32]_120","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","IsDisabled","IsAreaOption","RecipeIds","Tier","CraftingItemClassCategories","i32_182","UnlockCategory","UnveilsRequired","UnveilsRequired2","[rid]_210","KalandraAchievement","i32_242","i32_246","VeiledMod","AddEnchantment","SortCategory","ModType","bool_314","i32_315","Stat1","Stat2","Stat3"
45,6,17,7746,[],[],68,"Infused Rampage","Rampage infusée","Rampage (verstärkt)","強化されたランページ","주입된 광란","Rampage Infundida","Усиленное Буйство","Rampage infundida","แรมเพจอาบพลัง","充能的暴怒",7,[35],0,"",0,0,[],"","","","","","","","","","",1,1,[],0,[14],0,"",0,0,[],[7015],4205,4205,"","",0,2145,"",1,"","",""
46,6,18,7714,[],[],68,"Infused Ambush","Ambush infusée","Ambush (verstärkt)","強化されたアンブッシュ","주입된 매복","Ambush Infundida","Усиленная Засада","Ambush infundida","กล่องนิรภัยอาบพลัง","充能的伏擊",7,[35],0,"",0,0,[],"","","","","","","","","","",1,1,[],0,[14],0,"",0,0,[],[7015],4205,4205,"","",0,2123,"",1,"","",""
47,6,19,9991,[],[],68,"Infused Harbinger","Harbinger infusée","Harbinger (verstärkt)","強化されたハービンジャー","주입된 선구자","Harbinger Infundida","Усиленные Предвестники","Harbinger infundida","ฮาร์บินเจอร์อาบพลัง","充能的神諭",7,[35],0,"",0,0,[],"","","","","","","","","","",1,1,[],0,[14],0,"",0,0,[],[7015],4205,4205,"","",0,4987,"",1,"","",""
48,6,20,12638,[],[],68,"Corrupting Tempest","Tempête corruptrice","Verderbender Sturm","穢れのテンペスト","타락한 폭풍","Tempestade da Corrupção","Буря порчи","Tempestad corruptora","วายุพลังก่อมลทิน","腐化風暴",7,[35],0,"",0,0,[],"","","","","","","","","","",1,1,[],0,[14],0,"",0,0,[],[],4205,4205,"","",0,10106,"",2,"","",""
49,6,21,12639,[],[],68,"Monstrous Treasure","Trésor monstrueux","Ungeheuerlicher Schatz","恐るべき財宝","무시무시한 보물","Tesouro Monstruoso","Чудовищное сокровище","Tesoro monstruoso","สมบัติมหึมา","巨大的寶藏",7,[35],0,"",0,0,[],"","","","","","","","","","",1,1,[],0,[14],0,"",0,0,[],[],4205,4205,"","",0,10107,"",2,"","",""
50,6,22,12640,[],[],68,"Alluring Vaal Side Area","Zone annexe vaal envoûtante","Faszinierendes Vaal-Nebengebiet","魅惑のヴァールサイドエリア","유혹하는 바알 부가 지역","Área Paralela Vaal Sedutora","Манящая побочная область ваал","Área secundaria vaal atrayente","ด่านย่อยวาล์อันลุ่มหลง","誘人的瓦爾區域",7,[35],0,"",0,0,[],"","","","","","","","","","",1,1,[],0,[14],0,"",0,0,[],[],4205,4205,"","",0,10108,"",2,"","",""
51,6,23,12641,[],[],68,"Improved Labyrinth Trial","Épreuve du Labyrinthe améliorée","Verbesserte Labyrinth-Prüfung","強化されたラビリンスの試練","개선된 미궁 도전","Provação Melhorada do Labirinto","Улучшенное испытание Лабиринта","Prueba del laberinto mejorada","บททดสอบเขาวงกตที่ดีกว่า","優化的試煉迷宮",7,[35],0,"",0,0,[],"","","","","","","","","","",1,1,[],0,[14],0,"",0,0,[],[],4205,4205,"","",0,10109,"",2,"","",""
52,6,24,12642,[],[],68,"Breachstone Bargain","Raffinage de Pierre de brèche","Angebot: Riss-Stein","ブリーチストーンバーゲン","균열석 협상","Barganha por Pedra de Fenda","Сделка на камень Разлома","Pacto de piedra de fisura","ข้อเสนอศิลาบรีช","裂痕石談判",7,[86],0,"",0,0,[],"Rare Monsters drop an additional Reward Type\nArea has an additional random Modifier","Les Monstres rares cèdent un type de récompense supplémentaire\nLa zone a un modificateur aléatoire supplémentaire","Seltene Monster lassen einen zusätzlichen Belohnungstypen fallen\nGebiet hat einen zusätzlichen zufälligen Modifikator","レアモンスターは追加の報酬タイプを1個ドロップする\nエリアはランダムなモッドを追加で1個持つ","희귀 몬스터가 추가 보상 유형 1개 떨어뜨림\n지역에 무작위 속성 1개 추가","Monstros Raros derrubam um Tipo de Recompensa adicional\nÁrea possui um Modificador aleatório adicional","Из редких монстров выпадает награда дополнительного типа\nНа область действует дополнительное случайное свойство","Los monstruos raros arrojan un tipo de recompensa adicional\nEl área tiene un modificador aleatorio adicional","มอนสเตอร์แรร์ ดรอปของรางวัล เพิ่มเติม 1 ชนิด\nด่าน มีม็อดแบบสุ่ม เพิ่มเติม 1 อย่าง","稀有怪物掉落 1 個額外獎勵\n區域有 1 個額外隨機詞綴",1,"",[],0,[17],0,"",0,0,[],[],4205,4205,"","",0,10110,"",3,"","",""
53,6,25,12643,[],[],68,"Enriched Breachstone Bargain","Raffinage de Pierre de brèche enrichie","Angebot: Angereicherter Riss-Stein","強化ブリーチストーンバーゲン","풍부한 균열석 협상","Barganha por Pedra de Fenda Enriquecida","Сделка на обогащённый камень Разлома","Pacto de piedra de fisura enriquecida","ข้อเสนอศิลาบรีชอาบพลัง","富裕裂痕石談判",7,[86],0,"",0,0,[],"Rare Monsters drop 2 additional Reward Types\nArea has 2 additional random Modifiers","Les Monstres rares cèdent 2 types de récompenses supplémentaires\nLa zone a 2 modificateurs aléatoires supplémentaires","Seltene Monster lassen 2 zusätzliche Belohnungstypen fallen\nGebiet hat 2 zusätzliche zufällige Modifikatoren","レアモンスターは追加の報酬タイプを2個ドロップする\nエリアはランダムなモッドを追加で2個持つ","희귀 몬스터가 추가 보상 유형 2개 떨어뜨림\n지역에 무작위 속성 2개 추가","Monstros Raros derrubam 2 Tipos de Recompensas adicionais\nÁrea possui 2 Modificadores aleatórios adicionais","Из редких монстров выпадает награда 2 дополнительных типов\nНа область действуют 2 дополнительных случайных свойства","Los monstruos raros arrojan 2 tipos de recompensas adicionales\nEl área tiene 2 modificadores aleatorios adicionales","มอนสเตอร์แรร์ ดรอปของรางวัล เพิ่มเติม 2 ชนิด\nด่าน มีม็อดแบบสุ่ม เพิ่มเติม 2 อย่าง","稀有怪物掉落 2 個額外獎勵\n區域有 2 個額外隨機詞綴",1,"",[],0,[17],0,"",0,0,[],[],4205,4205,"","",0,10110,"",3,"","",""
54,6,26,12644,[],[],68,"Pure Breachstone Bargain","Raffinage de Pierre de brèche pure","Angebot: Purer Riss-Stein","純化ブリーチストーンバーゲン","순수한 균열석 협상","Barganha por Pedra de Fenda Pura","Сделка на очищенный камень Разлома","Pacto de piedra de fisura pura","ข้อเสนอศิลาบรีชบริสุทธิ์","純淨裂痕石談判",7,[86],0,"",0,0,[],"Rare Monsters drop 3 additional Reward Types\nArea has 3 additional random Modifiers","Les Monstres rares cèdent 3 types de récompenses supplémentaires\nLa zone a 3 modificateurs aléatoires supplémentaires","Seltene Monster lassen 3 zusätzliche Belohnungstypen fallen\nGebiet hat 3 zusätzliche zufällige Modifikatoren","レアモンスターは追加の報酬タイプを3個ドロップする\nエリアはランダムなモッドを追加で3個持つ","희귀 몬스터가 추가 보상 유형 3개 떨어뜨림\n지역에 무작위 속성 3개 추가","Monstros Raros derrubam 3 Tipos de Recompensas adicionais\nÁrea possui 2 Modificadores aleatórios adicionais","Из редких монстров выпадает награда 3 дополнительных типов\nНа область действуют 3 дополнительных случайных свойства","Los monstruos raros arrojan 3 tipos de recompensas adicionales\nEl área tiene 3 modificadores aleatorios adicionales","มอนสเตอร์แรร์ ดรอปของรางวัล เพิ่มเติม 3 ชนิด\nด่าน มีม็อดแบบสุ่ม เพิ่มเติม 3 อย่าง","稀有怪物掉落 3 個額外獎勵\n區域有 3 個額外隨機詞綴",1,"",[],0,[17],0,"",0,0,[],[],4205,4205,"","",0,10110,"",3,"","",""
55,6,27,10117,[3],[2],69,"Abyss","Abyss","Abyss","アビス","심연","Abyss","Бездна","Abyss","อะบิส","深淵",7,[35],0,"",0,0,[],"","","","","","","","","","",1,1,[],0,[14],0,"",0,0,[],[],310,4205,"","",0,5312,"",0,"","",""
56,6,28,9422,[3],[3],71,"Essence","Essence","Essence","エッセンス","에센스","Essence","Сущность","Essence","เอสเซนส์","精髓",7,[35],0,"",0,0,[],"","","","","","","","","","",1,1,[],0,[14],0,"",0,0,[],[],297,4205,"","",0,4361,"",0,"","",""
57,6,29,7713,[3],[4],73,"Ambush","Ambush","Ambush","アンブッシュ","매복","Ambush","Засада","Ambush","กล่องนิรภัย","伏擊",7,[35],0,"",0,0,[],"","","","","","","","","","",1,1,[],0,[14],0,"",0,0,[],[],305,4205,"","",0,2123,"",0,"","",""
58,6,30,11545,[3],[5],76,"Metamorph","Metamorph","Metamorph","メタモルフ","변형","Metamorph","Метаморф","Metamorph","เมตามอร์ฟ","鍊獄幻魔",7,[35],0,"",0,0,[],"","","","","","","","","","",1,1,[],0,[14],0,"",0,0,[],[],661,4205,"","",0,7834,"",0,"","",""
59,6,31,11538,[3],[6],79,"Heist","Heist","Heist","ハイスト","강탈","Heist","Кража","Heist","โจรกรรม","劫盜",7,[35],0,"",0,0,[],"","","","","","","","","","",1,1,[],0,[14],0,"",0,0,[],[],1105,4205,"","",0,7748,"",0,"","",""
60,6,32,12553,[3],[10],82,"Expedition","Expedition","Expedition","エクスペディション","탐험","Expedition","Экспедиция","Expedition","กองสำรวจ","死境探險",7,[35],0,"",0,0,[],"","","","","","","","","","",1,1,[],0,[14],0,"",0,0,[],[],1211,4205,"","",0,8951,"",0,"","",""
61,6,33,11542,[3],[12],83,"Harvest","Harvest","Harvest","ハーベスト","수확","Harvest","Жатва","Harvest","ฮาร์เวสต์","豐收",7,[35],0,"",0,0,[],"","","","","","","","","","",1,1,[],0,[14],0,"",0,0,[],[],1106,4205,"","",0,7753,"",0,"","",""
62,6,34,7735,[3],[2],101,"Onslaught","Onslaught","Onslaught","オンスロート","맹공","Onslaught","Боевой раж","Onslaught","เร่งราวี","猛攻",7,[35],0,"",0,0,[],"","","","","","","","","","",1,1,[],0,[14],0,"",0,0,[],[],304,4205,"","",0,2132,"",0,"","",""
63,6,35,9681,[3],[4],101,"Breach","Breach","Breach","ブリーチ","균열","Breach","Разлом","Breach","บรีช","裂痕",7,[35],0,"",0,0,[],"","","","","","","","","","",1,1,[],0,[14],0,"",0,0,[],[],308,4205,"","",0,4538,"",0,"","",""
64,6,36,7957,[3],[5],101,"Torment","Torment","Torment","トーメント","고통","Torment","Мучение","Torment","ผีตายโหง","苦痛",7,[35],0,"",0,0,[],"","","","","","","","","","",1,1,[],0,[14],0,"",0,0,[],[],309,4205,"","",0,2300,"",0,"","",""
65,6,37,7718,[3],[2],101,"Domination","Domination","Domination","ドミネーション","지배","Domination","Господство","Domination","แท่นบูชา","支配",7,[35],0,"",0,0,[],"","","","","","","","","","",1,1,[],0,[14],0,"",0,0,[],[],299,4205,"","",0,2126,"",0,"","",""
66,6,38,7710,[3],[2],101,"Invasion","Invasion","Invasion","インベージョン","침략","Invasion","Вторжение","Invasion","ผู้รุกราน","侵略",7,[35],0,"",0,0,[],"","","","","","","","","","",1,1,[],0,[14],0,"",0,0,[],[],311,4205,"","",0,2121,"",0,"","",""
67,6,39,7745,[3],[2],101,"Rampage","Rampage","Rampage","ランページ","광란","Rampage","Буйство","Rampage","แรมเพจ","暴怒",7,[35],0,"",0,0,[],"","","","","","","","","","",1,1,[],0,[14],0,"",0,0,[],[],312,4205,"","",0,2145,"",0,"","",""
68,6,40,8123,[3],[4],101,"Tempest","Tempest","Tempest","テンペスト","폭풍","Tempest","Буря","Tempest","วายุพลัง","風暴",7,[35],0,"",0,0,[],"","","","","","","","","","",1,1,[],0,[14],0,"",0,0,[],[],313,4205,"","",0,2434,"",0,"","",""
69,6,41,8839,[14],[3],101,"Talisman","Talisman","Talisman","タリスマン","부적","Talisman","Талисманы","Talisman","สร้อยเครื่องราง","魔符",7,[35],0,"",0,0,[],"","","","","","","","","","",1,1,[],0,[14],0,"",0,0,[],[],314,4205,"","",0,3878,"",0,"","",""
70,6,42,11291,[3],[6],101,"Legion","Legion","Legion","リージョン","군단","Legion","Легион","Legion","กองพัน","戰亂",7,[35],0,"",0,0,[],"","","","","","","","","","",1,1,[],0,[14],0,"",0,0,[],[],303,4205,"","",0,7304,"",0,"","",""
71,6,43,9990,[3],[6],101,"Harbinger","Harbinger","Harbinger","ハービンジャー","선구자","Harbinger","Предвестник","Harbinger","ฮาร์บินเจอร์","神諭",7,[35],0,"",0,0,[],"","","","","","","","","","",1,1,[],0,[14],0,"",0,0,[],[],315,4205,"","",0,4987,"",0,"","",""
72,6,44,7747,[3],[5],101,"Beyond","Beyond","Beyond","ビヨンド","이계","Beyond","Иномирье","Beyond","ต่างมิติ","超越",7,[35],0,"",0,0,[],"","","","","","","","","","",1,1,[],0,[14],0,"",0,0,[],[],302,4205,"","",0,2146,"",0,"","",""
73,6,45,11365,[3],[12],101,"Delirium","Delirium","Delirium","デリリウム","환영","Delirium","Делириум","Delirium","เดลิเรียม","譫妄",7,[35],0,"",0,0,[],"","","","","","","","","","",1,1,[],0,[14],0,"",0,0,[],[],745,4205,"","",0,7620,"",0,"","",""
74,6,46,8395,[3],[2],101,"Warbands","Warbands","Warbands","ウォーバンド","군벌","Warbands","Отряды","Warbands","กองศึก","軍團",7,[35],0,"",0,0,[],"","","","","","","","","","",1,1,[],0,[14],0,"",0,0,[],[],306,4205,"","",0,2680,"",0,"","",""
75,6,47,12466,[3],[12],101,"Ritual","Ritual","Ritual","リチュアル","의식","Ritual","Ритуал","Ritual","พิธีกรรม","祭祀",7,[35],0,"",0,0,[],"","","","","","","","","","",1,1,[],0,[14],0,"",0,0,[],[],1114,4205,"","",0,8953,"",0,"","",""
76,6,48,7732,[3],[3],101,"Anarchy","Anarchy","Anarchy","アナーキー","혼란","Anarchy","Анархия","Anarchy","เอ็กไซล์อันธพาล","混亂",7,[35],0,"",0,0,[],"","","","","","","","","","",1,1,[],0,[14],0,"",0,0,[],[],298,4205,"","",0,2144,"",0,"","",""
77,6,49,11326,[3],[8],101,"Blight","Blight","Blight","ブライト","역병","Blight","Скверна","Blight","ไบล์ท","凋落",7,[35],0,"",0,0,[],"","","","","","","","","","",1,1,[],0,[14],0,"",0,0,[],[],316,4205,"","",0,4640,"",0,17003,17004,17002
78,6,50,5320,[3],[2],101,"Monster Life I","Vie des Monstres I","Monsterleben I","モンスターライフ I","몬스터 생명력 I","Vida Monstruosa I","Здоровье монстров I","Vida de monstruos I","พลังชีวิตมอนสเตอร์ ระดับ 1","怪物生命 I",7,[35],0,"",0,0,[],"","","","","","","","","","","",1,[],0,[14],0,"",0,0,[],[],4205,4205,"","",0,817,"",0,"","",""
79,6,51,5321,[3],[2],101,"Monster Life II","Vie des Monstres II","Monsterleben II","モンスターライフ II","몬스터 생명력 II","Vida Monstruosa II","Здоровье монстров II","Vida de monstruos II","พลังชีวิตมอนสเตอร์ ระดับ 2","怪物生命 II",7,[35],0,"",0,0,[],"","","","","","","","","","","",1,[],0,[14],0,"",0,0,[],[],4205,4205,"","",0,817,"",0,"","",""
80,6,52,5322,[3],[2],101,"Monster Life III","Vie des Monstres III","Monsterleben III","モンスターライフ III","몬스터 생명력 III","Vida Monstruosa III","Здоровье монстров III","Vida de monstruos III","พลังชีวิตมอนสเตอร์ ระดับ 3","怪物生命 III",7,[35],0,"",0,0,[],"","","","","","","","","","","",1,[],0,[14],0,"",0,0,[],[],4205,4205,"","",0,817,"",0,"","",""
81,6,53,5323,[3],[2],101,"Monster Life IV","Vie des Monstres IV","Monsterleben IV","モンスターライフ IV","몬스터 생명력 IV","Vida Monstruosa IV","Здоровье монстров IV","Vida de monstruos IV","พลังชีวิตมอนสเตอร์ ระดับ 4","怪物生命 IV",7,[35],0,"",0,0,[],"","","","","","","","","","","",1,[],0,[14],0,"",0,0,[],[],4205,4205,"","",0,817,"",0,"","",""
82,6,54,5344,[3],[2],101,"Monster Damage I","Dégâts des Monstres I","Monsterschaden I","モンスターダメージ I","몬스터 피해 I","Dano Monstruoso I","Урон монстров I","Daño de monstruos I","ความเสียหายมอนสเตอร์ ระดับ 1","怪物傷害 I",7,[35],0,"",0,0,[],"","","","","","","","","","","",1,[],0,[14],0,"",0,0,[],[],4205,4205,"","",0,821,"",0,"","",""
83,6,55,5345,[3],[2],101,"Monster Damage II","Dégâts des Monstres II","Monsterschaden II","モンスターダメージ II","몬스터 피해 II","Dano Monstruoso II","Урон монстров II","Daño de monstruos II","ความเสียหายมอนสเตอร์ ระดับ 2","怪物傷害 II",7,[35],0,"",0,0,[],"","","","","","","","","","","",1,[],0,[14],0,"",0,0,[],[],4205,4205,"","",0,821,"",0,"","",""
84,6,56,5346,[3],[2],101,"Monster Damage III","Dégâts des Monstres III","Monsterschaden III","モンスターダメージ III","몬스터 피해 III","Dano Monstruoso III","Урон монстров III","Daño de monstruos III","ความเสียหายมอนสเตอร์ ระดับ 3","怪物傷害 III",7,[35],0,"",0,0,[],"","","","","","","","","","","",1,[],0,[14],0,"",0,0,[],[],4205,4205,"","",0,821,"",0,"","",""
85,6,57,5347,[3],[2],101,"Monster Damage IV","Dégâts des Monstres IV","Monsterschaden IV","モンスターダメージ IV","몬스터 피해 IV","Dano Monstruoso IV","Урон монстров IV","Daño de monstruos IV","ความเสียหายมอนสเตอร์ ระดับ 4","怪物傷害 IV",7,[35],0,"",0,0,[],"","","","","","","","","","","",1,[],0,[14],0,"",0,0,[],[],4205,4205,"","",0,821,"",0,"","",""
86,6,58,5187,[3],[6],101,"Area is inhabited by Spiders","La Zone est habitée par des Araignées","Gebiet ist von Spinnen besiedelt","エリアに蜘蛛が出現","지역에 거미 서식","Área habitada por Aranhas","Область населена пауками","El área está habitada por arañas","ด่านมี แมงมุม อาศัยอยู่","區域有許多蜘蛛",7,[35],0,"",0,0,[],"","","","","","","","","","","",1,[],0,[14],0,"",0,0,[],[],4205,4205,"","",0,763,"",0,"","",""
87,6,59,5188,[3],[6],101,"Area is inhabited by Blackguards","La Zone est habitée par des Gardes noirs","Gebiet ist von Schwarzgardisten besiedelt","エリアにブラックガードが出現","지역에 검은 근위대 거주","Área é habitada por Guardas Negros","Область населена чёрными стражами","El área está habitada por guardias negros","ด่านมี การ์ดดำ อาศัยอยู่","區域有許多烏旗守衛",7,[35],0,"",0,0,[],"","","","","","","","","","","",1,[],0,[14],0,"",0,0,[],[],4205,4205,"","",0,764,"",0,"","",""
88,6,60,5186,[3],[6],101,"Area is inhabited by Bandits","La Zone est habitée par des Bandits","Gebiet ist von Banditen besiedelt","エリアに山賊が出現","지역에 도적 서식","Área habitada por Bandidos","Область населена бандитами","El área está habitada por bandidos","ด่านมี แก๊งโจร อาศัยอยู่","區域有許多盜賊",7,[35],0,"",0,0,[],"","","","","","","","","","","",1,[],0,[14],0,"",0,0,[],[],4205,4205,"","",0,736,"",0,"","",""
89,6,61,5157,[3],[2],101,"Additional Totems","Totems supplémentaires","Zusätzliche Totems","追加のトーテム","추가 토템","Totens Adicionais","Дополнительные тотемы","Tótems adicionales","โทเทม เพิ่มเติม","額外圖騰",7,[35],0,"",0,0,[],"","","","","","","","","","","",1,[],0,[14],0,"",0,0,[],[],4205,4205,"","",1,728,"",0,"","",""
90,6,62,5164,[3],[3],101,"Additional Rogue Exiles","Exilés renégats supplémentaires","Zusätzliche Abtrünnige Verbannte","追加のローグエグザイル","추가 탈주 유배자","Exilados Renegados Adicionais","Дополнительные бродячие изгнанники","Exiliados renegados adicionales","เอ็กไซล์อันธพาล เพิ่มเติม","額外盜賊流亡者",7,[35],0,"",0,0,[],"","","","","","","","","","","",1,[],0,[14],0,"",0,0,[],[],4205,4205,"","",1,1928,"",0,"","",""
91,6,63,5215,[3],[3],101,"Monsters from Beyond","Monstres d'Ailleurs","Monster aus dem Jenseits","ビヨンドからのモンスター","이계 몬스터","Monstros do Além","Монстры Иномирья","Monstruos del más allá","มอนสเตอร์จากต่างมิติ","超越怪物",7,[35],0,"",0,0,[],"","","","","","","","","","","",1,[],0,[14],0,"",0,0,[],[],4205,4205,"","",1,2199,"",0,"","",""
92,6,64,5222,[3],[3],101,"Twinned Unique Bosses","Boss uniques jumelés","Doppelte einzigartige Bosse","対になったユニークボス","이중 고유 보스","Chefes Únicos Geminados","Двойниковые уникальные боссы","Jefes únicos gemelos","บอสยูนิคคู่แฝด","孿生傳奇頭目",7,[35],0,"",0,0,[],"","","","","","","","","","",1,1,[],0,[14],0,"",0,0,[],[],4205,4205,"","",1,780,"",0,"","",""
93,0,0,7740,[26],[2],0,"","2 châsses","Zwei Fassungen","","","","Два гнезда","Dos engarces","","",7,[],0,"",0,0,[],"","","","","","","","","","","","",[249],0,"[0,1,2,3,6,7,8,5,4,9,10,11,13]",1,"",0,0,[],[8842],4205,4205,"","",2,2143,"",0,"","",""
94,0,1,7741,[26],[2],0,"","3 châsses","Drei Fassungen","","","","Три гнезда","Tres engarces","","",7,[],0,"",0,0,[],"","","","","","","","","","","","",[250],0,"[0,1,2,3,6,7,8,5,4,9,10,11,13]",1,"",0,0,[],[8842],4205,4205,"","",1,2139,"",0,"","",""
95,0,2,7744,[26],[2],0,"","4 châsses","Vier Fassungen","","","","Четыре гнезда","Cuatro engarces","","",7,[],0,"",0,0,[],"","","","","","","","","","","","",[251],0,"[0,1,2,3,6,7,8,5,4,9,10,11,13]",1,"",0,0,[],[8842],4205,4205,"","",2,2142,"",0,"","",""
96,0,3,7742,[26],[1],0,"","5 châsses","Fünf Fassungen","","","","","Cinco engarces","","",7,[],0,"",0,0,[],"","","","","","","","","","","","",[247],0,"[0,1,2,3,6,7,8,5,4,9,10,11,13]",1,"",0,0,[],[8842],4205,4205,"","",2,2140,"",0,"","",""
97,0,4,7743,[26],[1],0,"","6 châsses","Sechs Fassungen","","","","","Seis engarces","","",7,[],0,"",0,0,[],"","","","","","","","","","","","",[248],0,"[0,1,2,3,6,7,8,5,4,9,10,11,13]",1,"",0,0,[],[8842],4205,4205,"","",2,2141,"",0,"","",""
