"rownum","Id","bool_8","IsLocal","IsWeaponLocal","Semantic","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","bool_23","IsVirtual","MainHandAlias_Stat","OffHandAlias_Stat","bool_41","HASH32","BelongsActiveSkills","Category","bool_78","bool_79","IsScalable","ContextFlags","DotFlag","WeaponHandCheck"
231,"local_gem_level_+",1,1,"",3,"","","","","","","","","","","","","","",1,410299292,[],"","","",1,[],[],""
232,"combined_base_block_%","","","",1,"Block Chance","Chances de Blocage","Blockchance","ブロック率","막기 확률","Chance de Bloqueio","Шанс блока","Probabilidad de bloqueo","โอกาสบล็อค","格擋率","",1,"","","",2744779860,[],"","","",1,[0],[],""
233,"armour",1,"","",1,"Armour","Armure","Rüstung","アーマー","방어도","Armadura","Броня","Armadura","ค่าเกราะ","護甲值",1,1,"","",1,2957524167,[],"","","",1,[0],[],""
234,"spell_block_%",1,"","",1,"Chance to Block Spells","Chance de Bloquer les Sorts","Chance auf Blocken von Zaubern","スペルブロック率","주문 막기 확률","Chance de Bloquear Magias","Шанс блока чар","Probabilidad de bloquear hechizos","โอกาสบล็อค เวท","法術格擋率","",1,"","",1,2225571594,[],9,"","",1,[0],[],""
235,"movement_velocity_+permyriad",1,"","",7,"Movement Velocity +%","+% à la Vélocité de déplacement","Bewegungsgeschwindigkeit +%","移動スピード +%","이동 속도 +%","+% de Velocidade de Movimento","Ускорение передвижения","Velocidad de movimiento +%","เพิ่มความเร่งในการเคลื่อนที่ +%","移動速度 +%",1,1,"","",1,2311769358,[],"","","",1,[37],[],""
236,"is_dual_wielding",1,"","",4,"","","","","","","","","","",1,1,"","",1,1159671063,[],"","","","",[0],[],""
237,"maximum_life",1,"","",3,"Life","Vie","Leben","ライフ","생명력","Vida","Здоровье","Vida","พลังชีวิต","生命",1,1,"","",1,2541911097,[],"","","",1,[0],[],""
238,"maximum_mana",1,"","",3,"Mana","Mana","Mana","マナ","마나","Mana","Мана","Maná","มานา","魔力",1,1,"","",1,2093351468,[],"","","",1,[0],[],""
239,"maximum_energy_shield",1,"","",3,"Energy Shield","Bouclier d'énergie","Energieschild","エナジーシールド","에너지 보호막","Escudo de Energia","Максимум энергетического щита","Escudo de energía","โล่พลังงานสูงสุด","能量護盾",1,1,"","",1,2692573171,[],"","","",1,[0],[],""
240,"total_life_recovery_per_minute_from_regeneration",1,"","",3,"","","","","","","","","","",1,1,"","",1,3480435343,[],"","","",1,[0],[],""
241,"total_mana_recovery_per_minute_from_regeneration",1,"","",3,"","","","","","","","","","",1,1,"","",1,1580874553,[],"","","",1,[0],[],""
242,"energy_shield_recharge_rate_per_minute",1,"","",3,"","","","","","","","","","",1,1,"","",1,2134312733,[],"","","",1,[0],[],""
243,"spell_minimum_cold_damage",1,"","",3,"","","","","","","","","","","",1,"","",1,568816901,[],"","","",1,[3],[],""
244,"spell_maximum_cold_damage",1,"","",3,"","","","","","","","","","","",1,"","",1,1304101156,[],"","","",1,[3],[],""
245,"spell_minimum_fire_damage",1,"","",3,"","","","","","","","","","","",1,"","",1,4132826363,[],"","","",1,[3],[],""
246,"spell_maximum_fire_damage",1,"","",3,"","","","","","","","","","","",1,"","",1,55684540,[],"","","",1,[3],[],""
247,"spell_minimum_lightning_damage",1,"","",3,"","","","","","","","","","","",1,"","",1,501171089,[],"","","",1,[3],[],""
248,"spell_minimum_chaos_damage",1,"","",3,"","","","","","","","","","","",1,"","",1,2342641667,[],"","","",1,[3],[],""
249,"spell_maximum_lightning_damage",1,"","",3,"","","","","","","","","","","",1,"","",1,1054086238,[],"","","",1,[3],[],""
250,"spell_maximum_chaos_damage",1,"","",3,"","","","","","","","","","","",1,"","",1,3032385999,[],"","","",1,[3],[],""
251,"spell_minimum_physical_damage",1,"","",3,"","","","","","","","","","","",1,"","",1,141410287,[],"","","",1,[3],[],""
252,"spell_maximum_physical_damage",1,"","",3,"","","","","","","","","","","",1,"","",1,4187281575,[],"","","",1,[3],[],""
253,"main_hand_minimum_cold_damage",1,"","",3,"","","","","","","","","","","",1,"","",1,3232536435,[],"","","",1,[2],[],""
254,"main_hand_maximum_cold_damage",1,"","",3,"","","","","","","","","","","",1,"","",1,2239516534,[],"","","",1,[2],[],""
255,"off_hand_minimum_cold_damage",1,"","",3,"","","","","","","","","","","",1,"","",1,2328199149,[],"","","",1,[2],[],""
256,"off_hand_maximum_cold_damage",1,"","",3,"","","","","","","","","","","",1,"","",1,2515340860,[],"","","",1,[2],[],""
257,"main_hand_minimum_fire_damage",1,"","",3,"","","","","","","","","","","",1,"","",1,53125529,[],"","","",1,[2],[],""
258,"main_hand_maximum_fire_damage",1,"","",3,"","","","","","","","","","","",1,"","",1,1001674155,[],"","","",1,[2],[],""
259,"off_hand_minimum_fire_damage",1,"","",3,"","","","","","","","","","","",1,"","",1,1304763413,[],"","","",1,[2],[],""
260,"off_hand_maximum_fire_damage",1,"","",3,"","","","","","","","","","","",1,"","",1,3559952857,[],"","","",1,[2],[],""
261,"main_hand_minimum_lightning_damage",1,"","",3,"","","","","","","","","","","",1,"","",1,2354603570,[],"","","",1,[2],[],""
262,"main_hand_maximum_lightning_damage",1,"","",3,"","","","","","","","","","","",1,"","",1,2142296930,[],"","","",1,[2],[],""
263,"off_hand_minimum_lightning_damage",1,"","",3,"","","","","","","","","","","",1,"","",1,3433679571,[],"","","",1,[2],[],""
264,"off_hand_maximum_lightning_damage",1,"","",3,"","","","","","","","","","","",1,"","",1,765669314,[],"","","",1,[2],[],""
265,"main_hand_minimum_chaos_damage",1,"","",3,"","","","","","","","","","","",1,"","",1,496430767,[],"","","",1,[2],[],""
266,"main_hand_maximum_chaos_damage",1,"","",3,"","","","","","","","","","","",1,"","",1,2347693081,[],"","","",1,[2],[],""
267,"off_hand_minimum_chaos_damage",1,"","",3,"","","","","","","","","","","",1,"","",1,2442469059,[],"","","",1,[2],[],""
268,"off_hand_maximum_chaos_damage",1,"","",3,"","","","","","","","","","","",1,"","",1,915878039,[],"","","",1,[2],[],""
269,"main_hand_minimum_physical_damage",1,"","",3,"","","","","","","","","","","",1,"","",1,3588518900,[],"","","",1,[2],[],""
270,"main_hand_maximum_physical_damage",1,"","",3,"","","","","","","","","","","",1,"","",1,943921195,[],"","","",1,[2],[],""
271,"off_hand_minimum_physical_damage",1,"","",3,"","","","","","","","","","","",1,"","",1,3019357867,[],"","","",1,[2],[],""
272,"off_hand_maximum_physical_damage",1,"","",3,"","","","","","","","","","","",1,"","",1,1939023650,[],"","","",1,[2],[],""
273,"stun_recovery_+%",1,"","",1,"Block and Stun Recovery +%","+% à la Récupération de Blocage et d'Étourdissement","Erhöhte Betäubungs- und Blockerholung +%","ブロックおよびスタン復帰 +%","막기 및 기절 회복 +%","+% de Recuperação de Bloqueio e Atordoamento","Ускорение восстановления от блока и оглушения","Recuperación del bloqueo y del aturdimiento +%","การฟื้นตัวจากการบล็อคและสถานะ สตัน +%","格擋及暈眩回復 +%","",1,"","",1,2103675702,[],"","","",1,[0],[],""
274,"evasion_rating",1,"","",3,"Evasion Rating","Score d'Évasion","Ausweichwert","回避力","회피","Evasão","Уклонение","Evasión","อัตราการหลบหลีก","閃避值",1,1,"","",1,535210313,[],"","","",1,[0],[],""
275,"main_hand_reduce_enemy_block_%",1,"","",1,"Main Hand Enemy Block Reduction","Réduction du Blocage de l'Ennemi avec la main principale","Haupthand: Verringertes Blocken des Gegners","メインハンドの敵ブロック率減少","주 무기로 적 막기 감소","Redução de Bloqueio Inimigo com a Mão Principal","Снижение шанса блока атаки правой рукой","Reducción al Bloqueo del Enemigo con la Mano Principal","การลดการบล็อค ของศัตรู ของมือหลัก","主手武器被格擋減免","",1,"","",1,1683480834,[],"","","",1,[2],[],""
276,"off_hand_reduce_enemy_block_%",1,"","",1,"Off Hand Enemy Block Reduction","Réduction du Blocage de l'Ennemi avec la main secondaire","Nebenhand: Verringertes Blocken des Gegners","オフハンドの敵ブロック率減少","보조 장비로 적 막기 감소","Redução de Bloqueio Inimigo com a Mão Secundária","Снижение шанса блока атаки левой рукой","Reducción al Bloqueo del Enemigo con la Mano Secundaria","การลดการบล็อค ของศัตรู ของมือรอง","副手武器被格擋減免","",1,"","",1,2627091964,[],"","","",1,[2],[],""
277,"main_hand_critical_strike_multiplier_+",1,"","",3,"","","","","","","","","","","",1,"","","",956142053,[],"","","",1,[2],[],""
278,"off_hand_critical_strike_multiplier_+",1,"","",3,"","","","","","","","","","","",1,"","","",1715461753,[],"","","",1,[2],[],""
279,"self_critical_strike_multiplier_+%",1,"","",3,"","Réduction du multiplicateur de dégâts des coups critiques de l'ennemi","Verringerter Schadensmultiplikator für kritischen Treffer des Gegners","","","Redução do Multiplicador de Dano do Acerto Crítico Inimigo","Уменьшение множителя критического удара врага","","การลดตัวคูณความเสียหายจากการจู่โจมคริติคอลของศัตรู","敵人暴擊傷害加成減免","",1,"","",1,2714084899,[],"","","",1,[0],[],""
280,"main_hand_knockback",1,"","",4,"","","","","","","","","","","",1,"","",1,2843702629,[],"","","","",[2],[],""
281,"off_hand_knockback",1,"","",4,"","","","","","","","","","","",1,"","",1,2570461881,[],"","","","",[2],[],""
282,"main_hand_accuracy_rating",1,"","",3,"Main Hand Accuracy Rating","Score de Précision de l'arme principale","Haupthand: Treffgenauigkeit","メインハンドの命中力","주 무기 정확도","Precisão com a Mão Principal","Меткость правой рукой","Precisión con la mano principal","อัตราความแม่นยำ ของมือหลัก","主手命中值",1,1,"","",1,3967110418,[],"","","",1,[35],[],""
283,"off_hand_accuracy_rating",1,"","",3,"Off Hand Accuracy Rating","Score de Précision de l'arme principale","Nebenhand: Treffgenauigkeit","オフハンドの命中力","보조 장비 정확도","Precisão com a Mão Secundária","Меткость левой рукой","Precisión con la mano secundaria","อัตราความแม่นยำ ของมือรอง","副手命中值",1,1,"","",1,23321753,[],"","","",1,[35],[],""
284,"main_hand_attack_speed_+%",1,"","",1,"Main Hand Attack Speed Increase","Augmentation de la Vitesse d'attaque de la main principale","Haupthand: Erhöhte Angriffsgeschwindigkeit","メインハンドのアタックスピード増加","주 무기 공격 속도 증가","Aumento da Velocidade de Ataque com a Mão Principal","Ускорение атаки правой рукой","Aumento de la Velocidad de Ataque con la Mano Principal","เพิ่มความเร็วในการโจมตี ของมือหลัก","主手攻擊速度提升",1,1,"","",1,3908102930,[],"","","",1,[21],[],""
285,"off_hand_attack_speed_+%",1,"","",1,"Off Hand Attack Speed Increase","Augmentation de la Vitesse d'attaque de la main secondaire","Nebenhand: Erhöhte Angriffsgeschwindigkeit","オフハンドのアタックスピード増加","보조 장비 공격 속도 증가","Aumento da Velocidade de Ataque com a Mão Secundária","Ускорение атаки левой рукой","Aumento de la Velocidad de Ataque con la Mano Secundaria","เพิ่มความเร็วในการโจมตี ของมือรอง","副手攻擊速度提升",1,1,"","",1,2080422905,[],"","","",1,[21],[],""
286,"cast_speed_+%_for_scaling_and_display",1,"","",1,"Cast Speed Increase","Augmentation de la Vitesse d'incantation","Erhöhte Zaubergeschwindigkeit","キャストスピード増加","시전 속도 증가","Aumento da Velocidade de Conjuração","Ускорение чар","Aumento de la Velocidad de Lanzamiento de Hechizos","เพิ่มความเร็วในการร่าย","施放速度提升",1,1,"","",1,3055638112,[],"","","",1,[23],[],""
287,"spectre_maximum_life_+%",1,"","",1,"","","","","","","","","","","",1,"","","",2424047866,[],"","","",1,[33],[],""
288,"zombie_maximum_life_+%",1,"","",1,"","","","","","","","","","","",1,"","","",1700566105,[],"","","",1,[33],[],""
289,"fire_elemental_maximum_life_+%","","","",1,"","","","","","","","","","","",1,"","","",1818487076,[],"","","",1,[33],[],""
290,"raven_maximum_life_+%","","","",1,"","","","","","","","","","","",1,"","","",206006679,[],"","","",1,[33],[],""
291,"arrow_speed_+%","","","",1,"","","","","","","","","","",1,1,"","",1,2751969539,[],"","","",1,[32],[],""
292,"main_hand_stun_threshold_reduction_+%",1,"","",1,"Main Hand Stun Threshold Reduction","Réduction du Seuil d'Étourdissement de la main principale","Haupthand: Verringerung der Betäubungsschwelle","メインハンドのスタン閾値減少","주 무기 기절 한계치 감소","Redução do Ponto de Atordoamento com a Mão Principal","Снижение порога оглушения атакой правой рукой","Redución de Umbral de Aturdimiento con la Mano Principal","เกณฑ์ความยากในการติดสถานะ สตัน ของมือหลัก","主手降低敵人暈眩門檻","",1,"","",1,1795450793,[],"","","",1,[2],[],""
293,"off_hand_stun_threshold_reduction_+%",1,"","",1,"Off Hand Stun Threshold Reduction","Réduction du Seuil d'Étourdissement de la main secondaire","Nebenhand: Verringerung der Betäubungsschwelle","オフハンドのスタン閾値減少","보조 장비 기절 한계치 감소","Redução do Ponto de Atordoamento com a Mão Secundária","Снижение порога оглушения атакой левой рукой","Redución de Umbral de Aturdimiento con la Mano Secundaria","เกณฑ์ความยากในการติดสถานะ สตัน ของมือรอง","副手降低敵人暈眩門檻","",1,"","",1,587983988,[],"","","",1,[2],[],""
294,"main_hand_life_leech_from_physical_attack_damage_permyriad",1,"","",1,"Main Hand Life Leech from Physical Attacks","Drain de Vie avec les Attaques physiques de la main principale","Haupthand: Lebensraub durch physische Angriffe","物理アタックによるメインハンドライフリーチ","주 무기로 물리 공격 시 생명력 흡수","Drenagem de Vida de Ataques Físicos com a Mão Principal","Похищение здоровья от физического урона атак правой рукой","Absorción de Vida de Ataques Físicos con la Mano Principal","ดูดพลังชีวิต จากการโจมตี กายภาพ ของมือหลัก","主手物理攻擊偷取生命","",1,"","",1,3125636393,[],"","","",1,[2],[],""
295,"off_hand_life_leech_from_physical_attack_damage_permyriad",1,"","",1,"Off Hand Life Leech from Physical Attacks","Drain de Vie avec les Attaques physiques de la main secondaire","Nebenhand: Lebensraub durch physische Angriffe","物理アタックによるオフハンドライフリーチ","보조 장비로 물리 공격 시 생명력 흡수","Drenagem de Vida de Ataques Físicos com a Mão Secundária","Похищение здоровья от физического урона атак левой рукой","Absorción de Vida de Ataques Físicos con la Mano Secundaria","ดูดพลังชีวิต จากการโจมตี กายภาพ ของมือรอง","副手物理攻擊偷取生命","",1,"","",1,536958852,[],"","","",1,[2],[],""
296,"main_hand_mana_leech_from_physical_attack_damage_permyriad",1,"","",1,"Main Hand Mana Leech from Physical Attacks","Drain de Mana avec les Attaques physiques de la main principale","Haupthand: Manaraub durch physische Angriffe","物理アタックによるメインハンドマナリーチ","주 무기로 물리 공격 시 마나 흡수","Drenagem de Mana de Ataques Físicos com a Mão Principal","Похищение маны от физического урона атак правой рукой","Absorción de Maná de Ataques Físicos con la Mano Principal","ดูดมานา จากการโจมตี กายภาพ ของมือหลัก","主手物理攻擊偷取魔力","",1,"","",1,3125992148,[],"","","",1,[2],[],""
297,"off_hand_mana_leech_from_physical_attack_damage_permyriad",1,"","",1,"Off Hand Mana Leech from Physical Attacks","Drain de Mana avec les Attaques physiques de la main secondaire","Nebenhand: Manaraub durch physische Angriffe","物理アタックによるオフハンドマナリーチ","보조 장비로 물리 공격 시 마나 흡수","Drenagem de Mana de Ataques Físicos com a Mão Secundária","Похищение маны от физического урона атак правой рукой","Absorción de Maná de Ataques Físicos con la Mano Secundaria","ดูดมานา จากการโจมตี กายภาพ ของมือรอง","副手物理攻擊偷取生命","",1,"","",1,1868263240,[],"","","",1,[2],[],""
298,"cold_damage_resistance_%",1,"","",1,"Cold Resistance","Résistance au froid","Kältewiderstand","冷気耐性","냉기 저항","Resistência a Gelo","Стойкость к холоду","Resistencia al hielo","ค่าต้านทาน น้ำแข็ง","冰冷抗性",1,1,"","",1,2372162441,[],"","","",1,[0],[],""
299,"fire_damage_resistance_%",1,"","",1,"Fire Resistance","Résistance au feu","Feuerwiderstand","火耐性","화염 저항","Resistência a Fogo","Стойкость к огню","Resistencia al fuego","ค่าต้านทาน ไฟ","火焰抗性",1,1,"","",1,3645495633,[],"","","",1,[0],[],""
300,"lightning_damage_resistance_%",1,"","",1,"Lightning Resistance","Résistance à la foudre","Blitzwiderstand","雷耐性","번개 저항","Resistência a Raio","Стойкость к молнии","Resistencia al rayo","ค่าต้านทาน สายฟ้า","閃電抗性",1,1,"","",1,3048728153,[],"","","",1,[0],[],""
301,"chaos_damage_resistance_%",1,"","",1,"Chaos Resistance","Résistance au chaos","Chaoswiderstand","混沌耐性","카오스 저항","Resistência a Caos","Стойкость к хаосу","Resistencia al caos","ค่าต้านทาน เคออส","混沌抗性",1,1,"","",1,204000834,[],"","","",1,[0],[],""
302,"resist_all_elements_%","","","",1,"","","","","","","","","","","",1,"","","",3204845899,[],"","","",1,[0],[],""
303,"trap_duration_+%",1,"","",1,"Trap Duration increase","Augmentation de la Durée des pièges","Verlängerte Fallendauer","トラップ持続時間増加","덫 지속시간 증가","Aumento de Duração da Armadilha","Увеличение здоровья ловушек","Aumento de la duración de las trampas","เพิ่มระยะเวลา ของกับดัก","陷阱持續時間增長","","","","",1,1253436669,[],14,"","",1,[],[],""
304,"trap_trigger_radius_+%","","","",1,"Trap Trigger Radius increase","Augmentation du Rayon de déclenchement des Pièges","Vergrößerter Fallenauslöserradius","トラップ作動半径増加","덫 발동 반경 증가","Aumento do Raio de Ativação da Armadilha","Увеличение радиуса срабатывания ловушек","Aumento del radio de activación de las trampas","เพิ่มรัศมีทริกเกอร์ ของกับดัก","陷阱觸發範圍增大","","","","",1,3600132497,[],14,"","",1,[],[],""
305,"trap_throwing_speed_+%",1,"","",1,"Trap Throwing Speed increase","Augmentation de la Vitesse de jet des Pièges","Erhöhte Fallenwurfgeschwindigkeit","トラップ投擲スピード増加","덫 투척 속도 증가","Aumento da Velocidade de Lançamento de Armadilha","Увеличение скорости установки ловушек","Aumento de la velocidad de lanzamiento de las trampas","เพิ่มความเร็วในการปากับดัก","陷阱投擲速度增加",1,"","","",1,3767675802,[],14,"","",1,[],[],""
306,"monster_response_time_ms",1,"","",1,"","","","","","","","","","","","","","",1,315145786,[],"","","",1,[],[],""
307,"skill_internal_monster_responsiveness_+%",1,"","",1,"","","","","","","","","","","","","","",1,46758112,[],"","","",1,[],[],""
308,"endurance_charge_granted_per_X_monster_power_during_endurance_warcry",1,"","",3,"","","","","","","","","","","","","","",1,3396068466,[],"","","",1,[],[],""
309,"skill_range_+%",1,"","",1,"","","","","","","","","","",1,"","","",1,2656369235,[],"","","",1,[],[],""
310,"skill_visual_scale_+%",1,"","",1,"","","","","","","","","","",1,"","","",1,1421230256,[],"","","",1,[],[],""
311,"imp_variation",1,"","",3,"","","","","","","","","","",1,"","","",1,376018858,[],"","","","",[],[],""
312,"main_hand_base_weapon_attack_duration_ms",1,"","",3,"","","","","","","","","","","","","","",1,665085975,[],"",1,"",1,[],[],""
313,"off_hand_base_weapon_attack_duration_ms",1,"","",3,"","","","","","","","","","","","","","",1,117725417,[],"",1,"",1,[],[],""
314,"main_hand_minimum_attack_distance","","","",3,"","","","","","","","","","",1,1,"","",1,38658113,[],"",1,"",1,[1],[],""
315,"off_hand_minimum_attack_distance","","","",3,"","","","","","","","","","",1,1,"","",1,1490890102,[],"",1,"",1,[1],[],""
316,"main_hand_base_maximum_attack_distance",1,"","",3,"","","","","","","","","","",1,"","","",1,1424223654,[],"",1,"",1,[],[],""
317,"off_hand_base_maximum_attack_distance",1,"","",3,"","","","","","","","","","",1,"","","",1,1638647292,[],"","","",1,[],[],""
318,"main_hand_quality","","","",1,"","","","","","","","","","","","","","",1,3710972830,[],"","","",1,[],[],""
319,"off_hand_quality","","","",1,"","","","","","","","","","","","","","",1,3318974368,[],"","","",1,[],[],""
320,"base_spell_critical_strike_multiplier_+","","","",3,"","","","","","","","","","","","","","",1,1749887114,[],4,"","",1,[],[],""
321,"spell_critical_strike_multiplier_+",1,"","",3,"","","","","","","","","","","",1,"","","",2939596754,[],"","","",1,[3],[],""
322,"is_trap",1,"","",4,"Skill Placed as Trap","L'Aptitude est utilisée sous forme de Piège","Als Falle platzierte Fertigkeit","スキルはトラップとして設置されるか","스킬을 덫 형태로 시전","Habilidade Colocada como Armadilha","Умение установленное в ловушку","Habilidad Colocada como Trampa","สกิลที่วางเป็นกับดัก","技能由陷阱施放",1,"","","",1,3548576365,[],"",1,"","",[],[],""
323,"weapon_elemental_damage_+%",1,"","",1,"Weapon Elemental Damage +%","+% aux Dégâts élémentaires de l'arme","Waffenelementarschaden +% ","武器による元素ダメージ +%","무기 원소 피해 +%","+% de Dano Elemental da Arma","Урон от стихий оружием +%","Daño elemental de arma +%","ความเสียหาย ธาตุ ของอาวุธ +%","武器元素傷害 +%","","","","",1,2334060960,[],"","","",1,[],[],""
324,"staff_stun_duration_+%","","","",1,"","","","","","","","","","","","","","",1,3794290333,[],18,"","",1,[],[],""
325,"two_handed_melee_physical_damage_+%",1,"","",1,"","","","","","","","","","","","","","",1,2947492087,[],1,"","",1,[],[],""
326,"two_handed_melee_stun_duration_+%",1,"","",1,"","","","","","","","","","","","","","",1,2994912711,[],6,"","",1,[],[],""
327,"two_handed_melee_attack_speed_+%",1,"","",1,"","","","","","","","","","","","","","",1,1092730748,[],3,"","",1,[],[],""
328,"two_handed_melee_accuracy_rating_+%",1,"","",1,"","","","","","","","","","","","","","",1,2163943616,[],5,"","",1,[],[],""
329,"physical_damage_while_dual_wielding_+%",1,"","",1,"","","","","","","","","","","","","","",1,1758582977,[],1,"","",1,[],[],""
330,"one_handed_melee_physical_damage_+%",1,"","",1,"","","","","","","","","","","","","","",1,3584405402,[],1,"","",1,[],[],""
331,"one_handed_melee_attack_speed_+%",1,"","",1,"","","","","","","","","","","","","","",1,2080132379,[],3,"","",1,[],[],""
332,"one_handed_melee_accuracy_rating_+%",1,"","",1,"","","","","","","","","","","","","","",1,3227746128,[],5,"","",1,[],[],""
333,"base_stun_duration_+%",1,"","",1,"Base Stun Duration +%","+% à la Durée de base de l'Étourdissement","Basis-Betäubungsdauer +% ","基本スタン持続時間 +%","기본 기절 지속시간 +%","+% de Duração Base de Atordoamento","Увеличение длительности оглушения +%","Duración base del aturdimimento +%","ระยะเวลาพื้นฐานของสถานะ สตัน +%","基礎暈眩持續時間 +%","","","","",1,4040920316,[],6,"","",1,[],[],""
334,"bow_stun_duration_+%",1,"","",1,"","","","","","","","","","","","","","",1,3518518473,[],6,"","",1,[],[],""
335,"base_life_gain_per_target","","","",3,"Life Gained On Hit","Vie gagnée au toucher","Lebenserhalt bei Treffer","ヒット時ライフ獲得","명중 시 생명력 획득","Vida Obtida ao Acertar","Здоровье за удар","Vida ganada al impactar","พลังชีวิตที่ได้รับ เมื่อปะทะ","擊中生命回復","","","","",1,1079790274,[],6,"","",1,[],[],""
336,"corpse_explosion_monster_life_%",1,"","",1,"","","","","","","","","","","","","","",1,3974364080,[],"","","",1,[],[],""
337,"skill_level",1,"","",3,"","","","","","","","","","","","","","",1,1027427812,[],"","","",1,[],[],""
338,"action_speed_-%",1,"","",1,"","","","","","","","","","",1,"","","",1,1631261654,[],3,"","",1,[],[],""
339,"skill_art_variation",1,"","",3,"","","","","","","","","","",1,"","","",1,3654290365,[],"",1,"","",[],[],""
340,"always_crit",1,"","",4,"","","","","","","","","","","","","","",1,1101922,[],"","","","",[],[],""
341,"damage_infusion_%",1,"","",1,"","","","","","","","","","","","","","",1,3198482437,[],"","","",1,[],[],""
342,"chaos_damage_taken_per_minute",1,"","",3,"","","","","","","","","","",1,1,"","",1,1701278811,[],"",1,"",1,[0],[],""
343,"base_fire_damage_to_deal_per_minute",1,"","",3,"","","","","","","","","","",1,"","","",1,3634767425,[],"",1,"",1,[],[6],""
344,"add_frenzy_charge_on_kill",1,"","",4,"","","","","","","","","","","","","","",1,1645150511,[],"","","","",[],[],""
345,"base_fire_damage_to_deal_to_nearby_per_minute",1,"","",3,"","","","","","","","","","","","","","",1,1887141931,[],"",1,"",1,[],[],""
346,"base_physical_damage_taken_per_minute","","","",3,"","","","","","","","","","","","","","",1,1089972948,[],"",1,"",1,[],[],""
347,"spell_minimum_base_lightning_damage_per_removable_power_charge",1,"","",3,"","","","","","","","","","","","","","",1,2044354549,[],"",1,"",1,[],[],""
348,"spell_maximum_base_lightning_damage_per_removable_power_charge",1,"","",3,"","","","","","","","","","","","","","",1,2951795889,[],"",1,"",1,[],[],""
349,"base_skill_effect_duration",1,"","",3,"","","","","","","","","","",1,"","","",1,3797695503,[],"",1,"",1,[],[],""
350,"skill_effect_duration",1,"","",3,"","","","","","","","","","",1,1,"","",1,3364360930,[],"","","",1,[34],[],""
351,"buff_effect_duration",1,"","",3,"","","","","","","","","","",1,1,"","",1,411997686,[],"","","",1,[34],[],""
352,"buff_effect_duration_+%_per_removable_endurance_charge",1,"","",3,"Buff/Debuff Duration increase per Endurance Charge","Augmentation de durée des effets bénéf./néfastes par Charge d'endurance","Verlängerung der Stärkungs-/Schwächungsdauer pro Widerstands-Ladung","エンデュランスチャージ1個ごとのバフ/デバフ持続時間増加","인내 충전 하나당 버프/디버프 지속시간 증가","Aumento da Duração de Bônus/Penalidades por Carga de Tolerância.","Увеличение длительности полож./отриц. эффекта за заряд выносливости","Aumento de la duración de los efectos beneficiosos y nocivos por cada carga de aguante","เพิ่มระยะเวลาของ บัฟ/ดีบัฟ ตามจำนวน Endurance Charge","每顆耐力球增加增益/減益效果持續時間","","","","",1,1452391054,[],"","","",1,[],[],""
353,"buff_effect_duration_+%_per_removable_endurance_charge_limited_to_5",1,"","",3,"Buff/Debuff Duration increase per Endurance Charge","Aug. de durée des effets bénéfiques/néfastes par Charge d'endurance","Verlängerung der Stärkungs-/Schwächungsdauer pro Widerstands-Ladung","エンデュランスチャージ1個ごとのバフ/デバフ持続時間増加","인내 충전 하나당 버프/디버프 지속시간 증가","Aumento da Duração de Bônus/Penalidades por Carga de Tolerância.","Увеличение длительности полож./отриц. эффекта за заряд выносливости","Aumento de la duración de los efectos beneficiosos y nocivos por cada carga de aguante","เพิ่มระยะเวลาของ บัฟ/ดีบัฟ ตามจำนวน Endurance Charge","每顆耐力球增加增益/減益效果持續時間","","","","",1,1061856661,[],"","","",1,[],[],""
354,"local_base_evasion_rating","",1,"",3,"Local Base Evasion Rating","Score d'Évasion de base local","Lokal: Basis-Ausweichwert","ローカル 基本回避力","특정 기본 회피","Evasão Local base","Уклонение","Evasión local base","อัตราการหลบหลีกพื้นฐาน ของไอเทม","此物品基本閃避值","","","","",1,2317586958,[],"","","",1,[],[],""
355,"local_base_physical_damage_reduction_rating","",1,"",3,"Local Base Physical Damage Reduction Rating","Taux de Réduction local des Dégâts physiques de base","Lokal: Physische Basis-Schadensminderung","ローカル 基本物理ダメージ軽減割合","특정 기본 물리 피해 감소 등급","Redução de Dano Físico Local Base","Снижение получаемого физического урона","Índice de Redución de Daño Físico Local Base","การลดอัตราป้องกันกายภาพพื้นฐาน ของไอเทม","此物品基本物理傷害減少值","","","","",1,4144227533,[],"","","",1,[],[],""
356,"base_attack_speed_+%_per_frenzy_charge","","","",1,"Attack Speed increase per Frenzy Charge","Augmentation de la Vitesse d'attaque par Charge de frénésie","Erhöhte Angriffsgeschwindigkeit pro Raserei-Ladung","フレンジーチャージ1個ごとのアタックスピード増加","격분 충전 하나당 공격 속도 증가","Aumento da Velocidade de Ataque por Carga de Frenesi","Ускорение атак за заряд ярости","Aumento de Velocidad de Ataque por cada Carga de Frenesí","เพิ่มความเร็วในการโจมตีต่อจำนวน Frenzy Charge","每個狂怒球增加攻擊速度","","","","",1,27707373,[],18,"","",1,[],[],""
