"rownum","Id","Term","Term (French)","Term (German)","Term (Japanese)","Term (Korean)","Term (Portuguese)","Term (Russian)","Term (Spanish)","Term (Thai)","Term (Traditional Chinese)","Definition","Definition (French)","Definition (German)","Definition (Japanese)","Definition (Korean)","Definition (Portuguese)","Definition (Russian)","Definition (Spanish)","Definition (Thai)","Definition (Traditional Chinese)","string_24","string_32","string_32 (French)","string_32 (German)","string_32 (Japanese)","string_32 (Korean)","string_32 (Portuguese)","string_32 (Russian)","string_32 (Spanish)","string_32 (Thai)","string_32 (Traditional Chinese)"
288,"Overflow","Overflow","Déborder","Überfüllen","オーバーフロー","넘침","Transbordamento","Переполнение","Rebosamiento","เอ่อล้น","溢出","Recovery which Overflows its maximum can be recovered up to 1.5 times that maximum.","La Récupération qui Déborde de son maximum peut être récupérée jusqu'à 1,5 fois ce maximum.","Wiederherstellung, die über ihr Maximum hinaus überfüllt, kann bis zum 1,5-fachen dieses Maximums wiederherstellen.","最大値をオーバーフローした回復は、その最大値の1.5倍まで回復できる。","최대치를 초과하여 넘치는 회복량이 해당 최대치의 1.5배까지 회복시킬 수 있습니다.","A recuperação que excede seu máximo pode ser recuperada em até 1,5 vez esse máximo.","Восстановление, переполняющее максимум, может восстановить ресурс до величины в 1,5 раза больше этого максимума.","La recuperación que rebosa de su máximo se puede recuperar hasta 1.5 veces ese máximo.","การเติมที่ เอ่อล้น เกินค่าสูงสุด จะสามารถเติมได้มากที่สุดเป็น 1.5 เท่าของค่าสูงสุดนั้น","溢出的恢復量若超過上限，最多可恢復該上限的兩倍。","","","","","","","","","","",""
289,"Command","Minion Commands","Ordres aux Créatures","Kreaturenbefehle","ミニオンコマンド","소환수 명령","Comandar Lacaios","Приказы приспешникам","Órdenes para los esbirros","สั่งการมิเนียน","召喚物號令","Some [Minion|Minions] can be Commanded to perform certain actions. This requires you to use the corresponding Command skill, which will cause one of your [Minion|Minions] to carry out the Command.","Vous pouvez Ordonner à certaines [Minion|Créatures] d'effectuer certaines actions. Pour cela, utilisez l'aptitude d'Ordre correspondante afin que l'une de vos [Minion|Créatures] exécute l'Ordre concerné.","Einigen [Minion|Kreaturen] kann befohlen werden, bestimmte Aktionen auszuführen. Dazu muss die entsprechende Befehlsfertigkeit genutzt werden, die eine [Minion|Kreatur] veranlasst, den Befehl auszuführen.","[Minion|ミニオン]の中にはコマンドすることで特定のアクションを起こさせることができるものもいる。これをするには対応するコマンドスキルを使用する必要があり、それを使用することで[Minion|ミニオン]のうちの一体にその命令を実行させることができる。","일부 [Minion|소환수]에게는 명령을 통해 특정 동작을 수행하게 할 수 있습니다. 그러려면 해당하는 명령 스킬을 사용해야 하고, 스킬을 사용하면 [Minion|소환수] 중 하나가 명령을 이행합니다.","Alguns [Minion|Lacaios] podem ser Comandados a realizar certas ações. Isso requer que você use a habilidade de Comando correspondente, que fará com que um dos seus [Minion|Lacaios] execute o Comando.","Некоторым [Minion|приспешникам] можно отдать приказ выполнить определённые действия. Это требует использования соответствующего умения приказов, которое заставит одного из ваших [Minion|приспешников] выполнить приказ.","A algunos [Minion|esbirros] se les pueden dar órdenes para que realicen ciertas acciones. Para esto tendrás que utilizar la habilidad de Orden correspondiente, que hará que uno de tus [Minion|esbirros] lleve a cabo la orden.","[Minion|มิเนียน]บางตัวสามารถรับการ สั่งการ ให้ทำการกระทำบางอย่างได้ โดยคุณจะต้องใช้สกิลสั่งการที่เกี่ยวข้องกันเพื่อให้[Minion|มิเนียน]ตัวหนึ่งของคุณทำตามการสั่งการนี้","部分[Minion|召喚物]可以聽從號令以執行特定的動作。這需要你使用對應的號令技能，讓你的[Minion|召喚物]之一執行指令。","","","","","","","","","","",""
290,"AtlasDifficulty","Difficulty","Difficulté","Schwierigkeit","難易度","난이도","Dificuldade","Сложность","Dificultad","ระดับความยาก","難度","Difficulty causes monsters to have increased damage and life, as well as improving the items they drop.\r\n\r\nCertain Bosses with increased difficulty will gain new abilities and begin to drop exclusive items, and have a reduced number of [LimitedRespawn|Respawn Attempts].\r\n\r\nDifficulty above 4 has no additional effect.","La Difficulté augmente les dégâts et la vie des monstres, tout en améliorant les objets qu'ils cèdent.\r\n\r\nCertains Boss obtiennent de nouvelles aptitudes, cèdent des objets exclusifs et ont un nombre réduit de [LimitedRespawn|Résurrections disponibles] lorsque leur difficulté est accrue. \r\n\r\nUne difficulté supérieur à 4 n'a aucun effet supplémentaire.","Schwierigkeit erhöht den Schaden und das Leben von Monstern und verbessert die Gegenstände, die sie fallen lassen.\r\n\r\nBestimmte Bosse mit erhöhter Schwierigkeit erhalten neue Fertigkeiten und können exklusive Gegenstände fallen lassen. Sie haben außerdem eine verringerte Anzahl an [LimitedRespawn|Wiederbelebungsversuchen].\r\n\r\nSchwierigkeit über 4 hat keinen zusätzlichen Effekt.","難易度は、モンスターのダメージとライフを増加させるとともに、よりよいアイテムがドロップするようにする。\r\n\r\n特定のボスの難易度を上げると、新アビリティを使用するになり、限定アイテムをドロップするようになり、[LimitedRespawn|リスポーン試行回数]が少なくなる。\r\n\r\n4以上の難易度は追加の効果を持たない。","난이도가 올라가면 몬스터의 피해와 생명력이 증가하고, 몬스터가 떨어뜨리는 아이템이 좋아집니다.\r\n\r\n특정 보스는 난이도가 올라가면 새로운 능력을 사용하고 다른 곳에서는 나오지 않는 아이템을 떨어뜨리기도 하며, [LimitedRespawn|재소환 횟수]는 줄어듭니다.\r\n\r\n4 위의 난이도에는 추가적인 효과가 없습니다.","Dificuldade faz com que monstros tenham dano e vida aumentados, além de melhorar os itens que eles derrubam. \r\n\r\nCertos Chefes com dificuldade aumentada ganharão novas habilidades, começarão a derrubar itens únicos e terão um número reduzido de [LimitedRespawn|Tentativas de Renascimento]. \r\n\r\nDificuldade acima de 4 não tem efeito adicional.","Сложность увеличивает урон и здоровье монстров, а также улучшает выпадающие из них предметы.\r\n\r\nНекоторые боссы с увеличением сложности приобретают новые способности и начинают приносить эксклюзивные предметы, имея при этом сниженное число [LimitedRespawn|попыток возрождения].\r\n\r\nСложность выше 4 не имеет дополнительных эффектов.","La dificultad otorga a los monstruos daño y vida aumentados y también mejora los objetos que arrojan al morir.\r\n\r\nCiertos jefes con dificultad aumentada ganarán nuevas habilidades, empezarán a dar objetos exclusivos y tendrán una cantidad reducida de [LimitedRespawn|oportunidades para resucitar].\r\n\r\nLa dificultad superior al 4 no tiene ningún efecto adicional.","ระดับความยาก ทำให้มอนสเตอร์มีความเสียหายและพลังชีวิต เพิ่มขึ้น และยังทำให้พวกมันดรอปไอเทมที่ดีกว่าเดิมอีกด้วย\r\n\r\nบอสบางตัวที่มีระดับความหายากเพิ่มขึ้นจะมีความสามารถใหม่ และเริ่มดรอปไอเทมเฉพาะตัว และมีจำนวน[LimitedRespawn|สิทธิ์คืนชีพ]ที่ลดลง\r\n\r\nระดับความหายากที่สูงกว่า 4 ไม่ให้ผลใดๆ เพิ่มเติม","難度會使怪物的傷害和生命增加，同時提升它們掉落的物品。\r\n\r\n難度增加時，特定頭目會取得新能力，並開始掉落特有物品，同時也會減少[LimitedRespawn|嘗試重生次數]。\r\n\r\n高於 4 的難度並無額外效果。","","","","","","","","","","",""
291,"LimitedRespawn","Revival Availability","Disponibilité des Résurrections","Wiederbelebungsverfügbarkeit","リスポーン試行回数","부활 횟수","Disponibilidade de Renascimentos","Попытки возрождения","Disponibilidad para resucitar","สิทธิ์คืนชีพ","可用的復活","Most endgame content allows for a limited number of deaths before you can no longer access the area. Most areas allow unlimited leaving and re-entry for other reasons except while fighting a boss.\r\n\r\nOn death during a boss fight, the [MapOwner|Map Owner] may respawn all players into a new instance of the area to attempt the boss fight again.\r\n\r\nThe number of modifiers on a [Waystone] will reduce the number of Revivals available allowed when opening a Map. For pinnacle endgame content, increased [AtlasDifficulty|Difficulty] will reduce the number of Revivals available.","La plupart des contenus d'endgame autorisent un nombre limité de morts avant que vous ne puissiez plus accéder à la zone. Tant que vous ne combattez pas un boss, vous pouvez entrer et sortir de la plupart des zones autant de fois que vous le souhaitez (pour effectuer des échanges ou stocker vos objets, par exemple).\r\n\r\nEn cas de mort durant un combat de boss, le [MapOwner|Propriétaire de la Carte] a la possibilité de ressusciter tous les joueurs dans une nouvelle instance de la zone afin de retenter le combat contre le boss.\r\n\r\nÀ savoir : augmenter le nombre de modificateurs d'une [Waystone|Pierre de téléportation] réduira le nombre de Résurrections disponbiles lors de l'ouverture d'une Carte. Pour le contenu d'endgame final, augmenter la [AtlasDifficulty|Difficulté] réduira le nombre de Résurrections disponibles.","Die meisten Endgame-Inhalte erlauben eine begrenzte Anzahl von Toden, bevor man das Gebiet nicht mehr betreten kann. Die meisten Gebiete erlauben es, sie unbegrenzt häufig zu verlassen und wiederzubetreten aus anderen Gründen, außer beim Boss-Kampf.\r\n\r\nWenn man während eines Bosskampfes stirbt, kann der [MapOwner|Kartenbesitzer] alle Spieler in einer neuen Instanz des Gebiets wiederbeleben, um den Bosskampf erneut zu versuchen.\r\n\r\nDie Anzahl der Modifikatoren auf einem [Waystone|Wegstein] reduziert die Anzahl der Wiederbelebungen, die beim Öffnen einer Karte möglich sind. Bei Endgame-Inhalten verringert eine erhöhte [AtlasDifficulty|Schwierigkeit] die Anzahl der verfügbaren Wiederbelebungen.","特定のボスは、限られた回数だけリスポーン試行を行うことができる。死亡時に、[MapOwner|マップ所有者]は、全てのプレイヤーをエリアの新インスタンスにリスポーンさせボスと再度戦うことを選択できる。\r\n\r\n[AtlasDifficulty|難易度]を上げると、使用可能なリスポーン試行回数が少なくなる。","대부분의 엔드게임 콘텐츠에서는 일정 횟수만큼 사망하면 그 지역에 다시 들어갈 수 없게 됩니다. 대부분의 지역에서는 보스 전투 중일 때를 제외하면 횟수 제한 없이 나갔다가 다시 들어올 수 있습니다.\r\n\r\n보스 전투 중에 사망하면 [MapOwner|지도 소유자]가 모든 플레이어를 그 지역의 새로운 인스턴스로 재소환해 보스 전투에 다시 도전할 수 있습니다.\r\n\r\n[Waystone|경로석]에 붙은 속성의 수에 따라, 지도를 열 때 허용되는 부활 횟수가 감소합니다. 최종 엔드게임 콘텐츠에서는 [AtlasDifficulty|난이도]가 올라가면 부활 횟수가 줄어듭니다.","A maior parte do conteúdo do endgame permite um número limitado de mortes antes que você não possa mais acessar a área. A maioria das áreas permite sair e entrar novamente sem limites por outros motivos, exceto durante a luta contra um chefe.\r\n\r\nAo morrer durante uma luta contra chefe, o [MapOwner|Dono do Mapa] pode ressuscitar todos os jogadores em uma nova instância da área para tentar passar pela luta novamente.\r\n\r\nO número de modificadores em uma [Waystone|Pedra Guia] reduzirá a quantidade de Ressurgimentos disponíveis ao abrir um Mapa. Para o conteúdo do endgame supremo, o aumento da [AtlasDifficulty|Dificuldade] reduzirá o número de Ressurgimentos disponíveis.","Некоторые боссы допускают ограниченное число попыток возрождения. При смерти [MapOwner|владелец карты] может возродить всех персонажей в новой копии области, чтобы попытаться одолеть босса вновь.\r\n\r\nУвеличенная [AtlasDifficulty|сложность] сократит число допустимых попыток возрождения.","La mayor parte del contenido del final del juego permite un número limitado de muertes antes de que ya no puedas acceder al área. La mayoría de las áreas te permiten entrar y salir de ellas ilimitadamente por otras razones, la única excepción es cuando luchas contra un jefe.\r\n\r\nAl morir en una pelea contra un jefe, el [MapOwner|dueño del mapa] puede resucitar a todos los jugadores en una nueva instancia del área para volver a intentar la pelea contra el jefe.\r\n\r\nLa cantidad de modificadores de una [Waystone|piedra guía] reducirá la cantidad de veces que se puede resucitar al abrir un mapa. En el contenido de los jefes finales, el aumento de la [AtlasDifficulty|dificultad] reducirá el número de oportunidades disponibles para resucitar.","เนื้อหาท้ายเกมส่วนใหญ่ให้โอกาสคุณตายได้เป็นจำนวนจำกัดก่อนที่คุณจะไม่สามารถกลับเข้าไปในด่านได้อีก ด่านส่วนใหญ่เปิดโอกาสให้เข้าออกได้โดยไม่จำกัด เว้นแต่ในยามที่ต่อสู้กับบอส\r\n\r\nเมื่อคุณตายขณะที่ทำการต่อสู้กับบอส [MapOwner|เจ้าของแผนที่]มีสามารถคืนชีพผู้เล่นทุกคนในอินสแตนซ์ใหม่เพื่อทำการต่อสู้กับบอสอีกครั้ง\r\n\r\nจำนวนม็อดของ[Waystone|ศิลานำทาง]จะลดจำนวนสิทธิ์คืนชีพที่สำหรับการเปิดแผนที่แต่ละครั้ง หากเป็นเนื้อหาอภิมหาบอส การเพิ่ม[AtlasDifficulty|ระดับความยาก]จะลดจำนวนสิทธิ์คืนชีพ","大部分的終局內容允許你在其中死亡，達到次數限制後，便無法再次進入區域。除了與頭目戰鬥的時候之外，大部分的區域允許因其他原因而無限次數的離開和重新進入。\r\n\r\n在頭目戰中死亡時，[MapOwner|地圖擁有者]可以讓所有玩家在一個新的區域副本中重生，再次嘗試與頭目戰鬥。\r\n\r\n在開啟地圖時，[Waystone|換界石]上的詞綴數量會減少可用的復活次數。在巔峰終局內容中，增加[AtlasDifficulty|難度]會減少可用的復活次數。","","","","","","","","","","",""
292,"MapBoss","Map Boss","Boss de Carte","Kartenboss","マップボス","지도 보스","Chefe de Mapa","Босс карты","Jefe de mapa","บอสประจำแผนที่","地圖頭目","Endgame Maps each contain a Map Boss. These Map Bosses are Unique Monsters that have special mechanics and drop increased rewards.\r\n\r\nDefeating the Map Boss will complete the Map.","Les Cartes d'endgame contiennent chacune un Boss de Carte. Ces Boss de Carte sont des monstres Uniques dotés de mécaniques spéciales, et qui cèdent de meilleures récompenses.","Jede Endgame-Karte enthält einen Kartenboss. Diese Kartenbosse sind einzigartige Monster, die über besondere Mechaniken verfügen und deutlich erhöhte Belohnungen fallen lassen.\r\n\r\nDas Besiegen eines Kartenbosses schließt die Karte ab.","それぞれのエンドゲームマップにはマップボスが出現する。このマップボスは特にユニークモンスターで、特別なメカニクスを持ち、大幅に増加した量の報酬をドロップする。\r\n\r\nマップボスを倒すとマップを完了することができる。","엔드게임 지도에는 지도 보스가 등장합니다. 지도 보스는 특별한 메커니즘을 사용하며 더 많은 보상을 떨어뜨리는 고유 몬스터입니다.\r\n\r\n지도 보스를 쓰러뜨리면 지도가 완료됩니다.","Os mapas de fim de jogo têm um chefe de mapa, que é um monstro único com mecânicas especiais e recompensas aumentadas.\r\n \r\n Derrotar o chefe de mapa concluirá o mapa.","На каждой высокоуровневой карте встречается босс. Такие боссы – это уникальные монстры, которые обладают специальными механиками и приносят увеличенные награды.","Cada mapa del final del juego contiene un jefe de mapa. Estos jefes de mapa son monstruos únicos que tienen mecánicas especiales y dan recompensas aumentadas.\r\n\r\nCuando derrotes al jefe del mapa, completarás el mapa.","แผนที่ช่วงท้ายเกมแต่ละด่านจะมี บอสประจำแผนที่ บอสประจำแผนที่เหล่านี้เป็นมอนสเตอร์ยูนิคที่มีกลไกพิเศษและดรอปของรางวัลเพิ่มขึ้นไปจากเดิม\r\n\r\nคุณสามารถผ่านแผนที่ได้ด้วยการสยบบอสประจำแผนที่","終局地圖中通常會含有一個地圖頭目。這些地圖頭目是具有特殊機制的傳奇怪物，且掉落的獎勵會大幅增加。","","","","","","","","","","",""
293,"PowerfulMapBoss","Powerful Map Boss","Boss de Carte puissant","Mächtiger Kartenboss","強力なマップボス","강한 지도 보스","Chefe de Mapa Poderoso","Могучий босс карты","Jefe de mapa poderoso","บอสประจำแผนที่ที่ทรงพลัง","強大地圖頭目","Powerful Map Bosses are [MapBoss|Map Bosses] that are even more difficult and drop even better rewards.\r\n\r\nPowerful Map Bosses frequently drop [Waystone|Waystones] one Tier higher.","Les Boss de Carte puissants sont des [MapBoss|Boss de Carte] encore plus difficiles et qui cèdent d'encore meilleures récompenses.\r\n\r\nLes Boss de Carte puissants cèdent souvent des [Waystone|Pierres de téléportation] plus élevées d'un Palier.","Mächtige Kartenbosse sind [MapBoss|Kartenbosse], die schwerer zu besiegen sind und bessere Beute fallen lassen.\r\n\r\nMächtige Kartenbosse lassen oft [Waystone|Wegsteine] eines höheren Levels fallen.","強力なマップボスとはより強力になった[MapBoss|マップボス]でさらに多くの報酬をドロップする。\r\n\r\n強力なマップボスは頻繁に1ティア高い[Waystone|ウェイストーン]をドロップする。","강한 지도 보스는 더 난이도가 높고 더 좋은 보상을 떨어뜨리는 [MapBoss|지도 보스]입니다.\r\n\r\n강한 지도 보스는 한 등급 높은 [Waystone|경로석]을 높은 빈도로 떨어뜨립니다.","Chefes de mapa poderosos são [MapBoss|chefes de mapa] ainda mais difíceis que largam recompensas melhores.\r\n \r\n Chefes de mapa poderosos costumam largar [Waystone|Pedras-guia] de um nível superior.","Могучие [MapBoss|боссы карт] ещё сложнее обычных и приносят ещё более увеличенные награды.\r\n\r\nИз могучих боссов карт часто выпадают [Waystone|путевые камни] на один уровень выше.","Los jefes de mapa poderosos son [MapBoss|jefes de mapa] que son aún más difíciles y dan recompensas aún mejores.\r\n\r\nLos jefes de mapa poderosos suelen dar [Waystone|piedras guía] de un grado superior al morir.","บอสประจำแผนที่ที่ทรงพลัง คือบอสประจำแผนที่ที่ยากยิ่งกว่าเดิมและดรอปของรางวัลที่ดียิ่งกว่าเดิม\r\n\r\nบอสประจำแผนที่ที่ทรงพลังมักจะดรอป[Waystone|ศิลานำทาง]ที่มีระดับสูงขึ้น 1 ระดับอยู่บ่อยครั้ง","強大地圖頭目是更為難纏的 [MapBoss|地圖頭目]，並且會掉落更好的獎勵。\r\n強大地圖頭目經常掉落高一個階的 [Waystone|換界石]。","","","","","","","","","","",""
294,"ContainsMapBoss","Empowerment","Amélioration","Ermächtigung","強化","강화","Fortalecimento","Усиление","Potenciación","การเสริมฤทธิ์","強化 ","Empowering a [MapBoss|Map Boss] upgrades it to a [PowerfulMapBoss|Powerful Map Boss]","Améliorer un [MapBoss|Boss de Carte] le transforme en un [PowerfulMapBoss|Boss de Carte puissant].","Einen [MapBoss|Kartenboss] zu ermächtigen, wertet ihn zu einem [PowerfulMapBoss|mächtigen Kartenboss] auf.","[MapBoss|マップボス]を強化すると、[PowerfulMapBoss|強力なマップボス]にアップグレードする。","[MapBoss|지도 보스]를 강화하면 [PowerfulMapBoss|강한 지도 보스]로 업그레이드됩니다.","Fortalecer um [MapBoss|chefe de mapa] o atualiza para um [PowerfulMapBoss|chefe de mapa poderoso].","Усиление [MapBoss|босса карты] превращает его в [PowerfulMapBoss|могучего босса карты]","Potenciar un [MapBoss|jefe de mapa] lo convierte en un [PowerfulMapBoss|jefe de mapa poderoso]","การเสริมฤทธิ์ให้กับ[MapBoss|บอสประจำแผนที่]จะอัพเกรดมันให้เป็น[PowerfulMapBoss|บอสประจำแผนที่ที่ทรงพลัง]","強化一個[MapBoss|地圖頭目]使其升級成[PowerfulMapBoss|強大地圖頭目]","","","","","","","","","","",""
295,"WakingNightmare","Waking Nightmare","Cauchemar éveillé","Erwachender Albtraum","目覚めた悪夢","살아있는 악몽","Pesadêlo Desperto","Кошмар наяву","Pesadilla viviente","Waking Nightmare","清醒夢魘","This [Debuff|Debuff] causes you take 10% increased damage and have 10% reduced Light Radius for 10 seconds per stack.","Pour chaque cumul de cet [Debuff|Effet néfaste], vous avez 10% d'Augmentation des Dégâts subis et 10% de Réduction de Rayonnement lumineux pendant 10 secondes.","Diese [Debuff|Schwächung] verursacht 10% erhöhten erlittenen Schaden und einen 10% verkleinerten Lichtradius für 10 Sekunden pro Stapel.","この[Debuff|デバフ]はスタックごとにプレイヤーが受けるダメージを10%増加させ、光半径を10%減少させる。10秒間持続する。","이 [Debuff|디버프]에 걸리면 받는 피해가 10% 증가하고 중첩 하나당 10초 동안 시야 반경이 10% 감소합니다.","Este [Debuff|Debuff] faz com que você sofra dano aumentado em 10% e tenha o Campo de Visão reduzido em 10% por 10 segundos por contador.","Этот [Debuff|отрицательный эффект] заставляет вас получать увеличенный на 10% урон и уменьшает ваш радиус обзора на 10% на 10 секунд за каждый заряд.","Este [Debuff|efecto nocivo] hace que recibas el daño aumentado en un 10% y que tengas el radio de iluminación reducido en un 10% durante 10 segundos por cada acumulación.","[Debuff|ดีบัฟ]นี้ทำให้คุณได้รับความเสียหาย เพิ่มขึ้น 10% และมีรัศมีแสง ลดลง 10% 10 วินาทีต่อจำนวนระดับ","此[Debuff|減益效果]每層使你受到的傷害增加 10%，光線範圍減少 10%，持續 10 秒","","","","","","","","","","",""
296,"Toughness","Toughness","Robustesse","Widerstandsfähigkeit","タフネス","강인함","Dureza","Стойкость","Dureza","ความทรหด","堅韌","The higher toughness a monster has, the less damage it takes. A monster with 100% increased Toughness takes 50% less damage, a monster with 200% increased toughness takes 67% less damage, and so on. Reduced toughness causes monsters to take more damage.","Plus la robustesse d'un monstre est élevée, moins il subit de dégâts. Un monstre ayant 100% d'augmentation de robustesse a 50% de perte de dégâts subis, un monstre ayant 200% d'augmentation de robustesse a 67% de perte de dégâts subis et ainsi de suite. En cas de réduction de robustesse, les monstres subissent davantage de dégâts.","Je höher die Widerstandsfähigkeit des Monster ist, desto weniger Schaden erleidet es. Ein Monster mit 100% erhöhter Widerstandsfähigkeit erleidet 50% weniger Schaden, ein mit Monster mit 200% erhöhter Widerstandsfähigkeit erleidet 67% weniger Schaden und so weiter. Verringerter Widerstandsfähigkeit sorgt dafür, dass Monster mehr Schaden erleiden.","タフネスの数値が高くなるほど、その敵が受けるダメージが低下する。タフネスが100%増加したモンスターは受けるダメージが50%低下し、タフネスが200%増加したモンスターは受けるダメージが67%低下し、このような効果が起きる。タフネスが減少するとモンスターが受けるダメージは上昇する。","몬스터의 강인함이 높을수록 해당 몬스터가 받는 피해가 감폭됩니다. 강인함이 100% 증가한 몬스터는 받는 피해가 50% 감폭되고, 강인함이 200% 증가한 괴물은 받는 피해가 67% 감폭됩니다. 강인함이 감소하면 몬스터가 받는 피해가 증폭됩니다.","Quanto maior a resistência de um monstro, menos dano ele recebe. Um monstro com resistência aumentada em 100% sofre 50% menos dano, um monstro com resistência aumentada em 200% sofre 67% menos dano, e assim por diante. Resistência reduzida faz com que os monstros recebam mais dano.","Чем выше стойкость монстра, тем меньше урона он получает. Монстр с на 100% увеличенной стойкостью получает на 50% меньше урона, монстр с на 200% увеличенной стойкостью получает на 67% меньше урона и так далее. Сниженная стойкость заставляет монстров получать больше урона.","Cuanta mayor dureza tenga un monstruo, menos daño recibirá. Un monstruo con dureza aumentada un 100% recibe un 50% menos de daño, un monstruo con dureza aumentada un 200% recibe un 67% menos de daño, etc. La dureza reducida hace que los monstruos reciban más daño.","ยิ่งมอนสเตอร์มี ความทรหด มากเท่าไร มันยิ่งได้รับความเสียหาย ลดลง อีก เท่านั้น, มอนสเตอร์ที่มีความทรหด เพิ่มขึ้น 100% จะได้รับความเสียหาย ลดลง อีก 50% ส่วนมอนสเตอร์ที่มีความทรหด เพิ่มขึ้น 200% จะได้รับความเสียหาย ลดลง อีก 67% เป็นต้น, การลดความทรหดจะทำให้มอนสเตอร์ได้รับความเสียหายเพิ่มขึ้น","怪物的堅韌越高，他承受的傷害越少。堅韌增加 100% 的怪物會承受 50% 更少傷害，堅韌增加 200% 的怪物會承受 67% 更少傷害，以此類推。減少的堅韌會使怪物承受更多傷害。","","","","","","","","","","",""
297,"AilmentSpread","Spreading Ailments","Propagation des Altérations","Beeinträchtigungen übertragen","状態異常伝染","퍼지는 상태 이상","Propagação de Afecções","Распространение состояний","Propagación de estados alterados","สถานะเจ็บป่วยที่ลาม","散播異常狀態","Spreading an ailment inflicts a new, matching ailment on another target, from the same source. The new ailment can potentially spread further, but never back to the same target twice.","Lorsqu'une Altération se propage, elle inflige une nouvelle Altération sur une autre cible, provenant de la même source. La nouvelle Altération peut potentiellement se propager davantage, mais jamais deux fois sur la même cible.","Die Übertragung einer Beeinträchtigung verursacht eine neue, identische Beeinträchtigung bei einem anderen Ziel, die von derselben Quelle stammt. Die neue Beeinträchigung kann sich möglicherweise weiter übertragen, aber niemals zweimal auf dasselbe Ziel.","状態異常を伝染させるとは、共通のソースから一致する状態異常を他の対象に、新しく状態異常を付与することである。新しく付与した状態異常がさらに伝染することも可能であるが、同じ対象に二度付与し直すことはない。","상태 이상이 퍼지면, 다른 대상에게 그와 일치하는 상태 이상이 새로 유발됩니다. 새로운 상태 이상은 더 퍼질 수도 있지만, 같은 대상에게 두 번 이상 퍼지지는 않습니다.","Espalhar uma afecção aplica uma nova, correspondente, em outro alvo, da mesma fonte. A nova afecção pode se espalhar ainda mais, mas nunca de volta ao mesmo alvo duas vezes.","Распространение состояния накладывает из того же источника новое, такое же, состояние на другую цель. Новое состояние потенциально может распространиться дальше, но не на прежнюю цель.","Propagar un estado alterado aplica un estado alterado nuevo y coincidente en otro objetivo, desde la misma fuente. El nuevo estado alterado puede potencialmente propagarse también, pero nunca volver al objetivo anterior para aplicarse dos veces.","การทำให้สถานะเจ็บป่วย ลาม จะสร้างสถานะเจ็บป่วยใหม่ที่ตรงกันให้กับเป้าหมายอื่นจากแหล่งเดียวกัน สถานะเจ็บป่วยใหม่นี้สามารถลามไปได้เพิ่มเติม แต่จะไม่ลามกลับมาหาเป้าหมายเดิมเป็นครั้งที่สอง","散播異常狀態會從同樣的來源，對另一個目標造成新的對應異常狀態。新的異常狀態有繼續傳播的可能，但永遠無法回傳同樣的目標兩次。","","","","","","","","","","",""
298,"DanceWithDeath","Dance with Death","Danse avec la Mort","Tanz mit dem Tod","ダンスウィズデス","죽음의 춤","Dança com a Morte","Танец со смертью","Baile con la muerte","Dance with Death","與死共舞","25% more [SkillSpeed|Skill Speed] while Off Hand is empty and you have a [One-Handed] [MartialWeapon|Martial Weapon] equipped in your Main Hand.","Vous avez 25% davantage de [SkillSpeed|Vitesse des aptitudes] tant que votre Main secondaire est vide et que vous êtes équipé d'une [MartialWeapon|Arme martiale] à [One-Handed|Une main] dans votre Main principale.","25% mehr [SkillSpeed|Fertigkeitengeschwindigkeit], wenn die Nebenhand leer ist und ihr eine [One-Handed|einhändige] [MartialWeapon|Kampfwaffe] in eurer Haupthand ausgerüstet habt.","オフハンドに何も装備せず、[One-Handed|片手][MartialWeapon|マーシャル武器]をメインハンドに装備している時に、[SkillSpeed|スキルスピード]が25%上昇する。","보조 장비가 없고 주 무기로 [One-Handed|한손] [MartialWeapon|무도 무기]를 장착했을 때 [SkillSpeed|스킬 속도]가 25% 증폭됩니다.","25% mais Velocidade de Habilidade enquanto a Mão Secundária estiver vazia e você tiver uma [MartialWeapon|Arma Marcial] de [One-Handed|Uma Mão] equipada na Mão Principal.","На 25% большая [SkillSpeed|скорость умений], если левая рука свободна, а в правой [One-Handed|одноручное] [MartialWeapon|боевое] оружие.","25% más de [SkillSpeed|velocidad de habilidades] mientras la mano secundaria esté vacía y tengas un [MartialWeapon|arma marcial] [One-Handed|a una mano] equipada en tu mano principal.","เพิ่ม[SkillSpeed|ความเร็วในการใช้สกิล] อีก 25% ขณะ มือรอง ว่าง และคุณสวมใส่ [MartialWeapon|อาวุธจู่โจม][One-Handed|มือเดียว] อยู่ใน มือหลัก ของคุณ","副手無裝備且你的主手裝備[One-Handed|單手][MartialWeapon|軍用武器]時，得到 25% 更多[SkillSpeed|技能速度]。","","","","","","","","","","",""
