"rownum","Id","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Metadata","QuestFlags","NPCMasterKey","ShortName","ShortName (French)","ShortName (German)","ShortName (Japanese)","ShortName (Korean)","ShortName (Portuguese)","ShortName (Russian)","ShortName (Spanish)","ShortName (Thai)","ShortName (Traditional Chinese)","Act","NPCAudios1","NPCAudios2","HASH16","row_102","Portrait","DialogueStyle","ShopSet","Gender","bool_166","string_167","NPCType"
119,"Metadata/NPC/League/Heist/Fence","Faustus, the Fence","Faustus, le Receleur","Faustus der Hehler","故買人、ファースタス","장물거래인 파우스투스","Faustus, o Receptador","Фауст Скупщик","Faustus, el Perista ","ฟาวทัส พ่อค้าของโจร","銷貨商．弗斯特","Metadata/NPC/NPC","","","Faustus","Faustus","Faustus","ファースタス","파우스투스","Faustus","Фауст","Faustus","ฟาวทัส","弗斯特",0,[123],[124],14052,"",1,2,"","M",1,"",""
120,"Metadata/NPC/League/Heist/Driver","Adiyah, the Wayfinder","Adiyah, la Passe-muraille","Adiyah die Spurensucherin","道案内人、アーディア","길잡이 아디야","Adiyah, a Desbravadora","Адия Проводница","Adiyah, la Buscacaminos","อาดีย์ยา ผู้หาเส้นทาง","探路專家．阿迪雅","Metadata/NPC/NPC","","","Adiyah","Adiyah","Adiyah","アーディア","아디야","Adiyah","Адия","Adiyah","อาดีย์ยา","阿迪雅",0,[99],[100],29492,"",2,2,3,"F",1,"",""
121,"Metadata/NPC/League/Heist/Lockpick1","Karst, the Lockpick","Karst, le Crocheteur","Karst der Schlossknacker","ロックピック、カースト","자물쇠 따기 장인 카르스트","Karst, o Arrombador","Карст Взломщик","Karst, el Ganzúa","คาร์สท์ จอมสะเดาะ","開鎖專家．卡司特","Metadata/NPC/NPC","","","Karst","Karst","Karst","カースト","카르스트","Karst","Карст","Karst","คาร์สท์","卡司特",0,[107],[108],22986,"",4,2,"","M",1,"",""
122,"Metadata/NPC/League/Heist/Interrogator1","Niles, the Interrogator","Niles, l'Interrogateur","Niles der Vernehmer","尋問者、ナイルズ","심문관 나일스","Niles, o Interrogador","Найлс Дознаватель","Niles, el Interrogador","ไนลส์ จอมสอบสวน","審訊專家．奈爾斯","Metadata/NPC/NPC","","","Niles","Niles","Niles","ナイルズ","나일스","Niles","Найлс","Niles","ไนลส์","奈爾斯",0,[121],[122],19122,"",5,2,"","M",1,"",""
123,"Metadata/NPC/League/Heist/Soldier1","Huck, the Soldier","Huck, le Soldat","Huck der Soldat","兵士・ハック","병사 허크","Huck, o Soldado","Хак Боец","Huck, el Soldado","ฮัค ทหารหาญ","大頭兵．哈克","Metadata/NPC/NPC","","","Huck","Huck","Huck","ハック","허크","Huck","Хак","Huck","ฮัค","哈克",0,[119],[120],39136,"",6,2,"","M",1,"",""
124,"Metadata/NPC/League/Heist/HeavyLifter1","Tibbs, the Giant","Tibbs, le Géant","Tibbs der Riese","大男・ティブス","거인 팁스","Tibbs, o Gigante","Тиббс Великан","Tibbs, el Gigante","ทิพส์ มนุษย์ยักษ์","巨人族．堤布斯","Metadata/NPC/NPC","","","Tibbs","Tibbs","Tibbs","ティブス","팁스","Tibbs","Тиббс","Tibbs","ทิพส์","堤布斯",0,[105],[106],52639,"",7,2,"","M",1,"",""
125,"Metadata/NPC/League/Heist/Detector1","Nenet, the Scout","Nenet, l'Éclaireuse","Nenet die Kundschafterin","偵察者、ネネット","정찰병 네넷","Nenet, a Batedora","Ненет Разведчица","Nenet, la Exploradora","เนเนต ผู้ดูลาดเลา","偵查員．能內特","Metadata/NPC/NPC","","","Nenet","Nenet","Nenet","ネネット","네넷","Nenet","Ненет","Nenet","เนเนต","能內特",0,[115],[116],8406,"",8,2,"","F",1,"",""
126,"Metadata/NPC/League/Heist/Demolitionist1","Vinderi, the Dismantler","Vindéri, le Désamorceur","Vinderi der Entschärfer","解体屋、ヴィンデーリ","해체전문가 빈데리","Vinderi, o Desmontador","Виндери Разборщик","Vinderi, el Experto en explosivos","วินเดอร์รี จอมทำลาย","拆除專家．溫德利","Metadata/NPC/NPC","","","Vinderi","Vindéri","Vinderi","ヴィンデーリ","빈데리","Vinderi","Виндери","Vinderi","วินเดอร์รี","溫德利",0,[117],[118],30119,"",9,2,"","M",1,"",""
127,"Metadata/NPC/League/Heist/CatBurglar1","Tullina, the Catburglar","Tullina, la Cambrioleuse","Tullina die Fassadenkletterin","こそ泥、トゥリナ","밤도둑 툴리나","Tullina, a Gatuna","Туллина Ловкачка","Tullina, la Ladrona","ทูลีนา ตีนแมว","邪偷大盜．圖利納","Metadata/NPC/NPC","","","Tullina","Tullina","Tullina","トゥリナ","툴리나","Tullina","Туллина","Tullina","ทูลีนา","圖利納",0,[103],[104],10750,"",10,2,"","F",1,"",20
128,"Metadata/NPC/League/Heist/Illusionist1","Gianna, the Master of Disguise","Gianna, la Reine du déguisement","Gianna die Verkleidungskünstlerin","変装の達人、ジアーナ","변장의 달인 지아나","Gianna, a Mestra dos Disfarces","Джианна, мастер маскировки","Gianna, la Maestra del disfraz","เจียนนา เจ้าแห่งการปลอมตัว","偽裝大師．吉安娜","Metadata/NPC/NPC","","","Gianna","Gianna","Gianna","ジアーナ","지아나","Gianna","Джианна","Gianna","เจียนนา","吉安娜",0,[113],[114],50592,"",11,2,"","F",1,"",""
129,"Metadata/NPC/League/Heist/Engineer1","Isla, the Engineer","Isla, l'Ingénieur","Isla die Ingenieurin","エンジニア、アイラ","기술자 아이슬라","Isla, a Engenheira","Айла Инженер","Isla, la Ingeniera","ไอล่า มือช่าง","工程師．伊絲菈","Metadata/NPC/NPC","","","Isla","Isla","Isla","アイラ","아이슬라","Isla","Айла","Isla","ไอล่า","伊絲菈",0,[109],[110],59230,"",12,2,"","F",1,"",""
130,"Metadata/Monsters/LeagueHeist/Boss/VicVox","Vic Vox","Vic Vox","Vic Vox","ヴィック・ヴォックス","빅 복스","Vic Vox","Вик Вокс","Vic Vox","วิค วอกซ์","維克．瓦克斯","Metadata/NPC/NPC","","","Vic","Vic","Vic","ヴィック","빅","Vic","Вик","Vic","วิค","維克",0,[],[],31320,"","","","","M",1,"",""
131,"Metadata/Monsters/LeagueHeist/Boss/VinnyVox","Vinny Vox","Vinny Vox","Vinny Vox","ヴィニー・ヴォックス","비니 복스","Vinny Vox","Винни Вокс","Vinny Vox","วินนี่ วอกซ์","文尼．瓦克斯","Metadata/NPC/NPC","","","Vinny","Vinny","Vinny","ヴィニー","비니","Vinny","Винни","Vinny","วินนี่","文尼",0,[],[],2898,"","","","","M",1,"",""
132,"Metadata/Monsters/LeagueHeist/Boss/Jamanra_","Jamanra, The Great","Jamanra, le Grand","Jamanra der Große","偉大なジャマンラ","위대한 자만라","Jamanra, o Grande","Яманра Великий","Jamanra, el Grande","จามันรา ผู้ยิ่งใหญ่","賈嫚拉大帝","Metadata/NPC/NPC","","","Jamanra","Jamanra","Jamanra","ジャマンラ","자만라","Jamanra","Яманра","Jamanra","จามันรา","賈嫚拉",0,[],[],4810,"","","","","M",1,"",""
133,"Metadata/Monsters/LeagueHeist/Boss/Danai","Nashta, The Usurper","Nashta, l'Usurpatrice","Nashta die Thronräuberin","簒奪者、ナシュタ","찬탈자 나쉬타","Nashta, a Usurpadora","Нашта Самозванка","Nashta, la Usurpadora","แนชตา ผู้ชิงอำนาจ","篡位者．納什塔","Metadata/NPC/NPC","","","Nashta","Danaï","Nashta","ナシュタ","나쉬타","Nashta","Нашта","Nashta","แนชตา","納什塔",0,[],[],64636,"","","","","F",1,"",""
134,"Metadata/Monsters/LeagueHeist/Boss/AdmiralDarnaw","Admiral Darnaw","Admiral Darnaw","Admiral Darnaw","ダルノー提督","다나우 제독","Almirante Darnaw","Адмирал Дарнау","Almirante Darnaw","พลเรือเอกดานอร์","達爾奈上將","Metadata/NPC/NPC","","","Darnaw","Darnaw","Darnaw","ダルノー","다나우","Darnaw","Дарнау","Darnaw","ดานอร์","達爾奈",0,[],[],64849,"","","","","M",1,"",""
135,"Metadata/Monsters/LeagueHeist/Boss/Freidrich","Friedrich Tarollo, Slave Merchant","Friedrich Tarollo, le Marchand d'esclave","Friedrich Tarollo, Sklavenhändler","奴隷商人・フリードレック・タローロ","노예 상인 프레드릭 타롤로","Friedrich Tarollo, Mercador de Escravos","Фридрих Таролло, торговец рабами","Friedrich Tarollo, Comerciante de esclavos","ฟรีดริช ทารอลโล พ่อค้าทาส","奴隸商人．弗里德里克．塔羅洛","Metadata/NPC/NPC","","","Friedrich","Friedrich","Friedrich","フリードレック","프레드릭","Friedrich","Фридрих","Friedrich","ฟรีดริช","弗里德里克",0,[],[],27161,"","","","","M",1,"",""
136,"Metadata/NPC/League/Heist/TheBossLioneyes","Kurai, the Administrator","Kuraï, l'Administratrice","Kurai die Verwalterin","管理者・クライ","사무관 쿠라이","Kurai, a Administradora","Кураи Распорядительница","Kurai, la Administradora","คูรัย ผู้ดูแลทีม","管理員．庫萊","Metadata/NPC/NPC","","","Kurai","Kuraï","Kurai","クライ","쿠라이","Kurai","Кураи","Kurai","คูรัย","庫萊",0,[101],[102],1692,"",0,2,"","F",1,"",""
137,"Metadata/Monsters/LeagueHeist/NPCAllies/HeistAdiyah","Adiyah, the Wayfinder","Adiyah, la Passe-muraille","Adiyah die Spurensucherin","道案内人、アーディア","길잡이 아디야","Adiyah, a Desbravadora","Адия Проводница","Adiyah, la Buscacaminos","อาดีย์ยา ผู้หาเส้นทาง","探路專家．阿迪雅","Metadata/NPC/NPC","","","Adiyah","Adiyah","Adiyah","アーディア","아디야","Adiyah","Адия","Adiyah","อาดีย์ยา","阿迪雅",0,[],[],4017,"","","","","F",1,"",""
138,"Metadata/Monsters/LeagueHeist/NPCAllies/HeistKurai","Kurai, the Administrator","Kuraï, l'Administratrice","Kurai die Verwalterin","管理者・クライ","사무관 쿠라이","Kurai, a Administradora","Кураи Распорядительница","Kurai, la Administradora","คูรัย ผู้ดูแลทีม","管理員．庫萊","Metadata/NPC/NPC","","","Kurai","Kuraï","Kurai","クライ","쿠라이","Kurai","Кураи","Kurai","คูรัย","庫萊",0,[],[],14018,"","","","","F",1,"",""
139,"Metadata/Monsters/LeagueHeist/Boss/VicVoxMeeting_","Vic Vox","Vic Vox","Vic Vox","ヴィック・ヴォックス","빅 복스","Vic Vox","Вик Вокс","Vic Vox","วิค วอกซ์","維克．瓦克斯","Metadata/NPC/NPC","","","Vic","Vic","Vic","ヴィック","빅","Vic","Вик","Vic","วิค","維克",0,[],[],39955,"","","","","M",1,"",""
140,"Metadata/NPC/League/Heist/TullinaFiance","Julius Farrow","Julius Farrow","Julius Farrow","ジュリアス・ファロー","줄리우스 패로우","Julius Farrow","Юлий Фарроу","Julius Farrow","จูเลียส แฟร์โรว์","朱利葉斯．法羅","Metadata/NPC/NPC","","","","","","","","","","","","",0,[],[],11980,"","","","","F",1,"",""
141,"Metadata/NPC/RiddleQuest","","","","","","","","","","","Metadata/NPC/NPC","","","","","","","","","","","","",0,[],[],49682,"","","","","",1,"",""
142,"Metadata/NPC/League/EndlessDelve/Lilly","Lilly Roth","Lilly Roth","Lilly Roth","リリィ・ロス","릴리 로스","Lilly Roth","Лилия Рот","Lilly Roth","ลิลลี่ รอธ","莉莉羅斯","Metadata/NPC/Act10/Lilly","","","Lilly","Lilly","Lilly","リリィ","릴리","Lilly","Лилия","Lilly","ลิลลี่","莉莉",0,[153],[154],24123,"","","",2,"F",1,"",""
143,"Metadata/NPC/Epilogue/Envoy","The Envoy","L'Émissaire","Der Gesandte","エンヴォイ","사절","O Enviado","Посланник","El Emisario","ราชทูต","使者","Metadata/NPC/NPC","","","","","","","","","","","","",11,[128],[129],27713,"",13,1,"","M",1,"",""
144,"Metadata/NPC/Epilogue/EnvoyRandom","The Envoy","L'Émissaire","Der Gesandte","エンヴォイ","사절","O Enviado","Посланник","El Emisario","ราชทูต","使者","Metadata/NPC/NPC","","","","","","","","","","","","",11,[128],[129],5686,"",13,1,"","M",1,"",""
145,"Metadata/NPC/Epilogue/EnvoyMaven","The Envoy","L'Émissaire","Der Gesandte","エンヴォイ","사절","O Enviado","Посланник","El Emisario","ราชทูต","使者","Metadata/NPC/NPC","","","","","","","","","","","","",11,[132],[133],18261,"",13,1,"","M",1,"",""
146,"Metadata/NPC/Epilogue/EnvoyTangle","The Envoy","L'Émissaire","Der Gesandte","エンヴォイ","사절","O Enviado","Посланник","El Emisario","ราชทูต","使者","Metadata/NPC/NPC","","","","","","","","","","","","",11,[128],[129],22688,"",13,1,"","M",1,"",""
147,"Metadata/NPC/Epilogue/EnvoyCleansingFire","The Envoy","L'Émissaire","Der Gesandte","エンヴォイ","사절","O Enviado","Посланник","El Emisario","ราชทูต","使者","Metadata/NPC/NPC","","","","","","","","","","","","",11,[128],[129],40455,"",13,1,"","M",1,"",""
148,"Metadata/NPC/Epilogue/EnvoyTangleBoss1","The Envoy","L'Émissaire","Der Gesandte","エンヴォイ","사절","O Enviado","Посланник","El Emisario","ราชทูต","使者","Metadata/NPC/NPC","","","","","","","","","","","","",11,[128],[129],34112,"",13,1,"","M",1,"",""
149,"Metadata/NPC/Epilogue/EnvoyTangleBoss2","The Envoy","L'Émissaire","Der Gesandte","エンヴォイ","사절","O Enviado","Посланник","El Emisario","ราชทูต","使者","Metadata/NPC/NPC","","","","","","","","","","","","",11,[128],[129],23481,"",13,1,"","M",1,"",""
150,"Metadata/NPC/Epilogue/EnvoyCleansingFireBoss1","The Envoy","L'Émissaire","Der Gesandte","エンヴォイ","사절","O Enviado","Посланник","El Emisario","ราชทูต","使者","Metadata/NPC/NPC","","","","","","","","","","","","",11,[128],[129],61544,"",13,1,"","M",1,"",""
151,"Metadata/NPC/Epilogue/EnvoyCleansingFireBoss2","The Envoy","L'Émissaire","Der Gesandte","エンヴォイ","사절","O Enviado","Посланник","El Emisario","ราชทูต","使者","Metadata/NPC/NPC","","","","","","","","","","","","",11,[128],[129],59898,"",13,1,"","M",1,"",""
152,"Metadata/NPC/Epilogue/MavenInfluenceIntro","The Maven","La Prodige","Die Seherin","メイヴェン","메이븐","A Conhecedora","Мейвен","La Especialista","เมเวน","釋界","Metadata/NPC/NPC","","","","","","","","","","","","",11,[],[],34786,"","","","","F",1,"",""
153,"Metadata/NPC/Epilogue/MavenBossObserver","The Maven","La Prodige","Die Seherin","メイヴェン","메이븐","A Conhecedora","Мейвен","La Especialista","เมเวน","釋界","Metadata/NPC/NPC","","","","","","","","","","","","",11,[],[],31446,"","","","","F",1,"",""
154,"Metadata/Monsters/MavenBoss/TheMaven","The Maven","La Prodige","Die Seherin","メイヴェン","메이븐","A Conhecedora","Мейвен","La Especialista","เมเวน","釋界","Metadata/NPC/NPC","","","","","","","","","","","","",11,[],[],4193,"","","","","F",1,"",""
155,"Metadata/Monsters/MavenBoss/MavenBrainBoss","The Maven","La Prodige","Die Seherin","メイヴェン","메이븐","A Conhecedora","Мейвен","La Especialista","เมเวน","釋界","Metadata/NPC/NPC","","","","","","","","","","","","",11,[],[],10806,"","","","","F",1,"",""
156,"Metadata/Monsters/CrimsonPriest","Kadaris, Crimson Mayor","Kadaris, le Maire pourpre","Kadaris, Blutbischof","真紅の市長、カダリス","진홍색 시장 카다리스","Kadaris, Prefeito Carmesim","Кадарис, Кровавый мэр","Kadaris, Alcalde carmesí","คาดาริส เทศมนตรีสีเลือด","緋紅市長．卡達里斯","Metadata/NPC/NPC","","","Kadaris","Kadaris","Kadaris","カダリス","카다리스","Kadaris","Кадарис","Kadaris","คาดาริส","卡達里斯",0,[],[],41950,"","","","","M",1,"",""
157,"Metadata/Monsters/Skeletons/Pirate/BrutalPirateLordBoss","Captain Clayborne, The Accursed","Capitaine Poindreglaise, le Maudit","Kapitän Clayborne, der Verfluchte","呪われしクレーボーン船長","저주받은 자 클레이본 대장","Capitão Clayborn, o Amaldiçoado","Капитан Клейборн, проклятый","Capitán Clayborne, el Maldito","กัปตันเคลย์บอร์น ผู้ต้องสาป","被詛咒的．隊長克雷波恩","Metadata/NPC/NPC","","","Clayborne","Poindreglaise","Clayborne","クレーボーン","클레이본","Clayborne","Клейборн","Clayborne","เคลย์บอร์น","克雷波恩",0,[],[],22110,"","","","","M",1,"",""
158,"Metadata/Monsters/LunarisSolaris/LunarisMap","Khor, Sister of Shadows","Khor, Sœur des Ombres","Khor, Schwester der Schatten","影の妹、コール","그림자의 자매 코르","Khor, Irmã das Sombras","Хор, Сестра теней","Khor, Hermana de sombras","คอร์ ธิดาแห่งเงา","暗影姊妹．霍爾","Metadata/NPC/NPC","","","Khor","Khor","Khor","コール","코르","Khor","Хор","Khor","คอร์","霍爾",0,[],[],275,"","","","","F",1,"",""
159,"Metadata/Monsters/LunarisSolaris/SolarisMap","Ara, Sister of Light","Ara, Sœur de la Lumière","Ara, Schwester des Lichts","光の妹、アラ","빛의 자매 아라","Ara, Irmã da Luz","Ара, Сестра света","Ara, Hermana de Luz","อารา ธิดาแห่งแสง","光之姊妹．艾拉","Metadata/NPC/NPC","","","Ara","Ara","Ara","アラ","아라","Ara","Ара","Ara","อารา","艾拉",0,[],[],3432,"","","","","F",1,"",""
160,"Metadata/Monsters/DjinnDemon/DjinnDemonMapBoss_","Ormud, Fiend of the Flood","Ormud, Démon du Déluge","Ormud, Ungeheuer der Flut","洪水の悪霊、オルマッド","홍수의 마귀 오르무드","Ormud, Ínfero da Inundação","Ормад, демон наводнения","Ormud, Demonio de la inundación","ออร์มุด ปีศาจอุทกภัย","洪災惡魔．歐爾曼","Metadata/NPC/NPC","","","Ormud","Ormud","Ormud","オルマッド","오르무드","Ormud","Ормад","Ormud","ออร์มุด ","歐爾曼",0,[],[],15980,"","","","","M",1,"",""
161,"Metadata/Monsters/Vilenta/VilentaMap_","Renkarr, The Kiln Keeper","Renkarr, la Gardienne du fourneau","Renkarr der Ofenwart","炉の番人、レンカール","가마 관리인 렌카르","Renkarr, o Protetor do Forno","Ренкарр, хранительница печи","Renkarr, el Guardián de la forja","เรนคาร์ ผู้ดูแลเตาเผา","烘爐看守．倫卡爾","Metadata/NPC/NPC","","","Renkarr","Renkarr","Renkarr","レンカール","렌카르","Renkarr","Ренкарр","Renkarr","เรนคาร์","倫卡爾",0,[],[],3147,"","","","","F",1,"",""
162,"Metadata/Monsters/Thaumaturgy/ThaumaturgistBoss","Ciergan, Shadow Alchemist","Ciergan, l'Alchimiste des ombres","Ciergan, Schattenalchemist","影の錬金術師、シアガン","그림자 연금술사 시에르간","Ciergan, Alquimista das Sombras","Кьерган, Тёмный алхимик","Ciergan, Alquimista de sombras","เซียร์แกน นักเล่นแร่แปรธาตุเงา","幻影練金師希爾琴","Metadata/NPC/NPC","","","Ciergan","Ciergan","Ciergan","シアガン","시에르간","Ciergan","Кьерган","Ciergan","เซียร์แกน","希爾琴",0,[],[],30691,"","","","","M",1,"",""
163,"Metadata/NPC/League/Ultimatum/UltimatumNPC","The Trialmaster","Le Maître des Épreuves","Der Prüfungsmeister","トライアルマスター","시련의 대가","O Mestre das Provações","Мастер испытаний","El Maestro de pruebas","ผู้คุมบททดสอบ","試煉大師","Metadata/NPC/NPC","","","The Trialmaster","Le Maître des Épreuves","Der Prüfungsmeister","トライアルマスター","시련의 대가","O Mestre das Provações","Мастер испытаний","El Maestro de pruebas","ผู้คุมบททดสอบ","試煉大師",0,[276],[277],50714,"",14,1,"","M",1,"",""
164,"Metadata/NPC/League/Ultimatum/UltimatumNPCPostFight","The Trialmaster","Le Maître des Épreuves","Der Prüfungsmeister","トライアルマスター","시련의 대가","O Mestre das Provações","Мастер испытаний","El Maestro de pruebas","ผู้คุมบททดสอบ","試煉大師","Metadata/NPC/League/Ultimatum/UltimatumNPCBossEndScene","","","The Trialmaster","Le Maître des Épreuves","Der Prüfungsmeister","トライアルマスター","시련의 대가","O Mestre das Provações","Мастер испытаний","El Maestro de pruebas","ผู้คุมบททดสอบ","試煉大師",0,[276],[277],56559,"",14,1,"","M",1,"",""
165,"Metadata/NPC/League/Ultimatum/UltimatumNPCAirlock","The Trialmaster","The Trialmaster","The Trialmaster","The Trialmaster","The Trialmaster","The Trialmaster","The Trialmaster","The Trialmaster","The Trialmaster","The Trialmaster","Metadata/NPC/NPC","","","The Trialmaster","The Trialmaster","The Trialmaster","The Trialmaster","The Trialmaster","The Trialmaster","The Trialmaster","The Trialmaster","The Trialmaster","The Trialmaster",0,[276],[277],37489,"",14,1,"","M",1,"",""
166,"Metadata/Monsters/LeagueDelve/VaalCityBoss","Ahuatotli, the Blind","Ahuatotli, l'Aveugle","Ahuatotli der Blinde","盲人、アワトットリー","눈먼 자, 아후아토틀리","Ahuatotli, o Cego","Ахватотли, Слепой","Ahuatoli, el Ciego","อะฮัวตอตล์ลี ผู้มิอาจเห็น","盲人阿烏塔利","Metadata/NPC/League/Ultimatum/UltimatumNPCBossEndScene","","","Ahuatotli","Ahuatotli","Ahuatotli","アワトットリー","아후아토틀리","Ahuatotli","Ахватотли","Ahuatotli","อะฮัวตอตล์ลี","阿烏塔利",0,[],[],27232,"","","","","M",1,"",""
167,"Metadata/Monsters/LeagueDelve/ProtoVaalCityBoss","Aul, the Crystal King","Aul, le Roi de cristal","Aul der Kristallkönig","水晶の王、アウル","수정의 왕 아울","Aul, o Rei de Cristal","Ол, Кристальный царь","Aul, el Rey de cristal","อืล กษัตริย์คริสตัล","晶之帝奧爾","Metadata/NPC/League/Ultimatum/UltimatumNPCBossEndScene","","","Aul","Aul","Aul","アウル","아울","Aul","Ол","Aul","อืล","奧爾",0,[],[],11813,"","","","","M",1,"",""
168,"Metadata/NPC/Hasina","Hasina","Hasina","Hasina","ハシナ","하시나","Hasina","Хасина","Hasina","ฮาซีน่า","哈希娜","Metadata/NPC/NPC","","","","","","","","","","","","",0,[],[],11914,"","","","","F",1,"",""
169,"Metadata/NPC/League/Expedition/Saga","Dannig, Warrior Skald","Dannig, le Guerrier scalde","Dannig, Krieger-Skalde","戦う吟唱詩人、ダニグ","전사 시인 대닉","Dannig, Guerreiro Poeta","Дэнниг, воин и скальд","Dannig, Guerrero escaldo","แดนนิก กวีนักรบ","戰鬥詩人．丹尼格","Metadata/NPC/NPC",2408,"","Dannig","Dannig","Dannig","ダニグ","대닉","Dannig","Дэнниг","Dannig","แดนนิก","丹尼格",0,[137],[138],48104,"",16,6,7,"M",1,"",26
170,"Metadata/NPC/League/Expedition/Gambler","Gwennen","Gwennen","Gwennen","グウェネン","그위넨","Gwennen","Гвеннен","Gwennen","เกว็นเน็น","關南","Metadata/NPC/NPC",2405,"","Gwennen","Gwennen","Gwennen","グウェネン","그위넨","Gwennen","Гвеннен","Gwennen","เกว็นเน็น","關南",0,[145],[146],5530,"",17,6,5,"F",1,"",""
171,"Metadata/NPC/League/Expedition/Haggler","Tujen","Tujen","Tujen","トゥージェン","투젠","Tujen","Туджин","Tujen","ทูเจน","圖貞","Metadata/NPC/NPC",2406,"","Tujen","Tujen","Tujen","トゥージェン","투젠","Tujen","Туджин","Tujen","ทูเจน","圖貞",0,[143],[144],48219,"",18,6,6,"M",1,"",21
172,"Metadata/NPC/League/Expedition/Dealer","Rog","Rog","Rog","ログ","로그","Rog","Рог","Rog","ร็อก","羅格","Metadata/NPC/NPC",2407,"","Rog","Rog","Rog","ログ","로그","Rog","Рог","Rog","ร็อก","羅格",0,[140],[141],23173,"",19,6,4,"M",1,"",24
173,"Metadata/Monsters/LeagueExpedition/NPC/ExpeditionDannig","Dannig","Dannig","Dannig","ダニグ","대닉","Dannig","Дэнниг","Dannig","แดนนิก","丹尼格","Metadata/NPC/NPC",2408,"","Dannig","Dannig","Dannig","ダニグ","대닉","Dannig","Дэнниг","Dannig","แดนนิก","丹尼格",0,"[241,245]","[242,246]",38795,"",16,6,7,"M",1,"",26
174,"Metadata/Monsters/LeagueExpedition/NPC/ExpeditionGwennen_","Gwennen","Gwennen","Gwennen","グウェネン","그위넨","Gwennen","Гвеннен","Gwennen","เกว็นเน็น","關南","Metadata/NPC/NPC",2405,"","Gwennen","Gwennen","Gwennen","グウェネン","그위넨","Gwennen","Гвеннен","Gwennen","เกว็นเน็น","關南",0,[367],[368],25585,"",17,6,5,"F",1,"",""
175,"Metadata/Monsters/LeagueExpedition/NPC/ExpeditionTujen","Tujen","Tujen","Tujen","トゥージェン","투젠","Tujen","Туджин","Tujen","ทูเจน","圖貞","Metadata/NPC/NPC",2406,"","Tujen","Tujen","Tujen","トゥージェン","투젠","Tujen","Туджин","Tujen","ทูเจน","圖貞",0,[247],[248],35804,"",18,6,6,"M",1,"",21
176,"Metadata/Monsters/LeagueExpedition/NPC/ExpeditionRog","Rog","Rog","Rog","ログ","로그","Rog","Рог","Rog","ร็อก","羅格","Metadata/NPC/NPC",2407,"","Rog","Rog","Rog","ログ","로그","Rog","Рог","Rog","ร็อก","羅格",0,[249],[250],58708,"",19,6,4,"M",1,"",24
177,"Metadata/NPC/League/Expedition/SagaHideout","Dannig, Warrior Skald","Dannig, le Guerrier scalde","Dannig, Krieger-Skalde","戦う吟唱詩人、ダニグ","전사 시인 대닉","Dannig, Guerreiro Poeta","Дэнниг, воин и скальд","Dannig, Guerrero escaldo","แดนนิก กวีนักรบ","戰鬥詩人．丹尼格","Metadata/NPC/NPC",2408,"","Dannig","Dannig","Dannig","ダニグ","대닉","Dannig","Дэнниг","Dannig","แดนนิก","丹尼格",0,[137],[138],8686,169,16,6,7,"M",1,"",26
178,"Metadata/NPC/League/Expedition/GamblerHideout","Gwennen","Gwennen","Gwennen","グウェネン","그위넨","Gwennen","Гвеннен","Gwennen","เกว็นเน็น","關南","Metadata/NPC/NPC",2405,"","Gwennen","Gwennen","Gwennen","グウェネン","그위넨","Gwennen","Гвеннен","Gwennen","เกว็นเน็น","關南",0,[145],[146],37694,170,17,6,5,"F",1,"",""
179,"Metadata/NPC/League/Expedition/HagglerHideout","Tujen","Tujen","Tujen","トゥージェン","투젠","Tujen","Туджин","Tujen","ทูเจน","圖貞","Metadata/NPC/NPC",2406,"","Tujen","Tujen","Tujen","トゥージェン","투젠","Tujen","Туджин","Tujen","ทูเจน","圖貞",0,[143],[144],20353,171,18,6,6,"M",1,"",21
180,"Metadata/NPC/League/Expedition/DealerHideout","Rog","Rog","Rog","ログ","로그","Rog","Рог","Rog","ร็อก","羅格","Metadata/NPC/NPC",2407,"","Rog","Rog","Rog","ログ","로그","Rog","Рог","Rog","ร็อก","羅格",0,[140],[141],56998,172,19,6,4,"M",1,"",24
181,"Metadata/Monsters/NPC/FarrowActIntro","Farrow","Farrow","Farrow","ファロウ","패로우","Farrow","Фарроу","Farrow","แฟร์โรว์","法羅","Metadata/NPC/NPC",1367,"","Farrow","Farrow","Farrow","ファロウ","패로우","Farrow","Фарроу","Farrow","แฟร์โรว์","法羅",1,[382],[383],32274,"",97,6,"","M",1,"",27
182,"Metadata/NPC/League/Expedition/Farrow/FarrowGrimTangle","Farrow","Farrow","Farrow","ファロウ","패로우","Farrow","Фарроу","Farrow","แฟร์โรว์","法羅","Metadata/NPC/NPC",1367,"","Farrow","Farrow","Farrow","ファロウ","패로우","Farrow","Фарроу","Farrow","แฟร์โรว์","法羅",1,"[390,392]","[391,393]",24789,"",97,6,"","M",1,"",27
183,"Metadata/NPC/League/Expedition/Farrow/FarrowHuntingGrounds","Farrow","Farrow","Farrow","ファロウ","패로우","Farrow","Фарроу","Farrow","แฟร์โรว์","法羅","Metadata/NPC/NPC",1367,"","Farrow","Farrow","Farrow","ファロウ","패로우","Farrow","Фарроу","Farrow","แฟร์โรว์","法羅",1,"[390,392]","[391,393]",24931,"",97,6,"","M",1,"",27
