"rownum","Id","Audio","OGGFiles","f32_32","f32_36","InheritFrom"
36,"VaalZealotKnifestick","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act3/G3_14/VaalZealots/Vocals/Knifestick/AggroSG","[""Audio/Dialogue/4.0/Monsters/Part1/Act3/VaalZealotKnifestick/VaalKnifestick_Aggro_01.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/VaalZealotKnifestick/VaalKnifestick_Aggro_02.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/VaalZealotKnifestick/VaalKnifestick_Aggro_03.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/VaalZealotKnifestick/VaalKnifestick_Aggro_05.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/VaalZealotKnifestick/VaalKnifestick_Aggro_06.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/VaalZealotKnifestick/VaalKnifestick_Aggro_07.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/VaalZealotKnifestick/VaalKnifestick_Aggro_08.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/VaalZealotKnifestick/VaalKnifestick_Aggro_09.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/VaalZealotKnifestick/VaalKnifestick_Aggro_10.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/VaalZealotKnifestick/VaalKnifestick_Aggro_11.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/VaalZealotKnifestick/VaalKnifestick_Aggro_12.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/VaalZealotKnifestick/VaalKnifestick_Aggro_13.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/VaalZealotKnifestick/VaalKnifestick_Aggro_14.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/VaalZealotKnifestick/VaalKnifestick_Aggro_15.dialogue.ogg""]",0.25,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
37,"VaalZealotSpear","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act3/G3_14/VaalZealots/Vocals/Spear/AggroSG","[""Audio/Dialogue/4.0/Monsters/Part1/Act3/VaalZealotSpear/VaalSpear_Aggro_01.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/VaalZealotSpear/VaalSpear_Aggro_02.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/VaalZealotSpear/VaalSpear_Aggro_03.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/VaalZealotSpear/VaalSpear_Aggro_04.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/VaalZealotSpear/VaalSpear_Aggro_05.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/VaalZealotSpear/VaalSpear_Aggro_05.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/VaalZealotSpear/VaalSpear_Aggro_06.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/VaalZealotSpear/VaalSpear_Aggro_07.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/VaalZealotSpear/VaalSpear_Aggro_08.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/VaalZealotSpear/VaalSpear_Aggro_09.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/VaalZealotSpear/VaalSpear_Aggro_10.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/VaalZealotSpear/VaalSpear_Aggro_11.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/VaalZealotSpear/VaalSpear_Aggro_12.dialogue.ogg""]",0.25,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
38,"ViperLegionnaireBow","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act3/G3_14/ViperLegionnaires/Bow/Vocals/Efforts/AggroSG","[""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnaireBow/ViperLegionnaireBow_Aggro_01.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnaireBow/ViperLegionnaireBow_Aggro_02.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnaireBow/ViperLegionnaireBow_Aggro_03.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnaireBow/ViperLegionnaireBow_Aggro_04.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnaireBow/ViperLegionnaireBow_Aggro_05.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnaireBow/ViperLegionnaireBow_Aggro_06.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnaireBow/ViperLegionnaireBow_Aggro_07.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnaireBow/ViperLegionnaireBow_Aggro_08.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnaireBow/ViperLegionnaireBow_Aggro_09.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnaireBow/ViperLegionnaireBow_Aggro_10.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnaireBow/ViperLegionnaireBow_Aggro_11.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnaireBow/ViperLegionnaireBow_Aggro_12.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnaireBow/ViperLegionnaireBow_Aggro_13.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnaireBow/ViperLegionnaireBow_Aggro_14.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnaireBow/ViperLegionnaireBow_Aggro_15.dialogue.ogg""]",0.3,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
39,"ViperLegionnaireClaw","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act3/G3_14/ViperLegionnaires/Claw/Vocals/AggroSG","[""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnareClaw/Aggro/ViperLegionnareClaw_Dialogue_Aggro_01.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnareClaw/Aggro/ViperLegionnareClaw_Dialogue_Aggro_02.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnareClaw/Aggro/ViperLegionnareClaw_Dialogue_Aggro_03.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnareClaw/Aggro/ViperLegionnareClaw_Dialogue_Aggro_04.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnareClaw/Aggro/ViperLegionnareClaw_Dialogue_Aggro_05.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnareClaw/Aggro/ViperLegionnareClaw_Dialogue_Aggro_06.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnareClaw/Aggro/ViperLegionnareClaw_Dialogue_Aggro_07.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnareClaw/Aggro/ViperLegionnareClaw_Dialogue_Aggro_08.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnareClaw/Aggro/ViperLegionnareClaw_Dialogue_Aggro_09.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnareClaw/Aggro/ViperLegionnareClaw_Dialogue_Aggro_10.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnareClaw/Aggro/ViperLegionnareClaw_Dialogue_Aggro_11.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnareClaw/Aggro/ViperLegionnareClaw_Dialogue_Aggro_12.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnareClaw/Aggro/ViperLegionnareClaw_Dialogue_Aggro_13.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnareClaw/Aggro/ViperLegionnareClaw_Dialogue_Aggro_14.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnareClaw/Aggro/ViperLegionnareClaw_Dialogue_Aggro_14.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnareClaw/Aggro/ViperLegionnareClaw_Dialogue_Aggro_15.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnareClaw/Aggro/ViperLegionnareClaw_Dialogue_Aggro_16.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnareClaw/Aggro/ViperLegionnareClaw_Dialogue_Aggro_17.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnareClaw/Aggro/ViperLegionnareClaw_Dialogue_Aggro_18.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnareClaw/Aggro/ViperLegionnareClaw_Dialogue_Aggro_20.dialogue.ogg""]",0.3,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
40,"ViperLegionnaireShield","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act3/G3_14/ViperLegionnaires/Shield/Vocals/AssembleSG","[""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnareClaw/Aggro/ViperLegionnareClaw_Dialogue_Aggro_21.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnareClaw/Aggro/ViperLegionnareClaw_Dialogue_Aggro_22.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnareClaw/Aggro/ViperLegionnareClaw_Dialogue_Aggro_23.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnareClaw/Aggro/ViperLegionnareClaw_Dialogue_Aggro_25.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnareClaw/Aggro/ViperLegionnareClaw_Dialogue_Aggro_26.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnareClaw/Aggro/ViperLegionnareClaw_Dialogue_Aggro_27.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnareClaw/Aggro/ViperLegionnareClaw_Dialogue_Aggro_28.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnareClaw/Aggro/ViperLegionnareClaw_Dialogue_Aggro_29.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnareClaw/Aggro/ViperLegionnareClaw_Dialogue_Aggro_30.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnareClaw/Aggro/ViperLegionnareClaw_Dialogue_Aggro_31.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnareClaw/Aggro/ViperLegionnareClaw_Dialogue_Aggro_32.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnareClaw/Aggro/ViperLegionnareClaw_Dialogue_Aggro_33.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnareClaw/Aggro/ViperLegionnareClaw_Dialogue_Aggro_34.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnareClaw/Aggro/ViperLegionnareClaw_Dialogue_Aggro_35.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnareClaw/Aggro/ViperLegionnareClaw_Dialogue_Aggro_36.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnareClaw/Aggro/ViperLegionnareClaw_Dialogue_Aggro_37.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnareClaw/Aggro/ViperLegionnareClaw_Dialogue_Aggro_38.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnareClaw/Aggro/ViperLegionnareClaw_Dialogue_Aggro_39.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnareClaw/Aggro/ViperLegionnareClaw_Dialogue_Aggro_40.dialogue.ogg""]",0.3,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
41,"ViperLegionnaireSword","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act3/G3_14/ViperLegionnaires/Bow/Vocals/Efforts/AggroSG","[""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnaireBow/ViperLegionnaireBow_Aggro_01.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnaireBow/ViperLegionnaireBow_Aggro_02.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnaireBow/ViperLegionnaireBow_Aggro_03.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnaireBow/ViperLegionnaireBow_Aggro_04.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnaireBow/ViperLegionnaireBow_Aggro_05.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnaireBow/ViperLegionnaireBow_Aggro_06.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnaireBow/ViperLegionnaireBow_Aggro_07.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnaireBow/ViperLegionnaireBow_Aggro_08.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnaireBow/ViperLegionnaireBow_Aggro_09.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnaireBow/ViperLegionnaireBow_Aggro_10.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnaireBow/ViperLegionnaireBow_Aggro_11.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnaireBow/ViperLegionnaireBow_Aggro_12.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnaireBow/ViperLegionnaireBow_Aggro_13.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnaireBow/ViperLegionnaireBow_Aggro_14.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act3/ViperLegionnaireBow/ViperLegionnaireBow_Aggro_15.dialogue.ogg""]",0.3,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
42,"IncursionNew_DoctorIncursionTier1","Audio/Sound Effects/MonsterSounds/4.0/League/Incursion/Monster/IncursionDoctor/Vocal/AggroSG",[],0.5,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
43,"IncursionNew_DoctorIncursionTier2","Audio/Sound Effects/MonsterSounds/4.0/League/Incursion/Monster/IncursionDoctor/Vocal/AggroSG",[],0.5,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
44,"IncursionNew_DoctorIncursionTier3","Audio/Sound Effects/MonsterSounds/4.0/League/Incursion/Monster/IncursionDoctor/Vocal/AggroSG",[],0.5,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
45,"Procession","",[],0.5,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
46,"EtchedBeetleSmall","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act2/G2_4_1/EtchedBeetle/Vocals/AggroSG",[],0,0.75,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
47,"BreachBloater","Audio/Sound Effects/MonsterSounds/4.0/League/Breach/CorruptedEliteBloater/Vocals/AggroSG",[],0,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
48,"EtchedBeetleMedium","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act2/G2_4_1/EtchedScarab/Vocals/AggroSG",[],0,0.75,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
49,"BreachFingerDemon","Audio/Sound Effects/MonsterSounds/4.0/League/Breach/FingerDemon/Vocals/AggroSG",[],0,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
50,"BreachHandSpider","Audio/Sound Effects/MonsterSounds/4.0/League/Breach/HandSpider/Vocals/VO_AggroSG",[],0,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
51,"EtchedBeetleLarge","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act2/G2_4_2/EtchedGoliath/Vocals/AggroSG",[],0,0.75,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
52,"EtchedBeetleBoss","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act2/G2_4_2/BroodguardReplicator/Vocals/AggroSG",[],0,0.75,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
53,"CrawGull","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act4/G4_7/CrawGull/Vocal/AggroSG",[],0,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
54,"ExpeditionArbalest","Audio/Sound Effects/MonsterSounds/4.0/League/Expedition/Arbalest/Vox/AggroSG",[],0,0.3,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
55,"ExpeditionZealot","Audio/Sound Effects/MonsterSounds/4.0/League/Expedition/BoneCultistZealot/Vocals/AggroSG",[],0,0.6,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
56,"ExpeditionFungusZombie","Audio/Sound Effects/MonsterSounds/4.0/League/Expedition/FungusZombieFat/Vocals/AggroSG",[],0,0.3,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
57,"ExpdetionDeathKnight","Audio/Sound Effects/MonsterSounds/4.0/League/Expedition/DeathKnight/Vocal/Regular/AggroSG",[],0,0.3,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
58,"ExpeditionGolemancer","Audio/Sound Effects/MonsterSounds/4.0/League/Expedition/Golemancer/Vox_EmergeSG",[],0,0.6,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
59,"ExpeditionMercurialArmour","Audio/Sound Effects/MonsterSounds/4.0/League/Expedition/MercurialArmour/Vocals/AggroSG",[],0,0.3,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
60,"ExpeditionRatMonster","Audio/Sound Effects/MonsterSounds/4.0/League/Expedition/RatMonster/Vocals/EmergeSG",[],0,0.3,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
61,"ExpeditionScytheHand","Audio/Sound Effects/MonsterSounds/4.0/League/Expedition/ScytheHand/Vocals/AggroSG",[],0,0.3,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
62,"ExpeditionSkeleton","Audio/Sound Effects/MonsterSounds/4.0/League/Expedition/Skeletons/Vocal/EmergeSG",[],0,0.3,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
63,"ExpeditionSwordSkeleton","Audio/Sound Effects/MonsterSounds/4.0/League/Expedition/SwordSkeleton/VO/AggroSG",[],0,0.6,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
64,"ExpeditionUrchin","Audio/Sound Effects/MonsterSounds/4.0/League/Expedition/Urchin/Vocal/AggroSG",[],0,0.3,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
65,"ExpeditionVaalArmour","Audio/Sound Effects/MonsterSounds/4.0/League/Expedition/VaalArmour/Vocals/AggroSG",[],0,0.6,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
66,"ExpeditionZombies","Audio/Sound Effects/MonsterSounds/4.0/League/Expedition/Zombies/Vocals/AggroSG",[],0,0.3,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
67,"GoblinDrummer","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act4/G4_1_1/GoblinDrummer/Vocal/AggroSG",[],0.5,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
68,"GoblinMiner","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act4/G4_1_1/GoblinMiner/Vocals/AggroSG",[],0.5,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
69,"GoblinShaman","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act4/G4_1_1/GoblinShaman/Vocals/AggroSG",[],0.5,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
70,"GoblinSpearman","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act4/G4_1_1/GoblinSpearman/Vocal/AggroSG",[],0.5,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
71,"GoblinStiltsFighter","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act4/G4_1_1/GoblinStiltsFighter/Vocal/AggroSG",[],0.5,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
72,"GoblinTusker","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act4/G4_1_1/GoblinTusker/Vocal/AggroSG",[],0.5,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
73,"GoblinBeast","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act4/G4_1_1/GoblinVaalBeast/Vocals/AggroSG",[],0.5,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
74,"GoblinStabber","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act4/G4_1_1/GoblinStabber/Vocal/AggroSG",[],0.5,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
75,"GunpowderPiratesBarrel","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act4/G4_2_2/GunpowderPirates/Vocal/Barrel/AggroSG",[],0.5,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
76,"GunpowderPiratesCannon","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act4/G4_2_2/GunpowderPirates/Vocal/Cannoneer/AggroSG",[],0.5,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
77,"GunpowderPiratesGranade","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act4/G4_2_2/GunpowderPirates/Vocal/Barrel/AggroSG",[],0.5,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
78,"GunpowderPiratesBootyBlaster","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act4/G4_2_2/GunpowderPirates/Vocal/Cannoneer/AggroSG",[],0.5,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
79,"GullMen","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act4/G4_7/GullMen/Vocal/AggroSG",[],0.5,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
80,"RavenHarpy","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act4/G4_2_1/SeagullHarpy/Vocal/AggroSG",[],0.5,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
81,"GullCarrion","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act4/G4_7/GullCarrion/Vocal/AggroSG",[],0.5,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
82,"ManOWar","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act4/G4_2_2/ManOWar/Vocal/AggroSG",[],0.5,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
83,"ExpeditionMercurialArmourAxe","Audio/Sound Effects/MonsterSounds/4.0/League/Expedition/MercurialArmour/Vocals/MercurialAxe/AggroSG",[],0,0.3,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
84,"ExpeditionJetpackMiniBoss","Audio/Sound Effects/MonsterSounds/4.0/League/Rune/MiniBosses/JetpackMiniBoss/Vocals/Grounded_AggroSG",[],0,1,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
85,"ExpeditionIceCaster","Audio/Sound Effects/MonsterSounds/4.0/League/Rune/HumanoidFaction/ExpeditionIceCaster/Vocals/AggroSG",[],0,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
86,"ExpeditionParasiteHost","Audio/Sound Effects/MonsterSounds/4.0/League/Rune/ParasiteFaction/ExpeditionParasiteHost/Vocals/AggroSG",[],0,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
87,"ExpeditionMantaRayParasite","Audio/Sound Effects/MonsterSounds/4.0/League/Rune/ParasiteFaction/ExpeditionMantaRayParasite/Vocals/AggroSG",[],0,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
88,"ExpeditionOctopusParasite","Audio/Sound Effects/MonsterSounds/4.0/League/Rune/ParasiteFaction/ExpeditionOctopusParasite/Vocals/AggroSG",[],0,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
89,"ExpeditionGoldenOnes","Audio/Sound Effects/MonsterSounds/4.0/League/Rune/HumanoidFaction/ExpeditionGoldenOnes/Vocal/AggroSG",[],0,0.2,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
