"rownum","Id","Types","ExtraMods","TypesFiltered","PreviousTier","bool_72","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Icon","HASH16","[string]_91","BuffTemplates","Tier","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","[rid]_135","TextAudio","rid_167","MapStats","MapStatValues","MapMods","i32_231","i32_235","i32_239","[i32]_243","i32_259","i32_263","bool_267","[i32]_268","i32_284","i32_288"
36,"MonsterBuffElementalDamage3",[0],[13380],[],[35],1,"Prismatic Monsters III","Monstres prismatiques III","Prismatische Monster III","プリズムのモンスター III","분광 몬스터 III","Monstros Prismáticos III","Радужные монстры III","Monstruos prismáticos III","มอนสเตอร์สุ่มธาตุ ระดับ 3","三相怪物 III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/RandomChaoticTouch",27690,[],[],3,"Monsters [Gain|gain] 20% of Damage as Extra Damage of a random Element","Les Monstres [Gain|Rajoutent] 20% de leurs Dégâts sous forme de Dégâts d'un Élément aléatoire","Monster [Gain|verursachen] 20% des Schadens als extra Schaden eines zufälligen Elements","モンスターはダメージの20%をランダムな元素属性の追加ダメージとして[Gain|獲得]する","몬스터들이 피해의 20%를 무작위 원소의 추가 피해로 [Gain|획득]","Monstros [Gain|ganham] 20% do dano como dano de um elemento aleatório adicional","Монстры [Gain|наносят дополнительно] 20% урона в виде урона от случайной стихии","Los monstruos [Gain|ganan] el 20% del daño como daño extra de un elemento aleatorio","มอนสเตอร์ นำความเสียหาย 20% ไป[Gain|เสริม]เป็น ธาตุแบบสุ่ม","怪物[Gain|獲得]等同於 20% 傷害的額外隨機元素傷害",[],11199,"",[8205],[15],[],0,0,0,"[35,0]",37,0,"",[],0,0
37,"MonsterBuffElementalDamage4",[0],[13381],[],[36],1,"Prismatic Monsters IV","Monstres prismatiques IV","Prismatische Monster IV","プリズムのモンスター IV","분광 몬스터 IV","Monstros Prismáticos IV","Радужные монстры IV","Monstruos prismáticos IV","มอนสเตอร์สุ่มธาตุ ระดับ 4","三相怪物 IV","Art/2DArt/UIImages/InGame/Ultimatum/Icons/RandomChaoticTouch",28079,[],[],4,"Monsters [Gain|gain] 25% of Damage as Extra Damage of a random Element","Les Monstres [Gain|Rajoutent] 25% de leurs Dégâts sous forme de Dégâts d'un Élément aléatoire","Monster [Gain|verursachen] 25% des Schadens als extra Schaden eines zufälligen Elements","モンスターはダメージの25%をランダムな元素属性の追加ダメージとして[Gain|獲得]する","몬스터들이 피해의 25%를 무작위 원소의 추가 피해로 [Gain|획득]","Monstros [Gain|ganham] 25% do dano como dano de um elemento aleatório adicional","Монстры [Gain|наносят дополнительно] 25% урона в виде урона от случайной стихии","Los monstruos [Gain|ganan] el 25% del daño como daño extra de un elemento aleatorio","มอนสเตอร์ นำความเสียหาย 25% ไป[Gain|เสริม]เป็น ธาตุแบบสุ่ม","怪物[Gain|獲得]等同於 25% 傷害的額外隨機元素傷害",[],11199,"",[8205],[22],[],0,0,0,"[36,0,35]",38,0,"",[],0,0
38,"MonsterBuffElementalDamage5",[0],[13382],[],[37],1,"Prismatic Monsters V","Monstres prismatiques V","Prismatische Monster V","プリズムのモンスター V","분광 몬스터 V","Monstros Prismáticos V","Радужные монстры V","Monstruos prismáticos V","มอนสเตอร์สุ่มธาตุ ระดับ 5","三相怪物 V","Art/2DArt/UIImages/InGame/Ultimatum/Icons/RandomChaoticTouch",4568,[],[],5,"Monsters [Gain|gain] 30% of Damage as Extra Damage of a random Element","Les Monstres [Gain|Rajoutent] 30% de leurs Dégâts sous forme de Dégâts d'un Élément aléatoire","Monster [Gain|verursachen] 30% des Schadens als extra Schaden eines zufälligen Elements","モンスターはダメージの30%をランダムな元素属性の追加ダメージとして[Gain|獲得]する","몬스터들이 피해의 30%를 무작위 원소의 추가 피해로 [Gain|획득]","Monstros [Gain|ganham] 30% do dano como dano de um elemento aleatório adicional","Монстры [Gain|наносят дополнительно] 30% урона в виде урона от случайной стихии","Los monstruos [Gain|ganan] el 30% del daño como daño extra de un elemento aleatorio","มอนสเตอร์ นำความเสียหาย 30% ไป[Gain|เสริม]เป็น ธาตุแบบสุ่ม","怪物[Gain|獲得]等同於 30% 傷害的額外隨機元素傷害",[],11199,"",[8205],[30],[],0,0,0,"[37,0,36,0]",-16843010,-16843010,"",[],0,0
39,"MonsterBuffChaosDamage1",[0],[13373],[],[],1,"Chaotic Monsters","Monstres chaotiques","Chaotische Monster","混沌のモンスター","혼돈의 몬스터","Monstros Caóticos","Хаотичные монстры","Monstruos caóticos","มอนสเตอร์เคออส ระดับ 1","混沌怪物","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ChaoticTouch",10109,[],[],1,"Monsters [Gain|gain] 5% of Damage as Extra Chaos Damage","Les Monstres [Gain|Rajoutent] 5% de leurs Dégâts sous forme de Dégâts de chaos","Monster [Gain|verursachen] 5% des Schadens als extra [Chaos|Chaos]schaden","モンスターはダメージの5%を追加の[Chaos|混沌]ダメージとして[Gain|獲得]する","몬스터가 피해의 5%를 추가 카오스 피해로 [Gain|획득]","Monstros [Gain|ganham] 5% do dano como dano de caos adicional","Монстры [Gain|наносят дополнительно] 5% урона в виде урона [Chaos|хаосом]","Los monstruos [Gain|ganan] el 5% del daño como daño de caos extra","มอนสเตอร์ นำความเสียหาย 5% ไป[Gain|เสริม]เป็น [Chaos|เคออส]","怪物[Gain|獲得]等同於 5% 傷害的額外混沌傷害",[],11193,"",[8205],[4],[],0,0,0,[],40,0,"",[],0,0
40,"MonsterBuffChaosDamage2",[0],[13374],[],[39],1,"Chaotic Monsters II","Monstres chaotiques II","Chaotische Monster II","混沌のモンスター II","혼돈의 몬스터 II","Monstros Caóticos II","Хаотичные монстры II","Monstruos caóticos II","มอนสเตอร์เคออส ระดับ 2","混沌怪物 II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ChaoticTouch",19255,[],[],2,"Monsters [Gain|gain] 11% of Damage as Extra Chaos Damage","Les Monstres [Gain|Rajoutent] 11% de leurs Dégâts sous forme de Dégâts de chaos","Monster [Gain|verursachen] 11% des Schadens als extra [Chaos|Chaos]schaden","モンスターはダメージの11%を追加の[Chaos|混沌]ダメージとして[Gain|獲得]する","몬스터가 피해의 11%를 추가 카오스 피해로 [Gain|획득]","Monstros [Gain|ganham] 11% do dano como dano de caos adicional","Монстры [Gain|наносят дополнительно] 11% урона в виде урона [Chaos|хаосом]","Los monstruos [Gain|ganan] el 11% del daño como daño de caos extra","มอนสเตอร์ นำความเสียหาย 11% ไป[Gain|เสริม]เป็น [Chaos|เคออส]","怪物[Gain|獲得]等同於 11% 傷害的額外混沌傷害",[],11199,"",[8205],[9],[],0,0,0,[39],41,0,"",[],0,0
41,"MonsterBuffChaosDamage3",[0],[13375],[],[40],1,"Chaotic Monsters III","Monstres chaotiques III","Chaotische Monster III","混沌のモンスター III","혼돈의 몬스터 III","Monstros Caóticos III","Хаотичные монстры III","Monstruos caóticos III","มอนสเตอร์เคออส ระดับ 3","混沌怪物 III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ChaoticTouch",12903,[],[],3,"Monsters [Gain|gain] 17% of Damage as Extra Chaos Damage","Les Monstres [Gain|Rajoutent] 17% de leurs Dégâts sous forme de Dégâts de chaos","Monster [Gain|verursachen] 17% des Schadens als extra [Chaos|Chaos]schaden","モンスターはダメージの17%を追加の[Chaos|混沌]ダメージとして[Gain|獲得]する","몬스터가 피해의 17%를 추가 카오스 피해로 [Gain|획득]","Monstros [Gain|ganham] 17% do dano como dano de caos adicional","Монстры [Gain|наносят дополнительно] 17% урона в виде урона [Chaos|хаосом]","Los monstruos [Gain|ganan] el 17% del daño como daño de caos extra","มอนสเตอร์ นำความเสียหาย 17% ไป[Gain|เสริม]เป็น [Chaos|เคออส]","怪物[Gain|獲得]等同於 17% 傷害的額外混沌傷害",[],11199,"",[8205],[15],[],0,0,0,"[40,0]",42,0,"",[],0,0
42,"MonsterBuffChaosDamage4",[0],[13376],[],[41],1,"Chaotic Monsters IV","Monstres chaotiques IV","Chaotische Monster IV","混沌のモンスター IV","혼돈의 몬스터 IV","Monstros Caóticos IV","Хаотичные монстры IV","Monstruos caóticos IV","มอนสเตอร์เคออส ระดับ 4","混沌怪物 IV","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ChaoticTouch",55112,[],[],4,"Monsters [Gain|gain] 23% of Damage as Extra Chaos Damage","Les Monstres [Gain|Rajoutent] 23% de leurs Dégâts sous forme de Dégâts de chaos","Monster [Gain|verursachen] 23% des Schadens als extra [Chaos|Chaos]schaden","モンスターはダメージの23%を追加の[Chaos|混沌]ダメージとして[Gain|獲得]する","몬스터가 피해의 23%를 추가 카오스 피해로 [Gain|획득]","Monstros [Gain|ganham] 23% do dano como dano de caos adicional","Монстры [Gain|наносят дополнительно] 23% урона в виде урона [Chaos|хаосом]","Los monstruos [Gain|ganan] el 23% del daño como daño de caos extra","มอนสเตอร์ นำความเสียหาย 23% ไป[Gain|เสริม]เป็น [Chaos|เคออส]","怪物[Gain|獲得]等同於 23% 傷害的額外混沌傷害",[],11199,"",[8205],[22],[],0,0,0,"[41,0,40]",43,0,"",[],0,0
43,"MonsterBuffChaosDamage5",[0],[13377],[],[42],1,"Chaotic Monsters V","Monstres chaotiques V","Chaotische Monster V","混沌のモンスター V","혼돈의 몬스터 V","Monstros Caóticos V","Хаотичные монстры V","Monstruos caóticos V","มอนสเตอร์เคออส ระดับ 5","混沌怪物 V","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ChaoticTouch",8655,[],[],5,"Monsters [Gain|gain] 29% of Damage as Extra Chaos Damage","Les Monstres [Gain|Rajoutent] 29% de leurs Dégâts sous forme de Dégâts de chaos","Monster [Gain|verursachen] 29% des Schadens als extra [Chaos|Chaos]schaden","モンスターはダメージの29%を追加の[Chaos|混沌]ダメージとして[Gain|獲得]する","몬스터가 피해의 29%를 추가 카오스 피해로 [Gain|획득]","Monstros [Gain|ganham] 29% do dano como dano de caos adicional","Монстры [Gain|наносят дополнительно] 29% урона в виде урона [Chaos|хаосом]","Los monstruos [Gain|ganan] el 29% del daño como daño de caos extra","มอนสเตอร์ นำความเสียหาย 29% ไป[Gain|เสริม]เป็น [Chaos|เคออส]","怪物[Gain|獲得]等同於 29% 傷害的額外混沌傷害",[],11199,"",[8205],[30],[],0,0,0,"[42,0,41,0]",-16843010,-16843010,"",[],0,0
44,"MonsterBuffCriticalStrikes1",[0],[13389],[],[],1,"Deadly Monsters","Monstres mortels","Tödliche Monster","致死のモンスター","치명적인 몬스터","Monstros Mortais","Смертоносные монстры","Monstruos mortales","มอนสเตอร์ร้ายกาจ ระดับ 1","致命怪物","Art/2DArt/UIImages/InGame/Ultimatum/Icons/DeadlyMonsters",29938,[],[],1,"Monsters have 100% increased [Critical] Hit Chance","Les Monstres ont 100% d'Augmentation des Chances de Touche [Critical|Critique]","Monster haben 100% erhöhte [Critical|kritische] Trefferchance","モンスターの[Critical|クリティカル]ヒット率が100%増加する","몬스터의 [Critical|치명타] 명중 확률 100% 증가","Monstros têm a chance de golpe [Critical|crítico] aumentada em 100%","100% увеличение шанса [Critical|критического] удара у монстров","Los monstruos tienen la probabilidad de impacto [Critical|crítico] aumentada un 100%","มอนสเตอร์ มีโอกาสปะทะ[Critical|คริติคอล] เพิ่มขึ้น 100%","怪物增加 100% [Critical|暴擊]率",[],11205,"",[8205],[4],[],0,0,0,[],45,0,"",[],0,0
45,"MonsterBuffCriticalStrikes2",[0],[13390],[],[44],1,"Deadly Monsters II","Monstres mortels II","Tödliche Monster II","致死のモンスター II","치명적인 몬스터 II","Monstros Mortais II","Смертоносные монстры II","Monstruos mortales II","มอนสเตอร์ร้ายกาจ ระดับ 2","致命怪物 II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/DeadlyMonsters",21400,[],[],2,"Monsters have 200% increased [Critical] Hit Chance","Les Monstres ont 200% d'Augmentation des Chances de Touche [Critical|Critique]","Monster haben 200% erhöhte [Critical|kritische] Trefferchance","モンスターの[Critical|クリティカル]ヒット率が200%増加する","몬스터의 [Critical|치명타] 명중 확률 200% 증가","Monstros têm a chance de golpe [Critical|crítico] aumentada em 200%","200% увеличение шанса [Critical|критического] удара у монстров","Los monstruos tienen la probabilidad de impacto [Critical|crítico] aumentada un 200%","มอนสเตอร์ มีโอกาสปะทะ[Critical|คริติคอล] เพิ่มขึ้น 200%","怪物增加 200% [Critical|暴擊]率",[],11205,"",[8205],[9],[],0,0,0,[44],46,0,"",[],0,0
46,"MonsterBuffCriticalStrikes3",[0],[13391],[],[45],1,"Deadly Monsters III","Monstres mortels III","Tödliche Monster III","致死のモンスター III","치명적인 몬스터 III","Monstros Mortais III","Смертоносные монстры III","Monstruos mortales III","มอนสเตอร์ร้ายกาจ ระดับ 3","致命怪物 III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/DeadlyMonsters",37076,[],[],3,"Monsters have 300% increased [Critical] Hit Chance","Les Monstres ont 300% d'Augmentation des Chances de Touche [Critical|Critique]","Monster haben 300% erhöhte [Critical|kritische] Trefferchance","モンスターの[Critical|クリティカル]ヒット率が300%増加する","몬스터의 [Critical|치명타] 명중 확률 300% 증가","Monstros têm a chance de golpe [Critical|crítico] aumentada em 300%","300% увеличение шанса [Critical|критического] удара у монстров","Los monstruos tienen la probabilidad de impacto [Critical|crítico] aumentada un 300%","มอนสเตอร์ มีโอกาสปะทะ[Critical|คริติคอล] เพิ่มขึ้น 300%","怪物增加 300% [Critical|暴擊]率",[],11205,"",[8205],[15],[],0,0,0,"[45,0]",47,0,"",[],0,0
47,"MonsterBuffCriticalStrikes4",[0],[13392],[],[46],1,"Deadly Monsters IV","Monstres mortels IV","Tödliche Monster IV","致死のモンスター IV","치명적인 몬스터 IV","Monstros Mortais IV","Смертоносные монстры IV","Monstruos mortales IV","มอนสเตอร์ร้ายกาจ ระดับ 4","致命怪物 IV","Art/2DArt/UIImages/InGame/Ultimatum/Icons/DeadlyMonsters",46453,[],[],4,"Monsters have 400% increased [Critical] Hit Chance","Les Monstres ont 400% d'Augmentation des Chances de Touche [Critical|Critique]","Monster haben 400% erhöhte [Critical|kritische] Trefferchance","モンスターの[Critical|クリティカル]ヒット率が400%増加する","몬스터의 [Critical|치명타] 명중 확률 400% 증가","Monstros têm a chance de golpe [Critical|crítico] aumentada em 400%","400% увеличение шанса [Critical|критического] удара у монстров","Los monstruos tienen la probabilidad de impacto [Critical|crítico] aumentada un 400%","มอนสเตอร์ มีโอกาสปะทะ[Critical|คริติคอล] เพิ่มขึ้น 400%","怪物增加 400% [Critical|暴擊]率",[],11205,"",[8205],[22],[],0,0,0,"[46,0,45]",48,0,"",[],0,0
48,"MonsterBuffCriticalStrikes5",[0],[13393],[],[47],1,"Deadly Monsters V","Monstres mortels V","Tödliche Monster V","致死のモンスター V","치명적인 몬스터 V","Monstros Mortais V","Смертоносные монстры V","Monstruos mortales V","มอนสเตอร์ร้ายกาจ ระดับ 5","致命怪物 V","Art/2DArt/UIImages/InGame/Ultimatum/Icons/DeadlyMonsters",18008,[],[],5,"Monsters have 500% increased [Critical] Hit Chance","Les Monstres ont 500% d'Augmentation des Chances de Touche [Critical|Critique]","Monster haben 500% erhöhte [Critical|kritische] Trefferchance","モンスターの[Critical|クリティカル]ヒット率が500%増加する","몬스터의 [Critical|치명타] 명중 확률 500% 증가","Monstros têm a chance de golpe [Critical|crítico] aumentada em 500%","500% увеличение шанса [Critical|критического] удара у монстров","Los monstruos tienen la probabilidad de impacto [Critical|crítico] aumentada un 500%","มอนสเตอร์ มีโอกาสปะทะ[Critical|คริติคอล] เพิ่มขึ้น 500%","怪物增加 500% [Critical|暴擊]率",[],11205,"",[8205],[30],[],0,0,0,"[47,0,46,0]",-16843010,-16843010,"",[],0,0
49,"MonsterBuffPoisonAndBleed",[0],"[13394,13399]",[],[],1,"Toxic Monsters","Monstres toxiques","Giftige Monster","有毒のモンスター","맹독성 몬스터","Monstros Tóxicos","Токсичные монстры","Monstruos tóxicos","มอนสเตอร์อาบสารพิษ ระดับ 1","劇毒怪物","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ToxicMonsters",28995,[],[],1,"Monsters have 10% chance to inflict [Bleeding|Bleed] or [Poison]","Les Monstres ont 10% de chances d'infliger le [Bleeding|Saignement] ou du [Poison|Poison]","Monster haben 10% Chance, [Bleeding|Bluten] und [Poison|Gift] zu verursachen","モンスターの[Hit|ヒット]は10%の確率で[Bleeding|出血]および[Poison|毒]を付与する","몬스터들이 10% 확률로 [Bleeding|출혈] 또는 [Poison|중독] 유발","Monstros têm 10% de chance de infligir [Bleeding|sangramento] ou [Poison|envenenamento]","Монстры с 10% шансом накладывают [Bleeding|кровотечение] и [Poison|отравление]","Los monstruos tienen un 10% de probabilidad de aplicar [Bleeding|sangrado] o [Poison|veneno]","มอนสเตอร์ มีโอกาสสร้างสถานะ [Bleeding|เลือดไหล]หรือ[Poison|พิษ] 10%","怪物的[Hit|擊中]有 10% 機率造成[Bleeding|流血]和[Poison|中毒]",[],11214,"",[8205],[4],[],0,0,0,[],50,0,"",[],0,0
50,"MonsterBuffPoisonAndBleed2",[0],"[13395,13400]",[],[49],1,"Toxic Monsters II","Monstres toxiques II","Giftige Monster II","有毒のモンスター II","맹독성 몬스터 II","Monstros Tóxicos II","Токсичные монстры II","Monstruos tóxicos II","มอนสเตอร์อาบสารพิษ ระดับ 2","劇毒怪物 II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ToxicMonsters",47200,[],[],2,"Monsters have 20% chance to inflict [Bleeding|Bleed] or [Poison]","Les Monstres ont 20% de chances d'infliger le [Bleeding|Saignement] ou du [Poison|Poison]","Monster haben 20% Chance, [Bleeding|Bluten] und [Poison|Gift] zu verursachen","モンスターの[Hit|ヒット]は20%の確率で[Bleeding|出血]および[Poison|毒]を付与する","몬스터들이 20% 확률로 [Bleeding|출혈] 또는 [Poison|중독] 유발","Monstros têm 20% de chance de infligir [Bleeding|sangramento] ou [Poison|envenenamento]","Монстры с 20% шансом накладывают [Bleeding|кровотечение] и [Poison|отравление]","Los monstruos tienen un 20% de probabilidad de aplicar [Bleeding|sangrado] o [Poison|veneno]","มอนสเตอร์ มีโอกาสสร้างสถานะ [Bleeding|เลือดไหล]หรือ[Poison|พิษ] 20%","怪物的[Hit|擊中]有 20% 機率造成[Bleeding|流血]和[Poison|中毒]",[],11214,"",[8205],[9],[],0,0,0,[49],51,0,"",[],0,0
51,"MonsterBuffPoisonAndBleed3",[0],"[13396,13401]",[],[50],1,"Toxic Monsters III","Monstres toxiques III","Giftige Monster III","有毒のモンスター III","맹독성 몬스터 III","Monstros Tóxicos III","Токсичные монстры III","Monstruos tóxicos III","มอนสเตอร์อาบสารพิษ ระดับ 3","劇毒怪物 III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ToxicMonsters",17382,[],[],3,"Monsters have 30% chance to inflict [Bleeding|Bleed] or [Poison]","Les Monstres ont 30% de chances d'infliger le [Bleeding|Saignement] ou du [Poison|Poison]","Monster haben 30% Chance, [Bleeding|Bluten] und [Poison|Gift] zu verursachen","モンスターの[Hit|ヒット]は30%の確率で[Bleeding|出血]および[Poison|毒]を付与する","몬스터들이 30% 확률로 [Bleeding|출혈] 또는 [Poison|중독] 유발","Monstros têm 30% de chance de infligir [Bleeding|sangramento] ou [Poison|envenenamento]","Монстры с 30% шансом накладывают [Bleeding|кровотечение] и [Poison|отравление]","Los monstruos tienen un 30% de probabilidad de aplicar [Bleeding|sangrado] o [Poison|veneno]","มอนสเตอร์ มีโอกาสสร้างสถานะ [Bleeding|เลือดไหล]หรือ[Poison|พิษ] 30%","怪物的[Hit|擊中]有 30% 機率造成[Bleeding|流血]和[Poison|中毒]",[],11214,"",[8205],[15],[],0,0,0,"[50,0]",52,0,"",[],0,0
52,"MonsterBuffPoisonAndBleed4",[0],"[13397,13402]",[],[51],1,"Toxic Monsters IV","Monstres toxiques IV","Giftige Monster IV","有毒のモンスター IV","맹독성 몬스터 IV","Monstros Tóxicos IV","Токсичные монстры IV","Monstruos tóxicos IV","มอนสเตอร์อาบสารพิษ ระดับ 4","劇毒怪物 IV","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ToxicMonsters",51692,[],[],4,"Monsters have 40% chance to inflict [Bleeding|Bleed] or [Poison]","Les Monstres ont 40% de chances d'infliger le [Bleeding|Saignement] ou du [Poison|Poison]","Monster haben 40% Chance, [Bleeding|Bluten] und [Poison|Gift] zu verursachen","モンスターの[Hit|ヒット]は40%の確率で[Bleeding|出血]および[Poison|毒]を付与する","몬스터들이 40% 확률로 [Bleeding|출혈] 또는 [Poison|중독] 유발","Monstros têm 40% de chance de infligir [Bleeding|sangramento] ou [Poison|envenenamento]","Монстры с 40% шансом накладывают [Bleeding|кровотечение] и [Poison|отравление]","Los monstruos tienen un 40% de probabilidad de aplicar [Bleeding|sangrado] o [Poison|veneno]","มอนสเตอร์ มีโอกาสสร้างสถานะ [Bleeding|เลือดไหล]หรือ[Poison|พิษ] 40%","怪物的[Hit|擊中]有 40% 機率造成[Bleeding|流血]和[Poison|中毒]",[],11214,"",[8205],[22],[],0,0,0,"[51,0,50]",53,0,"",[],0,0
53,"MonsterBuffPoisonAndBleed5",[0],"[13398,13403]",[],[52],1,"Toxic Monsters V","Monstres toxiques V","Giftige Monster V","有毒のモンスター V","맹독성 몬스터 V","Monstros Tóxicos V","Токсичные монстры V","Monstruos tóxicos V","มอนสเตอร์อาบสารพิษ ระดับ 5","劇毒怪物 V","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ToxicMonsters",36462,[],[],5,"Monsters have 50% chance to inflict [Bleeding|Bleed] or [Poison]","Les Monstres ont 50% de chances d'infliger le [Bleeding|Saignement] ou du [Poison|Poison]","Monster haben 50% Chance, [Bleeding|Bluten] und [Poison|Gift] zu verursachen","モンスターの[Hit|ヒット]は50%の確率で[Bleeding|出血]および[Poison|毒]を付与する","몬스터들이 50% 확률로 [Bleeding|출혈] 또는 [Poison|중독] 유발","Monstros têm 50% de chance de infligir [Bleeding|sangramento] ou [Poison|envenenamento]","Монстры с 50% шансом накладывают [Bleeding|кровотечение] и [Poison|отравление]","Los monstruos tienen un 50% de probabilidad de aplicar [Bleeding|sangrado] o [Poison|veneno]","มอนสเตอร์ มีโอกาสสร้างสถานะ [Bleeding|เลือดไหล]หรือ[Poison|พิษ] 50%","怪物的[Hit|擊中]有 50% 機率造成[Bleeding|流血]和[Poison|中毒]",[],11214,"",[8205],[30],[],0,0,0,"[52,0,51,0]",-16843010,-16843010,"",[],0,0
54,"MonsterBuffResistances",[0],[13404],[],[],1,"Resistant Monsters","Monstres résistants","Widerstandsfähige Monster","耐性のモンスター","저항하는 몬스터","Monstros Resistentes","Устойчивые монстры","Monstruos resistentes","มอนสเตอร์ต้านทาน ระดับ 1","抗性怪物","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ResistantMonsters",43631,[],[],1,"Monsters have +10% to all [Resistances]","Les monstres ont +10% à toutes les [Resistances|Résistances]","Monster haben +10% zu allen [Resistances|Widerständen]","モンスターの全[Resistances|耐性] +10%","몬스터의 모든 [Resistances|저항] +10%","Monstros têm +10% a todas as [Resistances|resistências]","+10% ко всем [Resistances|сопротивлениям] монстров","Los monstruos tienen +10% a todas las [Resistances|resistencias]","มอนสเตอร์ มี[Resistances|ค่าต้านทาน] ทุกชนิด +10%","怪物 +10% 全部[Resistances|抗性]",[],11223,"",[8205],[4],[],0,0,0,[],55,0,"",[],0,0
55,"MonsterBuffResistances2",[0],[13405],[],[54],1,"Resistant Monsters II","Monstres résistants II","Widerstandsfähige Monster II","耐性のモンスター II","저항하는 몬스터 II","Monstros Resistentes II","Устойчивые монстры II","Monstruos resistentes II","มอนสเตอร์ต้านทาน ระดับ 2","抗性怪物 II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ResistantMonsters",7260,[],[],2,"Monsters have +20% to all [Resistances]","Les Monstres ont +20% à toutes les [Resistances|Résistances]","Monster haben +20% zu allen [Resistances|Widerständen]","モンスターの全[Resistances|耐性] +20%","몬스터의 모든 [Resistances|저항] +20%","Monstros têm +20% a todas as [Resistances|resistências]","+20% ко всем [Resistances|сопротивлениям] монстров","Los monstruos tienen +20% a todas las [Resistances|resistencias]","มอนสเตอร์ มี[Resistances|ค่าต้านทาน] ทุกชนิด +20%","怪物 +20% 全部[Resistances|抗性]",[],11223,"",[8205],[9],[],0,0,0,[54],56,0,"",[],0,0
56,"MonsterBuffResistances3",[0],[13406],[],[55],1,"Resistant Monsters III","Monstres résistants III","Widerstandsfähige Monster III","耐性のモンスター III","저항하는 몬스터 III","Monstros Resistentes III","Устойчивые монстры III","Monstruos resistentes III","มอนสเตอร์ต้านทาน ระดับ 3","抗性怪物 III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ResistantMonsters",11795,[],[],3,"Monsters have +30% to all [Resistances]","Les Monstres ont +30% à toutes les [Resistances|Résistances]","Monster haben +30% zu allen [Resistances|Widerständen]","モンスターの全[Resistances|耐性] +30%","몬스터의 모든 [Resistances|저항] +30%","Monstros têm +30% a todas as [Resistances|resistências]","+30% ко всем [Resistances|сопротивлениям] монстров","Los monstruos tienen +30% a todas las [Resistances|resistencias]","มอนสเตอร์ มี[Resistances|ค่าต้านทาน] ทุกชนิด +30%","怪物 +30% 全部[Resistances|抗性]",[],11223,"",[8205],[15],[],0,0,0,"[55,0]",57,0,"",[],0,0
57,"MonsterBuffResistances4",[0],[13407],[],[56],1,"Resistant Monsters IV","Monstres résistants IV","Widerstandsfähige Monster IV","耐性のモンスター IV","저항하는 몬스터 IV","Monstros Resistentes IV","Устойчивые монстры IV","Monstruos resistentes IV","มอนสเตอร์ต้านทาน ระดับ 4","抗性怪物 IV","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ResistantMonsters",2852,[],[],4,"Monsters have +40% to all [Resistances]","Les Monstres ont +40% à toutes les [Resistances|Résistances]","Monster haben +40% zu allen [Resistances|Widerständen]","モンスターの全[Resistances|耐性] +40%","몬스터의 모든 [Resistances|저항] +40%","Monstros têm +40% a todas as [Resistances|resistências]","+40% ко всем [Resistances|сопротивлениям] монстров","Los monstruos tienen +40% a todas las [Resistances|resistencias]","มอนสเตอร์ มี[Resistances|ค่าต้านทาน] ทุกชนิด +40%","怪物 +40% 全部[Resistances|抗性]",[],11223,"",[8205],[22],[],0,0,0,"[56,0,55]",58,0,"",[],0,0
58,"MonsterBuffResistances5",[0],[13408],[],[57],1,"Resistant Monsters V","Monstres résistants V","Widerstandsfähige Monster V","耐性のモンスター V","저항하는 몬스터 V","Monstros Resistentes V","Устойчивые монстры V","Monstruos resistentes V","มอนสเตอร์ต้านทาน ระดับ 5","抗性怪物 V","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ResistantMonsters",35256,[],[],5,"Monsters have +50% to all [Resistances]","Les Monstres ont +50% à toutes les [Resistances|Résistances]","Monster haben +50% zu allen [Resistances|Widerständen]","モンスターの全[Resistances|耐性] +50%","몬스터의 모든 [Resistances|저항] +50%","Monstros têm +50% a todas as [Resistances|resistências]","+50% ко всем [Resistances|сопротивлениям] монстров","Los monstruos tienen +50% a todas las [Resistances|resistencias]","มอนสเตอร์ มี[Resistances|ค่าต้านทาน] ทุกชนิด +50%","怪物 +50% 全部[Resistances|抗性]",[],11223,"",[8205],[30],[],0,0,0,"[57,0,56,0]",-16843010,-16843010,"",[],0,0
