"rownum","Id","Filters","Filters (French)","Filters (German)","Filters (Japanese)","Filters (Korean)","Filters (Portuguese)","Filters (Russian)","Filters (Spanish)","Filters (Thai)","Filters (Traditional Chinese)","FilterGroup","i32_32","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","bool_44","bool_45","bool_46","bool_47","KeywordPopup"
107,"recently","recently","récemment","kürzlich","直近","최근 4초 이내","recentemente","recently","recientemente","เร็วๆ นี้","近期",9,100,"Recently","Récemment","Kürzlich","直近","최근 4초 이내","Recentemente","Недавно","Recientemente","เร็วๆ นี้","近期","","","","",42
108,"lucky","lucky","favorable","günstig","幸運","행운","sortudo","lucky","afortunado","โชคดี","幸運",11,100,"Lucky","Favorable","Günstig","幸運","행운","Sortudo","Удачливый","Afortunado","โชคดี","幸運","","","","",33
109,"unlucky","unlucky","défavorable","ungünstig","不幸","불운","azarado","unlucky","desafortunado","โชคร้าย","不幸",11,100,"Unlucky","Défavorable","Ungünstig","不幸","불운","Azarado","Неудачливый","Desafortunado","โชคร้าย","不幸","","","","",53
110,"reduce","reduce","réduction","verringert|verkürzte","減少","감소","redução","reduce","reducir","ลด","減少",9,100,"Reduce","Réduction","Verringert","減少","감소","Redução","Уменьшение","Reducir","ลด","減少","","","","",""
111,"increase","increase","augmentation","erhöht|verlängert","増加","증가","aumento","increase","aumentar","เพิ่ม","增加",9,100,"Increase","Augmentation","Erhöht","増加","증가","Aumento","Увеличение","Aumentar","เพิ่ม","增加","","","","",""
112,"cost","cost","coût","kosten","コスト","비용","custo","cost","costo","ค่าใช้งาน","消耗",9,100,"Cost","Coût","Kosten","コスト","비용","Custo","Расход","Costo","ค่าใช้งาน","消耗","","","","",""
113,"bonus","bonus","bonus","bonus","ボーナス","보너스","bônus","bonus","bonificación","โบนัส","加成",9,100,"Bonus","Bonus","Bonus","ボーナス","보너스","Bônus","Бонус","Bonificación","โบนัส","加成","","","","",""
114,"extra","extra","supplémentaire","extra","追加","추가","adicional","extra","extra","เพิ่มเติม","額外",9,100,"Extra","Supplémentaire","Extra","追加","추가","Adicional","Дополнительно","Extra","เพิ่มเติม","額外","","","","",""
115,"heavy","heavy","lourd","schwer","ヘビー","강력","pesado","heavy","pesado","หนัก","重型",9,100,"Heavy","Lourd","Schwer","ヘビー","강력","Pesado","Тяжёлый/сильный","Pesado","หนัก","重型","","","","",57
116,"on_hit","on hit","au toucher","bei treffer","ヒット時","명중 시","ao atingir","on hit","al impactar","เมื่อปะทะ","擊中效果",9,100,"On Hit","Au Toucher","Bei Treffer","ヒット時","명중 시","Ao Atingir","При нанесении удара","Al impactar","เมื่อปะทะ","擊中效果",1,"","","",""
117,"on_kill","on kill","en tuant","bei tötung","キル時","처치 시","ao matar","on kill","al matar","เมื่อสังหาร","擊殺效果",9,100,"On Kill","En Tuant","Bei Tötung","キル時","처치 시","Ao Matar","При убийстве","Al matar","เมื่อสังหาร","擊殺效果",1,"","","",""
118,"distance","distance","distance","distanz","距離","거리","distância","distance","distancia","ระยะทาง","距離",9,100,"Distance","Distance","Distanz","距離","거리","Distância","Дистанция","Distancia","ระยะทาง","距離","","","","",""
119,"weapon_swap","weapon swap","permutation d'armes","waffenwechsel","武器交換","무기 교체","troca de arma","weapon swap","intercambio de armas","สลับอาวุธ","武器切換",10,100,"Weapon Swap","Permutation d'armes","Waffenwechsel","武器交換","무기 교체","Troca de Arma","Смена оружия","Intercambio de armas","สลับอาวุธ","武器切換","","","",1,484
120,"chance","chance","chance","chance","確率","확률","chance","chance","probabilidad","โอกาส","機率",9,100,"Chance","Chance","Chance","確率","확률","Chance","Шанс","Probabilidad","โอกาส","機率","","","",1,438
121,"notable","notable","éminent","bedeutende passive","ノータブル","주요 스킬","notável","notable","notable","พาสซีฟกลาง","核心天賦",11,100,"Notable","Éminent","Bedeutende Passive","ノータブル","주요 스킬","Notável","Значимое","Notable","พาสซีฟกลาง","核心天賦","","","",1,""
122,"keystone","keystone","charnière","schlüsselfertigkeit","キーストーン","핵심노드","fundamental","keystone","piedra angular","คีย์สโตน","關鍵天賦",11,100,"Keystone","Charnière","Schlüsselfertigkeit","キーストーン","핵심노드","Fundamental","Ключевое","Piedra angular","คีย์สโตน","關鍵天賦","","","",1,""
123,"companion","companion","compagnon","gefährte","コンパニオン","반려수","companheiro","companion","compañero","สหาย","盟友",4,100,"Companion","Compagnon","Gefährte","コンパニオン","반려수","Companheiro","Компаньон","Compañero","สหาย","盟友",1,"","","",412
124,"remnant","remnant","reliquat","überrest","レムナント","잔류물","vestígio","remnant","remanente","หยาด","痕跡",11,100,"Remnant","Reliquat","Überrest","レムナント","잔류물","Vestígio","Сгусток","Remanente","หยาด","痕跡",1,"","","",396
125,"infusion","infuse|infusion","infuser|infusion","infusionieren|infusion","インフュージョン","주입","infunde|infusão","infuse|infusion","infundir|infusión","ชุบพลัง","灌注|灌注",4,100,"Infusion","Infusion","Infusion","インフュージョン","주입","Infusão","Насыщение","Infusión","ชุบพลัง","灌注",1,"","","",573
126,"deflection","deflect|deflection","dévier|déviation","abwenden|abwendung","受け流し","튕겨내기|튕겨냄","deflete|deflexão","deflect|deflection","desviar|desvío","ปัดป้อง","偏斜|偏斜",6,100,"Deflection","Déviation","Abwendung","受け流し","튕겨내기","Deflexão","Отклонение","Desvío","ปัดป้อง","偏斜","","",1,"",68
127,"archon","archon","archonte","archon","アルコン","집정관","arconte","archon","arconte","อาร์คอน","統治者",4,100,"Archon","Archonte","Archon","アルコン","집정관","Arconte","Архонт","Arconte","อาร์คอน","統治者","","","","",591
128,"blind","blind","aveuglement","blenden","盲目","실명","cegueira","blind","ciego","ตาบอด","致盲",8,100,"Blind","Aveuglement","Blenden","盲目","실명","Cegueira","Ослепление","Ciego","ตาบอด","致盲",1,"","","",13
129,"intimidate","intimidate","intimidation","einschüchtern","威嚇","위협","intimidação","intimidate","intimidar","ข่มขู่","威嚇",8,100,"Intimidate","Intimidation","Einschüchtern","威嚇","위협","Intimidação","Устрашение","Intimidar","ข่มขู่","威嚇",1,"","","",270
130,"debilitate","debilitate","abasourdissement","erschöpft","弱体化","쇠잔","debilidade","debilitate","debilitar","อ่อนกำลัง","虛弱",8,100,"Debilitate","Abasourdissement","Erschöpft","弱体化","쇠잔","Debilidade","Изнурение","Debilitar","อ่อนกำลัง","虛弱",1,"","","",568
131,"glory","glory","gloire","ruhm","グローリー","영광","glória","glory","gloria","บารมี","榮耀",5,100,"Glory","Gloire","Ruhm","グローリー","영광","Glória","Слава","Gloria","บารมี","榮耀",1,"","","",478
132,"surrounded","surround|surrounded","encercler|encerclé","umgeben|umgeben sein","包囲","포위","cerca|cercado","surround|surrounded","rodear|rodeado","ถูกล้อมรอบ","包圍|被包圍",10,100,"Surrounded","Encerclé","Umgeben","包囲","포위","Cercado","В окружении","Rodeado","ถูกล้อมรอบ","被包圍","","","",1,255
133,"ballista","ballista","baliste","balliste","バリスタ","쇠뇌","balista","ballista","balista","ป้อมเครื่องยิง","砲塔",5,100,"Ballista","Baliste","Balliste","バリスタ","쇠뇌","Balista","Баллиста","Balista","ป้อมเครื่องยิง","砲塔",1,"","","",271
134,"cull","cull","coup de grâce","ausmerzen","カリング","마무리 타격","aniquilar","cull","gracia","ปลิดชีพ","撲殺",5,100,"Cull","Coup de grâce","Ausmerzen","カリング","마무리 타격","Aniquilar","Добивание","Gracia","ปลิดชีพ","撲殺",1,"","","",17
135,"combo","combo","enchaînement","kombo","コンボ","연계","combo","combo","combo","คอมโบ","連擊",5,100,"Combo","Enchaînement","Kombo","コンボ","연계","Combo","Комбо","Combo","คอมโบ","連擊",1,"","","",253
136,"hazard","hazard","péril","gefahr","ハザード","위해 요소","ameaça","hazard","peligro","พื้นที่อันตราย","危險",5,100,"Hazard","Péril","Gefahr","ハザード","위해 요소","Ameaça","Помеха","Peligro","พื้นที่อันตราย","危險",1,"","","",415
137,"sprint","sprint","sprint","sprinten","スプリント","달리기","correr","sprint","esprint","วิ่ง","衝刺",10,100,"Sprint","Sprint","Sprinten","スプリント","달리기","Correr","Спринт","Esprint","วิ่ง","衝刺","","","",1,""
138,"invocation","invocation","évocation","beschwörung","インボケーション","기원","invocação","invocation","conjuración","มนต์","祈願",4,100,"Invocation","Évocation","Beschwörung","インボケーション","기원","Invocação","Вызов","Conjuración","มนต์","祈願",1,"","","",614
139,"volatility","volatile|volatility","instable|instabilité","instabil|instabilität","ボラティリティ","일촉즉발","volátil|volatilidade","volatile|volatility","volátil|volatilidad","แรงปะทุ","易爆|易爆",5,100,"Volatility","Instabilité","Instabilität","ボラティリティ","일촉즉발","Volatilidade","Нестабильность","Volatilidad","แรงปะทุ","易爆",1,"","","",406
140,"offering","offering","offrande","opfer","オファリング","공물","oferenda","offering","ofrenda","เซ่นไหว้","奉獻",4,100,"Offering","Offrande","Opfer","オファリング","공물","Oferenda","Подношение","Ofrenda","เซ่นไหว้","奉獻",1,"","","",314
141,"orb","orb","orbe","sphäre","オーブ","보주","orbe","orb","orbe","ลูกแก้ว","球體",4,100,"Orb","Orbe","Sphäre","オーブ","보주","Orbe","Сфера","Orbe","ลูกแก้ว","球體",1,"","","",143
142,"fissure","fissure","fissure","spalte","亀裂","균열","fenda","fissure","fisura","รอยแยก","裂縫",5,100,"Fissure","Fissure","Spalte","亀裂","균열","Fenda","Расселина","Fisura","รอยแยก","裂縫",1,"","","",""
143,"immobilisation","immobilisation","immobilisation","immobilisierung","移動不可","이동 불가","imobilização","immobilisation","inmovilización","ขยับไม่ได้","禁錮",8,100,"Immobilisation","Immobilisation","Immobilisierung","移動不可","이동 불가","Imobilização","Обездвиживание","Inmovilización","ขยับไม่ได้","禁錮",1,1,"","",54
144,"pin","pin","verrouillage","festsetzen","足止め","고정","aprisionamento","pin","retención","ตรึง","釘身",5,100,"Pin","Verrouillage","Festsetzen","足止め","고정","Aprisionamento","Пригвождение","Retención","ตรึง","釘身",1,1,"","",60
145,"immune","immune","immunité","immun","完全無効化","면역","imune","immune","inmune","ป้องกัน","免疫",6,100,"Immune","Immunité","Immun","完全無効化","면역","Imune","Иммунитет","Inmune","ป้องกัน","免疫","","","","",""
146,"command","command","ordre","befehlen","コマンド","명령","comando","command","orden","สั่งการ","指令",4,100,"Command","Ordre","Befehlen","コマンド","명령","Comando","Приказ","Orden","สั่งการ","指令",1,"","","",299
147,"temporary","temporary","temporaire","temporär","一時的","일시적","temporário","temporary","temporal","ชั่วคราว","暫時",4,100,"Temporary","Temporaire","Temporär","一時的","일시적","Temporário","Временный","Temporal","ชั่วคราว","暫時",1,"","","",""
148,"presence","presence","présence","präsenz","存在下","접근","presença","presence","presencia","ระยะปรากฏกาย","存在",11,100,"Presence","Présence","Präsenz","存在下","접근","Presença","Присутствие","Presencia","ระยะปรากฏกาย","存在",1,"","","",154
149,"oracle","oracle","oracle","orakel","オラクル","오라클","oráculo","oracle","oráculo","Oracle","先知",11,100,"Oracle","Oracle","Orakel","オラクル","오라클","Oráculo","Оракул","Oráculo","Oracle","先知",1,"","","",""
150,"mastery","mastery","maîtrise","meisterschaft","マスタリー","숙련","maestria","mastery","maestría","ความชำนาญ","專精",11,100,"Mastery","Maîtrise","Meisterschaft","マスタリー","숙련","Maestria","Мастерство","Maestría","ความชำนาญ","專精",1,"","","",""
151,"support","support","soutien","unterstützung","サポート","보조","reforço","support","asistencia","เสริม","輔助",11,100,"Support","Soutien","Unterstützung","サポート","보조","Reforço","Поддержка","Asistencia","เสริม","輔助",1,"","","",183
152,"beast","beast","bête","bestie","ビースト","야수","fera","beast","bestia","สัตว์ร้าย","野獸",4,100,"Beast","Bête","Bestie","ビースト","야수","Fera","Зверь","Bestia","สัตว์ร้าย","野獸",1,"","","",""
153,"dual_wield","dual wield","deux armes","beidhändig","二刀流","쌍수","duas armas","dual wield","doble empuñadura","ถืออาวุธคู่","雙持",3,100,"Dual Wield","Deux armes","Beidhändig","二刀流","쌍수","Duas Armas","В каждой руке | Парное","Doble empuñadura","ถืออาวุธคู่","雙持","",1,"","",131
154,"impale","impale","empalement","aufspießen","串刺し","꿰뚫기","empalamento","impale","empalar","ทิ่มแทง","穿刺",8,100,"Impale","Empalement","Aufspießen","串刺し","꿰뚫기","Empalamento","Прокол","Empalar","ทิ่มแทง","穿刺",1,1,"","",417
155,"jewel","jewel","joyau","juwel","ジュエル","주얼","joia","jewel","joya","จิวเวล","珠寶",11,100,"Jewel","Joyau","Juwel","ジュエル","주얼","Joia","Самоцвет","Joya","จิวเวล","珠寶","","","",1,376
156,"consume","consume","consommer","verbrauchen","消費","소모","consome","consume","consumir","กลืนกิน","消耗",9,100,"Consume","Consommer","Verbrauchen","消費","소모","Consome","Поглощение","Consumir","กลืนกิน","消耗",1,"","","",168
157,"defence","defence","défense","verteidigung","防御","방어","defesa","defence","defensa","เชิงรับ","防禦",6,100,"Defence","Défense","Verteidigung","防御","방어","Defesa","Защита","Defensa","เชิงรับ","防禦","","","","",""
158,"offence","offence","offense","offensive","攻撃","공격","ofensivo","offence","ofensiva","เชิงรุก","攻擊",5,100,"Offence","Offense","Offensive","攻撃","공격","Ofensivo","Наступление","Ofensiva","เชิงรุก","攻擊","","","","",""
159,"shapeshift","shapeshift","métamorphose","gestaltwandeln","シェープシフト","형태 변환","transformação","shapeshift","transformar","กลายร่าง","變形",4,100,"Shapeshift","Métamorphose","Gestaltwandeln","シェープシフト","형태 변환","Transformação","Превращение","Transformar","กลายร่าง","變形",1,"",1,"",43
160,"global","global","global","global","グローバル","일반","global","global","global","ของตัวละคร","全域",11,100,"Global","Global","Global","グローバル","일반","Global","Глобальные","Global","ของตัวละคร","全域","","","",1,""
161,"recharge","recharge","recharge","wiederaufladen","リチャージ","재충전","recarga","recharge","recarga","รีชาร์จ","充能",9,100,"Recharge","Recharge","Wiederaufladen","リチャージ","재충전","Recarga","Перезарядка","Recarga","รีชาร์จ","充能",1,"","","",239
162,"channel","channel","canaliser","kanalisieren","チャネリング","집중 유지","canalizar","channel","canal","แชนเนล","引導",4,100,"Channel","Canaliser","Kanalisieren","チャネリング","집중 유지","Canalizar","Поддержание","Canal","แชนเนล","引導",1,"","","",161
163,"corpse","corpse","cadavre","leiche","死体","시신","cadáver","corpse","cadáver","ศพ","屍體",11,100,"Corpse","Cadavre","Leiche","死体","시신","Cadáver","Труп","Cadáver","ศพ","屍體",1,"","","",150
164,"banner","banner","étendard","banner","バナー","깃발","estandarte","banner","estandarte","ธง","戰旗",4,100,"Banner","Étendard","Banner","バナー","깃발","Estandarte","Знамя","Estandarte","ธง","戰旗",1,"","","",403
165,"low_life","low life","vie basse","niedriges leben","低ライフ","낮은 생명력","vida baixa","low life","vida baja","พลังชีวิตเหลือน้อย","貧血",9,100,"Low Life","Vie basse","Niedriges Leben","低ライフ","낮은 생명력","Vida Baixa","Малый уровень здоровья","Vida baja","พลังชีวิตเหลือน้อย","貧血",1,"","","",31
166,"life_cost","life cost","coût en vie","lebenskosten","ライフコスト","생명력 비용","custo de vida","life cost","costo de vida","ค่าใช้งานพลังชีวิต","生命消耗",9,100,"Life Cost","Coût en Vie","Lebenskosten","ライフコスト","생명력 비용","Custo de Vida","Расход здоровья","Costo de vida","ค่าใช้งานพลังชีวิต","生命消耗",1,"","","",""
167,"plant","plant","plante","pflanze","プラント","식물","planta","plant","planta","ต้นไม้","植物",4,100,"Plant","Plante","Pflanze","プラント","식물","Planta","Растение","Planta","ต้นไม้","植物",1,"","","",629
168,"detonation","detonation|detonate","détonation|détoner","detonation|detonieren","起爆","기폭","detonação|detonar","detonation|detonate","detonación|detonar","การจุดระเบิด","引爆|引爆",5,100,"Detonation","Détonation","Detonation","起爆","기폭","Detonação","Детонация","Detonación","การจุดระเบิด","引爆",1,1,"","",450
169,"detonator","detonator","détonateur","detonator","デトネーター","기폭 장치","detonador","detonator","detonador","จุดระเบิด","引爆器",5,100,"Detonator","Détonateur","Detonator","デトネーター","기폭 장치","Detonador","Детонатор","Detonador","จุดระเบิด","引爆器",1,"","","",186
170,"potency","potency","efficacité","potenz","ポテンシャル","효력","potência","potency","potencia","ศักยภาพ","效力",11,100,"Potency","Efficacité","Potenz","ポテンシャル","효력","Potência","Действенность","Potencia","ศักยภาพ","效力",1,"","","",""
171,"limit","limit","limite","limit","上限","제한","limite","limit","límite","จำนวนจำกัด","上限",9,100,"Limit","Limite","Limit","上限","제한","Limite","Лимит","Límite","จำนวนจำกัด","上限",1,"","","",394
172,"martial","martial","martial","kampf","マーシャル","무도","marcial","martial","marcial","จู่โจม","武道",11,100,"Martial","Martial","Kampf","マーシャル","무도","Marcial","Боевое","Marcial","จู่โจม","武道","",1,"","",216
173,"ground","ground","sol","boden","領域","지대","chão","ground","suelo","พื้น","地面",11,100,"Ground","Sol","Boden","領域","지대","Chão","Наземный","Suelo","พื้น","地面",1,"","","",""
174,"convert","convert|conversion|converted|converts","convertir|conversion|converti|convertit","umwandeln|umwandlung|umgewandelt|wandelt um","変換","전환","converte|conversão|convertido|converte","convert|conversion|converted|converts","convertir|conversión|convertido|convierte","แปลง","轉換",9,100,"Convert","Convertir","Umwandlung","変換","전환","Converter","Преобразует","Convertir","แปลง","轉換",1,1,1,"",""
