"rownum","Id","Stats","StatValues","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Icon","i32_56","bool_60","EffectCategory","NextEffect","string_85","BoonDesc","BoonDesc (French)","BoonDesc (German)","BoonDesc (Japanese)","BoonDesc (Korean)","BoonDesc (Portuguese)","BoonDesc (Russian)","BoonDesc (Spanish)","BoonDesc (Thai)","BoonDesc (Traditional Chinese)","CurseDesc","CurseDesc (French)","CurseDesc (German)","CurseDesc (Japanese)","CurseDesc (Korean)","CurseDesc (Portuguese)","CurseDesc (Russian)","CurseDesc (Spanish)","CurseDesc (Thai)","CurseDesc (Traditional Chinese)","i32_109","i32_113","bool_117","[rid]_118","Guard","FirstEffect","i32_158","i32_162","bool_166","bool_167","HASH16"
24,"AfflictionMonsterPercentageDamage",[19113],[5],"Hungry Fangs","Crocs affamés","Hungrige Fangzähne","空腹の牙","굶주린 송곳니","Dentes Famintos","Голодные клыки","Colmillos hambrientos","เขี้ยวหิวโหย","飢餓獠牙","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangsIcon",13,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs","","","","","","","","","","","Monsters remove 5% of your Life, Mana and [EnergyShield|Energy Shield] on [HitDamage|Hit]","Les monstres vous retirent 5% de votre Vie, Mana et [EnergyShield|Bouclier d'énergie] au [HitDamage|Toucher]","Monster entfernen 5% Eures Lebens-, Mana- und [EnergyShield|Energieschilds] bei [HitDamage|Treffer]","モンスターからの[HitDamage|ヒット]時に5%のライフ、マナ、[EnergyShield|エナジーシールド]を失う","몬스터가 [HitDamage|명중] 시 플레이어의 생명력, 마나, [EnergyShield|에너지 보호막] 5% 제거","Monstros removem 5% da sua Vida, Mana e [EnergyShield|Escudo de Energia] ao [HitDamage|Acertar]","Монстры отнимают 5% от вашего здоровья, маны и [EnergyShield|энергетического щита] при [HitDamage|нанесении удара]","Los monstruos eliminan un 5% de tu vida, maná y [EnergyShield|escudo de energía] al [HitDamage|impactar]","มอนสเตอร์ กำจัด พลังชีวิต, มานา, [EnergyShield|โล่พลังงาน] ของคุณ 5% เมื่อ[HitDamage|ปะทะ]","怪物會在[HitDamage|擊中]你時，移除你 5% 的生命、魔力和[EnergyShield|能量護盾]",3,0,"",[],[],"",3,0,"","",359
25,"AfflictionCannotRestoreHonour",[16214],[1],"Branded Balbalakh","Marque des Balbalakhs","Gebrandmarkte Balbalakh","燃えさしのバルバラク","낙인 찍힌 발바라크","Balbalakh Marcado","Клеймённая балбалах","Balbalakh marcado","ตราบาปบัลบาลัค","被烙印的芭芭拉卡","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/AfflictionBrandedBalbalakhIcon",13,1,3,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/AfflictionBrandedBalbalakh","","","","","","","","","","","Cannot restore [Honour]","L'[Honour|Honneur] ne peut pas être restauré","Ihr könnt keine [Honour|Ehre] wiederherstellen","[Honour|名誉]を回復することができなくなる","[Honour|명예] 회복 불가","Não pode restaurar [Honour|Honra]","[Honour|Честь] не восстанавливается","No puedes restaurar el [Honour|honor]","ไม่สามารถรับ[Honour|เกียรติ] ได้","不會恢復[Honour|榮譽]",3,0,"",[],[],"",3,0,"","",19039
26,"AfflictionReducedHonourRestored",[16217],[-50],"Suspected Sympathiser","Partisan suspect","Verdächtiger Sympathisant","疑わしい賛同者","동정 용의자","Simpatizante Suspeito","Подозрение в сторонничестве","Simpatizante sospechoso","สงสัยว่าฝักใฝ่ศัตรู","可疑的同情者","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/AfflictionSuspectedSympathiserIcon",13,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/AfflictionSuspectedSympathiser","","","","","","","","","","","50% reduced [Honour] restored","Votre avez 50% de Réduction de l'[Honour|Honneur] restauré","50% verringerte wiederhergestellte [Honour|Ehre]","[Honour|名誉]の回復量が50%減少する","[Honour|명예] 회복량 50% 감소","[Honour|Honra] restaurada reduzida em 50%","50% уменьшение восстановления [Honour|чести]","Restauras el [Honour|honor] reducido un 50%","ลดการรับ[Honour|เกียรติ] 50%","恢復的[Honour|榮譽]減少 50%",3,0,"",[],[],"",3,0,"","",9350
27,"BoonSanctumHonourRestored",[16217],[50],"Honoured Challenger","Adversaire honoré","Geehrter Herausforderer","名誉ある挑戦者","명예로운 도전자","Desafiador Honrado","Почётный претендент","Aspirante distinguido","ผู้ท้าทายทรงเกียรติ","尊敬的挑戰者","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGoldFragmentHeroineIcon",13,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGoldFragmentHeroine","50% increased [Honour] restored","Vous avez 50% d'Augmentation de l'[Honour|Honneur] restauré","50% erhöhte wiederhergestellte [Honour|Ehre]","[Honour|名誉]の回復が50%増加する","[Honour|명예] 회복량 50% 증가","Restauração de [Honour|Honra] aumentada em 50%","50% увеличение восстановления [Honour|чести]","[Honour|Honor] restaurado aumentado un 50%","เพิ่มการรับ[Honour|เกียรติ] 50%","恢復的[Honour|榮譽]增加 50%","","","","","","","","","","",3,0,"",[],[],"",3,0,"","",4682
28,"AfflictionViewRoomsAhead",[16218],[-1],"Black Smoke","Fumée noire","Schwarzer Rauch","黒い煙","검은 연기","Fumaça Negra","Чёрный дым","Niebla negra","ควันดำ","黑煙","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseBlackSmokeIcon",13,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseBlackSmoke","","","","","","","","","","","You can see one fewer room ahead on the Trial Map","Vous pouvez voir une Salle en moins au loin sur la Carte de l'Épreuve","Ihr könnt vorab einen Raum weniger auf der Prüfungs-Karte sehen","試練のマップで見ることのできるエリアが1少なくなる","시련 지도에서 미리 볼 수 있는 방 1개 감소","Você pode ver uma sala a menos adiante no Mapa da Provação","Вы можете увидеть на одну комнату меньше впереди на карте Испытания","Puedes ver a una sala menos de distancia en el mapa de la prueba","คุณมองเห็นห้องข้างหน้าได้ น้อยลง 1 แถว\r\nในแผนที่บททดสอบ","在試煉地圖你可以少看一間房間",3,0,"",[],[],"",3,0,"","",34448
29,"BoonViewRoomsAhead",[16218],[1],"Scrying Crystal","Cristal de divination","Kristallkugel","水晶占い","수정구","Bola de Cristal","Гадальный кристалл","Bola de cristal","ผลึกมองไกล","占卜水晶","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonScryingCrystalIcon",13,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonScryingCrystal","You can see an additional room ahead on the Trial Map","Vous pouvez voir une Salle supplémentaire au loin sur la Carte de l'Épreuve","Ihr könnt vorab einen weiteren Raum auf der Prüfungs-Karte sehen","試練のマップで見ることのできるエリアが1増える","시련 지도에서 미리 볼 수 있는 방 1개 증가","Você pode ver um salão adicional adiante no Mapa da Provação","Вы можете увидеть дополнительную комнату впереди на карте Испытания","Puedes ver a una sala más de distancia en el mapa de la prueba","คุณมองเห็นห้องข้างหน้าได้ มากขึ้น 1 แถว\r\nในแผนที่บททดสอบ","在試煉地圖你可以預先看見 1 間額外房間","","","","","","","","","","",3,0,"",[],[],"",3,0,"","",44243
30,"AfflictionMerchantCost",[16223],[50],"Trade Tariff","Tarif commercial","Handelstarif","貿易関税","교역 관세","Tarifa do Comércio","Торговый тариф","Arancel comercial","ค่าธรรมเนียมการค้าขาย","貿易關稅","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/AfflictionTradeTarifffIcon",13,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/AfflictionTradeTarifff","","","","","","","","","","","50% increased Merchant prices","50% d'Augmentation des prix des Marchands","50% erhöhte Händlerpreise","商人の価格が50%増加する","상인 가격 50% 증가","Preços do Mercador aumentados em 50%","50% повышение цен у торговца","Precios del mercader aumentados un 50%","เพิ่มราคาของ แม่ค้า 50%","增加 50% 販售價格",3,0,1,[],[],"",3,0,"","",34561
31,"BoonMerchantCost",[16223],[-50],"Silver Tongue","Langue d'argent","Silberzunge","銀の舌","언변","Língua de Prata","Серебряный язык","Lengua de plata","ลิ้นเงิน","能說會道","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonSilverTongueIcon",13,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonSilverTongue","50% reduced Merchant prices","50% de Réduction des prix des Marchands","50% verringerte Händlerpreise","商人の価格が50%減少する","상인 가격 50% 감소","Preços do Mercador reduzidos em 50%","50% снижение цен у торговца","Precios del mercader reducidos un 50%","ลดราคาของ แม่ค้า 50%","減少 50% 販售價格","","","","","","","","","","",3,0,1,[],[],"",3,0,"","",24536
32,"BoonDisableTraps",[16222],[1],"Imperial Seal","Sceau impérial","Kaiserliches Siegel","帝国の印章","제국의 인장","Selo Imperial","Имперская печать","Sello imperial","ตราจักรวรรดิ","玉璽","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonImperialSealIcon",13,1,4,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonImperialSeal","Traps are Disabled","Les Pièges sont désactivés","Fallen sind deaktiviert","罠が無効化される","덫 비활성화","Armadilhas são Desabilitadas","Ловушки отключены","Las trampas están desactivadas","กับดัก ถูกปิดการทำงาน","陷阱失效","","","","","","","","","","",3,0,"",[],[],"",3,0,"","",44836
33,"BoonIgnoreXHitsEachRoom",[16228],[1],"Garukhan's Favour","Faveur de Garukhan","Garukhans Gunst","ガルカーンの厚意","가루칸의 총애","Favorecimento de Garukhan","Милость Гарухан","Favor de Garukhan","การูคานอุปถัมภ์","卡洛翰恩典","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGarukhanStatueIcon",13,1,4,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGarukhanStatue","Ignore the first Damage taken from an Enemy [HitDamage|Hit] in each room","Vous ignorez les Dégâts infligés par la première [HitDamage|Hit|Touche] ennemie dans chaque salle","Ignoriert den ersten erlittenen Schaden vom gegnerischen [HitDamage|Treffer] in jedem Raum","各部屋で敵の[HitDamage|ヒット]によって受ける最初のダメージを無視する","각 방에서 적 [HitDamage|명중]으로 받는 첫 피해 무시","Ignore o primeiro Dano recebido de um [HitDamage|Acerto] de inimigo em cada sala","Игнорирует первое получение урона от [HitDamage|удара] врага в каждом зале","Ignoras la primera pérdida de daño de un [HitDamage|impacto] enemigo en cada sala","มองข้ามความเสียหายแรกที่ได้รับ\r\nจากการ[HitDamage|ปะทะ]ของศัตรูในแต่ละห้อง","每個房間無視第一次被敵人[HitDamage|擊中]所承受的傷害","","","","","","","","","","",3,0,"",[],[],"",3,0,"","",38171
34,"AfflictionLoseAllSacredWaterOnFloorComplete",[16229],[1],"Winter Drought","Sécheresse hivernale","Winterliche Dürre","冬の干魃","겨울 가뭄","Seca Invernal","Зимняя засуха","Sequía invernal","ขาดแคลนยามฤดูหนาว","凜冬乾旱","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/AfflictionWinterDroughtIcon",13,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/AfflictionWinterDrought","","","","","","","","","","","Lose all [SacredWater|Sacred Water] on floor completion","Vous perdez toutes vos [SacredWater|Eaux sacrées] lorsque vous terminez un étage","Verliert sämtliches [SacredWater|Heiliges Wasser] beim Abschluss der Ebene","階層を完了すると[SacredWater|神聖な水]を全て失う","층 완료 시 [SacredWater|신성한 물] 전부 상실","Perde toda a [SacredWater|Água Sagrada] ao concluir o andar","Вы теряете всю [SacredWater|святую воду] при завершении этажа","Pierdes toda tu [SacredWater|agua sagrada] al completar el piso","สูญเสีย [SacredWater|วารีศักดิ์สิทธิ์] ทั้งหมด เมื่อผ่านชั้น","完成樓層時失去全部[SacredWater|神聖之水]",3,0,"",[],[],"",3,0,"","",20573
35,"BoonRestoreHonourOnRoomComplete",[16230],[7],"Earned Honour","Honneur mérité","Verdiente Ehre","得られた名誉","스스로 얻은 명예","Honra Merecida","Заслуженная честь","Honor ganado","ครองเกียรติ","贏來的榮譽","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonWarriorStatueIcon",13,1,4,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonWarriorStatue","Restore {0} of your [Honour] on room completion","Restaure {0} de votre [Honour|Honneur] lorsque vous terminez une salle","Stellt {0} Eurer [Honour|Ehre] bei Abschluss des Raums wieder her","部屋を完了した時に[Honour|名誉]の{0}が回復する","방 완료 시 [Honour|명예] {0} 회복","Restaura {0} da sua [Honour|Honra] ao completar a sala","Восстанавливает {0} вашей [Honour|чести] при завершении зала","Restauras {0} de [Honour|honor] al completar una sala","คุณรับ[Honour|เกียรติ] {0} เมื่อผ่านห้อง","完成房間時，恢復 {0} [Honour|榮譽]","","","","","","","","","","",3,0,"",[],[],"",3,0,"","",24603
36,"BoonDamageCooldown",[19953],[1],"Ahkeli's Guard","Protection d'Ahkeli","Ahkelis Wache","アーケリの守護","아켈리의 수호","Guarda Ahkeli","Защита Ахкели","Guarda de Ahkeli","อาเคลีคุ้มกาย","阿卡莉的守護","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonSmallClayGolemIcon",13,1,4,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonSmallClayGolem","You cannot be Damaged for 1 second after taking Damage from an Enemy [HitDamage|Hit]","Vous ne pouvez pas subir de Dégâts pendant 1 seconde après qu'un ennemi vous ait infligé des Dégâts au [HitDamage|Hit|Toucher]","Ihr könnt für 1 Sekunde keinen Schaden erleiden, nachdem Ihr von einem gegnerischen [HitDamage|Treffer] Schaden erlitten habt","敵の[HitDamage|ヒット]によりダメージを受けた後1秒間はダメージを受けない","적 [HitDamage|명중]으로 피해를 받은 후 1초 동안 피해를 받지 않음","Você não pode receber Dano por 1 segundo após receber Dano de um [HitDamage|Acerto] de Inimigo","Вам нельзя нанести урон в течение 1 секунды после получения урона от [HitDamage|удара] врага","No te pueden dañar durante 1 segundo después de que recibas daño de un [HitDamage|impacto] enemigo","คุณไม่ได้รับความเสียหาย 1 วินาที\r\nหลังจากที่รับความเสียหายจากการ[HitDamage|ปะทะ]ของศัตรู","受到敵人[HitDamage|擊中]傷害後的 1 秒內，你不會再受到傷害","","","","","","","","","","",3,0,"",[],[],"",3,0,"","",47837
37,"BoonRestoreHonourOnPercentHealth","[16271,16272]","[20,50]","Glowing Orb","Orbe incandescent","Leuchtende Sphäre","輝くオーブ","빛나는 구슬","Orbe Brilhante","Светящаяся сфера","Orbe brillante","ลูกเปล่งแสง","發光寶珠","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGlowOrbIcon",0,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGlowOrb","The next time you go below 20% of Maximum Life, restore all Life, [EnergyShield|Energy Shield] and 50% of [Honour]","La prochaine fois que vous passerez à moins de 20% de votre Vie maximale, restaure toute votre Vie, tout votre [EnergyShield|Bouclier d'énergie] et 50% de votre [Honour|Honneur]","Beim nächsten Unterschreiten von 20% des maximalen Lebens wird sämtliches Leben, [EnergyShield|Energieschild] und 50% der [Honour|Ehre] wiederhergestellt","次にライフが20%を下回った時に、すべてのライフと[EnergyShield|エナジーシールド]、および[Honour|名誉]の50%を回復する","다음번에 생명력이 최대 생명력의 20% 밑으로 떨어지면, 생명력과 [EnergyShield|에너지 보호막]을 모두 회복하고 [Honour|명예] 50% 회복","Na próxima vez que sua Vida cair abaixo de 20% da Vida Máxima, restaura toda a Vida, [EnergyShield|Escudo de Energia] e 50% da [Honour|Honra]","В следующий раз, когда ваше здоровье опустится ниже 20%, вы восстановите всё здоровье, [EnergyShield|энергетический щит] и 50% [Honour|чести]","La siguiente vez que bajes del 20% de vida máxima, se restaurará toda tu vida y [EnergyShield|escudo de energía] y el 50% de tu [Honour|honor]","ครั้งถัดไปที่พลังชีวิตของคุณเหลือต่ำกว่า 20%\r\nคุณจะเติมพลังชีวิตและ[EnergyShield|โล่พลังงาน]ทั้งหมด\r\nและรับ[Honour|เกียรติ] 50%","當你下次最大生命低於 20% 時，恢復所有生命、[EnergyShield|能量護盾]和 50% [Honour|榮譽]","","","","","","","","","","",3,0,"",[],[],"",3,0,"","",3157
38,"AfflictionHideRoomAll",[16400],[1],"Veiled Sight","Vision voilée","Verhüllte Sicht","覆われた視野","가려진 눈","Visual Oculta","Скрытый взгляд","Vista velada","บดบังสายตา","蒙蔽視線","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseVeiledSightIcon",13,1,3,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseVeiledSight","","","","","","","","","","","Rooms are unknown on the Trial Map","Les Salles ne sont pas révélées sur la Carte de l'Épreuve","Räume sind auf der Prüfungs-Karte verdeckt","試練のマップ上で部屋が不明となる","시련 지도에서 방을 확인할 수 없음","Salas são desconhecidos no Mapa da Provação","Комнаты на карте Испытания неизвестны","Se desconocen las salas en el mapa de la prueba","ห้อง เป็นปริศนา ในแผนที่บททดสอบ","在試煉地圖上的房間為未知",3,0,"",[],[],"",3,0,"","",43384
39,"AfflictionHideRoomEncounter",[16401],[1],"Red Smoke","Fumée rouge","Roter Rauch","赤い煙","붉은 연기","Fumaça Vermelha","Красный дым","Niebla roja","ควันแดง","紅煙","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseRedSmokeIcon",13,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseRedSmoke","","","","","","","","","","","Room types are unknown on the Trial Map","Les types de Salles ne sont pas révélées sur la Carte de l'Épreuve","Raumtypen sind auf der Prüfungs-Karte verdeckt","試練のマップ上で部屋の種類が不明となる","시련 지도에서 방의 유형을 확인할 수 없음","Tipos dos Salas são desconhecidos no Mapa da Provação","Типы комнат на карте Испытания неизвестны","Se desconocen los tipos de salas en el mapa de la prueba","ชนิดของห้อง เป็นปริศนา ในแผนที่บททดสอบ","在試煉地圖上的房間類型為未知",3,0,"",[],[],"",3,0,"","",17084
40,"AfflictionHideRoomReward",[16402],[1],"Golden Smoke","Fumée dorée","Goldener Rauch","黄金の煙","황금 연기","Fumaça Dourada","Золотой дым","Niebla dorada","ควันทอง","金煙","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseGoldenSmokeIcon",13,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseGoldenSmoke","","","","","","","","","","","Rewards are unknown on the Trial Map","Les Récompenses ne sont pas révélées sur la Carte de l'Épreuve","Belohnungen sind auf der Prüfungs-Karte verdeckt","試練のマップ上で報酬が不明となる","시련 지도에서 보상을 확인할 수 없음","Recompensas são desconhecidas no Mapa da Provação","Награды на карте Испытания неизвестны","Se desconocen las recompensas en el mapa de la prueba","ของรางวัล เป็นปริศนา ในแผนที่บททดสอบ","在試煉地圖上的獎勵為未知",3,0,"",[],[],"",3,0,"","",1198
41,"AfflictionHideRoomAffliction",[16403],[1],"Purple Smoke","Fumée violette","Violetter Rauch","紫の煙","보라색 연기","Fumaça Púrpura","Фиолетовый дым","Niebla morada","ควันม่วง","紫煙","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CursePurpleSmokeIcon",13,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CursePurpleSmoke","","","","","","","","","","","[Afflictions] are unknown on the Trial Map","Les [Afflictions|Afflictions] ne sont pas révélées sur la Carte de l'Épreuve","[Afflictions|Bürden] sind auf der Prüfungs-Karte verdeckt","試練のマップ上で[Afflictions|不幸]が不明となる","시련 지도에서 [Afflictions|고난]을 확인할 수 없음","[Afflictions|Aflições] são desconhecidas no Mapa da Provação","[Afflictions|Проклятия] на карте Испытания неизвестны","Se desconocen las [Afflictions|desventajas] en el mapa de la prueba","[Afflictions|ทัณฑ์] เป็นปริศนา ในแผนที่บททดสอบ","在試煉地圖上的[Afflictions|苦痛]為未知",3,0,"",[],[],"",3,0,"","",28906
42,"AfflictionHonurLossIsFatal3",[16416],[1],"Ghastly Scythe","Faux effroyable","Grausige Sense","死の鎌","무시무시한 낫","Foice Medonha","Призрачная коса","Guadaña atroz","เคียวแสนสยอง","陰森鐮刀","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseGhastlyScytheIcon",5,1,3,43,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseGhastlyScythe","","","","","","","","","","","Losing [Honour] ends the Trial\r\n(removed after 3 rooms)","Perdre de l'H[Honour|Honneur] met fin à l'Épreuve\r\n(disparaît après 3 salles)","Der Verlust von [Honour|Ehre] beendet die Prüfung\r\n(wird nach 3 Räumen entfernt)","[Honour|名誉]を失うと試練が終了する\r\n(3部屋後に取り除かれる)","[Honour|명예] 상실 시 시련 종료\r\n(방 3개 완료 후 제거)","Perder [Honour|Honra] termina sua Provação\r\n(removido após 3 salas)","Потеря [Honour|чести] завершает Испытание\r\n(пропадает после 3 залов)","La pérdida de [Honour|honor] pone fin a la prueba\r\n(se elimina después de 3 salas)","การเสีย[Honour|เกียรติ] ทำให้บททดสอบสิ้นสุด\r\n(ถูกกำจัดเมื่อผ่านไปได้ 3 ห้อง)","失去[Honour|榮譽]會結束試煉\r\n（3 個房間後移除）",3,0,"",[],[],"",3,0,"","",32300
43,"AfflictionHonourLossIsFatal2",[16416],[1],"Ghastly Scythe","Faux effroyable","Grausige Sense","死の鎌","무시무시한 낫","Foice Medonha","Призрачная коса","Guadaña atroz","เคียวแสนสยอง","陰森鐮刀","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseGhastlyScytheIcon",5,1,3,44,"","","","","","","","","","","","Losing [Honour] ends the Trial\r\n(removed after 2 rooms)","Perdre de l'[Honour|Honneur] met fin à l'Épreuve\r\n(disparaît après 2 salles)","Der Verlust von [Honour|Ehre] beendet die Prüfung\r\n(wird nach 2 Räumen entfernt)","[Honour|名誉]を失うと試練が終了する\r\n(2部屋後に取り除かれる)","[Honour|명예] 상실 시 시련 종료\r\n(방 2개 완료 후 제거)","Perder [Honour|Honra] termina sua Provação\r\n(removido após 2 salas)","Потеря [Honour|чести] завершает Испытание\r\n(пропадает после 2 залов)","La pérdida de [Honour|honor] pone fin a la prueba\r\n(se elimina después de 2 salas)","การเสีย[Honour|เกียรติ]ทำให้บททดสอบสิ้นสุด\r\n(ถูกกำจัดเมื่อผ่านไปได้ 2 ห้อง)","失去[Honour|榮譽]會結束試煉\r\n（2 個房間後移除）",3,0,"",[],[],42,3,0,"","",32300
44,"AfflictionHonourLossIsFatal1",[16416],[1],"Ghastly Scythe","Faux effroyable","Grausige Sense","死の鎌","무시무시한 낫","Foice Medonha","Призрачная коса","Guadaña atroz","เคียวแสนสยอง","陰森鐮刀","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseGhastlyScytheIcon",5,1,3,"","","","","","","","","","","","","Losing [Honour] ends the Trial\r\n(removed after 1 room)","Perdre de l'[Honour|Honneur] met fin à l'Épreuve\r\n(disparaît après 1 salle)","Der Verlust von [Honour|Ehre] beendet die Prüfung\r\n(wird nach 1 Raum entfernt)","[Honour|名誉]を失うと試練が終了する\r\n(1部屋後に取り除かれる)","[Honour|명예] 상실 시 시련 종료\r\n(방 1개 완료 후 제거)","Perder [Honour|Honra] termina sua Provação\r\n(removido após 1 sala)","Потеря [Honour|чести] завершает Испытание\r\n(пропадает после 1 зала)","La pérdida de [Honour|honor] pone fin a la prueba\r\n(se elimina después de 1 sala)","การเสีย[Honour|เกียรติ]ทำให้บททดสอบสิ้นสุด\r\n(ถูกกำจัดเมื่อผ่านไปได้ 1 ห้อง)","失去[Honour|榮譽]會結束試煉\r\n（1 個房間後移除）",3,0,"",[],[],42,3,0,1,"",32300
45,"BoonDefyDeathWithLessLife",[19986],[1],"Orbala's Leathers","Cuirs d'Orbala","Orbalas Leder","オルバラの革","오발라의 가죽","Peles de Orbala","Одеяния Орбалы","Pieles de Orbala","หนังสัตว์ออร์บาล่า","奧爾巴拉的皮甲","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonMarakethLeatherArmourIcon",12,1,4,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonMarakethLeatherArmour","Upon reaching 0 [Honour], revive once with 50% less [Honour]","Lorsque vous atteignez 0 d'[Honour|Honneur], vous revenez à la vie avec une Perte de 50% de votre [Honour|Honneur], une seule fois","Sobald Ihr 0 [Honour|Ehre] erreicht, werdet Ihr einmalig mit 50% weniger [Honour|Ehre] wiederbelebt","[Honour|名誉]が0になった時に一度だけ50%低下した[Honour|名誉]で復活する","[Honour|명예]가 0이 되면 50% 감폭된 [Honour|명예]를 가지고 1회 부활","Ao alcançar 0 [Honour|Honra], revive uma vez com 50% menos [Honour|Honra] ","При достижении 0 [Honour|чести] вы единожды возрождаетесь с на 50% меньшим количеством [Honour|чести]","Cuando llegues a 0 de [Honour|honor], revivirás con un 50% menos de [Honour|honor]","เมื่อ[Honour|เกียรติ]เหลือ 0 คุณจะคืนชีพโดยมี\r\n[Honour|เกียรติ] ลดลง อีก 50% เพียงครั้งเดียว","[Honour|榮譽]達到 0 時，復活一次並具有 50% 更少[Honour|榮譽]","","","","","","","","","","",3,0,"",[],[],"",3,0,"","",44077
46,"PenaltyDefiedDeathWithLessHonour",[20759],[-50],"Orbala's Leathers","Cuirs d'Orbala","Orbalas Leder","オルバラの革","오발라의 가죽","Peles de Orbala","Одеяния Орбалы","Pieles de Orbala","หนังสัตว์ออร์บาล่า","奧爾巴拉的皮甲","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonMarakethLeatherArmourIcon",13,1,3,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonMarakethLeatherArmour","50% less Maximum [Honour]","Vous avez 50% de Perte de votre [Honour|Honneur] maximal","50% weniger maximale  [Honour|Ehre]","[Honour|名誉]の最大値が50%低下する","최대 [Honour|명예] 50% 감폭","50% menos [Honour|Honra] Máxima ","На 50% меньший максимум [Honour|чести]","50% menos de [Honour|honor] máximo","ลด[Honour|เกียรติ]สูงสุด อีก 50%","50% 更少最大[Honour|榮譽]","","","","","","","","","","",3,0,"",[],[],45,3,0,"","",44077
