"rownum","Id","Class","KeystoneArt","KeystoneArtActive","Stats","StatValues","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","FlavourText","FlavourText (French)","FlavourText (German)","FlavourText (Japanese)","FlavourText (Korean)","FlavourText (Portuguese)","FlavourText (Russian)","FlavourText (Spanish)","FlavourText (Thai)","FlavourText (Traditional Chinese)","u16_88","i32_90"
24,"HildaKeystone1",2,"Art/2DArt/SkillIcons/passives/AtlasMasters/HildaKeystone1.dds","Art/2DArt/SkillIcons/passives/AtlasMasters/HildaKeystoneActive1.dds","[25127,1030]","[25,15]","Breeding Season","Breeding Season","Brutzeit","繁殖期","교배철","Época de Reprodução","Сезон размножения","Temporada de apareamiento","Breeding Season","繁殖季節","What's gotten into this lot, I wonder?","What's gotten into this lot, I wonder?","Ich frage mich, was in diesen Haufen gefahren ist.","この連中、何に取り憑かれたんだろうな？","이건 왜 이러는 거지?","O que será que deu nesse bando, eu me pergunto?","Что на них нашло, интересно?","Me pregunto qué les habrá pasado a estos...","ข้าละสงสัยนัก\r\nพวกนี้เป็นอะไรขึ้นมา?","這群傢伙到底是怎麼了，我真是納悶。",8891,1
25,"HildaKeystone2",2,"Art/2DArt/SkillIcons/passives/AtlasMasters/HildaKeystone2.dds","Art/2DArt/SkillIcons/passives/AtlasMasters/HildaKeystoneActive2.dds",[25866],[25],"Mighty Prey","Proie redoutable","Mächtige Beute","強大な獲物","강력한 사냥감","Presa Poderosa","Могучая добыча","Presa poderosa","Mighty Prey","強悍獵物","Some days you're the spear,\r\nsome days you're the boar!","Certains jours, vous êtes la lance,\r\net d'autres le sanglier !","An manchen Tagen ist man der Speer,\r\nan anderen Tagen ist man der Eber!","狩る日もあれば、\r\n狩られる日もあるってことさ！","우리가 창인 날도 있지만,\r\n멧돼지인 날도 있는 법이지!","Tem dias em que você é a lança,\r\ntem dias em que você é o javali!","Сегодня ты копьё,\r\nа завтра кабан.","¡Algunos días eres la lanza,\r\notros, eres el jabalí!","บางวันเจ้าก็เป็นหอก\r\nบางวันเจ้าก็เป็นหมูป่า!","有時候你是那支長矛，\r\n有時候你則是那頭野豬！",19404,1
26,"HildaKeystone3",2,"Art/2DArt/SkillIcons/passives/AtlasMasters/HildaKeystone3.dds","Art/2DArt/SkillIcons/passives/AtlasMasters/HildaKeystoneActive3.dds","[20335,13710]","[20,15]","Scarred Lands","Terres meurtries","Verwüstete Lande","傷ついた地","흉터 입은 땅","Terras Devastadas","Истерзанные земли","Tierras cicatrizadas ","Scarred Lands","瘡痍之地","Something terrible\r\nhappened here long ago.","Quelque chose d'horrible\r\ns'est jadis produit ici.","Hier ist vor langer Zeit etwas Schreckliches passiert.","はるか昔、\r\nここで恐ろしいことが起きた。","이곳에서 오래전\r\n끔찍한 일이 있었다.","Algo terrível aconteceu\r\naqui há muito tempo.","Что-то ужасное случилось\r\nздесь давным-давно.","Algo terrible sucedió\r\naquí hace mucho tiempo.","แผ่นดินนี้เคยมีเรื่องเลวร้าย\r\nมานานแสนนาน","很久以前，這裡曾發生了某件\r\n可怕的事情。",56559,1
27,"HildaKeystone4",2,"Art/2DArt/SkillIcons/passives/AtlasMasters/HildaKeystone4.dds","Art/2DArt/SkillIcons/passives/AtlasMasters/HildaKeystoneActive4.dds",[26203],[20],"Dangerous Game","Jeu dangereux","Gefährliches Wild","危険な獲物","위험한 게임","Jogo Perigoso","Опасная игра","Juego peligroso","Dangerous Game","危險獵局","They're not gonna make it easy.","Ils ne vont pas nous faciliter la tâche.","Sie werden es uns nicht leicht machen.","どうやら、簡単には済ませてくれないようだ。","놈들이 쉽게 만들어 주진 않겠지.","Eles não vão facilitar as coisas.","Легко они нам не дадутся.","No van a ponérnoslo fácil.","พวกมันย่อมไม่ยอม\r\nให้ล่าได้ง่ายเป็นแน่","他們不會讓這件事好過的。",19616,2
28,"HildaKeystone5",2,"Art/2DArt/SkillIcons/passives/AtlasMasters/HildaKeystone5.dds","Art/2DArt/SkillIcons/passives/AtlasMasters/HildaKeystoneActive5.dds",[26631],[2],"Soul Eaters","Mangeurs d'âmes","Seelenfresser","魂喰らい","영혼 포식자들","Devoradores de Almas","Пожиратели душ","Devoradores de almas","Soul Eaters","噬魂者","Some days, the hunt is\r\nthankless and brutal.","Certains jours, la chasse est\r\ningrate et brutale.","An manchen Tagen ist die Jagd\r\nundankbar und brutal.","狩りには、報われず過酷な日もある。","사냥이 유난히 배은망덕하고\r\n잔혹한 날이 있지.","Há dias em que a caçada\r\né ingrata e brutal.","Иногда охота бывает\r\nжестокой и неблагодарной.","Algunos días, la caza es\r\ndesagradecida y brutal.","การล่าบางวันทั้งไร้ค่า\r\nและเหี้ยมโหดนัก","有些時候，這場狩獵\r\n毫無回報，殘酷無情。",1062,2
29,"HildaKeystone6",2,"Art/2DArt/SkillIcons/passives/AtlasMasters/HildaKeystone6.dds","Art/2DArt/SkillIcons/passives/AtlasMasters/HildaKeystoneActive6.dds",[25873],[1],"Will of the Draíocht","Volonté de la Draíocht","Wille der Draíocht","ドリオクトの意志","드라이어흐트의 의지","A Vontade dos Draíocht","Воля Дриохт","Voluntad de la Draíocht","Will of the Draíocht","魔幻之志","Sometimes, they hold out for bigger prey.\r\nI ken there's a reason.","Parfois, ils attendent une proie plus imposante.\r\nJe sais qu'il y a une raison à cela.","Manchmal warten sie auf größere Beute.\r\nIch schätze, es gibt dafür einen Grund.","時々、もっと大きな獲物を待つことがある。\r\n理由があるんだろうさ。","때때로 그들은 더 큰 먹잇감을 기다린다.\r\n나는 거기에 이유가 있을 거라 생각한다.","Às vezes, eles esperam por presas maiores.\r\nEu sei que há um motivo para isso.","Иногда они стремятся к добыче покрупней.\r\nЗнаю, что на то есть причина.","A veces, se contienen hasta encontrar una presa más grande.\r\nEntiendo que hay una razón.","พวกมันรอเหยื่อตัวใหญ่ในบางครา\r\nคงมีเหตุผลกระมัง","有時候，他們是為了等更大的獵物上鉤。\r\n我知道這其中必有原因。",61044,2
30,"HildaKeystone7",2,"Art/2DArt/SkillIcons/passives/AtlasMasters/HildaKeystone7.dds","Art/2DArt/SkillIcons/passives/AtlasMasters/HildaKeystoneActive7.dds",[25924],[100],"Call of the Spirits","Appel des Esprits","Ruf der Geister","精霊の呼び声","혼백의 부름","Chamado dos Espíritos","Зов духов","Llamada de los espíritus","Call of the Spirits","靈魂呼喚","All you've got do is listen, aye,\r\nand they'll guide you on.","Il vous suffit d'écouter, voyez,\r\net ils vous guideront.","Du musst nur gut zuhören, ja,\r\nund sie werden dich weiterführen.","あんたは聞いていればいいんだ、なあ。\r\nそうすりゃ、奴らが先へ導いてくれる。","너는 귀를 기울이기만 하면 된다.\r\n그러면 그들이 이끌어 줄 것이다.","Tudo que você precisa fazer é\r\nouvi-los e eles te guiarão.","Тебе надо только прислушаться,\r\nда, и они тебя направят.","Lo único que tienes que hacer\r\nes escuchar, y ellos te guiarán.","ฟังให้ดี แล้วพวกมันจะนำทางแก่เจ้า","你所要做的就是傾聽，沒錯，\r\n他們會指引你前行。",19961,3
31,"HildaKeystone8",2,"Art/2DArt/SkillIcons/passives/AtlasMasters/HildaKeystone8.dds","Art/2DArt/SkillIcons/passives/AtlasMasters/HildaKeystoneActive8.dds",[26621],[25],"Ancient Inscriptions","Ancient Inscriptions","Uralte Inschriften","古代の碑文","고대 명문","Inscrições Antigas","Древние письмена","Inscripciones antiguas","Ancient Inscriptions","遠古銘文","Got no idea what they say,\r\nbut they seem to fit together.","Got no idea what they say,\r\nbut they seem to fit together.","Ich habe keine Ahnung, was darin steht,\r\naber sie scheinen zusammenzupassen.","何を言ってるのかはさっぱりだが、\r\nどうやら噛み合ってはいるようだ。","뭐라고 적혀 있는지는 모르겠지만\r\n서로 맞아 들어가는 것 같군.","Não entendo o que dizem,\r\nmas parecem combinar bem.","Понятия не имею, что на них сказано,\r\nно, похоже, они стыкуются вместе.","No tengo idea de lo que significan,\r\npero parecen encajar entre sí.","ไม่รู้ว่าเขียนไว้เยี่ยงไร\r\nแต่เหมือนจะเข้ากันได้ดี","我完全不知道那些東西寫了什麼，\r\n但它們似乎是一個整體。",50083,3
32,"HildaKeystone9",2,"Art/2DArt/SkillIcons/passives/AtlasMasters/HildaKeystone9.dds","Art/2DArt/SkillIcons/passives/AtlasMasters/HildaKeystoneActive9.dds",[26740],[40],"Lethal Adaptation","Lethal Adaptation","Tödliche Anpassung","致命的適応","치명적인 적응","Adaptação Letal","Смертоносная адаптация","Adaptación letal","Lethal Adaptation","致命適應","Something's changin' 'em.\r\nBe ready to get bloody.","Something's changin' 'em.\r\nBe ready to get bloody.","Etwas verändert sie.\r\nMacht Euch auf ein Blutbad gefasst.","何かが奴らを変えている。\r\n血を見る覚悟をしておけ。","무언가 그들을 변화시키고 있다.\r\n피투성이가 될 각오를 해라.","Algo as está mudando. Prepare-se\r\npara um banho de sangue.","Что-то их меняет.\r\nГотовься к кровопролитию.","Algo los está cambiando.\r\nPrepárate para ensuciarte las manos.","มีอะไรทำให้พวกมันเปลี่ยนผัน\r\nเตรียมตัวนองเลือดเสีย","有什麼東西正在改變牠們。\r\n準備好濺血吧。",11331,3
33,"HildaKeystone10",2,"Art/2DArt/SkillIcons/passives/AtlasMasters/HildaKeystone10.dds","Art/2DArt/SkillIcons/passives/AtlasMasters/HildaKeystoneActive10.dds","[25964,25965]","[25,5]","Patient Battue","Battue patiente","Geduldige Treibjagd","辛抱強い追い込み猟","집념의 몰이 사냥","Caçada Paciente","Основательная облава","Batida paciente","Patient Battue","耐心圍獵","I'll make some noise and holler. Let's\r\nsee if I can drive them your way!","Je vais faire du grabuge et crier. Voyons\r\nsi j'arrive à les attirer dans votre direction !","Ich mache ein bisschen Lärm. Mal sehen, ob ich sie in Eure Richtung treiben kann!","ひと暴れして大声でも上げてみるさ。\r\nそいつらをお前のほうへ追い立てられるか試してみよう！","내가 시끄럽게 떠들고 고함을 치겠다.\r\n놈들을 네가 있는 쪽으로 몰 수 있을지 보자!","Vou fazer barulho e gritar. Vamos\r\nver se consigo trazê-los até você!","Я пошумлю и поору. Увидим,\r\nудастся ли погнать их в твою сторону!","Haré un poco de ruido y gritaré.\r\n¡Veamos si puedo dirigirlos hacia ti!","ข้าจะตะโกนเต็มปอด\r\nมาดูว่าจะล่อพวกมันไปหาเจ้าได้ไหม!","我會大吼大叫地製造噪音。\r\n看看我能不能把牠們趕往你那邊去！",45661,4
34,"HildaKeystone11",2,"Art/2DArt/SkillIcons/passives/AtlasMasters/HildaKeystone11.dds","Art/2DArt/SkillIcons/passives/AtlasMasters/HildaKeystoneActive11.dds","[26627,26744]","[5,1]","Gutting and Skinning","Gutting and Skinning","Ausnehmen und Häuten","内臓抜きと皮剥ぎ","내장 제거와 가죽 벗기기","Eviscerar e Esfolar","Потрошение и снятие шкур","Eviscerar y desollar","Gutting and Skinning","開膛剝皮","Use every part of what you kill.\r\nTo do otherwise is disrespectful.","Use every part of what you kill.\r\nTo do otherwise is disrespectful.","Verwertet jeden Teil des Tieres, das Ihr tötet.\r\nAlles andere wäre respektlos.","殺したものは、余すところなく使え。\r\nそうしないのは無礼だ。","죽인 것은 남김없이 사용해라.\r\n그러지 않는 것은 결례다.","Aproveite todas as partes do animal abatido.\r\nFazer o contrário é desrespeitoso.","Используй каждую часть того, что убиваешь.\r\nПоступать иначе неуважительно.","Usa cada parte de lo que matas.\r\nNo hacerlo es una falta de respeto.","นำทุกส่วนที่เจ้าล่าได้\r\nมาใช้ให้เป็นประโยชน์\r\nไม่เช่นนั้นย่อมเป็นการลบหลู่นัก","不放過你所殺獵物的任何一個部分。\r\n浪費是一種不敬。",4435,4
35,"HildaKeystone12",2,"Art/2DArt/SkillIcons/passives/AtlasMasters/HildaKeystone12.dds","Art/2DArt/SkillIcons/passives/AtlasMasters/HildaKeystoneActive12.dds",[26633],[45],"Claimed Territories","Claimed Territories","Revieransprüche","縄張り","점령한 영역","Territórios Reivindicados","Захваченные территории","Territorios reclamados","Claimed Territories","宣示領地","You really wanna challenge their claim?\r\nAlright then... let's see how this goes.","You really wanna challenge their claim?\r\nAlright then... let's see how this goes.","Ihr wollt wirklich ihren Anspruch anfechten?\r\nNa schön ... mal sehen, was passiert.","奴らの縄張りに、本気で挑むつもりか？\r\nいいだろう……どうなるか試してみよう。","정말 그들의 권리에 이의를 제기하고 싶은 건가?\r\n알겠다... 어떻게 되는지 두고 보지.","Quer mesmo contestar a alegação deles?\r\nTudo bem... Vamos ver no que vai dar.","Ты правда хочешь бросить им вызов?\r\nЛадно... поглядим, чем это обернётся.","¿En verdad quieres desafiar su reclamación?\r\nMuy bien, veamos cómo resulta.","เจ้าอยากท้าทายเจ้าถิ่นจริงรึ?\r\nได้... มาดูกันว่าจะเป็นเช่นไร","你真的想挑戰他們的宣示嗎？\r\n好吧……讓我們看看這如何收場。",9336,4
