"rownum","WorldArea","MonsterPacks","FlavourText","FlavourText (French)","FlavourText (German)","FlavourText (Japanese)","FlavourText (Korean)","FlavourText (Portuguese)","FlavourText (Russian)","FlavourText (Spanish)","FlavourText (Thai)","FlavourText (Traditional Chinese)","i32_40","[i32]_44","MapPin","Decorations","MapContentSet","CorruptedPin","i32_124","i32_128","MapPinCompleted","ObjectiveDescription","SpecialMapText","SpecialMapText (French)","SpecialMapText (German)","SpecialMapText (Japanese)","SpecialMapText (Korean)","SpecialMapText (Portuguese)","SpecialMapText (Russian)","SpecialMapText (Spanish)","SpecialMapText (Thai)","SpecialMapText (Traditional Chinese)","SpecialMapFlavourText","SpecialMapFlavourText (French)","SpecialMapFlavourText (German)","SpecialMapFlavourText (Japanese)","SpecialMapFlavourText (Korean)","SpecialMapFlavourText (Portuguese)","SpecialMapFlavourText (Russian)","SpecialMapFlavourText (Spanish)","SpecialMapFlavourText (Thai)","SpecialMapFlavourText (Traditional Chinese)","SpecialMapHelpText","SpecialMapHelpText (French)","SpecialMapHelpText (German)","SpecialMapHelpText (Japanese)","SpecialMapHelpText (Korean)","SpecialMapHelpText (Portuguese)","SpecialMapHelpText (Russian)","SpecialMapHelpText (Spanish)","SpecialMapHelpText (Thai)","SpecialMapHelpText (Traditional Chinese)","i32_188","i32_192","f32_196","f32_200","f32_204","bool_208","bool_209","MapContent","bool_226","string_227","string_227 (French)","string_227 (German)","string_227 (Japanese)","string_227 (Korean)","string_227 (Portuguese)","string_227 (Russian)","string_227 (Spanish)","string_227 (Thai)","string_227 (Traditional Chinese)","f32_235"
34,272,[539],"Spores dance through the air in search of new hosts.","Les spores virevoltent, à la recherche de nouveaux hôtes.","Sporen tanzen durch die Luft auf der Suche nach neuen Wirten.","新たな宿主を求め、胞子が空中を踊る。","포자들이 새로운 숙주를 찾아 허공에서 춤을 춥니다.","Esporos dançam pelo ar em busca de novos hospedeiros.","Споры путешествуют по воздуху в поисках новых хозяев.","Las esporas danzan por el aire en busca de nuevos huéspedes.","สปอร์เวียนว่ายตามอากาศ\r\nเพื่อแสวงถิ่นอาศัยใหม่","孢子在空氣中起舞，只為找到全新的宿主。",0,[0],0,37,0,3,0,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
35,274,[606],"A city ravaged by time and sands.","Une ville ravagée par le temps et le sable.","Eine Stadt, verwüstet von Zeit und Sand.","時と砂に荒廃させられし都市。","시간과 모래에 유린당한 도시입니다.","Uma cidade devastada pelo tempo e pelas areias.","Город, разрушенный временем и песками.","Una ciudad arrasada por el tiempo y la arena.","นครที่แหลกสลายไปด้วย\r\nกาลเวลาและผืนทราย","一座被時間和沙塵摧殘的城市。",0,[0],0,39,0,3,0,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
36,261,[566],"Avarice in the conqueror builds contempt among the conquered.","L'avarice du conquérant suscite le mépris du conquis.","Der Geiz des Eroberers erzeugt Verachtung bei den Eroberten.","征服者の強欲は征服された者たちの恨みを育む。","정복자가 탐욕스러우면 정복당한 자들 가운데 경멸이 싹틉니다.","A ganância do conquistador gera desprezo entre os conquistados.","Алчность завоевателя порождает презрение у побеждённых.","La avaricia del conquistador genera desprecio entre los conquistados.","ความโลภของผู้พิชิต\r\nบ่มเพาะความเหยียดหยาม\r\nในหมู่ผู้ที่ถูกพิชิต","征服者的貪婪會引起被征服者的反抗心。",0,[0],0,40,0,3,0,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
37,249,[629],"The work of an invisible empire.","L'œuvre d'un empire invisible.","Das Werk eines unsichtbaren Reiches.","見えざる帝国の作品。","보이지 않는 제국의 작품입니다.","A obra de um império invisível.","Работа невидимой империи.","El trabajo de un imperio invisible.","ผลงานของจักรวรรดิลับตา","不可見帝國的傑作。",0,[0],0,43,0,3,0,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
38,232,[571],"Embers swirl as bark crackles and sparks.","Les braises tourbillonnent tandis que l'écorce crépite et pétille.","Glut wirbelt, Rinde knistert und funkelt.","樹皮が音を立て火花を散らす中、燃えさしが渦を巻く。","불씨가 소용돌이치는 가운데 나무껍질이 탁탁거리며 불똥을 튀깁니다.","Brasas giram enquanto a casca estala e queima.","Тлеющие угли кружатся, кора потрескивает, разлетаются искры.","Las brasas se arremolinan mientras la corteza cruje y crepita.","เปลวหมุนวนในยามที่\r\nเปลือกไม้ปริออกเป็นประกาย","餘燼繚繞，樹皮劈啪作響，火花噴濺而出。",0,[0],0,44,0,3,14,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
39,273,[636],"A dark labyrinth of steel and stone.","Un labyrinthe sombre d'acier et de pierre.","Ein dunkles Labyrinth aus Stahl und Stein.","鋼鉄と石の暗い迷宮。","강철과 돌로 만들어진 어두컴컴한 미궁입니다.","Um labirinto sombrio de aço e pedra.","Тёмный лабиринт из стали и камня.","Un laberinto oscuro de acero y piedra.","เขาวงกตมืดมน\r\nแห่งเหล็กกล้าและศิลา","一座鋼鐵與岩石的黑暗迷宮。",0,[0],0,45,0,3,0,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
40,275,[601],"Hidden amongst sunbleached wastes lies a mockery of paradise.","Caché au milieu de déchets blanchis par le soleil se trouve un simulacre de paradis.","Versteckt zwischen sonnengebleichten Einöden liegt eine Verhöhnung des Paradieses.","日に焼けた荒原に隠されたまがい物の楽園。","햇볕에 바랜 황무지에 가짜 낙원이 숨어 있습니다.","Uma paródia do paraíso jaz escondida entre desertos ressecados pelo sol.","Среди выжженных солнцем пустошей скрывается пародия на рай.","Oculta entre los páramos descoloridos por el sol yace una burla del paraíso.","แดนรกร้างที่ซีดเผือด\r\nไปด้วยแสงตะวัน\r\nเร้นไว้ซึ่งสถานที่\r\nที่ล้อเลียนสรวงสวรรค์","在久經曝曬的廢墟中，隱藏著一個諷刺的天堂。",0,[0],0,46,0,3,0,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
41,270,[601],"Stone shelters brace against the doom of the desert.","Des abris en pierre s'opposent à la ruine du désert.","Steinerne Unterkünfte stemmen sich gegen den Untergang der Wüste.","石の避難所が砂漠の死に耐えている。","석조 건물이 버티고 서서 사막의 파멸을 막아 줍니다.","Abrigos de pedra se preparam contra o fim do deserto.","Каменные убежища защищают от гнёта пустыни.","Los refugios de piedra protegen de la fatalidad del desierto.","ที่พักศิลายืนหยัด\r\nต่อหายนะแห่งทะเลทราย","用來抵禦沙漠之厄的岩石避難所。",0,[0],0,47,0,3,14,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
42,266,[697],"Life abounds on the shells of its dead ancestors.","La vie prolifère sur les vestiges de ses défunts ancêtres.","Das Leben quillt aus den Schalen seiner toten Vorfahren hervor.","死した先祖たちの殻に生命が溢れている。","죽은 선조들의 껍데기 위에 생명이 번성합니다.","A vida prospera nas carcaças de seus ancestrais.","Жизнь бьёт ключом на скорлупках мёртвых пращуров.","La vida abunda en los caparazones de sus antepasados muertos.","ชีวิตเติบใหญ่อยู่บนกระดอง\r\nของบรรพบุรุษพวกมันที่ล่วงลับ","生命依附於以故先人所遺留的痕跡。",0,[0],0,49,0,3,0,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
43,287,[681],"This Vaal structure is not lost in the jungle. Not yet.","Cette structure Vaal n'est pas perdue dans la jungle. Pas encore.","Diese Stadt der Vaal wurde nicht vom Dschungel verschlungen. Noch nicht.","このヴァールの建造物はジャングルの中に失われていない。まだ。","이 바알 구조물은 밀림 속으로 사라지지 않았습니다. 아직은요.","Esta estrutura vaal não se perdeu na selva. Ainda não.","Это сооружение ваал не затерялось в джунглях. Пока ещё нет.","Esta estructura vaal no se ha perdido en la jungla. Aún no.","อาคารวาล์ยังไม่หายไป\r\nในป่าดงดิบ\r\nอย่างน้อยก็ในตอนนี้","這座瓦爾建築還未消逝於這座叢林中。暫時還沒。",0,[0],1,"",0,4,6,4833,5,124,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,65,200,"","",[],"","","","","","","","","","","",0
44,354,[568],"A heart of corruption, borne of steel.","Un cœur de corruption, fait d'acier.","Ein Herz aus Verderbtheit, getragen von Stahl.","鋼鉄より生まれし、穢れの心臓。","강철로 만들어진 타락의 중심지입니다.","Um coração de corrupção nascido do aço.","Сердце осквернения, рождённое из стали.","Un corazón corrupto, nacido del acero.","หัวใจมลทิน\r\nก่อเกิดจากเหล็กกล้า","一顆鋼鐵製成的腐化之心。",15,[50],8,29,0,9,5,4833,8,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],1,"","","","","","","","","","",0
45,356,[687],"A heart of corruption, borne of stone.","Un cœur de corruption, fait de pierre.","Ein Herz aus Verderbtheit, getragen von Stein.","石より生まれし、穢れの心臓。","돌로 만들어진 타락의 중심지입니다.","Um coração de corrupção nascido da pedra.","Сердце осквернения, рождённое из камня.","Un corazón corrupto, nacido de la piedra.","หัวใจมลทิน\r\nก่อเกิดจากศิลา","一顆岩石製成的腐化之心。",15,[50],12,30,0,13,5,4833,12,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],1,"","","","","","","","","","",0
46,355,[632],"A heart of corruption, borne of copper.","Un cœur de corruption, fait de cuivre.","Ein Herz aus Verderbtheit, getragen von Kupfer.","銅より生まれし、穢れの心臓。","구리로 만들어진 타락의 중심지입니다.","Um coração de corrupção nascido do cobre.","Сердце осквернения, рождённое из меди.","Un corazón corrupto, nacido del cobre.","หัวใจมลทิน\r\nก่อเกิดจากทองแดง","一顆青銅製成的腐化之心。",15,[50],10,31,1,11,5,4833,10,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,1,"",[],1,"","","","","","","","","","",0
47,338,[],"Hulls crash and splinter upon the shores.","Les coques s'écrasent et se brisent sur les rivages.","Schiffsrümpfe zerschellen und zerbrechen an den Ufern.","浜辺に船体がぶつかり砕ける。","선체들이 해안에 충돌하여 산산조각 납니다.","Cascos colidem e se despedaçam nas margens.","Корпуса кораблей разбиваются о берег и разлетаются в щепки.","Los cascos de los barcos chocan y se astillan contra las costas.","ลำเรือแตกสลาย\r\nเป็นเสี่ยงๆ ไปกับชายฝั่ง","船身撞擊並碎裂在岸上。",0,[7],19,51,"",19,1,4147,19,128,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","All that glitters...","All that glitters...","Alles, was glänzt ...","輝くもの全てが……","반짝인다고 다 좋은 것은 아니다...","Tudo que reluz...","Всё что блестит...","Todo lo que reluce...","สิ่งที่ส่องประกายล้วน...","閃光的未必是金……",0
48,336,[],"Life grows strong in this realm of plenty.","La vie s'épanouit dans ce royaume d'abondance.","In diesem Reich des Überflusses gedeiht das Leben prächtig.","この豊穣の世界では生命は強く生きる。","생명력이 강인하게 자라나는 풍요의 세상입니다.","A vida floresce neste plano de abundância.","Жизнь набирает силу в этом царстве изобилия.","La vida crece con fuerza en este reino de abundancia.","ชีวิตกล้าแกร่ง\r\nในดินแดนอุดมสมบูรณ์แห่งนี้","生命在這個豐饒的界域成長茁壯。",0,[7],6,52,"",6,1,4148,6,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","Almost paradise.","Almost paradise.","Fast wie im Paradies. ","楽園まであと少し。","가히 낙원이라 부를 만한 곳.","Quase um paraíso.","Почти рай.","Casi un paraíso.","เสมือนสวรรค์","近乎天堂。",0
49,337,[],"By that era, Kamasa was just a name. Gold was their true god.","À cette époque, Kamasa n'était plus qu'un nom. L'or était leur véritable dieu.","Zu dieser Zeit war Kamasa nur ein Name. Gold war ihr wahrer Gott.","その時代ではカマサは既にただの名前だった。黄金こそが彼らの真の神だったのだ。","그 시대에 이르러서는, 카마사는 그저 이름뿐인 존재였습니다. 금이 그들의 진짜 신이었죠.","Naquela era, Kamasa era apenas um nome. O ouro era seu verdadeiro deus.","К тому времени «‎Камаса» было всего лишь именем. Золото было их истинным богом.","En esa era, Kamasa ya solo era un nombre. El oro era su verdadero dios.","พอมาจนถึงยุคนั้น\r\nคามาซาเป็นเพียงชื่อหนึ่งเท่านั้น\r\nเทพเจ้าที่แท้จริงของพวกเขา\r\nคือทองคำ","在那個時代，卡瑪薩只是一個名字。黃金才是他們真正的神。",0,[7],18,53,"",18,1,4149,18,131,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
50,342,[],"A travelling merchant offers wares in perilous times.","Un marchand itinérant propose des marchandises en des temps périlleux.","Ein reisender Händler bietet Waren in gefährlichen Zeiten an.","危険な時代で旅商人が売り物を並べている。","위험천만한 시대에 유랑 상인이 물건을 팝니다.","Um comerciante ambulante oferece mercadorias em tempos perigosos.","Странствующий торговец предлагает товары в тяжёлые времена.","Un mercader ambulante ofrece sus mercancías en tiempos peligrosos.","พ่อค้าพเนจรเร่ขายสินค้า\r\nในยุคสมัยที่อันตรายยิ่ง","一名行商在險峻的時代販售商品。",0,[7],6,54,"",6,4,4833,6,132,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,1,"",[],"","","","","","","","","","","",0
51,343,[],"A travelling merchant offers wares in perilous times.","Un marchand itinérant propose des marchandises en des temps périlleux.","Ein reisender Händler bietet Waren in gefährlichen Zeiten an.","危険な時代で旅商人が売り物を並べている。","위험천만한 시대에 유랑 상인이 물건을 팝니다.","Um comerciante ambulante oferece mercadorias em tempos perigosos.","Странствующий торговец предлагает товары в тяжёлые времена.","Un mercader ambulante ofrece sus mercancías en tiempos peligrosos.","พ่อค้าพเนจรเร่ขายสินค้า\r\nในยุคสมัยที่อันตรายยิ่ง","一名行商在險峻的時代販售商品。",0,[7],6,54,"",6,4,4833,6,132,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,1,"",[],"","","","","","","","","","","",0
52,344,[],"A travelling merchant offers wares in perilous times.","Un marchand itinérant propose des marchandises en des temps périlleux.","Ein reisender Händler bietet Waren in gefährlichen Zeiten an.","危険な時代で旅商人が売り物を並べている。","위험천만한 시대에 유랑 상인이 물건을 팝니다.","Um comerciante ambulante oferece mercadorias em tempos perigosos.","Странствующий торговец предлагает товары в тяжёлые времена.","Un mercader ambulante ofrece sus mercancías en tiempos peligrosos.","พ่อค้าพเนจรเร่ขายสินค้า\r\nในยุคสมัยที่อันตรายยิ่ง","一名行商在險峻的時代販售商品。",0,[7],6,54,"",6,4,4833,6,132,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,1,"",[],"","","","","","","","","","","",0
53,345,[],"A travelling merchant offers wares in perilous times.","Un marchand itinérant propose des marchandises en des temps périlleux.","Ein reisender Händler bietet Waren in gefährlichen Zeiten an.","危険な時代で旅商人が売り物を並べている。","위험천만한 시대에 유랑 상인이 물건을 팝니다.","Um comerciante ambulante oferece mercadorias em tempos perigosos.","Странствующий торговец предлагает товары в тяжёлые времена.","Un mercader ambulante ofrece sus mercancías en tiempos peligrosos.","พ่อค้าพเนจรเร่ขายสินค้า\r\nในยุคสมัยที่อันตรายยิ่ง","一名行商在險峻的時代販售商品。",0,[7],6,55,"",6,4,4833,6,132,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,1,"",[],"","","","","","","","","","","",0
54,346,[],"A travelling merchant offers wares in perilous times.","Un marchand itinérant propose des marchandises en des temps périlleux.","Ein reisender Händler bietet Waren in gefährlichen Zeiten an.","危険な時代で旅商人が売り物を並べている。","위험천만한 시대에 유랑 상인이 물건을 팝니다.","Um comerciante ambulante oferece mercadorias em tempos perigosos.","Странствующий торговец предлагает товары в тяжёлые времена.","Un mercader ambulante ofrece sus mercancías en tiempos peligrosos.","พ่อค้าพเนจรเร่ขายสินค้า\r\nในยุคสมัยที่อันตรายยิ่ง","一名行商在險峻的時代販售商品。",0,[7],6,55,"",6,4,4833,6,132,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,1,"",[],"","","","","","","","","","","",0
55,347,[],"The hunt never ends... but it does pause for rests.","La chasse ne prend jamais fin… mais s'interrompt le temps d'un repos.","Die Jagd nimmt kein Ende … aber zwischendurch gibt es Ruhepausen.","狩りが終わることはない……だが休憩はある。","사냥에 끝은 없지만... 잠시 쉬어 갈 때는 있습니다.","A caçada nunca termina... mas faz pausas para descansar.","Охота не кончается... но на отдых прерывается.","La cacería nunca termina... pero sí se para a descansar.","การล่าไม่มีวันสิ้นสุด...\r\nแต่มีวันพักให้ได้พักผ่อน","狩獵永無止盡……但確實有停下歇息之時。",0,[0],32,"",5,32,8,4833,32,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,75,0,130,165,1,"",[],"","","","","","","","","","","",0
56,348,[],"A travelling merchant offers wares in perilous times.","Un marchand itinérant propose des marchandises en des temps périlleux.","Ein reisender Händler bietet Waren in gefährlichen Zeiten an.","危険な時代で旅商人が売り物を並べている。","위험천만한 시대에 유랑 상인이 물건을 팝니다.","Um comerciante ambulante oferece mercadorias em tempos perigosos.","Странствующий торговец предлагает товары в тяжёлые времена.","Un mercader ambulante ofrece sus mercancías en tiempos peligrosos.","พ่อค้าพเนจรเร่ขายสินค้า\r\nในยุคสมัยที่อันตรายยิ่ง","一名行商在險峻的時代販售商品。",0,[7],6,56,"",6,4,4833,6,132,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,1,"",[],"","","","","","","","","","","",0
57,350,[],"A travelling merchant offers wares in perilous times.","Un marchand itinérant propose des marchandises en des temps périlleux.","Ein reisender Händler bietet Waren in gefährlichen Zeiten an.","危険な時代で旅商人が売り物を並べている。","위험천만한 시대에 유랑 상인이 물건을 팝니다.","Um comerciante ambulante oferece mercadorias em tempos perigosos.","Странствующий торговец предлагает товары в тяжёлые времена.","Un mercader ambulante ofrece sus mercancías en tiempos peligrosos.","พ่อค้าพเนจรเร่ขายสินค้า\r\nในยุคสมัยที่อันตรายยิ่ง","一名行商在險峻的時代販售商品。",0,[7],6,57,"",6,4,4833,6,132,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,1,"",[],"","A good fellow...","A good fellow...","Ein guter Kerl ...","気前のいい奴だ......","선량한 자...","Sujeito boa-praça...","Славный малый...","Un buen tipo...","ช่างเมตตานัก","好人一個……",0
58,349,[],"A travelling merchant offers wares in perilous times.","Un marchand itinérant propose des marchandises en des temps périlleux.","Ein reisender Händler bietet Waren in gefährlichen Zeiten an.","危険な時代で旅商人が売り物を並べている。","위험천만한 시대에 유랑 상인이 물건을 팝니다.","Um comerciante ambulante oferece mercadorias em tempos perigosos.","Странствующий торговец предлагает товары в тяжёлые времена.","Un mercader ambulante ofrece sus mercancías en tiempos peligrosos.","พ่อค้าพเนจรเร่ขายสินค้า\r\nในยุคสมัยที่อันตรายยิ่ง","一名行商在險峻的時代販售商品。",0,[7],6,56,"",6,4,4833,6,132,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,1,"",[],"","","","","","","","","","","",0
59,262,[661],"Vice wears a mask of simplicity.","Le vice arbore un masque de simplicité.","Die Maske des Lasters ist schlicht.","邪悪は簡単さという仮面を被っている。","악덕은 단순함의 가면을 쓰고 있습니다.","O vício usa uma máscara de simplicidade.","Странствующий торговец предлагает товары в тяжёлые времена.","El vicio porta una máscara de simplicidad.","ความเลวทรามใส่หน้ากาก\r\nแห่งความเรียบง่าย","罪惡戴著單純的面具。",0,[0],0,58,0,3,14,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
60,229,[541],"Aeons of wear have rotted steel to its core.","Des siècles d'usure ont fini par corrompre l'acier.","Äonen der Abnutzung haben den Stahl bis in sein Innerstes verrosten lassen.","永劫の摩耗が鋼鉄を芯まで腐らせた。","강철이 영겁의 세월 동안 닳아, 속속들이 썩었습니다.","Eras de desgaste corroeram o aço até o âmago.","Века износа сгноили сталь до основания.","Eones de desgaste han podrido el acero hasta su núcleo.","การสึกกร่อนชั่วกัลป์\r\nกัดกร่อนเหล็กกล้า\r\nให้เหลือเพียงแก่น","經年累月的磨損使鋼鐵破敗不堪。",0,[0],0,0,0,3,0,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
61,230,[682],"Humid air chokes and twists everything it touches.","L'air humide étouffe et déforme tout ce qu'il touche.","Die feuchte Luft erstickt und verändert alles, was sie berührt.","湿度の高い空気が触れたもの全てを窒息させ歪めていく。","습한 공기가 닿는 것은 무엇이든 숨이 막히고 뒤틀립니다.","O ar úmido sufoca e distorce tudo o que toca.","Влажный воздух душит и искривляет всё, к чему прикасается.","El aire húmedo asfixia y retuerce todo lo que toca.","อากาศอับชื้นทำให้ทุกสิ่ง\r\nต้องอุดตันและบิดเบือนไป","潮濕的空氣使它接觸到的生物窒息和扭曲。",0,[0],0,1,0,3,0,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
62,231,[691],"The land returns the dead as easily as it received them.","La terre renvoie les morts aussi facilement qu'elle les a reçus.","Das Land gibt die Toten so einfach zurück, wie es sie empfangen hat.","この地は死者を受け入れるのと同じ気軽さで彼らを返す。","땅이 죽은 자를 받아들인 만큼 쉽게 돌려보냅니다.","A terra devolve os mortos com a mesma facilidade com que os acolheu.","Земля возвращает мёртвых так же легко, как и принимает их.","La tierra devuelve a los muertos con la misma facilidad con la que los ha recibido.","แผ่นดินส่งคนตายกลับคืนมา\r\nได้ง่ายพอกับที่มันรับไป","大地讓亡者歸還，如同接納他們一樣容易。",0,[0],0,2,0,3,0,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
63,233,[583],"Mud and air seethes with warped life.","La boue et l'air sont imprégnés d'une vie pervertie.","Schlamm und Luft brodeln vor entstelltem Leben.","歪んだ生命で泥と空気が泡立つ。","진흙밭과 하늘이 기괴한 생명체로 가득합니다.","O lodo e o ar fervilham com vida distorcida.","Грязь и воздух кишат извращённой жизнью.","El barro y el aire hierven de vida deformada.","โคลนและอากาศเต็มไป\r\nด้วยสิ่งมีชีวิตบิดเบี้ยว","泥漿、空氣與扭曲的生命一起沸騰著。",0,[0],0,3,0,3,0,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
64,87,[],"A fortress of fallen wood.","Une forteresse de bois mort.","Eine Festung aus gefallenem Holz.","倒れた木々の砦。","쓰러진 나무로 만들어진 요새입니다.","Uma fortaleza de madeira tombada.","Крепость из упавших деревьев.","Una fortaleza de madera caída.","ปราการซากไม้","這座堡壘伐盡林地才得以建成。",0,[6],0,41,"",0,3,4833,0,125,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
65,88,[],"A forgotten grotto, lost to the world.","Une grotte oubliée, perdue aux yeux du monde.","Eine vergessene Grotte, verloren für die Welt.","世界から失われた、忘れ去られし洞穴。","세간의 기억에서 사라져 잊힌 동굴입니다.","Gruta esquecida e perdida para o mundo.","Забытый грот, потерянный для мира.","Una gruta olvidada, ajena al mundo.","ถ้ำลอดที่โลกลืมเลือน","一座受遺忘的幽暗地穴，不為世人所知。",0,[6],0,41,"",0,3,4833,0,125,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
66,89,[],"A fragment of a glorious past.","Un morceau d'un passé glorieux.","Ein Fragment einer glorreichen Vergangenheit.","輝かしき過去の欠片。","영광스러운 과거의 편린입니다.","Fragmento de um passado glorioso.","Фрагмент великолепного прошлого.","Un fragmento de un pasado glorioso.","ชิ้นส่วนอดีตอันรุ่งโรจน์","輝煌過去的一道殘影。",0,[6],0,41,"",0,3,4833,0,125,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
67,90,[],"A moment in time, on the eve of the end.","Un moment dans le temps, à l'aube de la fin.","Ein Moment in der Zeit, am Vorabend des Endes.","終末の前の晩の、時の中の一瞬。","종말의 전야, 시간 속의 한 순간입니다.","Um momento no tempo, na véspera do fim.","Мгновенье во времени накануне конца света.","Un momento en el tiempo, en la víspera del fin.","ช่วงหนึ่งในกาลเวลา คราที่ใกล้จุดจบ","雖只是時光長河的須臾，卻是一代盛世終結的序幕。",0,[6],0,41,"",0,3,4833,0,125,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
68,276,"[673,674,675]","Wet stone emanates an inner warmth. Vaal brilliance lies in wait.","La pierre humide dégage une chaleur intérieure. La splendeur des Vaal attend patiemment.","Nasser Stein strahlt eine innere Wärme aus. Die Brillanz der Vaal liegt auf der Lauer.","濡れた石が内なる熱を放つ。ヴァールの叡智が待っている。","물에 젖은 돌이 안에 깃든 온기를 발산합니다. 바알의 우수성을 파헤쳐 보십시오.","A pedra molhada emana um calor interno. A genialidade vaal espreita.","Мокрый камень источает тепло. Терпеливое ожидание – залог превосходства ваал.","La piedra húmeda emana calor de su interior. La inteligencia de los vaal está a la espera.","ศิลาเปียกปอนยังแผ่ไออุ่นจากภายใน\r\nความปราดเปรื่องของชาววาล์ร่ำรออยู่","潮濕的石頭散發出一股暖意。瓦爾的才智正靜靜等待。",0,[0],0,61,0,3,0,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
69,277,[604],"The waters have returned, but no empire remains to greet them.","Les eaux sont revenues, mais nul empire ne subsiste pour les accueillir.","Das Wasser ist zurückgekehrt, aber niemand ist mehr da, um es zu begrüßen.","水は戻ったが、それを歓迎する帝国はもうない。","물은 돌아왔지만, 물을 맞을 제국은 남아 있지 않습니다.","As águas retornaram, mas não existe império para recebê-las.","Воды вернулись, но не осталось империи, чтобы их встретить.","Los ríos han regresado, pero no queda ningún imperio para recibirlos.","สายธารหวนคืนมาแล้ว\r\nทว่าไม่เหลืออาณาจักรใดต้อนรับ","流水重返此地，當初迎接它前來的帝國卻已不復存在。",0,[0],0,62,0,3,0,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
