"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","TextXBox","TextXBox (French)","TextXBox (German)","TextXBox (Japanese)","TextXBox (Korean)","TextXBox (Portuguese)","TextXBox (Russian)","TextXBox (Spanish)","TextXBox (Thai)","TextXBox (Traditional Chinese)","i32_24","i32_28","i32_32","i32_36","[rid]_40","i32_56"
25,"ProxyKey27","Holding your highlight key (default: <b>{Alt}) will show items on the ground, and pressing <b>{Z} will toggle always displaying items.","Maintenez la touche de surbrillance (<b>{Alt} par défaut) pour afficher les noms des objets au sol, ou appuyez sur <b>{Z} pour les voir en permanence.","<size:40>{Halte deine Taste zum Hervorheben von Gegenständen gedrückt (Standard: <b>{Alt}) und schalte mit <b>{Z} die Anzeige aller Gegenstände um.}","ハイライトキー (デフォルト: <b>{Alt} )を押している間、地面上のアイテムを表示し、<b>{Z}を押すことでアイテムを常に表示するように切り替えます。","강조 표시 키(기본: <b>{Alt})를 누르고 있으면 바닥에 있는 아이템이 표시되고, <b>{Z}를 누르면 아이템 항시 강조 여부를 전환할 수 있습니다.","Segurar seu botão de destaque (padrão: <b>{Alt}) mostrará os itens no solo, e pressionar <b>{Z} os mostrará sempre.","Удержание <b>{Alt} отображает лежащие на земле предметы, а нажатие <b>{Z} включает постоянное отображение предметов.","<size:35>{Si mantienes presionada tu tecla de resaltar (por defecto: <b>{Alt}) se mostrarán los objetos en el suelo, y presionar <b>{Z} alternará que siempre se muestren los objetos.}","กดปุ่มไฮไลท์ค้างไว้ (ค่าเริ่มต้น: <b> {Alt}) เพื่อแสดงไอเทมที่อยู่บนพื้น และกด <b> {Z} เพื่อเปิด/ปิดการแสดงผลไอเทมค้างไว้","按住 <b>{Alt} 可以持續顯示掉落在地上的物品，或是按下 <b>{Z} 來打開持續顯示地上物品的設定。","Use the <<xbox_rstick>> to target item drops within range.","Utilisez <<xbox_rstick>> pour cibler les objets au sol à proximité.","Verwende <<xbox_rstick>>, um Gegenstände auf dem Boden im Umkreis anzuvisieren.","<<xbox_rstick>>を使用して、範囲内のアイテムドロップを対象にします。","<<xbox_rstick>>을 사용하면 범위 내에서 떨어지는 아이템을 대상으로 지정할 수 있습니다.","Use o <<xbox_rstick>> para mirar nos itens derrubados ao redor.","Двигайте <<xbox_rstick>> для выбора выпавших предметов в радиусе.","Usa el <<xbox_rstick>> para seleccionar objetos del suelo que estén a tu alcance.","ใช้  <<xbox_rstick>> เพื่อเลือกเก็บไอเทมที่ดรอปในระยะ","使用<<xbox_rstick>>選定範圍內的掉落物品。",1,100,0,0,[],56
26,"ProxyKey28","Activating a new <b>{Waypoint} is a way of saving your exploration through Wraeclast.","Activez de nouveaux <b>{Points de téléportation} afin de sauvegarder votre exploration de Wraeclast.","Aktiviere einen neuen <b>{Wegpunkt}, um deine Erkundungen in Wraeclast zu speichern.","新しい<b>{ウェイポイント}を起動すると、レイクラストでの探索を保存することができます。","새로운 <b>{거점}을 개방하면 레이클라스트에서의 여정 현황을 저장할 수 있습니다.","Ativar um novo <b>{Marcador} é uma forma de salvar sua exploração por Wraeclast.","Чтобы сохранить свой прогресс в продвижении по Рэкласту, активируйте <b>{порталы}.","Al activar un nuevo <b>{Transportador} guardarás tu exploración a través de Wraeclast.","การเปิด<b>{เวย์พอยน์}ใหม่นั้นเป็นวิธีบันทึกการสำรวจเวร์แคลส์ทของคุณอย่างหนึ่ง","記得開啟傳送點來確保意外死亡後還能快速回到這張地圖。","","","","","","","","","","",1,100,0,0,[],56
27,"ProxyKey29","Track your current quests in the world map by pressing <b>{U}.","Localisez vos quêtes en cours sur la carte du monde en appuyant sur <b>{U}.","Verfolge deine aktuellen Quests auf der Weltkarte, indem du <b>{U} drückst.","<b>{U}を押してワールドマップ上で現行のクエストを追跡します。","<b>{U}를 누르면 세계 지도에서 현재 진행 중인 퀘스트를 볼 수 있습니다.","Rastreie suas missões atuais no mapa do mundo pressionando <b>{U}.","Отслеживайте ваши текущие задания на карте мира, нажав <b>{U}.","Haz un seguimiento de tus misiones en el mapa del mundo presionando <b>{U}.","ติดตามเควสต์ปัจจุบันของคุณในแผนที่โลกได้ด้วยการกด <b>{U}","按下<b>{U}即可在世界地圖上追蹤正在進行的任務。","Track your current quests in the <b>{Quests} tab within the <<xbox_button_view>> <b>{Character menu}.","Suivez vos quêtes en cours dans l'onglet <b>{Quêtes}, qui se trouve dans le <<xbox_button_view>> <b>{Menu de personnage}.","Verfolge im <<xbox_button_view>> <b>{Charaktermenü}  innerhalb des Reiters <b>{Quests} deine aktuellen Quests.","<<xbox_button_view>><b>{キャラクターメニュー}内の<b>{クエスト}タブで現行のクエストを追跡します。","<<xbox_button_view>> <b>{캐릭터 메뉴} 안의 <b>{퀘스트} 탭에서 현재 진행 중인 퀘스트를 볼 수 있습니다.","Rastreie suas missões atuais na aba <b>{Missões} dentro do <<xbox_button_view>> <b>{menu Personagem}.","Отслеживайте ваши текущие задания в разделе <b>{заданий} <<xbox_button_view>> <b>{окна персонажа}.","Haz un seguimiento de tus misiones en la pestaña <b>{Misiones} del <<xbox_button_view>> <b>{menú del personaje}.","ติดตามเควสต์ปัจจุบันของคุณในแท็บ<b>{เควสต์}ภายใน <<xbox_button_view>> <b>{เมนูตัวละคร}","你可以在<<xbox_button_view>><b>{角色選單}的<b>{任務}頁面中追蹤正在進行的任務。",1,100,0,0,[],56
28,"ProxyKey30","Hold <b>{Alt} while viewing items in your inventory to compare them with their equipped counterpart.","Maintenez <b>{Alt} pour comparer un objet sous votre curseur à celui que vous portez.","<size:40>{Halte <b>{Alt} gedrückt, während du Gegenstände in deinem Inventar ansiehst, um sie mit ihrem ausgerüsteten Gegenstück zu vergleichen.}","インベントリ内のアイテムを確認している際、<b>{Alt}を押すことで、装備中のアイテムと比較することができます。","소지품창에서 아이템을 살펴볼 때, <b>{Alt}를 길게 눌러 현재 장비 중인 같은 종류의 아이템과 비교할 수 있습니다.","Segure <b>{Alt} enquanto vê os itens no seu inventário para compará-los com os que estão equipados.","Удерживайте <b>{Alt} при просмотре предметов, чтобы сравнить их с надетыми вещами.","<size:35>{Mantén presionado <b>{Alt} mientras observas los objetos de tu inventario para compararlos con el equivalente que tienes equipado.}","กด <b>{Alt} ค้างขณะที่ดูไอเทมในช่องเก็บของของคุณ เพื่อเปรียบเทียบไอเทมชิ้นนั้นกับไอเทมแบบเดียวกันที่สวมใส่อยู่","觀看物品素質時候按住 <b>{Alt} 即可與身上穿的裝備進行比對。","Use <<xbox_button_rstick>> in the inventory to compare equipable items, or Press <<xbox_button_a>> to pickup and hover the item over the equip slot.","Utilisez <<xbox_rstick>> dans votre inventaire pour comparer des objets équipables, ou pressez <<xbox_button_a>> pour prendre l'objet et le placer au-dessus de l'emplacement d'équipement.","Verwende <<xbox_button_rstick>> im Inventar, um ausrüstbare Gegenstände zu vergleichen, oder drücke <<xbox_button_a>>, um den Gegenstand aufzunehmen und ihn über den Ausrüstungsplatz zu bewegen.","インベントリ内で<<xbox_button_rstick>>を使用して装備可能のアイテムと比較、<<xbox_button_a>>を押してアイテムを選択し装備スロットの上に置きます。","소지품에서 <<xbox_button_rstick>>을 사용하면 장착 가능 아이템을 비교해 볼 수 있고, <<xbox_button_a>>를 누르면 아이템을 집어 장착 슬롯에 가져갈 수 있습니다.","Use <<xbox_button_rstick>> no inventário para comparar itens equipáveis, ou pressione <<xbox_button_a>> para levar o item ao espaço de equipamento.","Нажмите <<xbox_button_rstick>> в инвентаре для сравнения предметов с надетыми вещами или нажмите <<xbox_button_a>> чтобы взять предмет и поднести его к ячейке снаряжения.","Usa <<xbox_button_rstick>> en el inventario para comparar objetos equipables o presiona <<xbox_button_a>> para agarrar y arrastrar el objeto sobre el espacio del inventario.","ใช้ Use <<xbox_button_rstick>> ในช่องเก็บของเพื่อเทียบไอเทมที่สวมใส่ได้ หรือกด <<xbox_button_a>> เพื่อหยิบและนำไอเทมไปชี้เหนือช่องสวมใส่","在背包中使用<<xbox_button_rstick>>即可對可裝備的物品進行比較，或按下<<xbox_button_a>>拾取物品並將其懸停在裝備欄位上。",1,100,0,0,[],56
29,"ProxyKey31","Hold <b>{Ctrl} and click area transitions and waypoint icons to forcibly create new instances of areas.","<size:40>{Faites <b>{Ctrl-clic} sur une transition de zone ou l'icône d'un point de téléportation pour créer une nouvelle instance.}","Halte <b>{Strg} gedrückt und klicke auf Gebietsübergänge und Wegpunkte, um eine neue Instanz zu generieren.","<b>{Ctrl}を押しながらエリアの境界またはウェイポイントアイコンをクリックすると、エリアの新しいインスタンスが強制的に作成されます。","<b>{Ctrl}을 길게 누른 채 지역 이동 혹은 거점 아이콘을 클릭하면, 해당 지역의 신규 인스턴스가 임의로 생성됩니다.","Segure <b>{Ctrl} e clique em transições de áreas e ícones de marcadores para forçar a criação de novas instâncias das áreas.","Удерживайте <b>{Ctrl} и нажмите на вход в локацию или на иконку портала в локацию, чтобы принудительно обновить её.","<size:35>{Mantén presionado <b>{Ctrl} y haz clic en las transiciones de áreas y en los iconos de los traslocadores para forzar la creación de nuevas instancias de áreas.}","กด <b>{Ctrl} ค้างและคลิกที่จุดเชื่อมด่านหรือไอคอนเวย์พอยน์เพื่อบังคับให้ด่านนั้นๆ สร้างอินสแตนซ์ใหม่","按著 <b>{Ctrl} 之後再點選區域入口或傳送點圖示，即可強制建立新的區域副本。","Press and hold <<xbox_button_a>> on area transitions or a selected waypoint icon to  open the areas instance manager.","Appuyez et maintenez <<xbox_button_a>> sur les transitions de zone ou l'icône d'un point de téléportation pour ouvrir le gestionnaire d'instances de la zone.","Drücke und halte <<xbox_button_a>> bei Gebietsübergängen oder einem gewählten Wegpunkt, um den Instanzmanager für Gebiete zu öffnen.","エリアの境界または選択したウェイポイントアイコン上で<<xbox_button_a>>を長押しすると、エリアインスタンスマネージャーが開きます。","지역 이동 또는 선택한 거점 아이콘에서 <<xbox_button_a>>를 길게 누르면, 해당 지역의 인스턴스 관리자가 열립니다.","Pressione e segure <<xbox_button_y>> nas transições de áreas ou um marcador selecionado para abrir o gerenciador de instâncias.","Нажмите и удерживайте <<xbox_button_a>> на входе в локацию или выбранном портале в локацию, чтобы открыть менеджер областей.","<size:35>{Mantén presionado <<xbox_button_a>> en las transiciones de áreas o en un icono de transportador seleccionado para abrir el administrador de instancias del área.}","กด <<xbox_button_a>> ค้างที่จุดเชื่อมด่านหรือไอคอนเวย์พอยน์เพื่อบังคับให้ด่านนั้นๆ สร้างอินสแตนซ์ใหม่","對區域入口或選擇的傳送點圖示按住 <<xbox_button_a>>，即可開啟區域副本管理員。",1,100,0,0,[],56
30,"ProxyKey33","Dodge Rolling can be done during almost any other action.","La Roulade peut être effectuée durant quasiment n'importe quelle autre action.","Die Ausweichrolle kann während fast jeder anderen Aktion durchgeführt werden.","ドッジロールは他のほぼ全てのアクション中に行うことができます。","회피 구르기는 거의 모든 동작을 하는 도중에도 할 수 있습니다.","A Cambalhota Evasiva pode ser usada durante quase qualquer ação.","Уворот кувырком можно выполнить во время почти любого другого действия.","Puedes esquivar rodando durante casi cualquier otra acción.","คุณสามารถกลิ้งหลบได้ท่ามกลางการกระทำแทบทุกอย่าง","在進行大部分其他動作時，都可以做出閃避翻滾。","Evade attacks using the <b>{Dodge Roll} action, it can interrupt most active actions.","Esquivez les attaques en utilisant l'action de <b>{Roulade}, qui peut interrompre la plupart des actions actives.","Weiche Angriffen mit der <b>{Ausweichrolle}</b> aus, sie kann die meisten aktiven Aktionen unterbrechen.","<b>{ドッジロール}アクションを使用して攻撃を回避します。これにより、ほとんどのアクティブなアクションを中断できます。","<b>{회피 구르기} 동작을 사용해 공격을 피하십시오. 회피 구르기를 하면 대부분의 진행 중인 동작이 중단됩니다.","Evite ataques usando a ação <b>{Cambalhota Evasiva}, que pode interromper a maioria das ações ativas. ","Уворачивайтесь от атак <b>{кувырком}, он может прервать большинство активных действий.","Evade los ataques con la acción de <b>{esquivar rodando}; puede interrumpir la mayoría de las acciones activas.","หลบหลีกการโจมตีได้ด้วยการ<b>{กลิ้งหลบ} มันสามารถระงับการกระทำส่วนใหญ่ของคุณได้","使用<b>{閃避翻滾}可以躲避攻擊，並可中斷大部分的主動行動。",1,100,0,0,[],56
31,"ProxyKey34","After being <b>{Stunned} or <b>{Frozen}, both you and enemies are more resistant to being <b>{Stunned} or <b>{Frozen} again.","Après avoir été <b>{Étourdi} ou <b>{Gelé}, vous, comme vos ennemis, devenez plus résistant à l'<b>{Étourdissement} ou au <b>{Gel}.","Nachdem man <b>{betäubt} oder <b>{eingefroren} wurde, ist man widerstandsfähiger dagegen. Dies gilt auch für Gegner.","プレイヤーおよび敵のどちらも、一度<b>{スタン}または<b>{凍結}した後は、再度<b>{スタン}または<b>{凍結}することに対する耐性を得ます。","<b>{기절}하거나 <b>{동결}된 후에는, 플레이어와 적 모두 다시 <b>{기절}하거나 <b>{동결}되는 데 저항이 생깁니다.","Após ser <b>{Atordoado} ou <b>{Congelado}, tanto você quanto seus inimigos serão mais resistêntes ao <b>{Atordoamento} ou <b>{Congelamento},","После <b>{оглушения} или <b>{заморозки} и вы, и ваши враги становитесь более устойчивы к повторному <b>{оглушению} или <b>{заморозке}.","Si te <b>{aturden} o <b>{congelan}, serás más resistente a nuevos <b>{aturdimientos} o <b>{congelaciones}. Lo mismo les ocurre a los enemigos.","หากคุณหรือศัตรูติดสถานะ <b>{สตัน}หรือ<b>{แช่แข็ง} ผู้ที่เคยติดสถานะนั้นจะติดสถานะ <b>{สตัน}หรือ<b>{แช่แข็ง} อีกครั้งได้ยากกว่าเดิม","無論是你還是敵人，被<b>{暈眩}或<b>{冰凍}過後，對再次被<b>{暈眩}或<b>{冰凍}的抗性都會提高。","","","","","","","","","","",1,100,0,0,[],56
32,"ProxyKey35","Some items can grant you specific skills when wielded.","Certains objets peuvent vous octroyer des Aptitudes spécifiques lorsqu'ils sont équipés.","Einige Gegenstände können dir bestimmte Fertigkeiten verleihen, wenn du sie ausrüstest.","アイテムの中には装備時に特定のスキルをキャラクターに付与できるものがあります。","일부 아이템은 장착했을 때 특정 스킬을 사용할 수 있습니다.","Alguns itens podem te conceder habilidades específicas quando equipados.","Некоторые предметы при использовании дают вам особые умения.","Algunos objetos pueden otorgarte habilidades específicas cuando los llevas.","ไอเทมบางอย่างจะให้สกิลเมื่อคุณสวมใส่","手持某些物品時可獲得特殊技能。","","","","","","","","","","",1,100,0,0,[],56
33,"ProxyKey36","Repeatedly damaging enemies can cause them to be <b>{Stunned}.","Infliger des dégâts de façon répétée aux ennemis peut les faire devenir <b>{Étourdis}.","Wiederholter Schaden an Gegnern kann dazu führen, dass sie <b>{betäubt} werden.","敵に繰り返しダメージを与えると、<b>{スタン}させることができます。","적에게 반복해서 피해를 주면 적이 일정 확률로 <b>{기절}합니다.","Causar dano repetidamente nos inimigos pode fazer com que eles sejam <b>{Atordoados}.","Многократное нанесение урона по врагам может <b>{оглушить} их.","Si dañas a los enemigos repetidamente, pueden quedar <b>{aturdidos}.","การสร้างความเสียหายซ้ำๆ ต่อศัตรูอาจทำให้มันติดสถานะ <b>{สตัน} ได้","反覆攻擊敵人可使他們陷入<b>{暈眩}狀態。","","","","","","","","","","",1,100,0,0,[],56
34,"ProxyKey37","Culling strike will instantly kill <b>{Normal}, <b>{Magic}, <b>{Rare} and <b>{Unique} enemies below 30%, 20%, 10% and 5% Maximum Life respectively.","Un Coup de grâce tue instantanément les ennemis <b>{Normaux}, <b>{Magiques}, <b>{Rares} et <b>{Uniques} dont la Vie maximale est inférieure à 30%, 20%, 10% et 5% respectivement.","Todesstoß tötet einen <b>{normalen} (30%), <b>{magischen} (20%), <b>{seltenen} (10%) und <b>{einzigartigen} (5%) Gegner beim Ereichen des spezifischen maximalen Lebens.","カリングストライクは<b>{ノーマル}、<b>{マジック}、<b>{レア}、<b>{ユニーク}の敵をそれぞれの最大ライフが30%、20%、10%、5%未満になった時に即座に倒します。","마무리 타격은 각각 최대 생명력의 30%, 20%, 10%, 5% 미만인 <b>{일반}, <b>{마법}, <b>{희귀} 및 <b>{고유} 적을 즉시 처치합니다.","O golpe abatedor vai matar instantaneamente inimigos <b>{Normais}, <b>{Mágicos}, <b>{Raros} e <b>{Únicos} abaixo de 30%, 20%, 10% e 5% de Vida Máxima, respectivamente.","Добивание мгновенно убьёт <b>{обычных}, <b>{волшебных}, <b>{редких} и <b>{уникальных врагов}, у которых меньше 30%, 20%, 10% и 5% здоровья соответственно.","<size:35>{Golpe de gracia matará instantáneamente a los enemigos <b>{normales}, <b>{mágicos}, <b>{raros} y <b>{únicos} si su vida máxima se encuentra por debajo del 30%, 20%, 10% y 5%, respectivamente.}","จู่โจมปลิดชีพจะทำการสังหารศัตรู<b>{ธรรมดา}, <b>{เมจิก}, <b>{แรร์} และ<b>{ยูนิค} ที่มีพลังชีวิตต่ำกว่า 30%, 20%, 10% และ 5% ตามลำดับ","撲殺能立即殺死生命值分別低於最大生命值 30%、20%、10% 和 5% 的<b>{普通}、<b>{魔法}、<b>{稀有}和<b>{傳奇}級敵人。","<b>{Culling Strike} will instantly kill <whiteitem>{Normal}, <magicitem>{Magic}, <rareitem>{Rare} and <uniqueitem>{Unique} enemies below 30%, 20%, 10% and 5% Maximum Life respectively.","Un Coup de grâce tue instantanément les ennemis <whiteitem>{Normaux}, <magicitem>{Magiques}, <rareitem>{Rares} et <uniqueitem>{Uniques} dont la Vie maximale est respectivement inférieure à 30%, 20%, 10% et 5%.","<b>Todesstoß tötet einen <whiteitem>{normalen} (30%), <magicitem>{magischen} (20%), <rareitem>{seltenen} (10%) und <uniqueitem>{einzigartigen} (5%) Gegner beim Erreichen des spezifischen maximalen Lebens.","<b>{カリングストライク}は最大ライフがそれぞれ30%、20%、10%、5%未満になった、<whiteitem>{ノーマル}、<magicitem>{マジック}、<rareitem>{レア}、<uniqueitem>{ユニーク}の敵を即座に倒します。","<b>{마무리 타격}은 각각 최대 생명력의 30%, 20%, 10%, 5% 미만인 <whiteitem>{일반}, <magicitem>{마법}, <rareitem>{희귀} 및 <uniqueitem>{고유} 적을 즉시 처치합니다.","<b>{Golpe Abatedor} matará instantaneamente inimigos <whiteitem>{Normais}, <magicitem>{Mágicos}, <rareitem>{Raros} e <uniqueitem>{Únicos} com menos de 30%, 20%, 10% e 5% da Vida Máxima, respectivamente.","<b>{Добивание} мгновенно убьёт <whiteitem>{обычных}, <magicitem>{волшебных}, <rareitem>{редких} и <uniqueitem>{уникальных врагов}, у которых меньше 30%, 20%, 10% и 5% здоровья соответственно.","<size:35>{<b>{Golpe de gracia} matará instantáneamente a los enemigos <whiteitem>{normales}, <magicitem>{mágicos}, <rareitem>{raros} y <uniqueitem>{únicos} si su vida máxima se encuentra por debajo del 30%, 20%, 10% y 5%, respectivamente.}","จู่โจมปลิดชีพจะทำการสังหารศัตรู<whiteitem>{ธรรมดา},<magicitem>{เมจิก}, <rareitem>{แรร์} และ<uniqueitem>{ยูนิค} ที่มีพลังชีวิตต่ำกว่า 30%, 20%, 10% และ 5% ตามลำดับ","<b>{撲殺}能立即殺死生命值分別低於最大生命值 30%、20%、10% 和 5% 的 <whiteitem>{普通}、<magicitem>{魔法}、<rareitem>{稀有}和<uniqueitem>{傳奇}級敵人。",1,100,0,0,[],56
35,"ProxyKey38","Vendors will have new items when you gain a level, be sure to check them.","Les marchands proposent de nouveaux objets lorsque vous gagnez un niveau, n'hésitez donc pas à les consulter.","Die Verkäufer bieten neue Gegenstände an, wenn du eine Stufe aufsteigst, also prüfe sie unbedingt.","ベンダーは、プレイヤーのレベルが上がった際に新しいアイテム提示します。確認してみましょう。","플레이어의 레벨이 올라가면 상인이 새로운 아이템을 판매하니, 꼭 확인해 보십시오.","Os vendedores terão novos itens quando você passar de nível, não esqueça de dar uma olhadinha.","У торговцев появляются новые товары с повышением вашего уровня, не забывайте проверять их.","Los vendedores te ofrecerán objetos nuevos cuando subas de nivel, no olvides echarles un vistazo.","ผู้ค้าขายจะนำไอเทมใหม่มาขายเมื่อคุณเลเวลขึ้น อย่าลืมไปดูกันล่ะ","商人會在你升級後販售全新的物品，記得去找他們。","","","","","","","","","","",1,100,0,0,[],56
36,"ProxyKey39","Many Unique bosses can grant permanent buffs for defeating them.","De nombreux Boss uniques vous octroieront des effets bénéfiques permanents lorsque vous les abattrez.","Viele einzigartige Bosse können permanente Stärkungen für das Besiegen von ihnen gewähren.","ユニークボスの多くは倒すと永続的なバフが付与されることがあります。","많은 고유 보스는 쓰러뜨렸을 때 영구적인 버프를 얻을 수 있습니다.","Vários Chefes Únicos podem conceder buffs permanentes quando derrotados.","Многие уникальные боссы даруют постоянные усиления за победу над ними.","Muchos jefes únicos pueden otorgarte bonificaciones permanentes por derrotarlos.","บอสยูนิคหลายๆ ตัวจะให้บัฟถาวรเมื่อคุณสยบมันได้สำเร็จ","許多傳奇頭目在被打敗後，會賦予你獲得永久增益效果。","","","","","","","","","","",1,100,0,0,[],56
37,"ProxyKey40","Larger enemies can push you around if you get in their way.","Les ennemis plus grands peuvent vous pousser si vous vous mettez en travers de leur chemin.","Größere Gegner können dich herumstoßen, wenn du ihnen im Weg stehst.","大型の敵はその通り道にいるプレイヤーを押し出します。","몸집이 큰 적의 경로에 있으면 이리저리 밀려 다닐 수도 있습니다.","Inimigos maiores podem te empurrar se você ficar em seu caminho.","Крупные враги могут оттолкнуть вас, если вы встанете у них на пути.","Los enemigos más grandes pueden empujarte si te interpones en su camino.","ศัตรูที่มีขนาดใหญ่สามารถดันคุณออกไปให้พ้นทางได้","如果你擋住敵人的去路，體型較大的敵人會把你推開。","","","","","","","","","","",1,100,0,0,[],56
38,"ProxyKey41","Once you have set up an Item Filter, you can press <b>{Z} to view all items.","Si vous utilisez un Filtre d'objets, appuyez sur <b>{Z} pour voir les objets qu'il masque.","Sobald du einen Gegenstandsfilter nutzt, kannst du mit <b>{Z} die Anzeige aller Gegenstände umschalten.","アイテムフィルターを設定後は、<b>{Z}を押してすべてのアイテムを表示できます。","아이템 필터를 적용한 상태에서 <b>{Z}를 누르면 모든 아이템이 표시됩니다.","Assim que tiver um Filtro de Itens configurado, pressione <b>{Z} para ver todos os itens.","Как только вы настроите фильтр предметов, нажмите <b>{Z}, чтобы отображать все предметы.","Una vez que hayas establecido un filtro de objetos, puedes presionar <b>{Z} para ver todos los objetos.","เมื่อคุณได้ตั้งค่าไอเทมฟิลเตอร์แล้ว คุณสามารถกด <b> {Z} เพื่อดูไอเทมทั้งหมด","設置物品篩選後，可按下 <b>{Z} 來檢視所有物品。","Once you have set up an Item Filter. Toggle <<xbox_button_rstick>> to display info of filtered items on the ground.","Si vous utilisez un Filtre d'objets, appuyez sur <<xbox_button_lstick>>  pour afficher/masquer les informations des objets filtrés au sol.","Sobald du einen Gegenstandsfilter nutzt, kannst du mit <<xbox_button_rstick>> die Anzeige aller Gegenstände auf dem Boden umschalten.","アイテムフィルターを設定後は、<<xbox_button_rstick>>で地面上のフィルターしたアイテム情報の表示が切り替わります。","아이템 필터를 적용한 상태에서 <<xbox_button_rstick>>으로 설정을 끄거나 켜면 바닥에 있는 아이템 중 필터 조건에 맞는 아이템의 정보가 표시됩니다.","Assim que tiver um Filtro de Itens configurado, pressione <<xbox_button_rstick>> para mostrar as informações de todos os itens no solo.","Как только вы настроите фильтр предметов, нажимайте <<xbox_button_rstick>> для отображения сведений об отфильтрованных предметах на земле.","Una vez que hayas establecido un filtro de objetos, acciona el <<xbox_button_rstick>> para ver la información de los objetos filtrados del suelo.","เมื่อคุณติดตั้งไอเทมฟิลเตอร์แล้ว เปิด <<xbox_button_rstick>> เพื่อดูข้อมูลของไอเทมบนพื้นที่ถูกกรอง","設置物品篩選後，按下 <<xbox_button_rstick>> 可顯示地面上篩選物品資訊。",1,100,0,0,[],56
39,"ProxyKey42","Many melee attacks will gap-close to nearby enemies if you're not quite close enough.","De nombreuses attaques de mêlée vous feront foncer vers les ennemis les plus proches si vous êtes un peu trop éloignés.","Viele Nahkampfangriffe schließen eine Lücke zu nahen Gegnern, wenn du nicht ganz nah genug dran bist.","多くの近接アタックは、周囲の敵との距離が十分に近くない場合にその距離を詰めます。","많은 근접 공격의 경우, 적과의 거리가 충분히 가깝지 않은 경우 근처 적과의 거리를 좁힙니다.","Vários ataques corpo a corpo vão se aproximar dos inimigos ao redor caso você não esteja próximo o suficiente.","Многие атаки ближнего боя сами пододвинут вас к ближайшим врагам, если вам немного не хватает дистанции.","Muchos ataques cuerpo a cuerpo reducirán la distancia con los enemigos cercanos si no estás lo suficientemente cerca.","การโจมตีประชิดหลายสกิลจะทำการเข้าหาศัตรูที่อยู่ใกล้หากคุณอยู่ไม่ใกล้พอ","在你與敵人距離不夠近的情況下，許多近戰攻擊會幫助你的角色瞬間逼近至附近敵人給予打擊。","","","","","","","","","","",1,100,0,0,[],56
40,"ProxyKey43","Energy Shield will begin recharging after 4 seconds without taking damage.","Votre Bouclier d'énergie commencera à se recharger après 4 secondes sans subir de dégâts.","Der Energieschild beginnt sich wieder aufzuladen, nachdem man 4 Sekunden keinen Schaden erlitten hat.","エナジーシールドは、ダメージを受けることなく4秒間経過するとリチャージが始まります。","피해를 받지 않고 4초가 지나면 에너지 보호막이 충전되기 시작합니다.","O Escudo de Energia inicia sua recarga após 2 segundos sem sofrer dano.","Энергетический щит начинает перезаряжаться спустя 4 секунды не получения урона.","El escudo de energía empezará a recargarse después de que estés 4 segundos sin recibir daño.","โล่พลังงานจะเริ่มรีชาร์จหลังจากที่คุณไม่ได้รับความเสียหายครบ 4 วินาที","在 2 秒內沒有受到任何傷害後，能量護盾會自動開始充能。","","","","","","","","","","",1,100,0,0,[],56
41,"ProxyKey45","Herald skills are a kind of Spirit reservation that grant various bonuses to Attack skills.","Les Aptitudes de Héraut sont un type de réservation d'Esprit qui octroient des bonus variés aux Aptitudes d'attaque.","Herold-Fertigkeiten sind eine Art von Fertigkeit, die Wille reservieren und Angriffsfertigkeiten verschiedene Boni gewähren.","ヘラルドスキルはアタックスキルに対して様々なボーナスを付与するスピリットリザーブの一種です。","전령 스킬은 정신력을 점유하여 공격 스킬에 다양한 보너스를 부여합니다.","Habilidades de Arauto são um tipo de reserva de Espírito que concedem vários bônus para habilidades de Ataque.","Умения Вестников удерживают дух, даруя различные бонусы умениям атак.","Las habilidades de heraldo son un tipo de reserva de espíritu que otorgan varias bonificaciones a las habilidades de ataque.","สกิลสาสน์เป็นการสำรองพลังวิญญาณอย่างหนึ่งเพื่อให้โบนัสต่างๆ ไปกับสกิลโจมตี","捷光環技能會占用精魂，為攻擊技能提供各種加成。","","Pour une expérience de jeu plus stable, il est recommandé d'utiliser une connexion internet filaire.","Eine kabelgebundene Internetverbindung kann zu einer stabileren Spielerfahrung führen.","有線インターネット接続を使用すると接続状況がより安定します。","유선 인터넷 연결을 사용하면 게임의 안정성이 향상될 수 있습니다.","Usar uma internet a cabo pode resultar em uma experiência mais estável.","Использование проводного интернет-соединения может повысить стабильность игры.","Usar una conexión de internet por cable puede ayudarte a tener una experiencia más estable.","การใช้การเชื่อมต่ออินเทอร์เน็ตที่มีสายอาจทำให้เกิดประสบการณ์การเล่นที่เสถียรกว่าเดิม","透過有線網路連線可獲得更穩定的體驗。",1,100,0,0,[],56
