"rownum","Mod","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Visual","TextStyles","bool_56","bool_57","bool_58"
74,4285,"Periodic [Cold] Explosions","Explosions de [Cold|Froid] périodiques","Regelmäßige [Cold|Kälte]explosionen","定期的に[Cold|冷気]の爆発","주기적인 [Cold|냉기] 폭발","Explosões de [Cold|Gelo] Periódicas","Периодические взрывы [Cold|холода]","Explosiones de [Cold|hielo] periódicas","ระเบิด[Cold|น้ำแข็ง] เป็นระยะ","定期[Cold|冰冷]爆炸",70,[],"","",""
75,4286,"Periodic Lightning Explosions","Explosions de foudre périodiques","Regelmäßige Blitzexplosionen","定期的に雷の爆発","주기적인 번개 폭발","Explosões de Raio Periódicas","Периодические взрывы молнии","Explosiones de rayo periódicas","ระเบิดสายฟ้า เป็นระยะ","定期閃電爆炸",71,[],"","",""
76,4287,"Periodic [Lightning] Explosions","Explosions de [Lightning|Foudre] périodiques","Regelmäßige [Lightning|Blitz]explosionen","定期的に[Lightning|雷]の爆発","주기적인 [Lightning|번개] 폭발","Explosões de [Lightning|Raio] Periódicas","Периодические взрывы [Lightning|молнии]","Explosiones de [Lightning|rayo] periódicas","ระเบิด[Lightning|สายฟ้า] เป็นระยะ","定期[Lightning|閃電]爆炸",71,[],"","",""
77,4288,"Fire Explosion on Death","Explosion de feu en mourant","Feuerexplosion bei Tod","死亡時に火の爆発","사망 시 화염 폭발","Explosão de Fogo ao Morrer","Взрыв огня при смерти","Explosión de fuego al morir","ระเบิดไฟ เมื่อตาย","死亡時火焰爆炸","",[],"","",1
78,4289,"Cold Explosion on Death","Explosion de froid en mourant","Kälteexplosion bei Tod","死亡時に冷気の爆発","사망 시 냉기 폭발","Explosão de Gelo ao Morrer","Взрыв холода при смерти","Explosión de hielo al morir","ระเบิดน้ำแข็ง เมื่อตาย","死亡時冰冷爆炸","",[],"","",1
79,4290,"Lightning Explosion on Death","Explosion de foudre en mourant","Blitzexplosion bei Tod","死亡時に雷の爆発","사망 시 번개 폭발","Explosão de Raio ao Morrer","Взрыв молнии при смерти","Explosión de rayo al morir","ระเบิดสายฟ้า เมื่อตาย","死亡時閃電爆炸","",[],"","",1
80,4291,"Powerful Minions","Créatures puissantes","Mächtige Kreaturen","強力なミニオン","강력한 소환수","Lacaios Poderosos","Могущественные приспешники","Esbirros poderosos","มิเนียนทรงพลัง","強大召喚物",66,[],"","",""
81,4292,"[MonsterStrongerMinions1|Powerful Minions]","[MonsterStrongerMinions1|Créatures puissantes]","[MonsterStrongerMinions1|Mächtige Kreaturen]","[MonsterStrongerMinions1|強力なミニオン]","[MonsterStrongerMinions1|강력한 소환수]","[MonsterStrongerMinions1|Lacaios Poderosos]","[MonsterStrongerMinions1|Могущественные приспешники]","[MonsterStrongerMinions1|Esbirros poderosos]","[MonsterStrongerMinions1|มิเนียนทรงพลัง]","[MonsterStrongerMinions1|強大手下]",66,[],"","",""
82,4293,"Empowered","Amélioré","Ermächtigt","強化","강화","Empoderado","Усиленный","Potenciado","ทรงพลัง","強化的",67,[],"","",""
83,4294,"Extra Physical Damage Aura","Aura de Dégâts physiques supplémentaires","Aura mit extra physischem Schaden","追加物理ダメージオーラ","추가 물리 피해 오라","Aura de Dano Físico Adicional","Аура дополнительного физического урона","Aura de daño físico adicional","ออร่าเสริมความเสียหาย กายภาพ","額外物理傷害光環","",[],"","",""
84,4295,"[MonsterPhysicalDamageAura1|Extra Physical Damage Aura]","[MonsterPhysicalDamageAura1|Aura de Dégâts physiques supplémentaires]","[MonsterPhysicalDamageAura1|Aura mit extra physischem Schaden]","[MonsterPhysicalDamageAura1|追加物理ダメージオーラ]","[MonsterPhysicalDamageAura1|추가 물리 피해 오라]","[MonsterPhysicalDamageAura1|Aura de Dano Físico Adicional]","[MonsterPhysicalDamageAura1|Аура дополнительного физического урона]","[MonsterPhysicalDamageAura1|Aura de daño físico adicional]","[MonsterPhysicalDamageAura1|ออร่าเสริมความเสียหาย กายภาพ]","[MonsterPhysicalDamageAura1|額外物理傷害光環]","",[],"","",""
85,4296,"Haste Aura","Aura de Hâte","Hast-Aura","ヘイストオーラ","가속의 오라","Aura de Ímpeto","Аура Спешки","Aura de celeridad","ออร่าว่องไว","迅捷光環","",[],"","",""
86,4297,"[MonsterIncreasedSpeedAura1|Haste Aura]","[MonsterIncreasedSpeedAura1|Aura de Hâte]","[MonsterIncreasedSpeedAura1|Hast-Aura]","[MonsterIncreasedSpeedAura1|ヘイストオーラ]","[MonsterIncreasedSpeedAura1|가속의 오라]","[MonsterIncreasedSpeedAura1|Aura de Ímpeto]","[MonsterIncreasedSpeedAura1|Аура Спешки]","[MonsterIncreasedSpeedAura1|Aura de celeridad]","[MonsterIncreasedSpeedAura1|ออร่าว่องไว]","[MonsterIncreasedSpeedAura1|迅捷光環]","",[],"","",""
87,4298,"[MonsterIncreasedSpeedAura1|Haste Aura]","[MonsterIncreasedSpeedAura1|Aura de Hâte]","[MonsterIncreasedSpeedAura1|Hast-Aura]","[MonsterIncreasedSpeedAura1|ヘイストオーラ]","[MonsterIncreasedSpeedAura1|가속의 오라]","[MonsterIncreasedSpeedAura1|Aura de Ímpeto]","[MonsterIncreasedSpeedAura1|Аура Спешки]","[MonsterIncreasedSpeedAura1|Aura de celeridad]","[MonsterIncreasedSpeedAura1|ออร่าว่องไว]","[MonsterIncreasedSpeedAura1|迅捷光環]","",[],"","",""
88,4299,"Energy Shield Aura","Aura de Bouclier d'énergie","Energieschild-Aura","エナジーシールドオーラ","에너지 보호막 오라","Aura de Escudo de Energia","Аура энергетического щита","Aura de escudo de energía","ออร่าโล่พลังงาน","能量護盾光環","",[],"","",""
89,4300,"[MonsterEnergyShieldAura1|Energy Shield Aura]","[MonsterEnergyShieldAura1|Aura de Bouclier d'énergie]","[MonsterEnergyShieldAura1|Energieschild-Aura]","[MonsterEnergyShieldAura1|エナジーシールドオーラ]","[MonsterEnergyShieldAura1|에너지 보호막 오라]","[MonsterEnergyShieldAura1|Aura de Escudo de Energia]","[MonsterEnergyShieldAura1|Аура энергетического щита]","[MonsterEnergyShieldAura1|Aura de escudo de energía]","[MonsterEnergyShieldAura1|ออร่าโล่พลังงาน]","[MonsterEnergyShieldAura1|能量護盾光環]","",[],"","",""
90,4301,"[MonsterEnergyShieldAura1|Energy Shield Aura]","[MonsterEnergyShieldAura1|Aura de Bouclier d'énergie]","[MonsterEnergyShieldAura1|Energieschild-Aura]","[MonsterEnergyShieldAura1|エナジーシールドオーラ]","[MonsterEnergyShieldAura1|에너지 보호막 오라]","[MonsterEnergyShieldAura1|Aura de Escudo de Energia]","[MonsterEnergyShieldAura1|Аура энергетического щита]","[MonsterEnergyShieldAura1|Aura de escudo de energía]","[MonsterEnergyShieldAura1|ออร่าโล่พลังงาน]","[MonsterEnergyShieldAura1|能量護盾光環]","",[],"","",""
91,4302,"Elemental Resistance Aura","Aura de Résistance aux éléments","Elementarwiderstands-Aura","元素耐性オーラ","원소 저항 오라","Aura de Resistência Elemental","Аура сопротивления стихиям","Aura de resistencias elementales","ออร่าต้านทานธาตุ","元素抗性光環","",[],"","",""
92,4303,"[MonsterResistanceAura1|Elemental Resistance Aura]","[MonsterResistanceAura1|Aura de Résistance aux éléments]","[MonsterResistanceAura1|Elementarwiderstands-Aura]","[MonsterResistanceAura1|元素耐性オーラ]","[MonsterResistanceAura1|원소 저항 오라]","[MonsterResistanceAura1|Aura de Resistência Elemental]","[MonsterResistanceAura1|Аура сопротивления стихиям]","[MonsterResistanceAura1|Aura de resistencias elementales]","[MonsterResistanceAura1|ออร่าต้านทานธาตุ]","[MonsterResistanceAura1|元素抗性光環]","",[],"","",""
93,4304,"Temporal Bubble","Bulle temporelle","Temporale Blase","テンポラルバブル","시간의 거품","Bolha Temporal","Временной пузырь","Burbuja temporal","โดมกาลเวลา","短暫幻想","",[],"","",""
94,4305,"[MonsterTemporalAura1|Temporal Bubble]","[MonsterTemporalAura1|Bulle temporelle]","[MonsterTemporalAura1|Temporale Blase]","[MonsterTemporalAura1|テンポラルバブル]","[MonsterTemporalAura1|시간의 거품]","[MonsterTemporalAura1|Bolha Temporal]","[MonsterTemporalAura1|Временной пузырь]","[MonsterTemporalAura1|Burbuja temporal]","[MonsterTemporalAura1|โดมกาลเวลา]","[MonsterTemporalAura1|緩行之域]","",[],"","",""
95,4306,"[MonsterTemporalAura1|Temporal Bubble]","[MonsterTemporalAura1|Bulle temporelle]","[MonsterTemporalAura1|Temporale Blase]","[MonsterTemporalAura1|テンポラルバブル]","[MonsterTemporalAura1|시간의 거품]","[MonsterTemporalAura1|Bolha Temporal]","[MonsterTemporalAura1|Временной пузырь]","[MonsterTemporalAura1|Burbuja temporal]","[MonsterTemporalAura1|โดมกาลเวลา]","[MonsterTemporalAura1|緩行之域]","",[],"","",""
96,4307,"Hinder Aura","Aura d'Entrave","Lähmende Aura","阻害オーラ","이동 방해 오라","Aura Tolhedora","Аура скованности","Aura de entumecimiento","ออร่าขัดขวาง","阻礙光環","",[],"","",""
97,4308,"[MonsterHinderAura1|Hinder Aura]","[MonsterHinderAura1|Aura d'Entrave]","[MonsterHinderAura1|Lähmende Aura]","[MonsterHinderAura1|阻害オーラ]","[MonsterHinderAura1|이동 방해 오라]","[MonsterHinderAura1|Aura Tolhedora]","[MonsterHinderAura1|Аура скованности]","[MonsterHinderAura1|Aura de entumecimiento]","[MonsterHinderAura1|ออร่าขัดขวาง]","[MonsterHinderAura1|阻礙光環]","",[],"","",""
98,4309,"Prevents Recovery Above 50%","Empêche la Récupération au-delà de 50%","Verhindert Wiederherstellung über 50%","50%を超える回復を防ぐ","50% 위로 회복 방지","Impede a Recuperação Acima de 50%","Предотвращает восстановление выше 50%","Impide la recuperación por encima del 50%","ห้ามไม่ให้เติมเกินกว่า 50%","防止恢復超過50%","",[],"","",""
99,4310,"[MonsterPreventRecoveryAura1|Prevents Recovery Above 50%]","[MonsterPreventRecoveryAura1|Empêche la Récupération au-delà de 50%]","[MonsterPreventRecoveryAura1|Verhindert Wiederherstellung über 50%]","[MonsterPreventRecoveryAura1|50%を超える回復を防ぐ]","[MonsterPreventRecoveryAura1|50% 위로 회복 방지]","[MonsterPreventRecoveryAura1|Impede a Recuperação Acima de 50%]","[MonsterPreventRecoveryAura1|Предотвращает восстановление выше 50%]","[MonsterPreventRecoveryAura1|Impide la recuperación por encima del 50%]","[MonsterPreventRecoveryAura1|ห้ามไม่ให้เติมเกินกว่า 50%]","[MonsterPreventRecoveryAura1|防止恢復超過 50%]","",[],"","",""
100,4311,"Periodic Invulnerability Aura","Aura d'Invulnérabilité périodique","Regelmäßige Aura der Unverwundbarkeit","定期的に不死身オーラ","주기적인 무적 오라","Aura de Invulnerabilidade Periódica","Аура периодической неуязвимости","Aura de invulnerabilidad periódica","ออร่าอมตะ เป็นระยะ","定期無敵光環",72,[],"","",""
101,4312,"[MonsterImmuneAura1|Periodic Invulnerability Aura]","[MonsterImmuneAura1|Aura d'Invulnérabilité périodique]","[MonsterImmuneAura1|Regelmäßige Aura der Unverwundbarkeit]","[MonsterImmuneAura1|定期的に不死身オーラ]","[MonsterImmuneAura1|주기적인 무적 오라]","[MonsterImmuneAura1|Aura de Invulnerabilidade Periódica]","[MonsterImmuneAura1|Аура периодической неуязвимости]","[MonsterImmuneAura1|Aura de invulnerabilidad periódica]","[MonsterImmuneAura1|ออร่าอมตะ เป็นระยะ]","[MonsterImmuneAura1|定期無敵光環]",72,[],"","",""
102,4313,"Empowered Periodic Invulnerability Aura","Aura d'Invulnérabilité périodique améliorée","Verstärkte regelmäßige Aura der Unverwundbarkeit","強化された定期的に不死身オーラ","강화된 주기적인 무적 오라","Aura de Invulnerabilidade Periódica Empoderada","Улучшенная аура периодической неуязвимости","Aura de invulnerabilidad periódica potenciada","ออร่าอมตะที่เสริมฤทธิ์ เป็นระยะ","強化定期無敵光環",72,[],"","",""
103,4314,"[MonsterImmuneAura2|Empowered Periodic Invulnerability Aura]","[MonsterImmuneAura2|Aura d'Invulnérabilité périodique améliorée]","[MonsterImmuneAura2|Verstärkte regelmäßige Aura der Unverwundbarkeit]","[MonsterImmuneAura2|強化された定期的に不死身オーラ]","[MonsterImmuneAura2|강화된 주기적인 무적 오라]","[MonsterImmuneAura2|Aura de Invulnerabilidade Periódica Empoderada]","[MonsterImmuneAura2|Улучшенная аура периодической неуязвимости]","[MonsterImmuneAura2|Aura de invulnerabilidad periódica potenciada]","[MonsterImmuneAura2|ออร่าอมตะที่เสริมฤทธิ์ เป็นระยะ]","[MonsterImmuneAura2|強化定期無敵光環]",72,[],"","",""
104,4315,"Increased Life","Vie augmentée","Erhöhtes Leben","ライフ増加","생명력 증가","Vida Aumentada","Увеличенное здоровье","Vida aumentada","เพิ่มพลังชีวิต","增加生命","",[],"","",""
105,4316,"Siphons Mana and Deals Lightning Damage","Siphonne le Mana et inflige des Dégâts de foudre","Entzieht Mana und verursacht Blitzschaden","マナを吸収し雷ダメージを与える","마나 착취 및 번개 피해","Suga Mana e Causa Dano de Raio","Вытягивает ману и наносит урон от молнии","Drena maná e inflige daño de rayo","ลักมานา และสร้างความเสียหาย สายฟ้า","吸取魔力和造成閃電傷害",68,[],"","",""
106,4317,"[MonsterManaSiphonAura1|Siphons Mana and Deals Lightning Damage]","[MonsterManaSiphonAura1|Siphonne le Mana et inflige des Dégâts de foudre]","[MonsterManaSiphonAura1|Entzieht Mana und verursacht Blitzschaden]","[MonsterManaSiphonAura1|マナを吸収し雷ダメージを与える]","[MonsterManaSiphonAura1|마나 착취 및 번개 피해]","[MonsterManaSiphonAura1|Suga Mana e Causa Dano de Raio]","[MonsterManaSiphonAura1|Вытягивает ману и наносит урон от молнии]","[MonsterManaSiphonAura1|Drena maná e inflige daño de rayo]","[MonsterManaSiphonAura1|ลักมานา และสร้างความเสียหาย สายฟ้า]","[MonsterManaSiphonAura1|吸取魔力和造成閃電傷害]",68,[],"","",""
107,4318,"Siphons Mana and Deals Lightning Damage","Siphonne le Mana et inflige des Dégâts de foudre","Entzieht Mana und verursacht Blitzschaden","マナを吸収し雷ダメージを与える","마나 착취 및 번개 피해","Suga Mana e Causa Dano de Raio","Вытягивает ману и наносит урон от молнии","Drena maná e inflige daño de rayo","ลักมานา และสร้างความเสียหาย สายฟ้า","吸取魔力和造成閃電傷害",68,[],"","",""
108,4319,"[MonsterManaSiphonAura2|Siphons Mana and Deals Lightning Damage]","[MonsterManaSiphonAura2|Siphonne le Mana et inflige des Dégâts de foudre]","[MonsterManaSiphonAura2|Entzieht Mana und verursacht Blitzschaden]","[MonsterManaSiphonAura2|マナを吸収し雷ダメージを与える]","[MonsterManaSiphonAura2|마나 착취 및 번개 피해]","[MonsterManaSiphonAura2|Suga Mana e Causa Dano de Raio]","[MonsterManaSiphonAura2|Вытягивает ману и наносит урон от молнии]","[MonsterManaSiphonAura2|Drena maná e inflige daño de rayo]","[MonsterManaSiphonAura2|ลักมานา และสร้างความเสียหาย สายฟ้า]","[MonsterManaSiphonAura2|吸取魔力和造成閃電傷害]",68,[],"","",""
109,4320,"Heals Allies and Suppresses Foe Recovery","Soigne les Alliés et supprime la Récupération des Ennemis","Heilt Verbündete und unterdrückt gegnerische Wiederherstellung","味方を回復し敵の回復を抑制","아군 치유 및 적 회복 억제","Cura Aliados e Inibe a Recuperação dos Inimigos","Лечит союзников и подавляет восстановление врагов","Cura a los aliados y reprime la recuperación de los enemigos","รักษาเพื่อน และยับยั้งการเติมของศัตรู","治癒友方和壓抑敵人恢復",79,[],"","",""
110,4321,"[MonsterHealingNova1|Heals Allies and Suppresses Foe Recovery]","[MonsterHealingNova1|Soigne les Alliés et supprime la Récupération des Ennemis]","[MonsterHealingNova1|Heilt Verbündete und unterdrückt gegnerische Wiederherstellung]","[MonsterHealingNova1|味方を回復し敵の回復を抑制]","[MonsterHealingNova1|동료 치유 및 적 회복 억제]","[MonsterHealingNova1|Cura Aliados e Inibe a Recuperação dos Inimigos]","[MonsterHealingNova1|Лечит союзников и подавляет восстановление врагов]","[MonsterHealingNova1|Cura a los aliados y reprime la recuperación de los enemigos]","[MonsterHealingNova1|รักษาเพื่อน และยับยั้งการเติมของศัตรู]","[MonsterHealingNova1|治癒友方和壓抑敵人恢復]",79,[],"","",""
111,4322,"Siphons Flask Charges","Siphonne les charges de Flacons","Entzieht Fläschchenfüllungen","フラスコチャージを吸収","플라스크 충전 착취","Suga Cargas dos Frascos","Вытягивает заряды флакона","Drena cargas de frascos","ลักชาร์จขวดยา","吸取藥劑充能",80,[],"","",""
112,4323,"[MonsterFlaskRemovalAura1|Siphons Flask Charges]","[MonsterFlaskRemovalAura1|Siphonne les charges de Flacons]","[MonsterFlaskRemovalAura1|Entzieht Fläschchenfüllungen]","[MonsterFlaskRemovalAura1|フラスコチャージを吸収]","[MonsterFlaskRemovalAura1|플라스크 충전 착취]","[MonsterFlaskRemovalAura1|Suga Cargas dos Frascos]","[MonsterFlaskRemovalAura1|Вытягивает заряды флакона]","[MonsterFlaskRemovalAura1|Drena cargas de frascos]","[MonsterFlaskRemovalAura1|ลักชาร์จขวดยา]","[MonsterFlaskRemovalAura1|吸取藥劑充能]",80,[],"","",""
113,4324,"Reviving Minions","Créatures récurrentes","Wiederbelebende Kreaturen","ミニオン蘇生","부활 소환수","Lacaios Revividos","Возрождающиеся приспешники","Revive esbirros","มิเนียนคืนชีพ","復甦手下",81,[],"","",""
114,4325,"[MonsterRevivesMinions1|Reviving Minions]","[MonsterRevivesMinions1|Créatures récurrentes]","[MonsterRevivesMinions1|Wiederbelebende Kreaturen]","[MonsterRevivesMinions1|ミニオン蘇生]","[MonsterRevivesMinions1|부활 소환수]","[MonsterRevivesMinions1|Lacaios Revividos]","[MonsterRevivesMinions1|Возрождающиеся приспешники]","[MonsterRevivesMinions1|Revive esbirros]","[MonsterRevivesMinions1|มิเนียนคืนชีพ]","[MonsterRevivesMinions1|復甦手下]",81,[],"","",""
115,4326,"Empowered Reviving Minions","Créatures récurrentes améliorées","Verstärkte Wiederbelebende Kreaturen","強化されたミニオン蘇生","강화된 부활 소환수","Lacaios Revividos Empoderados","Улучшенные возрождающиеся приспешники","Revive esbirros potenciados","มิเนียนคืนชีพที่เสริมฤทธิ์","強化復甦手下",81,[],"","",""
116,4327,"[MonsterRevivesMinions2|Empowered Reviving Minions]","[MonsterRevivesMinions2|Créatures récurrentes améliorées]","[MonsterRevivesMinions2|Verstärkte Wiederbelebende Kreaturen]","[MonsterRevivesMinions2|強化されたミニオン蘇生]","[MonsterRevivesMinions2|강화된 부활 소환수]","[MonsterRevivesMinions2|Lacaios Revividos Empoderados]","[MonsterRevivesMinions2|Улучшенные возрождающиеся приспешники]","[MonsterRevivesMinions2|Revive esbirros potenciados]","[MonsterRevivesMinions2|มิเนียนคืนชีพที่เสริมฤทธิ์]","[MonsterRevivesMinions1|強化復甦手下]",81,[],"","",""
117,4330,"Damage Taken From Minions First","Dégâts d'abord subis par les Créatures","Schaden wird zuerst von Kreaturen abgezogen","ダメージを先にミニオンで受ける","피해를 소환수가 우선 받음","Dano recebido primeiro por Lacaios","Урон получают сначала приспешники","El daño lo reciben los esbirros primero","มิเนียนรับความเสียหายแทน","優先承受召喚物的傷害",82,[],"","",""
118,4331,"[MonsterMinionsTakeLifeInstead1|Damage Taken From Minions First]","[MonsterMinionsTakeLifeInstead1|Dégâts d'abord subis par les Créatures]","[MonsterMinionsTakeLifeInstead1|Schaden wird zuerst von Kreaturen abgezogen]","[MonsterMinionsTakeLifeInstead1|ダメージを先にミニオンで受ける]","[MonsterMinionsTakeLifeInstead1|피해를 소환수가 우선 받음]","[MonsterMinionsTakeLifeInstead1|Dano recebido primeiro pelos Lacaios]","[MonsterMinionsTakeLifeInstead1|Урон получают сначала приспешники]","[MonsterMinionsTakeLifeInstead1|El daño lo reciben los esbirros primero]","[MonsterMinionsTakeLifeInstead1|มิเนียนรับความเสียหายแทน]","[MonsterMinionsTakeLifeInstead1|手下優先承受傷害]",82,[],"","",""
119,4332,"","PoE2","","PoE2","PoE2","","","PoE2","","",83,[],"","",1
120,4333,"Shroud Walker","Marche-brume","Schleierläufer","煙幕渡り","연막 보행자","Andarilho da Mortalha","Тенеход","Caminante de las sombras","ผู้เดินกลางควัน","迷霧之體",84,[],"","",1
121,4334,"[MonsterShroudWalker1|Shroud Walker]","[MonsterShroudWalker1|Marche-brume]","[MonsterShroudWalker1|Schleierläufer]","[MonsterShroudWalker1|シュラウドウォーカー]","[MonsterShroudWalker1|연막 보행자]","[MonsterShroudWalker1|Andarilho da Mortalha]","[MonsterShroudWalker1|Тенеход]","[MonsterShroudWalker1|Caminante de las sombras]","[MonsterShroudWalker1|ผู้เดินกลางควัน]","[MonsterShroudWalker1|迷霧之體]",84,[],"","",1
122,4335,"Shroud Walker","Marche-brume","Schleierläufer","煙幕渡り","연막 보행자","Andarilho da Mortalha","Тенеход","Caminante de las sombras","ผู้เดินกลางควัน","迷霧之體",84,[],"","",1
123,4336,"[MonsterShroudWalker2|Shroud Walker]","[MonsterShroudWalker2|Marche-brume]","[MonsterShroudWalker2|Schleierläufer]","[MonsterShroudWalker2|シュラウドウォーカー]","[MonsterShroudWalker2|연막 보행자]","[MonsterShroudWalker2|Andarilho da Mortalha]","[MonsterShroudWalker2|Тенеход]","[MonsterShroudWalker2|Caminante de las sombras]","[MonsterShroudWalker2|ผู้เดินกลางควัน]","[MonsterShroudWalker2|迷霧之體]",84,[],"","",1
124,4337,"Periodically Enrages","Enrage périodiquement","Wird regelmäßig wütend","定期的に激怒","주기적으로 격앙됨","Fúria Periódica","Периодически впадает в ярость","Se enfurece periódicamente","เดือดดาล เป็นระยะ","持續激怒",27,[],"","",""
125,4338,"[MonsterPeriodicEnrage1|Periodically Enrages]","[MonsterPeriodicEnrage1|Enrage périodiquement]","[MonsterPeriodicEnrage1|Wird regelmäßig wütend]","[MonsterPeriodicEnrage1|定期的に激怒]","[MonsterPeriodicEnrage1|주기적으로 격앙됨]","[MonsterPeriodicEnrage1|Fúria Periódica]","[MonsterPeriodicEnrage1|Периодически впадает в ярость]","[MonsterPeriodicEnrage1|Se enfurece periódicamente]","[MonsterPeriodicEnrage1|เดือดดาล เป็นระยะ]","[MonsterPeriodicEnrage1|持續激怒]",27,[],"","",""
126,4339,"Enraged","Enragé","Wütend","激怒","격앙","Enfurecido","Исступлённый","Enfurecido","เดือดดาล","狂怒",28,[],"","",""
127,4340,"[MonsterPeriodicEnrage2|Enraged]","[MonsterPeriodicEnrage2|Enragé]","[MonsterPeriodicEnrage2|Wütend]","[MonsterPeriodicEnrage2|激怒]","[MonsterPeriodicEnrage2|격앙]","[MonsterPeriodicEnrage2|Enfurecido]","[MonsterPeriodicEnrage2|Исступлённый]","[MonsterPeriodicEnrage2|Enfurecido]","[MonsterPeriodicEnrage2|เดือดดาล]","[MonsterPeriodicEnrage2|狂怒]",28,[],"","",""
128,4341,"[MonsterPeriodicEnrage2|Enraged]","[MonsterPeriodicEnrage2|Enragé]","[MonsterPeriodicEnrage2|Wütend]","[MonsterPeriodicEnrage2|激怒]","[MonsterPeriodicEnrage2|격앙]","[MonsterPeriodicEnrage2|Enfurecido]","[MonsterPeriodicEnrage2|Исступлённый]","[MonsterPeriodicEnrage2|Enfurecido]","[MonsterPeriodicEnrage2|เดือดดาล]","[MonsterPeriodicEnrage2|狂怒]",27,[],"","",""
129,4342,"Explodes Nearby Corpses","Explose les Cadavres à proximité","Explodiert Leichen im Umkreis","周囲の死体を爆破","주변의 시신 폭발","Explode Corpos Próximos","Взрывает ближайшие трупы","Explota cadáveres cercanos","ระเบิดศพที่อยู่ใกล้","引爆附近的屍體",85,[],"","",""
130,4343,"Explodes Nearby [Corpse|Corpses]","Explose les [Corpse|Cadavres] à proximité","Explodiert [Corpse|Leichen] im Umkreis","周囲の[Corpse|死体]を爆破","주변의 [Corpse|시신] 폭발","Explode [Corpse|Corpos] Próximos","Взрывает ближайшие [Corpse|трупы]","Explota [Corpse|cadáveres] cercanos","ระเบิด[Corpse|ศพ]ที่อยู่ใกล้","引爆附近的[Corpse|屍體]",85,[],"","",""
131,4344,"Lightning Mirage When Hit","Mirage de foudre quand Touché","Blitzillusion bei erlittenem Treffer","ヒットを受けた時にライトニングミラージュ","피격 시 번개 신기루","Miragem de Raio quando Atingido","Мираж молнии при получении удара","Espejismo de rayo cuando lo impactan","ภาพลวงตาสายฟ้า เมื่อถูกปะทะ","被擊中時閃電幻影","",[],"","",""
132,4345,"[MonsterLightningMirage1|Lightning Mirage When Hit]","[MonsterLightningMirage1|Mirage de foudre quand Touché]","[MonsterLightningMirage1|Blitzillusion bei erlittenem Treffer]","[MonsterLightningMirage1|ヒットを受けた時にライトニングミラージュ]","[MonsterLightningMirage1|피격 시 번개 신기루]","[MonsterLightningMirage1|Miragem de Raio quando Atingido]","[MonsterLightningMirage1|Мираж молнии при получении удара]","[MonsterLightningMirage1|Espejismo de rayo cuando lo impactan]","[MonsterLightningMirage1|ภาพลวงตาสายฟ้า เมื่อถูกปะทะ]","[MonsterLightningMirage1|被擊中時閃電幻影]","",[],"","",""
133,4346,"Lightning Mirages When Hit","Mirages de foudre quand Touché","Blitzillusion bei erlittenem Treffer","ヒットを受けた時に複数のライトニングミラージュ","피격 시 번개 신기루","Miragens de Raio quando Atingido","Миражи молнии при получении удара","Espejismos de rayo cuando lo impactan","ภาพลวงตาสายฟ้า เมื่อถูกปะทะ","被擊中時閃電幻影","",[],"","",""
134,4347,"[MonsterLightningMirage2|Lightning Mirages When Hit]","[MonsterLightningMirage2|Mirages de foudre quand Touché]","[MonsterLightningMirage2|Blitzillusionen bei erlittenem Treffer]","[MonsterLightningMirage2|ヒットを受けた時に複数のライトニングミラージュ]","[MonsterLightningMirage2|피격 시 번개 신기루]","[MonsterLightningMirage2|Miragens de Raio quando Atingido]","[MonsterLightningMirage2|Миражи молнии при получении удара]","[MonsterLightningMirage2|Espejismos de rayo cuando lo impactan]","[MonsterLightningMirage2|ภาพลวงตาสายฟ้า เมื่อถูกปะทะ]","[MonsterLightningMirage2|被擊中時閃電幻影]","",[],"","",""
135,4348,"Magma Barrier","Barrière magmatique","Magmabarriere","マグマバリアー","마그마 장벽","Barreira de Magma","Магмовый барьер","Barrera de magma","ม่านพลังหินหลอม","熔岩屏障",86,[],"","",""
136,4349,"[MonsterMagmaBarrier1|Magma Barrier]","[MonsterMagmaBarrier1|Barrière magmatique]","[MonsterMagmaBarrier1|Magmabarriere]","[MonsterMagmaBarrier1|マグマバリアー]","[MonsterMagmaBarrier1|마그마 장벽]","[MonsterMagmaBarrier1|Barreira de Magma]","[MonsterMagmaBarrier1|Магмовый барьер]","[MonsterMagmaBarrier1|Barrera de magma]","[MonsterMagmaBarrier1|ม่านพลังหินหลอม]","[MonsterMagmaBarrier1|熔岩屏障]",86,[],"","",""
137,4350,"Conjures Ice Prisons","Invoque des Prisons de glace","Beschwört Eisgefängnisse","氷の牢獄を呼び出す","얼음 감옥 생성","Conjura Prisões de Gelo","Сотворяет ледяные тюрьмы","Invoca prisiones de hielo","เสกคุกน้ำแข็ง","召喚冰牢",88,[],"","",""
