"rownum","Id","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","Invisible","Removable","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Stats","CancelOnDeath","MergeMode","ShowCount","Maximum_Stat","Current_Stat","bool_80","i32_81","BuffVisual","bool_101","bool_102","BuffCategory","bool_107","bool_108","bool_109","bool_110","BuffLimit","bool_115","Implementation","IsRecovery","bool_125","MinStat","bool_142","UIStackMode","bool_147","IsSkillBuff","i32_149","[i32]_153","bool_169","bool_170","MultiPartAchievement","bool_187","Stats2","GrantedFlags","GrantedStats","ConditionStats","bool_252","bool_253","bool_254","bool_255","rid_256","[i32]_272","string_288","string_288 (French)","string_288 (German)","string_288 (Japanese)","string_288 (Korean)","string_288 (Portuguese)","string_288 (Russian)","string_288 (Spanish)","string_288 (Thai)","string_288 (Traditional Chinese)","[rid]_296","[i32]_312","i32_328","PreloadGroup","bool_348","bool_349","bool_350"
596,"no_energy_shield_recharge_delay","","","","","","","","","","",1,"","","","","","","","","","","",[2240],1,3,"","","",1,31,0,1,"",18,"",1,1,"",0,1,"","","","","",8,"","",0,[],"","",[],"",[],[],[2240],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
597,"charged_attack","Your Blade Flurry has more damage","Chaque application vous octroie Davantage de Dégâts.","Euer 'Klingentanz' verursacht mehr Schaden.","ブレードフラリィのダメージが上昇","질풍의 칼날의 피해가 늘어납니다.","Sua Rajada de Lâminas causa mais dano.","Ваш Порыв клинков наносит больше урона","Tu Aluvión de filos tiene más daño","เพลงดาบเกรียวกราว ของคุณมีความเสียหาย เพิ่มขึ้น อีก","你的刀鋒亂舞造成更多傷害","","","Blade Flurry","Déluge de lames ","Klingentanz","ブレードフラリィ","질풍의 칼날","Rajada de Lâminas","Порыв клинков","Aluvión de filos","เพลงดาบเกรียวกราว","刀鋒亂舞",[],1,4,1,14048,3813,1,31,634,1,"",6,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],[],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
598,"petrify_enrage","","","","","","","","","","","","","WIP","WIP","WIP","WIP","WIP","WIP","wip","WIP","WIP","WIP","[24,1892,172]",1,3,"","","",1,31,572,1,"",18,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],"[24,1892,172]",[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
599,"occultist_stacking_es_recovery_per_minute_percent","You are regenerating Energy Shield","Votre Bouclier d'énergie se Régénère.","Euer Energieschild regeneriert sich.","エナジーシールドが自動回復","에너지 보호막을 재생합니다.","Você está regenerando escudo de energia.","Вы регенерируете энергетический щит","Regeneras escudo de energía","คุณกำลัง ฟื้นฟูโล่พลังงาน","你正在回復能量護盾","","","Vile Bastion","Bastion impur ","Bollwerk der Verdammnis","卑劣な要塞","끔찍한 보루","Bastião Vil","Оплот зла","Bastión repugnante","Vile Bastion","昇華效果 (隱形)",[],1,3,1,"","",1,31,609,1,1,18,"",1,1,"",0,1,"ActionRecentlyCounterBuff","","","","",8,"","",0,[],"","",[],"",[],[],[],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
600,"offering_spirit","You have increased Critical Strike Chance and additional Critical Strike Multiplier","Vous bénéficiez d'une augmentation de vos Chances de Coup critique ainsi que d'un bonus à votre Multiplicateur de Coups critiques.","Ihr verfügt über erhöhte kritische Trefferchance und zusätzlichen Multiplikator für kritische Treffer.","クリティカル率増加および追加のクリティカルダメージ倍率を獲得。","치명타 확률 증가 및 추가 치명타 피해 배율을 획득했습니다.","Você tem chance de causar golpe crítico aumentada e multiplicador de golpe crítico adicional.","Вы получаете дополнительный шанс и множитель критического удара.","Tienes probabilidad de impacto crítico aumentada y multiplicador de impacto crítico adicional.","คุณมีโอกาสคริติคอล เพิ่มขึ้น และมีตัวคูณคริติคอล เพิ่มเติม","你增加暴擊率和額外暴擊加成","","","Spirit Offering","Offrande spirituelle ","Seelenopfer","スピリットオファリング","영혼 공물","Oferenda Espiritual","Подношение духа","Ofrenda del espíritu","เซ่นไหว้ด้วยวิญญาณ","靈魂奉獻","[544,95]",1,3,"","","",1,31,328,1,"",1,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],"[544,95]",[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
601,"totem_aura_chieftain","You deal less damage, and take increased Fire and Physical damage while near a Chieftain's totems","Vous infligez moins de Dégâts. Vous subissez plus de Dégâts physiques et de feu lorsque vous êtes à proximité d'un totem du Chef tribal.","Ihr verursacht weniger Schaden und erleidet erhöhten Feuer- und physischen Schaden, solange Ihr Euch in der Nähe eines Stammesführer-Totems befindet.","チーフテンのトーテムの周囲にいる場合、与えるダメージが低下し受ける火および物理ダメージが増加","가하는 피해가 감폭하고, 치프틴의 토템 주변에 있으면 화염 및 물리 피해를 더 많이 받게 됩니다","Você causa menos dano e sofre dano físico e de fogo aumentado quando está perto dos totens do Caudilho.","Вы наносите меньше урона и получаете увеличенный физический урон и урон от огня, находясь рядом с тотемами Вождя","Infliges menos daño y recibes daño de fuego y daño físico aumentados mientras estás cerca de los tótems de un Jefe de guerra","คุณสร้างความเสียหาย ลดลง อีก, และได้รับความเสียหาย ไฟ และ กายภาพ เพิ่มขึ้น ขณะที่อยู่ใกล้โทเทมของ Chieftain","你在酋長的圖騰周圍被降低了傷害，並且增加承受的物理和火焰傷害。","","","Moon's Presence","Présence de la Lune ","Präsenz des Mondes","月の存在","달의 존재","Presença da Lua","Присутствие луны","Presencia de la Luna","Moon's Presence","酋長圖騰光環","[4295,2025,535]",1,3,"","","","",31,593,1,"",2,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],"[4295,2025,535]",[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
602,"guardian_share_charges_with_party_members_in_aura","You share Charges with Party Members in this Aura","Vous partagez les Charges avec les membres de votre Groupe présents dans cette Aura.","Ihr teilt Euch in dieser Aura Ladungen mit Euren Gruppenmitgliedern.","このオーラ内のパーティーメンバーとチャージを共有する","이 오라 안에 있는 파티원과 충전을 공유합니다.","Você compartilha cargas com os membros do grupo dentro dessa aura.","Эта аура позволяет разделять заряды между членами группы","Compartes las cargas con los compañeros del grupo en esta aura","คุณแบ่งปันชาร์จให้กับสมาชิกปาร์ตี้ในออร่านี้","你和此光環中的隊友分享能量球。","","","Harmony of Purpose","Concorde parfaite ","Harmonie der Bestimmung","目的の調和","의지력의 조화","Convergência de Propósito","Благое намерение","Armonía de propósito","Harmony of Purpose","和諧之源",[4342],1,3,"","","",1,31,606,1,1,1,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],[4342],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
603,"guardian_conduit_aura_enemies","You can't gain Charges","Vous ne pouvez pas gagner de Charges.","Ihr könnt keine Ladungen erhalten.","チャージを得ることができない","충전을 획득할 수 없습니다.","Você não pode ganhar cargas.","Вы не можете получать заряды","No puedes ganar cargas","คุณจะไม่ได้รับชาร์จใดๆ","你無法獲得能量球。","","","Harmony of Purpose","Concorde parfaite ","Harmonie der Bestimmung","目的の調和","의지력의 조화","Convergência de Propósito","Благое намерение","Armonía de propósito","Harmony of Purpose","和諧之源",[3975],1,3,"","","",1,31,607,1,1,2,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],[3975],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
604,"guardian_dispel_cooldown","","","","","","","","","","",1,"","","","","","","","","","","",[],1,3,"","","","",31,0,1,"",18,"","","","",0,"","GuardianDispelBuff","","","","",8,"","",0,[],"","",[],"",[],[],[],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
605,"guardian_life_regen","","","","","","","","","","",1,"","","","","","","","","","","",[440],1,3,"","","",1,31,618,1,"",18,"",1,1,"",0,1,"","","","","",8,"","",0,[],"","",[],"",[],[],[440],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
606,"melee_ancestor_totem_attack_speed","You have more Attack Speed.","Vous bénéficiez Davantage de Vitesse d'attaque","Ihr habt mehr Angriffsgeschwindigkeit.","アタックスピードが上昇","공격 속도가 증폭합니다.","Você tem mais velocidade de ataque.","У вас больше скорости атаки.","Tienes más velocidad de ataque.","คุณมีความเร็วในการโจมตี เพิ่มขึ้น อีก","你有更多攻擊速度。","","","Ancestral Protector","Protecteur ancestral","Ahnen-Beschützer","アンセストラルプロテクター","선대의 수호자","Protetor Ancestral","Защитник предков","Protector ancestral","บรรพชนร่มโพธิ์ร่มไทร","先祖衛士","[4222,70]","",3,"","","","",31,1954,1,"",1,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[16059],"[4222,70]",[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
607,"slash_ancestor_totem_phys_added_as_fire","","","","","","","","","","",1,"","","","","","","","","","","",[436],"",3,"","","","",31,0,1,"",1,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[16059],[436],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
608,"slam_ancestor_totem_melee_damage","You deal more Melee Damage.","Vous infligez Davantage de Dégâts de mêlée","Ihr verursacht mehr Nahkampfschaden.","近接ダメージが上昇","적에게 주는 근접 피해가 증폭합니다.","Você causa mais dano corpo a corpo.","Вы наносите больше урона в ближнем бою.","Infliges más daño cuerpo a cuerpo.","คุณสร้างความเสียหาย ประชิด เพิ่มขึ้น อีก","你造成更多近戰傷害。","","","Ancestral Warchief","Chef de guerre ancestral","Ahnen-Kriegshäuptling","アンセストラルウォーチーフ","선대의 대전사","Chefe de Guerra Ancestral","Вождь предков","Cacique ancestral","บรรพชนผู้นำทัพ","先祖戰士長","[4359,1357]","",3,"","","","",31,1955,1,"",1,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[16059],"[4359,1357]",[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
609,"guardian_cannot_be_stunned_aura","You are being granted Stun Immunity by a Guardian","La présence d'un Gardien vous immunise à l'Étourdissement.","Ihr erhaltet Immunität gegen Betäuben durch einen Wächter.","ガーディアンによりスタン完全無効化を獲得","가디언이 기절 면역을 제공합니다.","Um Guardião lhe concede imunidade a atordoamento.","Вы получили иммунитет к оглушению от Защитника","Un guardián te otorga inmunidad al aturdimiento","คุณได้รับการป้องกันสถานะ มึนงง จาก Guardian ผู้หนึ่ง","你免疫暈眩。","","","Bastion of Hope","Bastion d'Espoir","Bastion der Hoffnung","希望の要塞","희망의 보루","Bastião da Esperança","Оплот надежды","Bastión de la esperanza","Bastion of Hope","昇華效果 (隱形)",[715],"",3,"","","","",31,595,"","",1,"",1,1,"",0,1,"","","","","",8,"","",0,[],"","",[],"",[],[],[715],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
610,"lightning_golem_wrath","Grants additional Lightning Damage to Attacks and Spells","Rajoute des Dégâts de foudre aux attaques et aux sorts.","Fügt Angriffen und Zaubern zusätzlichen Blitzschaden hinzu.","アタックおよびスペルが追加の雷ダメージを獲得","공격과 주문에 추가 번개 피해를 제공합니다.","Concede dano elétrico adicional a ataques e magias.","Дарует дополнительный урон от молнии атакам и чарам","Otorga daño de rayo adicional a los ataques y hechizos","ได้รับ: เสริมความเสียหาย สายฟ้า เพิ่มเติมให้กับการโจมตีและเวท","賦予攻擊和法術額外閃電傷害","",1,"Lightning Golem Wrath","Fureur du Golem de foudre ","Zorn des Blitzgolems","ライトニングゴーレムラース","번개 골렘의 진노","Ira do Golem Relampejante","Гнев голема молнии","Cólera del Gólem de Rayo","ความพิโรธของโกเลมสายฟ้า","閃電魔像憤怒","[59,60,1590,1591]",1,3,"","","","",31,617,1,"",1,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],"[59,60,1590,1591]",[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
611,"damage_increase_when_killed_bleeding_enemy","","","","","","","","","","",1,"","","","","","","","","","","",[24],1,3,"","","",1,31,0,1,"",18,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],[24],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
612,"damage_increase_when_killed_cursed_enemy","","","","","","","","","","",1,"","","","","","","","","","","",[24],1,3,"","","",1,31,0,1,"",18,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],[24],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
613,"increased_minion_attack_and_cast_speed","","","","","","","","","","",1,"","","","","","","","","","","","[2073,2074]",1,3,"","","",1,31,0,1,"",18,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],"[2073,2074]",[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
614,"increased_attack_and_cast_speed","","","","","","","","","","",1,"","","","","","","","","","","",[1892],1,3,"","","",1,31,0,1,"",18,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],[1892],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
615,"curse_enemy_chaos_resistance","","","","","","","","","","",1,"","","","","","","","","","","",[145],1,3,"","","",1,31,0,1,"",2,"","","","",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],[145],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
616,"champion_aura_increased_damage_under_fortify","An Ascendant is granting you Increased Damage while they have Fortify","Une Ascendante sous l'effet de Renforcement vous octroie une Augmentation des Dégâts infligés.","Eine Aszendentin gewährt Euch erhöhten Schaden, solange diese über Verstärken verfügt.","アセンダントにより堅牢化時にダメージが増加","어센던트의 방어 상승 효과가 지속되는 동안 피해가 증가합니다.","Enquanto um Ascendente estiver com Fortificar, ele lhe concederá dano aumentado.","Чемпион в вашей группе дарует вам увеличение урона, пока на нём есть Укрепление.","Una Ascendiente te otorga daño aumentado mientras tenga Fortificar","Ascendant ผู้หนึ่งทำให้คุณได้รับ: เพิ่มความเสียหายของคุณขณะที่เขามีสถานะ ตั้งมั่น","一名有護體的昇華使徒增加了你的傷害。","","","Inspirational","Source d'inspiration ","Inspirierend","鼓舞","격려","Inspiração","Вдохновение","Inspirador","Inspirational","啟發",[24],1,3,"","","",1,31,608,1,1,18,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],[24],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
617,"enrage_buff","","","","","","","","","","",1,"","","","","","","","","","","","[1892,172,24]",1,3,"","","","",31,601,1,"",1,"",1,1,"",0,1,"","","","","",8,"","",0,[],"","",[],"",[],[],"[1892,172,24]",[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
618,"elemental_penetration_from_mine_detonation","","","","","","","","","","",1,"","","","","","","","","","","","[585,583,584]",1,3,"","","",1,31,0,1,"",18,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],"[585,583,584]",[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
619,"have_killed_recently","","","","","","","","","","",1,"","","","","","","","","","","",[4283],"",9,"","","",1,31,0,1,"",18,"","","","",0,1,"","","","","",8,"","",0,[],"","",[],"",[],[],[4283],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
620,"number_of_times_have_been_hit_recently","","","","","","","","","","",1,"","","","","","","","","","","",[],"",3,"","","",1,31,0,1,"",18,"","","","",0,1,"ActionRecentlyCounterBuff","","","","",8,"","",0,[],"","",[],"",[],[],[],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
621,"have_been_crit_recently","","","","","","","","","","",1,"","","","","","","","","","","",[5806],"",9,"","","",1,31,0,1,"",18,"","","","",0,1,"","","","","",8,"","",0,[],"","",[],"",[],[],[5806],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
622,"have_crit_recently","","","","","","","","","","",1,"","","","","","","","","","","",[4287],"",9,"","","",1,31,0,1,"",18,"","","","",0,1,"","","","","",8,"","",0,[],"","",[],"",[],[],[4287],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
623,"have_taken_attack_damage_recently","","","","","","","","","","",1,"","","","","","","","","","","",[4420],"",9,"","","",1,31,0,1,"",18,"","","","",0,1,"","","","","",8,"","",0,[],"","",[],"",[],[],[4420],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
624,"have_taken_spell_damage_recently","","","","","","","","","","",1,"","","","","","","","","","","",[4422],"",9,"","","",1,31,0,1,"",18,"","","","",0,1,"","","","","",8,"","",0,[],"","",[],"",[],[],[4422],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
625,"have_used_a_warcry_recently","","","","","","","","","","",1,"","","","","","","","","","","",[4435],"",1,"","","",1,31,0,1,"",18,"","","","",0,1,"","","","","",8,"","",0,[],"","",[],"",[],[],[4435],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
626,"have_been_savage_hit_recently","","","","","","","","","","",1,"","","","","","","","","","","",[4418],"",9,"","","",1,31,0,1,"",18,"","","","",0,1,"","","","","",8,"","",0,[],"","",[],"",[],[],[4418],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
627,"have_hit_an_enemy_recently","","","","","","","","","","",1,"","","","","","","","","","","",[4675],"",9,"","","",1,31,0,1,"",18,"","","","",0,1,"","","","","",8,"","",0,[],"","",[],"",[],[],[4675],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
628,"perandus_gold_spectre_buff","","","","","","","","","","",1,"","","","","","","","","","","",[],1,3,"","","","",31,616,1,"",18,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],[],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
629,"perandus_chest_protection","","","","","","","","","","",1,"","Protection","Protection","Schutz","保護","보호","Proteção","Защита","Protección","ปกป้อง","守護","[467,24]",1,3,"","","",1,31,628,1,"",1,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],"[467,24]",[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
630,"perandus_chest_fire_empowered","","","","","","","","","","",1,"","Fire Empowered","Puissance du Feu","Feuer, ermächtigt","火強化","화염 강화","Fortalecimento de Fogo","Разрешение огня","Potenciado por fuego","เพิ่มพลังไฟ","火焰強化","[467,436]",1,3,"","","",1,31,629,1,"",1,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],"[467,436]",[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
631,"perandus_chest_cold_empowered","","","","","","","","","","",1,"","Cold Empowered","Puissance du Froid","Kälte, ermächtigt","冷気強化","냉기 강화","Fortalecimento de Frio","Разрешение холода","Potenciado por hielo","เพิ่มพลังน้ำแข็ง","冰冷強化","[467,437]",1,3,"","","",1,31,630,1,"",1,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],"[467,437]",[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
632,"perandus_chest_lightning_empowered","","","","","","","","","","",1,"","Lightning Empowered","Puissance de la Foudre","Blitz, ermächtigt","雷強化","번개 강화","Fortalecimento Elétrico","Разрешение молнии","Potenciado por rayo","เพิ่มพลังสายฟ้า","閃電強化","[467,438]",1,3,"","","",1,31,631,1,"",1,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],"[467,438]",[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
633,"perandus_chest_physical_empowered","","","","","","","","","","",1,"","Physical Empowered","Puissance Physique","Physisch, ermächtigt","物理強化","물리 강화","Fortalecimento Físico","Разрешение силы","Potenciado físico","เพิ่มพลังกายภาพ","物理強化","[467,26]",1,3,"","","",1,31,632,1,"",1,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],"[467,26]",[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
634,"perandus_chest_revive_marker","","","","","","","","","","",1,"","","","","","","","","","","",[],"",3,"","","",1,31,0,1,"",18,"","","","",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],[],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
635,"active_offering","You have an active offering","Vous avez une Offrande active.","Ihr verfügt über eine aktive Opferung.","アクティブオファリングを獲得","활성화된 공물이 있습니다.","Você tem uma oferenda ativa.","У вас есть действующее подношение.","Tienes una ofrenda activa","คุณมีเครื่องเซ่นไหว้ทำงานอยู่","你正有一個奉獻技能作用著。",1,"","Active Offering","Offrande active ","Aktive Opferung","アクティブオファリング","활성화된 공물","Oferenda Ativa","Действующее подношение","Ofrenda Activa","มีเครื่องเซ่นไหว้ทำงานอยู่","奉獻",[],"",1,"","","","",31,0,1,"",18,"",1,1,"",0,"","ActiveOffering","","","","",8,"","",0,[],"","",[],"",[],[],[],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
636,"vortex","You are taking cold damage from a Vortex.","Vous subissez des Dégâts de froid infligés par un Vortex.","Ihr erleidet Kälteschaden durch Vortex.","ヴォーテックスから冷気ダメージを受けている。","소용돌이로 인한 냉기 피해를 받고 있습니다.","Você sofre dano de frio causado por Vórtice.","Вы получаете урон от холода от Пурги.","Recibes daño de hielo de un vórtice.","คุณได้รับความเสียหาย น้ำแข็ง จาก น้ำวน","你正在承受漩渦的冰冷傷害。","","","Vortex","Vortex ","Vortex","ヴォーテックス","소용돌이","Vórtice","Пурга","Vórtice","น้ำวน","漩渦",[1965],1,3,"","","","",31,651,"","",2,"",1,1,"",0,"","AilmentApplicationAura","","","","",8,"","",0,[],"","",[],"",[],[],[1965],[],"","","","","",[],"","","","","","","","","","",[4367],[],1,[],"","",""
637,"aura_increased_damage_taken","You are taking increased damage from all sources","Vous avez une Augmentation des Dégâts subis, quelle qu'en soit la provenance.","Ihr erleidet erhöhten Schaden aus jeder Quelle.","受ける全てのダメージが増加","모든 요인으로 받는 피해가 증가합니다.","Você sofre dano aumentado de todas as fontes.","Вы получаете увеличенный урон от всех источников","Recibes daño aumentado de todas las fuentes","คุณจะได้รับความเสียหาย เพิ่มขึ้น จากความเสียหายทุกแบบ","任何傷害來源對你造成的傷害增加。","","","Endless Pain","Douleur sans fin ","Unaufhörlicher Schmerz","終わりなき痛み","끝없는 고통","Dor Incessante","Бесконечная боль","Dolor Interminable","ทุกข์ไม่สิ้น","無盡苦痛",[467],1,3,"","","",1,31,637,1,"",2,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],[467],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
638,"aura_damage_on_movement_skill_use","You take Physical Damage whenever you use a movement skill","Vous subissez des Dégâts physiques lorsque vous utilisez une Aptitude de déplacement.","Ihr erleidet physischen Schaden, sobald Ihr eine Bewegungsfertigkeit verwendet.","移動スキルを使用する度に物理ダメージを受ける","이동 스킬을 사용할 때마다 물리 피해를 받게 됩니다.","Você sofre dano físico sempre que usar uma habilidade de deslocamento.","Вы получаете урон во время использования умения передвижения","Recibes daño físico cuando usas una habilidad de movimiento","คุณได้รับความเสียหาย กายภาพ เมื่อใดก็ตามที่คุณใช้สกิลเคลื่อนที่","你發動位移技能時會受到物理傷害。","","","Endless Hazard","Danger sans fin ","Unaufhörliche Gefahr","終わりなき危険","끝없는 위험","Risco Infindável","Бесконечная опасность","Peligro Interminable","เสี่ยงภัยไม่สิ้น","無盡浩難","[4452,4453]",1,3,"","","",1,31,638,1,"",2,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],"[4452,4453]",[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
639,"savage_hit_life_regen","Grants Life regeneration","Octroie une Régénération de Vie","Gewährt Lebensregeneration","ライフ自動回復が付与されている","생명력 재생을 제공합니다.","Concede regeneração de vida.","Дарует регенерацию здоровья","Otorga regeneración de vida","ได้รับ: ฟื้นฟูพลังชีวิต","增加生命回復","","","Rumblemarch Life Regen","Régen de Vie de Tremblemarche ","Grollmarsch Lebensregeneration","ランブルマーチライフ自動回復","요란한 행진 생명력 재생","Regeneração de Vida da Marcha Estrondosa","Грохочущий марш: регенерация здоровья","Regeneración de Vida de Rumblemarch","ฟื้นฟูพลังชีวิตของ Rumblemarch","奮勇進軍生命回復",[440],1,3,"","","",1,31,313,1,"",18,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],[440],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
640,"overflowing_chalice","You gain Flask Charges over time, and Flasks give increased recovery.","Vous gagnez des charges de Flacon sur la durée et les Flacons confèrent une augmentation de récupération.","Ihr erhaltet Fläschchenfüllungen über Zeit und Fläschchen gewähren erhöhte Wiederherstellung.","時間経過でフラスコチャージを獲得し、フラスコの回復能力が増加している","지속적으로 플라스크 충전을 획득하고, 플라스크의 회복량이 증가합니다.","Você ganha cargas de frasco gradualmente e os frascos fornecem recuperação aumentada.","Вы постепенно накапливаете заряды флаконов, и флаконы дают повышенное восстановление.","Ganas cargas de frasco a lo largo del tiempo, y los frascos otorgan recuperación aumentada.","คุณได้รับชาร์จขวดยาอย่างต่อเนื่อง และเพิ่มการเติมจากขวดยา","你會隨時間獲得藥劑充能，且藥劑提供的恢復增加。","","","Overflowing Chalice","Calice débordant ","Überfließender Kelch","満ち溢れている杯","넘치는 성배","Cálice Transbordante","Переполненная чаша","Cáliz rebosante","Overflowing Chalice","滿溢聖杯","[24673,10692]",1,3,"","","",1,31,648,1,"",1,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],"[24673,10692]",[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
641,"have_killed_a_taunted_enemy_recently","","","","","","","","","","",1,"","","","","","","","","","","",[],"",2,"","","",1,31,0,1,"",18,"","","","",0,1,"","","","","",8,"","",0,[],"","",[],"",[],[],[],[4466],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
642,"shavronne_torment_aura","Allies have Energy Shield that cannot be bypassed by Chaos Damage","Le Bouclier d'énergie des Alliés ne peut plus être traversé par les Dégâts de chaos.","Chaosschaden kann das Energieschild von Verbündeten nicht durchdringen.","味方は混沌ダメージがバイパスしないエナジーシールドを獲得","에너지 보호막 오라(카오스 피해 방어 가능)","O escudo de energia dos aliados não é ignorado pelo dano de caos.","Союзники получают энергетический щит, который не может принимать урон от хаоса ","Los aliados tienen escudo de energía que no puede ser traspasado por el daño de caos","เพื่อนมี โล่พลังงาน ที่ความเสียหาย เคออส ไม่สามารถทะลุได้","友方受到的混沌傷害不會穿透能量護盾。","","","Shavronne's Aura","Aura de Shavronne ","Shavronnes Aura","シャヴロンのオーラ","샤브론의 오라","Aura de Shavronne","Аура Шавронн","Aura de Shavronne","ออร่าของแชฟรอนน์","薛朗的光環","[553,1201]",1,3,"","","",1,31,101,"","",1,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],"[553,1201]",[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
