"rownum","Quest","Order","FlagsPresent","FlagsMissing","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","bool_60","Message","Message (French)","Message (German)","Message (Japanese)","Message (Korean)","Message (Portuguese)","Message (Russian)","Message (Spanish)","Message (Thai)","Message (Traditional Chinese)","MapPinsKeys","i32_85","MapPinsText","MapPinsText (French)","MapPinsText (German)","MapPinsText (Japanese)","MapPinsText (Korean)","MapPinsText (Portuguese)","MapPinsText (Russian)","MapPinsText (Spanish)","MapPinsText (Thai)","MapPinsText (Traditional Chinese)","MapPinsKey","WorldArea","bool_129","[i32]_130","[i32]_146","i32_162","SoundEffect","string_182","QuestItem","bool_206","bool_207"
397,88,3,"[413,3917]",[],"Take a Reward from Navali.","Prenez une récompense offerte par Navali.","Nehmt eine Belohnung von Navali.","ナヴァリから報酬を受け取れ","나발리에게 보상을 받으십시오.","Pegue uma recompensa com a Navali.","Заберите награду у Навали.","Acepta una recompensa de Navali.","รับรางวัลจากนาวาลี","向娜瓦莉領取獎勵。","","Take a Reward","Prenez une récompense","Nehmt eine Belohnung","報酬を受け取れ","보상 받기","Pegue uma recompensa","Заберите награду","Acepta una recompensa","รับรางวัล","領取獎勵",[398],0,"Take a Reward from Navali","Prenez une récompense offerte par Navali","Nehmt eine Belohnung von Navali.","ナヴァリから報酬を受け取れ","나발리에게 보상 받기","Pegue uma recompensa com a Navali","Заберите награду у Навали","Acepta una recompensa de Navali","รับรางวัลจากนาวาลี","向娜瓦莉領取獎勵",398,[],"",[],[],11,"","",[],"",""
398,88,4,"[169,3917]",[],"Turn in the Blank Tattoo of Ngamahu to Navali.","Remettez le Tatouage vierge de Ngamahu à Navali.","Übergebt die Leere Tätowierung von Ngamahu an Navali.","ナマフの空白のタトゥーをナヴァリに渡せ","나발리에게 나마후의 빈 문신을 제출하십시오.","Entregue a Tatuagem Incompleta de Ngamahu para Navali.","Отдайте пустую татуировку Нгамаху Навали.","Entrega el tatuaje en blanco de Ngamahu a Navali.","ส่งลายสักเปล่า นามาฮู ให้กับนาวาลี","將拿馬乎的空白紋身交給娜瓦莉。","","Turn in the Blank Tattoo of Ngamahu","Remettez le Tatouage vierge de Ngamahu","Übergebt die Leere Tätowierung von Ngamahu","ナマフの空白のタトゥーを渡せ","나마후의 빈 문신 제출하기","Entregue a Tatuagem Incompleta de Ngamahu","Обменяйте пустую татуировку Нгамаху","Entrega el tatuaje en blanco de Ngamahu","ส่งลายสักเปล่า นามาฮู","交付拿馬乎的空白紋身",[398],0,"Turn in the Blank Tattoo of Ngamahu to Navali","Remettez le Tatouage vierge de Ngamahu à Navali","Übergebt die Leere Tätowierung von Ngamahu an Navali.","ナマフの空白のタトゥーをナヴァリに渡せ","나발리에게 나마후의 빈 문신 제출하기","Entregue a Tatuagem Incompleta de Ngamahu para Navali","Отдайте пустую татуировку Нгамаху Навали","Entrega el tatuaje en blanco de Ngamahu a Navali","ส่งลายสักเปล่า นามาฮู ให้กับนาวาลี","將拿馬乎的空白紋身交給娜瓦莉",398,[],"",[],[],11,"","",[],"",""
399,88,5,[413],[],"Take a Reward from the Hinekora Totem.","Prenez une récompense offerte par le Totem d'Hinekora.","Nehmt eine Belohnung von dem Hinekora-Totem.","ヒネコラのトーテムから報酬を受け取れ","히네코라 토템에서 보상을 받으십시오.","Pegue uma recompensa com o Totem Hinekora.","Возьмите награду у тотема Хинекоры.","Acepta una recompensa del Tótem de Hinekora.","รับรางวัลจากโทเทมฮิเนโครา","向悉妮蔻拉圖騰領取獎勵。","","Take a Reward","Prenez une récompense","Nehmt eine Belohnung","報酬を受け取れ","보상 받기","Pegue uma recompensa","Возьмите награду","Acepta una recompensa","รับรางวัล","領取獎勵",[393],0,"Take a Reward from the Hinekora Totem","Prenez une récompense offerte par le Totem d'Hinekora","Nehmt eine Belohnung von dem Hinekora-Totem.","ヒネコラのトーテムから報酬を受け取れ","히네코라 토템에서 보상 받기","Pegue uma recompensa com o Totem Hinekora","Возьмите награду у тотема Хинекоры","Acepta una recompensa del Tótem de Hinekora","รับรางวัลจากโทเทมฮิเนโครา","向悉妮蔻拉圖騰領取獎勵",393,[191],"",[],[],11,"","",[],"",""
400,88,6,[169],[],"Turn in the Blank Tattoo of Ngamahu.","Remettez le Tatouage vierge de Ngamahu.","Übergebt die Leere Tätowierung von Ngamahu.","ナマフの空白のタトゥーを渡せ","나마후의 빈 문신을 제출하십시오.","Entregue a Tatuagem Incompleta de Ngamahu.","Обменяйте пустую татуировку Нгамаху.","Entrega el tatuaje en blanco de Ngamahu.","ส่งลายสักเปล่า นามาฮู","將拿馬乎的空白紋身交給悉妮蔻拉圖騰。","","Turn in the Blank Tattoo of Ngamahu","Remettez le Tatouage vierge de Ngamahu","Übergebt die Leere Tätowierung von Ngamahu","ナマフの空白のタトゥーを渡せ","나마후의 빈 문신 제출하기","Entregue a Tatuagem Incompleta de Ngamahu","Обменяйте пустую татуировку Нгамаху","Entrega el tatuaje en blanco de Ngamahu","ส่งลายสักเปล่า นามาฮู","交付拿馬乎的空白紋身",[393],0,"Turn in the Blank Tattoo of Ngamahu","Remettez le Tatouage vierge de Ngamahu au Totem d'Hinekora","Übergebt die Leere Tätowierung von Ngamahu.","ナマフの空白のタトゥーをヒネコラのトーテムに渡せ","나마후의 빈 문신 제출하기","Entregue a Tatuagem Incompleta de Ngamahu","Обменяйте пустую татуировку Нгамаху","Entrega el tatuaje en blanco de Ngamahu","ส่งลายสักเปล่า นามาฮู","將拿馬乎的空白紋身交給悉妮蔻拉圖騰",393,[191],"",[],[],11,"","",[],"",""
401,88,7,[830],[],"Pick up the Blank Tattoo of Ngamahu.","Ramassez le Tatouage vierge de Ngamahu.","Nehmt die Leere Tätowierung von Ngamahu an Euch.","ナマフの空白のタトゥーを拾え","나마후의 빈 문신을 챙기십시오.","Pegue a Tatuagem Incompleta de Ngamahu.","Подберите пустую татуировку Нгамаху.","Recoge el tatuaje en blanco de Ngamahu.","เก็บลายสักเปล่า นามาฮู","拾起拿馬乎的空白紋身。","","Pick up the Blank Tattoo ","Ramassez le Tatouage vierge","Nehmt die Leere Tätowierung an Euch","空白のタトゥーを拾え","빈 문신 챙기기","Pegue a Tatuagem Incompleta","Подберите пустую татуировку","Recoge el tatuaje en blanco","เก็บลายสักเปล่า","拾起空白紋身",[393],0,"Pick up the Blank Tattoo of Ngamahu","Ramassez le Tatouage vierge de Ngamahu","Nehmt die Leere Tätowierung von Ngamahu an Euch.","ナマフの空白のタトゥーを拾え","나마후의 빈 문신 챙기기","Pegue a Tatuagem Incompleta de Ngamahu","Подберите пустую татуировку Нгамаху","Recoge el tatuaje en blanco de Ngamahu","เก็บลายสักเปล่า นามาฮู","拾起拿馬乎的空白紋身",393,[],"",[],[],11,"","",[],"",""
402,88,8,[829],[],"Complete Ngamahu's Test.","Terminez l'Épreuve de Ngamahu.","Schließt Ngamahus Test ab.","ナマフの試練を完了しろ","나마후의 시험을 완료하십시오.","Conclua o Teste de Ngamahu.","Завершите испытание Нгамаху.","Completa la Prueba de Ngamahu.","ผ่านบทพิสูจน์ของนามาฮู","完成拿馬乎的試煉。","","Complete Ngamahu's Test","Terminez l'Épreuve de Ngamahu","Schließt Ngamahus Test ab","ナマフの試練を完了しろ","나마후의 시험 완료하기","Conclua o Teste de Ngamahu","Завершите испытание Нгамаху","Completa la Prueba de Ngamahu","ผ่านบทพิสูจน์ของนามาฮู","完成拿馬乎的試煉",[393],0,"Complete Ngamahu's Test","Terminez l'Épreuve de Ngamahu","Schließt Ngamahus Test ab.","ナマフの試練を完了しろ","나마후의 시험 완료하기","Conclua o Teste de Ngamahu","Завершите испытание Нгамаху","Completa la Prueba de Ngamahu","ผ่านบทพิสูจน์ของนามาฮู","完成拿馬乎的試煉",393,[],"",[],[],11,"","",[],"",""
403,33,0,[5207],[],"Quest Complete - You have killed The Scourge of the Skies.","Quête terminée — Vous avez tué le Fléau des Cieux.","Quest abgeschlossen: Ihr habt die Geißel der Lüfte getötet.","クエスト完了 - 空のスカージを倒した","퀘스트 완료 - 하늘의 재앙을 처치했습니다.","Missão Concluída: você matou o Flagelo dos Céus.","Задание выполнено - Вы убили Бич небес.","Misión completa - Has matado al Azote de los cielos.","เควสต์เสร็จสิ้น - คุณได้สังหารหายนะแห่งฟากฟ้าแล้ว","任務完成 - 你殺死了天之禍殃。",1,"Quest Complete","Quête terminée","Quest abgeschlossen","クエスト完了","퀘스트 완료","Missão Concluída","Задание выполнено","Misión completa","เควสต์เสร็จสิ้น","任務完成",[],0,"","","","","","","","","","","",[],"",[],[],11,"","",[],"",""
404,33,1,[4068],[],"You have found the Scourge of the Skies. Slay it.","Vous avez trouvé le Fléau des Cieux. Terrassez-le.","Ihr habt die Geißel des Himmelsgefunden. Tötet sie.","空のスカージを見つけた。倒せ","하늘의 재앙을 찾았습니다. 쓰러뜨리십시오.","Você encontrou o Flagelo dos Céus. Mate-o.","Вы нашли Бич небес. Убейте его.","Has encontrado al Azote de los cielos. Mátalo.","คุณได้พบกับหายนะแห่งฟากฟ้าแล้ว สังหารมันเสีย","你尋找了天之禍殃。將牠擊殺。","","Kill the Scourge of the Skies","Terrassez le Fléau des Cieux","Tötet die Geißel des Himmels","空のスカージを倒せ","하늘의 재앙 처치하기","Mate o Flagelo dos Céus","Убейте Бич небес","Mata al Azote de los cielos","สังหารหายนะแห่งฟากฟ้า","擊殺天之禍殃",[412],0,"Kill the Scourge of the Skies","Terrassez le Fléau des Cieux","Tötet die Geißel des Himmels.","空のスカージを倒せ","하늘의 재앙 처치하기","Mate o Flagelo dos Céus","Убейте Бич небес","Mata al Azote de los cielos","สังหารหายนะแห่งฟากฟ้า","擊殺天之禍殃",412,[],"",[],[],11,"","",[],"",""
405,33,2,[3873],[],"Explore Shrike Island.","Explorez l'Île des Pies-grièches.","Erkundet die Würgerinsel.","モズの島を探索しよう","때까치 섬을 탐험하십시오.","Explore a Ilha dos Peneireiros.","Обследуйте Остров сорокопутов.","Explora la Isla de los alcaudones.","สำรวจเกาะไชร์ค","探索伯勞鳥之島。","","Explore Shrike Island","Explorez l'Île des Pies-grièches","Erkundet die Würgerinsel","モズの島を探索しろ","때까치 섬 탐험하기","Explore a Ilha dos Peneireiros","Обследуйте Остров сорокопутов","Explora la Isla de los alcaudones","สำรวจเกาะไชร์ค","探索伯勞鳥之島",[412],0,"Explore Shrike Island","Explorez l'Île des Pies-grièches","Erkundet die Würgerinsel.","モズの島を探索しろ","때까치 섬 탐험하기","Explore a Ilha dos Peneireiros","Обследуйте Остров сорокопутов","Explora la Isla de los alcaudones","สำรวจเกาะไชร์ค","探索伯勞鳥之島",412,[],"",[],[],11,"","",[],"",""
406,34,0,[4622],[],"Quest Complete - You have slain Krutog.","Quête terminée — Vous avez tué Krutog.","Quest abgeschlossen: Ihr habt Krutog vernichtet.","クエスト完了 - クルトォグを倒した","퀘스트 완료 - 크루톡을 처치했습니다.","Missão Concluída: você matou Krutog.","Задание выполнено - Вы убили Крутога.","Misión completa - Has derrotado a Krutog.","เควสต์เสร็จสิ้น - คุณได้สยบครูท็อกแล้ว","任務完成 - 你已擊殺克魯托克。",1,"Quest Complete","Quête terminée","Quest abgeschlossen","クエスト完了","퀘스트 완료","Missão Concluída","Задание выполнено","Misión completa","เควสต์เสร็จสิ้น","任務完成",[],0,"","","","","","","","","","","",[],"",[],[],11,"","",[],"",""
407,34,1,[4111],[],"Slay Krutog, the Kin Tyrant.","Terrassez Krutog, le Tyran de la Marmaille.","Vernichtet Krutog, den Tyrann der Kin.","キンの暴君、クルトォグを倒せ","혈족 폭군 크루톡을 처치하십시오.","Mate Krutog, o Tirano da Família","Убейте Крутога, тирана Рода.","Derrota a Krutog, el Tirano del clan.","สยบครูท็อก ทรราชแห่งคิน","擊殺金氏暴君．克魯托克。","","Slay Krutog","Terrassez Krutog","Vernichtet Krutog.","クルトォグを倒せ","크루톡 처치하기","Mate Krutog","Убейте Крутога","Derrota a Krutog","สยบครูท็อก","擊殺克魯托克",[360],0,"Slay Krutog","Terrassez Krutog","Vernichtet Krutog.","クルトォグを倒せ","크루톡 처치하기","Mate Krutog","Убейте Крутога","Derrota a Krutog","สยบครูท็อก","擊殺克魯托克",360,[],"",[],[],11,"","",[],"",""
408,34,2,[3863],[],"You have found Volcanic Warrens on the Isle of Kin. Explore them.","Vous avez trouvé des Terriers volcaniques sur l'Île de la Marmaille. Explorez-les.","Ihr habt die Vulkanischen Baue auf der Insel der Kin gefunden. Erkundet sie.","キンの島で火山地帯を発見した。探検しよう","혈족의 섬에서 화산 땅굴을 찾았습니다. 탐험하십시오.","Você encontrou as Galerias Vulcânicas na Ilha da Família. Explore-as.","Вы обнаружили Вулканические лабиринты на Острове Рода. Исследуйте их.","Has encontrado las Madrigueras volcánicas en la Isla de clan. Explóralas.","คุณได้พบโพรงภูเขาไฟในเกาะคินแล้ว สำรวจเสีย","你已在金氏島上尋找火山迷窟，對該處進行探索。","","Explore the Volcanic Warrens","Explorez les Terriers volcaniques","Erkundet die Vulkanischen Baue","火山地帯を探索しろ","화산 땅굴 탐험하기","Explore as Galerias Vulcânicas","Исследуйте Вулканические лабиринты","Explora las Madrigueras volcánicas","สำรวจโพรงภูเขาไฟ","探索火山迷窟",[360],0,"Explore the Volcanic Warrens","Explorez les Terriers volcaniques","Erkundet die Vulkanischen Baue.","火山地帯を探索しろ","화산 땅굴 탐험하기","Explore as Galerias Vulcânicas","Исследуйте Вулканические лабиринты","Explora las Madrigueras volcánicas","สำรวจโพรงภูเขาไฟ","探索火山迷窟",360,[],"",[],[],11,"","",[],"",""
409,34,3,[294],[],"Enter the Volcanic Warrens.","Entrez dans les Terriers volcaniques.","Betretet die Vulkanischen Baue.","火山地帯に入ろう","화산 땅굴에 들어가십시오.","Entre nas Galerias Vulcânicas.","Войдите в Вулканические лабиринты.","Accede a las Madrigueras volcánicas.","เข้าไปในโพรงภูเขาไฟ","進入火山迷窟。","","Enter the Volcanic Warrens","Entrez dans les Terriers volcaniques","Betretet die Vulkanischen Baue","火山地帯に入れ","화산 땅굴에 들어가기","Entre nas Galerias Vulcânicas","Войдите в Вулканические лабиринты","Accede a las Madrigueras volcánicas","เข้าไปในโพรงภูเขาไฟ","進入火山迷窟",[351],0,"Enter the Volcanic Warrens","Entrez dans les Terriers volcaniques","Betretet die Vulkanischen Baue.","火山地帯に入れ","화산 땅굴에 들어가기","Entre nas Galerias Vulcânicas","Войдите в Вулканические лабиринты","Accede a las Madrigueras volcánicas","เข้าไปในโพรงภูเขาไฟ","進入火山迷窟",351,[],"",[],[],11,"","",[],"",""
410,34,4,[3862],[],"There is something dark at the heart of the Isle of Kin. Search it for an answer.","Quelque chose d'obscur se trouve au cœur de l'Île de la Marmaille. Explorez-la en quête d'une réponse.","Im Herzen der Insel der Kin befindet sich etwas Dunkles. Sucht dort nach einer Antwort.","キンの島の中心には何か暗いものが潜んでいる。その正体を解き明かそう","혈족의 섬 심장부에 뭔가 어두운 것이 있습니다. 섬을 수색해서 답을 찾으십시오.","Há algo sombrio no coração da Ilha da Família. Descubra o que é.","В сердце Острова Рода лежит что-то мрачное. Обыщите остров в поисках ответа.","Hay algo oscuro en el corazón de la Isla del clan. Regístrala en busca de una respuesta.","มีบางสิ่งที่มืดมนอยู่ในใจกลางของเกาะคิน ค้นหาคำตอบภายในเกาะนี้","金氏島的中心有某種黑暗的事物，深入探索並尋找答案。","","Explore the Isle of Kin","Explorez l'Île de la Marmaille","Erkundet die Insel der Kin","キンの島を探索しろ","혈족의 섬 탐험하기","Explore a Ilha da Família","Обыщите Остров Рода","Explora la Isla del clan","สำรวจเกาะคิน","探索金氏島",[351],0,"Explore the Isle of Kin","Explorez l'Île de la Marmaille","Erkundet die Insel der Kin.","キンの島を探索しろ","혈족의 섬 탐험하기","Explore a Ilha da Família","Обыщите Остров Рода","Explora la Isla del clan","สำรวจเกาะคิน","探索金氏島",351,[],"",[],[],11,"","",[],"",""
411,35,0,[295],[487],"Quest Complete - You have explored Arastas and have found nothing of interest... for now.","Quête terminée — Vous avez exploré Arastas et n'avez rien trouvé d'intéressant… pour le moment.","Quest abgeschlossen: Ihr habt Arastas erkundet und nichts Interessantes gefunden … zumindest für den Moment.","クエスト完了 - アラスタスを探索したが、興味深いものは何も見つからなかった...今のところはだが","퀘스트 완료 - 아라스타스를 탐험했지만 흥미로운 것은 찾지 못했습니다... 일단은요.","Missão Concluída: você explorou Arastas e não encontrou nada de interessante... ainda.","Задание выполнено - Вы обследовали Арастас и не нашли ничего примечательного... пока.","Misión completa - Has explorado Arastas y no has encontrado nada interesante... por ahora.","เควสต์เสร็จสิ้น - คุณได้สำรวจอะราสตาส์และไม่พบสิ่งที่น่าสนใจ... ในตอนนี้","任務完成 - 你完成阿拉塔斯的探索，但…目前沒有尋找什麼值得深究的東西。",1,"Quest Complete","Quête terminée","Quest abgeschlossen","クエスト完了","퀘스트 완료","Missão Concluída","Задание выполнено","Misión completa","เควสต์เสร็จสิ้น","任務完成",[],0,"","","","","","","","","","","",[],"",[],[],11,"","",[],"",""
412,35,1,[3885],[487],"Explore Arastas.","Explorez Arastas.","Erkundet Arastas.","アラスタスを探索しよう","아라스타스를 탐험하십시오.","Explore Arastas.","Обследуйте Арастас.","Explora Arastas.","สำรวจอะราสตาส์","探索阿拉塔斯。","","Explore Arastas","Explorez Arastas","Erkundet Arastas","アラスタスを探索しろ","아라스타스 탐험하기","Explore Arastas","Обследуйте Арастас","Explora Arastas","สำรวจอะราสตาส์","探索阿拉塔斯",[419],0,"Explore Arastas","Explorez Arastas","Erkundet Arastas.","アラスタスを探索しろ","아라스타스 탐험하기","Explore Arastas","Обследуйте Арастас","Explora Arastas","สำรวจอะราสตาส์","探索阿拉塔斯",419,[],"",[],[],11,"","",[],"",""
413,35,2,[4145],[487],"Travel to Arastas.","Rendez-vous à Arastas.","Reist nach Arastas.","アラスタスに向かえ","아라스타스로 이동하십시오.","Vá a Arastas.","Отправляйтесь в Арастас.","Viaja a Arastas.","เดินทางไปยังอะราสตาส์","前往阿拉塔斯。","","Travel to Arastas","Rendez-vous à Arastas","Reist nach Arastas","アラスタスに向かえ","아라스타스로 이동하기","Vá a Arastas","Отправляйтесь в Арастас","Viaja a Arastas","เดินทางไปยังอะราสตาส์","前往阿拉塔斯","[417,419]",0,"Travel to Arastas","Rendez-vous à Arastas","Reist nach Arastas.","アラスタスに向かえ","아라스타스로 이동하기","Vá a Arastas","Отправляйтесь в Арастас","Viaja a Arastas","เดินทางไปยังอะราสตาส์","前往阿拉塔斯",419,[],"",[],[],11,"","",[],"",""
414,36,0,[4625],[],"Quest Complete - You have slain Diamora.","Quête terminée — Vous avez tué Diamora.","Quest abgeschlossen: Ihr habt Diamora erschlagen.","クエスト完了 - ディアモラを倒した","퀘스트 완료 - 디아모라를 처치했습니다.","Missão Concluída: você matou Diamora.","Задание выполнено - Вы убили Диамору.","Misión completa - Has derrotado a Diamora.","เควสต์​เสร็จสิ้น - คุณได้สังหารเดียมอร่าไปแล้ว","任務完成 - 你已擊殺黛莫拉。",1,"Quest Complete","Quête terminée","Quest abgeschlossen","クエスト完了","퀘스트 완료","Missão Concluída","Задание выполнено","Misión completa","เควสต์​เสร็จสิ้น","任務完成",[],0,"","","","","","","","","","","",[],"",[],[],11,"","",[],"",""
415,36,1,[4116],[],"You have encountered a Siren within the Singing Caverns! Kill her immediately.","Vous êtes tombé sur une Sirène dans les Cavernes chantonnantes ! Tuez-la immédiatement.","Ihr seid in den Singenden Höhlen auf eine Sirene gestoßen! Erschlagt sie sofort.","歌う大洞窟でセイレーンに遭遇した！彼女をすぐに倒せ","노래하는 암굴 안에서 사이렌과 맞닥뜨렸습니다! 즉시 처치하십시오.","Você encontrou uma sereia nas Cavernas Cantoras! Mate-a imediatamente.","Вы нашли сирену в Поющих пещерах! Убейте её немедленно.","¡Has encontrado una sirena en las Cavernas melodiosas! Mátala de inmediato.","คุณพบกับพรายน้ำภายในถ้ำขับขาน! จงสังหารเธอโดยทันที","你在吟謠洞窟遇到了一隻海妖！立刻殺掉她吧。","","Kill Diamora","Tuez Diamora","Tötet Diamora","ディアモラを倒せ","디아모라 처치하기","Mate Diamora","Убейте Диамору","Mata a Diamora","สังหารเดียมอร่า","殺死黛莫拉",[381],0,"Kill Diamora, Song of Death","Tuez Diamora, la Mélodie de la Mort","Tötet Diamora, Lied des Todes.","ディアモラを倒せ","죽음의 노래 디아모라 처치하기","Mate Diamora, Canção da Morte","Убейте Диамору Песнь смерти","Mata a Diamora, Canción de muerte","สังหารเดียมอร่า เพลงมรณะ","擊殺死亡之謠，黛莫拉",381,[],"",[],[],11,"","",[],"",""
416,36,2,[3867],[],"Something is very wrong within this island's secret cave. Explore it in search of an answer.","Quelque chose ne tourne pas rond dans la caverne secrète de cette île. Explorez-la en quête d'une réponse.","In der geheimen Höhle dieser Insel stimmt etwas nicht. Erforscht sie auf der Suche nach einer Antwort.","この島の秘密の洞窟には何か大きな異変が起きている。答えを見つけるために探索しよう","이 섬의 비밀 동굴 안은 매우 수상쩍습니다. 동굴을 탐험하여 답을 찾으십시오.","Tem algo muito errado na caverna secreta desta ilha. Explore-a para descobrir o que é.","Что-то явно не так в скрытой пещере на этом острове. Исследуйте его в поисках ответа.","Algo terrible sucede en la cueva secreta de esta isla. Explórala para descubrir qué ocurre.","ถ้ำลับในเกาะนี้มีเรื่องผิดปกติเป็นอย่างยิ่ง สำรวจแล้วหาคำตอบให้จงได้","這座島上的秘密洞窟有些不對勁。探索洞窟，尋找答案吧。","","Explore the Singing Caverns","Explorez les Cavernes chantonnantes","Erkundet die Singende Höhlen","歌う大洞窟を探索しろ","노래하는 암굴 탐험하기","Explore as Cavernas Cantoras","Обследуйте Поющие пещеры","Explora las Cavernas melodiosas","สำรวจถ้ำขับขาน","探索吟謠洞窟",[381],0,"Explore the Singing Caverns","Explorez les Cavernes chantonnantes","Erkundet die Singende Höhlen.","歌う大洞窟を探索しろ","노래하는 암굴 탐험하기","Explore as Cavernas Cantoras","Обследуйте Поющие пещеры","Explora las Cavernas melodiosas","สำรวจถ้ำขับขาน","探索吟謠洞窟",381,[],"",[],[],11,"","",[],"",""
417,36,3,[5100],[],"Enter the Singing Caverns.","Entrez dans les Cavernes chantonnantes.","Betretet die Singenden Höhlen.","歌う大洞窟に入ろう","노래하는 암굴에 들어가십시오.","Entre nas Cavernas Cantoras.","Войдите в Поющие пещеры.","Accede a las Cavernas melodiosas.","เข้าไปในถ้ำขับขาน","進入吟謠洞窟。","","Enter the Singing Caverns","Entrez dans les Cavernes chantonnantes","Betretet die Singenden Höhlen","歌う大洞窟に入れ","노래하는 암굴에 들어가기","Entre nas Cavernas Cantoras","Войдите в Поющие пещеры","Accede a las Cavernas melodiosas","เข้าไปในถ้ำขับขาน","進入吟謠洞窟",[373],0,"Enter the Singing Caverns","Entrez dans les Cavernes chantonnantes","Betretet die Singenden Höhlen.","歌う大洞窟に入れ","노래하는 암굴에 들어가기","Entre nas Cavernas Cantoras","Войдите в Поющие пещеры","Accede a las Cavernas melodiosas","เข้าไปในถ้ำขับขาน","進入吟謠洞窟",373,[],"",[],[],11,"","",[],"",""
418,36,4,[3866],[],"This island seems to be quite lush. Explore Whakapanu Island.","Cette île semble assez luxuriante. Explorez l'Île de Whakapanu.","Diese Insel scheint sehr üppig zu sein. Erforscht die Insel Whakapanu.","この島は実に緑豊かなようだ。ワーカパヌ島を探索しよう","이 섬은 꽤 푸르러 보입니다. 와카파누 섬을 탐험하십시오.","A ilha parece cheia de vida. Explore a Ilha Whakapanu.","Этот остров выглядит сильно заросшим. Обследуйте остров Вакапану.","Esta isla se ve bastante frondosa. Explora la Isla Whakapanu.","เกาะนี้ช่างอุดมสมบูรณ์นัก สำรวจเกาะฟาคาปานูเสีย","這座小島看起來枝繁葉茂。探索瓦卡帕努島。","","Explore Whakapanu Island","Explorez l'Île de Whakapanu","Erkundet die Insel Whakapanu","ワーカパヌ島を探索しろ","와카파누 섬 탐험하기","Explore a Ilha Whakapanu","Обследуйте остров Вакапану","Explora la Isla Whakapanu","สำรวจเกาะฟาคาปานู","探索瓦卡帕努島",[373],0,"Explore Whakapanu Island","Explorez l'Île de Whakapanu","Erkundet die Insel Whakapanu.","ワーカパヌ島を探索しろ","와카파누 섬 탐험하기","Explore a Ilha Whakapanu","Обследуйте остров Вакапану","Explora la Isla Whakapanu","สำรวจเกาะฟาคาปานู","探索瓦卡帕努島",373,[],"",[],[],11,"","",[],"",""
419,37,0,[4627],[],"Quest Complete - You have slain the Prisoner.","Quête terminée — Vous avez tué le Prisonnier.","Quest abgeschlossen: Ihr habt den Gefangenen getötet.","クエスト完了 - 囚人を倒した","퀘스트 완료 - 포로를 처치했습니다.","Missão Concluída: você matou o Prisioneiro.","Задание выполнено - Вы убили Узника.","Misión completa - Has derrotado al Prisionero.","เควสต์​เสร็จสิ้น - คุณได้สังหารนักโทษฉกรรจ์แล้ว","任務完成 - 你已擊殺囚犯。",1,"Quest Complete","Quête terminée","Quest abgeschlossen","クエスト完了","퀘스트 완료","Missão Concluída","Задание выполнено","Misión completa","เควสต์​เสร็จสิ้น","任務完成",[],0,"","","","","","","","","","","",[],"",[],[],11,"","",[],"",""
420,37,1,[4126],[],"The Prisoner has been held here for centuries. Kill him... if you can.","Le Prisonnier est détenu ici depuis des siècles. Tuez-le… si vous le pouvez.","Der Gefangene wird hier schon seit Jahrhunderten festgehalten. Tötet ihn … wenn Ihr könnt.","囚人は何世紀にもわたりここに監禁されている。彼を倒せ...できるなら","포로는 몇 세기 동안 이곳에 갇혀 있었습니다. 그를 처치하십시오... 가능하다면요.","O Prisioneiro está preso aqui há séculos. Mate-o... se for capaz.","Узник содержался здесь веками. Убейте его... если сможете.","El Prisionero ha estado retenido aquí durante siglos. Mátalo... si puedes.","นักโทษฉกรรจ์ถูกขังในนี้มาหลายศตวรรษแล้ว สังหารเขา... หากคุณทำได้","囚犯被關在這裡數百年了。殺了他…如果你辦得到的話。","","Slay the Prisoner","Tuez le Prisonnier","Tötet den Gefangenen","囚人を倒せ","포로 쓰러뜨리기","Mate o Prisioneiro","Убейте Узника","Derrota al Prisonero","สังหารนักโทษฉกรรจ์","殺死囚犯",[405],0,"Slay the Prisoner","Tuez le Prisonnier","Tötet den Gefangenen.","囚人を倒せ","포로 쓰러뜨리기","Mate o Prisioneiro","Убейте Узника","Derrota al Prisonero","สังหารนักโทษฉกรรจ์","殺死囚犯",405,[],"",[],[],11,"","",[],"",""
421,37,2,[330],[],"Open the Fortified Door.","Ouvrez la Porte fortifiée.","Öffnet die befestigte Tür.","補強された扉を開け","강화 문을 여십시오.","Abra a porta reforçada.","Откройте укреплённую дверь.","Abre la puerta fortificada.","เปิดประตูเสริมเหล็ก","打開加固的門。","","Open the Fortified Door","Ouvrez la Porte fortifiée","Öffnet die befestigte Tür","補強された扉を開け","강화 문 열기","Abra a porta reforçada","Откройте укреплённую дверь","Abre la puerta fortificada","เปิดประตูเสริมเหล็ก","打開加固的門",[405],0,"Open the Fortified Door","Ouvrez la Porte fortifiée","Öffnet die befestigte Tür.","補強された扉を開け","강화 문 열기","Abra a porta reforçada","Откройте укреплённую дверь","Abre la puerta fortificada","เปิดประตูเสริมเหล็ก","打開加固的門",405,[],"",[],[],11,"","",[],"",""
