"rownum","BaseItemType","StackSize","CurrencyUseType","Action","Directions","Directions (French)","Directions (German)","Directions (Japanese)","Directions (Korean)","Directions (Portuguese)","Directions (Russian)","Directions (Spanish)","Directions (Thai)","Directions (Traditional Chinese)","FullStack_BaseItemType","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","Usage_AchievementItems","Scroll","Possession_AchievementItem","[rid]_97","[i32]_113","CurrencyTab_StackSize","XBoxDirections","XBoxDirections (French)","XBoxDirections (German)","XBoxDirections (Japanese)","XBoxDirections (Korean)","XBoxDirections (Portuguese)","XBoxDirections (Russian)","XBoxDirections (Spanish)","XBoxDirections (Thai)","XBoxDirections (Traditional Chinese)","i32_141","ModifyMapsAchievements","ModifyContractsAchievements","CombineAchievements","ChangedForHardmode","DescriptionHardmode","DescriptionHardmode (French)","DescriptionHardmode (German)","DescriptionHardmode (Japanese)","DescriptionHardmode (Korean)","DescriptionHardmode (Portuguese)","DescriptionHardmode (Russian)","DescriptionHardmode (Spanish)","DescriptionHardmode (Thai)","DescriptionHardmode (Traditional Chinese)","IsGold","bool_203","bool_204","i32_205"
1196,777,10,3,"","","","","","","","","","","","","Place into an empty [Augment] Socket in Gloves or a Sceptre to apply its effect to that item. Once socketed it cannot be retrieved but can be replaced by other [Augment] items.","À placer dans une Châsse d'[Augment|Augmentation] vide d'une paire de Gants ou d'un Sceptre pour appliquer son effet à cet objet. Une fois enchâssé, il ne peut pas être récupéré, mais peut être remplacé par d'autres objets d'[Augment|Augmentation].","Platziere dies in eine leere [Augment|Augmentations]fassung in Handschuhen oder einem Zepter, um den Effekt auf den Gegenstand anzuwenden. Kann nach dem Einfassen nicht mehr entfernt werden, aber durch andere [Augment|Augmentations]gegenstände ersetzt werden.","手袋またはセプターの空の[Augment|オーグメント]ソケットにはめて、アイテムに効果を適用する。一度ソケットすると取り外すことはできないが、他の[Augment|オーグメント]アイテムで置き換えることができる。","장갑 또는 셉터에 있는 빈 [Augment|증강물] 홈에 장착하여 그 아이템에 효과를 적용할 수 있습니다. 홈에 장착한 후에는 빼서 다시 사용할 수 없지만, 다른 [Augment|증강물] 아이템으로 교체할 수는 있습니다.","Insira em um encaixe de [Augment|aprimoramento] vazio de um cetro ou um par de luvas para aplicar seu efeito ao item. Depois de encaixado, não pode ser removido, mas pode ser substituído por outro item de [Augment|aprimoramento].","Вставьте в пустое гнездо для [Augment|усилителей] на перчатках или скипетре, чтобы применить эффект к ним. После вставки нельзя извлечь, но можно заменить другим [Augment|усилителем].","Coloca esto en un engarce para [Augment|mejora] vacío de unos guantes o un cetro para aplicar su efecto a ese objeto. Una vez engarzado no se puede recuperar, pero se puede reemplazar por otros objetos de [Augment|mejora].","ใส่ใน รู[Augment|วัตถุฝัง]ที่ว่างเปล่า ในถุงมือหรือคทา เพื่อทำให้ไอเทมชิ้นนั้นได้รับผลของมัน เมื่อใส่ไปแล้วจะไม่สามารถถอดออกมาได้อีกแต่สามารถถูกแทนที่ได้ด้วยไอเทม[Augment|วัตถุฝัง]ชิ้นอื่น","將此放置於手套或權杖的一個[Augment|增幅]插槽，將其效果套用至該物品。一旦鑲嵌便無法取出，但可以使用其他的[Augment|增幅]物品替換。",[],"","",[],[],5000,"","","","","","","","","","",0,[],[],[],"","","","","","","","","","","","","","",4839
1197,778,10,3,"","","","","","","","","","","","","Place into an empty [Augment] Socket in a Helmet or Sceptre to apply its effect to that item. Once socketed it cannot be retrieved but can be replaced by other [Augment] items.","À placer dans une Châsse d'[Augment|Augmentation] vide d'un Casque ou d'un Sceptre pour appliquer son effet à cet objet. Une fois enchâssé, il ne peut pas être récupéré, mais peut être remplacé par d'autres objets d'[Augment|Augmentation].","Platziere dies in eine leere [Augment|Augmentations]fassung in einem Helm oder einem Zepter, um den Effekt auf den Gegenstand anzuwenden. Kann nach dem Einfassen nicht mehr entfernt werden, aber durch andere [Augment|Augmentations]gegenstände ersetzt werden.","兜またはセプターの空の[Augment|オーグメント]ソケットにはめて、アイテムに効果を適用する。一度ソケットすると取り外すことはできないが、他の[Augment|オーグメント]アイテムで置き換えることができる。","투구 또는 셉터에 있는 빈 [Augment|증강물] 홈에 장착하여 그 아이템에 효과를 적용할 수 있습니다. 홈에 장착한 후에는 빼서 다시 사용할 수 없지만, 다른 [Augment|증강물] 아이템으로 교체할 수는 있습니다.","Insira em um encaixe de [Augment|aprimoramento] vazio de um cetro ou elmo para aplicar seu efeito ao item. Depois de encaixado, não pode ser removido, mas pode ser substituído por outros itens de [Augment|aprimoramento].","Вставьте в пустое гнездо для [Augment|усилителей] на шлеме или скипетре, чтобы применить эффект к ним. После вставки нельзя извлечь, но можно заменить другим [Augment|усилителем].","Coloca esto en un engarce para [Augment|mejora] vacío de un casco o un cetro para aplicar su efecto a ese objeto. Una vez engarzado no se puede recuperar, pero se puede reemplazar por otros objetos de [Augment|mejora].","ใส่ใน รู[Augment|วัตถุฝัง]ที่ว่างเปล่า ในหมวกหรือคทา เพื่อทำให้ไอเทมชิ้นนั้นได้รับผลของมัน เมื่อใส่ไปแล้วจะไม่สามารถถอดออกมาได้อีกแต่สามารถถูกแทนที่ได้ด้วยไอเทม[Augment|วัตถุฝัง]ชิ้นอื่น","將此放置於頭盔或權杖的一個[Augment|增幅]插槽，將其效果套用至該物品。一旦鑲嵌便無法取出，但可以使用其他的[Augment|增幅]物品替換。",[],"","",[],[],5000,"","","","","","","","","","",0,[],[],[],"","","","","","","","","","","","","","",4839
1198,779,10,3,"","","","","","","","","","","","","Place into an empty [Augment] Socket in Gloves or a Sceptre to apply its effect to that item. Once socketed it cannot be retrieved but can be replaced by other [Augment] items.","À placer dans une Châsse d'[Augment|Augmentation] vide d'une paire de Gants ou d'un Sceptre pour appliquer son effet à cet objet. Une fois enchâssé, il ne peut pas être récupéré, mais peut être remplacé par d'autres objets d'[Augment|Augmentation].","Platziere dies in eine leere [Augment|Augmentations]fassung in Handschuhen oder einem Zepter, um den Effekt auf den Gegenstand anzuwenden. Kann nach dem Einfassen nicht mehr entfernt werden, aber durch andere [Augment|Augmentations]gegenstände ersetzt werden.","手袋またはセプターの空の[Augment|オーグメント]ソケットにはめて、アイテムに効果を適用する。一度ソケットすると取り外すことはできないが、他の[Augment|オーグメント]アイテムで置き換えることができる。","장갑 또는 셉터에 있는 빈 [Augment|증강물] 홈에 장착하여 그 아이템에 효과를 적용할 수 있습니다. 홈에 장착한 후에는 빼서 다시 사용할 수 없지만, 다른 [Augment|증강물] 아이템으로 교체할 수는 있습니다.","Insira em um encaixe de [Augment|aprimoramento] vazio de um cetro ou um par de luvas para aplicar seu efeito ao item. Depois de encaixado, não pode ser removido, mas pode ser substituído por outro item de [Augment|aprimoramento].","Вставьте в пустое гнездо для [Augment|усилителей] на перчатках или скипетре, чтобы применить эффект к ним. После вставки нельзя извлечь, но можно заменить другим [Augment|усилителем].","Coloca esto  en un engarce para [Augment|mejora] vacío de unos guantes o un cetro para aplicar su efecto a ese objeto. Una vez engarzado no se puede recuperar, pero se puede reemplazar por otros objetos de [Augment|mejora].","ใส่ใน รู[Augment|วัตถุฝัง]ที่ว่างเปล่า ในถุงมือหรือคทา เพื่อทำให้ไอเทมชิ้นนั้นได้รับผลของมัน เมื่อใส่ไปแล้วจะไม่สามารถถอดออกมาได้อีกแต่สามารถถูกแทนที่ได้ด้วยไอเทม[Augment|วัตถุฝัง]ชิ้นอื่น","將此放置於手套或權杖的一個[Augment|增幅]插槽，將其效果套用至該物品。一旦鑲嵌便無法取出，但可以使用其他的[Augment|增幅]物品替換。",[],"","",[],[],5000,"","","","","","","","","","",0,[],[],[],"","","","","","","","","","","","","","",4839
1199,780,10,3,"","","","","","","","","","","","","Place into an empty [Augment] Socket in a Helmet or Sceptre to apply its effect to that item. Once socketed it cannot be retrieved but can be replaced by other [Augment] items.","À placer dans une Châsse d'[Augment|Augmentation] vide d'un Casque ou d'un Sceptre pour appliquer son effet à cet objet. Une fois enchâssé, il ne peut pas être récupéré, mais peut être remplacé par d'autres objets d'[Augment|Augmentation].","Platziere dies in eine leere [Augment|Augmentations]fassung in einem Helm oder einem Zepter, um den Effekt auf den Gegenstand anzuwenden. Kann nach dem Einfassen nicht mehr entfernt werden, aber durch andere [Augment|Augmentations]gegenstände ersetzt werden.","兜またはセプターの空の[Augment|オーグメント]ソケットにはめて、アイテムに効果を適用する。一度ソケットすると取り外すことはできないが、他の[Augment|オーグメント]アイテムで置き換えることができる。","투구 또는 셉터에 있는 빈 [Augment|증강물] 홈에 장착하여 그 아이템에 효과를 적용할 수 있습니다. 홈에 장착한 후에는 빼서 다시 사용할 수 없지만, 다른 [Augment|증강물] 아이템으로 교체할 수는 있습니다.","Insira em um encaixe de [Augment|aprimoramento] vazio de um cetro ou elmo para aplicar seu efeito ao item. Depois de encaixado, não pode ser removido, mas pode ser substituído por outros itens de [Augment|aprimoramento].","Вставьте в пустое гнездо для [Augment|усилителей] на шлеме или скипетре, чтобы применить эффект к ним. После вставки нельзя извлечь, но можно заменить другим [Augment|усилителем].","Coloca esto en un engarce para [Augment|mejora] vacío de un casco o un cetro para aplicar su efecto a ese objeto. Una vez engarzado no se puede recuperar, pero se puede reemplazar por otros objetos de [Augment|mejora].","ใส่ใน รู[Augment|วัตถุฝัง]ที่ว่างเปล่า ในหมวกหรือคทา เพื่อทำให้ไอเทมชิ้นนั้นได้รับผลของมัน เมื่อใส่ไปแล้วจะไม่สามารถถอดออกมาได้อีกแต่สามารถถูกแทนที่ได้ด้วยไอเทม[Augment|วัตถุฝัง]ชิ้นอื่น","將此放置於頭盔或權杖的一個[Augment|增幅]插槽，將其效果套用至該物品。一旦鑲嵌便無法取出，但可以使用其他的[Augment|增幅]物品替換。",[],"","",[],[],5000,"","","","","","","","","","",0,[],[],[],"","","","","","","","","","","","","","",4839
1200,781,10,3,"","","","","","","","","","","","","Place into an empty [Augment] Socket in a Shield, a Buckler or a Sceptre to apply its effect to that item. Once socketed it cannot be retrieved but can be replaced by other [Augment] items.","À placer dans une Châsse d'[Augment|Augmentation] vide d'un Bouclier, d'un Bocle ou d'un Sceptre pour appliquer son effet à cet objet. Une fois enchâssé, il ne peut pas être récupéré, mais peut être remplacé par d'autres objets d'[Augment|Augmentation].","Platziere dies in eine leere [Augment|Augmentations]fassung eines Schilds, Faustschilds oder Zepters, um den Effekt auf den Gegenstand anzuwenden. Kann nach dem Einfassen nicht mehr entfernt werden, aber durch andere [Augment|Augmentations]gegenstände ersetzt werden.","盾、バックラーまたはセプターの空の[Augment|オーグメント]ソケットにはめて、アイテムに効果を適用する。一度ソケットすると取り外すことはできないが、他の[Augment|オーグメント]アイテムで置き換えることができる。","방패, 버클러 또는 셉터에 있는 빈 [Augment|증강물] 홈에 장착하여 그 아이템에 효과를 적용할 수 있습니다. 홈에 장착한 후에는 빼서 다시 사용할 수 없지만, 다른 [Augment|증강물] 아이템으로 교체할 수는 있습니다.","Insira em um encaixe de [Augment|aprimoramento] vazio de um cetro, broquel ou escudo para aplicar seu efeito ao item. Depois de encaixado, não pode ser removido, mas pode ser substituído por outro item de [Augment|aprimoramento].","Вставьте в пустое гнездо для [Augment|усилителей] на щите, баклере или скипетре, чтобы применить эффект к ним. После вставки нельзя извлечь, но можно заменить другим [Augment|усилителем].","Coloca esto en un engarce para [Augment|mejora] vacío de un escudo, un broquel o un cetro para aplicar su efecto a ese objeto. Una vez engarzado no se puede recuperar, pero se puede reemplazar por otros objetos de [Augment|mejora].","ใส่ใน รู[Augment|วัตถุฝัง]ที่ว่างเปล่า ในโล่, บัคเลอร์ หรือ คทา เพื่อทำให้ไอเทมชิ้นนั้นได้รับผลของมัน เมื่อใส่ไปแล้วจะไม่สามารถถอดออกมาได้อีกแต่สามารถถูกแทนที่ได้ด้วยไอเทม[Augment|วัตถุฝัง]ชิ้นอื่น","將此放置於盾牌、圓盾或權杖的一個[Augment|增幅]插槽，將其效果套用至該物品。一旦鑲嵌便無法取出，但可以使用其他的[Augment|增幅]物品替換。",[],"","",[],[],5000,"","","","","","","","","","",0,[],[],[],"","","","","","","","","","","","","","",4839
1201,782,10,3,"","","","","","","","","","","","","Place into an empty [Augment] Socket in a Body Armour or Sceptre to apply its effect to that item. Once socketed it cannot be retrieved but can be replaced by other [Augment] items.","À placer dans une Châsse d'[Augment|Augmentation] vide d'une Armure ou d'un Sceptre pour appliquer son effet à cet objet. Une fois enchâssé, il ne peut pas être récupéré, mais peut être remplacé par d'autres objets d'[Augment|Augmentation].","Platziere dies in eine leere [Augment|Augmentations]fassung in einer Körperrüstung oder einem Zepter, um den Effekt auf den Gegenstand anzuwenden. Kann nach dem Einfassen nicht mehr entfernt werden, aber durch andere [Augment|Augmentations]gegenstände ersetzt werden.","鎧またはセプターの空の[Augment|オーグメント]ソケットにはめて、アイテムに効果を適用する。一度ソケットすると取り外すことはできないが、他の[Augment|オーグメント]アイテムで置き換えることができる。","갑옷이나 셉터에 있는 빈 [Augment|증강물] 홈에 장착하여 그 아이템에 효과를 적용할 수 있습니다. 홈에 장착한 후에는 빼서 다시 사용할 수 없지만, 다른 [Augment|증강물] 아이템으로 교체할 수는 있습니다.","Insira em um encaixe de [Augment|aprimoramento] vazio de um cetro ou peitoral para aplicar seu efeito ao item. Depois de encaixado, não pode ser removido, mas pode ser substituído por outros itens de [Augment|aprimoramento].","Вставьте в пустое гнездо для [Augment|усилителей] на нательном доспехе или скипетре, чтобы применить эффект к ним. После вставки нельзя извлечь, но можно заменить другим [Augment|усилителем].","Coloca esto en un engarce para [Augment|mejora] vacío de una armadura o un cetro para aplicar su efecto a ese objeto. Una vez engarzado no se puede recuperar, pero se puede reemplazar por otros objetos de [Augment|mejora].","ใส่ใน รู[Augment|วัตถุฝัง]ที่ว่างเปล่า ในเสื้อเกราะหรือคทา เพื่อทำให้ไอเทมชิ้นนั้นได้รับผลของมัน เมื่อใส่ไปแล้วจะไม่สามารถถอดออกมาได้อีกแต่สามารถถูกแทนที่ได้ด้วยไอเทม[Augment|วัตถุฝัง]ชิ้นอื่น","將此放置於身體護甲或權杖的一個[Augment|增幅]插槽，將其效果套用至該物品。一旦鑲嵌便無法取出，但可以使用其他的[Augment|增幅]物品替換。",[],"","",[],[],5000,"","","","","","","","","","",0,[],[],[],"","","","","","","","","","","","","","",4839
1202,783,10,3,"","","","","","","","","","","","","Place into an empty [Augment] Socket in a Body Armour or Sceptre to apply its effect to that item. Once socketed it cannot be retrieved but can be replaced by other [Augment] items.","À placer dans une Châsse d'[Augment|Augmentation] vide d'une Armure ou d'un Sceptre pour appliquer son effet à cet objet. Une fois enchâssé, il ne peut pas être récupéré, mais peut être remplacé par d'autres objets d'[Augment|Augmentation].","Platziere dies in eine leere [Augment|Augmentations]fassung in einer Körperrüstung oder einem Zepter, um den Effekt auf den Gegenstand anzuwenden. Kann nach dem Einfassen nicht mehr entfernt werden, aber durch andere [Augment|Augmentations]gegenstände ersetzt werden.","鎧またはセプターの空の[Augment|オーグメント]ソケットにはめて、アイテムに効果を適用する。一度ソケットすると取り外すことはできないが、他の[Augment|オーグメント]アイテムで置き換えることができる。","갑옷이나 셉터에 있는 빈 [Augment|증강물] 홈에 장착하여 그 아이템에 효과를 적용할 수 있습니다. 홈에 장착한 후에는 빼서 다시 사용할 수 없지만, 다른 [Augment|증강물] 아이템으로 교체할 수는 있습니다.","Insira em um encaixe de [Augment|aprimoramento] vazio de um cetro ou peitoral para aplicar seu efeito ao item. Depois de encaixado, não pode ser removido, mas pode ser substituído por outros itens de [Augment|aprimoramento].","Вставьте в пустое гнездо для [Augment|усилителей] на нательном доспехе или скипетре, чтобы применить эффект к ним. После вставки нельзя извлечь, но можно заменить другим [Augment|усилителем].","Coloca esto en un engarce para [Augment|mejora] vacío de una armadura o un cetro para aplicar su efecto a ese objeto. Una vez engarzado no se puede recuperar, pero se puede reemplazar por otros objetos de [Augment|mejora].","ใส่ใน รู[Augment|วัตถุฝัง]ที่ว่างเปล่า ในเสื้อเกราะหรือคทา เพื่อทำให้ไอเทมชิ้นนั้นได้รับผลของมัน เมื่อใส่ไปแล้วจะไม่สามารถถอดออกมาได้อีกแต่สามารถถูกแทนที่ได้ด้วยไอเทม[Augment|วัตถุฝัง]ชิ้นอื่น","將此放置於身體護甲或權杖的一個[Augment|增幅]插槽，將其效果套用至該物品。一旦鑲嵌便無法取出，但可以使用其他的[Augment|增幅]物品替換。",[],"","",[],[],5000,"","","","","","","","","","",0,[],[],[],"","","","","","","","","","","","","","",4839
1203,705,10,3,"","","","","","","","","","","","","Place into an empty [Augment] Socket in Gloves or a Sceptre to apply its effect to that item. Once socketed it cannot be retrieved but can be replaced by other [Augment] items.","À placer dans une Châsse d'[Augment|Augmentation] vide d'une paire de Gants ou d'un Sceptre pour appliquer son effet à cet objet. Une fois enchâssé, il ne peut pas être récupéré, mais peut être remplacé par d'autres objets d'[Augment|Augmentation].","Platziere dies in eine leere [Augment|Augmentations]fassung in Handschuhen oder einem Zepter, um den Effekt auf den Gegenstand anzuwenden. Kann nach dem Einfassen nicht mehr entfernt werden, aber durch andere [Augment|Augmentations]gegenstände ersetzt werden.","手袋またはセプターの空の[Augment|オーグメント]ソケットにはめて、アイテムに効果を適用する。一度ソケットすると取り外すことはできないが、他の[Augment|オーグメント]アイテムで置き換えることができる。","장갑 또는 셉터에 있는 빈 [Augment|증강물] 홈에 장착하여 그 아이템에 효과를 적용할 수 있습니다. 홈에 장착한 후에는 빼서 다시 사용할 수 없지만, 다른 [Augment|증강물] 아이템으로 교체할 수는 있습니다.","Insira em um encaixe de [Augment|aprimoramento] vazio de um cetro ou um par de luvas para aplicar seu efeito ao item. Depois de encaixado, não pode ser removido, mas pode ser substituído por outro item de [Augment|aprimoramento].","Вставьте в пустое гнездо для [Augment|усилителей] на перчатках или скипетре, чтобы применить эффект к ним. После вставки нельзя извлечь, но можно заменить другим [Augment|усилителем].","Coloca esto en un engarce para [Augment|mejora] vacío de unos guantes o un cetro para aplicar su efecto a ese objeto. Una vez engarzado no se puede recuperar, pero se puede reemplazar por otros objetos de [Augment|mejora].","ใส่ใน รู[Augment|วัตถุฝัง]ที่ว่างเปล่า ในถุงมือหรือคทา เพื่อทำให้ไอเทมชิ้นนั้นได้รับผลของมัน เมื่อใส่ไปแล้วจะไม่สามารถถอดออกมาได้อีกแต่สามารถถูกแทนที่ได้ด้วยไอเทม[Augment|วัตถุฝัง]ชิ้นอื่น","將此放置於手套或權杖的一個[Augment|增幅]插槽，將其效果套用至該物品。一旦鑲嵌便無法取出，但可以使用其他的[Augment|增幅]物品替換。",[],"","",[],[],5000,"","","","","","","","","","",0,[],[],[],"","","","","","","","","","","","","","",4839
1204,706,10,3,"","","","","","","","","","","","","Place into an empty [Augment] Socket in a Martial Weapon or a Sceptre to apply its effect to that item. Once socketed it cannot be retrieved but can be replaced by other [Augment] items.","À placer dans une Châsse d'[Augment|Augmentation] vide d'une Arme martiale ou d'un Sceptre pour appliquer son effet à cet objet. Une fois enchâssé, il ne peut pas être récupéré, mais peut être remplacé par d'autres objets d'[Augment|Augmentation].","Platziere dies in eine leere [Augment|Augmentations]fassung in einer Kampfwaffe oder einem Zepter, um den Effekt auf den Gegenstand anzuwenden. Kann nach dem Einfassen nicht mehr entfernt werden, aber durch andere [Augment|Augmentations]gegenstände ersetzt werden.","マーシャル武器またはセプターの空の[Augment|オーグメント]ソケットにはめて、アイテムに効果を適用する。一度ソケットすると取り外すことはできないが、他の[Augment|オーグメント]アイテムで置き換えることができる。","무도 무기 또는 셉터에 있는 빈 [Augment|증강물] 홈에 장착하여 그 아이템에 효과를 적용할 수 있습니다. 홈에 장착한 후에는 빼서 다시 사용할 수 없지만, 다른 [Augment|증강물] 아이템으로 교체할 수는 있습니다.","Insira em um encaixe de [Augment|aprimoramento] vazio de uma arma marcial ou cetro para aplicar seu efeito ao item. Depois de encaixado, não pode ser removido, mas pode ser substituído por outro item de [Augment|aprimoramento].","Вставьте в пустое гнездо для [Augment|усилителей] на боевом оружии или скипетре, чтобы применить эффект к ним. После вставки нельзя извлечь, но можно заменить другим [Augment|усилителем].","Coloca esto en un engarce para [Augment|mejora] vacío de un arma marcial o un cetro para aplicar su efecto a ese objeto. Una vez engarzado no se puede recuperar, pero se puede reemplazar por otros objetos de [Augment|mejora].","ใส่ใน รู[Augment|วัตถุฝัง]ที่ว่างเปล่า ในอาวุธจู่โจมหรือคทา เพื่อทำให้ไอเทมชิ้นนั้นได้รับผลของมัน เมื่อใส่ไปแล้วจะไม่สามารถถอดออกมาได้อีกแต่สามารถถูกแทนที่ได้ด้วยไอเทม[Augment|วัตถุฝัง]ชิ้นอื่น","將此放置於軍用武器或權杖的一個[Augment|增幅]插槽，將其效果套用至該物品。一旦鑲嵌便無法取出，但可以使用其他的[Augment|增幅]物品替換。",[],"","",[],[],5000,"","","","","","","","","","",0,[],[],[],"","","","","","","","","","","","","","",4839
1205,707,10,3,"","","","","","","","","","","","","Place into an empty [Augment] Socket in Gloves or a Sceptre to apply its effect to that item. Once socketed it cannot be retrieved but can be replaced by other [Augment] items.","À placer dans une Châsse d'[Augment|Augmentation] vide d'une paire de Gants ou d'un Sceptre pour appliquer son effet à cet objet. Une fois enchâssé, il ne peut pas être récupéré, mais peut être remplacé par d'autres objets d'[Augment|Augmentation].","Platziere dies in eine leere [Augment|Augmentations]fassung in Handschuhen oder einem Zepter, um den Effekt auf den Gegenstand anzuwenden. Kann nach dem Einfassen nicht mehr entfernt werden, aber durch andere [Augment|Augmentations]gegenstände ersetzt werden.","手袋またはセプターの空の[Augment|オーグメント]ソケットにはめて、アイテムに効果を適用する。一度ソケットすると取り外すことはできないが、他の[Augment|オーグメント]アイテムで置き換えることができる。","장갑 또는 셉터에 있는 빈 [Augment|증강물] 홈에 장착하여 그 아이템에 효과를 적용할 수 있습니다. 홈에 장착한 후에는 빼서 다시 사용할 수 없지만, 다른 [Augment|증강물] 아이템으로 교체할 수는 있습니다.","Insira em um encaixe de [Augment|aprimoramento] vazio de um cetro ou um par de luvas para aplicar seu efeito ao item. Depois de encaixado, não pode ser removido, mas pode ser substituído por outro item de [Augment|aprimoramento].","Вставьте в пустое гнездо для [Augment|усилителей] на перчатках или скипетре, чтобы применить эффект к ним. После вставки нельзя извлечь, но можно заменить другим [Augment|усилителем].","Coloca esto en un engarce para [Augment|mejora] vacío de unos guantes o un cetro para aplicar su efecto a ese objeto. Una vez engarzado no se puede recuperar, pero se puede reemplazar por otros objetos de [Augment|mejora].","ใส่ใน รู[Augment|วัตถุฝัง]ที่ว่างเปล่า ในถุงมือหรือคทา เพื่อทำให้ไอเทมชิ้นนั้นได้รับผลของมัน เมื่อใส่ไปแล้วจะไม่สามารถถอดออกมาได้อีกแต่สามารถถูกแทนที่ได้ด้วยไอเทม[Augment|วัตถุฝัง]ชิ้นอื่น","將此放置於手套或權杖的一個[Augment|增幅]插槽，將其效果套用至該物品。一旦鑲嵌便無法取出，但可以使用其他的[Augment|增幅]物品替換。",[],"","",[],[],5000,"","","","","","","","","","",0,[],[],[],"","","","","","","","","","","","","","",4839
1206,708,10,3,"","","","","","","","","","","","","Place into an empty [Augment] Socket in a Helmet or Sceptre to apply its effect to that item. Once socketed it cannot be retrieved but can be replaced by other [Augment] items.","À placer dans une Châsse d'[Augment|Augmentation] vide d'un Casque ou d'un Sceptre pour appliquer son effet à cet objet. Une fois enchâssé, il ne peut pas être récupéré, mais peut être remplacé par d'autres objets d'[Augment|Augmentation].","Platziere dies in eine leere [Augment|Augmentations]fassung in einem Helm oder Zepter, um den Effekt auf den Gegenstand anzuwenden. Kann nach dem Einfassen nicht mehr entfernt werden, aber durch andere [Augment|Augmentations]gegenstände ersetzt werden.","兜またはセプターの空の[Augment|オーグメント]ソケットにはめて、アイテムに効果を適用する。一度ソケットすると取り外すことはできないが、他の[Augment|オーグメント]アイテムで置き換えることができる。","투구 또는 셉터에 있는 빈 [Augment|증강물] 홈에 장착하여 그 아이템에 효과를 적용할 수 있습니다. 홈에 장착한 후에는 빼서 다시 사용할 수 없지만, 다른 [Augment|증강물] 아이템으로 교체할 수는 있습니다.","Insira em um encaixe de [Augment|aprimoramento] vazio de um cetro ou elmo para aplicar seu efeito ao item. Depois de encaixado, não pode ser removido, mas pode ser substituído por outros itens de [Augment|aprimoramento].","Вставьте в пустое гнездо для [Augment|усилителей] на шлеме или скипетре, чтобы применить эффект к ним. После вставки нельзя извлечь, но можно заменить другим [Augment|усилителем].","Coloca esto en un engarce para [Augment|mejora] vacío de un casco o un cetro para aplicar su efecto a ese objeto. Una vez engarzado no se puede recuperar, pero se puede reemplazar por otros objetos de [Augment|mejora].","ใส่ใน รู[Augment|วัตถุฝัง]ที่ว่างเปล่า ในหมวกหรือคทา เพื่อทำให้ไอเทมชิ้นนั้นได้รับผลของมัน เมื่อใส่ไปแล้วจะไม่สามารถถอดออกมาได้อีกแต่สามารถถูกแทนที่ได้ด้วยไอเทม[Augment|วัตถุฝัง]ชิ้นอื่น","將此放置於頭盔或權杖的一個[Augment|增幅]插槽，將其效果套用至該物品。一旦鑲嵌便無法取出，但可以使用其他的[Augment|增幅]物品替換。",[],"","",[],[],5000,"","","","","","","","","","",0,[],[],[],"","","","","","","","","","","","","","",4839
1207,709,10,3,"","","","","","","","","","","","","Place into an empty [Augment] Socket in a Helmet or Sceptre to apply its effect to that item. Once socketed it cannot be retrieved but can be replaced by other [Augment] items.","À placer dans une Châsse d'[Augment|Augmentation] vide d'un Casque ou d'un Sceptre pour appliquer son effet à cet objet. Une fois enchâssé, il ne peut pas être récupéré, mais peut être remplacé par d'autres objets d'[Augment|Augmentation].","Platziere dies in eine leere [Augment|Augmentations]fassung in einem Helm oder Zepter, um den Effekt auf den Gegenstand anzuwenden. Kann nach dem Einfassen nicht mehr entfernt werden, aber durch andere [Augment|Augmentations]gegenstände ersetzt werden.","兜またはセプターの空の[Augment|オーグメント]ソケットにはめて、アイテムに効果を適用する。一度ソケットすると取り外すことはできないが、他の[Augment|オーグメント]アイテムで置き換えることができる。","투구 또는 셉터에 있는 빈 [Augment|증강물] 홈에 장착하여 그 아이템에 효과를 적용할 수 있습니다. 홈에 장착한 후에는 빼서 다시 사용할 수 없지만, 다른 [Augment|증강물] 아이템으로 교체할 수는 있습니다.","Insira em um encaixe de [Augment|aprimoramento] vazio de um cetro ou elmo para aplicar seu efeito ao item. Depois de encaixado, não pode ser removido, mas pode ser substituído por outros itens de [Augment|aprimoramento].","Вставьте в пустое гнездо для [Augment|усилителей] на шлеме или скипетре, чтобы применить эффект к ним. После вставки нельзя извлечь, но можно заменить другим [Augment|усилителем].","Coloca esto en un engarce para [Augment|mejora] vacío de un casco o un cetro para aplicar su efecto a ese objeto. Una vez engarzado no se puede recuperar, pero se puede reemplazar por otros objetos de [Augment|mejora].","ใส่ใน รู[Augment|วัตถุฝัง]ที่ว่างเปล่า ในหมวกหรือคทา เพื่อทำให้ไอเทมชิ้นนั้นได้รับผลของมัน เมื่อใส่ไปแล้วจะไม่สามารถถอดออกมาได้อีกแต่สามารถถูกแทนที่ได้ด้วยไอเทม[Augment|วัตถุฝัง]ชิ้นอื่น","將此放置於頭盔或權杖的一個[Augment|增幅]插槽，將其效果套用至該物品。一旦鑲嵌便無法取出，但可以使用其他的[Augment|增幅]物品替換。",[],"","",[],[],5000,"","","","","","","","","","",0,[],[],[],"","","","","","","","","","","","","","",4839
