"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","StatsKeys1","CharacterPanelDescriptionModesKey","StatsKeys2","StatsKeys3","CharacterPanelTabsKey","bool_96","[i32]_97","i32_113","StatsKeys4","bool_133","StatsKeys5","bool_150","StatsKeys6","i32_167"
150,"ThornsCritChance","","","","","","","","","","",[20024],14,[],"[2742,24733]",37,1,[],0,"[20040,20041]","",[],"",[],0
151,"ThornsCritChanceEffectice","","","","","","","","","","",[21710],14,[],"[2742,24733]",37,1,[],0,"[20040,20041]",1,[],1,[20024],0
152,"ThornsCritDamage","","","","","","","","","","",[20021],14,[21710],"[2742,24733]",37,1,[],0,"[20040,20041]","",[],"",[],0
153,"ThornsAnyHit","","","","","","","","","","",[20052],14,[],[24733],37,1,[],0,"[20040,20041]","",[],"",[],0
154,"Thorns_IgniteChanceEstimate","","","","","","","","","","","[22737,22738]",14,[],"[1198,1633,19992,10201,5652,24733]",37,1,[],0,"[20040,20041]",1,[],1,[],0
155,"Thorns_ShockChanceEstimate","","","","","","","","","","","[22705,22706]",14,[],[24733],37,1,[],0,"[20040,20041]",1,[],1,[],0
156,"PhysicalTakenAsFire","[Physical] damage from [HitDamage|Hits] taken as [Fire]","Dégâts [Physical|Physiques] subis au [HitDamage|Toucher] sous forme de Dégâts de [Fire|Feu]","[Physical|Physischer] Schaden von [HitDamage|Treffern] erlitten als [Fire|Feuer]schaden","[HitDamage|ヒット]による[Physical|物理]ダメージを[Fire|火]ダメージとして受ける割合","[HitDamage|명중]당했을 때 [Fire|화염] 피해로 받는 [Physical|물리] 피해","Dano [Physical|Físico] dos [HitDamage|Ataques] é Sofrido como Dano de [Fire|Fogo]","Получаемый [Physical|физический] урон от [HitDamage|ударов] в виде урона от [Fire|огня]","Daño [Physical|físico] de los [HitDamage|impactos] recibido como [Fire|fuego]","ความเสียหาย [HitDamage|ปะทะ] [Physical|กายภาพ] ที่ได้รับที่เปลี่ยนเป็น [Fire|ไฟ]","承受的[HitDamage|擊中][Physical|物理]傷害視為[Fire|火焰]傷害",[6772],1,[],[24733],40,1,[],0,[],"",[],"",[],0
157,"PhysicalTakenAsCold","[Physical] damage from [HitDamage|Hits] taken as [Cold]","Dégâts [Physical|Physiques] subis au [HitDamage|Toucher] sous forme de Dégâts de [Cold|Froid]","[Physical|Physischer] Schaden von [HitDamage|Treffern] erlitten als [Cold|Kälte]schaden","[HitDamage|ヒット]による[Physical|物理]ダメージを[Cold|冷気]ダメージとして受ける割合","[HitDamage|명중]당했을 때 [Cold|냉기] 피해로 받는 [Physical|물리] 피해","Dano [Physical|Físico] dos [HitDamage|Ataques] é Sofrido como Dano de [Cold|Frio]","Получаемый [Physical|физический] урон от [HitDamage|ударов] в виде урона от [Cold|холода]","Daño [Physical|físico] de los [HitDamage|impactos] recibido como [Cold|hielo]","ความเสียหาย [HitDamage|ปะทะ] [Physical|กายภาพ] ที่ได้รับที่เปลี่ยนเป็น [Cold|น้ำแข็ง]","承受的[HitDamage|擊中][Physical|物理]傷害視為[Cold|冰冷]傷害",[6773],1,[],[24733],40,1,[],0,[],"",[],"",[],0
158,"PhysicalTakenAsLightning","[Physical] damage from [HitDamage|Hits] taken as [Lightning]","Dégâts [Physical|Physiques] subis au [HitDamage|Toucher] sous forme de Dégâts de [Lightning|Foudre]","[Physical|Physischer] Schaden von [HitDamage|Treffern] erlitten als [Lightning|Blitz]schaden","[HitDamage|ヒット]による[Physical|物理]ダメージを[Lightning|雷]ダメージとして受ける割合","[HitDamage|명중]당했을 때 [Lightning|번개] 피해로 받는 [Physical|물리] 피해","Dano [Physical|Físico] dos [HitDamage|Ataques] é Sofrido como Dano [Lightning|Elétrico]","Получаемый [Physical|физический] урон от [HitDamage|ударов] в виде урона от [Lightning|молнии]","Daño [Physical|físico] de los [HitDamage|impactos] recibido como [Lightning|rayo]","ความเสียหาย [HitDamage|ปะทะ] [Physical|กายภาพ] ที่ได้รับที่เปลี่ยนเป็น [Lightning|สายฟ้า]","承受的[HitDamage|擊中][Physical|物理]傷害視為[Lightning|閃電]傷害",[6774],1,[],[24733],40,1,[],0,[],"",[],"",[],0
159,"PhysicalTakenAsChaos","[Physical] damage from [HitDamage|Hits] taken as [Chaos]","Dégâts [Physical|Physiques] subis au [HitDamage|Toucher] sous forme de Dégâts de [Chaos|Chaos]","[Physical|Physischer] Schaden von [HitDamage|Treffern] erlitten als [Chaos|Chaos]schaden","[HitDamage|ヒット]による[Physical|物理]ダメージを[Chaos|混沌]ダメージとして受ける割合","[HitDamage|명중]당했을 때 [Chaos|카오스] 피해로 받는 [Physical|물리] 피해","Dano [Physical|Físico] dos [HitDamage|Ataques] é Sofrido como Dano de [Chaos|Caos]","Получаемый [Physical|физический] урон от [HitDamage|ударов] в виде урона [Chaos|хаосом]","Daño [Physical|físico] de los [HitDamage|impactos] recibido como [Chaos|caos]","ความเสียหาย [HitDamage|ปะทะ] [Physical|กายภาพ] ที่ได้รับที่เปลี่ยนเป็น [Chaos|เคออส]","承受的[HitDamage|擊中][Physical|物理]傷害視為[Chaos|混沌]傷害",[18790],1,[],[24733],40,1,[],0,[],"",[],"",[],0
160,"PhysicalTakenAsRandomElement","[Physical] damage from [HitDamage|Hits] taken as damage of a Random Element","Dégâts [Physical|Physiques] subis au [HitDamage|Toucher] sous forme de Dégâts d'un Élément aléatoire","[Physical|Physischer] Schaden von [HitDamage|Treffern] erlitten als Schaden eines zufälligen Elements","[HitDamage|ヒット]による[Physical|物理]ダメージをランダムな元素ダメージとして受ける割合","[HitDamage|명중]당했을 때 무작위 원소 피해로 받는 [Physical|물리] 피해","Dano [Physical|Físico] dos [HitDamage|Ataques] é Sofrido como Dano Elemental Aleatório","Получаемый [Physical|физический] урон от [HitDamage|ударов] в виде урона от случайной стихии","<size:22>{Daño [Physical|físico] de los [HitDamage|impactos] recibido como daño de un elemento aleatorio}","ความเสียหาย [HitDamage|ปะทะ] [Physical|กายภาพ] ที่ได้รับที่เปลี่ยนเป็น ธาตุแบบสุ่ม","承受的[HitDamage|擊中][Physical|物理]傷害視為 1 種隨機元素傷害",[7934],1,[],[24733],40,1,[],0,[],"",[],"",[],0
161,"FireTakenAsPhysical","[Fire] damage from [HitDamage|Hits] taken as [Physical]","Dégâts de [Fire|Feu] subis au [HitDamage|Toucher] sous forme de Dégâts [Physical|Physiques]","[Fire|Feuer]schaden von [HitDamage|Treffern] erlitten als [Physical|physischen] Schaden","[HitDamage|ヒット]による[Fire|火]ダメージを[Physical|物理]ダメージとして受ける割合","[HitDamage|명중]당했을 때 [Physical|물리] 피해로 받는 [Fire|화염] 피해","Dano de [Fire|Fogo] dos [HitDamage|Ataques] é Sofrido como Dano [Physical|Físico]","Получаемый урон от [Fire|огня] от [HitDamage|ударов] в виде [Physical|физического] урона","Daño de [Fire|fuego] de los [HitDamage|impactos] recibido como [Physical|físico]","ความเสียหาย [HitDamage|ปะทะ] [Fire|ไฟ] ที่ได้รับที่เปลี่ยนเป็น [Physical|กายภาพ]","承受的[HitDamage|擊中][Fire|火焰]傷害視為[Physical|物理]傷害",[9336],1,[],[24733],40,1,[],0,[],"",[],"",[],0
162,"FireTakenAsCold","[Fire] damage from [HitDamage|Hits] taken as [Cold]","Dégâts de [Fire|Feu] subis au [HitDamage|Toucher] sous forme de Dégâts de [Cold|Froid]","[Fire|Feuer]schaden von [HitDamage|Treffern] erlitten als [Cold|Kälte]schaden","[HitDamage|ヒット]による[Fire|火]ダメージを[Cold|冷気]ダメージとして受ける割合","[HitDamage|명중]당했을 때 [Cold|냉기] 피해로 받는 [Fire|화염] 피해","Dano de [Fire|Fogo] dos [HitDamage|Ataques] é Sofrido como Dano de [Cold|Frio]","Получаемый урон от [Fire|огня] от [HitDamage|ударов] в виде урона от [Cold|холода]","Daño de [Fire|fuego] de los [HitDamage|impactos] recibido como [Cold|hielo]","ความเสียหาย [HitDamage|ปะทะ] [Fire|ไฟ] ที่ได้รับที่เปลี่ยนเป็น [Cold|น้ำแข็ง]","承受的[HitDamage|擊中][Fire|火焰]傷害視為[Cold|冰冷]傷害",[3218],1,[],[24733],40,1,[],0,[],"",[],"",[],0
163,"FireTakenAsLightning","[Fire] damage from [HitDamage|Hits] taken as [Lightning]","Dégâts de [Fire|Feu] subis au [HitDamage|Toucher] sous forme de Dégâts de [Lightning|Foudre]","[Fire|Feuer]schaden von [HitDamage|Treffern] erlitten als [Lightning|Blitz]schaden","[HitDamage|ヒット]による[Fire|火]ダメージを[Lightning|雷]ダメージとして受ける割合","[HitDamage|명중]당했을 때 [Lightning|번개] 피해로 받는 [Fire|화염] 피해","Dano de [Fire|Fogo] dos [HitDamage|Ataques] é Sofrido como Dano [Lightning|Elétrico]","Получаемый урон от [Fire|огня] от [HitDamage|ударов] в виде урона от [Lightning|молнии]","Daño de [Fire|fuego] de los [HitDamage|impactos] recibido como [Lightning|rayo]","ความเสียหาย [HitDamage|ปะทะ] [Fire|ไฟ] ที่ได้รับที่เปลี่ยนเป็น [Lightning|สายฟ้า]","承受的[HitDamage|擊中][Fire|火焰]傷害視為[Lightning|閃電]傷害",[3217],1,[],[24733],40,1,[],0,[],"",[],"",[],0
164,"FireTakenAsChaos","[Fire] damage from [HitDamage|Hits] taken as [Chaos]","Dégâts de [Fire|Feu] subis au [HitDamage|Toucher] sous forme de Dégâts de [Chaos|Chaos]","[Fire|Feuer]schaden von [HitDamage|Treffern] erlitten als [Chaos|Chaos]schaden","[HitDamage|ヒット]による[Fire|火]ダメージを[Chaos|混沌]ダメージとして受ける割合","[HitDamage|명중]당했을 때 [Chaos|카오스] 피해로 받는 [Fire|화염] 피해","Dano de [Fire|Fogo] dos [HitDamage|Ataques] é Sofrido como Dano de [Chaos|Caos]","Получаемый урон от [Fire|огня] от [HitDamage|ударов] в виде урона [Chaos|хаосом]","Daño de [Fire|fuego] de los [HitDamage|impactos] recibido como [Chaos|caos]","ความเสียหาย [HitDamage|ปะทะ] [Fire|ไฟ] ที่ได้รับที่เปลี่ยนเป็น [Chaos|เคออส]","承受的[HitDamage|擊中][Fire|火焰]傷害視為[Chaos|混沌]傷害",[2224],1,[],[24733],40,1,[],0,[],"",[],"",[],0
165,"ColdTakenAsFire","[Cold] damage from [HitDamage|Hits] taken as [Fire]","Dégâts de [Cold|Froid] subis au [HitDamage|Toucher] sous forme de Dégâts de [Fire|Feu]","[Cold|Kälte]schaden von [HitDamage|Treffern] erlitten als [Fire|Feuer]schaden","[HitDamage|ヒット]による[Cold|冷気]ダメージを[Fire|火]ダメージとして受ける割合","[HitDamage|명중]당했을 때 [Fire|화염] 피해로 받는 [Cold|냉기] 피해","Dano de [Cold|Frio] dos [HitDamage|Ataques] é Sofrido como Dano de [Fire|Fogo]","Получаемый урон от [Cold|холода] от [HitDamage|ударов] в виде урона от [Fire|огня]","Daño de [Cold|hielo] de los [HitDamage|impactos] recibido como [Fire|fuego]","ความเสียหาย [HitDamage|ปะทะ] [Cold|น้ำแข็ง] ที่ได้รับที่เปลี่ยนเป็น [Fire|ไฟ]","承受的[HitDamage|擊中][Cold|冰冷]傷害視為[Fire|火焰]傷害",[8912],1,[],[24733],40,1,[],0,[],"",[],"",[],0
166,"ColdTakenAsLightning","[Cold] damage from [HitDamage|Hits] taken as [Lightning]","Dégâts de [Cold|Froid] subis au [HitDamage|Toucher] sous forme de Dégâts de [Lightning|Foudre]","[Cold|Kälte]schaden von [HitDamage|Treffern] erlitten als [Lightning|Blitz]schaden","[HitDamage|ヒット]による[Cold|冷気]ダメージを[Lightning|雷]ダメージとして受ける割合","[HitDamage|명중]당했을 때 [Lightning|번개] 피해로 받는 [Cold|냉기] 피해","Dano de [Cold|Frio] dos [HitDamage|Ataques] é Sofrido como Dano [Lightning|Elétrico]","Получаемый урон от [Cold|холода] от [HitDamage|ударов] в виде урона от [Lightning|молнии]","Daño de [Cold|hielo] de los [HitDamage|impactos] recibido como [Lightning|rayo]","ความเสียหาย [HitDamage|ปะทะ] [Cold|น้ำแข็ง] ที่ได้รับที่เปลี่ยนเป็น [Lightning|สายฟ้า]","承受的[HitDamage|擊中][Cold|冰冷]傷害視為[Lightning|閃電]傷害",[3221],1,[],[24733],40,1,[],0,[],"",[],"",[],0
167,"ColdTakenAsChaos","[Cold] damage from [HitDamage|Hits] taken as [Chaos]","Dégâts de [Cold|Froid] subis au [HitDamage|Toucher] sous forme de Dégâts de [Chaos|Chaos]","[Cold|Kälte]schaden von [HitDamage|Treffern] erlitten als [Chaos|Chaos]schaden","[HitDamage|ヒット]による[Cold|冷気]ダメージを[Chaos|混沌]ダメージとして受ける割合","[HitDamage|명중]당했을 때 [Chaos|카오스] 피해로 받는 [Cold|냉기] 피해","Dano de [Cold|Frio] dos [HitDamage|Ataques] é Sofrido como Dano de [Chaos|Caos]","Получаемый урон от [Cold|холода] от [HitDamage|ударов] в виде урона [Chaos|хаосом]","Daño de [Cold|hielo] de los [HitDamage|impactos] recibido como [Chaos|caos]","ความเสียหาย [HitDamage|ปะทะ] [Cold|น้ำแข็ง] ที่ได้รับที่เปลี่ยนเป็น [Chaos|เคออส]","承受的[HitDamage|擊中][Cold|冰冷]傷害視為[Chaos|混沌]傷害",[2225],1,[],[24733],40,1,[],0,[],"",[],"",[],0
168,"LightningTakenAsFire","[Lightning] damage from [HitDamage|Hits] taken as [Fire]","Dégâts de [Lightning|Foudre] subis au [HitDamage|Toucher] sous forme de Dégâts de [Fire|Feu]","[Lightning|Blitz]schaden von [HitDamage|Treffern] erlitten als [Fire|Feuer]schaden","[HitDamage|ヒット]による[Lightning|雷]ダメージを[Fire|火]ダメージとして受ける割合","[HitDamage|명중]당했을 때 [Fire|화염] 피해로 받는 [Lightning|번개] 피해","Dano [Lightning|Elétrico] dos [HitDamage|Ataques] é Sofrido como Dano de [Fire|Fogo]","Получаемый урон от [Lightning|молнии] от [HitDamage|ударов] в виде урона от [Fire|огня]","Daño de [Lightning|rayo] de los [HitDamage|impactos] recibido como [Fire|fuego] ","ความเสียหาย [HitDamage|ปะทะ] [Lightning|สายฟ้า] ที่ได้รับที่เปลี่ยนเป็น [Fire|ไฟ]","承受的[HitDamage|擊中][Lightning|閃電]傷害視為[Fire|火焰]傷害",[8911],1,[],[24733],40,1,[],0,[],"",[],"",[],0
169,"LightningTakenAsCold","[Lightning] damage from [HitDamage|Hits] taken as [Cold]","Dégâts de [Lightning|Foudre] subis au [HitDamage|Toucher] sous forme de Dégâts de [Cold|Froid]","[Lightning|Blitz]schaden von [HitDamage|Treffern] erlitten als [Cold|Kälte]schaden","[HitDamage|ヒット]による[Lightning|雷]ダメージを[Cold|冷気]ダメージとして受ける割合","[HitDamage|명중]당했을 때 [Cold|냉기] 피해로 받는 [Lightning|번개] 피해","Dano [Lightning|Elétrico] dos [HitDamage|Ataques] é Sofrido como Dano de [Cold|Frio]","Получаемый урон от [Lightning|молнии] от [HitDamage|ударов] в виде урона от [Cold|холода]","Daño de [Lightning|rayo] de los [HitDamage|impactos] recibido como [Cold|hielo]","ความเสียหาย [HitDamage|ปะทะ] [Lightning|สายฟ้า] ที่ได้รับที่เปลี่ยนเป็น [Cold|น้ำแข็ง]","承受的[HitDamage|擊中][Lightning|閃電]傷害視為[Cold|冰冷]傷害",[3219],1,[],[24733],40,1,[],0,[],"",[],"",[],0
170,"LightningTakenAsChaos","[Lightning] damage from [HitDamage|Hits] taken as [Chaos]","Dégâts de [Lightning|Foudre] subis au [HitDamage|Toucher] sous forme de Dégâts de [Chaos|Chaos]","[Lightning|Blitz]schaden von [HitDamage|Treffern] erlitten als [Chaos|Chaos]schaden","[HitDamage|ヒット]による[Lightning|雷]ダメージを[Chaos|混沌]ダメージとして受ける割合","[HitDamage|명중]당했을 때 [Chaos|카오스] 피해로 받는 [Lightning|번개] 피해","Dano [Lightning|Elétrico] dos [HitDamage|Ataques] é Sofrido como Dano de [Chaos|Caos]","Получаемый урон от [Lightning|молнии] от [HitDamage|ударов] в виде урона [Chaos|хаосом]","Daño de [Lightning|rayo] de los [HitDamage|impactos] recibido como [Chaos|caos]","ความเสียหาย [HitDamage|ปะทะ] [Lightning|สายฟ้า] ที่ได้รับที่เปลี่ยนเป็น [Chaos|เคออส]","承受的[HitDamage|擊中][Lightning|閃電]傷害視為[Chaos|混沌]傷害",[2226],1,[],[24733],40,1,[],0,[],"",[],"",[],0
171,"DamageTaken","Damage taken modifier","Modificateur de Dégâts subis","Modifikator für erlittenen Schaden","受けるダメージモッド","받는 피해 속성","Modificador de Dano Sofrido","Модификатор получаемого урона","Modificador del daño recibido","ม็อดความเสียหายที่ได้รับ","承受傷害修正",[2242],7,"[9958,9956]",[24733],40,1,[],0,[],"",[],"",[],0
172,"DamageTakenFinal","Damage taken modifier","Modificateur de Dégâts subis","Modifikator für erlittenen Schaden","受けるダメージモッド","받는 피해 속성","Modificador de Dano Sofrido","Модификатор получаемого урона","Modificador del daño recibido","ม็อดความเสียหายที่ได้รับ","承受傷害修正",[6081],8,"[9961,9959]",[24733],40,1,[],0,[],"",[],"",[],0
173,"DamageTakenWhenHit","Damage taken when [HitDamage|Hit] modifier","Modificateur de Dégâts subis lorsque vous êtes [HitDamage|Touché]","Modifikator für erlittenen Schaden bei [HitDamage|Treffer]","[HitDamage|ヒット]を受けた時に受けるダメージモッド","[HitDamage|명중]당했을 때 받는 피해 속성","Modificador de Dano Sofrido ao Sofrer um [HitDamage|Ataque]","Модификатор получаемого урона от [HitDamage|ударов]","Modificador del daño recibido cuando recibes un [HitDamage|impacto]","ม็อดความเสียหายที่ได้รับเมื่อถูก[HitDamage|ปะทะ]","承受[HitDamage|擊中]傷害修正",[9951],7,[9956],"[9958,24733]",40,1,[],0,[],"",[],"",[],0
174,"DamageTakenWhenHitFinal","Damage taken when [HitDamage|Hit] modifier","Modificateur de Dégâts subis lorsque vous êtes [HitDamage|Touché]","Modifikator für erlittenen Schaden bei [HitDamage|Treffer]","[HitDamage|ヒット]を受けた時に受けるダメージモッド","[HitDamage|명중]당했을 때 받는 피해 속성","Modificador de Dano Sofrido ao Sofrer um [HitDamage|Ataque]","Модификатор получаемого урона от [HitDamage|ударов]","Modificador del daño recibido cuando recibes un [HitDamage|impacto]","ม็อดความเสียหายที่ได้รับเมื่อถูก[HitDamage|ปะทะ]","承受[HitDamage|擊中]傷害修正",[9842],8,[9959],"[9961,24733]",40,1,[],0,[],"",[],"",[],0
175,"DamageTakenOverTime","Damage taken over time modifier","Modificateur de Dégâts subis sur la durée","Modifikator für erlittenen Schaden über Zeit","受ける継続ダメージモッド","지속 피해 속성","Modificador de Dano Degenerativo Sofrido","Модификатор получаемого постепенного урона","Modificador del daño degenerativo recibido","ม็อดความเสียหายต่อเนื่องที่ได้รับ","承受持續傷害修正",[9854],7,[9957],"[9958,24733]",40,1,[],0,[],"",[],"",[],0
176,"DamageTakenOverTimeFinal","Damage taken over time modifier","Modificateur de Dégâts subis sur la durée","Modifikator für erlittenen Schaden über Zeit","受ける継続ダメージモッド","지속 피해 속성","Modificador de Dano Degenerativo Sofrido","Модификатор получаемого постепенного урона","Modificador del daño degenerativo recibido","ม็อดความเสียหายต่อเนื่องที่ได้รับ","承受持續傷害修正",[9841],8,[9960],"[9961,24733]",40,1,[],0,[],"",[],"",[],0
177,"PhysicalDamageTaken","[Physical] damage taken modifier","Modificateur de Dégâts [Physical|Physiques] subis","Modifikator für erlittenen [Physical|physischen] Schaden","受ける[Physical|物理]ダメージモッド","받는 [Physical|물리] 피해 속성","Modificador de Dano [Physical|Físico] Sofrido","Модификатор получаемого [Physical|физического] урона","Modificador del daño [Physical|físico] recibido","ม็อดความเสียหาย [Physical|กายภาพ] ที่ได้รับ","承受[Physical|物理]傷害修正",[3441],7,[9958],"[9956,24733]",40,1,[],0,[],"",[],"",[],0
178,"PhysicalDamageTakenFinal","[Physical] damage taken modifier","Modificateur de Dégâts [Physical|Physiques] subis","Modifikator für erlittenen [Physical|physischen] Schaden","受ける[Physical|物理]ダメージモッド","받는 [Physical|물리] 피해 속성","Modificador de Dano [Physical|Físico] Sofrido","Модификатор получаемого [Physical|физического] урона","Modificador del daño [Physical|físico] recibido","ม็อดความเสียหาย [Physical|กายภาพ] ที่ได้รับ","承受[Physical|物理]傷害修正",[9841],8,[9961],"[9959,24733]",40,1,[],0,[],"",[],"",[],0
179,"PhysicalDamageTakenWhenHit","[Physical] damage taken when [HitDamage|Hit] modifier","Modificateur de Dégâts [Physical|Physiques] subis lorsque vous êtes [HitDamage|Touché]","Modifikator für erlittenen [Physical|physischen] Schaden bei [HitDamage|Treffer]","[HitDamage|ヒット]を受けた時に受ける[Physical|物理]ダメージモッド","[HitDamage|명중]당했을 때 받는 [Physical|물리] 피해 속성","Modificador de Dano [Physical|Físico] Sofrido ao Sofrer um [HitDamage|Ataque]","Модификатор получаемого [Physical|физического] урона от [HitDamage|ударов]","Modificador del daño [Physical|físico] recibido cuando recibes un [HitDamage|impacto]","ม็อดความเสียหาย [HitDamage|ปะทะ] [Physical|กายภาพ] ที่ได้รับ","承受[HitDamage|擊中][Physical|物理]傷害修正",[9951],7,[],"[9956,9958,24733]",40,1,[],0,[],"",[],"",[],0
180,"PhysicalDamageTakenWhenHitFinal","[Physical] damage taken when [HitDamage|Hit] modifier","Modificateur de Dégâts [Physical|Physiques] subis lorsque vous êtes [HitDamage|Touché]","Modifikator für erlittenen [Physical|physischen] Schaden bei [HitDamage|Treffer]","[HitDamage|ヒット]を受けた時に受ける[Physical|物理]ダメージモッド","[HitDamage|명중]당했을 때 받는 [Physical|물리] 피해 속성","Modificador de Dano [Physical|Físico] Sofrido ao Sofrer um [HitDamage|Ataque]","Модификатор получаемого [Physical|физического] урона от [HitDamage|ударов]","Modificador del daño [Physical|físico] recibido cuando recibes un [HitDamage|impacto]","ม็อดความเสียหาย [HitDamage|ปะทะ] [Physical|กายภาพ] ที่ได้รับ","承受[HitDamage|擊中][Physical|物理]傷害修正",[9842],8,[],"[9959,9961,24733]",40,1,[],0,[],"",[],"",[],0
181,"PhysicalDamageTakenOverTime","[Physical] damage taken over time modifier","Modificateur de Dégâts [Physical|Physiques] subis sur la durée","Modifikator für erlittenen [Physical|physischen] Schaden über Zeit","受ける[Physical|物理]継続ダメージモッド","[Physical|물리] 지속 피해 속성","Modificador de Dano [Physical|Físico] Degenerativo Sofrido","Модификатор получаемого постепенного [Physical|физического] урона","Modificador del daño [Physical|físico] degenerativo recibido","ม็อดความเสียหาย [Physical|กายภาพ] ต่อเนื่อง ที่ได้รับ","承受[Physical|物理]持續傷害修正",[9854],7,[],"[9957,9958,24733]",40,1,[],0,[],"",[],"",[],0
182,"PhysicalDamageTakenOverTimeFinal","[Physical] damage taken over time modifier","Modificateur de Dégâts [Physical|Physiques] subis sur la durée","Modifikator für erlittenen [Physical|physischen] Schaden über Zeit","受ける[Physical|物理]継続ダメージモッド","[Physical|물리] 지속 피해 속성","Modificador de Dano [Physical|Físico] Degenerativo Sofrido","Модификатор получаемого постепенного [Physical|физического] урона","Modificador del daño [Physical|físico] degenerativo recibido","ม็อดความเสียหาย [Physical|กายภาพ] ต่อเนื่อง ที่ได้รับ","承受[Physical|物理]持續傷害修正",[9841],8,[],"[9960,9961,24733]",40,1,[],0,[],"",[],"",[],0
183,"FireDamageTaken","[Fire] damage taken modifier","Modificateur de Dégâts de [Fire|Feu]subis","Modifikator für erlittenen [Fire|Feuer]schaden","受ける[Fire|火]ダメージモッド","받는 [Fire|화염] 피해 속성","Modificador de Dano de [Fire|Fogo] Sofrido","Модификатор получаемого урона от [Fire|огня]","Modificador del daño de [Fire|fuego] recibido","ม็อดความเสียหาย [Fire|ไฟ] ที่ได้รับ","承受[Fire|火焰]傷害修正",[5256],7,[9958],"[9956,24733]",40,1,[],0,[],"",[],"",[],0
184,"FireDamageTakenFinal","[Fire] damage taken modifier","Modificateur de Dégâts de [Fire|Feu] subis","Modifikator für erlittenen [Fire|Feuer]schaden","受ける[Fire|火]ダメージモッド","받는 [Fire|화염] 피해 속성","Modificador de Dano de [Fire|Fogo] Sofrido","Модификатор получаемого урона от [Fire|огня]","Modificador del daño de [Fire|fuego] recibido","ม็อดความเสียหาย [Fire|ไฟ] ที่ได้รับ","承受[Fire|火焰]傷害修正",[9847],8,[9961],"[9959,24733]",40,1,[],0,[],"",[],"",[],0
185,"FireDamageTakenWhenHit","[Fire] damage taken when [HitDamage|Hit] modifier","Modificateur de Dégâts de [Fire|Feu] subis lorsque vous êtes [HitDamage|Touché]","Modifikator für erlittenen [Fire|Feuer]schaden bei [HitDamage|Treffer]","[HitDamage|ヒット]を受けた時に受ける[Fire|火]ダメージモッド","[HitDamage|명중]당했을 때 받는 [Fire|화염] 피해 속성","Modificador de Dano de [Fire|Fogo] Sofrido ao Sofrer um [HitDamage|Ataque]","Модификатор получаемого урона от [Fire|огня] от [HitDamage|ударов]","Modificador del daño de [Fire|fuego] recibido cuando recibes un [HitDamage|impacto]","ม็อดความเสียหาย [HitDamage|ปะทะ] [Fire|ไฟ] ที่ได้รับ","承受[HitDamage|擊中][Fire|火焰]傷害修正",[9954],7,[],"[9956,9958,24733]",40,1,[],0,[],"",[],"",[],0
186,"FireDamageTakenWhenHitFinal","[Fire] damage taken when [HitDamage|Hit] modifier","Modificateur de Dégâts de [Fire|Feu] subis lorsque vous êtes [HitDamage|Touché]","Modifikator für erlittenen [Fire|Feuer]schaden bei [HitDamage|Treffer]","[HitDamage|ヒット]を受けた時に受ける[Fire|火]ダメージモッド","[HitDamage|명중]당했을 때 받는 [Fire|화염] 피해 속성","Modificador de Dano de [Fire|Fogo] Sofrido ao Sofrer um [HitDamage|Ataque]","Модификатор получаемого урона от [Fire|огня] от [HitDamage|ударов]","Modificador del daño de [Fire|fuego] recibido cuando recibes un [HitDamage|impacto]","ม็อดความเสียหาย [HitDamage|ปะทะ] [Fire|ไฟ] ที่ได้รับ","承受[HitDamage|擊中][Fire|火焰]傷害修正",[9848],8,[],"[9959,9961,24733]",40,1,[],0,[],"",[],"",[],0
187,"FireDamageTakenOverTime","[Fire] damage taken over time modifier","Modificateur de Dégâts de [Fire|Feu] subis sur la durée","Modifikator für erlittenen [Fire|Feuer]schaden über Zeit","受ける[Fire|火]継続ダメージモッド","지속 [Fire|화염] 피해 속성","Modificador de Dano de [Fire|Fogo] Degenerativo Sofrido","Модификатор получаемого постепенного урона от [Fire|огня]","Modificador del daño de [Fire|fuego] degenerativo recibido","ม็อดความเสียหาย [Fire|ไฟ] ต่อเนื่อง ที่ได้รับ","承受[Fire|火焰]持續傷害修正",[9857],7,[],"[9957,9958,24733]",40,1,[],0,[],"",[],"",[],0
188,"FireDamageTakenOverTimeFinal","[Fire] damage taken over time modifier","Modificateur de Dégâts de [Fire|Feu] subis sur la durée","Modifikator für erlittenen [Fire|Feuer]schaden über Zeit","受ける[Fire|火]継続ダメージモッド","지속 [Fire|화염] 피해 속성","Modificador de Dano de [Fire|Fogo] Degenerativo Sofrido","Модификатор получаемого постепенного урона от [Fire|огня]","Modificador del daño de [Fire|fuego] degenerativo recibido","ม็อดความเสียหาย [Fire|ไฟ] ต่อเนื่อง ที่ได้รับ","承受[Fire|火焰]持續傷害修正",[9847],8,[],"[9960,9961,24733]",40,1,[],0,[],"",[],"",[],0
