"rownum","GroundEffectTypesKey","i32_16","i32_20","BuffVisual1","f32_40","[i32]_44","bool_60","AOFile","[string]_77","EndEffect","BuffVisual2","MiscObject1","MiscObject2","rid_149","rid_165","bool_181","bool_182","bool_183","BuffVisual3","rid_200","bool_216","bool_217","bool_218","Animation"
125,5,0,2,"",120,[],"","[""Metadata/Effects/Spells/ground_effects_v2/desecrated/desecration_01.ao"",""Metadata/Effects/Spells/ground_effects_v2/desecrated/desecration_02.ao"",""Metadata/Effects/Spells/ground_effects_v2/desecrated/desecration_03.ao"",""Metadata/Effects/Spells/ground_effects_v2/desecrated/desecration_04.ao"",""Metadata/Effects/Spells/ground_effects_v2/desecrated/desecration_05.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
126,5,1,1,"",0,[],"","[""Metadata/Effects/Spells/ground_effects/evil_red/evil_01.ao"",""Metadata/Effects/Spells/ground_effects/evil_red/evil_02.ao"",""Metadata/Effects/Spells/ground_effects/evil_red/evil_03.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
127,5,1,2,"",120,[],"","[""Metadata/Effects/Spells/ground_effects_v2/desecrated_red/desecration_red_01.ao"",""Metadata/Effects/Spells/ground_effects_v2/desecrated_red/desecration_red_02.ao"",""Metadata/Effects/Spells/ground_effects_v2/desecrated_red/desecration_red_03.ao"",""Metadata/Effects/Spells/ground_effects_v2/desecrated_red/desecration_red_04.ao"",""Metadata/Effects/Spells/ground_effects_v2/desecrated_red/desecration_red_05.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
128,5,2,1,"",0,[],"","[""Metadata/Effects/Spells/monsters_effects/act4/maligaro/desecrate_ground/ground_01.ao"",""Metadata/Effects/Spells/monsters_effects/act4/maligaro/desecrate_ground/ground_02.ao"",""Metadata/Effects/Spells/monsters_effects/act4/maligaro/desecrate_ground/ground_03.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
129,5,2,2,"",120,[],"","[""Metadata/Effects/Spells/ground_effects_v2/desecrated_maligaro/desecration_maligaro_01.ao"",""Metadata/Effects/Spells/ground_effects_v2/desecrated_maligaro/desecration_maligaro_02.ao"",""Metadata/Effects/Spells/ground_effects_v2/desecrated_maligaro/desecration_maligaro_03.ao"",""Metadata/Effects/Spells/ground_effects_v2/desecrated_maligaro/desecration_maligaro_04.ao"",""Metadata/Effects/Spells/ground_effects_v2/desecrated_maligaro/desecration_maligaro_05.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
130,5,3,2,"",150,[],"","[""Metadata/Effects/Microtransactions/Spells/desecrate_stygian/ground.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
131,5,4,2,"",150,[],"","[""Metadata/Effects/Microtransactions/Spells/void_desecrate/ground.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
132,5,1000,2,"",125,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act2_FOUR/PerennialKing/ao/corruption_grd.ao""]","[""loop""]","fadeout","",159,"","","","","","","","","","","",""
133,6,0,1,"",150,"[24,10,3]","","[""Metadata/Effects/Spells/ground_effects/holy/ground_01.ao"",""Metadata/Effects/Spells/ground_effects/holy/ground_02.ao"",""Metadata/Effects/Spells/ground_effects/holy/ground_03.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
134,6,0,2,"",160,[],"","[""Metadata/Effects/Spells/grd_Zones/grd_Consecrated.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
135,6,1,2,"",110,[],"","[""Metadata/Effects/Spells/Masters/Elreon/consecrated_ground/consecrated_ground_01.ao"",""Metadata/Effects/Spells/Masters/Elreon/consecrated_ground/consecrated_ground_02.ao"",""Metadata/Effects/Spells/Masters/Elreon/consecrated_ground/consecrated_ground_03.ao"",""Metadata/Effects/Spells/Masters/Elreon/consecrated_ground/consecrated_ground_04.ao"",""Metadata/Effects/Spells/Masters/Elreon/consecrated_ground/consecrated_ground_05.ao""]","[""loop""]","fadeout",1161,"","","","","","","","","","","","",""
136,6,2,2,1028,110,[],"","[""Metadata/Effects/Spells/ground_effects_v2/consecrated_stygian/consecrated_01.ao"",""Metadata/Effects/Spells/ground_effects_v2/consecrated_stygian/consecrated_02.ao"",""Metadata/Effects/Spells/ground_effects_v2/consecrated_stygian/consecrated_03.ao"",""Metadata/Effects/Spells/ground_effects_v2/consecrated_stygian/consecrated_04.ao"",""Metadata/Effects/Spells/ground_effects_v2/consecrated_stygian/consecrated_05.ao""]","[""loop""]","fadeout","","","","","","","","",1028,"","","","",""
137,6,3,2,1659,150,[],"","[""Metadata/Effects/Microtransactions/Spells/holy_path/celestial/consecrated_01.ao""]","[""loop""]","fadeout","","","","","","","","",1659,"","","","",""
138,6,4,2,"",150,[],"","[""Metadata/Effects/Microtransactions/Spells/ground_effects/archnemesis/archunholy_ground.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
139,3,0,1,"",40,[],"","[""Metadata/Effects/Spells/ground_effects/tar/rig.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
140,3,0,2,"",100,[],"","[""Metadata/Effects/Spells/ground_effects_v2/tar/targround_01.ao"",""Metadata/Effects/Spells/ground_effects_v2/tar/targround_02.ao"",""Metadata/Effects/Spells/ground_effects_v2/tar/targround_03.ao"",""Metadata/Effects/Spells/ground_effects_v2/tar/targround_04.ao"",""Metadata/Effects/Spells/ground_effects_v2/tar/targround_05.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
141,3,1,1,"",40,[],"","[""Metadata/Effects/Spells/ground_effects/tar/goldtar_rig.ao""]","[""loop""]","fadeout",727,"","","","","",1,"","","","","","",""
142,3,1,2,"",100,[],"","[""Metadata/Effects/Spells/ground_effects_v2/tar_gold/targround_gold_01.ao"",""Metadata/Effects/Spells/ground_effects_v2/tar_gold/targround_gold_02.ao"",""Metadata/Effects/Spells/ground_effects_v2/tar_gold/targround_gold_03.ao"",""Metadata/Effects/Spells/ground_effects_v2/tar_gold/targround_gold_04.ao"",""Metadata/Effects/Spells/ground_effects_v2/tar_gold/targround_gold_05.ao""]","[""loop""]","fadeout",727,"","","","","",1,"","","","","","",""
143,3,2,1,"",83.5,[],"","[""Metadata/Effects/Spells/monsters_effects/act5/slave_catcher/net_throw/net.ao""]","[""loop""]","fadeout",771,"","","","","",1,"","","","","","",""
144,3,3,2,"",100,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Heist/cultist/yellow_grd.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
145,3,4,2,"",140,[],"","[""Metadata/Effects/Spells/monsters_effects/AtlasofWorldsBosses/DoomPersonified/ao/submerge_ground_travel.ao""]","[""idle""]","end","","","","","","",1,"","","","","","",""
146,3,5,2,"",140,[],"","[""Metadata/Effects/Spells/monsters_effects/AtlasofWorldsBosses/DoomPersonified/ao/submerge_emerge.ao""]","[""idle""]","end","","","","","","",1,"","","","","","",""
147,3,6,2,"",150,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Azmeri/monsters/PictFemaleStaff/swamp_pool.ao""]","[""loop""]","end",2314,"",449,"","","",1,"","","","","","",""
148,3,7,2,"",150,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Azmeri/monsters/PictFemaleStaff/swamp_pool.ao""]","[""loop""]","end",2314,"",450,"","","",1,"","","","","","",""
149,3,1001,2,2248,200,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act3_FOUR/VaalGoliath/ao/debuff.ao""]","[""loop""]","end","","",492,"","","",1,"","","","","","",""
150,3,1002,2,851,100,[],"","[""Metadata/Effects/Spells/ground_effects/invisground/rig.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
151,3,1003,2,2782,90,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Expedition_New/HoneyAnt/honeypuddle.ao""]","[""idle""]","fadeout","","",1088,"","","",1,"","","","","","",""
152,12,0,1,"",120,[],"","[""Metadata/Effects/Spells/ground_effects/malachai_sporeground/spore_01.ao"",""Metadata/Effects/Spells/ground_effects/malachai_sporeground/spore_01.ao"",""Metadata/Effects/Spells/ground_effects/malachai_sporeground/spore_01.ao"",""Metadata/Effects/Spells/ground_effects/malachai_sporeground/spore_01.ao"",""Metadata/Effects/Spells/ground_effects/malachai_sporeground/spore_02.ao"",""Metadata/Effects/Spells/ground_effects/malachai_sporeground/spore_02.ao"",""Metadata/Effects/Spells/ground_effects/malachai_sporeground/spore_02.ao"",""Metadata/Effects/Spells/ground_effects/malachai_sporeground/spore_02.ao"",""Metadata/Effects/Spells/ground_effects/malachai_sporeground/spore_03.ao"",""Metadata/Effects/Spells/ground_effects/malachai_sporeground/spore_03.ao"",""Metadata/Effects/Spells/ground_effects/malachai_sporeground/spore_03.ao"",""Metadata/Effects/Spells/ground_effects/malachai_sporeground/spore_03.ao""]","[""loop"",""loop01"",""loop02"",""loop03""]","fadeout","","","","","","",1,"","","","","","",""
153,12,1,1,"",85,[],"","[""Metadata/Effects/Spells/ground_effects/elderfied/slimes1.ao"",""Metadata/Effects/Spells/ground_effects/elderfied/slimes2.ao"",""Metadata/Effects/Spells/ground_effects/elderfied/slimes3.ao""]","[""loop""]","fadeout",928,"","","","","",1,"","","","","","",""
154,12,1000,2,"",100,[],"","[""Metadata/Effects/Spells/ground_effects_v2/tar/targround_01.ao"",""Metadata/Effects/Spells/ground_effects_v2/tar/targround_02.ao"",""Metadata/Effects/Spells/ground_effects_v2/tar/targround_03.ao"",""Metadata/Effects/Spells/ground_effects_v2/tar/targround_04.ao"",""Metadata/Effects/Spells/ground_effects_v2/tar/targround_05.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
155,2,0,2,"",225,[],"","[""Metadata/Effects/Spells/ground_effects_v3/caustic/acidic_ground.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
156,2,1,2,1987,150,[],1,"[""Metadata/Effects/Microtransactions/Spells/poison_arrow/rig.ao""]","[""cloudstuff""]","cloudbegone","","","","","","",1,"","","","","","",""
157,2,2,1,"",100,"[4,2,1]",1,"[""Metadata/Effects/Spells/ground_effects/caustic/caustic_01_fast.ao"",""Metadata/Effects/Spells/ground_effects/caustic/caustic_02_fast.ao"",""Metadata/Effects/Spells/ground_effects/caustic/caustic_03_fast.ao""]",[],"fadeout","","","","","","",1,"","","","","","",""
158,2,2,2,"",100,[],1,"[""Metadata/Effects/Spells/ground_effects_v2/caustic_arrow_ground/caustic_arrow_01.ao"",""Metadata/Effects/Spells/ground_effects_v2/caustic_arrow_ground/caustic_arrow_02.ao"",""Metadata/Effects/Spells/ground_effects_v2/caustic_arrow_ground/caustic_arrow_03.ao"",""Metadata/Effects/Spells/ground_effects_v2/caustic_arrow_ground/caustic_arrow_04.ao"",""Metadata/Effects/Spells/ground_effects_v2/caustic_arrow_ground/caustic_arrow_05.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
159,2,3,2,1987,185,[],1,"[""Metadata/Effects/Spells/ground_effects/caustic/poison_ground.ao""]","[""cloudstuff""]","cloudbegone","","","","","","",1,"","","","","","",""
160,2,4,1,"",120,[],1,"[""Metadata/Effects/Spells/monsters_effects/act7/Ryslatha/poison_flamethrower/impact/rig.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
161,2,5,1,"",120,[],1,"[""Metadata/Effects/Spells/ground_effects/caustic/poison_ground_bright_green.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
162,2,6,2,"",120,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/attacks/pipe_break/caustic_ground/caustic_01.ao"",""Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/attacks/pipe_break/caustic_ground/caustic_02.ao"",""Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/attacks/pipe_break/caustic_ground/caustic_03.ao"",""Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/attacks/pipe_break/caustic_ground/caustic_04.ao"",""Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/attacks/pipe_break/caustic_ground/caustic_05.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
163,2,7,2,"",185,[],1,"[""Metadata/Effects/Microtransactions/Spells/caustic_arrow/celestial/celestial_caustic_ground_01.ao"",""Metadata/Effects/Microtransactions/Spells/caustic_arrow/celestial/celestial_caustic_ground_02.ao"",""Metadata/Effects/Microtransactions/Spells/caustic_arrow/celestial/celestial_caustic_ground_04.ao"",""Metadata/Effects/Microtransactions/Spells/caustic_arrow/celestial/celestial_caustic_ground_04.ao"",""Metadata/Effects/Microtransactions/Spells/caustic_arrow/celestial/celestial_caustic_ground_05.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
164,2,8,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/LeagueHarvest/harvest_monsters/ground_effects/caustic_spores.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
165,2,9,2,1443,250,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Heist/cultist/caustic_ground.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
166,2,10,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Archnemesis/ground_effects/calamity_of_plagues.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
167,2,11,2,"",115,[],1,"[""Metadata/Effects/Spells/monsters_effects/AtlasofWorldsBosses/Doom_Minions/ao/fodder2_death_grd.ao""]","[""idle""]","end","","","","","","",1,"","","","","","",""
168,2,12,2,1938,250,[],1,"[""Metadata/Effects/Microtransactions/Spells/alchemists_mark/sunprism/acid_ground.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
169,2,13,2,1940,100,[],1,"[""Metadata/Effects/Microtransactions/Spells/caustic_arrow/oblivion/decal.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
170,2,14,2,"",200,[],1,"[""Metadata/Effects/Spells/caustic_arrow_02/VaalCausticArrow/acidic_groundtrl.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
171,2,15,2,1987,200,[],1,"[""Metadata/Effects/Microtransactions/Spells/poison_arrow/acidic_groundtrl.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
172,2,16,2,"",200,[],1,"[""Metadata/Effects/Spells/vaal_skills/caustic_arrow/celestial/acidic_groundtrl.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
173,2,17,2,1940,200,[],1,"[""Metadata/Effects/Microtransactions/Spells/caustic_arrow/oblivion/vaal_decal.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
174,2,1000,2,"",180,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act1_FOUR/MudBurrower/acidic_ground.ao""]","[""loop""]","fadeout","","","","","","",1,1,"","",1,"","",""
175,2,1001,2,2033,200,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act2_FOUR/MaggotHusks/groundeffect.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
176,2,1002,2,1443,100,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act2_FOUR/MaraKethZombie/cloud_ground.ao""]","[""loop""]","end","","","","","","",1,"","","",1,1,"",""
177,2,1003,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act3_FOUR/CannibalShaman/ao/caustic_grd.ao""]","[""idle""]","end","","","","","","",1,"","","",1,1,"",""
178,2,1004,2,"",150,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act3_FOUR/CrazySnakeLady/ao/controlled_spit_grd.ao""]","[""idle""]","end","","","","","","",1,"","","","","","",""
179,2,1005,2,"",190,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act3_FOUR/ViperLegionaire/RoA_GasGround.ao""]","[""idle""]","end","","","","","","",1,"","","",1,1,"",""
180,2,1006,2,"",140,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act3_FOUR/CenobiteLeash/ao/Poison_MortarBurst_Grd.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",1,1,"",""
181,2,1007,2,1445,65,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act3_FOUR/SpittingSnake/ao/causticpool.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
182,2,1008,2,1444,150,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act3_FOUR/IllFatedExplorer/ao/death_spores.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",1,1,"",""
183,2,1009,2,"",150,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act4_FOUR/SulphurBoss/ao/gas_degen.ao""]","[""idle""]","end","","","","","","",1,"","","","","","",""
184,2,1010,2,"",250,[],"","[""Metadata/Effects/Spells/monsters_effects/Act4_FOUR/BloodfeveredDrunk/ao/vomit_bloodfever_puddle.ao""]","[""idle""]","fadeout_01","","","","","","",1,"","","",1,1,"",""
185,2,1011,2,"",80,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act4_FOUR/SulphurBoss/ao/gas_degen.ao""]","[""idle""]","end","","","","","","",1,"","","","","","",""
186,2,1012,2,"",250,[],"","[""Metadata/Effects/Spells/monsters_effects/Act4_FOUR/BloodfeveredDrunk/ao/death_bloodfever_puddle.ao""]","[""idle""]","fadeout_01","","","","","","",1,"","","",1,1,"",""
187,2,1013,2,2173,140,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act5_FOUR/BagLady/ao/bagslam_poison_ground.ao""]","[""idle""]","fadeout","","","","","","",1,"","","","","","",""
188,2,1014,2,"",80,[],"","[""Metadata/Effects/Spells/monsters_effects/Act5_FOUR/CreepingHuman/tendrils_decal.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
189,2,1015,2,"",220,[],"","[""Metadata/Effects/Spells/monsters_effects/Act3_FOUR/Chimera/ao/acidic_ground.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
190,2,1016,2,1446,300,[],"","[""Metadata/Effects/Spells/monsters_effects/Act4_FOUR/StarFish/ao/gas_cloud.ao""]","[""loop""]","end","","","","","","",1,"","","","",1,"",""
191,2,1017,2,2173,90,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act5_FOUR/MidWifeandBaby/bigbaby/vomit_grd.ao""]","[""idle""]","fadeout","","","","","","","","","","",1,1,"",""
192,2,1018,2,2173,160,[],"","[""Metadata/Effects/Spells/monsters_effects/Act2_FOUR/RudjaDreadEngineer/poison_gas_aoe.ao""]","[""idle""]","fadeout","","","","","","","","","","",1,1,"",""
193,2,1019,1,"",200,[],"","[""Metadata/Effects/Spells/ground_effects/invisground/rig.ao""]","[""loop""]","fadeout",2358,"","","","","",1,1,"","","","","",""
194,2,1020,2,"",130,[],"","[""Metadata/Effects/Spells/monsters_effects/Act3_FOUR/ViperNapuatzi/ao/spear_aura/spear_aura.ao""]","[""loop""]","fadeout","","","","","","","","","","",1,1,"",""
195,2,1021,2,"",75,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Azmeri/monster_fx/vodoo_king_boss/rat_plague.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",1,1,"",""
196,2,1022,2,1443,90,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act5_FOUR/MidWifeandBaby/bigbaby/vomit_grd.ao""]","[""idle""]","fadeout","","","","","","","","","","",1,1,"",""
197,2,1023,2,"",70,[],"","[""Metadata/Effects/Spells/monsters_effects/Act3_FOUR/ViperNapuatzi/ao/spear_dash_bwd/poison_spit_impact.ao""]","[""gas_loop""]","fade_out","","","","","","","","","","","","","",""
198,2,1024,2,1444,350,[],"","[""Metadata/Effects/Spells/monsters_effects/Act3_FOUR/MushroomFungus/ao/vacuum_breath_grd.ao""]","[""idle""]","fadeout","","","","","","","","","","",1,1,"",""
199,2,1025,2,"",100,[],"","[""Metadata/Effects/Spells/monsters_effects/Act3_FOUR/QueenOfFilth/ao/double_slam/poop_ground.ao""]","[""loop""]","fade_out","","","","","","","","","","","",1,"",""
200,2,1026,2,"",62,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Sanctum/Shakari/poison_grd_01.ao""]","[""idle_01""]","fadeout_01","","","","","","","","","","",1,1,"",""
201,2,1027,2,"",200,[],"","[""Metadata/Effects/Spells/crossbow_toxic_grenade/toxic_cloud.ao""]","[""toxic_cloud""]","end","","","","","","","","","","","","","",""
202,2,1028,2,2173,155,[],"","[""Metadata/Effects/Spells/monsters_effects/Act2_FOUR/VultureRegurgitator/gas_cloud.ao""]","[""loop""]","fadeout","","","","","","","","","","",1,1,"",""
203,2,1029,2,2173,100,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Ultimatum/general_combat/chaosgod_bat/poison_gas_grd.ao""]","[""Loop""]","End","","","","","","","","","","",1,1,"",""
204,2,1030,2,"",100,[],"","[""Metadata/Effects/Spells/monsters_effects/sanctified/SanctifiedMonstrosity/groundtrail_01.ao""]","[""groundtrail""]","end","","","","","","","","","","","","","",""
205,2,1031,2,1986,160,[],"","[""Metadata/Effects/Spells/monsters_effects/Act4_FOUR/Yama/AOs/EyeSlamGroundEffect.ao""]","[""Loop""]","End","","","","","","","","","","","","","",""
206,2,1032,2,"",62,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Sanctum/Shakari/poison_grd_01.ao""]","[""idle_01""]","fadeout_01","","","","","","","","","","",1,1,"",""
207,2,1033,2,"",290,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Expedition_New/Miniboss_02/charged_slam_degen.ao""]","[""idle""]","fadeout","","","","","","","","","","",1,1,"",""
208,2,1034,2,"",62,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Sanctum/Shakari/poison_grd_01.ao""]","[""idle_01""]","fadeout_01","","","","","","","","","","",1,1,"",""
209,2,1035,2,1987,500,[],"","[""Metadata/Effects/Spells/monsters_effects/Endgame_FOUR/Precursor_Corruption_Processor_02/cascade_degen.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
210,2,1036,2,"",90,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Expedition_New/Devourer/acid_ground.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
211,2,1037,2,"",75,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Expedition_New/MundaneMagi/poison_cloud.ao""]","[""idle""]","fadeout","",1091,"","","","","","","","","","","",""
212,2,1038,2,1987,125,[],1,"[""Metadata/Effects/Spells/monsters_effects/Endgame_FOUR/Precursor_Corruption_Processor_02/chaos_stormcall_degen.ao""]","[""idle""]","fadeout","","","","","","","","","","","","","",""
213,2,1039,2,"",100,[],"","[""Metadata/Effects/Spells/monsters_effects/sanctified/SanctifiedMonstrosity/groundtrail_01.ao""]","[""groundtrail""]","end","","","","","","","","","","","","","",""
214,19,0,1,"",60,"[4,2,1]","","[""Metadata/Effects/Spells/ground_effects/vaal_cloud/vaal_sml_cloud_01.ao"",""Metadata/Effects/Spells/ground_effects/vaal_cloud/vaal_mid_cloud_01.ao"",""Metadata/Effects/Spells/ground_effects/vaal_cloud/vaal_big_cloud_01.ao""]",[],"fadeout","","","","","","","","","","","","","",""
215,4,0,1,247,120,"[4,2,1]","","[""Metadata/Effects/Spells/ground_effects/blind_smoke/blindsmoke_01.ao"",""Metadata/Effects/Spells/ground_effects/blind_smoke/blindsmoke_02.ao"",""Metadata/Effects/Spells/ground_effects/blind_smoke/blindsmoke_03.ao""]",[],"fadeout","","","","","","","","","","","","","",""
216,4,0,2,247,120,[],"","[""Metadata/Effects/Spells/ground_effects_v2/smoke_blind/smoke_blind.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
217,4,1,1,247,120,"[4,2,1]","","[""Metadata/Effects/Spells/ground_effects/chimera_smoke/chimera_smoke_01.ao"",""Metadata/Effects/Spells/ground_effects/chimera_smoke/chimera_smoke_02.ao"",""Metadata/Effects/Spells/ground_effects/chimera_smoke/chimera_smoke_03.ao""]",[],"fadeout","","","","","","","","","","","","","",""
218,4,1,2,247,120,[],"","[""Metadata/Effects/Spells/ground_effects_v2/smoke_blind_chimera/smoke_blind_chimera.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
219,4,2,2,247,120,[],1,"[""Metadata/Effects/Spells/ground_effects_v2/smoke_blind_fog_of_war_2/smoke_blind_fog_of_war.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
220,4,3,2,247,250,[],1,"[""Metadata/Effects/Spells/ground_effects_v2/smoke_blind_fog_of_war_2/smoke_blind_fog_of_war_medium.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
221,4,4,2,247,350,[],1,"[""Metadata/Effects/Spells/ground_effects_v2/smoke_blind_fog_of_war_2/smoke_blind_fog_of_war_large.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
222,4,5,2,247,150,[],1,"[""Metadata/Effects/Spells/traps/smoke_trap/smoke_blind_fog_of_war.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
223,4,6,2,247,150,[],1,"[""Metadata/Effects/Microtransactions/Spells/StygianSmokeMine/StygianBlindFog.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
224,4,1000,2,247,250,[],1,"[""Metadata/Effects/Spells/monsters_effects/Act3_FOUR/ViperLegionaire/SmokeCloud.ao""]","[""loop""]","fadeout","","",185,"","","","","","","","","","",""
225,4,1001,2,247,350,[],"","[""Metadata/Effects/Environment/League_Incursion/spymaster/raising_smoke/raising_smoke.ao""]","[""idle""]","fadeout","","",186,"","","","","","","",1,1,"",""
226,9,0,2,"",183,[],"","[""Metadata/Effects/Spells/ground_effects_v2/haste/haste.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
227,20,0,2,"",280,[],"","[""Metadata/Effects/Spells/ground_effects_v3/profane/profane_grd.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
228,21,0,2,"",190,[],"","[""Metadata/Effects/Spells/monsters_effects/labyrinth/skeleton_king/cups/chaos_cups.ao""]","[""chaoscup_loop""]","chaoscup_end","","","","","",1,"","","","","","","",""
229,22,0,2,"",190,[],"","[""Metadata/Effects/Spells/monsters_effects/labyrinth/skeleton_king/cups/fire_cups.ao""]","[""firecup_loop""]","firecup_end","","","","","",1,"","","","","","","",""
230,13,0,1,"",0,[],"","[""Metadata/Effects/Spells/ground_effects/devouring_darkness/ground_rig.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","","",""
231,25,0,2,"",100,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Bestiary/Spider_Boss/tail_strike/web_ground/webground_01.ao"",""Metadata/Effects/Spells/monsters_effects/League_Bestiary/Spider_Boss/tail_strike/web_ground/webground_02.ao"",""Metadata/Effects/Spells/monsters_effects/League_Bestiary/Spider_Boss/tail_strike/web_ground/webground_03.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
232,15,0,2,"",120,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/ultimate_spells/blood_magic_strike/blood_ground/bloodground_01.ao"",""Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/ultimate_spells/blood_magic_strike/blood_ground/bloodground_02.ao"",""Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/ultimate_spells/blood_magic_strike/blood_ground/bloodground_03.ao"",""Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/ultimate_spells/blood_magic_strike/blood_ground/bloodground_04.ao"",""Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/ultimate_spells/blood_magic_strike/blood_ground/bloodground_05.ao""]","[""loop""]","fadeout","","","","","","","","","","","","","",""
