"rownum","string_0","rid_8","string_24","string_24 (French)","string_24 (German)","string_24 (Japanese)","string_24 (Korean)","string_24 (Portuguese)","string_24 (Russian)","string_24 (Spanish)","string_24 (Thai)","string_24 (Traditional Chinese)","[string]_32","[rid]_48","rid_64","[rid]_80","i32_96","i32_100","[rid]_104","[rid]_120","[rid]_136","[string]_152","[rid]_168","[rid]_184","[string]_200","[string]_200 (French)","[string]_200 (German)","[string]_200 (Japanese)","[string]_200 (Korean)","[string]_200 (Portuguese)","[string]_200 (Russian)","[string]_200 (Spanish)","[string]_200 (Thai)","[string]_200 (Traditional Chinese)","[string]_216","[string]_216 (French)","[string]_216 (German)","[string]_216 (Japanese)","[string]_216 (Korean)","[string]_216 (Portuguese)","[string]_216 (Russian)","[string]_216 (Spanish)","[string]_216 (Thai)","[string]_216 (Traditional Chinese)","rid_232"
224,"TujenA4_FogQuest_B2b_Int4b",7,"Yes. I have seen this island.","Oui, j'ai déjà vu cette île.","Ja. Ich habe diese Insel gesehen.","ああ。その島は見たことがある。","그래. 그 섬은 본 적이 있다.","Sim, já estive nessa ilha.","Да. Я видела этот остров.","Sí. Conozco esta isla.","ใช่ ข้าเคยเห็นเกาะนี้มาก่อน","是的，我曾看過這座島嶼。","[""Audio/Dialogue/4.0/Characters/Int/Sorceress/Sorceress_Convo/Sorceress_Convo_TujenA4_04_03.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],""
225,"TujenA4_FogQuest_B2b_Str4b",6,"I've seen that place. We've already landed on Kedge Bay before.","J'ai déjà vu cet endroit. Ce n'est pas la première fois que nous débarquons à la baie de Kedge.","Ich kenne diesen Ort. Wir gingen bereits zuvor in der Ankerbucht an Land.","見たことがある。前にケッジ湾に上陸したんだ。","가 본 적 있는 곳이다. 전에 닻의 만에 상륙했었지.","Já estive nesse lugar. Atracamos na Baía Ancoreta.","Я видел это место. Мы уже причаливали в Кеджском заливе.","Conozco este lugar. Ya hemos estado en la Bahía de las anclas antes.","ข้าเคยเห็นที่นั่นมาก่อน เราเคยจอดที่อ่าวเค็ดจ์มาก่อนน่ะ","我看過這個地方，我們在凱吉灣上岸。","[""Audio/Dialogue/4.0/Characters/Str/Warrior/Warrior_Convo/Warrior_Tujen_Convo_05.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],""
226,"TujenA4_FogQuest_B2b_StrDex4b",9,"Do I really wanna go back? Suppose I could...","Il faut vraiment y retourner ? Eh ben, ça doit être faisable…","Will ich wirklich zurückkehren? Ich denke, das könnte ich durchaus ...","本当にあそこに戻るのか？まあ戻ってもいいが……","내게 다시 거기 갈 생각이 있을까? 그래, 갈 수도 있겠어...","Será que eu quero mesmo voltar lá? Acho que eu poderia...","Хочу ли я возвращаться? Пожалуй, мог бы...","¿Realmente quiero regresar? Supongo que podría...","ข้าต้องกลับไปจริงๆ เหรอ? กลับไปก็ได้...","我真的想回到那地方嗎？我想我可以……","[""Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Convo/Mercenary_Tujen_Convo_A4_05.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],""
227,"TujenA4_FogQuest_C1","","Makoru can do it. She's Karui, and grew up on these waters. <continue> If anyone can get you there, it's her, no doubt.","Makoru peut vous y emmener. C'est une Karui, elle a grandi sur ces mers. <continue>Si quelqu'un peut vous faire traverser, c'est bien elle, pardi.","Makoru wird es schaffen. Sie ist eine Karui und kennt diese Gewässer seit ihrer Kindheit.\r\n<continue>Ich zweifle nicht daran, dass sie Euch dort hinbringen kann.","マコルならできる。彼女はカルイだし、この海で育った。<continue>誰かができるとしたら、間違いなく彼女だ。","마코루가 갈 수 있어. 카루이인데, 이 바다 위에서 자랐거든. <continue>마코루라면 분명 데려다줄 수 있을 거야.","A Makoru dá conta. Ela é karui e cresceu nessas águas. <continue>Se tem alguém que pode te levar até lá, é ela.","Макору поможет. Она каруи, и выросла на этих водах. <continue> Если кто и сумеет тебя туда доставить, так это она, без сомнений.","Makoru puede hacerlo. Es karui y creció en estas aguas. <continue>Si alguien puede llevarte allí, sin dudas es ella.","มาโครูทำได้ เธอเป็นชาวคารุย อยู่มากับน่านน้ำพวกนี้มาตั้งแต่\r\nเด็กจนโต<continue>ถ้าจะมีใครสักคนพาเจ้าไปที่นั่นได้ ข้ามั่นใจว่าจะเป็นเธอแน่ๆ","瑪寇魯可以幫忙。她是卡魯人，而且就在這片水域長大。<continue>如果要說誰能帶你到那裡，那肯定是她，毫無疑問。","[""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen/TujenA4_03_06.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen/TujenA4_03_07.ogg""]",[447],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],""
228,"TujenA4_FogQuest_C2_Dex4",2,"I'll look into it.","Je vais y réfléchir.","Ich werde mich darum kümmern.","やってみよう。","알아보지.","Verei o que posso fazer.","Я посмотрю.","Echaré un vistazo.","ข้าจะไปจัดการเรื่องนี้","我會好好了解。","[""Audio/Dialogue/4.0/Characters/Dex/Ranger/Ranger_Convo/Ranger_Convo_TujenA4_04_04.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],""
229,"TujenA4_FogQuest_C2_Dex4b",8,"Spirit guide me, this fog won't linger.","Esprit, guide mes pas. Cette brume ne tiendra pas longtemps.","Möge der Geist mich leiten, dieser Nebel wird nicht ewig bestehen.","精霊様の導きあれ。この霧はすぐに消えるだろう。","혼백이 나를 인도한다면 안개가 걷히겠지.","Com a ajuda dos espíritos, essa névoa vai passar.","Направь меня Дух, этот туман пропадёт.","El Espíritu me guía. Esta niebla no durará mucho.","พระวิญญาณนำทางข้าเถิด หมอกนี้จักสิ้นลง","魂靈給予我引導，這片霧霾不會繼續蔓延。","[""Audio/Dialogue/4.0/Characters/Dex/Huntress/Huntress_Convo/Huntress_Tujen_Convo_A4_04.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],""
230,"TujenA4_FogQuest_C2_DexInt4b",10,"I'll ease your trouble, Kalguuran.","Je dissiperai vos troubles, Kalguurien.","Ich werde mich um Euer Problem kümmern, Kalguur.","カルグール人、お主の問題を解決しよう。","내가 고민을 덜어 주지, 칼구르인.","Vou aliviar seu fardo, kalguurano.","Я помогу с этой трудностью, калгууранец.","Yo aliviaré tus males, kalgurano.","ข้าจะคลายทุกข์ให้เจ้า ชาวคาลเกอร์","我會消減你遇上的麻煩，卡爾葛人。","[""Audio/Dialogue/4.0/Characters/DexInt/Monk/Monk_Convo/Monk_Tujen_Convo_A4_30.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],""
231,"TujenA4_FogQuest_C2_Int4",1,"Fog clearer at your service, I guess. ","Pour dégager la brume, vous pouvez compter sur moi… probablement. ","Nebelvertreiberin zu Euren Diensten, schätze ich.","霧払い屋にお任せあれ、かしら。","안개 청소부 대령이요.","Limpa-névoas, ao seu dispor. Acho.","Очистительница тумана к вашим услугам, получается.","Limpianieblas, a tu servicio. O algo así.","นักกวาดหมอกพร้อมให้บริการแล้วมั้ง","霧霾清除者任你差遣。","[""Audio/Dialogue/4.0/Characters/Int/Witch/Witch_Convo/Witch_Convo_TujenA4_06.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],""
232,"TujenA4_FogQuest_C2_Int4b",7,"I will do my best for you, Master Tujen.","Je ferai de mon mieux pour vous venir en aide, maître Tujen.","Ich werde mein Bestes für Euch tun, Meister Tujen.","トゥージェン殿、精一杯やってみよう。","최선을 다해 보겠다, 투젠 소장.","Farei o que puder por você, mestre Tujen.","Я постараюсь ради тебя как могу, малыш.","Daré lo mejor para ti, maestro Tujen.","ข้าจะทำสุดความสามารถเพื่อท่าน คุณทูเจน","我會盡己所能幫助你，小不點。","[""Audio/Dialogue/4.0/Characters/Int/Sorceress/Sorceress_Convo/Sorceress_Convo_TujenA4_04_04.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],""
233,"TujenA4_FogQuest_C2_Str4b",6,"I'll do what I can.","Je ferai ce que je peux.","Ich tue, was ich kann.","なんとかしてみるよ。","하는 데까지 해 보지.","Farei o possível.","Я сделаю что смогу.","Haré lo que pueda.","ข้าจะทำเท่าที่ทำได้","我會盡一切努力。","[""Audio/Dialogue/4.0/Characters/Str/Warrior/Warrior_Convo/Warrior_Tujen_Convo_06.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],""
234,"TujenA4_FogQuest_C2_StrDex4b",9,"A job's a job. Sure thing.","Eh ben, quand on me confie une mission, je la remplis.","Ein Auftrag ist ein Auftrag. Wird erledigt.","仕事は仕事だ。了解っと。","일은 일이니까. 알겠어.","Trabalho é trabalho. Pode deixar.","Работа есть работа. Принято.","Un trabajo es un trabajo. Lo haré.","งานก็คืองาน แน่นอนละ","工作就是工作，使命必達。","[""Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Convo/Mercenary_Tujen_Convo_A4_06_01.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],""
235,"TujenA4_FogQuest_D1","","We'd be in your debt! And... I've got somethin' special with your name on it... <continue>... if you can clear that bloody fog!","Nous vous en s'rons redevables ! Ah, j'vous réserve une p'tite surprise… <continue> Si vous nous débarrassez de c'te maudite brume !","Wir stünden in Eurer Schuld! Und ...  Ich habe etwas ganz Besonderes mit Eurem Namen drauf ...\r\n<continue>... Wenn Ihr diesen verdammten Nebel vertreiben könnt!","恩に着るぜ！それと……あんたのために特別な品があるんだ……<continue>……あのクソみてえな霧を払ってくれたらな！","가 준다면 정말 고맙지! 게다가... <continue>...그 자욱한 안개를 걷어 준다면 특별한 걸 내줄 수 있다고!","Vamos ficar te devendo essa! E... tem algo especial te esperando... <continue>... se você der cabo daquela maldita névoa!","Мы будем у тебя в долгу! И... у меня припасено кое-что особенное для тебя... <continue>... если сумеешь рассеять этот клятый туман!","¡Estaríamos en deuda contigo! Y... tengo algo especial justo para ti. <continue> ¡Si es que te encargas de la maldita niebla!","เราจะติดหนี้บุญคุณเจ้าแน่ๆ! แถม... ข้ายังมีอะไรให้เจ้าเป็น\r\nพิเศษด้วย...<continue>...ถ้าเจ้ากวาดล้างหมอกเวรนั่นได้สำเร็จน่ะนะ!","如果你能清掉那片該死的霧霾，我們會萬分感激……<continue>還有些特別的東西可以給你！","[""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen/TujenA4_03_09.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen/TujenA4_03_10.ogg""]",[447],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],""
236,"RogA4_PearlQuest_A1","","Oh my... what's that there? It's beautiful!","Oh, oh… Qu'est-ce que c'est ? C'est magnifique !","Du liebe Güte ... was habt Ihr denn da? Es ist wunderschön!","おや……そいつはなんだ？美しいな！","세상에... 그게 뭐요? 너무 아름다운걸!","Nossa... o que é isso aí? Que coisa linda!","Ух ты... что это там? Какая красивая!","Oh, cielos... ¿qué es eso? ¡Es hermoso!","โอ้โฮ... นั่นอะไรน่ะ? งามตานัก!","天啊……那是什麼？真是美麗！","[""Audio/Dialogue/4.0/NPC/Part1/Act4/Rog/RogA4_PearlQuest_01.ogg""]",[444],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],""
237,"RogA4_PearlQuest_A2_Dex4",2,"It's a pearl.","C'est une perle.","Es ist eine Perle.","真珠よ。","진주다.","É uma pérola.","Это жемчужина.","Es una perla.","ไข่มุกน่ะ","只是我從蚌殼裡找到的一顆珍珠……","[""Audio/Dialogue/4.0/Characters/Dex/Ranger/Ranger_Convo/Ranger_Convo_RogA4_01_01.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],""
238,"RogA4_PearlQuest_A2_Dex4b",8,"A pearl I found in a clam.","Une perle que j'ai trouvée dans une huître.","Eine Perle, die ich in einer Muschel gefunden habe.","貝の中にあった真珠だ。","내가 조개 속에서 찾은 진주다.","Uma pérola que achei num marisco.","Жемчужина, которую я нашла в раковине.","Es una perla que encontré en una almeja.","ไข่มุกที่ข้าเจออยู่ในหอยมุกน่ะ","只是我從蚌殼裡找到的一顆珍珠……","[""Audio/Dialogue/4.0/Characters/Dex/Huntress/Huntress_Convo/Huntress_Rog_Convo_A4_02.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],""
239,"RogA4_PearlQuest_A2_DexInt4b",10,"A treasure of the sea. A pearl.","C'est un trésor des mers. Une perle.","Ein Schatz aus dem Meer. Eine Perle.","海の宝。真珠だ。","바다의 보물이지. 진주 말이야.","É só uma pérola, um tesouro do mar.","Сокровище моря. Жемчужина.","Un tesoro del mar. Una perla.","เป็นสมบัติแห่งท้องทะเล ไข่มุกน่ะ","只是我從蚌殼裡找到的一顆珍珠……","[""Audio/Dialogue/4.0/Characters/DexInt/Monk/Monk_Convo/Monk_Rog_Convo_A4_01.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],""
240,"RogA4_PearlQuest_A2_Int4",1,"A pearl, of course.","Une perle, bien sûr.","Eine Perle, natürlich.","勿論真珠よ。","진주지.","Uma pérola, é claro.","Жемчужина, конечно.","Es obviamente una perla.","ก็เป็นไข่มุกไง","只是我從蚌殼裡找到的一顆珍珠……","[""Audio/Dialogue/4.0/Characters/Int/Witch/Witch_Convo/Witch_Convo_RogA4_01_01.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],""
241,"RogA4_PearlQuest_A2_Int4b",7,"I found it in some sort of shelled creature. I think you call it a... 'pearl'?","Je l'ai découverte dans une étrange créature à coquille. Il me semble que vous appelez cela une… « perle » ?","Ich habe sie in einer Art Kreatur mit Schale gefunden. Ich glaube, Ihr bezeichnet das als eine ... Perle?","殻を持つ生き物の中にあったんだ。あんたたちは……「真珠」って呼んでるんだっけ？","껍데기가 있는 생물 안에서 찾았다. 너희는 이걸 '진주'라고 하던가?","Achei isso numa criatura de concha. Acho que vocês chamam isso de... \""pérola\""?","Я нашла её в каком-то создании с панцирем. Думаю, вы зовёте это «‎жемчуг»?","La encontré en una criatura acorazada. Creo que la llaman... \""perla\"".","ข้าพบมันอยู่ในสิ่งมีชีวิตที่มีเปลือก เจ้าเรียกสิ่งนี้ว่า... 'ไข่มุก' ใช่\r\nไหม?","只是我從蚌殼裡找到的一顆珍珠……","[""Audio/Dialogue/4.0/Characters/Int/Sorceress/Sorceress_Convo/Sorceress_Convo_RogA4_01_01.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],""
242,"RogA4_PearlQuest_A2_Str4b",6,"It's a pearl. I found it in a clam.","C'est une perle que j'ai trouvée dans une huître.","Es ist eine Perle. Ich fand sie in einer Muschel.","真珠だよ。貝の中で見つけたんだ。","진주다. 내가 조개 속에서 찾았어.","É uma pérola. Achei-a num marisco.","Это жемчужина. Я нашёл её в раковине.","Es una perla. La encontré en una almeja.","มันเป็นไข่มุก ข้าเจอมาจากหอยมุกน่ะ","只是我從蚌殼裡找到的一顆珍珠……","[""Audio/Dialogue/4.0/Characters/Str/Warrior/Warrior_Convo/Warrior_Rog_Convo_A4_02_01.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],""
243,"RogA4_PearlQuest_A2_StrDex4b",9,"A big ol' pearl!","Une bonne grosse perle !","Ne große Perle!","でっけえ真珠さ！","알이 굵은 진주다!","Uma pérola grandona!","Старая добрая жемчужина!","¡Una enorme perla!","ไข่มุกใหญ่เบ้อเร่อ!","只是我從蚌殼裡找到的一顆珍珠……","[""Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Convo/Mercenary_Rog_Convo_A4_01.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],""
244,"RogA4_PearlQuest_B1","","That's not just any pearl... Hmm. I've an idea. I know I've got something around here that'd fit that nicely...","Ce n'est pas n'importe quelle perle… Hum. J'ai une idée. J'ai quelque chose par là qui ira parfaitement avec…","Das ist nicht nur irgendeine Perle ... Hmm. Ich habe eine Idee. Ich weiß, dass hier etwas rumliegt, dass perfekt dazu passen würde ...","そいつはただの真珠じゃねえな……ふむ。いい考えがあるぞ。この辺りにぴったり嵌まるのがあったはずだ……","이건 흔한 진주가 아닌데... 흠. 내게 생각이 있소. 그것에 딱 맞을 만한 게 마침 여기 있거든.","Não é uma pérola qualquer... Hmm. Tive uma ideia. Deve ter algo aqui que vai combinar direitinho com ela...","Это не простая жемчужина... Хмм. У меня идея. Я знаю, у меня тут есть кое-что, что отлично подойдёт...","Esa no es una perla cualquiera. Mmm. Tengo una idea. Tengo algo por aquí que haría juego...","นั่นมิใช่ไข่มุกธรรมดา... หืม ข้าคิดอะไรออกแล้ว ข้าพอมีของที่\r\nเข้ากับมันได้ดี...","這可不是什麼隨處可見的珍珠……我有個想法。我有個東西跟它很配……","[""Audio/Dialogue/4.0/NPC/Part1/Act4/Rog/RogA4_PearlQuest_02.ogg""]",[444],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],""
245,"RogA4_PearlQuestReward_A1_Dex4",2,"For me...? Huh... nobody's ever given me a gift like this before.","Pour moi, vraiment… ? Oh… Jamais personne ne m'a offert un tel présent auparavant.","Für mich ...? Huh ... So ein Geschenk hat mir noch nie jemand gemacht.","私のために……？へえ……こんな贈り物を貰ったのは初めてよ。","날 주려고...? 허... 누구에게 이런 선물을 받는 건 처음이군.","Pra mim...? Poxa... Nunca ganhei um presente assim antes.","Для меня...? О... мне никто никогда не дарил такого подарка.","¿Para mí...? Oh... Nadie me había dado un regalo así antes.","ให้ข้าเหรอ...? หือ... ไม่เคยมีใครให้ของขวัญแบบนี้มาก่อนเลย","嗯……謝謝你，羅格。","[""Audio/Dialogue/4.0/Characters/Dex/Ranger/Ranger_Convo/Ranger_Convo_RogA4_01_02.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],""
246,"RogA4_PearlQuestReward_A1_Dex4b",8,"Thank you kindly.","Merci beaucoup.","Herzlichen Dank.","ありがとう。","고맙다.","Agradeço demais.","Большое спасибо.","Te agradezco mucho.","ขอบพระคุณยิ่งนัก","嗯……謝謝你，羅格。","[""Audio/Dialogue/4.0/Characters/Dex/Huntress/Huntress_Convo/Huntress_Rog_Convo_A4_03.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],""
247,"RogA4_PearlQuestReward_A1_DexInt4b",10,"I accept this gift. Thank you.","J'accepte ce cadeau, merci.","Ich nehme dieses Geschenk an. Vielen Dank.","ありがたく頂こう。感謝する。","선물을 받아들이지. 고맙다.","Aceito o presente. Valeu.","Я принимаю этот дар. Благодарю тебя.","Acepto tu regalo. Gracias.","ข้ายินดีรับของขวัญนี้ ขอบคุณมาก","嗯……謝謝你，羅格。","[""Audio/Dialogue/4.0/Characters/DexInt/Monk/Monk_Convo/Monk_Rog_Convo_A4_02.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],""
248,"RogA4_PearlQuestReward_A1_Int4",1,"Hmm... a bit shiny. But I suppose I'll take it.","Hum… Un peu trop éclatant, mais je pense que je vais l'accepter.","Hmm ... ein bisschen protzig. Aber ich werde es annehmen.","うーん……ちょっときらきらしすぎね。でも貰っておくわ。","흐음... 조금 반짝이는데. 어쨌든 받아 두지.","Hmm... Meio brilhante, mas acho que vou ficar.","Хмм... чуть ярковата. Но, пожалуй, я заберу.","Mmm... Es algo brillante. Pero bueno, me la quedo.","หืม... แวววาวไม่เบา ข้ารับไว้ก็ได้","嗯……謝謝你，羅格。","[""Audio/Dialogue/4.0/Characters/Int/Witch/Witch_Convo/Witch_Convo_RogA4_01_02.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],""
249,"RogA4_PearlQuestReward_A1_Int4b",7,"Oh Sir Rog! Haha! I don't think you know what this means in the Vastiri, but I will take it as you intended.","Oh, messire Rog ! Ha ha ! Je doute que vous ayez conscience de ce qu'un tel geste implique dans le Vastiri, mais je comprends votre intention et je l'accepte.","Oh, mein lieber Rog! Haha! Ich glaube nicht, dass Ihr wisst, was das in der Vastiri bedeutet, aber ich werde das Geschenk in der Absicht annehmen, in der Ihr es mir gemacht habt.","ああ、ログ殿！ははっ！ヴァスティリでこの行為が持つ意味を知らぬと思うが、意図した通りに受け取ろう。","오, 로그 경! 하하! 이게 바스티리에 무슨 의미인지 당신은 모르겠지만, 당신 뜻대로 받아 두겠어.","Ah, sor Rog! Haha! Eu não acho que você saiba o que isso significa no Vastiri, mas vou entender como você disse.","Ох, сэр Рог! Хаха! Не думаю, что ты знаешь, что это означает в Вастири, но я приму это, как ты хотел.","¡Oh, Sir Rog! ¡Ja, ja! No creo que sepas lo que esto significa en el Vastiri, pero consideraré tu intención para aceptarlo.","โอ้คุณร็อก! ฮ่าฮ่า! เจ้าคงไม่รู้ว่าทำแบบนี้มีความหมายยังไงใน\r\nวาสตีรี แต่ข้าจะเข้าใจตามเจตนาของเจ้า","嗯……謝謝你，羅格。","[""Audio/Dialogue/4.0/Characters/Int/Sorceress/Sorceress_Convo/Sorceress_Convo_RogA4_01_02.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],""
250,"RogA4_PearlQuestReward_A1_Str4b",6,"Skilled work, my friend.","Du très beau travail, camarade.","Eine kunstvolle Arbeit, mein Freund.","素晴らしい腕だ、友よ。","솜씨 좋군, 친구.","Bom trabalho, camarada.","Умелая работа, друг мой.","Eres habilidoso, amigo mío.","ฝีมือดีนะสหาย","嗯……謝謝你，羅格。","[""Audio/Dialogue/4.0/Characters/Str/Warrior/Warrior_Convo/Warrior_Rog_Convo_A4_02_02.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],""
251,"RogA4_PearlQuestReward_A1_StrDex4b",9,"I'm always up to be bribed.","Je crache jamais sur un pot-de-vin.","Ich bin immer empfänglich für eine Bestechung.","賄賂はいつでも歓迎だぜ。","뇌물은 언제든 환영이야.","<if:MS>{Estou sempre aberto a um suborno.}<elif:FS>{Estou sempre aberta a um suborno.}","От мзды не отказываюсь.","Siempre estoy dispuesto a que me sobornen.","ข้าพร้อมรับสินบนเสมอ","嗯……謝謝你，羅格。","[""Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Convo/Mercenary_Rog_Convo_A4_02.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],""
252,"RogA4_PearlQuestReward_B1","","Consider this kindness in the future, <i>{friend.}","Voyez cela comme un petit cadeau, <i>{camarade.}","<if:MS>{Behaltet diesen Gefallen in Erinnerung, <i>{Freund}.}<elif:FS>{Behaltet diesen Gefallen in Erinnerung, <i>{Freundin}.}","この新設を将来覚えておいてくれよ、相棒。","나중에 이 호의를 생각해 주시오, <i>{친구.}","Guarda essa gentileza, <i>{camarada.} Nunca se sabe quando vai precisar retribuir.","<if:MS>{Запомни эту доброту на будущее, <i>{друг.}}<elif:FS>{Запомни эту доброту на будущее, <i>{подруга.}}","Recuerda esta gentileza en el futuro, <i>{amigo}.","นึกถึงความเมตตานี้ในภายภาคหน้าล่ะ<i>{สหาย}","之後就把它當作出於善意吧，<i>{朋友}。","[""Audio/Dialogue/4.0/NPC/Part1/Act4/Rog/RogA4_PearlQuest_03.ogg""]",[444],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],""
253,"DannigA4_OnVerisium_A1","","Freya Hartlin's still around, and trapped on Journey's End? How strange... I believe I know the runes that could break that seal.","Freya Hartlin est toujours dans les parages, et elle est coincée sur la Fin du voyage ? Comme c'est étrange… Je crois que je sais quelles runes pourraient briser ce sceau.","Freya Hartlin ist noch am Leben und auf 'Ende der Reise' gefangen? Wie merkwürdig ... Ich denke, ich kenne die Runen, die das Siegel brechen können.","フレイヤ・ハートリンがまだこの辺にいて、『旅の終わり』で動けなくなってる？不思議なこともあるもんだ……その封印を破ることのできるルーンなら多分わかるぞ。","프레야 하틀린이 아직 이 근방에 있고, 게다가 여정의 끝에 갇혀 있다고? 이상하군... 어쨌든 내가 아는 룬으로 그 봉인을 깰 수 있을 걸세.","A Freya Hartlin ainda está viva? E presa no Fim da Jornada? Que estranho... Acho que sei quais runas podem romper o selo.","Фрея Хартлин ещё жива и заперта в Конце странствия? Как странно... Пожалуй, я знаю руны, которые могут сломить печать.","¿Freya Hartlin sigue por aquí y está atrapada en \""El final del viaje\""? Qué extraño... Creo que conozco las runas que podrían romper el sello.","เฟรยา ฮาร์ทลินยังอยู่ แล้วติดอยู่ในสิ้นทางสิ้นซากน่ะนะ? แปลก\r\nนัก... ข้าว่าข้ารู้จักอักขระที่ใช้สลายคาถาผนึกนั้นได้","芙雷雅．哈特林還在這裡，受困於末途島？真是奇怪……我想我知道什麼符文可以用來破除那道封印。","[""Audio/Dialogue/4.0/NPC/Part1/Act4/Dannig/DannigA4_FogQuest_01.ogg""]",[449],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],""
254,"DannigA4_OnVerisium_A2_Dex4",2,"Forge them and I'll return with Freya.","Forgez-les, et je reviendrai avec Freya.","Schmiedet sie und ich werde mit Freya zurückkehren.","作ってくれたらフレイヤを連れ帰るよ。","룬을 만들어 주면 프레야를 데리고 돌아오지.","Forje-as, e eu volto com a Freya.","Выкуй их и я вернусь с Фреей.","Fórjalas, yo regresaré con Freya.","หลอมให้เรียบร้อย แล้วข้าจะกลับมาพร้อมกับเฟรยา","打造出符文，我會和芙雷雅一起回來。","[""Audio/Dialogue/4.0/Characters/Dex/Ranger/Ranger_Convo/Ranger_Convo_DannigA4_04.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],""
