"rownum","Id","WorldArea","WorldAreasKeys","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","FlavourText","FlavourText (French)","FlavourText (German)","FlavourText (Japanese)","FlavourText (Korean)","FlavourText (Portuguese)","FlavourText (Russian)","FlavourText (Spanish)","FlavourText (Thai)","FlavourText (Traditional Chinese)","QuestFlags1","Act","QuestFlags2","QuestFlags3","QuestFlag1","string_124","ParentMapPin","MetadataId","PinProperty","QuestFlag2","string_180","string_180 (French)","string_180 (German)","string_180 (Japanese)","string_180 (Korean)","string_180 (Portuguese)","string_180 (Russian)","string_180 (Spanish)","string_180 (Thai)","string_180 (Traditional Chinese)","bool_188","i32_189","i32_193","bool_197","i32_198"
92,"G1_15_Candlemass",120,[],"Candlemass, the Living Rite","Moultecierge, le Rituel vivant","Lichtmess, lebendiger Ritus","生ける儀式、キャンドルマス","살아있는 의례 양초덩어리","Candelário, o Ritual Vivo","Сретение, оживший ритуал","Cirio, el Ritual viviente","แคนเดิลแมส พิธีกรรมเดินดิน","存活儀式．燭光","...servants who once worked in the manor tell of a statue in the church that would turn to look at you...","...des serviteurs qui ont autrefois travaillé au manoir racontent qu'une statue dans l'église se tourne pour regarder les gens...","… Diener, die einst auf dem Gut arbeiteten, erzählen von einer Statue in der Kirche, die sich umdrehte, um einen anzuschauen …","……かつて荘園で働いていた者たちは教会にこちらを振り向く像がいると言っていた……","...저택에서 일했던 하인들은 교회에 몸을 돌려 사람을 바라보는 석상이 있다고 말합니다...","Servos que trabalhavam na mansão falam de uma estátua na igreja que se virava para te olhar...","...бывшие прислужники замка рассказывают, будто в церкви есть статуя, следящая взглядом за прихожанами...","...los sirvientes que una vez trabajaron en la mansión cuentan que hay una estatua en la iglesia que se gira y te mira...","...บริวารที่เคยทำงานในคฤหาสน์\r\nเล่าไว้ว่าในโบสถ์\r\nมีรูปปั้นที่หันมาจับจ้องเจ้า...","……曾在宅第工作的僕人講述教堂裡有一座會回頭看向你的雕像……","[2905,2680]",1,[72],[3735],"","WorldMapContentBossUpgrade",90,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinCandlemass",0,"","","","","","","","","","","","",4830,4830,"",56
93,"G1_15_CandlemassSlain",120,[],"Candlemass, the Living Rite","Moultecierge, le Rituel vivant","Lichtmess, lebendiger Ritus","生ける儀式、キャンドルマス","살아있는 의례 양초덩어리","Candelário, o Ritual Vivo","Сретение, оживший ритуал","Cirio, el Ritual viviente","แคนเดิลแมส พิธีกรรมเดินดิน","存活儀式．燭光","There is no safety in a church when such a beast lurks at the centre of it.\r\n\r\n<white>{+20 to maximum Life}","Il n'y a pas de salut dans une église lorsqu'une telle bête se cache en son cœur.\r\n\r\n\r\n<white>{+20 de Vie maximale}","Es gibt keine Sicherheit in einer Kirche, wenn eine solche Bestie in ihrem Zentrum lauert.\r\n\r\n<white>{+20 zu maximalen Leben}","あのような獣が陣取っていたら、教会に安全などない。\r\n\r\n<white>{最大ライフ +20}","이런 괴물이 교회의 중심에 도사리고 있는 한, 교회는 안전할 수 없죠.\r\n\r\n<white>{최대 생명력 +20}","Não há segurança em uma igreja quando uma criatura dessas espreita em seu centro.\r\n\r\n<white>{+20 de vida máxima}","В храме не снискать защиты, пока в самом его сердце обитает такая тварь.\r\n\r\n<white>{+20 к максимальному здоровью}","La iglesia no es segura cuando hay una bestia acechando en su interior.\r\n\r\n<white>{+20 a la vida máxima}","โบสถ์ที่มีสัตว์ร้ายซุ่มซ่อนอยู่ในใจกลาง\r\nย่อมไม่มีความปลอดภัยเป็นแน่\r\n\r\n<white>{พลังชีวิตสูงสุด +20}","有這樣的野獸潛伏其中，教堂裡面沒有一處稱得上安全。\r\n\r\n<white>{最大生命 +20}",[3735],1,[72],[],"","WorldMapContentBossUpgradeDone",90,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinCandlemass",0,"","","","","","","","","","","","",4830,4830,1,56
94,"G1_15_IronCount",120,[],"Count Geonor","Comte Géonor","Graf Geonor","ジオノール伯爵","지오너 백작","Conde Geonor","Граф Жеонор","El conde Geonor","เคานต์จีโอนอร์","吉恩諾伯爵","...behind all this terror. The stories told of his madness are uncountable...","...derrière toute cette terreur. Les histoires racontées sur sa folie sont innombrables...","… hinter all diesem Schrecken. Die Geschichten, die man sich über seinen Wahnsinn erzählt, sind zahllos …","……全ての恐怖の元凶。奴の狂気の逸話は数え切れない……","...이 끔찍한 상황의 원흉입니다. 그의 광기에 대한 이야기는 셀 수도 없습니다...","... por trás de todo esse terror. As histórias contadas sobre sua loucura são inúmeras...","...сокрытое за этим кошмаром. Рассказам о его безумствах нет числа...","...detrás de todo este terror. Las historias que hablan de esta locura son incontables...","...เบื้องหลังภัยสยองทั้งหมดนี้\r\nความบ้าคลั่งของเขา\r\nมีเรื่องราวเล่าขานเหนือคณานับ...","……隱藏在這樣的恐懼之後。故事述說了他那無窮無盡的瘋狂……","[2905,2680]",1,[72],[3000],"","WorldMapContentActBoss",90,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinIronCount",1,"","","","","","","","","","","","",4830,4830,"",56
95,"G1_15_IronCountSlain",120,[],"Count Geonor","Comte Géonor","Graf Geonor","ジオノール伯爵","지오너 백작","Conde Geonor","Граф Жеонор","El conde Geonor","เคานต์จีโอนอร์","吉恩諾伯爵","The head of the manor may be dead but the corruption remains. Nowhere is safe.","Le chef du manoir est peut-être mort, mais la corruption demeure. Aucun endroit n'est à l'abri.","Das Oberhaupt des Anwesens mag tot sein, aber die Verderbtheit ist immer noch da. Nirgendwo ist man sicher.","荘園の頭は死んだが、穢れは残っている。安全な場所などない。","저택의 주인은 죽었을지 몰라도, 타락은 남아 있습니다. 그 어디도 안전하지 않습니다.","O senhor da mansão pode estar morto, mas a corrupção permanece. Nenhum lugar é seguro.","Пусть хозяин замка мёртв, но скверна процветает. Нигде не укрыться.","Puede que el dirigente de la mansión esté muerto, pero la corrupción permanece. No hay ningún lugar seguro.","เจ้าคฤหาสน์อาจตายลง\r\nทว่าพลังมลทินยังดำรงอยู่\r\nหามีที่ใดปลอดภัยไม่","宅第的主人雖死，但腐化依然存在。沒有地方是安全的。",[3000],1,[72],[],"","WorldMapContentActBossDone",90,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinIronCount",1,"","","","","","","","","","","","",4830,4830,1,56
96,"G2_compassrose_visual","",[],"","","","","","","","","","","","","","","","","","","","",[2906],2,[72],[],"","Act2/compassrose","","Metadata/Terrain/WorldMaps/Act2/Objects/MapPinCompass",8,"","","","","","","","","","","","",4830,4830,"",56
97,"G2_compasstextbox_visual","",[],"","","","","","","","","","","","","","","","","","","","",[2906],2,[72],[],"","Act2/MapBorderMaraketh","","Metadata/Terrain/WorldMaps/Act2/Objects/MapPinLabel",9,"","","","","","","","","","","","",4830,4830,"",56
98,"G2_compass_label","",[],"The Land of Seven Waters\r\nkept in verdance eternal\r\nby the vigilant Maraketh\r\nas seen by the Ardura akhara\r\nof Sekhema Asala by 1619ic","Le pays des sept rivières conservé\r\ndans une verdure éternelle\r\npar les vigilants Marakeths\r\ncomme le vit Sekhema Asala,\r\nl'akhara des Arduras en 1619ic","Das Land der sieben Wasser\r\nin ewigem Grün gehalten\r\ndurch die wachsamen Maraketh\r\ngesehen von der Ardura Akhara\r\nder Sekhema Asala um 1619ic","帝国暦1619年\r\nセケマ・アサラの見た\r\n勤勉なるマラケスにより\r\n永遠の新緑が守られた\r\n七つの川の地","일곱 갈래 물의 땅은\r\n제국력 1619년 세케마 아살라의\r\n아르듀라 아카라가 감독하는\r\n경계의 마라케스에 의해\r\n영원한 신록으로 보존되어 있다","A Terra das Sete Águas\r\nmantida em verdor eterno\r\npelos vigilantes maraketh,\r\ncomo visto pela akhara Ardura\r\nde Sekhema Asala em 1619 i.c.","Край Семи вод, вечнозелёным\r\nподдерживаемый неусыпными\r\nмаракетами, каковым предстал\r\nпред взором ахара Ардура\r\nпод нач. Сехемы Асалы в 1619 и.л.","La tierra de los siete ríos\r\nconservada en un verdor eterno\r\npor los atentos maraketh\r\ntal como la vio el akhara ardura\r\nde la sekhema Asala en el 1619 IC","แผ่นดินเจ็ดสายธาร ชอุ่มชั่วนิรันดร์\r\nภายใต้ความระวังระไวของชาวมาราเค็ท\r\nในวิสัยทัศน์ของอังคะราอาร์ดูร่า\r\nแห่งเซ็คเคมาอะซาล่าในปี 1619 จ.ศ.","七大水域之地\r\n永遠青翠\r\n馬拉克斯之職責\r\n見證者阿杜拉血脈\r\n絲克瑪．阿薩拉於恆曆 1619 年","","","","","","","","","","",[2906],2,[72],[],"","","","Metadata/Terrain/WorldMaps/Act2/Objects/MapPinLabel",10,"","","","","","","","","","","","",4830,4830,"",56
99,"G2_MapBorder_Surface","",[],"","","","","","","","","","","","","","","","","","","","",[2906],2,[72],[],"","WorldMapBorder","","Metadata/Terrain/WorldMaps/Act2/Objects/MapPinBorderSurface",3,"","","","","","","","","","","","",4830,4830,"",56
100,"G2_MapBorder_Underground","",[],"","","","","","","","","","","","","","","","","","","","",[2906],2,[72],[],"","WorldMapBorder","","Metadata/Terrain/WorldMaps/Act2/Objects/MapPinBorderUnderground",4,"","","","","","","","","","","","",4830,4830,"",56
101,"G2_town_marker0",121,[],"Vastiri Outskirts","Abords de la Vastiri","Vastiri-Randgebiete","ヴァスティリ郊外","바스티리 외곽","Arredores de Vastiri","Окраины Вастири","Alrededores del Vastiri","ชายแดนวาสตีรี","瓦斯提里郊區","","","","","","","","","","",[2906],2,[72],[],"","",118,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinTown","","","","","","","","","","","","","",4830,4830,"",56
102,"G2_town_marker1","",[],"The Ardura Caravan","La Caravane des Arduras","Die Ardura-Karawane","アードゥラのキャラバン","아르듀라 카라반","A Caravana Ardura","Караван Ардура","La caravana de los ardura","คาราวานอาร์ดูร่า","阿杜拉車隊","","","","","","","","","","","[4531,2917,2918,3461]",2,[72],[],"","","","Metadata/Terrain/WorldMaps/Act2/Objects/MapPinTownMarker1","","","","","","","","","","","","","",4830,4830,"",56
103,"G2_town_marker2","",[],"The Ardura Caravan","La Caravane des Arduras","Die Ardura-Karawane","アードゥラのキャラバン","아르듀라 카라반","A Caravana Ardura","Караван Ардура","La caravana de los ardura","คาราวานอาร์ดูร่า","阿杜拉車隊","","","","","","","","","","","[4531,2917,2918,3461]",2,[72],[],"","","","Metadata/Terrain/WorldMaps/Act2/Objects/MapPinTownMarker2","","","","","","","","","","","","","",4830,4830,"",56
104,"G2_town_marker3","",[],"The Ardura Caravan","La Caravane des Arduras","Die Ardura-Karawane","アードゥラのキャラバン","아르듀라 카라반","A Caravana Ardura","Караван Ардура","La caravana de los ardura","คาราวานอาร์ดูร่า","阿杜拉車隊","","","","","","","","","","","[2915,2923,4565]",2,[72],[],"","","","Metadata/Terrain/WorldMaps/Act2/Objects/MapPinTownMarker3","","","","","","","","","","","","","",4830,4830,"",56
105,"G2_town_marker_quarry",121,[],"Mawdun Quarry","Carrière de Mawdun","Mawdun-Steinbruch","マウドゥン採石場","모둔 채석장","Pedreira Mawdun","Каменоломня Маудун","Cantera Mawdun","เหมืองผิวดินมอว์ดัน","莫頓挖石場","","","","","","","","","","","[2917,2918,3461]",2,[72],[],"","",118,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinTownMarkerQuarry","","","","","","","","","","","","","",4830,4830,"",56
106,"G2_town_marker_lockedgates",121,[],"The Halani Gates","Les Portes d'Halani","Die Halani-Tore","ハラニの門","할라니 관문","Os Portões Halani","Ворота Халани","Las puertas de Halani","ประตูฮาลานี","哈拉妮關口","","","","","","","","","","","[4531,3461]",2,[72],[1524],"","",118,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinTownMarkerGates","","","","","","","","","","","","","",4830,4830,"",56
107,"G2_town_marker_gates",121,[],"Traitor's Passage","Le Passage de la traîtresse","Klamm der Verräterin","裏切り者の通路","배반자의 통로","Estreito da Traidora","Ворота Халани","El pasaje de la traidora","ทางผ่านผู้ทรยศ","叛徒之路","","","","","","","","","","",[1524],2,[72],[],"","",118,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinTownMarkerGates","","","","","","","","","","","","","",4830,4830,"",56
108,"G2_town_marker_keth",121,[],"Keth","Keth","Keth","ケス","케스","Keth","Кет","Keth","เค็ท","凱斯城","","","","","","","","","","",[1527],2,[72],[],"","",118,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinTownMarkerKeth","","","","","","","","","","","","","",4830,4830,"",56
109,"G2_town_marker_badlands",121,[],"Mastodon Badlands","Terres ravagées des Mastodontes","Mastodon-Ödlande","マストドンの不毛地帯","마스토돈 불모지","Sertão dos Mastodontes","Бесплодные земли мастодонтов","Páramo de los mastodontes","แดนกันดารมาสโตดอน","乳齒象惡地","","","","","","","","","","",[1527],2,[72],[],"","",118,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinTownMarkerBadlands","","","","","","","","","","","","","",4830,4830,"",56
110,"G2_town_marker_titans",121,[],"Valley of the Titans","Vallée des Titans","Tal der Titanen","タイタンの谷","거신의 계곡","Vale dos Titãs","Долина Титанов","Valle de los titanes","หุบเขาแห่งไททัน","泰坦之谷","","","","","","","","","","",[1527],2,[72],[],"","",118,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinTownMarkerTitans","","","","","","","","","","","","","",4830,4830,"",56
111,"G2_town_marker_spires",121,[],"Deshar","Deshar","Deshar","デシャール","데샤르","Deshar","Дешар","Deshar","เดชาร์","戴斯哈","","","","","","","","","","",[4565],2,[72],[],"","",118,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinTownMarkerSpires","","","","","","","","","","","","","",4830,4830,"",56
112,"G2_town_marker_dreadnought",121,[],"Dreadnought","Cuirassé","Festungskarawane","ドレッドノート","드레드노트","Couraçado","Дредноут","El acorazado","คาราวานประจัญบาน","無畏隊","","","","","","","","","","","[2922,4582]",2,[72],[],"","",118,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinTownMarkerDreadnought","","","","","","","","","","","","","",4830,4830,"",56
113,"G2_town_marker_ascendancy",121,[],"Trial of the Sekhemas","L'Épreuve des Sekhemas","Die Prüfung der Sekhemas","セケマの試練","세케마의 시련","Provação das Sekhemas","Испытание Сехем","Prueba de las sekhemas","บททดสอบแห่งเซ็คเคมา","絲克瑪試煉","","","","","","","","","","",[4539],2,[72],[],"","",118,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinTownMarkerAscendancy","","","","","","","","","","","","","",4830,4830,"",56
114,"G2_town_marker_expedition",121,[],"Skull of the Titan","Crâne du Titan","Schädel des Titanen","タイタンの頭蓋","거신의 두개골","Crânio do Titã","Череп Титана","Cráneo del titán","กะโหลกไททัน","泰坦之顱","","","","","","","","","","",[1366],2,[72],[],"","",118,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinTownMarkerExpedition","","","","","","","","","","","","","",4830,4830,"",56
115,"G2_1",122,[122],"Vastiri Outskirts","Abords de la Vastiri","Vastiri-Randgebiete","ヴァスティリ郊外","바스티리 외곽","Arredores de Vastiri","Окраины Вастири","Alrededores del Vastiri","ชายแดนวาสตีรี","瓦斯提里郊區","Corruption has come to the desert, but these sands have always been red.","La Corruption s'est installée dans le désert, même si ces sables ont toujours été rouges.","Die Verderbtheit ist in die Wüste gekommen, aber dieser Sand war schon immer rot.","穢れが砂漠に到来したが、この地の砂はいつだって赤い。","타락이 사막을 물들였지만, 이곳의 모래는 늘 붉은색이었습니다.","A corrupção chegou ao deserto, mas essas areias sempre foram vermelhas.","Порча пришла в пустыню, но эти пески всегда были красными.","La corrupción ha llegado al desierto, pero esta arena siempre ha sido roja.","พลังมลทินมาถึงทะเลทรายแล้ว\r\nทว่าผืนทรายเหล่านี้\r\nมีสีแดงมาโดยตลอด","腐化侵染沙漠，然而這片沙地早已沁滿鮮血。",[2906],2,[2906],[],"","","","Metadata/Terrain/WorldMaps/Act2/Objects/MapPinOutpost","","","","","","","","","","","","","",4830,4830,"",56
116,"G2_1_Rathbreaker",122,[],"Rathbreaker","Brise-muraille","Erdbrecher","ラスブレイカー","토성파괴자","Rompe-fortes","Бурголом","Matajefes","แรธเบรกเกอร์","撕裂者","...howls echo across the barrens...","...des hurlements résonnent dans les landes...","… Heulen hallt durch das Ödland …","……咆哮が荒れ地を響き渡る……","...포효가 황무지 곳곳으로 울려 퍼집니다...","Uivos ecoam pelos ermos...","...лай эхом разносится по пустоши...","...unos aullidos resuenan en los yermos...","...เสียงหอนก้องกังวาน\r\nไปทั่วแดนร้าง...","……嚎叫聲在荒地迴盪……",[2906],2,[72],[4322],"","WorldMapContentBoss",115,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinRathbreaker",0,"","","","","","","","","","","","",4830,4830,"",56
117,"G2_1_RathbreakerSlain",122,[],"Rathbreaker","Brise-muraille","Erdbrecher","ラスブレイカー","토성파괴자","Rompe-fortes","Бурголом","Matajefes","แรธเบรกเกอร์","撕裂者","Only silence lurks now.","Seul le silence rôde désormais.","Dort lauert nur noch die Stille.","今では静けさだけが潜んでいる。","...이제는 침묵만이 감돕니다...","Agora, apenas o silêncio espreita.","Теперь тут царит тишина.","Ahora solo acecha el silencio.","บัดนี้เหลือเพียงความเงียบงัน","現在只有寂靜潛伏其中。",[4322],2,[72],[],"","WorldMapContentBossDone",115,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinRathbreaker",0,"","","","","","","","","","","","",4830,4830,1,56
118,"G2_town",121,[121],"The Ardura Caravan","La Caravane des Arduras","Die Ardura-Karawane","アードゥラのキャラバン","아르듀라 카라반","A Caravana Ardura","Караван Ардура","La caravana de los ardura","คาราวานอาร์ดูร่า","阿杜拉車隊","Brutal restraint makes life in the desert possible.","Des restrictions violentes rendent possible la vie dans le désert.","Brutale Zurückhaltung macht das Leben in der Wüste möglich.","苛烈なまでの自制心がなければ砂漠では生きていけない。","사막에서의 삶이 가능한 것은, 인정사정없는 통제 덕분입니다.","O controle brutal torna a vida possível no deserto.","Жизнь в пустыне возможна лишь благодаря суровым правилам.","La vida en el desierto solo es posible con un control brutal.","การหวงห้ามอันเหี้ยมโหด\r\nทำให้ผู้คนได้อยู่รอดในทะเลทราย","必須恪守殘酷的紀律，才有可能在沙漠中存活。",[2906],2,[2907],[],"","","","Metadata/Terrain/WorldMaps/Act2/Objects/MapPinTown","",3725,"War taught the Maraketh the difference between pragmatism and cruelty. Peace demands they remember that lesson.","La guerre a appris aux Marakeths la différence entre pragmatisme et cruauté. La paix exige qu'ils retiennent cette leçon.","Der Krieg lehrte die Maraketh den Unterschied zwischen Pragmatismus und Grausamkeit. Der Frieden verlangt, dass sie sich an diese Lektion erinnern.","戦争はマラケスに現実主義と残酷さの違いを教えた。平和はその教訓を忘れないことを求める。","마라케스인은 전쟁을 통해 실용성과 잔인성의 차이를 깨우쳤습니다. 평화를 위해서는 그 교훈을 기억해야만 합니다.","A guerra ensinou aos maraketh a diferença entre pragmatismo e crueldade. A paz exige que eles se lembrem dessa lição.","Война научила маракетов разнице между прагматизмом и жестокостью. Мир требует от них помнить этот урок.","La guerra ha enseñado a los maraketh la diferencia entre el pragmatismo y la crueldad. La paz les exige que recuerden esa lección.","สงครามสอนให้ชาวมาราเค็ท\r\nรู้จักความแตกต่างระหว่าง\r\nปฏิบัตินิยมและความเหี้ยมโหด\r\nสันติย้ำเตือนให้พวกเธอ\r\nจำบทเรียนนี้ไว้ให้ดี","戰爭教會了馬拉克斯務實和殘酷之間的分別。他們必須銘記這個教訓才能保有和平。","",4830,4830,"",56
119,"G2_2",123,[123],"Traitor's Passage","Le Passage de la traîtresse","Klamm der Verräterin","裏切り者の通路","배반자의 통로","Estreito da Traidora","Тропа изменницы","El pasaje de la traidora","ทางผ่านผู้ทรยศ","叛徒之路","The fatal weakness of a great bastion is usually one of its supposed defenders.","La faiblesse mortelle d'une grande forteresse est généralement l'un de ses défenseurs supposés.","\r\nDie fatale Schwäche einer großen Bastion ist meist einer ihrer vermeintlichen Verteidiger.","巨大な砦の致命的な弱点はそこを守る者だというのはよくある話だ。","위압적인 보루의 치명적인 약점은, 보통 그곳을 수호하는 자들의 약점입니다.","A fraqueza fatal de um grande bastião geralmente é um de seus supostos defensores.","Фатальной слабостью любого бастиона обычно оказывается один из его защитников.","La debilidad fatal de un gran bastión suele ser uno de sus supuestos defensores.","จุดอ่อนอันตรายยิ่ง\r\nของปราการยิ่งใหญ่\r\nมักมาจากผู้ที่มีหน้าที่\r\nปกป้องมันเสมอ","宏偉堡壘的致命弱點，往往是那些本該保衛它的人。","[2908,1524]",2,[2908],[],"","","","Metadata/Terrain/WorldMaps/Act2/Objects/MapPinTraitorsPassage","","","","","","","","","","","","",1,4830,4830,"",56
120,"G2_2_Underground",123,[],"Traitor's Passage","Le Passage de la traîtresse","Klamm der Verräterin","裏切り者の通路","배반자의 통로","Estreito da Traidora","Тропа изменницы","El pasaje de la traidora","ทางผ่านผู้ทรยศ","叛徒之路","The fatal weakness of a great bastion is usually one of its supposed defenders.","La faiblesse mortelle d'une grande forteresse est généralement l'un de ses défenseurs supposés.","Die verhängnisvolle Schwäche eines großen Bollwerks ist meist einer seiner vermeintlichen Verteidiger.","巨大な砦の致命的な弱点はそこを守る者だというのはよくある話だ。","위압적인 보루의 치명적인 약점은, 보통 그곳을 수호하는 자들의 약점입니다.","A fraqueza fatal de um grande bastião geralmente é um de seus supostos defensores.","Фатальной слабостью любого бастиона обычно оказывается один из его защитников.","La debilidad fatal de un gran bastión suele ser uno de sus supuestos defensores.","จุดอ่อนอันตรายยิ่ง\r\nของปราการยิ่งใหญ่\r\nมักมาจากผู้ที่มีหน้าที่\r\nปกป้องมันเสมอ","宏偉堡壘的致命弱點，往往是那些本該保衛它的人。","[2908,1524]",2,[72],[],"","",119,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinTraitorsPassageUnderground","","","","","","","","","","","","","",4830,4830,"",56
121,"G2_2_Balbala",123,[],"Balbala, the Traitor","Balbala, la traîtresse","Balbala die Verräterin","裏切り者、バルバラ","배반자 발바라","Balbala, a Traidora","Балбала Изменница","Balbala, la Traidora","บัลบาล่า ผู้ทรยศ","叛徒芭芭拉","...the tale-women claim the traitor was bound here...","...les conteuses prétendent que la traîtresse était enchaînée ici...","… die Geschichtenhüterinnen sagen, dass hier die Verräterin eingesperrt wurde …","……語り女たちは裏切り者がここに縛られていると言っていた……","...이야기꾼들에 의하면 이곳에 배반자가 갇혔다고 합니다...","As contadoras de histórias afirmam que a traidora foi aprisionada aqui...","...сказительницы утверждают, будто здесь была заключена изменница...","...las cuentacuentos afirman que la traidora fue encerrada aquí...","...สตรีผู้เล่าขานอ้างว่า\r\nผู้ทรยศถูกล่ามไว้ที่นี่...","……說書女稱叛徒被困在這裡……",[2908],2,[72],[4792],"","WorldMapContentBossSanctum",119,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinBalbala",0,"","","","","","","","","","","","",4830,4830,"",56
122,"G2_2_BalbalaSlain",123,[],"Balbala, the Traitor","Balbala, la traîtresse","Balbala die Verräterin","裏切り者、バルバラ","배반자 발바라","Balbala, a Traidora","Балбала Изменница","Balbala, la Traidora","บัลบาล่า ผู้ทรยศ","叛徒芭芭拉","...the traitor, once bound, has now been released...","...la traîtresse, jadis enchaînée, a maintenant été libérée...","… die Verräterin, einst gefesselt, wurde nun befreit …","……かつて縛られし裏切り者は解放された……","...갇혀 있던 배반자가 해방되었습니다...","A traidora, outrora aprisionada, agora está livre...","...изменница уже свободна от былых оков...","...la traidora, antes encerrada, ahora ha sido liberada...","...ผู้ทรยศที่เคยอยู่\r\nใต้พันธนาการ\r\nได้เป็นไทเสียแล้ว...","……曾經被困的叛徒，現已獲釋……",[4792],2,[72],[],"","WorldMapContentBossSanctumDone",119,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinBalbala",0,"","","","","","","","","","","","",4830,4830,1,56
123,"G2_2_BellChest",123,[],"Bell Chest","Coffre cloche","Glockenstuhl","鐘型のチェスト","종 상자","Baú-sino","Звенящий сундук","Cofre de campana","หีบระฆัง","鳴鐘寶箱","The ancient bell chest chimes, whispering echoes of forgotten times.","L'ancien Coffre cloche tinte, murmurant des échos provenant d'époques oubliées.","Der uralte Glockenstuhl läutet, flüstert Echos aus vergessenen Zeiten.","古き鐘の箱が鳴り、忘れ去られし時の残響を囁く。","고대의 종 상자가 낭랑하게 울리며, 잊힌 시대의 메아리를 속삭입니다.","O antigo baú-sino ressoa, sussurrando ecos de tempos esquecidos.","Позвякивает древний сундук, эхом шепча о временах забытых.","El antiguo cofre de campana repica y susurra ecos de tiempos olvidados.","หีบระฆังโบราณ\r\nส่งเสียงกังวานแผ่วเบา\r\nจากยุคสมัยที่ถูกลืม","遠古的鳴鐘寶箱發出清脆鐘響，訴說著被遺忘的過去。",[2908],2,[72],[119],"","WorldMapContentBag",119,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinBellChest",0,"","","","","","","","","","","","",4830,4830,"",56
124,"G2_2_BellChestOpened",123,[],"Bell Chest","Coffre cloche","Glockenstuhl","鐘型のチェスト","종 상자","Baú-sino","Звенящий сундук","Cofre de campana","หีบระฆัง","鳴鐘寶箱","The bell chest lay silent, its chimes unheard for ages.","Le Coffre cloche reste silencieux, son tintement n'ayant pas été entendu depuis des siècles.","Der Glockenstuhl liegt seit Ewigkeiten still, sein Glockenspiel ist ungehört.","鐘の箱は静まり、その音は何度時代が変わっても聞こえることはなかった。","오랜 세월 소리를 내지 않은 종 상자가 고요히 놓여 있습니다.","O baú-sino jazia em silêncio, com seus badalos esquecidos havia eras.","Сундук не издаёт ни звука, его звон не был слышен веками.","El cofre de campana guarda silencio, sus campanadas no se oyen desde hace mucho tiempo.","หีบระฆังเงียบงัน\r\nสิ้นเสียงกังวานไปชั่วกาล","鳴鐘寶箱一聲不響，它的鐘聲已未鳴響多時。",[119],2,[72],[],"","WorldMapContentBagDone",119,"Metadata/Terrain/WorldMaps/Act2/Objects/MapPinBellChest",0,"","","","","","","","","","","","",4830,4830,1,56
125,"G2_3",124,[124],"The Halani Gates","Les Portes d'Halani","Die Halani-Tore","ハラニの門","할라니 관문","Os Portões Halani","Ворота Халани","Las puertas de Halani","ประตูฮาลานี","哈拉妮關口","Maws of stone threaten to snap shut on the unwary.","Des mâchoires de pierre menacent de se refermer sur les imprudents.","Steinerne Schlünde drohen, die Unachtsamen zu verschlingen.","気の緩みし者には石の顎が噛みつかんとする。","돌로 만들어진 아가리가 방심하는 자들을 삼켜 버리겠다 위협합니다.","Mandíbulas de pedra ameaçam se fechar sobre os desavisados.","Каменные челюсти угрожают сомкнуться на неосторожных.","Unas fauces de piedra que amenazan con cerrarse sobre los incautos.","ปากศิลารองับ\r\nลงมายังผู้ที่เลินเล่อ","巨石裂齒獸張嘴，威脅著那些掉以輕心的人。",[2908],2,[2909],[],"","","","Metadata/Terrain/WorldMaps/Act2/Objects/MapPinGates","","","","","","","","","","","","","",4830,4830,"",56
