"rownum","Id","HASH16","ModType","Level","Stat1","Stat2","Stat3","Stat4","Domain","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","GenerationType","Families","Stat1Value","i32_130","Stat2Value","i32_138","Stat3Value","i32_146","Stat4Value","i32_154","SpawnWeight_Tags","[i32]_174","Tags","GrantedEffectsPerLevel","AuraFlags","[i32]_238","MonsterMetadata","MonsterKillAchievements","ChestModType","Stat5Value","i32_298","Stat5","FullAreaClear_AchievementItems","AchievementItems","GenerationWeight_Tags","GenerationWeight_Values","ModifyMapsAchievements","Stat6Value","i32_402","Stat6","MaxLevel","bool_426","CraftingItemClassRestrictions","MonsterOnDeath","i32_451","HeistAchievements","Stat7Value","i32_475","Stat7","Stat8","Stat8Value","i32_515","InfluenceType","ImplicitTags","HasHardmodeStatValues","Stat1MinHardmode","Stat1MaxHardmode","Stat2MinHardmode","Stat2MaxHardmode","Stat3MinHardmode","Stat3MaxHardmode","Stat4MinHardmode","Stat4MaxHardmode","Stat5MinHardmode","Stat5MaxHardmode","Stat6MinHardmode","Stat6MaxHardmode","Stat7MinHardmode","Stat7MaxHardmode","Stat8MinHardmode","Stat8MaxHardmode","BuffTemplate","ArchnemesisMinionMod","HASH32","BuffTemplate2","i32_648","[rid]_652","RadiusJewelType","IsEssenceOnlyModifier","SpawnLevel_Override","SpawnWeight_Values"
2429,"UniqueIntelligence45",38325,447,1,567,"","","",1,"","","","","","","","","","",3,[149],8,15,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",3511968691,[],0,[],3,"",0,[]
2430,"UniqueIntelligence46",24358,447,1,567,"","","",1,"","","","","","","","","","",3,[149],20,30,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",3715503634,[],0,[],3,"",0,[]
2431,"UniqueIntelligence47",54079,447,1,567,"","","",1,"","","","","","","","","","",3,[149],20,30,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",3364603550,[],0,[],3,"",0,[]
2432,"UniqueIntelligence48",14942,447,1,567,"","","",1,"","","","","","","","","","",3,[149],15,25,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",942727815,[],0,[],3,"",0,[]
2433,"UniqueIntelligence49",12704,447,1,567,"","","",1,"","","","","","","","","","",3,[149],20,30,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2298191765,[],0,[],3,"",0,[]
2434,"UniqueIntelligence50",29390,447,69,567,"","","",1,"","","","","","","","","","",3,[149],25,35,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",3716772341,[],0,[],3,"",0,[]
2435,"UniqueIntelligence51",46322,447,69,567,"","","",1,"","","","","","","","","","",3,[149],15,25,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",841706337,[],0,[],3,"",0,[]
2436,"UniqueStrengthAndIntelligence1",38165,6658,1,1380,"","","",1,"","","","","","","","","","",3,"[147,149]",10,20,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",1108731354,[],0,[],3,"",0,[]
2437,"UniqueStrengthAndIntelligence2",54776,6658,1,1380,"","","",1,"","","","","","","","","","",3,"[147,149]",20,30,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",441721502,[],0,[],3,"",0,[]
2438,"UniqueStrengthAndIntelligence3",55013,6658,1,1380,"","","",1,"","","","","","","","","","",3,"[147,149]",15,25,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",456589290,[],0,[],3,"",0,[]
2439,"UniqueStrengthAndIntelligence4",4889,6658,1,1380,"","","",1,"","","","","","","","","","",3,"[147,149]",10,20,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",3043383499,[],0,[],3,"",0,[]
2440,"UniqueStrengthAndDexterity1",145,6657,1,1381,"","","",1,"","","","","","","","","","",3,"[147,148]",10,20,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",4124414275,[],0,[],3,"",0,[]
2441,"UniqueDexterityAndIntelligence1",11646,6659,1,1382,"","","",1,"","","","","","","","","","",3,"[148,149]",10,20,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",38907196,[],0,[],3,"",0,[]
2442,"UniqueAllAttributes1",9703,449,1,594,"","","",1,"","","","","","","","","","",3,[150],10,20,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",1750048277,[],0,[],3,"",0,[]
2443,"UniqueAllAttributes2",30628,449,1,594,"","","",1,"","","","","","","","","","",3,[150],5,10,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2022141658,[],0,[],3,"",0,[]
2444,"UniqueAllAttributes3",20104,449,1,594,"","","",1,"","","","","","","","","","",3,[150],50,100,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",4015670041,[],0,[],3,"",0,[]
2445,"UniqueAllAttributes4",21680,449,1,594,"","","",1,"","","","","","","","","","",3,[150],10,20,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",1211185642,[],0,[],3,"",0,[]
2446,"UniqueAllAttributes5",52822,449,1,594,"","","",1,"","","","","","","","","","",3,[150],15,25,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",286020266,[],0,[],3,"",0,[]
2447,"UniqueAllAttributes6",27245,449,1,594,"","","",1,"","","","","","","","","","",3,[150],5,10,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",3074081377,[],0,[],3,"",0,[]
2448,"UniqueAllAttributes7",36730,449,1,594,"","","",1,"","","","","","","","","","",3,[150],10,15,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2059228407,[],0,[],3,"",0,[]
2449,"UniqueAllAttributes8",36635,449,1,594,"","","",1,"","","","","","","","","","",3,[150],10,15,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",3775223508,[],0,[],3,"",0,[]
2450,"UniqueAllAttributes9",4133,449,1,594,"","","",1,"","","","","","","","","","",3,[150],10,20,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2288984996,[],0,[],3,"",0,[]
2451,"UniqueAllAttributes10",31514,449,1,594,"","","",1,"","","","","","","","","","",3,[150],10,20,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",1412885214,[],0,[],3,"",0,[]
2452,"UniqueAllAttributes11",21303,449,1,594,"","","",1,"","","","","","","","","","",3,[150],10,15,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2619773115,[],0,[],3,"",0,[]
2453,"UniqueAllAttributes12",29017,449,1,594,"","","",1,"","","","","","","","","","",3,[150],10,15,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",256466520,[],0,[],3,"",0,[]
2454,"UniqueAllAttributes13",19883,449,1,594,"","","",1,"","","","","","","","","","",3,[150],10,15,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",3675286907,[],0,[],3,"",0,[]
2455,"UniqueAllAttributes14",21270,449,1,594,"","","",1,"","","","","","","","","","",3,[150],10,15,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2105691082,[],0,[],3,"",0,[]
2456,"UniqueAllAttributes15",58235,449,1,594,"","","",1,"","","","","","","","","","",3,[150],15,25,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",3926669080,[],0,[],3,"",0,[]
2457,"UniqueAllAttributes16",19,449,1,594,"","","",1,"","","","","","","","","","",3,[150],5,10,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",4151486273,[],0,[],3,"",0,[]
2458,"UniqueAllAttributes17",61213,449,82,594,"","","",1,"","","","","","","","","","",3,[150],7,13,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",224600992,[],0,[],3,"",0,[]
2459,"UniqueAllAttributes18",16711,449,1,594,"","","",1,"","","","","","","","","","",3,[150],7,13,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2288797262,[],0,[],3,"",0,[]
2460,"UniqueAllAttributes19",23385,449,78,594,"","","",1,"","","","","","","","","","",3,[150],6,12,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[584],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",4063973115,[],0,[],3,"",0,[]
2461,"UniqueFireResist1",20866,144,1,139,"","","",1,"","","","","","","","","","",3,[49],30,50,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[1264,1265,320,311,583]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",1390389209,[],0,[],3,"",0,[]
2462,"UniqueFireResist2",55561,144,1,139,"","","",1,"","","","","","","","","","",3,[49],20,40,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[1264,1265,320,311,583]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",536205392,[],0,[],3,"",0,[]
2463,"UniqueFireResist3",10053,144,1,139,"","","",1,"","","","","","","","","","",3,[49],30,50,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[1264,1265,320,311,583]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",4166271236,[],0,[],3,"",0,[]
2464,"UniqueFireResist4",54352,144,1,139,"","","",1,"","","","","","","","","","",3,[49],-20,-10,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[1264,1265,320,311,583]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",3871520309,[],0,[],3,"",0,[]
2465,"UniqueFireResist5",26497,144,1,139,"","","",1,"","","","","","","","","","",3,[49],5,10,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[1264,1265,320,311,583]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",3948803122,[],0,[],3,"",0,[]
2466,"UniqueFireResist6",27954,144,1,139,"","","",1,"","","","","","","","","","",3,[49],15,25,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[1264,1265,320,311,583]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2200583002,[],0,[],3,"",0,[]
2467,"UniqueFireResist7",35265,144,1,139,"","","",1,"","","","","","","","","","",3,[49],5,15,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[1264,1265,320,311,583]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",360356407,[],0,[],3,"",0,[]
2468,"UniqueFireResist8",17735,144,1,139,"","","",1,"","","","","","","","","","",3,[49],30,40,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[1264,1265,320,311,583]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",917952328,[],0,[],3,"",0,[]
2469,"UniqueFireResist9",36533,144,1,139,"","","",1,"","","","","","","","","","",3,[49],-10,-10,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[1264,1265,320,311,583]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2861531085,[],0,[],3,"",0,[]
2470,"UniqueFireResist10",6562,144,1,139,"","","",1,"","","","","","","","","","",3,[49],15,30,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[1264,1265,320,311,583]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",4046043966,[],0,[],3,"",0,[]
2471,"UniqueFireResist11",10464,144,1,139,"","","",1,"","","","","","","","","","",3,[49],0,10,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[1264,1265,320,311,583]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",872570630,[],0,[],3,"",0,[]
2472,"UniqueFireResist12",26130,144,1,139,"","","",1,"","","","","","","","","","",3,[49],20,30,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[1264,1265,320,311,583]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",3904240056,[],0,[],3,"",0,[]
2473,"UniqueFireResist13",58054,144,1,139,"","","",1,"","","","","","","","","","",3,[49],20,20,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[1264,1265,320,311,583]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",3536922888,[],0,[],3,"",0,[]
2474,"UniqueFireResist14",43793,144,1,139,"","","",1,"","","","","","","","","","",3,[49],20,30,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[1264,1265,320,311,583]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",3952210999,[],0,[],3,"",0,[]
2475,"UniqueFireResist15",36034,144,1,139,"","","",1,"","","","","","","","","","",3,[49],15,25,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[1264,1265,320,311,583]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",783948776,[],0,[],3,"",0,[]
2476,"UniqueFireResist16",63029,144,1,139,"","","",1,"","","","","","","","","","",3,[49],20,25,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[1264,1265,320,311,583]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",177515331,[],0,[],3,"",0,[]
2477,"UniqueFireResist17",38276,144,1,139,"","","",1,"","","","","","","","","","",3,[49],-15,-10,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[1264,1265,320,311,583]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",3605381670,[],0,[],3,"",0,[]
2478,"UniqueFireResist18",13499,144,1,139,"","","",1,"","","","","","","","","","",3,[49],20,30,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[1264,1265,320,311,583]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",3631407721,[],0,[],3,"",0,[]
2479,"UniqueFireResist19",8620,144,1,139,"","","",1,"","","","","","","","","","",3,[49],-10,-10,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[1264,1265,320,311,583]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",4056892809,[],0,[],3,"",0,[]
2480,"UniqueFireResist20",50754,144,1,139,"","","",1,"","","","","","","","","","",3,[49],15,25,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[1264,1265,320,311,583]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",3255190506,[],0,[],3,"",0,[]
2481,"UniqueFireResist21",48828,144,1,139,"","","",1,"","","","","","","","","","",3,[49],20,30,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[1264,1265,320,311,583]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2042875146,[],0,[],3,"",0,[]
2482,"UniqueFireResist22",44214,144,1,139,"","","",1,"","","","","","","","","","",3,[49],-30,30,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[1264,1265,320,311,583]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",957790851,[],0,[],3,"",0,[]
2483,"UniqueFireResist23",20880,144,1,139,"","","",1,"","","","","","","","","","",3,[49],10,20,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[1264,1265,320,311,583]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",1063788153,[],0,[],3,"",0,[]
2484,"UniqueFireResist24",9479,144,1,139,"","","",1,"","","","","","","","","","",3,[49],-40,40,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[1264,1265,320,311,583]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2482002217,[],0,[],3,"",0,[]
2485,"UniqueFireResist25",4904,144,1,139,"","","",1,"","","","","","","","","","",3,[49],50,100,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[1264,1265,320,311,583]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2778945347,[],0,[],3,"",0,[]
2486,"UniqueFireResist26",34702,144,1,139,"","","",1,"","","","","","","","","","",3,[49],20,30,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[1264,1265,320,311,583]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",50683427,[],0,[],3,"",0,[]
2487,"UniqueFireResist27",24294,144,1,139,"","","",1,"","","","","","","","","","",3,[49],20,30,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[1264,1265,320,311,583]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",3074134437,[],0,[],3,"",0,[]
2488,"UniqueFireResist28",122,144,1,139,"","","",1,"","","","","","","","","","",3,[49],20,25,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[1264,1265,320,311,583]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",1596771611,[],0,[],3,"",0,[]
2489,"UniqueFireResist29",4034,144,1,139,"","","",1,"","","","","","","","","","",3,[49],10,20,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[1264,1265,320,311,583]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",3535193361,[],0,[],3,"",0,[]
2490,"UniqueFireResist30",41905,144,1,139,"","","",1,"","","","","","","","","","",3,[49],25,35,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[1264,1265,320,311,583]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",3400290986,[],0,[],3,"",0,[]
2491,"UniqueFireResist31",16285,144,1,139,"","","",1,"","","","","","","","","","",3,[49],30,40,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[1264,1265,320,311,583]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2443760153,[],0,[],3,"",0,[]
2492,"UniqueFireResist32",35240,144,1,139,"","","",1,"","","","","","","","","","",3,[49],5,15,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[1264,1265,320,311,583]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",4246473967,[],0,[],3,"",0,[]
2493,"UniqueFireResist33",1086,144,1,139,"","","",1,"","","","","","","","","","",3,[49],20,30,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[1264,1265,320,311,583]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",3219576055,[],0,[],3,"",0,[]
2494,"UniqueFireResist34",19061,144,1,139,"","","",1,"","","","","","","","","","",3,[49],10,15,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[1264,1265,320,311,583]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",1994884356,[],0,[],3,"",0,[]
2495,"UniqueFireResist35",8048,144,1,139,"","","",1,"","","","","","","","","","",3,[49],15,25,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[1264,1265,320,311,583]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",3608892662,[],0,[],3,"",0,[]
2496,"UniqueColdResist1",64878,145,1,141,"","","",1,"","","","","","","","","","",3,[50],-20,-10,0,0,0,0,0,0,[],[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[1266,1264,320,312,583]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",3871688781,[],0,[],3,"",0,[]
