"rownum","Room","Level","Id","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Icon_DDSFile","Mod","ModValues","Description2","Description2 (French)","Description2 (German)","Description2 (Japanese)","Description2 (Korean)","Description2 (Portuguese)","Description2 (Russian)","Description2 (Spanish)","Description2 (Thai)","Description2 (Traditional Chinese)"
43,14,1,"thaumaturge_lvl1","","Contient l'Établi de lapidaire, qui peut être utilisé pour fixer le nombre de Châsses de Gemme de soutien d'une Gemme d'aptitude à 3","Enthält die Gemmenschneider-Werkbank, die verwendet werden kann, um eine Fertigkeitengemme mit 3 Fassungen für Unterstützungen auszustatten","ジェムを3個のサポートジェムソケットを持つよう変更する装置が出現する","사용 시 스킬 젬의 보조 젬 홈을 3개로 만드는 젬 가공 작업대 포함","Contém a Bancada de Lapidação de Gemas, que pode ser usada para modificar uma gema de habilidade para ter 3 encaixes de gema de reforço","Содержит верстак камнереза, делающий число гнёзд для камней поддержки в камне умения равным 3","Contiene la Mesa de trabajo de tallado de gemas que se puede usar para modificar una gema de habilidad para que tenga 3 engarces de gema de asistencia","มีโต๊ะทำงานเจียระไนมณีที่ทำให้หินมี รูหินเสริม 3 รู","包含一個將寶石設定為擁有 3 個輔助寶石插槽的裝置\r\n階級 3 允許進一步汙染寶石","Thaumaturge's Laboratory","Laboratoire du thaumaturge","Labor des Thaumaturgen","ソーマタジーの研究所","마석학자의 실험실","Laboratório do Taumaturgo","Лаборатория волшебства","Laboratorio del taumaturgo","ห้องทดลองนักเวทมณี","奇術師實驗室","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconThaumaturge.dds",15003,"[8,0]","May drop [IncursionMedallionIncreaseRoomTier|Quipolatl's Medallion] or [IncursionMedallionAddRoom|Uromoti's Medallion]","Peut céder un [IncursionMedallionIncreaseRoomTier|Médaillon de Quipolatl] ou un [IncursionMedallionAddRoom|Médaillon d'Uromoti]","Kann [IncursionMedallionIncreaseRoomTier|Quipolatls Medaillon] oder [IncursionMedallionAddRoom|Uromotis Medaillon] fallen lassen","[IncursionMedallionIncreaseRoomTier|キポラトルのメダリオン]または[IncursionMedallionAddRoom|ウロモティのメダリオン]をドロップすることがある","[IncursionMedallionIncreaseRoomTier|퀴폴라틀의 메달리온] 또는 [IncursionMedallionAddRoom|우로모티의 메달리온]이 나올 수 있음","Pode largar o [IncursionMedallionIncreaseRoomTier|Medalhão de Quipolatl] ou [IncursionMedallionAddRoom|Medalhão de Uromoti]","Можно найти [IncursionMedallionIncreaseRoomTier|Медальон Квиполатля] или [IncursionMedallionAddRoom|Медальон Уромоти]","Puede dar un [IncursionMedallionIncreaseRoomTier|Medallón de Quipolatl] o un [IncursionMedallionAddRoom|Medallón de Uromoti]","อาจดรอป[IncursionMedallionIncreaseRoomTier|เหรียญตราคุยโปลาทัล]หรือ[IncursionMedallionIncreaseRoomTier|เหรียญตราอูรูมอที]","可能掉落 [IncursionMedallionIncreaseRoomTier|克特帕托聖徽] 或 [IncursionMedallionAddRoom|烏爾摩堤聖徽]"
44,14,2,"thaumaturge_lvl2","Contains the Gemcutting Mechanism which can be used to increase the [Quality] of a Skill Gem","Contient le Mécanisme de lapidaire, qui peut être utilisé pour augmenter la [Quality|Qualité] d'une Gemme d'aptitude","Enthält den Gemmenschneider-Mechanismus, der verwendet werden kann, um die [Quality|Qualität] einer Fertigkeitengemme zu verbessern","スキルジェムの[Quality|品質]を向上できる装置が出現する","사용 시 스킬 젬의 [Quality|퀄리티]를 증가시키는 젬 가공 기계 장치 포함","Contém o Mecanismo de Lapidação de Gemas, que pode ser usado para aumentar a [Quality|qualidade] de uma gema de habilidade","Содержит механизм камнереза, повышающий [Quality|качество] камня умения","Contiene el Mecanismo de tallado de gemas que se puede usar para mejorar la [Quality|calidad] de una gema de habilidad","มีกลไกเจียระไนมณีที่เพิ่ม[Quality|ค่าคุณภาพ]ให้กับหินสกิล","包含一個提升技能寶石品質的裝置\r\n階級 3 允許進一步汙染寶石","Thaumaturge's Cuttery","Taillerie du thaumaturge","Schneidewerkstatt des Thaumaturgen","ソーマタジーの加工所","마석학자의 절단실","Cutelaria do Taumaturgo","Мастерская волшебства","Cuchillería del taumaturgo","ห้องเจียระไนนักเวทมณี","奇術師切割所","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconThaumaturge.dds",15003,"[15,0]","May drop [IncursionMedallionIncreaseRoomTier|Quipolatl's Medallion] or [IncursionMedallionAddRoom|Uromoti's Medallion]","Peut céder un [IncursionMedallionIncreaseRoomTier|Médaillon de Quipolatl] ou un [IncursionMedallionAddRoom|Médaillon d'Uromoti]","Kann [IncursionMedallionIncreaseRoomTier|Quipolatls Medaillon] oder [IncursionMedallionAddRoom|Uromotis Medaillon] fallen lassen","[IncursionMedallionIncreaseRoomTier|キポラトルのメダリオン]または[IncursionMedallionAddRoom|ウロモティのメダリオン]をドロップすることがある","[IncursionMedallionIncreaseRoomTier|퀴폴라틀의 메달리온] 또는 [IncursionMedallionAddRoom|우로모티의 메달리온]이 나올 수 있음","Pode largar o [IncursionMedallionIncreaseRoomTier|Medalhão de Quipolatl] ou [IncursionMedallionAddRoom|Medalhão de Uromoti]","Можно найти [IncursionMedallionIncreaseRoomTier|Медальон Квиполатля] или [IncursionMedallionAddRoom|Медальон Уромоти]","Puede dar un [IncursionMedallionIncreaseRoomTier|Medallón de Quipolatl] o un [IncursionMedallionAddRoom|Medallón de Uromoti]","อาจดรอป[IncursionMedallionIncreaseRoomTier|เหรียญตราคุยโปลาทัล]หรือ[IncursionMedallionIncreaseRoomTier|เหรียญตราอูรูมอที]","可能掉落 [IncursionMedallionIncreaseRoomTier|克特帕托聖徽] 或 [IncursionMedallionAddRoom|烏爾摩堤聖徽]"
45,14,3,"thaumaturge_lvl3","Contains the Gem Corrupter which can be used to modify a [Corrupted] Skill Gem unpredictably\r\nRoom [IncursionDestabilization|Destabilises] once device is used","Contient le Corrupteur de Gemme, qui peut être utilisé pour modifier une Gemme d'aptitude [Corrupted|Corrompue] de manière imprévisible\r\nLa Salle sera [IncursionDestabilization|Déstabilisée] une fois le dispositif utilisé","Enthält den Gemmenverderber, der verwendet werden kann, um eine [Corrupted|verderbte] Fertigkeitengemme auf unvorhergesehene Weise zu modifizieren\r\nRaum wird nach dem Benutzen des Geräts [IncursionDestabilization|destabilisiert]","[Corrupted|コラプト]スキルジェムを予測不能に変化させるジェムコラプターが出現する\r\nこの装置を使用するとこの部屋の[IncursionDestabilization|不安定化]が起きる","사용 시 [Corrupted|타락한] 스킬 젬을 예측 불가능하게 변경하는 젬 타락기 포함\r\n장치 사용 시 방이 [IncursionDestabilization|불안정해짐]","Contém o Corruptor de Gema, que pode ser usado para modificar uma gema de habilidade [Corrupted|corrompida] de forma imprevisível\r\nApós utilizá-lo, a sala é [IncursionDestabilization|desestabilizada]","Содержит осквернитель камней, позволяющий изменять [Corrupted|осквернённый] камень умения непредсказуемым образом\r\nКомната [IncursionDestabilization|дестабилизируется] после использования устройства","Contiene el Corruptor de gemas que se puede usar para modificar una gema de habilidad [Corrupted|corrupta] de forma impredecible\r\nLa sala se [IncursionDestabilization|desestabiliza] tras usar el dispositivo","มีเครื่องใส่มลทินมณีที่เปลี่ยนแปลงหินสกิลที่[Corrupted|มีมลทิน]อย่างไม่อาจคาดเดาได้\r\nห้องนี้จะถูก[IncursionDestabilization|ระงับเสถียรภาพ]หลังจากที่ใช้เครื่อง","包含一個進一步汙染寶石的裝置\r\n在使用後房間會[IncursionDestabilization|不穩定]","Thaumaturge's Cathedral","Cathédrale du thaumaturge","Kathedrale des Thaumaturgen","ソーマタジーの大聖堂","마석학자의 대성당","Catedral do Taumaturgo","Собор волшебства","Catedral del taumaturgo","โบสถ์นักเวทมณี","奇術師大教堂","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconThaumaturge.dds",15003,"[22,1]","May drop [IncursionMedallionPreventDestabilise|Juatalotli's Medallion], [IncursionMedallionRerollRestrictedRoom|Hayoxi's Medallion], [IncursionMedallionAddRoom|Uromoti's Medallion], [IncursionMedallionAddAdditionalRestrictedRoom|Estazunti's Medallion] or [IncursionMedallionRerollRoomCards|Puhuarte's Medallion]","Peut céder un [IncursionMedallionPreventDestabilise|Médaillon de Juatalotli], un [IncursionMedallionRerollRestrictedRoom|Médaillon d'Hayoxi], un [IncursionMedallionAddRoom|Médaillon d'Uromoti], un [IncursionMedallionAddAdditionalRestrictedRoom|Médaillon d'Estazunti] ou un [IncursionMedallionRerollRoomCards|Médaillon de Puhuarte]","Kann [IncursionMedallionPreventDestabilise|Juatalotlis Medaillon], [IncursionMedallionRerollRestrictedRoom|Hayoxis Medaillon], [IncursionMedallionAddRoom|Uromotis Medaillon], [IncursionMedallionAddAdditionalRestrictedRoom|Estazuntis Medaillon] oder [IncursionMedallionRerollRoomCards|Puhuartes Medaillon] fallen lassen","[IncursionMedallionPreventDestabilise|フアタロトリのメダリオン]、[IncursionMedallionRerollRestrictedRoom|ハヨキのメダリオン]、[IncursionMedallionAddRoom|ウロモティのメダリオン]、[IncursionMedallionAddAdditionalRestrictedRoom|エスタズンティのメダリオン]または[IncursionMedallionRerollRoomCards|プフアテのメダリオン]をドロップすることがある","[IncursionMedallionPreventDestabilise|주앗탈로틀리의 메달리온], [IncursionMedallionRerollRestrictedRoom|하욕시의 메달리온], [IncursionMedallionAddRoom|우로모티의 메달리온], [IncursionMedallionMaximumCrystalCapacity|조펙의 메달리온], [IncursionMedallionMaximumMedallionCapacity|아즈카파의 메달리온], [IncursionMedallionAddAdditionalRestrictedRoom|에스타준티의 메달리온] 또는 [IncursionMedallionRerollRoomCards|푸후알테의 메달리온]이 나올 수 있음","Pode largar o [IncursionMedallionPreventDestabilise|Medalhão de Juatalotli], [IncursionMedallionRerollRestrictedRoom|Medalhão de Hayoxi], [IncursionMedallionAddRoom|Medalhão de Uromoti], [IncursionMedallionAddAdditionalRestrictedRoom|Medalhão de Estazunti] ou [IncursionMedallionRerollRoomCards|Medalhão de Puhuarte]","Можно найти [IncursionMedallionPreventDestabilise|Медальон Ваталотли], [IncursionMedallionRerollRestrictedRoom|Медальон Хайоши], [IncursionMedallionAddRoom|Медальон Уромоти], [IncursionMedallionAddAdditionalRestrictedRoom|Медальон Эстазунти] или [IncursionMedallionRerollRoomCards|Медальон Пухварте]","Puede dar un [IncursionMedallionPreventDestabilise|Medallón de Juatalotli], un [IncursionMedallionRerollRestrictedRoom|Medallón de Hayoxi], un [IncursionMedallionAddRoom|Medallón de Uromoti], un [IncursionMedallionAddAdditionalRestrictedRoom|Medallón de Estazunti] o un [IncursionMedallionRerollRoomCards|Medallón de Puhuarte]","อาจดรอป[IncursionMedallionPreventDestabilise|เหรียญตราฮัวตาล็อตลี], [IncursionMedallionRerollRestrictedRoom|เหรียญตราเฮโยคี], [IncursionMedallionAddRoom|เหรียญตราอูรูมอที], [IncursionMedallionAddAdditionalRestrictedRoom|เหรียญตราเอสตาซุนที] หรือ[IncursionMedallionRerollRoomCards|เหรียญตราพูฮวาเท]","可能掉落 [IncursionMedallionPreventDestabilise|瓦爾羅特聖徽]、[IncursionMedallionRerollRestrictedRoom|荷霖蔡聖徽]、[IncursionMedallionAddRoom|烏爾摩堤聖徽]、[IncursionMedallionAddAdditionalRestrictedRoom|艾斯祖太聖徽] 或 [IncursionMedallionRerollRoomCards|普希瓦爾聖徽]"
46,14,4,"thaumaturge_lvl4","Contains the Gem Corrupter which can be used to modify a [Corrupted] Skill Gem unpredictably\r\nRoom [IncursionDestabilization|Destabilises] once device is used","Contains the Gem Corrupter which can be used to modify a [Corrupted] Skill Gem unpredictably\r\nRoom [IncursionDestabilization|Destabilises] once device is used","Enthält den Gemmenverderber, der verwendet werden kann, um eine [Corrupted|verderbte] Fertigkeitengemme auf unvorhergesehene Weise zu modifizieren\r\nRaum wird nach dem Benutzen des Geräts [IncursionDestabilization|destabilisiert]","[Corrupted|コラプト]スキルジェムを予測不能に変化させるジェムコラプターが出現する\r\nこの装置を使用するとこの部屋の[IncursionDestabilization|不安定化]が起きる","사용 시 [Corrupted|타락한] 스킬 젬을 예측 불가능하게 변경하는 젬 타락기 포함\r\n장치 사용 시 방이 [IncursionDestabilization|불안정해짐]","Contém o Corruptor de Gema, que pode ser usado para modificar uma gema de habilidade [Corrupted|corrompida] de forma imprevisível\r\nApós utilizá-lo, a sala é [IncursionDestabilization|desestabilizada]","Содержит осквернитель камней, позволяющий изменять [Corrupted|осквернённый] камень умения непредсказуемым образом\r\nКомната [IncursionDestabilization|дестабилизируется] после использования устройства","Contiene el Corruptor de gemas que se puede usar para modificar una gema de habilidad [Corrupted|corrupta] de forma impredecible\r\nLa sala se [IncursionDestabilization|desestabiliza] tras usar el dispositivo","มีเครื่องใส่มลทินมณีที่เปลี่ยนแปลงหินสกิลที่[Corrupted|มีมลทิน]อย่างไม่อาจคาดเดาได้\r\nห้องนี้จะถูก[IncursionDestabilization|ระงับเสถียรภาพ]หลังจากที่ใช้เครื่อง","包含一個進一步汙染寶石的裝置\r\n在使用後房間會[IncursionDestabilization|不穩定]","Thaumaturge's Culmination","Thaumaturge's Culmination","Gipfel des Thaumaturgen","ソーマタージの到達点","마석학자의 고조","Auge do Taumaturgo","Кульминация волшебства","Culminación del taumaturgo","บทสรุปของนักเวทมณี","奇術師之巔","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconThaumaturge.dds",15003,"[25,1]","May drop [IncursionMedallionPreventDestabilise|Juatalotli's Medallion], [IncursionMedallionRerollRestrictedRoom|Hayoxi's Medallion], [IncursionMedallionAddRoom|Uromoti's Medallion], [IncursionMedallionAddAdditionalRestrictedRoom|Estazunti's Medallion] or [IncursionMedallionRerollRoomCards|Puhuarte's Medallion]","May drop [IncursionMedallionPreventDestabilise|Juatalotli's Medallion], [IncursionMedallionRerollRestrictedRoom|Hayoxi's Medallion], [IncursionMedallionAddRoom|Uromoti's Medallion], [IncursionMedallionAddAdditionalRestrictedRoom|Estazunti's Medallion] or [IncursionMedallionRerollRoomCards|Puhuarte's Medallion]","Kann [IncursionMedallionPreventDestabilise|Juatalotlis Medaillon], [IncursionMedallionRerollRestrictedRoom|Hayoxis Medaillon], [IncursionMedallionAddRoom|Uromotis Medaillon], [IncursionMedallionAddAdditionalRestrictedRoom|Estazuntis Medaillon] oder [IncursionMedallionRerollRoomCards|Puhuartes Medaillon] fallen lassen","[IncursionMedallionPreventDestabilise|フアタロトリのメダリオン]、[IncursionMedallionRerollRestrictedRoom|ハヨキのメダリオン]、[IncursionMedallionAddRoom|ウロモティのメダリオン]、[IncursionMedallionAddAdditionalRestrictedRoom|エスタズンティのメダリオン]または[IncursionMedallionRerollRoomCards|プフアテのメダリオン]をドロップすることがある","[IncursionMedallionPreventDestabilise|주앗탈로틀리의 메달리온], [IncursionMedallionRerollRestrictedRoom|하욕시의 메달리온], [IncursionMedallionAddRoom|우로모티의 메달리온], [IncursionMedallionAddAdditionalRestrictedRoom|에스타준티의 메달리온] 또는 [IncursionMedallionRerollRoomCards|푸후알테의 메달리온]이 나올 수 있음","Pode largar o [IncursionMedallionPreventDestabilise|Medalhão de Juatalotli], [IncursionMedallionRerollRestrictedRoom|Medalhão de Hayoxi], [IncursionMedallionAddRoom|Medalhão de Uromoti], [IncursionMedallionAddAdditionalRestrictedRoom|Medalhão de Estazunti] ou [IncursionMedallionRerollRoomCards|Medalhão de Puhuarte]","Можно найти [IncursionMedallionPreventDestabilise|Медальон Ваталотли], [IncursionMedallionRerollRestrictedRoom|Медальон Хайоши], [IncursionMedallionAddRoom|Медальон Уромоти], [IncursionMedallionAddAdditionalRestrictedRoom|Медальон Эстазунти] или [IncursionMedallionRerollRoomCards|Медальон Пухварте]","Puede dar un [IncursionMedallionPreventDestabilise|Medallón de Juatalotli], un [IncursionMedallionRerollRestrictedRoom|Medallón de Hayoxi], un [IncursionMedallionAddRoom|Medallón de Uromoti], un [IncursionMedallionAddAdditionalRestrictedRoom|Medallón de Estazunti] o un [IncursionMedallionRerollRoomCards|Medallón de Puhuarte]","อาจดรอป[IncursionMedallionPreventDestabilise|เหรียญตราฮัวตาล็อตลี], [IncursionMedallionRerollRestrictedRoom|เหรียญตราเฮโยคี], [IncursionMedallionAddRoom|เหรียญตราอูรูมอที], [IncursionMedallionAddAdditionalRestrictedRoom|เหรียญตราเอสตาซุนที] หรือ[IncursionMedallionRerollRoomCards|เหรียญตราพูฮวาเท]","可能掉落 [IncursionMedallionPreventDestabilise|瓦爾羅特聖徽]、[IncursionMedallionRerollRestrictedRoom|荷霖蔡聖徽]、[IncursionMedallionAddRoom|烏爾摩堤聖徽]、[IncursionMedallionAddAdditionalRestrictedRoom|艾斯祖太聖徽] 或 [IncursionMedallionRerollRoomCards|普希瓦爾聖徽]"
47,15,1,"golemworks_lvl1","","","","","","","","","","","Workshop","Atelier","Werkstatt","作業場","작업장","Oficina","Мастерская","Taller","ห้อง​ปฏิบัติการ","工坊","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconGolemWorks.dds",15002,"[8,0]","May drop [IncursionMedallionIncreaseRoomTier|Quipolatl's Medallion] or [IncursionMedallionAddRoom|Uromoti's Medallion]","Peut céder un [IncursionMedallionIncreaseRoomTier|Médaillon de Quipolatl] ou un [IncursionMedallionAddRoom|Médaillon d'Uromoti]","Kann [IncursionMedallionIncreaseRoomTier|Quipolatls Medaillon] oder [IncursionMedallionAddRoom|Uromotis Medaillon] fallen lassen","[IncursionMedallionIncreaseRoomTier|キポラトルのメダリオン]または[IncursionMedallionAddRoom|ウロモティのメダリオン]をドロップすることがある","[IncursionMedallionIncreaseRoomTier|퀴폴라틀의 메달리온] 또는 [IncursionMedallionAddRoom|우로모티의 메달리온]이 나올 수 있음","Pode largar o [IncursionMedallionIncreaseRoomTier|Medalhão de Quipolatl] ou [IncursionMedallionAddRoom|Medalhão de Uromoti]","Можно найти [IncursionMedallionIncreaseRoomTier|Медальон Квиполатля] или [IncursionMedallionAddRoom|Медальон Уромоти]","Puede dar un [IncursionMedallionIncreaseRoomTier|Medallón de Quipolatl] o un [IncursionMedallionAddRoom|Medallón de Uromoti]","อาจดรอป[IncursionMedallionIncreaseRoomTier|เหรียญตราคุยโปลาทัล]หรือ[IncursionMedallionIncreaseRoomTier|เหรียญตราอูรูมอที]","可能掉落 [IncursionMedallionIncreaseRoomTier|克特帕托聖徽] 或 [IncursionMedallionAddRoom|烏爾摩堤聖徽]"
48,15,2,"golemworks_lvl2","","","","","","","","","","","Automaton Lab","Labo d'automates","Automatenlabor","自動機械研究所","오토마톤 제조실","Laboratório de Autômatos","Лаборатория автоматов","Laboratorio de autómatas","ห้อง​วิจัย​หุ่นกล","自運研究所","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconGolemWorks.dds",15002,"[15,0]","May drop [IncursionMedallionIncreaseRoomTier|Quipolatl's Medallion] or [IncursionMedallionAddRoom|Uromoti's Medallion]","Peut céder un [IncursionMedallionIncreaseRoomTier|Médaillon de Quipolatl] ou un [IncursionMedallionAddRoom|Médaillon d'Uromoti]","Kann [IncursionMedallionIncreaseRoomTier|Quipolatls Medaillon] oder [IncursionMedallionAddRoom|Uromotis Medaillon] fallen lassen","[IncursionMedallionIncreaseRoomTier|キポラトルのメダリオン]または[IncursionMedallionAddRoom|ウロモティのメダリオン]をドロップすることがある","[IncursionMedallionIncreaseRoomTier|퀴폴라틀의 메달리온] 또는 [IncursionMedallionAddRoom|우로모티의 메달리온]이 나올 수 있음","Pode largar o [IncursionMedallionIncreaseRoomTier|Medalhão de Quipolatl] ou [IncursionMedallionAddRoom|Medalhão de Uromoti]","Можно найти [IncursionMedallionIncreaseRoomTier|Медальон Квиполатля] или [IncursionMedallionAddRoom|Медальон Уромоти]","Puede dar un [IncursionMedallionIncreaseRoomTier|Medallón de Quipolatl] o un [IncursionMedallionAddRoom|Medallón de Uromoti]","อาจดรอป[IncursionMedallionIncreaseRoomTier|เหรียญตราคุยโปลาทัล]หรือ[IncursionMedallionIncreaseRoomTier|เหรียญตราอูรูมอที]","可能掉落 [IncursionMedallionIncreaseRoomTier|克特帕托聖徽] 或 [IncursionMedallionAddRoom|烏爾摩堤聖徽]"
49,15,3,"golemworks_lvl3","","","","","","","","","","","Stone Legion","Légion de pierre","Steinlegion","石の軍団","돌 군단","Legião de Pedra","Каменный легион","Legión de piedra","กองพันศิลา","石衛軍團","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconGolemWorks.dds",15002,"[22,1]","May drop [IncursionMedallionIncreaseRoomTier|Quipolatl's Medallion], [IncursionMedallionAddRoom|Uromoti's Medallion] or [IncursionMedallionRerollRoomCards|Puhuarte's Medallion]","Peut céder un [IncursionMedallionIncreaseRoomTier|Médaillon de Quipolatl], un [IncursionMedallionAddRoom|Médaillon d'Uromoti] ou un [IncursionMedallionRerollRoomCards|Médaillon de Puhuarte]","Kann [IncursionMedallionIncreaseRoomTier|Quipolatls Medaillon], [IncursionMedallionAddRoom|Uromotis Medaillon] oder [IncursionMedallionRerollRoomCards|Puhuartes Medaillon] fallen lassen","[IncursionMedallionIncreaseRoomTier|キポラトルのメダリオン]、[IncursionMedallionAddRoom|ウロモティのメダリオン]または[IncursionMedallionRerollRoomCards|プフアテのメダリオン]をドロップすることがある","[IncursionMedallionIncreaseRoomTier|퀴폴라틀의 메달리온], [IncursionMedallionAddRoom|우로모티의 메달리온], [IncursionMedallionMaximumCrystalCapacity|조펙의 메달리온], [IncursionMedallionMaximumMedallionCapacity|아즈카파의 메달리온] 또는 [IncursionMedallionRerollRoomCards|푸후알테의 메달리온]이 나올 수 있음","Pode largar o [IncursionMedallionIncreaseRoomTier|Medalhão de Quipolatl], [IncursionMedallionAddRoom|Medalhão de Uromoti] ou [IncursionMedallionRerollRoomCards|Medalhão de Puhuarte]","Можно найти [IncursionMedallionIncreaseRoomTier|Медальон Квиполатля], [IncursionMedallionAddRoom|Медальон Уромоти] или [IncursionMedallionRerollRoomCards|Медальон Пухварте]","Puede dar un [IncursionMedallionIncreaseRoomTier|Medallón de Quipolatl], un [IncursionMedallionAddRoom|Medallón de Uromoti] o un [IncursionMedallionRerollRoomCards|Medallón de Puhuarte]","อาจดรอป[IncursionMedallionIncreaseRoomTier|เหรียญตราคุยโปลาทัล], [IncursionMedallionAddRoom|เหรียญตราอูรูมอที] หรือ[IncursionMedallionRerollRoomCards|เหรียญตราพูฮวาเท]","可能掉落 [IncursionMedallionIncreaseRoomTier|克特帕托聖徽]、[IncursionMedallionAddRoom|烏爾摩堤聖徽] 或 [IncursionMedallionRerollRoomCards|普希瓦爾聖徽]"
50,15,4,"golemworks_lvl4","","","","","","","","","","","Precision of Science","Precision of Science","Präzision der Wissenschaft","科学の精密さ","과학의 정밀함","Precisão da Ciência","Точность науки","Precisión de la ciencia","แม่นยำอย่างวิทยาศาสตร์","精準科學","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconGolemWorks.dds",15002,"[25,1]","May drop [IncursionMedallionIncreaseRoomTier|Quipolatl's Medallion], [IncursionMedallionAddRoom|Uromoti's Medallion] or [IncursionMedallionRerollRoomCards|Puhuarte's Medallion]","May drop [IncursionMedallionIncreaseRoomTier|Quipolatl's Medallion], [IncursionMedallionAddRoom|Uromoti's Medallion] or [IncursionMedallionRerollRoomCards|Puhuarte's Medallion]","Kann [IncursionMedallionIncreaseRoomTier|Quipolatls Medaillon], [IncursionMedallionAddRoom|Uromotis Medaillon] oder [IncursionMedallionRerollRoomCards|Puhuartes Medaillon] fallen lassen","[IncursionMedallionIncreaseRoomTier|キポラトルのメダリオン]、[IncursionMedallionAddRoom|ウロモティのメダリオン]または[IncursionMedallionRerollRoomCards|プフアテのメダリオン]をドロップすることがある","[IncursionMedallionIncreaseRoomTier|퀴폴라틀의 메달리온], [IncursionMedallionAddRoom|우로모티의 메달리온], 또는 [IncursionMedallionRerollRoomCards|푸후알테의 메달리온]이 나올 수 있음","Pode largar o [IncursionMedallionIncreaseRoomTier|Medalhão de Quipolatl], [IncursionMedallionAddRoom|Medalhão de Uromoti] ou [IncursionMedallionRerollRoomCards|Medalhão de Puhuarte]","Можно найти [IncursionMedallionIncreaseRoomTier|Медальон Квиполатля], [IncursionMedallionAddRoom|Медальон Уромоти] или [IncursionMedallionRerollRoomCards|Медальон Пухварте]","Puede dar un [IncursionMedallionIncreaseRoomTier|Medallón de Quipolatl], un [IncursionMedallionAddRoom|Medallón de Uromoti] o un [IncursionMedallionRerollRoomCards|Medallón de Puhuarte]","อาจดรอป[IncursionMedallionIncreaseRoomTier|เหรียญตราคุยโปลาทัล], [IncursionMedallionAddRoom|เหรียญตราอูรูมอที] หรือ[IncursionMedallionRerollRoomCards|เหรียญตราพูฮวาเท]","可能掉落 [IncursionMedallionIncreaseRoomTier|克特帕托聖徽]、[IncursionMedallionAddRoom|烏爾摩堤聖徽] 或 [IncursionMedallionRerollRoomCards|普希瓦爾聖徽]"
51,16,1,"corruption_lvl1","Contains a Corruption Altar which can be used to [Corrupted|Corrupt] items","Contient un Autel de Corruption, qui peut etre utilisé pour [Corrupted|Corrompre] les objets","Enthält einen Altar der Verderbung, der verwendet werden kann, um Gegenstände zu [Corrupted|verderben]","アイテムを[Corrupted|コラプト]させられるコラプトの祭壇が出現する","사용 시 아이템을 [Corrupted|타락]시키는 타락의 제단 포함","Contém um Altar da Corrupção, que pode ser usado para [Corrupted|corromper] itens","Содержит алтарь осквернения, позволяющий [Corrupted|осквернять] предметы","Contiene un Altar de corrupción que se puede usar para [Corrupted|corromper] objetos","มีแท่นมลทินที่[Corrupted|ใส่มลทิน]ให้กับไอเทม","包含一個可用於[Corrupted|汙染]物品的腐化祭壇","Crimson Hall","Salle cramoisie","Blutrote Halle","深紅のホール","진홍색 전당","Salão Carmesim","Багровый зал","Salón carmesí","โถง​เลือดนก","緋紅大廳","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconCorruption.dds",14767,"[10,0]","","","","","","","","","",""
52,16,2,"corruption_lvl2","Contains a Corruption Altar which can be used to [Corrupted|Corrupt] items","Contient un Autel de Corruption, qui peut etre utilisé pour [Corrupted|Corrompre] les objets","Enthält einen Altar der Verderbung, der verwendet werden kann, um Gegenstände zu [Corrupted|verderben]","アイテムを[Corrupted|コラプト]させられるコラプトの祭壇が出現する","사용 시 아이템을 [Corrupted|타락]시키는 타락의 제단 포함","Contém um Altar da Corrupção, que pode ser usado para [Corrupted|corromper] itens","Содержит алтарь осквернения, позволяющий [Corrupted|осквернять] предметы","Contiene un Altar de corrupción que se puede usar para [Corrupted|corromper] objetos","มีแท่นมลทินที่[Corrupted|ใส่มลทิน]ให้กับไอเทม","包含一個可用於[Corrupted|汙染]物品的腐化祭壇","Catalyst of Corruption","Catalyseur de corruption","Katalysator der Verderbtheit","穢れの触媒","타락의 기폭제","Catalisador de Corrupção","Ускоритель осквернения","Catalizador de corrupción","ห้อง​เร่ง​ปฏิกิริยา​แห่ง​มลทิน","腐敗孳生室","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconCorruption.dds",14767,"[25,0]","","","","","","","","","",""
