"rownum","Id","BlightCraftingResult","BlightCraftingItems"
820,"820",820,"[9,2,5]"
821,"821",821,"[9,5,2]"
822,"822",822,"[3,5,9]"
823,"823",823,"[3,9,5]"
824,"824",824,"[5,3,9]"
825,"825",825,"[5,9,3]"
826,"826",826,"[9,3,5]"
827,"827",827,"[9,5,3]"
828,"828",828,"[4,5,9]"
829,"829",829,"[4,9,5]"
830,"830",830,"[5,4,9]"
831,"831",831,"[5,9,4]"
832,"832",832,"[9,4,5]"
833,"833",833,"[9,5,4]"
834,"834",834,"[5,5,9]"
835,"835",835,"[5,9,5]"
836,"836",836,"[9,5,5]"
837,"837",837,"[0,6,9]"
838,"838",838,"[0,9,6]"
839,"839",839,"[6,0,9]"
840,"840",840,"[6,9,0]"
841,"841",841,"[9,0,6]"
842,"842",842,"[9,6,0]"
843,"843",843,"[1,6,9]"
844,"844",844,"[1,9,6]"
845,"845",845,"[6,1,9]"
846,"846",846,"[6,9,1]"
847,"847",847,"[9,1,6]"
848,"848",848,"[9,6,1]"
849,"849",849,"[2,6,9]"
850,"850",850,"[2,9,6]"
851,"851",851,"[6,2,9]"
852,"852",852,"[6,9,2]"
853,"853",853,"[9,2,6]"
854,"854",854,"[9,6,2]"
855,"855",855,"[3,6,9]"
856,"856",856,"[3,9,6]"
857,"857",857,"[6,3,9]"
858,"858",858,"[6,9,3]"
859,"859",859,"[9,3,6]"
860,"860",860,"[9,6,3]"
861,"861",861,"[4,6,9]"
862,"862",862,"[4,9,6]"
863,"863",863,"[6,4,9]"
864,"864",864,"[6,9,4]"
865,"865",865,"[9,4,6]"
866,"866",866,"[9,6,4]"
867,"867",867,"[5,6,9]"
868,"868",868,"[5,9,6]"
869,"869",869,"[6,5,9]"
870,"870",870,"[6,9,5]"
871,"871",871,"[9,5,6]"
872,"872",872,"[9,6,5]"
873,"873",873,"[6,6,9]"
874,"874",874,"[6,9,6]"
875,"875",875,"[9,6,6]"
876,"876",876,"[0,7,9]"
877,"877",877,"[0,9,7]"
878,"878",878,"[7,0,9]"
879,"879",879,"[7,9,0]"
880,"880",880,"[9,0,7]"
881,"881",881,"[9,7,0]"
882,"882",882,"[1,7,9]"
883,"883",883,"[1,9,7]"
884,"884",884,"[7,1,9]"
885,"885",885,"[7,9,1]"
886,"886",886,"[9,1,7]"
887,"887",887,"[9,7,1]"
888,"888",888,"[2,7,9]"
889,"889",889,"[2,9,7]"
890,"890",890,"[7,2,9]"
891,"891",891,"[7,9,2]"
892,"892",892,"[9,2,7]"
893,"893",893,"[9,7,2]"
894,"894",894,"[3,7,9]"
895,"895",895,"[3,9,7]"
896,"896",896,"[7,3,9]"
897,"897",897,"[7,9,3]"
898,"898",898,"[9,3,7]"
899,"899",899,"[9,7,3]"
900,"900",900,"[4,7,9]"
901,"901",901,"[4,9,7]"
902,"902",902,"[7,4,9]"
903,"903",903,"[7,9,4]"
904,"904",904,"[9,4,7]"
905,"905",905,"[9,7,4]"
906,"906",906,"[5,7,9]"
907,"907",907,"[5,9,7]"
908,"908",908,"[7,5,9]"
909,"909",909,"[7,9,5]"
910,"910",910,"[9,5,7]"
911,"911",911,"[9,7,5]"
912,"912",912,"[6,7,9]"
913,"913",913,"[6,9,7]"
914,"914",914,"[7,6,9]"
915,"915",915,"[7,9,6]"
916,"916",916,"[9,6,7]"
917,"917",917,"[9,7,6]"
918,"918",918,"[7,7,9]"
919,"919",919,"[7,9,7]"
920,"920",920,"[9,7,7]"
921,"921",921,"[0,8,9]"
922,"922",922,"[0,9,8]"
923,"923",923,"[8,0,9]"
924,"924",924,"[8,9,0]"
925,"925",925,"[9,0,8]"
926,"926",926,"[9,8,0]"
927,"927",927,"[1,8,9]"
928,"928",928,"[1,9,8]"
929,"929",929,"[8,1,9]"
930,"930",930,"[8,9,1]"
931,"931",931,"[9,1,8]"
932,"932",932,"[9,8,1]"
933,"933",933,"[2,8,9]"
934,"934",934,"[2,9,8]"
935,"935",935,"[8,2,9]"
936,"936",936,"[8,9,2]"
937,"937",937,"[9,2,8]"
938,"938",938,"[9,8,2]"
939,"939",939,"[3,8,9]"
940,"940",940,"[3,9,8]"
941,"941",941,"[8,3,9]"
942,"942",942,"[8,9,3]"
943,"943",943,"[9,3,8]"
944,"944",944,"[9,8,3]"
945,"945",945,"[4,8,9]"
946,"946",946,"[4,9,8]"
947,"947",947,"[8,4,9]"
948,"948",948,"[8,9,4]"
949,"949",949,"[9,4,8]"
950,"950",950,"[9,8,4]"
951,"951",951,"[5,8,9]"
952,"952",952,"[5,9,8]"
953,"953",953,"[8,5,9]"
954,"954",954,"[8,9,5]"
955,"955",955,"[9,5,8]"
956,"956",956,"[9,8,5]"
957,"957",957,"[6,8,9]"
958,"958",958,"[6,9,8]"
959,"959",959,"[8,6,9]"
960,"960",960,"[8,9,6]"
961,"961",961,"[9,6,8]"
962,"962",962,"[9,8,6]"
963,"963",963,"[7,8,9]"
964,"964",964,"[7,9,8]"
965,"965",965,"[8,7,9]"
966,"966",966,"[8,9,7]"
967,"967",967,"[9,7,8]"
968,"968",968,"[9,8,7]"
969,"969",969,"[8,8,9]"
970,"970",970,"[8,9,8]"
971,"971",971,"[9,8,8]"
972,"972",972,"[0,9,9]"
973,"973",973,"[9,0,9]"
974,"974",974,"[9,9,0]"
975,"975",975,"[1,9,9]"
976,"976",976,"[9,1,9]"
977,"977",977,"[9,9,1]"
978,"978",978,"[2,9,9]"
979,"979",979,"[9,2,9]"
980,"980",980,"[9,9,2]"
981,"981",981,"[3,9,9]"
982,"982",982,"[9,3,9]"
983,"983",983,"[9,9,3]"
984,"984",984,"[4,9,9]"
985,"985",985,"[9,4,9]"
986,"986",986,"[9,9,4]"
987,"987",987,"[5,9,9]"
988,"988",988,"[9,5,9]"
989,"989",989,"[9,9,5]"
990,"990",990,"[6,9,9]"
991,"991",991,"[9,6,9]"
992,"992",992,"[9,9,6]"
993,"993",993,"[7,9,9]"
994,"994",994,"[9,7,9]"
995,"995",995,"[9,9,7]"
996,"996",996,"[8,9,9]"
997,"997",997,"[9,8,9]"
998,"998",998,"[9,9,8]"
999,"999",999,"[9,9,9]"
