"rownum","rid_0","i32_16","string_20","string_28","string_28 (French)","string_28 (German)","string_28 (Japanese)","string_28 (Korean)","string_28 (Portuguese)","string_28 (Russian)","string_28 (Spanish)","string_28 (Thai)","string_28 (Traditional Chinese)","string_36","string_36 (French)","string_36 (German)","string_36 (Japanese)","string_36 (Korean)","string_36 (Portuguese)","string_36 (Russian)","string_36 (Spanish)","string_36 (Thai)","string_36 (Traditional Chinese)","string_44","rid_52","[i32]_68"
28,12,3,"transcendentbarracks_lvl3","","","","","","","","","","","Collective Legion","Légion collective","Kollektivlegion","統合の軍団","집단적 군단","Legião Coletiva","Коллективный легион","Legión colectiva","กองพันรวมจิต","集群軍團","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconTranscendentBarracks.dds",14408,[30]
29,13,1,"alchemylab_lvl1","Tier 3 allows Soul Core Corruption","Le Palier 3 permet la Corruption de Noyaux d'âme","Level 3 ermöglicht das Verderben von Seelenkernen","ティア3になるとソウルコアのコラプト化が可能になる","3등급일 때 영혼 핵 타락 가능","Nível 3 permite corromper Núcleos d'Alma","Ур. 3 позволяет осквернять Ядра душ","El nivel 3 permite la corrupción de núcleos del alma","ห้องระดับ 3 เปิดโอกาสให้ใส่มลทินให้กับแกนวิญญาณได้","階級 3 允許靈魂核心汙染","Chamber of Souls","Chambre des âmes","Kammer der Seelen","魂の間","영혼의 방","Câmara das Almas","Обитель душ","Cámara de las almas","ห้องวิญญาณ","靈魂密室","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconAlchemyLab.dds",14409,[8]
30,13,2,"alchemylab_lvl2","Tier 3 allows Soul Core Corruption","Le Palier 3 permet la Corruption de Noyaux d'âme","Level 3 ermöglicht das Verderben von Seelenkernen","ティア3になるとソウルコアのコラプト化が可能になる","3등급일 때 영혼 핵 타락 가능","Nível 3 permite corromper Núcleos d'Alma","Ур. 3 позволяет осквернять Ядра душ","El nivel 3 permite la corrupción de núcleos del alma","ห้องระดับ 3 เปิดโอกาสให้ใส่มลทินให้กับแกนวิญญาณได้","階級 3 允許靈魂核心汙染","Core Machinarium","Machinarium principal","Hauptmaschinarium","中枢機構室","핵심 기계실","Maquinário Principal","Машинариум ядер","Taller de máquinas principal","สถานจักรกลแกน","核心機匠所","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconAlchemyLab.dds",14409,[15]
31,13,3,"alchemylab_lvl3","Contains a device to Corrupt Soul Cores\r\nRoom [IncursionDestabilization|Destabilizes] once device is used","Contient un dispositif permettant de Corrompre les Noyaux d'âmes","Enthält ein Gerät, das das Verderben von Seelenkernen ermöglicht","ソウルコアをコラプトできる装置が出現する","영혼 핵을 타락시키는 장치 포함","Contém um dispositivo para corromper Núcleos d'Alma","Содержит устройство для осквернения Ядер душ","Contiene un dispositivo que corrompe los núcleos del alma","มีเครื่องใส่มลทินให้กับแกนวิญญาณ","包含一個汙染靈魂核心的裝置","Grand Phylactory","Grand phylactère","Große Phylaktorie","大いなる魂壺","대성구실","Filactério Maior","Главный филакторий","Gran filacteria","มหาเพชรวิญญาณ","至大魂器庫","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconAlchemyLab.dds",14409,[30]
32,14,1,"thaumaturge_lvl1","Contains a device to set a gem to have 3 support gem sockets\r\nTier 3 allows Further Corruption of Gems","Contient un dispositif qui fixe les châsses de gemme de soutien d'une gemme d'aptitude à 3\r\nLe Palier 3 permet une Corruption plus avancée des Gemmes","Enthält ein Gerät, das eine Gemme mit 3 Fassungen für Unterstützungen ausstattet\r\nLevel 3 ermöglicht die weitere Verderbung von Gemmen","ジェムを3個のサポートジェムソケットを持つよう変更する装置が出現する\r\nティア3になるとさらにジェムをコラプトできるようになる","젬의 보조 젬 홈을 3개로 만드는 장치 포함\r\n3등급일 때 젬 추가 타락 가능","Contém um dispositivo para fazer uma gema ter 3 encaixes de gema de reforço\r\n Nível 3 permite uma corrupção adicional de gemas","Содержит устройство, делающее число гнёзд в камне равным 3\r\nУр. 3 позволяет дальнейшее осквернение камней","Contiene un dispositivo que hace que una gema tenga 3 engarces de asistencias\r\nEl nivel 3 permite corromper aún más las gemas","มีเครื่องที่ทำให้หินมี รูหินเสริม 3 รู\r\nห้องระดับ 3 เปิดโอกาสให้ใส่มลทินให้กับหินยิ่งไปกว่าเดิมได้","包含一個將寶石設定為擁有 3 個輔助寶石插槽的裝置\r\n階級 3 允許進一步汙染寶石","Thaumaturge's Laboratory","Laboratoire du thaumaturge","Labor des Thaumaturgen","ソーマタジーの研究所","마석학자의 실험실","Laboratório do Taumaturgo","Лаборатория волшебства","Laboratorio del taumaturgo","ห้องทดลองนักเวทมณี","巫術師實驗室","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconThaumaturge.dds","",[]
33,14,2,"thaumaturge_lvl2","Contains a device to improve the quality of a skill gem\r\nTier 3 allows Further Corruption of Gems","Contient un dispositif permettant d'améliorer la qualité d'une gemme d'aptitude\r\nLe Palier 3 permet une Corruption plus avancée des Gemmes","Enthält ein Gerät, das die Qualität einer Fertigkeitengemme verbessert\r\nLevel 3 ermöglicht die weitere Verderbung von Gemmen","スキルジェムの品質を向上できる装置が出現する\r\nティア3になるとさらにジェムをコラプトできるようになる","스킬 젬의 퀄리티를 올려 주는 장치 포함\r\n3등급일 때 젬 추가 타락 가능","Contém um dispositivo para melhorar a qualidade de uma gema de habilidade\r\n Nível 3 permite uma corrupção adicional de gemas","Содержит устройство, повышающее качество камня умения\r\nУр. 3 позволяет дальнейшее осквернение камней","Contiene un dispositivo que mejora la calidad de una gema de habilidad\r\nEl nivel 3 permite corromper aún más las gemas","มีเครื่องเพิ่มค่าคุณภาพให้กับหินสกิล\r\nห้องระดับ 3 เปิดโอกาสให้ใส่มลทินให้กับหินยิ่งไปกว่าเดิมได้","包含一個提升技能寶石品質的裝置\r\n階級 3 允許進一步汙染寶石","Thaumaturge's Cuttery","Taillerie du thaumaturge","Schneidewerkstatt des Thaumaturgen","ソーマタジーの加工所","마석학자의 절단실","Cutelaria do Taumaturgo","Мастерская волшебства","Cuchillería del taumaturgo","ห้องเจียระไนนักเวทมณี","巫術師晶化切削坊","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconThaumaturge.dds","",[]
34,14,3,"thaumaturge_lvl3","Contains a device to further Corrupt Gems\r\nRoom [IncursionDestabilization|Destabilizes] once device is used","Contient un dispositif permettant une Corruption avancée des Gemmes","Enthält ein Gerät, das die weitere Verderbung von Gemmen ermöglicht","さらにジェムをコラプトできる装置が出現する","젬을 추가로 타락시키는 장치 포함","Contém um dispositivo para uma corrupção adicional de gemas","Содержит устройство для дальнейшего осквернения камней","Contiene un dispositivo para corromper aún más las gemas","มีเครื่องใส่มลทินให้กับหินยิ่งไปกว่าเดิม","包含一個進一步汙染寶石的裝置","Thaumaturge's Cathedral","Cathédrale du thaumaturge","Kathedrale des Thaumaturgen","ソーマタジーの大聖堂","마석학자의 대성당","Catedral do Taumaturgo","Собор волшебства","Catedral del taumaturgo","โบสถ์นักเวทมณี","巫術師大教堂","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconThaumaturge.dds","",[]
35,15,1,"golemworks_lvl1","Tier 3 has a high chance of Quipolatl's Medallion\r\nMay contain a bench allowing modification of equipment","Le Palier 3 a une chance élevée de Médaillon de Quipolatl\r\nPeut contenir un établi permettant la modification d'objet d'équipement","Hat eine hohe Chance, Quipolatls Medaillon zu enthalten; Chance steigt mit Level\r\nKann eine Werkbank enthalten, die das Modifizieren von Ausrüstung ermöglicht","ティア3になると高い確率でキポラトルのメダリオンをドロップする\r\n装備品を変更できるベンチが出現することがある","3등급일 때 높은 확률로 퀴폴라틀의 메달리온이 나옴\r\n장비에 속성을 부여하는 작업대를 포함할 수 있음","Nível 3 tem uma chance alta de largar o Medalhão de Quipolatl\r\n Pode conter uma bancada que permita a modificação do equipamento","Повышенный шанс найти Медальон Квиполатля, растёт с уровнем\r\nМожет содержать верстак, позволяющий изменять снаряжение","El nivel 3 tiene una mayor probabilidad de Medallón de Quipolatl\r\nPuede contener una mesa que permite modificar el equipamiento","ห้องระดับ 3 มีโอกาสมีเหรียญตราคุยโปลาทัลสูง\r\nอาจมีโต๊ะเปลี่ยนแปลงไอเทมสวมใส่","階級 3 有高機率獲得克特帕托聖徽\r\n可能包含一個允許改造裝備的工藝台","Workshop","Atelier","Werkstatt","作業場","작업장","Oficina","Мастерская","Taller","ห้อง​ปฏิบัติการ","工坊","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconGolemWorks.dds","",[]
36,15,2,"golemworks_lvl2","Tier 3 has a high chance of Quipolatl's Medallion\r\nMay contain a bench allowing modification of equipment","Le Palier 3 a une chance élevée de Médaillon de Quipolatl\r\nPeut contenir un établi permettant la modification d'objet d'équipement","Hat eine hohe Chance, Quipolatls Medaillon zu enthalten; Chance steigt mit Level\r\nKann eine Werkbank enthalten, die das Modifizieren von Ausrüstung ermöglicht","ティア3になると高い確率でキポラトルのメダリオンをドロップする\r\n装備品を変更できるベンチが出現することがある","3등급일 때 높은 확률로 퀴폴라틀의 메달리온이 나옴\r\n장비에 속성을 부여하는 작업대를 포함할 수 있음","Nível 3 tem uma chance alta de largar o Medalhão de Quipolatl\r\n Pode conter uma bancada que permita a modificação do equipamento","Повышенный шанс найти Медальон Квиполатля, растёт с уровнем\r\nМожет содержать верстак, позволяющий изменять снаряжение","El nivel 3 tiene una mayor probabilidad de Medallón de Quipolatl\r\nPuede contener una mesa que permite modificar el equipamiento","ห้องระดับ 3 มีโอกาสมีเหรียญตราคุยโปลาทัลสูง\r\nอาจมีโต๊ะเปลี่ยนแปลงไอเทมสวมใส่","階級 3 有高機率獲得克特帕托聖徽\r\n可能包含一個允許改造裝備的工藝台","Automaton Lab","Labo d'automates","Automatenlabor","自動機械研究所","오토마톤 제조실","Laboratório de Autômatos","Лаборатория автоматов","Laboratorio de autómatas","ห้อง​วิจัย​หุ่นกล","自運研究所","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconGolemWorks.dds","",[]
37,15,3,"golemworks_lvl3","Tier 3 has a high chance of Quipolatl's Medallion\r\nMay contain a bench allowing modification of equipment","Le Palier 3 a une chance élevée de Médaillon de Quipolatl\r\nPeut contenir un établi permettant la modification d'objet d'équipement","Hat eine hohe Chance, Quipolatls Medaillon zu enthalten; Chance steigt mit Level\r\nKann eine Werkbank enthalten, die das Modifizieren von Ausrüstung ermöglicht","ティア3になると高い確率でキポラトルのメダリオンをドロップする\r\n装備品を変更できるベンチが出現することがある","3등급일 때 높은 확률로 퀴폴라틀의 메달리온이 나옴\r\n장비에 속성을 부여하는 작업대를 포함할 수 있음","Nível 3 tem uma chance alta de largar o Medalhão de Quipolatl\r\n Pode conter uma bancada que permita a modificação do equipamento","Повышенный шанс найти Медальон Квиполатля, растёт с уровнем\r\nМожет содержать верстак, позволяющий изменять снаряжение","El nivel 3 tiene una mayor probabilidad de Medallón de Quipolatl\r\nPuede contener una mesa que permite modificar el equipamiento","ห้องระดับ 3 มีโอกาสมีเหรียญตราคุยโปลาทัลสูง\r\nอาจมีโต๊ะเปลี่ยนแปลงไอเทมสวมใส่","階級 3 有高機率獲得克特帕托聖徽\r\n可能包含一個允許改造裝備的工藝台","Stone Legion","Légion de pierre","Steinlegion","石の軍団","돌 군단","Legião de Pedra","Каменный легион","Legión de piedra","กองพันศิลา","石衛軍團","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconGolemWorks.dds","",[]
38,16,1,"corruption_lvl1","Contains a device to Corrupt Items\r\nTier 3 allows Further Corruption of Equipment","Contient un dispositif permettant de Corrompre les objets\r\nLe Palier 3 permet une Corruption plus avancée des objets d'Équipement","Enthält ein Gerät, das Gegenstände verderben kann\r\nLevel 3 ermöglicht die weitere Verderbung von Ausrüstung","アイテムをコラプトする装置が出現する\r\nティア3になると装備品をさらにコラプトできるようになる","스킬 젬의 퀄리티를 올려 주는 장치 포함\r\n3등급일 때 장비 추가 타락 가능","Contém um dispositivo para corromper itens\r\n Nível 3 permite uma corrupção adicional de equipamentos","Содержит устройство для осквернения предметов\r\nУр. 3 позволяет дальнейшее осквернение предметов","Contiene un dispositivo que corrompe objetos\r\nEl nivel 3 permite corromper aún más el equipamiento","มีเครื่องใส่มลทินให้กับไอเทม\r\nห้องระดับ 3 เปิดโอกาสให้ใส่มลทินให้กับไอเทมสวมใส่ยิ่งไปกว่าเดิมได้","包含一個汙染物品的裝置\r\n階級 3 允許進一步汙染裝備","Crimson Hall","Salle cramoisie","Blutrote Halle","深紅のホール","진홍색 전당","Salão Carmesim","Багровый зал","Salón carmesí","โถง​เลือดนก","緋紅大廳","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconCorruption.dds",14412,[8]
39,16,2,"corruption_lvl2","Contains a device to Corrupt Items\r\nTier 3 allows Further Corruption of Equipment","Contient un dispositif permettant de Corrompre les objets\r\nLe Palier 3 permet une Corruption plus avancée des objets d'Équipement","Enthält ein Gerät, das Gegenstände verderben kann\r\nLevel 3 ermöglicht die weitere Verderbung von Ausrüstung","アイテムをコラプトする装置が出現する\r\nティア3になると装備品をさらにコラプトできるようになる","스킬 젬의 퀄리티를 올려 주는 장치 포함\r\n3등급일 때 장비 추가 타락 가능","Contém um dispositivo para corromper itens\r\n Nível 3 permite uma corrupção adicional de equipamentos","Содержит устройство для осквернения предметов\r\nУр. 3 позволяет дальнейшее осквернение предметов","Contiene un dispositivo que corrompe objetos\r\nEl nivel 3 permite corromper aún más el equipamiento","มีเครื่องใส่มลทินให้กับไอเทม\r\nห้องระดับ 3 เปิดโอกาสให้ใส่มลทินให้กับไอเทมสวมใส่ยิ่งไปกว่าเดิมได้","包含一個汙染物品的裝置\r\n階級 3 允許進一步汙染裝備","Catalyst of Corruption","Catalyseur de corruption","Katalysator der Verderbtheit","穢れの触媒","타락의 기폭제","Catalisador de Corrupção","Ускоритель осквернения","Catalizador de corrupción","ห้อง​เร่ง​ปฏิกิริยา​แห่ง​มลทิน","腐敗孳生室","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconCorruption.dds",14412,[15]
40,16,3,"corruption_lvl3","Contains a device to further Corrupt Equipment\r\nRoom [IncursionDestabilization|Destabilizes] once device is used","Contient un dispositif permettant une Corruption avancée des objets d'Équipement","Enthält ein Gerät, das die weitere Verderbung von Ausrüstung ermöglicht","装備品をさらにコラプトできる装置が出現する","장비를 추가로 타락시키는 장치 포함","Contém um dispositivo para uma corrupção adicional de equipamentos","Содержит устройство для дальнейшего осквернения предметов","Contiene un dispositivo que corrompe aún más el equipamiento","มีเครื่องใส่มลทินให้กับไอเทมสวมใส่ยิ่งไปกว่าเดิม","包含一個進一步汙染裝備的裝置","Locus of Corruption","Noyau de la corruption","Quell der Verderbtheit","穢れの中枢","타락의 현장","Núcleo da Corrupção","Очаг осквернения","Foco de corrupción","สถาน​บังเกิด​มลทิน","腐敗之地","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconCorruption.dds",14412,[30]
41,17,1,"vault","Contains Many Chests\r\nRoom [IncursionDestabilization|Destabilizes] once the central Vault is opened","Contient de nombreux Coffres","Enthält viele Truhen","多くのチェストが出現する","다수의 상자 포함","Contém muitos baús","Содержит много сундуков","Contiene muchos cofres","มีหีบหลายใบ","包含許多箱子","Sealed Vault","Chambre forte scellée","Versiegelte Schatzkammer","封印の宝物庫","봉인된 금고실","Cofre Selado","Запечатанное хранилище","Cámara sellada","ห้องนิรภัยปิดผนึก","密封密庫","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconVault.dds","",[]
42,18,1,"sacrificechamber_lvl1","Contains a Unique Item\r\nTier 3 allows Further Modification of Vaal Uniques","Contient un objet Unique\r\nLe Palier 3 permet une modification avancée des objets Uniques vaal","Enthält einen einzigartigen Gegenstand\r\nLevel 3 ermöglicht die weitere Modifizierung von einzigartigen Vaal-Gegenständen","ユニークアイテムが存在する\r\nティア3になるとヴァールユニークをさらに変更できるようになる","고유 아이템 포함\r\n3등급일 때 바알 고유 아이템에 추가 속성 부여 가능","Contém um item único\r\n Nível 3 permite uma modificação adicional de únicos vaal","Содержит уникальный предмет\r\nУр. 3 позволяет изменять уникальные предметы ваал","Contiene un objeto único\r\nEl nivel 3 permite modificar aún más los únicos vaal","มีไอเทมยูนิค 1 ชิ้น\r\nห้องระดับ 3 เปิดโอกาสให้เปลี่ยนแปลงไอเทมยูนิควาล์ได้ยิ่งกว่าเดิม","包含一件傳奇物品\r\n階級 3 允許進一步改造瓦爾傳奇","Altar of Sacrifice","Autel du sacrifice","Altar der Opfergabe","生贄の祭壇","희생의 제단","Altar Sacrificial","Алтарь жертвоприношения","Altar de sacrificios","แท่นสังเวย","獻祭祭壇","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconSacrificialChamber.dds",14411,[8]
43,18,2,"sacrificechamber_lvl2","Contains a Unique Item\r\nTier 3 allows Further Modification of Vaal Uniques","Contient un objet Unique\r\nLe Palier 3 permet une modification avancée des objets Uniques vaal","Enthält einen einzigartigen Gegenstand\r\nLevel 3 ermöglicht die weitere Modifizierung von einzigartigen Vaal-Gegenständen","ユニークアイテムが存在する\r\nティア3になるとヴァールユニークをさらに変更できるようになる","고유 아이템 포함\r\n3등급일 때 바알 고유 아이템에 추가 속성 부여 가능","Contém um item único\r\n Nível 3 permite uma modificação adicional de únicos vaal","Содержит уникальный предмет\r\nУр. 3 позволяет изменять уникальные предметы ваал","Contiene un objeto único\r\nEl nivel 3 permite modificar aún más los únicos vaal","มีไอเทมยูนิค 1 ชิ้น\r\nห้องระดับ 3 เปิดโอกาสให้เปลี่ยนแปลงไอเทมยูนิควาล์ได้ยิ่งกว่าเดิม","包含一件傳奇物品\r\n階級 3 允許進一步改造瓦爾傳奇","Hall of Offerings","Salle des offrandes","Saal der Opfergaben","供物の広間","공물의 전당","Salão das Oferendas","Зал подношений","Salón de ofrendas","โถง​แห่ง​เครื่อง​สังเวย","獻祭殿堂","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconSacrificialChamber.dds",14411,[15]
44,18,3,"sacrificechamber_lvl3","Contains a Unique Item\r\nContains a device to Modify Vaal Uniques\r\nRoom [IncursionDestabilization|Destabilizes] once device is used","Contient un objet Unique\r\nContient un dispositif permettant de modifier les objets Uniques vaal","Enthält einen einzigartigen Gegenstand\r\nEnthält ein Gerät, das die weitere Modifizierung von einzigartigen Vaal-Gegenständen ermöglicht","ユニークアイテムが存在する\r\nヴァールユニークをさらに変更できる装置が出現する","고유 아이템 포함\r\n바알 고유 아이템에 속성을 부여하는 장치 포함","Contém um item único\r\n Contém um dispositivo para modificar únicos vaal","Содержит уникальный предмет\r\nСодержит устройство для изменения уникальных предметов ваал","Contiene un objeto único\r\nContiene un dispositivo que modifica los únicos vaal","มีไอเทมยูนิค 1 ชิ้น\r\nมีเครื่องเปลี่ยนแปลงไอเทมยูนิควาล์","包含一件傳奇物品\r\n包含一個改造瓦爾傳奇的裝置","Apex of Oblation","Apex de l'oblation","Apex der Opfergabe","供物の頂","봉헌의 정점","Ápice da Oferenda","Вершина причащения","Ápice de la oblación","ยอดแห่งการบูชายัญ","奉獻之峰","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconSacrificialChamber.dds",14411,[30]
45,20,1,"architect","Defeating the Architect allows a Selection of Rewarding Vaults\r\nHas a high chance of Xopec and Azcapa's Medallions","Vaincre l'Architecte permet la sélection de Chambres fortes riches en récompenses\r\nA une chance élevée de Médaillons de Xopec et d'Azcapa","Das Töten des Architekten erlaubt die Auswahl von Belohnungs-Schatzkammern\r\nHat eine hohe Chance, Xopecs und Azcapas Medaillons zu enthalten","アーキテクトを倒すと報酬の宝物庫を選択できる\r\n高い確率でゾペックおよびアズカパのメダリオンをドロップする","건축가 처치 시 보상 금고실 선택 가능\r\n높은 확률로 조펙과 아즈카파의 메달리온이 나옴","Derrotar o Arquiteto permite selecionar Cofres de Recompensa.\r\n Tem uma chance alta de largar Medalhões de Xopec e Azcapa.","Победа над Архитектором даёт доступ в хранилища с ценностями\r\nПовышенный шанс найти Медальоны Шопека и Азкапы","Al derrotar al Arquitecto se ofrece una selección de salas de recompensa\r\nTiene una mayor probabilidad de Medallones de Xopec y Azcapa","สยบสถาปนิกเพื่อเลือกพระคลังที่ให้ของรางวัลสูง\r\nมีโอกาสมีเหรียญตราโจเพคและแอซคาพาสูง","擊敗建築師後可選擇獎勵密庫\r\n有高機率獲得柔派克和艾斯卡巴聖徽","Architect's Chamber","Chambre de l'architecte","Kammer des Architekten","アーキテクトの間","건축가의 방","Câmara do Arquiteto","Кабинет архитектора","Cámara del arquitecto","ห้องสถาปนิก","建築師之室","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconArchitect.dds","",[]
46,21,1,"entrance","","","","","","","","","","","Foyer","Vestibule","Foyer","前室","현관","Saguão","Прихожая","Vestíbulo","โถงทางเข้า","門廳","","",[]
47,22,1,"currency_reward","Contains a large stash of Currency\r\nRoom [IncursionDestabilization|Destabilizes] once complete","Contient un grand coffre d'Objets monétaires","Enthält eine große Truhe mit Währung","カレンシーの巨大なスタッシュが出現する","대형 화폐 보관함 포함","Contém um baú grande de moedas","Содержит большой тайник с валютой","Contiene un alijo grande de objetos monetarios","มีเงินตรากองใหญ่ 1 กอง","包含大量通貨","Kishara's Vault","Butin de Kishara","Kisharas Beute","キシャラの戦利品","키샤라의 전리품","Despojos de Kishara","Трофеи Кишары","Botín de Kishara","ทรัพย์ของคิชาร่า","琪莎拉的戰利品","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconRewardCurrency.dds","",[]
48,23,1,"lineage_support_reward","Contains a random Lineage Support\r\nRoom [IncursionDestabilization|Destabilizes] once complete","Contient une Gemme de soutien de lignage aléatoire","Enthält eine zufällige Abstammungs-Unterstützung","ランダムなリネージュサポートがドロップする","무작위 혈통 보조 젬 포함","Contém um reforço de origem aleatório","Содержит случайный династический камень поддержки","Contiene una asistencia de linaje aleatoria","มีหินเสริมสายสกุลแบบสุ่ม 1 เม็ด","包含一顆隨機血裔系輔助寶石","Vault of Reverence","Salle de la révérence","Halle der Verehrung","畏敬の広間","숭배의 전당","Salão da Reverência","Зал поклонения","Salón de reverencia","โถงสักการะ","敬畏大廳","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconRewardGem.dds","",[]
49,24,1,"socketable_reward","Contains a random high level Rune\r\nRoom [IncursionDestabilization|Destabilizes] once complete","Contient une Rune de haut niveau aléatoire","Enthält eine zufällige Rune mit hoher Stufe","ランダムな高レベルルーンがドロップする","무작위 고레벨 룬 포함","Contém uma runa de nível alto aleatória","Содержит случайную руну высокого уровня","Contiene una runa de nivel alto aleatoria","มีอักขระเลเวลสูงแบบสุ่ม 1 ชิ้น","包含一個隨機高等符文","Jiquani's Vault","Trésor de Jiquani","Jiquanis Schatz","ジクアニの宝庫","지콰니의 발견물","Repositório de Jiquani","Хранилище Джиквани","Tesoro de Jiquani","ขุมทรัพย์ของฮิคัวนี","吉夸尼的秘寶","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconRewardSocketable.dds","",[]
50,25,1,"tablet_reward","Contains a device allowing the corruption of tablets\r\nRoom [IncursionDestabilization|Destabilizes] once complete","Contient un dispositif permettant la corruption de tablettes","Enthält ein Gerät, das die Verderbung von Tafeln ermöglicht","石板のコラプト化できる装置が出現する","서판을 타락시키는 장치 포함","Contém um dispositivo que permite corromper tábuas","Содержит устройство, позволяющее осквернять плитки","Contiene un dispositivo que permite corromper tablillas","มีเครื่องใส่มลทินให้กับแผ่นหิน","包含一個允許汙染石板的裝置","Tablet Research Vault","Laboratoire des tablettes","Tafelforschung","石板研究所","서판 연구","Pesquisa de Tábuas","Лаборатория плиток","Investigación de tablillas","สถานวิจัยแผ่นหิน","石板研究","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconRewardTablet.dds","",[]
51,26,1,"unique_reward","Contains a Unique Item\r\nRoom [IncursionDestabilization|Destabilizes] once complete","Contient un objet Unique","Enthält einen einzigartigen Gegenstand","ユニークアイテムがドロップする","고유 아이템 포함","Contém um item único","Содержит уникальный предмет","Contiene un objeto único","มีไอเทมยูนิค 1 ชิ้น","包含一件傳奇物品","Ancient Reliquary Vault","Reliquaire antique","Uralte Reliquienkammer","古代の聖廟","고대의 성유물 보관실","Relicário Antigo","Древний реликварий","Relicario antiguo","คลังวัตถุโบราณ","遠古聖物","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconRewardUnique.dds","",[]
52,27,1,"access_chamber","Allows Access to Atziri's Chamber\r\nRoom [IncursionDestabilization|Destabilizes] once complete","Permet l'accès à la Chambre d'Atziri","Erlaubt Zugang zu Atziris Kammer","アッツィリの私室へアクセスできるようになる","앗지리의 석실로 가는 통로 포함","Permite acessar os Aposentos de Atziri","Даёт доступ в Покои Атзири","Permite acceder a la Cámara de Atziri","เปิดทางเข้าไปยังห้องอัถสิริ","允許進入阿茲里的密室","Royal Access Chamber","Chambre d'accès royale","Königliches Vorzimmer","王家の連絡通路","왕실 전실","Câmara de Acesso Real","Царская приёмная","Cámara de acceso real","ห้องราชสำนัก","皇家通道室","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconAccessChamber.dds","",[]
53,29,1,"unsocketing_reward","Contains a Device to Salvage Socketed Augments\r\nRoom [IncursionDestabilization|Destabilizes] once complete","Contient un dispositif permettant de Récupérer les Augmentations enchâssées","Enthält ein Gerät, das die Verwertung von eingefassten Augmentationen ermöglicht","ソケットされたオーグメントをサルベージできる装置が出現する","홈에 장착된 증강물을 분해하는 장치 포함","Contém um dispositivo para reciclar aprimoramentos encaixados","Содержит устройство для извлечения усилителей из предмета","Contiene un dispositivo que recicla las mejoras engarzadas","มีเครื่องถอนวัตถุติดตั้งออกจากไอเทม","包含一個萃取已鑲嵌增幅的裝置","Extraction Chamber","Chambre d'extraction","Extraktionskammer","抽出の広間","추출실","Câmara de Extração","Зал извлечения","Cámara de extracción","ห้องถอนวัตถุ","萃取室","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconRewardExtract.dds","",[]
54,19,1,"","","","","","","","","","","","Sacrifice Room","Salle du sacrifice","Opferraum","生贄の部屋","희생실","Sala de Sacrifícios","Комната жертвоприношений","Sala de sacrificios","ห้องสังเวย","獻祭室","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/SacrificeRoom.dds","",[]
55,28,1,"","","","","","","","","","","","Atziri's Chamber","Chambre d'Atziri","Atziris Kammer","アッツィリの私室","앗지리의 석실","Aposentos de Atziri","Покои Атзири","Cámara de Atziri","ห้องอัถสิริ","阿茲里的密室","Art/Textures/Interface/2D/2DArt/UIImages/InGame/Incursion2/RoomIcons/IconAtziri.dds","",[]
