"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","SoundFile","ParrotSoundFile","i32_32","i32_36"
676,"Templar118","Gruthkul, go to your children, and despair no longer.","Gruthkul, retourne auprès de tes enfants, et que ton désespoir prenne fin.","Gruthkul, auf zu deinen Kindern, und verzweifle nicht länger.","グラスクル、子供の下へ行け。もう絶望せずとも良い。","그루스컬, 이제 절망하지 말고 아이들에게 가보게.","Gruthkul, vá aos seus filhos, e não sofra mais. ","Граткул, иди к своим детям и больше не знай отчаяния.","Gruthkul, ve hacia tus hijos, y acaba con tu desesperación.","กรัธท์คัล จง​ไป​หา​ลูกๆ ของ​เจ้า แล้ว​คลาย​ความ​สลด​เสีย​เถิด","葛魯斯寇，去找你的孩子，不要再絕望了。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_47.ogg","",10000,0
677,"Templar119","I have seen this place in my visions of doom.","J'ai vu cet endroit dans mes visions de fin du monde.","Ich habe diesen Ort in meinen Visionen des Untergangs gesehen.","我が破滅の予知の中でこの場所を見たことがある。","이곳은 종말에 대한 환영에서 본 적이 있어.","Eu já vi este lugar nas minhas visões de destruição.","Я видел это место в своих видениях Рока.","He visto este lugar en mis visiones de fatalidad.","ข้า​เคย​เห็น​ที่​แห่ง​นี้​ใน​นิมิต​แห่ง​หายนะ","我在厄運的幻像中看到過這個地方。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_48.ogg","",10000,0
678,"Templar120","I bear witness to a miracle.","Je suis témoin d'un miracle.","Ich bin Zeuge eines Wunders.","我は奇跡の証人だ。","내 눈앞에서 기적이 일어났군.","Eu sou testemunha de um milagre. ","Я являюсь свидетелем чуда.","Soy testigo de un milagro.","ข้า​ได้​เป็น​สักขี​พยาน​ต่อ​อภินิหาร​นี้","我見證了奇蹟。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_49.ogg","",10000,0
679,"Templar121","Deeper into the lair of Lust... I shall stand strong against temptation.","Toujours plus profondément dans la tanière de la Luxure... je dois rester fort face à la tentation.","Tiefer in die Höhle der Lust ... Ich werde der Versuchung widerstehen.","色欲の巣窟へと進んでいく...…我は誘惑に屈しない。","욕망의 소굴 깊숙이 들어가도... 나는 유혹에 무릎 꿇지 않으리라.","Nas profundezas do covil da Luxúria... Eu me manterei forte diante da tentação. ","Глубже в логово Похоти... Я буду стойко противостоять искушению.","En lo profundo de la guarida de la Lujuria… me mantendré fuerte frente a la tentación.","ถลำ​ลึก​เข้าไป​ใน​แดน​แห่ง​ตัณหา​... ข้า​ย่อม​ยืน​หยัด​ต่อ​การ​ยั่วยวน","深入慾望的巢穴…我堅強地抵抗誘惑。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_50.ogg","",10000,0
680,"Templar122","I am a man of God. I am used to resisting temptation.","Je suis un homme de Dieu. Je suis habitué à résister à la tentation.","Ich bin ein Mann Gottes. Ich bin es gewohnt, der Versuchung zu widerstehen.","我は神の下僕だ。誘惑に耐えることには慣れている。","나는 신의 종이다. 유혹을 견뎌내는 건 익숙하지.","Eu sou um homem de Deus. Estou acostumado a resistir às tentações. ","Я человек Божий. Я привык сопротивляться искушению.","Soy un hombre de Dios. Estoy acostumbrado a resistir la tentación.","ข้า​เป็น​คน​ของ​พระเจ้า ข้า​ย่อม​คุ้น​ชิน​กับ​การ​ต้านทาน​ความ​ยั่วยวน","我是神的人。我已經習慣了抵抗誘惑。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_51.ogg","",10000,0
681,"Templar123","What foul new corruption is this?","Quelle est cette nouvelle corruption des plus ignobles ?","Was für eine üble neue Verderbtheit ist das?","これは如何なる新たな邪悪か？","이 추악한 타락은 처음 보는군. 이게 대체 뭐지?","Que nova corrupção nojenta é essa?","Что это за грязная новая порча?","¿Qué clase de funesta corrupción es esta?","นี่​มัน​มลทิน​โสโครก​แบบ​ใหม่​อะไร​กัน​อีก​?","這是什麼骯髒的新腐敗？","Audio/Dialogue/Character/StrInt/Event/Temp1_2_52.ogg","",10000,0
682,"Templar124","It seems it is my penance to endure all the filths of this world.","Il semblerait que ma pénitence soit d'endurer toute la souillure de ce monde.","Es scheint meine Bürde zu sein, jeglichen Abschaum dieser Welt zu erdulden.","この世の汚れ全てに耐えることが我が痛悔であるようだ。","나는 이 세계의 모든 추악함을 견뎌내는 것으로 속죄해야 하는 모양이군.","Parece que suportar a sujeira deste mundo é a minha penitência. ","Похоже, это мое наказание – терпеть всю грязь этого мира.","Parece que soportar todas las inmundicias de este mundo es mi penitencia.","เหมือน​ว่า​ข้า​จะ​ต้อง​ไถ่​บาป​ด้วย​การ​ทน​กับ​ความ​โสมม​ทั้งหมด​ใน​โลก​นี้","忍受世間所有的污穢似乎是我的懺悔。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_53.ogg","",10000,0
683,"Templar125","The unclean witch shall poison this land no longer.","L'immonde sorcière n'empoisonnera pas plus longtemps cette contrée.","Die unreine Hexe wird dieses Land nicht länger vergiften.","これ以上この地が不浄なる魔女に毒されることはない。","불결한 마녀가 더는 이 땅을 더럽히지 못할 것이다.","Essa terra não será mais envenenada por esta bruxa profana.","Нечистая ведьма больше не будет отравлять эту землю.","Esa impura bruja ya no seguirá envenenando esta tierra.","อี​แม่มด​โสโครก​มิ​อาจ​ทำให้​แผ่น​ดิน​นี้​เป็น​พิษ​ได้​อีก​ต่อ​ไป","不潔的女巫將不再毒害這片土地。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_54.ogg","",10000,0
684,"Templar126","Child, I've seen resurrection. It was nightmarish, not beautiful.","Mon enfant, j'ai vu la résurrection. C'était cauchemardesque, non merveilleux.","Kind, ich habe die Auferstehung gesehen. Es war ein Albtraum, nicht schön.","童よ、我は復活を見たことがある。あれは美しくはない、悪夢だ。","아이야, 나는 부활을 목격한 적이 있다. 아름답기는커녕 악몽 같은 광경이었지.","Criança, eu vi a ressurreição. Não é linda, é torturante. ","Дитя, я видел воскресение. Это не было красиво, это было кошмарно.","Niña, he visto la resurrección. Era una pesadilla, no era hermosa.","เด็ก​น้อย ข้า​เคย​เห็น​การ​ชุบ​ชีวิต​มา​กับตา มัน​สยดสยอง​นัก มิได้​งดงาม​เลย​สัก​นิด","孩子，我見過復活。這是噩夢般且並不美麗。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_55.ogg","",10000,0
685,"Templar127","Your loyalty has gone unrewarded. Go to God, if he shall have you.","Ta loyauté n'a pas été récompensée. Retourne auprès de Dieu, s'il veut encore de toi.","Eure Loyalität wurde nicht belohnt. Geht zu Gott, wenn er Euch denn haben will.","其方の忠誠が報われることはなかった。神の下へ行くが良い、彼が受け入れてくれるならば。","네 충심이 보답받지 못했군. 신께 가거라. 그분께서 받아들여 주실지는 모르겠으나.","Sua lealdade não foi compensada. Vá para Deus, caso ele lhe aceite. ","Твоя преданность осталась без награды. Иди к Богу, если он тебя заберёт.","Tu lealtad no obtendrá recompensa. Ve hacia Dios, si él te acepta.","เจ้า​มิได้​รับ​รางวัล​ใดๆ จาก​ความ​ภักดี หาก​พระองค์​ท่าน​ต้องการ​เจ้า ก็จง​ไป​หา​พระเจ้า​เถิด","你的忠誠沒有得到回報。去見神吧，如果他願意的話。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_56.ogg","",10000,0
686,"Templar128","A seed sacred to a false religion.","Une graine sacrée pour une fausse religion.","Eine Saat, die einer falschen Religion geweiht ist.","偽の信仰にとって神聖な種か。","거짓 종교가 신성하게 여기는 씨앗이다.","Uma semente sagrada para uma falsa religião. ","Семя священное для ложной религии.","Una semilla sagrada para una religión falsa.","เมล็ด​พันธุ์​ศักดิ์สิทธิ์​ของ​ศาสนา​อัน​ลวง​หลอก","對錯誤宗教而言神聖的種子。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_57.ogg","",10000,0
687,"Templar129","Faith triumphs over fear.","La foi triomphe de la peur.","Der Glaube triumphiert über die Furcht.","信仰心は恐怖に打ち勝つ。","믿음은 공포보다 강하다.","A fé triunfa sobre o medo. ","Вера побеждает страх.","La fe triunfa por sobre el miedo.","ศรัทธา​ย่อม​มี​ชัย​เหนือ​ความ​เกรง​กลัว","信心戰勝恐懼。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_58.ogg","",10000,0
688,"Templar130","Someone may have washed away your sins, Piety, but I will never forget what you did here.","Quelqu'un a eu beau de te laver de tes péchés, Piété, jamais je n'oublierai ce que tu as fait ici.","Jemand mag Eure Sünden reingewaschen haben, Piety, aber ich werde nie vergessen, was Ihr hier getan habt.","パイエティ、誰かが其方の罪を洗い流したのかもしれぬが、我は其方がここでしたことを絶対に忘れぬぞ。","다른 사람은 그대의 죄악을 잊을지 몰라도 나는 그대가 이곳에서 한 짓을 결코 잊지 않을 것이야, 파이어티.","Alguém pode ter absolvido seus pecados, Piety, mas eu jamais esquecerei seus feitos. ","Кто-то мог смыть твои грехи, Вера, но я никогда не забуду, что ты здесь сделала.","Puede que alguien haya limpiado tus pecados, Piedad, pero yo nunca olvidaré lo que hiciste aquí.","แม้​ผู้​อื่น​จะ​ได้​ชำระ​ล้าง​บาป​ของ​เจ้า​ไป​หมด​แล้ว พายตี้ แต่​ข้า​ย่อม​ไม่​ลืม​สิ่ง​ที่​แก​ทำ​ลง​ไป​ที่นี่","可能有人洗掉了你的罪孽，派蒂，但我永遠不會忘記你在這的所作所為。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_59.ogg","",10000,0
689,"Templar131","Cold to the touch, and within, vast as the night.","Froid au toucher, et en son sein, aussi vaate que la nuit.","Kalt beim Berühren und im Inneren unendlich wie die Nacht.","触れるに冷たく、内側は夜のように広大だ。","만지면 차갑고, 안은 밤처럼 광활하구나.","Frio ao toque e, por dentro, vasto como a noite. ","Холодный на ощупь, а внутри необъятный как ночь.","Frío al tacto, y por dentro, vasto como la noche.","เพียง​สัมผัส​ก็​เยือก​เย็น ภายใน​นั้น​กว้างใหญ่​ดั่ง​ราตรี","摸起來冰冷，內心如夜一般遼闊。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_60.ogg","",10000,0
690,"Templar132","Faith and solidarity go hand in hand. Petty rivalries doom even the mightiest warriors.","Foi et solidarité vont de pair. Les rivalités mesquines damnent même les plus puissants guerriers.","Glaube und Solidarität gehen Hand in Hand. Belanglose Rivalitäten werden selbst den mächtigsten Kriegern zum Verhängnis.","信仰心と団結は一組だ。些細な諍いは最強の戦士をも破滅に導く。","믿음과 결속은 뗄 수 없는 관계이지. 사소한 경쟁심은 아무리 강한 전사도 파멸로 몰고 갈 수 있다.","Fé e solidariedade caminham de mãos dadas. Rixas mesquinhas condenam até os maiores guerreiros. ","Вера и солидарность идут рука об руку. Мелкое соперничество обрекает на гибель даже самых могущественных воинов.","La fe y la solidaridad van de la mano. Las rivalidades mezquinas condenan hasta a los guerreros más poderosos.","ศรัทธา​และ​ความ​สามัคคี​นั้น​ย่อม​ไป​ด้วย​กัน​เสมอ การ​ชิง​ดี​ชิง​เด่น​นั้น​นำ​มา​ซึ่ง​ความ​พินาศ ต่อ​ให้​เป็น​นักรบ​อัน​เกรียง​ไกร​ก็ตาม","信念和團結是相輔相成的。即使是最強大的戰士，小小的對抗也會注定失敗。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_61.ogg","",10000,0
691,"Templar133","I have truly become the heretic, dabbling in foul alchemy.","Je suis véritablement devenu un hérétique, à m'adonner à une infâme alchimie.","Ich bin wahrlich ein Ketzer geworden, der sich in schmutziger Alchemie versucht.","我は真に異端者となってしまった。汚らわしい錬金術に手を染めて。","사악한 연금술에 손을 대다니, 진정 이단이 되고 말았구나.","Eu de fato me tornei um herege, me envolvendo com essa alquimia imunda. ","Я действительно стал еретиком, занимающимся грязной алхимией.","Ciertamente me he convertido en el hereje, mezclándome con esta funesta alquimia.","ข้า​ได้​เป็น​ผู้​นอกรีต​อย่าง​แน่แท้ จาก​การ​เล่น​แร่​แปร​ธาตุ​อัน​ชั่ว​ช้า​เช่น​นี้","我真的成了異端，涉足煉金術。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_62.ogg","",10000,0
692,"Templar134","The path of righteousness is fraught with sacrifices.","La voie de la vertu est parsemée de sacrifices.","Der Pfad der Rechtschaffenheit ist mit Opfern verbunden.","正義の道には犠牲が伴う。","정의의 길은 희생으로 점철되어 있는 법.","O caminho da integridade é repleto de sacrifícios. ","Путь праведности чреват жертвами.","El camino de la justicia está plagado de sacrificios.","เส้น​ทาง​ธรรมะ​นั้น​ย่อม​เต็ม​ไป​ด้วย​การ​เสีย​สละ","正義之路充滿了犧牲。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_63.ogg","",10000,0
693,"Templar135","You sacrifice your own daughter for the cause?","Tu as sacrifié ta propre fille pour ta cause ?","Ihr opfert Eure eigene Tochter für diese Sache?","其方は目的のために自身の娘を捧げるのか？","대의를 위해 자기 딸을 희생하는 것인가?","Você sacrifica sua própria filha pela causa?","Ты пожертвовал собственной дочерью ради дела?","¿Sacrificas a tu propia hija por la causa?","เจ้า​ยอม​สังเวย​ลูกสาว​ในไส้​เพื่อ​อุดมการณ์​ของ​เรา​หรือ​?","你為了這事犧牲了自己的女兒？","Audio/Dialogue/Character/StrInt/Event/Temp1_2_64.ogg","",10000,0
694,"Templar136","Perhaps, for once, something good will come from this vile Trarthan alchemy.","Peut-être que, pour une fois, quelque chose de bon émergera de cette vile alchimie trarthéenne.","Vielleicht wird ausnahmsweise mal etwas Gutes aus dieser abscheulichen trarthanischen Alchemie resultieren.","あるいは初めて、この汚れたトラサスの錬金術から良いものが生まれるやも知れぬ。","이번만큼은 이 끔찍한 트라탄 연금술이 좋은 결과를 불러올지도 모르겠군.","Talvez, pelo menos uma vez, algo de bom virá desta vil alquimia Trarthan. ","Возможно, хоть раз что-то хорошее выйдет из этой мерзкой тератновой алхимии.","Quizás, por una vez, algo bueno saldrá de esta vil alquimia trarthana.","การ​เล่น​แร่​แปร​ธาตุ​ทาร์​ทาน​อัน​เลว​ทราม​อาจ​ก่อให้​เกิด​สิ่ง​ดีๆ ขึ้น​มา​ได้​เสีย​ที","也許，這一次，這種邪惡的查爾森煉金術會帶來一些好處。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_65.ogg","",10000,0
695,"Templar137","Into the heart of darkness, I tread once more.","Au cœur des ténèbres, je m'engage une fois de plus.","In das Herz der Finsternis trete ich einmal mehr.","我は再び向かう。闇の心臓部へと。","다시 한번 어둠의 심장 속으로 나아간다.","Mais uma vez, ando dentro do coração das trevas.","Я снова ступаю в самое сердце тьмы.","Hacia el corazón de la oscuridad, camino una vez más.","ข้า​ย่าง​กราย​สู่​หัวใจ​อัน​ความ​มืด​มิด​อีก​ครา","我再次踏入黑暗之心。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_66.ogg","",10000,0
696,"Templar138","Through darkness and blood, with wrath!","À travers les ténèbres et le sang, porté par mon courroux !","Durch Dunkelheit und Blut, mit Zorn!","闇と血を抜けて、怒りを胸に！","분노로 어둠과 피를 헤쳐나아가리!","Através da escuridão e do sangue, com ira!","Сквозь тьму и кровь, с гневом!","¡A través de la oscuridad y la sangre, con ira!","ข้า​ผ่าน​พ้น​ความ​มืด​มิด​และ​เลือด​มา​ได้​ด้วย​โทสะ!","穿過黑暗和鮮血，帶著憤怒！","Audio/Dialogue/Character/StrInt/Event/Temp1_2_67.ogg","",10000,0
697,"Templar139","This ghastly nightmare must be put to an end!","Il faut mettre fin à cet épouvantable cauchemar !","Dieser grässliche Albtraum muss ein Ende haben!","この悍ましい悪夢は終わらせねばならない！","이 무시무시한 악몽을 끝내야만 한다!","Este pesadelo horrível deve acabar!","Нужно положить конец этому ужасному кошмару!","¡Esta lúgubre pesadilla debe terminar!","ฝัน​ร้าย​อัน​แสน​สยอง​ต้อง​สิ้น​ลง​เสียที!","必須結束這可怕的噩夢！","Audio/Dialogue/Character/StrInt/Event/Temp1_2_68.ogg","",10000,0
698,"Templar140","Rest now, my brother. God shall be your judge.","Repose-toi à présent, mon frère. Dieu sera ton juge.","Ruhe jetzt, mein Bruder. Gott wird dein Richter sein.","兄弟よ、休むが良い。神が其方の審判となろう。","이제 편히 쉬게, 형제여. 신께서 그대를 심판하시기를.","Descanse agora, meu irmão. Deus será o seu juiz. ","А теперь отдыхай, брат мой. Бог будет тебе судьёй.","Descansa ahora, hermano. Dios te juzgará.","ไป​สู่​สุคติ​เถิด น้องข้า พระเจ้า​ย่อม​เป็น​ผู้พิพากษา​เจ้า​เป็น​แน่","現在休息吧，我的兄弟。神將是你的法官。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_69.ogg","",10000,0
699,"Templar141","I knew that you would find the path of righteousness once more, my Lord of Light. I shall be honoured to fight by your side!","Je savais que vous retrouveriez la voie de la vertu à nouveau, mon Seigneur de lumière. Je serai honoré de combattre à vos côtés !","Ich wusste, dass Ihr den Pfad der Rechtschaffenheit wiederfinden würdet, mein Herr des Lichts. Es wird mir eine Ehre sein, an Eurer Seite zu kämpfen!","我が光の主よ、あなたが再び正義の道を見つけるとわかっていました。あなたと共に戦えることを光栄に思います！","다시 정의의 길로 돌아오실 줄 알고 있었습니다, 빛의 주인이시여. 그대 곁에서 싸우는 것을 영광으로 여기겠나이다!","Eu sabia que você encontraria o caminho da integridade mais uma vez, meu Senhor da Luz. Será uma honra lutar ao seu lado!","Я знал, что вы снова найдёте путь праведности, мой Владыка Света. Для меня будет честью сражаться рядом с вами!","Sabía que encontrarías el camino de la justicia una vez más, mi Señor de la luz. ¡Será un honor luchar a tu lado!","ข้า​รู้​ว่า​พระองค์​ท่าน​จะ​กลับ​มา​สู่​หนทาง​อัน​เที่ยง​ธรรม​อีก​ครา ท่าน​ผู้​เป็น​เทพ​แห่ง​แสง​ของ​ข้า มัน​ย่อม​เป็น​เกียรติ​ที่​ข้า​จะ​ได้​ต่อสู้​เคียง​ข้าง​พระองค์​ท่าน​!","我知道你會再次找到正義之路，我的光之主。能與你並肩作戰，我將深感榮幸！","Audio/Dialogue/Character/StrInt/Event/Temp1_2_70.ogg","",10000,0
700,"Templar142","Unhand my God, fiend!","Relâche mon Dieu, démon !","Lass meinen Gott los, du Teufel!","我が神から手を離せ、悪魔よ！","나의 신을 놓아드려라, 이 마귀야!","Solte o meu Deus, demônio!","Отпусти моего Господа, дьявол!","¡Suelta a mi Dios, demonio!","ปล่อย​พระเจ้า​ข้า​เสีย ไอ้​ชั่ว​ช้า!","放開我的神，惡魔！","Audio/Dialogue/Character/StrInt/Event/Temp1_2_71.ogg","",10000,0
701,"Templar143","Our long work is finally over. Beauty returns to my home.","Notre interminable labeur est enfin achevé. La beauté est de retour en mon foyer.","Unsere lange Arbeit ist endlich vorbei. Schönheit kehrt in mein Heim zurück.","長い仕事もついに終わりだ。我が故郷は再び美しい。","기나긴 과업이 마침내 끝났구나. 나의 고향이 다시금 아름다워질 것이다.","Nosso longo trabalho finalmente chega ao fim. A beleza retorna ao meu lar. ","Наконец-то наша долгая работа окончена. Красота возвращается в мой дом. ","Nuestro trabajo finalmente ha terminado. La belleza regresa a mi hogar.","งาน​อัน​เนิ่น​นาน​ของ​เรา​เสร็จ​สิ้น​เสียที บ้าน​เกิด​ข้า​กลับ​มา​งดงาม​อีก​ครา","我們漫長的工作終於結束了。美麗回到我的家園。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_72.ogg","",10000,0
702,"Templar144","For what little it is worth, my Lord, you have the forgiveness of your most faithful follower.","Pour ce que cela vaut, mon Seigneur, sachez que vous avez le pardon de votre fidèle le plus dévôt.","Für das Wenige, was es wert ist, mein Herr, hast du die Vergebung deines treuesten Anhängers.","我が主よ、何の気休めにもならないかもしれませんが、あなたの最も忠実なる下僕はあなたを許しています。","나의 주인이시여. 그대에게 어떤 의미가 있겠습니까마는, 이 충실한 종은 그대를 용서하나이다.","Se lhe serve de algum consolo, meu Senhor, você tem o perdão de seu seguidor mais fiel.","Как бы мало это ни стоило, мой владыка, у тебя есть прощение от твоего самого верного последователя.","Por poco que valga, mi Señor, tienes el perdón de tu seguidor más leal.","ไม่​ว่า​มัน​จะ​มี​ค่า​ต้อย​ต่ำ​เช่น​ไร พระองค์​ท่าน ท่าน​ย่อม​ได้​รับคำ​อภัย​จาก​ข้า สาวก​ผู้​ศรัทธา​ใน​พระองค์​ท่าน​เป็น​ที่สุด","我的主啊，它的價值微乎其微，你得到了你最忠實的追隨者的寬恕。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_73.ogg","",10000,0
703,"Templar145","Like stepping into a dream...","Pareil que d'entrer dans un rêve...","Als würde man in einen Traum hineintreten ...","夢へと入り込んだようだ…...","꿈속으로 들어가는 기분이군...","É como entrar em um sonho...","Как будто во сне...","Es como entrar a un sueño…","เหมือน​ก้าว​เข้าไป​ใน​ฝัน​...","就像踏入夢境……","Audio/Dialogue/Character/StrInt/Event/Temp1_2_74.ogg","",10000,0
704,"Templar146","Lord of Light, take this tortured soul to freedom.","Seigneur de lumière, emmène cette âme torturée jusqu'à la délivrance.","Herr des Lichts, gib dieser gequälten Seele die Freiheit.","光の主よ、この苛まれた魂を開放したまえ。","빛의 주인이시여, 이 고통받은 영혼을 해방해 주소서.","Senhor da Luz, conceda a liberdade a esta alma torturada.","Владыка Света, забери эту измученную душу на свободу.","Señor de la luz, lleva a esta alma torturada hacia la libertad.","ท่าน​เทพ​แห่ง​แสง จง​นำ​วิญญาณ​ทรมาน​ตน​นี้​ไป​สู่​เสรีภาพ​เสีย​เถิด","光之王，帶這個受折磨的靈魂獲得自由。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_75.ogg","",10000,0
705,"Templar147","The judge must first judge herself!","Le juge doit d'abord se juger lui-même !","Die Richterin muss sich zuerst selbst richten!","審判はまず自身を審判せねばならない！","심판자는 우선 자신을 심판해야 할 것이다!","A juíza deve primeiro julgar a si mesma!","Судья должна сначала судить себя!","¡La jueza deberá juzgarse a sí misma primero!","ผู้​เป็น​ผู้​พิพากษา​ย่อม​ต้อง​พิพากษา​ตนเอง​เสีย​ก่อน​!","法官必須先審判自己！","Audio/Dialogue/Character/StrInt/Event/Temp1_2_76.ogg","",10000,0
706,"Templar148","Only God can free you from this place.","Seul Dieu peut te libérer de cet endroit.","Nur Gott kann Euch von diesem Ort befreien.","ここから其方を開放できるのは神だけだ。","오직 신께서만 널 이곳에서 해방시키실 수 있다.","Apenas Deus pode te libertar deste lugar. ","Только Господь может освободить тебя из этого места.","Solo Dios puede liberarte de este lugar.","มี​เพียง​พระเจ้า​เท่านั้น​ที่​ปลด​ปล่อย​แก​จาก​ที่​นี่​ไป​ได้","只有神才能將你從這個地方釋放出來。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_77.ogg","",10000,0
707,"Templar149","You are not the arbiter of Justice. God is.","Tu n'es pas l'arbitre de la Justice. Dieu l'est.","Ihr seid nicht der Richter der Gerechtigkeit. Gott ist es.","正義を裁定するのは其方ではない。神だ。","그대는 정의의 중재자가 아니다. 그것은 신의 역할이다.","Você não é o árbitro da Justiça. Deus é. ","Не ты арбитр Справедливости. Бог – судья.","No eres el árbitro de la justicia. Dios lo es.","พระเจ้า​เป็น​ผู้​ชี้ขาด​คำ​พิพากษา มิใช่​แก","你不是正義的仲裁者。神才是。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_78.ogg","",10000,0
708,"Templar150","Only God knows what sorrows beset the path we must walk.","Seul Dieu connaît les chagrins parsemant la voie que nous devons arpenter.","Nur Gott weiß, welche Leiden auf dem Weg liegen, den wir gehen müssen.","我らが歩まねばならない道に降りかかる悲しみは神のみぞ知る。","우리 앞에 놓인 길에 어떤 슬픔이 도사리고 있을지는 오직 신께서만 알고 계신다.","Apenas Deus conhece quais angústias cercam os caminhos que devemos trilhar. ","Только Господь знает, какие печали омрачают путь, по которому мы должны идти.","Solo Dios sabe qué penas alberga el camino que debemos andar.","เส้น​ทาง​ที่​เรา​ต้อง​เดิน​จะ​เต็ม​ไป​ด้วย​ความ​เศร้า​โศก​เช่น​ไร มี​เพียง​พระเจ้า​ที่​ล่วง​รู้","只有神知道在我們必須走的道路上有多少悲傷。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_79.ogg","",10000,0
709,"Templar151","The first step towards bringing morality to this realm of madness.","Le premier pas en direction du retour de la moralité en ce royaume de démence.","Der erste Schritt, um Ordnung in dieses Reich des Wahnsinns zu bringen.","この狂気の世界に倫理をもたらす第一歩だ。","이 미쳐 버린 세상에 도덕을 전파하는 첫걸음이다.","O primeiro passo para trazer a moral para este reino de loucura. ","Первый шаг к принесению морали в это царство безумия.","El primer paso para traer la moralidad a este reino de locura.","มัน​เป็น​ก้าว​แรก​ใน​การนำ​ศีล​ธรรม​มา​สู่​ดิน​แดน​อัน​บ้า​คลั่ง​แห่งนี้","將道德帶入這個瘋狂領域的第一步。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_80.ogg","",10000,0
710,"Templar152","The stars adorn the realm of God. They were never yours to control.","Les étoiles ornent le royaume de Dieu. Elles n'ont jamais été tiennes à contrôler.","Die Sterne schmücken das Reich Gottes. Es war nie Eure Aufgabe, sie zu kontrollieren.","星々は神の領域を飾るものだ。もとより其方が好きにしていいものではない。","신의 영역을 수놓는 별들은 네가 가질 수 있는 것이 아니다.","As estrelas adornam o reino de Deus. Elas nunca estiveram sob seu controle. ","Звезды украшают царство Божие. Они никогда не принадлежали тебе.","Las estrellas adornan el reino de Dios. Nunca te pertenecieron para poder controlarlas.","ดวงดาว​นั้น​มี​ไว้​ประดับ​ดิน​แดน​พระเจ้า ไม่​ได้​มี​ไว้​ให้​แก​ครอบ​ครอง​และ​ควบคุม","星星裝飾著神的領域。他們從來不是你可以控制的。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_81.ogg","",10000,0
711,"Templar153","Life and limb were a gift to mortals. God rescinds that which was never yours.","La vie et les membres sont un don pour les mortels. Dieu abroge ce qui n'a jamais été tien.","Leben und Gliedmaßen waren ein Geschenk an die Sterblichen. Gott nimmt das zurück, was Euch nie gehörte.","命と五体は定命なる者への贈り物だった。もとより其方のものではなかったものを、神は取り下げる。","생명과 육신은 필멸자에게 주어진 선물이었다. 결코 네 것인 적이 없었던 것을, 신께서 다시 가져가시는구나.","A vida e o corpo foram presentes dados aos mortais. Deus reivindica aquilo que nunca foi seu. ","Жизнь и конечности были даром смертным. Бог забирает то, что никогда не было твоим.","La vida y la carne fueron un regalo para los mortales. Dios rescinde lo que nunca fue tuyo.","ชีวิต​และ​อวัยวะ​นั้น​เป็น​ของ​ขวัญ​แก่​มวล​มนุษย์ พระเจ้า​ทรง​ย่อม​เพิก​ถอน​สิ่ง​ที่​แก​มิ​เคย​ได้​ครอบ​ครอง","生命和軀體是給凡人的禮物。神廢除那些從來不屬於你的東西。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_82.ogg","",10000,0
