"rownum","EPKFile1","i32_8","EPKFile2","i32_20","i32_24","i32_28","bool_32","AOFile","bool_41","string_42"
157,"dualstrike_claw_nightfall",0,"",80,9,80,"","Metadata/Effects/Microtransactions/Spells/nightfall_dualstrike/dual_strike_CLAW.ao","",""
158,"dualstrike_onehanded_nightfall",0,"",80,9,80,"","Metadata/Effects/Microtransactions/Spells/nightfall_dualstrike/dual_strike_1H.ao","",""
159,"TraumaStrike1Hand",0,"",110,11,110,"","Metadata/Effects/Spells/melee_trails/trauma_strike/trauma_strike_1H.ao","",""
160,"TraumaStrike2Hand",0,"",135,13,135,"","Metadata/Effects/Spells/melee_trails/trauma_strike/trauma_strike_2H.ao","",""
161,"TraumaStrike2HandOff",0,"",135,13,135,"","Metadata/Effects/Spells/melee_trails/trauma_strike/trauma_strike_2H_off.ao","",""
162,"TraumaStrikeClaw",0,"",60,11,60,"","Metadata/Effects/Spells/melee_trails/trauma_strike/trauma_strike_1H.ao","",""
163,"AncestralProtector1Hand",0,"Metadata/Effects/Spells/totems/karui_totem/ancestral_totem_1h.epk",110,11,110,"","","",""
164,"AncestralProtector2Hand",0,"Metadata/Effects/Spells/totems/karui_totem/ancestral_totem_2h.epk",135,13,135,"","","",""
165,"AncestralProtector2HandOff",0,"Metadata/Effects/Spells/totems/karui_totem/ancestral_totem_2h.epk",135,13,135,"","","",""
166,"AncestralProtectorClaw",0,"Metadata/Effects/Spells/totems/karui_totem/ancestral_totem_1h_left.epk",90,11,90,"","","",""
167,"IllusionistCobraLashClawL",0,"",0,0,0,"","Metadata/Effects/Microtransactions/Spells/cobra_lash/illusionist/cobracast.ao","",""
168,"IllusionistCobraLashClawR",0,"",0,0,0,"","Metadata/Effects/Microtransactions/Spells/cobra_lash/illusionist/cobracast.ao","",""
169,"IllusionistCobraLashClawOneHandedL",0,"",0,0,0,"","Metadata/Effects/Microtransactions/Spells/cobra_lash/illusionist/cobracast_dagger.ao","",""
170,"IllusionistCobraLashClawOneHandedR",0,"",0,0,0,"","Metadata/Effects/Microtransactions/Spells/cobra_lash/illusionist/cobracast_dagger.ao","",""
171,"Metadata/Effects/Microtransactions/Spells/smite/annihilation/wp_enchant_unarmed_L.epk",0,"Metadata/Effects/Microtransactions/Spells/smite/annihilation/wp_enchant_onehand_L.epk",0,0,0,"","","",""
172,"Metadata/Effects/Microtransactions/Spells/smite/annihilation/wp_enchant_unarmed_R.epk",0,"Metadata/Effects/Microtransactions/Spells/smite/annihilation/wp_enchant_onehand_R.epk",0,0,0,"","","",""
173,"Metadata/Effects/Microtransactions/Spells/smite/annihilation/wp_enchant_onehand_L.epk",0,"Metadata/Effects/Microtransactions/Spells/smite/annihilation/wp_enchant_onehand_L.epk",0,0,0,"","","",""
174,"Metadata/Effects/Microtransactions/Spells/smite/annihilation/wp_enchant_onehand_R.epk",0,"Metadata/Effects/Microtransactions/Spells/smite/annihilation/wp_enchant_onehand_R.epk",0,0,0,"","","",""
175,"Metadata/Effects/Microtransactions/Spells/smite/annihilation/wp_enchant_twohand.epk",0,"Metadata/Effects/Microtransactions/Spells/smite/annihilation/wp_enchant_twohand.epk",0,0,0,"","","",""
176,"WhirlwindSpearMainhand",0,"",135,13,135,"","Metadata/Effects/Spells/melee_trails/heavy_strike/heavy_strike_2H.ao","",""
177,"WhirlwindSpearOffhand",0,"",135,13,135,"","Metadata/Effects/Spells/melee_trails/heavy_strike/heavy_strike_2H_off.ao","",""
178,"GenericTestTrail360",0,"",0,0,0,"","Metadata/Effects/Spells/attack_trails/previewTrail.ao",1,"attack_360"
179,"GenericTestTrail280",0,"",0,0,0,"","Metadata/Effects/Spells/attack_trails/previewTrail.ao",1,"attack_280"
180,"GenericTestTrail270",0,"",0,0,0,"","Metadata/Effects/Spells/attack_trails/previewTrail.ao",1,"attack_270"
181,"GenericTestTrail220",0,"",0,0,0,"","Metadata/Effects/Spells/attack_trails/previewTrail.ao",1,"attack_220"
182,"GenericTestTrail180",0,"",0,0,0,"","Metadata/Effects/Spells/attack_trails/previewTrail.ao",1,"attack_180"
183,"GenericTestTrail120",0,"",0,0,0,"","Metadata/Effects/Spells/attack_trails/previewTrail.ao",1,"attack_120"
184,"LightningStrikeTrail",0,"",0,0,0,"","Metadata/Effects/Spells/attack_trails/default_attack_2h.ao",1,"attack_220"
185,"LightningStrikeTrail",1,"",120,13,120,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_weapon_twoh.ao","","animate"
186,"WhirlingAssaultTrail",0,"",0,0,0,"","Metadata/Effects/Spells/monk_whirlingassault/melee_trail.ao",1,"attack_360"
187,"WhirlingAssaultTrail",1,"",0,0,0,"","Metadata/Effects/Spells/monk_whirlingassault/cutting_trail.ao",1,"attack_360"
188,"BreachlordWhirlingAssaultTrail",0,"",0,0,0,"","Metadata/Effects/Microtransactions/Spells/Monk/Breach/monk_whirlingassault/melee_trail.ao",1,"attack_360"
189,"BreachlordWhirlingAssaultTrail",1,"",0,0,0,"","Metadata/Effects/Microtransactions/Spells/Monk/Breach/monk_whirlingassault/cutting_trail.ao",1,"attack_360"
190,"GaleStrikeTrail",0,"",0,0,0,"","Metadata/Effects/Spells/monk_galestrike/melee.ao",1,"melee"
191,"GaleStrikeTrail",1,"",0,0,0,"","Metadata/Effects/Spells/monk_galestrike/weapon_trail.ao",1,"melee"
192,"StaffComboTrail",0,"",0,0,0,"","Metadata/Effects/Spells/monk_quarterstaffcombo/cold_slash.ao",1,"attack_180"
193,"StaffComboTrail",1,"",0,0,0,"","Metadata/Effects/Spells/monk_quarterstaffcombo/cold_kick.ao",1,"attack_180"
194,"StaffComboTrail",2,"",0,0,0,"","Metadata/Effects/Spells/monk_quarterstaffcombo/cold_finisher.ao",1,"attack_270"
195,"StaffComboTrailAurora",0,"",0,0,0,"","Metadata/Effects/Microtransactions/Spells/Monk/Aurora/monk_quarterstaffcombo/cold_slash.ao",1,"attack_180"
196,"StaffComboTrailAurora",1,"",0,0,0,"","Metadata/Effects/Microtransactions/Spells/Monk/Aurora/monk_quarterstaffcombo/cold_kick.ao",1,"attack_180"
197,"StaffComboTrailAurora",2,"",0,0,0,"","Metadata/Effects/Microtransactions/Spells/Monk/Aurora/monk_quarterstaffcombo/cold_finisher.ao",1,"attack_270"
198,"ShadowThiefSlashTrail",0,"",0,0,0,"","Metadata/Effects/Spells/assassin_shadowthiefslash/main_slash_meleeTrail.ao",1,"attack_360"
199,"ShadowThiefSlashTrail",1,"",0,0,0,"","Metadata/Effects/Spells/assassin_shadowthiefslash/shadow_slash_meleeTrail.ao",1,"attack_360"
200,"PestilentSlashTrail",0,"",0,0,0,"","Metadata/Effects/Spells/assassin_pestilentstrike/pestilent_slash.ao",1,"attack_270"
201,"DefaultMaulTrail360",0,"",0,0,0,"","Metadata/Effects/Spells/attack_trails/2h_maul_trail.ao",1,"attack_360"
202,"DefaultMaulTrail280",0,"",0,0,0,"","Metadata/Effects/Spells/attack_trails/2h_maul_trail.ao",1,"attack_280"
203,"DefaultMaulTrail270",0,"",0,0,0,"","Metadata/Effects/Spells/attack_trails/2h_maul_trail.ao",1,"attack_270"
204,"DefaultMaulTrail220",0,"",0,0,0,"","Metadata/Effects/Spells/attack_trails/2h_maul_trail.ao",1,"attack_220"
205,"DefaultMaulTrail180",0,"",0,0,0,"","Metadata/Effects/Spells/attack_trails/2h_maul_trail.ao",1,"attack_180"
206,"DefaultMaulTrail120",0,"",0,0,0,"","Metadata/Effects/Spells/attack_trails/2h_maul_trail.ao",1,"attack_120"
207,"DefaultMaceTrail360",0,"",0,0,0,"","Metadata/Effects/Spells/attack_trails/1h_mace_trail.ao",1,"attack_360"
208,"DefaultMaceTrail280",0,"",0,0,0,"","Metadata/Effects/Spells/attack_trails/1h_mace_trail.ao",1,"attack_280"
209,"DefaultMaceTrail270",0,"",0,0,0,"","Metadata/Effects/Spells/attack_trails/1h_mace_trail.ao",1,"attack_270"
210,"DefaultMaceTrail220",0,"",0,0,0,"","Metadata/Effects/Spells/attack_trails/1h_mace_trail.ao",1,"attack_220"
211,"DefaultMaceTrail180",0,"",0,0,0,"","Metadata/Effects/Spells/attack_trails/1h_mace_trail.ao",1,"attack_180"
212,"DefaultMaceTrail120",0,"",0,0,0,"","Metadata/Effects/Spells/attack_trails/1h_mace_trail.ao",1,"attack_120"
213,"DefaultStaffTrail360",0,"",0,0,0,"","Metadata/Effects/Spells/attack_trails/2h_staff_trail.ao",1,"attack_360"
214,"DefaultStaffTrail280",0,"",0,0,0,"","Metadata/Effects/Spells/attack_trails/2h_staff_trail.ao",1,"attack_280"
215,"DefaultStaffTrail270",0,"",0,0,0,"","Metadata/Effects/Spells/attack_trails/2h_staff_trail.ao",1,"attack_270"
216,"DefaultStaffTrail220",0,"",0,0,0,"","Metadata/Effects/Spells/attack_trails/2h_staff_trail.ao",1,"attack_220"
217,"DefaultStaffTrail180",0,"",0,0,0,"","Metadata/Effects/Spells/attack_trails/2h_staff_trail.ao",1,"attack_180"
218,"DefaultStaffTrail120",0,"",0,0,0,"","Metadata/Effects/Spells/attack_trails/2h_staff_trail.ao",1,"attack_120"
219,"FlickerStrikeTrail",0,"Metadata/Effects/Spells/monk_flickerstrike/epk/flicker_weapon.epk",0,0,0,"","","",""
220,"BearMaulTrail",0,"",0,0,0,"","Metadata/Effects/Spells/druid_maul/maul_Slash.ao",1,"attack_280"
221,"BearMaulTrailForgemaster",0,"",0,0,0,"","Metadata/Effects/Microtransactions/Spells/druid_maul/forgemaster/maul_Slash.ao",1,"attack_280"
222,"BearMaulTrailVesselOfWrath",0,"",0,0,0,"","Metadata/Effects/Microtransactions/Misc/uniques/VesselofWrath/maul_Slash.ao",1,"attack_280"
223,"DisengageTrail",0,"",0,0,0,"","Metadata/Effects/Spells/spear_disengage/melee_trail.ao",1,"attack_220"
224,"SandstormSwipeTrail",0,"",0,0,0,"","Metadata/Effects/Spells/spear_whirlingslash/OnACTs/whirlwindSlash.ao",1,"attack_360"
225,"BrambleghastSandstormSwipeTrail",0,"",0,0,0,"","Metadata/Effects/Microtransactions/Spells/spear_whirlingslash_voodoo/whirlwindSlash.ao",1,"attack_360"
226,"SkeletonMelee",0,"",0,0,0,"","Metadata/Effects/Spells/undead_summon_skeletons/melee_trail.ao",1,"attack_180"
227,"FrostwhirlTrail",0,"",0,0,0,"","Metadata/Effects/Spells/spear_frost_whirl/melee_spin.ao",1,"attack_360"
228,"BloodHuntTrail",0,"",0,0,0,"","Metadata/Effects/Spells/spear_bloodhunt/OnACTs/bloodHunt_Slash.ao",1,"attack_360"
229,"PerfectComboTrail",0,"",0,0,0,"","Metadata/Effects/Spells/spear_perfectcombo/OnACTs/slashCombo.ao",1,"attack_360"
230,"BrambleghastDisengageTrail",0,"",0,0,0,"","Metadata/Effects/Microtransactions/Spells/spear_disengage/brambleghast/melee_trail.ao",1,"attack_220"
231,"ValkyriePerfectComboTrail",0,"",0,0,0,"","Metadata/Effects/Microtransactions/Spells/Huntress/Valkyrie/spear_primalstrikes/OnActs/slashCombo.ao",1,"attack_360"
232,"DarkTempestPerfectComboTrail",0,"",0,0,0,"","Metadata/Effects/Microtransactions/Spells/Huntress/DarkTempest/primal_strikes/ao/slashCombo.ao",1,"attack_360"
233,"WyvernSwipeTrail",0,"",0,0,0,"","Metadata/Effects/Spells/wyvern_wingcleave/wingCleave_01.ao",1,"attack_220"
234,"WyvernSwipeTrail",1,"",0,0,0,"","Metadata/Effects/Spells/wyvern_wingcleave/wingCleave_Lightning.ao",1,"attack_220"
235,"LichbornWyvernSwipeTrail",0,"",0,0,0,"","Metadata/Effects/Microtransactions/Spells/Wyvern/Lichborn/wyvern_wingcleave/wingCleave_01.ao",1,"attack_220"
236,"LichbornWyvernSwipeTrail",1,"",0,0,0,"","Metadata/Effects/Microtransactions/Spells/Wyvern/Lichborn/wyvern_wingcleave/wingCleave_Lightning.ao",1,"attack_220"
237,"ReapTrail",0,"",0,0,0,"","Metadata/Effects/Spells/blood_reap/reap_trail.ao",1,"attack_270"
238,"WinnowingFlameTrail",0,"",0,0,0,"","Metadata/Effects/Microtransactions/Misc/uniques/KulemaksBirth/abyss_reap.ao",1,"attack_270"
239,"LunarAssaultTrail",0,"",0,0,0,"","Metadata/Effects/Spells/werewolf_frozenclaws/frozenClaw_01.ao",1,"attack_280"
240,"LunarAssaultTrail",1,"",0,0,0,"","Metadata/Effects/Spells/werewolf_frozenclaws/frozenClaw_01.ao",1,"attack_280_alt"
241,"BloodMoonLunarAssaultTrail",0,"",0,0,0,"","Metadata/Effects/Microtransactions/Spells/Druid/BloodMoon/Wolf/frozenclaws/frozenClaw_01.ao",1,"attack_280"
242,"BloodMoonLunarAssaultTrail",1,"",0,0,0,"","Metadata/Effects/Microtransactions/Spells/Druid/BloodMoon/Wolf/frozenclaws/frozenClaw_01.ao",1,"attack_280_alt"
243,"FrozenClawsTrail",0,"",0,0,0,"","Metadata/Effects/Spells/werewolf_icebreaker/wolf_Claws.ao",1,"attack_220"
244,"FrozenClawsTrail",1,"",0,0,0,"","Metadata/Effects/Spells/werewolf_icebreaker/wolf_Claws_Final.ao",1,"attack_280"
245,"FrozenClawsTrail",2,"",0,0,0,"","Metadata/Effects/Spells/werewolf_icebreaker/wolf_Claws_Lunar.ao",1,"attack_280"
246,"FrozenClawsTrail",3,"",0,0,0,"","Metadata/Effects/Spells/werewolf_icebreaker/wolf_Claws_Final_Lunar.ao",1,"attack_280"
247,"BloodMoonFrozenClawsTrail",0,"",0,0,0,"","Metadata/Effects/Microtransactions/Spells/Druid/BloodMoon/Wolf/icebreaker/wolf_Claws.ao",1,"attack_220"
248,"BloodMoonFrozenClawsTrail",1,"",0,0,0,"","Metadata/Effects/Microtransactions/Spells/Druid/BloodMoon/Wolf/icebreaker/wolf_Claws_Final.ao",1,"attack_280"
249,"BloodMoonFrozenClawsTrail",2,"",0,0,0,"","Metadata/Effects/Microtransactions/Spells/Druid/BloodMoon/Wolf/icebreaker/wolf_Claws_Lunar.ao",1,"attack_280"
250,"BloodMoonFrozenClawsTrail",3,"",0,0,0,"","Metadata/Effects/Microtransactions/Spells/Druid/BloodMoon/Wolf/icebreaker/wolf_Claws_Final_Lunar.ao",1,"attack_280"
