"rownum","Id","Audio","[i32]_24","VolumePercentage","QuestFlag1","QuestFlag2","[i32]_76","[i32]_92"
162,"DiviniaGoodbyeMerchant","[""Audio/Dialogue/NPC/Divinia_Greeting/Divinia_Goodbye_B_03.ogg"",""Audio/Dialogue/NPC/Divinia_Greeting/Divinia_Goodbye_B_04.ogg"",""Audio/Dialogue/NPC/Divinia_Greeting/Divinia_Goodbye_B_05.ogg"",""Audio/Dialogue/NPC/Divinia_Greeting/Divinia_Goodbye_E_01.ogg"",""Audio/Dialogue/NPC/Divinia_Greeting/Divinia_Goodbye_E_02.ogg"",""Audio/Dialogue/NPC/Divinia_Greeting/Divinia_Goodbye_E_03.ogg"",""Audio/Dialogue/NPC/Divinia_Greeting/Divinia_MerchantGoodbye_B_01.ogg"",""Audio/Dialogue/NPC/Divinia_Greeting/Divinia_MerchantGoodbye_B_02.ogg"",""Audio/Dialogue/NPC/Divinia_Greeting/Divinia_MerchantGoodbye_B_03.ogg"",""Audio/Dialogue/NPC/Divinia_Greeting/Divinia_MerchantGoodbye_C_01.ogg"",""Audio/Dialogue/NPC/Divinia_Greeting/Divinia_MerchantGoodbye_C_02.ogg"",""Audio/Dialogue/NPC/Divinia_Greeting/Divinia_MerchantGoodbye_C_03.ogg"",""Audio/Dialogue/NPC/Divinia_Greeting/Divinia_MerchantGoodbye_E_02.ogg"",""Audio/Dialogue/NPC/Divinia_Greeting/Divinia_MerchantGoodbye_E_03.ogg""]",[],100,[],[],[],[]
163,"UnaGreeting","[""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Greeting_01_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Greeting_01_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Greeting_01_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Greeting_01_04.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Greeting_02_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Greeting_02_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Greeting_02_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Greeting_02_04.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Greeting_03_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Greeting_03_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Greeting_03_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Greeting_03_04.ogg""]",[],100,[],[],[],[]
164,"UnaGreetingLute","[""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Greeting_AfterLute_01_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Greeting_AfterLute_01_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Greeting_AfterLute_01_03.ogg""]",[],100,[2940],[],[],[]
165,"UnaGreetingTreeNoRunes","[""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Greeting_TreeNoRunes_01_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Greeting_TreeNoRunes_01_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Greeting_TreeNoRunes_01_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Greeting_TreeNoRunes_02_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Greeting_TreeNoRunes_02_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Greeting_TreeNoRunes_02_03.ogg""]",[],100,[],[2947],[],[]
166,"UnaFarewellTreeNoRunes","[""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Farewell_TreeNoRunes_01_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Farewell_TreeNoRunes_01_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Farewell_TreeNoRunes_01_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Farewell_TreeNoRunes_01_04.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Farewell_TreeNoRunes_02_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Farewell_TreeNoRunes_02_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Farewell_TreeNoRunes_02_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Farewell_TreeNoRunes_02_04.ogg""]",[],100,[],[2947],[],[]
167,"UnaFarewellTreeSomeRunes","[""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Farewell_TreeSomeRunes_01_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Farewell_TreeSomeRunes_01_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Farewell_TreeSomeRunes_01_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Farewell_TreeSomeRunes_02_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Farewell_TreeSomeRunes_02_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Farewell_TreeSomeRunes_02_03.ogg""]",[],100,[2947],[2948],[],[]
168,"UnaFarewell","[""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Farewell_01_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Farewell_01_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Farewell_01_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Farewell_02_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Farewell_02_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Farewell_02_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Farewell_02_04.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Farewell_03_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Farewell_03_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Farewell_03_03.ogg""]",[],100,[],[],[],[]
169,"UnaFarewellHoodedMet","[""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Greeting_AfterHoodedOneRescue_01_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Greeting_AfterHoodedOneRescue_01_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Greeting_AfterHoodedOneRescue_01_03.ogg""]",[],100,[3053],[],[],[]
170,"UnaFarewellLute","[""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Farewell_AfterLute_01_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Farewell_AfterLute_01_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Farewell_AfterLute_01_03.ogg""]",[],100,[2940],[],[],[]
171,"UnaGrimHellos","[""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Greeting_GrimTangle_01_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Greeting_GrimTangle_01_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Greeting_GrimTangle_01_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Greeting_GrimTangle_02_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Greeting_GrimTangle_02_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Greeting_GrimTangle_02_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Greeting_GrimTangle_02_04.ogg""]",[],100,[],[],[],[]
172,"UnaGrimGoodbyes","[""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Farewell_GrimTangle_01_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Farewell_GrimTangle_01_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Farewell_GrimTangle_01_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Farewell_GrimTangle_01_04.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Farewell_GrimTangle_02_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Una_Greeting/Una_Farewell_GrimTangle_02_02.ogg""]",[],100,[],[],[],[]
173,"Renly1","[""Audio/Dialogue/4.0/NPC/Part1/Act1/Renly_Greeting/Renly_27_1A.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Renly_Greeting/Renly_27_1B.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Renly_Greeting/Renly_27_1C.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Renly_Greeting/Renly_27_2A.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Renly_Greeting/Renly_27_2B.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Renly_Greeting/Renly_27_2C.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Renly_Greeting/Renly_27_3A.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Renly_Greeting/Renly_28_3B.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Renly_Greeting/Renly_27_3C.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Renly_Greeting/Renly_27_4A.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Renly_Greeting/Renly_27_4B.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Renly_Greeting/Renly_27_4C.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Renly_Greeting/Renly_27_1D.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Renly_Greeting/Renly_27_2D.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Renly_Greeting/Renly_27_3D.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Renly_Greeting/Renly_27_4D.ogg""]",[],100,[],[],[],[]
174,"Renly2","[""Audio/Dialogue/4.0/NPC/Part1/Act1/Renly_Greeting/Renly_28_1A.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Renly_Greeting/Renly_28_1B.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Renly_Greeting/Renly_28_1C.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Renly_Greeting/Renly_28_2A.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Renly_Greeting/Renly_28_2B.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Renly_Greeting/Renly_28_2C.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Renly_Greeting/Renly_28_3A.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Renly_Greeting/Renly_28_3B.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Renly_Greeting/Renly_28_3C.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Renly_Greeting/Renly_28_4A.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Renly_Greeting/Renly_28_4B.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Renly_Greeting/Renly_28_4C.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Renly_Greeting/Renly_28_1D.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Renly_Greeting/Renly_28_2D.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Renly_Greeting/Renly_28_3D.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Renly_Greeting/Renly_28_4D.ogg""]",[],100,[],[],[],[]
175,"Finn1_1","[""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Greeting_01_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Greeting_01_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Greeting_01_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Greeting_01_04.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Greeting_01_05.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Greeting_02_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Greeting_02_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Greeting_02_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Greeting_02_04.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Greeting_02_05.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Greeting_02_06.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Greeting_03_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Greeting_03_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Greeting_03_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Greeting_03_04.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Greeting_03_05.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Greeting_03_06.ogg""]",[],100,[],[2962],[],[]
176,"Finn1_2","[""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Greeting_04_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Greeting_04_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Greeting_04_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Greeting_05_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Greeting_05_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Greeting_05_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Greeting_05_04.ogg""]",[],100,[2931],[2962],[],[]
177,"Finn1_3","[""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Greeting_06_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Greeting_06_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Greeting_06_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Greeting_06_04.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Greeting_07_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Greeting_07_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Greeting_07_03.ogg""]",[],100,[2942],[2962],[],[]
178,"Finn1_4","[""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_GreetingSad_01_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_GreetingSad_01_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_GreetingSad_01_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_GreetingSad_01_04.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_GreetingSad_02_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_GreetingSad_02_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_GreetingSad_02_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_GreetingSad_02_04.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_GreetingSad_02_05.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_GreetingSad_02_06.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_GreetingSad_03_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_GreetingSad_03_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_GreetingSad_03_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_GreetingSad_03_04.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_GreetingSad_03_05.ogg""]",[],100,[2962],[],[],[]
179,"Finn2_1","[""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Farewell_01_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Farewell_01_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Farewell_01_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Farewell_01_04.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Farewell_02_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Farewell_02_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Farewell_02_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Farewell_02_04.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Farewell_02_05.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Farewell_02_06.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Farewell_03_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Farewell_03_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Farewell_03_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Farewell_03_04.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Farewell_03_05.ogg""]",[],100,[],[2962],[],[]
180,"Finn2_2","[""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Farewell_04_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Farewell_04_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Farewell_04_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Farewell_04_04.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Farewell_05_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Farewell_05_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Farewell_05_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Farewell_05_04.ogg""]",[],100,[2931],[2962],[],[]
181,"Finn2_3","[""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Farewell_06_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Farewell_06_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Farewell_06_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Farewell_06_04.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Farewell_07_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Farewell_07_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Farewell_07_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_Farewell_07_04.ogg""]",[],100,[2942],[2962],[],[]
182,"Finn2_4","[""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_FarewellSad_01_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_FarewellSad_01_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_FarewellSad_01_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_FarewellSad_01_04.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_FarewellSad_01_05.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_FarewellSad_01_06.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_FarewellSad_02_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_FarewellSad_02_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_FarewellSad_02_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_FarewellSad_02_04.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_FarewellSad_02_05.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_FarewellSad_02_06.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_FarewellSad_03_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_FarewellSad_03_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_FarewellSad_03_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_FarewellSad_03_04.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Finn_Greeting/Finn2_FarewellSad_03_05.ogg""]",[],100,[2962],[],[],[]
183,"LachlannGreeting","[""Audio/Dialogue/4.0/NPC/Part1/Act1/Lachlann_Greeting/Lachlann_Greeting_01_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Lachlann_Greeting/Lachlann_Greeting_01_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Lachlann_Greeting/Lachlann_Greeting_01_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Lachlann_Greeting/Lachlann_Greeting_01_04.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Lachlann_Greeting/Lachlann_Greeting_01_05.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Lachlann_Greeting/Lachlann_Greeting_02_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Lachlann_Greeting/Lachlann_Greeting_02_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Lachlann_Greeting/Lachlann_Greeting_02_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Lachlann_Greeting/Lachlann_Greeting_02_04.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Lachlann_Greeting/Lachlann_Greeting_02_05.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Lachlann_Greeting/Lachlann_Greeting_03_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Lachlann_Greeting/Lachlann_Greeting_03_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Lachlann_Greeting/Lachlann_Greeting_03_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Lachlann_Greeting/Lachlann_Greeting_03_04.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Lachlann_Greeting/Lachlann_Greeting_03_05.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Lachlann_Greeting/Lachlann_Greeting_04_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Lachlann_Greeting/Lachlann_Greeting_04_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Lachlann_Greeting/Lachlann_Greeting_04_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Lachlann_Greeting/Lachlann_Greeting_04_04.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Lachlann_Greeting/Lachlann_Greeting_05_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Lachlann_Greeting/Lachlann_Greeting_05_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Lachlann_Greeting/Lachlann_Greeting_05_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Lachlann_Greeting/Lachlann_Greeting_05_04.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act1/Lachlann_Greeting/Lachlann_Greeting_05_05.ogg""]",[],100,[],"[4703,4704]",[],[]
