"rownum","Id","Name","GrantedEffect","SupportText","SupportText (French)","SupportText (German)","SupportText (Japanese)","SupportText (Korean)","SupportText (Portuguese)","SupportText (Russian)","SupportText (Spanish)","SupportText (Thai)","SupportText (Traditional Chinese)","SupportName","GemTags","Consumed_Mod","ItemColor","[rid]_84","AdditionalGrantedEffects","bool_116","bool_117","[i32]_118","i32_134","i32_138"
150,"CloseCombatSupport","",653,"Supports [Attack|Attacks], causing them to deal more damage to enemies based on how close they are to you.","Modifie les [Attack|Attaques], leur permettant d'infliger davantage de dégâts aux ennemis en fonction de la distance à laquelle ils se trouvent de vous.","Unterstützt [Attack|Angriffe], wodurch sie mehr Schaden bei Gegnern verursachen, je näher sie an Euch dran sind.","[Attack|アタック]スキルをサポートし、プレイヤーと敵との距離が近いほどダメージを上昇させる。","[Attack|공격]에 적용됩니다. 플레이어와 근접해 있는 정도에 따라 적에게 주는 피해가 커집니다.","Reforça [Attack|ataques], fazendo com que causem mais dano contra inimigos que estiverem mais próximos de você.","Усиливает [Attack|атаки]. Усиленные умения наносят больше урона врагам в зависимости от их близости к герою.","Asiste [Attack|ataques] para que inflijan más daño a los enemigos en función de lo cerca que estén de ti.","ใช้เสริมการ[Attack|โจมตี] เพื่อให้สกิลนี้สร้างความเสียหายต่อศัตรู เพิ่มขึ้น อีก ตามความใกล้เคียง","輔助[Attack|攻擊]，使其根據敵人與你的距離遠近，對敵人造成更多傷害。","","[16,13]","",3,[],[],"","",[],-1,-1
151,"CloseCombatSupportTwo","",654,"Supports [Attack|Attacks], causing them to deal more damage to enemies based on how close they are to you.","Modifie les [Attack|Attaques], leur permettant d'infliger davantage de dégâts aux ennemis en fonction de la distance à laquelle ils se trouvent de vous.","Unterstützt [Attack|Angriffe], wodurch sie mehr Schaden bei Gegnern verursachen, je näher sie an Euch dran sind.","[Attack|アタック]スキルをサポートし、プレイヤーと敵との距離が近いほどダメージを上昇させる。","[Attack|공격]에 적용됩니다. 플레이어와 근접해 있는 정도에 따라 적에게 주는 피해가 커집니다.","Reforça [Attack|ataques], fazendo com que causem mais dano contra inimigos que estiverem mais próximos de você.","Усиливает [Attack|атаки]. Усиленные умения наносят больше урона врагам в зависимости от их близости к герою.","Asiste [Attack|ataques] para que inflijan más daño a los enemigos en función de lo cerca que estén de ti.","ใช้เสริมการ[Attack|โจมตี] เพื่อให้สกิลนี้สร้างความเสียหายต่อศัตรู เพิ่มขึ้น อีก ตามความใกล้เคียง","輔助[Attack|攻擊]，使其根據敵人與你的距離遠近，對敵人造成更多傷害。","","[16,13]","",3,[],[],"","",[],-1,-1
152,"RageSupport","",655,"Supports [Melee|Melee] [Attack|Attacks], causing them to grant [Rage|Rage] on [HitDamage|Hit].","Modifie les [Attack|Attaques] de [Melee|Mêlée], leur permettant de vous octroyer de la [Rage|Rage] au [HitDamage|Toucher].","Unterstützt [Melee|Nahkampf][Attack|angriffe], wodurch sie [Rage|Rausch] bei [HitDamage|Treffer] gewähren.","[Melee|近接][Attack|アタック]スキルをサポートし、[HitDamage|ヒット]時に[Rage|憤怒]を付与するようにする。","[Melee|근접] [Attack|공격]에 적용됩니다. 공격 [HitDamage|명중] 시 [Rage|격노]를 획득합니다.","Reforça [Attack|ataques] [Melee|corpo a corpo], fazendo com que concedam [Rage|fúria] ao [HitDamage|atingir].","Усиливает [Attack|атаки] [Melee|ближнего боя]. Усиленные умения даруют [Rage|свирепость] при [HitDamage|нанесении удара].","Asiste [Attack|ataques] [Melee|cuerpo a cuerpo] para que te otorguen [Rage|furia] al [HitDamage|impactar].","ใช้เสริมการ[Attack|โจมตี][Melee|ประชิด] เพื่อให้สกิลนี้ให้สถานะ [Rage|คลั่ง] เมื่อ[HitDamage|ปะทะ]","輔助[Melee|近戰][Attack|攻擊]，使其在[HitDamage|擊中]時賦予[Rage|盛怒]。","","[16,13,7]","",3,[],[],"","",[],-1,-1
153,"RageSupportTwo","",656,"Supports [Melee|Melee] [Attack|Attacks], causing them to grant [Rage|Rage] on [HitDamage|Hit].","Modifie les [Attack|Attaques] de [Melee|Mêlée], leur permettant de vous octroyer de la [Rage|Rage] au [HitDamage|Toucher].","Unterstützt [Melee|Nahkampf][Attack|angriffe], wodurch sie [Rage|Rausch] bei [HitDamage|Treffer] gewähren.","[Melee|近接][Attack|アタック]スキルをサポートし、[HitDamage|ヒット]時に[Rage|憤怒]を付与するようにする。","[Melee|근접] [Attack|공격]에 적용됩니다. 공격 [HitDamage|명중] 시 [Rage|격노]를 획득합니다.","Reforça [Attack|ataques] [Melee|corpo a corpo], fazendo com que concedam [Rage|fúria] ao [HitDamage|atingir].","Усиливает [Attack|атаки] [Melee|ближнего боя]. Усиленные умения даруют [Rage|свирепость] при [HitDamage|нанесении удара].","Asiste [Attack|ataques] [Melee|cuerpo a cuerpo] para que te otorguen [Rage|furia] al [HitDamage|impactar].","ใช้เสริมการ[Attack|โจมตี][Melee|ประชิด] เพื่อให้สกิลนี้ให้สถานะ [Rage|คลั่ง] เมื่อ[HitDamage|ปะทะ]","輔助[Melee|近戰][Attack|攻擊]，使其在[HitDamage|擊中]時賦予[Rage|盛怒]。","","[16,13,7]","",3,[],[],"","",[],-1,-1
154,"RageSupportThree","",657,"Supports [Melee|Melee] [Attack|Attacks], causing them to grant [Rage|Rage] on [HitDamage|Hit]. Supported Skills have signficantly higher [Attack] speed while you or supported minion are not at maximum [Rage].","Modifie les [Attack|Attaques] de [Melee|Mêlée], leur permettant de vous octroyer de la [Rage|Rage] au [HitDamage|Toucher]. Les Aptitudes modifiées bénéficient d'une augmentation de Vitesse d'[Attack|Attaque] considérable tant que votre [Rage|Rage] ou celle de votre Créature modifiée n'est pas à son maximum.","Unterstützt [Melee|Nahkampf][Attack|angriffe], wodurch sie [Rage|Rausch] bei [HitDamage|Treffer] gewähren. Unterstützte Fertigkeiten haben eine deutlich höhere [Attack|Angriffs]geschwindigkeit, während Ihr oder unterstützte Kreaturen nicht über maximalen [Rage|Rausch] verfügen.","[Melee|近接][Attack|アタック]スキルをサポートし、[HitDamage|ヒット]時に[Rage|憤怒]を付与するようにする。サポートされたスキルはプレイヤーまたはサポートされたミニオンの[Rage|憤怒]が最大値でない時に[Attack|アタック]スピードが大幅に速くなる。","[Melee|근접] [Attack|공격]에 적용됩니다. 공격 [HitDamage|명중] 시 [Rage|격노]를 획득합니다. 플레이어나 보조 대상 소환수의 [Rage|격노]가 최대치가 아닐 때 보조 대상 스킬의 [Attack|공격] 속도가 크게 빨라집니다.","Reforça [Attack|ataques] [Melee|corpo a corpo], fazendo com que concedam [Rage|fúria] ao [HitDamage|atingir]. As habilidades reforçadas têm uma velocidade de [Attack|ataque] significativamente maior enquanto a sua [Rage|fúria] ou a do lacaio reforçado não estiver no máximo.","Усиливает [Attack|атаки] [Melee|ближнего боя]. Усиленные умения даруют [Rage|свирепость] при [HitDamage|нанесении удара]. Усиленные умения имеют существенно более высокую скорость [Attack|атаки], пока у вас или усиленного приспешника не максимум [Rage|свирепости].","Asiste [Attack|ataques] [Melee|cuerpo a cuerpo] para que otorguen [Rage|furia] al [HitDamage|impactar]. Las habilidades asistidas tienen una velocidad de [Attack|ataque] significativamente mayor mientras tú o el esbirro asistido no tengan el máximo de [Rage|furia].","ใช้เสริมการ[Attack|โจมตี][Melee|ประชิด] เพื่อให้สกิลนี้ให้สถานะ [Rage|คลั่ง] เมื่อ[HitDamage|ปะทะ]\r\nสกิลที่เสริมมีความเร็วในการ[Attack|โจมตี]สูงขึ้นเป็นอย่างยิ่ง ขณะที่สถานะ [Rage|คลั่ง] ของคุณหรือมิเนียนที่ถูกเสริมยังไม่เต็ม","輔助[Melee|近戰][Attack|攻擊]，使其在[HitDamage|擊中]時賦予[Rage|盛怒]。當你或被輔助的召喚物未達最大[Rage|盛怒]時，被輔助的技能的[Attack|攻擊]速度大幅提高。","","[16,13,7]","",3,[],[],"","",[],-1,-1
155,"PlagueBearer","",103,"","","","","","","","","","","","[10,24,48,49,14,30,3,33]","",3,[],[338],1,1,[],-1,-1
156,"FeedingFrenzySupport","",658,"Supports skills which create [Minion|Minions], making them deal and take more damage. Cannot support skills which create undamageable [Minion|Minions].","Modifie les aptitudes qui génèrent des [Minion|Créatures]. Les Créatures générées par les aptitudes modifiées infligent et subissent davantage de dégâts. Ne peut pas modifier les aptitudes qui génèrent des [Minion|Créatures] qui ne peuvent pas subir de dégâts.","Unterstützt Fertigkeiten, die [Minion|Kreaturen] erzeugen, und lässt sie mehr Schaden verursachen und erleiden. Kann keine Fertigkeiten unterstützen, die unzerstörbare [Minion|Kreaturen] erzeugen.","[Minion|ミニオン]を生成するスキルをサポートし、与えるダメージおよび受けるダメージを上昇させる。ダメージを受けることがない[Minion|ミニオン]を生成するスキルをサポートできない。","[Minion|소환수]를 생성하는 스킬에 적용됩니다. 소환수가 주는 피해와 받는 피해가 커집니다. 피해를 받지 않는 [Minion|소환수]를 생성하는 스킬에는 적용되지 않습니다.","Reforça habilidades que criam [Minion|lacaios], fazendo com que eles causem e recebam mais dano. Não funciona com habilidades que criam [Minion|lacaios] indestrutíveis.","Усиливает умения, создающие [Minion|приспешников]. Приспешники наносят и получают больше урона. Не может усиливать умения, создающие [Minion|приспешников], которым нельзя нанести урон.","Asiste habilidades que crean [Minion|esbirros] para que inflijan y reciban más daño. No puede asistir habilidades que crean [Minion|esbirros] que no pueden recibir daño.","ใช้เสริมสกิลที่สร้าง[Minion|มิเนียน] เพื่อให้[Minion|มิเนียน]จากสกิลนี้สร้างความเสียหายและได้รับความเสียหายเพิ่มขึ้น อีก\r\nไม่สามารถเสริม สกิลที่สร้าง[Minion|มิเนียน]ที่ไม่ได้รับความเสียหาย ได้","輔助創造[Minion|召喚物]的技能，使其造成和承受更多傷害。無法輔助創造無法被傷害的[Minion|召喚物]的技能。","","[16,8]","",3,[],[],"","",[],-1,-1
157,"FeedingFrenzySupportTwo","",659,"","","","","","","","","","","","[16,8]","",3,[],[],"","",[],-1,-1
158,"MeatShieldSupport","",660,"Supports skills which create [Minion|Minions], granting them less damage taken but making them deal less damage. Cannot support skills which create undamageable [Minion|Minions].","Modifie les aptitudes qui génèrent des [Minion|Créatures]. Les Créatures générées par les aptitudes modifiées ont une perte de dégâts subis mais ont également une perte de dégâts infligés. Ne peut pas modifier les aptitudes qui génèrent des [Minion|Créatures] qui ne peuvent pas subir de dégâts.","Unterstützt Fertigkeiten, die [Minion|Kreaturen] erzeugen, und lässt sie weniger Schaden erleiden, aber auch weniger Schaden verursachen. Kann keine Fertigkeiten unterstützen, die unzerstörbare [Minion|Kreaturen] erzeugen.","[Minion|ミニオン]を生成するスキルをサポートし、そのミニオンが受けるダメージ低下を付与するが、与えるダメージも低下させてしまう。ダメージを受けることがない[Minion|ミニオン]を生成するスキルをサポートできない。","[Minion|소환수]를 생성하는 스킬에 적용됩니다. 소환수가 받는 피해가 줄어들지만 주는 피해도 줄어듭니다. 피해를 받지 않는 [Minion|소환수]를 생성하는 스킬에는 적용되지 않습니다.","Reforça habilidades que criam [Minion|lacaios], fazendo com que eles sofram menos dano, mas também causem menos dano. Não funciona com habilidades que criam [Minion|lacaios] indestrutíveis.","Усиливает умения, создающие [Minion|приспешников]. Приспешники получают меньше урона, но и наносят меньше урона. Не может усиливать умения, создающие [Minion|приспешников], которым нельзя нанести урон.","Asiste habilidades que crean [Minion|esbirros] para otorgarles menos daño recibido, pero hace que inflijan menos daño. No puede asistir habilidades que crean [Minion|esbirros] que no pueden recibir daño.","ใช้เสริมสกิลที่สร้าง[Minion|มิเนียน] เพื่อให้[Minion|มิเนียน]จากสกิลนี้ได้รับความเสียหาย ลดลง อีก แต่สร้างความเสียหาย ลดลง อีก\r\nไม่สามารถเสริม สกิลที่สร้าง[Minion|มิเนียน]ที่ไม่ได้รับความเสียหาย ได้","輔助創造[Minion|召喚物]的技能，使其承受更少傷害，但造成更少傷害。無法輔助創造無法被傷害的[Minion|召喚物]的技能。","","[16,8]","",3,[],[],"","",[],-1,-1
159,"MeatShieldSupportTwo","",661,"Supports skills which create [Minion|Minions], granting them less damage taken but making them deal less damage.","Modifie les aptitudes qui génèrent des [Minion|Créatures]. Les Créatures modifiées subissent moins de dégâts, mais en infligent également moins.","Unterstützt Fertigkeiten, die [Minion|Kreaturen] erzeugen, und lässt sie weniger Schaden erleiden, aber auch weniger Schaden verursachen.","[Minion|ミニオン]を生成するスキルをサポートし、そのミニオンが受けるダメージ低下を付与するが、与えるダメージも低下させてしまう。","[Minion|소환수]를 생성하는 스킬에 적용됩니다. 소환수가 받는 피해가 줄어들지만 주는 피해도 줄어듭니다.","Reforça habilidades que criam [Minion|lacaios], fazendo com que eles sofram menos dano, mas também causem menos dano.","Усиливает умения, создающие [Minion|приспешников]. Приспешники получают меньше урона, но и наносят меньше урона.","Asiste habilidades que crean [Minion|esbirros] para otorgarles menos daño recibido, pero hace que inflijan menos daño. ","ใช้เสริมสกิลที่สร้าง[Minion|มิเนียน] เพื่อให้[Minion|มิเนียน]จากสกิลนี้ได้รับความเสียหาย ลดลง อีก แต่สร้างความเสียหาย ลดลง อีก","輔助創造[Minion|召喚物]的技能，使其承受更少傷害，但造成更少傷害。","","[16,8]","",3,[],[],"","",[],-1,-1
160,"BrutusBrainSupport","",662,"Supports skills which create [Minion|Minions], causing those [Minion|Minions] to be unable to deal or take Damage. Cannot support skills which create undamageable [Minion|Minions].","Modifie les aptitudes qui génèrent des [Minion|Créatures], les rendant incapables d'infliger ou de subir des dégâts. Ne peut pas modifier les aptitudes qui créent des [Minion|Créatures] qui ne peuvent pas être endommagées.","Unterstützt Fertigkeiten, die [Minion|Kreaturen] erzeugen, sodass diese [Minion|Kreaturen] keinen Schaden erleiden, aber auch nicht verursachen können. Kann keine Fertigkeiten unterstützen, die unzerstörbare [Minion|Kreaturen] erzeugen.","[Minion|ミニオン]を生成するスキルをサポートし、そのミニオンがダメージを受けることもダメージを与えることもできなくさせる。ダメージを受けることがない[Minion|ミニオン]を生成するスキルをサポートできない。","[Minion|소환수]를 생성하는 스킬에 적용되어, 해당 [Minion|소환수]가 피해를 주거나 받지 못하게 합니다. 피해를 받지 않는 [Minion|소환수]를 생성하는 스킬에는 적용되지 않습니다.","Reforça habilidades que criam [Minion|lacaios], fazendo com que eles não consigam causar nem sofrer dano. Não funciona com habilidades que criam [Minion|lacaios] indestrutíveis.","Усиливает умения, создающие [Minion|приспешников]. Приспешники не могут получать или наносить урон. Не может усиливать умения, создающие [Minion|приспешников], которым нельзя нанести урон.","Asiste habilidades que crean [Minion|esbirros] para que esos [Minion|esbirros] no puedan infligir ni recibir daño. No puede asistir habilidades que crean [Minion|esbirros] que no pueden recibir daño.","ใช้เสริมสกิลที่สร้าง[Minion|มิเนียน] เพื่อให้[Minion|มิเนียน]จากสกิลนี้ได้รับความเสียหาย ลดลง อีก แต่สร้างความเสียหาย ลดลง อีก\r\nไม่สามารถเสริม สกิลที่สร้าง[Minion|มิเนียน]ที่ไม่ได้รับความเสียหาย ได้","輔助創造[Minion|召喚物]的技能，使那些[Minion|召喚物]無法造成或承受傷害。無法輔助創造無法被傷害的[Minion|召喚物]的技能。","","[16,61,8]","",3,[],[],"","",[],-1,-1
161,"InfernalLegionSupport","",663,"Supports skills which create [Minion|Minions] which can be damaged, causing them and enemies near them to [Ignite]. The damage of the [Ignite] is based on the Life of the supported [Minion].","Modifie les aptitudes qui génèrent des [Minion|Créatures] pouvant être endommagées. Les Créatures générées par les aptitudes modifiées et les ennemis proches d'elles s'[Ignite|Embrasent]. Les dégâts infligés par l'[Ignite|Embrasement] sont basés sur la Vie de la [Minion|Créature] modifiée.","Unterstützt Fertigkeiten, die [Minion|Kreaturen] erzeugen, welche Schaden erleiden können, wodurch sie und Gegner in ihrem Umkreis [Ignite|entzündet] werden. Der verursachte Schaden, der durch das [Ignite|Entzünden] verursacht wird, basiert auf dem Leben der unterstützten [Minion|Kreatur].","ダメージを受けることがある[Minion|ミニオン]を生成するスキルをサポートし、そのミニオンと近くの敵を[Ignite|発火]させる。[Ignite|発火]により与えるダメージはサポートされた[Minion|ミニオン]のライフに基づく。","피해를 받을 수 있는 [Minion|소환수]를 생성하는 스킬에 적용됩니다. 소환수와 소환수 주변의 적들을 [Ignite|점화]합니다. [Ignite|점화]의 피해는 보조 대상 [Minion|소환수]의 생명력에 따라 결정됩니다.","Reforça habilidades que criam [Minion|lacaios] que podem ser feridos, fazendo com que eles e inimigos próximos sejam [Ignite|incendiados]. O dano do [Ignite|incêndio] é baseado na vida do [Minion|lacaio] reforçado.","Усиливает умения, создающие [Minion|приспешников], которым можно нанести урон. Приспешники и враги рядом с ними [Ignite|поджигаются]. Урон, наносимый [Ignite|поджогом], основывается на здоровье усиленного Minion|приспешника].","Asiste habilidades que crean [Minion|esbirros] que pueden recibir daño para [Ignite|quemarlos] a ellos y a los enemigos cercanos a ellos. El daño de la [Ignite|quemadura] se basa en la vida del [Minion|esbirro] asistido.","ใช้เสริมสกิลที่สร้าง[Minion|มิเนียน]ที่ได้รับความเสียหายได้ เพื่อให้[Minion|มิเนียน]จากสกิลนี้และศัตรูที่อยู่ใกล้พวกมันติดสถานะ [Ignite|ลุกไหม้]\r\nโดยความเสียหายของสถานะ [Ignite|ลุกไหม้] ขึ้นอยู่กับพลังชีวิตของ[Minion|มิเนียน]ที่เสริม","輔助創造可被傷害之[Minion|召喚物]的技能，使其和附近敵人[Ignite|點燃]。[Ignite|點燃]的傷害根據被輔助[Minion|召喚物]的生命而定。","","[16,8,14,0]","",3,[],[],"","",[],-1,-1
162,"InfernalLegionSupportTwo","",664,"Supports skills which create [Minion|Minions] which can be damaged, causing them and enemies near them to [Ignite]. The damage of the [Ignite] is based on the Life of the supported [Minion].","Modifie les aptitudes qui génèrent des [Minion|Créatures] pouvant être endommagées. Les Créatures générées par les aptitudes modifiées et les ennemis proches d'elles s'[Ignite|Embrasent]. Les dégâts infligés par l'[Ignite|Embrasement] sont basés sur la Vie de la [Minion|Créature] modifiée.","Unterstützt Fertigkeiten, die [Minion|Kreaturen] erzeugen, welche Schaden erleiden können, wodurch sie und Gegner in ihrem Umkreis [Ignite|entzündet] werden. Der verursachte Schaden, der durch das [Ignite|Entzünden] verursacht wird, basiert auf dem Leben der unterstützten [Minion|Kreatur].","ダメージを受けることがある[Minion|ミニオン]を生成するスキルをサポートし、そのミニオンと近くの敵を[Ignite|発火]させる。[Ignite|発火]により与えるダメージはサポートされた[Minion|ミニオン]のライフに基づく。","피해를 받을 수 있는 [Minion|소환수]를 생성하는 스킬에 적용됩니다. 소환수와 소환수 주변의 적들을 [Ignite|점화]합니다. [Ignite|점화]의 피해는 보조 대상 [Minion|소환수]의 생명력에 따라 결정됩니다.","Reforça habilidades que criam [Minion|lacaios] que podem ser feridos, fazendo com que eles e inimigos próximos sejam [Ignite|incendiados]. O dano do [Ignite|incêndio] é baseado na vida do [Minion|lacaio] reforçado.","Усиливает умения, создающие [Minion|приспешников], которым можно нанести урон. Приспешники и враги рядом с ними [Ignite|поджигаются]. Урон, наносимый [Ignite|поджогом], основывается на здоровье усиленного Minion|приспешника].","Asiste habilidades que crean [Minion|esbirros] que pueden recibir daño para [Ignite|quemarlos] a ellos y a los enemigos cercanos a ellos. El daño de la [Ignite|quemadura] se basa en la vida del [Minion|esbirro] asistido.","ใช้เสริมสกิลที่สร้าง[Minion|มิเนียน]ที่ได้รับความเสียหายได้ เพื่อให้[Minion|มิเนียน]จากสกิลนี้และศัตรูที่อยู่ใกล้พวกมันติดสถานะ [Ignite|ลุกไหม้]\r\nโดยความเสียหายของสถานะ [Ignite|ลุกไหม้] ขึ้นอยู่กับพลังชีวิตของ[Minion|มิเนียน]ที่เสริม","輔助創造可被傷害之[Minion|召喚物]的技能，使其和附近敵人[Ignite|點燃]。[Ignite|點燃]的傷害根據被輔助[Minion|召喚物]的生命而定。","","[16,8,14,0]","",3,[],[],"","",[],-1,-1
163,"InfernalLegionSupportThree","",665,"Supports skills which create [Minion|Minions] which can be damaged, causing them and enemies near them to [Ignite]. The damage of the [Ignite] is based on the Life of the supported [Minion].","Modifie les aptitudes qui génèrent des [Minion|Créatures] pouvant être endommagées. Les Créatures générées par les aptitudes modifiées et les ennemis proches d'elles s'[Ignite|Embrasent]. Les dégâts infligés par l'[Ignite|Embrasement] sont basés sur la Vie de la [Minion|Créature] modifiée.","Unterstützt Fertigkeiten, die [Minion|Kreaturen] erzeugen, welche Schaden erleiden können, wodurch sie und Gegner in ihrem Umkreis [Ignite|entzündet] werden. Der verursachte Schaden, der durch das [Ignite|Entzünden] verursacht wird, basiert auf dem Leben der unterstützten [Minion|Kreatur].","ダメージを受けることがある[Minion|ミニオン]を生成するスキルをサポートし、そのミニオンと近くの敵を[Ignite|発火]させる。[Ignite|発火]により与えるダメージはサポートされた[Minion|ミニオン]のライフに基づく。","피해를 받을 수 있는 [Minion|소환수]를 생성하는 스킬에 적용됩니다. 소환수와 소환수 주변의 적들을 [Ignite|점화]합니다. [Ignite|점화]의 피해는 보조 대상 [Minion|소환수]의 생명력에 따라 결정됩니다.","Reforça habilidades que criam [Minion|lacaios] que podem ser feridos, fazendo com que eles e inimigos próximos sejam [Ignite|incendiados]. O dano do [Ignite|incêndio] é baseado na vida do [Minion|lacaio] reforçado.","Усиливает умения, создающие [Minion|приспешников], которым можно нанести урон. Приспешники и враги рядом с ними [Ignite|поджигаются]. Урон, наносимый [Ignite|поджогом], основывается на здоровье усиленного Minion|приспешника].","Asiste habilidades que crean [Minion|esbirros] que pueden recibir daño para [Ignite|quemarlos] a ellos y a los enemigos cercanos a ellos. El daño de la [Ignite|quemadura] se basa en la vida del [Minion|esbirro] asistido.","ใช้เสริมสกิลที่สร้าง[Minion|มิเนียน]ที่ได้รับความเสียหายได้ เพื่อให้[Minion|มิเนียน]จากสกิลนี้และศัตรูที่อยู่ใกล้พวกมันติดสถานะ [Ignite|ลุกไหม้]\r\nโดยความเสียหายของสถานะ [Ignite|ลุกไหม้] ขึ้นอยู่กับพลังชีวิตของ[Minion|มิเนียน]ที่เสริม","輔助創造可被傷害之[Minion|召喚物]的技能，使其和附近敵人[Ignite|點燃]。[Ignite|點燃]的傷害根據被輔助[Minion|召喚物]的生命而定。","","[16,8,14,0]","",3,[],[],"","",[],-1,-1
164,"SiegeBallista","",104,"","","","","","","","","","","","[9,10,24,13,19,14,5,51,0,15,60]","",3,[],[105],"","",[],-1,-1
165,"SecondWindSupport","",666,"Supports Skills which have a cooldown, giving them extra uses of that cooldown. Cannot support [Meta], instant, or [Trigger|Triggered] Skills, and cannot modify the Skills of [Minion|Minions].","Modifie les aptitudes qui ont un temps de recharge, leur conférant des charges d'utilisation supplémentaires. Ne peut pas modifier les aptitudes [Meta|Méta], instantanées, ou [Trigger|Déclenchées], ni les aptitudes des [Minion|Créatures].","Unterstützt Fertigkeiten mit Abklingzeit, indem sie ihnen zusätzliche Nutzungen dieser Abklingzeit hinzufügt.\nKann keine [Meta|Meta]-, sofort gewirkten oder [Trigger|auslösbaren] Fertigkeiten unterstützen oder die Fertigkeiten von [Minion|Kreaturen] modifizieren.","クールダウンを持つスキルをサポートし、追加のクールダウン使用回数を与える。[Meta|メタ]スキル、即時スキルまたはトリガーされるスキルはサポートできないし、ミニオンのスキルは変更できない。","재사용 대기시간이 있는 스킬에 적용되어, 재사용 횟수를 추가해 줍니다. [Meta|메타] 스킬, 즉시 시전 스킬 또는 [Trigger|발동형] 스킬에는 적용되지 않으며, [Minion|소환수]가 사용하는 스킬에는 적용되지 않습니다.","Reforça habilidades com tempo de recarga, permitindo usos adicionais de recarga. Não funciona com habilidades [Meta|meta], [Trigger|ativadas] ou instantâneas, nem afeta as habilidades de [Minion|lacaio].","Усиливает умения с перезарядкой, добавляя им дополнительные использования.\nНе может усиливать [Meta|мета]-умения, мгновенные и [Trigger|срабатывающие] умения или умения [Minion|приспешников].","Asiste habilidades que tengan enfriamiento para otorgarles usos adicionales de ese enfriamiento. No puede asistir [Meta|metahabilidades], habilidades instantáneas ni de [Trigger|activación], ni modificar las habilidades de los [Minion|esbirros].","ใช้เสริมสกิลที่มีคูลดาวน์ เพื่อให้มีจำนวนการใช้งานเพิ่มขึ้น\r\nไม่สามารถเสริม สกิล[Meta|เมต้า], สกิลที่ส่งผลทันที หรือสกิลที่ถูก[Trigger|ทริกเกอร์] และไม่สามารถเปลี่ยนแปลง สกิลของ[Minion|มิเนียน] ได้","輔助具冷卻時間的技能，使其在冷卻時間內可額外使用。\n無法輔助[Meta|主要]寶石、立即施放或[Trigger|觸發]的技能，或是修改[Minion|召喚物]技能。","",[16],"",3,[],[],"","",[],-1,-1
166,"SecondWindSupportTwo","",667,"Supports Skills which have a cooldown, giving them extra uses of that cooldown. Cannot support [Meta], instant, or [Trigger|Triggered] Skills, and cannot modify the Skills of [Minion|Minions].","Modifie les aptitudes qui ont un temps de recharge, leur conférant des charges d'utilisation supplémentaires. Ne peut pas modifier les aptitudes [Meta|Méta], instantanées, ou [Trigger|Déclenchées], ni les aptitudes des [Minion|Créatures].","Unterstützt Fertigkeiten mit Abklingzeit, indem sie ihnen zusätzliche Nutzungen dieser Abklingzeit hinzufügt.\nKann keine [Meta|Meta]-, sofort gewirkten oder [Trigger|auslösbaren] Fertigkeiten unterstützen oder die Fertigkeiten von [Minion|Kreaturen] modifizieren.","クールダウンを持つスキルをサポートし、追加のクールダウン使用回数を与える。[Meta|メタ]スキル、即時スキルまたはトリガーされるスキルはサポートできないし、ミニオンのスキルは変更できない。","재사용 대기시간이 있는 스킬에 적용되어, 재사용 횟수를 추가해 줍니다. [Meta|메타] 스킬, 즉시 시전 스킬 또는 [Trigger|발동형] 스킬에는 적용되지 않으며, [Minion|소환수]가 사용하는 스킬에는 적용되지 않습니다.","Reforça habilidades com tempo de recarga, permitindo usos adicionais de recarga. Não funciona com habilidades [Meta|meta], [Trigger|ativadas] ou instantâneas, nem afeta as habilidades de [Minion|lacaio].","Усиливает умения с перезарядкой, добавляя им дополнительные использования.\nНе может усиливать [Meta|мета]-умения, мгновенные и [Trigger|срабатывающие] умения или умения [Minion|приспешников].","Asiste habilidades que tengan enfriamiento para otorgarles usos adicionales de ese enfriamiento. No puede asistir [Meta|metahabilidades], habilidades instantáneas ni de [Trigger|activación], ni modificar las habilidades de los [Minion|esbirros].","ใช้เสริมสกิลที่มีคูลดาวน์ เพื่อให้มีจำนวนการใช้งานเพิ่มขึ้น\r\nไม่สามารถเสริม สกิล[Meta|เมต้า], สกิลที่ส่งผลทันที หรือสกิลที่ถูก[Trigger|ทริกเกอร์] และไม่สามารถเปลี่ยนแปลง สกิลของ[Minion|มิเนียน] ได้","輔助具冷卻時間的技能，使其在冷卻時間內可額外使用。\n無法輔助[Meta|主要]寶石、立即施放或[Trigger|觸發]的技能，或是修改[Minion|召喚物]技能。","",[16],"",3,[],[],"","",[],-1,-1
