"rownum","Id","HASH16","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)"
688,"TheTrial",64281,"You cannot journey to new lands until you have the courage to leave the safety of home.","Impossible de voyager vers de nouvelles terres tant qu'on n'a pas le courage de quitter la sécurité d'un foyer.","Ihr könnt nur dann zu neuen Gefilden aufbrechen, wenn Ihr den Mut aufbringt, Euer sicheres Heim zu verlassen.","安全な故郷から出ていく勇気を持つまで新たな地へ旅立つことはできない。","고향의 편안함을 떠날 용기 없이, 새로운 곳으로 여행할 수 없다.","Não é possível viajar para novas terras sem ter a coragem de sair da segurança do próprio lar.","Ты не увидишь новые места, пока не наберёшься храбрости покинуть безопасные стены.","No puedes aventurarte a nuevas tierras hasta que no tengas el valor de abandonar la seguridad del hogar.","<size:30>{ท่าน​ไม่​อาจ​ออก​เดินทาง​ไป​ยัง​ดินแดน​ใหม่​ได้\r\nจนกว่า​จะ​กล้า​ทิ้ง​ความ​ปลอดภัย​จาก​บ้าน​ท่าน​เอง}","直到你提起勇氣遠離家鄉，你才有辦法遠征異土。"
689,"TheGentleman",62224,"\""Axes and mauls are so uncivilised. A good clean cut to the neck with a sharp blade, that's the Sarn way!\""","<size:25>{« Les haches et les massues manquent cruellement de bienséance. Une bonne coupure bien nette au niveau de la nuque à l'aide d'une lame acérée : à Sarn, c'est ainsi que les choses se passent ! »}","\""Äxte und Hämmer sind so barbarisch. Ein sauberer Schnitt am Hals mit einer scharfen Klinge, so wird es in Sarn gemacht!\""","「斧や大鎚は野蛮すぎる。鋭い刃で綺麗に首を一切り、それがサーンの流儀だ！」","\""도끼와 망치는 너무 미개해. 예리한 칼날로 목을 깔끔하게 베어주는 것, 그게 사안의 방식이지!\""","\""Machados e porretes são tão bárbaros. Um belo corte limpo e eficiente no pescoço com uma lâmina afiada, essa é a maneira de Sarn!\""","Оставим топоры и дубины дикарям. В Сарне принято деликатно убивать врага точным ударом острого клинка в шею!","\""Las hachas y mazas son tan incivilizadas. Un buen corte limpio en el cuello con una espada afilada, ¡ésa es la tradición de Sarn!\""","\""ขวาน​และ​ค้อน​มัน​ช่าง​ป่าเถื่อน​นัก การเชือดคอ​ด้วย​คมดาบ​คือ​วิถี​แห่ง​ซาร์น!\""","\""斧頭和錘子？盡是些蠻人的武器… 從脖子乾淨俐落的一刀割下腦袋，這才是薩恩的風格！\"""
690,"HouseOfMirrors",27434,"What do you see in the mirror?","Que vois-tu dans le miroir ?","Spieglein, Spieglein an der Wand ...","鏡の中に何が見える？","거울에 무엇이 비춰 보이는가?","O que você vê no espelho?","Что ты видишь в глубине зеркала?","¿Qué ves en el espejo?","เจ้า​เห็น​อะไร​ใน​กระจก?","你在鏡中看見什麼？"
691,"WealthAndPower",53256,"<size:31>{The greatness of a man is not in how much wealth or power he acquires, but in his integrity and his ability to positively affect those around him.}","<size:27>{La grandeur d'un homme ne réside pas dans les richesses ou le pouvoir qu'il accumule, mais dans son intégrité et sa capacité à affecter les gens autour de lui de manière positive.}","<size:29>{Die Größe eines Mannes wird nicht durch seinen Reichtum oder seine Macht bestimmt, sondern durch seine Integrität und seine Fähigkeit, sein Umfeld positiv zu beeinflussen.}","<size:31>{人の偉大さは彼の得た富や権力にあるのではなく、誠実さと周囲の者に良い影響を与える力にある。}","<size:31>{사람의 위대함은 부나 권력을 얼마나 획득하느냐가 아니라, 그의 도덕성과 주변에 긍정적 영향을 줄 수 있는 능력에 있다.}","<size:31>{A grandeza de um homem não é medida em quanta riqueza ou poder ele obtém, mas na sua integridade e habilidade de afetar positivamente aqueles a sua volta.}","<size:31>{Величие человека не в богатстве и власти как таковых, а в цельности натуры и умении правильно влиять на окружающих.}","<size:31>{La grandeza de un hombre no es su riqueza o el poder que adquiere, sino su integridad y su habilidad de afectar positivamente a aquellos que le rodean.}","<size:31>{คน​คน​หนึ่ง​หา​ได้​ยิ่ง​ใหญ่​จาก​ความ​ร่ำรวย​หรือ​อำนาจ​ที่​มี แต่​เป็น​ความ​ซื่อสัตย์​และ​ความ​สามารถ​ใน​การ​ส่งเสริม​ผู้​อื่น​รอบ​ตัว​ต่าง​หาก}","<size:31>{人的偉大之處不在於他所擁有的財富，而是在於他的品性，以及他影響周遭事物的能力。}"
692,"TheCatalyst",30262,"Simple actions can lead the world to an early grave.","De simples actions peuvent conduire le monde à une mort précipitée. ","Einfache Taten können der Welt frühzeitig ihr Grab schaufeln.","単純な行動が世界を早死にへ導くことがある。","단순한 행동 하나로, 세상이 일찍 끝장날 수도 있는 법이다.","Atos simples podem levar o mundo a uma morte precoce.","Действия обывателей могут до срока спровадить мир на тот свет.","Las acciones simples pueden encaminar al mundo a una tumba prematura.","การ​กระทำ​ง่ายๆ สามารถ​นำ​โลก​ไป​สู่​สุสาน​ได้​ก่อน​กาล​อัน​ควร","一個微小的舉動也有可能帶領世界走向滅亡。"
693,"TheVast",5216,"<size:30>{Can you hear the siren's calls,\r\nJust beyond the sea?\r\nA voice which hearts\r\nof men enthralls,\r\nI too am hooked to thee.}","<size:30>{Entends-tu le chant des sirènes\r\nPar-delà les mers ?\r\nUne voix qui enchante\r\nle cœur des hommes,\r\net dont je suis fou.}","<size:28>{Hört Ihr den Ruf der Sirene so klar,\r\nvon jenseits des Meeres hallen?\r\n Eine anmutige Stimme\r\nfür Männer fürwahr,\r\nauch ich bin ihr verfallen.}","<size:30>{海のすぐ奥の\r\nセイレーンの呼び声が聞こえるか？\r\n人の心を\r\n奪う声\r\n私も其方に病みつきだ}","<size:30>{바다 바로 저편.\r\n사이렌의 부름이 들리나요?\r\n사람들의 심장을\r\n사로잡는 목소리\r\n저도 그대에게 빠진 것 같군요.}","<size:30>{O chamado da sereia podes escutar,\r\n Logo ali no mar?\r\n Uma voz que enfeitiça\r\n o coração do homem que entrar,\r\n E p ara sempre se perderá.}","<size:30>{Знаком тебе ли зов сирен\r\nиз моря глубины?\r\nОн дарит тлен\r\nмужчинам всем,\r\nи дни их сочтены.}","<size:28>{¿Puedes escuchar la llamada de las sirenas,\r\nal otro lado del mar?\r\nUna voz que a los corazones\r\nde los hombres embelesa,\r\na mí también me has conseguido atrapar.}","<size:30>{เจ้า​ได้ยิน​เสียง​ร้อง​ของ​พรายน้ำ\r\nที่​อยู่​ตาม​โพ้น​ทะเล​บ้าง​ไหม?\r\nเสียง​ร้อง​ที่​ผู้ชาย​ต่าง​จับใจ\r\nข้า​เอง​ไซร้​ก็​ต้อง​มนต์​เจ้า​เช่น​กัน}","<size:31>{你是否聽見了那迷人的呼喚\r\n就在那大海的彼端\r\n一個深入人心\r\n擄獲所有男人的魅曲\r\n而我，也已經深深陷入。}"
694,"GiftOfTheGemlingQueen",10986,"Our Lady Dialla,\r\nas a symbol of our progress,\r\nshines greater than all the gems.","Notre Dame Dialla,\r\nEmblème de nos progrès,\r\nBrille plus que toutes les gemmes.","Unsere Lady Dialla,\r\nein Symbol unseres Fortschritts,\r\nleuchtet stärker als alle Gemmen.","我らがディアーラ卿は\r\n我らの進歩を象徴し\r\nどんな宝石よりも輝いている。","디알라 부인\r\n우리의 나아갈 길이자 상징이여.\r\n다른 어떤 마석보다도 밝게 빛나는구나.","Nossa Senhora Dialla,\r\ncomo um símbolo de nosso progresso,\r\nbrilha mais do que todas as outras gemas.","Госпожа Диалла - \r\nсимвол нашего величия.\r\nОна сияет ярче всех камней.","Nuestra Lady Dialla,\r\ncomo un símbolo de nuestro progreso,\r\nbrilla más fuerte que cualquier gema.","ท่านหญิง​ดิอัลล่า\r\nดัง​เช่น​สัญลักษณ์ของ​ความ​ก้าวหน้า​ของเรา\r\nส่อ​งสว่าง​กว่า​มณีใด","我們的達拉夫人\r\n是顯示我們進步的標誌\r\n即使是寶石，也不比她的光芒來得耀眼"
695,"TheDragonsHeart",6232,"They say when a dragon dies, the flesh smoulders and burns until all that remains is the still, white-hot, heart.","On dit que lorsqu'un dragon meurt, sa chair se consume jusqu'à ce qu'il ne reste que son cœur inerte chauffé à blanc.","Es heißt, wenn ein Drache stirbt, wird sein Fleisch schwelen und brennen, bis nur noch das leblose, weißglühende Herz übrig ist.","竜が死んだ時、肉体は燻り燃え、後には止まった白熱の心臓だけが残されると言われている。","일설에 따르면, 용이 죽으면 육체가 타고 마지막에는 몹시 뜨거운 심장만 남는다고 한다.","Dizem que quando um dragão morre, a carne ferve e queima, até que sobra apenas o coração ainda ardente.","Говорят, что плоть умершего дракона чадит и сгорает. От него остаётся лишь неподвижное, добела раскалённое сердце.","Dicen que cuando muere un dragón, la carne arde y se quema hasta que lo único que permanece es el inmóvil, caliente y blanco corazón.","ว่า​กัน​ว่า​เมื่อ​มังกร​ตาย เนื้อ​ระอุ​และ​ไหม้​จนกว่า​จะ​เหลือ​เพียง​หัวใจ​ที่​ร้อน​ระอุ​เป็น​สีขาว","傳說當龍殞命之時，牠的血肉將會溶解，只剩下一顆熾熱的心臟。"
696,"TheFox",55576,"\""Masters of wit, strength and cunning. To survive the harsh winters, you must be like the fox.\""\r\n- Ezomyte Proverb","« Maîtres de l'intelligence, de la force et de l'esprit. Pour survivre aux durs hivers, il faut se mettre dans la peau d'un renard. »\r\n– Proverbe ézomyte","\""Meister des Scharfsinns, der Stärke und List. Um den rauen Winter zu überleben, müsst Ihr gleich einem Fuchs sein.\""\r\n– Sprichwort der Ezomyten","「知恵、力、そして狡猾さの達人。厳しい冬を生き残るには、狐のようにならねばならない」\r\n―エゾマイトの諺","\""재치와 힘을 기르고 영악해져라. 혹독한 겨울을 견디려면 여우처럼 행동해야 하는 것이니.\""\r\n- 에조미어 속담","\""Mestres da astúcia, força e perspicácia. Para sobreviver aos invernos cruéis, você precisa ser como a raposa.\""\r\n- Provérbio Ezomita","«Ум, сила и хитрость - без этих лисьих качеств суровую зиму не пережить».\r\n- Пословица эзомитов","\""Maestros del ingenio, fuerza y astucia. Para sobrevivir a los duros inviernos, debes ser como el zorro.\""\r\n- Proverbio Ezomita","<size:34>{\""ผู้เชี่ยวชาญ​แห่ง​ความรู้ ความ​แข็งแกร่ง และ​ความ​ว่องไว จะ​เอาตัวรอด​ใน​ฤดูหนาว​ที่​โหดร้าย​ได้ เจ้า​ต้อง​เป็น​เช่น​หมาป่า\""\r\n- สุภาษิต​เอโซไมต์}","\""要在寒冷的冬天求生，你必須有像狐狸般的智慧、狡猾以及力量。\""\r\n- 艾茲麥族方言"
697,"TheDoppelganger",11827,"Upon seeing her face, I am terrified—the moon shows me my own form!","En voyant son visage, je suis terrifié : la lune me renvoie ma propre image !","Als ich ihr Antlitz erblickte, war ich entsetzt – im Spiegelbild des Mondes ward meine eigene Gestalt!","彼女の顔を見て、私は恐れる―月には私自身の姿が映っている！","그 얼굴을 보고 나는 겁에 질려 혼비백산할 수밖에 없었다. 달이 비춘 모습은 내 모습이었다!","Ao ver sua face, eu fico apavorado—a lua me revela minha própria forma!","Взглянув на неё при свете луны, я замер в ужасе, ибо увидел собственное лицо!","Al ver su rostro, estoy aterrorizada... ¡la luna me muestra mi propia forma!","เมื่อ​เห็น​หน้า​ของ​เธอ ข้า​หวาด​กลัว​นัก แสงจันทร์​เผย​ให้​เห็น​รูป​โฉม​ของ​ข้า หา​ใช่​ใคร​อื่น!","看見他的臉我真的嚇壞了－月光反射出了我真實的面貌。"
698,"TheSurvivalist",11157,"A lucky number \r\nFor us all \r\nTo help us through \r\nThe perils told.","Un numéro porte-bonheur \r\nPour nous tous \r\nAfin de nous aider \r\nÀ traverser les dangers.","Eine Glückszahl \r\nfür uns alle,\r\num die Gefahren\r\nzu überstehen.","皆のための\r\n幸運の数\r\n予言の危機を\r\n切り抜けるはず。","우리 모두를 위한\r\n행운의 숫자\r\n익숙한 위험을\r\n극복하도록 도와줄지어다.","Um número da sorte\r\nPara todos nós\r\nQue nos ajudará\r\nOs perigos enfrentar.","Слепая удача \r\nнам жить позволяет,\r\nбеды и забот \r\nизбегать помогает.","Un número con suerte\r\nPara todos nosotros\r\nPara ayudarnos a atravesar\r\nLos peligros descritos.","เลข​นำ​โชค\r\nสำหรับ​เรา​ทุกคน\r\nช่วย​นำพา​เรา​ผ่าน\r\nภยันตราย","一個幸運數字\r\n從天而降\r\n帶領我們 \r\n突破險境"
699,"Death",26309,"<size:31>{The end of the old,\r\nthe beginning of the new.\r\nA unique opportunity for transformation,\r\nfor those with the power\r\nto grasp it.}","<size:31>{La fin d'une ère,\r\nLe début d'une nouvelle.\r\nUne opportunité unique de changement,\r\nPour qui a la force\r\nDe la saisir.}","<size:29>{Das Ende von etwas Altem,\r\nder Anfang von etwas Neuem.\r\nEine einzigartige Gelegenheit zur Transformation,\r\nzumindest für jene, die die Macht haben,\r\nsie zu ergreifen.}","<size:31>{古きの終わり\r\n新しきの始まり。\r\nまたとない変化の機会、\r\nそれを掴むだけの\r\n力ある者には。}","<size:31>{옛것의 끝\r\n새것의 시작\r\n잡을 힘이\r\n있는 자들에게는\r\n유일한 변혁의 기회.}","<size:31>{O fim do que é velho,\r\no início do que é novo.\r\nUma oportunidade única para a transformação,\r\npara que o poder seja agarrado\r\npor aqueles que o possuem.}","<size:31>{Конец одного и начало другого.\r\nНебывалое таинство превращения тех,\r\nкто в силах с ней совладать.}","<size:28>{El fin de lo viejo,\r\nel comienzo de lo nuevo.\r\nUna oportunidad única para la transformación,\r\npara aquellos con el poder suficiente\r\npara agarrarlo.}","<size:31>{จุดจบ​สิ่ง​เก่า\r\nจุด​เริ่มต้น​สิ่ง​ใหม่\r\nโอกาส​พิเศษ​ใน​การ​แปร​สภาพ\r\nสำหรับ​ผู้​มี​พลัง\r\nพร้อม​จะ​ไขว่​คว้า​มัน}","<size:31>{歷史的終結\r\n未來的開端\r\n一個轉變的絕佳機會\r\n只給那些有能力的人\r\n掌握在手}"
700,"GraveKnowledge",14463,"The dead tell me great insights. They've had nothing but time to sit and think.","Les morts sont très clairvoyants. Ils n'ont rien d'autre à faire que penser.","Die Toten gewähren mir großartige Einblicke. Sie hatten jede Menge Zeit, um dazusitzen und nachzudenken.","死者は素晴らしい見識を与えてくれる。彼らにはじっと考える時間ばかりがあった。","죽은 자들은 매우 고상한 통찰을 내게 전해준다. 그들에겐 오로지 안치되어 생각할 시간밖에 없기 때문이다.","Os mortos me contam muitas verdades. Afinal, eles não fazem nada além de sentar e pensar.","Покойники горазды на великие озарения, ведь кроме времени на размышления у них ничего нет.","Los muertos me cuentan grandes ideas. Lo único que han tenido es tiempo para sentarse y pensar.","คนตาย​ให้​ความ​รู้​อัน​ลึก​ซึ้ง พวก​เขา​มี​เวลา​มากมาย​ให้​นั่ง​คิด","那些已故的人教會了我許多事。他們除了一堆坐下思考的時間外，什麼都沒有。"
701,"TheJester",53978,"<size:25>{Summoned for the King's desire,\r\nsoon applause came from the court.\r\nHowever insanity was his only sire,\r\nso the King's reign was cut short.}","<size:25>{Invoqué pour le plaisir du roi,\r\nBientôt, il est applaudi par la cour.\r\nImbéciles, la folie était son seul seigneur,\r\nEt leurs voix se sont tues.\r\nRapide était la dague de l'amuseur,\r\nQui désormais porte la couronne du roi.}","<size:22>{Beschworen auf des Königs Begehr,\r\napplaudiert der Hofstaat so geflissen.\r\nIhr Narren, Wahnsinn war sein einziger Herr,\r\nso ward ihnen das Wort entrissen.\r\nFlink war der Hofnarr mit seiner Klinge,\r\nträgt jetzt die Krone, ist guter Dinge.}","<size:25>{王の望みで召喚されて\r\n王宮はすぐに拍手喝采。\r\nされど彼の主は狂気だけで\r\n王の治世は早々に仕舞い。}","<size:25>{왕의 요청에 따라 불려 나와,\r\n곧 이어진 궁정에서의 찬사.\r\n그러나 왕은 오직 광기만을 따랐으니\r\n치세는 오래가지 못했구나.}","<size:25>{Convocado pela vontade do Rei,\r\n Aplausos, a corte toda concedeu\r\n Entretanto, insanidade era quem lhe comandava,\r\n e o reino todo, então, desapareceu.}","<size:25>{Он корчил рожи для царя\r\nи слышал смех вельмож.\r\nГлупцы не ведали, что зря\r\nбезумец в залы вхож.\r\nКинжал остёр у дурака,\r\nи помыслы нечисты.\r\nКорона вместо колпака\r\nна голове убийцы.}","<size:25>{Convocado por deseo del Rey,\r\npronto se alzaron aplausos desde la Corte.\r\nSin embargo la locura era su único padre,\r\nasí que el reinado del Rey se hizo breve.}","<size:25>{พระราชา​ทรง​เรียก​มา​ตามใจ​สั่ง\r\nคนใน​วัง​ต่าง​ปรบ​มือ​กระวีกระวาด\r\nทรง​มี​เพียง​ความ​บ้า​เป็น​ทายาท\r\nพระองค์​จึง​ครองราชย์​ได้​ไม่​นาน}","<size:25>{因王的旨意而被召喚\r\n宮殿中掌聲響起；\r\n然而，瘋狂才是他們真正的王，\r\n王的皇冠已易主。}"
702,"TheMercenary",37053,"Loyalty can be bought. Just make sure you know who the buyer is.","Même la loyauté est à vendre. Sachez toutefois qui en est l'acquéreur.","Loyalität kann man kaufen. Man sollte nur wissen, wer der Käufer ist.","忠誠心は買うことができる。誰が買ったかは把握しておけ。","충성심은 돈으로 살 수 있다. 다만 누가 사는지는 확실히 알아야 한다.","A lealdade pode ser comprada. Só tenha certeza de que você sabe quem é o comprador.","Верность можно купить... но покупателя лучше заранее проверить.","La lealtad puede ser comprada. Solo asegúrate de que sabes quién es el comprador.","ความซื่อสัตย์​ซื้อ​ได้​ด้วย​เงิน\r\nแค่​ต้อง​รู้​ว่า​ใคร​คือ​ผู้ซื้อ","忠誠是可以被收買的。唯一需要注意的是，你必須了解買家的背景。"
703,"TheInoculated",42531,"Chaos spread, wreaking havoc and death. They said none would be spared, and yet here I stand.","Le chaos s'étend, causant des ravages et la mort. Ils ont dit que personne ne serait épargné et pourtant me voilà.","Chaos bricht über uns herein, richtet verheerenden Schaden an, bringt den Tod. Es hieß, niemand würde verschont, und doch stehe ich hier.","混沌が広まり、大混乱と死を引き起こした。誰も助からぬと言われたが、私はここに立っている。","혼돈이 퍼져 세상은 아수라장이 되고 죽음으로 가득 찼다. 아무도 살아남지 못할 거라고들 했지. 그러나 난 여전히 여기에 서 있다.","O Caos se espalhou, causando tumultos e mortes. Disseram que ninguém seria poupado, mas aqui estou eu.","Воцарившийся хаос принёс разрушения и смерть.\r\nНикто не должен был уцелеть, но я остался жив.\r\n","El caos se extendió, causando estragos y muerte. Dijeron que ninguno se salvaría, sin embargo aquí estoy.","ความ​สับสน​แพร่​กระจาย สร้าง​ความ​เสียหาย​และ​ความ​ตาย เขา​บอก​ว่า​ไม่มี​ใคร​เหลือ​รอด แต่​ข้า​ยัง​ยืน​อยู่​ที่​นี่","混亂散佈，災難降臨。他們說沒有人能得到倖免，然而我卻還站在此處。"
704,"Loyalty",37046,"Bound by fate,\r\ninseparable by choice.","Liés par le destin,\r\ninséparables par choix.","Gebunden durch Schicksal,\r\naus freien Stücken unzertrennlich.","運命により縛られ、\r\n選択により別れ難く。","운명으로 묶였기에\r\n선택 따위로 떨어질 수는 없다.","Unidos pelo destino,\r\ninseparáveis pela escolha.","Связаны судьбой,\r\nнеразлучны по своей воле.","Ligado por el destino,\r\ninseparable por elección.","พรหม​ลิขิต​บันดาล​ให้​พบ\r\nเจตจำนง​บันดาล​ให้​ไร้​วัน​แยก​จาก","因命運相繫\r\n因選擇相依"
705,"PrideBeforeTheFall",18997,"<size:27>{As Kaom slew the last of his kin,\r\nsomething deep inside him broke.\r\nAnd through the cracks, corruption,\r\npure and black, spread forth.}","<size:27>{Quand Kaom tua le dernier des siens,\r\nQuelque chose de profond en lui se brisa.\r\nEt par les fêlures, la corruption,\r\npure et noire, gagna du terrain.}","<size:25>{Als Kaom den letzten seiner Art getötet hatte,\r\nzerbrach etwas tief in seinem Innersten.\r\nUnd aus diesen Rissen breitete sich Verderbtheit,\r\nrein und schwarz, aus.}","<size:27>{カオムが最後の親族を殺すとともに、\r\n彼の中深くで何かが壊れた。\r\nそしてその割れ目から腐敗が、\r\n純粋に、真っ黒に、広がり始めた。}","<size:27>{카옴이 마지막 동족을 죽였을 때,\r\n그의 내면에서 무언가 부러졌다.\r\n그리고 그 틈새로 순수하고 검은\r\n타락이 퍼져나오기 시작했다.}","<size:27>{Enquanto Kaom matava o último dos seus,\r\nalgo dentro de si se partiu.\r\nE pelas rachaduras, a corrupção,\r\npura e sombria, se espalhou.}","<size:27>{Убив последнего сородича,\r\nКаом ощутил гнетущую пустоту.\r\nЧерез трещины души её заполняла\r\nчёрная, беспросветная порча.}","<size:27>{A medida que Kaom mataba al último de su sangre,\r\nalgo en su interior se rompió.\r\nY a través de las grietas, la corrupción, \r\npura y negra, se expandió.}","<size:27>{เมื่อ​คอมม์​สังหาร​คน​สุดท้าย​ใน​เผ่าพันธุ์​ของ​เขา\r\nอะไร​บางอย่าง​ใน​ตัว​เขา​แตก​สลาย\r\nมลทิน​ไหล​ผ่าน​รอยแยก\r\nบริสุทธิ์ ดำมืด แพร่​กระจาย​ต่อ​ไป}","<size:27>{當岡姆手刃了他僅存的族人\r\n他內心最深處的某些東西也跟著破碎\r\n從這破碎的裂痕中，開始腐敗\r\n純粹的黑暗，開始蔓延}"
706,"Audacity",14610,"<size:27>{A jolt, and it moves. Or smolders.\r\nA current, and it lives. Or dies.\r\nA surge, and it transcends.\r\nOr... not.\r\nOnly one way to find out.}","<size:27>{Un choc, et il avance. Ou se consume.\r\nUn courant, et il vit. Ou meurt.\r\nUne vague, et il se transcende.\r\nOu... pas.\r\nIl n'y a qu'un seul moyen de le savoir.}","<size:23>{Ein Ruck und es bewegt sich. Oder glimmt.\r\nEin wenig Strom ... und es lebt. Oder stirbt.\r\nEin Stromstoß und es verwandelt sich.\r\nOder ... auch nicht.\r\nEs gibt nur einen Weg, das herauszufinden.}","<size:27>{少しの電気を流すと、それは動く。もしくは焦げる。\r\n電流を流すと、それは生きる。もしくは死ぬ。\r\n高電圧なら、それは超越する。もしくは…しない。\r\nやってみなければわからないさ}","<size:27>{충격 한 번에 움직인다. 아니면 연기만 내거나.\r\n조류 한 번에 살아난다. 아니면 죽거나.\r\n전류 한 번에 초월한다.\r\n아니면...실패겠지.\r\n기회는 한 번 뿐이다.}","<size:27>{Um abalo, e se movimenta. Ou arde.\r\nUma corrente, e vive. Ou morre.\r\nUm surto, e transcende.\r\nOu... não.\r\nSó há uma forma de descobrir.}","<size:27>{Разряд его расшевелит. Или поджарит.\r\nТок даст ему жизнь. Или прикончит.\r\nЭнергия сделает его лучше.\r\nИли... нет.\r\nЕсть лишь один способ узнать.}","<size:27>{Una sacudida, y se mueve. O arde.\r\nUna corriente, y vive. O muere.\r\nUna oleada, y trasciende.\r\nO... no.\r\nSólo hay una forma de averiguarlo.}","<size:27>{ช็อต​นิด​เดียว มัน​จะ​ขยับ หรือ​คุกรุ่น\r\nใช้​กระแสไฟ แล้ว​มัน​อยู่ หรือ​ตาย\r\nใช้​กระแส​​ไฟ​รุนแรง แล้ว​มัน​จะ​อยู่​เหนือ​ธรรมชาติ\r\nหรือ... ไม่\r\nจะ​รู้​ได้​ก็​มี​แค่​ทาง​เดียว}","<size:27>{一瞬跳電，使其亦然震動，或是短路起煙\r\n一道電流，使其重獲生命，或是永遠沉眠\r\n一股湧電，使其向上超越...或者悄然無息\r\n唯有一種方式才能得到解答}"
707,"AssassinsFavor",27808,"By the time their eyes meet, \r\nthe dark deal has long since been made, \r\nand his fate long since sealed.","Quand leurs regards se sont croisés, \r\nLe pacte noir depuis longtemps était signé, \r\nEt avec lui, son sort déjà scellé.","Als sich ihr Blick kreuzte,\r\nwar die düstere Abmachung\r\nlängst beschlossene Sache,\r\nund sein Schicksal bereits besiegelt.","目が合う頃には\r\n闇の契約は結ばれて久しく、\r\n彼の運命は決まって久しい。","눈이 마주쳤을 때,\r\n검은 거래는 이미 체결되었다\r\n그의 운명도 오래 전에 정해져 있었다.","Quando seus olhos se encontratam,\r\no acordo sombrio já tinha sido feito há muito,\r\ne seu destino, já determinado.","Когда их глаза встретились, \r\nгрех уже был взят на душу,\r\nи судьба его была предрешена.","<size:28>{Para cuando sus ojos se encuentren,\r\nel oscuro pacto hace tiempo que se habrá realizado,\r\ny su destino hace tiempo se habrá sellado.}","เมื่อ​สายตา​ประสาน​กัน\r\nข้อ​ตกลง​อัน​มืดมน​ได้​สำเร็จ​ไป​นาน​แล้ว\r\nชะตากรรม​ของ​เขา​ถูก​กำหนด​ไป​นาน​แล้ว","當他們的雙眼交會時\r\n黑暗的交易將同時簽下\r\n他的命運也將同時終結"
708,"HuntersResolve",778,"Primed, curved and sleek.\r\nDecisive and final.\r\nFor malice and righteousness.\r\nThere's but one solution.","Parfait, arrondi et lisse.\r\nDécisif et définitif.\r\nPour la malveillance et la vertu\r\nIl n'y a pas d'autre solution.","Präpariert, gewunden und geschmeidig.\r\nEindeutig und endgültig.\r\nFür Bosheit und Rechtschaffenheit.\r\nEs gibt nur eine Lösung.","準備万端で、滑らかに曲線を描き。\r\n決定的で最終的。\r\n悪意にも正義にも。\r\n解決法は一つしかない。","준비되고, 휘어지고, 매끈하다.\r\n결정적이고 뒤는 필요 없다.\r\n악의와 정의를 위하여.\r\n해결책은 이것 하나 뿐이다.","Preparado, curvado e esguio.\r\nDecisivo e final.\r\nPara a malícia e a justiça.\r\nSó há uma solução.","Изогнут, высушен и натянут,\r\nон вынут из налуча и готов\r\nдля кары и праведных дел.\r\nНа всё есть один ответ.","Primado, curvado y elegante.\r\nDecisivo y final.\r\nPor malicia y rectitud.\r\nSolo hay una solución.","เตรียม​พร้อม โค้ง และ​หรูหรา\r\nเด็ดเดี่ยว​และ​เด็ดขาด\r\nสำหรับ​ความมุ่งร้าย​และ​ความ​ชอบธรรม\r\nมี​ทางออก​เพียง​ทาง​เดียว","蓄勢待發的，極致的圓滑\r\n毅然決然的，篤定的瞬間\r\n既是惡意，既是正義\r\n唯有一條，解決之道"
709,"ScholarOfTheSeas",30924,"I've never come upon a ship I could not command. I have however met sailors that were not willing to be led.","Je n'ai jamais embarqué sur un bateau que je ne pouvais pas commander. Mais j'ai déjà rencontré des marins qui ne souhaitaient pas être dirigés.","Es gab kein Schiff, das ich nicht hätte steuern können. Allerdings habe ich Matrosen getroffen, die etwas gegen einen Anführer hatten.","私が指揮できない船には出会ったことがない。だが、導きを拒む船乗りには出会ったことが在る。","지금까지 수많은 배를 통솔해왔다. 물론 통솔 자체를 달가워하지 않는 선원들은 만난 적이 있다.","Eu nunca pisei num navio que não pudesse comandar. Mas eu já conheci marinheiros que não se permitiam liderar.","Мне не попадался корабль, с которым нельзя было совладать. Но мне встречались моряки, предпочитающие жить без капитана в голове.","Nunca me he encontrado frente a un barco que no pudiese comandar. Sin embargo he conocido marineros que no querían ser liderados.","<size:34>{ข้า​ไม่​เคย​เจอ​เรือ​ที่​ข้า​ควบคุม​ไม่​ได้ อย่างไร​ก็ตาม​ข้า​เคย​เจอ​ลูกเรือ​ที่​ไม่​เต็มใจ​จะ​ถูก​นำทาง}","我從未上過一艘我無法指揮的船艦。然而，我卻遇過不願被帶領的水手。"
710,"TheConduit",37833,"The path to godhood is guided by the hand of sacrifice.","La voie de la bonté est guidée par la main du sacrifice.","Der Weg zur Göttlichkeit wird von der opfernden Hand begleitet.","神性への道は犠牲の手に導かれる。","신성으로 가는 길은 희생의 손이 이끈다.","O caminho para divindade é guiado pela mão do sacrifício.","По дороге на небеса необходимо приносить жертвы.","El camino a la divinidad es guiado por la mano de sacrificios.","เส้นทาง​การ​เป็น​พระเจ้า​ถูก​นำ​ด้วย​การ​เสียสละ","通往神的境界的路途，是由犧牲所引領的。"
