"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","bool_16","bool_17","bool_18"
157,"VsMarked","Vs Marked","Contre Marqués","Vs Malträger","対呪印状態の敵","징표 찍힌 상대","Contra Marcado","Против отмеченных","vs. señalados","ต่อศัตรูที่ถูกแช่ง","對有印記者",1,1,1
158,"Blast","Blast","Explosion","Stoß","ブラスト","돌풍","Rajada","Взрыв","Explosión","ระเบิด","爆破",1,1,1
159,"AtzirisCall","Atziri's Call","Appel d'Atziri","Atziris Ruf","アッツィリの呼び声","앗지리의 부름","Chamado de Atziri","Призыв Атзири","Llamada de Atziri","การเรียกหาของอัถสิริ","阿茲里的呼喚",1,1,1
160,"LightningCharged","Lightning-Charged","Imprégné de foudre","Blitzgeladen","ライトニングチャージ","번개 충전","Carregado de Eletricidade","Зарядка молнией","Cargado con rayo","ชาร์จสายฟ้า","電流充能",1,1,1
161,"LeapSlam","Leap Slam","Bond percutant","Sprunghieb","リープスラム","도약 강타","Salto Impactante","Наскок","Salto con impacto","กระโจนทุบ","躍擊",1,1,1
162,"ApocalypseFire","Meteor","Météore","Meteor","メテオ","유성","Meteoro","Метеор","Meteorito","อุกกาบาต","隕石",1,1,1
163,"ApocalypseCold","Hailstorm","Averse de grêle","Hagelsturm","ヘイルストーム","우박폭풍","Saraivada de Granizo","Град","Tormenta de granizo","พายุลูกเห็บ","冰雹",1,1,1
164,"ApocalypseLightningPulse","Crash Lightning","Foudre écrasante","Blitzeinschlag","クラッシュライトニング","충격 번개","Raio Retumbante","Сокрушающая молния","Rayo de choque","ฟ้าคะนอง","雷殞",1,1,1
165,"ApocalypseLightningFinalStrike","Final Strike","Frappe finale","Letzter Schlag","最終ストライク","최후 타격","Golpe Final","Финальный удар","Golpe final","ผ่าสุดท้าย","最終轟擊",1,1,1
166,"Charge","Charge","Charge","Ansturm","チャージ","돌진","Carga","Заряд","Carga","ชาร์จ","衝鋒",1,1,1
167,"SocketedWarcry","Socketed Warcry","Cri de guerre enchâssé","Eingefasster Kriegsschrei","ソケットされたウォークライ","장착된 함성","Clamor Encaixado","Размещённый боевой клич","Grito de guerra engarzado","การคำรามที่ใส่","插槽中的戰吼",1,1,1
168,"SmallMeteor","Small Meteor","Petit météore","Kleiner Meteor","スモールメテオ","소형 유성","Meteoro Pequeno","Малый метеор","Meteorito pequeño","อุกกาบาตเล็ก","小型隕石",1,1,1
169,"LargeMeteor","Large Meteor","Grand météore","Großer Meteor","ラージメテオ","대형 유성","Meteoro Grande","Большой метеор","Meteorito grande","อุกกาบาตใหญ่","大型隕石",1,1,1
170,"FastStrikes","Fast Strikes","Frappes rapides","Schnelle Schläge","素早いストライク","빠른 타격","Golpes Rápidos","Быстрые удары","Golpes rápidos","ฟาดรวดเร็ว","快速打擊",1,1,1
171,"FinalPulse","Final Pulse","Pulsation finale","Letzter Impuls","最終パルス","마지막 파동","Pulso Final","Последний импульс","Pulso final","คลื่นพลังสุดท้าย","最終脈衝",1,1,1
172,"PoisonSporesToxicPustules","Toxic Pustule","Pustule toxique","Giftige Pustel","毒の膿疱","맹독성 농포","Pústula Tóxica","Токсичная пустула","Pústula tóxica","ตุ่มพิษ","劇毒膿包",1,1,1
173,"Cackle","Cackle","Gloussement","Geschnatter","嘲笑","큭큭","Gargalhada","Стая","Clan","ฝูง","竊笑",1,1,1
174,"Rune","Rune","Rune","Rune","ルーン","룬","Runa","Руна","Runa","อักขระ","符文",1,1,1
175,"Emergence","Emergence","Émergence","Aufkommen","出現","등장","Surgimento","Появление","Surgimiento","ปรากฏการณ์","降臨",1,1,1
176,"OilGround","Oil Ground","Sol huileux","Öliger Boden","オイル領域","기름 지대","Chão Oleado","Промасленная земля","Suelo aceitoso","พื้นน้ำมัน","油滑地面",1,1,1
177,"ChargedMark","Charged Mark","Marque chargée","Geladenes Mal","電荷の呪印","충전된 징표","Marca Carregada","Заряженная метка","Señal cargada","คำแช่งปล่อยประจุ","蓄電印記",1,1,1
