"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","XBoxText","XBoxText (French)","XBoxText (German)","XBoxText (Japanese)","XBoxText (Korean)","XBoxText (Portuguese)","XBoxText (Russian)","XBoxText (Spanish)","XBoxText (Thai)","XBoxText (Traditional Chinese)","XBoxText2","XBoxText2 (French)","XBoxText2 (German)","XBoxText2 (Japanese)","XBoxText2 (Korean)","XBoxText2 (Portuguese)","XBoxText2 (Russian)","XBoxText2 (Spanish)","XBoxText2 (Thai)","XBoxText2 (Traditional Chinese)","HASH32","PlaystationText","PlaystationText (French)","PlaystationText (German)","PlaystationText (Japanese)","PlaystationText (Korean)","PlaystationText (Portuguese)","PlaystationText (Russian)","PlaystationText (Spanish)","PlaystationText (Thai)","PlaystationText (Traditional Chinese)","string_44","string_44 (French)","string_44 (German)","string_44 (Japanese)","string_44 (Korean)","string_44 (Portuguese)","string_44 (Russian)","string_44 (Spanish)","string_44 (Thai)","string_44 (Traditional Chinese)"
2434,"MapRhoaNestNameString","Rhoa Nest","Nid de rhoa","Rhoa-Nest","ロアの巣","로아 둥지","Ninho de Rhoas","Гнездо роа","Nido Rhoa","รังโรอ์","恐喙鳥巢","","","","","","","","","","","","","","","","","","","","",4281200982,"","","","","","","","","","","","","","","","","","","",""
2435,"MapRhoaNestInfoString","Drought-Maddened Rhoa enrages when disturbed\nClick to disturb","Le Rhoa dément par la soif s'enrage si le nid est dérangé\nCliquez pour déranger le nid","Dürregeplagter Rhoa wird wütend, wenn gestört\nKlicken zum Stören","渇きで狂ったロアは邪魔されると凶暴化する\nクリックして邪魔をする","가뭄에 미친 로아는 방해를 받으면 격앙 상태가 됩니다.\n클릭하여 방해하십시오","Rhoa Enlouquecido pela Seca se enfurece quando perturbado\nClique para perturbar","Жаждущий роа впадает в ярость, если его побеспокоить.\nНажмите, чтобы побеспокоить.","El rhoa furioso de la sequía se enfurece cuando lo molestas\nHaz clic para molestarlo","โรอ์คลั่งภัยแล้ง จะเดือดดาลเมื่อถูกรบกวน\nคลิกเพื่อรบกวน","受乾旱肆虐的喙鳥若受到打擾將會被激怒\n點擊打擾牠","Drought-Maddened Rhoa enrages when disturbed\n<<xbox_button_a>> to disturb","Le Rhoa dément par la soif s'enrage si le nid est dérangé\nAppuyez sur <<xbox_button_a>> pour déranger le nid","Dürregeplagter Rhoa wird wütend, wenn gestört\nDrücke <<xbox_button_a>> zum Stören","渇きで狂ったロアは邪魔されると凶暴化する\n<<xbox_button_a>>を押して邪魔をする","가뭄에 미친 로아는 방해를 받으면 격앙 상태가 됩니다.\n<<xbox_button_a>>을(를) 눌러 방해하십시오","Rhoa Enlouquecido pela Seca se enfurece quando perturbado\n<<xbox_button_a>> para perturbar","Жаждущий роа впадает в ярость, если его побеспокоить.\nНажмите <<xbox_button_a>>, чтобы побеспокоить.","El rhoa furioso de la sequía se enfurece cuando lo molestas\nPresiona <<xbox_button_a>> para molestarlo","โรอ์คลั่งภัยแล้ง จะเดือดดาลเมื่อถูกรบกวน\nกด <<xbox_button_a>> เพื่อรบกวน","旱地巨喙若受到打擾將會被激怒\n<<xbox_button_a>>打擾牠","","","","","","","","","","",1469788979,"","","","","","","","","","","","","","","","","","","",""
2436,"MapUndeadRhoaNestInfoString","Skullbeak enrages when disturbed\nClick to disturb","Osbec s'enrage si le nid est dérangé\nCliquez pour déranger le nid","Schädelschnäbler wird wütend, wenn gestört\nKlicken zum Stören","スカルビークは邪魔されると凶暴化する\nクリックして邪魔をする","해골부리는 방해를 받으면 격앙 상태가 됩니다.\n클릭하여 방해하십시오","Bico Ósseo se enfurece quando perturbado\nClique para perturbar","Костяной клюв впадает в ярость, если его побеспокоить.\nНажмите, чтобы побеспокоить.","Pico de hueso se enfurece cuando lo molestas\nHaz clic para molestarlo","สกัลบีค จะเดือดดาลเมื่อถูกรบกวน\nคลิกเพื่อรบกวน","冥喙若受到打擾將會被激怒\n點擊打擾牠","Skullbeak enrages when disturbed\nPress <<xbox_button_a>> to disturb","Osbec s'enrage si le nid est dérangé\nAppuyez sur <<xbox_button_a>> pour déranger le nid","Schädelschnäbler wird wütend, wenn gestört\nDrücke <<xbox_button_a>> zum Stören","スカルビークは邪魔されると凶暴化する\n<<xbox_button_a>>を押して邪魔をする","해골부리는 방해를 받으면 격앙 상태가 됩니다.\n<<xbox_button_a>>을(를) 눌러서 방해하십시오","Bico Ósseo se enfurece quando perturbado\nPressione <<xbox_button_a>> para perturbar","Костяной клюв впадает в ярость, если его побеспокоить.\nНажмите <<xbox_button_a>>, чтобы побеспокоить.","Pico de hueso se enfurece cuando lo molestas\nPresiona <<xbox_button_a>> para molestarlo","สกัลบีค จะเดือดดาลเมื่อถูกรบกวน\nกด <<xbox_button_a>> เพื่อรบกวน","冥喙若受到打擾將會被激怒\n按下<<xbox_button_a>>打擾牠","","","","","","","","","","",537001359,"","","","","","","","","","","","","","","","","","","",""
2437,"MapRhoaBossInfoString","Drops more and better items when enraged","Cède des objets en plus grande quantité et de meilleure qualité lorsqu'il est enragé","Lässt mehr und bessere Gegenstände fallen, wenn wütend","凶暴化するとドロップの量が多くなり質もよくなる","격앙 상태인 몬스터는 우수한 아이템을 더 많이 떨어트립니다.","Derruba mais e melhores itens quando enfurecido","В состоянии ярости оставляет больше ценных предметов.","Arroja más y mejores objetos al estar enfurecido","ดรอปไอเทมมากขึ้นและดีขึ้น เมื่อเดือดดาล","被激怒時將會掉落更多更好的物品。","","","","","","","","","","","","","","","","","","","","",1368559563,"","","","","","","","","","","","","","","","","","","",""
2438,"MonolithHelperText","The monster is imprisoned by powerful Essences.","Ce monstre est retenu prisonnier par de puissantes Essences.","Das Monster ist von mächtigen Essenzen eingeschlossen.","モンスターが強力なエッセンスに閉じ込められている。","몬스터가 강력한 에센스에 갇혀 있습니다.","O monstro está aprisionado por poderosas Essências.","Монстр пленён могущественной Сущностью.","Este monstruo está aprisionado por Esencias poderosas.","มอนสเตอร์ตัวนี้ถูกจองจำโดย เอสเซนส์ อันทรงพลัง","怪物受到強大的精髓禁錮。","","","","","","","","","","","","","","","","","","","","",1607716658,"","","","","","","","","","","","","","","","","","","",""
2439,"EssenceModLevelRestriction","Properties restricted to level {0} and below","Propriétés restreintes au niveau {0} et moins","Werte sind beschränkt auf Stufe {0} und darunter","エッセンスを使用して付加されるモッドはレベル{0}以下の物に限定されている。","속성 레벨이 {0} 이하로 제한됩니다","Propriedades restritas para nível {0} e abaixo","Свойства ограничены {0} уровнем и ниже","Propiedades restringidas a nivel {0} y menor","คุณสมบัติจะถูกจำกัดให้มีเลเวล {0} หรือต่ำกว่า","屬性限制等級需求{0}與以下物品","","","","","","","","","","","","","","","","","","","","",983991274,"","","","","","","","","","","","","","","","","","","",""
2440,"CreateCharacterButtonMaxCharactersReachedPopup","You have reached your maximum number of characters. To create more characters, you can either delete old characters or buy extra character slots from the shop on the website or in-game once logged into a character.","Vous avez atteint le nombre maximal de personnages. Pour en créer d'autres, vous pouvez soit effacer de vieux personnages, soit acheter des emplacements de personnage en plus dans la boutique en passant par le site web, ou une fois en jeu avec un autre personnage.","Du hast die maximale Anzahl an Charakteren erreicht. Wenn du weitere Charaktere erstellen möchtest, lösche einen alten oder kaufe einen neuen Charakter-Slot im Shop über die Website oder im Spiel, sobald du dich mit einem Charakter angemeldet hast.","キャラクターの数が最大数に達しました。さらにキャラクターを作成するには古いキャラクターを削除するか、ウェブサイトのショップまたはゲーム内のキャラクターにログインして開けるショップから追加キャラクタースロットを購入してください。","생성한 캐릭터 숫자가 한계에 도달했습니다. 캐릭터를 더 생성하려면, 기존의 캐릭터를 삭제하거나 추가적인 캐릭터 슬롯을 구입해야 합니다. 구입은 웹사이트 또는 캐릭터로 로그인한 뒤 게임 내에서 가능합니다.","Você atingiu a quantidade máxima de personagens. Para criar mais personagens, você pode deletar personagens antigos ou adquirir espaços extras de personagens na loja no website ou dentro do jogo quando estiver conectado com um personagem.","Вы достигли максимума созданных персонажей. Чтобы создать больше персонажей, удалите старых или приобретите дополнительные ячейки для персонажей в магазине на сайте или в игре.","Has alcanzado el número máximo de personajes. Para crear más personajes, puedes borrar personajes antiguos o comprar espacios para personajes adicionales desde la tienda en la página web o dentro del juego una vez que inicias sesión con un personaje.","คุณมีจำนวนตัวละครสูงสุดแล้ว คุณสามารถสร้างตัวละครเพิ่มขึ้นได้ด้วยการลบตัวละครเก่า หรือซื้อช่องตัวละครพิเศษเพิ่มจากร้านค้าบนเว็บไซต์หรือภายในเกมหลังจากที่ล็อกอินด้วยตัวละครตัวหนึ่ง","你已達到角色數量的上限。若需要創立更多角色，你可以透過刪除舊有角色釋放空間，或者前往商城購買角色數量擴充道具。","","","","","","","","","","","","","","","","","","","","",1389716966,"","","","","","","","","","","","","","","","","","","",""
2441,"ItemErrorCannotApplyToMonolith","Item cannot apply to monsters trapped by Essences.","Cet objet ne s'applique pas aux monstres retenus prisonniers par des Essences.","Gegenstand kann nicht auf Monster angewendet werden, die von Essenzen eingeschlossen sind.","そのアイテムはエッセンスに閉じ込められているモンスターには使用できません。","에센스에 갇힌 몬스터에게는 아이템을 적용할 수 없습니다.","O item não pode ser aplicado em monstros aprisionados por Essências.","Предмет нельзя применить на монстров, заточенных в Сущность.","El objeto no puede ser aplicado a monstruos atrapados por Esencias.","ไอเทมนี้ไม่สามารถใช้กับมอนเตอร์ที่ถูกจองจำในเอสเซนส์","無法使用在受到精髓禁錮的怪物上。","","","","","","","","","","","","","","","","","","","","",1816287878,"","","","","","","","","","","","","","","","","","","",""
2442,"AtlasModUsesRemaining","{0} use remaining","{0} utilisation restante","{0} Nutzung übrig","残り{0}回の使用可能","남은 사용 {0}","{0} utilização restante","Осталось использовать: {0}","Queda {0} uso","เหลือการใช้งานอีก {0} ครั้ง","還能夠使用{0}次。","","","","","","","","","","","","","","","","","","","","",3528510718,"","","","","","","","","","","","","","","","","","","",""
2443,"AtlasModUsesRemainingPlural","{0} uses remaining","{0} utilisations restantes","{0} Nutzungen übrig","残り{0}回の使用可能","남은 사용 {0}","{0} utilizações restantes","Осталось использовать: {0}","Quedan {0} usos","เหลือการใช้งานอีก {0} ครั้ง","還能夠使用{0}次。","","","","","","","","","","","","","","","","","","","","",561988703,"","","","","","","","","","","","","","","","","","","",""
2444,"ActionOpenAtlasScreen","Atlas Screen","Afficher l'Atlas","Atlas","アトラス画面","아틀라스 화면","Tela do Atlas","Экран Атласа","Pantalla del Atlas","หน้าจอแอตลาส","輿圖畫面","","","","","","","","","","","","","","","","","","","","",1543171363,"","","","","","","","","","","","","","","","","","","",""
2445,"ItemErrorTargetNotNormalOrRare","Target is not Normal or Rare.","Vous devez cibler un objet Normal ou Rare.","Ziel ist nicht normal oder selten.","対象はノーマルでもレアでもありません。","대상이 일반 또는 희귀 아이템이 아닙니다.","O alvo não é Normal nem Raro.","Цель не является обычной или редкой.","El objetivo no es normal ni raro.","เป้าหมายไม่ใช่ธรรมดาหรือแรร์","目標不是普通或魔法道具。","","","","","","","","","","","","","","","","","","","","",710703008,"","","","","","","","","","","","","","","","","","","",""
2446,"MapStairAlternativeTombExit","Tomb Exit","Sortie du tombeau","Gruftausgang","墓地の出口","무덤 출구","Saída da Tumba","Выход из гробницы","Salida de la Tumba","ทางออกหลุมฝังศพ","陵墓出口","","","","","","","","","","","","","","","","","","","","",1667917471,"","","","","","","","","","","","","","","","","","","",""
2447,"MapStairAlternativeTombEntrance","Tomb","Tombeau","Gruft","墓地","무덤","Tumba","Гробница","Tumba","หลุมฝังศพ","陵墓","","","","","","","","","","","","","","","","","","","","",365678497,"","","","","","","","","","","","","","","","","","","",""
2448,"MapStairAlternativeCaveExit","Cave Mouth","Entrée de grotte","Höhleneingang","洞窟の入り口","동굴 입구","Entrada da Caverna","Вход в пещеру","Boca de la Cueva","ปากถ้ำ","洞穴入口","","","","","","","","","","","","","","","","","","","","",2245180691,"","","","","","","","","","","","","","","","","","","",""
2449,"MapStairAlternativePassage","Passage","Passage","Durchgang","通路","통로","Passagem","Проход","Pasaje","ทางเดิน","通道","","","","","","","","","","","","","","","","","","","","",2172386531,"","","","","","","","","","","","","","","","","","","",""
2450,"EssenceCategoryOther","Other {0}","{0}(autres)","Sonst. {0}","その他 {0}","다른 {0}","Outro(a) {0}","Проч. {0}","Otra {0}","{0}อื่นๆ","其它{0}","","","","","","","","","","","","","","","","","","","","",63693898,"","","","","","","","","","","","","","","","","","","",""
2451,"EssenceCategoryItems","Item","Objet","Gegenstand","アイテム","아이템","Item","Предмет","Objeto","ไอเทม","物品","","","","","","","","","","","","","","","","","","","","",2223232226,"","","","","","","","","","","","","","","","","","","",""
2452,"WorldPanelHideoutNotUnlocked","To earn a personal Hideout, complete the quest \""Safe and Sound\"" in Act 2.","Pour obtenir votre Repaire personnel, terminez la quête « Sains et saufs » dans l'Acte 2.","Du erhältst ein eigenes Versteck, indem du für Helena in Akt 2 die Quest \""Sicher und geborgen\"" abschließt.","個人の隠れ家を手に入れるには、アクト2の「安全な隠れ家探し」クエストを完了する必要があります。","은신처를 갖기 위해서는 2장에서 \""무사 무탈\"" 퀘스트를 완료해야 합니다.","Para ganhar um refúgio pessoal, complete a missão \""São e Salvo\"" no Ato 2.","Чтобы получить личное убежище, завершите задание \""В целости и сохранности\"" во 2 Акте.","Para conseguir una guarida personal, completa la misión “Sano y salvo” en el Acto 2.","คุณจะได้รับ ที่ซ่อนส่วนตัว เมื่อผ่านภารกิจ \""ปลอดภัยหายห่วง\"" ของ เฮเลน่า ในบทที่ 2","完成第 2 章任務「安全與寧靜」，你將會獲得個人藏身處。","","","","","","","","","","","","","","","","","","","","",297745689,"","","","","","","","","","","","","","","","","","","",""
2453,"WorldPanelGuildHideoutNotUnlocked","The Guild Leader has not yet created a Guild Hideout.","Le Chef de Guilde n'a pas encore créé de Repaire de Guilde.","Der Gildenanführer hat noch kein Gildenversteck erstellt.","ギルドリーダーがギルドの隠れ家をまだ作成していません。","길드 대표가 아직 길드 은신처를 만들지 않았습니다.","O Líder da Guida ainda não criou um Refúgio da Guilda.","Глава гильдии ещё не создал убежище гильдии.","El líder de la hermandad aún no ha creado una guarida de hermandad.","หัวหน้ากิลด์ ยังไม่ได้สร้าง ที่ซ่อนกิลด์ เอาไว้ในตอนนี้","公會會長尚未創立公會藏身處。","","","","","","","","","","","","","","","","","","","","",982853136,"","","","","","","","","","","","","","","","","","","",""
2454,"WorldPanelGuildHideoutNotUnlockedLeader2","Talk to Helena to create a Guild Hideout.","Vous devez parler à Héléna pour créer un Repaire de Guilde.","Sprich mit Helena, um ein Gildenversteck zu erstellen.","ギルドの隠れ家を作成するには、ヘレナに話しかけてください。","길드 은신처를 만들려면 헬레나와 대화하십시오.","Fale com Helena para criar um Refúgio da Guilda.","Поговорите с Еленой, чтобы создать убежище гильдии.","Habla con Helena para crear una guarida de hermandad.","พูดคุยกับ เฮเลน่า เพื่อสร้าง ที่ซ่อนกิลด์","與赫蓮娜交談來創立公會藏身處。","","","","","","","","","","","","","","","","","","","","",2632990372,"","","","","","","","","","","","","","","","","","","",""
2455,"WorldPanelGuildHideoutNotUnlockedLeader1","You must first unlock a personal Hideout before you can create a Guild Hideout.","Vous devez d'abord obtenir votre Repaire personnel avant de pouvoir prétendre à un Repaire de Guilde.","Du musst erst ein persönliches Versteck freischalten, bevor du ein Gildenversteck erstellen kannst.","ギルトの隠れ家を作成するには、まずは個人の隠れ家を使えるようにする必要があります。","길드 은신처를 만들려면 우선 개인 은신처를 잠금 해제해야 합니다.","Você precisa destravar um Refúgio pessoal antes de poder criar um Refúgio da Guilda.","Прежде чем создать убежище гильдии, вам необходимо разблокировать личное убежище.","Para poder crear una guarida de hermandad primero tienes que desbloquear una guarida personal.","คุณต้องปลดล็อก ที่ซ่อนส่วนตัว ก่อน คุณถึงจะสร้าง ที่ซ่อนกิลด์ ได้","在創立公會藏身處前，你必須先解鎖個人藏身處。","","","","","","","","","","","","","","","","","","","","",1729991283,"","","","","","","","","","","","","","","","","","","",""
2456,"AscendancyTrialHelp","Complete the six Trials of Ascendancy scattered throughout Wraeclast to earn access to the Lord's Labyrinth. Upon completing the Labyrinth and defeating Emperor Izaro, you can choose an Ascendancy class. Completing each Labyrinth for the first time rewards you with two Ascendancy points and the ability to imbue a piece of equipment with a special enchantment. The Labyrinth's layout and secrets change every day.","Terminez les six épreuves d'Ascendance éparpillées dans Wraeclast pour obtenir l'accès au Labyrinthe du Seigneur. Lorsque vous aurez terminé le Labyrinthe et triomphé de l'Empereur Izaro, vous pourrez choisir une classe d'Ascendance. La première fois que vous terminerez chacun des Labyrinthes, vous recevrez deux points d'Ascendance ainsi que la possibilité d'appliquer un enchantement spécial sur un morceau de votre équipement. L'agencement et les secrets du Labyrinthe changent quotidiennement.","Bestehe alle sechs Aszendenzprüfungen, die über ganz Wraeclast verteilt sind, um Zutritt zum Labyrinth zu erhalten. Sobald du das Labyrinth erfolgreich gemeistert und Izaro vernichtet hast, obliegt dir die Wahl einer Aszendenzklasse. Immer dann, wenn du ein Labyrinth zum ersten Mal erfolgreich abgeschlossen hast, erhältst du zwei Aszendenzpunkte sowie die Möglichkeit, einen Gegenstand mit einer besonderen Fähigkeit zu verzaubern. Der Aufbau sowie die Geheimnisse des Labyrinths ändern sich jeden Tag.","皇帝のラビリンスに行けるようにするにはレイクラストに点在する6つのアセンダンシーの試練を完了してください。ラビリンスを完了し皇帝イザロを倒すと、アセンダンシークラスを選択できるようになります。各ラビリンスを初めて完了すると、2ポイントのアセンダンシーポイントと装備に特殊なエンチャントを付呪する機会を与えられます。ラビリンスのレイアウトと秘密は毎日変化します。","레이클라스트에 흩어진 6개의 전직 시험을 완료하면 군주의 미궁에 입장할 수 있습니다. 미궁을 완료하고 이자로 황제를 처치하면 전직 클래스를 선택할 수 있습니다. 각 미궁을 최초로 완료하면 보상으로 전직 포인트 2포인트와 특정 부위의 장비에 특별한 인챈트를 할 기회가 주어집니다. 미궁의 구조와 비밀은 항상 변경됩니다.","Complete as seis Provações de Ascensão espalhadas por Wraeclast para ganhar acesso ao Labirinto do Lorde. Ao completar o Labirinto e derrotar o Imperador Izaro, você pode escolher uma classe Ascendente. Completar o Labirinto pela primeira vez lhe recompensa com dois pontos de Ascensão e a habilidade de imbuir uma peça de equipamento com um encantamento especial. A disposição e os segredos do Labirinto mudam todo dia.","Завершите шесть Испытаний Восхождения, разбросанных по Рэкласту, чтобы открыть вход в Лабиринт Правителя. Пройдя Лабиринт и победив императора Изаро, вы сможете выбрать класс Восхождения. За первое прохождение каждого Лабиринта вы заработаете два очка Восхождения и возможность усилить часть снаряжения особым зачарованием. Схема и секреты Лабиринта меняются каждый день. ","Completa las seis Pruebas de Ascendencia dispersas a través de Wraeclast para conseguir acceso al Laberinto del Señor.\r\nAl completar el Laberinto y derrotar al Emperador Izaro, puedes elegir una clase de Ascendencia.\r\nCompletar cada Laberinto por primera vez te recompensa con dos puntos de Ascendencia y la habilidad de imbuir una pieza de equipo con un encantamiento especial. La distribución del Laberinto y sus secretos cambian cada día.","ผ่าน บททดสอบครองอำนาจ ทั้งหกที่กระจายอยู่ทั่วเวร์แคลส์ทเพื่อเปิดทางเข้าไปสู่ เขาวงกตนายเหนือหัว เมื่อคุณผ่านเขาวงกตและสยบจักรพรรดิอีซาโรสำเร็จ คุณจะได้เลือกคลาสเสริมได้ 1 คลาส การผ่านเขาวงกตแต่ละระดับเป็นครั้งแรกจะทำให้คุณได้รับแต้มคลาสเสริม 2 แต้ม และทำให้คุณสามารถใส่ เอนแชนท์พิเศษ ให้กับไอเทมสวมใส่ 1 ชิ้น โดยรูปแบบของเขาวงกตกับความลับของมันจะเปลี่ยนไปทุกวัน","在瓦爾克拉斯上存在許多致命的試煉，有六個試煉等待著流亡者。完成這六個試煉，即可開啟該難度帝王試煉迷宮的大門。在擊敗伊澤洛並完成帝王試煉迷宮，你將能夠選擇一個昇華職業。初次完成各個難度的帝王試煉皆會賦予你兩點昇華點數，同時每次完成帝王試煉迷宮時，你將會獲得一次附魔裝備的機會。迷宮的佈局會每天刷新。","","","","","","","","","","","","","","","","","","","","",3593867039,"","","","","","","","","","","","","","","","","","","",""
2457,"BoundCurrencyCheckboxLabel","Use Bound Currency","Utiliser des Objets monétaires liés","Gebundene Währung benutzen","帰属カレンシーを使用","귀속 화폐 사용","Usar Moeda Vinculada","Использовать связанную валюту","Usar objeto monetario vinculado","ใช้เงินตราที่ถูกผูกไว้","使用綁定通貨","","","","","","","","","","","","","","","","","","","","",4167335728,"","","","","","","","","","","","","","","","","","","",""
2458,"EssenceLeagueInformationLabel","You can combine three Essences of the same type into an Essence of a higher power level, by selling them to the vendor.","Vous pouvez associer trois Essences du même type en les vendant au marchand, les transformant ainsi en une Essence d'un niveau supérieur.","Du kannst drei Essenzen desselben Typs gegen eine nächst höhere Essenz tauschen, indem du sie beim Händler verkaufst.","ベンダーに売却することで同種のエッセンス3つを組み合わせてよりレベルの高いエッセンスに交換できる。","같은 종류의 에센스 3개를 상인에게 판매하여 더 강력한 에센스 하나로 교환할 수 있습니다.","Você pode combinar três Essências do mesmo tipo em uma Essência com o nível de poder maior, vendendo-as ao vendedor.","Вы можете объединить три Сущности одного типа в Сущность более высокого уровня, продав их торговцу.","Puedes combinar tres Esencias del mismo tipo y conseguir una Esencia de un nivel de poder mayor vendiéndolas al vendedor.","คุณสามารถรวม 3 เอสเซนส์ ที่มีประเภทเดียวกันไปเป็น เอสเซนส์ ของระดับพลังที่สูงขึ้น โดยการขายให้กับผู้ค้าขาย","販售三個相同種類和階級的精髓給商人，可以取得高一階的同種類精髓。","","","","","","","","","","","","","","","","","","","","",408214437,"","","","","","","","","","","","","","","","","","","",""
2459,"UIOpenMapDescription","{0} ({1})","{0} ({1})","{0} ({1})","{0} ({1})","{0} ({1})","{0} ({1})","{0} ({1})","{0} ({1})\r\n","{0} ({1})","{0}（{1}）","","","","","","","","","","","","","","","","","","","","",1238116569,"","","","","","","","","","","","","","","","","","","",""
2460,"MapUpgradeFunctionTier1","Upgrades a Tier 1 map on the Atlas by five tiers","Augmente une Carte de palier 1 dans l'Atlas en lui ajoutant cinq paliers","Stuft eine Level 1-Karte im Atlas fünf Level höher","アトラス上のティア1のマップを5ティアアップグレードする","아틀라스에서 1등급 지도를 5단계 상승시킵니다","Aprimora um mapa Tier 1 no Atlas em cinco tiers","Улучшает карту 1 уровня на Атласе на 5 уровней","Aumenta en cinco grados un mapa de grado 1 en el Atlas","อัพเกรดแผนที่ Tier ระดับ 1 บนสมุดแผนโลก ได้โดย 5 tiers","提升輿圖中一張1階的地圖5個階級。","","","","","","","","","","","","","","","","","","","","",2349290124,"","","","","","","","","","","","","","","","","","","",""
2461,"MapUpgradeFunctionTier2","Upgrades a Tier 2 map on the Atlas by five tiers","Augmente une Carte de palier 2 dans l'Atlas en lui ajoutant cinq paliers","Stuft eine Level 2-Karte im Atlas fünf Level höher","アトラス上のティア2のマップを5ティアアップグレードする","아틀라스에서 2등급 지도를 5단계 상승시킵니다","Aprimora um mapa Tier 2 no Atlas em cinco tiers","Улучшает карту 2 уровня на Атласе на 5 уровней","Aumenta en cinco grados un mapa de grado 2 en el Atlas","อัพเกรดแผนที่ Tier ระดับ 2 บนสมุดแผนโลก ได้โดย 5 tiers","提升輿圖中一張2階的地圖5個階級。","","","","","","","","","","","","","","","","","","","","",4181355359,"","","","","","","","","","","","","","","","","","","",""
2462,"MapUpgradeFunctionTier3","Upgrades a Tier 3 map on the Atlas by five tiers","Augmente une Carte de palier 3 dans l'Atlas en lui ajoutant cinq paliers","Stuft eine Level 3-Karte im Atlas fünf Level höher","アトラス上のティア3のマップを5ティアアップグレードする","아틀라스에서 3등급 지도를 5단계 상승시킵니다","Aprimora um mapa Tier 3 no Atlas em cinco tiers","Улучшает карту 3 уровня на Атласе на 5 уровней","Aumenta en cinco grados un mapa de grado 3 en el Atlas","อัพเกรดแผนที่ Tier ระดับ 3 บนสมุดแผนโลก ได้โดย 5 tiers","提升輿圖中一張3階的地圖5個階級。","","","","","","","","","","","","","","","","","","","","",551577392,"","","","","","","","","","","","","","","","","","","",""
2463,"MapUpgradeFunctionTier4","Upgrades a Tier 4 map on the Atlas by five tiers","Augmente une Carte de palier 4 dans l'Atlas en lui ajoutant cinq paliers","Stuft eine Level 4-Karte im Atlas fünf Level höher","アトラス上のティア4のマップを5ティアアップグレードする","아틀라스에서 4등급 지도를 5단계 상승시킵니다","Aprimora um mapa Tier 4 no Atlas em cinco tiers","Улучшает карту 4 уровня на Атласе на 5 уровней","Aumenta en cinco grados un mapa de grado 4 en el Atlas","อัพเกรดแผนที่ Tier ระดับ 4 บนสมุดแผนโลก ได้โดย 5 tiers","提升輿圖中一張4階的地圖5個階級。","","","","","","","","","","","","","","","","","","","","",3541526005,"","","","","","","","","","","","","","","","","","","",""
2464,"MapUpgradeFunctionTier5","Upgrades a Tier 5 map on the Atlas by five tiers","Augmente une Carte de palier 5 dans l'Atlas en lui ajoutant cinq paliers","Stuft eine Level 5-Karte im Atlas fünf Level höher","アトラス上のティア5のマップを5ティアアップグレードする","아틀라스에서 5등급 지도를 5단계 상승시킵니다","Aprimora um mapa Tier 5 no Atlas em cinco tiers","Улучшает карту 5 уровня на Атласе на 5 уровней","Aumenta en cinco grados un mapa de grado 5 en el Atlas","อัพเกรดแผนที่ Tier ระดับ 5 บนสมุดแผนโลก ได้โดย 5 tiers","提升輿圖中一張5階的地圖5個階級。","","","","","","","","","","","","","","","","","","","","",2031088574,"","","","","","","","","","","","","","","","","","","",""
2465,"MapUpgradeFunctionTier6","Upgrades a Tier 6 map on the Atlas by five tiers","Augmente une Carte de palier 6 dans l'Atlas en lui ajoutant cinq paliers","Stuft eine Level 6-Karte im Atlas fünf Level höher","アトラス上のティア6のマップを5ティアアップグレードする","아틀라스에서 6등급 지도를 5단계 상승시킵니다","Aprimora um mapa Tier 6 no Atlas em cinco tiers","Улучшает карту 6 уровня на Атласе на 5 уровней","Aumenta en cinco grados un mapa de grado 6 en el Atlas","อัพเกรดแผนที่ Tier ระดับ 6 บนสมุดแผนโลก ได้โดย 5 tiers","提升輿圖中一張6階的地圖5個階級。","","","","","","","","","","","","","","","","","","","","",569580462,"","","","","","","","","","","","","","","","","","","",""
2466,"MapUpgradeFunctionTier7","Upgrades a Tier 7 map on the Atlas by five tiers","Augmente une Carte de palier 7 dans l'Atlas en lui ajoutant cinq paliers","Stuft eine Level 7-Karte im Atlas fünf Level höher","アトラス上のティア7のマップを5ティアアップグレードする","아틀라스에서 7등급 지도를 5단계 상승시킵니다","Aprimora um mapa Tier 7 no Atlas em cinco tiers","Улучшает карту 7 уровня на Атласе на 5 уровней","Aumenta en cinco grados un mapa de grado 7 en el Atlas","อัพเกรดแผนที่ Tier ระดับ 7 บนสมุดแผนโลก ได้โดย 5 tiers","提升輿圖中一張7階的地圖5個階級。","","","","","","","","","","","","","","","","","","","","",838096376,"","","","","","","","","","","","","","","","","","","",""
2467,"MapUpgradeFunctionTier8","Upgrades a Tier 8 map on the Atlas by five tiers","Augmente une Carte de palier 8 dans l'Atlas en lui ajoutant cinq paliers","Stuft eine Level 8-Karte im Atlas fünf Level höher","アトラス上のティア8のマップを5ティアアップグレードする","아틀라스에서 8등급 지도를 5단계 상승시킵니다","Aprimora um mapa Tier 8 no Atlas em cinco tiers","Улучшает карту 8 уровня на Атласе на 5 уровней","Aumenta en cinco grados un mapa de grado 8 en el Atlas","อัพเกรดแผนที่ Tier ระดับ 8 บนสมุดแผนโลก ได้โดย 5 tiers","提升輿圖中一張8階的地圖5個階級。","","","","","","","","","","","","","","","","","","","","",1675286988,"","","","","","","","","","","","","","","","","","","",""
