"rownum","Id","Stats","StatValues","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","i32_56","MapObjective","VisualIdentity","bool_92"
26,"ShrinePackSize","[25131,2402]","[2,2]","Contains 3 additional [Shrine|Shrines]\n[Shrine|Shrines] have 2 additional packs of [ShrineMonster|Worshippers]","Contains 3 additional [Shrine|Shrines]\n[Shrine|Shrines] have 2 additional packs of [ShrineMonster|Worshippers]","Enthält 3 zusätzliche [Shrine|Schreine]\n[Shrine|Schreine] haben 2 zusätzliche Gruppen von [ShrineMonster|Anbetern]","[Shrine|シュライン]が追加で3個出現する\n[Shrine|シュライン]は[ShrineMonster|崇拝者]追加で2パックに守られている","[Shrine|성소] 3개 추가 등장\n[Shrine|성소]에 [ShrineMonster|숭배자] 무리 2개 추가 등장","Contém 3 [Shrine|altares] adicionais\n[Shrine|Altares] têm 2 grupos de monstros [ShrineMonster|adoradores] adicionais","В области можно найти 3 дополнительных [Shrine|алтаря]\n[Shrine|Алтарям] [ShrineMonster|поклоняются] 2 дополнительные группы монстров","Contiene 3 [Shrine|santuarios] adicionales\nLos [Shrine|santuarios] tienen 2 grupos adicionales de monstruos [ShrineMonster|adoradores]","มี[Shrine|แท่นบูชา] เพิ่มเติม 3 แท่น\n[Shrine|แท่นบูชา] มีกองมอนสเตอร์ที่[ShrineMonster|สักการะ] เพิ่มเติม 2 กอง","含有額外2座[Shrine|神殿]\n[Shrine|神殿]含有額外2群[ShrineMonster|膜拜者]","Large Congregation","Large Congregation","Große Versammlung","大規模な集会","대형 집회","Grande Congregação","Большая паства","Congregación grande","คณะชุมนุมใหญ่","信眾雲集",56,10,35,""
27,"ShrineElementalBonus","[2402,26167,15893]","[2,-100,1000]","Contains 2 additional [Shrine|Shrines]\n[ElementalDamage|Elemental] [Shrine|Shrines] do not appear in area\n[Shrine] Duration increased by 1000%","Contains 2 additional [Shrine|Shrines]\n[ElementalDamage|Elemental] [Shrine|Shrines] do not appear in area\n[Shrine] Duration increased by 1000%","Enthält 2 zusätzliche [Shrine|Schreine]\n[ElementalDamage|Elementar]-[Shrine|Schreine] erscheinen nicht in diesem Gebiet\n[Shrine|Schrein]dauer ist um 1000% verlängert","[Shrine|シュライン]が追加で2個出現する\n[ElementalDamage|元素]の[Shrine|シュライン]はエリアに出現しない\n[Shrine|シュライン]の持続時間が1000%増加する","[Shrine|성소] 2개 추가 등장\n지역에 [ElementalDamage|원소] [Shrine|성소]가 등장하지 않음\n[Shrine|성소] 지속시간 1000% 증가","Contém 2 [Shrine|altares] adicionais\n[Shrine|Altares] [ElementalDamage|elementais] não aparecem na área\nDuração do [Shrine|altar] aumentada em 1.000%","В области можно найти 2 дополнительных [Shrine|алтаря]\nВ области не встречаются [ElementalDamage|стихийные] [Shrine|алтари]\nДлительность [Shrine|алтарей] увеличена на 1000%","Contiene 2 [Shrine|santuarios] adicionales\nLos [Shrine|santuarios] [ElementalDamage|elementales] no aparecen en el área\nLa duración de los [Shrine|santuarios] está aumentada un 1000%","มี[Shrine|แท่นบูชา] เพิ่มเติม 2 แท่น\n[Shrine|แท่นบูชา][ElementalDamage|ธาตุ] ไม่ปรากฏในด่าน\nผู้เล่น นำความเสียหาย 50% ไป[Gain|เสริม]เป็น [ElementalDamage|ธาตุ]แบบสุ่ม เมื่อได้รับผลจากบัฟ[Shrine|แท่นบูชา]\nเพิ่มระยะเวลาของ [Shrine|แท่นบูชา] 1000%","含有額外2座[Shrine|神殿]\n區域內不會出現[ElementalDamage|元素][Shrine|神殿]\n玩家被[Shrine|神殿]增加1000%持續時間","Zealous Reverence","Zealous Reverence","Eifrige Ehrfurcht","熱心な崇敬","열띤 숭배","Reverência |elosa","Ревностное почитание","Reverencia ferviente","คลั่งศรัทธา","崇敬熱忱",56,10,36,""
28,"ShrineExiry","[25913,2402]","[100,1]","[Shrine] Buffs are reapplied when entering the [MapBoss|Map Boss] Arena","[Shrine] Buffs are reapplied when entering the [MapBoss|Map Boss] Arena","[Shrine|Schrein]stärkungen werden beim Betreten einer [MapBoss|Kartenboss]-Arena erneut angewendet","[Shrine|シュライン]バフは[MapBoss|マップボス]アリーナに入った時に再適用される","[MapBoss|지도 보스] 전투 구역에 진입할 때 [Shrine|성소] 버프가 다시 적용됨","Bônus de [Shrine|altar] são reaplicados ao entrar na arena do [MapBoss|chefe do mapa]","Положительные эффекты [Shrine|алтарей] накладываются повторно при входе на арену [MapBoss|босса карты]","Los efectos beneficiosos de los [Shrine|santuarios] vuelven a aplicarse al entrar en la arena del [MapBoss|jefe del mapa]","บัฟ[Shrine|แท่นบูชา] ส่งผลอีกครั้งเมื่อเข้าไปใน สังเวียน[MapBoss|บอสประจำแผนที่]","進入[MapBoss|地圖頭目]競技場時，將重新套用[Shrine|神殿]增益效果","Persistent Devotion","Persistent Devotion","Beharrliche Hingabe","持続する献身","유지되는 헌신","Devoção Persistente","Упорное служение","Devoción persistente","ศรัทธายืนยาว","矢志不渝",56,10,37,""
29,"ShrineRogueExile","[25090,2402]","[100,2]","Contains 2 additional [Shrine|Shrines]\n[Shrine|Shrines] are [ShrineMonster|Worshipped] by a [RogueExile|Rogue Exile]","Contains 2 additional [Shrine|Shrines]\n[Shrine|Shrines] are [ShrineMonster|Worshipped] by a [RogueExile|Rogue Exile]","Enthält 2 zusätzliche [Shrine|Schreine]\n[Shrine|Schreine] werden von einem [RogueExile|Abtrünnigen Verbannten] [ShrineMonster|angebetet]","[Shrine|シュライン]が追加で2個出現する\n[Shrine|シュライン]は[RogueExile|ローグエグザイル]1体により[ShrineMonster|崇拝]されている","[Shrine|성소] 2개 추가 등장\n[Shrine|성소]를 [RogueExile|탈주 유배자]가 [ShrineMonster|숭배]함","Contém 2 [Shrine|altares] adicionais\n[Shrine|Altares] são [ShrineMonster|adorados] por um [RogueExile|Exilado Renegado]","В области можно найти 2 дополнительных [Shrine|алтаря]\n[Shrine|Алтарям] [ShrineMonster|поклоняется] [RogueExile|бродячий изгнанник]","Contiene 2 [Shrine|santuarios] adicionales\nLos [Shrine|santuarios] están siendo [ShrineMonster|adorados] por un [RogueExile|exiliado renegado]","มี[Shrine|แท่นบูชา] เพิ่มเติม 2 แท่น\n[Shrine|แท่นบูชา] ถูก[ShrineMonster|สักการะ]โดย [RogueExile|เอ็กไซล์อันธพาล] 1 คน","含有額外2座[Shrine|神殿]\n[Shrine|神殿]會被一名[RogueExile|盜賊流亡者][ShrineMonster|膜拜]","Rites of the Rogues","Rites of the Rogues","Riten der Schurken","ローグの儀式","탈주자의 의례","Rituais dos Renegados","Ритуалы бродяг","Ritos de los renegados","พิธีอันธพาล","盜賊儀式",56,10,38,""
30,"RogueExileTwin","[12880,2191]","[100,2]","Contains 2 additional [RogueExile|Rogue Exiles]\n[RogueExile|Rogue Exiles] appear in Pairs","Contains 2 additional [RogueExile|Rogue Exiles]\n[RogueExile|Rogue Exiles] appear in Pairs","Enthält 2 zusätzliche [RogueExile|Abtrünnige Verbannte]\n[RogueExile|Abtrünnige Verbannte] erscheinen paarweise","[RogueExile|ローグエグザイル]が追加で2体出現する\n[RogueExile|ローグエグザイル]はペアで出現する","[RogueExile|탈주 유배자] 2명 추가 등장\n[RogueExile|탈주 유배자]가 쌍으로 등장","Contém 2 [RogueExile|Exilados Renegados] adicionais\n[RogueExile|Exilados Renegados] aparecem em pares","В области можно встретить 2 дополнительных [RogueExile|бродячих изгнанников]\n[RogueExile|Бродячие изгнанники] появляются парами","Contiene 2 [RogueExile|exiliados renegados] adicionales\nLos [RogueExile|exiliados renegados] aparecen en parejas","มี[RogueExile|เอ็กไซล์อันธพาล] เพิ่มเติม 2 คน\n[RogueExile|เอ็กไซล์อันธพาล] ปรากฏตัวเป็นคู่","含有額外2名[RogueExile|盜賊流亡者]\n[RogueExile|盜賊流亡者]成對出現","Surprising Alliances","Surprising Alliances","Überraschende Allianzen","意外な同盟","의외의 동맹","Alianças Surpreendentes","Неожиданные союзы","Alianzas sorprendentes","พันธมิตรแสนฉงน","意外盟友",56,13,39,""
31,"RogueExilePossesOnSpiritDeath","[25425,2191,2699,25824]","[100,1,2,1]","Contains an additional [RogueExile|Rogue Exile] and 2 additional [AzmeriSpirit|Azmeri Spirits]\n[RogueExile|Rogue Exiles] are [SpiritPossessed|Possessed] when a Possessed Monster is killed in Area","Contains an additional [RogueExile|Rogue Exile] and 2 additional [AzmeriSpirit|Azmeri Spirits]\n[RogueExile|Rogue Exiles] are [SpiritPossessed|Possessed] when a Possessed Monster is killed in Area","Enthält 1 zusätzlichen [RogueExile|Abtrünnigen Verbannten] und 2 zusätzliche [AzmeriSpirit|Azmeri-Geister]\n[RogueExile|Abtrünnige Verbannte] sind [SpiritPossessed|besessen], wenn ein besessenes Monster im Gebiet getötet wird","[RogueExile|ローグエグザイル]が追加で1体および[AzmeriSpirit|アズメリの精霊]が追加で2体出現する\nエリアの憑依されたモンスターを倒した時に[RogueExile|ローグエグザイル]は[SpiritPossessed|憑依]される","[RogueExile|탈주 유배자] 1명 및 [AzmeriSpirit|아즈메리 혼백] 2개 추가 등장\n지역 내에서 사로잡힌 몬스터가 처치되면 [RogueExile|탈주 유배자]가 [SpiritPossessed|사로잡힘]","Contém 1 [RogueExile|Exilado Renegado] adicional e 2 [AzmeriSpirit|Espíritos Azmeri] adicionais\n[RogueExile|Exilados Renegados] são [SpiritPossessed|possuídos] quando um monstro possuído é morto na área","В области можно встретить дополнительного [RogueExile|бродячего изгнанника] и 2 дополнительных [AzmeriSpirit|духов азмири]\n[RogueExile|Бродячие изгнанники] становятся [SpiritPossessed|одержимыми], когда в области убивают одержимого монстра","Contiene un [RogueExile|exiliado renegado] y 2 [AzmeriSpirit|espíritus azmeri] adicionales\nLos [RogueExile|exiliados renegados] quedan [SpiritPossessed|poseídos] cuando alguien mata a un monstruo poseído en el área","มี[RogueExile|เอ็กไซล์อันธพาล] เพิ่มเติม 1 คน และมี [AzmeriSpirit|วิญญาณแอสเมรี] เพิ่มเติม 2 ตน\n[RogueExile|เอ็กไซล์อันธพาล] ถูก[SpiritPossessed|เข้าสิง] เมื่อมอนสเตอร์ที่ถูกเข้าสิงถูกสังหารในด่าน","含有額外1名[RogueExile|盜賊流亡者]和2個[AzmeriSpirit|阿茲莫里魂靈]\n[RogueExile|盜賊流亡者]在區域內有[SpiritPossessed|被附身]怪物被擊殺時會被附身","Azmeri Bloodline","Azmeri Bloodline","Azmeri-Blutlinie","アズメリの血統","아즈메리 혈맹","Linhagem Azmeri","Родословная азмири","Linaje azmeri","สายเลือดแอสเมรี","阿茲莫里血脈",56,13,40,""
32,"StoneCircleDoubleBoss","[25030,24103]","[100,1]","Contains an additional [StoneSummoningCircle|Summoning Circles]\n[StoneSummoningCircle|Summoning Circles] always summon an additional Boss","Contains an additional [StoneSummoningCircle|Summoning Circles]\n[StoneSummoningCircle|Summoning Circles] always summon an additional Boss","Enthält 1 zusätzlichen [StoneSummoningCircle|Beschwörungskreis]\n[StoneSummoningCircle|Beschwörungskreise] beschwören immer einen zusätzlichen Boss","[StoneSummoningCircle|サモニングサークル]が追加で1個出現する[StoneSummoningCircle|サモニングサークル]は常にボスを追加で1体召喚する","[StoneSummoningCircle|소환의 원] 1개 추가 등장\n[StoneSummoningCircle|소환의 원]이 항상 보스 1마리를 추가로 소환","Contém 1 [StoneSummoningCircle|círculo de invocação] adicional\n[StoneSummoningCircle|Círculos de invocação] sempre invocam 1 chefe adicional","В области можно найти дополнительный [StoneSummoningCircle|круг призыва]\n[StoneSummoningCircle|Круги призыва] всегда призывают дополнительного босса","Contiene un [StoneSummoningCircle|círculo de invocación] adicional\nLos [StoneSummoningCircle|círculos de invocación] siempre invocan un jefe adicional","มี[StoneSummoningCircle|วงศิลาอัญเชิญ] เพิ่มเติม 1 วง\n[StoneSummoningCircle|วงศิลาอัญเชิญ] อัญเชิญ บอส เพิ่มเติม 1 ตัว เสมอ","含有額外1座[StoneSummoningCircle|召喚法陣]\n[StoneSummoningCircle|召喚法陣]總是召喚一名額外頭目","Twinned Terrors","Twinned Terrors","Zwillingsschrecken","双子の恐怖","이중 공포","Terrores Pareados","Ужасная пара","Terrores gemelos","คู่แฝดสยอง","雙生恐懼",56,15,41,""
33,"StoneCircleExtras",[24103],[3],"Contains 3 additional [StoneSummoningCircle|Summoning Circles] ","Contains 3 additional [StoneSummoningCircle|Summoning Circles] ","Enthält 3 zusätzliche [StoneSummoningCircle|Beschwörungskreise] ","[StoneSummoningCircle|サモニングサークル]が追加で3個出現する","[StoneSummoningCircle|소환의 원] 3개 추가 등장","Contém 3 [StoneSummoningCircle|círculos de invocação] adicionais","В области можно найти 3 дополнительных [StoneSummoningCircle|круга призыва] ","Contiene 3 [StoneSummoningCircle|círculos de invocación] adicionales","มี[StoneSummoningCircle|วงศิลาอัญเชิญ] เพิ่มเติม 3 วง","含有額外3座[StoneSummoningCircle|召喚法陣]","Scattered Stones","Scattered Stones","Verstreute Steine","散らばった石","흩어진 돌","Pedras Espalhadas","Рассыпанные камни","Piedras dispersas","ศิลากระจัดกระจาย","散落石陣",56,15,42,""
34,"MapChanged",[],[],"World Area has been manipulated and cannot be manipulated again","World Area has been manipulated and cannot be manipulated again","Weltgebiet wurde bereits manipuliert und kann nicht erneut manipuliert werden","ワールドエリアは操作され再び操作することができない","세계 지역이 조작되었으며, 다시 조작될 수 없음","A área do mundo foi manipulada e não pode ser alterada novamente","Область мира претерпела изменения и не может быть изменена снова","El área del mundo se ha manipulado y no se puede volver a manipular","ด่านของโลกถูกเปลี่ยนแปลงไป และจะไม่สามารถเปลี่ยนแปลงได้อีก","世界區域已被影響且無法被再次影響","Map Area Modified","Map Area Modified","Modifiziertes Kartengebiet","マップエリア変更済み","지도 지역 변경됨","Área do Mapa Modificada","Область карты изменена","Área de mapa modificada","ด่านแผนที่ถูกเปลี่ยนแปลง","地圖區域受影響",56,"",43,""
35,"RogueExileUpgraded",[2191],[1],"","","","","","","","","","","Fleeing Exile","Fleeing Exile","Verbannter auf der Flucht","逃走するエグザイル","도망치는 유배자","Exilado Fujão","Бегущий изгнанник","Exiliado huyendo","เอ็กไซล์หลบหนี","逃亡流亡者",56,13,44,""
36,"BreachHive",[24768],[1],"Contains a [ContainsBreach|Breach Hive]","Contains a [ContainsBreach|Breach Hive]","Enthält einen [ContainsBreach|Riss-Schwarm]","[ContainsBreach|ブリーチハイヴ]が出現する","[ContainsBreach|균열 벌레집] 등장","Contém 1 [ContainsBreach|Colmeia da Fenda]","В области можно найти [ContainsBreach|улей Разлома]","Contiene una [ContainsBreach|colmena de fisura]","มี[ContainsBreach|รวงรังบรีช] 1 แห่ง","含有一座[ContainsBreach|裂痕巢穴]","Breach Hive","Breach Hive","Riss-Schwarm","ブリーチハイヴ","균열 벌레집","Colmeia da Fenda","Улей Разлома","Colmena de fisura","รวงรังบรีช","裂痕巢穴",56,4,45,""
37,"Simulacrum",[],[],"Contains a manifestation of [ContainsDelirium|Delirium] that requires 100% [Delirious|Delirousness] to enter","Contains a manifestation of [ContainsDelirium|Delirium] that requires 100% [Delirious|Delirousness] to enter","Enthält eine Manifestation des [ContainsDelirium|Deliriums], die 100% [Delirious|Deliriösität] benötigt, um sie zu betreten","入るのに[Delirious|せん妄度]100%が必要な[ContainsDelirium|デリリウム]の具現化が出現する","[Delirious|환영]이 100%여야만 들어갈 수 있는 [ContainsDelirium|환영]의 현신 등장","Contém uma manifestação de [ContainsDelirium|Delírio] que requer 100% de [Delirious|Delírio] para ser acessada","В области можно встретить воплощение [ContainsDelirium|Делириума], требующее 100% [Delirious|бредовости] для входа","Contiene una manifestación del [ContainsDelirium|delirio] que requiere un 100% de [Delirious|delirio] para entrar","มี[ContainsDelirium|เดลิเรียม] ที่สำแดงอยู่\r\nที่ต้องการ[Delirious|ระดับเดลิเรียม] 100% ในการเข้า","含有一座需要 100% [Delirious|譫妄]才能進入的[ContainsDelirium|譫妄顯現]","Simulacrum","Simulacrum","Simulacrum","シミュラクラム","복제된 영토","Simulacrum","Симулякр","Simulacro","เมืองจำแลง","幻像異界",56,"",30,""
38,"OneOfAll","[2402,24103,2191,2699,4678,2401]","[1,1,1,1,1,1]","Contains an extra of each type of content","Contains an extra of each type of content","Enthält jeweils jeden Inhaltstyp ein Mal zusätzlich","それぞれのコンテンツが追加で出現する","지역에 유형별 콘텐츠가 1개 추가로 등장","Contém um exemplar adicional de cada tipo de conteúdo","В области можно найти по дополнительной единице каждого вида контента","Contiene un contenido adicional de cada tipo","มีเนื้อหาเสริม แต่ละชนิด เพิ่มเติม 1 อย่าง","含有額外每種內容類型","Chaotic Cacophony","Chaotic Cacophony","Chaotische Kakophonie","混沌の不協和音","혼돈의 불협화음","Cacofonia Caótica","Хаотичная какофония","Cacofonía caótica","เคออสอลหม่าน","混沌嘈雜",56,"",46,""
39,"ItemRarity",[1239],[50],"50% increased [Rarity] of items found in area","50% increased [Rarity] of items found in area","50% erhöhte [Rarity|Seltenheit] im Gebiet gefundener Gegenstände","エリアで見つかるアイテムの[Rarity|レアリティ]が50%増加する","지역에서 발견하는 아이템 [Rarity|희귀도] 50% 증가","[Rarity|Raridade] de itens encontrados na área aumentada em 50%","50% повышение [Rarity|редкости] найденных в области предметов","[Rarity|Rareza] de los objetos que caen en el área aumentada un 50%","เพิ่ม[Rarity|ระดับความหายาก]ของ ไอเทม ที่พบในด่าน","區域內找到的物品[Rarity|稀有度]提高 50%","Affluent Armies","Affluent Armies","Mächtige Heere","富める軍勢","부유한 군대","Exércitos Enriquecidos","Богатые армии","Ejércitos adinerados","กองทัพมั่งคั่ง","富裕軍隊",56,"",47,""
40,"BossUniqueItem",[4730],[1],"[MapBoss|Map Boss] drops a [Rarity|Unique] item","[MapBoss|Map Boss] drops a [Rarity|Unique] item","[MapBoss|Kartenboss] lässt einen [Rarity|einzigartigen] Gegenstand fallen","[MapBoss|マップボス]は[Rarity|ユニーク]アイテムを1個ドロップする","[MapBoss|지도 보스]가 [Rarity|고유] 아이템을 1개 떨어뜨림","[MapBoss|Chefe do mapa] larga um item [Rarity|único]","Из [MapBoss|босса карты] выпадает [Rarity|уникальный] предмет","El [MapBoss|jefe de mapa] arroja un objeto [Rarity|único]","[MapBoss|บอสประจำแผนที่] ดรอป ไอเทม[Rarity|ยูนิค] 1 ชิ้น","[MapBoss|地圖頭目]掉落一件[Rarity|傳奇]物品","Monstrous Treasure","Monstrous Treasure","Monströser Schatz","怪物の財宝","무시무시한 보물","Tesouro Monstruoso","Чудовищное сокровище","Tesoro monstruoso","สมบัติมหึมา","巨大的寶物",56,"",48,""
41,"BossUltimarumKey",[26462],[1],"[MapBoss|Map Boss] drops an [UltimatumKey|Inscribed Ultimatum]","[MapBoss|Map Boss] drops an [UltimatumKey|Inscribed Ultimatum]","[MapBoss|Kartenboss] lässt eine [UltimatumKey|Inschrift des Ultimatums] fallen","[MapBoss|マップボス]は[UltimatumKey|アルティメイタムの刻印]を1個ドロップする","[MapBoss|지도 보스]가 [UltimatumKey|새겨진 결전]을 1개 떨어뜨림","[MapBoss|Chefe do mapa] larga um [UltimatumKey|Ultimato Inscrito]","Из [MapBoss|босса карты] выпадает [UltimatumKey|начертанный Ультиматум]","El [MapBoss|jefe de mapa] arroja un [UltimatumKey|ultimátum inscrito]","[MapBoss|บอสประจำแผนที่] ดรอป [UltimatumKey|คำขาดจารึก] 1 ชิ้น","[MapBoss|地圖頭目]掉落一張[UltimatumKey|最後通牒雕刻]","Trialmaster's Trainee","Trialmaster's Trainee","Schüler des Prüfungsmeisters","トライアルマスターの訓練生","시련의 대가의 훈련생","Aprendiz do Mestre das Provações","Практикант Мастера испытаний","Aprendiz del Maestro de pruebas","ผู้ฝึกฝนกับผู้คุมบททดสอบ","試煉大師的學員",56,"",49,""
42,"BossSanctumKey",[26463],[1],"[MapBoss|Map Boss] drops a [SanctumKey|Djinn Barya]","[MapBoss|Map Boss] drops a [SanctumKey|Djinn Barya]","[MapBoss|Kartenboss] lässt eine [SanctumKey|Djinn-Barya] fallen","[MapBoss|マップボス]は[SanctumKey|ジンのバリャ]を1個ドロップする","[MapBoss|지도 보스]가 [SanctumKey|진 바리야]를 1개 떨어뜨림","[MapBoss|Chefe do mapa] larga um [SanctumKey|Barya de Djinn]","Из [MapBoss|босса карты] выпадает [SanctumKey|бария джинна]","El [MapBoss|jefe de mapa] arroja una [SanctumKey|barya de genio]","[MapBoss|บอสประจำแผนที่] ดรอป [SanctumKey|บาร์ย่าจินน์] 1 เหรียญ","[MapBoss|地圖頭目]掉落一枚[SanctumKey|巨靈之幣]","Sekhema's Student","Sekhema's Student","Schüler der Sekhema","セケマの弟子","세케마의 학생","Estudante da Sekhema","Ученик Сехемы","Estudiante de la sekhema","ผู้ศึกษาเซ็คเคมา","絲克瑪的學生",56,"",50,""
43,"AzmeriSpiritBossPossessed",[14486],[1],"[MapBoss|Map Boss] is [SpiritPossessed|Possessed]","[MapBoss|Map Boss] is [SpiritPossessed|Possessed]","[MapBoss|Kartenboss] ist [SpiritPossessed|besessen]","[MapBoss|マップボス]は[SpiritPossessed|憑依]されている","[MapBoss|지도 보스]가 [SpiritPossessed|사로잡힘]","[MapBoss|Chefe do mapa] está [SpiritPossessed|possuído]","[MapBoss|Босс карты] [SpiritPossessed|одержим]","El [MapBoss|jefe de mapa] está [SpiritPossessed|poseído]","[MapBoss|บอสประจำแผนที่] ถูกเข้าสิง","[MapBoss|地圖頭目]已[SpiritPossessed|附身]","Azmeri Champion","Azmeri Champion","Azmerischer Streiter","アズメリの勇者","아즈메리 용사","Campeão Azmeri","Заступник азмири","Campeón azmeri","วีรชนแอสเมรี","阿茲莫里冠軍",56,"",51,""
44,"GiantMonsters","[26464,1028,1043]","[1,-50,50]","Monsters are [Gigantic], have 50% reduced pack size and drop 50% increased items","Monsters are [Gigantic], have 50% reduced pack size and drop 50% increased items","Monster sind [Gigantic|gigantisch], haben 50% verringerte Gruppengröße und lassen 50% erhöhte Gegenstände fallen","モンスターは[Gigantic|巨大]になり、パックサイズが50%減少し、ドロップするアイテムが50%増加する","몬스터가 [Gigantic|방대하며], 무리 규모가 50% 감소하고 떨어뜨리는 아이템이 50% 증가","Os monstros são [Gigantic|gigantescos], têm o tamanho dos grupos reduzido em 50% e largam 50% mais itens","Монстры [Gigantic|гигантские]\n50% уменьшение размера групп монстров на карте\n50% увеличение количества выпадающих из монстров предметов","Los monstruos son [Gigantic|gigantes], tienen el tamaño de los grupos de monstruos reducido un 50% y arrojan la cantidad de objetos aumentada un 50%","มอนสเตอร์ [Gigantic|มหึมา], มีขนาดกองมอนสเตอร์ ลดลง 50% และดรอป ไอเทม เพิ่มขึ้น 50%","怪物[Gigantic|極大化]，減少50%怪物群大小，增加50%掉落物品數量提高","Gigantic Uprising","Gigantic Uprising","Gigantischer Aufstand","巨大なる蜂起","방대한 반란","Revolta dos Gigantes","Восстание гигантов","Levantamiento gigantesco","มหึมาจลาจล","極大暴動",56,"",52,""
45,"RareCurrencyOnly",[26465],[1],"Currency found is replaced with rarer varieties","Currency found is replaced with rarer varieties","Gefundene Währung wird durch seltenere Varianten ersetzt","見つかるカレンシーはより珍しい種類になる","발견하는 화폐가 더 희귀한 종류로 교체됨","As moedas encontradas são substituídas por variedades mais raras","Найденная валюта заменяется более редкими разновидностями","Los objetos monetarios que caen se reemplazan por variedades más raras","เงินตรา ที่พบ ถูกเปลี่ยนเป็น รูปแบบที่พบได้ยากกว่าเดิม","找到的通貨將替換為更高稀有度的種類","Glimmering Mutation","Glimmering Mutation","Schimmernde Mutation","きらめく変異","깜박이는 재물","Mutação Cintilante","Сверкающая мутация","Mutación resplandeciente","กลายพันธุ์ระยิบระยับ","閃爍異變",56,"",53,""
46,"StoneCircleBossEmpoweredPerEnemySlain","[25125,24103]","[15,1]","Contains an additional [StoneSummoningCircle|Summoning Circle]\n[StoneSummoningCircle|Summoning Circle] Bosses have increased difficulty and reward per power of enemy slain","Contains an additional [StoneSummoningCircle|Summoning Circle]\n[StoneSummoningCircle|Summoning Circle] Bosses have increased difficulty and reward per power of enemy slain","Enthält einen zusätzlichen [StoneSummoningCircle|Beschwörungskreis]\nBosse aus [StoneSummoningCircle|Beschwörungskreisen] haben erhöhten Schwierigkeitsgrad und Belohnung pro Stärkegrad getöteter Monster","[StoneSummoningCircle|サモニングサークル]が追加で1個出現する\n[StoneSummoningCircle|サモニングサークル]のボスは倒した敵のパワーごとに難易度と報酬が増加する","[StoneSummoningCircle|소환의 원] 1개 추가 등장\n처치한 적의 위세당 [StoneSummoningCircle|소환의 원] 보스의 난이도 및 보상 증가","Contém 1 [StoneSummoningCircle|círculo de invocação] adicional\nOs chefes do [StoneSummoningCircle|círculo de invocação] apresentam maior dificuldade e recompensas proporcionais ao poder dos inimigos derrotados","В области можно найти дополнительный [StoneSummoningCircle|круг призыва]\nСложность и награды боссов [StoneSummoningCircle|кругов призыва] повышаются за каждую единицу уровня угрозы убитых врагов","Contiene un [StoneSummoningCircle|círculo de invocación] adicional\nLos jefes de los [StoneSummoningCircle|círculos de invocación] tienen la dificultad y las recompensas aumentadas por cada poder del enemigo derrotado","มี[StoneSummoningCircle|วงศิลาอัญเชิญ] เพิ่มเติม 1 วง\nบอส[StoneSummoningCircle|วงศิลาอัญเชิญ] มีระดับความยากและของรางวัล เพิ่มขึ้น ตามจำนวนพลังของศัตรูที่ถูกสังหาร","含有額外1座[StoneSummoningCircle|召喚法陣]\n[StoneSummoningCircle|召喚法陣]頭目會依擊殺敵人的強度，提高難度及獎勵","Stolen Power","Stolen Power","Gestohlene Macht","奪われた力","훔쳐온 힘","Poder Roubado","Украденная сила","Poder robado","ฉกฉวยพลัง","竊取之力",56,15,54,""
47,"Headhunter",[5501],[100],"When Players Kill a Rare Monster they will gain 1 of its Modifiers for 20 seconds","When Players Kill a Rare Monster they will gain 1 of its Modifiers for 20 seconds","Wenn Spieler ein seltenes Monster töten, erhalten sie für 20 Sekunden einen seiner Modifikatoren","プレイヤーがレアモンスターを倒した時に、そのモッドの1個を20秒間獲得する","플레이어가 희귀 몬스터 처치 시 20초 동안 해당 몬스터의 속성 중 1개 획득","Jogadores ganham 1 modificador de um monstro raro por 20 segundos ao matá-lo","При убийстве игроками редкого монстра они получают одно из его свойств на 20 секунд","Cuando los jugadores matan a un monstruo raro, ganan 1 de sus modificadores durante 20 segundos","เมื่อผู้เล่นสังหาร มอนสเตอร์แรร์ เขาจะได้รับ ม็อดของมัน 1 อย่าง 20 วินาที","當玩家擊殺一隻稀有怪物時，將獲得其 1 個詞綴，持續 20 秒","Headhunters","Headhunters","Kopfjäger","ヘッドハンターたち","헤드헌터","Caça-cabeças","Охотники за головами","Cazadores de cabezas","ล่าหัว","獵頭者",56,"",55,""
