"rownum","Id","ItemClass","Width","Height","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","InheritsFrom","DropLevel","FlavourText","Implicit_Mods","SizeOnGround","SoundEffect","Tags","ModDomain","ItemVisualIdentity","HASH32","VendorRecipe_AchievementItems","Inflection","Inflection (French)","Inflection (German)","Inflection (Japanese)","Inflection (Korean)","Inflection (Portuguese)","Inflection (Russian)","Inflection (Spanish)","Inflection (Thai)","Inflection (Traditional Chinese)","Equip_AchievementItem","IsCorrupted","Identify_AchievementItems","IdentifyMagic_AchievementItems","FragmentBaseItemType","bool_225","UncutGemSoundEffect","rid_242","bool_258","Unmodifiable","Achievement","ShopTag","rid_292","i32_308","[rid]_312","[rid]_328","[rid]_344"
510,"Metadata/Items/Gems/SkillGemSkeletalBrute",18,1,1,"Skeletal Brute","Brutes squelettiques","Skelettschläger","スケルトンブルート","해골 돌격병","Brutamontes Descarnado","Скелет-громила","Bruto esqueleto","<size:37>{คนเถื่อนโครงกระดูก}","骷髏巨獸","Metadata/Items/Gems/ActiveSkillGem",53,"",[],1,"",[],38,8934,1042243074,[],"","FP","M","","","F","MS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
511,"Metadata/Items/Gems/SkillGemSkeletalSniper",18,1,1,"Skeletal Sniper","Tireurs d'élite squelettiques","Skelett-Scharfschütze","スケルトンスナイパー","해골 저격수","Franco-atirador Descarnado","Скелет-снайпер","Tirador esqueleto","<size:35>{นักซุ่มยิงโครงกระดูก}","骷髏狙擊手","Metadata/Items/Gems/ActiveSkillGem",1,"",[],1,"",[],38,8935,723025939,[],"","MP","M","","","F","MS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
512,"Metadata/Items/Gems/SkillGemSkeletalFrostMage",18,1,1,"Skeletal Frost Mage","Mages de givre squelettiques","Skelett-Frostmagier","スケルトンフロストメイジ","해골 서리 마법사","Mago da Geada Descarnado","Скелет-маг льда","Mago de escarcha esqueleto","<size:35>{นักเวทน้ำแข็งโครงกระดูก}","骷髏霜寒法師","Metadata/Items/Gems/ActiveSkillGem",15,"",[],1,"",[],38,8936,4209455399,[],"","MP","M","","","F","MS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
513,"Metadata/Items/Gems/SkillGemSkeletalStormMage",18,1,1,"Skeletal Storm Mage","Mages de l'orage squelettiques","Skelett-Sturmmagier","スケルトンストームメイジ","해골 폭풍 마법사","Mago da Tempestade Descarnado","Скелет-маг молний","Mago de tormentas esqueleto","<size:35>{นักเวทวายุโครงกระดูก}","骷髏風暴法師","Metadata/Items/Gems/ActiveSkillGem",42,"",[],1,"",[],38,8937,149887481,[],"","MP","M","","","F","MS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
514,"Metadata/Items/Gems/SkillGemSkeletalArsonist",18,1,1,"Skeletal Arsonist","Incendiaires squelettiques","Skelett-Brandstifter","スケルトンアーソニスト","해골 방화범","Incendiário Descarnado","Скелет-поджигатель","Pirómano esqueleto","<size:35>{นักวางเพลิงโครงกระดูก}","骷髏縱火者","Metadata/Items/Gems/ActiveSkillGem",7,"",[],1,"",[],38,8938,4201917601,[],"","MP","M","","","F","MS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
515,"Metadata/Items/Gems/SkillGemSkeletalCleric",18,1,1,"Skeletal Cleric","Clercs squelettiques","Skelettkleriker","スケルトンクレリック","해골 성직자","Clérigo Descarnado","Скелет-клерик","Clérigo esqueleto","<size:37>{นักบวชโครงกระดูก}","骷髏牧師","Metadata/Items/Gems/ActiveSkillGem",53,"",[],1,"",[],38,8939,2183130688,[],"","MP","M","","","F","MS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
516,"Metadata/Items/Gems/SkillGemAzmerianWolf",18,1,1,"Azmerian Wolf","Loup azmérien","Azmerischer Wolf","アズメリウルフ","아즈메리 늑대","Lobo Azmeri","Волк азмири","Lobo azmeriano","<size:37>{หมาป่าแอสเมรี}","阿茲莫里巨狼","Metadata/Items/Gems/ActiveSkillGem",1,"",[],1,"",[],38,16401,4188504421,[],"","M","M","","","M","MS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
517,"Metadata/Items/Gems/SkillGemMistRaven",18,1,1,"Mist Raven","Corbeau brumeux","Nebelrabe","ミストレイヴン","연무의 큰까마귀","Corvo da Névoa","Ворон тумана","Cuervo brumoso","<size:37>{เรเวนหมอก}","迷霧渡鴉","Metadata/Items/Gems/ActiveSkillGem",1,"",[],1,"",[],38,16401,2761950833,[],"","M","M","","","M","MS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
518,"Metadata/Items/Gems/SkillGemSpiralingConspiracy",18,1,1,"Spiraling Conspiracy","Conspiration tourbillonnante","Umkreisende Verschwörung","スパイラリングコンスピラシー","고조되는 음모","Conspiração em Redemoinho","Вьющийся заговор","Cuervos amenazantes","<size:37>{ฝูงบินโฉบเฉี่ยว}","邪鴉旋纏","Metadata/Items/Gems/ActiveSkillGem",1,"",[],1,"",[],38,16401,2390204168,[],"","F","F","","","F","MS","MP","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
519,"Metadata/Items/Gems/SkillGemArmourBreaker",18,1,1,"Armour Breaker","Brise-armure","Rüstungsbrecher","アーマーブレイカー","방어구 파괴자","Quebrar Armadura","Разрушитель брони","Rompearmaduras","<size:37>{ทลายเกราะ}","護甲碎擊","Metadata/Items/Gems/ActiveSkillGem",7,"",[],1,"","[301,302]",38,8940,1569885850,[],"","F","M","","","F","MS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
520,"Metadata/Items/Gems/SkillGemRainOfArrows",18,1,1,"Rain of Arrows","Pluie de flèches","Pfeilregen","レインオブアロー","화살비","Chuva de Flechas","Ливень стрел","Lluvia de flechas","<size:37>{ฝนลูกธนู}","箭雨","Metadata/Items/Gems/ActiveSkillGem",32,"",[],1,"",[],38,8943,3669206378,[],"","F","M","","","F","MS","F","","","","",[],[],"","","","","","",[],169,"",0,[],[],[]
521,"Metadata/Items/Gems/SkillGemFirestorm",18,1,1,"Firestorm","Tempête de feu","Feuerregen","ファイヤーストーム","화염 폭풍","Tempestade de Fogo","Огненный шторм","Tormenta de fuego","<size:37>{พายุไฟ}","烈炎風暴","Metadata/Items/Gems/ActiveSkillGem",42,"",[],1,"",[],38,8953,1881441534,[],"","F","M","","","F","MS","F","","","","",[],[],"","","","","","",[],124,"",0,[],[],[]
522,"Metadata/Items/Gems/SkillGemFallingThunder",18,1,1,"Falling Thunder","Grondement de tonnerre","Donnergrollen","フォーリングサンダー","떨어지는 천둥","Pancada Trovejante","Раскаты грома","Rayo atronador","<size:37>{ฟ้าถล่ม}","崩雷鳴","Metadata/Items/Gems/ActiveSkillGem",1,"",[],1,"",[],38,8955,3504133411,[],"","M","N","","","F","MP","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
523,"Metadata/Items/Gems/SkillGemPowerSiphon",18,1,1,"Power Siphon","Siphon de pouvoir","Energieentladung","パワーサイフォン","권능 착취","Sifão de Poder","Перелив энергии","Robo de poder","<size:37>{ดูดพลัง}","力量抽取","Metadata/Items/Gems/ActiveSkillGem",1,"",[],1,"",[],38,16401,1433614362,[],"","M","F","","","F","MS","M","","","","",[],[],"","","","","","",[],284,"",0,[],[],[]
524,"Metadata/Items/Gems/SkillGemLightningArrow",18,1,1,"Lightning Arrow","Flèche de foudre","Blitzpfeil","ライトニングアロー","번개 화살","Flecha Relampejante","Стрела молнии","Flecha de rayo","<size:37>{ศรสายฟ้า}","閃電箭矢","Metadata/Items/Gems/ActiveSkillGem",1,"",[],1,"",[],38,8960,409249884,[],"","F","M","","","F","FS","F","","","","",[],[],"","","","","","",[],156,"",0,[],[],[]
525,"Metadata/Items/Gems/SkillGemArc",18,1,1,"Arc","Arc électrique","Lichtbogen","アーク","연쇄 번개","Arco Voltaico","Цепь молний","Arco eléctrico","<size:37>{สายฟ้าชิ่ง}","電弧","Metadata/Items/Gems/ActiveSkillGem",15,"",[],1,"",[],38,8962,145505486,[],"","M","M","","","F","FS","M","","","","",[],[],"","","","","","",[],93,"",0,[],[],[]
526,"Metadata/Items/Gems/SkillGemDiscipline",18,1,1,"Discipline","Discipline","Disziplin","ディシプリン","단련","Disciplina","Дисциплина","Disciplina","<size:37>{วินัย}","紀律","Metadata/Items/Gems/ActiveSkillGem",1,"",[],1,"",[],38,16401,808462386,[],"","F","F","","","F","FS","F","","","","",[],[],"","","","","","",[],117,"",0,[],[],[]
527,"Metadata/Items/Gems/SkillGemShockwaveTotem",18,1,1,"Shockwave Totem","Totem sismique","Schockwellen-Totem","ショックウェーブトーテム","충격파 토템","Totem Sísmico","Сотрясающий тотем","Tótem de onda sísmica","<size:37>{โทเทมคลื่นกระแทก}","震波圖騰","Metadata/Items/Gems/ActiveSkillGem",7,"",[],1,"",[],38,8987,1169161186,[],"","M","N","","","F","MS","M","","","","",[],[],"","","","","","",[],180,"",0,[],[],[]
528,"Metadata/Items/Gems/SkillGemArcticArmour",18,1,1,"Arctic Armour","Armure arctique","Arktische Rüstung","アークティックアーマー","한기의 방어구","Armadura Ártica","Северная броня","Armadura ártica","<size:37>{เกราะน้ำแข็ง}","極地裝甲","Metadata/Items/Gems/ActiveSkillGem",11,"",[],1,"",[],38,8998,3755169842,[],"","F","F","","","F","FS","F","","","","",[],[],"","","","","","",[],94,"",0,[],[],[]
529,"Metadata/Items/Gems/SkillGemAscendancyVirtuousBarrier",18,1,1,"Virtuous Barrier","Barrière vertueuse","Rechtschaffene Barriere","ヴァーチュアスバリア","고결한 방어막","Barreira Virtuosa","Барьер добродетели","Barrera virtuosa","<size:37>{ม่านพลังบารมี}","高尚禦盾","Metadata/Items/Gems/ActiveSkillGem",1,"",[],1,"",[],38,16401,1218397219,[],"","F","F","","","F","MS","F","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
530,"Metadata/Items/Gems/SkillGemFlammability",18,1,1,"Flammability","Inflammabilité","Entflammbarkeit","フラマビリティ","인화성","Inflamabilidade","Горючесть","Inflamabilidad","<size:37>{ไวไฟ}","易燃","Metadata/Items/Gems/ActiveSkillGem",23,"",[],1,"",[],38,9012,3655414412,[],"","F","F","","","F","FS","F","","","","",[],[],4949,"","","","","",[],"","",0,[],[],[]
531,"Metadata/Items/Gems/SkillGemHypothermia",18,1,1,"Hypothermia","Hypothermie","Schneidende Kälte","ハイポサーミア","체온저하","Hipotermia","Обморожение","Hipotermia","<size:37>{เหน็บหนาว}","急凍","Metadata/Items/Gems/ActiveSkillGem",23,"",[],1,"",[],38,9013,3317425494,[],"","F","F","","","F","NS","F","","","","",[],[],4949,"","","","","",[],"","",0,[],[],[]
532,"Metadata/Items/Gems/SkillGemConductivity",18,1,1,"Conductivity","Conductivité","Leitfähigkeit","コンダクティビティ","전도성","Condutividade","Проводимость","Conductividad","<size:37>{นำไฟฟ้า}","導電","Metadata/Items/Gems/ActiveSkillGem",23,"",[],1,"",[],38,9019,3434227077,[],"","F","F","","","F","FS","F","","","","",[],[],4949,"","","","","",[],"","",0,[],[],[]
533,"Metadata/Items/Gems/SkillGemIncinerate",18,1,1,"Incinerate","Incinération","Verbrennen","インシネレート","소각","Incineração","Испепеление","Incinerar","<size:37>{เผาให้สิ้น}","燒毀","Metadata/Items/Gems/ActiveSkillGem",32,"",[],1,"",[],38,9559,613395827,[],"","F","N","","","F","NS","M","","","","",[],[],"","","","","","",[],150,"",0,[],[],[]
534,"Metadata/Items/Gems/SkillGemPurityOfFire",18,1,1,"Purity of Fire","Pureté du feu","Reinheit des Feuers","ピュリティオブファイヤー","불의 순수함","Pureza de Fogo","Спасение от огня","Pureza de fuego","<size:37>{ไฟพิสุทธิ์}","火焰淨化","Metadata/Items/Gems/ActiveSkillGem",1,"",[],1,"",[],38,16401,2155618433,[],"","F","F","","","F","NS","F","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
535,"Metadata/Items/Gems/SkillGemPurityOfIce",18,1,1,"Purity of Ice","Pureté de la glace","Reinheit des Eises","ピュリティオブアイス","얼음의 순수함","Pureza de Gelo","Спасение от холода","Pureza de hielo","<size:37>{น้ำแข็งพิสุทธิ์}","冰霜淨化","Metadata/Items/Gems/ActiveSkillGem",1,"",[],1,"",[],38,16401,294554001,[],"","F","F","","","F","NS","F","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
536,"Metadata/Items/Gems/SkillGemPurityOfLightning",18,1,1,"Purity of Lightning","Pureté de la foudre","Reinheit des Blitzes","ピュリティオブライトニング","번개의 순수함","Pureza Elétrica","Спасение от молний","Pureza de rayo","<size:37>{สายฟ้าพิสุทธิ์}","閃電淨化","Metadata/Items/Gems/ActiveSkillGem",1,"",[],1,"",[],38,16401,753538701,[],"","F","F","","","F","NS","F","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
537,"Metadata/Items/Gems/SkillGemImpurity",18,1,1,"Impurity","Impureté","Unreinheit","インピュリティ","부정함","Impureza","Спасение от хаоса","Impureza","<size:37>{สิ้นพิสุทธิ์}","不淨","Metadata/Items/Gems/ActiveSkillGem",1,"",[],1,"",[],38,16401,243478089,[],"","F","F","","","F","NS","F","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
538,"Metadata/Items/Gems/SkillGemFlameblast",18,1,1,"Flameblast","Conflagration","Flammenexplosion","フレイムブラスト","화염파","Explosão Flamejante","Пламенный взрыв","Explosión de llamas","<size:37>{ระเบิดเพลิง}","烈焰爆破","Metadata/Items/Gems/ActiveSkillGem",53,"",[],1,"",[],38,9053,2428885588,[],"","F","F","","","F","MS","F","","","","",[],[],"","","","","","",[],125,"",0,[],[],[]
539,"Metadata/Items/Gems/SkillGemBarrage",18,1,1,"Barrage","Tir de barrage","Sperrfeuer","バラージ","연발 사격","Barragem","Очередь","Aluvión","<size:37>{ระดมยิง}","彈幕","Metadata/Items/Gems/ActiveSkillGem",15,"",[],1,"",[],38,9050,1017849544,[],"","M","N","","","F","FS","M","","","","",[],[],"","","","","","",[],96,"",0,[],[],[]
540,"Metadata/Items/Gems/SkillGemBallLightning",18,1,1,"Ball Lightning","Boule de foudre","Kugelblitz","ボールライトニング","구형 번개","Esfera de Raios","Шаровая молния","Bola de rayos","<size:37>{บอลสายฟ้า}","天雷之珠","Metadata/Items/Gems/ActiveSkillGem",42,"",[],1,"",[],38,9090,609531350,[],"","F","F","","","F","FS","F","","","","",[],[],"","","","","","",[],95,"",0,[],[],[]
541,"Metadata/Items/Gems/SkillGemBoneOffering",18,1,1,"Bone Offering","Offrande d'os","Knochenopfer","ボーンオファリング","뼈 공물","Oferenda Óssea","Подношение костей","Ofrenda de hueso","<size:37>{เซ่นไหว้ด้วยกระดูก}","骸骨奉獻","Metadata/Items/Gems/ActiveSkillGem",42,"",[],1,"",[],38,9056,261433704,[],"","F","N","","","F","NS","F","","","","",[],[],"","","","","","",[],313,"",0,[],[],[]
542,"Metadata/Items/Gems/SkillGemHeraldOfAsh",18,1,1,"Herald of Ash","Héraut de la cendre","Herold der Asche","ヘラルドオブアッシュ","재의 전령","Arauto Vulcânico","Вестник пепла","Heraldo de ceniza","<size:37>{สาสน์ธุลี}","灰燼之捷","Metadata/Items/Gems/ActiveSkillGem",11,"",[],1,"",[],38,9097,3813140955,[],"","M","M","","","F","MS","M","","","","",[],[],"","","","","","",[],140,"",0,[],[],[]
543,"Metadata/Items/Gems/SkillGemHeraldOfIce",18,1,1,"Herald of Ice","Héraut de la glace","Herold des Eises","ヘラルドオブアイス","얼음의 전령","Arauto Glacial","Вестник льда","Heraldo de hielo","<size:37>{สาสน์น้ำแข็ง}","冰霜之捷","Metadata/Items/Gems/ActiveSkillGem",11,"",[],1,"",[],38,9096,1012816434,[],"","M","M","","","F","MS","M","","","","",[],[],"","","","","","",[],141,"",0,[],[],[]
544,"Metadata/Items/Gems/SkillGemHeraldOfThunder",18,1,1,"Herald of Thunder","Héraut du tonnerre","Herold des Donners","ヘラルドオブサンダー","천둥의 전령","Arauto Trovejante","Вестник грома","Heraldo de trueno","<size:37>{สาสน์สายฟ้า}","閃電之捷","Metadata/Items/Gems/ActiveSkillGem",11,"",[],1,"",[],38,9098,400925501,[],"","M","M","","","F","MS","M","","","","",[],[],"","","","","","",[],143,"",0,[],[],[]
545,"Metadata/Items/Gems/SkillGemBlasphemy",77,1,1,"Blasphemy","Blasphème","Blasphemie","ブラスファミー","신성 모독","Blasfêmia","Богохульство","Blasfemia","<size:37>{เผยแผ่คำสาป}","瀆神","Metadata/Items/Gems/MetaSkillGem",27,"",[],1,"",[],38,9137,4221510997,[],"","M","F","","","F","NS","F","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
546,"Metadata/Items/Gems/SkillGemInfernalCry",18,1,1,"Infernal Cry","Cri infernal","Höllischer Schrei","インファーナルクライ","지옥불 함성","Clamor Infernal","Клич преисподней","Grito infernal","<size:37>{คำรามโลกันตร์}","煉獄戰吼","Metadata/Items/Gems/ActiveSkillGem",7,"",[],1,"",[],38,8837,2994966052,[],"","M","M","","","F","MS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
547,"Metadata/Items/Gems/SkillGemSeismicCry",18,1,1,"Seismic Cry","Cri sismique","Seismischer Schrei","サイズミッククライ","지진 함성","Clamor Sísmico","Сейсмический клич","Grito sísmico","<size:37>{คำรามก้องปฐพี}","裂地戰吼","Metadata/Items/Gems/ActiveSkillGem",42,"",[],1,"",[],38,9263,2414923194,[],"","M","M","","","F","MS","M","","","","",[],[],"","","","","","",[],293,"",0,[],[],[]
548,"Metadata/Items/Gems/SkillGemRollingMagma",18,1,1,"Rolling Magma","Magma déferlant","Magmakugel","ローリングマグマ","몰려오는 마그마","Esfera Magmática","Ползучая магма","Bola de magma","<size:37>{ลูกพลังหินหลอม}","熔岩翻騰","Metadata/Items/Gems/ActiveSkillGem",7,"",[],1,"","[301,302]",38,9125,1573718803,[],"","M","F","","","F","FS","F","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
549,"Metadata/Items/Gems/SkillGemFrostBomb",18,1,1,"Frost Bomb","Bombe de givre","Frostbombe","フロストボム","서리 폭탄","Bomba Congelante","Морозная бомба","Bomba de escarcha","<size:37>{ระเบิดน้ำแข็ง}","寒霜爆","Metadata/Items/Gems/ActiveSkillGem",1,"",[],1,"",[302],38,9129,3976132650,[],"","F","F","","","F","FS","F","","","","",[],[],"","","","","","",[],133,"",0,[],[],[]
550,"Metadata/Items/Gems/SkillGemOrbOfStorms",18,1,1,"Orb of Storms","Orbe des orages","Gewittersphäre","オーブオブストーム","폭풍 보주","Orbe Trovejante","Сфера бурь","Orbe de tormentas","<size:37>{ลูกแก้ววายุ}","風暴漩渦","Metadata/Items/Gems/ActiveSkillGem",7,"",[],1,"",[302],38,9134,1798282057,[],"","M","F","","","F","FS","M","","","","",[],[],"","","","","","",[],162,"",0,[],[],[]
551,"Metadata/Items/Gems/SkillGemEarthquake",18,1,1,"Earthquake","Séisme","Erdbeben","アースクエイク","지진","Terremoto","Землетрясение","Terremoto","<size:37>{แผ่นดินไหว}","震地","Metadata/Items/Gems/ActiveSkillGem",1,"",[],1,"",[],38,9146,3019601397,[],"","M","N","","","F","NS","M","","","","",[],[],"","","","","","",[],119,"",0,[],[],[]
552,"Metadata/Items/Gems/SkillGemContagion",18,1,1,"Contagion","Contagion","Verseuchung","コンテージョン","전염","Contágio","Инфекция","Contagio","<size:37>{โรคติดต่อ}","瘟疫","Metadata/Items/Gems/ActiveSkillGem",1,"",[],1,"",[302],38,9138,910679542,[],"","F","F","","","F","FS","M","","","","",[],[],"","","","","","",[],108,"",0,[],[],[]
553,"Metadata/Items/Gems/SkillGemWither",18,1,1,"Wither","Flétrissement","Verkümmern","ウィザー","위축","Definhar","Увядание","Marchitar","<size:37>{เหี่ยวเฉา}","死亡凋零","Metadata/Items/Gems/ActiveSkillGem",1,"",[],1,"",[],38,16401,1069933793,[],"","M","N","","","F","NS","M","","","","",[],[],"","","","","","",[],245,"",0,[],[],[]
554,"Metadata/Items/Gems/SkillGemEssenceDrain",18,1,1,"Essence Drain","Drain d'essence","Entkräften","エッセンスドレイン","정수 흡수","Dreno de Essência","Похищение сущности","Drenar esencia","<size:37>{ดูดแก่นแท้}","靈魂吸取","Metadata/Items/Gems/ActiveSkillGem",7,"",[],1,"",[],38,9140,2062255686,[],"","M","N","","","F","NS","M","","","","",[],[],"","","","","","",[],121,"",0,[],[],[]
555,"Metadata/Items/Gems/SkillGemSunder",18,1,1,"Sunder","Déferlement tellurique","Verwüsten","サンダー","산산조각","Partimento","Раскол","Fisurar","<size:37>{แผ่นดินแยก}","大地震擊","Metadata/Items/Gems/ActiveSkillGem",32,"",[],1,"",[],38,9148,3663821665,[],"","F","N","","","F","MS","M","","","","",[],[],"","","","","","",[],193,"",0,[],[],[]
556,"Metadata/Items/Gems/SkillGemFrostbolt",18,1,1,"Frostbolt","Globe de givre","Frostkugel","フロストボルト","서리 구체","Seta Gélida","Морозный шар","Descarga de escarcha","<size:37>{บอลเยือกแข็ง}","寒冰彈","Metadata/Items/Gems/ActiveSkillGem",15,"",[],1,"","[301,302]",38,9151,1869584817,[],"","M","F","","","F","MS","F","","","","",[],[],"","","","","","",[],131,"",0,[],[],[]
557,"Metadata/Items/Gems/SkillGemDarkPact",18,1,1,"Dark Pact","Sombre pacte","Finsterer Pakt","ダークパクト","어둠의 서약","Pacto Sombrio","Тёмный договор","Pacto oscuro","<size:37>{สัญญามืด}","暗夜血契","Metadata/Items/Gems/ActiveSkillGem",1,"",[],1,"",[],38,16401,2629953453,[],"","M","M","","","F","MS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
558,"Metadata/Items/Gems/SkillGemAbyssalPact",18,1,1,"Abyssal Pact","Abyssal Pact","Abyssal Pact","Abyssal Pact","Abyssal Pact","Abyssal Pact","Abyssal Pact","Abyssal Pact","Abyssal Pact","Abyssal Pact","Metadata/Items/Gems/ActiveSkillGem",1,"",[],1,"",[],38,16401,974675958,[],"","","","","","","","","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
559,"Metadata/Items/Gems/SkillGemVulnerability",18,1,1,"Vulnerability","Vulnérabilité","Verwundbarkeit","ヴァルネラビリティ","취약성","Vulnerabilidade","Беззащитность","Vulnerabilidad","<size:37>{บอบบาง}","脆弱","Metadata/Items/Gems/ActiveSkillGem",23,"",[],1,"",[],38,8928,3218957105,[],"","M","F","","","F","FS","F","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
560,"Metadata/Items/Gems/SkillGemSoulrend",18,1,1,"Soulrend","Déchirure d'âme","Seelenriss","ソウルレンド","영혼 분리","Rasgar Alma","Разрыв души","Desgarrador de almas","<size:37>{ฉีกวิญญาณ}","靈體撕裂","Metadata/Items/Gems/ActiveSkillGem",1,"",[],1,"",[],38,16401,3558288695,[],"","F","M","","","F","MS","F","","","","",[],[],"","","","","","",[],253,"",0,[],[],[]
561,"Metadata/Items/Gems/SupportGemCloseCombat",19,1,1,"Close Combat I","Combat rapproché I","Gefecht I","近距離戦闘 I","근접 전투 I","Combate Corpo a Corpo I","Бой вплотную I","Combate cercano I","Close Combat I","近身戰 I","Metadata/Items/Gems/SupportSkillGem",1,"",[],1,"",[],38,9217,947240231,[],"","M","N","","","F","MS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
562,"Metadata/Items/Gems/SupportGemCloseCombatTwo",19,1,1,"Close Combat II","Combat rapproché II","Gefecht II","近距離戦闘 II","근접 전투 II","Combate Corpo a Corpo II","Бой вплотную II","Combate cercano II","Close Combat II","近身戰 II","Metadata/Items/Gems/SupportSkillGem",1,"",[],1,"",[],38,9217,1516100904,[],"","M","N","","","F","MS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
563,"Metadata/Items/Gems/SkillGemPlagueBearer",18,1,1,"Plague Bearer","Porte-peste","Pestbringer","プレイグベアラー","독성 운반자","Porta-pestes","Носитель чумы","Portador de plaga","<size:37>{พาหะโรคระบาด}","病疫之難","Metadata/Items/Gems/ActiveSkillGem",11,"",[],1,"",[],38,9236,1564750657,[],"","M","M","","","F","MS","M","","","","",[],[],"","","","","","",[],326,"",0,[],[],[]
564,"Metadata/Items/Gems/SkillGemArtilleryBallista",18,1,1,"Siege Ballista","Baliste de siège","Belagerungsballiste","シージバリスタ","공성 쇠뇌","Balista de Cerco","Осадная баллиста","Balista de asedio","<size:35>{ป้อมเครื่องยิงทลายกำแพง}","攻城炮台","Metadata/Items/Gems/ActiveSkillGem",32,"",[],1,"",[],38,9252,3077588968,[],"","F","F","","","F","FS","F","","","","",[],[],"","","","","","",[],276,"",0,[],[],[]
565,"Metadata/Items/Gems/SkillGemEarthshatter",18,1,1,"Earthshatter","Pieux telluriques","Erdspalter","アースシャッター","지면 분쇄","Rachaterra","Разлом земли","Foco sísmico","<size:37>{พสุธาสะบั้น}","碎地重擊","Metadata/Items/Gems/ActiveSkillGem",23,"",[],1,"",[],38,9270,3597392700,[],"","MP","M","","","F","MS","M","","","","",[],[],"","","","","","",[],303,"",0,[],[],[]
566,"Metadata/Items/Gems/SkillGemSigilOfPower",18,1,1,"Sigil of Power","Sceau de pouvoir","Rune der Macht","シギルオブパワー","힘의 부적","Signo do Poder","Печать силы","Runa de poder","<size:37>{ตราสัญลักษณ์แห่งพลัง}","咒符之力","Metadata/Items/Gems/ActiveSkillGem",1,"",[],1,"",[],38,16401,1231365832,[],"","M","F","","","F","FS","F","","","","",[],[],"","","","","","",[],309,"",0,[],[],[]
567,"Metadata/Items/Gems/SkillGemSigilOfLife",18,1,1,"Rite of Restoration","Rite de restauration","Ritus der Wiederherstellung","ライトオブレストレーション","재생의 의례","Rito da Restauração","Ритуал восстановления","Rito de restauración","<size:37>{พิธีกรรมฟื้นฟู}","新生之儀","Metadata/Items/Gems/ActiveSkillGem",1,"",[],1,"",[],38,16401,827792333,[],"","M","M","","","F","MS","M","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
568,"Metadata/Items/Gems/SkillGemFlameWall",18,1,1,"Flame Wall","Mur de flammes","Feuermauer","フレイムウォール","화염 벽","Parede de Fogo","Стена пламени","Muro de fuego","<size:37>{กำแพงไฟ}","烈焰之牆","Metadata/Items/Gems/ActiveSkillGem",1,"",[],1,"",[],38,9271,4055110113,[],"","M","F","","","F","FS","M","","","","",[],[],"","","","","","",[],307,"",0,[],[],[]
569,"Metadata/Items/Gems/SkillGemHexblast",18,1,1,"Hexblast","Explosion calamiteuse","Explodierende Verhexung","ヘックスブラスト","사술 폭발","Feitiço Explosivo","Взрыв порчи","Explosión maléfica","<size:37>{ระเบิดคำสาป}","咒術枯萎","Metadata/Items/Gems/ActiveSkillGem",42,"",[],1,"",[],38,9276,1931224021,[],"","F","F","","","F","MS","M","","","","",[],[],"","","","","","",[],144,"",0,[],[],[]
570,"Metadata/Items/Gems/SkillGemExsanguinate",18,1,1,"Exsanguinate","Exsanguination","Ausbluten","イグザングイネイト","방혈","Dessangrar","Обескровливание","Desangrar","<size:37>{โลหิตชอนไช}","抽血","Metadata/Items/Gems/ActiveSkillGem",1,"",[],1,"",[],38,16401,2105729007,[],"","F","N","","","F","NS","F","","","","",[],[],"","","","","","",[],332,"",0,[],[],[]
571,"Metadata/Items/Gems/SkillGemReap",18,1,1,"Reap","Fauchage","Sense","リープ","낫질","Ceifar","Кровавая жатва","Siega","<size:37>{เคียวเก็บเกี่ยว}","收割","Metadata/Items/Gems/ActiveSkillGem",1,"",[],1,"",[],38,16401,244215529,[],"","M","F","","","F","FS","F","","","","",[],[],"","","","","","",[],"","",0,[],[],[]
