"rownum","NPCKey","i32_16","DialogueOption","DialogueOption (French)","DialogueOption (German)","DialogueOption (Japanese)","DialogueOption (Korean)","DialogueOption (Portuguese)","DialogueOption (Russian)","DialogueOption (Spanish)","DialogueOption (Thai)","DialogueOption (Traditional Chinese)","[rid]_28","[rid]_44","[rid]_60","Script","QuestFlags1","Category","QuestRewardOffersKey","QuestFlag2","NPCTextAudioKeys","Script2","bool_172","bool_173","[i32]_174","[i32]_190","i32_206","[i32]_210","[i32]_226","bool_242","BaseItemTypes","[i32]_259","bool_275","DialogueOption2","ConsoleQuickAction","Music1","i32_316","[rid]_320","i32_336","Music2","i32_356","QuestFlag3","bool_376","i32_377","row_381","TalkDialogue","bool_405","Ascendancy","bool_422"
732,552,16,"Plunder's Point","La Pointe du pillage","Plündererklippe","略奪の岬","약탈의 거점","Ponto dos Saqueadores","Мыс грабителя","Punta del botín","จุดนักปล้นสะดม","掠奪者之角",[5171],[340],[],"",[],6,"",72,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[309],"",[],""
733,552,17,"Isle of Kin","L'Île de la Marmaille","Insel der Kin","キンの島","혈족의 섬","Ilha da Família","Остров Рода","Isla del clan","เกาะคิน","金氏島","[3861,340]",[4622],[],"",[],6,"",72,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"",1,0,"",[293],"",[],""
734,552,18,"Isle of Kin","L'Île de la Marmaille","Insel der Kin","キンの島","혈족의 섬","Ilha da Família","Остров Рода","Isla del clan","เกาะคิน","金氏島","[4622,340]",[],[],"",[],6,"",72,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"",1,0,"",[294],"",[],""
735,552,19,"Kedge Bay","La Baie des Ancres","Ankerbucht","ケッジ湾","닻의 만","Baía Ancoreta","Кеджский залив","Bahía de las anclas","อ่าวเค็ดจ์","凱吉灣","[3861,340]",[4281],[],"",[],6,"",72,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"",1,0,"",[295],"",[],""
736,552,20,"Kedge Bay","La Baie des Ancres","Ankerbucht","ケッジ湾","닻의 만","Baía Ancoreta","Кеджский залив","Bahía de las anclas","อ่าวเค็ดจ์","凱吉灣","[4281,340]",[],[],"",[],6,"",72,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"",1,0,"",[296],"",[],""
737,552,21,"Whakapanu Island","L'Île de Whakapanu","Insel Whakapanu","ワーカパヌ島","와카파누 섬","Ilha Whakapanu","Остров Вакапану","Isla Whakapanu","เกาะฟาคาปานู","瓦卡帕努島","[3861,340]",[4625],[],"",[],6,"",72,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"",1,0,"",[297],"",[],""
738,552,22,"Whakapanu Island","L'Île de Whakapanu","Insel Whakapanu","ワーカパヌ島","와카파누 섬","Ilha Whakapanu","Остров Вакапану","Isla Whakapanu","เกาะฟาคาปานู","瓦卡帕努島","[4625,340]",[],[],"",[],6,"",72,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"",1,0,"",[298],"",[],""
739,552,23,"Abandoned Prison","La Prison abandonnée","Aufgegebenes Gefängnis","放棄された監獄","버려진 감옥","Prisão Abandonada","Заброшенная тюрьма","Prisión abandonada","เรือนจำร้าง","廢棄監獄","[3861,340]",[4627],[],"",[],6,"",72,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"",1,0,"",[299],"",[],""
740,552,24,"Abandoned Prison","La Prison abandonnée","Aufgegebenes Gefängnis","放棄された監獄","버려진 감옥","Prisão Abandonada","Заброшенная тюрьма","Prisión abandonada","เรือนจำร้าง","廢棄監獄","[4627,340]",[],[],"",[],6,"",72,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"",1,0,"",[300],"",[],""
741,552,25,"Shrike Island","L'Île des Pies-grièches","Die Würgerinsel","モズの島","때까치 섬","Ilha dos Peneireiros","Остров сорокопутов","Isla de los alcaudones","เกาะไชร์ค","伯勞鳥之島","[3861,340]",[],[],"",[],6,"",72,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"",1,0,"",[303],"",[],""
742,552,26,"Eye of Hinekora","Œil d'Hinekora","Auge von Hinekora","ヒネコラの目","히네코라의 눈","Olho de Hinekora","Глаз Хинекоры","Ojo de Hinekora","ดวงตาแห่งฮิเนโครา","悉妮蔻拉之眼","[3878,340]",[300],[],"",[],6,"",72,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[301],"",[],""
743,552,27,"Eye of Hinekora","Œil d'Hinekora","Auge von Hinekora","ヒネコラの目","히네코라의 눈","Olho de Hinekora","Глаз Хинекоры","Ojo de Hinekora","ดวงตาแห่งฮิเนโครา","悉妮蔻拉之眼","[300,340]",[],[],"",[],6,"",72,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[302],"",[],""
744,552,28,"Arastas","Arastas","Arastas","アラスタス","아라스타스","Arastas","Арастас","Arastas","อะราสตาส์","阿拉塔斯","[3861,340]",[345],[],"",[],6,"",72,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[304],"",[],""
745,552,29,"Arastas","Arastas","Arastas","アラスタス","아라스타스","Arastas","Арастас","Arastas","อะราสตาส์","阿拉塔斯","[345,340]",[],[],"",[],6,"",72,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[305],"",[],""
746,552,30,"Ngakanu","Ngakanu","Ngakanu","ナカヌ","응가카누","Ngakanu","Нгакану","Ngakanu","นาคานู","尼加卡努","[3861,340]",[5168],[],"",[],6,"",72,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[306],"",[],""
747,552,31,"Ngakanu","Ngakanu","Ngakanu","ナカヌ","응가카누","Ngakanu","Нгакану","Ngakanu","นาคานู","尼加卡努","[5168,340]",[],[],"",[],6,"",72,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[307],"",[],""
748,552,32,"Plunder's Point","La Pointe du pillage","Plündererklippe","略奪の岬","약탈의 거점","Ponto dos Saqueadores","Мыс грабителя","Punta del botín","จุดนักปล้นสะดม","掠奪者之角","[33,340]",[5171],[],"",[],6,"",72,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[308],"",[],""
749,552,33,"Plunder's Point","La Pointe du pillage","Plündererklippe","略奪の岬","약탈의 거점","Ponto dos Saqueadores","Мыс грабителя","Punta del botín","จุดนักปล้นสะดม","掠奪者之角","[5171,340]",[],[],"",[],6,"",72,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[309],"",[],""
750,500,0,"Introduction","Présentations","Einführung","自己紹介","소개","Apresentação","Приветствие","Presentación","แนะนำตัว","介紹",[],[],[592],"",[592],6,"",592,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"",1,0,"",[201],"",[],""
751,500,1,"The Weapon","L'Arme","Die Waffe","武器","무기","A Arma","Оружие","El arma","ศัสตราวุธ","武器",[324],[325],[593],"",[],3,"",593,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[202],"",[],""
752,500,2,"The Weapon","L'Arme","Die Waffe","武器","무기","A Arma","Оружие","El arma","ศัสตราวุธ","武器",[325],[326],[594],"",[],3,"",594,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[203],"",[],""
753,500,3,"The Weapon","L'Arme","Die Waffe","武器","무기","A Arma","Оружие","El arma","ศัสตราวุธ","武器",[326],[345],[595],"",[],3,"",595,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[204],"",[],""
754,500,4,"Tasalio Tribe","Tribu de Tasalio","Tasalio-Stamm","タサリオ族","타살리오 부족","Tribo Tasalio","Племя Тасалио","Tribu de Tasalio","เผ่าทาเซลีโอ","塔薩里奧部族",[],[],[596],"",[],3,"",596,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[205],"",[],""
755,500,5,"Makoru","Makoru","Makoru","マコル","마코루","Makoru","Макору","Makoru","มาโครู","瑪寇魯","[596,4186]",[345],[597],"",[],3,"",597,[],"","","",[],[],4839,[],[],"","",[],"","","",182,57,[],57,"",0,"","",0,"",[206],"",[],""
756,500,6,"Makoru","Makoru","Makoru","マコル","마코루","Makoru","Макору","Makoru","มาโครู","瑪寇魯","[596,4186,375]",[],[597],"",[],3,"",597,[],"","","",[],[],4839,[],[],"","",[],"","","",182,57,[],57,"",0,"","",0,"",[206],"",[],""
757,500,7,"Aurora May","Faveur de l'Aurore","Aurora May","オーロラ・メイ号","오로라 메이","Aurora-guia","«Зов Авроры»","Aurora May","ออโรร่า เมย์","曙光之願",[597],[],[598],"",[],3,"",598,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[207],"",[],""
758,500,8,"The Way","La Voie","Der Kodex","カルイの道","길","O Modo","Путь","La tradición","วิถี","道路",[598],[],[599],"",[],3,"",599,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[208],"",[],""
759,520,0,"Return to Ship","Retourner au navire","Rückkehr zum Schiff","船に戻る","배로 돌아가기","Voltar ao Navio","Вернуться на корабль","Regresar al barco","กลับเรือ","返回船上",[],[3953],[],"triggerer.DispatchRulesetEvent(returntoboat); triggerer.FinishNPCChat();",[],6,"",72,[],"","","",[],[],4839,[],[],"","",[1],"","",1,"",57,[],57,"",0,"",1,0,"",[],"",[],""
760,520,1,"The Weapon","L'Arme","Die Waffe","武器","무기","A Arma","Оружие","El arma","ศัสตราวุธ","武器",[324],[325],[593],"",[],3,"",593,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[202],"",[],""
761,520,2,"The Weapon","L'Arme","Die Waffe","武器","무기","A Arma","Оружие","El arma","ศัสตราวุธ","武器",[325],[326],[594],"",[],3,"",594,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[203],"",[],""
762,520,3,"The Weapon","L'Arme","Die Waffe","武器","무기","A Arma","Оружие","El arma","ศัสตราวุธ","武器",[326],[345],[595],"",[],3,"",595,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[204],"",[],""
763,520,4,"Tasalio Tribe","Tribu de Tasalio","Tasalio-Stamm","タサリオ族","타살리오 부족","Tribo Tasalio","Племя Тасалио","Tribu de Tasalio","เผ่าทาเซลีโอ","塔薩里奧部族",[],[],[596],"",[],3,"",596,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[205],"",[],""
764,520,5,"Aurora May","Faveur de l'Aurore","Aurora May","オーロラメイ号","오로라 메이","Aurora-guia","«Майская Аврора»","Aurora May","เรือออโรร่า เมย์","曙光之願",[597],[],[598],"",[],3,"",598,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[207],"",[],""
765,520,6,"The Way","La Voie","Der Kodex","道","길","O Modo","Путь","La tradición","วิถี","道路",[598],[],[599],"",[],3,"",599,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[208],"",[],""
766,505,0,"Travel to Shore","Voyager vers la terre","Reise zum Ufer","海岸へ向かう","바닷가로 이동하기","Ir à Enseada","Сойти на берег","Viajar a la orilla","ลงไปยังชายฝั่ง","前往海岸",[],[3953],[],"triggerer.DispatchRulesetEvent(rowtoshore); triggerer.FinishNPCChat();",[],6,"",72,[],"","","",[],[],4839,[],[],"","",[1],"","",1,"",57,[],57,"",0,"",1,0,"",[],"",[],""
767,506,0,"Return to Ship","Retourner au bateau","Rückkehr zum Schiff","船に戻る","배로 돌아가기","Voltar ao Navio","Вернуться на корабль","Regresar al barco","กลับเรือ","返回船上",[],[3953],[],"triggerer.DispatchRulesetEvent(returntoboat); triggerer.FinishNPCChat();",[],6,"",72,[],"","","",[],[],4839,[],[],"","",[1],"","",1,"",57,[],57,"",0,"",1,0,"",[],"",[],""
768,506,1,"Kanu","Kanu","Kanu","カヌ","카누","Kanu","Кану","Kanu","คานู","卡努",[],[],[811],"",[],3,"",811,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[327],"",[],""
769,506,2,"Makoru","Makoru","Makoru","マコル","마코루","Makoru","Макору","Makoru","มาโครู","瑪寇魯",[811],[375],[812],"",[],3,"",812,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[328],"",[],""
770,506,3,"Best Recipes","Meilleures recettes","Beste Rezepte","最高のレシピ","최고의 조합법","Melhores Receitas","Лучшие рецепты","Mejores recetas","สูตรอาหารที่ดีที่สุด","精選配方",[],[],[813],"",[],3,"",813,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[329],"",[],""
771,506,4,"Makoru","Makoru","Makoru","マコル","마코루","Makoru","Макору","Makoru","มาโครู","瑪寇魯",[375],[],[814],"",[],3,"",814,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[330],"",[],""
772,501,0,"Introduction","Présentations","Einführung","自己紹介","소개","Apresentação","Приветствие","Presentación","แนะนำตัว","介紹",[345],[375],[373],"",[373],6,"",373,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"",1,0,"",[326],"",[],""
773,501,1,"Set Sail","Mettre les voiles","Setzt die Segel","出航する","출항하기","Zarpar","Поднять паруса","Zarpar","ออกเรือ","啟航",[340],"[3953,375]",[],"triggerer.SendOpenScreen( WaypointScreen, this, 3 ); triggerer.FinishNPCChat();",[],6,"",72,[],"PlayTextAudio( Rhodri_OpenMap_Random, 'Metadata/NPC/Four_Act4/LilyRothsCrew/LilyRothsCrewBrawnTown' ); ","","",[],[],4839,[],[],"","",[1],1,"",1,"",57,[],57,"",0,"","",0,"",[],"",[],""
774,501,2,"Kanu","Kanu","Kanu","カヌ","카누","Kanu","Кану","Kanu","คานู","卡努",[],[],[811],"",[],3,"",811,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[327],"",[],""
775,501,3,"Makoru","Makoru","Makoru","マコル","마코루","Makoru","Макору","Makoru","มาโครู","瑪寇魯",[811],[375],[812],"",[],3,"",812,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[328],"",[],""
776,501,4,"Best Recipes","Meilleures recettes","Beste Rezepte","最高のレシピ","최고의 조합법","Melhores Receitas","Лучшие рецепты","Mejores recetas","สูตรอาหารที่ดีที่สุด","精選配方",[],[],[813],"",[],3,"",813,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[329],"",[],""
777,501,5,"Makoru","Makoru","Makoru","マコル","마코루","Makoru","Макору","Makoru","มาโครู","瑪寇魯",[375],[],[814],"",[],3,"",814,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[330],"",[],""
778,501,6,"Plunder's Point","La Pointe du pillage","Plündererklippe","略奪の岬","약탈의 거점","Ponto dos Saqueadores","Мыс грабителя","Punta del botín","จุดนักปล้นสะดม","掠奪者之角","[13,15,17,19]",[1538],[1538],"triggerer.SendOpenScreen( WaypointScreen, 0, 3 ); triggerer.FinishNPCChat();",[1538],6,"",1538,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"",1,0,"",[700],"",[],""
779,502,0,"Arastas","Arastas","Arastas","アラスタス","아라스타스","Arastas","Арастас","Arastas","อะราสตาส์","阿拉塔斯","[3861,340]",[375],[],"",[],6,"",72,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[466],"",[],""
780,502,1,"Eye of Hinekora","Œil d'Hinekora","Auge von Hinekora","ヒネコラの目","히네코라의 눈","Olho de Hinekora","Глаз Хинекоры","Ojo de Hinekora","ดวงตาแห่งฮิเนโครา","悉妮蔻拉之眼","[3878,340]","[300,375]",[],"",[],6,"",72,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[467],"",[],""
781,502,2,"Eye of Hinekora","Œil d'Hinekora","Auge von Hinekora","ヒネコラの目","히네코라의 눈","Olho de Hinekora","Глаз Хинекоры","Ojo de Hinekora","ดวงตาแห่งฮิเนโครา","悉妮蔻拉之眼","[300,340]",[375],[],"",[],6,"",72,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[468],"",[],""
782,502,3,"Isle of Kin","L'Île de la Marmaille","Insel der Kin","キンの島","혈족의 섬","Ilha da Família","Остров Рода","Isla del clan","เกาะคิน","金氏島","[3861,340]","[3878,375]",[],"",[],6,"",72,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[469],"",[],""
783,502,4,"Isle of Kin","L'Île de la Marmaille","Insel der Kin","キンの島","혈족의 섬","Ilha da Família","Остров Рода","Isla del clan","เกาะคิน","金氏島","[3878,340]",[375],[],"",[],6,"",72,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[470],"",[],""
784,502,5,"Kedge Bay","La Baie des Ancres","Ankerbucht","ケッジ湾","닻의 만","Baía Ancoreta","Кеджский залив","Bahía de las anclas","อ่าวเค็ดจ์","凱吉灣","[3861,340]","[4281,375]",[],"",[],6,"",72,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[471],"",[],""
785,502,6,"Kedge Bay","La Baie des Ancres","Ankerbucht","ケッジ湾","닻의 만","Baía Ancoreta","Кеджский залив","Bahía de las anclas","อ่าวเค็ดจ์","凱吉灣","[4281,340]",[375],[],"",[],6,"",72,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[472],"",[],""
786,502,7,"Ngakanu","Ngakanu","Ngakanu","ナカヌ","응가카누","Ngakanu","Нгакану","Ngakanu","นาคานู","尼加卡努","[3861,340]",[375],[],"",[],6,"",72,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[473],"",[],""
787,502,8,"Plunder's Point","La Pointe du pillage","Plündererklippe","略奪の岬","약탈의 거점","Ponto dos Saqueadores","Мыс грабителя","Punta del botín","จุดนักปล้นสะดม","掠奪者之角","[33,340]","[5171,375]",[],"",[],6,"",72,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[474],"",[],""
788,502,9,"Plunder's Point","La Pointe du pillage","Plündererklippe","略奪の岬","약탈의 거점","Ponto dos Saqueadores","Мыс грабителя","Punta del botín","จุดนักปล้นสะดม","掠奪者之角","[5171,340]",[375],[],"",[],6,"",72,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[475],"",[],""
789,502,10,"Abandoned Prison","La Prison abandonnée","Aufgegebenes Gefängnis","放棄された監獄","버려진 감옥","Prisão Abandonada","Заброшенная тюрьма","Prisión abandonada","เรือนจำร้าง","廢棄監獄","[3861,340]","[4627,375]",[],"",[],6,"",72,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[476],"",[],""
790,502,11,"Abandoned Prison","La Prison abandonnée","Aufgegebenes Gefängnis","放棄された監獄","버려진 감옥","Prisão Abandonada","Заброшенная тюрьма","Prisión abandonada","เรือนจำร้าง","廢棄監獄","[4627,340]",[375],[],"",[],6,"",72,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[477],"",[],""
791,502,12,"Shrike Island","L'Île des Pies-grièches","Die Würgerinsel","モズの島","때까치 섬","Ilha dos Peneireiros","Остров сорокопутов","Isla de los alcaudones","เกาะไชร์ค","伯勞鳥之島","[3861,340]",[375],[],"",[],6,"",72,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[478],"",[],""
792,502,13,"Whakapanu Island","L'Île de Whakapanu","Insel Whakapanu","ワーカパヌ島","와카파누 섬","Ilha Whakapanu","Остров Вакапану","Isla Whakapanu","เกาะฟาคาปานู","瓦卡帕努島","[3861,340]","[4625,375]",[],"",[],6,"",72,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[479],"",[],""
793,502,14,"Whakapanu Island","L'Île de Whakapanu","Insel Whakapanu","ワーカパヌ島","와카파누 섬","Ilha Whakapanu","Остров Вакапану","Isla Whakapanu","เกาะฟาคาปานู","瓦卡帕努島","[4625,340]","[492,375]",[],"",[],6,"",72,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[481],"",[],""
794,502,15,"Whakapanu Island","L'Île de Whakapanu","Insel Whakapanu","ワーカパヌ島","와카파누 섬","Ilha Whakapanu","Остров Вакапану","Isla Whakapanu","เกาะฟาคาปานู","瓦卡帕努島","[492,340]",[375],[],"",[],6,"",72,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[480],"",[],""
795,545,0,"Kingsmarch","Marcheroi","Königsmark","キングスマーチ","킹스마치","Kingsmarch","Кингсмарш","Marca del rey","คิงส์มาร์ช","金司馬區",[4001],[3965],[2006],"",[2006],6,"",2006,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"",1,0,"",[15],"",[],""
796,545,1,"Charter","Charte","Mieten","チャーター","용선 증서","Carta de Navegação","Подорожная грамота","Alquiler","สัญญาเช่าเรือ","特許證",[2006],[],[5086],"",[5086],7,33,5086,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"",1,0,"",[],"",[],""
797,545,2,"Kingsmarch","Marcheroi","Königsmark","キングスマーチ","킹스마치","Kingsmarch","Кингсмарш","Marca del rey","คิงส์มาร์ช","金司馬區",[5086],[],[3965],"triggerer.FinishNPCChat(); CallOnClient( IntroLeavingDialogue, triggerer); Delay( 0.2, { globals.rog_intro.CallOnClient( IntroLeavingDialogue, triggerer); } );",[3965],6,"",3965,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"",1,0,"",[16],"",[],""
798,548,0,"Currency Exchange","Marché d'échange","Währungsmarkt","カレンシー交換","화폐 교환","Câmbio","Обмен валюты","Intercambio de objetos","ค้าเงินตรา","通貨交易",[3861],[],[],"triggerer.SendOpenScreen( CurrencyExchangeWindow ); triggerer.FinishNPCChat();",[],31,"",72,[],"","","",[],[],4839,[],[],"","",[1],"","",4,"",57,[],57,"",0,"","",0,"",[],"",[],""
799,548,1,"Introduction","Présentations","Einführung","自己紹介","소개","Apresentação","Приветствие","Presentación","แนะนำตัว","介紹",[],[],[479],"",[479],6,"",479,[],"","","",[],[],4839,[4216],[],"","",[],"","","","",57,[],57,"",0,"",1,0,"",[331],"",[],""
800,548,2,"Singing Caverns","Les Cavernes chantonnantes","Singende Höhlen","歌う大洞窟","노래하는 암굴","Cavernas Cantoras","Поющие пещеры","Cavernas melodiosas","ถ้ำขับขาน","吟謠洞窟",[4625],[],[482],"",[482],6,"",482,[],"","","",[],[],4839,[4216],[],"","",[],"","","","",57,[],57,"",0,"",1,0,"",[332],"",[],""
801,548,3,"Travel to Shoreline Hideout","Aller au Repaire Littoral","Reist zur Versteckten Küste","海岸線の隠れ家に移動する","해안선 은신처로 이동","Ir ao Refúgio da Costa","Отправиться в Убежище на берегу","Viajar a la Guarida de ribera","เดินทางไปยังที่ซ่อนชายทะเล","前往藏身處：海岸線",[482],[493],[],"triggerer.AreaTransitionTo(MapHideoutShoreline_Claimable, false, 0.1); triggerer.FinishNPCChat();",[],6,"",72,[],"","","",[],[],4839,[4216],[],"","",[],1,"","","",57,[],57,"",0,"",1,0,"",[],"",[],""
802,548,4,"Select Hideout","Sélectionner un Repaire","Versteck wählen","隠れ家を選ぶ","은신처 선택","Selecionar Refúgio","Сменить убежище","Seleccionar guarida","เลือกที่ซ่อน","選擇藏身處",[],[],[],"triggerer.SendOpenScreen( HideoutSelectionWindow, 0 ); triggerer.FinishNPCChat();",[],23,"",72,[],"","","",[],[3],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[],"",[],""
803,548,5,"Learning From Rog","Apprendre auprès de Rog","Von Rog lernen","ログから学んだこと","로그의 가르침","Aprendendo com Rog","Учёба у Рога","Aprender de Rog","บทเรียนจากร็อก","向羅格學習的感覺",[2181],[],[1991],"",[],3,"",1991,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[335],"",[],""
804,548,6,"Learning From Faustus","Apprendre auprès de Faustus","Von Faustus lernen","ファースタスから学んだこと","파우스투스의 가르침","Aprendendo com Faustus","Учёба у Фауста","Aprender de Faustus","บทเรียนจากฟาวทัส","向弗斯特學習的感覺",[],[],[1986],"",[],3,"",1986,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[336],"",[],""
805,548,7,"Learning From Tujen","Apprendre auprès de Tujen","Von Tujen lernen","トゥージェンから学んだこと","투젠의 가르침","Aprendendo com Tujen","Учёба у Туджина","Aprender de Tujen","บทเรียนจากทูเจน","向圖貞學習的感覺",[2180],[],[1987],"",[],3,"",1987,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[337],"",[],""
806,548,8,"The End Of The World","La Fin du Monde","Das Ende der Welt","世界の終わり","세상의 끝","O Fim do Mundo","Конец света","El fin del mundo","วันสิ้นโลก","世界末日",[5168],[59],[1999],"",[1999],3,"",1999,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[338],"",[],""
807,549,0,"Intruders","Intrus","Eindringlinge","不法侵入者","침입자","Intrusos","Чужаки","Intrusos","ผู้บุกรุก","入侵者",[],[833],[832],"",[832],6,"",832,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"",1,0,"",[465],"",[],""
808,549,1,"Hideout","Repaire","Versteck","隠れ家","은신처","Refúgio","Убежище","Guarida","ที่ซ่อน","藏身處",[833],[],[1992],"",[1992],3,"",1992,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,"",0,"",1,0,"",[333],"",[],""
809,549,2,"Select Hideout","Sélectionner un Repaire","Versteck wählen","隠れ家を選ぶ","은신처 선택","Selecionar Refúgio","Сменить убежище","Seleccionar guarida","เลือกที่ซ่อน","選擇藏身處",[833],[],[],"triggerer.SendOpenScreen( HideoutSelectionWindow, 0, GetObjectId() ); triggerer.FinishNPCChat();",[],23,"",72,[],"","","",[],[3],4839,[],[],"","",[],"","","","",57,[],57,"",0,"","",0,"",[],"",[],""
810,512,0,"Dark Mists","Les Brumes obscures","Dunkle Nebel","闇の霧","어둑한 안개","Brumas Sombrias","Тёмные туманы","Nieblas oscuras","หมอกมืดมน","暗黑迷霧",[3864],"[3865,321]",[321],"",[321],6,"",321,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,187,0,"",1,0,"",[35],"",[],""
811,512,1,"Dark Mists","Les Brumes obscures","Dunkle Nebel","闇の霧","어둑한 안개","Brumas Sombrias","Тёмные туманы","Nieblas oscuras","หมอกมืดมน","暗黑迷霧",[4187],"[3864,3865,321]",[321],"",[321],6,"",321,[],"","","",[],[],4839,[],[],"","",[],"","","","",57,[],57,187,0,"",1,0,"",[33],"",[],""
