"rownum","Id","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","SetId","Objective","Objective (French)","Objective (German)","Objective (Japanese)","Objective (Korean)","Objective (Portuguese)","Objective (Russian)","Objective (Spanish)","Objective (Thai)","Objective (Traditional Chinese)","HASH16","bool_30","HideAchievementItems","bool_32","MinCompletedItems","TwoColumnLayout","ShowItemCompletionsAsOne","string_39","SoftcoreOnly","HardcoreOnly","bool_49","string_50","string_58","string_66"
34,"30SupportGems","Crowded Circuits","Circuits Chargés","Schillernde Schaltkreise","過密な回路","북적거리는 회로","Circuitos Sobrecarregados","Сложные связи","Circuitos cargados","วงจรอัดแน่น","擁擠之環",2,"Have 10 Green, Red and Blue Support Gems socketed in your Skills.","Ayez 10 Gemmes de soutien vertes, rouges et bleues enchâssées dans vos Aptitudes.","Habt 10 grüne, rote und blaue Unterstützungsgemmen in Euren Fertigkeiten eingefasst.","スキルに10個の緑、赤、青のサポートジェムをソケットせよ。","스킬에 초록색, 빨간색, 파란색 보조 젬을 10개 삽입하십시오.","Tenha 10 Gemas de Suporte Verdes, Vermelhas e Azuis encaixadas em suas Habilidades.","Поместите 10 зелёных, красных и синих камней поддержки в ваши умения.","Ten 10 gemas de asistencia verdes, rojas y azules engarzadas en tus habilidades.","ใส่ หินเสริม สีเขียว, แดง, ฟ้า อย่าง​ละ 10 เม็ด​ใน​สกิล​ของ​คุณ","將 10 顆綠色、紅色和藍色的輔助寶石放入技能的插槽。",20991,"",1,"",0,1,"","","","","","","",""
35,"CorruptEnchant","Chaotic Creations","Créations Chaotiques","Kapriziöse Konstruktionen","カオスによる創造物","혼돈의 피조물","Criações Caóticas","Сумбурное созидание","Creaciones caóticas","ผลผลิตเคออส","混沌的創造物",2,"Add a Corruption Enchantment to an item.","Ajoutez un Enchantement de Corruption à un objet.","Verderbt einen Gegenstand, sodass er eine Verzauberung erhält.","アイテムにコラプトエンチャントを追加せよ。","아이템에 타락 인챈트를 추가하십시오.","Adicione um Encantamento de Corrupção em um item.","Добавьте предмету зачарование осквернением.","Agrega un encantamiento de corrupción a un objeto.","ใส่ เอนแชนท์มลทิน ให้​กับ​ไอเทม","新增腐化附魔至一件物品上。",3117,"",1,"",0,1,"","","","","","","",""
36,"SoulCores","Soul Surge","Âme Augmentée","Seelensucher","魂の高まり","영혼 쇄도","Surto D'alma","Добротные души","Auge de almas ","วิญญาณเวียนว่าย","靈魂翻湧",2,"Have at least 5 Soul Cores socketed in your Equipment.","Ayez au moins 5 Noyaux d'âme enchâssés dans votre Équipement.","Verfügt über mindestens 5 eingefasste Seelenkerne in Eurer Ausrüstung.","装備に5個以上のソウルコアをソケットせよ。","장비에 영혼 핵을 5개 이상 삽입하십시오.","Tenha ao menos 5 Núcleos D'alma encaixados em seus Equipamentos.","Поместите в ваше снаряжение как минимум 5 Ядер душ.","Ten al menos 5 núcleos de alma engarzados en tu equipamiento.","ใส่ แกนวิญญาณ อย่าง​น้อย 5 ชิ้น​ใน​ไอเทมสวมใส่​ของ​คุณ","至少將 5 顆靈魂核心鑲嵌至你的裝備。",6202,"",1,"",0,1,"","","","","","","",""
37,"Attribute300","Accumulated Attributes","Attributs Accumulés","Angehäufte Attribute","蓄積された能力値","누적된 능력치","Atributos Acumulados","Хорошие характеристики","Atributos acumulados","สั่งสมคุณสมบัติ","累積能力值",2,"Reach at least 300 of any single Attribute.","Atteignez au moins 300 d'un même Attribut.","Erreicht mindestens 300 mit einem beliebigen Attribut.","いずれか一つの能力値で300以上に到達せよ。","아무 능력치나 300 이상에 도달하십시오.","Atinja ao menos 300 de um único Atributo qualquer.","Достигните показателя в как минимум 300 ед. любой характеристики.","Ten al menos 300 puntos de un atributo.","มี ค่าคุณสมบัติ ชนิด​หนึ่ง​อย่าง​น้อย 300","使任何一種能力值至少達到 300。",15246,"",1,"",0,1,"","","","","","","",""
38,"ResistAllElements75%","Resistant Resilience","Résilience Résistante","Wirksame Widerstände","強靭な耐性","끈기 있는 저항","Resiliência Resistente","Стойкое сопротивление","Resiliencia resistente","ต้านทานกร้านโลก","抵抗韌性",2,"Have at least 75% Cold, Fire, Lightning and Chaos resistance.","Ayez au moins 75% de Résistance au froid, au feu, à la foudre et au chaos.","Erreicht mindestens 75% Kälte-, Feuer-, Blitz- und Chaoswiderstand.","火、冷気、雷、混沌耐性を75%以上にしろ。","냉기, 화염, 번개, 카오스 저항을 75% 이상으로 올리십시오.","Tenha ao menos 75% de Resistência a Gelo, Fogo, Raio e Caos.","Добейтесь как минимум 75% сопротивления холоду, огню, молнии и хаосу.","Ten al menos 75% de resistencia al hielo, fuego, rayo y caos.","มี​ค่าต้านทาน น้ำแข็ง, ไฟ, สายฟ้า, เคออส อย่าง​น้อย​อย่าง​ละ 75%","擁有至少 75% 冰冷、火焰、閃電和混沌抗性。",15232,"",1,"",0,1,"","","","","","","",""
39,"MillionGold","Coin Collector","Percepteur de Pièces","Hüter des Horts","コインコレクター","동전 수집가","Coletor de Moedas","Крупный капиталист","Monopolio de monedas","สะสมระดมเหรียญ","金幣收藏家",2,"Have at least 1,000,000 gold.","Ayez au moins 1 000 000 d'or.","Besitzt mindestens 1.000.000 Gold.","ゴールドを1,000,000以上所持しろ。","1,000,000골드 이상을 보유하십시오.","Tenha ao menos 1,000,000 de ouro.","Накопите как минимум 1 000 000 золота.","Ten al menos 1 000 000 de oro.","มี ทอง อย่าง​น้อย 1,000,000","至少擁有 1,000,000 金幣。",-413,"",1,"",0,1,"","","","","","","",""
40,"RareChests","Chest Cracker","Craqueur de Coffres","Truhentechniker","箱を叩き開けるもの","상자 파괴자","Quebra-Tórax","Сокрушитель сундуков","Cerrajero de cofres","จอมโจรปล้นหีบ","開箱專家",2,"Open 50 Rare Chests.","Ouvrez 50 Coffres Rares.","Öffnet 50 seltene Truhen.","レアチェストを50個開け。","희귀 상자를 50개 엽니다.","Abra 50 Baús Raros.","Откройте 50 редких сундуков.","Abre 50 cofres raros.","เปิด หีบ​แรร์ 50 ใบ","開啟 50 個稀有箱子。",-2807,"",1,"",0,1,"","","","","","","",""
41,"UniquesEquipped","Legendary Legacies","Legs Légendaires","Einzigartiges Eigentum","伝説の遺物","전설적인 유산","Legado Lendário","Невероятное наследие","Legados legendarios","สืบทอดตำนาน","傳奇遺物",2,"Have a Unique item in every equipment slot.","Ayez un objet Unique dans chaque emplacement d'équipement.","Rüstet einen einzigartigen Gegenstand in jedem Rüstungsplatz aus.","すべての装備スロットにユニークアイテムを装備しろ。","모든 장비 슬롯에 고유 아이템을 장착합니다.","Equipe um Item Único em todos os espaços de equipamento.","Заполните все ячейки снаряжения уникальными предметами.","Ten un objeto único en cada espacio de equipamiento.","มี ไอเทมยูนิค ใน​ช่องสวมใส่​ทุก​ช่อง","在所有裝備欄位都裝備傳奇物品。",-7692,"",1,"",0,1,"","","","","","","",""
42,"UniqueVendorGamble","Worthwhile Wager","Pari Profitable","Wohlfeile Wette","価値ある賭け","가치 있는 내기","Aposta Valiosa","Стоящая сделка","Apuesta apreciada","เดิมพันจนได้ดี","值得的賭注",2,"Receive a Unique Item from Gambling at a Vendor.","Recevez un objet Unique en pariant chez un Marchand.","Erhaltet einen einzigartigen Gegenstand beim Glücksspiel mit einem Händler.","ベンダーでのギャンブルからユニークアイテムを手に入れろ。","상인에게서 도박으로 고유 아이템을 받으십시오.","Receba um Item Único apostando em um Vendedor.","Выиграйте уникальный предмет в лотерее у торговца.","Consigue un objeto único apostando con un vendedor.","ได้รับ ไอเทมยูนิค จาก​การ​เดิมพัน​จาก​ผู้ค้าขาย","在與商人的賭博中獲得一件傳奇物品。",-13730,"",1,"",0,1,"","","","","","","",""
43,"ChanceUnique","Calculated Chance","Chances Calculées","Mathematische Möglichkeit","計算された可能性","계산된 기회","Chance Calculada","Учтённая удача","Azar acertado","โอกาสดังคาดการณ์","計算內的機率",2,"Create a Unique item using an Orb of Chance.","Créez un objet Unique en utilisant un Orbe de chance.","Erstellt einen einzigartigen Gegenstand mit einer Sphäre der Möglichkeiten.","可能性のオーブを使用してユニークアイテムを作成せよ。","기회의 오브로 고유 아이템을 하나 생성하십시오.","Crie um item Único usando um Orbe da Chance.","Создайте уникальный предмет с помощью сферы удачи.","Crea un objeto único con un orbe de azar..","สร้าง ไอเทมยูนิค โดยใช้ Orb of Chance","使用機會石點出一件傳奇裝備。",-1042,"",1,"",0,1,"","","","","","","",""
44,"UniqueStart","Blessed Beginnings","Prémices Prometteurs","Ausgezeichneter Anfang","祝福された出発","축복받은 시작","Início Abençoado","Счастливый старт","Principios productivos","ได้ดีแต่แรกเริ่ม","美好的開始",2,"Drop a Unique Item in the Normal Difficulty Riverbank.","Trouvez un objet Unique dans la Rivière de la bordure en difficulté normale.","Erbeutet einen einzigartigen Gegenstand im Flussufer des normalen Schwierigkeitsgrads.","ノーマル難易度の川岸でユニークアイテムを手に入れろ。","일반 난이도 강둑에서 고유 아이템을 떨어트리십시오.","Derrube um Item Único nas Margens na Dificuldade Normal.","Получите уникальный предмет в качестве трофея на Берегу реки на нормальном уровне сложности.","Consigue que caiga un objeto único en la dificultad normal de la Orilla del río.","ทำให้ ไอเทมยูนิค ดรอป​ใน​ริมตลิ่ง​ ใน​ความยาก​ระดับ​ธรรมดา","在普通難度的河岸中掉落一件傳奇物品。",13800,"",1,"",0,1,"","","","","","","",""
45,"IdentifyTieredRarity","Tiered Treasure","Paliers précieux","Ausbaufähige Ausrüstung","ティア別の財宝","등급별 보물","Camadas de Tesouros","Ранжир редкости","Riqueza de rarezas","สมบัติมีระดับ","階級寶物",2,"Identify Magic or Rare Items of all Rarity Tiers.","Identifiez des objets Magiques ou Rares de tous les Paliers de rareté.","Identifiziert magische oder seltene Gegenstände aller Seltenheitslevel.","すべてのレアリティティアのマジックまたはレアアイテムを鑑定しろ。","모든 희귀도 등급의 마법 또는 희귀 아이템을 식별하십시오.","Identifique Itens Mágicos ou Raros de todos os Tiers de Raridade.","Опознайте волшебные и редкие предметы всех уровней редкости.","Identifica objetos mágicos o raros de todos los tipos de rareza.","ตรวจสอบ ไอเทม​เมจิก​หรือ​แรร์ ใน​ระดับ​ความหายาก​ทั้งหมด","鑑定所有稀有度的魔法或稀有物品。",-16694,"",1,"",0,1,"","","","","","","",""
46,"OpenAndEnterAMap","Atlas Adventurer","Aventurier de l'Atlas","Atlas-Abenteurer","アトラスアドベンチャラ―","아틀라스 모험가","Aventureiro do Atlas","Авантюрист Атласа","Aventurero del atlas","นักผจญแผนที่","輿圖冒險者",2,"Open a map in the map device and step through its portal.","Ouvrez une carte à l'aide du dispositif cartographique et passez au travers d'un des portails.","Öffnet eine Karte im Kartenapparat und geht durch das Portal.","マップデバイスでマップを開きそのポータルを通り抜けろ。","지도 장치에서 지도를 열고 포탈로 들어가십시오.","Abra um mapa no dispositivo de mapas e atravesse o portal.","Откройте карту в Машине картоходца и пройдите через портал.","Abre un mapa en el artefacto de mapas y entra en él a través de un portal.","เปิด​แผนที่​ด้วย​เครื่อง​เปิด​แผนที่ แล้ว​ก้าว​เข้าไป​ใน​วาร์ป​ของ​เครื่อง​นั้น","透過地圖裝置開啟輿圖並且進入。",-12722,"",1,"",0,1,"","","","","","","",""
47,"AtlasPinnacleBoss","Pinnacle Prevailer","Triomphe Terminal","Überboss-Überwältiger","ピナクルボス討伐者","최종 승리자","Pináculo Prevalecente","Верховное восторжествование","Vencedor visceral","ผู้พิชิตมหากาฬ","巔峰勝者",2,"Defeat a powerful enemy in The Burning Monolith.","Terrassez un ennemi puissant dans le Monolithe ardent.","Besiegt einen mächtigen Gegner im Brennenden Monolithen.","燃えるモノリスで強力な敵を倒せ。","불타는 거석에서 강력한 적을 처치하십시오.","Derrote um inimigo poderoso no Monólito Ardente.","Победите могущественного противника в Горящем монолите.","Derrota a un enemigo poderoso en el Monolito ardiente.","สยบ ศัตรูทรงพลังผู้หนึ่ง ในอนุสาวรีย์เพลิงพิโรธ","在燃燒豐碑中擊敗一名強大的敵人。",-1404,"",1,"",0,1,"","","","","","","",""
48,"BreachBoss","Tearing Terrors","Terreurs Terrifiantes","Spaltende Schrecken","引き裂く恐怖","맹렬한 공포","Terrores Dilacerantes","Терзающий террор","Terrores tenebrosos","ภัยร้ายกระชากมิติ","撕裂恐懼",2,"Defeat a powerful enemy in their Domain.","Terrassez un ennemi puissant dans son Domaine.","Besiegt einen mächtigen Gegner in seinem Reich.","強力な敵を彼らの領域で倒せ。","강력한 적을 해당 적의 영토에서 처치하십시오.","Derrote um inimigo poderoso em seu Domínio.","Победите могущественного противника в его владениях.","Derrota a un enemigo poderoso en su Dominio.","สยบ ศัตรูทรงพลังผู้หนึ่ง ในแดนของมัน","在敵人的領域中擊敗一名強大的敵人。",-5596,"",1,"",0,1,"","","","","","","",""
49,"RitualBoss_","Nameless Nemesis","Némésis Innommé","Namenlose Nemesis","名も無き宿敵","이름 없는 숙적","Nemesis Inominado","Неназванная немезида","Némesis sin nombre","ปรปักษ์ไร้นาม","無名死敵",2,"Defeat a powerful enemy  in the Crux of Nothingness.","Terrassez un ennemi puissant dans le Cœur du rien.","Besiegt einen mächtigen Gegner im Kern des Nichts.","無の中枢で強力な敵を倒せ。","허무의 핵심에서 강력한 적을 처치하십시오.","Derrote um inimigo poderoso na Crux da Inexistência.","Победите могущественного противника в Сути небытия.","Derrota a un enemigo poderoso en el Quid de la nada.","สยบ ศัตรูทรงพลังผู้หนึ่ง ใน​รากฐาน​แห่ง​ความ​ว่าง​เปล่า","在虛無核心中擊敗一名強大的敵人。",16768,"",1,"",0,1,"","","","","","","",""
50,"ExpeditionBoss","Kalguuran Knowledge","Connaissances Kalguuriennes","Kalguurische Kalkulation","カルグール人の知識","칼구르의 지식","Conhecimento Kalguuran","Калгууранский кругозор","Káiser kalguur","ปัญญาคาลเกอร์","卡爾葛知識",2,"Defeat a powerful enemy in a Logbook.","Terrassez un ennemi puissant dans un Journal de bord.","Besiegt einen mächtigen Gegner in einem Logbuch.","ログブック内で強力な敵を倒せ。","일지에서 강력한 적을 처치하십시오.","Derrote um inimigo poderoso em um Diário de Bordo.","Победите могущественного противника в Журнале экспедиции.","Derrota a un enemigo poderoso en un Registro de expedición.","สยบ ศัตรูทรงพลังผู้หนึ่ง ในสมุดปูมเดินทาง","在日誌中擊敗一名強大的敵人。",-23713,"",1,"",0,1,"","","","","","","",""
51,"DeliriumSimulacrum","Delirious Demise","Destinée Délirante","Dramatisches Delirium","せん妄の終焉","섬망의 소멸","Morte Delirante","Безумное безвременье","Delirio destructor","เสียสติสิ้นชีวี","譫妄終末",2,"Complete the Simulacrum.","Terminez le Simulacre.","Schließt das Simulakrum ab.","シミュラクラムを完了せよ。","복제된 영토를 완료하십시오.","Complete o Simulacro.","Завершите Симулякр.","Completa el Simulacro.","ผ่าน เมืองจำแลง","完成幻像異界。",-6474,"",1,"",0,1,"","","","","","","",""
52,"UltimatumBoss","Chaotic Carnage","Carnage Chaotique","Chaotischer Clinch","カオスの虐殺","혼돈의 학살","Carnificina Caótica","Безрассудный бедлам","Carnicería caótica","เข่นฆ่าโกลาหล","混沌屠戮",2,"Defeat a powerful enemy in The Trial of Chaos.","Terrassez un ennemi puissant dans l'Épreuve de Chaos.","Besiegt einen mächtigen Gegner in der Prüfung des Chaos.","カオスの試練で強力な敵を倒せ。","혼돈의 시련에서 강력한 적을 처치하십시오.","Derrote um inimigo poderoso na Provação do Caos.","Победите могущественного противника в Испытании Хаоса.","Derrota a un enemigo poderoso en la Prueba de Caos.","สยบ ศัตรูทรงพลังผู้หนึ่ง ใน​บททดสอบแห่งเคออส","在混沌試煉中擊敗一名強大的敵人。",25298,"",1,"",0,1,"","","","","","","",""
53,"SanctumBoss_","Sandswept Strife","Épreuve Ensablée","Sandgepeitschter Sieg","砂に覆われた闘争","모래에 휩쓸린 투쟁","Conflito Enterrado","Проблемы в песках","Altercado arenoso","ประชันกลางทราย","風沙衝突",2,"Defeat a powerful enemy in the Trial of the Sekhemas.","Terrassez un ennemi puissant dans l'Épreuve des Sekhemas.","Besiegt einen mächtigen Gegner in der Prüfung der Sekhemas.","セケマの試練で強力な敵を倒せ。","세케마의 시련에서 강력한 적을 처치하십시오.","Derrote um inimigo poderoso na Provação das Seckemas.","Победите могущественного противника в Испытании Сехем.","Derrota a un enemigo poderoso en la Prueba de las sekhemas.","สยบ ศัตรูทรงพลังผู้หนึ่ง ใน​บททดสอบแห่งเซ็คเคมา","在絲克瑪試煉中擊敗一名強大的敵人。",-26902,"",1,"",0,1,"","","","","","","",""
54,"MapTiers","Cruel Continent","Continent Cruel","Kontroverser Kontinent","残酷な大陸","잔혹한 대륙","Continente Cruel","Коварный континент","Continente cruel","ทวีปทารุณ","殘酷大陸",2,"Complete a Map of every Tier.","Terminez une Carte de chaque Palier.","Schließt eine Karte jeden Levels ab.","すべてのティアのマップを完了せよ。","모든 등급의 지도를 완료하십시오.","Complete um Mapa de cada Tier.","Завершите карту каждого уровня.","Completa un mapa de cada grado.","ผ่านแผนที่ชิ้นหนึ่งในแต่ละระดับ","完成所有階級的一張地圖。",15569,"","","",0,1,"","","","","","","",""
55,"AtlasPassivePoints","Awakened Atlas","Atlas Éveillé","Aufgeweckter Atlas","覚醒したアトラス","완성된 아틀라스","Atlas Desperto","Пробуждённый Атлас","Atlas abierto","แอตลาสอุบัติ","物盡其用",2,"Unlock all available Atlas Passive Skill Points.","Débloquez tous les points de Talent de l'Atlas disponibles.","Schaltet alle verfügbaren passiven Atlas-Fertigkeitspunkte frei.","利用可能なすべてのアトラスパッシブスキルポイントをアンロックしろ。","이용 가능한 모든 아틀라스 패시브 스킬 포인트를 해제하십시오.","Destrave todos os Pontos de Habilidades Passivas do Atlas.","Получите все доступные очки пассивных умений Атласа.","Desbloquea todos los puntos de habilidades pasivas del atlas.","ปลดล็อก แต้มพาสซีฟแอตลาส ทุก​แต้ม","解鎖所有可用的輿圖天賦點。",13114,"",1,"",0,1,"","","","","","","",""
56,"030MillerReward","Defeat the Bloated Miller","Defeat the Bloated Miller","Besiegt den Aufgeblähten Müller","腐乱した粉屋を倒せ","불어 터진 방아꾼 쓰러뜨리기","Derrote o Moleiro Inchado","Defeat the Bloated Miller","Derrota al molinero hinchado","สยบเจ้าของโรงสีขึ้นอืด","Defeat the Bloated Miller",1,"Slay the Bloated Miller","Slay the Bloated Miller","Tötet den Aufgeblähten Müller.","腐乱した粉屋を倒せ","불어 터진 방아꾼 처치하기","Elimine o Moleiro Inchado","Slay the Bloated Miller","Derrota al molinero hinchado","สังหารเจ้าของโรงสีขึ้นอืด","Slay the Bloated Miller",-11407,"",1,"",0,1,"","","","","","","",""
57,"030GrimTangleReward","Defeat the Rotten Druid","Defeat the Rotten Druid","Besiegt den Verfaulten Druiden","腐ったドルイドを倒せ","썩은 드루이드 쓰러뜨리기","Derrote o Druida Apodrecido","Defeat the Rotten Druid","Derrota al Druida putrefacto","สยบดรูอิดกายเปื่อย","Defeat the Rotten Druid",1,"Slay the Rotten Druid","Slay the Rotten Druid","Tötet den Verfaulten Druiden.","腐ったドルイドを倒せ","썩은 드루이드 처치하기","Elimine o Druida Apodrecido","Slay the Rotten Druid","Derrota al Druida putrefacto","สังหารดรูอิดกายเปื่อย","Slay the Rotten Druid",-22591,"",1,"",0,1,"","","","","","","",""
58,"030IronCountReward","Defeat the Iron Count","Defeat the Iron Count","Besiegt Graf Geonor","鉄の伯爵を倒せ","철의 백작 쓰러뜨리기","Derrote o Conde de Ferro","Defeat the Iron Count","Derrota al Conde de hierro","สยบเคานต์เหล็ก","Defeat the Iron Count",1,"Slay the Iron Count","Slay the Iron Count","Tötet Graf Geonor.","鉄の伯爵を倒せ","철의 백작 처치하기","Elimine o Conde de Ferro","Slay the Iron Count","Derrota al Conde de hierro","สังหารเคานต์เหล็ก","Slay the Iron Count",19639,"",1,"",0,1,"","","","","","","",""
