"rownum","Id","TargetCharacter","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","OGGFiles","NPC1","rid_64","TargetCharacters","i32_96","i32_100","[rid]_104","NPC2","NPC3","QuestFlag1","QuestFlag2","QuestFlag3","QuestFlag4","QuestFlag5","Video","Script"
1470,"TujenA4_TavakaiDefeated_A2_Dex4",2,"It was a fight I won't soon forget.","Voilà un combat que je ne suis pas près d'oublier.","Es war ein Kampf, den ich nicht so schnell vergessen werden.","すぐには忘れられない戦いだわ。","기억에 남을 싸움이었지.","Foi uma luta que vai ficar na minha cabeça.","Эту драку я нескоро забуду.","Fue una pelea que no olvidaré por mucho tiempo.","มันเป็นการต่อสู้ที่ข้าไม่มีวันลืม","那是一場我不會很快忘記的戰鬥。","[""Audio/Dialogue/4.0/Characters/Dex/Ranger/Ranger_Convo/Ranger_Convo_TujenA4_19.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
1471,"TujenA4_TavakaiDefeated_A2_Dex4b",8,"I didn't want that fight. But there were no other way.","Je n'avais aucun désir de me battre, mais je n'avais pas le choix.","Ich wollte diesen Kampf nicht. Aber es gab keine andere Möglichkeit.","戦いたくはなかった。でも他に道はなかったんだ。","싸우고 싶진 않았지만, 다른 방법이 없었어.","Eu não queria lutar. Mas não havia outra maneira.","Я не хотела этой драки. Но другого способа не было.","No quería tener que pelear, pero no hubo otro modo.","ข้ามิได้อยากต่อกร ทว่าหาได้มีทางออกอื่นใดไม่","我本不想打的，但別無選擇。","[""Audio/Dialogue/4.0/Characters/Dex/Huntress/Huntress_Convo/Huntress_Tujen_Convo_A4_22.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
1472,"TujenA4_TavakaiDefeated_A2_DexInt4b",10,"The Chieftain learned his lesson.","Ce chef tribal retiendra la leçon.","Der Häuptling hat seine Lektion gelernt.","族長にはいい教訓になったはずだ。","부족장은 단단히 교훈을 얻었지.","O caudilho aprendeu a lição.","Вождь усвоил урок.","El jefe de guerra aprendió su lección.","หัวหน้าเผ่าได้บทเรียนแล้วแล","酋長已經學到教訓了。","[""Audio/Dialogue/4.0/Characters/DexInt/Monk/Monk_Convo/Monk_Tujen_Convo_A4_55.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
1473,"TujenA4_TavakaiDefeated_A2_Int4",1,"Not completely unscathed.","Mais pas entièrement indemne.","Nicht völlig unversehrt.","完全に無傷とはいかなかったけどね。","상처가 없진 않았어.","Mas não sem arranhões.","Пары царапин избежать не удалось.","No sin algún rasguño.","ใช่ว่าจะไร้อันตรายเสียทีเดียว","並非完全安然無恙。","[""Audio/Dialogue/4.0/Characters/Int/Witch/Witch_Convo/Witch_Convo_TujenA4_28.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
1474,"TujenA4_TavakaiDefeated_A2_Int4b",7,"I must say, it wasn't easy.","Je dois avouer que ça n'était pas facile.","Ich muss gestehen, dass es nicht einfach war.","楽ではなかったぞ。","솔직히 쉽진 않았다고.","Devo dizer que não foi fácil.","Было непросто, должна сказать.","Debo decir que no fue fácil.","ขอบอกเลย มันไม่ง่ายนัก","我必須說，那並不容易。","[""Audio/Dialogue/4.0/Characters/Int/Sorceress/Sorceress_Convo/Sorceress_Convo_TujenA4_22.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
1475,"TujenA4_TavakaiDefeated_A2_Str4b",6,"Not without a scratch or two.","Pas sans une égratignure ou deux.","Nicht ohne den einen oder anderen Kratzer.","少しかすり傷を負ったけどな。","몇 군데 상처는 입었지만 말이야.","Não sem algumas marcas pelo corpo.","Не обошлось без пары царапин.","Aunque nos quedaron algunos rasguños.","ก็ใช่ว่าจะไม่มีแผลกลับมาเลยนะ","但還是受了點傷。","[""Audio/Dialogue/4.0/Characters/Str/Warrior/Warrior_Convo/Warrior_Tujen_Convo_A4_23.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
1476,"TujenA4_TavakaiDefeated_A2_StrDex4b",9,"He put up a serious fight.","Il s'est battu comme un beau diable.","Er hat sich heftig gewehrt.","かなり抵抗されたぜ。","꽤 힘든 상대였어.","Não foi fácil, ele deu trabalho.","Он дал серьёзный отпор.","Fue una pelea desafiante.","เขาต่อสู้ได้เก่งไม่เบา","他那場仗是來真的。","[""Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Convo/Mercenary_Tujen_Convo_A4_28.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
1477,"TujenA4_TavakaiDefeated_A2_StrInt4b",11,"He's proof of what we hoped: Corruption can be undone.   \r\n<continue>Though not without a scar or two.","Il est la preuve de ce que nous espérions : la Corruption peut être vaincue.\r\n<continue>Certes, pas sans une cicatrice ou deux.","Er is' der Beweis für uns're Hoffnung: Verderbtheit kann gereinigt werd'n.\r\n<continue>Allerdings nich' ohne 'n paar Narben zu hinterlass'n.","彼は儂らが期待していたことを証明してくれた。穢れは元に戻すことができるのじゃ。\r\n<continue>傷の一つや二つは残るようじゃがの。","우리가 찾던 증거군. 타락은 되돌릴 수 있다. \r\n<continue>흉터 한두 개는 남겠지만.","Ele é a prova do que esperávamos: a corrupção pode ser desfeita.\r\n <continue>Mas não sem deixar marcas.","Он – доказательство наших надежд: Порчу можно обратить.\r\n<continue>Хотя и не без шрама-другого.","Es la prueba de lo que esperábamos: la Corrupción se puede eliminar.\r\n<continue>Aunque deje una o dos cicatrices. ","เขาเป็นหลักฐานของสิ่งที่เราหวัง พลังมลทินสามารถสลายฤทธิ์ได้<continue>แต่ก็ทิ้งรอยแผลเป็นเอาไว้","他證明了我們的希望：腐化可以被淨化。\r\n<continue>雖然代價是幾道難以癒合的傷痕。","[""Audio/Dialogue/4.0/Characters/StrInt/Druid/Druid_Convo/Druid_Tujen_Convo_A4_28_01.ogg"",""Audio/Dialogue/4.0/Characters/StrInt/Druid/Druid_Convo/Druid_Tujen_Convo_A4_28_02.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
1478,"TujenA4_TavakaiDefeated_B1","","Scars are reminders. Let Tavakai remember.","Les cicatrices nous rappellent nos combats. Tavakai l'oubliera pas.","Narben sind Erinnerungen. Tavakai soll sich erinnern.","傷は記録だ。タヴァカイは忘れぬほうがいい。","흉터는 기억의 증표지. 타바카이도 이번 일을 잊지 않을 거야.","Cicatrizes são lembranças. Que o Tavakai se lembre.","Шрамы – это напоминания. Пусть Тавакаи не забывает.","Las cicatrices son recordatorios. Deja que Tavakai recuerde.","แผลเป็นเครื่องเตือนใจ ให้ทาวาไคได้จดจำไว้เถอะ","傷疤能作為提醒。讓塔瓦凱記住吧。","[""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen/TujenA4_25_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen/TujenA4_25_04.ogg""]","[509,510,553]","",[],0,100,[],[],[],[],[],[],[],[],"",""
1479,"TujenA4_OnRog_A1","","Now there's a true friend. <continue>Me and him have been on this campaign here in Wraeclast since the start of this little venture, when it was but a lodge and a dream. <continue>Next thing you know... well, it all got away from us... <continue>... and here we are, with a whole town somehow grown up around us.","Ça, c'est un bon ami à moi. <continue>Lui et moi faisions partie d'cette campagne à Wraeclast depuis l'tout début, quand c'était encore qu'un p'tit coin paisible. <continue>Et avant qu'on s'en rende compte… Eh bien, tout avait changé… <continue>Et nous voilà avec toute une ville autour d'nous.","Er ist ein wahrer Freund. \r\n<continue>Er und ich waren vom Beginn unseres kleinen Abenteuers Teil dieser Unternehmung hier auf Wraeclast, als es noch nichts weiter war als eine Hütte und ein Traum.\r\n<continue>Und im nächsten Augenblick … tja, es ist uns entglitten … \r\n<continue>… und jetzt stehen wir hier inmitten einer ganzen Stadt, die irgendwie um uns herum gewachsen ist.","親友だよ。<continue>俺とあいつはこの営みの一番最初、ただの小屋と夢しかなかった頃から一緒だったんだ。<continue>気付いた時には……全部俺たちの指をすり抜けちまって……<continue>……いつの間にか周りに町が育っていたんだ。","그야말로 진짜 친구지. <continue>나와 그 친구는 이 사업을 시작할 때부터 여기 레이클라스트에서 함께해 왔지. 그때 우리한테 있는 건 오두막 한 채와 꿈뿐이었어. <continue>그러다 보니... 모든 게 우리 손을 떠났어... <continue>...그리고 이렇게 됐지. 어떻게 된 건진 몰라도 우리 주위로 마을이 생겨났어.","Esse, sim, é um amigo de verdade. <continue>A gente está nessa campanha aqui em Wraeclast desde o início, quando era só uma cabana e um sonho. <continue>De repente... tudo saiu do nosso controle... <continue>E cá estamos, com uma cidade inteira crescendo ao nosso redor.","Вот настоящий друг. <continue>Мы с ним в этом походе по Рэкласту с самого начала нашего маленького предприятия, когда у нас была только хибара да мечта. <continue>А потом глядь – и всё от нас уже ускользнуло... <continue>...целый город каким-то макаром вырос вокруг нас.","Él sí que es un verdadero amigo. <continue>Hemos estado juntos en esta campaña en Wraeclast desde el comienzo de esta pequeña aventura, cuando solo teníamos una tienda y un sueño. <continue>En un abrir y cerrar de ojos... bueno, las cosas se nos fueron de las manos. <continue> Y ahora aquí estamos, con un pueblo que, sin darnos cuenta, creció a nuestro alrededor.","เขาคนนี้น่ะเพื่อนแท้<continue>ข้ากับเขาออกแคมเปญในเวร์แคลส์ทแห่งนี้มาตั้งแต่ตอนเริ่ม\r\nก่อตั้งสถานที่เล็กๆ แห่งนี้แล้ว ตอนที่มันมีแค่กระท่อมกับความ\r\nฝันลมๆ แล้งๆ<continue>ทั้งหมดนี้... ก็เกิดขึ้นโดยไม่รู้ตัว<continue>แล้วก็มาถึงตอนนี้ อยู่ๆ ก็มีเมืองทั้งเมืองเติบใหญ่รอบตัวเรา","那位是真正的朋友。<continue>我和他從這場小小冒險的一開始就在瓦爾克拉斯拓荒，當時只有一間小屋和一個夢想。<continue>等回過神來……這麼說吧，一切都離我們遠去了……<continue>……就這樣，一座小鎮不知不覺間在我們周圍建立了起來。","[""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen/TujenA4_26_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen/TujenA4_26_02.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen/TujenA4_26_03.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen/TujenA4_26_04.ogg""]","[509,510,553]","",[],0,100,[],[],[],[],[],[],[],[],"",""
1480,"TujenA4_OnRog_A2_Dex4",2,"Time gets away from us.","Le temps nous échappe.","Die Zeit läuft uns immer davon.","光陰矢の如しね。","시간은 늘 우리 손을 떠나니까.","O tempo passa voando.","Время уходит от нас.","El tiempo siempre se nos escapa.","เวลาล่วงเลยไปจากเรา","時間總是不等人。","[""Audio/Dialogue/4.0/Characters/Dex/Ranger/Ranger_Convo/Ranger_Convo_TujenA4_20_01.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
1481,"TujenA4_OnRog_A2_Dex4b",8,"It's remarkable how things can change before we know it.","C'est toujours impressionnant de voir à quel point les choses peuvent changer sans qu'on en ait conscience.","Es ist bemerkenswert, wie schnell sich die Dinge ändern können.","物事の変化は目まぐるしいね。","우리가 모르는 사이에 이렇게 많은 게 바뀌는 걸 보면 참 놀랍다니까.","É notável como as coisas podem mudar antes de nos darmos conta.","Поразительно, как всё меняется быстрее, чем это замечаешь.","Es notable cómo cambian las cosas antes de que nos demos cuenta.","มันน่าทึ่งที่สิ่งต่างๆ อาจแปรเปลี่ยนโดยที่เรามิรู้ตัว","事情在不知不覺中就會發生變化，真是令人驚訝。","[""Audio/Dialogue/4.0/Characters/Dex/Huntress/Huntress_Convo/Huntress_Tujen_Convo_A4_23_01.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
1482,"TujenA4_OnRog_A2_DexInt4b",10,"You chose this life, Kalguuran.","Vous avez choisi cette vie, Kalguurien.","Ihr habt dieses Leben gewählt, Kalguur.","この人生を選んだのはお主だ、カルグール人。","당신이 선택한 삶이다, 칼구르인.","Você escolheu essa vida, kalguurano.","Ты выбрал эту жизнь, калгууранец.","Tú elegiste esta vida, kalgurano.","เจ้าเลือกชีวิตนี้เองนา เจ้าคาลเกอร์","卡爾葛人，這是你自己選的生活。","[""Audio/Dialogue/4.0/Characters/DexInt/Monk/Monk_Convo/Monk_Tujen_Convo_A4_56_01.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
1483,"TujenA4_OnRog_A2_Int4",1,"Not everything grew up...","Tout ne grandit pas forcément…","Nicht alles ist herangewachsen …","全部が成長したわけじゃなかったみたいだけどね……","모든 게 잘 되기만 한 건 아니고...","Nem tudo cresceu...","Не всё выросло...","No todo creció...","ไม่ได้เติบใหญ่ไปทุกอย่างหรอกนะ...","不是所有事物都能成長……","[""Audio/Dialogue/4.0/Characters/Int/Witch/Witch_Convo/Witch_Convo_TujenA4_29_01.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
1484,"TujenA4_OnRog_A2_Int4b",7,"You should be proud. It seems you have done well for yourselves here.","Vous devriez être fiers de vous. Vous semblez bien vous débrouiller, ici.","Ihr solltet stolz sein. Es scheint, als hättet Ihr hier gute Arbeit geleistet.","誇りに思うべきだ。うまくやったようだな。","자랑스러워 해도 되겠네. 당신도 나름 열심히 해낸 것 같은데.","Você deveria estar orgulhoso. Parece que vocês estão se dando bem aqui.","Можете гордиться собой. Вы отлично показали себя.","Deberías sentirte orgulloso. Parece que han logrado algo bueno aquí.","เจ้าควรภูมิใจในตัวเอง เหมือนพวกเจ้าจะทำได้ดีนัก","你應該感到驕傲。看起來你們在這裡做得不錯。","[""Audio/Dialogue/4.0/Characters/Int/Sorceress/Sorceress_Convo/Sorceress_Convo_TujenA4_23_01.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
1485,"TujenA4_OnRog_A2_Str4b",6,"Any regrets?","Vous regrettez ?","Gibt es etwas, das Ihr bereut?","後悔はあるのか？","후회되진 않아?","Algum remorso?","О чём-то жалеешь?","¿Te arrepientes de algo?","เสียดายเรื่องอะไรไหม?","你有任何悔意嗎？","[""Audio/Dialogue/4.0/Characters/Str/Warrior/Warrior_Convo/Warrior_Tujen_Convo_A4_24_01.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
1486,"TujenA4_OnRog_A2_StrDex4b",9,"Gettin' old, mate?","On a un coup de vieux, l'ami ?","Werdet langsam alt, was?","もう年か？","나이가 드는 거겠지, 친구?","A idade tá pesando, colega?","Стареешь, приятель?","¿Estás envejeciendo, amigo?","แก่ขึ้นมาแล้วเรอะพวก?","老了嗎，夥計？","[""Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Convo/Mercenary_Tujen_Convo_A4_29_01.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
1487,"TujenA4_OnRog_A2_StrInt4b",11,"Time reshapes all things, wee fella. Even us.","Le temps remodèle tout et tout le monde, mon p'tit gars. Même nous.","Die Zeit verändert alle Dinge, Kleiner. Sogar uns.","時は万物を作り変えるのじゃ、ちっこいの。我々さえもな。","시간은 모든 걸 다시 빚어, 조그만 친구. 우리도 말이지.","O tempo muda tudo, carinha. Até a gente.","Время меняет всё, коротышка. Даже нас.","El tiempo lo cambia todo, hombrecillo. Incluso a nosotros.","กาลเวลาเปลี่ยนแปลงทุกสิ่ง เจ้าเปี๊ยก เราก็ด้วย","時間會改變萬物，小傢伙。連我們也不例外。","[""Audio/Dialogue/4.0/Characters/StrInt/Druid/Druid_Convo/Druid_Tujen_Convo_A4_29_01.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
1488,"TujenA4_OnRog_A2_StrDex4",3,"[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[""Audio/Dialogue/NullFile/Null_3s.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
1489,"TujenA4_OnRog_A2_DexInt4",4,"[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[""Audio/Dialogue/NullFile/Null_3s.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
1490,"TujenA4_OnRog_A2_StrInt4",5,"[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[""Audio/Dialogue/NullFile/Null_3s.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
1491,"TujenA4_OnRog_A2_Str4",0,"[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[""Audio/Dialogue/NullFile/Null_3s.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
1492,"TujenA4_OnRog_B1","","I'm just now realisin' I haven't been on an expedition in... six bloody years! <continue>Time really is a cruel master.","C'est juste que j'réalise que j'suis pas parti en expédition depuis… six maudites années ! <continue>Le temps est vraiment cruel. ","Mir fällt nur gerade auf, dass ich seit … sechs verdammten Jahren an keiner Expedition mehr teilgenommen habe!\r\n<continue>Die Zeit ist wirklich ein grausamer Herrscher.","たった今気づいたんだ、俺はもう……六年も発掘に行ってないことにな！<continue>時の流れは本当に残酷だ。","이제야 깨달았는데, 내가 탐험에 나서지 않은 지... 무려 6년이나 됐군! <continue>세월은 참 잔인해.","Só agora que me dou conta que faz seis anos que não saio numa expedição, caramba! <continue>O tempo realmente não perdoa.","Я только сейчас понимаю, что не ходил в экспедиции... шесть драных лет! <continue>Время нас не щадит.","Es que acabo de darme cuenta que no he salido de expedición en... ¡seis malditos años! <continue>El tiempo realmente es un maestro cruel.","ข้าเพิ่งนึกขึ้นได้ว่าไม่ได้ออกกองสำรวจมาตั้ง... หกปีแล้ว!<continue>เวลานี่มันโหดร้ายไม่เบา","我剛剛才想到，我已經有……足足六年沒有參加過探險了！<continue>時間真是太殘酷了。","[""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen/TujenA4_26_05.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen/TujenA4_26_06.ogg""]","[509,510,553]","",[],0,100,[],[],[],[],[],[],[],[],"",""
1493,"TujenA4_OnRog_B2_Dex4",2,"You need to get out of this harbour for a time.","Vous avez besoin de quitter ce port pour un certain temps.","Ihr solltet wirklich mal aus diesem Hafen rauskommen.","少し港を離れてみたほうがいいわ。","잠시 이 항구를 떠나는 게 좋겠는데.","Você precisa ficar longe deste porto por um tempo.","Тебе надо иногда выбираться из гавани.","Tendrías que salir del puerto durante un tiempo.","เจ้าต้องหาเวลาออกมาจากท่าเรือนี่บ้าง","你需要暫時離開這個港口。","[""Audio/Dialogue/4.0/Characters/Dex/Ranger/Ranger_Convo/Ranger_Convo_TujenA4_20_02.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
1494,"TujenA4_OnRog_B2_Dex4b",8,"Join me on a hunt, Tujen!","Accompagnez-moi dans une de mes chasses, Tujen !","Begleitet mich auf eine Jagd, Tujen!","トゥージェン、一緒に狩りへ行くよ！","같이 사냥을 떠나자, 투젠!","Junte-se a mim numa caçada, Tujen!","Сходи со мной на охоту, Туджин!","¡Ven a cazar conmigo, Tujen!","ร่วมออกล่ากับข้าเถิด ทูเจน!","圖貞，跟我去狩獵吧！","[""Audio/Dialogue/4.0/Characters/Dex/Huntress/Huntress_Convo/Huntress_Tujen_Convo_A4_23_02.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
1495,"TujenA4_OnRog_B2_DexInt4b",10,"Live your life - see where the Dreamer takes you.","Vivez votre vie, et voyez où le Rêveur mène vos pas.","Lebt Euer Leben — findet heraus, wohin der Träumer Euch führt.","自分の人生を生きるのだ……夢見人に導かれるままに。","당신이 원하는 삶을 살아. 몽상가께서 이끄실 테니까.","Siga a sua vida e deixe o Sonhador te guiar.","Живи своей жизнью – смотри, куда приведёт тебя Спящий.","Vive tu vida... descubre a dónde te guía el Soñador.","ใช้ชีวิตของเจ้าให้เต็มที่ แล้วดูว่าท่านผู้ฝันใฝ่พาเจ้าไปที่ใดได้","活出自己的人生吧，看看幻夢者會將你帶往何方。","[""Audio/Dialogue/4.0/Characters/DexInt/Monk/Monk_Convo/Monk_Tujen_Convo_A4_56_02.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
1496,"TujenA4_OnRog_B2_Int4",1,"Sounds like you're itching for adventure... let's get you back out there.","On dirait que vous ressentez le besoin de répondre à l'appel de l'aventure… Venez, nous allons vous sortir de là.","Klingt, als würdet Ihr Euch nach einem neuen Abenteuer sehnen … sehen wir zu, dass Ihr mal wieder rauskommt.","冒険したくてたまらないみたいね……なら行きましょうか。","모험을 떠나고 싶어서 몸이 근질근질한 모양이지... 다시 떠나 보자고.","Parece que você não vê a hora de sair em uma aventura... Bora te botar na estrada de novo.","Похоже, тебе срочно нужны приключения... Что ж, их есть у нас!","Parece que te está llamando la aventura... hagámoslo posible.","เหมือนว่าแกอยากออกผจญภัยใจจะขาด... ออกมาเสียดีกว่าน่า","聽起來你渴望冒險……我們帶你回去外面走走吧。","[""Audio/Dialogue/4.0/Characters/Int/Witch/Witch_Convo/Witch_Convo_TujenA4_29_02.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
1497,"TujenA4_OnRog_B2_Int4b",7,"I cannot imagine! You've been cooped up here too long. You must join me for an adventure sometime.","Je n'ose pas imaginer votre situation ! Vous avez été enfermé ici pendant bien trop longtemps. Vous devriez vous joindre à moi pour participer à une de mes aventures, un jour ou l'autre.","Das kann ich mir gar nicht vorstellen! Ihr steckt schon viel zu lange hier fest. Ihr müsst mich eines Tages auf ein Abenteuer begleiten!","想像もできぬ！長い間ここに引きこもりすぎだ！いつか共に冒険へ出よう。","상상도 못 할 일이군! 너무 오래 여기 처박혀 있었어. 나중에 나랑 같이 모험을 떠나자고.","Não consigo imaginar! Você está confinado aqui há tempo demais. Um dia precisa se juntar a mim numa aventura.","Поверить не могу! Ты слишком долго сидишь в четырёх стенах. Тебе стоит как-нибудь отправиться со мной в приключение.","¡No puedo ni imaginarlo! Hace demasiado tiempo que estás encerrado aquí. Deberías salir a la aventura conmigo alguna vez.","ข้านึกภาพไม่ออกเลย! เจ้าซุกอยู่ที่นี่มานานเกินไป สักวันมา\r\nออกผจญภัยกับข้าดูนา","我無法想像！你被困在這裡太久了。你一定得某天跟我一起去冒險。","[""Audio/Dialogue/4.0/Characters/Int/Sorceress/Sorceress_Convo/Sorceress_Convo_TujenA4_23_02.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
1498,"TujenA4_OnRog_B2_Str4b",6,"Maybe one day, you and I could venture out together.","Peut-être pourrons-nous partir à l'aventure ensemble, un jour. ","Vielleicht können wir eines Tages zusammen losziehen.","いつか一緒に冒険できるかもな。","언젠가 함께 탐험을 떠나게 될지도 모르지.","Pode ser que um dia a gente parta numa jornada juntos.","Быть может, однажды мы с тобой сможем вместе отправиться в путешествие.","Tal vez algún día podrías salir de aventura conmigo.","สักวันเจ้ากับข้าอาจออกไปด้วยกันก็ได้นะ","或許有一天，你和我可以一起出發探險。","[""Audio/Dialogue/4.0/Characters/Str/Warrior/Warrior_Convo/Warrior_Tujen_Convo_A4_24_02.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
1499,"TujenA4_OnRog_B2_StrDex4b",9,"Well... I'm sure I could use a hand sometime. <continue>How about it, mate?","Eh bien… Je serais pas contre un coup de main, de temps en temps. <continue>Vous en dites quoi, camarade ?","Tja … Ich bin mir sicher, dass ich irgendwann mal Hilfe gebrauchen könnte.\r\n<continue>Wie wär's, Kumpel?","そうだな……そのうち手伝って欲しいこともあると思うぜ。<continue>どうだい？","그래... 나도 가끔 도와줄 사람이 필요한데. <continue>어때, 친구","Olha... acho que posso precisar de uma mão. <continue>Você topa, colega?","Ну... Думаю, однажды мне может понадобиться помощь. <continue>Как ты на это смотришь, приятель?","Bueno... seguramente me venga bien alguna mano algún día. <continue>¿Qué tal suena eso, amigo?","ข้าว่า... บางทีข้าก็ต้องการความช่วยเหลือน่ะ<continue>คิดยังไงล่ะพวก?","嗯……我想我有時候也需要幫手。怎麼樣，夥計？","[""Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Convo/Mercenary_Tujen_Convo_A4_29_02.ogg"",""Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Convo/Mercenary_Tujen_Convo_A4_29_03.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
1500,"TujenA4_OnRog_B2_StrInt4b",11,"Aye. It's taken much from me, too.   \r\n<continue>But never too late for a new chapter.","Oui. Il m'a beaucoup pris, à moi aussi.\r\n<continue>Mais il n'est jamais trop tard pour entamer un nouveau chapitre.","Aye. Sie hat auch mir viel genomm#n.\r\n<continue>Aber es is' nie zu spät für'n neues Kapitel.","うむ。儂からも多くを奪った。\r\n<continue>じゃが、新たな章を始めるのに遅すぎるということはない。","그래. 내게서도 많은 걸 앗아 갔다. \r\n<continue>하지만 새로운 장을 시작하기에 늦은 때란 없어.","É. Também já me tirou muita coisa.\r\n <continue>Mas nunca é tarde pra recomeçar.","Да. У меня оно тоже многое отняло.\r\n<continue>Но никогда не поздно для новой главы.","Sí. A mí también me ha quitado mucho.\r\n<continue>Pero nunca es tarde para un capítulo nuevo.","ใช่ มันพรากอะไรจากข้ามามากเหมือนกัน<continue>แต่มันก็ไม่สายเกินกว่าที่จะเริ่มบทใหม่","沒錯。它也從我身上奪走許多。\r\n<continue>但開啟新篇章永遠不嫌晚。","[""Audio/Dialogue/4.0/Characters/StrInt/Druid/Druid_Convo/Druid_Tujen_Convo_A4_29_02.ogg"",""Audio/Dialogue/4.0/Characters/StrInt/Druid/Druid_Convo/Druid_Tujen_Convo_A4_29_03.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
1501,"TujenA4_OnRog_B2_StrDex4",3,"[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[""Audio/Dialogue/NullFile/Null_3s.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
1502,"TujenA4_OnRog_B2_DexInt4",4,"[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[""Audio/Dialogue/NullFile/Null_3s.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
1503,"TujenA4_OnRog_B2_StrInt4",5,"[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[""Audio/Dialogue/NullFile/Null_3s.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
1504,"TujenA4_OnRog_B2_Str4",0,"[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[""Audio/Dialogue/NullFile/Null_3s.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],"",""
