"rownum","string_0","string_8","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","rid_16"
31,"PortalScroll_1","<tutorialgesture>{Portal Scrolls are used to create Checkpoints}\r\n<tutorialgesture>{[Tap]} the Portal Button to create a portal \r\nback to town.\r\n<tutorialgesture>{Reminder:} You only have six Portals before the Map Device must be Reactivated!","<tutorialgesture>{Les Parchemins de portail sont utilisés pour créer des Points de contrôle}\r\n<tutorialgesture>{[Appuyez]} sur le bouton Portail pour créer un portail\r\nvers la ville.\r\n<tutorialgesture>{Rappel :} Vous ne disposez que de six Portails avant que le Dispositif cartographique ne doive être réactivé !","<tutorialgesture>{Portalrollen werden verwendet, um Kontrollpunkte zu erstellen}.\r\n<tutorialgesture>{[Tippe]} auf die Portal-Schaltfläche, um ein Portal zurück in die Stadt zu erstellen.\r\n<tutorialgesture>{Erinnerung:} Du hast nur sechs Portale, bevor der Kartenapparat reaktiviert werden muss!","<tutorialgesture>{Portal Scrolls are used to create Checkpoints}\r\n<tutorialgesture>{[Tap]} the Portal Button to create a portal \r\nback to town.\r\n<tutorialgesture>{Reminder:} You only have six Portals before the Map Device must be Reactivated!","<tutorialgesture>{포탈 주문서를 사용하여 체크포인트를 생성할 수 있습니다.}\r\n포탈 버튼을 <tutorialgesture>{[터치]}해서 마을로 돌아가는 \r\n포탈을 생성하십시오.\r\n<tutorialgesture>{참고 사항:} 포탈을 여섯 개 생성한 후에는 지도 장치를 다시 활성화해야 합니다!","<tutorialgesture>{Os Pergaminhos de Portal são usados para criar Marcadores}\r\n<tutorialgesture>{[Toque]} no botão de portal para criar um portal de volta à cidade\r\n<tutorialgesture>{Aviso:} Você só tem seis Portais antes de precisar reativar o Dispositivo do Mapa!","WIP","<tutorialgesture>{Los pergaminos de portal se usan para crear puntos de control}\r\n<tutorialgesture>{[Tap|Pulsa]} el botón de Portal para crear un portal al pueblo.\r\n<tutorialgesture>{Recordatorio:} Solo dispones de seis portales. Después, tendrás que volver a activar el artefacto de mapas.","<tutorialgesture>{Portal Scroll มีไว้ใช้สร้างเช็คพอยน์}\r\n<tutorialgesture>{[แตะ]}ปุ่มวาร์ปเพื่อสร้างวาร์ปกลับเมือง\r\n<tutorialgesture>{อย่าลืม:} คุณจะมีวาร์ปเพียงแค่ 6 แห่งเท่านั้น ก่อนที่จะต้องทำการเปิดเครื่องเปิดแผนที่ขึ้นมาใหม่!","<tutorialgesture>{以傳送卷軸建立紀錄點}\r\n<tutorialgesture>{[輕點]}傳送卷軸來建立一個返回城鎮的 \r\n傳送門。\r\n<tutorialgesture>{提醒你：}使用完六道傳送門後，你必須重新啟動地圖裝置！",9
32,"PortalScroll_2","[DNT-UNUSED]END OF PORTAL SCROLL TUTORIAL. JUST TURN OFF GLOW AND COMPLETE TUTORIAL","WIP","[DNT-UNUSED]END OF PORTAL SCROLL TUTORIAL. JUST TURN OFF GLOW AND COMPLETE TUTORIAL","[DNT-UNUSED]END OF PORTAL SCROLL TUTORIAL. JUST TURN OFF GLOW AND COMPLETE TUTORIAL","WIP","WIP","WIP","[DNT-UNUSED]END OF PORTAL SCROLL TUTORIAL. JUST TURN OFF GLOW AND COMPLETE TUTORIAL","DNT","WIP",9
33,"Minimap_1","<tutorialgesture>{The Minimap can be used to help navigate the Area}\r\nExpand the map by <tutorialgesture>{[Tapping]} the Minimap","<tutorialgesture>{La Minicarte peut être utilisée pour se repérer dans la Zone}\r\nAgrandissez la carte en <tutorialgesture>{[Appuyant]} sur la Minicarte","<tutorialgesture>{Die Minikarte kann als Navigationshilfe für das Gebiet verwendet werden}.\r\nErweitere die Karte durch <tutorialgesture>{[Antippen]} der Minikarte.","<tutorialgesture>{The Minimap can be used to help navigate the Area}\r\nExpand the map by <tutorialgesture>{[Tapping]} the Minimap","<tutorialgesture>{미니맵을 확인하면 해당 지역을 이동하는 데 도움이 됩니다.}\r\n미니맵을 <tutorialgesture>{[터치]}해서 확장할 수 있습니다.","<tutorialgesture>{O minimapa pode ser usado para ajudar a navegar pela área}\r\n<tutorialgesture>{[Toque]} no minimapa para ampliar o mapa","WIP","<tutorialgesture>{Puedes usar el minimapa para orientarte en el área}\r\nAmplía el mapa <tutorialgesture>{[Tapping|pulsando]} en el minimapa","<tutorialgesture>{แผนที่ย่อมีไว้ช่วยในการเดินทางไปตามด่าน}\r\nขยายแผนที่ได้ด้วยการ<tutorialgesture>{[แตะ]}แผนที่ย่อ","<tutorialgesture>{可使用小地圖協助進行區域引導}\r\n<tutorialgesture>{[輕點]}小地圖可擴展地圖。",10
34,"Minimap_2","<tutorialgesture>{[Drag]} the Joystick to move the Map\r\nClose the Map Overlay by <tutorialgesture>{[Tapping]} the Joystick","<tutorialgesture>{[Faites glisser]} le Joystick pour déplacer la Carte\r\nFermez la Carte en transparence en <tutorialgesture>{[Appuyant]} sur le Joystick","<tutorialgesture>{[Ziehe]} den Joystick, um die Karte zu verschieben.\r\nSchließe die Kartenübersicht durch <tutorialgesture>{[Antippen]} des Joysticks.","<tutorialgesture>{[Drag]} the Joystick to move the Map\r\nClose the Map Overlay by <tutorialgesture>{[Tapping]} the Joystick","조이스틱을 <tutorialgesture>{[드래그]}해서 지도를 이동합니다.\r\n조이스틱을 <tutorialgesture>{[터치]}해서 확대 지도를 닫습니다.","<tutorialgesture>{[Arraste]} o Joystick para mover o mapa\r\n<tutorialgesture>{[Toque]} no Joystick para fechar a sobreposição do mapa","WIP","<tutorialgesture>{[Drag|Arrastra]} el joystick para mover el mapa\r\nCierra el mapa de transparencia <tutorialgesture>{[Tapping|pulsando]} en el joystick","<tutorialgesture>{[ลาก]}จอยสติ๊กเพื่อเคลื่อนย้ายแผนที่\r\nปิดแผนที่ซ้อนด้วยการ<tutorialgesture>{[แตะ]}จอยสติ๊ก","<tutorialgesture>{[拖曳]}搖桿移動地圖\r\n<tutorialgesture>{[輕點]}搖桿可關閉地圖重疊介面",10
35,"Minimap_3","[DNT-UNUSED]END OF MINIMAP TUTORIAL. JUST COMPLETE THE TUTORIAL","WIP","[DNT-UNUSED]END OF MINIMAP TUTORIAL. JUST COMPLETE THE TUTORIAL","[DNT-UNUSED]END OF MINIMAP TUTORIAL. JUST COMPLETE THE TUTORIAL","WIP","WIP","WIP","[DNT-UNUSED]END OF MINIMAP TUTORIAL. JUST COMPLETE THE TUTORIAL","DNT","WIP",10
36,"SkillGemCrafting_1","<tutorialgesture>{Virtue Gem Crafting}\r\nGem Artisans can craft Uncut Gems to unleash Skills within","<tutorialgesture>{Fabrication de Gemme de vertu}\r\nLes Artisans de Gemmes peuvent fabriquer des Gemmes brutes pour libérer les Aptitudes qu'elles contiennent","<tutorialgesture>{Machtgemmen-Anfertigung}\r\nGemmenschneider können ungeschnittene Gemmen anfertigen, um Fertigkeiten darin zu entfesseln.","<tutorialgesture>{Virtue Gem Crafting}\r\nGem Artisans can craft Uncut Gems to unleash Skills within","<tutorialgesture>{힘의 마석 제작}\r\n젬 장인은 미가공 젬으로 젬을 제작해서 내부의 스킬을 발현할 수 있습니다.","<tutorialgesture>{Criação de Gemas de Virtude}\r\nArtífices de gemas conseguem transformar Gemas Brutas para despertar suas habilidades","WIP","<tutorialgesture>{Fabricación de gemas de virtud}\r\nLos artesanos de gemas pueden fabricar gemas sin tallar para liberar las habilidades de su interior","<tutorialgesture>{การคราฟท์มณีบารมี}\r\nช่างฝีมือมณีสามารถคราฟท์หินหยาบเพื่อปลดปล่อยสกิลที่อยู่ภายในได้","<tutorialgesture>{古靈寶石製作}\r\n寶石匠可加工未切割的寶石來解放其中蘊藏的技能",11
37,"SkillGemCrafting_2","<tutorialgesture>{[Drag]} the Uncut Skill Gem\r\ninto crafting slot","<tutorialgesture>{[Faites glisser]} la Gemme d'aptitude brute\r\ndans un emplacement de fabrication","<tutorialgesture>{[Ziehe]} die ungeschnittene Fertigkeitengemme\r\nin den Anfertigungsplatz.","<tutorialgesture>{[Drag]} the Uncut Skill Gem\r\ninto crafting slot","미가공 스킬 젬을 제작 슬롯으로\r\n<tutorialgesture>{[드래그]}하십시오.","<tutorialgesture>{[Arraste]} a Gema Bruta para o espaço de criação","WIP","<tutorialgesture>{[Drag|Arrastra]} la gema de habilidad sin tallar\r\na un espacio de fabricación","<tutorialgesture>{[ลาก]}หินสกิลหยาบ\r\nไปยังช่องคราฟท์","<tutorialgesture>{[拖曳]}未切割的寶石\r\n至加工插槽",11
38,"SkillGemCrafting_3","<tutorialgesture>{[Swipe]} through the Archetypes\r\nto see available Skills\r\n<tutorialgesture>{[Tap]} the Skill Icons to view the\r\ndetails of the Virtue","<tutorialgesture>{[Faites défiler]} les Archétypes\r\npour voir les Aptitudes disponibles\r\n<tutorialgesture>{[Appuyez]} sur les icônes des aptitudes pour inspecter les\r\ndétails de la Vertu","<tutorialgesture>{[Wische]} durch die Archetypen,\r\num die verfügbaren Fertigkeiten zu sehen.\r\n<tutorialgesture>{[Tippe]} die Fertigkeitensymbole, um die\r\nDetails der Macht zu sehen.","<tutorialgesture>{[Swipe]} through the Archetypes\r\nto see available Skills\r\n<tutorialgesture>{[Tap]} the Skill Icons to view the\r\ndetails of the Virtue","개편을 <tutorialgesture>{[스와이프]}하여 이용 가능한\r\n스킬을 확인하십시오.\r\n스킬 아이콘을 <tutorialgesture>{[터치]}해서 마석의 상세 정보를\r\n확인하십시오.","<tutorialgesture>{[Deslize]} pelos Arquétipos para ver as habilidades disponíveis\r\n<tutorialgesture>{[Toque]} nos ícones de habilidade para ver os detalhes da Virtude","WIP","<tutorialgesture>{[Swipe|Desliza]} por los arquetipos\r\npara ver las habilidades disponibles\r\n<tutorialgesture>{[Tap|Pulsa]} los iconos de las habilidades para ver los detalles de la virtud","<tutorialgesture>{[ปัด]}ไปตามสายต่างๆ\r\nเพื่อดูสกิลที่มีให้ใช้งาน\r\n<tutorialgesture>{[แตะ]}ที่ไอคอนสกิล\r\nเพื่อดูรายละเอียดของมณีบารมีนั้น","<tutorialgesture>{[滑動]}切換原型\r\n來查看可用技能\r\n<tutorialgesture>{[輕點]}技能圖示來檢視\r\n古靈的詳細資訊",11
39,"SkillGemCrafting_4","<tutorialgesture>{[Tap]} the Engrave button \r\nto create a new <gem>{Skill Gem}","<tutorialgesture>{[Appuyez]} sur le bouton Graver \r\npour créer une nouvelle <gem>{Gemme d'aptitude}","<tutorialgesture>{[Tippe]} die Schaltfläche Gravieren,\r\num eine neue <gem>{Fertigkeitengemme} zu erstellen.","<tutorialgesture>{[Tap]} the Engrave button \r\nto create a new <gem>{Skill Gem}","새기기 버튼을 <tutorialgesture>{[터치]}해서 새로운 \r\n<gem>{스킬 젬}을 생성하십시오.","<tutorialgesture>{[Toque]} no botão de gravar para criar uma nova <gem>{Gema de Habilidade}","WIP","<tutorialgesture>{[Tap|Pulsa]} el botón Grabar \r\npara crear una nueva <gem>{gema de habilidad}","<tutorialgesture>{[แตะ]}ปุ่มสลัก \r\nเพื่อสร้าง<gem>{หินสกิล}ใหม่","<tutorialgesture>{[輕點]}銘刻鍵\r\n來創造出一顆新的<gem>{技能寶石}",11
40,"SkillGemCrafting_4b","<tutorialgesture>{This Skill requirements a higher\r\nItem Level Uncut Skill Gem}\r\nPick a new skill to Engrave","<tutorialgesture>{Cette Aptitude nécessite une Gemme d'aptitude brute\r\nd'un niveau d'objet plus élevé}\r\nChoisissez une nouvelle aptitude à Graver","<tutorialgesture>{Diese Fertigkeit erfordert eine ungeschnittene Fertigkeitengemme einer höheren Stufe}.\r\nWähle eine neue Fertigkeit zum Schneiden.","<tutorialgesture>{This Skill requirements a higher\r\nItem Level Uncut Skill Gem}\r\nPick a new skill to Engrave","<tutorialgesture>{이 스킬은 아이템 레벨이 더 높은\r\n미가공 스킬 젬이 필요합니다.}\r\n새길 새 스킬을 선택하십시오.","<tutorialgesture>{Esta habilidade precisa de uma Gema de Habilidade Bruta com nível de item maior}\r\nEscolha uma nova habilidade para gravar","WIP","<tutorialgesture>{Esta habilidad requiere una gema\r\nde habilidad sin tallar de nivel de objeto más alto}\r\nElige otra habilidad para grabar","<tutorialgesture>{สกิลนี้ต้องการหินสกิลหยาบ\r\nที่มีไอเทมเลเวลสูงกว่านี้}\r\nกรุณาเลือกสกิลใหม่ที่ต้องการสลัก","<tutorialgesture>{此技能需要一顆更高\r\n等級的未切割寶石}\r\n挑選一種新技能來銘刻",11
41,"SkillGemCrafting_5","<tutorialgesture>{[Drag]} the <gem>{Skill Gem} back to your Inventory","<tutorialgesture>{[Faites glisser]} la <gem>{Gemme d'aptitude} vers votre inventaire","<tutorialgesture>{[Ziehe]} die <gem>{Fertigkeitengemme} zurück in dein Inventar.","<tutorialgesture>{[Drag]} the <gem>{Skill Gem} back to your Inventory","<gem>{스킬 젬}을 다시 소지품창으로 <tutorialgesture>{[드래그]}하십시오.","<tutorialgesture>{[Arraste]} a <gem>{Gema de Habilidade} de volta para o inventário","WIP","<tutorialgesture>{[Drag|Arrastra]} la <gem>{gema de habilidad} de vuelta a tu inventario","<tutorialgesture>{[ลาก]}<gem>{หินสกิล}กลับไปยังช่องเก็บของของคุณ","將<gem>{技能寶石}<tutorialgesture>{[Drag|拖曳]}回你的背包",11
42,"SkillGemCrafting_6","<tutorialgesture>{Tutorial Complete!}\r\nWhen you are ready to equip the crafted <gem>{Skill Gem} \r\ngo to the Skills menu and drag it into the slot","<tutorialgesture>{Tutoriel terminé !}\r\nLorsque vous serez prêt à vous équiper de la <gem>{Gemme d'aptitude} fabriquée,\r\nrendez-vous dans le menu des Aptitudes et faites-la glisser dans l'emplacement dédié","<tutorialgesture>{Tutorial abgeschlossen!}\r\nWenn du bereit bist, die angefertigte <gem>{Fertigkeitengemme}} auszurüsten \r\ngehe zum Fertigkeitenmenü und ziehe sie in den entsprechenden Platz.","<tutorialgesture>{Tutorial Complete!}\r\nWhen you are ready to equip the crafted <gem>{Skill Gem} \r\ngo to the Skills menu and drag it into the slot","<tutorialgesture>{튜토리얼 완료!}\r\n제작한 <gem>{스킬 젬}을 장착할 준비가 되면, \r\n스킬 멘로 가서 슬롯에 드래그해 넣으십시오.","<tutorialgesture>{Tutorial concluído!}\r\nPara equipar a <gem>{Gema de Habilidade} criada, vá ao menu de habilidades e arraste-a até o encaixe","WIP","<tutorialgesture>{¡Tutorial completado!}\r\nCuando quieras equipar la <gem>{gema de habilidad} fabricada\r\nve al menú Habilidades y arrástrala al espacio","<tutorialgesture>{จบการสอนแล้ว!}\r\nหากคุณพร้อมสวมใส่<gem>{หินสกิล}ที่คราฟท์\r\nให้ไปที่เมนูสกิลแล้วลากเข้าไปในช่อง","<tutorialgesture>{引導教學完成！}\r\n當你準備裝備加工完成的<gem>{技能寶石}， \r\n前往技能選單並拖曳至插槽中",11
43,"SkillGemCrafting_7","[DNT-UNUSED]END OF SKILL GEM CRAFTING TUTORIAL. JUST COMPLETE THE TUTORIAL","WIP","[DNT-UNUSED]END OF SKILL GEM CRAFTING TUTORIAL. JUST COMPLETE THE TUTORIAL","[DNT-UNUSED]END OF SKILL GEM CRAFTING TUTORIAL. JUST COMPLETE THE TUTORIAL","WIP","WIP","WIP","[DNT-UNUSED]END OF SKILL GEM CRAFTING TUTORIAL. JUST COMPLETE THE TUTORIAL","DNT","WIP",11
44,"WeaponSets_1","<tutorialgesture>{Your character has two Weapon Sets}\r\nWeapon Sets switch automatically to meet Skill requirements as they are used, but switching weapons takes time!","<tutorialgesture>{Votre personnage dispose de deux Ensembles d'armes}\r\nLes Ensembles d'armes permutent automatiquement pour répondre aux prérequis des Aptitudes lorsqu'elles sont utilisées, mais la permutation d'armes prend du temps !","<tutorialgesture>{Dein Charakter hat zwei Waffensets}.\r\nWaffensets wechseln automatisch, um die Fertigkeitsanforderungen zu erfüllen, wenn sie benutzt werden, aber das Wechseln von Waffen braucht Zeit!","<tutorialgesture>{Your character has two Weapon Sets}\r\nWeapon Sets switch automatically to meet Skill requirements as they are used, but switching weapons takes time!","<tutorialgesture>{캐릭터에게는 무기 세트가 2개 있습니다.}\r\n무기 세트는 스킬의 요구 조건을 충족시키기 위해 자동으로 전환되지만, 무기를 전환하는 데는 시간이 걸립니다!","<tutorialgesture>{Seu personagem tem dois Conjuntos de Armas}\r\nOs conjuntos se alternam automaticamente para atender aos requisitos da habilidade usada, mas isso leva um tempo!","WIP","<tutorialgesture>{Tu personaje tiene dos sets de armas}\r\nLos sets de armas se cambian automáticamente para cumplir los requisitos de las habilidades cuando las usas, pero cambiar de armas requiere un tiempo.","<tutorialgesture>{ตัวละครของคุณมีชุดอาวุธสองชุด}\r\nชุดอาวุธจะสลับไปตามเงื่อนไขการใช้งานของสกิลที่ใช้โดยอัตโนมัติ แต่การสลับอาวุธต้องใช้เวลา!","<tutorialgesture>{你的角色有兩組武器套裝}\r\n使用技能時，會自動切換武器套裝來滿足需求，但切換武器需要時間！",12
45,"WeaponSets_2","[DNT-UNUSED]END OF TUTORIAL. JUST SET COMPLETE FLAG","WIP","[DNT-UNUSED]END OF TUTORIAL. JUST SET COMPLETE FLAG","[DNT-UNUSED]END OF TUTORIAL. JUST SET COMPLETE FLAG","WIP","WIP","WIP","[DNT-UNUSED]END OF TUTORIAL. JUST SET COMPLETE FLAG","DNT","WIP",12
46,"Identify_1","<tutorialgesture>{You have found an unidentified Item}\r\nAn Item must be identified before\r\nit can be equipped","<tutorialgesture>{Vous avez trouvé un objet non identifié}\r\nUn objet doit être identifié avant\r\nde pouvoir être équipé","<tutorialgesture>{Du hast einen nicht identifizierten Gegenstand gefunden}.\r\nEin Gegenstand muss identifiziert werden, bevor\r\ner ausgerüstet werden kann.","<tutorialgesture>{You have found an unidentified Item}\r\nAn Item must be identified before\r\nit can be equipped","<tutorialgesture>{미식별 아이템을 찾았습니다.}\r\n아이템은 먼저 식별해야\r\n장착할 수 있습니다.","<tutorialgesture>{Você encontrou um item não identificado}\r\nÉ preciso identificá-lo antes de equipar","WIP","<tutorialgesture>{Has encontrado un objeto sin identificar}\r\nPara poder equipar un objeto primero debes identificarlo","<tutorialgesture>{คุณพบไอเทมที่ยังไม่ได้ตรวจสอบ}\r\nไอเทมชิ้นหนึ่งจะต้องได้รับการตรวจสอบก่อน\r\nจึงจะนำไปสวมใส่ได้","<tutorialgesture>{你發現了一個未鑑定的物品}\r\n物品必須經過鑑定\r\n才可裝備",13
47,"Identify_2","<tutorialgesture>{[Drag]} and use a Scroll of Wisdom\r\non an unidentified Item","<tutorialgesture>{[Faites glisser]} et utilisez un Parchemin de sagesse\r\nsur un objet non identifié","<tutorialgesture>{[Ziehe]} und verwende eine Identifikationsrolle auf einen nicht identifizierten Gegenstand.","<tutorialgesture>{[Drag]} and use a Scroll of Wisdom\r\non an unidentified Item","미식별 아이템 위에 감정 주문서를\r\n<tutorialgesture>{[드래그]}해서 사용하십시오.","<tutorialgesture>{[Arraste]} e use um Pergaminho da Sabedoria em um item não identificado","WIP","<tutorialgesture>{[Drag|Arrastra]} y usa un pergamino\r\nde sabiduría en un objeto sin identificar","<tutorialgesture>{[ลาก]}แล้วใช้ Scroll of Wisdom\r\nไปกับไอเทมที่ยังไม่ได้ตรวจสอบ","<tutorialgesture>{[拖曳]}並對一個未鑑定物品\r\n使用一張知識卷軸",13
48,"Identify_3","<tutorialgesture>{The Item is now identified}\r\nIn each Town, There will be a Vendor who will identify all your Items free of charge!","<tutorialgesture>{L'objet est désormais identifié}\r\nDans chaque ville, vous trouverez un Marchand qui identifiera tous vos objets gratuitement !","<tutorialgesture>{Der Gegenstand ist jetzt identifiziert}.\r\nIn jeder Stadt wird es einen Verkäufer geben, der alle deine Gegenstände kostenlos identifizieren kann!","<tutorialgesture>{The Item is now identified}\r\nIn each Town, There will be a Vendor who will identify all your Items free of charge!","<tutorialgesture>{이제 아이템을 식별했습니다.}\r\n각 마을에는 아이템을 무료로 식별해 주는 상인이 있습니다!","<tutorialgesture>{O item foi identificado}\r\nToda cidade tem um vendedor que identifica seus itens sem cobrar nada!","WIP","<tutorialgesture>{El objeto ahora está identificado}\r\nEn cada pueblo, hay un vendedor que identificará todos tus objetos gratis.","<tutorialgesture>{ไอเทมนี้ได้รับการตรวจสอบแล้ว}\r\nแต่ละเมืองจะมีผู้ค้าขายที่ตรวจสอบไอเทมทุกชิ้นให้กับคุณได้ฟรีๆ!","<tutorialgesture>{此物品已鑑定完成}\r\n每座城鎮都有一個商人免費為你鑑定物品！",13
49,"Identify_4","[DNT-UNUSED]END OF TUTORIAL. JUST SET COMPLETE FLAG","WIP","[DNT-UNUSED]END OF TUTORIAL. JUST SET COMPLETE FLAG","[DNT-UNUSED]END OF TUTORIAL. JUST SET COMPLETE FLAG","WIP","WIP","WIP","[DNT-UNUSED]END OF TUTORIAL. JUST SET COMPLETE FLAG","DNT","WIP",13
50,"FlaskWell_1","<tutorialgesture>{[Tap]} to use the Well\r\nWells restore Life, Mana, and Flask Charges","<tutorialgesture>{[Appuyez]} pour utiliser le Puits\r\nLes Puits restaurent la Vie, le Mana et les Charges de Flacon","<tutorialgesture>{[Tippe]} zur Nutzung des Brunnens.\r\nBrunnen stellen Leben, Mana und Fläschchenfüllungen wieder her.","<tutorialgesture>{[Tap]} to use the Well\r\nWells restore Life, Mana, and Flask Charges","<tutorialgesture>{[터치]}해서 우물을 사용하십시오.\r\n우물은 생명력과 마나, 플라스크 충전을 복원합니다.","<tutorialgesture>{[Toque]} para usar o Poço\r\nPoços restauram Vida, Mana e cargas dos Frascos","WIP","<tutorialgesture>{[Tap|Pulsa]} para usar el pozo\r\nLos pozos restauran la vida, el maná y las cargas de frascos","<tutorialgesture>{[แตะ]}เพื่อใช้บ่อน้ำ\r\nบ่อน้ำจะเติมทั้งพลังชีวิต มานา และชาร์จขวดยา","<tutorialgesture>{[輕點]}使用水井\r\n水井可恢復生命、魔力及藥劑充能",14
