"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","BackgroundImage","i32_24","f32_28","f32_32","string_36","string_44","ForegroundImage","QuestFlag","i32_76","AwardVideo","SoundEffect"
42,"SanctumRelicSlotUnlock12","Relic Altar Slot Unlocked","Emplacement débloqué dans l'Autel des Reliques","Altar-Platz für Relikte freigeschaltet","レリックの祭壇のスロットがアンロックされました","유물 제단 슬롯을 개방했습니다","Espaço de Altar de Relíquias Desbloqueado","Разблокирована ячейка алтаря реликвий","Espacio de reliquia del Altar desbloqueado","ปลดล็อก ช่องในแท่นวัตถุตกทอด แล้ว","解鎖聖物祭壇欄位","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardBackground",1025,3,2,"","","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardIconsRelicSlot","",0,"",456
43,"SanctumSpecialRelicSlotUnlocked","Sanctified Relic Altar Slot Unlocked","Emplacement de Relique Sanctifiée débloqué dans l'Autel des Reliques","Altar-Platz für Heilige Relikte freigeschaltet","聖別されたレリックの祭壇のスロットがアンロックされました","축성된 유물 제단 슬롯을 개방했습니다","Espaço de Altar de Relíquia Santificada Desbloqueado","Разблокирована ячейка алтаря реликвий под освященную реликвию","Espacio de reliquia santificada del Altar desbloqueado","ปลดล็อก ช่องใส่แท่นวัตถุตกทอดบริสุทธิ์ แล้ว","解鎖神化聖物祭壇","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardBackground",1030,3,2,"","","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardIconsRelicSlot","",0,"",456
44,"SanctumRelicLockerUnlocked","Relic Locker decoration now available in your Hideout","Nouvelle décoration disponible dans votre Repaire :\nCasier de Reliques","Die Dekoration Relikt-Truhe ist jetzt in deinem Versteck verfügbar","レリックロッカー装飾品が隠れ家で使用できるようになりました","이제 유물 사물함 장식을 은신처에서 사용할 수 있습니다.","Decoração Armário de Relíquias disponível em seu refúgio","Декорация Сундук с реликвиями теперь доступна в вашем убежище","La decoración Cofre de reliquias ya está disponible en tu guarida","ของตกแต่ง ล็อกเกอร์วัตถุตกทอด (Relic Locker) สามารถใช้ได้ในที่ซ่อนของคุณแล้ว","裝飾物：聖物鎖櫃現在可以在你的藏身處中使用","Art/2DArt/UIImages/InGame/GenericRewardBackground",1011,3,2,"","","Art/2DArt/UIImages/InGame/SanctumStashDisplay","",0,"",456
45,"SanctumMerchantUnlocked","Divinia can appear within the Sanctum as a Merchant","Divinia peut apparaître dans le Sanctuaire en tant que Marchand","Divinia kann im Sanctum als Händler erscheinen","ディヴィニアがサンクタム内で商人として出現するようになりました","디비니아가 성역에 상인으로 등장합니다","Divinia pode aparecer no Santuário como comerciante","Дивиния может появиться внутри Святилища в качестве торговца","Divinia ya puede aparecer en el Santuario como mercader","ดีวีเนีย สามารถปรากฏเป็น แม่ค้า ในเทวสถานได้แล้ว","狄薇妮雅可以商人身分出現於聖域","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardBackground",1029,3,2,"","","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardIconsMerchant","",0,"",456
46,"SanctumPactsUnlocked","Accursed Pacts can appear within the Sanctum","Les Pactes maudits peuvent apparaître dans le Sanctuaire","Verfluchte Pakte können im Sanktum erscheinen","呪われた契約がサンクタム内で出現するようになりました","저주의 맹약이 성역에 등장합니다","Pactos Execráveis podem aparecer no Santuário","Проклятый пакт может появиться внутри Святилища","Los pactos malditos ya pueden aparecer en el Santuario","สัญญาสามานย์ สามารถปรากฏในเทวสถานได้แล้ว","被詛咒的冥約可以出現於聖域","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardBackground",1031,3,2,"","","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardIconsPact","",0,"",456
47,"SalvageBenchUnlocked","Salvage Bench Unlocked","Établi de recyclage débloqué","Verwertungswerkbank freigeschaltet","サルベージベンチがアンロックされました","분해 작업대 해제됨","Bancada de Reciclagem Desbloqueada","Разблокирован верстак для разборки","Mesa de reciclaje desbloqueada","ปลดล็อก โต๊ะรื้อ แล้ว","已解鎖回收台","Art/2DArt/UIImages/InGame/GenericRewardBackground",4026,3,2,"","","Art/2DArt/UIImages/InGame/SalvageToastDisplay","",0,"",1440
48,"ReforgingBenchUnlocked","Reforging Bench Unlocked","Établi de reforgeage débloqué","Umschmiedewerkbank freigeschaltet","リフォージベンチがアンロックされました","재련 작업대 해제됨","Bancada de Reforja Desbloqueada","Разблокирован верстак для перековки","Mesa de reforja desbloqueada","ปลดล็อก โต๊ะหลอม แล้ว","已解鎖重鑄台","Art/2DArt/UIImages/InGame/GenericRewardBackground",4079,3,2,"","","Art/2DArt/UIImages/InGame/ReforgingToastDisplay","",0,"",1440
49,"RecombinatorUnlocked","Recombinator Unlocked","Recombinateur débloqué","Rekombinator freigeschaltet","リコンビネーターがアンロックされました","재조합기 해제됨","Recombinador Desbloqueado","Разблокирован рекомбинатор","Recombinador desbloqueado","ปลดล็อก เครื่องผสมไอเทม แล้ว","已解鎖重組裝置","Art/2DArt/UIImages/InGame/GenericRewardBackground",4829,3,2,"","","Art/2DArt/UIImages/InGame/RecombinatorToastDisplay","",0,"",456
50,"DeliriumEndgameHubUnlocked","Location Discovered\n<smaller>{The Withered Willow}","Location Discovered\n<smaller>{The Withered Willow}","Gebiet entdeckt\n<smaller>{Die Welke Weide}","ロケーション発見\n<smaller>{枯れ柳}","위치 발견\n<smaller>{시든 버드나무}","Local descoberto\n<smaller>{O Salgueiro Murcho}","Обнаружена область\n<smaller>{Увядшая ива}","Ubicación descubierta\n<smaller>{Sauce marchito}","ค้นพบสถานที่\n<smaller>{ต้นหลิวเหี่ยวแห้ง}","已發現地點\n<smaller>{凋萎敗柳}","Art/2DArt/UIImages/InGame/GenericRewardBackground",4342,3,2,"","","Art/2DArt/UIImages/InGame/HubToastDisplayDelirium","",0,"",456
51,"RitualEndgameHubUnlocked","Location Discovered\n<smaller>{Caer Tarth}","Location Discovered\n<smaller>{Caer Tarth}","Gebiet entdeckt\n<smaller>{Caer Tarth}","ロケーション発見\n<smaller>{カイル・タルス}","위치 발견\n<smaller>{캐어 타르스}","Local descoberto\n<smaller>{Caer Tarth}","Обнаружена область\n<smaller>{Каэр Тарт}","Ubicación descubierta\n<smaller>{Caer Tarth}","ค้นพบสถานที่\n<smaller>{เคียร์ ทาร์ธ}","已發現地點\n<smaller>{凱爾塔斯}","Art/2DArt/UIImages/InGame/GenericRewardBackground",4349,3,2,"","","Art/2DArt/UIImages/InGame/HubToastDisplayRitual","",0,"",456
52,"BreachEndgameHubUnlocked","Location Discovered\n<smaller>{Monastery of the Keepers}","Location Discovered\n<smaller>{Monastery of the Keepers}","Gebiet entdeckt\n<smaller>{Kloster der Hüter}","ロケーション発見\n<smaller>{守護者の修道院}","위치 발견\n<smaller>{수호자들의 수도원}","Local descoberto\n<smaller>{Monastério dos Protetores}","Обнаружена область\n<smaller>{Монастырь Хранителей}","Ubicación descubierta\n<smaller>{Monasterio de los protectores}","ค้นพบสถานที่\n<smaller>{อารามผู้ธำรง}","已發現地點\n<smaller>{看守者的修道院}","Art/2DArt/UIImages/InGame/GenericRewardBackground",4290,3,2,"","","Art/2DArt/UIImages/InGame/HubToastDisplayBreach","",0,"",456
53,"AbyssEndgameHubUnlocked","Location Discovered\n<smaller>{The Well of Souls}","Location Discovered\n<smaller>{The Well of Souls}","Gebiet entdeckt\n<smaller>{Brunnen der Seelen}","ロケーション発見\n<smaller>{魂の井戸}","위치 발견\n<smaller>{영혼의 우물}","Local descoberto\n<smaller>{O Poço das Almas}","Обнаружена область\n<smaller>{Колодец душ}","Ubicación descubierta\n<smaller>{Pozo de las almas}","ค้นพบสถานที่\n<smaller>{บ่อวิญญาณ}","已發現地點\n<smaller>{靈魂深井}","Art/2DArt/UIImages/InGame/GenericRewardBackground",4512,3,2,"","","Art/2DArt/UIImages/InGame/HubToastDisplayAbyss","",0,"",456
54,"IncursionEndgameHubUnlocked","Location Discovered\n<smaller>{Vaal Ruins}","Location Discovered\n<smaller>{Vaal Ruins}","Gebiet entdeckt\n<smaller>{Vaal-Ruinen}","ロケーション発見\n<smaller>{ヴァールの遺跡}","위치 발견\n<smaller>{바알 유적}","Local descoberto\n<smaller>{Ruínas Vaal}","Обнаружена область\n<smaller>{Руины ваал}","Ubicación descubierta\n<smaller>{Ruinas vaal}","ค้นพบสถานที่\n<smaller>{ซากปรักหักพังวาล์}","已發現地點\n<smaller>{瓦爾廢墟}","Art/2DArt/UIImages/InGame/GenericRewardBackground",4526,3,2,"","","Art/2DArt/UIImages/InGame/HubToastDisplayIncursion","",0,"",456
55,"ExpeditionEndgameHubUnlocked","Location Discovered\n<smaller>{Ruins of Kingsmarch}","Location Discovered\n<smaller>{Ruins of Kingsmarch}","Gebiet entdeckt\n<smaller>{Ruinen von Königsmark}","ロケーション発見\n<smaller>{キングスマーチの廃墟}","위치 발견\n<smaller>{킹스마치의 폐허}","Local descoberto\n<smaller>{Ruínas de Kingsmarch}","Обнаружена область\n<smaller>{Развалины Кингсмарша}","Ubicación descubierta\n<smaller>{Ruinas de Marca del rey}","ค้นพบสถานที่\n<smaller>{ซากนครคิงส์มาร์ช}","已發現地點\n<smaller>{金司馬區廢墟}","Art/2DArt/UIImages/InGame/GenericRewardBackground",4829,3,2,"","","Art/2DArt/UIImages/InGame/HubToastDisplayExpedition","",0,"",456
56,"DeliriumGigaMirrorMapSpawned","A Grand Mirror is now accessible on your Atlas","A Grand Mirror is now accessible on your Atlas","Ein Großer Spiegel ist nun in deinem Atlas verfügbar","アトラスでグランドミラーがアクセスできるようになりました","이제 아틀라스에서 웅장한 거울을 이용할 수 이용할 수 있습니다.","Agora você pode acessar um Espelho Imponente no seu Atlas","На вашем Атласе теперь доступно большое зеркало","Un espejo grande ha aparecido en tu Atlas","กระจกมโหฬารจะปรากฏในแอตลาสของคุณแล้ว","你的輿圖上已出現一面宏偉之鏡","Art/2DArt/UIImages/InGame/GenericRewardBackground",4829,3,2,"","","Art/2DArt/UIImages/InGame/HubToastDisplayDelirium","",0,"",456
57,"ExpeditionUIUnlocked","Runeshape Tome Unlocked\n<smaller>{Open with <N>{<normal>{<<keybind:open_expedition_panel>>}}}","Runeshape Tome Unlocked\n<smaller>{Open with <N>{<normal>{<<keybind:open_expedition_panel>>}}}","Runenbuch freigeschaltet\n<smaller>{Öffne es mit <N>{<normal>{<<keybind:open_expedition_panel>>}}}","ルーンシェープの書がアンロックされました\n<smaller><N>{<normal>{<<keybind:open_expedition_panel>>で開けます}}}","룬형태 책 해제됨\n<smaller>{열기: <N>{<normal>{<<keybind:open_expedition_panel>>}}}","Tomo das Formas Rúnicas Desbloqueado\n<smaller>{Abra-o com <N>{<normal>{<<keybind:open_expedition_panel>>}}}","Разблокирована рунотворческая книга\n<smaller>{Откройте, нажав <N>{<normal>{<<keybind:open_expedition_panel>>}}}","Tomo de runas desbloqueado\n<smaller>{Abrir con <N>{<normal>{<<keybind:open_expedition_panel>>}}}","ปลดล็อกคัมภีร์รูปอักขระแล้ว\n<smaller>{เปิดด้วย <N>{<normal>{<<keybind:open_expedition_panel>>}}}","已解鎖符形密典\n\r\n<smaller>{以 <N>{<normal>{<<keybind:open_expedition_panel>>}}開啟}","Art/2DArt/UIImages/InGame/SilverGenericRewardBackground",4412,3,2,"","","Art/2DArt/UIImages/InGame/RunicTomeToastDisplay","",0,"Art/Videos/Award_Blue.bk2",1441
58,"ExpeditionCraftingBench1Unlocked","Verisium Anvil Unlocked\n<smaller>{Runeforged Armours}","Verisium Anvil Unlocked\n<smaller>{Runeforged Armours}","Verisium-Amboss freigeschaltet\n<smaller>{Runengeschmiedete Rüstungen}","ヴェリシウムの金床がアンロックされました\n<smaller>{防具のルーンフォージ}","베리시움 모루 해제됨\n<smaller>{룬벼림 방어구}","Bigorna de Verísio Desbloqueada\n<smaller>{Armaduras runiforjadas}","Разблокирована веризиевая наковальня\n<smaller>{Руннокованые доспехи}","Yunque de verisium desbloqueado\n<smaller>{Armaduras forjadas con runas}","ปลดล็อกทั่งเวรีเซียมแล้ว\n<smaller>{เกราะหลอมอักขระ}","已解鎖維里西姆鐵砧\n<smaller>{你現在可在維里西姆鐵砧重鑄護甲}","Art/2DArt/UIImages/InGame/SilverGenericRewardBackground",4419,3,2,"","","Art/2DArt/UIImages/InGame/RunicBenchToastDisplay","",8,"Art/Videos/Award_Blue.bk2",1441
59,"ExpeditionCraftingBench2Unlocked","Runic Inscriptions Unlocked\n<smaller>{Alloys}","Runic Inscriptions Unlocked\n<smaller>{Alloys}","Runen-Inschriften freigeschaltet\n<smaller>{Legierungen}","ルーンの刻印がアンロックされました\n<smaller>{合金}","룬 명문 해제됨\n<smaller>{합금}","Inscrições Rúnicas Desbloqueadas\n<smaller>{Ligas}","Разблокированы рунические начертания\n<smaller>{Сплавы}","Inscripciones rúnicas desbloqueadas\n<smaller>{Aleaciones}","ปลดล็อกลายสลักอักขระแล้ว\n<smaller>{โลหะ}","已解鎖新符文銘刻\n<smaller>{合金}","Art/2DArt/UIImages/InGame/SilverGenericRewardBackground",4424,3,2,"","","Art/2DArt/UIImages/InGame/RunicBenchToastDisplay","",8,"Art/Videos/Award_Blue.bk2",1441
60,"ExpeditionAct3CraftingKnowledgeUnlocked","Runeforging Recipe Unlocked\n<smaller>{Unique Weapons and Armour}","Runeforging Recipe Unlocked\n<smaller>{Unique Weapons and Armour}","Runenschmieden-Rezepte freigeschaltet\n<smaller>{Einzigartige Waffen und Rüstung}","ルーンフォージのレシピがアンロックされました\n<smaller>{ユニーク武器および防具}","룬벼림 조합법 해제됨\n<smaller>{고유 무기 및 방어구}","Receita de Runiforja Desbloqueada\n<smaller>{Armas e armaduras únicas}","Разблокирован рунодельческий рецепт\n<smaller>{Уникальное оружие и доспехи}","Receta de forja de runas desbloqueada\n<smaller>{Armas y armaduras únicas}","ปลดล็อกสูตรหลอมอักขระแล้ว\n<smaller>{อาวุธและเกราะยูนิค}","已解鎖符鍛配方\n<smaller>{傳奇武器和護甲}","Art/2DArt/UIImages/InGame/SilverGenericRewardBackground",4429,3,2,"","","Art/2DArt/UIImages/InGame/RunicBenchToastDisplay","",8,"Art/Videos/Award_Blue.bk2",1441
61,"ExpeditionAct4CraftingKnowledgeUnlocked","Runic Inscriptions Unlocked\n<smaller>{Ancient Runes}","Runic Inscriptions Unlocked\n<smaller>{Ancient Runes}","Runen-Inschriften freigeschaltet\n<smaller>{Uralte Runen}","ルーンの刻印がアンロックされました\n<smaller>{古代のルーン}","룬 명문 해제됨\n<smaller>{고대 룬}","Inscrições Rúnicas Desbloqueadas\n<smaller>{Runas Antigas}","Разблокированы рунические начертания\n<smaller>{Древние руны}","Inscripciones rúnicas desbloqueadas\n<smaller>{Runas antiguas}","ปลดล็อกลายสลักอักขระแล้ว\n<smaller>{อักขระโบราณ}","已解鎖新符文銘刻\n<smaller>{遠古符文}","Art/2DArt/UIImages/InGame/SilverGenericRewardBackground",4430,3,2,"","","Art/2DArt/UIImages/InGame/RunicBenchToastDisplay","",8,"Art/Videos/Award_Blue.bk2",1441
62,"ExpeditionLogbookKalguuranWeaponCraftingUnlocked","Runeforging Recipe Unlocked\n<smaller>{Kalguuran Unique Weapons}","Runeforging Recipe Unlocked\n<smaller>{Kalguuran Unique Weapons}","Runenschmieden-Rezepte freigeschaltet\n<smaller>{Einzigartige Waffen der Kalguur}","ルーンフォージレシピがアンロックされました\n<smaller>{カルグールのユニーク武器}","룬벼림 조합법 해제됨\n<smaller>{칼구르 고유 무기}","Receita de Runiforja Desbloqueada\n<smaller>{Armas únicas kalguuranas}","Разблокирован рунодельческий рецепт\n<smaller>{Уникальное калгууранское оружие}","Receta de forja de runas desbloqueada\n<smaller>{Armas únicas kalguranas}","ปลดล็อกสูตรหลอมอักขระแล้ว\n<smaller>{อาวุธยูนิคคาลเกอร์}","已解鎖符鍛配方\n<smaller>{卡爾葛傳奇武器}","Art/2DArt/UIImages/InGame/SilverGenericRewardBackground",4775,3,2,"","","Art/2DArt/UIImages/InGame/RunicBenchToastDisplay","",0,"Art/Videos/Award_Blue.bk2",1441
63,"ExpeditionLogbookKalguuranArmourCraftingUnlocked","Runeforging Recipe Unlocked\n<smaller>{Kalguuran Unique Armours}","Runeforging Recipe Unlocked\n<smaller>{Kalguuran Unique Armours}","Runenschmieden-Rezepte freigeschaltet\n<smaller>{Einzigartige Rüstungen der Kalguur}","ルーンフォージレシピがアンロックされました\n<smaller>{カルグールのユニーク防具}","룬벼림 조합법 해제됨\n<smaller>{칼구르 고유 방어구}","Receita de Runiforja Desbloqueada\n<smaller>{Armaduras únicas kalguuranas}","Разблокирован рунодельческий рецепт\n<smaller>{Уникальные калгууранские доспехи}","Receta de forja de runas desbloqueada\n<smaller>{Armaduras únicas kalguranas}","ปลดล็อกสูตรหลอมอักขระแล้ว\n<smaller>{เกราะยูนิคคาลเกอร์}","已解鎖符鍛配方\n<smaller>{卡爾葛傳奇護甲}","Art/2DArt/UIImages/InGame/SilverGenericRewardBackground",4776,3,2,"","","Art/2DArt/UIImages/InGame/RunicBenchToastDisplay","",0,"Art/Videos/Award_Blue.bk2",1441
64,"ExpeditionLogbookKalguuranJewelleryCraftingUnlocked","Runeforging Recipe Unlocked\n<smaller>{Kalguuran Unique Jewellery}","Runeforging Recipe Unlocked\n<smaller>{Kalguuran Unique Jewellery}","Runenschmieden-Rezepte freigeschaltet\n<smaller>{Einzigartige Juwelen der Kalguur}","ルーンフォージレシピがアンロックされました\n<smaller>{カルグールのユニーク宝飾品}","룬벼림 조합법 해제됨\n<smaller>{칼구르 고유 장신구}","Receita de Runiforja Desbloqueada\n<smaller>{Pedrarias únicas kalguuranas}","Разблокирован рунодельческий рецепт\n<smaller>{Уникальная калгууранская бижутерия}","Receta de forja de runas desbloqueada\n<smaller>{Joyería única kalgurana}","ปลดล็อกสูตรหลอมอักขระแล้ว\n<smaller>{เครื่องประดับยูนิคคาลเกอร์}","已解鎖符鍛配方\n<smaller>{卡爾葛傳奇飾品}","Art/2DArt/UIImages/InGame/SilverGenericRewardBackground",4777,3,2,"","","Art/2DArt/UIImages/InGame/RunicBenchToastDisplay","",0,"Art/Videos/Award_Blue.bk2",1441
65,"ExpeditionLogbookLevel20InherentCraftingUnlocked","Crafting Knowledge Unlocked\n<smaller>{Item Skill Upgrades}","Crafting Knowledge Unlocked\n<smaller>{Item Skill Upgrades}","Anfertigungswissen freigeschaltet\n<smaller>{Aufwertungen von Gegenstandsfertigkeiten}","クラフトの知識がアンロックされました\n<smaller>{アイテムスキルアップグレード}","제작 지식 해제됨\n<smaller>{아이템 스킬 업그레이드}","Conhecimento de Criação Desbloqueado\n<smaller>{Atualizações de habilidade de itens}","Разблокированы ремесленные знания\n<smaller>{Улучшения умений от предметов}","Conocimiento de fabricación desbloqueado\n<smaller>{Mejoras para las habilidades de los objetos}","ปลดล็อกความรู้ในการคราฟท์แล้ว\n<smaller>{อัพเกรดสกิลของไอเทม}","已解鎖工藝知識\n<smaller>{物品技能升級}","Art/2DArt/UIImages/InGame/SilverGenericRewardBackground",4778,3,2,"","","Art/2DArt/UIImages/InGame/RunicBenchToastDisplay","",0,"Art/Videos/Award_Blue.bk2",1441
