"rownum","string_0","string_8","string_8 (French)","string_8 (German)","string_8 (Japanese)","string_8 (Korean)","string_8 (Portuguese)","string_8 (Russian)","string_8 (Spanish)","string_8 (Thai)","string_8 (Traditional Chinese)","string_16","string_16 (French)","string_16 (German)","string_16 (Japanese)","string_16 (Korean)","string_16 (Portuguese)","string_16 (Russian)","string_16 (Spanish)","string_16 (Thai)","string_16 (Traditional Chinese)","string_24","i32_32","string_36","string_44"
42,"GamepadTargetingCustomOptionAimOverrideSoftlockDesc","{0}\r\nTarget Softlock is disabled. Use {2} to aim manually on targets.\r\n\r\n{1}\r\nTarget Softlock is enabled. Use {2} to target lock an enemy for a short duration.","{0}\r\nLe verrouillage souple de cible est désactivé. Utilisez {2} pour viser manuellement les cibles.\r\n\r\n{1}\r\nLe verrouillage souple de cible est activé. Utilisez {2} pour verrouiller temporairement une cible.","{0}\r\nEinfache Zielarretierung ist deaktiviert. Verwende {2}, um manuell auf Ziele zu zielen.\r\n\r\n{1}\r\nEinfache Zielarretierung ist aktiviert. Verwende {2}, um einen Gegner für eine kurze Zeit zu arretieren.","{0}\r\n{2}がアクティブでなくなった後、通常の対象動作が再開されます。\r\n\r\n{1}\r\n{2}で敵一体を選択すると、一定時間、敵はターゲットロックされます。","{0}\r\n대상 고정을 사용하지 않습니다. {2} 사용 시 대상을 수동으로 조준합니다.\r\n\r\n{1}\r\n대상 고정을 사용합니다. {2} 사용 시 짧은 시간 동안 적이 대상으로 고정됩니다.","{0} \r\nTrava Suave de Alvo desativado. Use {2} para mirar manualmente nos alvos.\r\n\r\n{1} \r\nTrava Suave de Alvo ativado. Use {2} para travar a mira em um inimigo por um curto período.","{0}\r\nМягкая блокировка выбранной цели выключена. Цель задаётся вручную кнопкой {2}.\r\n\r\n{1}\r\nМягкая блокировка выбранной цели включена. Кнопка {2} задаёт врага в качестве цели на короткое время.","{0}\r\nEl bloqueo suave de objetivos está desactivado. Usa {2} para apuntar manualmente a los objetivos.\r\n\r\n{1}\r\nEl bloqueo suave de objetivos está activado. Usa {2} para fijar a un enemigo y bloquearlo como objetivo durante un breve periodo de tiempo.","{0}\r\nปิดการล็อกเป้าหมาย ใช้ {2} เพื่อเล็งเป้าหมายด้วยตัวเอง\r\n\r\n{1}\r\nเปิดการล็อกเป้าหมาย ใช้ {2} เพื่อล็อกเป้าหมายศัตรูเป็นระยะเวลาสั้นๆ","{0}\r\n已停用軟鎖。使用 {2} 來手動瞄準目標。\r\n\r\n{1}\r\n已啟用軟鎖。使用 {2} 以在短時間內鎖定一名敵人。","","","","","","","","","","","",-2096374788,"",""
43,"GamepadTargetingCustomOptionPriortiseCombatDirectionDesc","{0}\r\nAuto-targeting priortises your {2} move direction.\r\n\r\n{1}\r\nAuto-targeting priotises targets in the direction your character is facing.","{0}\r\nLe ciblage automatique privilégie votre direction de déplacement {2}.\r\n\r\n{1}\r\nLe ciblage automatique privilégie les cibles dans la direction que votre personnage regarde.","{0}\r\nDie automatische Zielerfassung bevorzugt deine {2} Bewegungsrichtung.\r\n\r\n{1}\r\nDie automatische Zielerfassung bevorzugt Ziele in der Richtung, in die dein Charakter blickt.","{0}\r\n{2} の移動方向が照準方向になります。\r\n\r\n{1}\r\n現在の対象が照準方向になります。","{0}\r\n자동 대상 지정이 {2} 이동 방향을 우선으로 합니다.\r\n\r\n{1}\r\n자동 대상 지정이 캐릭터가 바라보는 방향에 있는 대상을 우선으로 합니다.","{0} \r\nA mira automática prioriza sua direção de movimento {2}.\r\n\r\n{1} \r\nA mira automática prioriza alvos na direção que seu personagem está enfrentando.","{0}\r\nАвтоматическое нацеливание отдаёт приоритет направлению {2} вашего движения.\r\n\r\n{1}\r\nАвтоматическое нацеливание отдаёт приоритет целям в направлении взгляда вашего персонажа.","{0}\r\nLa selección automática de objetivos prioriza la dirección en la que mueves {2}.\r\n\r\n{1}\r\nLa selección automática de objetivos prioriza a los objetivos que se encuentran en la dirección en la que mira tu personaje.","{0}\r\nเลือกเป้าหมายอัตโนมัติตามทิศทางการเคลื่อนที่ด้วย {2} ของคุณเป็นหลัก\r\n\r\n{1}\r\nเลือกเป้าหมายอัตโนมัติตามทิศทางการหันหน้าของตัวละครคุณเป็นหลัก","{0}\r\n自動鎖定會優先朝著 {2} 的移動方向。\r\n\r\n{1}\r\n自動鎖定會以你角色朝向的的目標為優先。","","","","","","","","","","","",-1402799092,"",""
44,"GamepadTargetingModeTitleAuto","Targeting Mode\r\n<bigger>{<valuedefault>{Automatic}}","Mode de ciblage\r\n<bigger>{<valuedefault>{Automatique}}","Zielmodus\r\n<bigger>{<valuedefault>{Automatisch}}","ターゲッティングモード\r\n<bigger>{<valuedefault>{自動}}","대상 지정 모드\r\n<bigger>{<valuedefault>{자동}}","Modo de Mira\r\n<bigger>{<valuedefault>{Automático}}","Режим прицеливания\r\n<bigger>{<valuedefault>{Автоматический}}","Modo de selección de objetivos\r\n<bigger>{<valuedefault>{Automático}}","โหมดเลือกเป้าหมาย\r\n<bigger>{<valuedefault>{อัตโนมัติ}}","目標鎖定模式\r\n<bigger>{<valuedefault>{自動}}","","","","","","","","","","","",-45190577,"",""
45,"GamepadTargetingAutoDescription","<subtitle>{Automatic (recommended)}\r\nSwitch between Ranged and Melee modes automatically depending on your weapon and skills. \r\n\r\n<italic>{<subtitle>{Skills which change targeting modes}}","<subtitle>{Automatique (recommandé)}\r\nAlterne automatiquement entre les modes À distance et Mêlée en fonction de votre arme et de vos aptitudes. \r\n\r\n<italic>{<subtitle>{Aptitudes modifiant les modes de ciblage}}","<subtitle>{Automatisch (empfohlen)}\r\nDie Modi für Fernkampf und Nahkampf wechseln automatisch je nach Waffe und Fertigkeiten.\r\n\r\n<italic>{<subtitle>{Fertigkeiten, die Zielmodi wechseln}}","<subtitle>{自動（推奨）}\r\n武器およびスキルに応じて遠距離モードと近接モードを自動的に切り替えます。\r\n\r\n<italic>{<subtitle>{ターゲティングモードを変更するスキル}}","<subtitle>{자동(권장)}\r\n무기와 스킬에 따라 자동으로 원거리 모드와 근접 모드를 전환합니다. \r\n\r\n<italic>{<subtitle>{대상 지정 모드를 변경하는 스킬}}","<subtitle>{Automático (recomendado)} \r\nAlterna automaticamente entre os modos Corpo a Corpo e à Distância dependendo da sua arma e habilidades. \r\n\r\n<italic>{<subtitle>{Habilidades que alteram os modos de mira}}","<subtitle>{Автоматический (рекомендуется)}\r\nАвтоматическое переключение между режимами дальнего и ближнего боя в зависимости от вашего оружия и умений.\r\n\r\n<italic>{<subtitle>{Умения, меняющие режим прицеливания}}","<subtitle>{Automático (recomendado)}\r\nCambia automáticamente entre los modos A distancia y Cuerpo a cuerpo en función de tu arma y tus habilidades.\r\n\r\n<italic>{<subtitle>{Habilidades que cambian de modo de selección de objetivos}}","<subtitle>{อัตโนมัติ (แนะนำ)}\r\nสลับระหว่างโหมดประชิดและโหมดระยะไกลโดยอัตโนมัติตามอาวุธและสกิลที่คุณใช้งาน\r\n\r\n<italic>{<subtitle>{สกิลที่เปลี่ยนโหมดเลือกเป้าหมาย}}","<subtitle>{自動(推薦)}\r\n依據你的武器和技能自動切換遠程和近戰模式。 \r\n\r\n<italic>{<subtitle>{改變目標選擇模式的技能}}","","","","","","","","","","","",-1138268282,"",""
46,"QuickMoveToRelicsInventory","Place Relic","Placer la Relique","Relikt platzieren","レリックを設置","유물 놓기","Colocar Relíquia","Поместить реликвию","Colocar reliquia","ใส่วัตถุตกทอด","放置聖物","","","","","","","","","","","",136701853,"",""
47,"ConsoleActionToggleItemAdvancedInfo","Toggle Advanced Info","Activer/Désactiver les informations avancées","Erweiterte Informationen umschalten","詳細情報を切り替え","심화 정보 켜기/끄기","Ativar Informações Avançadas","Вкл./выкл. расширенные описания","Activar/desactivar información avanzada","เปิด/ปิดข้อมูลขั้นสูง","切換進階資訊","","","","","","","","","","","",124735499,"",""
48,"GamepadSettingAdvancedInfoOnPromotePopup","Advanced Info on Inspect","Informations avancées lorsque vous inspectez","Erweiterte Informationen beim Inspizieren","精査時の詳細情報","살펴보기 시 심화 정보 표시","Informações Avançadas ao Inspecionar","Расширенные описания при осмотре","Información avanzada al inspeccionar","แสดงข้อมูลขั้นสูงเมื่อขยายความ","檢視時顯示進階資訊","","","","","","","","","","","",-568220610,"",""
49,"GamepadSettingAdvancedInfoOnPromotePopupDesc","Show advanced information when entering Inspect Mode.","Montre des informations avancées lorsque vous passez en Mode Inspection.","Erweiterte Informationen beim Aufrufen des Inspiziermodus anzeigen.","精査モード時に詳細情報を表示します。","살펴보기 모드에 들어가면 심화 정보를 표시합니다.","Mostrar informações avançadas ao entrar no Modo de Inspeção.","Показывать расширенные описания при входе в режим осмотра.","Muestra información avanzada cuando entras en el modo inspección.","แสดงข้อมูลขั้นสูงเมื่อเข้าโหมดขยายความ","進入檢視模式時顯示進階資訊。","","","","","","","","","","","",-107684687,"",""
50,"GamepadTargetingOptionMeleeDefaultTag","(Default for Melee)","(Par défaut en Mêlée)","(Standard für Nahkampf)","（近接用のデフォルト）","(근접 기본값)","(Padrão Corpo a Corpo)","(По умолчанию для ближнего боя)","(por defecto para Cuerpo a cuerpo)","(ค่าเริ่มต้นสำหรับประชิด)","（預設為近戰）","","","","","","","","","","","",770267387,"",""
51,"GamepadTargetingOptionRangedDefaultTag","(Default for Ranged)","(Par défaut À distance)","(Standard für Fernkampf)","（遠距離用のデフォルト）","(원거리 기본값)","(Padrão À Distância)","(По умолчанию для дальнего боя)","(por defecto para A distancia)","(ค่าเริ่มต้นสำหรับระยะไกล)","（預設為遠程）","","","","","","","","","","","",-300818620,"",""
52,"UISettingsHideCharmBar","Hide Charm Display","Cacher l'affichage des Charmes","Phiolenanzeige ausblenden","チャーム表示を隠す","호신부 표시 숨기기","Esconder Tela de Patuás","Скрыть отображение оберегов","Ocultar barra de viales","ซ่อนการแสดงของขลัง","隱藏護符顯示","","","","","","","","","","","",545010221,"",""
53,"WorldScreenContentListTitle","Points Of Interest","Points d'intérêt","Wichtige Orte","重要地点","관심 지점","Pontos Chave","Точки интереса","Puntos de interés","จุดน่าสนใจ","特殊地標","","","","","","","","","","","",1836105055,"",""
54,"WorldScreenContentListCompletedSubtitle","Completed","Terminé","Abgeschlossen","完了","완료","Concluído","Завершено","Completado","สำเร็จแล้ว","已完成","","","","","","","","","","","",-743402916,"",""
55,"WorldScreenNodeInfoPrompt","Show Points of Interest","Afficher les Points d'intérêt","Zeige wichtige Orte","重要地点を表示","관심 지점 표시","Mostrar Pontos Chave","Показывать точки интереса","Mostrar puntos de interés","แสดงจุดน่าสนใจ","顯示特殊地標","","","","","","","","","","","",-455540015,"",""
56,"GamepadHighlightOffTitle","Label Visibility Off","Visibilité des labels désactivée","Sichtbarkeit der Beschriftung aus","ラベル視認性オフ","이름표 표시 꺼짐","Visibilidade do Rótulo Desligada","Выкл. видимость плашек","Visibilidad de las etiquetas desactivada","ปิดการแสดงป้ายชื่อ","關閉標籤可見度","","","","","","","","","","","",-530125987,"",""
57,"GamepadActionToggleHighlight","Toggle Label Visibility","Basculer la visibilité des labels","Sichtbarkeit der Beschriftung umschalten","ラベル視認性切り替え","이름표 표시 켜기/끄기","Trocar Visibilidade do Rótulo","Вкл./выкл. видимость плашек","Cambiar visibilidad de las etiquetas","เปิด/ปิดการแสดงป้ายชื่อ","切換標籤可見度","","","","","","","","","","","",542029058,"",""
58,"GamepadHelpToggleHighlightUnbound","<bigger>{<<gamepad_toggle_highlight>>} Bind action to show all labels.","<bigger>{<<gamepad_toggle_highlight>>} Affectez l'action pour montrer tous les labels.","<bigger>{<<gamepad_toggle_highlight>>} Aktion zuweisen, um alle Beschriftungen anzuzeigen.","<bigger>{<<gamepad_toggle_highlight>>}すべてのラベルを表示するバインドアクション","<bigger>{<<gamepad_toggle_highlight>>} 이름표를 모두 표시하는 행동을 지정합니다.","<bigger>{<<gamepad_toggle_highlight>>} Vincular ação para exibir todos os rótulos.","<bigger>{<<gamepad_toggle_highlight>>} Назначает кнопку для отображения всех плашек.","<bigger>{<<gamepad_toggle_highlight>>} Vincular acción para mostrar todas las etiquetas.","<bigger>{<<gamepad_toggle_highlight>>} ตั้งปุ่มการกระทำเพื่อแสดงป้ายชื่อทั้งหมด","<bigger>{<<gamepad_toggle_highlight>>}綁定行動以顯示所有標籤。","","","","","","","","","","","",-444445578,"",""
59,"GamepadTargetingCustomOptionLargeSelectionAreaOffTitle","Precise","Précis","Präzise","精密","정밀함","Precisa","Узкая","Precisa","แม่นยำ","精確","","","","","","","","","","","",-1670312222,"",""
60,"GamepadTargetingCustomOptionDistanceWeightingOffTitle","Off","Désactivé","Aus","オフ","꺼짐","Desligado","Выкл.","Desactivada","ปิด","關閉","","","","","","","","","","","",-1721775681,"",""
61,"GamepadTargetingCustomOptionAimOverrideSoftlockOffTitle","Off","Désactivé","Aus","オフ","꺼짐","Desligado","Выкл.","Desactivado","ปิด","關閉","","","","","","","","","","","",-2121452870,"",""
62,"GamepadTargetingCustomOptionPriortiseCombatDirectionOffTitle","Move Direction","Direction de mouvement","Bewegungsrichtung","移動方向","이동 방향","Direção do Movimento","Направление движения","Dirección del movimiento","ทิศทางการเคลื่อนที่","移動方向","","","","","","","","","","","",291913783,"",""
63,"GamepadTargetingCustomOptionLargeSelectionAreaOnTitle","Wide","Large","Weit","広範囲","넓음","Amplo","Широкая","Amplia","กว้าง","寬","","","","","","","","","","","",-1407053595,"",""
64,"GamepadTargetingCustomOptionDistanceWeightingOnTitle","On","Activé","An","オン","켜짐","Ligado","Вкл.","Activada","เปิด","開啟","","","","","","","","","","","",-1480181943,"",""
65,"GamepadTargetingCustomOptionAimOverrideSoftlockOnTitle","On","Activé","An","オン","켜짐","Ligado","Вкл.","Activado","เปิด","開啟","","","","","","","","","","","",-1909209477,"",""
66,"GamepadTargetingCustomOptionPriortiseCombatDirectionOnTitle","Facing Direction","Direction de visée","Blickrichtung","正面方向","바라보는 방향","Direção Frontal","Направление взгляда","Dirección en la que miras","ทิศทางการหันหน้า","面部朝向","","","","","","","","","","","",1083026971,"",""
67,"GamepadLegendEditKeywordSearch","Filter Menu","Menu des filtres","FIltermenü","フィルターメニュー","필터 메뉴","Menu de Filtros","Окно фильтров","Menú de filtros","เมนูฟิลเตอร์","篩選清單","","","","","","","","","","","",159118749,"",""
68,"PassiveSkillKeywordNewFilterButton","Add New Filter","Ajouter un nouveau filtre","Neuen Filter hinzufügen","新しいフィルターを追加","새 필터 추가","Adicionar Novo Filtro","Добавить новый фильтр","Agregar nuevo filtro","เพิ่มฟิลเตอร์ใหม่","加入新的篩選條件","","","","","","","","","","","",656432451,"",""
69,"GamepadLegendKeywordSearchClear","Reset Filter","Réinitialiser le filtre","Filter zurücksetzen","フィルターをリセット","필터 초기화","Reiniciar Filtro","Сбросить фильтр","Restablecer filtro","รีเซ็ตฟิลเตอร์","重設篩選條件","","","","","","","","","","","",-1679821367,"",""
70,"PassiveSkillKeywordEditorCurrentSearchTitle","Current Filter","Filtre actuel","Aktueller Filter","現在のフィルター","현재 필터","Filtro Atual","Текущий фильтр","Filtro actual","ฟิลเตอร์ปัจจุบัน","當前篩選","","","","","","","","","","","",-2124925605,"",""
71,"PassiveSkillKeywordEntryEmpty","None","Aucun","Keine","無し","없음","Nenhum","Пусто","Ninguna","ไม่มี","無","","","","","","","","","","","",-784460328,"",""
72,"GamepadLegendKeywordAddInclude","Add to Includes","Ajouter aux inclusions","Hinzufügen zum Einbeziehen","含むに追加","포함 내용에 추가","Adicionar em Incluir","Добавить","Agregar a incluidos","เพิ่มเข้ารายการแสดง:","加至涵蓋條件","","","","","","","","","","","",705327741,"",""
73,"GamepadLegendKeywordAddExclude","Add to Excludes","Ajouter aux exclusions","Hinzufügen zum Ausschließen","除外に追加","제외 내용에 추가","Adicionar em Excluir","Исключить","Agregar a excluidos","เพิ่มเข้ารายการซ่อน:","加至排除條件","","","","","","","","","","","",-749423002,"",""
74,"GamepadLegendKeywordRemoveEntry","Remove","Enlever","Entfernen","取り除く","제거","Remover","Удалить","Eliminar","นำออก","移除","","","","","","","","","","","",553679290,"",""
75,"GamepadCycleFilterResults","Cycle Search Results","Faire défiler les résultats de recherche","Suchergebnisse durchgehen","検索結果をサイクル","검색 결과 넘기기","Rotacionar Resultados da Busca","Прокрутка результатов поиска","Navegar por los resultados de búsqueda","เลื่อนตามผลการค้นหา","輪替搜尋結果","","","","","","","","","","","",-1703155912,"",""
76,"GamepadLegendKeywordLegendShowAllOptions","Show All Options","Afficher toutes les options","Alle Optionen anzeigen","すべてのオプションを表示する","모든 선택지 보기","Mostrar Todas as Opções","Показать все","Mostrar todas las opciones","แสดงตัวเลือกทั้งหมด","顯示所有選項","","","","","","","","","","","",-148944246,"",""
77,"GamepadLegendKeywordLegendShowSuggestedOptions","Show Suggested Options","Afficher les options suggérées","Vorgeschlagene Optionen anzeigen","推奨されているオプションを表示する","추천 선택지 보기","Mostrar Opções Sugeridas","Показать предложенные","Mostrar opciones sugeridas","แสดงตัวเลือกแนะนำ","顯示建議選項","","","","","","","","","","","",1264680407,"",""
78,"GamepadLegendKeywordShowSuggestedTitle","Suggested Keywords based on your Skills and Equipment","Mots-clés suggérés en fonction de vos aptitudes et de votre équipement","Vorgeschlagene Schlüsselwörter basierend auf den Fertigkeiten und der Ausrüstung","スキルと装備に基づいた推奨キーワード","스킬과 장비에 따른 추천 키워드","Palavras-Chave sugeridas baseadas em suas Habilidades e Equipamento","Ключевые слова согласно вашим умениям и снаряжению","Palabras clave sugeridas en función de tus habilidades y equipamiento","ทำการแนะนำคีย์เวิร์ดตามสกิลและไอเทมสวมใส่ของคุณ","依據你的技能和裝備推薦關鍵字","","","","","","","","","","","",1854526081,"",""
79,"GamepadLegendKeywordLegendToggleEntryActive","Toggle Active","Activer","Aktiv umschalten","アクティブを切り替え","활성 켜기/끄기","Mudar para Ativo","Сделать активным/неактивным","Cambiar a activo","เปิด/ปิดคำที่ใช้งานอยู่","切換啟用","","","","","","","","","","","",987651926,"",""
80,"GamepadLegendKeywordLegendDeleteEntry","Delete Filter","Supprimer le filtre","Filter löschen","フィルターを削除","필터 삭제","Deletar Filtro","Удалить фильтр","Eliminar filtro","ลบฟิลเตอร์","刪除篩選條件","","","","","","","","","","","",-249885724,"",""
81,"GamepadLegendKeywordLegendEditEntry","Edit Filter","Modifier le filtre","Filter editieren","フィルターを編集","필터 편집","Editar Filtro","Редактировать фильтр","Editar filtro","แก้ไขฟิลเตอร์","編輯篩選條件","","","","","","","","","","","",-447691392,"",""
82,"GamepadLegendKeywordFilteredOutBrightness","Filtered Out Brightness","Luminosité des exclusions du filtre","Helligkeit für Herausgefiltertes","フィルタリングされた明るさ","필터로 제외한 내용의 밝기","Brilho dos Itens Removidos","Яркость отфильтрованного","Brillo filtrado","ความสว่างของไอเทมที่ไม่ผ่านฟิลเตอร์","篩除亮度","","","","","","","","","","","",699406331,"",""
83,"GamepadLegendKeywordHighlightBrightness","Highlight Glow Intensity","Intensité des inclusions du filtre","Leuchtintensität für Hervorgehobenes","ハイライトの輝き強度","강조 표시 강도","Intensidade do Brilho de Destaque","Яркость подсвечивания","Resaltar intensidad de brillo","การเปล่งแสงของแสงไฮไลท์","突顯亮度","","","","","","","","","","","",-1297973535,"",""
84,"GamepadToggleSkillTargetingMode","Toggle Targeting Mode","Changer de mode de ciblage","Zielmodus umschalten","ターゲッティングモードを切り替え","대상 지정 모드 전환","Ativar Modo de Foco","Переключить режим прицеливания","Alternar de modo de selección de objetivos","สลับโหมดเลือกเป้าหมาย","切換目標選擇模式","","","","","","","","","","","",1250999178,"",""
85,"GamepadToggleSkillTargetingRangedPopup","<bigger>{<<targeting_mode_ranged>> Ranged Mode}\r\n\r\n<<xbox_button_a>> <default>{to use melee mode for this Skill.}","<bigger>{<<targeting_mode_ranged>> Mode À distance}\r\n\r\n<<xbox_button_a>> <default>{pour utiliser le mode même pour cette Aptitude.}","<bigger>{<<targeting_mode_ranged>> Fernkampfmodus}\r\n\r\n<<xbox_button_a>> <default>{, um den Nahkampfmodus für diese Fertigkeit zu verwenden.}","<bigger>{<<targeting_mode_ranged>> 遠距離モード}\r\n\r\n<<xbox_button_a>><default>{でこのスキルを近接モードで使用する。}","<bigger>{<<targeting_mode_ranged>> 원거리 모드}\r\n\r\n<<xbox_button_a>> <default>{로 이 스킬에 근접 모드를 사용할 수 있습니다.}","<bigger>{<<targeting_mode_ranged>> Modo à Distância}\r\n\r\n<<xbox_button_a>> <default>{para usar o modo corpo a corpo para esta Habilidade.}","<bigger>{<<targeting_mode_ranged>> Режим дальнего боя}\r\n\r\n<<xbox_button_a>> <default>{чтобы использовать ближний бой для этого умения.}","<bigger>{<<targeting_mode_ranged>> Modo A distancia}\r\n\r\n<<xbox_button_a>> <default>{para usar el modo cuerpo a cuerpo para esta habilidad.}","<bigger>{<<targeting_mode_ranged>> โหมดระยะไกล}\r\n\r\n<<xbox_button_a>> <default>{เพื่อตั้งโหมดประชิดสำหรับสกิลนี้}","<bigger>{<<targeting_mode_ranged>> 遠程模式}\r\n\r\n<<xbox_button_a>> <default>{以便為此技能採取近戰模式。}","","","","","","","","","","","",-1114402863,"",""
86,"GamepadToggleSkillTargetingMeleePopup","<bigger>{<<targeting_mode_melee>> Melee Mode}\r\n\r\n<<xbox_button_a>> <default>{to use ranged mode for this Skill.}","<bigger>{<<targeting_mode_melee>> Mode Mêlée}\r\n\r\n<<xbox_button_a>> <default>{pour utiliser le mode à distance pour cette Aptitude.}","<bigger>{<<targeting_mode_melee>> Nahkampfmodus}\r\n\r\n<<xbox_button_a>> <default>{, um den Fernkampfmodus für diese Fertigkeit zu verwenden.}","<bigger>{<<targeting_mode_melee>> 近接モード}\r\n\r\n<<xbox_button_a>><default>{でこのスキルを遠距離モードで使用する。}","<bigger>{<<targeting_mode_melee>> 근접 모드}\r\n\r\n<<xbox_button_a>> <default>{로 이 스킬에 원거리 모드를 사용할 수 있습니다.}","<bigger>{<<targeting_mode_melee>> Modo Corpo a Corpo}\r\n\r\n<<xbox_button_a>> <default>{para usar o modo à distância para esta Habilidade.}","<bigger>{<<targeting_mode_melee>> Режим ближнего боя}\r\n\r\n<<xbox_button_a>> <default>{чтобы использовать дальний бой для этого умения.}","<bigger>{<<targeting_mode_melee>> Modo Cuerpo a cuerpo}\r\n\r\n<<xbox_button_a>> <default>{para usar el modo a distancia para esta habilidad.}","<bigger>{<<targeting_mode_melee>> โหมดประชิด}\r\n\r\n<<xbox_button_a>> <default>{เพื่อตั้งโหมดระยะไกลสำหรับสกิลนี้}","<bigger>{<<targeting_mode_melee>> 近戰模式}\r\n\r\n<<xbox_button_a>> <default>{以便為此技能採取遠程模式。}","","","","","","","","","","","",-2001894764,"",""
87,"GamepadLegendUndoLastChange","Undo","Annuler","Rückgängig","元に戻す","실행 취소","Desfazer","Отменить","Deshacer","ย้อนกลับ","取消","","","","","","","","","","","",-127890417,"",""
88,"InstillCraftingWarningRemoveAmuletToClose","Remove Amulet to close Window.","Retirez l'amulette pour fermer la fenêtre.","Amulett zum Schließen des Fensters entfernen.","アミュレットを取り出しウィンドウを閉じる","목걸이를 제거하면 창이 닫힙니다.","Remova o Amuleto para fechar a Janela.","Выньте амулет, чтобы закрыть окно.","Retira el amuleto para poder cerrar la ventana.","นำสร้อยออกเพื่อปิดหน้าต่าง","移除項鍊以關閉視窗。","","","","","","","","","","","",820008759,"",""
89,"PassiveSkillKeywordEditorTitle","Filter Editor","Éditeur de filtres","Filter-Editor","フィルター編集","필터 편집기","Editor de Filtros","Редактор фильтров","Editor de filtros","แก้ไขคำค้นหา","篩選編輯器","","","","","","","","","","","",744472628,"",""
90,"ResetChanges","Reset Changes","Réinitialiser les modifications","Änderungen zurücksetzen","変更をリセット","변경 사항 초기화","Apagar Mudanças","Сбросить изменения","Restablecer cambios","รีเซ็ตการเปลี่ยนแปลง","重置更動","","","","","","","","","","","",-1234627244,"",""
91,"HUDMapPortalsRemaining1","1x<<map_portal_icon>>Map Portal Remaining","1<<map_portal_icon>>portail de Carte restant","1x<<map_portal_icon>>Kartenportal übrig","1x<<map_portal_icon>>残りマップポータル","지도 포탈 <<map_portal_icon>> x1 남음","1x<<map_portal_icon>>Portal de Mapa Restante ","Осталось порталов на карту: 1<<map_portal_icon>>","1x<<map_portal_icon>>portal de mapa restante","เหลือ<<map_portal_icon>>วาร์ปแผนที่อีก 1 แห่ง","剩餘 1 個<<map_portal_icon>>地圖時空之門","","","","","","","","","","","",1735188454,"",""
92,"HUDMapPortalsRemainingN","{0}x<<map_portal_icon>>Map Portals Remaining","{0}<<map_portal_icon>>portails de Carte restants","{0}x<<map_portal_icon>>Kartenportale übrig","{0}x<<map_portal_icon>>残りマップポータル","지도 포탈 <<map_portal_icon>> x{0} 남음","{0}x<<map_portal_icon>>Portais de Mapa Restantes","Осталось порталов на карту: {0}<<map_portal_icon>>","{0}x<<map_portal_icon>>portales de mapa restantes","เหลือ<<map_portal_icon>>วาร์ปแผนที่อีก {0} แห่ง","剩餘 {0} 個<<map_portal_icon>>地圖時空之門","","","","","","","","","","","",1069598711,"",""
93,"PassiveSkillKeywordFilterActiveTitle","Filter Search","Filtrer la recherche","Suche filtern","フィルター検索","필터 검색","Filtrar Busca","Поиск фильтров","Búsqueda de filtros","ค้นหาฟิลเตอร์","篩選搜尋","","","","","","","","","","","",-693811015,"",""
94,"PassiveSkillKeywordSavedFiltersTitle","Saved Filters","Filtres enregistrés","Gespeicherte Filter","保存したフィルター","저장된 필터","Filtros Salvos","Сохранённые фильтры","Filtros guardados","ฟิลเตอร์ที่เซฟไว้","已保存篩選","","","","","","","","","","","",1098226893,"",""
95,"PassiveSkillKeywordOptionsTitle","Additional Options","Options supplémentaires","Zusätzliche Optionen","追加のオプション","추가 옵션","Opções Adicionais","Дополнительные опции","Opciones adicionales","ตัวเลือกเพิ่มเติม","額外選項","","","","","","","","","","","",-1935071641,"",""
96,"CloseOptionsMenu","Hide Options","Masquer les options","Optionen verbergen","オプションを隠す","옵션 숨기기","Esconder Opções","Скрыть опции","Ocultar opciones","ซ่อนตัวเลือก","隱藏選項","","","","","","","","","","","",619555617,"",""
97,"PassiveSkillKeywordFilterInactiveTitle","Text Search","Recherche par texte","Textsuche","テキスト検索","텍스트 검색","Texto da Busca","Текстовый поиск","Búsqueda por texto","ค้นหาด้วยอักษร","字串搜尋","","","","","","","","","","","",-285202201,"",""
98,"PassiveSkillKeywordUnsavedChangesWarning","Would you like to save changes made to the filter?","Voulez-vous enregistrer les modifications apportées au filtre ?","Möchtest du die Änderungen am Filter speichern?","フィルターに加えた変更を保存しますか？","필터 변경 내용을 저장하시겠습니까?","Gostaria de salvar as mudanças feitas neste filtro?","Сохранить внесённые в фильтр изменения?","¿Quieres guardar los cambios realizados en el filtro?","คุณต้องการบันทึกการเปลี่ยนแปลงสำหรับฟิลเตอร์นี้ไหม?","你想保存對篩選的變更嗎？","","","","","","","","","","","",-1008317444,"",""
99,"SideEncounterCastawayBombTitle","Rotten Satchel Charge","Charge de sacoche pourrie","Verfaulte Tornisterladung","劣化した梱包爆薬","썩은 가방 화약","Carga de Bolsa Podre","Заряд в сгнившей сумке","Cartera podrida explosiva","วัตถุระเบิดเน่าเปื่อย","破爛炸藥包","","","","","","","","","","","",238621876,"",""
100,"GamepadSpiritManagementNoSpiritCost","{0}x Free Minions","Créatures gratuites : {0}","{0}x kostenlose Kreaturen","{0}x コスト無しのミニオン","무료 소환수 x{0}","{0}x Lacaios Livres","Бесплатных приспешников: {0}","{0}x esbirros libres","มิเนียนฟรี {0} ตัว","{0} 個自由召喚物","","","","","","","","","","","",1899712679,"",""
