"rownum","Id","AnimatedArt","BeamArt","EffectPacksArt","ObjectArt","Variants","BuffVisuals","[i32]_104","ProjectileArt","Stat","MonsterVarieties","ActiveSkill","GrantedEffect","Monster","i32_216","MiscProjectileArt","MiscParticleArt","SkillWeaponEffectsArt","ArtVariationStat"
103,"shield_charge","[1032,1037,1042,1047,1052,1057,1061,1066]",[],"[142,145,150,155,160]",[],"[""Default"",""UNUSED"",""Kitava"",""Tibbs"",""Misery"",""Deepwater""]",[],"[18079,64124,5816,63659,32478,57983]",[],338,[],[],[],[],1000,[],[],[],""
104,"elemental_storm","[1227,1239,1241,1243,1245,1247,1249,1251,1253,1255,1257]",[],[],[],"[""Default"",""Shark""]",[],"[18079,39872]",[],338,[0],[511],[],[],1000,[],[],[],""
105,"barrage_bow","[1068,1076,1084]",[],[],[],"[""Default"",""Snipe"",""Celestial"",""Blood"",""NonStick""]",[],"[18079,61594,27572,50511,13004]",[151],338,[],[154],[],[],1000,[],[],[],""
106,"barrage_wand","[1072,1080,1084]",[],[],[],"[""Default"",""Snipe"",""Celestial"",""Blood"",""NonStick""]",[],"[18079,61594,27572,50511,13004]",[156],338,[],[154],[],[],1000,[],[],[],""
107,"flame_dash","[1086,1100]",[],[165],[],"[""Default"",""Cold"",""Harbinger"",""FireIceMicro"",""Blue"",""Wasteland"",""Corsair"",""Stygian"",""Black"",""Scientist"",""Demonic"",""Nightfall"",""Siren"",""Auspicious""]",[],"[18079,13381,41619,11119,52194,53281,51220,39541,25619,64816,61278,57192,42935,45563]",[],338,[],[201],[],[],1000,[],[],[],""
108,"virulent_arrow","[1101,1105,1109,1113,1117,1121,1125,1129,1133]",[],[166],[],"[""Default"",""BlackLotus"",""Celestial""]",[],"[18079,33766,27572]","[160,164,168]",338,[],[],[],[],1000,[],[],[],""
109,"blight_channel","[1137,1142,1143,1147,1151,1156]",[],[],[],"[""Default"",""Celestial"",""Sunprism"",""Scientist"",""Project""]","[460,465]","[18079,27572,52008,64816,55295]",[],338,[],[],[],[],1000,[],[],[],""
110,"tempest_shield","[1161,1163,1165,1167]",[69],[170],[],"[""Default"",""Celestial""]",[],"[18079,27572]",[],338,[],[85],[],[],1000,[],[],[],""
111,"wither_channelled","[1169,1176]",[],[],[],"[""Default"",""Arcane"",""Celestial"",""Sunprism"",""Scientist"",""Demonic"",""Project""]","[467,473]","[18079,47901,27572,52008,64816,61278,55295]",[],338,[],[229],[],[],1000,[],[],[],""
112,"soul_link","[1183,1184]",[71],[176],[],"[""Default""]","[475,476]",[18079],[],338,[],[513],[],[],1000,[],[],[],""
113,"storm_blade","[1185,1187]",[],[],[],"[""Default"",""Celestial""]",[477],"[18079,27572]",[],338,[],[512],[],[],1000,[],[],[],""
114,"flame_link","[1189,1190]",[72],[177],[],"[""Default""]","[478,479]",[18079],[],338,[],[514],[],[],1000,[],[],[],""
115,"remora_link","[1191,1192]",[73],[178],[],"[""Default""]","[480,481]",[18079],[],338,[],[515],[],[],1000,[],[],[],""
116,"bulwark_link","[1193,1194]",[74],[179],[],"[""Default""]","[482,483]",[18079],[],338,[],[516],[],[],1000,[],[],[],""
117,"trigger_link","[1195,1196]",[75],[180],[],"[""Default""]","[484,485]",[18079],[],338,[],[517],[],[],1000,[],[],[],""
118,"critical_link","[1197,1198]",[76],[181],[],"[""Default""]","[486,487]",[18079],[],338,[],[518],[],[],1000,[],[],[],""
119,"brand_surge","[1199,1200,1201,1202,1203,1204]",[77],[],[],"[""Default"",""UNUSED"",""Celestial""]",[],"[18079,64124,27572]",[],338,[],[],[],[],1000,[],[],[],""
120,"lightning_arrow","[1217,1222]",[164],[],[],"[""Default"",""Blood"",""Divine"",""Faridun""]",[],"[18079,50511,29263,7062]",[172],338,[],[92],[],[],1000,[],[],[],""
121,"tornado_shot_bow","[1229,1234]",[],[172],[75],"[""Default"",""MTX"",""Chaos"",""Celestial""]",[],"[18079,35902,38322,27572]","[177,182]",338,[],[170],[],[],1000,[],[],[],""
122,"tornado_shot_wand","[1229,1234]",[],[172],[],"[""Default"",""MTX"",""Chaos"",""Celestial""]",[],"[18079,35902,38322,27572]","[187,188]",338,[],[170],[],[],1000,[],[],[],""
123,"firebolt","[1259,1280]",[],[],[],"[""Default"",""Golden"",""Dragon"",""Pyro"",""PyroPoison"",""Phoenix"",""AvariusCasticus"",""Holy"",""AbberathMinion"",""HolyMiner"",""Gemling"",""GemlingUpgraded"",""AvariusWickerman"",""BestiaryHellion"",""IncursionFireball"",""IncursionFireballLightning"",""IncursionFireballChaos"",""DelveTaowu"",""DelveTaowuLarge"",""BlightFire"",""Celestial"",""FlameSentinel"",""Stygian"",""ExpeditionRelic"",""Direblade"",""Oblivion"",""OnyxOblivion"",""Demonic""]",[],"[18079,51154,25624,34029,17715,28085,35646,27667,5363,45614,25069,719,31455,20203,30073,32830,24662,31460,11595,50741,27572,23584,39541,51001,11723,116,38576,61278,18079,49438]",[196],338,[],"[32,33,778]",[],"[""Default"",""DemonicFire""]",1000,[],[],[],""
124,"expanding_fire_cone","[1282,1283,1284,1285,1286,1287]",[],[182],[],"[""Default"",""BlueFlame"",""Direblade""]",[],"[18079,61200,11723]",[],338,[],[],[],[],1000,[],[],[],""
125,"crackling_lance","[1299,1299,1302,1305]","[80,83]","[183,186,189,192,195]",[],"[""Default"",""Automaton"",""Celestial""]",[],"[18079,3488,27572]",[],338,[],[455],[],[],1000,[],[],[],""
126,"ice_shot",[2765],[],[],[],"[""Default"",""Aurora"",""Delirium""]",[],"[18079,14598,16922]","[225,232]",338,[],"[115,117]",[],[],1000,[],[],[],""
127,"expanding_rain_of_arrows","[1326,1336,1345]",[],[],[],"[""Default"",""Forsaken"",""Spine"",""Lightning"",""LegionCombo"",""LegionEternal"",""Celestial"",""Oblivion"",""OnyxOblivion"",""Demonic""]",[],"[18079,41689,16476,41050,52615,48335,27572,116,38576,61278]",[],338,[],"[75,76,77]",[],[],1000,[],[],[],""
128,"toxic_rain","[1354,1363,1371,1380,1389]",[86],[],[15],"[""Default"",""BlackLotus"",""AtlasBasilisk"",""Suffering"",""Celestial"",""Oblivion"",""Auspicious""]",[],"[18079,33766,54962,2790,27572,116,45563,3668]",[],338,[],"[365,366]",[],"[""azmeribow""]",1000,[],[],[],""
129,"bubble_shield","[1398,1399]",[],[199],[],"[""Default""]",[492],[18079],[],338,[],[521],[],[],1000,[],[],[],""
130,"djinn_bubble",[],[],[],[102],"[""Default""]",[],[18079],[],338,[],[976],[],[],1000,[],[],[],""
131,"molten_shell","[1400,1407,1414]",[],[198],[],"[""Default"",""Monster"",""AlwaysTrigger"",""Stygian"",""Viper"",""Divine"",""Mercurial""]",[],"[18079,1567,17608,39541,43950,29263,25270]",[],338,[],"[86,87,88,89]",[],[],1000,[],[],[],""
132,"hydrosphere","[1421,1423,1425,1427,1429,1431,1433,1435,1437,1439,1441,1443,1445,1447]",[],[200],[24],"[""Default"",""Harmonious""]",[],"[18079,57521]",[],338,[],"[468,469]",[],[],1000,[],[],[],""
133,"attached_projectile_effect_mtx",[],[],"[77,83,88,93,98,103,108,113,117]",[],"[""EMPTY"",""Firewall"",""Stygian"",""Oblivion"",""Transcendence"",""ArchnemesisDyingSun"",""DemonicFire"",""FirewallLightning""]",[],"[34066,35806,39541,116,28088,41657,49438,28401]",[],14594,[],[],[],[],1000,[],[],[],""
134,"storm_call","[1449,1468,1487,1506]",[],[],[],"[""DefaultStormCall"",""TribalStormCall"",""MonsterStormCall"",""ColdStormCall"",""FireStormCall"",""PhysicalStormCall"",""EyeSpawnerStormCall"",""EarthquakeStormCall"",""TemplarStormCall"",""KitavaStormCall"",""ShavronneStormCall"",""AvatarSkyBeamStormCall"",""ArcaneStormCall"",""Divine"",""MonsterLowStormCall"",""KitavaCultistStormCall"",""KudukuStormCall"",""OldPlayerStormCall"",""XenozakStormCall""]",[],"[28396,40011,54157,25980,9831,37405,18695,14469,11050,57497,32959,7205,34630,29263,6439,29295,6978,57638,43328]",[],338,[],"[143,144,145,146]",[],[],1000,[],[],[],""
135,"sentinel_tag_beam",[],[95],[],[],"[""Default""]",[],[18079],[],338,[],[523],[],[],1000,[],[],[],""
136,"firestorm","[1573,1597,1605,1614,1530,2833]",[],[],[],"[""DefaultVariation"",""BallistaVariation"",""PietyLightningVariation"",""MapBossVariation"",""IceVariation"",""SpineVariation"",""ChaosFireVariation"",""IncaRockVariation"",""MeteorVariation"",""DivineCallVariation"",""CliffBomb"",""Blades"",""BladesUp"",""Reliquary"",""HolyGuardian"",""ShaperInfluence"",""BestiaryRavens"",""BestiaryCrabCharge"",""VaalIncursion"",""VaalIncursionChaos"",""VaalIncursionArmour"",""DelveAbyssLaser"",""BetrayalGravicius"",""SynthesisSpiker"",""VaalIncursionLegion"",""BlightFire"",""BlightLightning"",""BlightNPCFirestorm"",""GraviciusHellfire"",""AfflictionMod"",""ReworkedVariation"",""Stygian"",""Celestial"",""UltimatumLightning"",""HellscapeMeteor"",""HellscapeLightning"",""MeteorShower"",""SanctumPurifier"",""SanctumReliquary""]",[],"[48358,17341,12877,52192,42588,18133,6990,22715,29052,51663,39218,52291,1874,61506,2238,14052,2391,61176,45534,61751,47684,25524,12065,49893,26495,50741,11101,43433,34120,837,32907,39541,27572,14591,28583,51989,64137,30046,12052,37417,31616,41514,7354,41159,58591,48983,39541]",[],338,[],"[79,80,81]",[],"[""ArchnemesisStormHerald"",""BitterGuyChildLeft"",""BitterGuyChildRight"",""BoneCultistLightning"",""BoneCultistFire"",""BalbalaKnifeReverseFirestorm"",""EssenceAttributeModFireStormKnife"",""Stygian""]",1000,[],[],[],""
137,"firestorm_player","[3402,3405,3408,3411,3414,3417]",[],[],[],"[""Default"",""WhisperingIce""]",[],"[18079,5615]",[],338,[],"[78,82]",[],[],1000,[],[],[],""
138,"fire_storm_lite","[1617,1622,1627]",[],[],[],"[""DefaultVariation"",""BallistaVariation"",""PietyLightningVariation"",""MapBossVariation"",""IceVariation"",""SpineVariation"",""ChaosFireVariation"",""IncaRockVariation"",""MeteorVariation"",""DivineCallVariation"",""CliffBomb"",""Blades"",""BladesUp"",""Reliquary"",""HolyGuardian"",""ShaperInfluence"",""BestiaryRavens"",""BestiaryCrabCharge"",""VaalIncursion"",""VaalIncursionChaos"",""VaalIncursionArmour"",""DelveAbyssLaser"",""BetrayalGravicius"",""SynthesisSpiker"",""VaalIncursionLegion"",""BlightFire"",""BlightLightning"",""BlightNPCFirestorm"",""GraviciusHellfire"",""AfflictionMod"",""ReworkedVariation"",""Stygian"",""Celestial"",""UltimatumLightning"",""HellscapeMeteor"",""HellscapeLightning"",""MeteorShower"",""SanctumPurifier"",""SanctumReliquary""]",[],"[48358,17341,12877,52192,42588,18133,6990,22715,29052,51663,39218,52291,1874,61506,2238,14052,2391,61176,45534,61751,47684,25524,12065,49893,26495,50741,11101,43433,34120,837,32907,39541,27572,14591,28583,51989,64137,30046,12052,18079,49438,39541]",[],338,[],"[78,80,82,81]",[],"[""Default"",""DemonicFire"",""Stygian""]",1000,[],[],[],""
139,"summon_raging_spirit",[],[],[],[],"[""Default"",""Ghostflame"",""Raven"",""BloodRaven"",""Bees"",""Celestial"",""Eyes"",""ArcaneEye"",""Oblivion"",""OnyxOblivion"",""Demonic""]",[],"[18079,894,44096,26577,48674,27572,1784,34681,116,38576,61278]",[],338,[1],"[156,157]",[],[],1000,[],[],[],""
140,"summon_raging_spirit_monster",[],[],[],[],"[""Default"",""Ghostflame"",""Raven"",""BloodRaven"",""Bees"",""Celestial"",""Eyes"",""ArcaneEye"",""Oblivion"",""OnyxOblivion"",""Demonic""]",[],"[18079,894,44096,26577,48674,27572,1784,34681,116,38576,61278]",[],338,[],[158],[],[],1000,[],[],[],""
141,"flask_effects",[1774],[],[],[],"[""Default"",""LifeMTX"",""ManaMTX"",""HybridMTX"",""UtilityMTX"",""Rumis"",""FlamingQuicksilver"",""IchorMana"",""RaincallerLife"",""RaincallerBloodLife"",""RaincallerVerdantLife""]",[493],"[18079,20358,21146,65450,37992,50728,29305,58425,46620,42964,61160]",[],15124,[],[],[],[],1000,[],[],[],""
142,"triggered_summon_spider_monster",[1632],[],[],[],"[""Default"",""Demonic""]",[],"[18079,61278]",[],15468,[],[274],[],[],1000,[],[],[],""
143,"cast_when_damage_taken",[1634],[],[],[],"[""Default"",""Madcap""]",[],"[18079,59045]",[],15138,[],[],[],[],1000,[],[],[],""
144,"shockwave_support",[1635],[],[],[],"[""Default"",""Gore"",""Apollyon""]",[],"[18079,63064,43700]",[],15184,[],"[413,414]",[],[],1000,[],[],[],""
145,"viper_strike",[1638],[],[],[],"[""Default"",""Quiet"",""DemonicSpider"",""Demonic""]",[],"[18079,61089,17869,61278]",[],338,[],[],[],[],1000,[],[],[],""
146,"vaal_ground_slam_spiked","[1642,1649,1659,1663]",[],[],[],"[""DefaultClusters"",""Blood"",""Molten"",""Bones"",""BrutusLightning"",""BrineShieldCrab"",""DefaultSpikes"",""Celestial"",""UNUSED"",""Oblivion"",""OnyxOblivion""]",[],"[63412,50511,19877,5799,30086,20384,21898,27572,64124,116,38576]",[],338,[],[],[],[],1000,[],[],[],""
147,"corrupting_fever",[],[],[],[],"[""Default"",""Heritage""]","[513,515]","[18079,8972]",[],338,[],[482],[],[],1000,[],[],[],""
148,"feast_of_flesh","[1669,1671,3269]",[],[635],[],"[""Default""]",[840],[18079],[],338,[],[385],[],[],1000,[],[],[],""
149,"phys_cascade_trap","[1673,1676,1679]",[],[],[],"[""Default"",""Blight"",""Stygian""]",[],"[18079,7333,39541]",[],338,[],[350],[],[],1000,[],[],[],""
150,"slither","[1682,1684,1686]",[],[202],[],"[""Default"",""Demonic""]","[517,518,519]","[18079,61278]",[],338,[],[422],[],[],1000,[],[],[],""
151,"ice_spear",[1688],[],[],[],"[""Default"",""Fish"",""MTX1"",""ArtProjectilesSpreadOverAnimation"",""Synthesis"",""SynthesisFinalBoss"",""FrostSentinel"",""AtlasEyrie"",""VoidEmperor""]",[],"[18079,45988,30450,187,11050,9615,16782,13264,48015,44398]",[240],338,[],[53],[],"[""Hag""]",1000,[],[],[],""
152,"laser_spears","[1690,1693,1695]",[96],[204],[],"[""Default""]",[],[18079],[],338,[],[522],[],[],1000,[],[],[],""
153,"fire_wake_spear","[1697,1698,1699,1700,1701,1702]",[],[236],[26],"[""Default""]",[],[18079],"[250,254]",338,[],[540],[],[],1000,[],[],[],""
154,"ball_lightning",[3267],"[98,113]",[],[],"[""Default"",""Monster"",""EyeBallLightning"",""Templar"",""Celestial"",""Synthesis"",""AtlasCrusader"",""AfflictionMinion"",""HarvestSquid"",""HeistTemplarCaster"",""Automaton""]",[],"[18079,1567,49739,51326,27572,11050,55894,33406,47707,39763,3488,18079,21948,51719,19319,35955]","[258,273]",338,[],"[123,124]",[],"[""Default"",""VaalStormcaller"",""ChaosGodOwlBoss"",""IncursionDoctor"",""Darkshard""]",1000,[],[],[],""
155,"monster_dd_area","[1722,1731,1741,1753]",[],"[364,374]",[],"[""Default"",""Chaos"",""HeistFreidrich"",""Archnemesis"",""CannibalPicts""]",[520],"[18079,38322,4741,36858,19433,16329,64753,35047,56609,22966,19661,40155]",[],338,[],[336],[],"[""Ice"",""Balbala"",""BloodPriest"",""CannibalPict"",""CarverShaman"",""FarudinWarlock"",""VultureRegurg""]",1000,[],[],[],""
156,"monster_soulrend",[1758],[128],[],[],"[""Cold"",""Blood""]","[531,541]","[13381,50511,165,166,59027,44533,16856,48772,37616]",[288],338,[],[404],[],"[""ChildSpiritCold1"",""ChildSpiritCold2"",""VaalBloodPriest"",""YamaBoss"",""VoodooKing"",""Warlock"",""ArchitectBoss""]",1000,[],[],[],""
157,"galvanic_field",[1768],[138],[],[],"[""Default"",""Celestial""]","[560,563]","[18079,27572]",[],338,[],[525],[],[],1000,[],[],[],""
158,"arcane_surge",[],[],[],[],"[""Default"",""Madcap""]",[551],"[18079,59045]",[],15541,[],[],[],[],1000,[],[],[],""
159,"phasing",[],[],[],[],"[""Default"",""Sunprism""]",[553],"[18079,52008]",[],15718,[],[],[],[],1000,[],[],[],""
160,"fortify",[],[],[],[],"[""Default"",""Myrmidon""]",[555],"[18079,27566]",[],15720,[],[],[],[],1000,[],[],[],""
161,"onslaught",[],[],[],[],"[""Default"",""Void Emperor""]",[557],"[18079,30711]",[],15722,[],[],[],[],1000,[],[],[],""
162,"lightning_conduit","[1775,1778,1781,1784,2361]",[],[],[],"[""Default"",""Automaton"",""Celestial""]","[566,569]","[18079,3488,27572,18079,35955]",[],338,[],[524],[],"[""Default"",""Darkshard""]",1000,[],[],[],""
163,"lightning_tendrils","[1792,1795,1798]",[141],[],[],"[""Default"",""LightningElder"",""Automaton""]",[],"[18079,37016,3488]",[],338,[],[],[],[],1000,[],[],[],""
164,"cobra_lash",[],[],[206],[],"[""Default"",""Illusionist""]",[],"[18079,54759]","[298,300]",338,[],[44],[],[],1000,[],[],[],""
165,"righteous_fire","[1805,1814]",[],[],[],"[""Default"",""NoRing"",""White"",""White2"",""White3"",""Celestial"",""CelestialNoHands"",""Harbinger"",""Lightbringer"",""Transcendence""]","[575,583,591]","[18079,39102,15971,17012,17013,27572,36336,41619,55723,28088]",[],338,[],"[38,39]",[],[],1000,[],[],[],""
166,"venom_gyre","[1824,1826,1828]",[],[208],[],"[""Default"",""Illusionist""]",[],"[18079,54759]","[302,304]",338,[],"[429,430]",[],[],1000,[],[],[],""
167,"whirling_blades",[1830],[],"[210,211]",[],"[""Default"",""Purple"",""Ice"",""Phantasmal"",""Faith"",""Carnival"",""Hasina"",""Illusionist""]",[],"[18079,19343,16329,1789,8635,1057,63953,54759]",[],338,[],"[16,17]",[],[],1000,[],[],[],""
168,"caustic_arrow",[1838],[],[],[],"[""Default"",""Tentacles"",""Celestial"",""HeistSkeleton"",""Oblivion""]",[],"[18079,26679,27572,16483,116]",[306],338,[],[19],[],[],1000,[],[],[],""
169,"kinetic_blast","[1843,1847]",[],[212],[],"[""Default"",""Celestial"",""Heritage""]",[],"[18079,27572,8972,23752]",[311],338,[],[192],[],"[""NecroCultist""]",1000,[],[],[],""
170,"reap",[1851],[144],[],[],"[""Default"",""Starfall"",""Vine""]","[600,603]","[18079,3450,41440]",[],338,[],[486],[],[],1000,[],[],[],""
171,"his_winnowing_flame",[1854],[144],[],[],"[""Default""]","[600,603]",[18079],[],338,[],[488],[],[],1000,[],[],[],""
172,"rolling_slam","[1856,1859]",[],[],[],"[""Default""]",[],"[18079,18079,5816]",[],338,[],[564],[],"[""Default"",""Kitava""]",1000,[],[],[],""
173,"volcanic_slam","[1865,1866,1867,1868,1869,1870]",[],[],[59],"[""Default""]",[],[18079],[339],25760,[],"[573,577]",[],[],1000,[],[],[],""
174,"ring_of_ice","[1855,1858]",[],"[215,216]",[30],"[""Default""]",[],[18079],[],338,[],"[574,575]",[],[],1000,[],[],[],""
175,"escape_shot",[1966],[],[],[],"[""Default""]",[],"[18079,18079,16922,14598]",[340],338,[],[565],[],"[""Default"",""Delirium"",""Aurora""]",1000,[],[],[],""
176,"vaal_caustic_arrow",[],[],[],[],"[""Default""]",[],[18079],[314],338,[],[20],[],[],1000,[],[],[],""
177,"vaal_cleave","[846,834,836,839,850]",[],[],[],"[""Default"",""DemonCleave""]",[],"[18079,34274]",[],338,[],[],[],[],1000,[],[],[],""
178,"charged_attack","[1889,1892,1895,1898,1901,1904,1907,1910]",[],[],[],"[""Default"",""Gloom"",""Demonic""]",[],"[18079,57905,61278]",[],338,[],[],[],[],1000,[],[],[],""
179,"vaal_charged_attack","[1907,1910,1913,1898,1901]",[],[],[],"[""Default"",""Gloom"",""Demonic""]",[606],"[18079,57905,61278]",[],338,[],[],[],[],1000,[],[],[],""
180,"flicker_strike","[2090,2869]",[156],[258],[],"[""Default"",""Vapor"",""Necro"",""Demonic""]",[],"[18079,15193,18701,61278,18079,56473,59057,14598]",[],338,[],"[24,25,629]",[],"[""Default"",""Breachlord"",""Thunderfist"",""Aurora""]",1000,[],[],[],""
181,"vaal_reap","[1916,1919]",[],[],[],"[""Default"",""Starfall""]","[600,603]","[18079,3450]",[],338,[],[487],[],[],1000,[],[],[],""
182,"triggerbots",[],[],[],[],"[""Default""]",[],[18079],[],338,[],[578],[],[],1000,[],[],[],""
183,"vaal_arctic_armour",[1922],[],[],[],"[""Default""]",[618],[18079],[],338,[],[209],[],[],1000,[],[],[],""
184,"vaal_lightning_arrow","[1217,1222]",[],[],[],"[""Default"",""Blood"",""Divine""]",[],"[18079,50511,29263]",[320],338,[],[93],[],[],1000,[],[],[],""
185,"vaal_ice_shot","[1311,1312,1313,1930]",[],[],[],"[""Default"",""Piety"",""Monster"",""VaalOrb"",""Skadi""]",[615],"[18079,56950,1567,3918,31535]",[225],338,[],[116],[],[],1000,[],[],[],""
186,"mtx_coin_flip","[1933,1934]",[],[],[],"[""Innocence"",""Sin"",""Silver"",""Perandus""]",[],"[51245,48611,56408,1811]",[],338,[],[579],[],[],1000,[],[],[],""
187,"split_arrow",[],[],[],[],"[""Default"",""Blood"",""BlueGreen"",""Verdant""]",[],"[18079,50511,22116,22421]","[323,328]",338,[],"[27,28]",[],[],1000,[],[],[],""
188,"wave_of_conviction","[1941,1942]",[],[],[],"[""Default"",""Stygian"",""Celestial"",""RollingStorm""]",[],"[18079,39541,27572,48193]",[],338,[],[400],[],[],1000,[],[],[],""
189,"covered_in_ash",[],[],[],[],"[""Default"",""MTXPolaricDevastation""]",[620],"[18079,58359]",[],17401,[],[],[],[],1000,[],[],[],""
190,"covered_in_frost",[],[],[],[],"[""Default"",""MTXPolaricDevastation""]",[622],"[18079,58359]",[],17402,[],[],[],[],1000,[],[],[],""
191,"arctic_breath","[1949,1953,1955,1956]",[],[],[],"[""Default""]",[],[18079],"[329,332,336,337]",338,[],[118],[],[],1000,[],[],[],""
192,"smite","[1957,1961,1965]",[],[232],[],"[""Default"",""Valkyrie"",""Unholy"",""Annihilation""]","[624,626]","[18079,14117,40595,28443]",[],338,[],[],[],[],1000,[],[],[],""
193,"weapon_granted_firebolt",[],[],[],[],[],[],[],[343],338,[],[587],[],[],1000,[],[],[],""
194,"weapon_granted_stormbolt",[],[],[],[],[],[],[],[344],338,[],[588],[],[],1000,[],[],[],""
195,"weapon_granted_frostbolt",[],[],[],[],[],[],[],[345],338,[],[589],[],[],1000,[],[],[],""
196,"chaosbolt",[],[],[],[],[],[],[],[347],338,[],[590],[],[],1000,[],[],[],""
197,"coiling_bolts",[],[],[],[],[],[],[],"[348,349]",338,[],[591],[],[],1000,[],[],[],""
198,"wind_blast",[1969],[],[],[],"[""Default""]",[],"[18079,18079,56473]",[],338,[],[568],[],"[""Default"",""Breachlord""]",1000,[],[],[],""
199,"charged_dash","[1973,1975,1983,1977,1979,1981]",[148],[],[],"[""Default"",""Desert""]",[],"[18079,46165]",[],338,[],[],[],[],0,[],[],[],""
200,"comet","[1985,1988,1991,1992]",[],[],[],"[""Default""]",[],"[18079,18079,46695,50393,25569,4760]",[],338,[],[618],[],"[""Default"",""NecroMeteor"",""DelayedImpact"",""Abyssal"",""Obsidian""]",0,[],[],[],""
201,"his_foul_emergence","[2005,2006]",[],[],[],"[""Default""]",[],"[18079,37417]",[],338,[],[619],[],"[""ArchnemesisStormHerald""]",0,[],[],[],""
202,"ring_of_blades",[],[],[],[],"[""Default"",""Illusionist""]",[],"[18079,54759]",[350],338,[],[623],[],[],1000,[],[],[],""
203,"fire_trap",[2007],[],[],[],"[""Default"",""Oblivion"",""Staff""]",[],"[18079,116,59353]",[],338,[],"[108,109,110,630]",[],[],0,[],[],[],""
204,"consecrate",[2010],[],[],[],"[""Default""]",[],[18079],[],338,[],"[178,179]",[],[],0,[],[],[],""
205,"frost_wall","[2011,2014]",[],[710],[31],"[""Default""]",[],"[18079,18079,4760]",[],338,[],[58],[],"[""Default"",""Obsidian""]",0,[],[],[],""
206,"mana_tempest","[2017,2018]",[],[],[],"[""Default""]","[627,628]",[18079],[],338,[],[633],[],[],1000,[],[],[],""
207,"dark_tempest","[2021,2022,2023]",[],[],[],"[""Default""]","[631,632]",[18079],[],338,[],[634],[],[],1000,[],[],[],""
208,"new_arctic_armour","[2101,2104,2107,2110]",[],[],[],"[""Default"",""Demon"",""Cloud"",""Invisible""]","[633,637]","[18079,33501,9108,54980]",[],338,[],[635],[],[],0,[],[],[],""
209,"channelled_lightning",[2024],[150],[],[],"[""Default""]",[],[18079],[],338,[],[],[],[],1000,[],[],[],""
210,"quarterstaff_frost_wave",[2025],[],[],[],"[""Default""]",[],"[18079,18079,16261]",[],338,[],[596],[],"[""Default"",""Stonebender""]",1000,[],[],[],""
211,"volcano","[2027,2028,2029]",[],[],[35],"[""Default""]",[],"[18079,18079,37812,49921]","[351,352]",338,[],[640],[],"[""Default"",""Abyss"",""Radiant""]",0,[],[],[],""
212,"killing_palm","[2036,2037,2038]",[237],"[240,241,242,754]",[],"[""Default""]",[],"[18079,18079,56473,59057,14598]",[],338,[],[638],[],"[""Default"",""Breachlord"",""Thunderfist"",""Aurora""]",1000,[],[],[],""
213,"crushing_fear","[2048,2050,2048,2049]",[237],"[240,241,242,754,777]",[],"[""Default""]",[],"[18079,18079,56473,59057,14598]",[],338,[],[1103],[],"[""Default"",""Breachlord"",""Thunderfist"",""Aurora""]",1000,[],[],[],""
214,"shattering_palm","[2052,2772,2054,2056,2058,2060]",[],"[253,254,255]",[],"[""Default""]",[],"[18079,18079,59057]",[],338,[],"[645,859,860]",[],"[""Default"",""Thunderfist""]",1000,[],[],[],""
215,"meditate",[2051],[],"[249,250,251,252]",[],"[""Default""]",[],[18079],[],338,[],[637],[],[],0,[],[],[],""
216,"new_blood_rage",[218],[],[],[],"[""Default"",""Scavenger""]",[244],"[18079,46158]",[],338,[],[643],[],[],1000,[],[],[],""
217,"pestilent_slash","[2062,2063,2064]",[],[],[],"[""Default""]",[],[18079],[],338,[],[647],[],[],1000,[],[],[],""
218,"ice_path",[],[],[],[],"[""Default""]",[],[18079],[357],338,[],[651],[],[],1000,[],[],[],""
219,"shadow_thief_slash",[2070],[151],"[256,257]",[],"[""Default""]",[],[18079],[],338,[],[653],[],[],1000,[],[],[],""
220,"plunging_blade","[2065,2066,2067]",[],[],[],"[""Default""]",[],[18079],[],338,[],[655],[],[],0,[],[],[],""
221,"howl",[2068],[],[],[],"[""Default""]",[],[18079],[],338,[],[656],[],[],1000,[],[],[],""
222,"spiral_volley",[],[],[],[],"[""Default""]",[],[18079],"[358,359]",338,[],[646],[],[],1000,[],[],[],""
223,"heat_seeking_arrow",[2071],[],[],[],"[""Default""]",[],[18079],[360],338,[],[],[],[],1000,[],[],[],""
224,"electric_fence_arrow",[2072],[152],[],[0],"[""Default""]",[],[18079],[361],338,[],[663],[],[],1000,[],[],[],""
225,"stone_gaze",[],[153],[],[],"[""Default"",""Siren"",""Ultimatum""]","[641,644]","[18079,42935,49826]",[],4740,[],[],[],[],1000,[],[],[],""
226,"player_ranged_spear",[2073],[],[],[],"[""Default""]",[],[18079],[501],338,[],[665],[],[],1000,[],[],[],""
227,"supercharged_slam","[2075,2077,2079]",[],[],[],"[""Default""]",[649],[18079],[],338,[],[567],[],[],1000,[],[],[],""
228,"frost_bomb","[2081,2082,2083]",[],[],[],"[""Default""]",[],"[18079,18079,14598,4760]",[],338,[],[216],[],"[""Default"",""Aurora"",""Obsidian""]",1000,[],[],[],""
229,"lightning_storm",[2094],[],[261],[109],"[""Default""]",[],"[18079,18079,37812]",[],338,[],[667],[],"[""Default"",""Abyss""]",1000,[],[],[],""
230,"bear_rampage",[2097],[],[],[],"[""Default""]",[],"[18079,18079,55033]",[],24537,[],[664],[],"[""Default"",""Forgemaster""]",1000,[],[],[],""
