"rownum","Id","Act","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Icon_DDSFile","QuestId","bool_32","Type","[i32]_49","i32_65","TrackerGroup","bool_85","bool_86","NormalReward","QuestFlag"
81,"EndgameDeliriumAtlasSkillBooks",10,"Delirium Atlas Skill Books","Livre de Talents d'Atlas du Délire","Atlas-Fertigkeitenbuch: Delirium","デリリウムアトラススキルの書","환영 아틀라스 기술의 서","Livros de Habilidades do Atlas: Delírio","Книги умений Атласа Делириума","Libros de habilidad del Atlas de delirio","คัมภีร์บังเกิดสกิลแอตลาส เดลิเรียม","譫妄輿圖技能書","Art/2DArt/QuestIcons/Four/PrecursorTower.dds",0,"",1,[],56,"","","",[],[]
82,"EndgameMapBossAtlasSkillBooks",10,"Map Boss Atlas Skill Books","Livre de Talents d'Atlas des Boss de Cartes","Atlas-Fertigkeitenbuch: Kartenboss","マップボスアトラススキルの書","지도 보스 아틀라스 기술의 서","Livros de Habilidades do Atlas: Chefe de Mapa","Книги умений Атласа боссов карт","Libros de habilidad del Atlas de jefes de mapa","คัมภีร์บังเกิดสกิลแอตลาส บอสประจำแผนที่","地圖頭目輿圖技能書","Art/2DArt/QuestIcons/Four/PrecursorTower.dds",0,"",1,[],56,"","","",[],[]
83,"EndgameArbiterBossAtlasSkillBooks",10,"Arbiter Boss Atlas Skill Books","Livre de Talents d'Atlas de l'Arbitre","Atlas-Fertigkeitenbuch: Richter","アービターボスアトラススキルの書","중재자 보스 아틀라스 기술의 서","Livros de Habilidades do Atlas: Chefe Árbitro","Книги умений Атласа Арбитра","Libros de habilidad del Atlas del Árbitro","คัมภีร์บังเกิดสกิลแอตลาส ตุลาการ","仲裁者頭目輿圖技能書","Art/2DArt/QuestIcons/Four/PrecursorTower.dds",0,"",1,[],56,"","","",[],[]
84,"EndgameTimeBossStandInHourglass",2,"The Trial of Time","L'Épreuve du Temps","Die Prüfung der Zeit","時の試練","시간의 시련","A Provação do Tempo","Испытание Времени","La prueba del tiempo","บททดสอบแห่งกาลเวลา","時間試煉","Art/2DArt/QuestIcons/Four/Balbala.dds",0,"",3,[],56,"",1,"",[],[]
85,"BlankRuneQuest",1,"Blank Runes","Runes vierges","Leere Runen","空白のルーン","빈 룬","Runas em Branco","Пустые руны","Runas en blanco","อักขระเปล่า","空白符文","Art/2DArt/QuestIcons/Four/PrecursorTower.dds",0,"",1,[],56,"","","",[],[]
86,"GreaterBlankRuneQuest",4,"Greater Blank Runes","Runes vierges majeures","Große leere Runen","空白のグレータールーン","상위 빈 룬","Runas em Branco Maiores","Большие пустые руны","Runas en blanco mayores","อักขระเปล่าชั้นสูง","高階空白符文","Art/2DArt/QuestIcons/Four/PrecursorTower.dds",0,"",1,[],56,"","","",[],[]
87,"HallsOfTheDeadBlankTattoo1",4,"Tawhoa's Test","Épreuve de Tawhoa","Tawhoas Test","タウホアの試練","타호아의 시험","Teste de Tawhoa","Испытание Тахоа","Prueba de Tawhoa","บทพิสูจน์ของทาฟัว","塔赫亞的考驗","Art/2DArt/QuestIcons/Four/SettingSail.dds",0,"",1,[],56,"","","",[],[]
88,"HallsOfTheDeadBlankTattoo2",4,"Tasalio's Test","Épreuve de Tasalio","Tasalios Test","タサリオの試練","타살리오의 시험","Teste de Tasalio","Испытание Тасалио","Prueba de Tasalio","บทพิสูจน์ของทาเซลีโอ","塔薩里奧的考驗","Art/2DArt/QuestIcons/Four/SettingSail.dds",0,"",1,[],56,"","","",[],[]
89,"HallsOfTheDeadBlankTattoo3",4,"Ngamahu's Test","Épreuve de Ngamahu","Ngamahus Test","ナマフの試練","나마후의 시험","Teste de Ngamahu","Испытание Нгамаху","Prueba de Ngamahu","บทพิสูจน์ของนามาฮู","拿馬乎的考驗","Art/2DArt/QuestIcons/Four/SettingSail.dds",0,"",1,[],56,"","","",[],[]
90,"Act4SirenPearl",4,"Siren Pearl","La Perle de la Sirène","Sirenenperle","セイレーンの真珠","사이렌 진주","Pérola da Sereia","Жемчужина сирены","Perla de sirena","ไข่มุกพรายน้ำ","海妖珍珠","Art/2DArt/QuestIcons/Four/SettingSail.dds",0,"",1,[],56,"","","",[],[]
91,"AbyssQuest",1,"Cracks in the Earth","Des Fissures dans le sol","Risse in der Erde","地面の裂け目","땅에 생긴 균열","Rachaduras no Chão","Трещины в земле","Grietas en la tierra","รอยร้าวในปฐพี","大地的裂痕","Art/2DArt/QuestIcons/Four/MapBoss.dds",0,"",0,[],52,"","","","[7,0]",[]
92,"InterludePart1",6,"Recruit the Ezomytes","Recruter les Ézomytes","Rekrutiert die Ezomyten","エゾマイトを仲間に加える","에조미어인 모집","Recrute os ezomytas","Помощь эзомитов","Reclutar a los ezomitas","รวมกำลังจากชาวเอโซไมต์","招募艾茲麥人","Art/2DArt/QuestIcons/Four/EzomyrInterludePart1.dds",0,"",0,[],56,"","","",[],[]
93,"InterludePart2",6,"Recruit the Maraketh","Recruter les Marakeths","Rekrutiert die Maraketh","マラケスを仲間に加える","마라케스인 모집","Recrute os maraketh","Помощь маракетов","Reclutar a los maraketh","รวมกำลังจากชาวมาราเค็ท","招募馬拉克斯人","Art/2DArt/QuestIcons/Four/MarakethInterludePart2.dds",0,"",0,[],56,"","","",[],[]
94,"InterludePart3",6,"Recruit the Vaal","Recruter les Vaals","Rekrutiert die Vaal","ヴァールを仲間に加える","바알인 모집","Recrute os vaal","Помощь ваал","Reclutar a los vaal","รวมกำลังจากชาววาล์","招募瓦爾人","Art/2DArt/QuestIcons/Four/VaalInterludePart3.dds",0,"",0,[],56,"","","",[],[]
95,"InterludeToEndgameConnector",4,"Siege of Oriath","Le Siège d'Oriath","Belagerung von Oriath","オリアスの包囲","오리아스 공성전","Cerco de Oriath","Осада Ориата","Asedio de Oriath","ศึกปิดล้อมโอริอาท","奧瑞亞圍城戰","Art/2DArt/QuestIcons/Four/Endgame.dds",0,"",0,"[1,3]",56,"","","",[37],[]
96,"HideoutUnlock",4,"Hostile Takeover","Conquête hostile","Feindliche Übernahme","敵対的買収","적대적 영역","Tomada Violenta","Враждебный захват","Toma hostil","ยึดถิ่นศัตรู","惡意收購","Art/2DArt/QuestIcons/Four/TropicalIslandHideout.dds",0,"",1,"[1,3]",56,"","","",[],[]
97,"InterludePart2ScorpionAndWorm",6,"Clearing the Way","Dégager la voie","Den Weg frei machen","道を掃討","길 내기","Liberando o Caminho","Расчистка дороги","Despejar el camino","เปิดเส้นทาง","開闢道路","Art/2DArt/QuestIcons/Four/ScorpionAndWorm.dds",0,"",1,[],56,"","","",[35],[]
98,"InterludePart3YetiQuadrilla",6,"Howling Winds","Les Vents hurlants","Heulende Winde","吠える風","울부짖는 바람","Ventos Uivantes","Воющие ветра","Vientos huracanados","ลมหอน","狂嗥之風","Art/2DArt/QuestIcons/Four/IceQuadrilla.dds",0,"",1,[],56,"","","",[36],[]
99,"AbyssTutorial",2,"The Well of Souls","Le Puits des Âmes","Der Brunnen der Seelen","魂の井戸","영혼의 우물","O Poço das Almas","Колодец душ","El pozo de las almas","บ่อวิญญาณ","靈魂深井","Art/2DArt/QuestIcons/Four/AbyssIntruduction.dds",0,"",1,"[1,3]",56,"","","",[],[]
100,"InterludePart2DjinnRewardRing",6,"","","","","","","","","","","",0,"",1,[],56,"","","",[],[]
101,"InterludePart2DjinnRewardAmulet",6,"","","","","","","","","","","",0,"",1,[],56,"","","",[],[]
102,"InterludePart2DjinnRewardJewel",6,"","","","","","","","","","","",0,"",1,[],56,"","","",[],[]
103,"InterludePart2DjinnRewardRing2",6,"","","","","","","","","","","",0,"",1,[],56,"","","",[],[]
104,"InterludePart2DjinnRewardAmulet2",6,"","","","","","","","","","","",0,"",1,[],56,"","","",[],[]
105,"InterludePart2DjinnRewardJewel2",6,"","","","","","","","","","","",0,"",1,[],56,"","","",[],[]
106,"A4BossFightPhase1To2ChaseLocalQuest",4,"Follow Tavakai","Suivre Tavakai","Folgt Tavakai","タヴァカイを追え","타바카이 따라가기","Siga Tavakai","Вслед за Тавакаи","Sigue a Tavakai","ไล่ตามทาวาไค","跟隨塔瓦凱","Art/2DArt/QuestIcons/Four/CataclysmsWake.dds",0,"",3,[],56,"",1,"",[],[]
107,"EndgameAbyss",10,"[DNT] Endgame Abyss Quest","[DNT] Endgame Abyss Quest","[DNT] Endgame Abyss Quest","[DNT] Endgame Abyss Quest","[DNT] Endgame Abyss Quest","[DNT] Endgame Abyss Quest","[DNT] Endgame Abyss Quest","[DNT] Endgame Abyss Quest","[DNT] Endgame Abyss Quest","[DNT] Endgame Abyss Quest","Art/2DArt/QuestIcons/Four/MapBoss.dds",0,"",0,[],56,"","","",[],[]
108,"IncursionQuest1_Act1",1,"Ancient Beacons","Balises antiques","Uralte Leuchtfeuer","古代のビーコン","고대 등대","Sinalizadores Antigos","Древние маячки","Focos antiguos","สัญญาณไฟโบราณ","遠古烽火","Art/2DArt/QuestIcons/Four/VaalIncursion.dds",0,"",0,[],56,"","","",[],[]
109,"IncursionQuest1_Act2",2,"Ancient Beacons","Balises antiques","Uralte Leuchtfeuer","古代のビーコン","고대 등대","Sinalizadores Antigos","Древние маячки","Focos antiguos","สัญญาณไฟโบราณ","遠古烽火","Art/2DArt/QuestIcons/Four/VaalIncursion.dds",0,"",0,[],56,"","","",[],[]
110,"IncursionQuest1_Act3",3,"Ancient Beacons","Balises antiques","Uralte Leuchtfeuer","古代のビーコン","고대 등대","Sinalizadores Antigos","Древние маячки","Focos antiguos","สัญญาณไฟโบราณ","遠古烽火","Art/2DArt/QuestIcons/Four/VaalIncursion.dds",0,"",0,[],56,"","","",[],[]
111,"IncursionQuest2",4,"Fate of the Vaal","Le Destin des Vaal","Schicksal der Vaal","ヴァールの運命","바알의 운명","Destino dos Vaal","Судьба ваал","Destino de los vaal","ชะตาแห่งวาล์","瓦爾命途","Art/2DArt/QuestIcons/Four/VaalIncursion.dds",0,"",0,[19],56,"","","",[],[425]
112,"IncursionTemple",0,"Explore the Temple","Explorer le Temple","Den Tempel erkunden","神殿を探索しろ","사원 탐험하기","Explore o templo","Исследование храма","Explora el templo","สำรวจวิหาร","探索神廟","Art/2DArt/QuestIcons/Four/VaalIncursion.dds",0,"",3,[19],56,"",1,"",[],[]
113,"EndgameLeagueAbyss",10,"Abyssal Power","Puissance abyssale","Macht des Abgrunds","アビサルパワー","심연의 힘","Poder Abissal","Сила Бездны","Poder abisal","พลังอะบิส","深淵之力","Art/2DArt/QuestIcons/Four/AbyssIntruduction.dds",0,"",0,[3],56,"","","",[],[]
114,"EndgameLeagueBreach",10,"Keepers of the Flame","Gardiens de la Flamme","Hüter der Flamme","炎の守護者","불길의 수호자들","Protetores da Chama","Хранители Пламени","Protectores de la llama","กลุ่มผู้ธำรงเพลิง","黯焰看守者","Art/2DArt/QuestIcons/Four/Breach.dds",0,"",0,[3],56,"","","",[],[]
115,"EndgameLeagueDelirium",10,"Strange Reflection","Reflet étrange","Seltsame Reflexion","奇妙な鏡像","이상한 투영","Reflexo Estranho","Странное отражение","Reflejo extraño","ภาพสะท้อนประหลาด","奇異反射","Art/2DArt/QuestIcons/Four/Delirium.dds",0,"",0,[3],56,"","","",[],[]
116,"EndgameLeagueRitual",10,"Legacy of the Maji","Héritage des Majis","Vermächtnis der Maji","メジャイの遺産","마지의 유산","Legado dos Maji","Наследие Маджи","Legado de los maji","มรดกแห่งมาไจ","聖賢的遺產","Art/2DArt/QuestIcons/Four/Ritual.dds",0,"",0,[3],56,"","","",[],[]
117,"EndgameLeagueExpedition",10,"The Grand Expedition","La Grande Expédition","Die Große Expedition","グランドエクスペディション","대탐험","A Grande Expedição","Великая экспедиция","La gran expedición","กองสำรวจยิ่งใหญ่","大型探險","Art/2DArt/QuestIcons/Four/DannigExpedition.dds",0,"",0,[3],54,"","","",[],[]
118,"EndgameClassQuestJado",10,"Jado's Spycraft","Renseignement de Jado","Jados Spionagekunst","ジャドの諜報術","자도의 첩보술","Espionagem de Jado","Шпионаж Джадо","Espionaje de Jado","วิถีจารชนของจาโด","賈多的諜報活動","Art/2DArt/QuestIcons/Four/OrderOfTheDjinn.dds",0,"",0,[3],56,"","","",[],[]
119,"EndgameClassQuestDoryani",10,"Doryani's Science","Science de Doryani","Doryanis Wissenschaft","ドリヤニの科学","도리아니의 과학","Ciência de Doryani","Наука Дориани","Ciencia de Doryani","วิถีวิทยาศาสตร์ของดอร์ยานี","多里亞尼的科學","Art/2DArt/QuestIcons/Four/RoyalThaumaturges.dds",0,"",0,[3],56,"","","",[],[]
120,"EndgameClassQuestHilda",10,"Hilda's Hunting","Traque d'Hilda","Hildas Jagd","ヒルダの狩り","힐다의 사냥","Caça de Hilda","Охота Хильды","Caza de Hilda","วิถีพรานของฮิลด้า","希爾妲的狩獵","Art/2DArt/QuestIcons/Four/TheMonsterGuild.dds",0,"",0,[3],56,"","","",[],[]
121,"Expedition2Act1",1,"The Runeseeker","Le Chercheur de Runes","Der Runensucher","ルーンシーカー","룬 탐구자","O Caça-runas","Искатель рун","El buscador de runas","นักแสวงอักขระ","符文探求者","Art/2DArt/QuestIcons/Four/ExpeditionRuneseeker.dds",0,"",0,[],54,"","","",[],[]
122,"Expedition2Act2",2,"The Runeseeker","Le Chercheur de Runes","Der Runensucher","ルーンシーカー","룬 탐구자","O Caça-runas","Искатель рун","El buscador de runas","นักแสวงอักขระ","符文探求者","Art/2DArt/QuestIcons/Four/ExpeditionRuneseeker.dds",0,"",0,[],54,"","","",[],[]
123,"Expedition2Act3",3,"The Runeseeker","Le Chercheur de Runes","Der Runensucher","ルーンシーカー","룬 탐구자","O Caça-runas","Искатель рун","El buscador de runas","นักแสวงอักขระ","符文探求者","Art/2DArt/QuestIcons/Four/ExpeditionRuneseeker.dds",0,"",0,[],54,"","","",[],[]
124,"EndgameRuneseekersPursuit",10,"[DNT] Runeseeker's Pursuit","[DNT] Runeseeker's Pursuit","[DNT] Runeseeker's Pursuit","[DNT] Runeseeker's Pursuit","[DNT] Runeseeker's Pursuit","[DNT] Runeseeker's Pursuit","[DNT] Runeseeker's Pursuit","[DNT] Runeseeker's Pursuit","[DNT] Runeseeker's Pursuit","[DNT] Runeseeker's Pursuit","Art/2DArt/QuestIcons/Four/DannigExpedition.dds",0,"",1,[],56,"","","",[],[]
125,"EndgameArbiterOfDivinityLocalQuest",10,"Arbiter of Divinity","Arbitre de la Divinité","Richter der Göttlichkeit","神性のアービター","신성의 중재자","Árbitro da Divindade","Божественный арбитр","Árbitro de divinidad","ตุลาการเทวา","神聖仲裁者","Art/2DArt/QuestIcons/Four/ArbiterQuestline.dds",0,"",3,[],56,"",1,"",[],[]
126,"EndgameArbiterOfDivinityUseTowersQuest",10,"Arbiter of Divinity","Arbitre de la Divinité","Richter der Göttlichkeit","神性のアービター","신성의 중재자","Árbitro da Divindade","Божественный арбитр","Árbitro de divinidad","ตุลาการเทวา","神聖仲裁者","Art/2DArt/QuestIcons/Four/ArbiterQuestline.dds",0,"",3,[],56,"",1,"",[],[]
