"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","XBoxText","XBoxText (French)","XBoxText (German)","XBoxText (Japanese)","XBoxText (Korean)","XBoxText (Portuguese)","XBoxText (Russian)","XBoxText (Spanish)","XBoxText (Thai)","XBoxText (Traditional Chinese)","XBoxText2","HASH32","PlaystationText","string_44"
220,"SevenSekhemasDesc05","<dodgerblue>{12% increased [CooldownRecovery|Cooldown Recovery Rate]}","<dodgerblue>{12% d'Augmentation de la [CooldownRecovery|Vitesse de recharge]}","<dodgerblue>{12% beschleunigte [CooldownRecovery|Abklingzeit-Rate]}","<dodgerblue>{[CooldownRecovery|クールダウン解消レート]12%増加}","<dodgerblue>{[CooldownRecovery|재사용 대기시간 회복 속도] 12% 증가}","<dodgerblue>{[CooldownRecovery|Velocidade de recarga] aumentada em 12%}","<dodgerblue>{12% повышение скорости [CooldownRecovery|перезарядки]}","<dodgerblue>{[CooldownRecovery|Velocidad de recuperación del enfriamiento] aumentada un 12%}","<dodgerblue>{เพิ่ม[CooldownRecovery|ความเร็วในการฟื้นฟูคูลดาวน์] 12%}","<dodgerblue>{增加 12% [CooldownRecovery|冷卻時間恢復率]}","","","","","","","","","","","",2039379869,"",""
221,"SevenSekhemasTitle06","Kochai's Boon","Bienfait de Kochai","Kochais Geschenk","コチャイの恩恵","코차이의 은혜","Dádiva de Kochai","Благословение Кохаи","Bendición de Kochai","พรจากโคไช","科柴的恩惠","","","","","","","","","","","",2366118843,"",""
222,"SevenSekhemasDesc06","<dodgerblue>{+5 to all [Attributes|Attributes]}","<dodgerblue>{+5 à tous les [Attributes|Attributs]}","<dodgerblue>{+5 zu allen [Attributes|Attributen]}","<dodgerblue>{全ての[Attributes|能力値] +5}","<dodgerblue>{모든 [Attributes|능력치] +5}","<dodgerblue>{+5 a todos os [Attributes|atributos]}","<dodgerblue>{+5 ко всем [Attributes|характеристикам]}","<dodgerblue>{+5 a todos los [Attributes|atributos]}","<dodgerblue>{+5 [Attributes|ค่าคุณสมบัติ]ทั้งหมด}","<dodgerblue>{+5 全部[Attributes|能力值]}","","","","","","","","","","","",620385916,"",""
223,"SevenSekhemasTitle07","Alima's Disgrace","Déshonneur d'Alima","Alimas Schmach","アリマの汚名","알리마의 굴욕","Vergonha de Alima","Немилость Алимы","Desgracia de Alima","ความเสื่อมเสียของอลิม่า","亞莉瑪的恥辱","","","","","","","","","","","",3318904174,"",""
224,"SevenSekhemasDesc07","<dodgerblue>{5% increased Experience Gain}\r\n<corrupted>{-5% to [ElementalDamage|Elemental] [Resistances|Resistances]\r\n3% reduced Movement Speed\r\n15% reduced Global [Armour], [Evasion] and [EnergyShield|Energy Shield]\r\n20% reduced [Presence|Presence] Area of Effect\r\n12% reduced [CooldownRecovery|Cooldown Recovery Rate]\r\n5% reduced [Attributes|Attributes]}","<dodgerblue>{5% d'Augmentation du Gain d'Expérience}\r\n<corrupted>{-5% aux [Résistances|Resistances] [ElementalDamage|Élémentaires]\r\n3% de Réduction de la Vitesse de déplacement\r\n15% de réduction de l'[Armour|Armure], de l'[Evasion|Évasion] et du [EnergyShield|Bouclier d'énergie] Global\r\n20% de Réduction de la Zone d'effet de la [Presence|Présence]\r\n12% de Réduction de la [CooldownRecovery|Vitesse de recharge]\r\n5% de Réduction des [Attributes|Attributs]}","<dodgerblue>{5% erhöhter Erfahrungsgewinn}\r\n<corrupted>{-5% zu [ElementalDamage|Elementar][Resistances|widerständen]\r\n3% verringerte Bewegungsgeschwindigkeit\r\n15% verringerte globale [Armour|Rüstung], [Evasion|Ausweichwert] und [EnergyShield|Energieschild]\r\n20% verkleinerter [Presence|Präsenz]-Wirkungsbereich\r\n12% verlangsamte [CooldownRecovery|Abklingzeit-Rate]\r\n5% verringerte [Attributes|Attribute]}","<dodgerblue>{獲得経験値5%増加}\r\n<corrupted>{[ElementalDamage|元素][Resistances|耐性] -5%\r\n移動スピード3%減少\r\nグローバル[Armour|アーマー]、[Evasion|回避力]および[EnergyShield|エナジーシールド]15%減少\r\n[Presence|存在下]効果範囲20%減少\r\n[CooldownRecovery|クールダウン解消レート]12%減少\r\n[Attributes|能力値]5%減少}","<dodgerblue>{경험치 획득 5% 증가}\r\n<corrupted>{[ElementalDamage|원소] [Resistances|저항] -5%\r\n이동 속도 3% 감소\r\n일반 [Armour|방어도], [Evasion|회피], [EnergyShield|에너지 보호막] 15% 감소\r\n[Presence|접근] 효과 범위 20% 감소\r\n[CooldownRecovery|재사용 대기시간 회복 속도] 12% 감소\r\n[Attributes|능력치] 5% 감소}","<dodgerblue>{Ganho de experiência aumentado em 5%}\r\n <corrupted>{-5% para as [Resistances|resistências] [ElementalDamage|elementais]\r\n Velocidade de movimento reduzida em 3%\r\n [Armour|Armadura], [Evasion|evasão] e [EnergyShield|escudo de energia] globais reduzidos em 15%\r\n Área de efeito de [Presence|presença] reduzida em 20%\r\n [CooldownRecovery|Velocidade de recarga] reduzida em 12%\r\n [Attributes|Atributos] reduzidos em 5%}","<dodgerblue>{5% увеличение получаемого опыта}\r\n<corrupted>{-5% к [Resistances|сопротивлению] [ElementalDamage|стихиям]}\r\n3% снижение скорости передвижения\r\n15% уменьшение глобальной [Armour|брони], [Evasion|уклонения] и [EnergyShield|энергетического щита]]\r\n20% уменьшение области [Presence|присутствия]\r\n12% снижение скорости [CooldownRecovery|перезарядки]\r\n5% снижение [Attributes|характеристик]}","<dodgerblue>{Ganancia de experiencia aumentada un 5%}\r\n<corrupted>{-5% a las [Resistances|resistencias] [ElementalDamage|elementales] \r\nVelocidad de movimiento reducida un 3%\r\n[Armour|armadura], [Evasion|evasión] y [EnergyShield|escudo de energía] reducidos un 15% \r\nÁrea de efecto de la [Presence|presencia] reducida un 20%\r\n[CooldownRecovery|Velocidad de recuperación del enfriamiento] reducida un 12% \r\n[Attributes|Atributos] reducidos un 5%}","<dodgerblue>{เพิ่มค่าประสบการณ์ที่ได้รับ 5%}\r\n<corrupted>{[Resistances|ค่าต้านทาน] [ElementalDamage|ธาตุ] -5%\r\nลดความเร็วในการเคลื่อนที่ 3%\r\nลด[Armour|ค่าเกราะ], [Evasion|การหลบหลีก], [EnergyShield|โล่พลังงาน] ของตัวละคร 15%\r\nลดพื้นที่ส่งผลของ [Presence|ระยะปรากฏกาย] 20%\r\nลด[CooldownRecovery|ความเร็วในการฟื้นฟูคูลดาวน์] 12%\r\nลด[Attributes|ค่าคุณสมบัติ] 5%}","<dodgerblue>{增加 5% 經驗值獲取}\r\n<corrupted>{-5% [ElementalDamage|元素] [Resistances|抗性]\r\n減少 3% 移動速度\r\n減少 15% 全域 [Armour|護甲]、[Evasion|閃避] 與 [EnergyShield|能量護盾]\r\n減少 20% [Presence|威儀] 範圍效果\r\n減少 12% [CooldownRecovery|冷卻時間恢復率]\r\n減少 5% [Attributes|屬性]}","","","","","","","","","","","",2429354376,"",""
225,"GamepadStashShopTabText","Buy Stash","Acheter des Onglets de réserve","Truhenfach kaufen","スタッシュを買う","보관함 구입","Comprar Baú","Купить секцию","Comprar alijo","ซื้อแท็บเก็บของ","購買倉庫","","","","","","","","","","","",1547900198,"",""
226,"GamepadActionStashToShop","Open Microtransaction Shop","Ouvrir la boutique des Microtransactions","Shop für Mikrotransaktionen öffnen","マイクロトランザクションショップを開く","포인트 아이템 상점 열기","Abrir Loja de Microtransações","Открыть магазин микротранзакций","Abrir tienda de microtransacciones","เปิดร้านค้าสินค้าแฟชั่น","打開道具商城","","","","","","","","","","","",2632792533,"",""
227,"StashFolderViewWarningNoSpace","No available space to stash Item.","Plus d'emplacement disponible pour ranger votre objet.","Kein Platz für diesen Gegenstand in der Truhe.","アイテムをスタッシュする利用可能なスペースがありません","아이템을 보관할 공간이 없습니다.","Não há espaço para guardar o item.","Нет места для этого предмета.","No hay espacio disponible para guardar el objeto.","ไม่มีช่องเก็บของเพียงพอแก่การเก็บไอเทม","無可存放物品的空間。","","","","","","","","","","","",2916721661,"",""
228,"StashFolderViewWarningBulkMoveUnavailable","Select a Stash Tab to use bulk move.","Sélectionnez un Onglet de réserve pour utiliser le déplacement par lot.","Wähle ein Truhenfach, um den kompletten Inhalt zu verschieben.","バルク移動を使用するスタッシュタブを選択してください","일괄 이동을 사용할 보관함 탭을 선택하세요.","Selecione uma aba de baú para mover em lote.","Выберите секцию, чтобы переложить всё.","Selecciona una pestaña de alijo para usar el movimiento por lotes.","เลือกแท็บเก็บของเพื่อทำการย้ายไอเทมจำนวนมาก","選擇倉庫頁來批量移動。","","","","","","","","","","","",2901337513,"",""
229,"GamepadActionToggleMode","Toggle Mode","Mode de bascule","Modus umschalten","モードをトグルする","모드 전환","Alternar Modo","Переключить режим","Cambiar modo","โหมดเปิด/ปิด","切換模式","","","","","","","","","","","",2680782902,"",""
230,"GamepadActionRemoveBuff","Remove Buff","Retirer l'Effet bénéfique","Stärkung entfernen","バフを取り除く","버프 제거","Remover Bônus","Убрать положительный эффект","Eliminar efecto beneficioso","ลบบัฟ","移除增益效果","","","","","","","","","","","",29796190,"",""
231,"SideEncounterTitlePinnacleBoss","The Burning Monolith","Le Monolithe ardent","Der Brennende Monolith","燃えるモノリス","불타는 거석","O Monólito Ardente","Горящий монолит","El monolito ardiente","อนุสาวรีย์เพลิงพิโรธ","燃燒豐碑","","","","","","","","","","","",2791406352,"",""
232,"SideEncounterTitlePinnacleBossUber","The Pinnacle Of Flames","Le Pinacle des Flammes","Der Gipfel der Flammen","炎のピナクル","화염의 정점","O Pico das Chamas","Вершина пламени","El pináculo de las llamas","อภิมหาอัคนี","火焰巔峰","","","","","","","","","","","",2258607582,"",""
233,"GamepadActionToggleBossDifficulty","Toggle Difficulty","Basculer la difficulté","Schwierigkeitsgrad umschalten","難易度をトグルする","난이도 전환","Alternar Dificuldade","Изменить сложность","Cambiar dificultad","เปลี่ยนระดับความยาก","切換難度","","","","","","","","","","","",1813292096,"",""
234,"GamepadToggleBossDifficultyUnbound","<<gamepad_toggle_difficulty>> Bind to toggle difficulty.","<<gamepad_toggle_difficulty>> Assigner pour modifier la difficulté.","<<gamepad_toggle_difficulty>> Zuweisen, um Schwierigkeit umzuschalten.","<bigger>{<<gamepad_ritual_shop>>} アクションを割り当てて難易度をトグルする。","<<gamepad_toggle_difficulty>> 난이도를 전환하는 행동을 지정합니다.","<<gamepad_toggle_difficulty>> Associe para alternar a dificuldade.","<<gamepad_toggle_difficulty>> Назначает кнопку для переключения сложности сражения.","<<gamepad_toggle_difficulty>> Vincula para cambiar la dificultad.","<<gamepad_toggle_difficulty>> ตั้งปุ่มเพื่อเปลี่ยนระดับความยาก","<<gamepad_toggle_difficulty>>綁定此行動以切換難度。","","","","","","","","","","","",190456783,"",""
235,"GamepadActionToggleBossDifficultyDesc","Change the difficulty mode of the encounter.\r\nDifferent modes require a different set of Keys.","Modifie le mode de difficulté de la rencontre.\r\nChaque mode requiert un ensemble de Clés différent.","Ändere den Schwierigkeitsgrad der Begegnung.\r\nVerschiedene Modi erfordern unterschiedliche Schlüssel.","エンカウンターの難易度モードを変更する。\r\n異なるモードには異なる種類の一連の鍵が必要です。","인카운터의 난이도 모드를 변경합니다.\r\n모드별로 다른 열쇠가 필요합니다.","Altera o modo de dificuldade do encontro.\r\n Cada modo exige um conjunto distinto de teclas.","Переключает сложность сражения.\r\nРазные режимы требуют разных ключей.","Cambia el modo de dificultad del encuentro.\r\nCada modo diferente requiere un conjunto diferente de llaves.","เปลี่ยนโหมดความยากของการเผชิญหน้า\r\nแต่ละโหมดต้องการชุดกุญแจที่แตกต่างกัน","改變此事件的難度。\r\n不同模式所需的鑰匙不同。","","","","","","","","","","","",3327392881,"",""
236,"GamepadActionCloseStash","Close Stash","Fermer la Réserve","Truhe schließen.","スタッシュを閉じる","보관함 닫기","Fechar Baú","Закрыть тайник","Cerrar alijo","ปิดคลังเก็บของ","關閉倉庫","","","","","","","","","","","",2449088519,"",""
237,"GamepadActionEndInteract","End Interact","Mettre fin à l'interaction","Interaktion beenden","インタラクトを終了する","상호작용 종료","Encerrar Interação","Завершить взаимодействие","Finalizar interacción","ยกเลิกการใช้งาน","結束互動","","","","","","","","","","","",1951265103,"",""
238,"GamepadZoomedInTitle","Camera zoomed in","Caméra zoomée","Kamera herangezoomt","カメラズームイン","카메라 확대됨","Câmera aproximada","Камера приближена","Cámara acercada","กำลังซูมกล้อง","畫面已放大","","","","","","","","","","","",3690151098,"",""
239,"GamepadActionToggleZoom","Cycle Zoom Level","Cycle du niveau de zoom","Zoomstufe durchlaufen","ズームレベルを切り替える","확대 비율 넘기기","Alternar níveis de aproximação","Смена степени приближения","Cambiar nivel de zoom","เปลี่ยนระดับการซูม","循環縮放倍率","","","","","","","","","","","",1078628756,"",""
240,"AsyncTradeSoldItemNotification","Your {} has sold for {}.\r\nYou can collect your earnings in your Hideout by Managing your Shop.","Votre objet {} a été vendu pour {}.\r\nVous pouvez récupérer vos gains dans votre Repaire en Gérant votre Boutique.","{} wurde für {} verkauft.\r\nDu kannst deine Einnahmen in deinem Versteck abholen, indem du deinen Shop verwaltest.","{}が{}の代金で売却されました。\r\n隠れ家でショップを管理するから代金を受け取ってください","{}이(가) {}에 팔렸습니다.\r\n은신처에서 상점을 관리하여 수익금을 받을 수 있습니다.","O item {} foi vendido por {}.\r\n Abra sua loja em seu refúgio para poder pegar seu pagamento.","Ваш предмет {} продан за {}.\r\nВы можете забрать выручку в вашем убежище в окне управления лавкой.","Tu {} se ha vendido por {}.\r\nPuedes recoger tus ganancias en tu guarida en Gestionar tu tienda.","{} ของคุณถูกขายแลกกับ {} แล้ว\r\nคุณสามารถเก็บเงินตราที่คุณได้จากหน้าจัดการร้านค้าภายในที่ซ่อนของคุณ","你的{}已售出，價格為 {}。\r\n在你的藏身處透過管理商店來領取收益。","","","","","","","","","","","",3683827836,"",""
241,"AsyncTradeSoldItemNotificationShort","Your {} has sold for {}.","Your {} has sold for {}.","{} wurde für {} verkauft.","{}が{}の代金で売却されました。","{} 판매 완료 (판매가: {})","{} foi vendido por {}.","Ваш предмет {} был продан за {}.","Tu {} se ha vendido por {}.","{} ของคุณถูกขายแลกกับ {} แล้ว","你的{}已售出，價格為 {}。","","","","","","","","","","","",4096490532,"",""
242,"AsyncTradeSoldItemInAnotherLeagueNotification","{} has sold for {} in another league.\r\nYou can collect your earnings in your Hideout by Managing your Shop in that league.","{} has sold for {} in another league.\r\nYou can collect your earnings in your Hideout by Managing your Shop in that league.","In einer anderen Liga wurde {} für {} verkauft.\r\nSprich mit Faustus in deinem Versteck der jeweiligen Liga, um deine Einnahmen abzuholen.","{}が{}の代金で他のリーグで売却されました。\r\nそのリーグの隠れ家でショップを管理するから代金を受け取ってください","{}이(가) 다른 리그에서 {}에 팔렸습니다.\r\n해당 리그의 은신처에서 상점을 관리하여 수익금을 받을 수 있습니다.","O item {} foi vendido por {} em outra liga.\r\n Abra sua loja em seu refúgio naquela liga para pegar seu pagamento.","Ваш предмет {} продан за {} в другой лиге.\r\nВы можете забрать выручку в вашем убежище в окне управления лавкой в этой лиге.","{} se ha vendido por {} en otra liga.\r\nPuedes recoger tus ganancias en tu guarida dándole a Gestionar tienda en esa liga.","นำ {} ไปขายแลกกับ {} ในลีกอื่นแล้ว\r\nคุณสามารถเก็บเงินตราที่คุณได้จากหน้าจัดการร้านค้าภายในที่ซ่อนของคุณในลีกนั้น","你的{}已在其他聯盟售出，價格為 {}。\r\n在你其他聯盟中的藏身處透過管理商店來領取收益。","","","","","","","","","","","",1508961101,"",""
243,"AsyncTradeSoldItemInAnotherLeagueNotificationShort","{} has sold for {} in another league.","{} a été vendu pour {} dans une autre ligue.","In einer anderen Liga wurde {} für {} verkauft.","{}が{}の代金で他のリーグで売却されました","{}이(가) 다른 리그에서 {}에 팔렸습니다.","O item {} foi vendido por {} em outra liga.","Ваш предмет {} был продан за {} в другой лиге.","{} se ha vendido por {} en otra liga.","นำ {} ไปขายแลกกับ {} ในลีกอื่นแล้ว","你的{}已在其他聯盟售出，價格為 {}。","","","","","","","","","","","",362031539,"",""
