"rownum","i32","i32","MiscAnimated","i32","i32","i32","i32","i32","bool","i32","i32","i32","bool","[rid]","bool","i32","i32","i32","i32","i32","bool","string","bool","i32","bool","i32","i32","bool","i32","[string]","string","[i32]","string","string","i32","bool","[i32]","bool","i32","bool","rid","bool"
43,13150,0,[],0,1,3,40,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,4,"",1,"[""Metadata/Monsters/LeagueBlight/BlightTowerChilling"",""Metadata/Monsters/LeagueBlight/BlightTowerChilling2"",""Metadata/Monsters/LeagueBlight/BlightTowerChilling3"",""Metadata/Monsters/LeagueBlight/BlightTowerFreezing"",""Metadata/Monsters/LeagueBlight/BlightTowerIcePrison"",""Metadata/Monsters/LeagueBlight/BlightTowerShocking"",""Metadata/Monsters/LeagueBlight/BlightTowerShocking2"",""Metadata/Monsters/LeagueBlight/BlightTowerShocking3"",""Metadata/Monsters/LeagueBlight/BlightTowerLightningStorm_"",""Metadata/Monsters/LeagueBlight/BlightTowerArcing_"",""Metadata/Monsters/LeagueBlight/BlightTowerBuffTowers"",""Metadata/Monsters/LeagueBlight/BlightTowerBuffTowers2"",""Metadata/Monsters/LeagueBlight/BlightTowerBuffTowers3"",""Metadata/Monsters/LeagueBlight/BlightTowerBuffPlayers"",""Metadata/Monsters/LeagueBlight/BlightTowerWeakenEnemies"",""Metadata/Monsters/LeagueBlight/BlightTowerStunning"",""Metadata/Monsters/LeagueBlight/BlightTowerStunning2"",""Metadata/Monsters/LeagueBlight/BlightTowerStunning3"",""Metadata/Monsters/LeagueBlight/BlightTowerTemporal__"",""Metadata/Monsters/LeagueBlight/BlightTowerPetrification"",""Metadata/Monsters/LeagueBlight/BlightTowerSummonMinions"",""Metadata/Monsters/LeagueBlight/BlightTowerSummonMinions2"",""Metadata/Monsters/LeagueBlight/BlightTowerSummonMinions3"",""Metadata/Monsters/LeagueBlight/BlightTowerSummonMinionsFlying"",""Metadata/Monsters/LeagueBlight/BlightTowerSummonMinionsTanky"",""Metadata/Monsters/LeagueBlight/BlightTowerFlame"",""Metadata/Monsters/LeagueBlight/BlightTowerFlame2"",""Metadata/Monsters/LeagueBlight/BlightTowerFlame3"",""Metadata/Monsters/LeagueBlight/BlightTowerFlamethrower"",""Metadata/Monsters/LeagueBlight/BlightTowerMeteor""]","triggerer.SetStateTo( stunned, 1 ); triggerer.StartStateTimer( stun_time, 2 );","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",0,"",0,""
44,13558,0,[],0,1,3,25,0,1,13,13,0,1,[],"",1,0,7,0,0,"","","",2,"",5,2,"",1,"[""Metadata/Monsters/LeagueBlight/Generic/MonkeySlow"",""Metadata/Monsters/LeagueBlight/Generic/MonkeySlow2"",""Metadata/Monsters/LeagueBlight/Generic/Monkey"",""Metadata/Monsters/LeagueBlight/Generic/Monkey2"",""Metadata/Monsters/LeagueBlight/Generic/MonkeyChieftain"",""Metadata/Monsters/LeagueBlight/Generic/MonkeyChieftainFighter"",""Metadata/Monsters/LeagueBlight/Generic/MonkeyChieftainBoss""]","triggerer.AddBuff( blight_chieftain_rage_buff, 8, 5, 20 );","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",0,"",0,""
45,14306,0,[],0,1,4,18,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,4,1,4,"[""Metadata/Monsters/AtlasExiles/OrionArenaObjects/OrionDoodad""]","triggerer.CopyState( \""x_pos,y_pos,z_pos\"", apparition ); triggerer.SetStateTo( obliterate, 1 );","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",0,"",0,""
46,14636,0,[],0,1,4,9,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,4,1,4,"[""Metadata/Monsters/AtlasExiles/OrionArenaObjects/OrionDoodad""]","triggerer.CopyState( \""x_pos,y_pos,z_pos\"", apparition ); triggerer.SetStateTo( obliterate, 1 );","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",0,"",0,""
47,14652,0,[3584],950,2,2,130,0,1,6,2,10,"",[],"",2,15,4,0,0,"","",1,2,"",1,4,1,4,"[""Metadata/Monsters/AtlasExiles/OrionArenaObjects/OrionVolatileObject""]","triggerer.TransitionFully();","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,"",[],"",0,"",130,""
48,14882,0,[3577],600,1,2,110,0,1,13,13,0,"",[],"",1,0,7,0,0,"","",1,2,"",1,4,1,4,"[""Metadata/Monsters/AtlasExiles/OrionArenaObjects/OrionGeyserObject""]","triggerer.Transition();","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,"",[],"",0,"",0,""
49,15048,0,[],600,1,2,110,0,1,13,13,0,"",[],"",1,0,7,0,0,"","",1,2,"",5,4,1,4,"[""Metadata/Monsters/AtlasExiles/OrionArenaObjects/OrionDoodad""]","triggerer.CopyState( \""x_pos,y_pos,z_pos\"", apparition ); triggerer.SetStateTo( obliterate, 1 );","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,"",[],"",0,"",0,""
50,15064,0,[3577],600,1,4,70,0,1,13,13,0,"",[],"",1,0,7,0,0,"","",1,2,"",1,4,1,4,"[""Metadata/Monsters/AtlasExiles/OrionArenaObjects/OrionGeyserObject""]","triggerer.Transition();","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,"",[],"",0,"",0,""
51,15096,0,[],600,1,4,50,0,1,13,13,0,"",[],"",1,0,7,0,0,"","",1,2,"",5,4,1,4,"[""Metadata/Monsters/AtlasExiles/OrionArenaObjects/OrionDoodad""]","triggerer.CopyState( \""x_pos,y_pos,z_pos\"", apparition ); triggerer.SetStateTo( obliterate, 1 );","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,"",[],"",0,"",0,""
52,15112,0,[],0,1,3,50,0,1,13,13,0,1,[],"",1,0,7,0,0,"","","",2,"",5,2,"",1,[],"triggerer.AddBuff( atlas_warlord_enrage, 3, 40, 40, -40, 40, 40 );","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",0,"",0,""
53,15256,0,[],0,3,3,230,10,1,6,3,100,"",[],"",1,0,4,0,0,"","",1,2,"",5,4,1,4,"[""Metadata/Monsters/AtlasExiles/OrionArenaObjects/OrionDoodad""]","triggerer.CopyState( \""x_pos,y_pos,z_pos\"", the_orion ); triggerer.SetStateTo( obliterate, 1 );","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,"",[],"",0,"",0,""
54,15462,0,[],300,1,2,40,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,2,1,1,"[""Metadata/Monsters/InvisibleFire/DeliriumBossFinalDeathZone""]","triggerer.Transition();","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",0,"",0,""
55,15598,0,[],4000,1,2,435,0,1,13,13,0,"",[],"",1,0,7,0,0,"","",1,2,"",5,2,1,2,[],"triggerer.Delay( 1.2, { Delete(); } ); triggerer.AddBuff( visual_display_buff, infinity, affliction_death );","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,"",[],"",0,"",0,""
56,15826,0,[],2000,1,2,435,0,1,13,13,0,"",[],"",1,0,7,0,0,"","",1,2,"",5,4,1,4,[],"triggerer.IfExistsInGroup( triggerer, doodads, { SetStateTo( dissolve, 1 ); } );","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,"",[],"",0,"",0,""
57,15998,0,[],0,1,4,15,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,4,"",3,[],"TriggerSkill(DeliriumDaemonDestroyCorpseSummonMonster, triggerer );","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",3,1,[4391028],"",0,"",0,""
58,16144,0,[],0,1,4,15,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,4,"",3,[],"TriggerSkill(DeliriumDaemonDestroyCorpseProjectileCascade, triggerer);","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",1,1,[4391028],"",0,"",0,""
59,16296,0,[],0,1,4,15,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,4,"",3,[],"TriggerSkill(DeliriumDaemonDestroyCorpseDegenZone, triggerer);","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",3,1,[4391028],"",0,"",0,""
60,16432,0,[],750,1,2,48,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,2,1,1,"[""Metadata/Monsters/InvisibleFire/AfflictionBossFinalDeathZone""]","triggerer.Transition();","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",0,"",0,""
61,16572,0,[],1000,1,2,57,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,2,1,1,"[""Metadata/Monsters/InvisibleFire/AfflictionBossFinalDeathZone""]","triggerer.Transition();","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",0,"",0,""
62,16588,0,[],1250,1,2,66,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,2,1,1,"[""Metadata/Monsters/InvisibleFire/AfflictionBossFinalDeathZone""]","triggerer.Transition();","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",0,"",0,""
63,16604,0,[],1500,1,2,75,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,2,1,1,"[""Metadata/Monsters/InvisibleFire/AfflictionBossFinalDeathZone""]","triggerer.Transition();","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",0,"",0,""
64,16620,0,[],1750,1,2,84,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,2,1,1,"[""Metadata/Monsters/InvisibleFire/AfflictionBossFinalDeathZone""]","triggerer.Transition();","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",0,"",0,""
65,16636,0,[],2000,1,2,94,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,2,1,1,"[""Metadata/Monsters/InvisibleFire/AfflictionBossFinalDeathZone""]","triggerer.Transition();","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",0,"",0,""
66,16652,0,[],2250,1,2,103,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,2,1,1,"[""Metadata/Monsters/InvisibleFire/AfflictionBossFinalDeathZone""]","triggerer.Transition();","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",0,"",0,""
67,16668,0,[],2500,1,2,112,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,2,1,1,"[""Metadata/Monsters/InvisibleFire/AfflictionBossFinalDeathZone""]","triggerer.Transition();","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",0,"",0,""
68,16684,0,[4064],600,1,3,45,0,1,13,13,0,1,[],"",3,0,7,0,0,"","","",2,"",1,1,"",1,[],"triggerer.AddBuff( harvest_crab_screech_debuff, 6, 20 );","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",0,"",0,""
69,16824,0,[],0,1,2,0,0,1,13,13,0,1,[],"",3,0,7,0,0,"","this.my_next_flank_marker.Delete(); this.my_next_flank_marker = this.flank_markers[1];","",2,"",5,4,1,4,[],"","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",0,"",0,""
70,17008,0,[],800,1,2,50,0,1,13,13,0,1,[],"",1,0,7,0,0,"","","",2,"",5,1,"",1,[],"triggerer.AddBuff( harvest_beast_roar_debuff, 4, 40 );","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",0,"",0,""
71,17128,0,[],0,1,4,60,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,4,1,4,"[""Metadata/MiscellaneousObjects/Harvest/RootPath/RootPathOshabi""]","globals.oshabi.my_roots_for_cyan_bloom += triggerer;","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,"",[4391028],"",0,"",0,""
72,17378,0,[],0,2,2,100,0,1,6,2,10,1,[],"",3,0,4,0,0,"","","",2,"",5,3,"",1,[],"triggerer.AddBuff( harvest_cat_grasping_vines_buff, infinity, -5, 10, 2, 1 );","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",0,"",120,""
73,17544,0,[],0,1,4,20,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,4,1,4,"[""Metadata/MiscellaneousObjects/Harvest/RootPath/RootPathOshabi""]","triggerer.SetStateTo( oshabi_teleport_bloom, 1 );","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",0,"",0,""
74,17662,0,[],0,1,5,0,0,1,13,13,0,"",[],"",1,0,7,0,0,"","",1,2,"",5,4,1,4,"[""Metadata/MiscellaneousObjects/Heist/DemolitionistBarrel""]","triggerer.Transition(); triggerer.IfState( mini_explode, 0, () { this.TriggerSkill( GSHeistVinderiBarrelExplode, triggerer ); DoRandom( { PlayEffect( \""Metadata/Effects/Spells/monsters_effects/League_Heist/demolition/scorched_grd/grd_decal1.ao\"", default, 1.0, 1.0, 0.0, inherit, 0.0, 0, 0, SelfLocation, permanentserver ); }, { PlayEffect( \""Metadata/Effects/Spells/monsters_effects/League_Heist/demolition/scorched_grd/grd_decal2.ao\"", default, 1.0, 1.0, 0.0, inherit, 0.0, 0, 0, SelfLocation, permanentserver ); }, { PlayEffect( \""Metadata/Effects/Spells/monsters_effects/League_Heist/demolition/scorched_grd/grd_decal3.ao\"", default, 1.0, 1.0, 0.0, inherit, 0.0, 0, 0, SelfLocation, permanentserver ); }, { PlayEffect( \""Metadata/Effects/Spells/monsters_effects/League_Heist/demolition/scorched_grd/grd_decal4.ao\"", default, 1.0, 1.0, 0.0, inherit, 0.0, 0, 0, SelfLocation, permanentserver ); } ); }, () { this.TriggerSkill( GSHeistVinderiBarrelExplodeChest, triggerer ); PlayEffect( \""Metadata/Particles/monster_effects/League_Heist/demolition/scorchmark_chest.ao\"", default, 1.0, 1.0, 0.0, inherit, 0.0, 0, 0, SelfLocation, permanentserver ); } );","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",1,"",[],"",0,"",0,""
75,20082,0,[],0,1,5,0,0,1,13,13,0,"",[],"",1,0,7,0,0,"","",1,2,"",5,4,1,4,[],"triggerer.SetStateTo(heist_hidden, 0);","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",1,"",[],"",0,"",0,""
76,20170,0,[],0,1,3,50,0,1,13,13,0,1,[],"",1,0,7,0,0,"","","",2,"",5,2,"",1,[],"triggerer.AddBuff( atlas_warlord_enrage, 3, 20, 20, 0, 20, 20 );","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",0,"",0,""
77,20310,0,[],0,1,5,0,0,1,13,13,0,"",[],"",1,0,7,0,0,"","",1,2,"",5,4,1,4,"[""Metadata/Terrain/Leagues/Heist/Objects/Level/LeverAttachedTile""]","triggerer.Transition();","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",1,"",[],"",0,"",0,""
78,20454,0,[4461],400,2,2,80,0,1,6,2,10,1,[],"",2,0,4,0,0,"","",1,2,"",1,4,1,4,"[""Metadata/Projectiles/HeistCultistCanisterRedTriggerNova""]","triggerer.Transition();","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",0,"",180,""
79,20600,0,[],1000,1,2,80,0,1,13,13,0,"",[],"",1,0,7,0,0,"","","",2,"",5,2,"",1,[],"triggerer.SetStateTo( awake, 1 );","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,"",[],"",0,"",0,""
80,20678,0,[],0,1,5,0,0,1,13,13,0,"",[],"",1,0,7,0,0,"","",1,2,"",5,4,1,4,"[""Metadata/Terrain/Leagues/Heist/Objects/Level/LeverAttachedTile""]","triggerer.Transition();","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",1,"",[],"",0,"",0,""
81,20694,0,[4584],2000,1,2,60,0,1,13,13,0,"",[],"",1,0,7,0,0,"","","",2,"",1,3,1,1,[],"triggerer.PlayEffect(\""Metadata/Effects/Spells/monsters_effects/League_Heist/robot/crucible/player_hit_audio.ao\""); TriggerSkill( EGHeistRobotCrucibleActivationWave, triggerer );","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,"",[],"",100,"",0,""
82,21074,0,[],0,1,5,0,0,1,13,13,0,"",[],"",1,0,7,0,0,"","",1,2,"",5,4,1,4,"[""Metadata/Terrain/Leagues/Heist/Objects/Level/LeverAttachedTile""]","triggerer.victim.DoAction( EGHeistPullLever, triggerer );","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",1,"",[],"",0,"",0,""
83,21208,0,[4071],0,1,5,0,0,1,13,13,0,"",[],"",1,0,7,0,0,"","",1,2,"",1,4,"",4,"[""Metadata/Terrain/Leagues/Heist/Objects/Level/Hazards/Demolition_LandmineMarker""]","triggerer.SetStateTo( heist_locked, 0 );","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",1,"",[],"",0,"",0,""
84,21484,0,[],500,1,4,24,0,1,13,13,10,1,[],"",1,0,7,0,0,"","",1,2,"",5,4,1,4,"[""Metadata/Projectiles/HeistCultistCanisterYellowTriggerGas""]","triggerer.Transition();","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",0,"",0,""
85,21618,0,[4658],1000,1,5,35,0,1,13,13,0,"",[],"",1,0,7,0,0,"","","",2,"",1,2,"",1,[],"triggerer.IfState( is_robot, 1, { AddBuff( heist_robot_crucible_buff, 10, -50, 30 ); DoAction( ChangeToStance1 ); } );","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,"",[],"",0,"",0,""
86,21882,0,[],0,1,2,2,0,1,13,13,0,1,[],"",1,0,7,0,0,"","","",2,"",5,2,"",1,[],"triggerer.IfState( bot_buff, 1, () { triggerer.skitterbot = this; SetStateTo( bot_buff, 2 ); } );","[7471220,6750313,6619239,6619250,3014770,6684745,7602259,7602273,2621541,6422560,7602287,6422623,6684789,2883686,3211296,2097196,2687016,8060960,4259872,6553700,7602241,6357108,6815843,6553701,2097192,5046306,7602277,6553697,7602273,3080289]","","",0,1,[4391028],"",0,"",0,""
87,22446,0,[4584],2000,1,3,60,0,1,13,13,0,"",[],"",1,0,7,0,0,"","","",2,"",1,2,1,1,[],"triggerer.IfState( is_robot, 1, { DoAction( ChangeToStance1 ); } );","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,"",[],"",0,"",0,""
88,22608,0,[4685],500,1,2,40,0,1,13,13,0,1,[],"",2,13,7,0,0,"","","",2,"",1,2,"",1,[],"triggerer.IfState( is_robot, 1, { IfState( fight, >0, { AddBuff( heist_robot_argus_buff, 7, 30, 20 ); } );  } );","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",0,"",0,""
89,22860,0,[],0,1,4,10,0,1,13,13,0,1,[],"",2,0,7,0,0,"","",1,2,"",5,4,"",4,[],"triggerer.SetStateTo( perception_hidden, 0 );","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",0,"",0,""
