"rownum","Id","i32","string","rid","i32","rid","i32","[i32]","bool","string"
27,"CurrencyGemcutters10",60325,"Doubles sacrificed Currency","",1,18,10,"[1694528512,536898816,1845518592,536896512,1761627392,1912631808,1912631040,1677747456,1124081664,1879076608,30976,1291845632,1912629504,1862300160,1627419136,1811964416,738223360,1375739904,1912627456,536896768,1946175744,1828742400,0,5846272,0,0,0,5847552,0,0,0,1845515520,1895852288,1694528768,12544,822083584,89,0,0,905969664,89,0,0,1426063360,1761635840,1962963200,838886656,0,5845760,0,0,0,5847040,0,0,0,1845515520,1895852288,1694528768,13056,872415232,89,0,0,956301312,89,0,0,1426063360,1761635840,1962963200,872441088,0,5845504,0,0,0,5846784,0,0,0,1845515520,1895852288,1694528768,13568,855638016,89,0,0,939524096,89,0,0,1426063360,1761635840,1962963200,905995520,0,5846016,0,0,0,5847296,0,0,0,1845515520,1895852288,1694528768,14080,889192448,89,0,0,973078528,89,0,0,1426063360,1761635840,1962963200,939549952,0,5846272,0,0,0,5847552,0,0]","","夲"
28,"CurrencyVaal5",9165,"Doubles sacrificed Currency","",1,32,5,"[1694528512,536898816,1845518592,536896512,1761627392,1912631808,1912631040,1677747456,1124081664,1879076608,30976,1291845632,1912629504,1862300160,1627419136,1811964416,738223360,1375739904,1912627456,536896768,1946175744,1828742400,0,5846272,0,0,0,5847552,0,0,0,1845515520,1895852288,1694528768,12544,822083584,89,0,0,905969664,89,0,0,1426063360,1761635840,1962963200,838886656,0,5845760,0,0,0,5847040,0,0,0,1845515520,1895852288,1694528768,13056,872415232,89,0,0,956301312,89,0,0,1426063360,1761635840,1962963200,872441088,0,5845504,0,0,0,5846784,0,0,0,1845515520,1895852288,1694528768,13568,855638016,89,0,0,939524096,89,0,0,1426063360,1761635840,1962963200,905995520,0,5846016,0,0,0,5847296,0,0,0,1845515520,1895852288,1694528768,14080,889192448,89,0,0,973078528,89,0,0,1426063360,1761635840,1962963200,939549952,0,5846272,0,0,0,5847552,0,0]","","失"
29,"CurrencyVaal10",9804,"Doubles sacrificed Currency","",1,32,10,"[1694528512,536898816,1845518592,536896512,1761627392,1912631808,1912631040,1677747456,1124081664,1879076608,30976,1291845632,1912629504,1862300160,1627419136,1811964416,738223360,1375739904,1912627456,536896768,1946175744,1828742400,0,5846272,0,0,0,5847552,0,0,0,1845515520,1895852288,1694528768,12544,822083584,89,0,0,905969664,89,0,0,1426063360,1761635840,1962963200,838886656,0,5845760,0,0,0,5847040,0,0,0,1845515520,1895852288,1694528768,13056,872415232,89,0,0,956301312,89,0,0,1426063360,1761635840,1962963200,872441088,0,5845504,0,0,0,5846784,0,0,0,1845515520,1895852288,1694528768,13568,855638016,89,0,0,939524096,89,0,0,1426063360,1761635840,1962963200,905995520,0,5846016,0,0,0,5847296,0,0,0,1845515520,1895852288,1694528768,14080,889192448,89,0,0,973078528,89,0,0,1426063360,1761635840,1962963200,939549952,0,5846272,0,0,0,5847552,0,0]","","夲"
30,"CurrencyRegal5",34962,"Doubles sacrificed Currency","",1,14,5,"[1694528512,536898816,1845518592,536896512,1761627392,1912631808,1912631040,1677747456,1124081664,1879076608,30976,1291845632,1912629504,1862300160,1627419136,1811964416,738223360,1375739904,1912627456,536896768,1946175744,1828742400,0,5846272,0,0,0,5847552,0,0,0,1845515520,1895852288,1694528768,12544,822083584,89,0,0,905969664,89,0,0,1426063360,1761635840,1962963200,838886656,0,5845760,0,0,0,5847040,0,0,0,1845515520,1895852288,1694528768,13056,872415232,89,0,0,956301312,89,0,0,1426063360,1761635840,1962963200,872441088,0,5845504,0,0,0,5846784,0,0,0,1845515520,1895852288,1694528768,13568,855638016,89,0,0,939524096,89,0,0,1426063360,1761635840,1962963200,905995520,0,5846016,0,0,0,5847296,0,0,0,1845515520,1895852288,1694528768,14080,889192448,89,0,0,973078528,89,0,0,1426063360,1761635840,1962963200,939549952,0,5846272,0,0,0,5847552,0,0]","","失"
31,"CurrencyRegal10",29237,"Doubles sacrificed Currency","",1,14,10,"[1694528512,536898816,1845518592,536896512,1761627392,1912631808,1912631040,1677747456,1124081664,1879076608,30976,1291845632,1912629504,1862300160,1627419136,1811964416,738223360,1375739904,1912627456,536896768,1946175744,1828742400,0,5846272,0,0,0,5847552,0,0,0,1845515520,1895852288,1694528768,12544,822083584,89,0,0,905969664,89,0,0,1426063360,1761635840,1962963200,838886656,0,5845760,0,0,0,5847040,0,0,0,1845515520,1895852288,1694528768,13056,872415232,89,0,0,956301312,89,0,0,1426063360,1761635840,1962963200,872441088,0,5845504,0,0,0,5846784,0,0,0,1845515520,1895852288,1694528768,13568,855638016,89,0,0,939524096,89,0,0,1426063360,1761635840,1962963200,905995520,0,5846016,0,0,0,5847296,0,0,0,1845515520,1895852288,1694528768,14080,889192448,89,0,0,973078528,89,0,0,1426063360,1761635840,1962963200,939549952,0,5846272,0,0,0,5847552,0,0]","","夲"
32,"CurrencyAwakenedSextant5",4287,"Doubles sacrificed Currency","",1,176,5,"[1694528512,536898816,1845518592,536896512,1761627392,1912631808,1912631040,1677747456,1124081664,1879076608,30976,1291845632,1912629504,1862300160,1627419136,1811964416,738223360,1375739904,1912627456,536896768,1946175744,1828742400,0,5846272,0,0,0,5847552,0,0,0,1845515520,1895852288,1694528768,12544,822083584,89,0,0,905969664,89,0,0,1426063360,1761635840,1962963200,838886656,0,5845760,0,0,0,5847040,0,0,0,1845515520,1895852288,1694528768,13056,872415232,89,0,0,956301312,89,0,0,1426063360,1761635840,1962963200,872441088,0,5845504,0,0,0,5846784,0,0,0,1845515520,1895852288,1694528768,13568,855638016,89,0,0,939524096,89,0,0,1426063360,1761635840,1962963200,905995520,0,5846016,0,0,0,5847296,0,0,0,1845515520,1895852288,1694528768,14080,889192448,89,0,0,973078528,89,0,0,1426063360,1761635840,1962963200,939549952,0,5846272,0,0,0,5847552,0,0]","","失"
33,"CurrencyAwakenedSextant10",54692,"Doubles sacrificed Currency","",1,176,10,"[1694528512,536898816,1845518592,536896512,1761627392,1912631808,1912631040,1677747456,1124081664,1879076608,30976,1291845632,1912629504,1862300160,1627419136,1811964416,738223360,1375739904,1912627456,536896768,1946175744,1828742400,0,5846272,0,0,0,5847552,0,0,0,1845515520,1895852288,1694528768,12544,822083584,89,0,0,905969664,89,0,0,1426063360,1761635840,1962963200,838886656,0,5845760,0,0,0,5847040,0,0,0,1845515520,1895852288,1694528768,13056,872415232,89,0,0,956301312,89,0,0,1426063360,1761635840,1962963200,872441088,0,5845504,0,0,0,5846784,0,0,0,1845515520,1895852288,1694528768,13568,855638016,89,0,0,939524096,89,0,0,1426063360,1761635840,1962963200,905995520,0,5846016,0,0,0,5847296,0,0,0,1845515520,1895852288,1694528768,14080,889192448,89,0,0,973078528,89,0,0,1426063360,1761635840,1962963200,939549952,0,5846272,0,0,0,5847552,0,0]","","夲"
34,"CurrencyStackedDeck5",18117,"Doubles sacrificed Currency","",1,6981,5,"[1694528512,536898816,1845518592,536896512,1761627392,1912631808,1912631040,1677747456,1124081664,1879076608,30976,1291845632,1912629504,1862300160,1627419136,1811964416,738223360,1375739904,1912627456,536896768,1946175744,1828742400,0,5846272,0,0,0,5847552,0,0,0,1845515520,1895852288,1694528768,12544,822083584,89,0,0,905969664,89,0,0,1426063360,1761635840,1962963200,838886656,0,5845760,0,0,0,5847040,0,0,0,1845515520,1895852288,1694528768,13056,872415232,89,0,0,956301312,89,0,0,1426063360,1761635840,1962963200,872441088,0,5845504,0,0,0,5846784,0,0,0,1845515520,1895852288,1694528768,13568,855638016,89,0,0,939524096,89,0,0,1426063360,1761635840,1962963200,905995520,0,5846016,0,0,0,5847296,0,0,0,1845515520,1895852288,1694528768,14080,889192448,89,0,0,973078528,89,0,0,1426063360,1761635840,1962963200,939549952,0,5846272,0,0,0,5847552,0,0]","","失"
35,"CurrencyStackedDeck10",43188,"Doubles sacrificed Currency","",1,6981,10,"[1694528512,536898816,1845518592,536896512,1761627392,1912631808,1912631040,1677747456,1124081664,1879076608,30976,1291845632,1912629504,1862300160,1627419136,1811964416,738223360,1375739904,1912627456,536896768,1946175744,1828742400,0,5846272,0,0,0,5847552,0,0,0,1845515520,1895852288,1694528768,12544,822083584,89,0,0,905969664,89,0,0,1426063360,1761635840,1962963200,838886656,0,5845760,0,0,0,5847040,0,0,0,1845515520,1895852288,1694528768,13056,872415232,89,0,0,956301312,89,0,0,1426063360,1761635840,1962963200,872441088,0,5845504,0,0,0,5846784,0,0,0,1845515520,1895852288,1694528768,13568,855638016,89,0,0,939524096,89,0,0,1426063360,1761635840,1962963200,905995520,0,5846016,0,0,0,5847296,0,0,0,1845515520,1895852288,1694528768,14080,889192448,89,0,0,973078528,89,0,0,1426063360,1761635840,1962963200,939549952,0,5846272,0,0,0,5847552,0,0]","","夲"
36,"CurrencyDivine1",59332,"Doubles sacrificed Currency","",1,22,1,"[1694528512,536898816,1845518592,536896512,1761627392,1912631808,1912631040,1677747456,1124081664,1879076608,30976,1291845632,1912629504,1862300160,1627419136,1811964416,738223360,1375739904,1912627456,536896768,1946175744,1828742400,0,5846272,0,0,0,5847552,0,0,0,1845515520,1895852288,1694528768,12544,822083584,89,0,0,905969664,89,0,0,1426063360,1761635840,1962963200,838886656,0,5845760,0,0,0,5847040,0,0,0,1845515520,1895852288,1694528768,13056,872415232,89,0,0,956301312,89,0,0,1426063360,1761635840,1962963200,872441088,0,5845504,0,0,0,5846784,0,0,0,1845515520,1895852288,1694528768,13568,855638016,89,0,0,939524096,89,0,0,1426063360,1761635840,1962963200,905995520,0,5846016,0,0,0,5847296,0,0,0,1845515520,1895852288,1694528768,14080,889192448,89,0,0,973078528,89,0,0,1426063360,1761635840,1962963200,939549952,0,5846272,0,0,0,5847552,0,0]","","夲"
37,"CurrencyDivine4",53728,"Doubles sacrificed Currency","",1,22,4,"[1694528512,536898816,1845518592,536896512,1761627392,1912631808,1912631040,1677747456,1124081664,1879076608,30976,1291845632,1912629504,1862300160,1627419136,1811964416,738223360,1375739904,1912627456,536896768,1946175744,1828742400,0,5846272,0,0,0,5847552,0,0,0,1845515520,1895852288,1694528768,12544,822083584,89,0,0,905969664,89,0,0,1426063360,1761635840,1962963200,838886656,0,5845760,0,0,0,5847040,0,0,0,1845515520,1895852288,1694528768,13056,872415232,89,0,0,956301312,89,0,0,1426063360,1761635840,1962963200,872441088,0,5845504,0,0,0,5846784,0,0,0,1845515520,1895852288,1694528768,13568,855638016,89,0,0,939524096,89,0,0,1426063360,1761635840,1962963200,905995520,0,5846016,0,0,0,5847296,0,0,0,1845515520,1895852288,1694528768,14080,889192448,89,0,0,973078528,89,0,0,1426063360,1761635840,1962963200,939549952,0,5846272,0,0,0,5847552,0,0]","","夳"
38,"CurrencyDivine8",15262,"Doubles sacrificed Currency","",1,22,8,"[1694528512,536898816,1845518592,536896512,1761627392,1912631808,1912631040,1677747456,1124081664,1879076608,30976,1291845632,1912629504,1862300160,1627419136,1811964416,738223360,1375739904,1912627456,536896768,1946175744,1828742400,0,5846272,0,0,0,5847552,0,0,0,1845515520,1895852288,1694528768,12544,822083584,89,0,0,905969664,89,0,0,1426063360,1761635840,1962963200,838886656,0,5845760,0,0,0,5847040,0,0,0,1845515520,1895852288,1694528768,13056,872415232,89,0,0,956301312,89,0,0,1426063360,1761635840,1962963200,872441088,0,5845504,0,0,0,5846784,0,0,0,1845515520,1895852288,1694528768,13568,855638016,89,0,0,939524096,89,0,0,1426063360,1761635840,1962963200,905995520,0,5846016,0,0,0,5847296,0,0,0,1845515520,1895852288,1694528768,14080,889192448,89,0,0,973078528,89,0,0,1426063360,1761635840,1962963200,939549952,0,5846272,0,0,0,5847552,0,0]","","头"
39,"CurrencyAncient1",55631,"Doubles sacrificed Currency","",1,204,1,"[1694528512,536898816,1845518592,536896512,1761627392,1912631808,1912631040,1677747456,1124081664,1879076608,30976,1291845632,1912629504,1862300160,1627419136,1811964416,738223360,1375739904,1912627456,536896768,1946175744,1828742400,0,5846272,0,0,0,5847552,0,0,0,1845515520,1895852288,1694528768,12544,822083584,89,0,0,905969664,89,0,0,1426063360,1761635840,1962963200,838886656,0,5845760,0,0,0,5847040,0,0,0,1845515520,1895852288,1694528768,13056,872415232,89,0,0,956301312,89,0,0,1426063360,1761635840,1962963200,872441088,0,5845504,0,0,0,5846784,0,0,0,1845515520,1895852288,1694528768,13568,855638016,89,0,0,939524096,89,0,0,1426063360,1761635840,1962963200,905995520,0,5846016,0,0,0,5847296,0,0,0,1845515520,1895852288,1694528768,14080,889192448,89,0,0,973078528,89,0,0,1426063360,1761635840,1962963200,939549952,0,5846272,0,0,0,5847552,0,0]","","夲"
40,"CurrencyAncient2",14932,"Doubles sacrificed Currency","",1,204,2,"[1694528512,536898816,1845518592,536896512,1761627392,1912631808,1912631040,1677747456,1124081664,1879076608,30976,1291845632,1912629504,1862300160,1627419136,1811964416,738223360,1375739904,1912627456,536896768,1946175744,1828742400,0,5846272,0,0,0,5847552,0,0,0,1845515520,1895852288,1694528768,12544,822083584,89,0,0,905969664,89,0,0,1426063360,1761635840,1962963200,838886656,0,5845760,0,0,0,5847040,0,0,0,1845515520,1895852288,1694528768,13056,872415232,89,0,0,956301312,89,0,0,1426063360,1761635840,1962963200,872441088,0,5845504,0,0,0,5846784,0,0,0,1845515520,1895852288,1694528768,13568,855638016,89,0,0,939524096,89,0,0,1426063360,1761635840,1962963200,905995520,0,5846016,0,0,0,5847296,0,0,0,1845515520,1895852288,1694528768,14080,889192448,89,0,0,973078528,89,0,0,1426063360,1761635840,1962963200,939549952,0,5846272,0,0,0,5847552,0,0]","","夳"
41,"CurrencyAncient4",43751,"Doubles sacrificed Currency","",1,204,4,"[1694528512,536898816,1845518592,536896512,1761627392,1912631808,1912631040,1677747456,1124081664,1879076608,30976,1291845632,1912629504,1862300160,1627419136,1811964416,738223360,1375739904,1912627456,536896768,1946175744,1828742400,0,5846272,0,0,0,5847552,0,0,0,1845515520,1895852288,1694528768,12544,822083584,89,0,0,905969664,89,0,0,1426063360,1761635840,1962963200,838886656,0,5845760,0,0,0,5847040,0,0,0,1845515520,1895852288,1694528768,13056,872415232,89,0,0,956301312,89,0,0,1426063360,1761635840,1962963200,872441088,0,5845504,0,0,0,5846784,0,0,0,1845515520,1895852288,1694528768,13568,855638016,89,0,0,939524096,89,0,0,1426063360,1761635840,1962963200,905995520,0,5846016,0,0,0,5847296,0,0,0,1845515520,1895852288,1694528768,14080,889192448,89,0,0,973078528,89,0,0,1426063360,1761635840,1962963200,939549952,0,5846272,0,0,0,5847552,0,0]","","头"
42,"CurrencyAnnulment1",62284,"Doubles sacrificed Currency","",1,198,1,"[1694528512,536898816,1845518592,536896512,1761627392,1912631808,1912631040,1677747456,1124081664,1879076608,30976,1291845632,1912629504,1862300160,1627419136,1811964416,738223360,1375739904,1912627456,536896768,1946175744,1828742400,0,5846272,0,0,0,5847552,0,0,0,1845515520,1895852288,1694528768,12544,822083584,89,0,0,905969664,89,0,0,1426063360,1761635840,1962963200,838886656,0,5845760,0,0,0,5847040,0,0,0,1845515520,1895852288,1694528768,13056,872415232,89,0,0,956301312,89,0,0,1426063360,1761635840,1962963200,872441088,0,5845504,0,0,0,5846784,0,0,0,1845515520,1895852288,1694528768,13568,855638016,89,0,0,939524096,89,0,0,1426063360,1761635840,1962963200,905995520,0,5846016,0,0,0,5847296,0,0,0,1845515520,1895852288,1694528768,14080,889192448,89,0,0,973078528,89,0,0,1426063360,1761635840,1962963200,939549952,0,5846272,0,0,0,5847552,0,0]","","夲"
43,"CurrencyAnnulment4",50518,"Doubles sacrificed Currency","",1,198,4,"[1694528512,536898816,1845518592,536896512,1761627392,1912631808,1912631040,1677747456,1124081664,1879076608,30976,1291845632,1912629504,1862300160,1627419136,1811964416,738223360,1375739904,1912627456,536896768,1946175744,1828742400,0,5846272,0,0,0,5847552,0,0,0,1845515520,1895852288,1694528768,12544,822083584,89,0,0,905969664,89,0,0,1426063360,1761635840,1962963200,838886656,0,5845760,0,0,0,5847040,0,0,0,1845515520,1895852288,1694528768,13056,872415232,89,0,0,956301312,89,0,0,1426063360,1761635840,1962963200,872441088,0,5845504,0,0,0,5846784,0,0,0,1845515520,1895852288,1694528768,13568,855638016,89,0,0,939524096,89,0,0,1426063360,1761635840,1962963200,905995520,0,5846016,0,0,0,5847296,0,0,0,1845515520,1895852288,1694528768,14080,889192448,89,0,0,973078528,89,0,0,1426063360,1761635840,1962963200,939549952,0,5846272,0,0,0,5847552,0,0]","","夳"
44,"CurrencyAnnulment8",33670,"Doubles sacrificed Currency","",1,198,8,"[1694528512,536898816,1845518592,536896512,1761627392,1912631808,1912631040,1677747456,1124081664,1879076608,30976,1291845632,1912629504,1862300160,1627419136,1811964416,738223360,1375739904,1912627456,536896768,1946175744,1828742400,0,5846272,0,0,0,5847552,0,0,0,1845515520,1895852288,1694528768,12544,822083584,89,0,0,905969664,89,0,0,1426063360,1761635840,1962963200,838886656,0,5845760,0,0,0,5847040,0,0,0,1845515520,1895852288,1694528768,13056,872415232,89,0,0,956301312,89,0,0,1426063360,1761635840,1962963200,872441088,0,5845504,0,0,0,5846784,0,0,0,1845515520,1895852288,1694528768,13568,855638016,89,0,0,939524096,89,0,0,1426063360,1761635840,1962963200,905995520,0,5846016,0,0,0,5847296,0,0,0,1845515520,1895852288,1694528768,14080,889192448,89,0,0,973078528,89,0,0,1426063360,1761635840,1962963200,939549952,0,5846272,0,0,0,5847552,0,0]","","头"
45,"CurrencyExalted1",48788,"Doubles sacrificed Currency","",1,13,1,"[1694528512,536898816,1845518592,536896512,1761627392,1912631808,1912631040,1677747456,1124081664,1879076608,30976,1291845632,1912629504,1862300160,1627419136,1811964416,738223360,1375739904,1912627456,536896768,1946175744,1828742400,0,5846272,0,0,0,5847552,0,0,0,1845515520,1895852288,1694528768,12544,822083584,89,0,0,905969664,89,0,0,1426063360,1761635840,1962963200,838886656,0,5845760,0,0,0,5847040,0,0,0,1845515520,1895852288,1694528768,13056,872415232,89,0,0,956301312,89,0,0,1426063360,1761635840,1962963200,872441088,0,5845504,0,0,0,5846784,0,0,0,1845515520,1895852288,1694528768,13568,855638016,89,0,0,939524096,89,0,0,1426063360,1761635840,1962963200,905995520,0,5846016,0,0,0,5847296,0,0,0,1845515520,1895852288,1694528768,14080,889192448,89,0,0,973078528,89,0,0,1426063360,1761635840,1962963200,939549952,0,5846272,0,0,0,5847552,0,0]","","夲"
46,"CurrencyExalted4",63287,"Doubles sacrificed Currency","",1,13,4,"[1694528512,536898816,1845518592,536896512,1761627392,1912631808,1912631040,1677747456,1124081664,1879076608,30976,1291845632,1912629504,1862300160,1627419136,1811964416,738223360,1375739904,1912627456,536896768,1946175744,1828742400,0,5846272,0,0,0,5847552,0,0,0,1845515520,1895852288,1694528768,12544,822083584,89,0,0,905969664,89,0,0,1426063360,1761635840,1962963200,838886656,0,5845760,0,0,0,5847040,0,0,0,1845515520,1895852288,1694528768,13056,872415232,89,0,0,956301312,89,0,0,1426063360,1761635840,1962963200,872441088,0,5845504,0,0,0,5846784,0,0,0,1845515520,1895852288,1694528768,13568,855638016,89,0,0,939524096,89,0,0,1426063360,1761635840,1962963200,905995520,0,5846016,0,0,0,5847296,0,0,0,1845515520,1895852288,1694528768,14080,889192448,89,0,0,973078528,89,0,0,1426063360,1761635840,1962963200,939549952,0,5846272,0,0,0,5847552,0,0]","","夳"
47,"CurrencyExalted8",35965,"Doubles sacrificed Currency","",1,13,8,"[1694528512,536898816,1845518592,536896512,1761627392,1912631808,1912631040,1677747456,1124081664,1879076608,30976,1291845632,1912629504,1862300160,1627419136,1811964416,738223360,1375739904,1912627456,536896768,1946175744,1828742400,0,5846272,0,0,0,5847552,0,0,0,1845515520,1895852288,1694528768,12544,822083584,89,0,0,905969664,89,0,0,1426063360,1761635840,1962963200,838886656,0,5845760,0,0,0,5847040,0,0,0,1845515520,1895852288,1694528768,13056,872415232,89,0,0,956301312,89,0,0,1426063360,1761635840,1962963200,872441088,0,5845504,0,0,0,5846784,0,0,0,1845515520,1895852288,1694528768,13568,855638016,89,0,0,939524096,89,0,0,1426063360,1761635840,1962963200,905995520,0,5846016,0,0,0,5847296,0,0,0,1845515520,1895852288,1694528768,14080,889192448,89,0,0,973078528,89,0,0,1426063360,1761635840,1962963200,939549952,0,5846272,0,0,0,5847552,0,0]","","头"
48,"CurrencyUnmaking3",56656,"Doubles sacrificed Currency","",1,9,3,"[1694528512,536898816,1845518592,536896512,1761627392,1912631808,1912631040,1677747456,1124081664,1879076608,30976,1291845632,1912629504,1862300160,1627419136,1811964416,738223360,1375739904,1912627456,536896768,1946175744,1828742400,0,5846272,0,0,0,5847552,0,0,0,1845515520,1895852288,1694528768,12544,822083584,89,0,0,905969664,89,0,0,1426063360,1761635840,1962963200,838886656,0,5845760,0,0,0,5847040,0,0,0,1845515520,1895852288,1694528768,13056,872415232,89,0,0,956301312,89,0,0,1426063360,1761635840,1962963200,872441088,0,5845504,0,0,0,5846784,0,0,0,1845515520,1895852288,1694528768,13568,855638016,89,0,0,939524096,89,0,0,1426063360,1761635840,1962963200,905995520,0,5846016,0,0,0,5847296,0,0,0,1845515520,1895852288,1694528768,14080,889192448,89,0,0,973078528,89,0,0,1426063360,1761635840,1962963200,939549952,0,5846272,0,0,0,5847552,0,0]","","夲"
49,"CurrencyHarbinger3",26435,"Doubles sacrificed Currency","",1,201,3,"[1694528512,536898816,1845518592,536896512,1761627392,1912631808,1912631040,1677747456,1124081664,1879076608,30976,1291845632,1912629504,1862300160,1627419136,1811964416,738223360,1375739904,1912627456,536896768,1946175744,1828742400,0,5846272,0,0,0,5847552,0,0,0,1845515520,1895852288,1694528768,12544,822083584,89,0,0,905969664,89,0,0,1426063360,1761635840,1962963200,838886656,0,5845760,0,0,0,5847040,0,0,0,1845515520,1895852288,1694528768,13056,872415232,89,0,0,956301312,89,0,0,1426063360,1761635840,1962963200,872441088,0,5845504,0,0,0,5846784,0,0,0,1845515520,1895852288,1694528768,13568,855638016,89,0,0,939524096,89,0,0,1426063360,1761635840,1962963200,905995520,0,5846016,0,0,0,5847296,0,0,0,1845515520,1895852288,1694528768,14080,889192448,89,0,0,973078528,89,0,0,1426063360,1761635840,1962963200,939549952,0,5846272,0,0,0,5847552,0,0]","","夲"
50,"CurrencyHorizon10",1387,"Doubles sacrificed Currency","",1,200,10,"[1694528512,536898816,1845518592,536896512,1761627392,1912631808,1912631040,1677747456,1124081664,1879076608,30976,1291845632,1912629504,1862300160,1627419136,1811964416,738223360,1375739904,1912627456,536896768,1946175744,1828742400,0,5846272,0,0,0,5847552,0,0,0,1845515520,1895852288,1694528768,12544,822083584,89,0,0,905969664,89,0,0,1426063360,1761635840,1962963200,838886656,0,5845760,0,0,0,5847040,0,0,0,1845515520,1895852288,1694528768,13056,872415232,89,0,0,956301312,89,0,0,1426063360,1761635840,1962963200,872441088,0,5845504,0,0,0,5846784,0,0,0,1845515520,1895852288,1694528768,13568,855638016,89,0,0,939524096,89,0,0,1426063360,1761635840,1962963200,905995520,0,5846016,0,0,0,5847296,0,0,0,1845515520,1895852288,1694528768,14080,889192448,89,0,0,973078528,89,0,0,1426063360,1761635840,1962963200,939549952,0,5846272,0,0,0,5847552,0,0]","","失"
51,"CurrencyVeiledChaos3",44803,"Doubles sacrificed Currency","",1,3,3,"[1694528512,536898816,1845518592,536896512,1761627392,1912631808,1912631040,1677747456,1124081664,1879076608,30976,1291845632,1912629504,1862300160,1627419136,1811964416,738223360,1375739904,1912627456,536896768,1946175744,1828742400,0,5846272,0,0,0,5847552,0,0,0,1845515520,1895852288,1694528768,12544,822083584,89,0,0,905969664,89,0,0,1426063360,1761635840,1962963200,838886656,0,5845760,0,0,0,5847040,0,0,0,1845515520,1895852288,1694528768,13056,872415232,89,0,0,956301312,89,0,0,1426063360,1761635840,1962963200,872441088,0,5845504,0,0,0,5846784,0,0,0,1845515520,1895852288,1694528768,13568,855638016,89,0,0,939524096,89,0,0,1426063360,1761635840,1962963200,905995520,0,5846016,0,0,0,5847296,0,0,0,1845515520,1895852288,1694528768,14080,889192448,89,0,0,973078528,89,0,0,1426063360,1761635840,1962963200,939549952,0,5846272,0,0,0,5847552,0,0]","","夳"
52,"CurrencyChisel10",11387,"Doubles sacrificed Currency","",1,24,10,"[1694528512,536898816,1845518592,536896512,1761627392,1912631808,1912631040,1677747456,1124081664,1879076608,30976,1291845632,1912629504,1862300160,1627419136,1811964416,738223360,1375739904,1912627456,536896768,1946175744,1828742400,0,5846272,0,0,0,5847552,0,0,0,1845515520,1895852288,1694528768,12544,822083584,89,0,0,905969664,89,0,0,1426063360,1761635840,1962963200,838886656,0,5845760,0,0,0,5847040,0,0,0,1845515520,1895852288,1694528768,13056,872415232,89,0,0,956301312,89,0,0,1426063360,1761635840,1962963200,872441088,0,5845504,0,0,0,5846784,0,0,0,1845515520,1895852288,1694528768,13568,855638016,89,0,0,939524096,89,0,0,1426063360,1761635840,1962963200,905995520,0,5846016,0,0,0,5847296,0,0,0,1845515520,1895852288,1694528768,14080,889192448,89,0,0,973078528,89,0,0,1426063360,1761635840,1962963200,939549952,0,5846272,0,0,0,5847552,0,0]","","失"
