"rownum","BaseMetadata","i32","[i32]","i32","i32","i32","i32","i32","i32","i32","i32","bool","bool","bool","i32","i32","i32","i32","i32","i32","i32","bool","i32","string","bool"
194,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier2_Qiongqi1",173,"[6149,0]",1,3000,0,3,1800,3700,0,0,"",1,"",65536,16777216,50331648,0,419430400,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
195,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier2_Qiongqi1",239,"[6149,0]",1,3000,0,3,1700,3300,0,0,"",1,"",65536,16777216,50331648,0,419430400,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
196,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier2_Taowu1",1,[6128],1,3000,0,3,3700,7300,0,0,"",1,"",65536,16777216,50331648,0,167772160,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
197,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier2_Taowu1",9,[6128],1,3000,0,3,3200,6300,0,0,"",1,"",65536,16777216,50331648,0,251658240,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
198,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier2_Taowu1",29,[6128],1,3000,0,3,2700,5500,0,0,"",1,"",65536,16777216,50331648,0,335544320,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
199,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier2_Taowu1",52,[6128],1,3000,0,3,2300,4800,0,0,"",1,"",65536,16777216,50331648,0,419430400,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
200,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier2_Taowu1",92,[6128],1,3000,0,3,2000,4200,0,0,"",1,"",65536,16777216,50331648,0,419430400,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
201,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier2_Taowu1",173,[6128],1,3000,0,3,1800,3700,0,0,"",1,"",65536,16777216,50331648,0,419430400,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
202,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier2_Taowu1",239,[6128],1,3000,0,3,1700,3300,0,0,"",1,"",65536,16777216,50331648,0,419430400,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
203,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier2_Spider1",1,[6091],40,1000,0,3,2760,5520,0,0,"",1,"",65536,33554432,134217728,335544320,0,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
204,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier2_Spider1",9,[6091],40,1000,0,3,2400,4800,0,0,"",1,"",65536,33554432,134217728,419430400,0,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
205,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier2_Spider1",29,[6091],40,1000,0,3,2040,4080,0,0,"",1,"",65536,33554432,134217728,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
206,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier2_Spider1",52,[6091],40,1000,0,3,1680,3360,0,0,"",1,"",65536,33554432,134217728,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
207,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier2_Spider1",92,[6091],40,1000,0,3,1300,2700,0,0,"",1,"",65536,33554432,134217728,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
208,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier2_Spider1",173,[6091],40,1000,0,3,1100,2200,0,0,"",1,"",65536,33554432,134217728,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
209,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier2_Spider1",239,[6091],40,1000,0,3,1000,1800,0,0,"",1,"",65536,33554432,134217728,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
210,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier2_Spider2",1,[6094],20,1000,0,3,3700,7300,0,0,"",1,"",65536,16777216,83886080,335544320,0,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
211,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier2_Spider2",9,[6094],20,1000,0,3,3200,6300,0,0,"",1,"",65536,16777216,83886080,419430400,0,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
212,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier2_Spider2",29,[6094],20,1000,0,3,2700,5500,0,0,"",1,"",65536,16777216,83886080,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
213,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier2_Spider2",52,[6094],20,1000,0,3,2300,4800,0,0,"",1,"",65536,16777216,83886080,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
214,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier2_Spider2",92,[6094],20,1000,0,3,2000,4200,0,0,"",1,"",65536,16777216,83886080,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
215,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier2_Spider2",173,[6094],20,1000,0,3,1800,3700,0,0,"",1,"",65536,16777216,83886080,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
216,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier2_Spider2",239,[6094],20,1000,0,3,1700,3300,0,0,"",1,"",65536,16777216,83886080,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
217,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier2_Spider3",1,[6097],1,3000,0,3,3700,7300,0,0,"",1,"",65536,16777216,50331648,0,167772160,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
218,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier2_Spider3",9,[6097],1,3000,0,3,3200,6300,0,0,"",1,"",65536,16777216,50331648,0,251658240,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
219,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier2_Spider3",29,[6097],1,3000,0,3,2700,5500,0,0,"",1,"",65536,16777216,50331648,0,335544320,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
220,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier2_Spider3",52,[6097],1,3000,0,3,2300,4800,0,0,"",1,"",65536,16777216,50331648,0,419430400,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
221,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier2_Spider3",92,[6097],1,3000,0,3,2000,4200,0,0,"",1,"",65536,16777216,50331648,0,419430400,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
222,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier2_Spider3",173,[6097],1,3000,0,3,1800,3700,0,0,"",1,"",65536,16777216,50331648,0,419430400,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
223,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier2_Spider3",239,[6097],1,3000,0,3,1700,3300,0,0,"",1,"",65536,16777216,50331648,0,419430400,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
224,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier2_DefenceCrystal",1,[6153],1,0,0,0,0,0,0,0,"",1,"",65536,16777216,16777216,0,167772160,83886080,0,"",1,"",""
225,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier2_DefenceCrystal",9,[6153],1,0,0,0,0,0,0,0,"",1,"",65536,16777216,16777216,0,251658240,83886080,0,"",1,"",""
226,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier2_DefenceCrystal",29,[6153],1,0,0,0,0,0,0,0,"",1,"",65536,16777216,16777216,0,335544320,83886080,0,"",1,"",""
227,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier2_DefenceCrystal",52,[6153],1,0,0,0,0,0,0,0,"",1,"",65536,16777216,16777216,0,419430400,83886080,0,"",1,"",""
228,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier2_DefenceCrystal",92,[6153],1,0,0,0,0,0,0,0,"",1,"",65536,16777216,16777216,0,419430400,83886080,0,"",1,"",""
229,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier2_DefenceCrystal",173,[6153],1,0,0,0,0,0,0,0,"",1,"",65536,16777216,16777216,0,419430400,83886080,0,"",1,"",""
230,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier2_DefenceCrystal",239,[6153],1,0,0,0,0,0,0,0,"",1,"",65536,16777216,16777216,0,419430400,83886080,0,"",1,"",""
231,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier3_CaveDwellerBoss",1,[6135],1,0,0,0,800,1200,0,0,"",1,"",65536,0,0,0,0,67108864,0,"",1,"triggerer.DoAction( Emerge );",""
232,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier3_QiongqiBoss",1,[6151],1,0,0,0,800,1200,0,0,"",1,"",65536,0,0,0,0,67108864,0,"",1,"triggerer.DoAction( Emerge2 );",""
233,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier3_TaowuBoss",1,[6129],1,0,0,0,800,1200,0,0,"",1,"",65536,0,0,0,0,67108864,0,"",1,"triggerer.DoAction( Emerge );",""
234,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AnimatedWeaponEncounter/AnimatedEncounterTier1_1",1,"[6266,0]",10,1000,0,15,2760,5520,0,0,"",1,"",0,33554432,167772160,335544320,0,83886080,0,"",2,"triggerer.Transition();",1
235,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AnimatedWeaponEncounter/AnimatedEncounterTier1_1",9,"[6266,0]",10,1000,0,15,2400,4800,0,0,"",1,"",0,33554432,167772160,419430400,0,83886080,0,"",2,"triggerer.Transition();",1
236,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AnimatedWeaponEncounter/AnimatedEncounterTier1_1",29,"[6266,0]",10,1000,0,15,2040,4080,0,0,"",1,"",0,33554432,167772160,503316480,0,83886080,0,"",2,"triggerer.Transition();",1
237,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AnimatedWeaponEncounter/AnimatedEncounterTier1_1",52,"[6266,0]",10,1000,0,15,1680,3360,0,0,"",1,"",0,33554432,167772160,503316480,0,83886080,0,"",2,"triggerer.Transition();",1
238,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AnimatedWeaponEncounter/AnimatedEncounterTier1_1",92,"[6266,0]",10,1000,0,15,1300,2700,0,0,"",1,"",0,33554432,167772160,503316480,0,83886080,0,"",2,"triggerer.Transition();",1
239,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AnimatedWeaponEncounter/AnimatedEncounterTier1_1",173,"[6266,0]",10,1000,0,15,1100,2200,0,0,"",1,"",0,33554432,167772160,503316480,0,83886080,0,"",2,"triggerer.Transition();",1
240,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AnimatedWeaponEncounter/AnimatedEncounterTier1_1",239,"[6266,0]",10,1000,0,15,1000,1800,0,0,"",1,"",0,33554432,167772160,503316480,0,83886080,0,"",2,"triggerer.Transition();",1
241,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AnimatedWeaponEncounter/AnimatedEncounterTier1_2",1,"[6268,0]",5,1000,0,15,2760,5520,0,0,"",1,"",0,33554432,83886080,335544320,0,83886080,0,"",1,"triggerer.Transition();",""
242,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AnimatedWeaponEncounter/AnimatedEncounterTier1_2",9,"[6268,0]",5,1000,0,15,2400,4800,0,0,"",1,"",0,33554432,83886080,419430400,0,83886080,0,"",1,"triggerer.Transition();",""
243,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AnimatedWeaponEncounter/AnimatedEncounterTier1_2",29,"[6268,0]",5,1000,0,15,2040,4080,0,0,"",1,"",0,33554432,83886080,503316480,0,83886080,0,"",1,"triggerer.Transition();",""
244,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AnimatedWeaponEncounter/AnimatedEncounterTier1_2",52,"[6268,0]",5,1000,0,15,1680,3360,0,0,"",1,"",0,33554432,83886080,503316480,0,83886080,0,"",1,"triggerer.Transition();",""
245,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AnimatedWeaponEncounter/AnimatedEncounterTier1_2",92,"[6268,0]",5,1000,0,15,1300,2700,0,0,"",1,"",0,33554432,83886080,503316480,0,83886080,0,"",1,"triggerer.Transition();",""
246,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AnimatedWeaponEncounter/AnimatedEncounterTier1_2",173,"[6268,0]",5,1000,0,15,1100,2200,0,0,"",1,"",0,33554432,83886080,503316480,0,83886080,0,"",1,"triggerer.Transition();",""
247,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AnimatedWeaponEncounter/AnimatedEncounterTier1_2",239,"[6268,0]",5,1000,0,15,1000,1800,0,0,"",1,"",0,33554432,83886080,503316480,0,83886080,0,"",1,"triggerer.Transition();",""
248,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AnimatedWeaponEncounter/AnimatedEncounterTier1_3",1,[6270],2,1000,0,15,2760,5520,0,0,"",1,"",0,16777216,33554432,0,83886080,83886080,0,"",1,"triggerer.Transition();",""
249,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AnimatedWeaponEncounter/AnimatedEncounterTier1_3",9,[6270],2,1000,0,15,2400,4800,0,0,"",1,"",0,16777216,33554432,0,167772160,83886080,0,"",1,"triggerer.Transition();",""
250,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AnimatedWeaponEncounter/AnimatedEncounterTier1_3",29,[6270],2,1000,0,15,2040,4080,0,0,"",1,"",0,16777216,33554432,0,251658240,83886080,0,"",1,"triggerer.Transition();",""
251,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AnimatedWeaponEncounter/AnimatedEncounterTier1_3",52,[6270],2,1000,0,15,1680,3360,0,0,"",1,"",0,16777216,33554432,0,251658240,83886080,0,"",1,"triggerer.Transition();",""
252,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AnimatedWeaponEncounter/AnimatedEncounterTier1_3",92,[6270],2,1000,0,15,1300,2700,0,0,"",1,"",0,16777216,33554432,0,251658240,83886080,0,"",1,"triggerer.Transition();",""
253,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AnimatedWeaponEncounter/AnimatedEncounterTier1_3",173,[6270],2,1000,0,15,1100,2200,0,0,"",1,"",0,16777216,33554432,0,251658240,83886080,0,"",1,"triggerer.Transition();",""
254,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AnimatedWeaponEncounter/AnimatedEncounterTier1_3",239,[6270],2,1000,0,15,1000,1800,0,0,"",1,"",0,16777216,33554432,0,251658240,83886080,0,"",1,"triggerer.Transition();",""
255,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AnimatedWeaponEncounter/AnimatedEncounterTier1_4",1,[6271],1,0,0,0,0,0,0,0,"",1,"",65536,16777216,16777216,0,0,67108864,0,"",1,"triggerer.SpawnServerEffect( Metadata/Effects/Spells/animate_armour/animatearmourdeath.ao );",""
256,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AnimatedWeaponEncounter/AnimatedEncounterTier1_5",1,[6272],1,0,0,0,0,0,0,0,"",1,"",65536,16777216,16777216,0,0,67108864,0,"",1,"triggerer.SpawnServerEffect( Metadata/Effects/Spells/animate_armour/animatearmourdeath.ao );",""
257,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/SandsEncounter/SandsEncounterTier1_1",1,[6273],20,1000,0,0,2760,5520,0,0,"",1,"",0,33554432,167772160,335544320,0,83886080,0,"",1,"SpawnServerEffect( Metadata/Effects/Spells/monsters_effects/act9/Garukhan/minions/normal/normalEmergeNoScreenshake.ao );",1
258,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/SandsEncounter/SandsEncounterTier1_1",9,[6273],20,1000,0,0,2400,4800,0,0,"",1,"",0,33554432,167772160,419430400,0,83886080,0,"",1,"SpawnServerEffect( Metadata/Effects/Spells/monsters_effects/act9/Garukhan/minions/normal/normalEmergeNoScreenshake.ao );",1
259,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/SandsEncounter/SandsEncounterTier1_1",29,[6273],20,1000,0,0,2040,4080,0,0,"",1,"",0,33554432,167772160,503316480,0,83886080,0,"",1,"SpawnServerEffect( Metadata/Effects/Spells/monsters_effects/act9/Garukhan/minions/normal/normalEmergeNoScreenshake.ao );",1
260,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/SandsEncounter/SandsEncounterTier1_1",52,[6273],20,1000,0,0,1680,3360,0,0,"",1,"",0,33554432,167772160,503316480,0,83886080,0,"",1,"SpawnServerEffect( Metadata/Effects/Spells/monsters_effects/act9/Garukhan/minions/normal/normalEmergeNoScreenshake.ao );",1
261,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/SandsEncounter/SandsEncounterTier1_1",92,[6273],20,1000,0,0,1300,2700,0,0,"",1,"",0,33554432,167772160,503316480,0,83886080,0,"",1,"SpawnServerEffect( Metadata/Effects/Spells/monsters_effects/act9/Garukhan/minions/normal/normalEmergeNoScreenshake.ao );",1
262,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/SandsEncounter/SandsEncounterTier1_1",173,[6273],20,1000,0,0,1100,2200,0,0,"",1,"",0,33554432,167772160,503316480,0,83886080,0,"",1,"SpawnServerEffect( Metadata/Effects/Spells/monsters_effects/act9/Garukhan/minions/normal/normalEmergeNoScreenshake.ao );",1
263,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/SandsEncounter/SandsEncounterTier1_1",239,[6273],20,1000,0,0,1000,1800,0,0,"",1,"",0,33554432,167772160,503316480,0,83886080,0,"",1,"SpawnServerEffect( Metadata/Effects/Spells/monsters_effects/act9/Garukhan/minions/normal/normalEmergeNoScreenshake.ao );",1
264,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/SandsEncounter/SandsEncounterTier1_2",1,[6274],1,0,0,0,0,0,0,0,"",1,"",0,16777216,16777216,335544320,83886080,83886080,0,"",1,"SpawnServerEffect( Metadata/Effects/Spells/monsters_effects/act9/Garukhan/minions/big/bigEmerge.ao );",""
265,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/SandsEncounter/SandsEncounterTier1_2",9,[6274],1,0,0,0,0,0,0,0,"",1,"",0,16777216,16777216,419430400,167772160,83886080,0,"",1,"SpawnServerEffect( Metadata/Effects/Spells/monsters_effects/act9/Garukhan/minions/big/bigEmerge.ao );",""
266,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/SandsEncounter/SandsEncounterTier1_2",29,[6274],1,0,0,0,0,0,0,0,"",1,"",0,16777216,16777216,503316480,251658240,83886080,0,"",1,"SpawnServerEffect( Metadata/Effects/Spells/monsters_effects/act9/Garukhan/minions/big/bigEmerge.ao );",""
267,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/SandsEncounter/SandsEncounterTier1_2",52,[6274],1,0,0,0,0,0,0,0,"",1,"",0,16777216,16777216,503316480,251658240,83886080,0,"",1,"SpawnServerEffect( Metadata/Effects/Spells/monsters_effects/act9/Garukhan/minions/big/bigEmerge.ao );",""
268,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/SandsEncounter/SandsEncounterTier1_2",92,[6274],1,0,0,0,0,0,0,0,"",1,"",0,16777216,16777216,503316480,251658240,83886080,0,"",1,"SpawnServerEffect( Metadata/Effects/Spells/monsters_effects/act9/Garukhan/minions/big/bigEmerge.ao );",""
269,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/SandsEncounter/SandsEncounterTier1_2",173,[6274],1,0,0,0,0,0,0,0,"",1,"",0,16777216,16777216,503316480,251658240,83886080,0,"",1,"SpawnServerEffect( Metadata/Effects/Spells/monsters_effects/act9/Garukhan/minions/big/bigEmerge.ao );",""
270,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/SandsEncounter/SandsEncounterTier1_2",239,[6274],1,0,0,0,0,0,0,0,"",1,"",0,16777216,16777216,503316480,251658240,83886080,0,"",1,"SpawnServerEffect( Metadata/Effects/Spells/monsters_effects/act9/Garukhan/minions/big/bigEmerge.ao );",""
271,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/SandsEncounter/SandsEncounterTier1_3",1,[6275],1,0,0,0,1000,1000,0,0,1,1,"",65536,16777216,0,0,0,83886080,0,"",1,"",""
272,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/SandsEncounter/SandsEncounterTier1_4",1,[6275],1,0,0,0,1000,1000,0,0,1,1,"",65536,16777216,0,0,0,83886080,0,"",1,"",""
273,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/ChaosGolemEncounter/ChaosGolemEncounterTier1_1",1,[6279],20,1000,0,0,2760,5520,0,0,"",1,"",0,33554432,167772160,335544320,0,83886080,0,"",1,"triggerer.DoAction( Emerge );",1
274,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/ChaosGolemEncounter/ChaosGolemEncounterTier1_1",9,[6279],20,1000,0,0,2400,4800,0,0,"",1,"",0,33554432,167772160,419430400,0,83886080,0,"",1,"triggerer.DoAction( Emerge );",1
275,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/ChaosGolemEncounter/ChaosGolemEncounterTier1_1",29,[6279],20,1000,0,0,2040,4080,0,0,"",1,"",0,33554432,167772160,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge );",1
276,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/ChaosGolemEncounter/ChaosGolemEncounterTier1_1",52,[6279],20,1000,0,0,1680,3360,0,0,"",1,"",0,33554432,167772160,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge );",1
277,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/ChaosGolemEncounter/ChaosGolemEncounterTier1_1",92,[6279],20,1000,0,0,1300,2700,0,0,"",1,"",0,33554432,167772160,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge );",1
278,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/ChaosGolemEncounter/ChaosGolemEncounterTier1_1",173,[6279],20,1000,0,0,1100,2200,0,0,"",1,"",0,33554432,167772160,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge );",1
279,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/ChaosGolemEncounter/ChaosGolemEncounterTier1_1",239,[6279],20,1000,0,0,1000,1800,0,0,"",1,"",0,33554432,167772160,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge );",1
280,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/ChaosGolemEncounter/ChaosGolemEncounterTier1_2",1,[6278],10,1000,0,0,3700,7300,0,0,"",1,"",0,16777216,83886080,335544320,0,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
281,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/ChaosGolemEncounter/ChaosGolemEncounterTier1_2",9,[6278],10,1000,0,0,3200,6300,0,0,"",1,"",0,16777216,83886080,419430400,0,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
282,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/ChaosGolemEncounter/ChaosGolemEncounterTier1_2",29,[6278],10,1000,0,0,2700,5500,0,0,"",1,"",0,16777216,83886080,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
283,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/ChaosGolemEncounter/ChaosGolemEncounterTier1_2",52,[6278],10,1000,0,0,2300,4800,0,0,"",1,"",0,16777216,83886080,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
284,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/ChaosGolemEncounter/ChaosGolemEncounterTier1_2",92,[6278],10,1000,0,0,2000,4200,0,0,"",1,"",0,16777216,83886080,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
285,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/ChaosGolemEncounter/ChaosGolemEncounterTier1_2",173,[6278],10,1000,0,0,1800,3700,0,0,"",1,"",0,16777216,83886080,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
286,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/ChaosGolemEncounter/ChaosGolemEncounterTier1_2",239,[6278],10,1000,0,0,1700,3300,0,0,"",1,"",0,16777216,83886080,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
287,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/ChaosGolemEncounter/ChaosGolemEncounterTier1_3",1,[6280],1,0,0,0,0,0,0,0,"",1,"",65536,16777216,0,0,83886080,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
288,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/ChaosGolemEncounter/ChaosGolemEncounterTier1_3",9,[6280],1,0,0,0,0,0,0,0,"",1,"",65536,16777216,0,0,167772160,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
