"rownum","BaseItemTypesKey","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","i32","i32","i32","[rid]","rid","i32","i32","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","i32","rid","rid","rid","rid","rid","rid","bool"
93,162,"","","","","","","","","","","",3264,3809,3264,1791,1875,1872,1900,1900,1894,1897,1894,1669260288,0,0,[11131],17,7,0,"","",21606,"",21609,1900,"",1897,1894,1900,1900,3809,3264,21609,21609,21609,21609,21606,21606,21606,21606,21606,21606,21606,11063,0,1872,1791,1875,"",1894,"",""
94,163,"","","","","","","","","","","","","",3168,3168,3178,2726,8505,6175,6175,8505,3246,122642368,68,100,[11129],18,5,586,3246,"","","","",6175,"",8505,6175,6175,8505,3246,3246,3246,3246,3246,3246,3246,3246,3246,3246,3246,3246,3246,11030,0,2726,3168,3178,"",3246,"",1
95,164,"","","","","","","","","","","","","",3169,3169,3179,2727,8506,6176,6176,8506,3247,-1016206409,0,0,[11130],18,6,0,3247,"","","","",6176,"",8506,6176,6176,8506,3247,3247,3247,3247,3247,3247,3247,3247,3247,3247,3247,3247,3247,11031,0,2727,3169,3179,"",3247,"",""
96,165,"","","","","","","","","","","","","",3177,3177,3180,2728,8507,6177,6177,8507,3248,1247641969,0,0,[11131],18,7,0,3248,"","","","",6177,"",8507,6177,6177,8507,3248,3248,3248,3248,3248,3248,3248,3248,3248,3248,3248,3248,3248,11032,0,2728,3177,3180,"",3248,"",""
97,166,"","","","","","","","","","","","","",10849,"","",3035,"","","","","",-1691201624,68,100,"[11129,3484]",19,5,586,"","",8602,8606,"",3035,"",3035,3035,3035,3035,8606,8602,8606,8606,8606,8606,8602,8602,8602,8602,8602,8602,8602,11019,0,3035,7088,7088,7088,3035,"",1
98,167,"","","","","","","","","","","","","",10850,"","",3036,"","","","","",-718463325,0,0,"[11130,3484]",19,6,0,"","",8603,8607,"",3036,"",3036,3036,3036,3036,8607,8603,8607,8607,8607,8607,8603,8603,8603,8603,8603,8603,8603,11020,0,3036,7089,7089,7089,3036,"",""
99,168,"","","","","","","","","","","","","",10851,"","",3037,"","","","","",692127728,0,0,"[11131,3484]",19,7,0,"","",8604,8608,"",3037,"",3037,3037,3037,3037,8608,8604,8608,8608,8608,8608,8604,8604,8604,8604,8604,8604,8604,11021,0,3037,7090,7090,7090,3037,"",""
100,169,"","","","","","","","","","","","","",11110,7097,11109,11136,11100,11106,11161,11124,11122,-306989797,0,0,[11132],20,8,0,11152,"","","","","","",11124,11161,11106,11100,11152,11152,11152,11152,11152,11152,11152,11152,11152,11152,11152,11152,11152,11089,0,11136,7097,11109,"",11122,"",""
101,170,"","","","","","","","","","","","","",8844,11142,11138,11120,11102,11171,11163,11103,11139,-1454947071,0,0,"[11132,11160]",21,8,0,11159,"","","","","","",11103,11163,11171,11102,11159,11159,11159,11159,11159,11159,11159,11159,11159,11159,11159,11159,11159,11090,0,11120,11142,11138,"",11139,"",""
102,171,"","","","","","","","","","","","","",11121,11143,11121,11137,11118,11105,11107,11104,11140,-2010504687,0,0,"[11132,11094]",22,8,0,11148,"","","","","","",11104,11107,11105,11118,11148,11148,11148,11148,11148,11148,11148,11148,11148,11148,11148,11148,11148,11091,0,11137,11143,11121,"",11140,"",""
103,172,"","","","","","","","","","","","","",11167,16323,11166,6224,11164,10592,11116,11151,11165,-1499847665,0,0,"[11132,11055,11169]",23,8,0,11168,"","","","","","",11151,11116,10592,11164,11168,11168,11168,11168,11168,11168,11168,11168,11168,11168,11168,11168,11168,11092,0,6224,16323,11166,"",11165,"",""
104,173,"","","","","","","","","","","","","","","","","","","","","","",411361590,32,100,"[11154,11155,11156]",24,0,0,"","","","","","","","","","","","","","","","","","","","","","","","",10996,0,"","","","","","",""
