"rownum","GroundEffectTypesKey","i32","i32","rid","bool","bool","i32","bool","bool","i32","i32","i32","bool","[string]","[string]","string","rid","rid","rid","rid","rid","bool","bool","bool","rid","rid"
92,17,0,2,"","","",17106,"","",0,526,0,"","[""Metadata/Effects/Spells/monsters_effects/AtlasExiles/Orion/destruction_assets/meteors/meteor_ground.ao""]","[""loop""]","fadeout","","","","","","",1,"","",""
93,11,0,2,"","","",17480,"","",0,526,0,1,"[""Metadata/Effects/Spells/monsters_effects/Breach/Cold/Blizzard/Blizzard.ao""]","[""loop""]","end","","","","","","",1,"","",""
94,16,0,2,"","","",17224,"","",0,526,0,1,"[""Metadata/Effects/Microtransactions/Misc/uniques/body_armour/TimeAnomaly/timeanomaly.ao""]","[""loop""]","fadeout","","","","","","","","","",""
95,16,1,2,"","","",17224,"","",0,526,0,"","[""Metadata/Effects/Spells/monsters_effects/League_Blight/Tower_Skills/Temporal/rig.ao""]","[""loop""]","fadeout",1400,"","","","","","","","",""
96,16,2,2,"","","",17174,"","",0,526,0,1,"[""Metadata/Effects/Spells/monsters_effects/League_Affliction/affliction_mods/slowzone.ao""]","[""loop""]","end","","","","","","","","","",""
97,8,0,2,"","","",17191,"","",0,526,0,1,"[""Metadata/Effects/Spells/frost_bolt/sml_maelstrom.ao""]","[""loop""]","end","","","","","","","","","",""
98,8,1,2,"","","",17191,"","",0,526,0,1,"[""Metadata/Effects/Microtransactions/Spells/frost_bolt/maelstrom.ao""]","[""loop""]","end","","","","","","","","","",""
99,8,2,2,"","","",17191,"","",0,526,0,1,"[""Metadata/Effects/Microtransactions/Spells/frost_bolt/maelstrom.ao""]","[""loop""]","end","",103,"","","","","","","",""
100,8,3,2,"","","",17204,"","",0,526,0,1,"[""Metadata/Effects/Spells/monsters_effects/AtlasofWorldsBosses/TheShaper/super_blackhole/rig.ao""]","[""loop""]","end","","","","","","","","","",""
101,8,4,2,"","","",17179,"","",0,526,0,1,"[""Metadata/Effects/Spells/monsters_effects/Solaris_and_Lunaris/Lunaris_e/expanding_darkness.ao""]","[""loop""]","fadeout",865,"","","","","","","","",""
102,8,5,2,"","","",17204,"","",0,526,0,1,"[""Metadata/Monsters/Anomaly/Vortex_UniqueRing.ao""]","[""loop""]","end","","","","","","","","","",""
103,8,6,2,"","","",17204,"","",0,526,0,1,"[""Metadata/Effects/Spells/monsters_effects/AtlasofWorldsBosses/TheShaper/super_blackhole/rig_ubElder.ao""]","[""loop""]","end","","","","","","","","","",""
104,8,7,2,"","","",17224,"","",0,526,0,1,"[""Metadata/Effects/Microtransactions/Misc/uniques/body_armour/TimeAnomaly/timeanomaly.ao""]","[""loop""]","fadeout","","","","","","","","","",""
105,8,8,2,1470,"","",17274,"","",0,526,0,1,"[""Metadata/Effects/Spells/monsters_effects/AtlasofWorldsBosses/Maven/buffs/chilled_grd/chilled_grd.ao""]","[""loop""]","fadeout","","","","","","",1,"","",""
106,8,9,2,"","","",17259,"","",0,526,0,1,"[""Metadata/Effects/Spells/monsters_effects/League_Ultimatum/general_combat/vaal_golem/skitter_vortex_cold.ao""]","[""loop""]","end","","","","","","","","","",""
107,8,10,2,"","","",17259,"","",0,526,0,1,"[""Metadata/Effects/Spells/monsters_effects/League_Ultimatum/general_combat/vaal_golem/skitter_vortex_lightning.ao""]","[""loop""]","end","","","","","","","","","",""
108,8,11,2,"","","",17259,"","",0,526,0,1,"[""Metadata/Effects/Spells/monsters_effects/League_Ultimatum/general_combat/vaal_golem/skitter_vortex_ruin.ao""]","[""loop""]","end",1779,"","","","","","","","",""
109,26,0,2,"","","",17480,"","",0,526,0,1,"[""Metadata/Effects/Spells/ground_effects/vaal_cold_snap/VaalColdSnapGroundEffect.ao""]","[""loop""]","end","","","","","","","","","",""
110,18,0,2,"","","",17224,"","",0,526,0,1,"[""Metadata/Effects/Spells/monsters_effects/LeagueHarvest/harvest_boss/final/crown_of_thorns/anger_ground.ao""]","[""loop""]","fadeout","",393,"","","","","","","",""
111,27,0,2,"","","",17096,"","",0,526,0,1,"[""Metadata/Effects/Spells/monsters_effects/League_Heist/thugs/torch/oil_ground.ao""]",[],"fadeout","",431,"","","","",1,"","",""
112,28,0,2,"","","",17274,"","",0,526,0,1,"[""Metadata/Effects/Spells/ground_effects_v3/scorched/scorched_grd.ao""]","[""loop""]","fadeout","","","","","","",1,"","",""
113,29,0,2,"","","",17199,"","",0,526,0,"","[""Metadata/Effects/Spells/monsters_effects/AtlasofWorldsBosses/Maven/brain/void_zone/rig.ao""]","[""loop""]","fadeout","",265,"","","","",1,"","",""
114,30,0,2,"","","",17259,"","",0,526,0,1,"[""Metadata/Effects/Spells/monsters_effects/League_Ultimatum/general_combat/vaal_golem/skitter_vortex_lightning.ao""]","[""loop""]","end","","","","","","","","","",""
115,30,1,2,"","","",17259,"","",0,526,0,1,"[""Metadata/Effects/Spells/monsters_effects/League_Ultimatum/general_combat/vaal_golem/skitter_vortex_ruin.ao""]","[""loop""]","end",1778,"","","","","","","","",""
