"rownum","Id","DisplayedName","Description","string","Icon_DDSFile","ActiveSkillTargetTypes","ActiveSkillTypes","WeaponRestriction_ItemClassesKeys","WebsiteDescription","WebsiteImage","bool","string","bool","SkillTotemId","IsManuallyCasted","Input_StatKeys","Output_StatKeys","MinionActiveSkillTypes","bool","bool","[rid]","i32","rid","bool","AIFile","i32","i32","i32","i32","bool","bool"
189,"arctic_armour","Arctic Armour","Summons an icy shield that protects against physical and fire damage. It drains your mana while active and at a faster rate while you are moving. When you have no mana left, the skill turns off. While active, it leaves a trail of ground ice which lasts for a short duration.","IceShield","Art/2DArt/SkillIcons/Iceshield.dds",[4],"[2,5,15,9,12,23,32,30,68,72]",[],"","http://s3.amazonaws.com/pathofexile/image/skills/dexterity/ice-shield.jpg","","ArcticArmour","",20,1,[4409],[4548],[],1,1,[],8,"","","",0,0,179334,0,"",""
190,"totem_fire_spray","Holy Flame Totem","Summons a totem that fires a stream of flame at nearby enemies.","TotemFireSpray","Art/2DArt/SkillIcons/flametotem.dds","[1,2,20]","[2,3,57,7,14,16,26,29]",[],"","http://s3.amazonaws.com/pathofexile/image/skills/strength/flametotem.jpg",1,"FlameTotem","",8,1,"[4273,4246,4063]","[173,175,24]",[],1,1,[],8,"","","",12,0,179954,0,"",""
191,"brutus_hook","","","BrutusHook","",[2],[32],[],"","",1,"BrutusHook","",20,1,[],[],[],1,1,[],8,"","","",13,0,180204,0,"",""
192,"fire_weakness","Flammability","Curses all targets in an area, lowering their fire resistance and giving them a chance to be ignited when hit.","FireWeakness","Art/2DArt/SkillIcons/Flammability.dds","[1,2,22]","[2,8,9,14,15,16,22,32,29,56,69,70,72,85,86,97]",[],"","http://s3.amazonaws.com/pathofexile/image/skills/intelligence/fireweakness.jpg","","Flammability",1,20,1,"[4325,4361,6952]","[1390,215,11609]",[],1,1,[],8,"","","",0,0,181132,0,"",""
193,"cold_weakness","Frostbite","Curses all targets in an area, lowering their cold resistance and giving them a chance to be frozen when hit.","ColdWeakness","Art/2DArt/SkillIcons/Frostbite.dds","[1,2,22]","[2,8,9,14,15,16,22,32,30,56,69,70,72,85,86,97]",[],"","http://s3.amazonaws.com/pathofexile/image/skills/intelligence/coldweakness.jpg","","Frostbite",1,20,1,"[4326,4360,6953]","[1390,215,11609]",[],1,1,[],8,"","","",0,0,181838,0,"",""
194,"lightning_weakness","Conductivity","Curses all targets in an area, lowering their lightning resistance and giving them a chance to be shocked when hit.","LightningWeakness","Art/2DArt/SkillIcons/Conductivity.dds","[1,2,22]","[2,8,9,14,15,16,22,32,31,56,69,70,72,85,86,97]",[],"","http://s3.amazonaws.com/pathofexile/image/skills/intelligence/lightningweakness.jpg","","Conductivity",1,20,1,"[4322,4364,6954]","[1390,215,11609]",[],1,1,[],8,"","","",0,0,182598,0,"",""
195,"lightning_thorns","","","LightningThorns","",[3],"[2,5,9,31,32]",[],"","",1,"MonsterLightningThorns","",20,1,[],[],[],1,1,[],8,"","","",0,0,182740,0,"",""
196,"demon_female_ranged_projectile","","","RangedDemonFemaleProjectile","","[1,2]","[1,41,3,82]",[],"","",1,"DemonFemaleRangedProjectile","",20,1,[],[],[],1,1,[],8,"","","",13,0,182944,0,"",""
197,"statue_spear_throw","","","StatueSpearThrow","","[1,2]","[1,41,3,82]",[],"","",1,"StatueSpearThrow","",20,1,[],[],[],1,1,[],8,"","","",13,0,183252,0,"",""
198,"summon_water_elementals","","","SummonWaterElementals","","[1,2]","[6,22,77]",[],"","",1,"StatueSummonWaterElementals","",20,1,[],[],"[1,20,21,24]",1,1,[],8,"","","",0,0,183650,0,"",""
199,"ball_lightning","Ball Lightning","Fires a slow-moving projectile that periodically damages enemies in an area around it with bolts of lightning.","BallLightning","Art/2DArt/SkillIcons/balllightning.dds","[1,2]","[2,7,3,57,8,15,14,16,22,32,31,70,72]",[],"","",1,"PietyBallLightning","",20,1,"[4241,4208,3335,7994]","[175,434,24,173]",[],1,1,[],8,3,"","",12,0,184276,0,"",""
200,"ball_lightning_self_location","","","BallLightning","",[10],"[2,7,3,57,8,15,14,16,22,32,23,31,72]",[],"","",1,"","",20,1,[],[],[],1,1,[],8,"","","",12,0,184584,0,"",""
201,"piety_fire_form","","","PietyFireForm","",[3],"[2,5,9,32]",[],"","",1,"","",20,1,[],[],[],1,1,[],8,"","","",12,0,184860,0,"",""
202,"piety_ice_form","","","PietyIceForm","",[3],"[2,5,9,32]",[],"","",1,"","",20,1,[],[],[],1,1,[],8,"","","",12,0,185132,0,"",""
203,"piety_summon_blood_elementals","","","PietySummonBloodElementals","",[3],[],[],"","",1,"","",20,1,[],[],[],1,1,[],8,"","","",0,0,185446,0,"",""
204,"axis_claim_soldier_minions","","","AxisClaimSoldierMinions","",[4],"[2,6,8,72,77]",[],"","",1,"","",20,1,[],[],"[1,20,21,24]",1,1,[],8,"","","",0,0,185592,0,"",""
205,"incinerate","Incinerate","Launches a torrent of fire from your hand. The longer you repeatedly cast the spell from the same location, the larger and more damaging the flames become.","Flamethrower","Art/2DArt/SkillIcons/flamethrower.dds","[1,2]","[2,3,57,7,15,29]",[],"","http://s3.amazonaws.com/pathofexile/image/skills/intelligence/incinerate.jpg",1,"Incinerate","",20,1,"[4037,4247]","[24,175]",[],1,1,[],8,"","","",12,0,186312,0,"",""
206,"incinerate_channel","Incinerate","Continuously launches a torrent of fire from your hand. The longer you channel this spell, the larger and more damaging the flames become.","FlamethrowerChannelled","Art/2DArt/SkillIcons/flamethrower.dds","[1,11,22]","[2,3,57,7,15,29,48]",[],"","http://s3.amazonaws.com/pathofexile/image/skills/intelligence/incinerate.jpg","","Incinerate","",20,1,"[4037,4247]","[24,175]",[],1,1,[],8,"","","",12,0,186976,0,"",""
207,"expanding_fire_cone","Incinerate","Continuously launches a torrent of fire from your hand, repeatedly damaging enemies. As you channel this spell longer, the flames spread wider close to you and spread longer directly in front of you. When you stop channelling you release a wave of fire damage over a wide and long area that will apply a powerful Ignite.","ExpandingFireCone","Art/2DArt/SkillIcons/flamethrower.dds",[1],"[2,7,15,29,48,8,72]",[],"","",1,"ExpandingFireCone","",20,1,"[4037,7953,7952]","[24,434,7813]",[],1,1,[],8,"","","",12,0,188020,0,"",""
208,"cyclone","Cyclone","Damage enemies around you, then perform a spinning series of attacks as you travel to a target location. Cannot be supported by Ruthless or Multistrike.","Cyclone","Art/2DArt/SkillIcons/cyclone.dds",[1],"[1,8,20,34,54]","[6,7,9,10,11,12,32,14,15,16,17,36,57,56]","","http://s3.amazonaws.com/pathofexile/image/skills/dexterity/cyclone.jpg",1,"Cyclone","",20,1,"[4231,4046]","[70,24]",[],1,1,[],8,0,"","",13,0,189080,0,"",""
209,"vaal_cyclone","Vaal Cyclone","Spin and attack in place, damaging nearby enemies and pulling others towards you. While using this skill, you cannot be stunned or knocked back. Cannot be supported by Ruthless.","VaalCyclone","Art/2DArt/SkillIcons/cyclone.dds","[1,2]","[1,8,20,9,38,54]","[6,7,9,10,11,12,32,14,15,16,17,36,57,56]","","",1,"","",20,1,"[4231,4046]","[70,24]",[],1,1,[],8,"","","",13,0,190048,0,"",""
210,"cyclone_channelled","Cyclone","Channel this skill to move towards a targeted location while spinning, building up stages while constantly attacking enemies in an area around you. While channelling this skill, you cannot be knocked back.","CycloneChannelled","Art/2DArt/SkillIcons/cyclone.dds","[1,23]","[1,8,20,34,54,48,28]","[6,7,9,10,11,12,32,14,15,16,17,36,57,56]","","http://s3.amazonaws.com/pathofexile/image/skills/dexterity/cyclone.jpg","","Cyclone","",20,1,"[4231,4046]","[70,24]",[],1,1,[],8,0,"","",13,0,191072,0,"",""
211,"mass_revive_undead","","","MassReviveUndead","",[4],"[2,8,72]",[],"","",1,"MassReviveUndead","",20,1,[],[],[],1,1,[],8,"","","",0,0,191372,0,"",""
212,"searing_bond","Searing Bond","Summons a totem that casts a beam of fire at you and each other totem you control, dealing burning damage to enemies caught in the beam. Enemies near either end of a beam also suffer burning damage.","SearingBond","Art/2DArt/SkillIcons/SearingBond.dds","[4,20]","[2,35,14,16,23,25,26,32,29,49]",[],"","http://s3.amazonaws.com/pathofexile/image/skills/strength/SearingBond.jpg","","SearingBond",1,9,1,"[4039,4291,4517]","[24,1345,1839]",[],1,1,[],8,"","","",8,0,192224,0,"",""
213,"zombie_boss_extract","","","ZombieBossExtract","",[4],[],[],"","",1,"","",20,1,[],[],[],1,1,[],8,"","","",0,0,192436,0,"",""
214,"birdman_consume_corpse","","","BirdmanConsumeCorpse","",[6],[2],[],"","",1,"BirdmanConsumeCorpse","",20,1,[],[],[],1,1,[],8,"","","",0,0,192536,0,"",""
215,"birdman_blood_projectile","","","BirdmanBloodProjectile","",[2],"[1,41,3,57,32]",[],"","",1,"BirdmanBloodProjectile","",20,1,[],[],[],1,1,[],8,"","","",13,0,192660,0,"",""
216,"root_spider_burrow","","","RootSpiderBurrow","",[2],[],[],"","",1,"","",20,1,[],[],[],1,1,[],8,"","","",0,0,192948,0,"",""
217,"root_spider_emerge","","","RootSpiderEmerge","",[2],[1],[],"","",1,"RootSpiderEmerge","",20,1,[],[],[],1,1,[],8,"","","",13,0,193032,0,"",""
218,"minion_taunt","","","MinionTaunt","",[2],[2],[],"","",1,"","",20,1,[],[],[],1,1,[],8,"","","",0,0,193302,0,"",""
219,"reave","Reave","Attacks a small area in front of you. Each Reave that hits an enemy grants stages, which you will begin to lose after a short period without hitting anything. Only works with Daggers, Claws, and One-Handed Swords.","Reave","Art/2DArt/SkillIcons/Reave.dds","[1,2]","[1,8,24,20]","[6,7,9,10,56]","","http://webcdn.pathofexile.com/public/chris/reave.jpg","","Reave","",20,1,"[4014,4196]","[24,434]",[],1,1,[],8,"","","",13,0,194100,0,"",""
220,"vaal_reave","Vaal Reave","Repeatedly attacks a large area in different directions. Each Vaal Reave that hits an enemy grants stages, which you will begin to lose after a short period without hitting anything. Only works with Daggers, Claws, and One-Handed Swords.","Reave","Art/2DArt/SkillIcons/Reave.dds","[1,2]","[1,8,20,38]","[6,7,9,10,56]","","",1,"","",20,1,"[4014,4196]","[24,434]",[],1,1,[],8,"","","",13,0,195002,0,"",""
221,"dominus_chilling_bond","","","DominusChillingBond","",[2],"[2,23,26,35,67,17]",[],"","",1,"DominusChillingBond",1,10,1,[],[],[],1,1,[],8,"","","",0,0,195326,0,"",""
222,"dominus_lightning_souls","","","DominusLightningSouls","",[2],"[2,3,57,7]",[],"","",1,"DominusLightningSouls","",20,1,[],[],[],1,1,[],8,"","","",12,0,195442,0,"",""
223,"dominus_lightning_slam","Touch Of God","THE LIGHT OF DIVINITY","DominusLightningSlam","Art/2DArt/SkillIcons/stormcall.dds","[1,2]","[1,7,8,31]",[],"","",1,"DominusLightningSlam","",20,1,[],[],[],1,1,[],8,"","","",13,0,195896,0,"",""
224,"dominus_mark","","","DominusMark","",[4],[2],[],"","",1,"DominusMark","",20,1,[],[],[],1,1,[],8,"","","",0,0,196166,0,"",""
225,"chaos_degen_aura","","","CastAuraChaosDegeneration","",[4],"[2,5,8,12,35,39,42,72]",[],"","",1,"ChaosDegenAura","",20,1,[],[],[],1,1,[],8,"","","",5,0,196324,0,"",""
226,"hide","","","Hide","","[2,15]",[9],[],"","",1,"WeaverHide","",20,1,[],[],[],1,1,[],8,"","","",0,0,196464,0,"",""
227,"dominus_demon_cleave","","","DominusDemonCleave","",[2],"[1,8,20,35]",[],"","",1,"DominusDemonCleave","",20,1,[],[],[],1,1,[],8,"","","",13,0,196568,0,"",""
228,"dominus_demon_projectile","","","DominusDemonProjectile","",[2],"[1,41,3,57]",[],"","",1,"DominusDemonProjectile","",20,1,[],[],[],1,1,[],8,"","","",13,0,196896,0,"",""
229,"delayed_blast","","","DelayedBlast","",[2],"[2,7,8,32,72]",[],"","",1,"DelayedBlast","",20,1,[],[],[],1,1,[],8,"","","",12,0,197186,0,"",""
230,"delayed_blast_location","","","DelayedBlast","","[2,1]","[2,7,8,32,72]",[],"","",1,"DelayedBlast","",20,1,[],[],[],1,1,[],8,"","","",12,0,197454,0,"",""
231,"dominus_demon_charge","","","DominusDemonCharge","",[2],[1],[],"","",1,"DominusDemonCharge","",20,1,[],[],[],1,1,[],8,"","","",13,0,197738,0,"",""
232,"dominus_dash","","","DominusDash","",[2],[1],[],"","",1,"DominusDash","",20,1,[],[],[],1,1,[],8,"","","",13,0,198008,0,"",""
233,"lightning_projectile_trap","Lightning Trap","Throws a trap that launches a ring of projectiles through the enemy that set it off, dealing lightning damage to them and subsequent targets.","LightningProjectileTrap","Art/2DArt/SkillIcons/LightningProjectileTrap.dds",[2],"[2,7,3,57,33,16,31]",[],"","http://webcdn.pathofexile.com/public/chris/LightningTrap.jpg","","LightningTrap",1,20,1,"[3621,3622,3620,6290,6291,7791,7790]","[172,3351,24,6283,6269,12485,595]",[],1,1,[],8,"","","",12,0,199148,0,"",""
234,"vaal_lightning_projectile_trap","Vaal Lightning Trap","Throws a trap that launches a ring of projectiles through the enemy that set it off, dealing lightning damage to them and subsequent targets and leaving a trail of shocked ground.","LightningProjectileTrap","Art/2DArt/SkillIcons/LightningProjectileTrap.dds",[2],"[2,7,3,57,33,16,9,38,31]",[],"","",1,"VaalLightningTrap",1,20,1,"[3621,3620,6290,6291,7791,7790]","[172,24,6283,6269,12485,595]",[],1,1,[],8,"","","",12,0,200078,0,"",""
235,"smoke_mine","Smoke Mine","Throws a mine that will teleport you to it when detonated. It covers both your escape and arrival with a cloud of smoke that blinds enemies, and gives you a temporary buff to movement speed. Shares a cooldown with other Blink skills.","SmokeMine","Art/2DArt/SkillIcons/SmokeBomb.dds","[1,2,3]","[2,8,9,34,36,72,79,12,80,90]",[],"","http://webcdn.pathofexile.com/public/chris/SmokeBomb.jpg","","SmokeMine",1,20,1,"[4351,4519]","[215,177]",[],1,1,[],1,0,"","",0,0,201114,0,"",""
236,"proximity_shield","","","ProximityShield","",[14],"[2,8,9,32,72]",[],"","",1,"MonsterProximityShield","",20,1,[],[],[],1,1,[],8,"","","",0,0,201256,0,"",""
237,"proximity_shield_self","","","ProximityShield","",[4],"[2,8,9,32,72]",[],"","",1,"","",20,1,[],[],[],1,1,[],8,"","","",0,0,201326,0,"",""
238,"animate_armour","Animate Guardian","Animates a melee weapon or armour, attaching it to an invisible Guardian that fights by your side. Animating multiple items attaches them to the same Guardian. You cannot animate unidentified items. Cannot be used by Traps or Mines.","AnimateArmour","Art/2DArt/SkillIcons/animatearmour.dds","[5,1]","[2,6,18,15,32,77,28]",[],"","http://webcdn.pathofexile.com/public/chris/animatearmor.jpg","","AnimateArmour","",20,1,[],[],"[1,20,21,24]",1,1,[],8,"","","",0,0,202146,0,"",""
239,"dominus_blood_rain","","","DominusBloodRain","",[10],"[2,35]",[],"","",1,"DominusBloodRain","",20,1,[],[],[],1,1,[],8,"","","",5,0,202234,0,"",""
240,"thrown_weapon","Spectral Throw","Throws a spectral copy of your melee weapon. It flies out and then returns to you, in a spinning attack that damages enemies in its path.","ThrownWeaponProjectile","Art/2DArt/SkillIcons/ghostlythrow.dds","[1,2]","[1,41,3,57]","[6,7,9,10,11,12,32,14,15,16,17,57,56]","","",1,"ThrownWeapon","",20,1,"[4016,4244]","[24,175]",[],1,1,[],8,"","","",13,0,203104,0,"",""
241,"thrown_weapon_triggered","","","ThrownWeaponProjectile","Art/2DArt/SkillIcons/ghostlythrow.dds","[1,2]","[1,41,3,57,32]","[6,7,9,10,11,12,32,14,15,16,17,57,56]","","",1,"ThrownWeapon","",20,1,"[4016,4244]","[24,175]",[],1,1,[],8,"","","",13,0,203662,0,"",""
242,"vaal_thrown_weapon","Vaal Spectral Throw","Throws a spectral copy of your melee weapon. It spirals out in a spinning attack that strikes enemies in its path.","VaalThrownWeapon","Art/2DArt/SkillIcons/ghostlythrow.dds","[1,2]","[1,41,3,57,38]","[6,7,9,10,11,12,32,14,15,16,17,57,56]","","",1,"","",20,1,"[4016,4244]","[24,175]",[],1,1,[],8,"","","",13,0,204520,0,"",""
243,"dominus_grab","","","DominusGrab","",[4],[2],[],"","",1,"DominusGrab","",20,1,[],[],[],1,1,[],8,"","","",0,0,204790,0,"",""
244,"dominus_death_teleport","","","DominusDeathTeleport","",[4],[2],[],"","",1,"","",20,1,[],[],[],1,1,[],8,"","","",0,0,204890,0,"",""
245,"shrine_smoke_cloud","","","ShrineSmokeCloud","",[4],[2],[],"","",1,"ShrineSmokeCloud","",20,1,[],[],[],1,1,[],8,"","","",0,0,204974,0,"",""
246,"shrine_player_smoke_trail","","","ShrinePlayerSmokeTrail","",[12],[2],[],"","",1,"ShrinePlayerSmokeTrail","",20,1,[],[],[],1,1,[],8,"","","",0,0,205084,0,"",""
247,"animate_weapon","Animate Weapon","Animates a Melee Weapon Item or Lingering Blade to fight by your side. You cannot animate unidentified Weapons. Will not animate weapons with 6 sockets unless specifically targeted. Cannot be used by Traps or Mines.","AnimateWeapon","Art/2DArt/SkillIcons/animateweapon.dds","[5,13,1]","[32,9,6,18,2,15,77,22,70,28]",[],"","",1,"","",20,1,"[3449,3191,3851]","[3465,8838,4496]","[1,20,21,24,45,57,47]",1,1,[],8,3,"","",0,0,205868,0,"",""
248,"animate_weapon_trigger","Animate Weapon","Animates a Melee Weapon Item or Lingering Blade to fight by your side. You cannot animate unidentified Weapons. Will not animate weapons with 6 sockets unless specifically targeted. Cannot be used by Traps or Mines.","AnimateWeapon","Art/2DArt/SkillIcons/animateweapon.dds","[5,13]","[32,9,6,18,2,15,37,50,77,28]",[],"","",1,"","",20,1,"[3449,3191,3851]","[3465,8838,4496]","[1,20,21,24,45,57,47]",1,1,[],8,"","","",0,0,206088,0,"",""
249,"silence","","","Silence","",[],"[2,8,9,14,15,16,22,32,69,72,97]",[],"","",1,"","",20,1,[],[],[],1,1,[],8,"","","",0,0,206168,0,"",""
250,"trigger_spawners","","","TriggerSpawners","",[4],[32],[],"","",1,"TriggerSpawners1","",20,1,[],[],[],1,1,[],8,"","","",0,0,206282,0,"",""
251,"fire_resist_aura","Purity of Fire","Casts an aura that grants fire resistance to you and your allies.","CastAuraFireResistance","Art/2DArt/SkillIcons/aurafireresist.dds",[4],"[2,8,5,12,23,15,39,29,64,72,81,85,86,90]",[],"","",1,"FireResistAura","",20,1,"[4342,8310,11027]","[14057,14078,1941]",[],1,1,[],8,"","","",0,0,206802,0,"",""
252,"cold_resist_aura","Purity of Ice","Casts an aura that grants cold resistance to you and your allies.","CastAuraColdResistance","Art/2DArt/SkillIcons/auracoldresist.dds",[4],"[2,8,5,12,23,15,39,30,64,72,81,85,86,90]",[],"","",1,"ColdResistAura","",20,1,"[4338,8311,11028]","[14057,14078,1941]",[],1,1,[],8,"","","",0,0,207320,0,"",""
253,"lightning_resist_aura","Purity of Lightning","Casts an aura that grants lightning resistance to you and your allies.","CastAuraLightningResistance","Art/2DArt/SkillIcons/auralightningresist.dds",[4],"[2,8,5,12,23,15,39,31,64,72,81,85,86,90]",[],"","",1,"LightningResistAura","",20,1,"[4343,8312,11029]","[14057,14078,1941]",[],1,1,[],8,"","","",0,0,207900,0,"",""
254,"storm_call","Storm Call","Sets a marker at a location. After a short duration, lightning strikes the marker, dealing damage around it. When this happens, it will also set off the lightning at any other markers you've cast.","StormCall","Art/2DArt/SkillIcons/stormcall.dds","[1,22,20]","[2,7,8,9,14,15,16,32,22,31,56,70,72]",[],"","http://webcdn.pathofexile.com/public/chris/stormcall.jpg","","StormCall","",20,1,"[4041,4253,4204]","[24,215,434]",[],1,1,[],8,3,"","",12,0,208642,0,"",""
255,"storm_call_no_los","Storm Call","Sets a marker at a location. After a short duration, lightning strikes the marker, dealing damage around it. When this happens, it will also set off the lightning at any other markers you've cast.","StormCall","Art/2DArt/SkillIcons/stormcall.dds","[1,8]","[2,7,8,9,14,15,16,32,22,31,56,72]",[],"","",1,"StormCall","",20,1,"[4041,4253,4204]","[24,215,434]",[],1,1,[],8,"","","",12,0,209024,0,"",""
256,"storm_call_self","Storm Call","Sets a marker at a location. After a short duration, lightning strikes the marker, dealing damage around it. When this happens, it will also set off the lightning at any other markers you've cast.","StormCall","Art/2DArt/SkillIcons/stormcall.dds",[4],"[2,7,8,9,14,15,16,32,22,31,56,72]",[],"","http://webcdn.pathofexile.com/public/chris/stormcall.jpg",1,"StormCall","",20,1,"[4041,4253,4204]","[24,215,434]",[],1,1,[],8,"","","",12,0,209398,0,"",""
257,"storm_call_attached","Storm Call","","AttachedStormCall","Art/2DArt/SkillIcons/stormcall.dds","[2,3]","[2,7,8,9,14,15,16,32,22,31,72]",[],"","",1,"","",20,1,"[4041,4253,4204]","[24,215,434]",[],1,1,[],8,"","","",12,0,209818,0,"",""
258,"vaal_storm_call","Vaal Storm Call","Sets a marker at a location. Lightning strikes random enemies around the marker repeatedly over the skill's duration, dealing damage in an area around the strike. Modifiers to the skill's duration will also affect the delay between these strikes. When the duration ends, a large bolt of lightning strikes the marker, dealing damage around it.","VaalStormCall","Art/2DArt/SkillIcons/stormcall.dds","[1,22]","[2,7,8,9,14,15,16,38,31,72]",[],"","",1,"VaalStormCall","",20,1,"[4041,4253,4204]","[24,215,434]",[],1,1,[],8,3,"","",12,0,210940,0,"",""
259,"atziri_unique_staff_storm_call","Storm of Judgement","Creates a number of markers around the targeted location, which will explode after a duration, dealing lightning damage. Cannot be supported by Spell Cascade.","AtziriStormCall","Art/2DArt/SkillIcons/StormOfJudgement.dds",[1],"[2,7,9,8,72,32,37,50,31]",[],"","",1,"","",20,"",[],[],[],1,"",[],8,"","","",12,0,211716,0,"",""
260,"charged_blast","Flameblast","Channels to build up a large explosion. The longer you channel, the larger the area of effect and damage of the explosion. The explosion occurs after using another skill or after a short period without casting.","ChargedBlast","Art/2DArt/SkillIcons/ChargedBlast.dds","[1,2]","[2,7,8,15,29,72]",[],"","http://webcdn.pathofexile.com/public/chris/flameblastimage.jpg",1,"Flameblast","",20,1,"[4262,4050,4210]","[554,24,434]",[],1,1,[],8,"","","",12,0,212748,0,"",""
261,"flameblast","Flameblast","Channels to build up a large explosion, which is released when you stop using the skill. The longer you channel, the larger the area of effect and damage of the explosion, up to 10 stages.","FlameblastChannelled","Art/2DArt/SkillIcons/ChargedBlast.dds","[1,2]","[2,7,8,15,29,48,72]",[],"","http://webcdn.pathofexile.com/public/chris/flameblastimage.jpg","","Flameblast","",20,1,"[4262,4050,4210]","[554,24,434]",[],1,1,[],8,"","","",12,0,213520,0,"",""
262,"reserving_nova_physicalblast","Blood Sacrament","Channel this skill to reserve more and more of your life, building up power in a marker on the ground under you. Release to deal physical damage in an area based on how much life you reserved. Cannot be cast by Totems.","FlameblastChannelled","Art/2DArt/SkillIcons/BloodChannel.dds",[4],"[2,7,8,48,72,12,28,84]",[],"","",1,"","",20,1,[],[],[],1,1,[],8,"","","",12,0,214360,0,"",""
263,"repeating_vaal_charged_blast","Vaal Flameblast","Targets an area and builds up stages in that area based on cast speed. It explodes every 3 stages, until it reaches a maximum of 15. As it gains more stages, the area gets smaller but the damage gets higher.","RepeatingVaalChargedBlast","Art/2DArt/SkillIcons/ChargedBlast.dds","[1,2]","[2,7,8,15,38,29,72]",[],"","",1,"","",20,1,"[4262,4050,4210]","[554,24,434]",[],1,1,[],8,"","","",12,0,215250,0,"",""
264,"vaal_charged_blast","Vaal Flameblast","Targets an area and builds up a large explosion. The build-up speed is based on cast speed. The explosion occurs after it reaches 10 stacks.","VaalChargedBlast","Art/2DArt/SkillIcons/ChargedBlast.dds","[1,2]","[2,7,8,15,38,29,72]",[],"","",1,"","",20,1,"[4262,4050,4210]","[554,24,434]",[],1,1,[],8,"","","",12,0,215934,0,"",""
265,"vaal_charged_blast_triggerable","Vaal Flameblast","Targets an area and builds up a large explosion. The build-up speed is based on cast speed. The explosion occurs after it reaches 10 stacks.","VaalChargedBlast","Art/2DArt/SkillIcons/ChargedBlast.dds","[1,2]","[2,7,8,15,32,29,72]",[],"","",1,"","",20,1,[],[],[],1,1,[],8,"","","",12,0,216226,0,"",""
266,"atziri_unique_staff_flameblast","Flames of Judgement","Creates markers at your location and a targeted location, which grow over time based on cast speed, then explode, dealing fire damage. Cannot be supported by Spell Cascade.","VaalChargedBlast","Art/2DArt/SkillIcons/FlamesOfJudgement.dds",[1],"[2,7,9,8,72,32,37,50,29]",[],"","",1,"","",20,"",[],[],[],1,"",[],8,"","","",12,0,217000,0,"",""
267,"seawitch_lightning_beam","","","SeawitchLightningBeam","",[2],"[2,35]",[],"","",1,"SeawitchLightningBeam","",20,1,[],[],[],1,1,[],8,"","","",5,0,217300,0,"",""
268,"root_spider_ambush","","","RootSpiderAmbush","",[2],[1],[],"","",1,"RootSpiderAmbush","",20,1,[],[],[],1,1,[],8,"","","",13,0,217464,0,"",""
269,"blinding_gaze","","","BlindingGaze","",[2],[2],[],"","",1,"BlindingGaze","",20,1,[],[],[],1,1,[],8,"","","",12,0,217738,0,"",""
270,"barrage","Barrage","After a short preparation time, you attack repeatedly with a ranged weapon. These attacks have a small randomised spread. Only works with Bows and Wands.","Barrage","Art/2DArt/SkillIcons/barrage.dds","[1,2]","[1,41,58,3,57,15,14,16]","[13,8]","","http://webcdn.pathofexile.com/public/chris/barrage.jpg","","Barrage","",20,1,"[4229,4031,4269]","[70,24,173]",[],1,1,[],8,3,"","",13,0,218624,0,"",""
271,"vortex","Unnamed2",".","Vortex","Art/2DArt/SkillIcons/iconsplitarrow.dds",[1],"[2,8,9,72]",[],"","",1,"","",20,1,[],[],[],1,1,[],8,3,"","",0,0,218904,0,"",""
272,"infernal_swarm","Wildfire","Fire damages and ignites those around a targeted enemy. This effect chains and repeats on other enemy targets.","InfernalSwarm","Art/2DArt/SkillIcons/InfernalSwarm.dds","[1,2]","[2,7,14,15,16,19,22,32,35,25,8,29,72]",[],"","",1,"","",20,1,[],[],[],1,1,[],8,"","","",12,0,219350,0,"",""
273,"summon_raging_spirit","Summon Raging Spirit","Summons a short-lived flaming skull that rushes at nearby enemies and attacks them rapidly. Enemies will not directly engage these spirits, and can pass through them.","SummonElemental","Art/2DArt/SkillIcons/SummonElemental.dds","[1,2]","[2,6,9,18,14,15,16,22,32,29,70,77]",[],"","http://webcdn.pathofexile.com/public/chris/enragedspirit.jpg","","SummonRagingSpirit",1,20,1,[3613],[8838],"[1,20,21,24]",1,1,[11961],8,3,"","",0,0,220368,0,"",""
274,"summon_raging_spirit_triggered","Summon Raging Spirit","Summons a short-lived flaming skull that rushes at nearby enemies and attacks them rapidly. Enemies will not directly engage these spirits, and can pass through them.","SummonElemental","Art/2DArt/SkillIcons/SummonElemental.dds",[1],"[2,6,9,18,14,15,16,22,32,29,50,77,37]",[],"","",1,"SummonRagingSpirit",1,20,1,[3613],[8838],"[1,20,21,24]",1,1,[11961],8,"","","",0,0,220552,0,"",""
275,"monster_summon_raging_spirit","","","SummonElemental","Art/2DArt/SkillIcons/SummonElemental.dds",[1],"[2,6,9,18,14,15,16,22,32,29,77]",[],"","",1,"",1,20,1,[],[],"[1,20,21,24]",1,1,[],8,"","","",0,0,220676,0,"",""
276,"flame_whip","Flame Surge","Strikes enemies in front of you with a surge of flame. Burning enemies are dealt more damage.","FlameWhip","Art/2DArt/SkillIcons/flamewhip.dds","[1,2]","[2,7,14,15,16,22,32,8,29,70,72]",[],"","",1,"FlameWhip","",20,1,"[4263,4034,4288]","[554,24,3715]",[],1,1,[],8,3,"","",12,0,221158,0,"",""
277,"sea_witch_screech","","","SeawitchScreech","",[4],"[2,32]",[],"","",1,"SeaWitchScreech","",20,1,[],[],[],1,1,[],8,"","","",12,0,221468,0,"",""
278,"bat_screech_nova","","","SeawitchScreech","",[4],[2],[],"","",1,"BossBatScreechNova","",20,1,[],[],[],1,1,[],8,"","","",12,0,221744,0,"",""
