"rownum","Id","DaggerEPKFile","BowEPKFile","OneHandedMaceEPKFile","OneHandedSwordEPKFile","string","TwoHandedSwordEPKFile","TwoHandedStaffEPKFile","i32","TwoHandedMaceEPKFile","OneHandedAxeEPKFile","TwoHandedAxeEPKFile","ClawEPKFile","PETFile","string"
41,"Weapon_Chimera","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Atlas/Chimera/epk/dagger_wand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Atlas/Chimera/epk/bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Atlas/Chimera/epk/1h_axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Atlas/Chimera/epk/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Atlas/Chimera/epk/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Atlas/Chimera/epk/2h_staff.epk",30810,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Atlas/Chimera/epk/2h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Atlas/Chimera/epk/1h_axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Atlas/Chimera/epk/2h_axe.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Atlas/Chimera/epk/claw.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Atlas/Chimera/epk/shield.epk"
42,"Weapon_Phoenix","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Atlas/Phoenix/epk/dagger_wand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Atlas/Phoenix/epk/bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Atlas/Phoenix/epk/1h_axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Atlas/Phoenix/epk/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Atlas/Phoenix/epk/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Atlas/Phoenix/epk/2h_staff.epk",21077,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Atlas/Phoenix/epk/2h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Atlas/Phoenix/epk/1h_axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Atlas/Phoenix/epk/2h_axe.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Atlas/Phoenix/epk/claw.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Atlas/Phoenix/epk/shield.epk"
43,"Weapon_Carnage","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/carnage/claw_dagger_wand/claw_dagger_wand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/carnage/bow/bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/carnage/1h_mace_axe/1h_axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/carnage/1h_sword/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/carnage/2h_sword/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/carnage/2h_staves/2h_staff.epk",8239,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/carnage/2h_mace/2h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/carnage/1h_mace_axe/1h_axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/carnage/2h_axe/2h_axe.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/carnage/claw_dagger_wand/claw_dagger_wand.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/carnage/shield.epk"
44,"Weapon_Breach","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Breach/dagger_wand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Breach/bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Breach/1h_axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Breach/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Breach/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Breach/2h_staff.epk",40877,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Breach/2h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Breach/1h_axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Breach/2h_axe.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Breach/claw.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Breach/shield.epk"
45,"Weapon_Celestial","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/celestial/celestial_weapon_wand_claw.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/celestial/celestial_weapon_bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/celestial/celestial_weapon_big.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/celestial/celestial_weapon_big.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/celestial/celestial_weapon_big.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/celestial/celestial_weapon_big.epk",5279,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/celestial/celestial_weapon_big.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/celestial/celestial_weapon_big.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/celestial/celestial_weapon_big.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/celestial/celestial_weapon_wand_claw.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/celestial/shield.epk"
46,"Weapon_ClassicLightning","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/purple/lightning/claw_dagger_wand/claw_dagger_wand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/purple/lightning/bow/bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/purple/lightning/1h_mace/1h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/purple/lightning/1h_sword/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/purple/lightning/2h_sword/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/purple/lightning/2h_staff/2h_staff.epk",12910,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/purple/lightning/2h_mace/2h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/purple/lightning/1h_axe/1h_axe.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/purple/lightning/2h_axe/2h_axe.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/purple/lightning/claw_dagger_wand/claw_dagger_wand.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/purple/lightning/shield.epk"
47,"Weapon_Classic","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Classic/dagger_wand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Classic/bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Classic/1h_axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Classic/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Classic/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Classic/2h_staff.epk",62694,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Classic/2h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Classic/1h_axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Classic/2h_axe.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Classic/claw.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Classic/shield.epk"
48,"Weapon_Legacy","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/classic/claw_dagger_wand/dagger_wand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/classic/bow/bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/classic/1h_mace/mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/classic/1h_sword/sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/classic/2h_sword/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/classic/2h_staff/2h_staff.epk",4874,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/classic/2h_mace/2h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/classic/1h_axe/axe.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/classic/2h_axe/2h_axe.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/classic/claw_dagger_wand/claw.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/classic/shield.epk"
49,"Weapon_Oriath","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/oriath/claw_dagger_wand/wand_dagger.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/oriath/bow/bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/oriath/1h_mace/mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/oriath/1h_sword/sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/oriath/2h_sword/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/oriath/2h_staff/staff.epk",11376,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/oriath/2h_mace/2h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/oriath/1h_axe/axe.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/oriath/2h_axe/2h_axe.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/oriath/claw_dagger_wand/claw.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/oriath/shield.epk"
50,"Weapon_Lioneye","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/lioneye/claw_dagger_wand/dagger_wand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/lioneye/bow/bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/lioneye/1h_mace/mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/lioneye/1h_sword/sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/lioneye/2h_sword/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/lioneye/2h_staff/staff.epk",13852,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/lioneye/2h_mace/2H_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/lioneye/1h_axe/axe.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/lioneye/2h_axe/2H_axe.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/lioneye/claw_dagger_wand/claw.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/lioneye/shield.epk"
51,"Weapon_Legion","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/legion/claw_dagger_wand/dagger_wand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/legion/bow/bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/legion/1h_mace/mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/legion/1h_sword/sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/legion/2h_sword/2H_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/legion/2h_staff/staff.epk",17759,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/legion/2h_mace/2H_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/legion/1h_axe/axe.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/legion/2h_axe/2H_axe.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/legion/claw_dagger_wand/claw.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/legion/shield.epk"
52,"Weapon_Eclipse","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/FallofOriath/dagger_wand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/FallofOriath/bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/FallofOriath/1h_axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/FallofOriath/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/FallofOriath/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/FallofOriath/2h_staff.epk",62077,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/FallofOriath/2h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/FallofOriath/1h_axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/FallofOriath/2h_axe.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/FallofOriath/claw.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/FallofOriath/shield.epk"
53,"Weapon_Beast","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/beast/claw_dagger_wand/claw_dagger_wand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/beast/bow/bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/beast/1h_mace/mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/beast/1h_sword/sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/beast/2h_sword/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/beast/2h_staff/2h_staff.epk",10571,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/beast/2h_mace/2h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/beast/1h_axe/axe.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/beast/2h_axe/2h_axe.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/beast/claw_dagger_wand/claw_dagger_wand.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/beast/shield.epk"
54,"Weapon_Kitava","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/kitava/claw_dagger_wand/dagger_wand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/kitava/bow/bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/kitava/1h_mace/mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/kitava/1h_sword/sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/kitava/2h_sword/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/kitava/2h_staff/staff.epk",44081,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/kitava/2h_mace/2h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/kitava/1h_axe/axe.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/kitava/2h_axe/2h_axe.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/kitava/claw_dagger_wand/claw.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/kitava/shield.epk"
55,"Weapon_Twitch","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/twitch/dagger_wand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/twitch/2h_bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/twitch/1h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/twitch/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/twitch/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/twitch/2h_staff.epk",45316,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/twitch/2h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/twitch/1h_axe.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/twitch/2h_axe.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/twitch/claw.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/twitch/shield.epk"
56,"Weapon_PureLight","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/purelight/dagger_wand_claw.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/purelight/bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/purelight/1h_axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/purelight/1h2h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/purelight/1h2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/purelight/staff.epk",64734,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/purelight/2h_axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/purelight/1h_axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/purelight/2h_axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/purelight/dagger_wand_claw.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/purelight/shield.epk"
57,"Weapon_UltimateChaos","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/UltimateChaos/claw_dagger_wand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/UltimateChaos/bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/UltimateChaos/mace_axe.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/UltimateChaos/sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/UltimateChaos/sword_2H.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/UltimateChaos/staff.epk",27970,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/UltimateChaos/mace_axe_2H.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/UltimateChaos/mace_axe.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/UltimateChaos/mace_axe_2H.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/UltimateChaos/claw_dagger_wand.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/UltimateChaos/shield.epk"
58,"Weapon_Dusk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/dusk/dusk_weapon_wand_claw.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/dusk/dusk_weapon_bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/dusk/dusk_weapon_big.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/dusk/dusk_weapon_big.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/dusk/dusk_weapon_big.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/dusk/dusk_weapon_big.epk",50259,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/dusk/dusk_weapon_big.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/dusk/dusk_weapon_big.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/dusk/dusk_weapon_big.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/dusk/dusk_weapon_wand_claw.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/dusk/shield.epk"
59,"Weapon_Harbinger","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/harbinger/dagger_wand_claw.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/harbinger/bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/harbinger/1h_mace_axe.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/harbinger/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/harbinger/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/harbinger/staff.epk",43890,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/harbinger/2h_mace_axe.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/harbinger/1h_mace_axe.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/harbinger/2h_mace_axe.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/harbinger/dagger_wand_claw.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/harbinger/shield.epk"
60,"Weapon_Fire","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/fireice_fire/wand_dagger.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/fireice_fire/bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/fireice_fire/axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/fireice_fire/sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/fireice_fire/sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/fireice_fire/staff.epk",38379,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/fireice_fire/axe_mace_2H.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/fireice_fire/axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/fireice_fire/axe_mace_2H.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/fireice_fire/claw.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/fireice_fire/shield.epk"
61,"Weapon_Ice","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/fireice_ice/dagger_wand_claw.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/fireice_ice/bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/fireice_ice/axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/fireice_ice/sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/fireice_ice/sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/fireice_ice/staff.epk",261,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/fireice_ice/axe_mace_2h.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/fireice_ice/axe_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/fireice_ice/axe_mace_2h.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/fireice_ice/dagger_wand_claw.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/fireice_ice/shield.epk"
62,"Weapon_Vagabond","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Atlas_2/01_Vagabond/epk/dagger.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Atlas_2/01_Vagabond/epk/bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Atlas_2/01_Vagabond/epk/1h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Atlas_2/01_Vagabond/epk/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Atlas_2/01_Vagabond/epk/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Atlas_2/01_Vagabond/epk/staff.epk",42156,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Atlas_2/01_Vagabond/epk/2h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Atlas_2/01_Vagabond/epk/1h_axe.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Atlas_2/01_Vagabond/epk/2h_axe.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Atlas_2/01_Vagabond/epk/claw.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Atlas_2/01_Vagabond/epk/shield.epk"
63,"Weapon_Seeker","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Atlas_2/02_Seeker/epk/dagger_wand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Atlas_2/02_Seeker/epk/bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Atlas_2/02_Seeker/epk/1h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Atlas_2/02_Seeker/epk/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Atlas_2/02_Seeker/epk/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Atlas_2/02_Seeker/epk/staff.epk",55943,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Atlas_2/02_Seeker/epk/2h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Atlas_2/02_Seeker/epk/1h_axe.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Atlas_2/02_Seeker/epk/2h_axe.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Atlas_2/02_Seeker/epk/claw.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Atlas_2/02_Seeker/epk/shield.epk"
