"rownum","BaseItemTypesKey","Stacks","CurrencyUseType","Action","Directions","FullStack_BaseItemTypesKey","Description","Usage_AchievementItemsKeys","bool","CosmeticTypeName","Possession_AchievementItemsKey","[rid]","[i32]","CurrencyTab_StackSize","XBoxDirections","i32","rid","rid","AchievementItemsKeys","[rid]","[string]"
1302,965,1,1,"grant_micro","","","Changes the appearance of any equipped body armour to the Pitch Black body armour.",[],"","Body Armour Skin","",[],[],0,"",0,"",1,[],[],[]
1303,966,1,1,"grant_micro","","","Changes the appearance of any equipped headdress to a Pitch Black Bandana.",[],"","Helmet Skin","",[],[],0,"",0,"",1,[],[],[]
1304,967,1,2,"apply_cosmetic","","","Adds the Pitch Black Bandana Attachment to your headdress.",[],"","Helmet Attachment","",[],[],0,"",0,"",1,[],[],[]
1305,968,1,1,"grant_micro","","","Adds the Grading Frame 1 Portrait Frame to this character.",[],"","Portrait Frame Modification","",[],[],0,"",0,"","",[],[],[]
1306,969,1,1,"grant_micro","","","Adds the Grading Frame 2 Portrait Frame to this character.",[],"","Portrait Frame Modification","",[],[],0,"",0,"","",[],[],[]
1307,970,1,1,"grant_micro","","","Adds the Grading Frame 3 Portrait Frame to this character.",[],"","Portrait Frame Modification","",[],[],0,"",0,"","",[],[],[]
1308,971,1,1,"grant_micro","","","Adds the Grading Frame 4 Portrait Frame to this character.",[],"","Portrait Frame Modification","",[],[],0,"",0,"","",[],[],[]
1309,972,1,1,"grant_micro","","","Adds the Grading Frame 5 Portrait Frame to this character.",[],"","Portrait Frame Modification","",[],[],0,"",0,"","",[],[],[]
1310,973,1,1,"grant_micro","","","Adds the Grading Frame 6 Portrait Frame to this character.",[],"","Portrait Frame Modification","",[],[],0,"",0,"","",[],[],[]
1311,974,1,1,"grant_micro","","","Adds the Grading Frame 7 Portrait Frame to this character.",[],"","Portrait Frame Modification","",[],[],0,"",0,"","",[],[],[]
1312,975,1,1,"grant_micro","","","Your Scorching Ray becomes a Radiant effect.",[],"","Scorching Ray Skin","",[],[],0,"",0,"",1,[],[],[]
1313,976,20,1,"grant_micro","","","Adds a pair of Holy Eyes to any equipped headdress.",[],"","Helmet Attachment","",[],[],0,"",0,"",2,[],[],[]
1314,977,1,1,"grant_micro","","","Attaches the Pure Light Character Effect to your belt.",[],"","Belt Attachment","",[],[],0,"",0,"",2,[],[],[]
1315,978,1,1,"grant_micro","","","Adds the Pure Light Weapon Effect to any equipped weapon.",[],"","Weapon Effect","",[],[],0,"",0,"",2,[],[],[]
1316,979,1,1,"grant_micro","","","Adds pure light footprints to any equipped pair of boots.",[],"","Boots Modifier","",[],[],0,"",0,"",2,[],[],[]
1317,980,1,1,"grant_micro","","","Attaches the Ultimate Chaos Character Effect to your belt.",[],"","Belt Attachment","",[],[],0,"",0,"",2,[],[],[]
1318,981,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Ultimate Chaos Helmet.",[],"","Helmet Skin","",[],[],0,"",0,"",2,[],[],[]
1319,982,1,1,"grant_micro","","","Changes the appearance of any equipped boots to the Ultimate Chaos Boots.",[],"","Boots Skin","",[],[],0,"",0,"",2,[],[],[]
1320,983,1,1,"grant_micro","","","Changes the appearance of any equipped gloves to the Ultimate Chaos Gloves.",[],"","Gloves Skin","",[],[],0,"",0,"",2,[],[],[]
1321,984,1,1,"grant_micro","","","Changes the appearance of any equipped body armour to the Ultimate Chaos Body Armour.",[],"","Body Armour Skin","",[],[],0,"",0,"",2,[],[],[]
1322,985,1,1,"grant_micro","","","Adds the Ultimate Chaos Cloak Back Attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"",2,[],[],[]
1323,986,1,1,"grant_micro","","","Adds the Ultimate Chaos Wings Back Attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"",2,[],[],[]
1324,987,1,1,"grant_micro","","","Adds a pair of Lightning Eyes to any equipped headdress.",[],"","Helmet Attachment","",[],[],0,"",0,"",0,[],[],[]
1325,988,1,1,"grant_micro","","","Your Bladefall gains a demonic effect.",[],"","Bladefall Skin","",[],[],0,"",0,"",0,[],[],[]
1326,989,1,1,"grant_micro","","","Changes the appearance of any equipped headdress to the Harbinger Brimmed Hat.",[],"","Helmet Skin","",[],[],0,"",0,"","",[],[],[]
1327,990,1,1,"grant_micro","","","Adds the Ultimate Chaos Weapon Effect to any equipped weapon.",[],"","Weapon Effect","",[],[],0,"",0,"",2,[],[],[]
1328,991,1,1,"grant_micro","","","Adds Ultimate Chaos Footprints to any equipped pair of boots.",[],"","Boots Modifier","",[],[],0,"",0,"",2,[],[],[]
1329,992,1,1,"grant_micro","","","Changes the appearance of any equipped gloves to the Fiery Hands.",[],"","Gloves Skin","",[],[],0,"",0,"","",[],[],[]
1330,993,1,1,"grant_micro","","","Adds a pair of Harbinger Eyes to any equipped headdress.",[],"","Helmet Attachment","",[],[],0,"",0,"",2,[],[],[]
1331,994,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Harbinger Crown.",[],"","Helmet Skin","",[],[],0,"",0,"",2,[],[],[]
1332,995,1,1,"grant_micro","","","Adds the Harbinger Crown to your headdress.",[],"","Helmet Attachment","",[],[],0,"",0,"",2,[],[],[]
1333,996,1,1,"grant_micro","","","Attaches the Harbinger Character Effect to your belt.",[],"","Belt Attachment","",[],[],0,"",0,"",2,[],[],[]
1334,997,1,1,"grant_micro","","","Changes the appearance of any equipped Two Hand Mace, Axe or Sword to the Ultimate Chaos Sword.",[],"","Weapon Skin","",[],[],0,"",0,"",2,[],[],[]
1335,998,1,1,"grant_micro","","","Adds the Celestial Hooded Cloak Back Attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"",0,[],[],[]
1336,999,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Pure Light Helmet.",[],"","Helmet Skin","",[],[],0,"",0,"",2,[],[],[]
1337,1000,1,1,"grant_micro","","","Changes the appearance of any equipped boots to the Pure Light Boots.",[],"","Boots Skin","",[],[],0,"",0,"",2,[],[],[]
1338,1001,1,1,"grant_micro","","","Changes the appearance of any equipped gloves to the Pure Light Gloves.",[],"","Gloves Skin","",[],[],0,"",0,"",2,[],[],[]
1339,1002,1,1,"grant_micro","","","Changes the appearance of any equipped body armour to the Pure Light Body Armour.",[],"","Body Armour Skin","",[],[],0,"",0,"",2,[],[],[]
1340,1003,1,1,"grant_micro","","","Adds the Pure Light Cloak Back Attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"",2,[],[],[]
1341,1004,1,1,"modify_portal_variation","","","This character's portals use the Ultimate Chaos Portal Effect.",[],"","Portal Modification","",[],[],0,"",0,"",2,[],[],[]
1342,1005,1,1,"modify_portal_variation","","","This character's portals use the Pure Light Portal Effect.",[],"","Portal Modification","",[],[],0,"",0,"",2,[],[],[]
1343,1006,1,1,"grant_micro","","","Adds a pair of Glowing Red Eyes to any equipped headdress.",[],"","Helmet Attachment","",[],[],0,"",0,"",2,[],[],[]
1344,1007,20,1,"grant_micro","","","Your Herald of Ash, Thunder or Ice becomes a gory effect.",[],"","Herald Skin","",[],[],0,"",0,"",2,[],[],[]
1345,1008,1,1,"grant_micro","","","Your Blink or Mirror Arrow becomes infused with a divine glow.",[],"","Blink and Mirror Arrow Skin","",[],[],0,"",0,"",2,[],[],[]
1346,1009,1,1,"grant_micro","","","Your Cyclone gains a dark effect.",[],"","Cyclone Skin","",[],[],0,"",0,"",2,[],[],[]
1347,1010,1,1,"grant_micro","","","Adds the Dusk Weapon Effect to any equipped weapon.",[],"","Weapon Effect","",[],[],0,"",0,"",1,[],[],[]
1348,1011,1,1,"grant_micro","","","Changes the appearance of any equipped shield to the Stormcaller shield.",[],"","Shield Skin","",[],[],0,"",0,"",0,[],[],[]
1349,1012,1,1,"grant_micro","","","Adds the Pure Light Wings Back Attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"",2,[],[],[]
1350,1013,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Harbinger Helmet.",[],"","Helmet Skin","",[],[],0,"",0,"",2,[],[],[]
1351,1014,1,1,"grant_micro","","","Changes the appearance of any equipped boots to the Harbinger Boots.",[],"","Boots Skin","",[],[],0,"",0,"",2,[],[],[]
1352,1015,1,1,"grant_micro","","","Changes the appearance of any equipped gloves to the Harbinger Gloves.",[],"","Gloves Skin","",[],[],0,"",0,"",2,[],[],[]
1353,1016,1,1,"grant_micro","","","Changes the appearance of any equipped body armour to the Harbinger Body Armour.",[],"","Body Armour Skin","",[],[],0,"",0,"",2,[],[],[]
1354,1017,1,1,"grant_micro","","","Adds the Harbinger Cloak Back Attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"",2,[],[],[]
1355,1018,1,1,"grant_micro","","","Changes the appearance of any equipped shield to Arctic shield.",[],"","Shield Skin","",[],[],0,"",0,"","",[],[],[]
1356,1020,1,1,"grant_micro","","","Attaches the Bone Aura Character Effect to your belt.",[],"","Belt Attachment","",[],[],0,"",0,"",2,[],[],[]
1357,1019,1,1,"grant_micro","","","Adds the Harbinger Weapon Effect to any equipped weapon.",[],"","Weapon Effect","",[],[],0,"",0,"",2,[],[],[]
1358,1021,1,1,"grant_micro","","","Attaches the Harbinger Character Effect to your belt.",[],"","Belt Attachment","",[],[],0,"",0,"",2,[],[],[]
1359,1022,1,1,"grant_micro","","","Adds the Portent Portrait Frame to this character.",[],"","Portrait Frame Modification","",[],[],0,"",0,"",2,[],[],[]
1360,1023,1,1,"grant_micro","","","Adds the Harbinger Portrait Frame to this character.",[],"","Portrait Frame Modification","",[],[],0,"",0,"",2,[],[],[]
1361,1024,1,2,"apply_cosmetic","","","Adds the Blackguard Cloak Back Attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"",0,[],[],[]
1362,1025,1,2,"apply_cosmetic","","","Adds the Jaeger Cloak Back Attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"",0,[],[],[]
1363,1026,1,2,"apply_cosmetic","","","Adds the Templar Cloak Back Attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"",0,[],[],[]
1364,1027,1,2,"apply_cosmetic","","","Bleeding Eyes replace or attach to any equipped helmet or headdress.",[],"","Helmet Skin","",[],[],0,"",0,"","",[],[],[]
1365,1028,1,2,"apply_cosmetic","","","Changes the appearance of any equipped helmet to the Steam-powered Skull.",[],"","Helmet Skin","",[],[],0,"",0,"","",[],[],[]
1366,1029,1,2,"apply_cosmetic","","","Changes the appearance of any equipped helmet to the Thorned Skull.",[],"","Helmet Skin","",[],[],0,"",0,"","",[],[],[]
1367,1030,1,2,"apply_cosmetic","","","Changes the appearance of any equipped helmet to the Rose Skull.",[],"","Helmet Skin","",[],[],0,"",0,"","",[],[],[]
1368,1031,1,2,"apply_cosmetic","","","Changes the appearance of any equipped helmet to the Snake Skull.",[],"","Helmet Skin","",[],[],0,"",0,"","",[],[],[]
1369,1032,1,2,"apply_cosmetic","","","Adds the Reptilian Wings Back Attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"",0,[],[],[]
1370,1033,1,2,"apply_cosmetic","","","Changes the appearance of any equipped helmet to the Executioner Hood.",[],"","Helmet Skin","",[],[],0,"",0,"",1,[],[],[]
1371,1034,1,2,"apply_cosmetic","","","Changes the appearance of any equipped boots to the Executioner Boots.",[],"","Boots Skin","",[],[],0,"",0,"",1,[],[],[]
1372,1035,1,2,"apply_cosmetic","","","Changes the appearance of any equipped gloves to the Executioner Gloves.",[],"","Gloves Skin","",[],[],0,"",0,"",1,[],[],[]
1373,1036,1,2,"apply_cosmetic","","","Changes the appearance of any equipped body armour to the Executioner Body.",[],"","Body Armour Skin","",[],[],0,"",0,"",1,[],[],[]
1374,1037,1,2,"apply_cosmetic","","","Attaches the Gore Character Effect to your belt.",[],"","Belt Attachment","",[],[],0,"",0,"","",[],[],[]
1375,1038,1,2,"apply_cosmetic","","","An Eye Patch replaces or attaches to any equipped helmet or headdress.",[],"","Helmet Skin","",[],[],0,"",0,"","",[],[],[]
1376,1039,1,2,"apply_cosmetic","","","Changes the appearance of any equipped helmet to the Black Pirate Bandana.",[],"","Helmet Skin","",[],[],0,"",0,"","",[],[],[]
1377,1040,1,2,"apply_cosmetic","","","Changes the appearance of any equipped helmet to the Red Pirate Bandana.",[],"","Helmet Skin","",[],[],0,"",0,"",0,[],[],[]
1378,1041,1,2,"apply_cosmetic","","","Changes the appearance of any equipped helmet to the Black Headband.",[],"","Helmet Skin","",[],[],0,"",0,"","",[],[],[]
1379,1042,1,2,"apply_cosmetic","","","Changes the appearance of any equipped helmet to the Red Headband.",[],"","Helmet Skin","",[],[],0,"",0,"",0,[],[],[]
1380,1043,1,1,"modify_portal_variation","","","This character's portals use the Arcane Voidgate Portal Effect .",[],"","Portal Modification","",[],[],0,"",0,"","",[],[],[]
1381,1044,1,2,"apply_cosmetic","","","Adds the Stormcaller Back Attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"","",[],[],[]
1382,1045,1,2,"apply_cosmetic","","","Adds the Spider Web Cloak Back Attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"",2,[],[],[]
1383,1046,1,2,"apply_cosmetic","","","Adds a pair of Devil Horns to any equipped headdress.",[],"","Helmet Skin","",[],[],0,"",0,"",2,[],[],[]
1384,1047,1,1,"grant_micro","","","Your Immortal Call gains a dark effect.",[],"","Immortal Call Skin","",[],[],0,"",0,"",0,[],[],[]
1385,1048,1,1,"grant_micro","","","Your Flame Dash gains a draconic effect.",[],"","Flame Dash Skin","",[],[],0,"",0,"",2,[],[],[]
1386,1049,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Polar Helmet.",[],"","Helmet Skin","",[],[],0,"",0,"",1,[],[],[]
1387,1050,1,1,"grant_micro","","","Changes the appearance of any equipped boots to the Polar Boots.",[],"","Boots Skin","",[],[],0,"",0,"",1,[],[],[]
1388,1051,1,1,"grant_micro","","","Changes the appearance of any equipped gloves to the Polar Gloves.",[],"","Gloves Skin","",[],[],0,"",0,"",1,[],[],[]
1389,1052,1,1,"grant_micro","","","Changes the appearance of any equipped body armour to the Polar Body Armour.",[],"","Body Armour Skin","",[],[],0,"",0,"",1,[],[],[]
1390,1053,1,1,"grant_micro","","","Adds the Polar Cloak Back Attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"",0,[],[],[]
1391,1054,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Abyssal Lich Helmet.",[],"","Helmet Skin","",[],[],0,"",0,"",2,[],[],[]
1392,1055,1,1,"grant_micro","","","Changes the appearance of any equipped boots to the Abyssal Lich Boots.",[],"","Boots Skin","",[],[],0,"",0,"",2,[],[],[]
1393,1056,1,1,"grant_micro","","","Changes the appearance of any equipped gloves to the Abyssal Lich Gloves.",[],"","Gloves Skin","",[],[],0,"",0,"",2,[],[],[]
1394,1057,1,1,"grant_micro","","","Changes the appearance of any equipped body armour to the Abyssal Lich Body Armour.",[],"","Body Armour Skin","",[],[],0,"",0,"",2,[],[],[]
1395,1058,1,1,"grant_micro","","","Adds the Abyssal Lich Cloak Back Attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"",2,[],[],[]
1396,1059,1,1,"grant_micro","","","Changes the appearance of any equipped Two Hand Sword to the Lich Sword.",[],"","Weapon Skin","",[],[],0,"",0,"",2,[],[],[]
1397,1060,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Green Lich Helmet.",[],"","Helmet Skin","",[],[],0,"",0,"",2,[],[],[]
1398,1061,1,1,"grant_micro","","","Changes the appearance of any equipped boots to the Green Lich Boots.",[],"","Boots Skin","",[],[],0,"",0,"","",[],[],[]
1399,1062,1,1,"grant_micro","","","Changes the appearance of any equipped gloves to the Green Lich Gloves.",[],"","Gloves Skin","",[],[],0,"",0,"","",[],[],[]
1400,1063,1,1,"grant_micro","","","Changes the appearance of any equipped body armour to the Green Lich Body Armour.",[],"","Body Armour Skin","",[],[],0,"",0,"","",[],[],[]
1401,1064,1,1,"grant_micro","","","Adds the Green Lich Cloak Back Attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"","",[],[],[]
1402,1065,1,1,"grant_micro","","","Changes the appearance of any equipped Two Hand Sword to the Green Lich Sword.",[],"","Weapon Skin","",[],[],0,"",0,"","",[],[],[]
1403,1066,1,1,"grant_micro","","","Adds the Fire and Ice Wings Back Attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"",2,[],[],[]
1404,1067,1,1,"grant_micro","","","Adds the Fire Wings Back Attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"",2,[],[],[]
1405,1068,1,1,"grant_micro","","","Adds the Ice Wings Back Attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"",2,[],[],[]
1406,1069,1,1,"grant_micro","","","Adds the Abyss Wings Back Attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"",2,[],[],[]
1407,1070,1,1,"grant_micro","","","Adds the Bone Wings Back Attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"","",[],[],[]
1408,1071,1,1,"grant_micro","","","Adds the Arcane Wings Back Attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"",2,[],[],[]
1409,1072,1,1,"grant_micro","","","Your Summoned Skeletons become animated mannequins.",[],"","Summon Skeletons Skin","",[],[],0,"",0,"","",[],[],[]
1410,1073,1,1,"grant_micro","","","Your Ethereal Knives becomes a volley of ebony knives.",[],"","Ethereal Knives Skin","",[],[],0,"",0,"",1,[],[],[]
1411,1074,1,1,"grant_micro","","","Your Summoned Ice Golem becomes imbued with arctic energy.",[],"","Summon Ice Golem Skin","",[],[],0,"",0,"",2,[],[],[]
1412,1075,1,1,"grant_micro","","","Your Rolling Magma becomes a blue harbinger effect.",[],"","Rolling Magma Skin","",[],[],0,"",0,"","",[],[],[]
1413,1076,1,1,"grant_micro","","","Your Flameblast becomes a blue harbinger effect.",[],"","Flameblast Skin","",[],[],0,"",0,"","",[],[],[]
1414,1077,1,1,"grant_micro","","","Your Storm Call becomes a blue harbinger effect.",[],"","Storm Call Skin","",[],[],0,"",0,"","",[],[],[]
1415,1078,1,1,"grant_micro","","","Your Flame Dash becomes a blue harbinger effect.",[],"","Flame Dash Skin","",[],[],0,"",0,"","",[],[],[]
1416,1079,1,1,"grant_micro","","","Your Convocation becomes a blue harbinger effect.",[],"","Convocation Skin","",[],[],0,"",0,"","",[],[],[]
1417,1080,1,1,"grant_micro","","","Your Righteous Fire becomes a blue harbinger effect.",[],"","Righteous Fire Skin","",[],[],0,"",0,"","",[],[],[]
1418,1081,1,1,"grant_micro","","","Attaches the Seraph Character Effect to your belt.",[],"","Belt Attachment","",[],[],0,"",0,"",1,[],[],[]
1419,1082,1,1,"grant_micro","","","Changes the appearance of any equipped shield to the Dragon Shield.",[],"","Shield Skin","",[],[],0,"",0,"",1,[],[],[]
1420,1083,1,1,"grant_micro","","","Changes the appearance of any equipped shield to the Magma Shield.",[],"","Shield Skin","",[],[],0,"",0,"",0,[],[],[]
1421,1084,1,1,"grant_micro","","","Your Raised Spectres gain a demonic effect.",[],"","Raise Spectre Skin","",[],[],0,"",0,"","",[],[],[]
1422,1085,1,1,"grant_micro","","","Abyss Eyes replace or attach to any equipped helmet or headdress.",[],"","Helmet Skin","",[],[],0,"",0,"",0,[],[],[]
1423,1086,1,1,"grant_micro","","","Your Summoned Elemental, Chaos or Stone Golem becomes a clockwork creation.",[],"","Summon Golem Skin","",[],[],0,"",0,"","",[],[],[]
1424,1087,1,1,"grant_micro","","","Your Orb of Storms becomes a celestial effect.",[],"","Orb of Storms Skin","",[],[],0,"",0,"",1,[],[],[]
1425,1088,1,1,"grant_micro","","","Your Ball Lightning becomes a divine effect.",[],"","Ball Lightning Skin","",[],[],0,"",0,"","",[],[],[]
1426,1089,1,1,"grant_micro","","","Your Storm Call becomes a divine effect.",[],"","Storm Call Skin","",[],[],0,"",0,"","",[],[],[]
1427,1090,1,1,"grant_micro","","","Your Earthquake becomes a crystal effect.",[],"","Crystal Earthquake","",[],[],0,"",0,"","",[],[],[]
1428,1091,1,1,"grant_micro","","","Your Glacial Cacade becomes an arctic effect.",[],"","Arctic Glacial Cascade","",[],[],0,"",0,"","",[],[],[]
1429,1092,1,1,"grant_micro","","","Your Leap Slam becomes a demonic effect.",[],"","Cultist Leap Slam Skin","",[],[],0,"",0,"","",[],[],[]
1430,1093,1,1,"grant_micro","","","Your Blink or Mirror Arrow becomes infused with a spiritual glow.",[],"","Blink and Mirror Arrow Skin","",[],[],0,"",0,"","",[],[],[]
1431,1094,1,1,"grant_micro","","","Your Flicker Strike becomes a bloody mist.",[],"","Flicker Strike Skin","",[],[],0,"",0,"","",[],[],[]
1432,1095,1,1,"grant_micro","","","Your Shield Charge becomes a demonic effect.",[],"","Shield Charge Skin","",[],[],0,"",0,"","",[],[],[]
1433,1096,1,1,"grant_micro","","","Your Storm Call becomes a demonic effect.",[],"","Storm Call Skin","",[],[],0,"",0,"","",[],[],[]
1434,1097,1,1,"grant_micro","","","Your Spectral Throw becomes a demonic effect.",[],"","Spectral Throw Skin","",[],[],0,"",0,"","",[],[],[]
1435,1098,1,1,"grant_micro","","","Your Spectral Throw becomes a triple blade effect.",[],"","Spectral Throw Skin","",[],[],0,"",0,"",1,[],[],[]
1436,1099,1,1,"grant_micro","","","Adds Fire Footprints to any equipped pair of boots.",[],"","Boots Modifier","",[],[],0,"",0,"",2,[],[],[]
1437,1100,1,1,"grant_micro","","","Adds Ice Footprints to any equipped pair of boots.",[],"","Boots Modifier","",[],[],0,"",0,"",2,[],[],[]
1438,1101,1,1,"grant_micro","","","Your Righteous Fire becomes a celestial effect.",[],"","Righteous Fire Skin","",[],[],0,"",0,"",1,[],[],[]
1439,1102,1,1,"grant_micro","","","Adds the Fire Weapon Effect to any equipped weapon.",[],"","Weapon Effect","",[],[],0,"",0,"",2,[],[],[]
1440,1103,1,1,"grant_micro","","","Adds the Ice Weapon Effect to any equipped weapon.",[],"","Weapon Effect","",[],[],0,"",0,"",2,[],[],[]
1441,1104,1,1,"grant_micro","","","Your Summoned Flame Golem becomes imbued with infernal energy.",[],"","Summon Flame Golem Skin","",[],[],0,"",0,"",2,[],[],[]
1442,1105,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Warlock Helmet.",[],"","Helmet Skin","",[],[],0,"",0,"",1,[],[],[]
1443,1106,1,1,"grant_micro","","","Changes the appearance of any equipped boots to the Warlock Boots.",[],"","Boots Skin","",[],[],0,"",0,"",1,[],[],[]
1444,1107,1,1,"grant_micro","","","Changes the appearance of any equipped gloves to the Warlock Gloves.",[],"","Gloves Skin","",[],[],0,"",0,"",1,[],[],[]
1445,1108,1,1,"grant_micro","","","Changes the appearance of any equipped body armour to the Warlock Body Armour.",[],"","Body Armour Skin","",[],[],0,"",0,"",1,[],[],[]
1446,1109,1,1,"grant_micro","","","Changes the appearance of any equipped Dagger, Wand or Claw to the Warlock Dagger.",[],"","Weapon Skin","",[],[],0,"",0,"",1,[],[],[]
1447,1110,1,1,"grant_micro","","","Changes the appearance of any equipped Staff to the Warlock Staff.",[],"","Weapon Skin","",[],[],0,"",0,"",1,[],[],[]
1448,1111,1,1,"grant_micro","","","Your Frost Bomb becomes a celestial effect.",[],"","Frost Bomb Skin","",[],[],0,"",0,"",1,[],[],[]
1449,1112,1,1,"grant_micro","","","Your Flameblast becomes a celestial effect.",[],"","Flameblast Skin","",[],[],0,"",0,"",1,[],[],[]
1450,1113,1,1,"grant_micro","","","Your Ball Lightning becomes a celestial effect.",[],"","Ball Lightning Skin","",[],[],0,"",0,"",1,[],[],[]
1451,1114,1,1,"grant_micro","","","Attaches the Fire Character Effect to your belt.",[],"","Belt Attachment","",[],[],0,"",0,"",2,[],[],[]
1452,1115,1,1,"grant_micro","","","Attaches the Ice Character Effect to your belt.",[],"","Belt Attachment","",[],[],0,"",0,"",2,[],[],[]
1453,1116,1,1,"grant_micro","","","Changes the appearance of any equipped helmet to the Chaos Orb Helmet.",[],"","Helmet Skin","",[],[],0,"",0,"",1,[],[],[]
1454,1117,1,1,"grant_micro","","","Your Storm Call becomes an arcane effect.",[],"","Storm Call Skin","",[],[],0,"",0,"","",[],[],[]
1455,1118,1,1,"grant_micro","","","Your Whirling Blades becomes a purple effect.",[],"","Whirling Blades Skin","",[],[],0,"",0,"","",[],[],[]
1456,1119,20,1,"grant_micro","","","Adds the Vagabond effect to any equipped weapon.",[],"","Weapon Effect","",[],[],0,"",0,"",2,[],[],[]
1457,1120,1,1,"grant_micro","","","Adds the Vagabond Portrait Frame to this character.",[],"","Portrait Frame Modification","",[],[],0,"",0,"",2,[],[],[]
1458,1121,1,1,"grant_micro","","","Changes the appearance of any equipped headdress to the Seeker helmet.",[],"","Helmet Skin","",[],[],0,"",0,"",2,[],[],[]
1459,1122,1,1,"grant_micro","","","Changes the appearance of any equipped boots to the Seeker boots.",[],"","Boots Skin","",[],[],0,"",0,"",2,[],[],[]
1460,1123,1,1,"grant_micro","","","Changes the appearance of any equipped gloves to the Seeker gloves.",[],"","Gloves Skin","",[],[],0,"",0,"",2,[],[],[]
1461,1124,1,1,"grant_micro","","","Changes the appearance of any equipped body armour to the Seeker body armour.",[],"","Body Armour Skin","",[],[],0,"",0,"",2,[],[],[]
1462,1125,1,1,"grant_micro","","","Adds the Seeker Cloak Back Attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"",2,[],[],[]
1463,1126,20,1,"grant_micro","","","Adds the Seeker effect to any equipped weapon.",[],"","Weapon Effect","",[],[],0,"",0,"",2,[],[],[]
1464,1127,1,1,"grant_micro","","","Adds the Seeker Portrait Frame to this character.",[],"","Portrait Frame Modification","",[],[],0,"",0,"",2,[],[],[]
1465,1128,1,1,"grant_micro","","","Changes the appearance of any equipped headdress to the Scholar helmet.",[],"","Helmet Skin","",[],[],0,"",0,"",2,[],[],[]
1466,1129,1,1,"grant_micro","","","Changes the appearance of any equipped boots to the Scholar boots.",[],"","Boots Skin","",[],[],0,"",0,"",2,[],[],[]
1467,1130,1,1,"grant_micro","","","Changes the appearance of any equipped gloves to the Scholar gloves.",[],"","Gloves Skin","",[],[],0,"",0,"",2,[],[],[]
1468,1131,1,1,"grant_micro","","","Changes the appearance of any equipped body armour to the Scholar body armour.",[],"","Body Armour Skin","",[],[],0,"",0,"",2,[],[],[]
1469,1132,1,1,"grant_micro","","","Adds the Scholar Cloak Back Attachment to any equipped body armour.",[],"","Body Armour Attachment","",[],[],0,"",0,"",2,[],[],[]
1470,1133,20,1,"grant_micro","","","Adds the Scholar effect to any equipped weapon.",[],"","Weapon Effect","",[],[],0,"",0,"",2,[],[],[]
1471,1134,1,1,"grant_micro","","","Adds the Scholar Portrait Frame to this character.",[],"","Portrait Frame Modification","",[],[],0,"",0,"",2,[],[],[]
1472,1135,1,1,"grant_micro","","","Changes the appearance of any equipped headdress to the Redeemer helmet.",[],"","Helmet Skin","",[],[],0,"",0,"",2,[],[],[]
1473,1136,1,1,"grant_micro","","","Changes the appearance of any equipped boots to the Redeemer boots.",[],"","Boots Skin","",[],[],0,"",0,"",2,[],[],[]
1474,1137,1,1,"grant_micro","","","Changes the appearance of any equipped gloves to the Redeemer gloves.",[],"","Gloves Skin","",[],[],0,"",0,"",2,[],[],[]
1475,1138,1,1,"grant_micro","","","Changes the appearance of any equipped body armour to the Redeemer body armour.",[],"","Body Armour Skin","",[],[],0,"",0,"",2,[],[],[]
