"rownum","BetrayalJobsKey","BetrayalTargetsKey","BetrayalRanksKey","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","Description2","Description2 (French)","Description2 (German)","Description2 (Japanese)","Description2 (Korean)","Description2 (Portuguese)","Description2 (Russian)","Description2 (Spanish)","Description2 (Thai)","Description2 (Traditional Chinese)"
53,1,11,3,"Amassing Divination Cards (Trapped Chests!)","Accumule des Cartes divinatoires (Coffres piégés !)","Häuft Weissagungskarten an (Truhen mit Fallen!)","占いカードの蓄財（トラップチェスト！）","축적한 점술 카드 (덫 상자!)","Amontoando Cartas de Adivinhação (Baús com Armadilha!)","Копит гадальные карты (ловушки в сундуках!)","Recolectar cartas de adivinación (¡cofres atrapados!)","รวบรวมไพ่พยากรณ์\r\n(หีบติดกับดัก!)","蒐集命運卡","Smuggling Body Armours (Trapped Chests!)","Fait de la contrebande d'Armures (Coffres piégés !)","Schmuggelt Körperrüstungen (Truhen mit Fallen!)","鎧の密輸（トラップチェスト！）","밀수한 갑옷 (덫 상자!)","Contrabandeando Peitorais (Baús Trancados!)","Тайно провозит нательные доспехи (ловушки в сундуках!)","Traficar con armaduras (¡Cofres atrapados!)","ลอบขนเสื้อเกราะ\r\n(หีบติดกับดัก!)","走私胸甲（陷阱寶箱！）"
54,2,11,1,"Laundering Divination Card Collections","Blanchit des Collections de Cartes divinatoires","Handelt mit Weissagungskarten-Sammlungen","占いカード収集物のロンダリング","정리한 점술 카드 모음집","Lavando Coleções de Cartas de Adivinhação","Отмывает коллекции гадальных карт","Lavar colecciones de cartas de adivinación","ฟอกกองไพ่พยากรณ์","洗滌命運卡冊","Transporting Body Armours","Transporte des Armures","Transportiert Körperrüstungen","鎧の輸送","수송 중인 갑옷","Transportando Peitorais","Перевозит нательные доспехи","Transportar armaduras","ขนส่งเสื้อเกราะ","護送胸甲"
55,2,11,2,"Laundering Divination Card Collections","Blanchit des Collections de Cartes divinatoires","Handelt mit Weissagungskarten-Sammlungen","占いカード収集物のロンダリング","정리한 점술 카드 모음집","Lavando Coleções de Cartas de Adivinhação","Отмывает коллекции гадальных карт","Lavar colecciones de cartas de adivinación","ฟอกกองไพ่พยากรณ์","洗滌命運卡冊","Transporting Body Armours","Transporte des Armures","Transportiert Körperrüstungen","鎧の輸送","수송 중인 갑옷","Transportando Peitorais","Перевозит нательные доспехи","Transportar armaduras","ขนส่งเสื้อเกราะ","護送胸甲"
56,2,11,3,"Laundering Divination Card Collections","Blanchit des Collections de Cartes divinatoires","Handelt mit Weissagungskarten-Sammlungen","占いカード収集物のロンダリング","정리한 점술 카드 모음집","Lavando Coleções de Cartas de Adivinhação","Отмывает коллекции гадальных карт","Lavar colecciones de cartas de adivinación","ฟอกกองไพ่พยากรณ์","洗滌命運卡冊","Transporting Body Armours","Transporte des Armures","Transportiert Körperrüstungen","鎧の輸送","수송 중인 갑옷","Transportando Peitorais","Перевозит нательные доспехи","Transportar armaduras","ขนส่งเสื้อเกราะ","護送胸甲"
57,4,11,1,"Trialing Divination Card Metamorphosis","Essaye la Métamorphose de Cartes divinatoires","Experimentiert mit Weissagungskarten","占いカードの変成試験","시험한 점술 카드 변형","Testando Metamorfoses de Cartas de Adivinhação","Испытывает преобразования гадальных карт","Poner a prueba metamorfosis de cartas de adivinación","ทดสอบการเปลี่ยนรูปของไพ่พยากรณ์","試煉命運卡變質","Gambling with Body Armour Properties","Joue avec les Propriétés des Armures","Experimentiert mit Körperrüstungs-Eigenschaften","鎧の特性のギャンブル","갑옷 속성 도박","Arriscando com Propriedades de Peitorais","Спекулирует на свойствах нательных доспехов","Apostar sobre las propiedades de las armaduras","เสี่ยงโชคกับคุณสมบัติของเสื้อเกราะ","用胸甲屬性博弈"
58,4,11,2,"Trialing Divination Card Metamorphosis","Essaye la Métamorphose de Cartes divinatoires","Experimentiert mit Weissagungskarten","占いカードの変成試験","시험한 점술 카드 변형","Testando Metamorfoses de Cartas de Adivinhação","Испытывает преобразования гадальных карт","Poner a prueba metamorfosis de cartas de adivinación","ทดสอบการเปลี่ยนรูปของไพ่พยากรณ์","試煉命運卡變質","Gambling with Body Armour Properties","Joue avec les Propriétés des Armures","Experimentiert mit Körperrüstungs-Eigenschaften","鎧の特性のギャンブル","갑옷 속성 도박","Arriscando com Propriedades de Peitorais","Спекулирует на свойствах нательных доспехов","Apostar sobre las propiedades de las armaduras","เสี่ยงโชคกับคุณสมบัติของเสื้อเกราะ","用胸甲屬性博弈"
59,4,11,3,"Trialing Divination Card Metamorphosis","Essaye la Métamorphose de Cartes divinatoires","Experimentiert mit Weissagungskarten","占いカードの変成試験","시험한 점술 카드 변형","Testando Metamorfoses de Cartas de Adivinhação","Испытывает преобразования гадальных карт","Poner a prueba metamorfosis de cartas de adivinación","ทดสอบการเปลี่ยนรูปของไพ่พยากรณ์","試煉命運卡變質","Gambling with Body Armour Properties","Joue avec les Propriétés des Armures","Experimentiert mit Körperrüstungs-Eigenschaften","鎧の特性のギャンブル","갑옷 속성 도박","Arriscando com Propriedades de Peitorais","Спекулирует на свойствах нательных доспехов","Apostar sobre las propiedades de las armaduras","เสี่ยงโชคกับคุณสมบัติของเสื้อเกราะ","用胸甲屬性博弈"
60,3,8,1,"Profiteering off Blight Scarabs","Profite de Scarabées de l'Infestation","Profitiert von Befall-Skarabäen","ブライトスカラベで暴利を獲得","수탈한 역병 갑충석","Lucrando com Escaravelhos da Infestação","Наживается на скарабеях Скверны","Especular con escarabajos de plaga","ค้ากำไรจากสคารับไบล์ท","用武器屬性博弈","Profiteering off Incursion Scarabs","Profite de Scarabées d'Incursion","Verscherbelt Incursion-Skarabäen","インカージョンスカラベで暴利を獲得","수탈한 기습 갑충석","Lucrando com Escaravelhos da Incursão","Наживается на скарабеях Вмешательства","Especular con escarabajos de incursión","ค้ากำไรจากสคารับย้อนเวลา","用武器屬性博弈"
61,3,8,2,"Profiteering off Blight Scarabs","Profite de Scarabées de l'Infestation","Profitiert von Befall-Skarabäen","ブライトスカラベで暴利を獲得","수탈한 역병 갑충석","Lucrando com Escaravelhos da Infestação","Наживается на скарабеях Скверны","Especular con escarabajos de plaga","ค้ากำไรจากสคารับไบล์ท","用武器屬性博弈","Profiteering off Incursion Scarabs","Profite de Scarabées d'Incursion","Verscherbelt Incursion-Skarabäen","インカージョンスカラベで暴利を獲得","수탈한 기습 갑충석","Lucrando com Escaravelhos da Incursão","Наживается на скарабеях Вмешательства","Especular con escarabajos de incursión","ค้ากำไรจากสคารับย้อนเวลา","用武器屬性博弈"
62,3,8,3,"Profiteering off Blight Scarabs","Profite de Scarabées de l'Infestation","Profitiert von Befall-Skarabäen","ブライトスカラベで暴利を獲得","수탈한 역병 갑충석","Lucrando com Escaravelhos da Infestação","Наживается на скарабеях Скверны","Especular con escarabajos de plaga","ค้ากำไรจากสคารับไบล์ท","用武器屬性博弈","Profiteering off Incursion Scarabs","Profite de Scarabées d'Incursion","Verscherbelt Incursion-Skarabäen","インカージョンスカラベで暴利を獲得","수탈한 기습 갑충석","Lucrando com Escaravelhos da Incursão","Наживается на скарабеях Вмешательства","Especular con escarabajos de incursión","ค้ากำไรจากสคารับย้อนเวลา","用武器屬性博弈"
63,1,8,1,"Pirating Rare Equipment (Trapped Chests!)","S'empare de pièces d'équipement Rares (Coffres piégés !)","Plündert seltene Ausrüstung (Truhen mit Fallen!)","レア装備の海賊的略奪（トラップチェスト！）","노략질한 희귀 장비 (덫 상자!)","Pirateando Equipamentos Raros (Baús com Armadilha!)","Хранит награбленное редкое снаряжение (ловушки в сундуках!)","Saquear equipamiento raro (¡cofres atrapados!)","ปล้นสะดมไอเทมสวมใส่แรร์\r\n(หีบติดกับดัก!)","打賭物品結果","Smuggling Gloves (Trapped Chests!)","Fait de la contrebande de Gants (Coffres piégés !)","Schmuggelt Handschuhe (Truhen mit Fallen!)","手袋の密輸（トラップチェスト！）","밀수한 장갑 (덫 상자!)","Contrabandeando Luvas (Baús Trancados!)","Тайно провозит перчатки (ловушки в сундуках!)","Traficar con guantes (¡Cofres atrapados!)","ลอบขนถุงมือ\r\n(หีบติดกับดัก!)","走私手套（陷阱寶箱！）"
64,1,8,2,"Pirating Rare Equipment (Trapped Chests!)","S'empare de pièces d'équipement Rares (Coffres piégés !)","Plündert seltene Ausrüstung (Truhen mit Fallen!)","レア装備の海賊的略奪（トラップチェスト！）","노략질한 희귀 장비 (덫 상자!)","Pirateando Equipamentos Raros (Baús com Armadilha!)","Хранит награбленное редкое снаряжение (ловушки в сундуках!)","Saquear equipamiento raro (¡cofres atrapados!)","ปล้นสะดมไอเทมสวมใส่แรร์\r\n(หีบติดกับดัก!)","打賭物品結果","Smuggling Gloves (Trapped Chests!)","Fait de la contrebande de Gants (Coffres piégés !)","Schmuggelt Handschuhe (Truhen mit Fallen!)","手袋の密輸（トラップチェスト！）","밀수한 장갑 (덫 상자!)","Contrabandeando Luvas (Baús Trancados!)","Тайно провозит перчатки (ловушки в сундуках!)","Traficar con guantes (¡Cofres atrapados!)","ลอบขนถุงมือ\r\n(หีบติดกับดัก!)","走私手套（陷阱寶箱！）"
65,1,8,3,"Pirating Rare Equipment (Trapped Chests!)","S'empare de pièces d'équipement Rares (Coffres piégés !)","Plündert seltene Ausrüstung (Truhen mit Fallen!)","レア装備の海賊的略奪（トラップチェスト！）","노략질한 희귀 장비 (덫 상자!)","Pirateando Equipamentos Raros (Baús com Armadilha!)","Хранит награбленное редкое снаряжение (ловушки в сундуках!)","Saquear equipamiento raro (¡cofres atrapados!)","ปล้นสะดมไอเทมสวมใส่แรร์\r\n(หีบติดกับดัก!)","打賭物品結果","Smuggling Gloves (Trapped Chests!)","Fait de la contrebande de Gants (Coffres piégés !)","Schmuggelt Handschuhe (Truhen mit Fallen!)","手袋の密輸（トラップチェスト！）","밀수한 장갑 (덫 상자!)","Contrabandeando Luvas (Baús Trancados!)","Тайно провозит перчатки (ловушки в сундуках!)","Traficar con guantes (¡Cofres atrapados!)","ลอบขนถุงมือ\r\n(หีบติดกับดัก!)","走私手套（陷阱寶箱！）"
66,2,8,1,"Claiming Currency","Perçoit des Objets monétaires","Beschlagnahmt Währung","カレンシーの所有権の主張","획득한 화폐","Reivindicando Moedas","Присваивает себе валюту","Reclamar objetos monetarios","เก็บเงินตรา","以物品價值賭注","Transporting Gloves","Transporte des Gants","Transportiert Handschuhe","手袋の輸送","수송 중인 장갑","Transportando Luvas","Перевозит перчатки","Transportar guantes","ขนส่งถุงมือ","護送手套"
67,2,8,2,"Claiming Currency","Perçoit des Objets monétaires","Beschlagnahmt Währung","カレンシーの所有権の主張","획득한 화폐","Reivindicando Moedas","Присваивает себе валюту","Reclamar objetos monetarios","เก็บเงินตรา","以物品價值賭注","Transporting Gloves","Transporte des Gants","Transportiert Handschuhe","手袋の輸送","수송 중인 장갑","Transportando Luvas","Перевозит перчатки","Transportar guantes","ขนส่งถุงมือ","護送手套"
68,2,8,3,"Claiming Currency","Perçoit des Objets monétaires","Beschlagnahmt Währung","カレンシーの所有権の主張","획득한 화폐","Reivindicando Moedas","Присваивает себе валюту","Reclamar objetos monetarios","เก็บเงินตรา","以物品價值賭注","Transporting Gloves","Transporte des Gants","Transportiert Handschuhe","手袋の輸送","수송 중인 장갑","Transportando Luvas","Перевозит перчатки","Transportar guantes","ขนส่งถุงมือ","護送手套"
69,4,8,1,"Experimenting with Jewellery (some sort of Mist?)","Mène des expérimentations avec des Accessoires (une genre de Brume ?)","Experimentiert mit Schmuck (eine Art von Nebel?)","宝飾品の実験（霧のようなもの？）","실험한 장신구 (일종의 연무?)","Testando Joias (Há uma névoa envolvida?)","Экспериментирует с бижутерией (какой-то туман?)","Experimentar con joyería (¿algún tipo de niebla?)","ทดลองกับเครื่องประดับ\r\n(หมอกอะไรสักอย่างรึ?)","調查物品賠率","Gambling with Glove Properties","Joue avec les Propriétés des Gants","Experimentiert mit Handschuh-Eigenschaften","手袋の特性のギャンブル","장갑 속성 도박","Arriscando com Propriedades de Luvas","Спекулирует на свойствах перчаток","Apostar sobre las propiedades de los guantes","เสี่ยงโชคกับคุณสมบัติของถุงมือ","用手套屬性博弈"
70,4,8,2,"Experimenting with Jewellery (some sort of Mist?)","Mène des expérimentations avec des Accessoires (une genre de Brume ?)","Experimentiert mit Schmuck (eine Art von Nebel?)","宝飾品の実験（霧のようなもの？）","실험한 장신구 (일종의 연무?)","Testando Joias (Há uma névoa envolvida?)","Экспериментирует с бижутерией (какой-то туман?)","Experimentar con joyería (¿algún tipo de niebla?)","ทดลองกับเครื่องประดับ\r\n(หมอกอะไรสักอย่างรึ?)","調查物品賠率","Gambling with Glove Properties","Joue avec les Propriétés des Gants","Experimentiert mit Handschuh-Eigenschaften","手袋の特性のギャンブル","장갑 속성 도박","Arriscando com Propriedades de Luvas","Спекулирует на свойствах перчаток","Apostar sobre las propiedades de los guantes","เสี่ยงโชคกับคุณสมบัติของถุงมือ","用手套屬性博弈"
71,4,8,3,"Experimenting with Jewellery (some sort of Mist?)","Mène des expérimentations avec des Accessoires (une genre de Brume ?)","Experimentiert mit Schmuck (eine Art von Nebel?)","宝飾品の実験（霧のようなもの？）","실험한 장신구 (일종의 연무?)","Testando Joias (Há uma névoa envolvida?)","Экспериментирует с бижутерией (какой-то туман?)","Experimentar con joyería (¿algún tipo de niebla?)","ทดลองกับเครื่องประดับ\r\n(หมอกอะไรสักอย่างรึ?)","調查物品賠率","Gambling with Glove Properties","Joue avec les Propriétés des Gants","Experimentiert mit Handschuh-Eigenschaften","手袋の特性のギャンブル","장갑 속성 도박","Arriscando com Propriedades de Luvas","Спекулирует на свойствах перчаток","Apostar sobre las propiedades de los guantes","เสี่ยงโชคกับคุณสมบัติของถุงมือ","用手套屬性博弈"
72,3,1,1,"Stealing Strongbox Scarabs","Vole des Scarabées de Coffre-fort","Stiehlt Tresor-Skarabäen","ストロングボックススカラベの盗難","훔친 금고 갑충석","Roubando Escaravelhos de Cofres","Похищает скарабеев ларцов","Robar escarabajos de cajas fuertes","ขโมยสคารับกล่องนิรภัย","偷竊保險箱聖甲蟲","Stealing Strongbox Scarabs","Vole des Scarabées de Coffre-fort","Stiehlt Tresor-Skarabäen","ストロングボックススカラベの盗難","훔친 금고 갑충석","Roubando Escaravelhos de Cofres","Похищает скарабеев ларцов","Robar escarabajos de cajas fuertes","ขโมยสคารับกล่องนิรภัย","偷竊保險箱聖甲蟲"
73,3,1,2,"Stealing Strongbox Scarabs","Vole des Scarabées de Coffre-fort","Stiehlt Tresor-Skarabäen","ストロングボックススカラベの盗難","훔친 금고 갑충석","Roubando Escaravelhos de Cofres","Похищает скарабеев ларцов","Robar escarabajos de cajas fuertes","ขโมยสคารับกล่องนิรภัย","偷竊保險箱聖甲蟲","Stealing Strongbox Scarabs","Vole des Scarabées de Coffre-fort","Stiehlt Tresor-Skarabäen","ストロングボックススカラベの盗難","훔친 금고 갑충석","Roubando Escaravelhos de Cofres","Похищает скарабеев ларцов","Robar escarabajos de cajas fuertes","ขโมยสคารับกล่องนิรภัย","偷竊保險箱聖甲蟲"
74,3,1,3,"Stealing Strongbox Scarabs","Vole des Scarabées de Coffre-fort","Stiehlt Tresor-Skarabäen","ストロングボックススカラベの盗難","훔친 금고 갑충석","Roubando Escaravelhos de Cofres","Похищает скарабеев ларцов","Robar escarabajos de cajas fuertes","ขโมยสคารับกล่องนิรภัย","偷竊保險箱聖甲蟲","Stealing Strongbox Scarabs","Vole des Scarabées de Coffre-fort","Stiehlt Tresor-Skarabäen","ストロングボックススカラベの盗難","훔친 금고 갑충석","Roubando Escaravelhos de Cofres","Похищает скарабеев ларцов","Robar escarabajos de cajas fuertes","ขโมยสคารับกล่องนิรภัย","偷竊保險箱聖甲蟲"
75,1,1,1,"Stealing Domination Scarabs","Vole des Scarabées de Domination","Stiehlt Schrein-Skarabäen","ドミネーションスカラベの盗難","훔친 지배 갑충석","Roubando Escaravelhos do Domínio","Похищает скарабеев Господства","Robar escarabajos de adivinación","ขโมยสคารับแท่นบูชา","保護傳奇保險箱","Guarding Trapped Chests","Garde des coffres piégés","Bewacht Truhen mit Fallen","トラップチェストの警護","수호받는 덫 상자","Protegendo Baús Trancados","Охраняет сундуки с ловушками","Custodiar cofres atrapados","เฝ้าหีบติดกับดัก","保護陷阱寶箱"
76,1,1,2,"Stealing Domination Scarabs","Vole des Scarabées de Domination","Stiehlt Schrein-Skarabäen","ドミネーションスカラベの盗難","훔친 지배 갑충석","Roubando Escaravelhos do Domínio","Похищает скарабеев Господства","Robar escarabajos de adivinación","ขโมยสคารับแท่นบูชา","保護傳奇保險箱","Guarding Trapped Chests","Garde des coffres piégés","Bewacht Truhen mit Fallen","トラップチェストの警護","수호받는 덫 상자","Protegendo Baús Trancados","Охраняет сундуки с ловушками","Custodiar cofres atrapados","เฝ้าหีบติดกับดัก","保護陷阱寶箱"
77,1,1,3,"Stealing Domination Scarabs","Vole des Scarabées de Domination","Stiehlt Schrein-Skarabäen","ドミネーションスカラベの盗難","훔친 지배 갑충석","Roubando Escaravelhos do Domínio","Похищает скарабеев Господства","Robar escarabajos de adivinación","ขโมยสคารับแท่นบูชา","保護傳奇保險箱","Guarding Trapped Chests","Garde des coffres piégés","Bewacht Truhen mit Fallen","トラップチェストの警護","수호받는 덫 상자","Protegendo Baús Trancados","Охраняет сундуки с ловушками","Custodiar cofres atrapados","เฝ้าหีบติดกับดัก","保護陷阱寶箱"
78,2,1,1,"Guarding Unique Strongboxes","Protège des Coffres-forts Uniques","Bewacht einzigartige Tresore","ユニークストロングボックスの警護","수호받는 고유 금고","Protegendo Caixas-forte Únicas","Охраняет уникальные ларцы","Custodiar cajas fuertes únicas","เฝ้ากล่องนิรภัยยูนิค","護送稀有裝備","Transporting Rare Equipment","Transporte de l'Équipement rare","Transportiert seltene Ausrüstung","レア装備の輸送","수송 중인 희귀 장비","Transportando Equipamentos Raros","Перевозит редкую экипировку","Transportar equipamientos raros","ขนส่งไอเทมสวมใส่แรร์","護送稀有裝備"
79,2,1,2,"Guarding Unique Strongboxes","Protège des Coffres-forts Uniques","Bewacht einzigartige Tresore","ユニークストロングボックスの警護","수호받는 고유 금고","Protegendo Caixas-forte Únicas","Охраняет уникальные ларцы","Custodiar cajas fuertes únicas","เฝ้ากล่องนิรภัยยูนิค","護送稀有裝備","Transporting Rare Equipment","Transporte de l'Équipement rare","Transportiert seltene Ausrüstung","レア装備の輸送","수송 중인 희귀 장비","Transportando Equipamentos Raros","Перевозит редкую экипировку","Transportar equipamientos raros","ขนส่งไอเทมสวมใส่แรร์","護送稀有裝備"
80,2,1,3,"Guarding Unique Strongboxes","Protège des Coffres-forts Uniques","Bewacht einzigartige Tresore","ユニークストロングボックスの警護","수호받는 고유 금고","Protegendo Caixas-forte Únicas","Охраняет уникальные ларцы","Custodiar cajas fuertes únicas","เฝ้ากล่องนิรภัยยูนิค","護送稀有裝備","Transporting Rare Equipment","Transporte de l'Équipement rare","Transportiert seltene Ausrüstung","レア装備の輸送","수송 중인 희귀 장비","Transportando Equipamentos Raros","Перевозит редкую экипировку","Transportar equipamientos raros","ขนส่งไอเทมสวมใส่แรร์","護送稀有裝備"
81,4,1,1,"Experimenting with Ancestral Artifacts (Hair?)","Mène des expérimentations avec des Artéfacts ancestraux (Mèche ?)","Experimentiert mit Ausrüstung der Ahnen (Haar?)","先祖の遺物の実験（髪？）","실험한 선대 유물 (머리카락?)","Testando Artefatos Ancestrais (Cabelo?)","Экспериментирует с артефактами предков (волосы?)","Experimentar con artefactos ancestrales (¿pelo?)","ทดลองกับวัตถุโบราณบรรพชน\r\n(ผมเนี่ยนะ?)","研磨強力裝備","Looting Anarchy Scarabs","Ramasse des Scarabées d'Anarchie","Erbeutet Anarchy-Skarabäen","アナーキースカラベの略奪","획득한 혼란 갑충석","Coletando Escaravelhos da Anarquia","Собирает скарабеев Анархии","Sustraer escarabajos de anarquía","ปล้นสคารับเอ็กไซล์อันธพาล","守護精緻裝甲設備"
82,4,1,2,"Experimenting with Ancestral Artifacts (Hair?)","Mène des expérimentations avec des Artéfacts ancestraux (Mèche ?)","Experimentiert mit Ausrüstung der Ahnen (Haar?)","先祖の遺物の実験（髪？）","실험한 선대 유물 (머리카락?)","Testando Artefatos Ancestrais (Cabelo?)","Экспериментирует с артефактами предков (волосы?)","Experimentar con artefactos ancestrales (¿pelo?)","ทดลองกับวัตถุโบราณบรรพชน\r\n(ผมเนี่ยนะ?)","研磨強力裝備","Looting Anarchy Scarabs","Ramasse des Scarabées d'Anarchie","Erbeutet Anarchy-Skarabäen","アナーキースカラベの略奪","획득한 혼란 갑충석","Coletando Escaravelhos da Anarquia","Собирает скарабеев Анархии","Sustraer escarabajos de anarquía","ปล้นสคารับเอ็กไซล์อันธพาล","守護精緻裝甲設備"
83,4,1,3,"Experimenting with Ancestral Artifacts (Hair?)","Mène des expérimentations avec des Artéfacts ancestraux (Mèche ?)","Experimentiert mit Ausrüstung der Ahnen (Haar?)","先祖の遺物の実験（髪？）","실험한 선대 유물 (머리카락?)","Testando Artefatos Ancestrais (Cabelo?)","Экспериментирует с артефактами предков (волосы?)","Experimentar con artefactos ancestrales (¿pelo?)","ทดลองกับวัตถุโบราณบรรพชน\r\n(ผมเนี่ยนะ?)","研磨強力裝備","Looting Anarchy Scarabs","Ramasse des Scarabées d'Anarchie","Erbeutet Anarchy-Skarabäen","アナーキースカラベの略奪","획득한 혼란 갑충석","Coletando Escaravelhos da Anarquia","Собирает скарабеев Анархии","Sustraer escarabajos de anarquía","ปล้นสคารับเอ็กไซล์อันธพาล","守護精緻裝甲設備"
84,3,6,1,"Collecting 'Shiny Things' (Influenced Scarabs?)","Collectionne des « trucs qui brillent » (Scarabées Influencés ?)","Sammelt 'glitzernde Dinge' (beeinflusste Skarabäen?)","「ピカピカする物」の収集（インフルエンススカラベ？）","수집한 \""반짝이는 물건\"" (영향을 받은 갑충석?)","Coletando \""Coisas Brilhantes\"" (Escaravelhos Influenciados?)","Собирает \""блестяшки\"" (скарабеи влияния?)","Coleccionar \""Cosas brillantes\"" (¿escarabajos influenciados?)","เก็บสะสม 'ของระยิบระยับ'\r\n(สคารับที่มีอิทธิพลรึ?)","蒐集「亮晶晶」（深淵聖甲蟲？）","Collecting 'Shiny Things' (Abyss Scarabs?)","Collectionne des « trucs qui brillent » (Scarabées Abyssaux ?)","Sammelt 'glitzernde Dinge' (Abgrund-Skarabäen?)","「ピカピカする物」の収集（アビススカラベ？）","\""반짝이는 물건\"" 수집 (심연 갑충석인가?)","Coletando 'Coisas Brilhantes' (Escaravelhos Abissais?)","Собирает \""блестяшки\"" (скарабеи Бездны?)","Coleccionar \""Cosas brillantes\"" (¿escarabajos de abismo?)","เก็บสะสม 'ของระยิบระยับ'\r\n(สคารับอะบิสรึ?)","蒐集「亮晶晶」（深淵聖甲蟲？）"
85,3,6,2,"Collecting 'Shiny Things' (Influenced Scarabs?)","Collectionne des « trucs qui brillent » (Scarabées Influencés ?)","Sammelt 'glitzernde Dinge' (beeinflusste Skarabäen?)","「ピカピカする物」の収集（インフルエンススカラベ？）","수집한 \""반짝이는 물건\"" (영향을 받은 갑충석?)","Coletando \""Coisas Brilhantes\"" (Escaravelhos Influenciados?)","Собирает \""блестяшки\"" (скарабеи влияния?)","Coleccionar \""Cosas brillantes\"" (¿escarabajos influenciados?)","เก็บสะสม 'ของระยิบระยับ'\r\n(สคารับที่มีอิทธิพลรึ?)","蒐集「亮晶晶」（深淵聖甲蟲？）","Collecting 'Shiny Things' (Abyss Scarabs?)","Collectionne des « trucs qui brillent » (Scarabées Abyssaux ?)","Sammelt 'glitzernde Dinge' (Abgrund-Skarabäen?)","「ピカピカする物」の収集（アビススカラベ？）","\""반짝이는 물건\"" 수집 (심연 갑충석인가?)","Coletando 'Coisas Brilhantes' (Escaravelhos Abissais?)","Собирает \""блестяшки\"" (скарабеи Бездны?)","Coleccionar \""Cosas brillantes\"" (¿escarabajos de abismo?)","เก็บสะสม 'ของระยิบระยับ'\r\n(สคารับอะบิสรึ?)","蒐集「亮晶晶」（深淵聖甲蟲？）"
86,3,6,3,"Collecting 'Shiny Things' (Influenced Scarabs?)","Collectionne des « trucs qui brillent » (Scarabées Influencés ?)","Sammelt 'glitzernde Dinge' (beeinflusste Skarabäen?)","「ピカピカする物」の収集（インフルエンススカラベ？）","수집한 \""반짝이는 물건\"" (영향을 받은 갑충석?)","Coletando \""Coisas Brilhantes\"" (Escaravelhos Influenciados?)","Собирает \""блестяшки\"" (скарабеи влияния?)","Coleccionar \""Cosas brillantes\"" (¿escarabajos influenciados?)","เก็บสะสม 'ของระยิบระยับ'\r\n(สคารับที่มีอิทธิพลรึ?)","蒐集「亮晶晶」（深淵聖甲蟲？）","Collecting 'Shiny Things' (Abyss Scarabs?)","Collectionne des « trucs qui brillent » (Scarabées Abyssaux ?)","Sammelt 'glitzernde Dinge' (Abgrund-Skarabäen?)","「ピカピカする物」の収集（アビススカラベ？）","\""반짝이는 물건\"" 수집 (심연 갑충석인가?)","Coletando 'Coisas Brilhantes' (Escaravelhos Abissais?)","Собирает \""блестяшки\"" (скарабеи Бездны?)","Coleccionar \""Cosas brillantes\"" (¿escarabajos de abismo?)","เก็บสะสม 'ของระยิบระยับ'\r\n(สคารับอะบิสรึ?)","蒐集「亮晶晶」（深淵聖甲蟲？）"
87,1,6,1,"Experimenting with Influenced Equipment","Mène des expérimentations sur des pièces d'équipement Influencées","Experimentiert mit beeinflusster Ausrüstung","インフルエンス装備の実験","실험한 영향을 받은 장비","Testando Equipamentos Influenciados","Экспериментирует над снаряжением с влиянием","Experimentar con equipamiento influenciado","ทดลองกับไอเทมสวมใส่ที่มีอิทธิพล","囤積「小蟲子」（聖甲蟲？）","Smuggling Belts (Trapped Chests!)","Fait de la contrebande de Ceintures (Coffres piégés !)","Schmuggelt Gürtel (Truhen mit Fallen!)","ベルトの密輸（トラップチェスト！）","밀수한 허리띠 (덫 상자!)","Contrabandeando Cintos (Baús Trancados!)","Тайно провозит пояса (ловушки в сундуках!)","Traficar con cinturones (¡Cofres atrapados!)","ลอบขนเข็มขัด\r\n(หีบติดกับดัก!)","走私腰帶（陷阱寶箱！）"
88,1,6,2,"Experimenting with Influenced Equipment","Mène des expérimentations sur des pièces d'équipement Influencées","Experimentiert mit beeinflusster Ausrüstung","インフルエンス装備の実験","실험한 영향을 받은 장비","Testando Equipamentos Influenciados","Экспериментирует над снаряжением с влиянием","Experimentar con equipamiento influenciado","ทดลองกับไอเทมสวมใส่ที่มีอิทธิพล","囤積「小蟲子」（聖甲蟲？）","Smuggling Belts (Trapped Chests!)","Fait de la contrebande de Ceintures (Coffres piégés !)","Schmuggelt Gürtel (Truhen mit Fallen!)","ベルトの密輸（トラップチェスト！）","밀수한 허리띠 (덫 상자!)","Contrabandeando Cintos (Baús Trancados!)","Тайно провозит пояса (ловушки в сундуках!)","Traficar con cinturones (¡Cofres atrapados!)","ลอบขนเข็มขัด\r\n(หีบติดกับดัก!)","走私腰帶（陷阱寶箱！）"
