"rownum","Id","ItemClassesKey","Width","Height","Name","InheritsFrom","DropLevel","FlavourTextKey","Implicit_ModsKeys","SizeOnGround","SoundEffect","TagsKeys","ModDomain","SiteVisibility","ItemVisualIdentity","HASH32","VendorRecipe_AchievementItems","Inflection","Equip_AchievementItemsKey","IsCorrupted","Identify_AchievementItems","IdentifyMagic_AchievementItems","FragmentBaseItemTypesKey","bool","rid","rid","bool","TradeMarketCategory","Unmodifiable","Achievement","[string]","IgnoreQuantBonus","bool"
1803,"Metadata/Items/MicrotransactionSkillEffects/MicrotransactionFaithGuardHeraldEffect",40,2,2,"Faith Guard Herald Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1694,77950902,[],"","","",[],[],"","","","","","","",[],[],"",""
1804,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionBloodGuardAxe",40,2,2,"Blood Guard Axe","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1695,-237660349,[],"","","",[],[],"","","","","","","",[],[],"",""
1805,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionFaithGuardBow",40,2,2,"Faith Guard Bow","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1696,1482274222,[],"","","",[],[],"","","","","","","",[],[],"",""
1806,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionOriathWeapon",40,2,2,"Oriath Axe","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1697,489502156,[],"","","",[],[],"","","","","","","",[],[],"",""
1807,"Metadata/Items/MicrotransactionSkillEffects/MicrotransactionBloodGuardLightningWarpEffect",40,2,2,"Blood Guard Lightning Warp Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1698,-692730699,[],"","","",[],[],"","","","","","","",[],[],"",""
1808,"Metadata/Items/MicrotransactionSkillEffects/MicrotransactionFaithGuardWhirlingBladesEffect",40,2,2,"Faith Guard Whirling Blades Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1699,675815648,[],"","","",[],[],"","","","","","","",[],[],"",""
1809,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionBloodGuardHelmetAttachment",40,2,2,"Blood Guard Helmet Attachment","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1700,203950224,[],"","","",[],[],"","","","","","","",[],[],"",""
1810,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionFaithGuardHelmetAttachment",40,2,2,"Faith Guard Helmet Attachment","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1701,493057603,[],"","","",[],[],"","","","","","","",[],[],"",""
1811,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionOriathHelmetAttachment",40,2,2,"Oriath Helmet Attachment","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1702,2100980959,[],"","","",[],[],"","","","","","","",[],[],"",""
1812,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionBloodGuardFootprintsEffect",40,2,2,"Blood Guard Footprints Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1703,-1451045112,[],"","","",[],[],"","","","","","","",[],[],"",""
1813,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionFaithGuardFootprintsEffect",40,2,2,"Faith Guard Footprints Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1704,2013088532,[],"","","",[],[],"","","","","","","",[],[],"",""
1814,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionOriathFootprintsEffect",40,2,2,"Oriath Footprints Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1705,1773946119,[],"","","",[],[],"","","","","","","",[],[],"",""
1815,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionPureLightShield",40,2,2,"Pure Light Shield","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1706,98552123,[],"","","",[],[],"","","","","","","",[],[],"",""
1816,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSeraphGraceWings",40,2,2,"Seraph Grace Wings","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1707,-276190435,[],"","","",[],[],"","","","","","","",[],[],"",""
1817,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSphinxHelmet",40,2,2,"Sphinx Helmet","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1708,-103158818,[],"","","",[],[],"","","","","","","",[],[],"",""
1818,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSphinxBoots",40,2,2,"Sphinx Boots","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1709,1502677388,[],"","","",[],[],"","","","","","","",[],[],"",""
1819,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSphinxGloves",40,2,2,"Sphinx Gloves","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1710,878535054,[],"","","",[],[],"","","","","","","",[],[],"",""
1820,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSphinxBodyArmour",40,2,2,"Sphinx Body Armour","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1711,1435174960,[],"","","",[],[],"","","","","","","",[],[],"",""
1821,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionForgeWeaponEffect",40,2,2,"Forge Weapon Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1712,-1558379417,[],"","","",[],[],"","","","","","","",[],[],"",""
1822,"Metadata/Items/MicrotransactionCharacterEffects/MicrotransactionForgePortraitFrame",40,2,2,"Forge Portrait Frame","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1713,-60745672,[],"","","",[],[],"","","","","","","",[],[],"",""
1823,"Metadata/Items/MicrotransactionCharacterEffects/MicrotransactionDreadforgePortraitFrame",40,2,2,"Dreadforge Portrait Frame","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1714,-268606730,[],"","","",[],[],"","","","","","","",[],[],"",""
1824,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionDreadforgeHelmet",40,2,2,"Dreadforge Helmet","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1715,1679737423,[],"","","",[],[],"","","","","","","",[],[],"",""
1825,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionDreadforgeBoots",40,2,2,"Dreadforge Boots","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1716,-151446521,[],"","","",[],[],"","","","","","","",[],[],"",""
1826,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionDreadforgeGloves",40,2,2,"Dreadforge Gloves","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1717,-1181628990,[],"","","",[],[],"","","","","","","",[],[],"",""
1827,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionDreadforgeBodyArmour",40,2,2,"Dreadforge Body Armour","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1718,-1939515347,[],"","","",[],[],"","","","","","","",[],[],"",""
1828,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionStalkerWeaponEffect",40,2,2,"Stalker Weapon Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1719,-1703218219,[],"","","",[],[],"","","","","","","",[],[],"",""
1829,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionStalkerWings",40,2,2,"Stalker Wings","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1720,-441654452,[],"","","",[],[],"","","","","","","",[],[],"",""
1830,"Metadata/Items/MicrotransactionCharacterEffects/MicrotransactionStalkerPortraitFrame",40,2,2,"Stalker Portrait Frame","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1721,1578618288,[],"","","",[],[],"","","","","","","",[],[],"",""
1831,"Metadata/Items/MicrotransactionCharacterEffects/MicrotransactionShadowstalkerPortraitFrame",40,2,2,"Shadowstalker Portrait Frame","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1722,-1236426741,[],"","","",[],[],"","","","","","","",[],[],"",""
1832,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionShadowstalkerHelmet",40,2,2,"Shadowstalker Helmet","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1723,658284108,[],"","","",[],[],"","","","","","","",[],[],"",""
1833,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionShadowstalkerBoots",40,2,2,"Shadowstalker Boots","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1724,-1272941358,[],"","","",[],[],"","","","","","","",[],[],"",""
1834,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionShadowstalkerGloves",40,2,2,"Shadowstalker Gloves","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1725,-862646995,[],"","","",[],[],"","","","","","","",[],[],"",""
1835,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionShadowstalkerBodyArmour",40,2,2,"Shadowstalker Body Armour","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1726,-368565881,[],"","","",[],[],"","","","","","","",[],[],"",""
1836,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionDelvePickaxe",40,2,2,"Pickaxe","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1727,-1147200019,[],"","","",[],[],"","","","","","","",[],[],"",""
1837,"Metadata/Items/MicrotransactionSkillEffects/MicrotransactionShaperScorchingRayEffect",40,2,2,"Shaper Scorching Ray Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1728,-319952792,[],"","","",[],[],"","","","","","","",[],[],"",""
1838,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionGoldenAngelPortalEffect",40,2,2,"Golden Angel Portal Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1729,-169632754,[],"","","",[],[],"","","","","","","",[],[],"",""
1839,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionDelvePortalEffect",40,2,2,"Delve Portal Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1730,-1709592759,[],"","","",[],[],"","","","","","","",[],[],"",""
1840,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionMagmaWings",40,2,2,"Magma Wings","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1731,-166838716,[],"","","",[],[],"","","","","","","",[],[],"",""
1841,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionGorgonBackAttachment",40,2,2,"Gorgon Back Attachment","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1732,335095581,[],"","","",[],[],"","","","","","","",[],[],"",""
1842,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionBloodGuardShield",40,2,2,"Blood Guard Shield","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1733,1833030652,[],"","","",[],[],"","","","","","","",[],[],"",""
1843,"Metadata/Items/MicrotransactionSkillEffects/MicrotransactionDemonicLightningWarp",40,2,2,"Demonic Lightning Warp Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1734,-388372877,[],"","","",[],[],"","","","","","","",[],[],"",""
1844,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionNecroticWings",40,2,2,"Necrotic Wings","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1735,1648750007,[],"","","",[],[],"","","","","","","",[],[],"",""
1845,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionPyreKnightHelmet",40,2,2,"Pyre Knight Helmet","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1736,969892042,[],"","","",[],[],"","","","","","","",[],[],"",""
1846,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionPyreKnightBoots",40,2,2,"Pyre Knight Boots","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1737,1936069264,[],"","","",[],[],"","","","","","","",[],[],"",""
1847,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionPyreKnightGloves",40,2,2,"Pyre Knight Gloves","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1738,-2070157397,[],"","","",[],[],"","","","","","","",[],[],"",""
1848,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionPyreKnightBodyArmour",40,2,2,"Pyre Knight Body Armour","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1739,-834187184,[],"","","",[],[],"","","","","","","",[],[],"",""
1849,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionAzuriteBackAttachment",40,2,2,"Azurite Back Attachment","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1740,-1800551952,[],"","","",[],[],"","","","","","","",[],[],"",""
1850,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionDelveBrimmedHat",40,2,2,"Delve Brimmed Hat","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1741,-1639166124,[],"","","",[],[],"","","","","","","",[],[],"",""
1851,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionStalkerWingsUpgrade1",40,2,2,"Stalker Wings Upgrade 1","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1742,2093333045,[],"","","",[],[],"","","","","","","",[],[],"",""
1852,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionStalkerWingsUpgrade2",40,2,2,"Stalker Wings Upgrade 2","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1743,14275892,[],"","","",[],[],"","","","","","","",[],[],"",""
1853,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionStalkerWingsUpgrade3",40,2,2,"Stalker Wings Upgrade 3","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1744,-1129077846,[],"","","",[],[],"","","","","","","",[],[],"",""
1854,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionScareMaskHelmet",40,2,2,"Scare Mask Helmet","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1745,1650811408,[],"","","",[],[],"","","","","","","",[],[],"",""
1855,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSeraphPortalEffect",40,2,2,"Seraph Portal Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1746,-1451331202,[],"","","",[],[],"","","","","","","",[],[],"",""
1856,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionColiseumHelmet",40,2,2,"Coliseum Helmet","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1747,130089726,[],"","","",[],[],"","","","","","","",[],[],"",""
1857,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionColiseumBoots",40,2,2,"Coliseum Boots","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1748,1755399799,[],"","","",[],[],"","","","","","","",[],[],"",""
1858,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionColiseumGloves",40,2,2,"Coliseum Gloves","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1749,-935765266,[],"","","",[],[],"","","","","","","",[],[],"",""
1859,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionColiseumBodyArmour",40,2,2,"Coliseum Body Armour","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1750,896775238,[],"","","",[],[],"","","","","","","",[],[],"",""
1860,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionColiseumHelmetAttachment",40,2,2,"Coliseum Helmet Attachment","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1751,-1673257571,[],"","","",[],[],"","","","","","","",[],[],"",""
1861,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionAquilaCrestHelmetAttachment",40,2,2,"Aquila Crest Helmet Attachment","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1752,-716704588,[],"","","",[],[],"","","","","","","",[],[],"",""
1862,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSwanCrestHelmetAttachment",40,2,2,"Swan Crest Helmet Attachment","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1753,1126775300,[],"","","",[],[],"","","","","","","",[],[],"",""
1863,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionDragonCloak",40,2,2,"Dragon Cloak","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1754,1666706624,[],"","","",[],[],"","","","","","","",[],[],"",""
1864,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionNecroticHood",40,2,2,"Necrotic Hood","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1755,-1057929272,[],"","","",[],[],"","","","","","","",[],[],"",""
1865,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionDragonHunterHelmetAttachment",40,2,2,"Dragon Hunter Helmet Attachment","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1756,1132876762,[],"","","",[],[],"","","","","","","",[],[],"",""
1866,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionDragonHunterHelmet",40,2,2,"Dragon Hunter Helmet","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1757,-2019536557,[],"","","",[],[],"","","","","","","",[],[],"",""
1867,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionDragonHunterBoots",40,2,2,"Dragon Hunter Boots","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1758,650620495,[],"","","",[],[],"","","","","","","",[],[],"",""
1868,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionDragonHunterGloves",40,2,2,"Dragon Hunter Gloves","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1759,-503453745,[],"","","",[],[],"","","","","","","",[],[],"",""
1869,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionDragonHunterBodyArmour",40,2,2,"Dragon Hunter Body Armour","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1760,1530501380,[],"","","",[],[],"","","","","","","",[],[],"",""
1870,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionDragonHunterBow",40,2,2,"Dragon Hunter Bow","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1761,2010221081,[],"","","",[],[],"","","","","","","",[],[],"",""
1871,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionDragonHunterQuiver",40,2,2,"Dragon Hunter Quiver","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1762,756778323,[],"","","",[],[],"","","","","","","",[],[],"",""
1872,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionDragonHunterSword",40,2,2,"Dragon Hunter Sword","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1763,-1842803020,[],"","","",[],[],"","","","","","","",[],[],"",""
1873,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionDragonHunterLongsword",40,2,2,"Dragon Hunter Longsword","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1764,-2120874841,[],"","","",[],[],"","","","","","","",[],[],"",""
1874,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionDragonHunterWings",40,2,2,"Dragon Hunter Wings","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1765,-140930129,[],"","","",[],[],"","","","","","","",[],[],"",""
1875,"Metadata/Items/MicrotransactionCharacterEffects/MicrotransactionDragonHunterCharacterEffect",40,2,2,"Dragon Hunter Character Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1766,959972184,[],"","","",[],[],"","","","","","","",[],[],"",""
1876,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionDragonHunterWeaponEffect",40,2,2,"Dragon Hunter Weapon Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1767,278970914,[],"","","",[],[],"","","","","","","",[],[],"",""
1877,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionDragonHunterFootprintsEffect",40,2,2,"Dragon Hunter Footprints Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1768,-300895055,[],"","","",[],[],"","","","","","","",[],[],"",""
1878,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionDragonHunterPortalEffect",40,2,2,"Dragon Hunter Portal Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1769,191026038,[],"","","",[],[],"","","","","","","",[],[],"",""
1879,"Metadata/Items/MicrotransactionCharacterEffects/MicrotransactionDragonHunterApparitionEffect",40,2,2,"Dragon Hunter Apparition Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1770,527723790,[],"","","",[],[],"","","","","","","",[],[],"",""
1880,"Metadata/Items/MicrotransactionSkillEffects/MicrotransactionDragonHunterAuraEffect",40,2,2,"Dragon Hunter Aura Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1771,1395324565,[],"","","",[],[],"","","","","","","",[],[],"",""
1881,"Metadata/Items/MicrotransactionSkillEffects/MicrotransactionArcaneBarrageEffect",40,2,2,"Arcane Barrage Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1772,228076116,[],"","","",[],[],"","","","","","","",[],[],"",""
1882,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionNecroticPortalEffect",40,2,2,"Necrotic Portal Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1773,-33765783,[],"","","",[],[],"","","","","","","",[],[],"",""
1883,"Metadata/Items/MicrotransactionSkillEffects/MicrotransactionNightLotusToxicRainEffect",40,2,2,"Night Lotus Toxic Rain Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1774,-1498346093,[],"","","",[],[],"","","","","","","",[],[],"",""
1884,"Metadata/Items/MicrotransactionSkillEffects/MicrotransactionCelestialCausticArrow",40,2,2,"Celestial Caustic Arrow Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1775,2098382511,[],"","","",[],[],"","","","","","","",[],[],"",""
1885,"Metadata/Items/MicrotransactionSkillEffects/MicrotransactionNightLotusScourgeArrow",40,2,2,"Night Lotus Scourge Arrow effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1776,959053429,[],"","","",[],[],"","","","","","","",[],[],"",""
1886,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionHarpyonHelmet",40,2,2,"Harpyon Helmet","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1777,2143631480,[],"","","",[],[],"","","","","","","",[],[],"",""
1887,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionHarpyonBodyArmour",40,2,2,"Harpyon Body Armour","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1778,660916106,[],"","","",[],[],"","","","","","","",[],[],"",""
1888,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionHarpyonGloves",40,2,2,"Harpyon Gloves","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1779,963157671,[],"","","",[],[],"","","","","","","",[],[],"",""
1889,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionHarpyonBoots",40,2,2,"Harpyon Boots","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1780,1868070391,[],"","","",[],[],"","","","","","","",[],[],"",""
1890,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionAzuriteFootprintsEffect",40,2,2,"Azurite Footprints Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1781,1297795522,[],"","","",[],[],"","","","","","","",[],[],"",""
1891,"Metadata/Items/MicrotransactionSkillEffects/MicrotransactionShadowstalkerElementalHit",40,2,2,"Shadowstalker Elemental Hit Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1782,1318817676,[],"","","",[],[],"","","","","","","",[],[],"",""
1892,"Metadata/Items/MicrotransactionSkillEffects/MicrotransactionSulphiteArc",40,2,2,"Radiant Arc Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1783,-619932407,[],"","","",[],[],"","","","","","","",[],[],"",""
1893,"Metadata/Items/MicrotransactionSkillEffects/MicrotransactionGhostflameCyclone",40,2,2,"Ghostflame Cyclone Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1784,656006199,[],"","","",[],[],"","","","","","","",[],[],"",""
1894,"Metadata/Items/MicrotransactionSkillEffects/MicrotransactionAutomatonLightningSpire",40,2,2,"Automaton Lightning Spire Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1785,2020801465,[],"","","",[],[],"","","","","","","",[],[],"",""
1895,"Metadata/Items/MicrotransactionSkillEffects/MicrotransactionQuicksilverCremation",40,2,2,"Quicksilver Cremation Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1786,-1233326551,[],"","","",[],[],"","","","","","","",[],[],"",""
1896,"Metadata/Items/MicrotransactionSkillEffects/MicrotransactionIronMaidenAncestralWarchief",40,2,2,"Iron Maiden Ancestral Warchief","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1787,-1009789916,[],"","","",[],[],"","","","","","","",[],[],"",""
1897,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSulphitePortalEffect",40,2,2,"Sulphite Portal Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1788,1772663315,[],"","","",[],[],"","","","","","","",[],[],"",""
1898,"Metadata/Items/MicrotransactionSkillEffects/MicrotransactionPrismaticDoubleStrike",40,2,2,"Prismatic Double Strike Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1789,-830901733,[],"","","",[],[],"","","","","","","",[],[],"",""
1899,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionFaithGuardShield",40,2,2,"Faith Guard Shield","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1790,1555211409,[],"","","",[],[],"","","","","","","",[],[],"",""
1900,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionScarabShield",40,2,2,"Scarab Shield","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1791,1580725502,[],"","","",[],[],"","","","","","","",[],[],"",""
1901,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionCyclopsShield",40,2,2,"Cyclops Shield","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],38,0,1792,-950293655,[],"","","",[],[],"","","","","","","",[],[],"",""
