"rownum","Id","PanelImage","HeaderImage","Screenshots","Description","League","bool","TrailerVideoLink","BackgroundImage","bool","bool","PanelItems"
54,"Blight11","Art/2DArt/UIImages/Login/LeagueInfo/Blight/Panel10","Art/2DArt/UIImages/Login/LeagueInfo/Blight/Heading10","[""Art/2DArt/UIImages/Login/LeagueInfo/Blight/Panel10/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Blight/Panel10/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Blight/Panel10/Screenshot3""]","We often received feedback that Mines, though strong, felt clunky to use. In Blight, we have completely reworked Mine mechanics from the ground up. Thrown to a location rather than placed at your feet, Mines now deploy more quickly and detonate in sequence. Mine skills now also reward you for detonating long sequences. New and reworked Mine Support Gems, as well as the mobile Skitterbots, provide new avenues for explosive power. All these additions are further enhanced by changes to the Passive Skill Tree and the Saboteur Ascendancy Class.","Blight",1,"","","","",[]
55,"Blight12","Art/2DArt/UIImages/Login/LeagueInfo/Blight/Panel11","Art/2DArt/UIImages/Login/LeagueInfo/Blight/Heading11",[],"Alongside the Oils, Blighted Maps and new Jewellery Enchantments, Path of Exile: Blight contains 18 new Divination Cards, 16 new Skill and Support Gems, and 16 new Unique Items for you to discover. In addition, we have rebalanced 24 existing Unique Items, of which six have received substantial overhauls.","Blight","","","","","",[]
56,"Blight13","Art/2DArt/UIImages/Login/LeagueInfo/Blight/Panel12","Art/2DArt/UIImages/Login/LeagueInfo/Blight/Heading12",[],"We're also launching two sets of Supporter Packs alongside Blight - the Lich and Sentinel Packs. There are two price points available for each and they feature masses of points alongside new Armour Sets and other exclusive cosmetic microtransactions!\n\nPath of Exile: Blight will launch on September 6th (PDT) on PC, and September 9 on Xbox One and PlayStation 4.","Blight",1,"","",1,"",[]
57,"Metamorph1","Art/2DArt/UIImages/Login/LeagueInfo/Metamorph/TrailerThumbnail","",[],"","Metamorph","","http://web.poecdn.com/public/videos/MetamorphTrailer_En.bk2","","","",[]
58,"Metamorph2","Art/2DArt/UIImages/Login/LeagueInfo/Metamorph/Panel1","Art/2DArt/UIImages/Login/LeagueInfo/Metamorph/Heading1",[],"In the Metamorph league, you'll meet a new NPC, Tane Octavius, a master alchemist who studied in Oriath. Exiled to Wraeclast for killing his teacher, Tane searches for what makes the self, by using his learned alchemical knowledge to assemble monster essences. He hopes to find a cure, or perhaps just the source, for what he calls the intrinsic darkness that led to his unforgivable violence.","Metamorph","","","","","",[]
59,"Metamorph3","Art/2DArt/UIImages/Login/LeagueInfo/Metamorph/Panel2","Art/2DArt/UIImages/Login/LeagueInfo/Metamorph/Heading2","[""Art/2DArt/UIImages/Login/LeagueInfo/Metamorph/Panel2/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Metamorph/Panel2/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Metamorph/Panel2/Screenshot3""]","In each area you play in the Metamorph League, Tane will collect samples from selected monsters you have killed. Summon Tane to combine your choice of samples to create a formidable Metamorphic foe to defeat. Each sample contributes abilities to this boss, who wildly morphs from form to form during the encounter. With careful selection of samples, you control which abilities the boss has and what rewards it yields.","Metamorph",1,"","","","",[]
60,"Metamorph4","Art/2DArt/UIImages/Login/LeagueInfo/Metamorph/Panel3","Art/2DArt/UIImages/Login/LeagueInfo/Metamorph/Heading3",[],"Metamorph encounters can also drop Catalysts, a new type of currency item that adds quality to jewellery. There are many types of jewellery quality, each related to a set of mods. The quality value on a piece of jewellery scales up the magnitude of related mods on the item and can be consumed through crafting to increase the chances of rolling related mods.","Metamorph","","","","","",[]
61,"Metamorph5","Art/2DArt/UIImages/Login/LeagueInfo/Metamorph/Panel4","Art/2DArt/UIImages/Login/LeagueInfo/Metamorph/Heading4","[""Art/2DArt/UIImages/Login/LeagueInfo/Metamorph/Panel4/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Metamorph/Panel4/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Metamorph/Panel4/Screenshot3""]","In the endgame of the Metamorph league, you can collect samples from Maps Bosses to create deadly Metamorphs that combine the powers, challenge and rewards of multiple bosses into very dangerous encounters.","Metamorph",1,"","","","",[]
62,"Metamorph6","Art/2DArt/UIImages/Login/LeagueInfo/Metamorph/Panel5","Art/2DArt/UIImages/Login/LeagueInfo/Metamorph/Heading5",[],"The Metamorph league is part of the larger Conquerors of the Atlas expansion, coming out on December 13 (PST) on PC, and the following week on Xbox One and PlayStation 4.","Metamorph","","","",1,"",[]
63,"Delirium1","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/ThumbnailTrailer","",[],"","Delirium","","http://web.poecdn.com/public/videos/DeliriumTrailer_En.bk2","","","",[]
64,"Delirium2","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Panel1","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Heading1",[],"A mysterious affliction has infiltrated your mind. As you touch the Mirror of Delirium, reality turns to mist and your worst nightmares emerge before your eyes.\r\n\r\nOur March expansion contains the Delirium challenge league, the new Cluster Jewel system, new skills and support gems, powerful new items and further improvements to the Atlas endgame.","Delirium","","","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/textbackground","","",[]
65,"Delirium3","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Panel2","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Heading2","[""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Panel2/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Panel2/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Panel2/Screenshot3""]","As the mists of Delirium consume you, new enemies emerge and existing foes gain savage talents. Delirium introduces dozens of lethal monster modifiers, many new bosses, and horrifying demons lurking within rare and unique monsters.","Delirium",1,"","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/textbackground","","",[]
66,"Delirium4","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Panel3","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Heading3","[""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Panel3/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Panel3/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Panel3/Screenshot3""]","As you travel deeper into the Delirium, you'll experience more numerous and challenging enemies with greater rewards. Will you let greed and hubris draw you into the madness?","Delirium","","","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/textbackground","","",[]
67,"Delirium5","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Panel4","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Heading4","[""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Panel4/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Panel4/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Panel4/Screenshot3""]","Nowhere is safe. Encounters you once mastered can now be played under the effects of Delirium, substantially ramping up their difficulty and rewards. If you're daring, you can exploit Delirium to amplify past conflicts.","Delirium",1,"","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/textbackground","","",[]
68,"Delirium6","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Panel5","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Heading5",[],"Orbs of Delirium can be applied to endgame maps to control how intense your Delirium is. Under the influence of an Orb, you are immediately plunged into Delirium for the entire duration of that map. A single Orb creates a challenging encounter, but up to five can be applied to a map for ultimate difficulty and rewards.","Delirium","","","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/textbackground","","",[]
69,"Delirium7","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Panel6","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Heading6",[],"Search the deepest reaches of your Delirium for Splinters and combine them to create The Simulacrum. Enter its portal and try to survive the ultimate endgame Delirium challenge.","Delirium",1,"","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/textbackground","","",[]
70,"Delirium8","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Panel7","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Heading7",[],"Extend your passive skill tree by placing a Cluster Jewel in one of its outermost sockets. With craftable mods that improve the passives generated, add one of 280 new notables, or even graft additional sockets for deeper nesting, Cluster Jewels let you grow your own passive tree.\r\n\r\nDropping from any monster in the Delirium League, these new Jewels are one of the most significant improvements to build customisation since the introduction of Ascendancy Classes.","Delirium","","","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/textbackground","","",[]
71,"Delirium9","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Panel8","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Heading8",[],"Conquerors of the Atlas revitalised Path of Exile's endgame experience. In Delirium, we have made Conqueror spawning deterministic, reintroduced Sextant vendor recipes, created extra incentives to reach higher Awakening levels, revamped Vaal side areas in maps, improved the Temple of Atzoatl, and more.","Delirium",1,"","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/textbackground","","",[]
72,"Delirium10","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Panel9","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Heading9","[""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Panel9/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Panel9/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Panel9/Screenshot3""]","Delirium introduces four new Skill Gems and three new Support Gems. In classic Path of Exile style, we've focused on versatile designs that can complement many styles of gameplay.","Delirium","","","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/textbackground","","",[]
73,"Delirium11","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Panel10","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Heading10",[],"In addition to the new Currency Items, Cluster Jewels, Gems and Endgame Simulacrum Maps, Path of Exile: Delirium introduces many new Divination Cards and Unique Items that provide new character build opportunities.","Delirium",1,"","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/textbackground","","",[]
74,"Delirium12","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Panel11","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/Heading11",[],"Alongside Path of Exile: Delirium, we're also launching two sets of Supporter Packs - the Darkseer and Fateweaver Packs. There are two price points available for each and they each contain points, Armour sets and other cosmetic microtransactions!\r\n\r\nPath of Exile: Delirium will launch on March 13 (PST) on PC and the following week on Xbox One and PlayStation 4.","Delirium","","","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/textbackground",1,"",[]
75,"Harvest1","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/ThumbnailTrailer","",[],"","Harvest","","http://web.poecdn.com/public/videos/HarvestTrailer_En.bk2","","","",[]
76,"Harvest2","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel1","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/heading1",[],"In Path of Exile: Harvest, Oshabi is cultivating the Sacred Grove, an ancient garden of mysterious power. Plant seeds that grow into dangerous enemies and craft their Lifeforce onto your items.\n\nOur June expansion contains the Harvest challenge league, powerful new crafting options, eight new skills, two new support gems, revamps of Two-handed Weapons, Warcry skills, Brands, Slams and the Passive Skill Tree itself. We've also introduced 12 new unique items and rebalanced over 50 existing ones.","Harvest","","","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/textbackground","","",[]
77,"Harvest3","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel2","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/heading2","[""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel2/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel2/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel2/Screenshot3""]","<italic>{\""It is beautiful, yes? I believe it to be older than the Eternal Empire. Older than the Vaal? I am not so sure. But it does not look like their work. I like to believe it is a work of my ancestral Azmeri. I was once blessed with a deep connection to the land. It would speak to me, and nourish me. But that connection was severed. And in turn, my tribe severed their connection to me. I was alone. Lost. The land spoke no more... until I found this place.\""} -- Oshabi","Harvest",1,"","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/textbackground","","",[]
78,"Harvest4","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel3","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/heading3",[],"Seek out the Seed Cache in every area you explore. Take its seeds through Oshabi's portal to the Sacred Grove. Sow those seeds to grow dangerous and rewarding monsters. While most seeds grow easily, rarer high-tier ones require more careful planning but yield more valuable results.","Harvest","","","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/textbackground","","",[]
79,"Harvest5","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel4","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/heading4","[""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel4/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel4/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel4/Screenshot3""]","When your monsters are ready for harvest, slaughter them and claim their Lifeforce. Every enemy you fight in the Sacred Grove is one you intentionally planted. Customise your combat around your character's capabilities and what rewards you're seeking.","Harvest",1,"","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/textbackground","","",[]
80,"Harvest6","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel5","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/heading5",[],"Every monster you defeat in the Grove grants you a crafting option. Performing one of these powerful crafts consumes Lifeforce from the monsters you just harvested. In order to maximise your Lifeforce and hence crafting potential, you'll want to take on as many monsters as you dare handle. Harvest Crafting provides powerful directed crafting to an extent that Path of Exile has never seen before.","Harvest","","","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/textbackground","","",[]
81,"Harvest7","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel6","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/heading6",[],"As you build the ultimate garden, you'll discover exotic seeds with specific needs that must be met in order to grow. Various pipes, storage tanks and dispersers can help you fertilise your garden with any remaining Lifeforce.","Harvest",1,"","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/textbackground","","",[]
82,"Harvest8","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel7","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/heading7","[""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel7/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel7/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel7/Screenshot3""]","Oshabi speaks of the legend of three primordial beasts: Ersi, Janaar and Namharim. For those able to cultivate these rare seeds, the immense monsters that emerge can yield Harvest's most valuable rewards.","Harvest","","","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/textbackground","","",[]
83,"Harvest9","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel8","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/heading8",[],"The Passive Skill Tree has received many improvements including better support for some mechanics (for example, Two-handed Weapons or Rage) with both numeric buffs and entirely new clusters of passives. In addition, there are many new notable and keystones passives, which include both fan-favourites from Timeless Jewels and even some entirely new ones.","Harvest",1,"","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/textbackground","","",[]
84,"Harvest10","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel9","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/heading9","[""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel9/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel9/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel9/Screenshot3""]","As part of our two-handed weapon improvements, several melee skills have been recategorised as slams. We've introduced a new slam skill and support gem. We've also revamped several existing slams with new visual effects, improved functionality and greater power for two-handed weapon users.","Harvest","","","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/textbackground","","",[]
85,"Harvest11","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel10","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/heading10","[""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel10/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel10/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel10/Screenshot3""]","We've added four new Warcry skills and reworked three existing ones. Warcries now scale based on the power of nearby enemies rather than the quantity. Many Warcries also <italic>{exert} your attacks, increasing their power for a number of attacks.","Harvest",1,"","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/textbackground","","",[]
86,"Harvest12","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel11","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/heading11","[""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel11/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel11/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel11/Screenshot3""]","We've introduced three new Brands, one Brand support gem and have revamped existing Brands. We've made Brands a lot more versatile while also reviewing how their core mechanics work. Brand Recall no longer reigns supreme but is a useful tool alongside many new options.","Harvest","","","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/textbackground","","",[]
87,"Harvest13","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel12","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/heading12",[],"We're introducing 12 new unique items and reworking over 50 existing ones.","Harvest",1,"","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/textbackground","","",[]
88,"Harvest14","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel13","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/heading13",[],"Delirium and Cluster Jewels are being integrated into the core Path of Exile experience! Because Delirium stacks with other league mechanics to make them more difficult and rewarding, the chance of encountering it rises exponentially with the number of other league mechanics in the area.","Harvest","","","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/textbackground","","",[]
89,"Harvest15","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel14","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/heading14",[],"Last week we released a Beta of our new Vulkan renderer which has greatly reduced stuttering and smoothed out game performance. This renderer has made a massive improvement for many players, and we aim to fix issues that other players have encountered before the release of Harvest. This new renderer comes alongside continued graphics technology improvements such as a new Bloom system that is used extensively in the Harvest league.","Harvest",1,"","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/textbackground","","",[]
90,"Harvest16","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/Panel15","Art/2DArt/UIImages/Login/LeagueInfo/Harvest/heading15",[],"We're also launching two sets of Supporter Packs alongside Harvest - the Malice and Benevolence Packs. There are two price points available for each and they feature masses of points alongside new Armour Sets and other exclusive cosmetic microtransactions!\n\nPath of Exile: Harvest will launch on June 19 (PDT) on PC, and June 24 on Xbox One and PlayStation 4.","Harvest","","","Art/2DArt/UIImages/Login/LeagueInfo/Delirium/textbackground",1,"",[]
91,"Heist1","Art/2DArt/UIImages/Login/LeagueInfo/Heist/ThumbnailTrailer","",[],"","Heist","","http://web.poecdn.com/public/videos/HeistTrailer_En.bk2","","","",[]
92,"Heist2","Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel1","Art/2DArt/UIImages/Login/LeagueInfo/Heist/Heading1",[],"In <italic>{Path of Exile: Heist}, you will hire skilled thieves to help you pull off risky Heists. Steal valuable artifacts to fund and train your crew as you plan towards the execution of a Grand Heist.\n\nOur September expansion contains the Heist challenge league, nine new Skills and Support Gems, revamps of Curses, Steel Skills, and some Spells. Grand Heists offer exclusive new rewards such as Weapon and Body Armour Enchantments, Heist Trinkets, Alternate-quality Gems and Replica Unique Items.","Heist","","","Art/2DArt/UIImages/Login/LeagueInfo/Heist/textbackground","","",[]
93,"Heist3","Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel2","Art/2DArt/UIImages/Login/LeagueInfo/Heist/Heading2","[""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel2/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel2/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel2/Screenshot3""]","Buy your passage to the Rogue Harbour where you'll consort with a crew of thieves who offer nefarious services. Thirteen Rogues can be contracted to assist you with setting up or executing a Heist by filling roles such as transportation, lockpicking or demolition.","Heist",1,"","Art/2DArt/UIImages/Login/LeagueInfo/Heist/textbackground","","",[]
94,"Heist4","Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel3","Art/2DArt/UIImages/Login/LeagueInfo/Heist/Heading3","[""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel3/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel3/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel3/Screenshot3""]","In order to execute a Heist, you need to know the location of a valuable Artifact and what defences safeguard it. Contracts containing these clues can be found throughout Wraeclast alongside coins with the mysterious emblem of the Rogue Harbour. Travel there and turn in these objects to hire the expertise you need for your Heist.","Heist","","","Art/2DArt/UIImages/Login/LeagueInfo/Heist/textbackground","","",[]
95,"Heist5","Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel4","Art/2DArt/UIImages/Login/LeagueInfo/Heist/Heading4","[""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel4/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel4/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel4/Screenshot3""]","If you can't escape the Heist, you'll lose everything you stole while infiltrating the facility. You'll need to support your Rogue while they bypass security in order to reach the vault. Be careful with how much commotion you cause, or you may trigger the alarm, causing the facility to be locked down. When this happens, it's time to run.","Heist",1,"","Art/2DArt/UIImages/Login/LeagueInfo/Heist/textbackground","","",[]
96,"Heist6","Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel5","Art/2DArt/UIImages/Login/LeagueInfo/Heist/Heading5",[],"Specialised items can be equipped to Rogues to make them stealthier, deadlier, and more adept at their roles. Like any other Path of Exile items, Rogue equipment can be crafted with currency items. A well-equipped crew is a great asset when undertaking the most difficult Heists.","Heist","","","Art/2DArt/UIImages/Login/LeagueInfo/Heist/textbackground","","",[]
97,"Heist7","Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel6","Art/2DArt/UIImages/Login/LeagueInfo/Heist/Heading6","[""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel6/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel6/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel6/Screenshot3""]","The ultimate goal of a thief is to pull off a Grand Heist. This requires access to Blueprints that show where the vaults are located inside sprawling facilities. These elaborate jobs require masterful planning, purchasing additional intel about the facility, and hiring multiple Rogues to assist with their many obstacles. This planning can result in a huge pay-off as each vault has its own exclusive rewards.","Heist",1,"","Art/2DArt/UIImages/Login/LeagueInfo/Heist/textbackground","","",[]
98,"Heist8","Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel7","Art/2DArt/UIImages/Login/LeagueInfo/Heist/Heading7",[],"One of the exclusive rewards you'll be able to steal from Grand Heists are Trinkets, which go in their own new equipment slot. These magical items influence what rewards you'll find from future Heists you run. Some of their modifiers affect the items dropped by enemies and chests, while others modify the rewards you could obtain from a Heist's special reward chests.","Heist","","","Art/2DArt/UIImages/Login/LeagueInfo/Heist/textbackground","","",[]
99,"Heist9","Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel8","Art/2DArt/UIImages/Login/LeagueInfo/Heist/Heading8",[],"Alternate Quality Gems come from Grand Heist reward rooms and provide even more depth for existing Skill and Support Gems. Each existing Path of Exile gem has up to three Alternate Quality versions which grant different quality bonuses than the original gems. Some simply increase the power of the gem while others entirely change which builds most benefit from the gem.","Heist",1,"","Art/2DArt/UIImages/Login/LeagueInfo/Heist/textbackground","","",[]
100,"Heist10","Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel9","Art/2DArt/UIImages/Login/LeagueInfo/Heist/Heading9",[],"Other rewards you can claim from Grand Heists are Replica Unique Items and Experimented Base Types. Replica Unique items result from attempts to re-create unique items of legend, where the end product has a few crucial differences. They're often appropriate for entirely different character builds than the original item. Experimented Base Types are a variety of new item base types that have exotic properties that differ from their core-game counterparts.","Heist","","","Art/2DArt/UIImages/Login/LeagueInfo/Heist/textbackground","","",[]
101,"Heist11","Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel10","Art/2DArt/UIImages/Login/LeagueInfo/Heist/Heading10",[],"The final type of new reward available from Grand Heists is a selection of Weapon and Body Armour enchantments. These enchantments come on unnaturally-powerful rare items and affect the magnitude of modifiers on those items. Some of these enchantments are so powerful that they involve substantial drawbacks.","Heist",1,"","Art/2DArt/UIImages/Login/LeagueInfo/Heist/textbackground","","",[]
102,"Heist12","Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel11","Art/2DArt/UIImages/Login/LeagueInfo/Heist/Heading11","[""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel11/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel11/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel11/Screenshot3""]","We've added a new Curse-related skill and a new Curse support gem. The new Doom mechanic causes a self-cast Curse to increase in intensity over time until it expires. This works well in conjunction with the Impending Doom support, which causes an explosion of chaos damage when a linked curse ends. Curses have also received a new look.","Heist","","","Art/2DArt/UIImages/Login/LeagueInfo/Heist/textbackground","","",[]
103,"Heist13","Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel12","Art/2DArt/UIImages/Login/LeagueInfo/Heist/Heading12","[""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel12/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel12/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel12/Screenshot3""]","We've revamped Steel Skills by introducing Shards, deadly blades fragments that hover near your character. The Call of Steel Skill is available whenever you have a Steel skill equipped. It bursts Shards from the ground, providing more ammunition for Steel projectiles, and causes existing Shards to explode out of impaled enemies. We've also added one new Steel Skill and reworked both Shattering and Lancing Steel.","Heist",1,"","Art/2DArt/UIImages/Login/LeagueInfo/Heist/textbackground","","",[]
104,"Heist14","Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel13","Art/2DArt/UIImages/Login/LeagueInfo/Heist/Heading13","[""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel13/Screenshot1"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel13/Screenshot2"",""Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel13/Screenshot3""]","Alongside the introduction of six new spells, we've reworked Discharge and Glacial Cascade. A goal with these new spells is that while they are powerful in a variety of character builds, they have additional benefits when self-cast.","Heist","","","Art/2DArt/UIImages/Login/LeagueInfo/Heist/textbackground","","",[]
105,"Heist15","Art/2DArt/UIImages/Login/LeagueInfo/Heist/Panel14","Art/2DArt/UIImages/Login/LeagueInfo/Heist/Heading14",[],"<italic>{Path of Exile: Heist} also introduces over 25 new Unique Items, 12 new Divination Cards, a visual revamp to some skill effects and much more.","Heist",1,"","Art/2DArt/UIImages/Login/LeagueInfo/Heist/textbackground","","",[]
