"rownum","Id","MonsterType","MovementSpeed","ObjectSize","MinimumAttackDistance","MaximumAttackDistance","ACTFiles","AOFiles","BaseMonsterTypeIndex","Mods","i32","string","string","ModelSizeMultiplier","i32","i32","rid","i32","i32","Tags","ExperienceMultiplier","[i32]","MinAgroRange","MaxAgroRange","SpotlightColour1","SpotlightColour2","SpotlightColour3","GrantedEffects","AISFile","Mods2","Stance","rid","Name","DamageMultiplier","LifeMultiplier","AttackSpeed","Weapon1_ItemVisualIdentity","Weapon2_ItemVisualIdentity","Back_ItemVisualIdentity","MainHand_ItemClass","OffHand_ItemClass","Helmet_ItemVisualIdentity","i32","KillSpecificMonsterCount_AchievementItems","Special_Mods","KillRare_AchievementItems","bool","i32","i32","i32","i32","i32","i32","HASH16","bool","string","KillWhileOnslaughtIsActive_AchievementItem","MonsterSegment","MonsterArmour","KillWhileTalismanIsActive_AchievementItem","Part1_Mods","Part2_Mods","Endgame_Mods","rid","i32","i32","[rid]","MultiPartAchievements","i32","SinkAnimation_AOFile","bool","[rid]","bool","bool","bool","i32","i32","f32","AilmentThreshold","SinkEffect","i32","MonsterConditionalEffectPack","bool","bool","i32","bool","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","BossHealthBar","rid","i32","bool","i32","i32","i32","i32","bool","i32","rid","i32","i32","i32","bool","i32","i32","i32","rid","i32","i32","i32","rid","bool","i32","bool"
453,"Metadata/Monsters/Lark/Lark",218,40,3,6,12,"[""Metadata/Monsters/Lark/Lark.act""]","[""Metadata/Monsters/Lark/Lark.ao""]","Metadata/Monsters/Lark/Lark",[],1,"","",100,2,6,5,1,0,"[755,48,31,29,118,1025]",200,[],100,105,700,500,0,[578],"Metadata/Monsters/Lark/Lark.ais",[],"",0,"[DNT] Lark",200,200,1995,[],[],"",9,9,"",0,[],[],[],"",1,6,135,0,0,135,16936,"","","","","","",[],[],[],"",300,0,[],[],0,"","",[],"",1,1,0,0,0,80,0,0,"","",1,3,1,0,0,0,0,0,0,0,0,255288,0,0,0,"","",7,"",0,0,0,0,"",0,"",1065353216,1065353216,0,"",0,255288,0,"",0,150,1028443341,0,1,0,""
454,"Metadata/Monsters/Lark/LarkAssassin",218,40,3,6,12,"[""Metadata/Monsters/Lark/Lark.act""]","[""Metadata/Monsters/Lark/Lark.ao""]","Metadata/Monsters/Lark/LarkAssassin",[],1,"","",100,3,6,1,1,0,"[1021,755,48,31,29,118]",200,[],105,105,700,500,0,"[578,3550,3917,3922]","Metadata/Monsters/Lark/Lark.ais",[],"",0,"[DNT] Lark Assassin",200,200,1995,[],[],"","","","",0,[],[],[],"",1,6,135,0,0,135,63484,"","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"","",1,0,0,0,80,0,0,"","",1,3,1,0,0,0,0,0,0,0,0,255580,0,0,0,"","",7,"",0,0,0,0,"",0,"",1065353216,1065353216,0,"",0,255580,0,"",0,150,1028443341,0,1,0,""
455,"Metadata/Monsters/Balbala/Balbala",219,58,2,6,13,"[""Metadata/Monsters/Balbala/Balbala.act""]","[""Metadata/Monsters/Balbala/Balbala.ao""]","Metadata/Monsters/Balbala/Balbala",[],1,"","",140,2,6,1,5,0,"[1021,53,48,31,29,73,756]",250,[],100,250,700,500,0,"[4732,4733,4735,4750,4753,4754,4742,4743,4744,4745,4746,4747,4748,4749,4757,4755,4756,4751,4737,4752,5025,585,1659,4758,4759,884,4736,1255,4734,2408,1766,1767,2413,2414,3335,1303,5272,3336,1304,3339]","Metadata/Monsters/Balbala/Balbala.ais",[],"",3,"Balbala, the Traitor",250,188,1500,[],[],"","","","",0,[9444],[3779],[],"",1,6,135,0,0,135,55304,"","","","","","",[],[],[],"",200,0,[],[],0,"","",[],"",1,1,0,0,0,80,0,0,"",1,1,3,1,0,0,0,0,0,0,0,0,256726,0,0,0,1,"",7,"",0,0,0,0,"",0,4605,1065353216,1065353216,1,"",0,256726,0,"",4,234,1032805417,0,1,0,""
456,"Metadata/Monsters/Balbala/BalbalaMAP",220,58,2,6,13,"[""Metadata/Monsters/Balbala/Balbala.act""]","[""Metadata/Monsters/Balbala/Balbala.ao""]","Metadata/Monsters/Balbala/BalbalaMAP_",[],1,"","",140,2,6,1,5,0,"[1021,53,48,31,29,73,756]",250,[],100,250,700,500,0,"[4732,4733,4735,4750,4753,4754,4742,4743,4744,4745,4746,4747,4748,4749,4757,4755,4756,4751,4737,4752,5025,585,1659,4758,4759,884,4736,1255,4734,2408,1766,1767,2413,2414,3335,1303,5272,3336,1304,3339]","Metadata/Monsters/Balbala/Balbala.ais",[],"",3,"Pirasha, the Forgotten Prisoner",250,250,1500,[],[],"","","","",0,[],"[3779,3579]",[],"",1,6,135,0,0,135,11727,"","","","","","",[],[],[],"",200,0,[],[],0,"","",[],"",1,1,0,0,0,80,0,0,"",1,1,3,1,0,0,0,0,0,0,1,0,257746,0,0,0,1,"",7,"",0,0,0,0,"",0,"",1065353216,1065353216,1,"",0,257754,0,"",4,313,1032805417,0,1,0,""
457,"Metadata/Monsters/Balbala/BalbalaClone_",221,58,3,6,13,"[""Metadata/Monsters/Balbala/BalbalaClone.act""]","[""Metadata/Monsters/Balbala/BalbalaSpirit.ao""]","Metadata/Monsters/Balbala/BalbalaClone",[5626],1,"","",120,2,6,1,9,0,"[1021,53,48,31,29,73,756]",35,[],100,105,700,500,0,"[4758,4759,4734]","Metadata/Monsters/Balbala/BalbalaClone.ais",[],"",3,"Spirit of Balbala",70,5,1500,[],[],"","","","",0,[],[],[],"",1,6,135,0,0,135,60701,"","","","","","",[],[],[],"",200,0,[],[],0,"","",[],"",1,1,0,0,0,80,0,0,"","",1,3,1,0,0,0,0,0,0,0,0,258410,0,0,0,"","",7,"",0,0,0,0,"",0,"",1065353216,1065353216,1,"",0,258410,0,"",4,200,1028443341,0,1,0,""
458,"Metadata/Monsters/Balbala/BalbalaFog",36,8,3,6,6,"[""Metadata/Monsters/Daemon/Daemon.act""]","[""Metadata/Monsters/Daemon/Daemon.ao""]","Metadata/Monsters/Balbala/BalbalaFog",[],1,"","",100,3,3,1,9,0,"[1021,752]",100,[],105,105,700,500,0,[],"Metadata/Monsters/NoAi.ais",[],"",3,"Daemon",67,100,1000,[],[],"","","","",0,[],[],[],"",1,6,135,0,0,135,2924,"","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,1,0,0,0,80,0,0,"","",1,3,1,0,0,0,0,0,0,0,0,258534,0,0,0,"","",7,"",0,0,0,0,"",0,"",1065353216,1065353216,0,"",0,258534,0,"",0,100,1028443341,0,1,0,""
459,"Metadata/Monsters/Bugbot/BugbotRocky_",223,31,2,6,10,"[""Metadata/Monsters/Bugbot/Bugbot.act""]","[""Metadata/Monsters/Bugbot/Bugbot.ao""]","Metadata/Monsters/Bugbot/BugbotRocky",[],1,"","",100,2,6,12,6,0,"[74,754,713,30,31,714,1032]",60,[],70,105,700,500,0,[580],"Metadata/Monsters/Bugbot/Bugbot.ais",[],"",3,"Skitter Golem",60,60,1005,[],[],"","","","",0,[],[],[],1,1,1,135,0,0,116,11262,"","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-20,20,0,80,0,0,"","",1,3,1,0,0,0,0,0,0,0,0,259082,0,-5,5,"","",4,"",0,0,-5,5,"",0,"",1065353216,1065353216,0,"",0,259082,0,282,3,60,1028443341,0,1,0,""
460,"Metadata/Monsters/Bugbot/BugbotRockySanctumTrial",224,31,2,6,10,"[""Metadata/Monsters/Bugbot/Bugbot.act""]","[""Metadata/Monsters/Bugbot/Bugbot.ao""]","Metadata/Monsters/Bugbot/BugbotRocky",[],1,"","",100,2,6,12,6,0,"[724,74,715,754,713,30,31,1015,1032,174]",60,[],70,105,700,500,0,"[580,2748]","Metadata/Monsters/Bugbot/BugbotSanctum.ais",[],"",3,"Skitter Golem",60,60,1005,[],[],"","","","",0,[],[],[],1,1,1,135,0,0,116,3073,"","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-20,20,0,80,0,0,"","",1,3,1,0,0,0,0,0,0,1,0,259478,0,-5,5,"","",4,"",0,0,-5,5,"",0,"",1065353216,1065353216,0,"",0,259486,0,282,3,60,1028443341,0,1,0,""
461,"Metadata/Monsters/Bugbot/BugbotRockyNoEmergeSanctumTrial",224,31,2,6,10,"[""Metadata/Monsters/Bugbot/Bugbot.act""]","[""Metadata/Monsters/Bugbot/Bugbot.ao""]","Metadata/Monsters/Bugbot/BugbotRockyNoEmerge",[],1,"","",100,2,6,12,6,0,"[724,175,74,715,754,713,30,31,1015,1032,174]",60,[],70,105,700,500,0,"[580,2748]","Metadata/Monsters/Bugbot/BugbotSanctum.ais",[],"",3,"Skitter Golem",60,60,1005,[],[],"","","","",0,[],[],[],1,1,1,135,0,0,116,22418,"","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-20,20,0,80,0,0,"","",1,3,1,0,0,0,0,0,0,1,0,259918,0,-5,5,"","",4,"",0,0,-5,5,"",0,"",1065353216,1065353216,0,"",0,259926,0,282,3,60,1028443341,0,1,0,""
462,"Metadata/Monsters/Bugbot/BugbotBlack",223,31,2,6,10,"[""Metadata/Monsters/Bugbot/Bugbot.act""]","[""Metadata/Monsters/Bugbot/BugbotBlack.ao""]","Metadata/Monsters/Bugbot/BugbotBlack",[],1,"","",100,2,6,12,6,0,"[74,754,713,30,31,714,1032]",60,[],70,105,700,500,0,[580],"Metadata/Monsters/Bugbot/Bugbot.ais",[],"",3,"Skitter Golem",60,60,1005,[],[],"","","","",0,[],[],[],1,1,1,135,0,0,116,62261,"","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-20,20,0,80,0,0,"","",1,3,1,0,0,0,0,0,0,0,0,260228,0,-5,5,"","",4,"",0,0,-5,5,"",0,"",1065353216,1065353216,0,"",0,260228,0,282,3,60,1028443341,0,1,0,""
463,"Metadata/Monsters/BoneCultists/BoneCultist_Zealots/FarudinLocustWarlock",350,20,2,6,10,"[""Metadata/Monsters/BoneCultists/BoneCultist_Zealots/FarudinWarlock/FarudinWarlock.act""]","[""Metadata/Monsters/BoneCultists/BoneCultist_Zealots/FarudinWarlock/FarudinWarlock.ao""]","Metadata/Monsters/BoneCultists/BoneCultist_Zealots/FarudinWarlock/FarudinWarlock",[],1,"","",100,2,6,5,1,0,"[723,724,34,71,48,30,29,714,32,118,1025,752]",150,[],105,105,700,500,0,"[5207,2536,2540,5347]","Metadata/Monsters/BoneCultists/BoneCultist_Zealots/FarudinWarlock/FarudinWarlock.ais",[],"",0,"Faridun Plaguebringer",150,150,1500,[],[],"","","","",0,[],[],[],"",1,4,135,0,0,117,54575,"","","","","","",[],[],[],"",300,0,[],[],10,"","",[],"",1,"",-5,5,0,80,0,0,"","",1,3,1,0,0,0,0,0,0,0,0,261370,0,-5,5,"","",7,"",0,0,-5,5,"",0,"",1065353216,1065353216,0,"",0,261370,0,286,3,125,1028443341,0,1,0,""
464,"Metadata/Monsters/Mutewind/MutewindManDualSword",230,45,2,4,13,"[""Metadata/Monsters/Mutewind/BanditMan/MutewindBanditMan.act""]","[""Metadata/Monsters/Mutewind/BanditMan/MutewindBanditMan.ao"",""Metadata/Monsters/Mutewind/BanditMan/MutewindBanditManNoPhys.ao""]","Metadata/Monsters/Mutewind/BanditMan/MutewindBanditMan",[],1,"","",110,2,6,1,1,0,"[1021,755,71,48,713,31,714,118]",120,[],105,105,700,500,0,"[583,3551]","Metadata/Monsters/Mutewind/BanditMan/MutewindBanditMan.ais","[5081,5252]","",0,"Faridun Swordsman",120,120,1395,[15130],[15130],"",9,9,"",0,[],[],[],"",1,4,123,0,0,135,39030,"","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",0,10,0,80,0,0,"","",1,3,1,0,0,0,0,0,0,0,0,262354,0,-5,5,"","",1,"",0,0,-5,5,"",0,"",1065353216,1065353216,0,"",0,262354,0,286,4,110,1028443341,0,1,0,""
465,"Metadata/Monsters/Mutewind/MutewindMan2HSpear",231,41,3,6,20,"[""Metadata/Monsters/Mutewind/BanditMan/MutewindBanditMan2H.act""]","[""Metadata/Monsters/Mutewind/BanditMan/MutewindBanditMan.ao"",""Metadata/Monsters/Mutewind/BanditMan/MutewindBanditManNoPhys.ao"",""Metadata/Monsters/Mutewind/OldBandit/OldBandit.ao"",""Metadata/Monsters/Mutewind/OldBandit/OldBanditNoPhys.ao""]","Metadata/Monsters/Mutewind/BanditMan/MutewindBanditMan",[],1,"","",110,2,6,1,1,0,"[1021,755,71,48,713,31,714,118]",120,[],105,105,700,500,0,"[583,3551]","Metadata/Monsters/Mutewind/BanditMan/MutewindBanditMan2H.ais","[5081,5251]","",0,"Faridun Spearman",120,120,1395,[15129],[],"",77,"","",0,[],[],[],"",2,4,122,0,0,135,8866,"","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",0,10,0,80,0,0,"","",1,3,1,0,0,0,0,0,0,0,0,263196,0,-5,5,"","",1,"",0,0,-5,5,"",0,"",1065353216,1065353216,0,"",0,263196,0,286,5,110,1028443341,0,1,0,""
466,"Metadata/Monsters/Mutewind/MutewindManSpearShield_",232,40,3,6,20,"[""Metadata/Monsters/Mutewind/BanditMan/MutewindBanditManSpearShield.act""]","[""Metadata/Monsters/Mutewind/BanditMan/MutewindBanditMan.ao"",""Metadata/Monsters/Mutewind/BanditMan/MutewindBanditManNoPhys.ao""]","Metadata/Monsters/Mutewind/BanditMan/MutewindBanditMan",[10408],1,"","",110,2,6,1,1,0,"[1021,755,71,48,713,1087,31,714,118]",120,[],105,105,700,500,0,"[583,3551,4981,4982]","Metadata/Monsters/Mutewind/BanditMan/MutewindBanditManSpearShield.ais","[5081,5249,5246]","",0,"Faridun Heavy Infantry",120,120,1500,[15129],[15136],"",77,26,"",0,[],[],[],"",2,4,122,0,0,135,14779,"","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",0,10,0,80,0,0,"","",1,3,1,0,0,0,0,0,0,0,0,263960,0,-5,5,"","",1,"",0,0,-5,5,"",0,"",1065353216,1065353216,0,"",0,263960,0,286,5,110,1028443341,0,1,0,""
467,"Metadata/Monsters/Mutewind/MutewindWomanSpear",225,41,2,6,21,"[""Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWomanSpear.act""]","[""Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWoman.ao"",""Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWomanPonytail.ao"",""Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWomanNoPhys.ao"",""Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWomanNoPhys.ao""]","Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWoman",[],1,"","",100,2,6,3,1,0,"[755,71,48,713,31,29,714,118,1023]",110,[],105,105,700,500,0,"[583,3462,3650,3463,3651,3652,3653,3551,2822,2823]","Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWomanSpear.ais","[5081,5254]","",0,"Faridun Spearwoman",110,110,1500,[15124],[],"",77,"","",0,[],[],[],"",2,4,122,0,0,135,31341,"","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,80,0,0,"","",1,3,1,0,0,0,0,0,0,0,0,265288,0,-5,5,"","",1,"",0,0,-5,5,"",0,"",1065353216,1065353216,0,"",0,265288,0,286,4,105,1028443341,0,1,0,""
468,"Metadata/Monsters/Mutewind/MutewindWomanDualSword",228,41,2,4,14,"[""Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWomanDualSword.act""]","[""Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWoman.ao"",""Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWomanPonytail.ao"",""Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWomanNoPhys.ao"",""Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWomanNoPhys.ao"",""Metadata/Monsters/Mutewind/OldBanditWoman/OldBanditWoman.ao"",""Metadata/Monsters/Mutewind/OldBanditWoman/OldBanditWomanNoPhys.ao""]","Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWoman",[],1,"","",100,2,6,1,1,0,"[1021,755,71,48,713,31,29,714,118]",110,[],105,105,700,500,0,"[583,3464,3465,574,3551,3466,3467]","Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWomanDualSword.ais","[5081,5252]","",0,"Faridun Bladedancer",110,110,1500,[15130],[15130],"",9,9,"",0,[],[],[],"",1,4,123,0,0,135,10736,"","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,80,0,0,"","",1,3,1,0,0,0,0,0,0,0,0,266356,0,-5,5,"","",1,"",0,0,-5,5,"",0,"",1065353216,1065353216,0,"",0,266356,0,286,4,105,1028443341,0,1,0,""
469,"Metadata/Monsters/Mutewind/MutewindWomanDualDagger_",229,41,2,5,7,"[""Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWomanDualDagger.act""]","[""Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWoman.ao"",""Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWomanPonytail.ao"",""Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWomanNoPhys.ao"",""Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWomanNoPhys.ao"",""Metadata/Monsters/Mutewind/OldBanditWoman/OldBanditWoman.ao"",""Metadata/Monsters/Mutewind/OldBanditWoman/OldBanditWomanNoPhys.ao""]","Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWoman",[],1,"","",100,2,6,1,1,0,"[1021,755,71,48,713,31,29,714,118]",105,[],105,105,700,500,0,"[583,3551]","Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWomanDualDagger.ais","[5081,5252]","",0,"Faridun Wind-slicer",105,105,1500,[15132],[15132],"",7,7,"",0,[],[],[],"",1,4,114,0,0,135,44217,"","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,80,0,0,"","",1,3,1,0,0,0,0,0,0,0,0,267096,0,-5,5,"","",1,"",0,0,-5,5,"",0,"",1065353216,1065353216,0,"",0,267096,0,286,4,103,1028443341,0,1,0,""
470,"Metadata/Monsters/Mutewind/MutewindWomanJavelin",226,46,2,4,10,"[""Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWomanJavelin.act""]","[""Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWoman.ao"",""Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWomanPonytail.ao"",""Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWomanNoPhys.ao"",""Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWomanNoPhys.ao""]","Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWoman",[],1,"","",100,2,6,3,1,0,"[723,755,71,48,31,29,714,32,118,1023]",105,[],105,105,700,500,0,"[580,4695,4863,4862,4864,3551]","Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWomanJavelin.ais","[5081,5254]","",0,"Faridun Javelineer",105,105,1500,[15127],[],15128,77,"","",0,[],[],[],"",1,4,122,0,0,135,17104,"","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,80,0,0,"","",1,3,1,0,0,0,0,0,0,0,0,267862,0,-5,5,"","",1,"",0,0,-5,5,"",0,"",1065353216,1065353216,0,"",0,267862,0,286,4,103,1028443341,0,1,0,""
471,"Metadata/Monsters/Mutewind/MutewindWomanSpearShield",227,37,2,6,19,"[""Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWomanSpearShield.act""]","[""Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWoman.ao"",""Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWomanPonytail.ao"",""Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWomanNoPhys.ao"",""Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWomanNoPhys.ao""]","Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWoman",[],1,"","",100,2,6,3,1,0,"[71,48,754,713,1087,31,714,118,1023]",110,[],105,105,700,500,0,"[583,3551,4981,4982]","Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWomanSpearShield.ais","[5081,5249,5205]","",0,"Faridun Infantry",110,110,1500,[15129],[15136],"",77,26,"",0,[],[],[],"",2,4,122,0,0,135,4401,"","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,80,0,0,"","",1,3,1,0,0,0,0,0,0,0,0,268632,0,-5,5,"","",1,"",0,0,-5,5,"",0,"",1065353216,1065353216,0,"",0,268632,0,286,4,105,1028443341,0,1,0,""
472,"Metadata/Monsters/Mutewind/MutewindBoy",233,41,1,5,7,"[""Metadata/Monsters/Mutewind/BanditBoy/MutewindBanditBoy.act""]","[""Metadata/Monsters/Mutewind/BanditBoy/MutewindBanditBoy.ao"",""Metadata/Monsters/Mutewind/BanditBoy/MutewindBanditBoyNoPhys.ao""]","Metadata/Monsters/Mutewind/BanditBoy/MutewindBanditBoy",[],1,"","",100,2,6,1,1,0,"[1021,755,71,48,713,31,29,714,118]",80,[],105,105,700,500,0,"[583,3551]","Metadata/Monsters/Mutewind/BanditBoy/MutewindBanditBoy.ais",[],"",0,"Faridun Neophyte",80,80,1320,[15133],[15133],"",9,9,"",0,[],[],[],"",1,4,114,0,0,135,23393,"","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,80,0,0,"","",1,3,1,0,0,0,0,0,0,0,0,269580,0,-5,5,"","",1,"",0,0,-5,5,"",0,"",1065353216,1065353216,0,"",0,269580,0,286,3,80,1028443341,0,1,0,""
473,"Metadata/Monsters/Mutewind/MutewindGirl",234,42,1,4,9,"[""Metadata/Monsters/Mutewind/BanditGirl/MutewindBanditGirl.act""]","[""Metadata/Monsters/Mutewind/BanditGirl/MutewindBanditGirl.ao"",""Metadata/Monsters/Mutewind/BanditGirl/MutewindBanditGirlNoPhys.ao""]","Metadata/Monsters/Mutewind/BanditGirl/MutewindBanditGirl",[],1,"","",100,2,6,1,1,0,"[1021,755,71,48,713,31,29,714,118]",80,[],105,105,700,500,0,"[583,4888,4889]","Metadata/Monsters/Mutewind/BanditGirl/MutewindBanditGirl.ais",[],"",0,"Faridun Fledgling",80,80,1500,[15131],[],"",57,"","",0,[],[],[],"",1,4,114,0,0,135,32858,"","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,80,0,0,"","",1,3,1,0,0,0,0,0,0,0,0,270552,0,-5,5,"","",1,"",0,0,-5,5,"",0,"",1065353216,1065353216,0,"",0,270552,0,286,3,80,1028443341,0,1,0,""
474,"Metadata/Monsters/Mutewind/MutewindManDualSwordSandCrusted",230,45,2,4,13,"[""Metadata/Monsters/Mutewind/BanditMan/MutewindBanditMan.act""]","[""Metadata/Monsters/Mutewind/BanditMan/FaridunSandCrustedBanditMan.ao"",""Metadata/Monsters/Mutewind/BanditMan/FaridunSandCrustedBanditManNoPhys.ao""]","Metadata/Monsters/Mutewind/BanditMan/MutewindBanditMan",[],1,"","",110,2,6,1,1,0,"[1021,755,71,48,713,31,714,118]",120,[],105,105,700,500,0,"[583,3551]","Metadata/Monsters/Mutewind/BanditMan/MutewindBanditMan.ais","[5081,5252]","",0,"Faridun Swordsman",120,120,1395,[15130],[15130],"",9,9,"",0,[],[],[],"",1,4,123,0,0,135,7202,"","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,80,0,0,"","",1,3,1,0,0,0,0,0,0,0,0,271208,0,-5,5,"","",1,"",0,0,-5,5,"",0,"",1065353216,1065353216,0,"",0,271208,0,286,4,110,1028443341,0,1,0,""
475,"Metadata/Monsters/Mutewind/MutewindMan2HSpearSandCrusted",231,41,3,6,22,"[""Metadata/Monsters/Mutewind/BanditMan/MutewindBanditMan2H.act""]","[""Metadata/Monsters/Mutewind/OldBandit/FaridunSandCrustedOldBandit.ao"",""Metadata/Monsters/Mutewind/OldBandit/FaridunSandCrustedOldBanditNoPhys.ao""]","Metadata/Monsters/Mutewind/BanditMan/MutewindBanditMan",[],1,"","",110,2,6,9,1,0,"[755,71,48,713,31,714,118,1029]",120,[],105,105,700,500,0,"[583,3551,584]","Metadata/Monsters/Mutewind/BanditMan/MutewindBanditMan2H.ais","[5081,5254]","",0,"Faridun Spearman",120,120,1395,[15129],[],"",77,"","",0,[],[],[],"",2,4,122,0,0,135,58425,"","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,80,0,0,"","",1,3,1,0,0,0,0,0,0,0,0,271860,0,-5,5,"","",1,"",0,0,-5,5,"",0,"",1065353216,1065353216,0,"",0,271860,0,286,5,110,1028443341,0,1,0,""
476,"Metadata/Monsters/Mutewind/MutewindManSpearShieldSandCrusted_",232,40,3,6,20,"[""Metadata/Monsters/Mutewind/BanditMan/MutewindBanditManSpearShield.act""]","[""Metadata/Monsters/Mutewind/BanditMan/FaridunSandCrustedBanditMan.ao"",""Metadata/Monsters/Mutewind/BanditMan/FaridunSandCrustedBanditManNoPhys.ao""]","Metadata/Monsters/Mutewind/BanditMan/MutewindBanditMan",[10408],1,"","",110,2,6,9,1,0,"[755,71,48,713,1087,31,714,118,1029]",120,[],105,105,700,500,0,"[583,3551,4981,4982]","Metadata/Monsters/Mutewind/BanditMan/MutewindBanditManSpearShield.ais","[5081,5249,5246]","",0,"Faridun Heavy Infantry",120,120,1500,[15129],[15136],"",77,26,"",0,[],[],[],"",2,4,122,0,0,135,23111,"","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,80,0,0,"","",1,3,1,0,0,0,0,0,0,0,0,272314,0,-5,5,"","",1,"",0,0,-5,5,"",0,"",1065353216,1065353216,0,"",0,272314,0,286,5,110,1028443341,0,1,0,""
477,"Metadata/Monsters/Mutewind/MutewindWomanSpearSandCrusted",225,41,2,6,21,"[""Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWomanSpear.act""]","[""Metadata/Monsters/Mutewind/BanditWoman/FaridunSandCrustedBanditWoman.ao"",""Metadata/Monsters/Mutewind/BanditWoman/FaridunSandCrustedBanditWomanNoPhys.ao""]","Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWoman",[],1,"","",100,2,6,9,1,0,"[755,71,48,713,31,29,714,118,1029]",110,[],105,105,700,500,0,"[583,3462,3650,3463,3651,3652,3653,3551,2822,2823]","Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWomanSpear.ais","[5081,5254]","",0,"Faridun Spearwoman",110,110,1500,[15124],[],"",77,"","",0,[],[],[],"",2,4,122,0,0,135,17250,"","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,80,0,0,"","",1,3,1,0,0,0,0,0,0,0,0,273110,0,-5,5,"","",1,"",0,0,-5,5,"",0,"",1065353216,1065353216,0,"",0,273110,0,286,4,105,1028443341,0,1,0,""
