"rownum","Id","ItemClass","Width","Height","Name","InheritsFrom","DropLevel","FlavourText","Implicit_Mods","SizeOnGround","SoundEffect","Tags","ModDomain","SiteVisibility","ItemVisualIdentity","HASH32","VendorRecipe_AchievementItems","Inflection","Equip_AchievementItem","IsCorrupted","Identify_AchievementItems","IdentifyMagic_AchievementItems","FragmentBaseItemType","bool","rid","rid","bool","TradeMarketCategory","Unmodifiable","Achievement","rid","rid"
303,"Metadata/Items/QuestItems/SkillBooks/Book-a1q6",31,2,2,"Book of Skill","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],1,62,[],36,0,7299,1929489150,[],"","","",[],[],"","","","","","","",[],"",""
304,"Metadata/Items/QuestItems/SkillBooks/Book-a1q7",31,2,2,"Book of Skill","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],1,62,[],36,0,7299,535033175,[],"","","",[],[],"","","","","","","",[],"",""
305,"Metadata/Items/QuestItems/SkillBooks/Book-a1q8",31,2,2,"Book of Regrets","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,62,[],36,0,7300,710038053,[],"","","",[],[],"","","","","","","",[],"",""
306,"Metadata/Items/QuestItems/SkillBooks/Book-a1q9",31,2,2,"Book of Skill","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,62,[],36,0,7299,2967084828,[],"","","",[],[],"","","","","","","",[],"",""
307,"Metadata/Items/QuestItems/SkillBooks/Book-a2q5",31,2,2,"Book of Regrets","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,62,[],36,0,7300,1917626752,[],"","","",[],[],"","","","","","","",[],"",""
308,"Metadata/Items/QuestItems/SkillBooks/Book-a3q9",31,2,2,"Book of Skill","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,62,[],36,0,7299,2363759950,[],"","","",[],[],"","","","","","","",[],"",""
309,"Metadata/Items/QuestItems/SkillBooks/Book-a3q11v0",31,2,2,"Book of Skill","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,62,[],36,0,7301,4080552959,[],"","","",[],[],"","","","","","","",[],"",""
310,"Metadata/Items/QuestItems/SkillBooks/Book-a3q11v1",31,2,2,"Book of Skill","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,62,[],36,0,7301,2098564712,[],"","","",[],[],"","","","","","","",[],"",""
311,"Metadata/Items/QuestItems/SkillBooks/Book-a3q11v2",31,2,2,"Book of Skill","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,62,[],36,0,7301,2923669501,[],"","","",[],[],"","","","","","","",[],"",""
312,"Metadata/Items/QuestItems/SkillBooks/Descent2_1",31,2,2,"Book of Skill","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,62,[],36,0,7299,3712990303,[],"","","",[],[],"","","","","","","",[],"",""
313,"Metadata/Items/QuestItems/SkillBooks/Descent2_2",31,2,2,"Book of Skill","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,62,[],36,0,7299,2513344100,[],"","","",[],[],"","","","","","","",[],"",""
314,"Metadata/Items/QuestItems/SkillBooks/Descent2_3",31,2,2,"Book of Skill","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,62,[],36,0,7299,698979936,[],"","","",[],[],"","","","","","","",[],"",""
315,"Metadata/Items/QuestItems/SkillBooks/Descent2_4",31,2,2,"Book of Skill","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,62,[],36,0,7299,1727821970,[],"","","",[],[],"","","","","","","",[],"",""
316,"Metadata/Items/QuestItems/SkillBooks/DelevelBook",31,2,2,"Book of Regression","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,62,[],36,0,7302,1649236824,[],"","","",[],[],"","","","","","","",[],"",""
317,"Metadata/Items/QuestItems/SkillBooks/AtlasSkillBookElder",31,2,2,"Atlas Book of Skill","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,651,[],36,0,7303,1684686921,[],"","","",[],[],"","","","","","","",[],"",""
318,"Metadata/Items/QuestItems/SkillBooks/AtlasSkillBookMaven",31,2,2,"Atlas Book of Skill","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,651,[],36,0,7303,235548710,[],"","","",[],[],"","","","","","","",[],"",""
319,"Metadata/Items/QuestItems/SkillBooks/AtlasSkillBookTangle",31,2,2,"Atlas Book of Skill","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,651,[],36,0,7303,3722013678,[],"","","",[],[],"","","","","","","",[],"",""
320,"Metadata/Items/QuestItems/SkillBooks/AtlasSkillBookCleansingFire",31,2,2,"Atlas Book of Skill","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,651,[],36,0,7303,1888705721,[],"","","",[],[],"","","","","","","",[],"",""
321,"Metadata/Items/QuestItems/SkillBooks/AtlasSkillBookInfiniteHunger",31,2,2,"Atlas Book of Skill","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,651,[],36,0,7303,1811949645,[],"","","",[],[],"","","","","","","",[],"",""
322,"Metadata/Items/QuestItems/SkillBooks/AtlasSkillBookBlackStar",31,2,2,"Atlas Book of Skill","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,651,[],36,0,7303,322922204,[],"","","",[],[],"","","","","","","",[],"",""
323,"Metadata/Items/QuestItems/SkillBooks/AtlasSkillBookGeneric1",31,2,2,"Book of Knowledge I","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,651,[],36,0,7304,71789142,[],"","","",[],[],"",1,"","","","","",[],"",""
324,"Metadata/Items/QuestItems/SkillBooks/AtlasSkillBookGeneric2",31,2,2,"Book of Knowledge II","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,651,[],36,0,7304,519177684,[],"","","",[],[],"",1,"","","","","",[],"",""
325,"Metadata/Items/QuestItems/SkillBooks/AtlasSkillBookGeneric3",31,2,2,"Book of Knowledge III","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,651,[],36,0,7304,2799092071,[],"","","",[],[],"",1,"","","","","",[],"",""
326,"Metadata/Items/QuestItems/SkillBooks/AtlasSkillBookGeneric4",31,2,2,"Book of Knowledge IV","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,651,[],36,0,7304,1366016246,[],"","","",[],[],"",1,"","","","","",[],"",""
327,"Metadata/Items/QuestItems/SkillBooks/AtlasSkillBookGeneric5",31,2,2,"Book of Knowledge V","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,651,[],36,0,7304,3670978150,[],"","","",[],[],"",1,"","","","","",[],"",""
328,"Metadata/Items/QuestItems/SkillBooks/AtlasSkillBookGeneric6",31,2,2,"Book of Knowledge VI","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,651,[],36,0,7304,3366084631,[],"","","",[],[],"",1,"","","","","",[],"",""
329,"Metadata/Items/QuestItems/SkillBooks/AtlasSkillBookGeneric7",31,2,2,"Book of Knowledge VII","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,651,[],36,0,7304,1706234255,[],"","","",[],[],"",1,"","","","","",[],"",""
330,"Metadata/Items/QuestItems/SkillBooks/AtlasSkillBookGeneric8",31,2,2,"Book of Knowledge VIII","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,651,[],36,0,7304,3931953274,[],"","","",[],[],"",1,"","","","","",[],"",""
331,"Metadata/Items/QuestItems/SkillBooks/AtlasSkillBookGeneric9",31,2,2,"Book of Knowledge IX","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,651,[],36,0,7304,2475942333,[],"","","",[],[],"",1,"","","","","",[],"",""
332,"Metadata/Items/QuestItems/SkillBooks/AtlasSkillBookGeneric10",31,2,2,"Book of Knowledge X","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,651,[],36,0,7304,689951587,[],"","","",[],[],"",1,"","","","","",[],"",""
333,"Metadata/Items/QuestItems/SkillBooks/AtlasSkillBookGeneric11",31,2,2,"Book of Knowledge XI","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,651,[],36,0,7304,3419711379,[],"","","",[],[],"",1,"","","","","",[],"",""
334,"Metadata/Items/QuestItems/SkillBooks/AtlasSkillBookGeneric12",31,2,2,"Book of Knowledge XII","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,651,[],36,0,7304,2090310090,[],"","","",[],[],"",1,"","","","","",[],"",""
335,"Metadata/Items/QuestItems/SkillBooks/AtlasSkillBookGeneric13",31,2,2,"Book of Knowledge XIII","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,651,[],36,0,7304,4104245737,[],"","","",[],[],"",1,"","","","","",[],"",""
336,"Metadata/Items/QuestItems/SkillBooks/AtlasSkillBookGeneric14",31,2,2,"Book of Knowledge XIV","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,651,[],36,0,7304,538988052,[],"","","",[],[],"",1,"","","","","",[],"",""
337,"Metadata/Items/QuestItems/SkillBooks/AtlasSkillBookGeneric15",31,2,2,"Book of Knowledge XV","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,651,[],36,0,7304,3131839387,[],"","","",[],[],"",1,"","","","","",[],"",""
338,"Metadata/Items/QuestItems/SkillBooks/AtlasSkillBookBreach1",31,2,2,"Otherworldly Book of Knowledge I","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,651,[],36,0,7307,1228724173,[],"","","",[],[],"",1,"","","","","",[],"",""
339,"Metadata/Items/QuestItems/SkillBooks/AtlasSkillBookBreach2",31,2,2,"Otherworldly Book of Knowledge II","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,651,[],36,0,7307,2550269217,[],"","","",[],[],"",1,"","","","","",[],"",""
340,"Metadata/Items/QuestItems/SkillBooks/AtlasSkillBookBreach3",31,2,2,"Otherworldly Book of Knowledge III","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,651,[],36,0,7307,2472581435,[],"","","",[],[],"",1,"","","","","",[],"",""
341,"Metadata/Items/QuestItems/SkillBooks/AtlasSkillBookBreach4",31,2,2,"Otherworldly Book of Knowledge IV","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,651,[],36,0,7307,763675075,[],"","","",[],[],"",1,"","","","","",[],"",""
342,"Metadata/Items/QuestItems/SkillBooks/AtlasSkillBookRitual1",31,2,2,"Ritualistic Book of Knowledge I","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,651,[],36,0,7308,1893997139,[],"","","",[],[],"",1,"","","","","",[],"",""
343,"Metadata/Items/QuestItems/SkillBooks/AtlasSkillBookRitual2",31,2,2,"Ritualistic Book of Knowledge II","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,651,[],36,0,7308,1451980299,[],"","","",[],[],"",1,"","","","","",[],"",""
344,"Metadata/Items/QuestItems/SkillBooks/AtlasSkillBookRitual3",31,2,2,"Ritualistic Book of Knowledge III","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,651,[],36,0,7308,2253636136,[],"","","",[],[],"",1,"","","","","",[],"",""
345,"Metadata/Items/QuestItems/SkillBooks/AtlasSkillBookRitual4",31,2,2,"Ritualistic Book of Knowledge IV","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,651,[],36,0,7308,2679113242,[],"","","",[],[],"",1,"","","","","",[],"",""
346,"Metadata/Items/QuestItems/SkillBooks/AtlasSkillBookExpedition1",31,2,2,"Runic Book of Knowledge I","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,651,[],36,0,7305,3219984346,[],"","","",[],[],"",1,"","","","","",[],"",""
347,"Metadata/Items/QuestItems/SkillBooks/AtlasSkillBookExpedition2",31,2,2,"Runic Book of Knowledge II","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,651,[],36,0,7305,2176665240,[],"","","",[],[],"",1,"","","","","",[],"",""
348,"Metadata/Items/QuestItems/SkillBooks/AtlasSkillBookExpedition3",31,2,2,"Runic Book of Knowledge III","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,651,[],36,0,7305,1091598573,[],"","","",[],[],"",1,"","","","","",[],"",""
349,"Metadata/Items/QuestItems/SkillBooks/AtlasSkillBookExpedition4",31,2,2,"Runic Book of Knowledge IV","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,651,[],36,0,7305,2208373516,[],"","","",[],[],"",1,"","","","","",[],"",""
350,"Metadata/Items/QuestItems/SkillBooks/AtlasSkillBookDelirium1",31,2,2,"Deranging Book of Knowledge I","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,651,[],36,0,7306,880317695,[],"","","",[],[],"",1,"","","","","",[],"",""
351,"Metadata/Items/QuestItems/SkillBooks/AtlasSkillBookDelirium2",31,2,2,"Deranging Book of Knowledge II","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,651,[],36,0,7306,1373549022,[],"","","",[],[],"",1,"","","","","",[],"",""
352,"Metadata/Items/QuestItems/SkillBooks/AtlasSkillBookDelirium3",31,2,2,"Deranging Book of Knowledge III","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,651,[],36,0,7306,1340969587,[],"","","",[],[],"",1,"","","","","",[],"",""
353,"Metadata/Items/QuestItems/SkillBooks/AtlasSkillBookDelirium4",31,2,2,"Deranging Book of Knowledge IV","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,651,[],36,0,7306,2368436804,[],"","","",[],[],"",1,"","","","","",[],"",""
354,"Metadata/Items/QuestItems/SkillBooks/AtlasSkillBookBoss1",31,2,2,"Vanquisher's Book of Knowledge I","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,651,[],36,0,7309,1618475999,[],"","","",[],[],"",1,"","","","","",[],"",""
355,"Metadata/Items/QuestItems/SkillBooks/AtlasSkillBookBoss2",31,2,2,"Vanquisher's Book of Knowledge II","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,651,[],36,0,7309,4177413101,[],"","","",[],[],"",1,"","","","","",[],"",""
356,"Metadata/Items/QuestItems/SkillBooks/AtlasSkillBookBoss3",31,2,2,"Vanquisher's Book of Knowledge III","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,651,[],36,0,7309,95429433,[],"","","",[],[],"",1,"","","","","",[],"",""
357,"Metadata/Items/QuestItems/SkillBooks/AtlasSkillBookBoss4",31,2,2,"Vanquisher's Book of Knowledge IV","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,651,[],36,0,7309,1522619404,[],"","","",[],[],"",1,"","","","","",[],"",""
358,"Metadata/Items/QuestItems/SkillBooks/AtlasSkillBookBoss5",31,2,2,"Vanquisher's Book of Knowledge V","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,651,[],36,0,7309,1241418083,[],"","","",[],[],"",1,"","","","","",[],"",""
359,"Metadata/Items/QuestItems/SkillBooks/AtlasSkillBookPinnacle1",31,2,2,"Arbiter's Book of Knowledge I","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,651,[],36,0,7310,890458989,[],"","","",[],[],"",1,"","","","","",[],"",""
360,"Metadata/Items/QuestItems/SkillBooks/AtlasSkillBookPinnacle2",31,2,2,"Arbiter's Book of Knowledge II","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,651,[],36,0,7310,3181412030,[],"","","",[],[],"",1,"","","","","",[],"",""
361,"Metadata/Items/QuestItems/SkillBooks/AtlasSkillBookPinnacle3",31,2,2,"Arbiter's Book of Knowledge III","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,651,[],36,0,7310,2920345062,[],"","","",[],[],"",1,"","","","","",[],"",""
362,"Metadata/Items/QuestItems/SkillBooks/AtlasSkillBookPinnacle4",31,2,2,"Arbiter's Book of Knowledge IV","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,651,[],36,0,7310,1206741178,[],"","","",[],[],"",1,"","","","","",[],"",""
363,"Metadata/Items/QuestItems/Act11/DominusKey",31,1,1,"Vault Key","Metadata/Items/QuestItems/AbstractQuestItem",1,2130,[],1,"",[],36,0,12940,2870088681,[],"","","",[],[],"","","","","","","",[],"",""
364,"Metadata/Items/QuestItems/Hellscape/BloodCrucible",31,2,2,"Blood Crucible","Metadata/Items/QuestItems/AbstractQuestItem",1,2379,[],2,"",[],36,0,12941,1689114269,[],"","","",[],[],"","","","","","","",[],"",""
365,"Metadata/Items/QuestItems/Hellscape/DreamFurnace",31,2,2,"Dream Furnace","Metadata/Items/QuestItems/AbstractQuestItem",1,2380,[],2,"",[],36,0,12942,2478763231,[],"","","",[],[],"","","","","","","",[],"",""
366,"Metadata/Items/QuestItems/Hellscape/VisceraCauldron",31,2,2,"Viscera Cauldron","Metadata/Items/QuestItems/AbstractQuestItem",1,2381,[],2,"",[],36,0,12943,1289139462,[],"","","",[],[],"","","","","","","",[],"",""
367,"Metadata/Items/QuestItems/Sentinel/Controller",31,2,2,"Sentinel Controller","Metadata/Items/QuestItems/AbstractQuestItem",1,2386,[],2,"",[],36,0,13623,349041747,[],"","","",[],[],"","","","","","","",[],"",""
368,"Metadata/Items/Masters/PirateTreasureKey",31,1,1,"Master Key","Metadata/Items/QuestItems/AbstractQuestItem",1,"",[],2,"",[],36,0,7313,525489715,[],"","","",[],[],"","","","","","","",[],"",""
369,"Metadata/Items/Incursion/IncursionKey",51,1,1,"Stone of Passage","Metadata/Items/Labyrinth/AbstractLabyrinthItem",1,"",[],1,"",[],36,0,12551,851836029,[],"","","",[],[],"","","","","","","",[],"",""
370,"Metadata/Items/Incursion/IncursionBomb",51,1,1,"Flashpowder Keg","Metadata/Items/Labyrinth/AbstractLabyrinthItem",1,"",[],1,"",[],36,0,12552,1191597212,[],"","","",[],[],"","","","","","","",[],"",""
371,"Metadata/Items/Gems/SkillGemIceNova",18,1,1,"Ice Nova","Metadata/Items/Gems/ActiveSkillGem",1,"",[],1,"",[],36,1,8404,2105283778,[8487],"","","",[],[],"","","","","","","",[],144,""
372,"Metadata/Items/Gems/SkillGemLeapSlam",18,1,1,"Leap Slam","Metadata/Items/Gems/ActiveSkillGem",23,"",[],1,"",[301],36,1,8405,1192809199,[8487],"","","",[],[],"","","","","","","",[],153,""
373,"Metadata/Items/Gems/SkillGemShieldCharge",18,1,1,"Shield Charge","Metadata/Items/Gems/ActiveSkillGem",7,"",[],1,"",[301],36,1,8412,1802060799,[8487],"","","",[],[],"","","","","","","",[],176,""
374,"Metadata/Items/Gems/SkillGemRaiseZombie",18,1,1,"Raise Zombie","Metadata/Items/Gems/ActiveSkillGem",15,"",[],1,"","[300,301]",36,1,8424,1645165853,[8487],"","","",[],[],"","","","","","","",[],169,""
375,"Metadata/Items/Gems/SkillGemDetonateDead",18,1,1,"Detonate Dead","Metadata/Items/Gems/ActiveSkillGem",23,"",[],1,"",[301],36,1,8425,2686060965,[8487],"","","",[],[],"","","","","","","",[],297,""
376,"Metadata/Items/Gems/SkillGemVolatileDead",18,1,1,"Volatile Dead","Metadata/Items/Gems/ActiveSkillGem",1,"",[],1,"",[],36,1,15429,3348524468,[8487],"","","",[],[],"","","","","","","",[],241,""
377,"Metadata/Items/Gems/SkillGemFlickerStrike",18,1,1,"Flicker Strike","Metadata/Items/Gems/ActiveSkillGem",53,"",[],1,"",[],36,1,8474,773581517,[8487],"","","",[],[],"","","","","","","",[],126,""
378,"Metadata/Items/Gems/SkillGemSpark",18,1,1,"Spark","Metadata/Items/Gems/ActiveSkillGem",1,"",[],1,"","[300,301]",36,1,8476,2416772920,[8487],"","","",[],[],"","","","","","","",[],180,""
379,"Metadata/Items/Gems/SkillGemIceSpear",18,1,1,"Ice Spear","Metadata/Items/Gems/ActiveSkillGem",15,"",[],1,"",[],36,1,8950,879023255,[8487],"","","",[],[],"","","","","","","",[],145,""
380,"Metadata/Items/Gems/SkillGemSummonSpectre",18,1,1,"Spectre: {0}","Metadata/Items/Gems/ActiveSkillGem",23,"",[],1,"",[],36,1,8481,598541278,[8487],"","","",[],[],"","","","","","","",[],"",""
381,"Metadata/Items/Gems/SkillGemFrostWall",18,1,1,"Frost Wall","Metadata/Items/Gems/ActiveSkillGem",32,"",[],1,"",[301],36,1,8485,3128459594,[8487],"","","",[],[],"","","","","","","",[],"",""
382,"Metadata/Items/Gems/SkillGemShockNova",18,1,1,"Shock Nova","Metadata/Items/Gems/ActiveSkillGem",1,"",[],1,"",[],36,1,15429,868566376,[8487],"","","",[],[],"","","","","","","",[],177,""
383,"Metadata/Items/Gems/SkillGemTemporalChains",18,1,1,"Temporal Chains","Metadata/Items/Gems/ActiveSkillGem",53,"",[],1,"",[],36,1,8495,505190680,[8487],"","","",[],[],"","","","","","","",[],"",""
384,"Metadata/Items/Gems/SkillGemEnfeeble",18,1,1,"Enfeeble","Metadata/Items/Gems/ActiveSkillGem",7,"",[],1,"",[],36,1,8499,3226152450,[8487],"","","",[],[],"","","","","","","",[],"",""
385,"Metadata/Items/Gems/SkillGemSnipersMark",18,1,1,"Sniper's Mark","Metadata/Items/Gems/ActiveSkillGem",23,"",[],1,"",[],36,1,8501,700044694,[8487],"","","",[],[],"","","","","","","",[],"",""
386,"Metadata/Items/Gems/SkillGemDespair",18,1,1,"Despair","Metadata/Items/Gems/ActiveSkillGem",32,"",[],1,"",[],36,1,9154,3941023596,[8487],"","","",[],[],"","","","","","","",[],"",""
387,"Metadata/Items/Gems/SkillGemLightningWarp",18,1,1,"Lightning Warp","Metadata/Items/Gems/ActiveSkillGem",32,"",[],1,"",[301],36,1,8503,2507009716,[8487],"","","",[],[],"","","","","","","",[],152,""
388,"Metadata/Items/Gems/SkillGemSkeletalWarrior",18,1,1,"Skeletal Warrior","Metadata/Items/Gems/ActiveSkillGem",1,"",[],1,"",[],36,0,8505,477025251,[8487],"","","",[],[],"","","","","","","",[],"",""
389,"Metadata/Items/Gems/SkillGemSkeletalReaver",18,1,1,"Skeletal Reaver","Metadata/Items/Gems/ActiveSkillGem",32,"",[],1,"",[],36,0,8506,3061057502,[8487],"","","",[],[],"","","","","","","",[],"",""
390,"Metadata/Items/Gems/SkillGemSkeletalBrute",18,1,1,"Skeletal Brute","Metadata/Items/Gems/ActiveSkillGem",53,"",[],1,"",[],36,0,8507,1042243074,[],"","","",[],[],"","","","","","","",[],"",""
391,"Metadata/Items/Gems/SkillGemSkeletalSniper",18,1,1,"Skeletal Sniper","Metadata/Items/Gems/ActiveSkillGem",1,"",[],1,"",[],36,0,8508,723025939,[],"","","",[],[],"","","","","","","",[],"",""
392,"Metadata/Items/Gems/SkillGemSkeletalFrostMage",18,1,1,"Skeletal Frost Mage","Metadata/Items/Gems/ActiveSkillGem",15,"",[],1,"",[],36,0,8509,4209455399,[],"","","",[],[],"","","","","","","",[],"",""
393,"Metadata/Items/Gems/SkillGemSkeletalStormMage",18,1,1,"Skeletal Storm Mage","Metadata/Items/Gems/ActiveSkillGem",42,"",[],1,"",[],36,0,8510,149887481,[],"","","",[],[],"","","","","","","",[],"",""
394,"Metadata/Items/Gems/SkillGemSkeletalArsonist",18,1,1,"Skeletal Arsonist","Metadata/Items/Gems/ActiveSkillGem",7,"",[],1,"",[],36,0,8511,4201917601,[],"","","",[],[],"","","","","","","",[],"",""
395,"Metadata/Items/Gems/SkillGemSkeletalCleric",18,1,1,"Skeletal Cleric","Metadata/Items/Gems/ActiveSkillGem",53,"",[],1,"",[],36,0,8512,2183130688,[],"","","",[],[],"","","","","","","",[],"",""
396,"Metadata/Items/Gems/SkillGemArmourBreaker",18,1,1,"Armour Breaker","Metadata/Items/Gems/ActiveSkillGem",7,"",[],1,"","[300,301]",36,1,8513,1569885850,[8487],"","","",[],[],"","","","","","","",[],"",""
397,"Metadata/Items/Gems/SkillGemRainOfArrows",18,1,1,"Rain of Arrows","Metadata/Items/Gems/ActiveSkillGem",32,"",[],1,"",[],36,1,8516,3669206378,[8487],"","","",[],[],"","","","","","","",[],167,""
398,"Metadata/Items/Gems/SkillGemFirestorm",18,1,1,"Firestorm","Metadata/Items/Gems/ActiveSkillGem",42,"",[],1,"",[],36,1,8526,1881441534,[8487],"","","",[],[],"","","","","","","",[],122,""
399,"Metadata/Items/Gems/SkillGemFallingThunder",18,1,1,"Falling Thunder","Metadata/Items/Gems/ActiveSkillGem",1,"",[],1,"",[],36,1,8528,3504133411,[8487],"","","",[],[],"","","","","","","",[],"",""
400,"Metadata/Items/Gems/SkillGemPowerSiphon",18,1,1,"Power Siphon","Metadata/Items/Gems/ActiveSkillGem",1,"",[],1,"",[],36,1,15429,1433614362,[8487],"","","",[],[],"","","","","","","",[],282,""
401,"Metadata/Items/Gems/SkillGemLightningArrow",18,1,1,"Lightning Arrow","Metadata/Items/Gems/ActiveSkillGem",1,"",[],1,"",[],36,1,8533,409249884,[8487],"","","",[],[],"","","","","","","",[],154,""
402,"Metadata/Items/Gems/SkillGemArc",18,1,1,"Arc","Metadata/Items/Gems/ActiveSkillGem",15,"",[],1,"",[],36,1,8535,145505486,[8487],"","","",[],[],"","","","","","","",[],91,""
403,"Metadata/Items/Gems/SkillGemDiscipline",18,1,1,"Discipline","Metadata/Items/Gems/ActiveSkillGem",1,"",[],1,"",[],36,1,15429,808462386,[8487],"","","",[],[],"","","","","","","",[],115,""
404,"Metadata/Items/Gems/SkillGemShockwaveTotem",18,1,1,"Shockwave Totem","Metadata/Items/Gems/ActiveSkillGem",7,"",[],1,"",[],36,1,8560,1169161186,[8487],"","","",[],[],"","","","","","","",[],178,""
405,"Metadata/Items/Gems/SkillGemArcticArmour",18,1,1,"Arctic Armour","Metadata/Items/Gems/ActiveSkillGem",11,"",[],1,"",[],36,1,8571,3755169842,[8487],"","","",[],[],"","","","","","","",[],92,""
406,"Metadata/Items/Gems/SkillGemFlammability",18,1,1,"Flammability","Metadata/Items/Gems/ActiveSkillGem",23,"",[],1,"",[],36,1,8585,3655414412,[8487],"","","",[],[],"","","","","","","",[],"",""
407,"Metadata/Items/Gems/SkillGemHypothermia",18,1,1,"Hypothermia","Metadata/Items/Gems/ActiveSkillGem",23,"",[],1,"",[],36,1,8586,3317425494,[8487],"","","",[],[],"","","","","","","",[],"",""
408,"Metadata/Items/Gems/SkillGemConductivity",18,1,1,"Conductivity","Metadata/Items/Gems/ActiveSkillGem",23,"",[],1,"",[],36,1,8592,3434227077,[8487],"","","",[],[],"","","","","","","",[],"",""
409,"Metadata/Items/Gems/SkillGemIncinerate",18,1,1,"Incinerate","Metadata/Items/Gems/ActiveSkillGem",15,"",[],1,"",[],36,1,9114,613395827,[8487],"","","",[],[],"","","","","","","",[],148,""
410,"Metadata/Items/Gems/SkillGemPurityOfFire",18,1,1,"Purity of Fire","Metadata/Items/Gems/ActiveSkillGem",1,"",[],1,"",[],36,1,15429,2155618433,[8487],"","","",[],[],"","","","","","","",[],"",""
411,"Metadata/Items/Gems/SkillGemPurityOfIce",18,1,1,"Purity of Ice","Metadata/Items/Gems/ActiveSkillGem",1,"",[],1,"",[],36,1,15429,294554001,[8487],"","","",[],[],"","","","","","","",[],"",""
412,"Metadata/Items/Gems/SkillGemPurityOfLightning",18,1,1,"Purity of Lightning","Metadata/Items/Gems/ActiveSkillGem",1,"",[],1,"",[],36,1,15429,753538701,[8487],"","","",[],[],"","","","","","","",[],"",""
413,"Metadata/Items/Gems/SkillGemFlameblast",18,1,1,"Flameblast","Metadata/Items/Gems/ActiveSkillGem",53,"",[],1,"",[],36,1,8625,2428885588,[8487],"","","",[],[],"","","","","","","",[],123,""
414,"Metadata/Items/Gems/SkillGemBarrage",18,1,1,"Barrage","Metadata/Items/Gems/ActiveSkillGem",15,"",[],1,"",[],36,1,8622,1017849544,[8487],"","","",[],[],"","","","","","","",[],94,""
